サス	s ä s ɯ̥ᵝ
くずゆ	k ɯ̟ᵝ z ɨᵝ j ɯ̟ᵝ
愚生	ɡ ɯ̟ᵝ s e̞ː
くせげ	k ɯ̟ᵝ s e̞ ɡ e̞
クソカキコ	k ɯ̟ᵝ s o̞ k a̠ kʲ i k o̞
くそがき	k ɯ̟ᵝ s o̞ ɡ a̠ kʲ i
くそむし	k ɯ̟̊ᵝ s o̞ m ɯ̟ᵝ ɕ i
くそやろう	k ɯ̟ᵝ s o̞ j a̠ ɾ o̞ː
ぐたい	ɡ ɯ̟ᵝ t a̠ i
ぐたい	ɡ ɯ̟ᵝ t a̠ i
ぐたいか	ɡ ɯ̟ᵝ t a̠ i k a̠
ぐたいてき	ɡ ɯ̟ᵝ t a̠ i t e̞ kʲ i
かん	k ã̠ ɴ
くだものとけいそう	k ɯ̟ᵝ d a̠ t o̞ k e̞ː s o̞ː
ぎょう	ɡʲ o̞ː
ぎょう	ɡʲ o̞ː
くだり	k o̞ː
くだりざか	k ɯ̟ᵝ d a̠ ɾʲ i z a̠ k a̠
くちえ	k ɯ̟ᵝ t͡ɕ i e̞
くちく	k ɯ̟̊ᵝ t͡ɕ i k ɯ̟ᵝ
くちくかん	k ɯ̟̊ᵝ t͡ɕ i k ɯ̟̊ᵝ k ã̠ ɴ
くちぐせ	k ɯ̟ᵝ t͡ɕ i ɡ ɯ̟ᵝ s e̞
くちさき	k ɯ̟ᵝ t͡ɕ i s a̠ kʲ i
くちづける	k ɯ̟ᵝ t͡ɕ i z ɨᵝ k e̞ ɾ ɯ̟ᵝ
くちはっちょうてはっちょう	k ɯ̟ᵝ t͡ɕ i h a̠ t̚ t͡ɕ o̞ː t e̞ h a̠ t̚ t͡ɕ o̞ː
くちはてる	k ɯ̟ᵝ t͡ɕ i h a̠ t e̞ ɾ ɯ̟ᵝ
くちパク	k ɯ̟ᵝ t͡ɕ i p a̠ k ɯ̟ᵝ
くちびる	k ɯ̟̊ᵝ t͡ɕ i bʲ i ɾ ɯ̟ᵝ
くちぶえ	k ɯ̟ᵝ t͡ɕ i b ɯ̟ᵝ e̞
くちぶり	k ɯ̟ᵝ t͡ɕ i b ɯ̟ᵝ ɾʲ i
くちべに	k ɯ̟̊ᵝ t͡ɕ i b e̞ ɲ̟ i
グチャグチャ	ɡ ɯ̟ᵝ t͡ɕ a̠ ɡ ɯ̟ᵝ t͡ɕ a̠
クチュリエ	k ɯ̟ᵝ t͡ɕ ɨᵝ ɾʲ i e̞
くちよせ	k ɯ̟ᵝ t͡ɕ i j o̞ s e̞
ぐちる	ɡ ɯ̟ᵝ t͡ɕ i ɾ ɯ̟ᵝ
くちわ	k ɯ̟ᵝ t͡ɕ i ɰᵝ a̠
クッキー	k ɯ̟̊ᵝ k̚ʲ kʲ iː
くっきょく	k ɯ̟̊ᵝ k̚ʲ kʲ o̞ k ɯ̟ᵝ
くっきょくい	k ɯ̟ᵝ k̚ʲ kʲ o̞ k ɯ̟ᵝ i
ぐっすり	ɡ ɯ̟ᵝ sː ɯ̟ᵝ ɾʲ i
グッズ	ɡ ɯ̟ᵝ d̚ d͡z ɨᵝ
グッズ	ɡ ɯ̟ᵝ d̚ d͡z ɨᵝ
くっせつご	k ɯ̟̊ᵝ sː e̞ t͡s ɨᵝ ɡ o̞
くっせつりつ	k ɯ̟̊ᵝ sː e̞ t͡s ɨᵝ ɾʲ i t͡s ɨᵝ
グッバイ	ɡ ɯ̟ᵝ b̚ b̥ a̠ i
グッピー	ɡ ɯ̟ᵝ p̚ʲ pʲ iː
くっぷく	k ɯ̟ᵝ p̚ p ɯ̟ᵝ k ɯ̟ᵝ
グッモーニン	ɡ ɯ̟ᵝ mː o̞ː ɲ̟ ĩ ɴ
くつう	k ɯ̟̊ᵝ t͡s ɨᵝː
くつおと	k ɯ̟ᵝ t͡s ɨᵝ o̞ t o̞
くつかくし	k ɯ̟ᵝ t͡s ɨᵝ k a̠ k ɯ̟ᵝ ɕ i
くつがえる	k ɯ̟ᵝ t͡s ɨᵝ ɡ a̠ e̞ ɾ ɯ̟ᵝ
くつした	k ɯ̟̊ᵝ t͡s ɨᵝ ɕ i̥ t a̠
くつしたどめ	k ɯ̟̊ᵝ t͡s ɨᵝ ɕ i̥ t a̠ d o̞ m e̞
いびき	i bʲ i kʲ i
くつちふす	k ɯ̟ᵝ t͡s ɨᵝ t͡ɕ i ɸ ɯ̟ᵝ s ɨᵝ
くつひも	k ɯ̟̊ᵝ t͡s ɨᵝ ç i m o̞
くつや	k ɯ̟ᵝ t͡s ɨᵝ j a̠
くつろぐ	k ɯ̟̊ᵝ t͡s ɨᵝ ɾ o̞ ɡ ɯ̟ᵝ
くてん	k ɯ̟ᵝ t ẽ̞ ɴ
くてん	k ɯ̟ᵝ t ẽ̞ ɴ
くど	k ɯ̟ᵝ d o̞
くどう	k ɯ̟ᵝ d o̞ː
くどきおとす	k ɯ̟ᵝ d o̞ kʲ i o̞ t o̞ s ɨᵝ
くどく	k ɯ̟ᵝ d o̞ k ɯ̟ᵝ
くない	k ɯ̟ᵝ n a̠ i
くにあき	k ɯ̟ᵝ ɲ̟ i a̠ kʲ i
くにお	k ɯ̟ᵝ ɲ̟ i o̞
くにお	k ɯ̟ᵝ ɲ̟ i o̞
くにお	k ɯ̟ᵝ ɲ̟ i o̞
くにかず	k ɯ̟ᵝ ɲ̟ i k a̠ z ɨᵝ
くにこ	k ɯ̟ᵝ ɲ̟ i k o̞
くにのぶ	k ɯ̟ᵝ ɲ̟ i n o̞ b ɯ̟ᵝ
くにひこ	k ɯ̟ᵝ ɲ̟ i ç i k o̞
くにひろ	k ɯ̟ᵝ ɲ̟ i ç i ɾ o̞
くにふさ	k ɯ̟ᵝ ɲ̟ i ɸ ɯ̟ᵝ s a̠
くにゆき	k ɯ̟ᵝ ɲ̟ i j ɯ̟ᵝ kʲ i
くにゆき	k ɯ̟ᵝ ɲ̟ i j ɯ̟ᵝ kʲ i
くのいち	k ɯ̟ᵝ n o̞ i t͡ɕ i
くのう	k ɯ̟ᵝ n o̞ː
くはい	k ɯ̟ᵝ h a̠ i
くはい	k ɯ̟ᵝ h a̠ i
くびかざり	k ɯ̟ᵝ bʲ i k a̠ z a̠ ɾʲ i
くびかせ	k ɯ̟ᵝ bʲ i k a̠ s e̞
くびきり	k ɯ̟ᵝ bʲ i kʲ i ɾʲ i
くびじっけん	k ɯ̟ᵝ bʲ i ʑ i k̚ k ẽ̞ ɴ
くびったけ	k ɯ̟ᵝ bʲ i t̚ t a̠ k e̞
くびつり	k ɯ̟ᵝ bʲ i t͡s ɨᵝ ɾʲ i
くびながりゅう	k ɯ̟ᵝ bʲ i n a̠ ɡ a̠ ɾʲ ɨᵝː
くくる	k ɯ̟ᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ
くびる	k ɯ̟ᵝ bʲ i ɾ ɯ̟ᵝ
カンフー	k ã̠ ɰ̃ ɸ ɯ̟ᵝː
くふう	k ɯ̟ᵝ ɸ ɯ̟ᵝː
くぶん	k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
くへんとう	k ɯ̟ᵝ h ẽ̞ n t o̞ː
くへんとうすい	k ɯ̟ᵝ h ẽ̞ n t o̞ː s ɨᵝ i
くへんとうゆ	k ɯ̟ᵝ h ẽ̞ n t o̞ː j ɯ̟ᵝ
ぐほう	ɡ ɯ̟ᵝ h o̞ː
くま	k ɯ̟ᵝ m a̠
くま	k ɯ̟ᵝ m a̠
くまきち	k ɯ̟ᵝ m a̠ kʲ i t͡ɕ i
くまそ	k ɯ̟ᵝ m a̠ s o̞
くまたか	k ɯ̟ᵝ m a̠ t a̠ k a̠
くまで	k ɯ̟ᵝ m a̠ d e̞
くまねずみ	k ɯ̟ᵝ m a̠ n e̞ z ɨᵝ mʲ i
くまの	k ɯ̟ᵝ m a̠ n o̞
くまもと	k ɯ̟ᵝ m a̠ m o̞ t o̞
くまもとけん	k ɯ̟ᵝ m a̠ m o̞ t o̞ k ẽ̞ ɴ
くみ	k ɯ̟ᵝ mʲ i
くみあわせ	k ɯ̟ᵝ mʲ i a̠ ɰᵝ a̠ s e̞
くみいん	k ɯ̟ᵝ mʲ i ĩ ɴ
くみきょく	k ɯ̟ᵝ mʲ i kʲ o̞ k ɯ̟ᵝ
くみちょう	k ɯ̟ᵝ mʲ i t͡ɕ o̞ː
くみはん	k ɯ̟ᵝ mʲ i h ã̠ ɴ
くめい	k ɯ̟ᵝ m e̞ː
くも	k ɯ̟ᵝ m o̞
うんか	ɯ̟̃ᵝ ŋ k a̠
くもかすみ	k ɯ̟ᵝ m o̞ k a̠ s ɨᵝ mʲ i
くもがくれ	k ɯ̟ᵝ m o̞ ɡ a̠ k ɯ̟ᵝ ɾ e̞
くもざる	k ɯ̟ᵝ m o̞ z a̠ ɾ ɯ̟ᵝ
クモのす	k ɯ̟ᵝ m o̞ n o̞ s ɨᵝ
くもひとで	k ɯ̟ᵝ m o̞ ç i̥ t o̞ d e̞
くもま	k ɯ̟ᵝ m o̞ m a̠
くもり	k ɯ̟ᵝ m o̞ ɾʲ i
くもん	k ɯ̟ᵝ m õ̞ ɴ
くやみ	k ɯ̟ᵝ j a̠ mʲ i
くよう	k ɯ̟ᵝ j o̞ː
座	d͡z a̠
座	k ɯ̟ᵝ ɾ a̠
ぐらい	ɡ ɯ̟ᵝ ɾ a̠ i
くらう	k ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ
くらがり	k ɯ̟ᵝ ɾ a̠ ɡ a̠ ɾʲ i
クラス	k ɯ̟ᵝ ɾ a̠ s ɨᵝ
グラス	ɡ ɯ̟̊ᵝ ɾ a̠ s ɨ̥ᵝ
クラッキング	k ɯ̟ᵝ ɾ a̠ k̚ʲ kʲ ĩ ŋ ɡ ɯ̟ᵝ
グラデーション	ɡ ɯ̟ᵝ ɾ a̠ d e̞ː ɕ õ̞ ɴ
グラニューとう	ɡ ɯ̟ᵝ ɾ a̠ ɲ̟ ɯ̟ᵝː t o̞ː
グラノーラ	ɡ ɯ̟ᵝ ɾ a̠ n o̞ː ɾ a̠
グラフィック	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i̥ k̚ k ɯ̟ᵝ
グラフィティ	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i tʲ i
クラブ	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
クラブ	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
くらべ	k ɯ̟ᵝ ɾ a̠ b e̞
くらべもの	k ɯ̟ᵝ ɾ a̠ b e̞ m o̞ n o̞
クラミジア	k ɯ̟ᵝ ɾ a̠ mʲ i ʑ i a̠
グラム	ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
くらやみ	k ɯ̟ᵝ ɾ a̠ j a̠ mʲ i
クラリネット	k ɯ̟ᵝ ɾ a̠ ɾʲ i n e̞ t̚ t o̞
クランク	k ɯ̟ᵝ ɾ ã̠ ŋ k ɯ̟ᵝ
クランベリー	k ɯ̟ᵝ ɾ ã̠ m b e̞ ɾʲ iː
くり	k ɯ̟ᵝ ɾʲ i
ぐり	ɡ ɯ̟ᵝ ɾʲ i
クリア	k ɯ̟ᵝ ɾʲ i a̠
グリーグ	ɡ ɯ̟ᵝ ɾʲ iː ɡ ɯ̟ᵝ
クリーン	k ɯ̟ᵝ ɾʲ ĩː ɴ
グリーンしゃ	ɡ ɯ̟ᵝ ɾʲ ĩː ɰ̃ ɕ a̠
グリーンピース	ɡ ɯ̟ᵝ ɾʲ ĩː m pʲ iː s ɨᵝ
クリエイティブ	k ɯ̟ᵝ ɾʲ i e̞ː tʲ i b ɯ̟ᵝ
クリオーリョ	k ɯ̟ᵝ ɾʲ i o̞ː ɾʲ o̞
クリオール	k ɯ̟ᵝ ɾʲ i o̞ː ɾ ɯ̟ᵝ
くりかえし	k ɯ̟ᵝ ɾʲ i k a̠ e̞ ɕ i
クリケット	k ɯ̟ᵝ ɾʲ i k e̞ t̚ t o̞
グリコーゲン	ɡ ɯ̟ᵝ ɾʲ i k o̞ː ɡ ẽ̞ ɴ
グリコシド	ɡ ɯ̟ᵝ ɾʲ i k o̞ ɕ i d o̞
クリス	k ɯ̟ᵝ ɾʲ i s ɨ̥ᵝ
クリスマス	k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨᵝ
クリスマスイブ	k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨ̥ᵝ i b ɯ̟ᵝ
グリズリー	ɡ ɯ̟ᵝ ɾʲ i z ɨᵝ ɾʲ iː
グリセリド	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾʲ i d o̞
グリセリン	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾʲ ĩ ɴ
グリセロール	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾ o̞ː ɾ ɯ̟ᵝ
くりだす	k ɯ̟ᵝ ɾʲ i d a̠ s ɨᵝ
グリッサンド	ɡ ɯ̟ᵝ ɾʲ i sː ã̠ n d o̞
クリップボード	k ɯ̟ᵝ ɾʲ i p̚ p ɯ̟ᵝ b o̞ː d o̞
クリトリス	k ɯ̟ᵝ ɾʲ i t o̞ ɾʲ i s ɨ̥ᵝ
クリニック	k ɯ̟ᵝ ɾʲ i ɲ̟ i k̚ k ɯ̟ᵝ
りす	ɾʲ i s ɨᵝ
リス	k ɯ̟ᵝ ɾʲ i n e̞ z ɨᵝ mʲ i
クリノリン	k ɯ̟ᵝ ɾʲ i n o̞ ɾʲ ĩ ɴ
クリプトン	k ɯ̟ᵝ ɾʲ i p ɯ̟̊ᵝ t õ̞ ɴ
クリぼっち	k ɯ̟ᵝ ɾʲ i b o̞ t̚ t͡ɕ i
くる	k ɯ̟ᵝ ɾ ɯ̟ᵝ
クルアーン	k ɯ̟ᵝ ɾ ɯ̟ᵝ ã̠ː ɴ
くるいざき	k ɯ̟ᵝ ɾ ɯ̟ᵝ i z a̠ kʲ i
クルー	k ɯ̟ᵝ ɾ ɯ̟ᵝː
グルーオン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː õ̞ ɴ
グループ	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː p ɯ̟ᵝ
くるおしい	k ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ ɕ iː
くるおしい	k ɯ̟ᵝ ɾ ɯ̟ᵝ o̞ ɕ iː
グルコース	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ k o̞ː s ɨᵝ
くるしみ	k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i mʲ i
グルジア	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ʑ i a̠
グルジアご	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ʑ i a̠ ɡ o̞
グルジアじん	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ʑ i a̠ ʑ ĩ ɴ
グルタミン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t a̠ mʲ ĩ ɴ
グルタミンさん	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t a̠ mʲ ĩ ɰ̃ s ã̠ ɴ
グルテン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t ẽ̞ ɴ
くるま	k ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠
くるまいす	k ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠ i s ɨᵝ
くるみわり	k ɯ̟ᵝ ɾ ɯ̟ᵝ mʲ i ɰᵝ a̠ ɾʲ i
くるわ	k ɯ̟ᵝ ɾ ɯ̟ᵝ ɰᵝ a̠
くるわことば	k ɯ̟ᵝ ɾ ɯ̟ᵝ ɰᵝ a̠ k o̞ t o̞ b a̠
くるわしい	k ɯ̟ᵝ ɾ ɯ̟ᵝ ɰᵝ a̠ ɕ iː
ご	ɡ o̞
くれ	k ɯ̟ᵝ ɾ e̞
くれ	k ɯ̟ᵝ ɾ e̞
グレイ	ɡ ɯ̟ᵝ ɾ e̞ː
グレー	ɡ ɯ̟ᵝ ɾ e̞ː
グレイ・カップ	ɡ ɯ̟ᵝ ɾ e̞ː k a̠ p̚ p ɯ̟ᵝ
グレースケール	ɡ ɯ̟ᵝ ɾ e̞ː s ɨ̥ᵝ k e̞ː ɾ ɯ̟ᵝ
グレートブリテンとう	ɡ ɯ̟ᵝ ɾ e̞ː t o̞ b ɯ̟ᵝ ɾʲ i t ẽ̞ n t o̞ː
グレービー	ɡ ɯ̟ᵝ ɾ e̞ː bʲ iː
クレープ	k ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ
グレープフルーツ	ɡ ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝː t͡s ɨᵝ
クレーマー	k ɯ̟ᵝ ɾ e̞ː m a̠ː
クレーン	k ɯ̟ᵝ ɾ ẽ̞ː ɴ
クレオール	k ɯ̟ᵝ ɾ e̞ o̞ː ɾ ɯ̟ᵝ
クレカ	k ɯ̟ᵝ ɾ e̞ k a̠
くれがた	k ɯ̟ᵝ ɾ e̞ ɡ a̠ t a̠
くれぐれ	k ɯ̟ᵝ ɾ e̞ ɡ ɯ̟ᵝ ɾ e̞
くれぐれ	k ɯ̟ᵝ ɾ e̞ ɡ ɯ̟ᵝ ɾ e̞
クレジット	k ɯ̟ᵝ ɾ e̞ ʑ i t̚ t o̞
くれなずむ	k ɯ̟ᵝ ɾ e̞ n a̠ z ɨᵝ m ɯ̟ᵝ
クレヨン	k ɯ̟ᵝ ɾ e̞ j õ̞ ɴ
ぐれん	ɡ ɯ̟ᵝ ɾ ẽ̞ ɴ
くろ	k ɯ̟ᵝ ɾ o̞
グロ	ɡ ɯ̟ᵝ ɾ o̞
クロアチアじん	k ɯ̟ᵝ ɾ o̞ a̠ t͡ɕ i a̠ ʑ ĩ ɴ
グロい	ɡ ɯ̟ᵝ ɾ o̞ i
くろう	k ɯ̟ᵝ ɾ o̞ː
くろうたどり	k ɯ̟ᵝ ɾ o̞ ɯ̟ᵝ t a̠ d o̞ ɾʲ i
くろうと	k ɯ̟ᵝ ɾ o̞ ɯ̟ᵝ t o̞
クローゼット	k ɯ̟ᵝ ɾ o̞ː z e̞ t̚ t o̞
グローバリゼーション	ɡ ɯ̟ᵝ ɾ o̞ː b a̠ ɾʲ i z e̞ː ɕ õ̞ ɴ
クローラ	k ɯ̟ᵝ ɾ o̞ː ɾ a̠
グローリア	ɡ ɯ̟ᵝ ɾ o̞ː ɾʲ i a̠
クローン	k ɯ̟ᵝ ɾ õ̞ː ɴ
くろがも	k ɯ̟ᵝ ɾ o̞ ɡ a̠ m o̞
グログラン	ɡ ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ ã̠ ɴ
くろごけぐも	k ɯ̟ᵝ ɾ o̞ ɡ o̞ k e̞ ɡ ɯ̟ᵝ m o̞
くろさい	k ɯ̟ᵝ ɾ o̞ s a̠ i
くろさぎ	k ɯ̟ᵝ ɾ o̞ s a̠ ɡʲ i
くろしお	k ɯ̟ᵝ ɾ o̞ ɕ i o̞
クロスオーバー	k ɯ̟ᵝ ɾ o̞ s ɨᵝ o̞ː b a̠ː
クロスワード	k ɯ̟ᵝ ɾ o̞ s ɨᵝ ɰᵝ a̠ː d o̞
くろずむ	k ɯ̟ᵝ ɾ o̞ z ɨᵝ m ɯ̟ᵝ
クロックラジオ	k ɯ̟ᵝ ɾ o̞ k̚ k ɯ̟ᵝ ɾ a̠ ʑ i o̞
クロッケー	k ɯ̟ᵝ ɾ o̞ k̚ k e̞ː
くろづる	k ɯ̟ᵝ ɾ o̞ z ɨᵝ ɾ ɯ̟ᵝ
グロテスク	ɡ ɯ̟ᵝ ɾ o̞ t e̞ s ɨᵝ k ɯ̟ᵝ
くろてん	k ɯ̟ᵝ ɾ o̞ t ẽ̞ ɴ
くろでんわ	k ɯ̟ᵝ ɾ o̞ d ẽ̞ ɰ̃ ɰᵝ a̠
こくちょう	k o̞ k ɯ̟̊ᵝ t͡ɕ o̞ː
コクチョウ	k ɯ̟ᵝ ɾ o̞ t o̞ ɾʲ i
くろねこ	k ɯ̟ᵝ ɾ o̞ n e̞ k o̞
くろばむ	k ɯ̟ᵝ ɾ o̞ b a̠ m ɯ̟ᵝ
くろふね	k ɯ̟ᵝ ɾ o̞ ɸ ɯ̟ᵝ n e̞
くろぶた	k ɯ̟ᵝ ɾ o̞ b ɯ̟ᵝ t a̠
クロマキー	k ɯ̟ᵝ ɾ o̞ m a̠ kʲ iː
くろみ	k ɯ̟ᵝ ɾ o̞ mʲ i
くろみつ	k ɯ̟ᵝ ɾ o̞ mʲ i t͡s ɨᵝ
クロム	k ɯ̟ᵝ ɾ o̞ m ɯ̟ᵝ
くろむぎ	k ɯ̟ᵝ ɾ o̞ m ɯ̟ᵝ ɡʲ i
くろめがね	k ɯ̟ᵝ ɾ o̞ m e̞ ɡ a̠ n e̞
クロモリ	k ɯ̟ᵝ ɾ o̞ m o̞ ɾʲ i
くろやなぎ	k ɯ̟ᵝ ɾ o̞ j a̠ n a̠ ɡʲ i
くろやなぎ	k ɯ̟ᵝ ɾ o̞ j a̠ n a̠ ɡʲ i
くろれきし	k ɯ̟ᵝ ɾ o̞ ɾ e̞ kʲ i ɕ i
クロロフィル	k ɯ̟ᵝ ɾ o̞ ɾ o̞ ɸʲ i ɾ ɯ̟ᵝ
クロロベンゼン	k ɯ̟ᵝ ɾ o̞ ɾ o̞ b ẽ̞ n d͡z ẽ̞ ɴ
クロワッサン	k ɯ̟ᵝ ɾ o̞ ɰᵝ a̠ sː ã̠ ɴ
くろんぼ	k ɯ̟ᵝ ɾ õ̞ m b o̞
くわ	k ɯ̟ᵝ ɰᵝ a̠
くわ	k ɯ̟ᵝ ɰᵝ a̠
くわい	k ɯ̟ᵝ ɰᵝ a̠ i
加えて	k ɯ̟ᵝ ɰᵝ a̠ e̞ t e̞
くわがた	k ɯ̟ᵝ ɰᵝ a̠ ɡ a̠ t a̠
くわがたむし	k ɯ̟ᵝ ɰᵝ a̠ ɡ a̠ t a̠ m ɯ̟ᵝ ɕ i
くわだて	k ɯ̟ᵝ ɰᵝ a̠ d a̠ t e̞
くわだてる	k ɯ̟ᵝ ɰᵝ a̠ d a̠ t e̞ ɾ ɯ̟ᵝ
クワルク	k ɯ̟ᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ
くん	k ɯ̟̃ᵝ ɴ
ぐんか	ɡ ɯ̟̃ᵝ ŋ k a̠
くんかくんか	k ɯ̟̃ᵝ ŋ k a̠ k ɯ̟̃ᵝ ŋ k a̠
ぐんかん	ɡ ɯ̟̃ᵝ ŋ k ã̠ ɴ
ぐんこう	ɡ ɯ̟̃ᵝ ŋ k o̞ː
くんしゅ	k ɯ̟̃ᵝ ɰ̃ ɕ ɨᵝ
くんしゅこく	k ɯ̟̃ᵝ ɰ̃ ɕ ɨ̥ᵝ k o̞ k ɯ̟ᵝ
くんしゅせい	k ɯ̟̃ᵝ ɰ̃ ɕ ɨ̥ᵝ s e̞ː
ぐんじ	ɡ ɯ̟̃ᵝ ɲ̟ d͡ʑ i
ぐんそう	ɡ ɯ̟̃ᵝ ɰ̃ s o̞ː
くんそく	k ɯ̟̃ᵝ ɰ̃ s o̞ k ɯ̟ᵝ
ぐんだん	ɡ ɯ̟̃ᵝ n d ã̠ ɴ
ぐんとう	ɡ ɯ̟̃ᵝ n t o̞ː
くんどく	k ɯ̟̃ᵝ n d o̞ k ɯ̟ᵝ
ぐんぴ	ɡ ɯ̟̃ᵝ m pʲ i
ぐんぷく	ɡ ɯ̟̃ᵝ m p ɯ̟ᵝ k ɯ̟ᵝ
くんぺん	k ɯ̟̃ᵝ m p ẽ̞ ɴ
ぐんま	ɡ ɯ̟̃ᵝ mː a̠
ぐんまけん	ɡ ɯ̟̃ᵝ mː a̠ k ẽ̞ ɴ
ぐんようき	ɡ ɯ̟̃ᵝ ɰ̃ j o̞ː kʲ i
くんよみ	k ɯ̟̃ᵝ ɰ̃ j o̞ mʲ i
ぐんろん	ɡ ɯ̟̃ᵝ n ɾ õ̞ ɴ
クヴァルク	k ɯ̟ᵝ b a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ
く゚	ŋ ɯ̟ᵝ
け	k e̞
ケ	k e̞
き	kʲ i
け	k e̞
ゲ	ɡ e̞
した	ɕ i̥ t a̠
しも	ɕ i m o̞
もと	m o̞ t o̞
げ	ɡ e̞
なつ	n a̠ t͡s ɨᵝ
げ	ɡ e̞
そと	s o̞ t o̞
と	j o̞ s o̞
げ	t o̞
ケイ	k e̞ː
ゲイ	ɡ e̞ː
けいい	k e̞ː i
けいい	k e̞ iː
けいいち	k e̞ iː t͡ɕ i
けいいち	k e̞ iː t͡ɕ i
けいえい	k e̞ː e̞ː
けいおう	k e̞ː o̞ː
けいおんがく	k e̞ː õ̞ ŋ ɡ a̠ k ɯ̟ᵝ
ほたるび	h o̞ t a̠ ɾ ɯ̟ᵝ bʲ i
けいか	k e̞ː k a̠
げいか	ɡ e̞ː k a̠
げいか	ɡ e̞ː k a̠
けいかいかん	k e̞ː k a̠ i k ã̠ ɴ
けいかく	k e̞ː k a̠ k ɯ̟ᵝ
けいかちゃ	k e̞ː k a̠ t͡ɕ a̠
とさか	k e̞ː k ã̠ ɴ
とさか	k e̞ː k ã̠ ɴ
けいき	k e̞ː kʲ i
けいき	k e̞ː kʲ i
けいき	k e̞ː kʲ i
けいき	k e̞ː kʲ i
けいき	k e̞ː kʲ i
けいき	k e̞ː kʲ i
けいき	k e̞ː kʲ i
けいきかんじゅう	k e̞ː kʲ i k ã̠ ɲ̟ d͡ʑ ɨᵝː
けいきへい	k e̞ː kʲ i h e̞ː
けいきょく	k e̞ː kʲ o̞ k ɯ̟ᵝ
げいぎ	ɡ e̞ː ɡʲ i
けいけん	k e̞ː k ẽ̞ ɴ
げいげい	ɡ e̞ː ɡ e̞ː
げいげい	k e̞ː ɡ e̞ː
けいげん	k e̞ː ɡ ẽ̞ ɴ
けいこ	k e̞ː k o̞
げいこ	ɡ e̞ː k o̞
けいこう	k e̞ː k o̞ː
けいこう	k e̞ː k o̞ː
けいこう	k e̞ː k o̞ː
けいこうぎょう	k e̞ː k o̞ː ɡʲ o̞ː
けいこうひょうじかん	k e̞ː k o̞ː ç o̞ː ʑ i k ã̠ ɴ
けいこぎ	k e̞ː k o̞ ɡʲ i
げいこつ	ɡ e̞ː k o̞ t͡s ɨᵝ
けいご	k e̞ː ɡ o̞
けいご	k e̞ː ɡ o̞
げいご	ɡ e̞ː ɡ o̞
げいごう	ɡ e̞ː ɡ o̞ː
けいさく	k e̞ː s a̠ k ɯ̟ᵝ
けいさく	k e̞ː s a̠ k ɯ̟ᵝ
けいさつ	k e̞ː s a̠ t͡s ɨᵝ
けいさつかん	k e̞ː s a̠ t͡s ɨᵝ k ã̠ ɴ
けいさんしき	k e̞ː s ã̠ ɰ̃ ɕ i kʲ i
けいざい	k e̞ː z a̠ i
けいざい	k e̞ː z a̠ i
けいざいがく	k e̞ː z a̠ i ɡ a̠ k ɯ̟ᵝ
けいざいてき	k e̞ː z a̠ i t e̞ kʲ i
けいし	k e̞ː ɕ i
けいしき	k e̞ː ɕ i̥ kʲ i
けいしちょう	k e̞ː ɕ i t͡ɕ o̞ː
げいしゃ	ɡ e̞ː ɕ a̠
けいしょう	k e̞ː ɕ o̞ː
敬称略	k e̞ː ɕ o̞ː ɾʲ a̠ k ɯ̟ᵝ
けいしん	k e̞ː ɕ ĩ ɴ
けいしん	k e̞ː ɕ ĩ ɴ
けいしん	k e̞ː ɕ ĩ ɴ
けいじ	k e̞ː ʑ i
けいじ	k e̞ː ʑ i
けいじ	k e̞ː ʑ i
