Ⴁ	b
გამოცემით	ɡ ɑ m ɔ t s ɛ m ɪ tʰ
გამოცემის	ɡ ɑ m ɔ t s ɛ m ɪ s
გამოცხობა	ɡ ɑ m ɔ t s x ɔ b ɑ
გამოხატავს	ɡ ɑ m ɔ x ɑ tʼ ɑ v s
გამოჯავრებით	ɡ ɑ m ɔ d ʒ ɑ v r ɛ b ɪ tʰ
გამრყვნელად	ɡ ɑ m r qʼ v n ɛ l ɑ d
გამსახურდია	ɡ ɑ m s ɑ x u r d i ɑ
გამტარობა	ɡ ɑ m tʼ ɑ r ɔ b ɑ
გამუდმებით	ɡ ɑ m u d m ɛ b ɪ tʰ
გამურულად	ɡ ɑ m u r u l ɑ d
გამძლე	ɡ ɑ m d z l ɛ
გამძლეობა	ɡ ɑ m d z l ɛ ɔ b ɑ
გამჭვირვალე	ɡ ɑ m t ʃʼ v ɪ r v ɑ l ɛ
გამჭვირვალედ	ɡ ɑ m t ʃʼ v ɪ r v ɑ l ɛ d
გამჭოლად	ɡ ɑ m t ʃʼ ɔ l ɑ d
გამჭრიახად	ɡ ɑ m t ʃʼ r ɪ ɑ χ ɑ d
გამჭრიახი	ɡ ɑ m t ʃʼ r i ɑ x i
გამჭრიახობა	ɡ ɑ m t ʃʼ r i ɑ x ɔ b ɑ
გამხდრად	ɡ ɑ m χ d r ɑ d
განა	ɡ ɑ n ɑ
განადგურება	ɡ ɑ n ɑ d ɡ u r ɛ b ɑ
განათლება	ɡ ɑ n ɑ tʰ l ɛ b ɑ
განაჩენი	ɡ ɑ n ɑ t ʃ ɛ n ɪ
განაცხადა	ɡ ɑ n ɑ t s χ ɑ d ɑ
განაცხადებს	ɡ ɑ n ɑ t s x ɑ d ɛ b s
განაწილება	ɡ ɑ n ɑ t sʼ i l ɛ b ɑ
განახლებადი	ɡ ɑ n ɑ χ l ɛ b ɑ d ɪ
განგაში	ɡ ɑ n ɡ ɑ ʃ i
განგმირვა	ɡ ɑ n ɡ m i r v ɑ
განგრენა	ɡ ɑ n ɡ r ɛ n ɑ
განგსტერი	ɡ ɑ n ɡ s tʼ ɛ r ɪ
განდგომილები	ɡ ɑ n d ɡ ɔ m ɪ l ɛ b ɪ
განებივრებული	ɡ ɑ n ɛ b i v r ɛ b u l i
განედი	ɡ ɑ n ɛ d ɪ
განვითარებამ	ɡ ɑ n v ɪ tʰ ɑ r ɛ b ɑ m
განვითარებას	ɡ ɑ n v ɪ tʰ ɑ r ɛ b ɑ s
განვითარების	ɡ ɑ n v ɪ tʰ ɑ r ɛ b ɪ s
განზე	ɡ ɑ n z ɛ
განზომილება	ɡ ɑ n z ɔ m ɪ l ɛ b ɑ
განზრახ	ɡ ɑ n z r ɑ χ
განზრახულად	ɡ ɑ n z r ɑ χ u l ɑ d
განთიადი	ɡ ɑ n tʰ i ɑ d i
განიერი	ɡ ɑ n ɪ ɛ r ɪ
განივ	ɡ ɑ n ɪ v
განივად	ɡ ɑ n ɪ v ɑ d
განივი	ɡ ɑ n ɪ v ɪ
განიცდიან	ɡ ɑ n ɪ t s d ɪ ɑ n
განიცდის	ɡ ɑ n i t s d i s
განკარგულება	ɡ ɑ n kʼ ɑ r ɡ u l ɛ b ɑ
განმანათლებლობა	ɡ ɑ n m ɑ n ɑ tʰ l ɛ b l ɔ b ɑ
განმარტება	ɡ ɑ n m ɑ r tʼ ɛ b ɑ
განმარტებითი	ɡ ɑ n m ɑ r tʼ ɛ b i tʰ i
განმგმირავად	ɡ ɑ n m ɡ m ɪ r ɑ v ɑ d
განმეორებადი	ɡ ɑ n m ɛ ɔ r ɛ b ɑ d ɪ
განმეორებით	ɡ ɑ n m ɛ ɔ r ɛ b ɪ tʰ
განმეორებითი	ɡ ɑ n m ɛ ɔ r ɛ b ɪ tʰ ɪ
განრიგები	ɡ ɑ n r ɪ ɡ ɛ b ɪ
განრიგი	ɡ ɑ n r ɪ ɡ ɪ
განრისხებულად	ɡ ɑ n r ɪ s χ ɛ b u l ɑ d
განსაზღვრავს	ɡ ɑ n s ɑ z ɣ v r ɑ v s
განსაზღვრულად	ɡ ɑ n s ɑ z ʁ v r u l ɑ d
განსაზღვრული	ɡ ɑ n s ɑ z ʁ v r u l ɪ
განსაკუთრებით	ɡ ɑ n s ɑ kʼ u tʰ r ɛ b ɪ tʰ
განსაკუთრებულად	ɡ ɑ n s ɑ kʼ u tʰ r ɛ b u l ɑ d
განსაკუთრებული	ɡ ɑ n s ɑ kʼ u tʰ r ɛ b u l i
განსაცვიფრებლად	ɡ ɑ n s ɑ t s v ɪ pʰ r ɛ b l ɑ d
განსხვავება	ɡ ɑ n s x v ɑ v ɛ b ɑ
განსხვავებით	ɡ ɑ n s χ v ɑ v ɛ b ɪ tʰ
განსხვავებულად	ɡ ɑ n s χ v ɑ v ɛ b u l ɑ d
განსხვავებული	ɡ ɑ n s x v ɑ v ɛ b u l i
განუზომლად	ɡ ɑ n u z ɔ m l ɑ d
განუზრახავად	ɡ ɑ n u z r ɑ χ ɑ v ɑ d
განურჩევლად	ɡ ɑ n u r t ʃ ɛ v l ɑ d
განუსაზღვრელად	ɡ ɑ n u s ɑ z ʁ v r ɛ l ɑ d
განუწყვეტლად	ɡ ɑ n u t sʼ qʼ v ɛ tʼ l ɑ d
განუხორციელებელი	ɡ ɑ n u x ɔ r t s i ɛ l ɛ b ɛ l i
განუხორციელებლად	ɡ ɑ n u χ ɔ r t s ɪ ɛ l ɛ b l ɑ d
განყენებულად	ɡ ɑ n qʼ ɛ n ɛ b u l ɑ d
განყოფილება	ɡ ɑ n qʼ ɔ pʰ ɪ l ɛ b ɑ
განცალკევებით	ɡ ɑ n t s ɑ l kʼ ɛ v ɛ b i tʰ
განძი	ɡ a n d z i
განწყობა	ɡ ɑ n t sʼ qʼ ɔ b ɑ
განხეთქილება	ɡ ɑ n x ɛ tʰ kʰ i l ɛ b ɑ
განხილვა	ɡ ɑ n x i l v ɑ
გაოცებულად	ɡ ɑ ɔ t s ɛ b u l ɑ d
გარანტი	ɡ ɑ r ɑ n tʼ ɪ
გარანტია	ɡ ɑ r ɑ n tʼ ɪ ɑ
გარაჟი	ɡ ɑ r ɑ ʒ ɪ
გარგარი	ɡ ɑ r ɡ ɑ r i
გარდამავალი	ɡ ɑ r d ɑ m ɑ v ɑ l i
გარდამავლად	ɡ ɑ r d ɑ m ɑ v l ɑ d
გარდაუვალად	ɡ ɑ r d ɑ u v ɑ l ɑ d
გარდაუვალობა	ɡ ɑ r d ɑ u v ɑ l ɔ b ɑ
გარდაუვლად	ɡ ɑ r d ɑ u v l ɑ d
გარდაცვალებად	ɡ ɑ r d ɑ t s v ɑ l ɛ b ɑ d
გარდაცვალებამ	ɡ ɑ r d ɑ t s v ɑ l ɛ b ɑ m
გარდაცვალებას	ɡ ɑ r d ɑ t s v ɑ l ɛ b ɑ s
გარდაცვალებით	ɡ ɑ r d ɑ t s v ɑ l ɛ b ɪ tʰ
გარდაცვალების	ɡ ɑ r d ɑ t s v ɑ l ɛ b ɪ s
გარდაცვლილი	ɡ ɑ r d ɑ t s v l i l i
გარდერობი	ɡ ɑ r d ɛ r ɔ b ɪ
გარდიგარდმო	ɡ ɑ r d ɪ ɡ ɑ r d m ɔ
გარე	ɡ ɑ r ɛ
გარეგანი	ɡ ɑ r ɛ ɡ ɑ n i
გარეგნობა	ɡ ɑ r ɛ ɡ n ɔ b ɑ
გარეგნულად	ɡ ɑ r ɛ ɡ n u l ɑ d
გარეგნული	ɡ ɑ r ɛ ɡ n u l i
გარედან	ɡ ɑ r ɛ d ɑ n
გარეთ	ɡ ɑ r ɛ tʰ
გარეთა	ɡ ɑ r ɛ tʰ ɑ
გარემო	ɡ ɑ r ɛ m ɔ
გარემოება	ɡ ɑ r ɛ m ɔ ɛ b ɑ
გარეუბანი	ɡ ɑ r ɛ u b ɑ n ɪ
გარეშე	ɡ ɑ r ɛ ʃ ɛ
გართულებული	ɡ ɑ r tʰ u l ɛ b u l i
გარიჟრაჟი	ɡ ɑ r i ʒ r ɑ ʒ i
გარკვევით	ɡ ɑ r kʼ v ɛ v ɪ tʰ
გარკვეული	ɡ ɑ r kʼ v ɛ u l i
გარნიზონი	ɡ ɑ r n ɪ z ɔ n ɪ
გარნირი	ɡ ɑ r n ɪ r ɪ
გარსი	ɡ ɑ r s ɪ
გარყვნილად	ɡ ɑ r qʼ v n ɪ l ɑ d
გარყვნილება	ɡ ɑ r qʼ v n ɪ l ɛ b ɑ
გარყვნილები	ɡ ɑ r qʼ v n ɪ l ɛ b ɪ
გარყვნილი	ɡ ɑ r qʼ v n ɪ l ɪ
გარშემო	ɡ ɑ r ʃ ɛ m ɔ
გასაგებად	ɡ ɑ s ɑ ɡ ɛ b ɑ d
გასაგები	ɡ ɑ s ɑ ɡ ɛ b ɪ
გასავლიანი	ɡ ɑ s ɑ v l i ɑ n i
გასამათრახებელი	ɡ ɑ s ɑ m ɑ tʰ r ɑ χ ɛ b ɛ l ɪ
გასამრჯელო	ɡ ɑ s ɑ m r d ʒ ɛ l ɔ
გასაოცარი	ɡ ɑ s ɑ ɔ t s ɑ r ɪ
გასაოცრად	ɡ ɑ s ɑ ɔ t s r ɑ d
გასართობად	ɡ ɑ s ɑ r tʰ ɔ b ɑ d
გასასვლელი	ɡ ɑ s ɑ s v l ɛ l i
გასაღები	ɡ ɑ s ɑ ʁ ɛ b ɪ
გასაჭირი	ɡ ɑ s ɑ t ʃʼ i r i
გასინჯვა	ɡ ɑ s i n d ʒ v ɑ
გასტრიტი	ɡ ɑ s tʼ r ɪ tʼ ɪ
გასული	ɡ ɑ s u l i
გასულიყო	ɡ ɑ s u l ɪ qʼ ɔ
გასწვრივ	ɡ ɑ s t sʼ v r i v
გატრუნვა	ɡ ɑ tʼ r u n v ɑ
გაუბედავად	ɡ ɑ u b ɛ d ɑ v ɑ d
გაუბედაობა	ɡ ɑ u b ɛ d ɑ ɔ b ɑ
გაუგებრად	ɡ ɑ u ɡ ɛ b r ɑ d
გაუგებრობა	ɡ ɑ u ɡ ɛ b r ɔ b ɑ
გაუმარჯოს	ɡ ɑ u m ɑ r d ʒ ɔ s
გაუმაძღრად	ɡ ɑ u m ɑ d z ʁ r ɑ d
გაუმაძღრობა	ɡ ɑ u m ɑ d z ʁ r ɔ b ɑ
გაუნათლებლად	ɡ ɑ u n ɑ tʰ l ɛ b l ɑ d
გაუნძრევლად	ɡ ɑ u n d z r ɛ v l ɑ d
გაუპატიურება	ɡ ɑ u pʼ ɑ tʼ ɪ u r ɛ b ɑ
გაურკვევლად	ɡ ɑ u r kʼ v ɛ v l ɑ d
გაურკვევლობა	ɡ ɑ u r kʼ v ɛ v l ɔ b ɑ
გაუსაძლისი	ɡ ɑ u s ɑ d z l ɪ s ɪ
გაუფრთხილებლად	ɡ ɑ u pʰ r tʰ χ ɪ l ɛ b l ɑ d
გაუწონასწორებლად	ɡ ɑ u t sʼ ɔ n ɑ s t sʼ ɔ r ɛ b l ɑ d
გაუხშოებულად	ɡ ɑ u χ ʃ ɔ ɛ b u l ɑ d
გაფანტული	ɡ ɑ pʰ ɑ n tʼ u l ɪ
გაფატრავს	ɡ ɑ pʰ ɑ tʼ r ɑ v s
გაფატრვა	ɡ ɑ pʰ ɑ tʼ r v ɑ
გაფენს	ɡ ɑ pʰ ɛ n s
გაფინა	ɡ ɑ pʰ ɪ n ɑ
გაფიცვა	ɡ ɑ pʰ i t s v ɑ
გაფრენა	ɡ ɑ pʰ r ɛ n ɑ
გაფუფუნებული	ɡ ɑ pʰ u pʰ u n ɛ b u l ɪ
გაფუჭება	ɡ ɑ pʰ u t ʃʼ ɛ b ɑ
გაფუჭებული	ɡ ɑ pʰ u t ʃʼ ɛ b u l i
გაქვთ	ɡ ɑ kʰ v tʰ
გაქცევა	ɡ ɑ kʰ t s ɛ v ɑ
გაღიზიანებულად	ɡ ɑ ʁ ɪ z ɪ ɑ n ɛ b u l ɑ d
გაღიმებული	ɡ ɑ ʁ ɪ m ɛ b u l ɪ
გაყიდვა	ɡ ɑ qʼ i d v ɑ
გაყოფადი	ɡ ɑ qʼ ɔ pʰ ɑ d ɪ
გაშეშებულად	ɡ ɑ ʃ ɛ ʃ ɛ b u l ɑ d
გაშეშებული	ɡ ɑ ʃ ɛ ʃ ɛ b u l ɪ
გაშლილი	ɡ ɑ ʃ l i l i
გაშრობა	ɡ ɑ ʃ r ɔ b ɑ
გაჩერებული	ɡ ɑ t ʃ ɛ r ɛ b u l ɪ
გაჩეჩილი	ɡ ɑ t ʃ ɛ t ʃ i l i
გაჩითული	ɡ ɑ t ʃ i tʰ u l i
გაცვეთილად	ɡ ɑ t s v ɛ tʰ ɪ l ɑ d
გაცვეთილი	ɡ ɑ t s v ɛ tʰ ɪ l ɪ
გაცილებით	ɡ ɑ t s ɪ l ɛ b ɪ tʰ
გაცინებული	ɡ ɑ t s ɪ n ɛ b u l ɪ
გაცრეცილი	ɡ ɑ t s r ɛ t s ɪ l ɪ
გაძლევთ	ɡ ɑ d z l ɛ v tʰ
გაწონასწორებულად	ɡ ɑ t sʼ ɔ n ɑ s t sʼ ɔ r ɛ b u l ɑ d
გაწყალებული	ɡ ɑ t sʼ qʼ ɑ l ɛ b u l i
გაჭყლეტილი	ɡ ɑ t ʃʼ qʼ l ɛ tʼ ɪ l ɪ
გახარებულად	ɡ ɑ χ ɑ r ɛ b u l ɑ d
გახევებულად	ɡ ɑ χ ɛ v ɛ b u l ɑ d
გახმაურებულად	ɡ ɑ χ m ɑ u r ɛ b u l ɑ d
გახნის	ɡ ɑ x n i s
გახსნა	ɡ ɑ χ s n ɑ
გდება	ɡ d ɛ b ɑ
გეგმავს	ɡ ɛ ɡ m ɑ v s
გედი	ɡ ɛ d i
გეი	ɡ ɛ i
გეიზერი	ɡ ɛ ɪ z ɛ r ɪ
გეიშა	ɡ ɛ ɪ ʃ ɑ
გელა	ɡ ɛ l ɑ
გელაქნური	ɡ ɛ l ɑ kʰ n u r i
გემბანი	ɡ ɛ m b ɑ n ɪ
გემზე	ɡ ɛ m z ɛ
გემი	ɡ ɛ m ɪ
გემო	ɡ ɛ m ɔ
გემოვნებიანი	ɡ ɛ m ɔ v n ɛ b ɪ ɑ n ɪ
გემოვნებით	ɡ ɛ m ɔ v n ɛ b i tʰ
გემრიელად	ɡ ɛ m r ɪ ɛ l ɑ d
გემრიელი	ɡ ɛ m r i ɛ l i
გენაცვალე	ɡ ɛ n ɑ t s v ɑ l ɛ
გენეალოგია	ɡ ɛ n ɛ ɑ l ɔ ɡ ɪ ɑ
გენეალოგიურად	ɡ ɛ n ɛ ɑ l ɔ ɡ ɪ u r ɑ d
გენეალოგიური	ɡ ɛ n ɛ ɑ l ɔ ɡ ɪ u r ɪ
გენერალი	ɡ ɛ n ɛ r ɑ l ɪ
გენერატორი	ɡ ɛ n ɛ r ɑ tʼ ɔ r ɪ
გენერაციული	ɡ ɛ n ɛ r ɑ t s i u l i
გენეტიკა	ɡ ɛ n ɛ tʼ ɪ kʼ ɑ
გენეტიკოსი	ɡ ɛ n ɛ tʼ ɪ kʼ ɔ s ɪ
გენეტიკურად	ɡ ɛ n ɛ tʼ ɪ kʼ u r ɑ d
გენეტიკური	ɡ ɛ n ɛ tʼ i kʼ u r i
გენი	ɡ ɛ n ɪ
გენიტალური	ɡ ɛ n ɪ tʼ ɑ l u r ɪ
გენუა	ɡ ɛ n u ɑ
გეოგრაფი	ɡ ɛ ɔ ɡ r ɑ pʰ ɪ
გეოგრაფია	ɡ ɛ ɔ ɡ r ɑ pʰ ɪ ɑ
გეოგრაფიულად	ɡ ɛ ɔ ɡ r ɑ pʰ ɪ u l ɑ d
გეოგრაფიული	ɡ ɛ ɔ ɡ r ɑ pʰ i u l i
გეოლოგი	ɡ ɛ ɔ l ɔ ɡ ɪ
გეოლოგია	ɡ ɛ ɔ l ɔ ɡ ɪ ɑ
გეოლოგიურად	ɡ ɛ ɔ l ɔ ɡ ɪ u r ɑ d
გეოლოგიური	ɡ ɛ ɔ l ɔ ɡ i u r i
გეომეტრია	ɡ ɛ ɔ m ɛ tʼ r ɪ ɑ
გეომეტრიულად	ɡ ɛ ɔ m ɛ tʼ r ɪ u l ɑ d
გეომეტრიული	ɡ ɛ ɔ m ɛ tʼ r i u l i
გეოპოლიტიკა	ɡ ɛ ɔ pʼ ɔ l ɪ tʼ ɪ kʼ ɑ
გეორგინა	ɡ ɛ ɔ r ɡ ɪ n ɑ
გეოფიზიკა	ɡ ɛ ɔ pʰ ɪ z ɪ kʼ ɑ
გეოფიზიკური	ɡ ɛ ɔ pʰ ɪ z ɪ kʼ u r ɪ
გეოცენტრული	ɡ ɛ ɔ t s ɛ n tʼ r u l i
გერბი	ɡ ɛ r b ɪ
გერი	ɡ ɛ r i
გერმანელი	ɡ ɛ r m ɑ n ɛ l ɪ
გერმანია	ɡ ɛ r m ɑ n i ɑ
გერმანიად	ɡ ɛ r m ɑ n ɪ ɑ d
გერმანიამ	ɡ ɛ r m ɑ n ɪ ɑ m
გერმანიას	ɡ ɛ r m ɑ n ɪ ɑ s
გერმანიით	ɡ ɛ r m ɑ n ɪ ɪ tʰ
გერმანიის	ɡ ɛ r m ɑ n ɪ ɪ s
გერმანიუმი	ɡ ɛ r m ɑ n i u m i
გერმანული	ɡ ɛ r m ɑ n u l ɪ
გესლიანად	ɡ ɛ s l ɪ ɑ n ɑ d
გესლიანი	ɡ ɛ s l i ɑ n i
გეტო	ɡ ɛ tʼ ɔ
გეხმაურები	ɡ ɛ χ m ɑ u r ɛ b ɪ
გვაკლიხართ	ɡ v ɑ kʼ l ɪ χ ɑ r tʰ
გვალვა	ɡ v ɑ l v ɑ
გვალვიანობა	ɡ v ɑ l v i ɑ n ɔ b ɑ
გვამი	ɡ v ɑ m i
გვანცა	ɡ v ɑ n t s ɑ
გვარად	ɡ v ɑ r ɑ d
გვარი	ɡ v ɑ r i
გვარით	ɡ v ɑ r ɪ tʰ
გვარის	ɡ v ɑ r ɪ s
გვარლი	ɡ v ɑ r l i
გვარმა	ɡ v ɑ r m ɑ
გვარს	ɡ v ɑ r s
გვარჯილა	ɡ v ɑ r d ʒ ɪ l ɑ
გვატემალა	ɡ v ɑ tʼ ɛ m ɑ l ɑ
გვაქვს	ɡ v ɑ kʰ v s
გვბრდღვნის	ɡ v b r d ʁ v n ɪ s
გველგესლა	ɡ v ɛ l ɡ ɛ s l ɑ
გველეშაპი	ɡ v ɛ l ɛ ʃ ɑ pʼ i
გველთევზა	ɡ v ɛ l tʰ ɛ v z ɑ
გველი	ɡ v ɛ l i
გველური	ɡ v ɛ l u r ɪ
გვერდად	ɡ v ɛ r d ɑ d
გვერდზე	ɡ v ɛ r d z ɛ
გვერდი	ɡ v ɛ r d i
გვერდით	ɡ v ɛ r d ɪ tʰ
გვერდითი	ɡ v ɛ r d i tʰ i
გვერდის	ɡ v ɛ r d ɪ s
გვერდმა	ɡ v ɛ r d m ɑ
გვერდს	ɡ v ɛ r d s
გვერდულად	ɡ v ɛ r d u l ɑ d
გვიან	ɡ v ɪ ɑ n
გვიანი	ɡ v i ɑ n i
გვიმრა	ɡ v i m r ɑ
გვიმრები	ɡ v i m r ɛ b i
გვინეა	ɡ v i n ɛ ɑ
გვინეური	ɡ v ɪ n ɛ u r ɪ
გვირაბი	ɡ v ɪ r ɑ b ɪ
გვირგვინი	ɡ v i r ɡ v i n i
გვირილა	ɡ v ɪ r ɪ l ɑ
გვრიტი	ɡ v r ɪ tʼ ɪ
გვფრცქვნი	ɡ v pʰ r t s kʰ v n i
გვფრცქვნით	ɡ v pʰ r t s kʰ v n i tʰ
გვქონდა	ɡ v kʰ ɔ n d ɑ
გზა	ɡ z ɑ
გზად	ɡ z ɑ d
გზაზე	ɡ z ɑ z ɛ
გზამ	ɡ z ɑ m
გზამკვლევი	ɡ z ɑ m kʼ v l ɛ v ɪ
გზას	ɡ z ɑ s
გზასაცდენილი	ɡ z ɑ s ɑ t s d ɛ n ɪ l ɪ
გზით	ɡ z ɪ tʰ
გზის	ɡ z ɪ s
გზისპირი	ɡ z i s pʼ i r i
გთხოვ	ɡ tʰ χ ɔ v
გთხოვთ	ɡ tʰ x ɔ v tʰ
გია	ɡ i ɑ
გიბონი	ɡ ɪ b ɔ n ɪ
გიბრალტარი	ɡ ɪ b r ɑ l tʼ ɑ r ɪ
გიგანტური	ɡ i ɡ ɑ n tʼ u r i
გივი	ɡ i v i
გიზო	ɡ ɪ z ɔ
გილდია	ɡ ɪ l d ɪ ɑ
გილიოტინა	ɡ ɪ l ɪ ɔ tʼ ɪ n ɑ
გილოცავ	ɡ i l ɔ t s ɑ v
გილოცავთ	ɡ ɪ l ɔ t s ɑ v
გინდა	ɡ ɪ n d ɑ
გინეა	ɡ ɪ n ɛ ɑ
გინება	ɡ i n ɛ b ɑ
გინეკოლოგი	ɡ ɪ n ɛ kʼ ɔ l ɔ ɡ ɪ
გინეკოლოგია	ɡ ɪ n ɛ kʼ ɔ l ɔ ɡ ɪ ɑ
გიო	ɡ i ɔ
გიორგად	ɡ ɪ ɔ r ɡ ɑ d
გიორგი	ɡ i ɔ r ɡ i
გიორგით	ɡ ɪ ɔ r ɡ ɪ tʰ
გიორგის	ɡ ɪ ɔ r ɡ ɪ s
გიჟი	ɡ i ʒ i
გიჟივით	ɡ i ʒ i v i tʰ
გიჟურად	ɡ ɪ ʒ u r ɑ d
გიჟური	ɡ i ʒ u r i
გირაგი	ɡ i r ɑ ɡ i
გირაო	ɡ i r ɑ ɔ
გირლანდა	ɡ ɪ r l ɑ n d ɑ
გისმენთ	ɡ ɪ s m ɛ n tʰ
გისოსი	ɡ ɪ s ɔ s ɪ
გისურვებთ	ɡ ɪ s u r v ɛ b tʰ
გიტარა	ɡ ɪ tʼ ɑ r ɑ
გიშერი	ɡ i ʃ ɛ r i
გიშველის	ɡ ɪ ʃ v ɛ l ɪ s
გლადიატორი	ɡ l ɑ d ɪ ɑ tʼ ɔ r ɪ
გლადიოლუსი	ɡ l ɑ d ɪ ɔ l u s ɪ
გლაზგო	ɡ l ɑ z ɡ ɔ
გლაუკომა	ɡ l ɑ u kʼ ɔ m ɑ
გლერტა	ɡ l ɛ r tʼ ɑ
გლეხი	ɡ l ɛ x i
გლეხობა	ɡ l ɛ x ɔ b ɑ
გლეჯს	ɡ l ɛ d ʒ s
გლიცერინი	ɡ l ɪ t s ɛ r ɪ n ɪ
გლობალური	ɡ l ɔ b ɑ l u r ɪ
გლუვად	ɡ l u v ɑ d
გლუვი	ɡ l u v ɪ
გლუკოზა	ɡ l u kʼ ɔ z ɑ
გმადლობ	ɡ m ɑ d l ɔ b
გმადლობთ	ɡ m ɑ d l ɔ b tʰ
გმანავს	ɡ m ɑ n ɑ v s
გმირი	ɡ m i r i
გმირობა	ɡ m i r ɔ b ɑ
გმირულად	ɡ m ɪ r u l ɑ d
გმირული	ɡ m ɪ r u l ɪ
გნდე	ɡ n d ɛ
გნიასი	ɡ n ɪ ɑ s ɪ
გნოლი	ɡ n ɔ l ɪ
გნომი	ɡ n ɔ m ɪ
გობელენი	ɡ ɔ b ɛ l ɛ n ɪ
გობი	ɡ ɔ b i
გობლინი	ɡ ɔ b l ɪ n ɪ
გოგა	ɡ ɔ ɡ ɑ
გოგირდი	ɡ ɔ ɡ i r d i
გოგო	ɡ ɔ ɡ ɔ
გოგოდ	ɡ ɔ ɡ ɔ d
გოგოებად	ɡ ɔ ɡ ɔ ɛ b ɑ d
გოგოები	ɡ ɔ ɡ ɔ ɛ b i
გოგოებით	ɡ ɔ ɡ ɔ ɛ b i tʰ
გოგოების	ɡ ɔ ɡ ɔ ɛ b i s
გოგოებმა	ɡ ɔ ɡ ɔ ɛ b m ɑ
გოგოებო	ɡ ɔ ɡ ɔ ɛ b ɔ
გოგოებს	ɡ ɔ ɡ ɔ ɛ b s
გოგოვ	ɡ ɔ ɡ ɔ v
გოგოთ	ɡ ɔ ɡ ɔ tʰ
გოგომ	ɡ ɔ ɡ ɔ m
გოგონა	ɡ ɔ ɡ ɔ n ɑ
გოგონი	ɡ ɔ ɡ ɔ n i
გოგონო	ɡ ɔ ɡ ɔ n ɔ
გოგოს	ɡ ɔ ɡ ɔ s
გოგრა	ɡ ɔ ɡ r ɑ
გოზინაყი	ɡ ɔ z ɪ n ɑ qʼ ɪ
გოთვერანი	ɡ ɔ tʰ v ɛ r ɑ n i
გოთი	ɡ ɔ tʰ ɪ
გოიმი	ɡ ɔ i m i
გოლგოთა	ɡ ɔ l ɡ ɔ tʰ ɑ
გოლი	ɡ ɔ l ɪ
გოლიათი	ɡ ɔ l ɪ ɑ tʰ ɪ
გოლფი	ɡ ɔ l pʰ ɪ
გომი	ɡ ɔ m i
გომური	ɡ ɔ m u r i
გონაშვილი	ɡ ɔ n ɑ ʃ v i l i
გონდოლა	ɡ ɔ n d ɔ l ɑ
გონდოლიერი	ɡ ɔ n d ɔ l ɪ ɛ r ɪ
გონება	ɡ ɔ n ɛ b ɑ
გონებადაფანტულად	ɡ ɔ n ɛ b ɑ d ɑ pʰ ɑ n tʼ u l ɑ d
გონებამახვილურად	ɡ ɔ n ɛ b ɑ m ɑ χ v ɪ l u r ɑ d
გონებაშეზღუდულად	ɡ ɔ n ɛ b ɑ ʃ ɛ z ʁ u d u l ɑ d
გონებაჩლუნგად	ɡ ɔ n ɛ b ɑ t ʃ l u n ɡ ɑ d
გონებაჩლუნგი	ɡ ɔ n ɛ b ɑ t ʃ l u n ɡ ɪ
გონებით	ɡ ɔ n ɛ b ɪ tʰ
გონებრივი	ɡ ɔ n ɛ b r ɪ v ɪ
გონიერება	ɡ ɔ n ɪ ɛ r ɛ b ɑ
გონიერი	ɡ ɔ n ɪ ɛ r ɪ
გონივრულად	ɡ ɔ n ɪ v r u l ɑ d
გონივრული	ɡ ɔ n i v r u l i
გონივრულობა	ɡ ɔ n i v r u l ɔ b ɑ
გონიო	ɡ ɔ n ɪ ɔ
გონორეა	ɡ ɔ n ɔ r ɛ ɑ
გორა	ɡ ɔ r ɑ
გორგალი	ɡ ɔ r ɡ ɑ l i
გორგოლაჭი	ɡ ɔ r ɡ ɔ l ɑ t ʃʼ ɪ
გორდონი	ɡ ɔ r d ɔ n ɪ
გორი	ɡ ɔ r i
გორილა	ɡ ɔ r ɪ l ɑ
გორკი	ɡ ɔ r kʼ ɪ
გოჩა	ɡ ɔ t ʃ ɑ
გოჭი	ɡ ɔ t ʃʼ ɪ
გოჯი	ɡ ɔ d ʒ ɪ
გპასუხობდი	ɡ pʼ ɑ s u χ ɔ b d ɪ
გრაგნილი	ɡ r ɑ ɡ n ɪ l ɪ
გრადაცია	ɡ r ɑ d ɑ t s ɪ ɑ
გრადუსი	ɡ r ɑ d u s i
გრავიურა	ɡ r ɑ v ɪ u r ɑ
გრამატიკა	ɡ r ɑ m ɑ tʼ i kʼ ɑ
გრამატიკოსი	ɡ r ɑ m ɑ tʼ ɪ kʼ ɔ s ɪ
გრამატიკულად	ɡ r ɑ m ɑ tʼ ɪ kʼ u l ɑ d
გრამატიკული	ɡ r ɑ m ɑ tʼ i kʼ u l i
გრამი	ɡ r ɑ m ɪ
გრამოფონი	ɡ r ɑ m ɔ pʰ ɔ n ɪ
გრანდიოზულად	ɡ r ɑ n d ɪ ɔ z u l ɑ d
გრანდიოზული	ɡ r ɑ n d ɪ ɔ z u l ɪ
გრანიტი	ɡ r ɑ n ɪ tʼ ɪ
გრანულარული	ɡ r ɑ n u l ɑ r u l ɪ
გრაფიკი	ɡ r ɑ pʰ ɪ kʼ ɪ
გრაფიკულად	ɡ r ɑ pʰ ɪ kʼ u l ɑ d
გრაფიკული	ɡ r ɑ pʰ i kʼ u l i
გრაფინი	ɡ r ɑ pʰ ɪ n ɪ
