NG	e̞ n d͡ʑ i
마련	m a̠ ɾ j ʌ̹ n
마련되다	m a̠ ɾ j ʌ̹ n d w e̞ d a̠
마련하다	m a̠ ɾ j ʌ̹ n ɦ a̠ d a̠
마루	m a̠ ɾ u
마르다	m a̠ ɾ ɯ d a̠
마르멜로	m a̠ ɾ ɯ m e̞ ɭ ɭ o̞
마르스	m a̠ ɾ ɯ sʰ ɯ
마르코	m a̠ ɾ ɯ kʰ o̞
마르크스주의	m a̠ ɾ ɯ k x ɯ sʰ ɯ d͡ʑ u ɰ i
마르티니크	m a̠ ɾ ɯ tʰ i n i k x ɯ
마름	m a̠ ɾ ɯ m
마름모	m a̠ ɾ ɯ m m o̞
마리	m a̠ ɾ i
마리화나	m a̠ ɾ i β w a̠ n a̠
마마	m a̠ː m a̠
마멀레이드	m a̠ m ʌ̹ ɭ ɭ e̞ i d ɯ
마멋	m a̠ m ʌ̹ t̚
마무르다	m a̠ m u ɾ ɯ d a̠
마무리	m a̠ m u ɾ i
마무리하다	m a̠ m u ɾ i ɦ a̠ d a̠
마법	m a̠ b ʌ̹ p̚
마법사	m a̠ b ʌ̹ p s͈ a̠
마비	m a̠ː b i
마사지	m a̠ sʰ a̠ d͡ʑ i
마사지하다	m a̠ sʰ a̠ d͡ʑ i ɦ a̠ d a̠
마세루	m a̠ sʰ e̞ ɾ u
마술	m a̠ sʰ u ɭ
마술사	m a̠ sʰ u ɭ s͈ a̠
마스카라	m a̠ sʰ ɯ kʰ a̠ ɾ a̠
마스크	m a̠ sʰ ɯ k x ɯ
마스크팩	m a̠ sʰ ɯ k x ɯ pʰ e̞ k̚
마스터베이션	m a̠ sʰ ɯ tʰ ʌ̹ b e̞ i ɕʰ j ʌ̹ n
마시나	m a̠ ɕʰ i n a̠
마시다	m a̠ ɕʰ i d a̠
마약	m a̠ j a̠ k̚
마요네즈	m a̠ j o n e̞ d͡ʑ ɯ
마우스	m a̠ u sʰ ɯ
마유	m a̠ː j u
마육	m a̠ː j u k̚
마을	m a̠ ɯ ɭ
마음	m a̠ ɯ m
마음대로	m a̠ ɯ m d e̞ ɾ o̞
마음성	m a̠ ɯ m s͈ ʌ̹ ŋ
마음속	m a̠ː ɯ m sʰ o̞ k̚
마음쓰다	m a̠ ɯ m s͈ ɯ d a̠
마음씨	m a̠ ɯ m ɕ͈ i
마이너스	m a̠ i n ʌ̹ sʰ ɯ
마이애미	m a̠ i e̞ m i
마이크	m a̠ i k x ɯ
마이크로버스	m a̠ i k x ɯ ɾ o̞ b ʌ̹ sʰ ɯ
마이크로파	m a̠ i k x ɯ ɾ o̞ pʰ a̠
마이크로폰	m a̠ i k x ɯ ɾ o̞ pʰ o̞ n
마이크로프로세서	m a̠ i k x ɯ ɾ o̞ pʰ ɯ ɾ o̞ sʰ e̞ sʰ ʌ̹
마이트너륨	m a̠ i tʰ ɯ n ʌ̹ ɾ j u m
마일	m a̠ i ɭ
마작	m a̠ː d͡ʑ a̠ k̚
마장	m a̠ d͡ʑ a̠ ŋ
마주	m a̠ d͡ʑ u
마주치다	m a̠ d͡ʑ u t͡ɕʰ i d a̠
마중하다	m a̠ d͡ʑ u ŋ ɦ a̠ d a̠
마지막	m a̠ d͡ʑ i m a̠ k̚
마차	m a̠ː t͡ɕʰ a̠
마찬가지	m a̠ t͡ɕʰ a̠ n ɡ a̠ d͡ʑ i
마천루	m a̠ t͡ɕʰ ʌ̹ ɭ ɭ u
마취	m a̠ t͡ɕʰ ɥ i
마치	m a̠ t͡ɕʰ i
마치다	m a̠ t͡ɕʰ i d a̠
마침	m a̠ t͡ɕʰ i m
마침내	m a̠ t͡ɕʰ i m n e̞
마침표	m a̠ t͡ɕʰ i m pʰ j o
마카오	m a̠ kʰ a̠ o̞
마케도니아	m a̠ kʰ e̞ d o̞ n i a̠
마케도니아어	m a̠ kʰ e̞ d o̞ n i a̠ ʌ̹
마케팅	m a̠ kʰ e̞ tʰ i ŋ
마켓	m a̠ kʰ e̞ t̚
마크	m a̠ k x ɯ
마태오	m a̠ tʰ e̞ o̞
마트료시카	m a̠ tʰ ɯ ɾ j o ɕʰ i kʰ a̠
마티아	m a̠ tʰ i a̠
마파두부	m a̠ pʰ a̠ d u b u
마파람	m a̠ pʰ a̠ ɾ a̠ m
마푸토	m a̠ pʰ u tʰ o̞
마피아	m a̠ pʰ i a̠
마흔	m a̠ ɣ ɯ n
막	m a̠ k̚
막걸리	m a̠ k̚ k͈ ʌ̹ ɭ ʎ i
막내	m a̠ ŋ n e̞
막다	m a̠ k̚ t͈ a̠
막대기	m a k̚ d̬ ɛː ɡ i
막바지	m a̠ k̚ p͈ a̠ d͡ʑ i
막부	m a̠ː k̚ p͈ u
막히다	m a̠ k ç i d a̠
막힘없다	m a̠ k ç i m ʌ̹ p̚ t͈ a̠
만	m a̠ n
만경대	m a̠ː n ɡ j ʌ̹ ŋ d e̞
만나다	m a̠ n n a̠ d a̠
만날	m a̠ː n n a̠ ɭ
만남	m a̠ n n a̠ m
만년	m a̠ː n ɲ j ʌ̹ n
만년필	m a̠ː n ɲ j ʌ̹ n pʰ i ɭ
만능	m a̠ n n ɯ ŋ
만두	m a̠ n d u
만들다	m a̠ n d ɯ ɭ d a̠
만들어지다	m a̠ n d ɯ ɾ ʌ̹ d͡ʑ i d a̠
만류	m a̠ ɭ ʎ j u
만성	m a̠ n sʰ ʌ̹ ŋ
만세	m a̠ː n sʰ e̞
만약	m a̠ː ɲ j a̠ k̚
만억	m a̠ː n ʌ̹ k̚
만엽집	m a̠ ɲ j ʌ̹ p̚ t͡ɕ͈ i p̚
만유인력	m a̠ː ɲ j u i ɭ ʎ j ʌ̹ k̚
만일	m a̠ː n i ɭ
만족	m a̠ n d͡ʑ o̞ k̚
만족하다	m a̠ n d͡ʑ o̞ kʰ a̠ d a̠
만주	m a̠ n d͡ʑ u
만주국	m a̠ n d͡ʑ u ɡ u k̚
만주어	m a̠ n d͡ʑ u ʌ̹
만지다	m a̠ n d͡ʑ i d a̠
만큼	m a̠ n k x ɯ m
만포	m a̠ː n pʰ o̞
만하다	m a̠ n ɦ a̠ d a̠
만화	m a̠ː n β w a̠
만화가	m a̠ n β w a̠ ɡ a̠
만화책	m a̠ː n β w a̠ t͡ɕʰ e̞ k̚
많다	m a̠ː n tʰ a̠
많아지다	m a̠ː n a̠ d͡ʑ i d a̠
많은	m a̠ː n ɯ n
많이	m a̠ː n i
말	m a̠ ɭ
말	m a̠ː ɭ
말갛다	m a̠ː ɭ ɡ a̠ tʰ a̠
말거머리	m a̠ ɭ ɡ ʌ̹ m ʌ̹ ɾ i
말고기	m a̠ ɭ ɡ o̞ ɡ i
말기	m a̠ ɭ ɡ i
말다	m a̠ ɭ d a̠
말다	m a̠ː ɭ d a̠
말다툼	m a̠ː ɭ d a̠ tʰ u m
말똥가리	m a̠ ɭ t͈ o̞ ŋ ɡ a̠ ɾ i
말똥구리	m a̠ ɭ t͈ o̞ ŋ ɡ u ɾ i
말뚝	m a̠ ɭ t͈ u k̚
말뚝망둥어	m a̠ ɭ t͈ u ŋ m a̠ ŋ d u ŋ ʌ̹
말라깽이	m a̠ ɭ ɭ a̠ k͈ e̞ ŋ i
말라보	m a̠ ɭ ɭ a̠ b o̞
말라빠지다	m a̠ ɭ ɭ a̠ p͈ a̠ d͡ʑ i d a̠
말라위	m a̠ ɭ ɭ a̠ ɥ i
말레	m a̠ ɭ ɭ e̞
말레이시아	m a̠ ɭ ɭ e̞ i ɕʰ i a̠
말레이어	m a̠ ɭ ɭ e̞ i ʌ̹
말리	m a̠ ɭ ʎ i
말리다	m a̠ ɭ ʎ i d a̠
말벌	m a̠ ɭ b ʌ̹ ɭ
말살하다	m a̠ ɭ s͈ a̠ ɾ ɦ a̠ d a̠
말솜씨	m a̠ː ɭ s͈ o̞ m ɕ͈ i
말썽꾸러기	m a̠ː ɭ s͈ ʌ̹ ŋ k͈ u ɾ ʌ̹ ɡ i
말씀	m a̠ː ɭ s͈ ɯ m
말씀하다	m a̠ː ɭ s͈ ɯ m ɦ a̠ d a̠
말없이	m a̠ː ɾ ʌ̹ p ɕ͈ i
말차	m a̠ ɭ t͡ɕʰ a̠
말하기	m a̠ː ɾ ɦ a̠ ɡ i
말하다	m a̠ː ɾ ɦ a̠ d a̠
맑다	m a̠ k̚ t͈ a̠
맑스주의	m a̠ k s͈ ɯ d͡ʑ u ɰ i
맘마	m a̠ m m a̠
맘속	m a̠ː m s͈ o̞ k̚
맛	m a̠ t̚
맛보다	m a̠ t̚ p͈ o̞ d a̠
맛없다	m a̠ d ʌ̹ p̚ t͈ a̠
맛있다	m a̠ ɕʰ i t̚ t͈ a̠
맛집	m a̠ t̚ t͡ɕ͈ i p̚
망	m a̠ ŋ
망	m a̠ː ŋ
망가니즈	m a̠ ŋ ɡ a̠ n i d͡ʑ ɯ
망간	m a̠ ŋ ɡ a̠ n
망고	m a̠ ŋ ɡ o̞
망둑	m a̠ ŋ d u k̚
망막	m a̠ ŋ m a̠ k̚
망명	m a̠ ŋ m j ʌ̹ ŋ
망설이다	m a̠ ŋ sʰ ʌ̹ ɾ i d a̠
망아지	m a̠ ŋ a̠ d͡ʑ i
망연	m a̠ ŋ j ʌ̹ n
망연하다	m a̠ ŋ j ʌ̹ n ɦ a̠ d a̠
망원경	m a̠ː ŋ w ʌ̹ n ɡ j ʌ̹ ŋ
망치	m a̠ ŋ t͡ɕʰ i
망하다	m a̠ ŋ ɦ a̠ d a̠
맞다	m a̠ t̚ t͈ a̠
맞벌이	m a̠ t̚ p͈ ʌ̹ ɾ i
맞부딪치다	m a̠ t̚ p͈ u d i t̚ t͡ɕʰ i d a̠
맞서다	m a̠ t̚ s͈ ʌ̹ d a̠
맞선	m a̠ t̚ s͈ ʌ̹ n
맞은편	m a̠ d͡ʑ ɯ n pʰ j ʌ̹ n
맞이	m a̠ d͡ʑ i
맞이하다	m a̠ d͡ʑ i ɦ a̠ d a̠
맞추다	m a̠ t̚ t͡ɕʰ u d a̠
맞춤	m a̠ t̚ t͡ɕʰ u m
맞춤법	m a̠ t̚ t͡ɕʰ u m p͈ ʌ̹ p̚
맞흥정	m a̠ tʰ ɯ ŋ d͡ʑ ʌ̹ ŋ
맡기다	m a̠ t̚ k͈ i d a̠
맡다	m a̠ t̚ t͈ a̠
매	m e̞
매	m e̞ː
매국노	m e̞ː ɡ u ŋ n o̞
매끄럽다	m e̞ k͈ ɯ ɾ ʌ̹ p̚ t͈ a̠
매년	m e̞ː ɲ j ʌ̹ n
매니저	m e̞ n i d͡ʑ ʌ̹
매니큐어	m e̞ n i k ç j u ʌ̹
매다	m e̞ː d a̠
매달	m e̞ː d a̠ ɭ
매달다	m e̞ː d a̠ ɭ d a̠
매달리다	m e̞ː d a̠ ɭ ʎ i d a̠
매독	m e̞ d o̞ k̚
매듭	m e̞ d ɯ p̚
매력	m e̞ ɾ j ʌ̹ k̚
매리복	m e̞ ɾ i b o̞ k̚
매매	m e̞ m e̞
매번	m e̞ː b ʌ̹ n
매섭다	m e̞ sʰ ʌ̹ p̚ t͈ a̠
매실주	m e̞ ɕʰ i ɭ t͡ɕ͈ u
매우	m e̞ u
매월	m e̞ː w ʌ̹ ɭ
매음굴	m e̞ː ɯ m ɡ u ɭ
매일	m e̞ː i ɭ
매장	m e̞ː d͡ʑ a̠ ŋ
매점	m e̞ː d͡ʑ ʌ̹ m
매주	m e̞ː d͡ʑ u
매체	m e̞ t͡ɕʰ e̞
매춘부	m e̞ː t͡ɕʰ u n b u
매출	m e̞ː t͡ɕʰ u ɭ
매콤하다	m e̞ kʰ o̞ m ɦ a̠ d a̠
매탄	m e̞ tʰ a̠ n
매트리스	m e̞ tʰ ɯ ɾ i sʰ ɯ
매화	m e̞ β w a̠
맥아	m e̞ ɡ a̠
맥주	m e̞ k̚ t͡ɕ͈ u
맨	m e̞ n
맨	m e̞ː n
맨날	m e̞ː n n a̠ ɭ
맨션	m e̞ n ɕʰ j ʌ̹ n
맬웨어	m e̞ ɾ w e̞ ʌ̹
맴돌다	m e̞ː m d o̞ ɭ d a̠
맵다	m e̞ p̚ t͈ a̠
맹	m e̞ ŋ
맹꽁이	m e̞ː ŋ k͈ o̞ ŋ i
맹렬하다	m e̞ː ŋ ɲ j ʌ̹ ɾ ɦ a̠ d a̠
맹목적	m e̞ ŋ m o̞ k̚ t͡ɕ͈ ʌ̹ k̚
맹세	m e̞ː ŋ sʰ e̞
맹인	m e̞ː ŋ i n
맹자	m e̞ ŋ d͡ʑ a̠
맹장염	m e̞ ŋ d͡ʑ a̠ ŋ j ʌ̹ m
맺다	m e̞ t̚ t͈ a̠
맺음말	m e̞ d͡ʑ ɯ m m a̠ ɭ
먀	m j a̠
먄마	m j a̠ n m a̠
머구리	m ʌ̹ ɡ u ɾ i
머그잔	m ʌ̹ ɡ ɯ d͡ʑ a̠ n
머금다	m ʌ̹ ɡ ɯ m d a̠
머루	m ʌ̹ ɾ u
머리	m ʌ̹ ɾ i
머리띠	m ʌ̹ ɾ i t͈ i
머리말	m ʌ̹ ɾ i m a̠ ɭ
머리카락	m ʌ̹ ɾ i kʰ a̠ ɾ a̠ k̚
머리칼	m ʌ̹ ɾ i kʰ a̠ ɭ
머리통	m ʌ̹ ɾ i tʰ o̞ ŋ
머리하다	m ʌ̹ ɾ i ɦ a̠ d a̠
머릿결	m ʌ̹ ɾ i t̚ k͈ j ʌ̹ ɭ
머릿속	m ʌ̹ ɾ i t̚ s͈ o̞ k̚
머무르다	m ʌ̹ m u ɾ ɯ d a̠
머물다	m ʌ̹ m u ɭ d a̠
머뭇거리다	m ʌ̹ m u t̚ k͈ ʌ̹ ɾ i d a̠
머슴	m ʌ̹ sʰ ɯ m
머저리	m ʌ̹ d͡ʑ ʌ̹ ɾ i
머핀	m ʌ̹ pʰ i n
먹	m ʌ̹ k̚
먹다	m ʌ̹ k̚ t͈ a̠
먹물	m ʌ̹ ŋ m u ɭ
먹방	m ʌ̹ k̚ p͈ a̠ ŋ
먹이	m ʌ̹ ɡ i
먹이그물	m ʌ̹ ɡ i ɡ ɯ m u ɭ
먹이다	m ʌ̹ ɡ i d a̠
먹황새	m ʌ̹ kʰ w a̠ ŋ sʰ e̞
먼저	m ʌ̹ n d͡ʑ ʌ̹
먼지	m ʌ̹ n d͡ʑ i
멀다	m ɘː ɭ d a̠
멀리	m ɘː ɭ ʎ i
멀미	m ʌ̹ ɭ m i
멀어지다	m ɘː ɾ ʌ̹ d͡ʑ i d a̠
멀쩡	m ʌ̹ ɭ t͡ɕ͈ ʌ̹ ŋ
멀쩡하다	m ʌ̹ ɭ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
멀찌감치	m ʌ̹ ɭ t͡ɕ͈ i ɡ a̠ m t͡ɕʰ i
멈추다	m ʌ̹ m t͡ɕʰ u d a̠
멈칫	m ʌ̹ m t͡ɕʰ i t̚
멋	m ʌ̹ t̚
멋없다	m ʌ̹ d ʌ̹ p̚ t͈ a̠
멋있다	m ʌ̹ ɕʰ i t̚ t͈ a̠
멋지다	m ʌ̹ t̚ t͡ɕ͈ i d a̠
멍멍	m ʌ̹ ŋ m ʌ̹ ŋ
멍멍이	m ʌ̹ ŋ m ʌ̹ ŋ i
멍에	m ʌ̹ ŋ e̞
멍청이	m ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ i
멍청하다	m ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠
멍텅구리	m ʌ̹ ŋ tʰ ʌ̹ ŋ ɡ u ɾ i
멍하다	m ɘː ŋ ɦ a̠ d a̠
멎다	m ʌ̹ t̚ t͈ a̠
메	m e̞
메가나	m e̞ ɡ a̠ n a̠
메기	m e̞ː ɡ i
메뉴	m e̞ ɲ j u
메다	m e̞ː d a̠
메달	m e̞ d a̠ ɭ
메뚜기	m e̞ t͈ u ɡ i
메모	m e̞ m o̞
메모리	m e̞ m o̞ ɾ i
메밀	m e̞ m i ɭ
메서드	m e̞ sʰ ʌ̹ d ɯ
메소드	m e̞ sʰ o̞ d ɯ
메시아	m e̞ ɕʰ i a̠
메시지	m e̞ ɕʰ i d͡ʑ i
메아리	m e̞ a̠ ɾ i
메이스	m e̞ i sʰ ɯ
메일	m e̞ i ɭ
메카	m e̞ kʰ a̠
메터	m e̞ tʰ ʌ̹
메토끼	m e̞ tʰ o̞ k͈ i
메히꼬	m e̞ ʝ i k͈ o̞
멕시코	m e̞ k ɕ͈ i kʰ o̞
멕시코시티	m e̞ k ɕ͈ i kʰ o̞ ɕʰ i tʰ i
멘델레븀	m e̞ n d e̞ ɭ ɭ e̞ b j u m
멘붕	m e̞ n b u ŋ
멜대	m e̞ː ɭ d e̞
멜라닌	m e̞ ɭ ɭ a̠ n i n
멜로디	m e̞ ɭ ɭ o̞ d i
멜론	m e̞ ɭ ɭ o̞ n
멜버른	m e̞ ɭ b ʌ̹ ɾ ɯ n
멜번	m e̞ ɭ b ʌ̹ n
멜키체덱	m e̞ ɭ k ç i t͡ɕʰ e̞ d e̞ k̚
멤버	m e̞ m b ʌ̹
멥쌀	m e̞ p s͈ a̠ ɭ
멧닭	m e̞ t̚ t͈ a̠ k̚
멧돼지	m e̞ t̚ t͈ w e̞ d͡ʑ i
멧박쥐	m e̞ t̚ p͈ a̠ k̚ t͡ɕ͈ ɥ i
멧밭쥐	m e̞ t̚ p͈ a̠ t̚ t͡ɕ͈ ɥ i
멧토끼	m e̞ t̚ tʰ o̞ k͈ i
며느리	m j ʌ̹ n ɯ ɾ i
며칠	m j ʌ̹ t͡ɕʰ i ɭ
멱	m j ʌ̹ k̚
멱살	m j ʌ̹ k s͈ a̠ ɭ
면	m j ʌ̹ n
면도	m j ɘː n d o̞
면도기	m j ʌ̹ n d o̞ ɡ i
면도칼	m j ɘː n d o̞ kʰ a̠ ɭ
면도하다	m j ɘː n d o̞ ɦ a̠ d a̠
면사	m j ʌ̹ n sʰ a̠
면서	m j ʌ̹ n sʰ ʌ̹
면세	m j ɘː n sʰ e̞
면양	m j ʌ̹ ɲ j a̠ ŋ
면역	m j ɘː ɲ j ʌ̹ k̚
면역학	m j ʌ̹ ɲ j ʌ̹ kʰ a̠ k̚
면적	m j ɘː n d͡ʑ ʌ̹ k̚
면접	m j ɘː n d͡ʑ ʌ̹ p̚
면책조항	m j ʌ̹ n t͡ɕʰ e̞ k̚ t͡ɕ͈ o̞ ɦ a̠ ŋ
면포	m j ʌ̹ n pʰ o̞
면하다	m j ɘː n ɦ a̠ d a̠
면허증	m j ɘː n ɦ ʌ̹ t͡ɕ͈ ɯ ŋ
멸	m j ʌ̹ ɭ
멸시	m j ʌ̹ ɭ ɕʰ i
멸종	m j ʌ̹ ɭ t͡ɕ͈ o̞ ŋ
멸치	m j ʌ̹ ɭ t͡ɕʰ i
명	m j ʌ̹ ŋ
명곡	m j ʌ̹ ŋ ɡ o̞ k̚
명관	m j ʌ̹ ŋ ɡ w a̠ n
명동	m j ʌ̹ ŋ d o̞ ŋ
명란	m j ʌ̹ ŋ n a̠ n
명령	m j ɘː ŋ ɲ j ʌ̹ ŋ
명령법	m j ɘː ŋ ɲ j ʌ̹ ŋ b ʌ̹ p̚
명령하다	m j ɘː ŋ ɲ j ʌ̹ ŋ ɦ a̠ d a̠
명명	m j ɘː ŋ m j ʌ̹ ŋ
명명법	m j ɘː ŋ m j ʌ̹ ŋ b ʌ̹ p̚
명명하다	m j ɘː ŋ m j ʌ̹ ŋ ɦ a̠ d a̠
명부	m j ʌ̹ ŋ b u
명사	m j ʌ̹ ŋ sʰ a̠
명성	m j ʌ̹ ŋ sʰ ʌ̹ ŋ
명예	m j ʌ̹ ŋ j e̞
명왕성	m j ʌ̹ ŋ w a̠ ŋ sʰ ʌ̹ ŋ
명운	m j ɘː ŋ u n
명의	m j ʌ̹ ŋ ɰ i
명인	m j ʌ̹ ŋ i n
명일	m j ʌ̹ ŋ i ɭ
명자	m j ʌ̹ ŋ t͡ɕ͈ a̠
명절	m j ʌ̹ ŋ d͡ʑ ʌ̹ ɭ
명주	m j ʌ̹ ŋ d͡ʑ u
명칭	m j ʌ̹ ŋ t͡ɕʰ i ŋ
명태	m j ʌ̹ ŋ tʰ e̞
명하다	m j ɘː ŋ ɦ a̠ d a̠
명함	m j ʌ̹ ŋ ɦ a̠ m
몇	m j ʌ̹ t̚
몇몇	m j ʌ̹ n m j ʌ̹ t̚
모가디슈	m o̞ ɡ a̠ d i ɕʰ j u
모과	m o̞ː ɡ w a̠
모교	m o̞ː ɡ j o
모국	m o̞ː ɡ u k̚
모국어	m o̞ ɡ u ɡ ʌ̹
모기	m o̞ː ɡ i
모나코	m o̞ n a̠ kʰ o̞
모니터	m o̞ n i tʰ ʌ̹
모델	m o̞ d e̞ ɭ
모뎀	m o̞ d e̞ m
모두	m o̞ d u
모듈	m o̞ d j u ɭ
모드	m o̞ d ɯ
모든	m o̞ː d ɯ n
모듬	m o̞ d ɯ m
모란봉	m o̞ ɾ a̠ n b o̞ ŋ
모래	m o̞ ɾ e̞
모래무지	m o̞ ɾ e̞ m u d͡ʑ i
모래상자	m o̞ ɾ e̞ sʰ a̠ ŋ d͡ʑ a̠
모래주사	m o̞ ɾ e̞ d͡ʑ u sʰ a̠
모레	m o̞ː ɾ e̞
모로니	m o̞ ɾ o̞ n i
모로코	m o̞ ɾ o̞ kʰ o̞
모루	m o̞ː ɾ u
모르다	m o̞ː ɾ ɯ d a̠
모르폴린	m o̞ ɾ ɯ pʰ o̞ ɭ ʎ i n
모르핀	m o̞ ɾ ɯ pʰ i n
모리셔스	m o̞ ɾ i ɕʰ j ʌ̹ sʰ ɯ
모리타니	m o̞ ɾ i tʰ a̠ n i
모반	m o̞ b a̠ n
모사	m o̞ sʰ a̠
모색하다	m o̞ sʰ e̞ kʰ a̠ d a̠
모샘치	m o̞ sʰ e̞ m t͡ɕʰ i
모서리	m o̞ sʰ ʌ̹ ɾ i
모세	m o̞ sʰ e̞
모세관	m o̞ sʰ e̞ ɡ w a̠ n
모세혈관	m o̞ sʰ e̞ ʝ j ʌ̹ ɭ ɡ w a̠ n
모순	m o̞ sʰ u n
모스코븀	m o̞ sʰ ɯ kʰ o̞ b j u m
모스크	m o̞ sʰ ɯ k x ɯ
모스크바	m o̞ sʰ ɯ k x ɯ b a̠
모습	m o̞ sʰ ɯ p̚
모시다	m o̞ː ɕʰ i d a̠
모양	m o̞ j a̠ ŋ
모어	m o̞ː ʌ̹
모오케	m o̞ o̞ kʰ e̞
모욕	m o̞ː j o k̚
모욕하다	m o̞ː j o kʰ a̠ d a̠
모으다	m o̞ ɯ d a̠
모음	m o̞ː ɯ m
모음조화	m o̞ ɯ m d͡ʑ o̞ β w a̠
모이	m o̞ i
모이다	m o̞ i d a̠
모임	m o̞ i m
모자	m o̞ d͡ʑ a̠
모자라다	m o̞ː d͡ʑ a̠ ɾ a̠ d a̠
모자이크	m o̞ d͡ʑ a̠ i k x ɯ
모잠비크	m o̞ d͡ʑ a̠ m b i k x ɯ
모조리	m o̞ d͡ʑ o̞ ɾ i
모처럼	m o̞ t͡ɕʰ ʌ̹ ɾ ʌ̹ m
모충	m o̞ t͡ɕʰ u ŋ
모치망둑	m o̞ t͡ɕʰ i m a̠ ŋ d u k̚
모태	m o̞ tʰ e̞
모터	m o̞ tʰ ʌ̹
모터보트	m o̞ tʰ ʌ̹ b o̞ tʰ ɯ
모텔	m o̞ tʰ e̞ ɭ
모토	m o̞ tʰ o̞
모퉁이	m o̞ tʰ u ŋ i
모페드	m o̞ pʰ e̞ d ɯ
모피	m o̞ pʰ i
모험	m o̞ː ɦ ʌ̹ m
모형	m o̞ ʝ j ʌ̹ ŋ
모호하다	m o̞ β o̞ ɦ a̠ d a̠
목	m o̞ k̚
목격자	m o̞ k̚ k͈ j ʌ̹ k̚ t͡ɕ͈ a̠
목구멍	m o̞ k̚ k͈ u m ʌ̹ ŋ
목다리	m o̞ k̚ t͈ a̠ ɾ i
목도리	m o̞ k̚ t͈ o̞ ɾ i
목란	m o̞ ŋ n a̠ n
목련	m o̞ ŋ ɲ j ʌ̹ n
목록	m o̞ ŋ n o̞ k̚
목마	m o̞ ŋ m a̠
목마르다	m o̞ ŋ m a̠ ɾ ɯ d a̠
목마름	m o̞ ŋ m a̠ ɾ ɯ m
목면	m o̞ ŋ m j ʌ̹ n
목발	m o̞ k̚ p͈ a̠ ɭ
목사	m o̞ k s͈ a̠
목성	m o̞ k s͈ ʌ̹ ŋ
목소리	m o̞ k s͈ o̞ ɾ i
목수	m o̞ k s͈ u
목숨	m o̞ k s͈ u m
목요일	m o̞ ɡ j o i ɭ
목욕	m o̞ ɡ j o k̚
목욕실	m o̞ ɡ j o k ɕ͈ i ɭ
목욕탕	m o̞ ɡ j o k̚ tʰ a̠ ŋ
목욕하다	m o̞ ɡ j o kʰ a̠ d a̠
목자	m o̞ k̚ t͡ɕ͈ a̠
목장	m o̞ k̚ t͡ɕ͈ a̠ ŋ
목재	m o̞ k̚ t͡ɕ͈ e̞
목적	m o̞ k̚ t͡ɕ͈ ʌ̹ k̚
목적론	m o̞ k̚ t͡ɕ͈ ʌ̹ ŋ n o̞ n
목적지	m o̞ k̚ t͡ɕ͈ ʌ̹ k̚ t͡ɕ͈ i
목젖	m o̞ k̚ t͡ɕ͈ ʌ̹ t̚
목차	m o̞ k̚ t͡ɕʰ a̠
목청	m o̞ k̚ t͡ɕʰ ʌ̹ ŋ
목청껏	m o̞ k̚ t͡ɕʰ ʌ̹ ŋ k͈ ʌ̹ t̚
목탄	m o̞ k̚ tʰ a̠ n
목표	m o̞ k̚ pʰ j o
목피	m o̞ k̚ pʰ i
목화	m o̞ kʰ w a̠
몫	m o̞ k̚
몫몫이	m o̞ ŋ m o̞ k ɕ͈ i
몬로비아	m o̞ ɭ ɭ o̞ b i a̠
몬순	m o̞ n sʰ u n
몬스터	m o̞ n sʰ ɯ tʰ ʌ̹
몬테네그로	m o̞ n tʰ e̞ n e̞ ɡ ɯ ɾ o̞
몬테비데오	m o̞ n tʰ e̞ b i d e̞ o̞
몬트리올	m o̞ n tʰ ɯ ɾ i o̞ ɭ
몰	m o̞ ɭ
몰개	m o̞ ɭ ɡ e̞
몰다	m o̞ː ɭ d a̠
몰도바	m o̞ ɭ d o̞ b a̠
몰디브	m o̞ ɭ d i b ɯ
몰라	m o̞ ɭ ɭ a̠
몰래	m o̞ː ɭ ɭ e̞
몰리브데넘	m o̞ ɭ ʎ i b ɯ d e̞ n ʌ̹ m
몰카	m o̞ ɭ kʰ a̠
몰타	m o̞ ɭ tʰ a̠
몰타어	m o̞ ɭ tʰ a̠ ʌ̹
몸	m o̞ m
몸매	m o̞ m m e̞
몸빛깔	m o̞ m p͈ i t̚ k͈ a̠ ɭ
몸소	m o̞ m sʰ o̞
몸짓	m o̞ m t͡ɕ͈ i t̚
몸통	m o̞ m tʰ o̞ ŋ
몹	m o̞ p̚
몹시	m o̞ː p ɕ͈ i
못	m o̞ t̚
못	m o̞ː t̚
못살다	m o̞ t̚ s͈ a̠ ɭ d a̠
못생기다	m o̞ː t̚ s͈ e̞ ŋ ɡ i d a̠
못지않다	m o̞ː t̚ t͡ɕ͈ i a̠ n tʰ a̠
못하다	m o̞ tʰ a̠ d a̠
몽	m o̞ ŋ
몽고	m o̞ ŋ ɡ o̞
몽골	m o̞ ŋ ɡ o̞ ɭ
몽골어	m o̞ ŋ ɡ o̞ ɾ ʌ̹
몽구스	m o̞ ŋ ɡ u sʰ ɯ
몽둥이	m o̞ ŋ d u ŋ i
묘	m j o
묘미	m j oː m i
묘사	m j oː sʰ a̠
묘사하다	m j oː sʰ a̠ ɦ a̠ d a̠
묘지	m j oː d͡ʑ i
묠니르	m j o ɭ ʎ i ɾ ɯ
무	m u
