а	ʔ aː
рэхьэнйэл	r a ħ a n j a l
сабый	s aː b ə j
сагъындакъ	s aː ʁ ə n d aː q
сае	s aː j a
сако	s aː kʷ a
сакӏо	s aː kʷ ʼ a
самбыр	s aː m b ə r
самбырын	s aː m b ə r ə n
санэ	s aː n a
сапэ	s aː p a
сахъэ	s aː χ a
созэрэш	s o z a r a ʃ
сотрэш	s o t r a ʃ
стаф	s t aː f
стыгъэ	s t ə ʁ a
стылӏэн	s t ə ɬ ʼ a n
стын	s t ə n
стыр	s t ə r
стырыпс	s t ə r ə p s
сурэт	s u r a t
сурэт	s ə w r a t
суыз	f ə z
суыз	sʷ ə z
суыз	ʃʷ ə z
суэу	f a w
суэу	sʷ a w
суэу	ʃʷ a w
сшъхьэпкӏэтын	s ʂ ħ a p kʲ ʼ a t ə n
сыд	s ə d
сыда	s ə d aː
сыдж	s ə d͡ʒ
сыдигъо	s ə d ə j ʁʷ a
сыдэу	s ə d a w
сыдэущтэу	s ə d a w ɕ t a w
сыдэущтэу	s ə d a w ɕ t ə w
сымагьэ	s ə m aː ɡʲ a
сымаджэ	s ə m aː d͡ʒ a
сымэджэдэй	s ə m a d͡ʒ a d a j
сымэджэщ	s ə m a d͡ʒ a ɕ
сын	s ə n
сырныч	s ə r n ə t͡ʃ
сырэ	s ə r a
сысын	s ə s ə n
сыунэхъугъ	s ə w n a χʷ ə ʁ
сыхьат	s ə ħ aː t
сэ	s a
сэку	s a kʷ
сэкъат	s a q aː t
сэмэгу	s a m a ɡʷ
сэмэркъэу	s a m a r q a w
сэмэркъэушӏыл	s a m a r q a w ʃ ʼ ə ɮ
сэнэтхьапэ	s a n a t ħ aː p a
сэнэхьат	s a n a ħ aː t
сэпсэуэ	s a p s a w a
сэпэон	ɬ a p a w a n
сэраджэ	s a r aː d͡ʒ a
сэрай	s a r aː j
сэхыжын	s a x ə ʒ ə n
сэхын	s a x ə n
сэшхо	s a ʃ xʷ a
сӏакӏьэ	s ʼ aː kʲ ʼ a
сӏын	s ʼ ə n
сӏынэ	s ʼ ə n a
сӏэ	s ʼ a
сӏэсӏэн	s ʼ a s ʼ a n
такъикъ	t aː q i q
такъыр	t aː q ə r
такъэ	t aː q a
тамэ	t aː m a
таплъэ	t aː p ɬ a
тары	t aː r ə
тгъосэнэхьпэ	t ʁʷ a s a n a ħ p a
тгъуакӏо	t ʁʷ aː kʷ ʼ a
тгъэнэгъургьэ	t ʁ a n a ʁʷ ə r d͡ʒ a
тгъэнэгъургьэ	t ʁ a n a ʁʷ ə r ɡʲ a
тгъэргъаз	t ʁ a r ʁ aː z
тегощэн	ɡʷ a ɕ ə n
тегупшысыкӏын	t a j ɡʷ ə p ʃ ə s ə t͡ʃ ʼ ə n
тегъэбылъхьэн	t e ʁ a b ə ɬ ħ a n
тегъэзын	t a j ʁ a z ə n
тегъэзэн	t a j ʁ a z ə n
тегъэкӏэн	t a j ʁ a t͡ʃ ʼ a n
тегъэнэн	t a j ʁ a n a n
тегъэпкӏэн	t a j ə a p t͡ʃ ʼ a n
тегъэпсыхьан	t a j ʁ a p s ə ħ aː n
тегъэпытахьын	t a j ʁ a p ə t aː ħ aː n
тегъэстыкӏын	t a j ʁ a s ə t͡ʃ ʼ ə n
тегъэстыхьан	t a j ʁ a s ə ħ aː n
тегъэткӏон	t a j ʁ a t kʷ ʼ a n
тегъэун	t a j ʁ a w ə n
тедэжьын	t a j d a ʑ ə n
тезын	t a j z ə n
текьын	t a j kʲ ə n
текӏон	t a j kʷ ʼ a n
текӏутэн	t a j kʷ ʼ ə t a n
текӏьэн	t a kʲ ʼ a n
текӏэн	t a j t͡ʃ ʼ a n
телъэдэн	t a j ɬ a d a n
телӏэхьын	t a j ɬ ʼ a ħ ə n
темыр	t a j m ə r
темэн	t a j m a n
тенэн	t a j n a n
тенэцӏэхьын	t a j n a t͡s ʼ a ħ ə n
теон	t a j w a n
теплъаджэ	t e p ɬ aː d͡ʒ a
теплъэ	t aː p ɬ a
теплъэшӏу	t a j p ɬ a ʃʷ ʼ
тепсэн	t a j p s a n
тепхэ	t a j p x a
тепӏо	t a j pʷ ʼ a
тетхыкӏын	t a t x ə t͡ʃ ʼ ə n
теунэхъухьан	t a j n a χʷ ə ħ aː n
теупӏэпӏэн	t a j w p ʼ a p ʼ a n
теутхын	t a j a w ə t x ə n
теутхэн	t j a w ə t x ə n
теутын	t a j w ə t ə n
теутэн	t a j w ə t a n
теуцогъу	t e w t͡sʷ a ʁʷ
теуцон	t a j d t͡ʃʷ a n
теуцӏэлэн	t a w t͡s ʼ a l a n
техакӏу	t e x aː kʷ ʼ
техъон	t a j χʷ a n
техьагъу	t a j ħ aː ʁʷ
техьан	t a j ħ aː n
тецӏэцӏэн	t a j t͡s ʼ a t͡s ʼ a n
течъын	t h a j t͡ʂ ə n
течын	t a j t͡ʃ ə n
тещыныхьан	t a j ɕ ə n ə ħ aː n
теӏэбэхьын	t a j ʔ a b a ħ ə n
тикӏэн	t i kʲ a n
тифэхьын	t i f a ħ ə n
тутын	t ə w t ə n
тучан	t u t͡ʃ aː n
тфанэ	t f aː n a
тфы	t f ə
тфый	t f ə j
тфэи	t f a j ə
тхакӏо	t x aː kʷ ʼ a
тхъо	t χʷ a
тхъу	t χʷ ə
тхъужъ	t χʷ ə ʐ
тхъун	t χʷ ə n
тхъурыжъ	t χʷ ə r ə ʐ
тхъын	t χ ə n
тхъытхъын	ɡʷ ə z a ʒʷ a n
тхъэн	ʁ a t χ a n
тхы	t x ə
тхыбзэ	t x ə b z a
тхыгъэ	t x ə ʁ a
тхыдэ	t x ə d a
тхыкъупшъхь	t x ə qʷ ə p ʂ ħ
тхылъ	t x ə ɬ
тхылъылъ	t x ə ɬ ə ɬ
тхылъыпӏэ	t x ə ɬ ə p ʼ a
тхылъыщэ	t x ə ɬ ə ɕ a
тхылъӏыгъыпӏэ	t x ə ɬ ʔ ə ʁ ə p ʼ a
тхын	t x ə n
тхыон	t x ə w a n
тхыпкъылъэ	t x ə p q ə ɬ a
тхыпкъэ	t x ə p q a
тхытхын	t x ə t x ə n
тхыцэ	t x ə t͡ʃ a
тхыцӏэ	t x ə t͡s ʼ a
тхьабыл	t ħ aː b ə l
тхьакӏумкӏыхь	t ħ a kʷ ʼ m a t͡ʃ ʼ ə ħ
тхьакӏын	t ħ a t͡ʃ ə n
тхьаматэ	t ħ aː m aː t a
тхьамыкӏ	t ħ aː m ə t͡ʃ
тхьамыкӏагъу	t ħ aː m ə t͡ʃ ʼ aː ʁʷ
тхьамыкӏэгъо	t ħ aː m ə t͡ʃ ʼ aː ʁʷ
тхьапш	t ħ a p ʃ
тхьапэ	t ħ aː p a
тхьаркъо	t ħ aː r qʷ a
тхьарыӏу	t ħ aː r ə ʔʷ
тхьауегъэпсэу	t ħ aː w a j ʁ a p s a w
тхьаумаф	t ħ a w m aː f
тхьаусхэн	t ħ aː w ə s x a n
тхьауысхако	t ħ aː w ə s x aː kʷ a
тхьацэ	t ħ aː t͡s a
тхьашъуегъэпсэу	t ħ aː ʂʷ e ʁ p s a w
тхьэ	t ħ a
тхьэгуащэ	t ħ a ɡʷ aː ɕ a
тхьэгъэлэдж	t ħ a ʁ a l a d͡ʒ
тхьэет	t h a j a t
тхьэкӏумэ	t ħ a kʷ ʼ m a
тхьэкӏумэкӏэхьы	t ħ a kʷ ʼ m a kʲ ʼ a ħ ə
тхьэкӏумэкӏэхьы	t ħ a kʷ ʼ m a t͡ʃ ʼ a ħ ə
тхьэкӏумэпылъ	t ħ a kʷ ʼ m a p ə ɬ
тхьэкӏэт	t ħ a kʲ ʼ a t
тхьэкӏэт	t ħ a t͡ʃ ʼ a t
тхьэлӏыкӏу	t ħ a ɬˤ ə kʷ ʼ
тхьэматэ	t ħ a m aː t a
тхьэмафэ	t ħ a m aː f a
тхьэмбылышъу	t ħ a m b ə l ə ʂʷ
тхьэмыщкӏь	t ħ a m ə ɕ kʲ ʼ
тхьэпкӏэ	t ħ a p t͡ʃ a
тхьэтын	t h a t ə n
тхьэцу	t ħ a t͡ʃʷ
тхэн	t x a n
тхэхьын	t x a ħ ə n
ты	t ə
тыгъон	t ə ʁʷ a n
тыгъуакӏо	t ə ʁʷ aː kʷ ʼ a
тыгъуасэ	t ə ʁʷ aː s a
тыгъуасэнахьыпэ	t ʁʷ a s a n a ħ p a
тыгъужъ	t ə ʁʷ ə ʐ
тыгъун	t ə ʁʷ ə n
тыгъурыгъу	t ə ʁʷ r ə ʁʷ ə
тыгъэ	t ə ʁ a
тыгъэгъэзэмаз	t ə ʁ a ʁ a z a m aː z
тыгъэзегъэупӏэ	t ə ʁ a z e ʁ a w p ʼ a
тыгъэкъокӏыпӏ	t ə ʁ a qʷ a kʲ ə p ʼ
тыгъэкъокӏыпӏ	t ə ʁ a qʷ a t͡ʃ ə p ʼ
тыгъэкъохьапӏ	t ə ʁ a qʷ a ħ aː p ʼ
тыгъэпсы	t ə ʁ a p s ə
тыдэ	t ə d a
тыжьыны	t ə ʑ ə n
тыкъын	t ə q ə n
тын	t ə n
тыны	t ə n ə
тыпсэ	t ə p s a
тыркъо	t ə r qʷ a
тэ	t a
тэгъзакӏэ	t a ʁ z aː kʲ ʼ a
тэгъогъон	t a ʁʷ a ʁʷ a n
тэгъолъхьан	t a ʁʷ a ɬ ħ aː n
тэгъэпсэхьэн	t a ʁ a p s a ħ aː n
тэгъэтӏысхьэн	t a ʁ a t ʼ ə s ħ a n
тэгъэтӏэтӏэн	ʁ a t ʼ a t ʼ a n
тэгъэфэн	t a ʁ a f a n
тэгъэцӏэшъутыкӏын	t a ʁ a t͡s ʼ a ʃʷ t ə t͡ʃ ʼ ə n
тэгьын	t a ɡʲ ə n
тэджын	t a d͡ʒ ə n
тэдрэз	t a d r a z
тэдэгьи	t a d a ɡʲ i
тэжъутхэн	t a ʒʷ ə t x a n
тэкуон	t a kʷ ə w a n
тэкӏу	t a kʷ ʼ
тэкӏурэ	t a kʷ ʼ r a
тэкӏутэн	t a kʷ ʼ ə t a n
тэмэжъый	b l ə p q ə ʐ ə j
тэнэн	t a n a n
тэпкӏэн	t a p t͡ʃ ʼ a n
тэпсэ	t a p s a
тэрэз	t a r a z
тэрэзыдж	t a r a z ə d͡ʒ
тэсӏэсӏэн	t a s ʼ a s ʼ a n
тэтхыкӏын	t a t x ə t͡ʃ ʼ ə n
тэтхыкӏьын	t a t x ə kʲ ʼ ə n
тэтэжъ	t a t a ʐ
тэтэртуп	t a t a r t u p
тэтӏэтӏэн	t a t ʼ a t ʼ a n
тэуцон	t a w t͡sʷ ə n
тэуцон	t a w t͡ʃʷ ə n
тэуцӏэлэн	t a w t͡s ʼ a l a n
тэфэн	t a f a n
тэцӏэцӏэн	t a t͡s ʼ a t͡s ʼ a n
тэцӏэшъутыкӏын	t a t͡s ʼ a ʃʷ t ə t͡ʃ ʼ ə n
тэцӏэшъутыкӏьын	t a t͡s ʼ a ʃʷ t ə kʲ ʼ ə n
тэчъын	t a t͡ʂ ə n
тэшӏыкӏын	t a ʃ ʼ ə t͡ʃ ʼ ə n
тэшӏыкӏьын	t a ʃ ʼ ə kʲ ʼ ə n
тэщгъум	t a ɕ ʁʷ ə m
тэщтэу	t a ɕ t a w
тэщтэу	t a ɕ t ə w
тэӏэн	t a ʔ a n
тӏамы	t aː m ə
тӏаркъу	t ʼ aː r qʷ
тӏокӏиплӏ	tʷ ʼ a t͡ʃ i p ɬ ʼ
тӏокӏитӏу	tʷ ʼ a t͡ʃ i tʷ ʼ
тӏокӏищ	tʷ ʼ a t͡ʃ i ɕ
тӏокӏы	tʷ ʼ a t͡ʃ ə
тӏокӏэжъ	tʷ ʼ a t͡ʃ ʼ a ʐ
тӏу	tʷ ʼ ə
тӏуазэх	tʷ ʼ aː z a x
тӏуакӏэ	tʷ ʼ aː t͡ʃ ʼ a
тӏуанэ	tʷ ʼ aː n a
тӏупщын	tʷ ʼ ə p ɕ ə n
тӏурыс	tʷ ʼ ə r ə s
тӏурытӏу	tʷ ʼ ə r ə tʷ ʼ
тӏуӏугъэ	tʷ ʼ ə ʔʷ ə ʁ a
тӏы	t ʼ ə
тӏыгъон	t ʼ ə ʁʷ a n
тӏын	t ʼ ə n
тӏыргун	t ʼ ə r ɡʷ ə n
тӏыргъон	t ʼ ə r ʁʷ a n
тӏысын	t ʼ ə s ə n
тӏысыпӏэ	t ʼ ə s ə p ʼ a
тӏэкӏу	t ʼ a kʷ ʼ
тӏэкӏугъашӏэм	t ʼ a kʷ ʼ ʁ aː ʃ ʼ a m
тӏэкӏушӏэмэ	t ʼ a kʷ ʼː ʃ ʼ a m a
тӏэн	t ʼ a n
тӏэпӏын	t ʼ s a p ʼ ə n
тӏэрэхын	t ʼ a r a x ə n
тӏэрэхьын	m a t ʼ a r a ħ ə n
тӏэтэн	t ʼ a t a n
тӏэтӏэй	t ʼ a t ʼ a j
уае	w aː j a
уанэ	w aː n a
уасэ	w aː s a
уатэ	w aː t a
уахътэ	w aː χ t a
уашхэ	w aː ʃ x a
уашъо	w aː ʃʷ a
уащхъуэ	w aː ɕ χʷ a
убын	w ə b ə
убытын	w b ə t ə n
убэн	w ə b a n
убэтэн	w ə b a t a n
угощын	w ə ɡʷ a ɕ ə n
угъоин	w ə ʁʷ a j ə n
угь	w ə ɡʲ
угьын	w ə ɡʲ ə n
удж	w ə d͡ʒ
уджын	w d͡ʒ ə n
уджэгъун	w ə d͡ʒ a ʁʷ ə n
удзуцон	w d͡zʷ ə t͡sʷ a n
уды	w ə d ə
ужы	w ʒ ə
уз	w ə z
узы	w ə z ə
узын	w ə z ə n
узыныгъэ	w ə z ə n ə ʁ a
укъэбзын	w q a b z ə n
укӏакӏо	w t͡ʃ ʼ aː kʷ ʼ a
укӏорэин	w kʷ ʼ a r a j ə n
укӏын	w ə t͡ʃ ʼ ə n
укӏыт	w ə t͡ʃ ʼ ə t
укӏытагъо	w ə t͡ʃ ʼ ə t aː ʁʷ a
укӏытапх	w t͡ʃ ʼ ə t aː p x
укӏытапхэ	w t͡ʃ ʼ ə t aː p x
укӏытэн	w ə t͡ʃ ʼ ə t a n
укӏьын	w kʲ ʼ ə n
укӏьытапх	w kʲ ʼ ə t aː p x
укӏьытэн	w ə kʲ ʼ ə t a n
укӏьэпхъэн	w kʲ ʼ a p χ a n
укӏэпхъэн	w t͡ʃ ʼ a p χ a n
улъыин	w ə ɬ ə j ə n
улэлэн	w ə l a l a n
умыармэ	w m ə aː r m a
ун	j a w ə n
унагъо	w n aː ʁʷ a
унагъобзэ	w ə n aː ʁʷ a b z a
унагъоцӏэ	w n aː ʁʷ a t͡s ʼ a
унакӏэ	w ə n aː t͡ʃ ʼ a
унапчъэ	w ə n aː p t͡ʂ a
унашъо	w ə n aː ʂʷ a
унашъхьэ	w n aː ʂ ħ a
унэ	w ə n a
унэгъуацӏэ	w ə n a ʁʷ a t͡s ʼ a
унэзэн	w n a z a n
унэхъун	w ə n a χʷ ə n
унэчӏэгъ	w ə n a t͡ʃ ʼ a ʁ
унэӏут	w ə n a ʔʷ ə t
упсын	w ə p s ə n
упчӏэ	w ə p t͡ʃ ʼ a
упчӏэ­жьын	w p t͡ʂ ʼ a ʑ ə n
упчӏэн	w ə p t͡ʃ ʼ a n
упэпцӏын	w p a p t͡s ʼ ə n
упэшӏын	w ə p a ʃ ʼ ə n
упӏэпӏэн	w p ʼ a p ʼ a n
урам	w r aː m
урыс	w ə r ə s
усын	w s ə n
утхъоен	w ə t χʷ a j a n
уты	w t ə
утэцэн	w ə t a t͡s a n
утэшъон	w t a ʃʷ a n
утӏэтӏэн	w ə t ʼ a t ʼ a n
уфын	w ə f ə n
ухъумэн	w χʷ ə m a n
ухын	w x ə n
уц	w ə t͡s
уцолъын	w ə t͡ʃʷ a ɬ ə n
уцун	w t͡ʃʷ ə n
уцупӏэ	w ə t͡sʷ ə p ʼ a m
уцы	w ə t͡s ə
уцышъо	w ə t͡s ə ʂʷ a
уцэкун	w ə t͡s a kʷ ə n
уцэӏун	w ə t͡s a ʔʷ ə n
уцӏынын	w ə t͡s ʼ ə n ə n
уцӏэлэн	w ə t͡s ʼ a l a n
ушхъухьакӏо	w ə ʃ χʷ ħ aː kʷ ʼ a
ушхъухьан	w ə ʃ χʷ ħ aː n
ушъорэкӏын	w ə ʃʷ a r a t͡ʃ ʼ ə n
ушъын	w ə ʂ ə n
ушыгун	w ə ɕ ə ɡʷ ə n
ушӏоин	w ə ʃʷ a j ə n
уыбэтэн	w ə b a t a n
уыд	w ə d
уэнтэгъу	w a n t a ʁʷ
уэр	w a r
уэрзэӏанэ	w a r z a ʔ aː n a
уӏагъэ	w ə ʔ aː ʁ a
уӏэн	w ə ʔ a n
фабэ	f aː b a
фае	f aː j a
фапшэ	f aː p ʃ a
фапщэ	f aː p ʃ a
фегъэпэн	f a j ʁ a p a n
феуэн	f a j w a n
фигъэпэн	f ə j ʁ a p a n
фикъун	f ə j qʷ ə n
фит	f i t
фитын	f ə j t ə n
фо	f o
фыгу	f ə ɡʷ
фыжьы	f ə ʑ ə
фыжьыбз	f ə ʑ ə b z
фызын	f ə z ə n
фылым	f ə l ə m
фын	f ə n
фыцӏын	f ə t͡s ʼ ə n
фэ	f a
фэгоӏэн	f a ɡʷ a ʔ a n
фэгубжын	f a ɡʷ ə b ʒ ə n
фэгъэгъун	f a ʁ a ʁʷ ə n
фэгъэзэн	f a ʁ a z a n
фэгъэпсын	f a ʁ a p s ə n
фэд	f a d
фэдиз	f a d i z
фэдэкъабз	f a d a q aː b z
фэдэн	f a d a n
фэен	f a j a n
фэжъыуф	fˤ a ʐ ə w fˤ
фэлъэкӏын	ɬ a t͡ʃ ʼ ə n
фэлъэкӏьын	ɬ a kʲ ʼ ə n
фэлӏэн	f a ɬ ʼ a n
фэмылъэгъун	f a m ə ɬ a ʁʷ ə n
фэмыф	f a m ə f
фэмэн	f a m a n
фэпсӏын	f a p s ʼ ə n
фэпцӏын	f a p t͡s ʼ ə n
фэпшэн	f a p ʃ a n
фэпщэн	f a p ʃ a n
фэпэн	f a p a n
фэрэхьатын	f a r a ħ aː t ə n
фэсакъын	f a s aː q ə n
фэусын	f a w s ə n
фэшъуаш	f a ʃʷ aː ʃ
фэшъуашэу	f a ʃʷ aː ʃ a w
фэшъхьаф	f a ʂ ħ aː f
фэшӏ	f a ʃ ʼ
фэшӏкӏэ	f a ʃ ʼ ə t͡ʃ ʼ a
фэшӏу	f a ʃʷ ʼ ə
фэшӏун	f a ʃʷ ʼ ə n
фэшӏыкӏэ	f a ʃ ʼ ə t͡ʃ ʼ a
фэшӏын	f a ʃ ʼ ə n
фэщэӏэн	f a ɕ a ʔ a n
фэӏаз	f a ʔ aː z
фэӏофытэн	ʔʷ a f ə t a n
фӏэ	fˤ a
фӏэжъыуфӏ	fˠ a ʐ ə w fˠ
хабзэ	x aː b z a
хакӏо	x aː kʷ ʼ a
хамэ	x aː m a
ханэ	x aː n a
хасэ	x aː s a
хатэ	x aː t a
хафэ	x aː f a
хегъэбылъхьэн	x e ʁ a b ə ɬ ħ a n
хегъэхын	x a x ə n
хигъэгъощэн	x i ʁ a ʁʷ a ɕ a n
хихын	x i x ə n
хъагъэ	χ aː ʁ a
хъан	χ aː n
хъанзэгу	χ aː n z a ɡʷ
хъатэ	χ aː t a
хъашъо	χ aː ʃʷ a
хъишъ	ħ ə j ʂ
хъо	χʷ a
хъожьын	χʷ a ʑ ə n
хъои	χʷ a j ə
хъокӏыгъ	χʷ a t͡ʃ ʼ ə ʁ
хъонэн	χʷ a n a n
хъопсащэ	χʷ a p s aː ɕ a
хъопсэн	χʷ a p s a n
хъоршэр	χʷ a r ʃ a r
хъот	χʷ a t
хъоу	χʷ a w
хъохъ	χʷ a χʷ
хъохъу	ɡʷ ə ʃʷ ʼ aː ʁʷ a
хъу	χʷ ə
хъуае	χʷ aː j a
хъуакӏо	χʷ aː kʷ ʼ a
хъуанэ	χʷ aː n a
хъуат	χʷ aː t
хъугъэ	χʷ ə ʁ a
хъужьын	χʷ ə ʑ ə n
хъулъфыгъэ	χʷ ə ɬ f ə ʁ a
хъумэн	χʷ ə m a n
хъун	χʷ ə n
хъупхъэ	χʷ ə p χ a
хъупӏэ	χʷ ə p ʼ a
хъупӏэжьец	χʷ ə pˤ ʼ a ʑ j a t͡s
хъурай	χʷ ə r aː j
хъурмэ	χʷ ə r m a
хъусӏысый	χʷ ə s ʼ ə s ə j
хъучӏанэ	χʷ ə t͡ʃ aː n a
хъушъу	χʷ ə ʃʷ
хъы	χ ə
хъыбый	χ ə b ə j
хъыен	χ ə j a n
хъыжъэн	χ ə ʐ a n
хъызмэт	χ ə z m a t
хъыкӏы	χ ə t͡ʃ ʼ ə
хъырбыдз	χ ə r b ə d͡ʒ
хъырцэ	χ ə r t͡s a
хъытыу	χ ə t ə w
хъыу	χ ə w
хъэ	χ a
хъэбар	χ a b aː r
хъэдз	χ a d͡z
хъэдэн	χ a d a n
хъэн	χ a n
хъэпрашъо	χ a p r aː ʂʷ a
хъэрен	χ a r a j n
хъэхалъэ	χ a x aː ɬ a
хъяр	χ ə j aː r
хъяркӏэ	χ ə j aː r t͡ʃ ʼ a
хы	x ə
хыбзу	x ə b z ə w
хыблыгу	x ə b l ə ɡʷ ə
хыгъунэ	x ə ʁʷ ə n a
хыгъэхъун	x ə ʁ a χʷ ə n
хыгъэхъунэныкъу	x ə ʁ a χʷ ə n a n ə qʷ ə
хыкум	x ə kʷ ə m
хыкъо	x ə qʷ a
хыкъохъу	x ə qʷ a χʷ
хыкъу	x ə qʷ ə
хыкъумэ	x ə qʷ ə m a
хымацӏ	x ə m aː t͡s
хымэ	x ə m a
хырыкӏ	x ə r ə t͡ʃ
хысыдж	x ə s ə d͡ʒ
хытыгъужъ	x ə t ə ʁʷ ə ʐ
хытӏуал	x ə tʷ ʼ a l
хыуай	x ə w a j
хыхьэ	x ə ħ a
хыӏушъо	x ə ʔʷ ə ʃʷ a
хьа	ħ aː
хьаблыу	ħ aː b l ə w
хьаджыгъэ	ħ aː d͡ʒ ə ʁ a
хьаджыгъэпс	ħ aː d͡ʒ ə ʁ a p s
хьаджын	ħ aː d͡ʒ ə n
хьадэ	ħ aː d a
хьадэгъу	ħ aː d a ʁʷ
хьадэпчэмыӏу	ħ aː d a p t͡ʃ a m ə ʔʷ
хьажъу	h aː ʐʷ
хьазыр	ħ aː z ə r
хьазырын	ħ aː z ə r ə n
хьайнап	ħ a j ə n aː p
хьайнапэ	ħ a j ə n aː p
хьаку	ħ aː kʷ
хьакъун	ħ aː qʷ ə n
хьакӏэ	ħ aː t͡ʃ a
хьакӏэкъуакӏэ	ħ aː t͡ʃ a qʷ aː t͡ʃ a
хьакӏэщ	ħ aː t͡ʃ a ɕ
хьалжъогъуан	ħ aː l ʐʷ a ʁʷ aː n
хьалы	ħ aː l ə
хьалыгъу	ħ aː l ə ʁʷ
хьалыгъущапӏэ	ħ aː l ə ʁʷ ɕ aː p ʼ a
хьалыжъощыхьагъэ	ħ aː l ə ʐʷ a ɕ ə ħ aː ʁ a
хьалэмэт	ħ aː l a m a t
хьамлашкӏу	ħ aː m ɮ aː ʃ kʷ ʼ
хьамлыу	ħ a m l ə w
хьамплъыжь	ħ aː m p ɬ ə ʑ
хьамцӏый	ħ aː m t͡sˤ ʼ ə j
хьан	ħ aː n
хьандзу	ħ aː n d͡zʷ ə
хьандзуачӏ	ħ aː n d͡zʷ aː t͡ʃ
хьантхъупсы	ħ aː n t χʷ ə p s ə
хьантыкъуакъу	ħ a n t ə qʷ aː qʷ
хьантӏаркъу	ħ a n t aː r qʷ
хьанцэ	ħ a n t͡s a
хьао	ħ aː w a
хьапкӏ	ħ aː p t͡ʃ ʼ
хьаплъы	ħ aː p ɬ ə
хьаплъэ	ħ a p ɬ a
хьапщ	ħ a p ɕ
хьарз	ħ a r z
хьарзэ	ħ aː p z a
хьарун	ħ aː r ə w n
хьарыпӏ	ħ aː r ə p ʼ
хьарыф	ħ aː r ə f
хьасэ	ħ aː s a
хьасэтх	ħ aː s a t x
хьатыр	ħ aː t ə r
хьау	ħ a w
хьаулый	ħ aː w ə l ə j
хьаумэ	ħ aː w m a
хьацэ	ħ aː t͡s a
хьацэгъуй	ħ aː t͡s a ʁʷ ə j
хьацэпӏацэ	ħ aː t͡s a p ʼ aː t͡s a
хьацӏэбацӏэ	ħ aː t͡sˤ ʼ a b aː t͡sˤ ʼ a
хьашъо	ħ aː ʂʷ a
хьаӏ	ħ aː ʔ
хьаӏьэ	ħ aː ʔʲ a
хьылъэ	ħ ə ɬ a
хьын	ħ ə n
хьэ	ħ a
хьэб	ħ a b
хьэбадзэ	ħ a b aː d͡z a
хьэбзу	ħ a b z ə w
хьэблыу	ħ a b l ə w
хьэджашъу	ħ a d͡ʒ aː ʂʷ
хьэдрыхэ	ħ a d r ə x a
хьэдрыхэтхьэ	ħ a d r ə x a t ħ a
хьэдэгъу	ħ a d a ʁʷ
хьэдэкъаз	ħ a d a q aː z
хьэдэпчэмыӏу	ħ a d a p t͡ʃ a m ə ʔʷ
хьэжъ	ħ a ʐ
хьэжъу	ħ a ʐʷ
хьэинап	ħ a j ə n aː p
хьэкуку	ħ a kʷ ə kʷ
хьэкусташ	ħ a kʷ ə s t aː ʃ
хьэкъуашъо	ħ a qʷ aː ʃʷ a
хьэкъухъ	ħ a qʷ ə ʐ
хьэкӏущтащхьэ	ħ a kʷ ʼ ɕ t aː ɕ ħ a
хьэлжъо	ħ a l ʐʷ a
хьэлъэбакъо	ħ a ɬ a w b aː q
хьэлъэбакъу	ħ a ɬ a w b aː q
хьэлъэбэкъищ	ħ a ɬ a b a q i ɕ
хьэлъэубакъу	ħ a ɬ a w b aː q
хьэлэгъу	ħ a l a w
хьэлэгъу	ħ a ɮ a w
хьэмашэ	ħ a m aː ʃ a
хьэнтӏэрэпӏый	ħ a n t a r a p ə j
хьэнцийгуащэ	ħ a n t͡s i j ɡʷ aː ɕ a
хьэнцэ	ħ a n t͡s a
хьэнчэмыӏу	ħ a n t͡ʃ a m ə ʔʷ
хьэо	ħ a w a
хьэпс	ħ a p s
хьэпӏацӏэ	ħ a p ʼ aː t͡s ʼ a
хьэтӏрэпӏый	ħ a t r a p ə j
хьэубыт	ħ a w b ə t
хьэуцхьэш	ħ a w t͡s ħ a ʃ
хьэцэ	ħ a t͡s a
хьэцэӏукь	ħ a t͡s a ʔʷ ə kʲ
хьэцэӏукӏ	ħ a t͡s a ʔʷ ə t͡ʃ
хьэшхъурэӏу	ħ a ʃ χʷ ə r a ʔʷ
хьэшъобыдз	ħ a ʂʷ a b ə d͡z
хьэшъотоп	ħ a ʂʷ a t o p
хьэят	ħ a j aː t
хьэӏу	ħ a ʔʷ ə
хэгущыӏэхьан	x a ɡʷ ə ɕ ə ʔ a ħ aː n
хэгъолъхьан	x a ʁʷ a ɬ ħ aː n
хэгъошъхьаӏу	x a ʁʷ a ʂ ħ a ʔʷ
хэгъощэн	x a ʁʷ a ɕ a n
хэгъуашъхьэ	x a ʁʷ aː ʂ ħ a
хэгъэгу	x a ʁ a ɡʷ
хэгъэгэжьын	x a ʁ a n a ʑ ə n
хэгъэдэн	x a ʁ a d a n
хэгъэкӏын	x a ʁ a t͡ʃ ə n
хэгъэон	x a ʁ a w a n
хэгъэузыкӏын	x a ʁ a w z e t͡ʃ ə n
хэгъэузыкӏьын	x a ʁ a w z e kʲ ə n
хэгъэхъон	x a ʁ a χʷ a n
хэгъэщын	x a ʁ a ɕ ə n
хэдзын	x a d͡z ə n
хэдэн	x a d a n
хэку	x a kʷ
хэкъутыхьан	x a qʷ ə t ə ħ aː n
хэкъэхьын	x a q a ħ ə n
хэкӏодыкӏын	x a kʷ ʼ a d ə t͡ʃ ʼ ə m
