'tain	t ɛ̃
apparences	a p a ʁ ɑ̃ s
apparent	a p a ʁ ɑ̃
apparente	a p a ʁ ɑ̃ t
apparenter	a p a ʁ ɑ̃ t e
apparenté	a p a ʁ ɑ̃ t e
apparition	a p a ʁ i s j ɔ̃
apparitorat	a p a ʁ i t ɔ ʁ a
apparitrice	a p a ʁ i t ʁ i s
apparoir	a p a ʁ w a ʁ
appart	a p a ʁ t
appartement	a p a ʁ t ə m ɑ̃
appartenir	a p a ʁ t ə n i ʁ
appas	a p ɑ
appeau	a p o
appel	a p ɛ l
appelait	a p l ɛ
appelant	a p l ɑ̃
appeler	a p ə l e
appellatif	a p ɛ l a t i f
appellatifs	a p ɛ l a t i f
appellation	a p ɛ l a s j ɔ̃
appellative	a p ɛ l a t i v
appellatives	a p ɛ l a t i v
appelle	a p ɛ l
appendice	a p ɑ̃ d i s
appendicite	a p ɛ̃ d i s i t
appendiculée	a p ɑ̃ d i k y l e
appentis	a p ɑ̃ t i
appertisation	a p ɛ ʁ t i z a s j ɔ̃
appertiser	a p ɛ ʁ t i z e
applaudi	a p l o d i
applaudir	a p l o d i ʁ
applaudira	a p l o d i ʁ a
applaudirai	a p l o d i ʁ e
applaudiraient	a p l o d i ʁ ɛ
applaudirais	a p l o d i ʁ ɛ
applaudirait	a p l o d i ʁ ɛ
applaudiras	a p l o d i ʁ ɑ
applaudirent	a p l o d i ʁ
applaudirez	a p l o d i ʁ e
applaudiriez	a p l o d i ʁ j e
applaudirions	a p l o d i ʁ j ɔ̃
applaudirons	a p l o d i ʁ ɔ̃
applaudiront	a p l o d i ʁ ɔ̃
applaudis	a p l o d i
applaudissaient	a p l o d i s ɛ
applaudissais	a p l o d i s ɛ
applaudissait	a p l o d i s ɛ
applaudissant	a p l o d i s ɑ̃
applaudisse	a p l o d i s
applaudissent	a p l o d i s
applaudisses	a p l o d i s
applaudissez	a p l o d i s e
applaudissiez	a p l o d i s j e
applaudissions	a p l o d i s j ɔ̃
applaudissons	a p l o d i s ɔ̃
applaudit	a p l o d i
applaudîmes	a p l o d i m
applaudît	a p l o d i
applaudîtes	a p l o d i t
applicable	a p l i k a b l
application	a p l i k a s j ɔ̃
appliquer	a p l i k e
appliqué	a p l i k e
appoggiature	a p ɔ d ʒ j a t y ʁ
appoint	a p w ɛ̃
appointer	a p w ɛ̃ t e
apponter	a p ɔ̃ t e
apport	a p ɔ ʁ
apporter	a p ɔ ʁ t e
apposer	a p o z e
appositif	a p o z i t i f
appositifs	a p o z i t i f
appositive	a p o z i t i v
appositives	a p o z i t i v
apprendre	a p ʁ ɑ̃ d ʁ
apprenti	a p ʁ ɑ̃ t i
apprimée	a p ʁ i m e
appris	a p ʁ i
apprise	a p ʁ i z
apprises	a p ʁ i z
apprivoiser	a p ʁ i v w a z e
apprivoisé	a p ʁ i v w a z e
approbateur	a p ʁ ɔ b a t œ ʁ
approbateurs	a p ʁ ɔ b a t œ ʁ
approbatif	a p ʁ ɔ b a t i f
approbatifs	a p ʁ ɔ b a t i f
approbation	a p ʁ ɔ b a s j ɔ̃
approbative	a p ʁ ɔ b a t i v
approbativement	a p ʁ ɔ b a t i v m ɑ̃
approbatives	a p ʁ ɔ b a t i v
approbativité	a p ʁ ɔ b a t i v i t e
approbatrice	a p ʁ ɔ b a t ʁ i s
approbatrices	a p ʁ ɔ b a t ʁ i s
approche	a p ʁ ɔ ʃ
approcher	a p ʁ ɔ ʃ e
approfondir	a p ʁ ɔ f ɔ̃ d i ʁ
approprier	a p ʁ ɔ p ʁ i j e
approprié	a p ʁ ɔ p ʁ i j e
approuver	a p ʁ u v e
approvisionner	a p ʁ ɔ v i z j ɔ n e
approximatif	a p ʁ ɔ k s i m a t i f
approximation	a p ʁ ɔ k s i m a s j ɔ̃
approximations	a p ʁ ɔ k s i m a s j ɔ̃
approximativement	a p ʁ ɔ k s i m a t i v m ɑ̃
approximé	a p ʁ ɔ k s i m e
appréciative	a p ʁ e s j a t i v
apprécier	a p ʁ e s j e
appréhender	a p ʁ e ɑ̃ d e
appréhension	a p ʁ e ɑ̃ s j ɔ̃
apprêter	a p ʁ ɛ t e
appui	a p ɥ i
appuyer	a p ɥ i j e
appât	a p a
appât	a p ɑ
appâta	a p a t a
appâtai	a p a t e
appâtaient	a p a t ɛ
appâtais	a p a t e
appâtait	a p a t e
appâtant	a p a t ɑ̃
appâtas	a p a t a
appâtasse	a p a t a s
appâtassent	a p a t a s
appâtasses	a p a t a s
appâtassiez	a p a t a s j e
appâtassions	a p a t a s j ɔ̃
appâte	a p ɑ t
appâtent	a p ɑ t
appâter	a p ɑ t e
appâtera	a p a t ə ʁ a
appâterai	a p a t ə ʁ e
appâteraient	a p a t ə ʁ e
appâterais	a p a t ə ʁ e
appâterait	a p a t ə ʁ e
appâteras	a p a t ə ʁ a
appâterez	a p a t ə ʁ ɔ e
appâteriez	a p a t ə ʁ j e
appâterions	a p a t ə ʁ j ɔ̃
appâterons	a p a t ə ʁ ɔ̃
appâteront	a p a t ə ʁ ɔ̃
appâtes	a p ɑ t
appâtez	a p a t e
appâtiez	a p a t j e
appâtions	a p a t j ɔ̃
appâtons	a p a t ɔ̃
appâts	a p ɑ
appâtâmes	a p a t a m
appâtât	a p a t a
appâtâtes	a p a t a t
appâtèrent	a p a t ɛ ʁ
appâté	a p a t e
appétissant	a p e t i s ɑ̃
appétissante	a p e t i s ɑ̃ t
appétissantes	a p e t i s ɑ̃ t
appétissants	a p e t i s ɑ̃
appétit	a p e t i
appétitive	a p e t i t i v
appétive	a p e t i v
apraxie	a p ʁ a k s i
aprin	a p ʁ ɛ̃
après	a p ʁ ɛ
apte	a p t
aptes	a p t
aptitude	a p t i t y d
aptère	a p t ɛ ʁ
aptéryx	a p t e ʁ i k s
apulienne	a p y l j ɛ n
apura	a p y ʁ a
apurai	a p y ʁ e
apurais	a p y ʁ ɛ
apuras	a p y ʁ ɑ
apurasse	a p y ʁ a s
apurasses	a p y ʁ a s
apure	a p y ʁ
apurer	a p y ʁ e
apures	a p y ʁ
apériteur	a p e ʁ i t œ ʁ
apéritif	a p e ʁ i t i f
apéro	a p e ʁ o
apéros	a p e ʁ o
apôtre	a p o t ʁ
apôtres	a p o t ʁ
apôtresse	a p o t ʁ ɛ s
aquacole	a k w a k ɔ l
aquaculteur	a k w a k y l t œ ʁ
aquacultrice	a k w a k y l t ʁ i s
aquaculture	a k w a k y l t y ʁ
aquaphobie	a k w a f ɔ b i
aquaplaning	a k w a p l a n i ŋ
aquarelle	a k w a ʁ ɛ l
aquaresponsable	a k w a ʁ ɛ s p ɔ̃ s a b l
aquarium	a k w a ʁ j ɔ m
aquariums	a k w a ʁ j ɔ m
aquatique	a k w a t i k
aqueduc	a k d y k
aqueduc	a k ə d y k
aqueuse	a k ø z
aqueux	a k ø
aquifère	a k ɥ i f ɛ ʁ
aquilin	a k i l ɛ̃
aquiline	a k i l i n
aquilon	a k i l ɔ̃
aquisextaine	a k i s ɛ k s t ɛ n
aquitaine	a k i t ɛ n
aquitanien	a k i t a n j ɛ̃
ara	a ʁ a
arabe	a ʁ a b
arabesque	a ʁ a b ɛ s k
arabica	a ʁ a b i k a
arabie	a ʁ a b i
arabique	a ʁ a b i k
arable	a ʁ a b l
arachide	a ʁ a ʃ i d
arachides	a ʁ a ʃ i d
arachnide	a ʁ a k n i d
arachnophobie	a ʁ a k n ɔ f ɔ b i
arachnoïde	a ʁ a k n ɔ i d
arachnoïdienne	a ʁ a ʃ n ɔ i d j ɛ n
aragon	a ʁ a ɡ ɔ̃
aragonais	a ʁ a ɡ ɔ n ɛ
araignée	a ʁ ɛ ɲ e
araire	a ʁ ɛ ʁ
aramon	a ʁ a m ɔ̃
araméen	a ʁ a m e ɛ̃
araméisante	a ʁ a m e i z ɑ̃ t
arantèle	a ʁ ɑ̃ t ɛ l
aranéeuse	a ʁ a n e ø z
araser	a ʁ ɑ z e
arawakienne	a ʁ a w a k j ɛ n
arbalète	a ʁ b a l ɛ t
arbalétrier	a ʁ b a l e t ʁ i j e
arbitrage	a ʁ b i t ʁ a ʒ
arbitraire	a ʁ b i t ʁ ɛ ʁ
arbitral	a ʁ b i t ʁ a l
arbitrale	a ʁ b i t ʁ a l
arbitrative	a ʁ b i t ʁ a t i v
arbitre	a ʁ b i t ʁ
arbitrer	a ʁ b i t ʁ e
arboisienne	a ʁ b w a z j ɛ n
arboraient	a ʁ b ɔ ʁ ɛ
arborer	a ʁ b ɔ ʁ e
arborescentes	a ʁ b ɔ ʁ ɛ s ɑ̃ t
arbouse	a ʁ b u z
arbousier	a ʁ b u z j e
arbre	a ʁ b ʁ
arbres	a ʁ b ʁ
arbrisseau	a ʁ b ʁ i s o
arbuste	a ʁ b y s t
arbustif	a ʁ b y s t i f
arbustifs	a ʁ b y s t i f
arbustive	a ʁ b y s t i v
arbustives	a ʁ b y s t i v
arc	a ʁ k
arcade	a ʁ k a d
arcane	a ʁ k a n
arcbouta	a ʁ k b u t a
arcboutai	a ʁ k b u t e
arcboutaient	a ʁ k b u t ɛ
arcboutais	a ʁ k b u t ɛ
arcboutait	a ʁ k b u t ɛ
arcboutant	a ʁ k b u t ɑ̃
arcboutas	a ʁ k b u t ɑ
arcboutasse	a ʁ k b u t a s
arcboutassent	a ʁ k b u t a s
arcboutasses	a ʁ k b u t a s
arcboutassiez	a ʁ k b u t a s j e
arcboutassions	a ʁ k b u t a s j ɔ̃
arcboute	a ʁ k b u t
arcboutent	a ʁ k b u t
arcbouter	a ʁ k b u t e
arcboutera	a ʁ k b u t ʁ a
arcbouterai	a ʁ k b u t ʁ e
arcbouteraient	a ʁ k b u t ʁ ɛ
arcbouterais	a ʁ k b u t ʁ ɛ
arcbouterait	a ʁ k b u t ʁ ɛ
arcbouteras	a ʁ k b u t ʁ ɑ
arcbouterez	a ʁ k b u t ʁ e
arcbouteriez	a ʁ k b u t ə ʁ j e
arcbouterions	a ʁ k b u t ə ʁ j ɔ̃
arcbouterons	a ʁ k b u t ʁ ɔ̃
arcbouteront	a ʁ k b u t ʁ ɔ̃
arcboutes	a ʁ k b u t
arcboutez	a ʁ k b u t e
arcboutiez	a ʁ k b u t j e
arcboutions	a ʁ k b u t j ɔ̃
arcboutons	a ʁ k b u t ɔ̃
arcboutâmes	a ʁ k b u t ɑ m
arcboutât	a ʁ k b u t ɑ
arcboutâtes	a ʁ k b u t ɑ t
arcboutèrent	a ʁ k b u t ɛ ʁ
arcbouté	a ʁ k b u t e
arceneaux	a ʁ s ə n o
archal	a ʁ ʃ a l
archange	a ʁ k ɑ̃ ʒ
archaïque	a ʁ k a i k
archaïsme	a ʁ k a i s m
arche	a ʁ ʃ
archer	a ʁ ʃ e
archerie	a ʁ ʃ ə ʁ i
archet	a ʁ ʃ ɛ
archevêché	a ʁ ʃ ə v ɛ ʃ e
archevêque	a ʁ ʃ ə v ɛ k
archiatre	a ʁ ʃ j a t ʁ
archicontinentale	a ʁ ʃ i k ɔ̃ t i n ɑ̃ t a l
archicube	a ʁ ʃ i k y b
archidiacre	a ʁ ʃ i d j a k ʁ
archidiocésaine	a ʁ ʃ i d j o s e z ɛ n
archiduc	a ʁ ʃ i d y k
archiduchesse	a ʁ ʃ i d y ʃ ɛ s
archifaux	a ʁ ʃ i f o
archiloque	a ʁ ʃ i l ɔ k
archimandrite	a ʁ ʃ i m ɑ̃ d ʁ i t
archimède	a ʁ ʃ i m ɛ d
archimédienne	a ʁ ʃ i m e d j ɛ n
archipel	a ʁ ʃ i p ɛ l
archiphonème	a ʁ ʃ i f ɔ n ɛ m
archiplein	a ʁ ʃ i p l ɛ̃
archipleine	a ʁ ʃ i p l ɛ n
archipleines	a ʁ ʃ i p l ɛ n
archipleins	a ʁ ʃ i p l ɛ̃
archipresbytérale	a ʁ ʃ i p ʁ ɛ s b i t e ʁ a l
archiprêtre	a ʁ ʃ i p ʁ ɛ t ʁ
architecte	a ʁ ʃ i t ɛ k t
architectural	a ʁ ʃ i t ɛ k t y ʁ a l
architecture	a ʁ ʃ i t ɛ k t y ʁ
architransème	a ʁ ʃ i t ʁ ɑ̃ s ɛ m
architrave	a ʁ ʃ i t ʁ a v
architravée	a ʁ ʃ i t ʁ a v e
archive	a ʁ ʃ i v
archiver	a ʁ ʃ i v e
archiviste	a ʁ ʃ i v i s t
archivolte	a ʁ ʃ i v ɔ l t
archonte	a ʁ k ɔ̃ t
archéale	a ʁ ʃ e a l
archéenne	a ʁ k e ɛ n
archélaüs	a ʁ ʃ e l a y s
archéologie	a ʁ k e ɔ l ɔ ʒ i
archéologique	a ʁ k e ɔ l ɔ ʒ i k
archéologue	a ʁ k e ɔ l ɔ ɡ
archéozoologique	a ʁ k e o z ɔ ɔ l ɔ ʒ i k
archétype	a ʁ k e t i p
arctique	a ʁ k t i k
arctique	a ʁ t i k
arcturienne	a ʁ k t y ʁ j ɛ n
ardemment	a ʁ d a m ɑ̃
ardennaise	a ʁ d ə n ɛ z
ardennaise	a ʁ d ɛ n ɛ z
ardennes	a ʁ d ɛ n
ardent	a ʁ d ɑ̃
ardeur	a ʁ d œ ʁ
ardillon	a ʁ d i j ɔ̃
ardoise	a ʁ d w a z
ardoisière	a ʁ d w a z j ɛ ʁ
ardre	ɑ ʁ d ʁ
ardu	a ʁ d y
ardèche	a ʁ d ɛ ʃ
areligieuse	a ʁ ə l i ʒ j ø z
arf	a ʁ f
argent	a ʁ ʒ ɑ̃
argentan	a ʁ ʒ ɑ̃ t ɑ̃
argenter	a ʁ ʒ ɑ̃ t e
argenterie	a ʁ ʒ ɑ̃ t ʁ i
argentin	a ʁ ʒ ɑ̃ t ɛ̃
argentine	a ʁ ʒ ɑ̃ t i n
argenté	a ʁ ʒ ɑ̃ t e
argienne	a ʁ ʒ j ɛ n
argilacée	a ʁ ʒ i l a s e
argilane	a ʁ ʒ i l a n
argile	a ʁ ʒ i l
argon	a ʁ ɡ ɔ̃
argot	a ʁ ɡ o
argotiste	a ʁ ɡ ɔ t i s t
argotologie	a ʁ ɡ ɔ t ɔ l ɔ ʒ i
argouse	a ʁ ɡ u z
argousier	a ʁ ɡ u z j e
argousin	a ʁ ɡ u z ɛ̃
argue	a ʁ ɡ y
arguer	a ʁ ɡ ɥ e
argument	a ʁ ɡ y m ɑ̃
argumentation	a ʁ ɡ y m ɑ̃ t a s j ɔ̃
argumenter	a ʁ ɡ y m ɑ̃ t e
argumenteuse	a ʁ ɡ y m ɑ̃ t ø z
argutie	a ʁ ɡ y s i
argüer	a ʁ ɡ ɥ e
aria	a ʁ j a
ariane	a ʁ j a n
aride	a ʁ i d
arienne	a ʁ j ɛ n
ariostine	a ʁ j ɔ s t i n
aristarque	a ʁ i s t a ʁ k
aristippe	a ʁ i s t i p
aristo	a ʁ i s t o
aristobule	a ʁ i s t ɔ b y l
aristocrate	a ʁ i s t ɔ k ʁ a t
aristocratie	a ʁ i s t ɔ k ʁ a s i
aristocratique	a ʁ i s t ɔ k ʁ a t i k
aristoloche	a ʁ i s t ɔ l ɔ ʃ
aristophane	a ʁ i s t ɔ f a n
aristophanienne	a ʁ i s t ɔ f a n j ɛ n
aristote	a ʁ i s t ɔ t
aristotélicien	a ʁ i s t ɔ t e l i s j ɛ̃
aristotélicienne	a ʁ i s t ɔ t e l i s j ɛ n
aristée	a ʁ i s t e
aristénète	a ʁ i s t e n ɛ t
arithmétique	a ʁ i t m e t i k
arithmétiquement	a ʁ i t m e t i k m ɑ̃
arité	a ʁ i t e
ariège	a ʁ j ɛ ʒ
arkose	a ʁ k o z
arles	a ʁ l
arlette	a ʁ l ɛ t
arlon	a ʁ l ɔ̃
arlésienne	a ʁ l e z j ɛ n
arma	a ʁ m a
armai	a ʁ m e
armais	a ʁ m ɛ
armand	a ʁ m ɑ̃
armanienne	a ʁ m a n j ɛ n
armas	a ʁ m a
armasse	a ʁ m a s
armasses	a ʁ m a s
armaturé	a ʁ m a t y ʁ e
arme	a ʁ m
armel	a ʁ m ɛ l
armelle	a ʁ m ɛ l
armer	a ʁ m e
armes	a ʁ m
armet	a ʁ m ɛ
armillée	a ʁ m i j e
arminienne	a ʁ m i n j ɛ n
armoire	a ʁ m w a ʁ
armoriait	a ʁ m ɔ ʁ j ɛ
armorial	a ʁ m ɔ ʁ j a l
armoriale	a ʁ m ɔ ʁ j a l
armorier	a ʁ m ɔ ʁ j e
armure	a ʁ m y ʁ
armé	a ʁ m e
armée	a ʁ m e
arménie	a ʁ m e n i
arménien	a ʁ m e n j ɛ̃
arnaque	a ʁ n a k
arnaquer	a ʁ n a k e
arnaqueur	a ʁ n a k œ ʁ
arnaqueurs	a ʁ n a k œ ʁ
arnaqueuse	a ʁ n a k ø z
arnaqueuses	a ʁ n a k ø z
arnaud	a ʁ n o
arnica	a ʁ n i k a
arobase	a ʁ ɔ b a z
aromale	a ʁ ɔ m a l
aromate	a ʁ ɔ m a t
aromaticité	a ʁ ɔ m a t i s i t e
aromatique	a ʁ ɔ m a t i k
arpent	a ʁ p ɑ̃
arpenter	a ʁ p ɑ̃ t e
arpenteur	a ʁ p ɑ̃ t œ ʁ
arpenteuse	a ʁ p ɑ̃ t ø z
arpitan	a ʁ p i t ɑ̃
arpitane	a ʁ p i t a n
arquebuse	a ʁ k ə b y z
arquebusier	a ʁ k ə b y z j e
arquer	a ʁ k e
arracache	a ʁ a k a ʃ
arrache	a ʁ a ʃ
arracher	a ʁ a ʃ e
arraché	a ʁ a ʃ e
arrangeassent	a ʁ ɑ̃ ʒ a s
arrangement	a ʁ ɑ̃ ʒ m ɑ̃
arranger	a ʁ ɑ̃ ʒ e
arrangeur	a ʁ ɑ̃ ʒ œ ʁ
arrangeurs	a ʁ ɑ̃ ʒ œ ʁ
arrestation	a ʁ ɛ s t a s j ɔ̃
arrher	a ʁ e
arrhes	a ʁ
arrhés	a ʁ e
arrimer	a ʁ i m e
arriser	a ʁ i z e
arrivage	a ʁ i v a ʒ
arrive	a ʁ i v
arrivederci	a ʁ i v e d ɛ ʁ t ʃ i
arriver	a ʁ i v e
arrivée	a ʁ i v e
arrière	a ʁ j ɛ ʁ
arriéré	a ʁ j e ʁ e
arrobe	a ʁ ɔ b
arrogant	a ʁ ɔ ɡ ɑ̃
arrogante	a ʁ ɔ ɡ ɑ̃ t
arrogantes	a ʁ ɔ ɡ ɑ̃ t
arrogants	a ʁ ɔ ɡ ɑ̃
arroge	a ʁ ɔ ʒ
arrogea	a ʁ ɔ ʒ a
arrogeai	a ʁ ɔ ʒ e
arrogeaient	a ʁ ɔ ʒ ɛ
arrogeais	a ʁ ɔ ʒ ɛ
arrogeait	a ʁ ɔ ʒ ɛ
arrogeant	a ʁ ɔ ʒ ɑ̃
arrogeas	a ʁ ɔ ʒ ɑ
arrogeasse	a ʁ ɔ ʒ a s
arrogeassent	a ʁ ɔ ʒ a s
arrogeasses	a ʁ ɔ ʒ a s
arrogeassiez	a ʁ ɔ ʒ a s j e
arrogeassions	a ʁ ɔ ʒ a s j ɔ̃
arrogent	a ʁ ɔ ʒ
arrogeons	a ʁ ɔ ʒ ɔ̃
arroger	a ʁ ɔ ʒ e
arrogera	a ʁ ɔ ʒ ʁ a
arrogerai	a ʁ ɔ ʒ ʁ e
arrogeraient	a ʁ ɔ ʒ ʁ ɛ
arrogerais	a ʁ ɔ ʒ ʁ ɛ
arrogerait	a ʁ ɔ ʒ ʁ ɛ
arrogeras	a ʁ ɔ ʒ ʁ ɑ
arrogerez	a ʁ ɔ ʒ ʁ e
arrogeriez	a ʁ ɔ ʒ ə ʁ j e
arrogerions	a ʁ ɔ ʒ ə ʁ j ɔ̃
arrogerons	a ʁ ɔ ʒ ʁ ɔ̃
arrogeront	a ʁ ɔ ʒ ʁ ɔ̃
arroges	a ʁ ɔ ʒ
arrogez	a ʁ ɔ ʒ e
arrogeâmes	a ʁ ɔ ʒ ɑ m
arrogeât	a ʁ ɔ ʒ ɑ
arrogeâtes	a ʁ ɔ ʒ ɑ t
arrogiez	a ʁ ɔ ʒ j e
arrogions	a ʁ ɔ ʒ j ɔ̃
arrogèrent	a ʁ ɔ ʒ ɛ ʁ
arrogé	a ʁ ɔ ʒ e
arrondi	a ʁ ɔ̃ d i
arrondir	a ʁ ɔ̃ d i ʁ
arrondira	a ʁ ɔ̃ d i ʁ a
arrondirai	a ʁ ɔ̃ d i ʁ e
arrondiraient	a ʁ ɔ̃ d i ʁ ɛ
arrondirais	a ʁ ɔ̃ d i ʁ ɛ
arrondirait	a ʁ ɔ̃ d i ʁ ɛ
arrondiras	a ʁ ɔ̃ d i ʁ ɑ
arrondirent	a ʁ ɔ̃ d i ʁ
arrondirez	a ʁ ɔ̃ d i ʁ e
arrondiriez	a ʁ ɔ̃ d i ʁ j e
arrondirions	a ʁ ɔ̃ d i ʁ j ɔ̃
arrondirons	a ʁ ɔ̃ d i ʁ ɔ̃
arrondiront	a ʁ ɔ̃ d i ʁ ɔ̃
arrondis	a ʁ ɔ̃ d i
arrondissaient	a ʁ ɔ̃ d i s ɛ
arrondissais	a ʁ ɔ̃ d i s ɛ
arrondissait	a ʁ ɔ̃ d i s ɛ
arrondisse	a ʁ ɔ̃ d i s
arrondissement	a ʁ ɔ̃ d i s m ɑ̃
arrondissent	a ʁ ɔ̃ d i s
arrondisses	a ʁ ɔ̃ d i s
arrondissez	a ʁ ɔ̃ d i s e
arrondissiez	a ʁ ɔ̃ d i s j e
arrondissions	a ʁ ɔ̃ d i s j ɔ̃
arrondissons	a ʁ ɔ̃ d i s ɔ̃
arrondit	a ʁ ɔ̃ d i
arrondîmes	a ʁ ɔ̃ d i m
arrondît	a ʁ ɔ̃ d i
arrondîtes	a ʁ ɔ̃ d i t
arrosage	a ʁ o z a ʒ
arrosages	a ʁ o z a ʒ
arroser	a ʁ o z e
arrosoir	a ʁ o z w a ʁ
arrosé	a ʁ o z e
arrérages	a ʁ e ʁ a ʒ
arrêt	a ʁ ɛ
arrête	a ʁ ɛ t
arrêter	a ʁ e t e
arrêter	a ʁ ɛ t e
arrêter	a ʁ ɛː t e
arsacide	a ʁ s a s i d
arsenal	a ʁ s ə n a l
arsenic	a ʁ s ə n i k
arsouille	a ʁ s u j
arsène	a ʁ s ɛ n
arsénienne	a ʁ s e n j ɛ n
arséniure	a ʁ s e n j y ʁ
art	a ʁ
artaxerxès	a ʁ t a k s ɛ ʁ k s ɛ s
artchi	a ʁ t ʃ i
arthrite	a ʁ t ʁ i t
arthrodie	a ʁ t ʁ ɔ d i
arthrologie	a ʁ t ʁ ɔ l ɔ ʒ i
arthrose	a ʁ t ʁ o z
arthrose	a ʁ t ʁ ɔ z
arthur	a ʁ t y ʁ
artichaut	a ʁ t i ʃ o
artichonade	a ʁ t i ʃ ɔ n a d
article	a ʁ t i k l
articulation	a ʁ t i k y l a s j ɔ̃
articulative	a ʁ t i k y l a t i v
artifice	a ʁ t i f i s
artificiel	a ʁ t i f i s j ɛ l
artillerie	a ʁ t i j ʁ i
artilleur	a ʁ t i j œ ʁ
artimon	a ʁ t i m ɔ̃
artinienne	a ʁ t i n j ɛ n
artisan	a ʁ t i z ɑ̃
artisanat	a ʁ t i z a n a
artisanats	a ʁ t i z a n a
artiste	a ʁ t i s t
artistes	a ʁ t i s t
artistique	a ʁ t i s t i k
artistiquement	a ʁ t i s t i k m ɑ̃
artistiques	a ʁ t i s t i k
artois	a ʁ t w a
arts	a ʁ
artère	a ʁ t ɛ ʁ
artérieuse	a ʁ t e ʁ j ø z
artérieux	a ʁ t e ʁ j ø
artériole	a ʁ t e ʁ j ɔ l
artérioveineuse	a ʁ t e ʁ j ɔ v ɛ n ø z
artérioveineux	a ʁ t e ʁ j o v ɛ n ø
aryen	a ʁ j ɛ̃
arym	a ʁ i m
arythmie	a ʁ i t m i
arythmique	a ʁ i t m i k
arçon	a ʁ s ɔ̃
arène	a ʁ ɛ n
aréale	a ʁ e a l
aréna	a ʁ e n a
arénacée	a ʁ e n a s e
aréneuse	a ʁ e n ø z
arénisation	a ʁ e n i z a s j ɔ̃
arénuleuse	a ʁ e n y l ø z
aréolaire	a ʁ e ɔ l ɛ ʁ
aréolée	a ʁ e ɔ l e
aréomètre	a ʁ e ɔ m ɛ t ʁ
arête	a ʁ ɛ t
arôme	a ʁ o m
as	a
as	ɑ s
asbl	a ɛ s b e ɛ l
ascalaphe	a s k a l a f
ascendance	a s ɑ̃ d ɑ̃ s
ascendant	a s ɑ̃ d ɑ̃
ascendre	a s ɑ̃ d ʁ
ascendu	a s ɑ̃ d y
ascenseur	a s ɑ̃ s œ ʁ
ascenseurs	a s ɑ̃ s œ ʁ
ascension	a s ɑ̃ s j ɔ̃
ascensionnelle	a s ɑ̃ s j ɔ n ɛ l
ascensions	a s ɑ̃ s j ɔ̃
ascèse	a s ɛ z
ascétisme	a s e t i s m
aseptiser	a s ɛ p t i z e
asexuel	a s ɛ k s ɥ ɛ l
ashkénaze	a ʃ k e n a z
asiarcat	a z j a ʁ k a
asiarche	a z j a ʁ ʃ
asiarchie	a z j a ʁ ʃ i
asiarque	a z j a ʁ k
asiatique	a z j a t i k
asie	a z i
asien	a z j ɛ̃
asienne	a z j ɛ n
asile	a z i l
asinienne	a z i n j ɛ n
asinin	a z i n ɛ̃
asinine	a z i n i n
asinines	a z i n i n
asinins	a z i n ɛ̃
askip	a s k i p
asocial	a s ɔ s j a l
asociale	a s ɔ s j a l
asociales	a s ɔ s j a l
asociaux	a s ɔ s j o
aspe	a s p
aspect	a s p ɛ
aspectuelle	a s p ɛ k t ɥ ɛ l
asperge	a s p ɛ ʁ ʒ
asperger	a s p ɛ ʁ ɡ œ ʁ
asperger	a s p ɛ ʁ ʒ e
asperme	a s p ɛ ʁ m
aspermes	a s p ɛ ʁ m
aspermie	a s p ɛ ʁ m i
asphalte	a s f a l t
asphalter	a s f a l t e
asphodèle	a s f ɔ d ɛ l
asphyxiante	a s f i k s j ɑ̃ t
asphyxie	a s f i k s i
asphyxier	a s f i k s j e
aspi	a s p i
aspic	a s p i k
aspirant	a s p i ʁ ɑ̃
aspirateur	a s p i ʁ a t œ ʁ
aspiration	a s p i ʁ a s j ɔ̃
aspirative	a s p i ʁ a t i v
aspirer	a s p i ʁ e
aspirine	a s p i ʁ i n
asple	ɑ s p l
asporulée	a s p ɔ ʁ y l e
aspérifoliée	a s p e ʁ i f ɔ l j e
assagir	a s a ʒ i ʁ
assaillante	a s a j ɑ̃ t
assaillir	a s a j i ʁ
assainir	a s ɛ n i ʁ
assaisonnement	a s ɛ z ɔ n m ɑ̃
assaisonner	a s ɛ z ɔ n e
assassin	a s a s ɛ̃
assassinat	a s a s i n a
assassine	a s a s i n
assassiner	a s a s i n e
assaut	a s o
assedic	a s e d i k
assemblage	a s ɑ̃ b l a ʒ
assemblages	a s ɑ̃ b l a ʒ
assembler	a s ɑ̃ b l e
assemblée	a s ɑ̃ b l e
assemblées	a s ɑ̃ b l e
assener	a s e n e
assener	a s n e
asseoir	a s w a ʁ
asserter	a s ɛ ʁ t e
assertif	a s ɛ ʁ t i f
assertifs	a s ɛ ʁ t i f
assertion	a s ɛ ʁ s j ɔ̃
assertive	a s ɛ ʁ t i v
assertivement	a s ɛ ʁ t i v m ɑ̃
assertives	a s ɛ ʁ t i v
assertorique	a s ɛ ʁ t ɔ ʁ i k
assesseur	a s ɛ s œ ʁ
assesseuse	a s ɛ s ø z
assessorale	a s ɛ s ɔ ʁ a l
assessrice	a s ɛ s ʁ i s
asseye	a s ɛ j
asseyent	a s ɛ j
asseyez	a s ɛ j e
asseyons	a s ɛ j ɔ̃
assez	a s e
assibilation	a s i b i l a s j ɔ̃
assidu	a s i d y
assidûment	a s i d y m ɑ̃
assied	a s j e
assieds	a s j e
assiette	a s j ɛ t
assignat	a s i ɲ a
assigner	a s i ɲ e
