わ゙	b a̠̠
かくせい	k a̠ k ɯ̟ᵝ s e̞ː
かくせい	k a̠ k ɯ̟ᵝ s e̞ː
かくせい	k a̠ k ɯ̟ᵝ s e̞ː
がくせい	ɡ a̠ k ɯ̟̊ᵝ s e̞ː
かくせいき	k a̠ k ɯ̟ᵝ s e̞ː kʲ i
かくせいき	k a̠ k ɯ̟ᵝ s e̞ː kʲ i
かくせいざい	k a̠ k ɯ̟ᵝ s e̞ː z a̠ i
かくせいざい	k a̠ k ɯ̟ᵝ s e̞ː z a̠ i
がくせいしょう	ɡ a̠ k ɯ̟ᵝ s e̞ː ɕ o̞ː
かくせいじゅつ	k a̠ k ɯ̟ᵝ s e̞ː ʑ ɨᵝ t͡s ɨᵝ
がくせいわりびき	ɡ a̠ k ɯ̟ᵝ s e̞ː ɰᵝ a̠ ɾʲ i bʲ i kʲ i
がくせつ	ɡ a̠ k ɯ̟̊ᵝ s e̞ t͡s ɨᵝ
かくせんせき	k a̠ k ɯ̟ᵝ s ẽ̞ ɰ̃ s e̞ kʲ i
がくぜん	ɡ a̠ k ɯ̟ᵝ z ẽ̞ ɴ
がくそく	ɡ a̠ k ɯ̟ᵝ s o̞ k ɯ̟ᵝ
きゃくたい	kʲ a̠ k ɯ̟ᵝ t a̠ i
がくたい	ɡ a̠ k ɯ̟ᵝ t a̠ i
かくたる	k a̠ k ɯ̟ᵝ t a̠ ɾ ɯ̟ᵝ
かくだい	k a̠ k ɯ̟ᵝ d a̠ i
かくだいきょう	k a̠ k ɯ̟ᵝ d a̠ i kʲ o̞ː
がくだん	ɡ a̠ k ɯ̟ᵝ d ã̠ ɴ
かくだんとう	k a̠ k ɯ̟ᵝ d ã̠ n t o̞ː
かくち	k a̠ k ɯ̟ᵝ t͡ɕ i
かくちゅう	k a̠ k ɯ̟ᵝ t͡ɕ ɨᵝː
かくちょう	k a̠ k ɯ̟ᵝ t͡ɕ o̞ː
かくちょうし	k a̠ k ɯ̟ᵝ t͡ɕ o̞ː ɕ i
かくづけ	k a̠ k ɯ̟ᵝ z ɨᵝ k e̞
かくてい	k a̠ k ɯ̟ᵝ t e̞ː
かくてい	k a̠ k ɯ̟̊ᵝ t e̞ː
カクテキ	k a̠ k ɯ̟ᵝ t e̞ kʲ i
カクテル	k a̠ k ɯ̟̊ᵝ t e̞ ɾ ɯ̟ᵝ
カクテルソース	k a̠ k ɯ̟̊ᵝ t e̞ ɾ ɯ̟ᵝ s o̞ː s ɨᵝ
カクテルドレス	k a̠ k ɯ̟̊ᵝ t e̞ ɾ ɯ̟ᵝ d o̞ ɾ e̞ s ɨᵝ
カクテルパーティー	k a̠ k ɯ̟̊ᵝ t e̞ ɾ ɯ̟ᵝ p a̠ː tʲ iː
がくと	ɡ a̠ k ɯ̟ᵝ t o̞
かくとう	k a̠ k ɯ̟̊ᵝ t o̞ː
かくとうぎ	k a̠ k ɯ̟ᵝ t o̞ː ɡʲ i
かくとうゲーム	k a̠ k ɯ̟ᵝ t o̞ː ɡ e̞ː m ɯ̟ᵝ
かくとく	k a̠ k ɯ̟ᵝ t o̞ k ɯ̟ᵝ
かくど	k a̠ k ɯ̟ᵝ d o̞
かくにん	k a̠ k ɯ̟ᵝ ɲ̟ ĩ ɴ
かくねんりょう	k a̠ k ɯ̟ᵝ n ẽ̞ n ɾʲ o̞ː
かくのう	k a̠ k ɯ̟ᵝ n o̞ː
かくのうこ	k a̠ k ɯ̟ᵝ n o̞ː k o̞
かくはんのう	k a̠ k ɯ̟ᵝ h ã̠ nː o̞ː
がくひ	ɡ a̠ k ɯ̟ᵝ ç i
かくひつ	k a̠ k ɯ̟ᵝ ç i t͡s ɨᵝ
がくふ	ɡ a̠ k ɯ̟ᵝ ɸ ɯ̟ᵝ
がくぶち	ɡ a̠ k ɯ̟ᵝ b ɯ̟ᵝ t͡ɕ i
かくぶつりがく	k a̠ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨᵝ ɾʲ i ɡ a̠ k ɯ̟ᵝ
かくべつ	k a̠ k ɯ̟ᵝ b e̞ t͡s ɨᵝ
かくほ	k a̠ k ɯ̟̊ᵝ h o̞
かくほうめん	k a̠ k ɯ̟ᵝ h o̞ː m ẽ̞ ɴ
かくまう	k a̠ k ɯ̟ᵝ m a̠ ɯ̟ᵝ
かくまく	k a̠ k ɯ̟ᵝ m a̠ k ɯ̟ᵝ
かくめい	k a̠ k ɯ̟ᵝ m e̞ː
がくめい	ɡ a̠ k ɯ̟ᵝ m e̞ː
がくめい	ɡ a̠ k ɯ̟ᵝ m e̞ː
かくやく	k a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
かくゆうごうろ	k a̠ k ɯ̟ᵝ j ɯ̟ᵝː ɡ o̞ː ɾ o̞
かくらん	k a̠ k ɯ̟ᵝ ɾ ã̠ ɴ
かくり	k a̠ k ɯ̟ᵝ ɾʲ i
かくりつ	k a̠ k ɯ̟ᵝ ɾʲ i t͡s ɨᵝ
かくりつ	k a̠ k ɯ̟ᵝ ɾʲ i t͡s ɨᵝ
かくりつろん	k a̠ k ɯ̟ᵝ ɾʲ i t͡s ɨᵝ ɾ õ̞ ɴ
がくりょう	ɡ a̠ k ɯ̟ᵝ ɾʲ o̞ː
かくれあそび	k a̠ k ɯ̟ᵝ ɾ e̞ a̠ s o̞ bʲ i
かくれい	k a̠ k ɯ̟ᵝ ɾ e̞ː
かくれおに	k a̠ k ɯ̟ᵝ ɾ e̞ o̞ ɲ̟ i
がくれき	ɡ a̠ k ɯ̟ᵝ ɾ e̞ kʲ i
かくれご	k a̠ k ɯ̟ᵝ ɾ e̞ ɡ o̞
かくれる	k a̠ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
かくれんぼ	k a̠ k ɯ̟ᵝ ɾ ẽ̞ m b o̞
がくわり	ɡ a̠ k ɯ̟ᵝ ɰᵝ a̠ ɾʲ i
かぐ	k a̠ ɡ ɯ̟ᵝ
かぐつち	k a̠ ɡ ɯ̟ᵝ t͡s ɨ̥ᵝ t͡ɕ i
かぐや	k a̠ ɡ ɯ̟ᵝ j a̠
かぐらざか	k a̠ ɡ ɯ̟ᵝ ɾ a̠ z a̠ k a̠
かぐらすず	k a̠ ɡ ɯ̟ᵝ ɾ a̠ s ɨᵝ z ɨᵝ
かぐらぶえ	k a̠ ɡ ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ e̞
かんばしい	k ã̠ m b a̠ ɕ i i
かけあし	k a̠ k e̞ a̠ ɕ i
かけうり	k a̠ k e̞ ɯ̟ᵝ ɾʲ i
かけおち	k a̠ k e̞ o̞ t͡ɕ i
かけがい	k a̠ k e̞ ɡ a̠ i
かけがえ	k a̠ k e̞ ɡ a̠ e̞
かけがわ	k a̠ k e̞ ɡ a̠ ɰᵝ a̠
がけくずれ	ɡ a̠ k e̞ k ɯ̟ᵝ z ɨᵝ ɾ e̞
かけこみ	k a̠ k e̞ k o̞ mʲ i
かけごえ	k a̠ k e̞ ɡ o̞ e̞
かけごと	k a̠ k e̞ ɡ o̞ t o̞
かけざん	k a̠ k e̞ z ã̠ ɴ
かけじく	k a̠ k e̞ ʑ i k ɯ̟ᵝ
かけす	k a̠ k e̞ s ɨᵝ
かけす	k a̠ k e̞ s ɨᵝ
かけだす	k a̠ k e̞ d a̠ s ɨᵝ
かけつ	k a̠ k e̞ t͡s ɨᵝ
かけぬける	k a̠ k e̞ n ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
かけひき	k a̠ k e̞ ç i kʲ i
かけまわる	k a̠ k e̞ m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
かけもの	k a̠ k e̞ m o̞ n o̞
かけもの	k a̠ k e̞ m o̞ n o̞
かけら	k a̠ k e̞ ɾ a̠
かける	k a̠ k e̞ ɾ ɯ̟ᵝ
かける	k a̠ k e̞ ɾ ɯ̟ᵝ
かける	k a̠ k e̞ ɾ ɯ̟ᵝ
かける	k a̠ k e̞ ɾ ɯ̟ᵝ
かける	k a̠ k e̞ ɾ ɯ̟ᵝ
かけん	k a̠ k ẽ̞ ɴ
かげ	k a̠ ɡ e̞
かげ	k a̠ ɡ e̞
かげえ	k a̠ ɡ e̞ e̞
かげき	k a̠ ɡ e̞ kʲ i
かげぐち	k a̠ ɡ e̞ ɡ ɯ̟ᵝ t͡ɕ i
かげとら	k a̠ ɡ e̞ t o̞ ɾ a̠
かげながら	k a̠ ɡ e̞ n a̠ ɡ a̠ ɾ a̠
かげふみ	k a̠ ɡ e̞ ɸ ɯ̟ᵝ mʲ i
かげぼうし	k a̠ ɡ e̞ b o̞ː ɕ i
かげむしゃ	k a̠ ɡ e̞ m ɯ̟ᵝ ɕ a̠
かげり	k a̠ ɡ e̞ ɾʲ i
かげる	k a̠ ɡ e̞ ɾ ɯ̟ᵝ
かげろう	k a̠ ɡ e̞ ɾ o̞ː
かげん	k a̠ ɡ ẽ̞ ɴ
かげん	k a̠ ɡ ẽ̞ ɴ
かげん	k a̠ ɡ ẽ̞ ɴ
かこ	k a̠ k o̞
かこい	k a̠ k o̞ i
かこいち	k a̠ k o̞ i t͡ɕ i
かこう	k a̠ k o̞ː
かこう	k a̠ k o̞ː
かこう	k a̠ k o̞ ɯ̟ᵝ
かこう	k a̠ k o̞ː
かこう	k a̠ k o̞ː
かこうがん	k a̠ k o̞ː ɡ ã̠ ɴ
かこうきりゅう	k a̠ k o̞ː kʲ i ɾʲ ɨᵝː
かこうせんりょくがん	k a̠ k o̞ː s ẽ̞ n ɾʲ o̞ k ɯ̟ᵝ ɡ ã̠ ɴ
かこうひん	k a̠ k o̞ː ç ĩ ɴ
かこきゅう	k a̠ k o̞ kʲ ɨᵝː
かこく	k a̠ k o̞ k ɯ̟ᵝ
かこく	k a̠ k o̞ k ɯ̟ᵝ
かこく	k a̠ k o̞ k ɯ̟ᵝ
かこく	k a̠ k o̞ k ɯ̟ᵝ
かこく	k a̠ k o̞ k ɯ̟ᵝ
かこく	k a̠ k o̞ k ɯ̟ᵝ
かこけい	k a̠ k o̞ k e̞ː
かこつ	k a̠ k o̞ t͡s ɨᵝ
かこつける	k a̠ k o̞ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
かこぶんし	k a̠ k o̞ b ɯ̟̃ᵝ ɰ̃ ɕ i
かこみ	k a̠ k o̞ mʲ i
かこむ	k a̠ k o̞ m ɯ̟ᵝ
かこログ	k a̠ k o̞ ɾ o̞ ɡ ɯ̟ᵝ
かこん	k a̠ k õ̞ ɴ
かご	k a̠ ɡ o̞
かご	k a̠ ɡ o̞
かご	k a̠ ɡ o̞
かご	k a̠ ɡ o̞
かごう	k a̠ ɡ o̞ː
がごう	ɡ a̠ ɡ o̞ː
かごうぶつ	k a̠ ɡ o̞ː b ɯ̟ᵝ t͡s ɨᵝ
かごしま	k a̠ ɡ o̞ ɕ i m a̠
かごしまけん	k a̠ ɡ o̞ ɕ i m a̠ k ẽ̞ ɴ
かごめ	k a̠ ɡ o̞ m e̞
かごめもん	k a̠ ɡ o̞ m e̞ m õ̞ ɴ
かごん	k a̠ ɡ õ̞ ɴ
かさ	k a̠ s a̠
かさ	k a̠ s a̠
かさ	k a̠ s a̠
かさ	k a̠ s a̠
かさい	k a̠ s a̠ i
かさいけいほう	k a̠ s a̠ i k e̞ː h o̞ː
かさく	k a̠ s a̠ k ɯ̟ᵝ
かさく	k a̠ s a̠ k ɯ̟ᵝ
かささぎ	k a̠ s a̠ s a̠ ɡʲ i
かささぎがん	k a̠ s a̠ s a̠ ɡʲ i ɡ ã̠ ɴ
がさつ	ɡ a̠ s a̠ t͡s ɨᵝ
かさなる	k a̠ s a̠ n a̠ ɾ ɯ̟ᵝ
かさね	k a̠ s a̠ n e̞
かさねがさね	k a̠ s a̠ n e̞ ɡ a̠ s a̠ n e̞
かさねる	k a̠ s a̠ n e̞ ɾ ɯ̟ᵝ
かさばる	k a̠ s a̠ b a̠ ɾ ɯ̟ᵝ
かさぶた	k a̠ s a̠ b ɯ̟ᵝ t a̠
かさむ	k a̠ s a̠ m ɯ̟ᵝ
かさん	k a̠ s ã̠ ɴ
がさん	ɡ a̠ s ã̠ ɴ
かさんか	k a̠ s ã̠ ŋ k a̠
かさんかすいそ	k a̠ s ã̠ ŋ k a̠ s ɨᵝ i s o̞
かさんかぶつ	k a̠ s ã̠ ŋ k a̠ b ɯ̟ᵝ t͡s ɨᵝ
かさんめいし	k a̠ s ã̠ m m e̞ː ɕ i
かざ	k a̠ z a̠
かざい	k a̠ z a̠ i
かざかみ	k a̠ z a̠ k a̠ mʲ i
かぜぐすり	k a̠ z a̠ ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i
かざくち	k a̠ z a̠ k ɯ̟ᵝ t͡ɕ i
ふうしゃ	ɸ ɯ̟ᵝː ɕ a̠
さい	s a̠ i
かざす	k a̠ z a̠ s ɨᵝ
カザフご	k a̠ z a̠ ɸ ɯ̟ᵝ ɡ o̞
カザフじん	k a̠ z a̠ ɸ ɯ̟ᵝ ʑ ĩ ɴ
カザフスタン	k a̠ z a̠ ɸ ɯ̟ᵝ s ɨ̥ᵝ t ã̠ ɴ
かざみ	k a̠ z a̠ mʲ i
かざみどり	k a̠ z a̠ mʲ i d o̞ ɾʲ i
かざむき	k a̠ z a̠ m ɯ̟ᵝ kʲ i
かざりだな	k a̠ z a̠ ɾʲ i d a̠ n a̠
かざる	k a̠ z a̠ ɾ ɯ̟ᵝ
かざん	k a̠ z ã̠ ɴ
かざんがん	k a̠ z ã̠ ŋ ɡ ã̠ ɴ
かざんとう	k a̠ z ã̠ n t o̞ː
かざんばい	k a̠ z ã̠ m b a̠ i
かし	k a̠ ɕ i
かし	k a̠ ɕ i
かし	k a̠ ɕ i
かし	k a̠ ɕ i
かし	k a̠ ɕ i
えし	e̞ ɕ i
がし	ɡ a̠ ɕ i
かしおんど	k a̠ ɕ i õ̞ n d o̞
かしかん	k a̠ ɕ i̥ k ã̠ ɴ
かしぐ	k a̠ ɕ i ɡ ɯ̟ᵝ
かしこ	k a̠ ɕ i̥ k o̞
あしこ	a̠ ɕ i k o̞
かしこい	k a̠ ɕ i k o̞ i
かしこうせん	k a̠ ɕ i ̥ k o̞ː s ẽ̞ ɴ
かしこまりました	k a̠ ɕ i̥ k o̞ m a̠ ɾʲ i m a̠ ɕ i t a̠
かしこまる	k a̠ ɕ i k o̞ m a̠ ɾ ɯ̟ᵝ
がしせん	ɡ a̠ ɕ i s ẽ̞ ɴ
かしだし	k a̠ ɕ i d a̠ ɕ i
かしつ	k a̠ ɕ i t͡s ɨᵝ
かしま	k a̠ ɕ i m a̠
かしましい	k a̠ ɕ i m a̠ ɕ iː
カシミア	k a̠ ɕ i mʲ i a̠
カシミール	k a̠ ɕ i mʲ iː ɾ ɯ̟ᵝ
かしゃ	k a̠ ɕ a̠
きゃしゃ	kʲ a̠ ɕ a̠
かしゃ	k a̠ ɕ a̠
かしょ	k a̠ ɕ o̞
かしょう	k a̠ ɕ o̞ː
やけど	j a̠ k e̞ d o̞
かしょう	k a̠ ɕ o̞ː
がしょう	ɡ a̠ ɕ o̞ː
がしょう	ɡ a̠ ɕ o̞ː
かしょく	k a̠ ɕ o̞ k ɯ̟ᵝ
かしら	k a̠ ɕ i ɾ a̠
かしわ	k a̠ ɕ i ɰᵝ a̠
かしわもち	k a̠ ɕ i ɰᵝ a̠ m o̞ t͡ɕ i
したくちびる	ɕ i t a̠ k ɯ̟ᵝ t͡ɕ i bʲ i ɾ ɯ̟ᵝ
かじ	k a̠ ʑ i
かじ	k a̠ ʑ i
かじ	k a̠ ʑ i
ガジェット	ɡ a̠ ʑ e̞ t̚ t o̞
かじかむ	k a̠ ʑ i k a̠ m ɯ̟ᵝ
かじき	k a̠ ʑ i kʲ i
かじき	k a̠ ʑ i kʲ i
かじき	k a̠ ʑ i kʲ i
かじき	k a̠ ʑ i kʲ i
えい	e̞ i
かじきざ	k a̠ ʑ i kʲ i z a̠
かじつしゅ	k a̠ ʑ i t͡s ɨᵝ ɕ ɨᵝ
かじてつだい	k a̠ ʑ i t e̞ t͡s ɨᵝ d a̠ i
カジノ	k a̠ ʑ i n o̞
かじば	k a̠ ʑ i b a̠
かじばどろぼう	k a̠ ʑ i b a̠ d o̞ ɾ o̞ b o̞ː
がだてんそく	ɡ a̠ d a̠ t ẽ̞ ɰ̃ s o̞ k ɯ̟ᵝ
かじや	k a̠ ʑ i j a̠
かじゅ	k a̠ ʑ ɨᵝ
かじゅ	k a̠ ʑ ɨᵝ
かじゅう	k a̠ ʑ ɨᵝː
かじゅうでん	k a̠ ʑ ɨᵝː d ẽ̞ ɴ
かじゅえん	k a̠ ʑ ɨᵝ ẽ̞ ɴ
かじょ	k a̠ ʑ o̞
かじょう	k a̠ ʑ o̞ː
かじょう	k a̠ ʑ o̞ː
かじょう	k a̠ ʑ o̞ː
かじょうがき	k a̠ ʑ o̞ː ɡ a̠ kʲ i
かじょうせっしゅ	k a̠ ʑ o̞ː s e̞ ɕː ɯ̟ᵝ
かじる	k a̠ ʑ i ɾ ɯ̟ᵝ
かじんはくめい	k a̠ ʑ ĩ ɰ̃ h a̠ k ɯ̟ᵝ m e̞ː
カス	k a̠ s ɨᵝ
かす	k a̠ s ɨᵝ
かす	k a̠ s ɨᵝ
かす	k a̠ s ɨᵝ
かす	k a̠ s ɨᵝ
ガス	ɡ a̠ s ɨᵝ
かすい	k a̠ s ɨᵝ i
かすう	k a̠ s ɨᵝː
かすか	k a̠ s ɨᵝ k a̠
かすか	k a̠ s ɨᵝ k a̠
しゅんじつ	ɕ ɨ̃ᵝ ɲ̟ d͡ʑ i t͡s ɨᵝ
かすざめ	k a̠ s ɨᵝ z a̠ m e̞
カスタードプディング	k a̠ s ɨ̥ᵝ t a̠ː d o̞ p ɯ̟ᵝ dʲ ĩ ŋ ɡ ɯ̟ᵝ
カスタム	k a̠ s ɨᵝ t a̠ m ɯ̟ᵝ
カストラート	k a̠ s ɨᵝ t o̞ ɾ a̠ː t o̞
かすとり	k a̠ s ɨᵝ t o̞ ɾʲ i
カストリざっし	k a̠ s ɨᵝ t o̞ ɾʲ i d͡z a̠ ɕː i
カスバ	k a̠ s ɨᵝ b a̠
カスピかい	k a̠ s ɨ̥ᵝ pʲ i k a̠ i
ガスポンプ	ɡ a̠ s ɨᵝ p õ̞ m p ɯ̟ᵝ
かすみ	k a̠ s ɨᵝ mʲ i
かすむ	k a̠ s ɨᵝ m ɯ̟ᵝ
カスラック	k a̠ s ɨᵝ ɾ a̠ k̚ k ɯ̟ᵝ
ガスレンジ	ɡ a̠ s ɨᵝ ɾ ẽ̞ ɲ̟ d͡ʑ i
かずお	k a̠ z ɨᵝ o̞
かずおおい	k a̠ z ɨᵝ o̞ː i
かずかず	k a̠ z ɨᵝ k a̠ z ɨᵝ
かずくに	k a̠ z ɨᵝ k ɯ̟ᵝ ɲ̟ i
わよう	ɰᵝ a̠ j o̞ː
かずみ	k a̠ z ɨᵝ mʲ i
かずゆき	k a̠ z ɨᵝ j ɯ̟ᵝ kʲ i
かつら	k a̠ t͡s ɨᵝ ɾ a̠
カズー	k a̠ z ɨᵝː
ガセ	ɡ a̠ s e̞
かせい	k a̠ s e̞ː
かせい	k a̠ s e̞ː
かせいカリ	k a̠ s e̞ː k a̠ ɾʲ i
かせいがん	k a̠ s e̞ː ɡ ã̠ ɴ
かせいソーダ	k a̠ s e̞ː s o̞ː d a̠
かせいふ	k a̠ s e̞ː ɸ ɯ̟̊ᵝ
かせき	k a̠ s e̞ kʲ i
かせきねんりょう	k a̠ s e̞ kʲ i n ẽ̞ n ɾʲ o̞ː
かせぐ	k a̠ s e̞ ɡ ɯ̟ᵝ
かせん	k a̠ s ẽ̞ ɴ
かせんしき	k a̠ s ẽ̞ ɰ̃ ɕ i kʲ i
かぜ	k a̠ z e̞
かぜ	k a̠ z e̞
かぜあたり	k a̠ z e̞ a̠ t a̠ ɾʲ i
かぜがふけばおけやがもうかる	k a̠ z e̞ ɡ a̠ ɸ ɯ̟ᵝ k e̞ b a̠ o̞ k e̞ j a̠ ɡ a̠ m o̞ː k a̠ ɾ ɯ̟ᵝ
かぜぐすり	k a̠ z e̞ ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i
かぜとおし	k a̠ z e̞ t o̞ː ɕ i
かぜのたより	k a̠ z e̞ n o̞ t a̠ j o̞ ɾʲ i
フォンパイ	ɸ õ̞ m p a̠ i
かざまち	k a̠ z a̠ m a̠ t͡ɕ i
ガゼル	ɡ a̠ z e̞ ɾ ɯ̟ᵝ
がぜん	ɡ a̠ z ẽ̞ ɴ
ひねずみ	ç i n e̞ z ɨᵝ mʲ i
かそ	k a̠ s o̞
がそ	ɡ a̠ s o̞
かそう	k a̠ s o̞ː
かそうきかい	k a̠ s o̞ː kʲ i k a̠ i
かそうてき	k a̠ s o̞ː t e̞ kʲ i
かそうマシン	k a̠ s o̞ː m a̠ ɕ ĩ ɴ
カソード	k a̠ s o̞ː d o̞
かそくど	k a̠ s o̞ k ɯ̟ᵝ d o̞
かそくどびょう	k a̠ s o̞ k ɯ̟ᵝ d o̞ bʲ o̞ː
かそせい	k a̠ s o̞ s e̞ː
カソリック	k a̠ s o̞ ɾʲ i k̚ k ɯ̟ᵝ
ガソリン	ɡ a̠ s o̞ ɾʲ ĩ ɴ
ガソリンスタンド	ɡ a̠ s o̞ ɾʲ ĩ ɰ̃ s ɨ̥ᵝ t ã̠ n d o̞
かそる	k a̠ s o̞ ɾ ɯ̟ᵝ
ちち	t͡ɕ i̥̥ t͡ɕ i
かぞえうた	k a̠ z o̞ e̞ ɯ̟ᵝ t a̠
かぞえどし	k a̠ z o̞ e̞ d o̞ ɕ i
かぞえる	k a̠ z o̞ e̞ ɾ ɯ̟ᵝ
かぞく	k a̠ z o̞ k ɯ̟ᵝ
かた	k a̠ t a̠
かた	k a̠ t a̠
かた	k a̠ t a̠
かたい	k a̠ t a̠ i
かたい	k a̠ t a̠ i
かたい	k a̠ t a̠ i
かたいじ	k a̠ t a̠ i ʑ i
かたいれ	k a̠ t a̠ i ɾ e̞
がたおち	ɡ a̠ t a̠ o̞ t͡ɕ i
かたおもい	k a̠ t a̠ o̞ m o̞ i
かたかな	k a̠ t a̠ k a̠ n a̠
カタカナご	k a̠ t a̠ k a̠ n a̠ ɡ o̞
かたがき	k a̠ t a̠ ɡ a̠ kʲ i
かたぎ	k a̠ t a̠ ɡʲ i
かたく	k a̠ t a̠ k ɯ̟ᵝ
かたく	k a̠ t a̠ k ɯ̟ᵝ
かたくちいわし	k a̠ t a̠ k ɯ̟̊ᵝ t͡ɕ i i ɰᵝ a̠ ɕ i
かたくな	k a̠ t a̠ k ɯ̟ᵝ n a̠
かたくむじょう	k a̠ t a̠ k ɯ̟ᵝ m ɯ̟ᵝ ʑ o̞ː
かたくるしい	k a̠ t a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
かたぐるま	k a̠ t a̠ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠
かたこと	k a̠ t a̠ k o̞ t o̞
かたこり	k a̠ t a̠ k o̞ ɾʲ i
かたしき	k a̠ t a̠ ɕ i kʲ i
かたしろ	k a̠ t a̠ ɕ i ɾ o̞
かたじけない	k a̠ t a̠ ʑ i k e̞ n a̠ i
かたすかし	k a̠ t a̠ s ɨ̥ᵝ k a̠ ɕ i
カタストロフィ	k a̠ t a̠ s ɨᵝ t o̞ ɾ o̞ ɸʲ i
かたすみ	k a̠ t a̠ s ɨᵝ mʲ i
かたず	k a̠ t a̠ z ɨᵝ
かたちづくる	k a̠ t a̠ t͡ɕ i z ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ
かたづく	k a̠ t a̠ z ɨᵝ k ɯ̟ᵝ
かたづけ	k a̠ t a̠ z ɨᵝ k e̞
かたづける	k a̠ t a̠ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
かたて	k a̠ t a̠ t e̞
かたなかじ	k a̠ t a̠ n a̠ k a̠ ʑ i
かたぬき	k a̠ t a̠ n ɯ̟ᵝ kʲ i
かたは	k a̠ t a̠ h a̠
かたびら	k a̠ t a̠ bʲ i ɾ a̠
かたむく	k a̠ t a̠ b ɯ̟ᵝ k ɯ̟ᵝ
かたぶつ	k a̠ t a̠ b ɯ̟ᵝ t͡s ɨᵝ
かたほう	k a̠ t a̠ h o̞ː
かたまり	k a̠ t a̠ m a̠ ɾʲ i
かたまる	k a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
かたみ	k a̠ t a̠ mʲ i
かたみち	k a̠ t a̠ mʲ i t͡ɕ i
かたむける	k a̠ t a̠ m ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
かためる	k a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
かたよる	k a̠ t a̠ j o̞ ɾ ɯ̟ᵝ
かたよる	k a̠ t a̠ j o̞ ɾ ɯ̟ᵝ
がたり	ɡ a̠ t a̠ ɾʲ i
かたりあう	k a̠ t a̠ ɾʲ i a̠ ɯ̟ᵝ
カタル	k a̠ t a̠ ɾ ɯ̟ᵝ
カタル	k a̠ t a̠ ɾ ɯ̟ᵝ
かたる	k a̠ t a̠ ɾ ɯ̟ᵝ
かたる	k a̠ t a̠ ɾ ɯ̟ᵝ
カタルーニャご	k a̠ t a̠ ɾ ɯ̟ᵝː ɲ̟ a̠ ɡ o̞
カタルシス	k a̠ t a̠ ɾ ɯ̟ᵝ ɕ i s ɨᵝ
カタログ	k a̠ t a̠ ɾ o̞ ɡ ɯ̟ᵝ
わき	ɰᵝ a̠ kʲ i
かたをいれる	k a̠ t a̠ o̞ i ɾ e̞ ɾ ɯ̟ᵝ
かたん	k a̠ t ã̠ ɴ
かたん	k a̠ t ã̠ ɴ
かたんせい	k a̠ t ã̠ ɰ̃ s e̞ː
かだい	k a̠ d a̠ i
かだん	k a̠ d ã̠ ɴ
かだん	k a̠ d ã̠ ɴ
かち	k a̠ t͡ɕ i
つき	t͡s ɨ̥ᵝ kʲ i
がち	ɡ a̠ t͡ɕ i
がち	ɡ a̠ t͡ɕ i
カチオン	k a̠ t͡ɕ i õ̞ ɴ
かちかん	k a̠ t͡ɕ i k ã̠ ɴ
かちく	k a̠ t͡ɕ i k ɯ̟ᵝ
かちくか	k a̠ t͡ɕ i k ɯ̟ᵝ k a̠
かちこみ	k a̠ t͡ɕ i k o̞ mʲ i
かちとる	k a̠ t͡ɕ i t o̞ ɾ ɯ̟ᵝ
かちほこる	k a̠ t͡ɕ i h o̞ k o̞ ɾ ɯ̟ᵝ
かちぼし	k a̠ t͡ɕ i b o̞ ɕ i
カチューシャ	k a̠ t͡ɕ ɨᵝː ɕ a̠
がちょう	ɡ a̠ t͡ɕ o̞ː
かちょうふうげつ	k a̠ t͡ɕ o̞ː ɸ ɯ̟ᵝː ɡ e̞ t͡s ɨᵝ
かちわり	k a̠ t͡ɕ i ɰᵝ a̠ ɾʲ i
かちん	k a̠ t͡ɕ ĩ ɴ
カチンコ	k a̠ t͡ɕ ĩ ŋ k o̞
ガッ	ɡ a̠ ʔ
がっか	ɡ a̠ k̚ k a̠
かっかざん	k a̠ k̚ k a̠ z ã̠ ɴ
かっき	k a̠ k̚ʲ kʲ i
がき	ɡ a̠ kʲ i
がっきょく	ɡ a̠ k̚ʲ kʲ o̞ k ɯ̟ᵝ
かっけ	k a̠ k̚ k e̞
かっけつ	k a̠ k̚ k e̞ t͡s ɨᵝ
かっこ	k a̠ k̚ k o̞
かっこ	k a̠ k̚ k o̞
がっこ	ɡ a̠ k̚ k o̞
かっこう	k a̠ k̚ k o̞ː
がっこう	ɡ a̠ k̚ k o̞ː
かっこいい	k a̠ k̚ k o̞ iː
