а	ɑ
з'явитися	z j ɐ ʋ ɪ t e sʲ ɐ
з'являтися	z j ɐ u̯ lʲ ɑ t e sʲ ɐ
з'їдати	z j i d ɑ t e
з'їзд	z j i z d
з'їсти	z j i s t e
забава	z ɐ b ɑ ʋ ɐ
забагти	z ɐ b ɑ ɦ t e
забезпечення	z ɐ b e z p ɛ t͡ʃ e nʲː ɐ
забити	z ɐ b ɪ t e
заборона	z ɐ b ɔ r ɔ n ɐ
заборонений	z ɐ b ɔ r ɔ n e n e i̯
забрало	z ɐ b r ɑ ɫ ɔ
забувати	z ɐ b ʊ ʋ ɑ t e
забути	z ɐ b u t e
завважити	z ɐ ʋː ɑ ʒ e t e
завважувати	z ɐ ʋː ɑ ʒ ʊ ʋ ɐ t e
завдання	z ɐ u̯ d ɑ nʲː ɐ
завжди	z ɐ u̯ ʒ d ɪ
завжди	z ɑ u̯ ʒ d e
завзяття	z ɐ u̯ zʲ ɑ tʲː ɐ
завод	z ɐ w ɔ d
завтра	z ɑ u̯ t r ɐ
завтрашній	z ɑ u̯ t r ɐ ʃ nʲ i i̯
завше	z ɑ u̯ ʃ e
загадка	z ɐ ɦ ɑ d k ɐ
загальна	z ɐ ɦ ɑ lʲ n ɐ
загальний	z ɐ ɦ ɑ lʲ n e i̯
загреб	z ɑ ɦ r e b
загроза	z ɐ ɦ r ɔ z ɐ
зад	z ɑ d
задній	z ɑ dʲ nʲ i i̯
задоволений	z ɐ d ɔ w ɔ ɫ e n e i̯
задоволення	z ɐ d ɔ w ɔ ɫ e nʲː ɐ
задоволеність	z ɐ d ɔ w ɔ ɫ e nʲ i sʲ tʲ
зазвичай	z ɐ z ʋ e t͡ʃ ɑ i̯
заздрити	z ɑ z d r e t e
заздрісний	z ɑ z dʲ rʲ i s n e i̯
зазнати	z ɐ z n ɑ t e
займенник	z ɐ i̯ m ɛ nː e k
зайнятий	z ɑ i̯ nʲ ɐ t e i̯
зайченя	z ɐ i̯ t͡ʃ e nʲ ɑ
зайченятко	z ɐ i̯ t͡ʃ e nʲ ɑ t k ɔ
закарпаття	z ɐ k ɐ r p ɑ tʲː ɐ
заклад	z ɐ k ɫ ɑ d
заклад	z ɑ k ɫ ɐ d
закон	z ɐ k ɔ n
законодавство	z ɐ k ɔ n ɔ d ɑ u̯ s t w ɔ
законодавчий	z ɐ k ɔ n ɔ d ɑ u̯ t͡ʃ e i̯
закономірний	z ɐ k ɔ n o mʲ i r n e i̯
законопроект	z ɐ k ɔ n ɔ p r ɔ ɛ k t
закордон	z ɐ k ɔ r d ɔ n
закордонний	z ɐ k ɔ r d ɔ nː e i̯
закуска	z ɐ k u s k ɐ
закінчення	z ɐ kʲ i n t͡ʃ e nʲː ɐ
зал	z ɑ ɫ
залежати	z ɐ ɫ ɛ ʒ ɐ t e
залишатися	z ɐ ɫ e ʃ ɑ t e sʲ ɐ
залишитися	z ɐ ɫ e ʃ ɪ t e sʲ ɐ
залоза	z ɑ ɫ ɔ z ɐ
залупа	z ɐ ɫ u p ɐ
залізний	z ɐ lʲ i z n e i̯
залізниця	z ɐ lʲ i z n ɪ t͡sʲ ɐ
залізничний	z ɐ lʲ i z n ɪ t͡ʃ n e i̯
залізняк	z ɐ lʲ i zʲ nʲ ɑ k
залізо	z ɐ lʲ i z ɔ
замбія	z ɑ m bʲ i j ɐ
замовити	z ɐ m ɔ ʋ e t e
замовлення	z ɐ m ɔ u̯ ɫ e nʲː ɐ
замовляти	z ɐ m ɔ u̯ lʲ ɑ t e
замовник	z ɐ m ɔ u̯ n e k
замовниця	z ɐ m ɔ u̯ n e t͡sʲ ɐ
заможний	z ɐ m ɔ ʒ n e i̯
замок	z ɐ m ɔ k
замок	z ɑ m ɔ k
занадто	z ɐ n ɑ d t ɔ
зап'ястя	z ɐ p j ɑ sʲ tʲ ɐ
запальничка	z ɐ p ɐ lʲ n ɪ t͡ʃ k ɐ
запам'ятати	z ɐ p ɐ m j ɐ t ɑ t e
запам'ятовувати	z ɐ p ɐ m j ɐ t ɔ w ʊ ʋ ɐ t e
запах	z ɑ p ɐ x
запевнити	z ɐ p ɛ u̯ n e t e
запевняти	z ɐ p e u̯ nʲ ɑ t e
заперечний	z ɐ p e r ɛ t͡ʃ n e i̯
записати	z ɐ p e s ɑ t e
записувати	z ɐ p ɪ s ʊ ʋ ɐ t e
запитання	z ɐ p e t ɑ nʲː ɐ
запоріжжя	z ɐ p o rʲ i ʒʲː ɐ
запрограмувати	z ɐ p r ɔ ɦ r ɐ m ʊ ʋ ɑ t e
запросити	z ɐ p r ɔ s ɪ t e
зараз	z ɑ r ɐ z
зареєструвати	z ɐ r e j e s t r ʊ ʋ ɑ t e
заробітна	z ɐ r o bʲ i t n ɐ
заробітний	z ɐ r o bʲ i t n e i̯
зарплата	z ɐ r p ɫ ɑ t ɐ
засада	z ɐ s ɑ d ɐ
засновник	z ɐ s n ɔ u̯ n e k
засновниць	z ɐ s n ɔ u̯ n e t͡sʲ
засновниця	z ɐ s n ɔ u̯ n e t͡sʲ ɐ
засновниці	z ɐ s n ɔ u̯ n e t͡sʲ i
засновувати	z ɐ s n ɔ w ʊ ʋ ɐ t e
заснувати	z ɐ s n ʊ ʋ ɑ t e
застосування	z ɐ s t ɔ s ʊ ʋ ɑ nʲː ɐ
застуд	z ɐ s t u d
застуда	z ɐ s t u d ɐ
застудам	z ɐ s t u d ɐ m
застудами	z ɐ s t u d ɐ m e
застудах	z ɐ s t u d ɐ x
застуджуватися	z ɐ s t u d͡ʒ ʊ ʋ ɐ t e sʲ ɐ
застуди	z ɐ s t u d e
застудитися	n ɐ r ɔ d ɪ t e sʲ ɐ
застудою	z ɐ s t u d ɔ j ʊ
застуду	z ɐ s t u d ʊ
застуді	z ɐ s t u dʲ i
заступник	z ɐ s t u p n e k
засіб	z ɑ sʲ i b
засідання	z ɐ sʲ i d ɐ nʲː ɐ
зателефонувати	z ɐ t e ɫ e f ɔ n ʊ ʋ ɑ t e
захворювати	z ɐ x w ɔ rʲ ʊ ʋ ɐ t e
захворіти	z ɐ x w o rʲ i t e
захист	z ɑ x e s t
захоплюватися	z ɐ x ɔ p lʲ ʊ ʋ ɐ t e sʲ ɐ
захід	z ɐ xʲ i d
захід	z ɑ xʲ i d
західний	z ɑ xʲ i d n e i̯
західноєвропейський	z ɑ xʲ i d n ɔ j e u̯ r ɔ p ɛ i̯ sʲ k e i̯
заява	z ɐ j ɑ ʋ ɐ
заяви	z ɐ j ɐ ʋ ɪ
заяви	z ɐ j ɑ ʋ e
заяць	z ɑ j ɐ t͡sʲ
заєць	z ɑ j e t͡sʲ
заїр	z ɐ j i r
заґреб	z ɑ ɡ r e b
збереження	z b e r ɛ ʒ e nʲː ɐ
збройний	z b r ɔ i̯ n e i̯
зброя	z b r ɔ j ɐ
збіжжя	zʲ bʲ i ʒʲː ɐ
збільшення	zʲ bʲ i lʲ ʃ e nʲː ɐ
збільшити	zʲ bʲ i lʲ ʃ e t e
збільшувати	zʲ bʲ i lʲ ʃ ʊ ʋ ɐ t e
зв'язок	z ʋ j ɐ z ɔ k
зв'язок	z ʋ j ɑ z ɔ k
звати	z ʋ ɑ t e
звернення	z ʋ ɛ r n e nʲː ɐ
звинуватити	z ʋ e n ʊ ʋ ɑ t e t e
звинувачувати	z ʋ e n ʊ ʋ ɑ t͡ʃ ʊ ʋ ɐ t e
звичайний	z ʋ e t͡ʃ ɑ i̯ n e i̯
звичка	z ʋ ɪ t͡ʃ k ɐ
зворотний	z w ɔ r ɔ t n e i̯
звук	z w u k
звідки	zʲ ʋʲ i d k e
звідси	zʲ ʋʲ i d͡z s e
звідти	zʲ ʋʲ i d t e
звізда	zʲ ʋʲ i z d ɑ
звір	zʲ ʋʲ i r
звісно	zʲ ʋʲ i s n ɔ
згадувати	z ɦ ɑ d ʊ ʋ ɐ t e
зграя	z ɦ r ɑ j ɐ
згідність	zʲ ɦʲ i dʲ nʲ i sʲ tʲ
здаватися	z d ɐ ʋ ɑ t e sʲ ɐ
здання	z d ɐ nʲː ɑ
здання	z d ɑ nʲː ɐ
здоров	z d ɔ r ɔ u̯
здоров'я	z d ɔ r ɔ ʋ j ɐ
здоровий	z d ɔ r ɔ ʋ e i̯
здріти	z dʲ rʲ i t e
здійснення	zʲ dʲ i i̯ s n e nʲː ɐ
зелен	z ɛ ɫ e n
зелений	z e ɫ ɛ n e i̯
зеленський	z e ɫ ɛ nʲ sʲ k e i̯
землевласник	z e m ɫ e u̯ ɫ ɑ s n e k
землетрус	z e m ɫ e t r u s
земля	z e m lʲ ɑ
земноводне	z e m n ɔ w ɔ d n e
земфіра	z e m fʲ i r ɐ
зерно	z e r n ɔ
зерно	z ɛ r n ɔ
ззаду	zː ɑ d ʊ
зима	z e m ɑ
зимовий	z e m ɔ ʋ e i̯
зимовий	z e m ɔ ʋ ɪ i̯
зимородок	z ɪ m ɔ r ɔ d ɔ k
злий	z ɫ ɪ i̯
злодій	z ɫ ɔ dʲ i i̯
злочин	z ɫ ɔ t͡ʃ e n
злочинець	z ɫ ɔ t͡ʃ ɪ n e t͡sʲ
змагання	z m ɐ ɦ ɑ nʲː ɐ
зменшити	z m ɛ n ʃ e t e
зменшувати	z m ɛ n ʃ ʊ ʋ ɐ t e
змога	z m ɔ ɦ ɐ
змі	zʲ mʲ i
змій	zʲ mʲ i i̯
зміна	zʲ mʲ i n ɐ
зміст	zʲ mʲ i s t
змія	zʲ mʲ i j ɑ
зміїв	zʲ mʲ i j i u̯
знайомий	z n ɐ j ɔ m e i̯
знайти	z n ɐ i̯ t ɪ
знак	z n ɑ k
знання	z n ɐ nʲː ɑ
знати	z n ɑ t e
знаходити	z n ɐ x ɔ d e t e
знахідний	z n ɐ xʲ i d n e i̯
значення	z n ɑ t͡ʃ e nʲː ɐ
значити	z n ɑ t͡ʃ e t e
зникати	z n e k ɑ t e
зникнути	z n ɪ k n ʊ t e
знову	z n ɔ w ʊ
знімок	zʲ nʲ i m ɔ k
зобов'язання	z ɔ b ɔ ʋ j ɑ z ɐ nʲː ɐ
зовні	z ɔ u̯ nʲ i
зовнішній	z ɔ u̯ nʲ i ʃ nʲ i i̯
зовсім	z ɔ u̯ sʲ i m
зозуля	z o z u lʲ ɐ
золота	z ɔ ɫ ɔ t ɐ
золотий	z ɔ ɫ ɔ t ɪ i̯
золото	z ɔ ɫ ɔ t ɔ
золотом	z ɔ ɫ ɔ t ɔ m
золоту	z ɔ ɫ ɔ t ʊ
золоті	z ɔ ɫ ɔ tʲ i
зона	z ɔ n ɐ
зоологія	z ɔ ɔ ɫ ɔ ɦʲ i j ɐ
зоопарк	z ɔ ɔ p ɑ r k
зоря	z ɔ rʲ ɑ
зоставатися	z ɔ s t ɐ ʋ ɑ t e sʲ ɐ
зостатися	z ɔ s t ɑ t e sʲ ɐ
зося	z ɔ sʲ ɐ
зошит	z ɔ ʃ e t
зрада	z r ɑ d ɐ
зрадник	z r ɑ d n e k
зрештою	z r ɛ ʃ t ɔ j ʊ
зробити	z r ɔ b ɪ t e
зрозуміти	z r ɔ z ʊ mʲ i t e
зростання	z r ɔ s t ɑ nʲː ɐ
зручний	z r u t͡ʃ n e i̯
зручність	z r u t͡ʃ nʲ i sʲ tʲ
зріти	zʲ rʲ i t e
зуб	z u b
зуба	z u b ɐ
зубенята	z ʊ b e nʲ ɑ t ɐ
зуби	z u b e
зубна	z ʊ b n ɑ
зубний	z ʊ b n ɪ i̯
зубр	z u b r
зубрило	z ʊ b r ɪ ɫ ɔ
зубрій	z ʊ b rʲ i i̯
зупа	z u p ɐ
зупинити	z ʊ p e n ɪ t e
зупинитися	z ʊ p e n ɪ t e sʲ ɐ
зупинка	z ʊ p ɪ n k ɐ
зупиняти	z ʊ p e nʲ ɑ t e
зупинятися	z ʊ p e nʲ ɑ t e sʲ ɐ
зусилля	z ʊ s ɪ lʲː ɐ
зустріч	z u s tʲ rʲ i t͡ʃ
зімбабве	zʲ i m b ɑ b ʋ e
зіниця	zʲ i n ɪ t͡sʲ ɐ
зір	zʲ i r
зірка	zʲ i r k ɐ
й	j
йога	j ɔ ɦ ɐ
його	j ɔ ɦ ɔ
йогурт	j ɔ ɦ ʊ r t
йому	j o m u
йордан	j ɔ r d ɑ n
йорданія	j ɔ r d ɑ nʲ i j ɐ
йти	i̯ t ɪ
каблучка	k ɐ b ɫ u t͡ʃ k ɐ
кабінет	k ɐ bʲ i n ɛ t
кав'ярня	k ɐ ʋ j ɑ r nʲ ɐ
кава	k ɑ ʋ ɐ
кавун	k ɐ w u n
кажан	k ɐ ʒ ɑ n
кажи	k ɐ ʒ ɪ
кажучи	k ɑ ʒ ʊ t͡ʃ e
казан	k ɐ z ɑ n
казати	k ɐ z ɑ t e
казахстан	k ɐ z ɐ x s t ɑ n
казахський	k ɐ z ɑ x sʲ k e i̯
казка	k ɑ z k ɐ
кайман	k ɐ i̯ m ɑ n
календар	k ɐ ɫ e n d ɑ r
календарний	k ɐ ɫ e n d ɑ r n e i̯
калина	k ɐ ɫ ɪ n ɐ
калитка	k ɐ ɫ ɪ t k ɐ
калька	k ɑ lʲ k ɐ
калюжа	k ɐ lʲ u ʒ ɐ
калій	k ɑ lʲ i i̯
камбоджа	k ɐ m b ɔ d͡ʒ ɐ
кампанія	k ɐ m p ɑ nʲ i j ɐ
камінь	k ɑ mʲ i nʲ
канава	k ɐ n ɑ ʋ ɐ
канада	k ɐ n ɑ d ɐ
канадець	k ɐ n ɑ d e t͡sʲ
канадський	k ɐ n ɑ d͡zʲ sʲ k e i̯
канадійський	k ɐ n ɐ dʲ i i̯ sʲ k e i̯
канадієць	k ɐ n ɐ dʲ i j e t͡sʲ
канал	k ɐ n ɑ ɫ
кандидат	k ɐ n d e d ɑ t
кандидатура	k ɐ n d e d ɐ t u r ɐ
капелюх	k ɐ p e lʲ u x
каплице	k ɐ p ɫ ɪ t͡s e
каплицею	k ɐ p ɫ ɪ t͡s e j ʊ
каплиць	k ɐ p ɫ ɪ t͡sʲ
каплицю	k ɐ p ɫ ɪ t͡sʲ ʊ
каплиця	k ɐ p ɫ ɪ t͡sʲ ɐ
каплицям	k ɐ p ɫ ɪ t͡sʲ ɐ m
каплицями	k ɐ p ɫ ɪ t͡sʲ ɐ m e
каплицях	k ɐ p ɫ ɪ t͡sʲ ɐ x
каплиці	k ɐ p ɫ ɪ t͡sʲ i
капуста	k ɐ p u s t ɐ
капітал	k ɐ pʲ i t ɑ ɫ
кар	k ɑ r
кара	k ɑ r ɐ
карась	k ɐ r ɑ sʲ
карат	k ɐ r ɑ t
карати	k ɐ r ɑ t e
карбованець	k ɐ r b ɔ ʋ ɐ n e t͡sʲ
карлик	k ɑ r ɫ e k
карт	k ɑ r t
карта	k ɑ r t ɐ
картина	k ɐ r t ɪ n ɐ
картка	k ɑ r t k ɐ
картопля	k ɐ r t ɔ p lʲ ɐ
каса	k ɑ s ɐ
касир	k ɐ s ɪ r
каска	k ɑ s k ɐ
касувати	k ɐ s ʊ ʋ ɑ t e
кат	k ɑ t
категоричний	k ɐ t e ɦ ɔ r ɪ t͡ʃ n e i̯
категорично	k ɐ t e ɦ ɔ r ɪ t͡ʃ n ɔ
категорія	k ɐ t e ɦ ɔ rʲ i j ɐ
катерина	k ɐ t e r ɪ n ɐ
католицький	k ɐ t ɔ ɫ ɪ t͡sʲ k e i̯
кафедра	k ɑ f e d r ɐ
кацап	k ɐ t͡s ɑ p
кацапка	k ɐ t͡s ɑ p k ɐ
кацапський	k ɐ t͡s ɑ p sʲ k e i̯
качка	k ɑ t͡ʃ k ɐ
каша	k ɑ ʃ ɐ
каштан	k ɐ ʃ t ɑ n
каштановий	k ɐ ʃ t ɑ n ɔ ʋ e i̯
квадрат	k ʋ ɐ d r ɑ t
квадратний	k ʋ ɐ d r ɑ t n e i̯
кварк	k ʋ ɑ r k
квартир	k ʋ ɐ r t ɪ r
квартира	k ʋ ɐ r t ɪ r ɐ
квартири	k ʋ ɐ r t ɪ r e
квиток	k ʋ e t ɔ k
квітень	k ʋʲ i t e nʲ
квітка	k ʋʲ i t k ɐ
кдб	k ɑ d ɛ b ɛ
кельнер	k ɛ lʲ n e r
кельнерка	k ɛ lʲ n e r k ɐ
кентавр	k e n t ɑ u̯ r
кенія	k ɛ nʲ i j ɐ
керівник	k e rʲ i u̯ n ɪ k
керівництво	k e rʲ i u̯ n ɪ t͡s t w ɔ
кефір	k e fʲ i r
кидати	k ɪ d ɐ t e
кий	k ɪ i̯
килим	k ɪ ɫ e m
ким	k ɪ m
кимось	k ɪ m ɔ sʲ
кинджал	k e n d͡ʒ ɑ ɫ
киргизстан	k e r ɦ e z s t ɑ n
киргизія	k e r ɦ ɪ zʲ i j ɐ
кирилиця	k e r ɪ ɫ e t͡sʲ ɐ
кисень	k ɪ s e nʲ
кислий	k ɪ s ɫ e i̯
кисть	k ɪ sʲ tʲ
кит	k ɪ t
китай	k e t ɑ i̯
китайський	k e t ɑ i̯ sʲ k e i̯
китаянка	k e t ɐ j ɑ n k ɐ
китаєць	k e t ɑ j e t͡sʲ
китоголов	k e t ɔ ɦ ɔ ɫ ɔ u̯
кишене	k e ʃ ɛ n e
кишенею	k e ʃ ɛ n e j ʊ
кишень	k e ʃ ɛ nʲ
кишеню	k e ʃ ɛ nʲ ʊ
кишеня	k e ʃ ɛ nʲ ɐ
кишеням	k e ʃ ɛ nʲ ɐ m
кишенями	k e ʃ ɛ nʲ ɐ m e
кишенях	k e ʃ ɛ nʲ ɐ x
кишені	k e ʃ ɛ nʲ i
кишинів	k e ʃ e nʲ i u̯
кишка	k ɪ ʃ k ɐ
кишки	k e ʃ k ɪ
кишки	k ɪ ʃ k e
киянин	k e j ɑ n e n
києва	k ɪ j e ʋ ɐ
київ	k ɪ j i u̯
київський	k ɪ j i u̯ sʲ k e i̯
клавдія	k ɫ ɑ u̯ dʲ i j ɐ
клавіатур	k ɫ ɐ ʋʲ i ɐ t u r
клавіатура	k ɫ ɐ ʋʲ i ɐ t u r ɐ
клавіатурам	k ɫ ɐ ʋʲ i ɐ t u r ɐ m
клавіатурами	k ɫ ɐ ʋʲ i ɐ t u r ɐ m e
клавіатурах	k ɫ ɐ ʋʲ i ɐ t u r ɐ x
клавіатури	k ɫ ɐ ʋʲ i ɐ t u r e
клавіатурою	k ɫ ɐ ʋʲ i ɐ t u r ɔ j ʊ
клавіатуру	k ɫ ɐ ʋʲ i ɐ t u r ʊ
клавіатурі	k ɫ ɐ ʋʲ i ɐ t u rʲ i
кладовище	k ɫ ɐ d ɔ ʋ ɪ ʃ t͡ʃ e
кладовище	k ɫ ɑ d ɔ ʋ e ʃ t͡ʃ e
клас	k ɫ ɑ s
класифікація	k ɫ ɐ s e fʲ i k ɑ t͡sʲ i j ɐ
класовий	k ɫ ɑ s ɔ ʋ e i̯
класти	k ɫ ɑ s t e
клен	k ɫ ɛ n
кликати	k ɫ ɪ k ɐ t e
кличко	k ɫ e t͡ʃ k ɔ
кличний	k ɫ ɪ t͡ʃ n e i̯
клоччя	k ɫ ɔ t͡ʃʲː ɐ
клуатр	k ɫ ʊ ɑ t r
клуб	k ɫ u b
ключ	k lʲ u t͡ʃ
клятьба	k lʲ ɐ dʲ b ɑ
клітина	k lʲ i t ɪ n ɐ
клітка	k lʲ i t k ɐ
клієнт	k lʲ i j ɛ n t
кнайпа	k n ɑ i̯ p ɐ
книга	k n ɪ ɦ ɐ
книжка	k n ɪ ʒ k ɐ
книжкам	k n e ʒ k ɑ m
книжками	k n e ʒ k ɑ m e
книжках	k n e ʒ k ɑ x
книжки	k n e ʒ k ɪ
книжки	k n ɪ ʒ k e
книжкою	k n ɪ ʒ k ɔ j ʊ
книжку	k n ɪ ʒ k ʊ
книжок	k n e ʒ ɔ k
книжці	k n ɪ zʲ t͡sʲ i
княгиня	k nʲ ɐ ɦ ɪ nʲ ɐ
княгині	k nʲ ɐ ɦ ɪ nʲ i
князь	k nʲ ɑ zʲ
коала	k ɔ ɑ ɫ ɐ
кобза	k ɔ b z ɐ
кобила	k ɔ b ɪ ɫ ɐ
ковадло	k ɔ ʋ ɑ d ɫ ɔ
ковбаса	k ɔ u̯ b ɐ s ɑ
ковбаси	k ɔ u̯ b ɐ s ɪ
ковбаси	k ɔ u̯ b ɑ s e
ковдра	k ɔ u̯ d r ɐ
ковзкий	k ɔ u̯ z k ɪ i̯
ковтати	k ɔ u̯ t ɑ t e
ковтун	k ɔ u̯ t u n
когось	k ɔ ɦ ɔ sʲ
кодекс	k ɔ d e k s
кожен	k ɔ ʒ e n
кожний	k ɔ ʒ n e i̯
кожного	k ɔ ʒ n ɔ ɦ ɔ
кожух	k o ʒ u x
коза	k ɔ z ɑ
козак	k ɔ z ɑ k
козел	k ɔ z ɛ ɫ
козирок	k ɔ z e r ɔ k
кокос	k ɔ k ɔ s
колапс	k ɔ ɫ ɑ p s
колгосп	k ɔ ɫ ɦ ɔ s p
колега	k ɔ ɫ ɛ ɦ ɐ
колектив	k ɔ ɫ e k t ɪ u̯
колесо	k ɔ ɫ e s ɔ
коли	k ɔ ɫ ɪ
колись	k ɔ ɫ ɪ sʲ
коло	k ɔ ɫ ɔ
коловодниця	k ɔ ɫ ɔ w ɔ d n e t͡sʲ ɐ
колода	k ɔ ɫ ɔ d ɐ
колодязь	k ɔ ɫ ɔ dʲ ɐ zʲ
колоти	k ɔ ɫ ɔ t e
колумбія	k o ɫ u m bʲ i j ɐ
колядування	k ɔ lʲ ɐ d ʊ ʋ ɑ nʲː ɐ
коліно	k o lʲ i n ɔ
колір	k ɔ lʲ i r
коліс	k o lʲ i s
команда	k ɔ m ɑ n d ɐ
комар	k ɔ m ɑ r
комаха	k ɔ m ɑ x ɐ
комедій	k ɔ m ɛ dʲ i i̯
комедію	k ɔ m ɛ dʲ i j ʊ
комедія	k ɔ m ɛ dʲ i j ɐ
комедіям	k ɔ m ɛ dʲ i j ɐ m
комедіями	k ɔ m ɛ dʲ i j ɐ m e
комедіях	k ɔ m ɛ dʲ i j ɐ x
комедіє	k ɔ m ɛ dʲ i j e
комедією	k ɔ m ɛ dʲ i j e j ʊ
комедії	k ɔ m ɛ dʲ i j i
комерційний	k ɔ m e r t͡sʲ i i̯ n e i̯
комора	k ɔ m ɔ r ɐ
комп'ютер	k ɔ m p j u t e r
комп'ютерний	k ɔ m p j u t e r n e i̯
компанія	k ɔ m p ɑ nʲ i j ɐ
компенсація	k ɔ m p e n s ɑ t͡sʲ i j ɐ
комплекс	k ɔ m p ɫ e k s
композиція	k ɔ m p ɔ z ɪ t͡sʲ i j ɐ
компонент	k ɔ m p ɔ n ɛ n t
комунізм	k ɔ m ʊ nʲ i z m
комунікаційний	k ɔ m ʊ nʲ i k ɐ t͡sʲ i i̯ n e i̯
комунікація	k ɔ m ʊ nʲ i k ɑ t͡sʲ i j ɐ
комуністичний	k ɔ m ʊ nʲ i s t ɪ t͡ʃ n e i̯
комусь	k o m u sʲ
комфортний	k ɔ m f ɔ r t n e i̯
комісія	k o mʲ i sʲ i j ɐ
комітет	k ɔ mʲ i t ɛ t
конгрес	k ɔ n ɦ r ɛ s
коник	k ɔ n e k
конкретний	k ɔ n k r ɛ t n e i̯
конкурс	k ɔ n k ʊ r s
конлі	k ɔ nʲ lʲ i
коноплі	k ɔ n ɔ p lʲ i
консервація	k ɔ n s e r ʋ ɑ t͡sʲ i j ɐ
консервувати	k ɔ n s e r w ʊ ʋ ɑ t e
конституційний	k ɔ n s t e t ʊ t͡sʲ i i̯ n e i̯
конституційність	k ɔ n s t e t ʊ t͡sʲ i i̯ nʲ i sʲ tʲ
конституція	k ɔ n s t e t u t͡sʲ i j ɐ
консультація	k ɔ n s ʊ lʲ t ɑ t͡sʲ i j ɐ
контамінація	k ɔ n t ɐ mʲ i n ɑ t͡sʲ i j ɐ
континент	k ɔ n t e n ɛ n t
контроль	k ɔ n t r ɔ lʲ
конференція	k ɔ n f e r ɛ nʲ t͡sʲ i j ɐ
конфета	k ɔ n f ɛ t ɐ
конфлікт	k o n f lʲ i k t
конформізм	k ɔ n f o r mʲ i z m
конфіскація	k ɔ nʲ fʲ i s k ɑ t͡sʲ i j ɐ
конфіскувати	k ɔ nʲ fʲ i s k ʊ ʋ ɑ t e
концентрацій	k ɔ n t͡s e n t r ɑ t͡sʲ i i̯
концентраційний	k ɔ n t͡s e n t r ɐ t͡sʲ i i̯ n e i̯
концентрація	k ɔ n t͡s e n t r ɑ t͡sʲ i j ɐ
концентрації	k ɔ n t͡s e n t r ɑ t͡sʲ i j i
концепт	k ɔ n t͡s ɛ p t
концептуальний	k ɔ n t͡s e p t ʊ ɑ lʲ n e i̯
концепція	k ɔ n t͡s ɛ p t͡sʲ i j ɐ
концерт	k ɔ n t͡s ɛ r t
конґрес	k ɔ n ɡ r ɛ s
копати	k ɔ p ɑ t e
копил	k ɔ p ɪ ɫ
копито	k ɔ p e t ɔ
копито	k ɔ p ɪ t ɔ
кора	k ɔ r ɑ
корабел	k ɔ r ɐ b ɛ ɫ
корабель	k ɔ r ɐ b ɛ lʲ
кордон	k ɔ r d ɔ n
корейський	k ɔ r ɛ i̯ sʲ k e i̯
корея	k ɔ r ɛ j ɐ
корзина	k ɔ r z ɪ n ɐ
корисний	k ɔ r e s n e i̯
корисний	k ɔ r ɪ s n e i̯
корити	k ɔ r ɪ t e
корито	k ɔ r ɪ t ɔ
кориця	k ɔ r ɪ t͡sʲ ɐ
коричневий	k ɔ r ɪ t͡ʃ n e ʋ e i̯
коробка	k ɔ r ɔ b k ɐ
корова	k ɔ r ɔ ʋ ɐ
королева	k ɔ r ɔ ɫ ɛ ʋ ɐ
королевич	k ɔ r ɔ ɫ ɛ ʋ e t͡ʃ
король	k ɔ r ɔ lʲ
королів	k ɔ r o lʲ i u̯
королівство	k ɔ r o lʲ i u̯ s t w ɔ
королівський	k ɔ r o lʲ i u̯ sʲ k e i̯
корона	k ɔ r ɔ n ɐ
короп	k ɔ r ɔ p
короткий	k ɔ r ɔ t k e i̯
короїд	k ɔ r ɔ j i d
корупція	k o r u p t͡sʲ i j ɐ
корчма	k ɔ r t͡ʃ m ɐ
корчма	k ɔ r t͡ʃ m ɑ
коріння	k o rʲ i nʲː ɐ
корінь	k ɔ rʲ i nʲ
коса	k ɔ s ɑ
косити	k ɔ s ɪ t e
косметика	k ɔ s m ɛ t e k ɐ
косметичний	k ɔ s m e t ɪ t͡ʃ n e i̯
космонавт	k ɔ s m ɔ n ɑ u̯ t
космос	k ɔ s m ɔ s
космічний	k o sʲ mʲ i t͡ʃ n e i̯
косово	k ɔ s ɔ w ɔ
костьол	k ɔ sʲ tʲ ɔ ɫ
костянтин	k ɔ sʲ tʲ ɐ n t ɪ n
кота	k ɔ t ɑ
котел	k ɔ t ɛ ɫ
котинги	k ɔ t ɪ n ɦ e
котрий	k ɔ t r ɪ i̯
коханий	k ɔ x ɐ n e i̯
коханий	k ɔ x ɑ n e i̯
кохання	k ɔ x ɑ nʲː ɐ
кохати	k ɔ x ɑ t e
кочерга	k ɔ t͡ʃ e r ɦ ɑ
кошик	k ɔ ʃ e k
кошт	k ɔ ʃ t
коштовний	k ɔ ʃ t ɔ u̯ n e i̯
коштувати	k ɔ ʃ t ʊ ʋ ɐ t e
коштувати	k ɔ ʃ t ʊ ʋ ɑ t e
кошуля	k o ʃ u lʲ ɐ
краб	k r ɑ b
краватка	k r ɐ ʋ ɑ t k ɐ
кравчук	k r ɐ u̯ t͡ʃ u k
край	k r ɑ i̯
краків	k r ɑ kʲ i u̯
крамниця	k r ɐ m n ɪ t͡sʲ ɐ
крапля	k r ɑ p lʲ ɐ
красивий	k r ɐ s ɪ ʋ e i̯
красний	k r ɑ s n e i̯
красти	k r ɑ s t e
кращий	k r ɑ ʃ t͡ʃ e i̯
