ア	a̠
コングラ	k õ̞ ŋ ɡ ɯ̟ᵝ ɾ a̠
コングラチュレーション	k õ̞ ŋ ɡ ɯ̟ᵝ ɾ a̠ t͡ɕ ɨᵝ ɾ e̞ː ɕ õ̞ ɴ
コンサート	k õ̞ ɰ̃ s a̠ː t o̞
コンシェルジュ	k õ̞ ɰ̃ ɕ e̞ ɾ ɯ̟ᵝ ʑ ɨᵝ
コンシューマー	k õ̞ ɰ̃ ɕ ɨᵝː m a̠ː
コンストラクター	k õ̞ ɰ̃ s ɨᵝ t o̞ ɾ a̠ k ɯ̟ᵝ t a̠ː
コンセンサス	k õ̞ ɰ̃ s ẽ̞ ɰ̃ s a̠ s ɨᵝ
コンセント	k õ̞ ɰ̃ s ẽ̞ n t o̞
コンタミ	k õ̞ n t a̠ mʲ i
コンタミネーション	k õ̞ n t a̠ mʲ i n e̞ː ɕ õ̞ ɴ
コンダラ	k õ̞ n d a̠ ɾ a̠
コンツェルン	k õ̞ n t͡s e̞ ɾ ɯ̟̃ᵝ ɴ
コンテ	k õ̞ n t e̞
コンティニュイティ	k õ̞ n tʲ i ɲ̟ ɯ̟ᵝ i tʲ i
コンティニュー	k õ̞ n tʲ i ɲ̟ ɯ̟ᵝː
コンテキスト	k õ̞ n t e̞ kʲ i s ɨᵝ t o̞
コンテクスト	k õ̞ n t e̞ k ɯ̟ᵝ s ɨᵝ t o̞
コンテナ	k õ̞ n t e̞ n a̠
コンテンツ	k õ̞ n t ẽ̞ n t͡s ɨᵝ
コンデンサ	k õ̞ n d ẽ̞ ɰ̃ s a̠
コントラバス	k õ̞ n t o̞ ɾ a̠ b a̠ s ɨᵝ
コントラルト	k õ̞ n t o̞ ɾ a̠ ɾ ɯ̟ᵝ t o̞
コンドル	k õ̞ n d o̞ ɾ ɯ̟ᵝ
コンドーム	k õ̞ n d o̞ː m ɯ̟ᵝ
コンパ	k õ̞ m p a̠
コンパイル	k õ̞ m p a̠ i ɾ ɯ̟ᵝ
コンパクトディスク	k õ̞ m p a̠ k ɯ̟̊ᵝ t o̞ dʲ i s ɨ̥ᵝ k ɯ̟ᵝ
コンパス	k õ̞ m p a̠ s ɨ̥ᵝ
コンビニ	k õ̞ m bʲ i ɲ̟ i
コンビニエンスストア	k õ̞ m bʲ i ɲ̟ i ẽ̞ ɰ̃ s ɨᵝ s ɨ̥ᵝ t o̞ a̠
コンビネーション	k õ̞ m bʲ i n e̞ː ɕ õ̞ ɴ
コンピュータリゼーション	k õ̞ m pʲ ɨᵝː t a̠ ɾʲ i z e̞ː ɕ õ̞ ɴ
コンピューター	k õ̞ m pʲ ɨᵝː t a̠ː
コンピューターウイルス	k õ̞ m pʲ ɨᵝː t a̠ː ɯ̟ᵝ i ɾ ɯ̟ᵝ s ɨᵝ
コンピューターゲーム	k õ̞ m pʲ ɨᵝː t a̠ː ɡ e̞ː m ɯ̟ᵝ
コンプレックス	k õ̞ m p ɯ̟ᵝ ɾ e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
コンボ	k õ̞ m b o̞
コンポーネント	k õ̞ m p o̞ː n ẽ̞ n t o̞
コンマ	k õ̞ mː a̠
コークス	k o̞ː k ɯ̟̊ᵝ s ɨᵝ
コークスクリュー	k o̞ː k ɯ̟̊ᵝ s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ ɨᵝː
コース	k o̞ː s ɨᵝ
コースター	k o̞ː s ɨ̥ᵝ t a̠ː
コーダ	k o̞ː d a̠
コーチ	k o̞ː t͡ɕ i
コーツ	k o̞ː t͡s ɨᵝ
コーデ	k o̞ː d e̞
コーディネート	k o̞ː dʲ i n e̞ː t o̞
コーデュロイ	k o̞ː dʲ ɨᵝ ɾ o̞ i
コート	k o̞ː t o̞
コートジボワール	k o̞ː t o̞ ʑ i b o̞ ɰᵝ a̠ː ɾ ɯ̟ᵝ
コートドレス	k o̞ː t o̞ d o̞ ɾ e̞ s ɨᵝ
コーニッシュレックス	k o̞ː ɲ̟ i ɕː ɯ̟ᵝ ɾ e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
コーヒー	k o̞ː ç iː
コーヒーミル	k o̞ː ç iː mʲ i ɾ ɯ̟ᵝ
コーヒーメーカー	k o̞ː ç iː m e̞ː k a̠ː
コーポレートアイデンティティー	k o̞ː p o̞ ɾ e̞ː t o̞ a̠ i d ẽ̞ n tʲ i tʲ iː
コーラ	k o̞ː ɾ a̠
コーラン	k o̞ː ɾ ã̠ ɴ
コーラングレ	k o̞ː ɾ ã̠ ŋ ɡ ɯ̟ᵝ ɾ e̞
コーリャン	k o̞ː ɾʲ ã̠ ɴ
コールサイン	k o̞ː ɾ ɯ̟ᵝ s a̠ ĩ ɴ
コーン	k õ̞ː ɴ
コーンシロップ	k õ̞ː ɰ̃ ɕ i ɾ o̞ p̚ p ɯ̟ᵝ
コーンビーフ	k õ̞ː m bʲ iː ɸ ɯ̟̊ᵝ
コーンフレーク	k õ̞ː ɰ̃ ɸ ɯ̟ᵝ ɾ e̞ː k ɯ̟ᵝ
ゴ	ɡ o̞
ゴキブリ	ɡ o̞ kʲ i b ɯ̟ᵝ ɾʲ i
ゴジラ	ɡ o̞ ʑ i ɾ a̠
ゴスペル	ɡ o̞ s ɨᵝ p e̞ ɾ ɯ̟ᵝ
ゴスペルソング	ɡ o̞ s ɨᵝ p e̞ ɾ ɯ̟ᵝ s õ̞ ŋ ɡ ɯ̟ᵝ
ゴッデム	ɡ o̞ d̚ d̥ e̞ m ɯ̟ᵝ
ゴム	ɡ o̞ m ɯ̟ᵝ
ゴリラ	ɡ o̞ ɾʲ i ɾ a̠
ゴルァ	ɡ o̞ ɾ ɰᵝ a̠
ゴルフ	ɡ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
ゴルフクラブ	ɡ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
ゴルフバッグ	ɡ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ b a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
ゴング	ɡ õ̞ ŋ ɡ ɯ̟ᵝ
ゴンドラ	ɡ õ̞ n d o̞ ɾ a̠
ゴー	ɡ o̞ː
ゴーギャン	ɡ o̞ː ɡʲ ã̠ ɴ
ゴーグル	ɡ o̞ː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
ゴースト	ɡ o̞ ː̥ s ɨᵝ t o̞
ゴーストタウン	ɡ o̞ː s ɨᵝ t o̞ t a̠ ɯ̟̃ᵝ ɴ
ゴール	ɡ o̞ː ɾ ɯ̟ᵝ
ゴールキーパー	ɡ o̞ː ɾ ɯ̟ᵝ kʲ iː p a̠ː
ゴールデンウイーク	ɡ o̞ː ɾ ɯ̟ᵝ d ẽ̞ ɰ̃ ɯ̟ᵝ iː k ɯ̟ᵝ
サ	s a̠
サイエンス	s a̠ i ẽ̞ ɰ̃ s ɨᵝ
サイエンス・フィクション	s a̠ i ẽ̞ ɰ̃ s ɨᵝ ̥ ɸʲ i k ɯ̟̊ᵝ ɕ õ̞ ɴ
サイオン	s a̠ i õ̞ ɴ
サイキック	s a̠ i kʲ i̥ k̚ k ɯ̟ᵝ
サイクロイド	s a̠ i k ɯ̟ᵝ ɾ o̞ i d o̞
サイコロジー	s a̠ i k o̞ ɾ o̞ ʑ iː
サイゴン	s a̠ i ɡ õ̞ ɴ
サイズ	s a̠ i z ɨᵝ
サイダー	s a̠ i d a̠ː
サイバネティックス	s a̠ i b a̠ n e̞ tʲ i k̚ k ɯ̟ᵝ s ɨ̥ᵝ
サイフォン	s a̠ i ɸ õ̞ ɴ
サイベリアン	s a̠ i b e̞ ɾʲ i ã̠ ɴ
サイホン	s a̠ i h õ̞ ɴ
サイボーグ	s a̠ i b o̞ː ɡ ɯ̟ᵝ
サイリウム	s a̠ i ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
サイレン	s a̠ i ɾ ẽ̞ ɴ
サイレージ	s a̠ i ɾ e̞ː ʑ i
サイロ	s a̠ i ɾ o̞
サイン	s a̠ ĩ ɴ
サインオフ	s a̠ ĩ ɰ̃ o̞ ɸ ɯ̟ᵝ
サウスカロライナ	s a̠ ɯ̟ᵝ s ɨᵝ ̥ k a̠ ɾ o̞ ɾ a̠ i n a̠
サウスダコタ	s a̠ ɯ̟ᵝ s ɨᵝ d a̠ k o̞ t a̠
サウダージ	s a̠ ɯ̟ᵝ d a̠ː ʑ i
サウナ	s a̠ ɯ̟ᵝ n a̠
サウンドエフェクト	s a̠ ɯ̟̃ᵝ n d o̞ e̞ ɸ e̞ k ɯ̟̊ᵝ t o̞
サウンドトラック	s a̠ ɯ̟̃ᵝ n d o̞ t o̞ ɾ a̠ k̚ k ɯ̟ᵝ
サキソホン	s a̠ kʲ i̥ s o̞ h õ̞ ɴ
サクソフォン	s a̠ k ɯ̟̊ᵝ s o̞ ɸ õ̞ ɴ
サクソフォーン	s a̠ k ɯ̟̊ᵝ s o̞ ɸ õ̞ː ɴ
サクラメント	s a̠ k ɯ̟ᵝ ɾ a̠ m ẽ̞ n t o̞
サス	s ä s ɯ̥ᵝ
サスカチュワン	s a̠ s ɨᵝ k a̠ t͡ɕ ɨᵝ ɰᵝ ã̠ ɴ
サスティン	s a̠ s ɨᵝ tʲ ĩ ɴ
サスティーン	s a̠ s ɨᵝ tʲ ĩː ɴ
サステイン	s a̠ s ɨᵝ t ẽ̞ː ɴ
サスペンス	s a̠ s ɨᵝ p ẽ̞ ɰ̃ s ɨᵝ
サタン	s a̠ t ã̠ ɴ
サターン	s a̠ t ã̠ː ɴ
サッカリン	s a̠ k̚ k a̠ ɾʲ ĩ ɴ
サッカー	s a̠ k̚ k a̠ː
サック	s a̠ k̚ k ɯ̟ᵝ
サックス	s a̠ k̚ k ɯ̟̊ᵝ s ɨ̥ᵝ
サッチャー	s a̠ t̚ t͡ɕ a̠ː
サッフィズム	s a̠ ɸʲː i z ɨᵝ m ɯ̟ᵝ
サテライト	s a̠ t e̞ ɾ a̠ i t o̞
サディスティック	s a̠ dʲ i s ɨᵝ tʲ i k̚ k ɯ̟ᵝ
サディスト	s a̠ dʲ i s ɨᵝ t o̞̊
サディズム	s a̠ dʲ i z ɨᵝ m ɯ̟ᵝ
サトシ	s a̠ t o̞ ɕ i
サド	s a̠ d o̞
サドンデス	s a̠ d õ̞ n d e̞ s ɨᵝ
サナトリウム	s a̠ n a̠ t o̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
サニタイザ	s a̠ ɲ̟ i t a̠ i z a̠
サニタイザー	s a̠ ɲ̟ i t a̠ i z a̠ː
サニタイズ	s a̠ ɲ̟ i t a̠ i z ɨᵝ
サハリン	s a̠ h a̠ ɾʲ ĩ ɴ
サバイバル	s a̠ b a̠ i b a̠ ɾ ɯ̟ᵝ
サバイバルゲーム	s a̠ b a̠ i b a̠ ɾ ɯ̟ᵝ ɡ e̞ː m ɯ̟ᵝ
サバゲー	s a̠ b a̠ ɡ e̞ː
サバンナ	s a̠ b ã̠ nː a̠
サパー	s a̠ p a̠ː
サパークラブ	s a̠ p a̠ː k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
サビ	s a̠ bʲ i
サファイア	s a̠ ɸ a̠ i a̠
サファリ	s a̠ ɸ a̠ ɾʲ i
サフィズム	s a̠ ɸʲ i z ɨᵝ m ɯ̟ᵝ
サブカルチャー	s a̠ b ɯ̟ᵝ k a̠ ɾ ɯ̟ᵝ t͡ɕ a̠ː
サブキャラ	s a̠ b ɯ̟ᵝ kʲ a̠ ɾ a̠
サブキャラクター	s a̠ b ɯ̟ᵝ kʲ a̠ ɾ a̠ k ɯ̟ᵝ t a̠ː
サブスク	s a̠ b ɯ̟ᵝ s ɨᵝ k ɯ̟ᵝ
サプリ	s a̠ p ɯ̟ᵝ ɾʲ i
サプリメント	s a̠ p ɯ̟ᵝ ɾʲ i m ẽ̞ n t o̞
サボタージ	s a̠ b o̞ t a̠ː ʑ ɨᵝ
サボタージュ	s a̠ b o̞ t a̠ː ʑ ɨᵝ
サボテン	s a̠ b o̞ t ẽ̞ ɴ
サボン	s a̠ b õ̞ ɴ
サポート	s a̠ p o̞ː t o̞
サマリウム	s a̠ m a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
サマー	s a̠ m a̠ː
サマータイム	s a̠ m a̠ː t a̠ i m ɯ̟ᵝ
サムゲタン	s a̠ m ɯ̟ᵝ ɡ e̞ t ã̠ ɴ
サムネイル	s a̠ m ɯ̟ᵝ n e̞ː ɾ ɯ̟ᵝ
サモサ	s a̠ m o̞ s a̠
サラエボ	s a̠ ɾ a̠ e̞ b o̞
サラサ	s a̠ ɾ a̠ s a̠
サラダ	s a̠ ɾ a̠ d a̠
サラダドレッシング	s a̠ ɾ a̠ d a̠ d o̞ ɾ e̞ ɕː ĩ ŋ ɡ ɯ̟ᵝ
サラファン	s a̠ ɾ a̠ ɸ ã̠ ɴ
サラブレッド	s a̠ ɾ a̠ b ɯ̟ᵝ ɾ e̞ d̚ d̥ o̞
サラマンダー	s a̠ ɾ a̠ m ã̠ n d a̠ː
サラミ	s a̠ ɾ a̠ mʲ i
サラリーマン	s a̠ ɾ a̠ ɾʲ iː m ã̠ ɴ
サランラップ	s a̠ ɾ ã̠ n ɾ a̠ p̚ p ɯ̟ᵝ
サリン	s a̠ ɾʲ ĩ ɴ
サリー	s a̠ ɾʲ iː
サルサ	s a̠ ɾ ɯ̟ᵝ s a̠
サンキュー	s ã̠ ŋʲ kʲ ɨᵝː
サングラス	s ã̠ ŋ ɡ ɯ̟ᵝ ɾ a̠ s ɨᵝ
サングリア	s ã̠ ŋ ɡ ɯ̟ᵝ ɾʲ i a̠
サンサルバドル	s ã̠ ɰ̃ s a̠ ɾ ɯ̟ᵝ b a̠ d o̞ ɾ ɯ̟ᵝ
サンスクリット	s ã̠ ɰ̃ s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i t̚ t o̞
サンタクロース	s ã̠ n t a̠ k ɯ̟ᵝ ɾ o̞ː s ɨᵝ
サンダル	s ã̠ n d a̠ ɾ ɯ̟ᵝ
サンダー	s ã̠ n d a̠ː
サンティアゴ	s ã̠ n tʲ i a̠ ɡ o̞
サンデー	s ã̠ n d e̞ː
サントメ	s ã̠ n t o̞ m e̞
サントメプリンシペ	s ã̠ n t o̞ m e̞ p ɯ̟ᵝ ɾʲ ĩ ɰ̃ ɕ i̥ p e̞
サントメ・プリンシペ	s ã̠ n t o̞ m e̞ p ɯ̟ᵝ ɾʲ ĩ ɰ̃ ɕ i̥ p e̞
サントラ	s ã̠ n t o̞ ɾ a̠
サンド	s ã̠ n d o̞
サンドイッチ	s ã̠ n d o̞ i t̚ t͡ɕ i
サンドイッチマン	s ã̠ n d o̞ i t̚ t͡ɕ i m ã̠ ɴ
サンドバッグ	s ã̠ n d o̞ b a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
サンドペーパー	s ã̠ n d o̞ p e̞ː p a̠ː
サンドレス	s ã̠ n d o̞ ɾ e̞ s ɨᵝ
サンバ	s ã̠ m b a̠
サンバー	s ã̠ m b a̠ː
サンパン	s ã̠ m p ã̠ ɴ
サンボードロモ	s ã̠ m b o̞ː d o̞ ɾ o̞ m o̞
サンライズ	s ã̠ n ɾ a̠ i z ɨᵝ
サンラータン	s ɨᵝ ã̠ n ɾ a̠ː t ã̠ ɴ
サン・マリノ	s ã̠ mː a̠ ɾʲ i n o̞
サーカス	s a̠ː k a̠ s ɨᵝ
サーキュラーエコノミー	s a̠ː kʲ ɨᵝ ɾ a̠ː e̞ k o̞ n o̞ mʲ iː
サークルカット	s a̠ː k ɯ̟ᵝ ɾ ɯ̟ᵝ k a̠ t̚ t o̞
サーターアンダーギー	s a̠ː t a̠ː ã̠ n d a̠ː ɡʲ iː
サーティーン	s a̠ː tʲ ĩː ɴ
サード	s a̠ː d o̞
サーバル	s a̠ː b a̠ ɾ ɯ̟ᵝ
サーファー	s a̠ː ɸ a̠ː
サーフィン	s a̠ː ɸʲ ĩ ɴ
サーフボード	s a̠ː ɸ ɯ̟ᵝ b o̞ː d o̞
サーベル	s a̠ː b e̞ ɾ ɯ̟ᵝ
サーベルタイガー	s a̠ː b e̞ ɾ ɯ̟ᵝ t a̠ i ɡ a̠ː
サーモスタット	s a̠ː m o̞ s ɨ̥ᵝ t a̠ t̚ t o̞
ザ	d͡z a̠
ザグレブ	d͡z a̠ ɡ ɯ̟ᵝ ɾ e̞ b ɯ̟ᵝ
ザッハトルテ	d͡z a̠ hː a̠ t o̞ ɾ ɯ̟ᵝ t e̞
ザボン	d͡z a̠ b õ̞ ɴ
ザンビア	d͡z ã̠ m bʲ i a̠
ザーメン	d͡z a̠ː m ẽ̞ ɴ
シ	ɕ i
シアトル	ɕ i a̠ t o̞ ɾ ɯ̟ᵝ
シアメン	ɕ i a̠ m ẽ̞ ɴ
シェ	ɕ e̞
シェアウェア	ɕ e̞ a̠ ɰᵝ e̞ a̠
シェアウエア	ɕ e̞ a̠ ɯ̟ᵝ e̞ a̠
シェアリングエコノミー	ɕ e̞ a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ e̞ k o̞ n o̞ mʲ iː
シェリー	ɕ e̞ ɾʲ iː
シェル	ɕ e̞ ɾ ɯ̟ᵝ
シェルター	ɕ e̞ ɾ ɯ̟ᵝ t a̠ː
シエシエ	ɕ i e̞ ɕ i e̞
シエラレオネ	ɕ i e̞ ɾ a̠ ɾ e̞ o̞ n e̞
シカゴ	ɕ i̥ k a̠ ɡ o̞
シガレット	ɕ i ɡ a̠ ɾ e̞ t̚ t o̞
シガー	ɕ i ɡ a̠ː
シクラメン	ɕ i̥ k ɯ̟ᵝ ɾ a̠ m ẽ̞ ɴ
シグマ	ɕ i ɡ ɯ̟ᵝ m a̠
シシャモ	ɕ i ɕ a̠ m o̞
シスオペ	ɕ i s ɨᵝ o̞ p e̞
シスコン	ɕ i s ɨᵝ k õ̞ ɴ
シスター	ɕ i s ɨ̥ᵝ t a̠ː
システイン	ɕ i s ɨᵝ t ẽ̞ː ɴ
システム	ɕ i s ɨ̥ᵝ t e̞ m ɯ̟ᵝ
システムエンジニア	ɕ i s ɨ̥ᵝ t e̞ m ɯ̟ᵝ ẽ̞ ɲ̟ d͡ʑ i ɲ̟ i a̠
システムオペレーター	ɕ i s ɨᵝ t e̞ m ɯ̟ᵝ o̞ p e̞ ɾ e̞ː t a̠ː
シチュエーション	ɕ i t͡ɕ ɨᵝ e̞ː ɕ õ̞ ɴ
シチュー	ɕ i̥ t͡ɕ ɨᵝː
シック	ɕ i k̚ k ɯ̟ᵝ
シックス	ɕ i k̚ k ɯ̟̊ᵝ s ɨᵝ
シックスナイン	ɕ i k̚ k ɯ̟̊ᵝ s ɨᵝ n a̠ ĩ ɴ
シップ	ɕ i p̚ p ɯ̟ᵝ
シティポップ	ɕ i tʲ i p o̞ p̚ p ɯ̟ᵝ
シナ	ɕ i n a̠
シナプス	ɕ i n a̠ p ɯ̟̊ᵝ s ɨᵝ
シナリオ	ɕ i n a̠ ɾʲ i o̞
シニヨン	ɕ i ɲ̟ i j õ̞ ɴ
シネマ	ɕ i n e̞ m a̠
シノニム	ɕ i n o̞ ɲ̟ i m ɯ̟ᵝ
シフォン	ɕ i ɸ õ̞ ɴ
シフト	ɕ i ɸ ɯ̟̊ᵝ t o̞
シベリア	ɕ i b e̞ ɾʲ i a̠
シベリアン・ハスキー	ɕ i b e̞ ɾʲ i ã̠ ɰ̃ h a̠ s ɨ̥ᵝ kʲ iː
シマエナガ	ɕ i m a̠ e̞ n a̠ ɡ a̠
シミュレーション	ɕ i mʲ ɨᵝ ɾ e̞ː ɕ õ̞ ɴ
シミュレーションゲーム	ɕ i mʲ ɨᵝ ɾ e̞ː ɕ õ̞ ŋ ɡ e̞ː m ɯ̟ᵝ
シミーズ	ɕ i mʲ iː z ɨᵝ
シャ	ɕ a̠
シャイ	ɕ a̠ i
シャゲダン	ɕ a̠ ɡ e̞ d ã̠ ɴ
シャッター	ɕ a̠ t̚ t a̠ː
シャッターチャンス	ɕ a̠ t̚ t a̠ː t͡ɕ ã̠ ɰ̃ s ɨᵝ
シャットダウン	ɕ a̠ t̚ t o̞ d a̠ ɯ̟̃ᵝ ɴ
シャッフル	ɕ a̠ ɸː ɯ̟ᵝ ɾ ɯ̟ᵝ
シャツ	ɕ a̠ t͡s ɨᵝ
シャドー	ɕ a̠ d o̞ː
シャブ	ɕ a̠ b ɯ̟ᵝ
シャベル	ɕ a̠ b e̞ ɾ ɯ̟ᵝ
シャボン	ɕ a̠ b õ̞ ɴ
シャルトリュー	ɕ a̠ ɾ ɯ̟ᵝ t o̞ ɾʲ ɨᵝː
シャルムーズ	ɕ a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝː z ɨᵝ
シャレオッティー	ɕ a̠ ɾ e̞ o̞ t̚ʲ tʲ iː
シャワー	ɕ a̠ ɰᵝ a̠ː
シャワーズ	ɕ a̠ ɰᵝ a̠ː z ɨᵝ
シャンツァイ	ɕ ã̠ n t͡s a̠ i
シャンデリア	ɕ ã̠ n d e̞ ɾʲ i a̠
シャンハイ	ɕ ã̠ ɰ̃ h a̠ i
シャンパン	ɕ ã̠ m p ã̠ ɴ
シャープ	ɕ a̠ː p ɯ̟ᵝ
シャープナー	ɕ a̠ː p ɯ̟ᵝ n a̠ː
シャープペンシル	ɕ a̠ː p ɯ̟ᵝ ̥ p ẽ̞ ɰ̃ ɕ i ɾ ɯ̟ᵝ
シャーベット	ɕ a̠ː b e̞ t̚ t o̞
シャー・ペイ	ɕ a̠ː p e̞ː
シヤッター	ɕ a̠ t̚ t a̠ː
シュ	ɕ ɨᵝ
シュタゲ	ɕ ɨᵝ t a̠ ɡ e̞
シュトゥルム・ウント・ドラング	ɕ ɨ̥ᵝ t ɯ̟ᵝ ɾ ɯ̟ᵝ m ɯ̟ᵝ ɯ̟̃ᵝ n t o̞ d o̞ ɾ ã̠ ŋ ɡ ɯ̟ᵝ
シュニッツェル	ɕ ɨᵝ ɲ̟ i t̚ t͡s e̞ ɾ ɯ̟ᵝ
シュノーケル	ɕ ɨᵝ n o̞ː k e̞ ɾ ɯ̟ᵝ
シュバババ	ɕ ɨᵝ b a̠ b a̠ b a̠
シュミレーション	ɕ ɨᵝ mʲ i ɾ e̞ː ɕ õ̞ ɴ
シュミーズ	ɕ ɨᵝ mʲ iː z ɨᵝ
シュメール	ɕ ɨᵝ m e̞ː ɾ ɯ̟ᵝ
シュラフザック	ɕ ɨᵝ ɾ a̠ ɸ ɯ̟ᵝ z a̠ k̚ k ɯ̟ᵝ
シュラーフザック	ɕ ɨᵝ ɾ a̠ː ɸ ɯ̟ᵝ z a̠ k̚ k ɯ̟ᵝ
シュレッダー	ɕ ɨᵝ ɾ e̞ d̚ d̥ a̠ː
シュレッド	ɕ ɨᵝ ɾ e̞ d̚ d̥ o̞
シュンツ	ɕ ɨ̃ᵝ n t͡s ɨᵝ
シュークリーム	ɕ ɨᵝː k ɯ̟ᵝ ɾʲ iː m ɯ̟ᵝ
シューゲイザー	ɕ ɨᵝː ɡ e̞ː z a̠ː
シューズ	ɕ ɨᵝː z ɨᵝ
シュール	ɕ ɨᵝː ɾ ɯ̟ᵝ
シュールレアリスム	ɕ ɨᵝː ɾ ɯ̟ᵝ ɾ e̞ a̠ ɾʲ i s ɨᵝ m ɯ̟ᵝ
ショ	ɕ o̞
ショウハイ	ɕ o̞ː h a̠ i
ショコラ	ɕ o̞ k o̞ ɾ a̠
ショットガン	ɕ o̞ t̚ t o̞ ɡ ã̠ ɴ
ショッパー	ɕ o̞ p̚ p a̠ː
ショッピング	ɕ o̞ p̚ʲ pʲ ĩ ŋ ɡ ɯ̟ᵝ
ショップ	ɕ o̞ p̚ p ɯ̟ᵝ
ショパン	ɕ o̞ p ã̠ ɴ
ショベル	ɕ o̞ b e̞ ɾ ɯ̟ᵝ
ショーウィンドウ	ɕ o̞ː ɰᵝ ĩ n d o̞ː
ショーケース	ɕ o̞ː k e̞ː s ɨᵝ
ショーツ	ɕ o̞ː t͡s ɨᵝ
ショート	ɕ o̞ː t o̞
ショートカット	ɕ o̞ː t o̞ k a̠ t̚ t o̞
ショートストップ	ɕ o̞ː t o̞ s ɨ̥ᵝ t o̞ p̚ p ɯ̟ᵝ
ショートパンツ	ɕ o̞ː t o̞ p ã̠ n t͡s ɨᵝ
ショール	ɕ o̞ː ɾ ɯ̟ᵝ
シラバス	ɕ i ɾ a̠ b a̠ s ɨᵝ
シリア	ɕ i ɾʲ i a̠
シルエット	ɕ i ɾ ɯ̟ᵝ e̞ t̚ t o̞
シルクハット	ɕ i ɾ ɯ̟ᵝ k ɯ̟ᵝ ̥ h a̠ t̚ t o̞
シルクロード	ɕ i ɾ ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞ː d o̞
シルバー	ɕ i ɾ ɯ̟ᵝ b a̠ː
シルバーシート	ɕ i ɾ ɯ̟ᵝ b a̠ː ɕ iː t o̞
シロップ	ɕ i ɾ o̞ p̚ p ɯ̟ᵝ
シンガプーラ	ɕ ĩ ŋ ɡ a̠ p ɯ̟ᵝː ɾ a̠
シンガポール	ɕ ĩ ŋ ɡ a̠ p o̞ː ɾ ɯ̟ᵝ
シングル	ɕ ĩ ŋ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
シンセ	ɕ ĩ ɰ̃ s e̞
シンセサイザー	ɕ ĩ ɰ̃ s e̞ s a̠ i z a̠ː
シンセポップ	ɕ ĩ ɰ̃ s e̞ p o̞ p̚ p ɯ̟ᵝ
シンデレラ	ɕ ĩ n d e̞ ɾ e̞ ɾ a̠
シンノリン	ɕ ĩ nː o̞ ɾʲ ĩ ɴ
シンバル	ɕ ĩ m b a̠ ɾ ɯ̟ᵝ
シンパ	ɕ ĩ m p a̠
シンフォニー	ɕ ĩ ɰ̃ ɸ o̞ ɲ̟ iː
シンプル	ɕ ĩ m p ɯ̟ᵝ ɾ ɯ̟ᵝ
シンボル	ɕ ĩ m b o̞ ɾ ɯ̟ᵝ
シンポジウム	ɕ ĩ m p o̞ ʑ i ɯ̟ᵝ m ɯ̟ᵝ
シー	ɕ iː
シーアイ	ɕ iː a̠ i
シーエフ	ɕ iː e̞ ɸ ɯ̟ᵝ
シークヮーサー	ɕ iː k ɰᵝ a̠ː s a̠ː
シーサー	ɕ iː s a̠ː
シーズー	ɕ iː z ɨᵝː
シーソー	ɕ iː s o̞ː
シータ	ɕ iː t a̠
シーチキン	ɕ iː t͡ɕ i kʲ ĩ ɴ
シーツ	ɕ iː t͡s ɨᵝ
シーディー	ɕ iː dʲ iː
シート	ɕ iː t o̞
シートベルト	ɕ iː t o̞ b e̞ ɾ ɯ̟ᵝ t o̞
シードル	ɕ iː d o̞ ɾ ɯ̟ᵝ
シーバス	ɕ iː b a̠ s ɨᵝ
シーピーユー	ɕ iː pʲ iː j ɯ̟ᵝː
シーフード	ɕ iː ɸ ɯ̟ᵝː d o̞
シープラスプラス	ɕ iː p ɯ̟ᵝ ɾ a̠ s ɨᵝ p ɯ̟ᵝ ɾ a̠ s ɨᵝ
シーベルト	ɕ iː b e̞ ɾ ɯ̟ᵝ t o̞
シーボーギウム	ɕ iː b o̞ː ɡʲ i ɯ̟ᵝ m ɯ̟ᵝ
シーラカンス	ɕ iː ɾ a̠ k ã̠ ɰ̃ s ɨᵝ
シール	ɕ iː ɾ ɯ̟ᵝ
ジ	d͡ʑ i
ジェ	d͡ʑ e̞
ジェイ	d͡ʑ e̞ː
ジェイアール	d͡ʑ e̞ː a̠ː ɾ ɯ̟ᵝ
ジェイケー	d͡ʑ e̞ː k e̞ː
