က	k a̰
နိဒါန်း	n ḭ d á ɴ
နိဒ္ဒေသ	n e ɪ ʔ d è θ a̰
နိပေါ	n ḭ p ɔ́
နိဗ္ဗာန်	n e ɪ ʔ b à ɴ
နိယာမ	n ḭ j à m a̰
နိုက်ထရိုဂျင်	n a ɪ ʔ tʰ ə ɹ ò d͡ʑ ɪ̀ ɴ
နိုင်	n à ɪ ɴ
နိုင်ဂျာ	n à ɪ ɴ d͡ʑ à
နိုင်ဂျီးရီးယား	n à ɪ ɴ d͡ʑ í ɹ í j á
နိုင်ငံ	n à ɪ ɴ ŋ à ɴ
နိုင်ငံကူးလက်မှတ်	n à ɪ ɴ ŋ à ɴ ɡ ú l ɛ ʔ m̥ a ʔ
နိုင်ငံခြား	n à ɪ ɴ ŋ à ɴ d͡ʑ á
နိုင်ငံခြားသား	n à ɪ ɴ ɡ à ɴ d͡ʑ á ð à
နိုင်ငံတော်	n à ɪ ɴ ŋ à ɴ d ɔ̀
နိုင်ငံတော်သီချင်း	n à ɪ ɴ ŋ à ɴ d ɔ̀ θ ə t͡ɕʰ ɪ́ ɴ
နိုင်ငံရေး	n à ɪ ɴ ŋ à ɴ j é
နိုင်ငံသား	n à ɪ ɴ ŋ à ɴ ð á
နိုင်ငံသားအဖြစ်	n à ɪ ɴ ŋ à ɴ ð á ʔ ə pʰ j ɪ ʔ
နိုင်နိုင်	n à ɪ ɴ n à ɪ ɴ
နိုဝင်ဘာ	n ò w ɪ̀ ɴ b à
နို့	n o̰
နို့ဆီ	n o̰ z ì
နို့လိမ်	n o̰ l è ɪ ɴ
နို့သီး	n o̰ ð í
နို့သီးခေါင်း	n o̰ ð í ɡ á ʊ ɴ
နိုး	n ó
နိဿယ	n e ɪ ʔ θ ə j a̰
နီ	n ì
နီကာရာဂွါ	n ì k à ɹ à ɡ w à
နီတိ	n ì t ḭ
နီလာ	n ì l à
နီး	n í
နုပ်	n o ʊ ʔ
နေ	n è
နေကောင်း	n è k á ʊ ɴ
နေကောင်းရဲ့လား	n è k á ʊ ɴ j ɛ̰ l á
နေစကြဝဠာ	n è s ɛ ʔ t͡ɕ à w ə l à
နေစာ	n è z à
နေထွက်	n è tʰ w ɛ ʔ
နေပြည်တော်	n è p j ì d ɔ̀
နေရာ	n è j à
နေရာငါးသွယ်	n è j à ŋ á θ w ɛ̀
နေရာထိုင်ခင်း	n è j à tʰ à ɪ ɴ ɡ ɪ́ ɴ
နေဝင်	n è w ɪ̀ ɴ
နေအိမ်	n è ʔ è ɪ ɴ
နောက်	n a ʊ ʔ
နောက်ကျ	n a ʊ ʔ t͡ɕ a̰
နောက်ဆက်	n a ʊ ʔ sʰ ɛ ʔ
နောက်ပြီး	n a ʊ ʔ p í
နောက်ရုံး	n a ʊ ʔ j ó ʊ ɴ
နောင်	n à ʊ ɴ
နော်	n ɔ̀
နော်ရထာ	n ɔ̀ j ə tʰ à
နော်ဝေ	n ɔ̀ w è
နေ့	n ḛ
နေ့စဉ်	n ḛ z ɪ̀ ɴ
နေ့စွဲ	n ḛ z w ɛ́
နေ့လည်	n ḛ l ɛ̀
နေ့လယ်	n ḛ l ɛ̀
နေ့လယ်စာ	n ḛ l ɛ̀ z à
နဲ့	n ɛ̰
နံကထိုင်	n à ɴ k ə tʰ à ɪ ɴ
နံနက်	n à ɴ n ɛ ʔ
နံနက်စာ	n à ɴ n ɛ ʔ s à
နံနံ	n à ɴ n à ɴ
နံပါတ်	n à ɴ b a ʔ
နံပြား	n à ɴ b j á
နံရိုး	n à ɴ j ó
နျူကလိယ	n j ù k ə l ḭ j a̰
နွယ်တာ	n w ɛ̀ t à
နွား	n w á
နွားထီး	n ə tʰ í
နွားနို့	n w á n o̰
နွားနို့ခေါက်ဆွဲ	n w á n o̰ kʰ a ʊ ʔ sʰ w ɛ́
နွားမ	n ə m a̰
နွေ	n w è
နွေရာသီ	n w è j à ð ì
နွေဦး	n w è ʔ ú
နွေဦးပေါက်	n w è ʔ ú b a ʊ ʔ
နွေဦးရာသီ	n w è ʔ ú j à ð ì
နွေး	n w é
နှင့်	n̥ ɪ̰ ɴ
နှင့်တကွ	n̥ ɪ̰ ɴ d ə ɡ w a̰
နှင်း	n̥ ɪ́ ɴ
နှင်းခဲ	n̥ ɪ́ ɴ ɡ ɛ́
နှင်းပွင့်	n̥ ɪ́ ɴ b w ɪ̰ ɴ
နှင်းသီး	n̥ ɪ́ ɴ ð í
နှစ်	n̥ ɪ ʔ
နှစ်ချုပ်	n̥ ɪ ʔ d͡ʑ o ʊ ʔ
နှစ်ချောင်းပုဒ်	n̥ ə t͡ɕʰ á ʊ ɴ p o ʊ ʔ
နှစ်စဉ်	n̥ ɪ ʔ z ɪ̀ ɴ
နှစ်ဆန်းတစ်ရက်	n̥ ɪ ʔ sʰ á ɴ t ə j ɛ ʔ
နှစ်ဆန်းတစ်ရက်နေ့	n̥ ɪ ʔ sʰ á ɴ t ə j ɛ ʔ n ḛ
နှစ်ဆယ့်တစ်	n̥ ɪ ʔ sʰ ɛ̰ t ɪ ʔ
နှစ်ဆယ်	n̥ ɪ ʔ sʰ ɛ̀
နှစ်ရာ	n̥ ə j à
နှစ်လ	n̥ ə l a̰
နှပ်	n̥ a ʔ
နှမ	n̥ ə m a̰
နှမ်း	n̥ á ɴ
နှမ်းစေ့	n̥ á ɴ z ḛ
နှမ်းဆီ	n̥ á ɴ z ì
နှလုံး	n̥ ə l ó ʊ ɴ
နှလုံးရောဂါ	n̥ ə l ó ʊ ɴ j ɔ́ ɡ à
နှာ	n̥ à
နှာခေါင်း	n̥ ə kʰ á ʊ ɴ
နှာခေါင်းပေါက်	n̥ ə kʰ á ʊ ɴ b a ʊ ʔ
နှာဘူး	n̥ à b ú
နှာမောင်း	n̥ ə m á ʊ ɴ
နှိပ်ကြယ်သီး	n̥ e ɪ ʔ t͡ɕ ɛ̀ ð í
နှုတ်	n̥ o ʊ ʔ
နှုတ်ခမ်း	n̥ o ʊ ʔ kʰ á ɴ
နှုတ်ဆက်	n̥ o ʊ ʔ sʰ ɛ ʔ
နှုတ်သီး	n̥ o ʊ ʔ θ í
နှော	n̥ ɔ́
နှောက်	n̥ a ʊ ʔ
နှောင်း	n̥ á ʊ ɴ
နှေး	n̥ é
နှံကောင်	n̥ à ɴ ɡ à ʊ ɴ
ပကတိ	b ə ɡ ə d ḭ
ပကောဋိ	p ə k ɔ́ d ḭ
ပက်ကျိ	p ɛ ʔ t͡ɕ ḭ
ပခုက္ကူ	p ə kʰ ù k k ù
ပခုံး	p ə kʰ ó ʊ ɴ
ပင့်	p ɪ̰ ɴ
ပင့်ကူ	p ɪ̰ ɴ ɡ ù
ပင့်ကူအိမ်	p ɪ̰ ɴ ɡ ù ʔ è ɪ ɴ
ပင်ဂွင်	p ɪ̀ ɴ ɡ w ɪ̀ ɴ
ပင်စင်	p ɪ̀ ɴ s ɪ̀ ɴ
ပင်စင်စား	p ɪ̀ ɴ s ɪ̀ ɴ s á
ပင်စည်	p ɪ̀ ɴ z ì
ပင်စိမ်း	p ɪ̀ ɴ z é ɪ ɴ
ပင်စိမ်းမွှေး	p ɪ̀ ɴ z é ɪ ɴ m̥ w é
ပင်ပေါင်	p ɪ̀ ɴ p à ʊ ɴ
ပင်မှည့်	p ɪ̀ ɴ m̥ ɛ̰
ပင်လယ်	p ɪ̀ ɴ l ɛ̀
ပင်လယ်ဆား	p ɪ̀ ɴ l ɛ̀ z á
ပင်လယ်ဓားပြ	p ɪ̀ ɴ l ɛ̀ d ə m j a̰
ပင်လယ်အော်	p ɪ̀ ɴ l ɛ̀ ʔ ɔ̀
ပစောက်	p a̰ z a ʊ ʔ
ပစ္စက္ခ	p ɪ ʔ s ɛ ʔ kʰ a̰
ပစ္စည်း	p ɪ ʔ s í
ပစ္စည်းလေးပါး	p j ɪ ʔ s í l é b á
ပစ္စယာ	p j ɪ ʔ s ə j à
ပစ္စုပ္ပန်	p j ɪ ʔ s o ʊ ʔ p à ɴ
ပစ္ဆိမ	p j ɪ ʔ sʰ e ɪ ʔ m a̰
ပစ်	p j ɪ ʔ
ပဇာ	b ə z à
ပဉ္စကလျာဏီ	p j ɪ̀ ɴ s a̰ k ə l ə j à n ì
ပဉ္စင်တူရိယာ	p j ɪ ʔ s ɪ̀ ɴ t ù ɹ ḭ j à
ပဉ္စင်း	b ə z ɪ́ ɴ
ပဉ္စမ	p j ɪ̀ ɴ s ə m a̰
ပဉ္စရူပ	p j ɪ̀ ɴ s a̰ ɹ ù p a̰
ပဉ္စလက်	p ɪ̀ ɴ s ə l ɛ ʔ
ပညတ်	p j ɪ̰ ɴ n a ʔ
ပညတ်တော်	p j ɪ̰ ɴ n a ʔ t ɔ̀
ပညာ	p j ɪ̀ ɴ ɲ à
ပညာကျော်	p j ɪ̀ ɴ ɲ à d͡ʑ ɔ̀
ပညာပေး	p j ɪ̀ ɴ ɲ à p é
ပညာဗလ	p j ɪ̀ ɴ ɲ à b ə l a̰
ပညာရေး	p j ɪ̀ ɴ ɲ à j é
ပညာရှင်	p j ɪ̀ ɴ ɲ à ʃ ɪ̀ ɴ
ပဋိဇီဝဆေး	p a̰ d ḭ z ì w a̰ sʰ é
ပဋိပက္ခ	p ə t ḭ p ɛ ʔ kʰ a̰
ပဋိပက္ခဒေသ	p ə d ḭ p ɛ ʔ kʰ a̰ d è θ a̰
ပဋိသန္ဓေ	p ə d ḭ θ à ɴ d è
ပဌမ	p a̰ tʰ a̰ m a̰
ပဏ္ဍိတ	p à n d ḭ t a̰
ပဏ္ဏာ	p ə n à
ပတ္တမြား	b ə d ə m j á
ပတ္တလား	p a ʔ t a̰ l á
ပတ္ထနာ	p ə tʰ ə n à
ပတ်	p a ʔ
ပတ်စပို့	p a ʔ s ə p o̰
ပတ်တီး	p a ʔ t í
ပတ်ဝန်းကျင်	p a ʔ w ʊ́ ɴ t͡ɕ ɪ̀ ɴ
ပထမ	p a̰ tʰ a̰ m a̰
ပထမဘွဲ့	p a̰ tʰ ə m a̰ b w ɛ̰
ပထဝီဝင်	p ə tʰ ə w ì w ɪ̀ ɴ
ပထွေး	p ə tʰ w é
ပဒုမ	p ə d ṵ m a̰
ပဒုမဘုရား	p ə d ṵ m a̰ pʰ ə j á
ပဒုမုတ္တရ	p ə d ṵ m o ʊ ʔ t ə ɹ a̰
ပဒုမုတ္တရဘုရား	p ə d ṵ m o ʊ ʔ t ə ɹ a̰ pʰ ə j á
ပဒေသရာဇ်	b ə d è θ ə ɹ ɪ ʔ
ပဒေသာ	b ə d è ð à
ပဒေသာပင်	b ə d è ð à b ɪ̀ ɴ
ပနားမား	p a̰ n á m á
ပန်	p à ɴ
ပန်ကာ	p à ɴ k à
ပန်တျာ	p à ɴ t ə j à
ပန်း	p á ɴ
ပန်းကန်	b ə ɡ à ɴ
ပန်းခုနစ်မည်	p á ɴ kʰ ə n ə m j ì
ပန်းချီ	b ə d͡ʑ ì
ပန်းချီဆရာ	b ə d͡ʑ ì sʰ ə j à
ပန်းခြံ	p á ɴ d͡ʑ à ɴ
ပန်းဂေါ်ဖီ	p á ɴ ɡ ɔ̀ b ì
ပန်းစည်း	p á ɴ z í
ပန်းဆယ်မျိုး	p á ɴ sʰ ɛ̀ m j ó
ပန်းတဉ်း	b ə d ɪ́ ɴ
ပန်းတမော့	p á ɴ d ə m ɔ̰
ပန်းတော့	p á ɴ d ɔ̰
ပန်းထိမ်	b ə d è ɪ ɴ
ပန်းနာ	p á ɴ n à
ပန်းနာရင်ကျပ်	p á ɴ n à j ɪ̀ ɴ t͡ɕ a ʔ
ပန်းပု	b ə b ṵ
ပန်းပဲ	b ə b ɛ́
ပန်းပွတ်	b ə b ʊ ʔ
ပန်းမုန်လာ	p á ɴ m ò ʊ ɴ l à
ပန်းမုန်လာစိမ်း	p á ɴ m ò ʊ ɴ l à z é ɪ ɴ
ပန်းမုန်လာဖြူ	p á ɴ m ò ʊ ɴ l à b j ù
ပန်းယွန်း	p á ɴ j ʊ́ ɴ
ပန်းရန်	b ə j à ɴ
ပန်းရွဲ	p á ɴ j w ɛ́
ပန်းသီး	p á ɴ ð í
ပန်းသေရောဂါ	p á ɴ θ è j ɔ́ ɡ à
ပန်းသေး	p á ɴ ð é
ပန်းသေးခေါက်ဆွဲ	p á ɴ θ é kʰ a ʊ ʔ sʰ w ɛ́
ပန်းအိ	p á ɴ ʔ ḭ
ပန်းအိုး	p á ɴ ʔ ó
ပမာဏ	p ə m à n a̰
ပယောဂ	p ə j ɔ́ ɡ a̰
ပယ်ရှား	p ɛ̀ ʃ á
ပရဟိတ	p ə ɹ a̰ h ḭ t a̰
ပရိက္ခရာ	p ə ɹ e ɪ ʔ kʰ ə j à
ပရိဒေဝ	p ə ɹ ḭ d è w a̰
ပရိဘောဂ	p ə ɹ ḭ b ɔ́ ɡ a̰
ပရိယာယ်	p ə ɹ ḭ j è
ပရိသတ်	p ə j e ɪ ʔ θ a ʔ
ပရိုဂရမ်	p ə ɹ ò ɡ ə ɹ à ɴ
ပရိုဂျက်	p ə ɹ ò d͡ʑ ɛ ʔ
ပရုတ်	p ə j o ʊ ʔ
ပလတ်	p ə l a ʔ
ပလတ်စတစ်	p ə l a ʔ s ə t ɪ ʔ
ပလပ်ကြွတ်	p a̰ l a ʔ t͡ɕ ʊ ʔ
ပလပ်စတစ်	p ə l a ʔ s ə t ɪ ʔ
ပလာတာ	p ə l à t à
ပလိပ်	p ə l e ɪ ʔ
ပလူတိုနီယမ်	p ə l ù t ò n ì j à ɴ
ပလောင်	p ə l à ʊ ɴ
ပလ္လင်	p ə l ɪ̀ ɴ
ပလွေ	p a̰ l w è
ပဝရ	p ə w ə ɹ a̰
ပဝါ	p a̰ w à
ပဝေဏီ	p ə w è n ì
ပသီ	p ə θ ì
ပသျှူး	p ə ʃ ú
ပသျှူးရာမ	p ə ʃ ú j à m a̰
ပအို့ဝ်	p ə ʔ o̰
ပါ	p à
ပါကစ္စတန်	p à k ɪ ʔ s ə t à ɴ
ပါဆယ်	p à sʰ ɛ̀
ပါတာနီ	p à t à n ì
ပါတိတ်	p à t e ɪ ʔ
ပါတီ	p à t ì
ပါပူအာနယူးဂီနီ	p à p ù ʔ à n ə j ú ɡ ì n ì
ပါမောက္ခ	p à m a ʊ ʔ kʰ a̰
ပါရဂူဘွဲ့	p à j ə ɡ ù b w ɛ̰
ပါရမီ	p à ɹ ə m ì
ပါရရာ	p à ɹ ə j à
ပါရာဂွေး	p à ɹ à ɡ w é
ပါရီ	p à ɹ ì
ပါရှား	p à ʃ á
ပါလက်စတိုင်း	p à l ɛ ʔ s ə t á ɪ ɴ
ပါလီမန်	p à l ì m à ɴ
ပါဝါ	p à w à
ပါဠိ	p à l ḭ
ပါး	p á
ပါးစပ်	p ə z a ʔ
ပါးဟက်	p ə h ɛ ʔ
ပိ	p ḭ
ပိဋကတ်	b ḭ t ə ɡ a ʔ
ပိဋကတ်တိုက်	b ḭ d ə ɡ a ʔ d a ɪ ʔ
ပိတ်	p e ɪ ʔ
ပိန္နဲ	p é ɪ ɴ n ɛ́
ပိန်းဥ	p é ɪ ɴ ʔ ṵ
ပိရမစ်	p ḭ ɹ ə m ɪ ʔ
ပို	p ò
ပိုက်	p a ɪ ʔ
ပိုက်ဆံ	p a ɪ ʔ sʰ à ɴ
ပိုက်ဆံအိတ်	p a ɪ ʔ sʰ à ɴ ʔ e ɪ ʔ
ပိုက်သမား	p a ɪ ʔ θ ə m á
ပိုင်ရှင်	p à ɪ ɴ ʃ ɪ̀ ɴ
ပိုင်း	p á ɪ ɴ
ပိုစတာ	p ò s ə t à
ပိုတက်ဆီယမ်	p ò t ɛ ʔ sʰ ì j à ɴ
ပိုဒ်	p a ɪ ʔ
ပိုလန်	p ò l à ɴ
ပို့	p o̰
ပို့စကတ်	p o̰ s ə k a ʔ
ပိုး	p ó
ပိုးကြာချည်	p ó t͡ɕ à t͡ɕʰ ì
ပိုးတောင်မာ	p ó d à ʊ ɴ m à
ပိုးလောင်း	p ó l á ʊ ɴ
ပိုးဟပ်	p ó h a ʔ
ပိုးဟပ်ဖြူ	p ó h a ʔ pʰ j ù
ပိဿာ	p e ɪ ʔ θ à
ပီကင်း	p ì k ɪ́ ɴ
ပီကေ	p ì k è
ပီစီ	p ì s ì
ပီဇာ	p ì z à
ပီတိ	p ì t ḭ
ပီပီ	p ì b ì
ပီယဒဿီ	p ì j a̰ d a ʔ θ ì
ပီယဒဿီဘုရား	p ì j a̰ d a ʔ θ ì pʰ ə j á
ပီရူး	p ì ɹ ú
ပီလောပီနံ	p ì l ɔ́ p ì n à ɴ
ပု	p ṵ
ပုခက်	p ə kʰ ɛ ʔ
ပုဂံ	b ə ɡ à ɴ
ပုဂ္ဂလိက	p o ʊ ʔ ɡ ə l ḭ ɡ a̰
ပုဂ္ဂိုလ်	p o ʊ ʔ ɡ ò
ပုစဉ်း	b ə z ɪ́ ɴ
ပုစ္ဆာ	p o ʊ ʔ sʰ à
ပုစွန်	b ə z ʊ̀ ɴ
ပုဆိန်	p ə sʰ è ɪ ɴ
ပုဆိုး	p ə sʰ ó
ပုဏ္ဏမာ	p ò ʊ ɴ n ə m à
ပုဏ္ဏား	p ò ʊ ɴ n á
ပုဏ္ဏားကျွန်း	p ò ʊ ɴ n á d͡ʑ ʊ́ ɴ
ပုတ်သင်ညို	p o ʊ ʔ θ ɪ̀ ɴ ɲ ò
ပုထိုး	p ə tʰ ó
ပုဒ်	p o ʊ ʔ
ပုဒ်ကလေး	p o ʊ ʔ k ə l é
ပုဒ်ကြီး	p o ʊ ʔ d͡ʑ í
ပုဒ်ထီး	p o ʊ ʔ k ə l é
ပုဒ်ဖြတ်	p o ʊ ʔ pʰ j a ʔ
ပုဒ်မ	p o ʊ ʔ m a̰
ပုန်ကန်	p ò ʊ ɴ k à ɴ
ပုန်းရည်ကြီး	p ó ʊ ɴ j è d͡ʑ í
ပုပ်	p o ʊ ʔ
ပုဗ္ဗ	p o ʊ ʔ b a̰
ပုရစ်	p ə j ɪ ʔ
ပုရပိုက်	p ə ɹ ə b a ɪ ʔ
ပုရွက်	p ə j w ɛ ʔ
ပုရွက်ဆိတ်	p ə j w ɛ ʔ sʰ e ɪ ʔ
ပုလင်း	p ə l ɪ́ ɴ
ပုလိပ်	p ə l e ɪ ʔ
ပုလဲ	p ə l ɛ́
ပုသိမ်	p ə θ è ɪ ɴ
ပုံ	p ò ʊ ɴ
ပုံဆွဲ	p ò ʊ ɴ sʰ w ɛ́
ပုံတူ	p ò ʊ ɴ d ù
ပုံတူကား	p ò ʊ ɴ d ù k á
ပုံနှိပ်စက်	p ò ʊ ɴ n̥ e ɪ ʔ s ɛ ʔ
ပုံသေနည်း	p ò ʊ ɴ ð è n í
ပုံး	p ó ʊ ɴ
ပူ	p ù
ပူဇော်	p ù z ɔ̀
ပူတင်း	p ù t ɪ́ ɴ
ပူဒီနာ	p ù s ì n à
ပူရ	p ù ɹ a̰
ပူရီ	p ù j ì
ပေကျင်း	p è t͡ɕ ɪ́ ɴ
ပေါက်စီ	p a ʊ ʔ s ì
ပေါက်တူး	p a ʊ ʔ t ú
ပေါက်ဖော်	p a ʊ ʔ pʰ ɔ̀
ပေါင်	p à ʊ ɴ
ပေါင်မုန့်	p à ʊ ɴ m o̰ ʊ ɴ
ပေါင်းတင်း	p á ʊ ɴ d ɪ́ ɴ
ပေါင်းဖို	p á ʊ ɴ b ò
ပေါ့	p ɔ̰
ပေါ်	b ɔ̀
ပေါ်	p ɔ̀
ပေါ်ဆန်းမွှေး	p ɔ̀ sʰ á ɴ m̥ w é
ပေါ်တူဂီ	p ɔ̀ t ù ɡ ì
ပေါ်လစီ	p ɔ̀ l ə s ì
ပေး	p é
ပဲ	b ɛ́
ပဲ	p ɛ́
ပဲကြီး	p ɛ́ d͡ʑ í
ပဲခူး	b ə ɡ ó
ပဲငံပြာရည်	p ɛ́ ŋ à ɴ b j à j è
ပဲဆီ	p ɛ́ z ì
ပဲနံ့သာ	p ɛ́ n a̰ ɴ θ à
ပဲပင်ပေါက်	p ɛ́ b ɪ̀ ɴ b a ʊ ʔ
ပဲပိုးတီ	p ɛ́ p ó d ì
ပဲမှုန့်	p ɛ́ m̥ o̰ ʊ ɴ
ပဲ့တင်သံ	p ɛ̰ t ɪ̀ ɴ ð à ɴ
ပျစ်	p j ɪ ʔ
ပျဉ်	p j ɪ̀ ɴ
ပျဉ်းကတိုး	p j ɪ́ ɴ ɡ ə d ó
ပျဉ်းတော်သိမ်	p j ɪ́ ɴ d ɔ̀ θ è ɪ ɴ
ပျဉ်းမ	p j ɪ́ ɴ m a̰
ပျပျ	p j a̰ b j a̰
ပျား	p j á
ပျားတူ	b a̰ d ù
ပျားထီး	p j á d í
ပျားရည်	p j á j è
ပျိုး	p j ó
ပျူ	p j ù
ပျော့	p j ɔ̰
ပျော်	p j ɔ̀
ပျော်ပျော်	p j ɔ̀ b j ɔ̀
ပျံ	p j à ɴ
ပျံတော်မူ	p j à ɴ t ɔ̀ m ù
ပြ	p j a̰
ပြက္ခဒိန်	p j ɛ ʔ ɡ ə d è ɪ ɴ
ပြင်	p j ɪ̀ ɴ
ပြင်ပြင်	p j ɪ̀ ɴ b j ɪ̀ ɴ
ပြင်သစ်	p j ɪ̀ ɴ θ ɪ ʔ
ပြင်သည်	p j ɪ̀ ɴ θ ì
ပြင်း	p j ɪ́ ɴ
ပြင်းဟုပ်	p j ɪ́ ɴ h o ʊ ʔ
ပြစ်မှု	p j ɪ ʔ m̥ ṵ
ပြည့်	p j ḛ
ပြည့်တန်ဆာ	p j ḭ d ə z à
ပြည်	p j ì
ပြည်ကြီးငါး	p j ì d͡ʑ í ŋ á
ပြည်ကြီးမွန်	p j ì d͡ʑ í m ʊ̀ ɴ
ပြည်တွင်း	p j ì d w ɪ́ ɴ
ပြည်ထောင်စု	p j ì d à ʊ ɴ z ṵ
ပြည်ထောင်စုတော်လှန်ရေးကောင်စီအဖွဲ့	p j ì d à ʊ ɴ z ṵ t ɔ̀ l̥ à ɴ j é k à ʊ ɴ s ì ʔ ə pʰ w ɛ̰
ပြည်ထောင်စုနေ့	p j ì d à ʊ ɴ z ṵ n ḛ
ပြည်ထောင်စုလွှတ်တော်	p j ì d à ʊ ɴ z ṵ l̥ ʊ ʔ t ɔ̀
ပြည်နယ်	p j ì n ɛ̀
ပြည်သူ	p j ì ð ù
ပြည်သူပိုင်	p j ì ð ù b à ɪ ɴ
ပြည်သူပိုင်သိမ်း	p j ì ð ù b à ɪ ɴ ð é ɪ ɴ
ပြည်သူပြည်သား	p j ì ð ù p j ì ð á
ပြည်သူ့ဆိုင်	p j ì ð ṵ sʰ à ɪ ɴ
ပြည်သူ့လွှတ်တော်	p j ì ð ṵ l̥ ʊ ʔ t ɔ̀
ပြဌာန်း	p j a̰ tʰ á ɴ
ပြတင်းပေါက်	b ə d ɪ́ ɴ b a ʊ ʔ
ပြတိုက်	p j a̰ d a ɪ ʔ
ပြဒါး	b ə d á
ပြဒါးချိန်	b ə d á d͡ʑ è ɪ ɴ
ပြန်	p j à ɴ
ပြန်ကြား	p j à ɴ t͡ɕ á
ပြန်ကြားရေး	p j à ɴ t͡ɕ á j é
ပြန်လှန်	p j à ɴ l̥ à ɴ
ပြပွဲ	p j a̰ b w ɛ́
ပြယုဂ်	p j a̰ j o ʊ ʔ
ပြသ	p j a̰ θ a̰
ပြာ	p j à
ပြာခွက်	p j à ɡ w ɛ ʔ
ပြာဋိဟာ	p j à d ḭ h à
ပြာတာ	p j à t à
ပြာသာဒ်	p j a ʔ θ a ʔ
ပြာသို	p j à ð ò
ပြား	p j á
ပြိတ္တာ	p j e ɪ ʔ t à
ပြိုင်ပွဲ	p j à ɪ ɴ b w é
ပြီ	p j ì
ပြီး	p í
ပြီးတော့	p í d ɔ̰
ပြီးပြီ	p í b ì
ပြု	p j ṵ
ပြုတ်	p j o ʊ ʔ
ပြုပြင်	p j ṵ b j ɪ̀ ɴ
ပြုံယမ်း	p j ò ʊ ɴ j á ɴ
ပြုံး	p j ó ʊ ɴ
ပြော	p j ɔ́
ပြောင်း	p j á ʊ ɴ
ပြောင်းဖူး	p j á ʊ ɴ b ú
ပြောင်းလဲ	p j á ʊ ɴ l ɛ́
ပြေး	p j é
ပြွတ်	p j ʊ ʔ
ပြွန်	p j ʊ̀ ɴ
ပြွမ်း	p j ʊ́ ɴ
ပြဿဒါး	p j a ʔ ð ə d á
ပြဿနာ	p j a ʔ θ ə n à
ပွတ်	p ʊ ʔ
ပွား	p w á
ပွိုင့်	p w a̰ ɪ ɴ
ပွေး	p w é
ပွဲ	p w ɛ́
ပွဲတော်	p w ɛ́ d ɔ̀
ဖက်	pʰ ɛ ʔ
ဖက်ဆစ်ဝါဒ	pʰ ɛ ʔ sʰ ɪ ʔ w à d a̰
ဖက်ရှင်	pʰ ɛ ʔ ʃ ɪ̀ ɴ
ဖက်ဝန်း	pʰ ɛ ʔ w ʊ́ ɴ
ဖခင်	pʰ a̰ ɡ ɪ̀ ɴ
ဖငယ်	pʰ a̰ ŋ ɛ̀
ဖင်	pʰ ɪ̀ ɴ
ဖင်လန်	pʰ ɪ̀ ɴ l à ɴ
ဖင်လျက်	pʰ ɪ̀ ɴ j ɛ ʔ
ဖတ်	pʰ a ʔ
ဖတ်တီး	pʰ a ʔ t í
ဖန်ခါး	pʰ à ɴ ɡ á
ဖန်ခါးသီး	pʰ à ɴ ɡ á ð í
ဖန်တီး	pʰ à ɴ d í
ဖမ်း	pʰ á ɴ
ဖယောင်း	pʰ ə j á ʊ ɴ
ဖယောင်းတိုင်	pʰ ə j á ʊ ɴ d à ɪ ɴ
ဖယ်ဒရေးရှင်း	pʰ ɛ̀ d ə ɹ é ʃ ɪ́ ɴ
ဖရန့်	pʰ ə ɹ a̰ ɴ
ဖရုံ	pʰ ə j ò ʊ ɴ
ဖရုံဆွဲ	pʰ ə j ò ʊ ɴ z w ɛ́
ဖရဲ	pʰ ə j ɛ́
ဖလား	pʰ ə l á
ဖဝါး	pʰ ə w á
ဖဦးထုပ်	pʰ a̰ ʔ ú tʰ o ʊ ʔ
ဖာခေါင်း	pʰ à ɡ á ʊ ɴ
ဖာမ	pʰ à m a̰
ဖာလာ	pʰ à l à
ဖာလာစေ့	pʰ à l à s ḛ
ဖာလူဒါ	pʰ à l ù d à
ဖာသည်မ	pʰ à θ ɛ̀ m a̰
ဖား	pʰ á
ဖားပြုပ်	pʰ ə b j o ʊ ʔ
ဖားလောင်း	pʰ ə l á ʊ ɴ
ဖိတ်	pʰ e ɪ ʔ
ဖိနပ်	pʰ ə n a ʔ
ဖိလစ်ပိုင်	pʰ ḭ l ɪ ʔ p à ɪ ɴ
ဖိအား	pʰ ḭ ʔ á
ဖိုင်	pʰ à ɪ ɴ
ဖို့	pʰ o̰
ဖိုးသူတော်	pʰ ó θ ù d ɔ̀
ဖီဂျီ	pʰ ì d͡ʑ ì
ဖုတ်	pʰ o ʊ ʔ
ဖုန်	pʰ ò ʊ ɴ
ဖုန်စုပ်စက်	pʰ ò ʊ ɴ s o ʊ ʔ s ɛ ʔ
ဖုန်းနံပါတ်	pʰ ó ʊ ɴ n à ɴ b a ʔ
ဖုံး	pʰ ó ʊ ɴ
ဖုဿ	pʰ o ʊ ʔ θ a̰
ဖုဿဘုရား	pʰ o ʊ ʔ θ a̰ pʰ ə j á
ဖူး	b ú
ဖေဖော်ဝါရီ	pʰ è pʰ ɔ̀ w à ɹ ì
ဖေါ်ပြချက်	pʰ ɔ̀ p j a̰ t͡ɕʰ ɛ ʔ
ဖောက်	pʰ a ʊ ʔ
ဖောက်သည်	pʰ a ʊ ʔ θ è
ဖောင်	pʰ à ʊ ɴ
ဖော့ဖျက်	pʰ ɔ̰ b j ɛ ʔ
