ա	ɑ
ընդդեմ	ə n dː ɛ m
ընդդիմություն	ə n dː i m u tʰ j u n
ընդելուզել	ə n d ɛ l u z ɛ l
ընդեղեն	ə n d ɛ ʁ ɛ n
ընդեր	ə n d ɛ ɾ
ընդերք	ə n d ɛ ɾ kʰ
ընդլայնել	ə n d l ɑ j n ɛ l
ընդհանուր	ə n tʰ h ɑ n u ɾ
ընդհանուր	ə n tʰ ɑ n u ɾ
ընդհանրական	ə n tʰ h ɑ n ɾ ɑ k ɑ n
ընդհանրապես	ə n tʰ h ɑ n ɾ ɑ p ɛ s
ընդհանրապես	ə n tʰ ɑ n ɾ ɑ p ɛ s
ընդմիշտ	ə n d m i ʃ t
ընդոծին	ə n d ɔ t͡s i n
ընդոստել	ə n d ɔ s t ɛ l
ընդոստնել	ə n d ɔ s t n ɛ l
ընդունակ	ə n tʰ u n ɑ k
ընդունակություն	ə n tʰ u n ɑ k u tʰ j u n
ընդունել	ə n tʰ u n ɛ l
ընդունելի	ə n tʰ u n ɛ l i
ընդունում	ə n tʰ u n u m
ընդունված	ə n tʰ u n v ɑ t͡s
ընդունվել	ə n tʰ u n v ɛ l
ընդվզում	ə n d v ə z u m
ընդօրինակել	ə n tʰ ɔ ɾ i n ɑ k ɛ l
ընել	ə n ɛ l
ընթադրել	ə n tʰ ɑ d ə ɾ ɛ l
ընթածիր	ə n tʰ ɑ t͡s i ɾ
ընթանալ	ə n tʰ ɑ n ɑ l
ընթաց	ə n tʰ ɑ t͡sʰ
ընթացակարգ	ə n tʰ ɑ t͡sʰ ɑ k ɑ ɾ kʰ
ընթացք	ə n tʰ ɑ t͡sʰ kʰ
ընթացքում	ə n tʰ ɑ t͡sʰ kʰ u m
ընթեռնել	ə n tʰ ɛ r n ɛ l
ընթերցանություն	ə n tʰ ɛ ɾ t͡sʰ ɑ n u tʰ j u n
ընթերցասրահ	ə n tʰ ɛ ɾ t͡sʰ ɑ s ə ɾ ɑ h
ընթերցել	ə n tʰ ɛ ɾ t͡sʰ ɛ l
ընթերցող	ə n tʰ ɛ ɾ t͡sʰ ɔ ʁ
ընթերցողուհի	ə n tʰ ɛ ɾ t͡sʰ ɔ ʁ u h i
ընթերցում	ə n tʰ ɛ ɾ t͡sʰ u m
ընթրիք	ə n tʰ ɾ i kʰ
ընծա	ə n t͡s ɑ
ընկալուչ	ə ŋ k ɑ l u t͡ʃʰ
ընկեր	ə ŋ k ɛ ɾ
ընկերություն	ə ŋ k ɛ ɾ u tʰ j u n
ընկերուհի	ə ŋ k ɛ ɾ u h i
ընկերք	ə ŋ k ɛ ɾ kʰ
ընկեցիկ	ə ŋ k ɛ t͡sʰ i k
ընկղմել	ə ŋ k ʁ m ɛ l
ընկճախտ	ə ŋ k ə t͡ʃ ɑ χ t
ընկճել	ə ŋ k ə t͡ʃ ɛ l
ընկճվել	ə ŋ k ə t͡ʃ v ɛ l
ընկնավորություն	ə ŋ k n ɑ v ɔ ɾ u tʰ j u n
ընկնել	ə ŋ k n ɛ l
ընկուզենի	ə ŋ k u z ɛ n i
ընկույզ	ə ŋ k u j z
ընկույզկոտրիչ	ə ŋ k u j z k ɔ t ɾ i t͡ʃʰ
ընձառյուծ	ə n d͡z ɑ r j u t͡s
ընձուղտ	ə n d͡z u χ t
ընտանեական	ə n t ɑ n j ɑ k ɑ n
ընտանեկան	ə n t ɑ n ɛ k ɑ n
ընտանի	ə n t ɑ n i
ընտանիք	ə n t ɑ n i kʰ
ընտիր	ə n t i ɾ
ընտրական	ə n t ɾ ɑ k ɑ n
ընտրակաշառք	ə n t ɾ ɑ k ɑ ʃ ɑ r kʰ
ընտրակեղծարար	ə n t ɾ ɑ k ɛ χ t͡s ɑ ɾ ɑ ɾ
ընտրել	ə n t ɾ ɛ l
ընտրյալ	ə n t ɾ j ɑ l
ընտրող	ə n t ɾ ɔ ʁ
ընտրություն	ə n t ɾ u tʰ j u n
ընտրվել	ə n t ə ɾ v ɛ l
թ	tʰ ə
թաբախ	tʰ ɑ b ɑ χ
թագ	tʰ ɑ ɡ
թագաժահր	tʰ ɑ ɡ ɑ ʒ ɑ h ə ɾ
թագավարակ	tʰ ɑ ɡ ɑ v ɑ ɾ ɑ k
թագավոր	tʰ ɑ kʰ ɑ v ɔ ɾ
թագավորություն	tʰ ɑ ɡ ɑ v ɔ ɾ u tʰ j u n
թագուհի	tʰ ɑ kʰ u h i
թագվոր	tʰ ɑ kʰ v ɔ ɾ
թադեւոսյան	tʰ ɑ tʰ ɛ v ɔ s j ɑ n
թազա	tʰ ɑ z ɑ
թաթ	tʰ ɑ tʰ
թաթավել	tʰ ɑ tʰ ɑ v ɛ l
թաթավուչ	tʰ ɑ tʰ ɑ v u t͡ʃʰ
թաթար	tʰ ɑ tʰ ɑ ɾ
թաթարերեն	tʰ ɑ tʰ ɑ ɾ ɛ ɾ ɛ n
թաթարստան	tʰ ɑ tʰ ɑ ɾ s t ɑ n
թաթերական	tʰ ɑ tʰ ɛ ɾ ɑ k ɑ n
թաթման	tʰ ɑ tʰ m ɑ n
թաթուլ	tʰ ɑ tʰ u l
թաթպան	tʰ ɑ tʰ p ɑ n
թաի	tʰ ɑ i
թաիլանդ	tʰ ɑ j l ɑ n d
թալան	tʰ ɑ l ɑ n
թալանչի	tʰ ɑ l ɑ n t͡ʃʰ i
թալես	tʰ ɑ l ɛ s
թալիբ	tʰ ɑ l i b
թալիբան	tʰ ɑ l i b ɑ n
թալիշ	tʰ ɑ l i ʃ
թալիշագիտություն	tʰ ɑ l i ʃ ɑ ɡ i t u tʰ j u n
թալիշերեն	tʰ ɑ l i ʃ ɛ ɾ ɛ n
թալմուդ	tʰ ɑ l m u d
թախանձել	tʰ ɑ χ ɑ n d͡z ɛ l
թախտ	tʰ ɑ χ t
թախտաջյան	tʰ ɑ χ t ɑ d͡ʒ j ɑ n
թակ	tʰ ɑ k
թակաղ	tʰ ɑ k ɑ ʁ
թակարդ	tʰ ɑ k ɑ ɾ d
թակոց	tʰ ɑ k ɔ t͡sʰ
թակույկ	tʰ ɑ k u j k
թահաթ	tʰ ɑ h ɑ tʰ
թաղ	tʰ ɑ ʁ
թաղանթ	tʰ ɑ ʁ ɑ n tʰ
թաղապետ	tʰ ɑ ʁ ɑ p ɛ t
թաղել	tʰ ɑ ʁ ɛ l
թաղիք	tʰ ɑ ʁ i kʰ
թաղում	tʰ ɑ ʁ u m
թամադա	tʰ ɑ m ɑ d ɑ
թամաշա	tʰ ɑ m ɑ ʃ ɑ
թամբ	tʰ ɑ m b
թամիլերեն	tʰ ɑ m i l ɛ ɾ ɛ n
թամիլնադ	tʰ ɑ m i l n ɑ d
թայբեյ	tʰ ɑ j b ɛ j
թայմիր	tʰ ɑ j m i ɾ
թայվան	tʰ ɑ j v ɑ n
թայֆա	tʰ ɑ j f ɑ
թայֆուն	tʰ ɑ j f u n
թանալ	tʰ ɑ n ɑ l
թանաք	tʰ ɑ n ɑ kʰ
թանաքաձուկ	tʰ ɑ n ɑ kʰ ɑ d͡z u k
թանաքաման	tʰ ɑ n ɑ kʰ ɑ m ɑ n
թանգարան	tʰ ɑ ŋ ɡ ɑ ɾ ɑ n
թանկ	tʰ ɑ ŋ k
թանկարժեք	tʰ ɑ ŋ k ɑ ɾ ʒ ɛ kʰ
թանձր	tʰ ɑ n d͡z ə ɾ
թանչ	tʰ ɑ n t͡ʃʰ
թանջարա	tʰ ɑ n d͡ʒ ɑ ɾ ɑ
թաշկինակ	tʰ ɑ ʃ k i n ɑ k
թառ	tʰ ɑ r
թառամ	tʰ ɑ r ɑ m
թառամել	tʰ ɑ r ɑ m ɛ l
թառափ	tʰ ɑ r ɑ pʰ
թառել	tʰ ɑ r ɛ l
թաս	tʰ ɑ s
թավա	tʰ ɑ v ɑ
թավալ	tʰ ɑ v ɑ l
թավալվել	tʰ ɑ v ɑ l v ɛ l
թավիշ	tʰ ɑ v i ʃ
թավշյա	tʰ ɑ f ʃ j ɑ
թավուտ	tʰ ɑ v u t
թավջութակ	tʰ ɑ v d͡ʒ u tʰ ɑ k
թավրիզ	tʰ ɑ v ɾ i z
թատերական	tʰ ɑ t ɛ ɾ ɑ k ɑ n
թատրոն	tʰ ɑ t ɾ ɔ n
թարախ	tʰ ɑ ɾ ɑ χ
թարամա	tʰ ɑ ɾ ɑ m ɑ
թարգման	tʰ ɑ ɾ kʰ m ɑ n
թարգմանել	tʰ ɑ ɾ kʰ m ɑ n ɛ l
թարգմանիչ	tʰ ɑ ɾ kʰ m ɑ n i t͡ʃʰ
թարգմանություն	tʰ ɑ ɾ kʰ m ɑ n u tʰ j u n
թարթ	tʰ ɑ ɾ tʰ
թարթառ	tʰ ɑ ɾ tʰ ɑ r
թարթել	tʰ ɑ ɾ tʰ ɛ l
թարթիչ	tʰ ɑ ɾ tʰ i t͡ʃʰ
թարխան	tʰ ɑ ɾ χ ɑ n
թարխանա	tʰ ɑ ɾ χ ɑ n ɑ
թարխանյան	tʰ ɑ ɾ χ ɑ n j ɑ n
թարխանություն	tʰ ɑ ɾ χ ɑ n u tʰ j u n
թարխուն	tʰ ɑ ɾ χ u n
թարմ	tʰ ɑ ɾ m
թարմանալ	tʰ ɑ ɾ m ɑ n ɑ l
թարմացնել	tʰ ɑ ɾ m ɑ t͡sʰ n ɛ l
թարշամ	tʰ ɑ ɾ ʃ ɑ m
թարշամել	tʰ ɑ ɾ ʃ ɑ m ɛ l
թարփ	tʰ ɑ ɾ pʰ
թաց	tʰ ɑ t͡sʰ
թացություն	tʰ ɑ t͡sʰ u tʰ j u n
թափ	tʰ ɑ pʰ
թափանցիկ	tʰ ɑ pʰ ɑ n t͡sʰ i k
թափանցիկություն	tʰ ɑ pʰ ɑ n t͡sʰ i k u tʰ j u n
թափել	tʰ ɑ pʰ ɛ l
թափոր	tʰ ɑ pʰ ɔ ɾ
թափուր	tʰ ɑ pʰ u ɾ
թափվել	tʰ ɑ pʰ v ɛ l
թափք	tʰ ɑ pʰ kʰ
թաք	tʰ ɑ kʰ
թաքթաքուր	tʰ ɑ kʰ tʰ ɑ kʰ u ɾ
թաքնվել	tʰ ɑ kʰ n ə v ɛ l
թաքուստ	tʰ ɑ kʰ u s t
թաքչել	tʰ ɑ kʰ t͡ʃʰ ɛ l
թաքցնել	tʰ ɑ kʰ t͡sʰ ə n ɛ l
թբիլիսի	tʰ ə b i l i s i
թե	tʰ ɛ
թեբե	tʰ ɛ b ɛ
թեեւ	tʰ ɛ j ɛ v
թեզ	tʰ ɛ z
թեզան	tʰ ɛ z ɑ n
թեզանիք	tʰ ɛ z ɑ n i kʰ
թեզաուրուս	tʰ ɛ z ɑ u ɾ u s
թեզնիք	tʰ ɛ z n i kʰ
թեթեւ	tʰ ɛ tʰ ɛ v
թեթեւաշարժ	tʰ ɛ tʰ ɛ v ɑ ʃ ɑ ɾ ʒ
թեժ	tʰ ɛ ʒ
թել	tʰ ɛ l
թելադրիչ	tʰ ɛ l ɑ d ɾ i t͡ʃʰ
թելավ	tʰ ɛ l ɑ v
թելավի	tʰ ɛ l ɑ v i
թելեֆոն	tʰ ɛ l ɛ f ɔ n
թեկնածու	tʰ ɛ k n ɑ t͡s u
թեկուզ	tʰ ɛ k u z
թեկուզեւ	tʰ ɛ k u z ɛ v
թեհրան	tʰ ɛ h ɾ ɑ n
թեղի	tʰ ɛ ʁ i
թեղոշ	tʰ ɛ ʁ ɔ ʃ
թեմ	tʰ ɛ m
թեմա	tʰ ɛ m ɑ
թեմզա	tʰ ɛ m z ɑ
թեյ	tʰ ɛ j
թեյարան	tʰ ɛ j ɑ ɾ ɑ n
թեյնիկ	tʰ ɛ j n i k
թեն	tʰ ɛ n
թենեդոս	tʰ ɛ n ɛ d ɔ s
թենիս	tʰ ɛ n i s
թենիսիստ	tʰ ɛ n i s i s t
թենիսիստուհի	tʰ ɛ n i s i s t u h i
թեշի	tʰ ɛ ʃ i
թեշիկ	tʰ ɛ ʃ i k
թեոգնիդես	tʰ ɛ ɔ ɡ n i d ɛ s
թեոդոսիա	tʰ ɛ ɔ d ɔ s j ɑ
թեոկրատական	tʰ ɛ ɔ k ɾ ɑ t ɑ k ɑ n
թեոկրատիա	tʰ ɛ ɔ k ɾ ɑ t j ɑ
թեոսոֆիա	tʰ ɛ ɔ s ɔ f j ɑ
թեոսոֆիական	tʰ ɛ ɔ s ɔ f j ɑ k ɑ n
թեորեմ	tʰ ɛ ɔ ɾ ɛ m
թեորիապես	tʰ ɛ ɔ ɾ j ɑ p ɛ s
թեպետ	tʰ ɛ p ɛ t
թեսալիա	tʰ ɛ s ɑ l j ɑ
թեսեւս	tʰ ɛ s ɛ f s
թեր	tʰ ɛ ɾ
թերագնահատել	tʰ ɛ ɾ ɑ ɡ ə n ɑ h ɑ t ɛ l
թերագնահատում	tʰ ɛ ɾ ɑ ɡ ə n ɑ h ɑ t u m
թերակղզի	tʰ ɛ ɾ ɑ k ə ʁ z i
թերահավատ	tʰ ɛ ɾ ɑ h ɑ v ɑ t
թերասնում	tʰ ɛ ɾ ɑ s ə n u m
թերթ	tʰ ɛ ɾ tʰ
թերթիկ	tʰ ɛ ɾ tʰ i k
թերթոն	tʰ ɛ ɾ tʰ ɔ n
թերի	tʰ ɛ ɾ i
թերմոպիլե	tʰ ɛ ɾ m ɔ p i l ɛ
թերմոստատ	tʰ ɛ ɾ m ɔ s t ɑ t
թերություն	tʰ ɛ ɾ u tʰ j u n
թեւ	tʰ ɛ v
թեւճակ	tʰ ɛ f t͡ʃ ɑ k
թեւք	tʰ ɛ f kʰ
թեւքաճարմանդ	tʰ ɛ f kʰ ɑ t͡ʃ ɑ ɾ m ɑ n d
թեփ	tʰ ɛ pʰ
թեփամողես	tʰ ɛ pʰ ɑ m ɔ ʁ ɛ s
թեփուկ	tʰ ɛ pʰ u k
թեք	tʰ ɛ kʰ
թեքել	tʰ ɛ kʰ ɛ l
թեքում	tʰ ɛ kʰ u m
թեքսաս	tʰ ɛ kʰ s ɑ s
թեքվել	tʰ ɛ kʰ v ɛ l
թզբեխ	tʰ ə z b ɛ χ
թզենի	tʰ ə z ɛ n i
թզուկ	tʰ ə z u k
թթենի	tʰ ə tʰ ɛ n i
թթի	tʰ ə tʰ i
թթխմոր	tʰ ə tʰ χ ə m ɔ ɾ
թթու	tʰ ə tʰ u
թթուջուր	tʰ ə tʰ u d͡ʒ u ɾ
թթված	tʰ ə tʰ v ɑ t͡s
թթվածին	tʰ ə tʰ v ɑ t͡s i n
թթվաշ	tʰ ə tʰ v ɑ ʃ
թթվասեր	tʰ ə tʰ v ɑ s ɛ ɾ
թթվել	tʰ ə tʰ v ɛ l
թթվություն	tʰ ə tʰ v u tʰ j u n
թի	tʰ i
թիակ	tʰ i j ɑ k
թիզ	tʰ i z
թիթեղ	tʰ i tʰ ɛ ʁ
թիթեռ	tʰ i tʰ ɛ r
թիթեռնակ	tʰ i tʰ ɛ r n ɑ k
թիթեռնիկ	tʰ i tʰ ɛ r n i k
թիկնապահ	tʰ i k n ɑ p ɑ h
թիկնեղ	tʰ i k n ɛ ʁ
թիկունք	tʰ i k u ŋ kʰ
թիմ	tʰ i m
թիմային	tʰ i m ɑ j i n
թինեյջեր	tʰ i n ɛ j d͡ʒ ɛ ɾ
թիռ	tʰ i r
թիս	tʰ i s
թիվ	tʰ i v
թիրախ	tʰ i ɾ ɑ χ
թիրախային	tʰ i ɾ ɑ χ ɑ j i n
թիքա	tʰ i kʰ ɑ
թիֆլիս	tʰ i f l i s
թլիփ	tʰ ə l i pʰ
թլվատ	tʰ ə l v ɑ t
թլվատել	tʰ ə l v ɑ t ɛ l
թլփատ	tʰ ə l pʰ ɑ t
թլփատել	tʰ ə l pʰ ɑ t ɛ l
թլփատություն	tʰ ə l pʰ ɑ t u tʰ j u n
թխել	tʰ ə χ ɛ l
թխկի	tʰ ə χ k i
թխուկ	tʰ ə χ u k
թխվածք	tʰ ə χ v ɑ t͡s kʰ
թհիմփհու	tʰ h i m pʰ h u
թղթադրամ	tʰ ə χ tʰ ɑ d ə ɾ ɑ m
թղթախաղ	tʰ ə χ tʰ ɑ χ ɑ ʁ
թղթապանակ	tʰ ə χ tʰ ɑ p ɑ n ɑ k
թմբլիկ	tʰ ə m b ə l i k
թմբկահար	tʰ ə m b k ɑ h ɑ ɾ
թմբուկ	tʰ ə m b u k
թմրամիջոց	tʰ ə m ɾ ɑ m i t͡ʃʰ ɔ t͡sʰ
թմրամոլություն	tʰ ə m ɾ ɑ m ɔ l u tʰ j u n
թմփլիկ	tʰ ə m pʰ ə l i k
թյուրիմացություն	tʰ j u ɾ i m ɑ t͡sʰ u tʰ j u n
թյուրինգիա	tʰ j u ɾ i ŋ ɡ j ɑ
թնդալ	tʰ ə n d ɑ l
թնդանոթ	tʰ ə n d ɑ n ɔ tʰ
թնդյուն	tʰ ə n d j u n
թշնամի	tʰ ə ʃ n ɑ m i
թշնամություն	tʰ ə ʃ n ɑ m u tʰ j u n
թշվառ	tʰ ə ʃ v ɑ r
թո	tʰ ɔ
թոզ	tʰ ɔ z
թոթով	tʰ ɔ tʰ ɔ v
թոթովել	tʰ ɔ tʰ ɔ v ɛ l
թոթվել	tʰ ɔ tʰ v ɛ l
թոխար	tʰ ɔ χ ɑ ɾ
թոխարական	tʰ ɔ χ ɑ ɾ ɑ k ɑ n
թոխոր	tʰ ɔ χ ɔ ɾ
թոխում	tʰ ɔ χ u m
թող	tʰ ɔ ʁ
թողարկել	tʰ ɔ ʁ ɑ ɾ k ɛ l
թողել	tʰ ɔ ʁ ɛ l
թողնել	tʰ ɔ ʁ n ɛ l
թողոն	tʰ ɔ ʁ ɔ n
թողություն	tʰ ɔ ʁ u tʰ j u n
թոմաս	tʰ ɔ m ɑ s
թոմասյան	tʰ ɔ m ɑ s j ɑ n
թոնիր	tʰ ɔ n i ɾ
թոշակ	tʰ ɔ ʃ ɑ k
թոշակառու	tʰ ɔ ʃ ɑ k ɑ r u
թոռ	tʰ ɔ r
թոռնիկ	tʰ ɔ r n i k
թոռոմ	tʰ ɔ r ɔ m
թոռոմել	tʰ ɔ r ɔ m ɛ l
թովել	tʰ ɔ v ɛ l
թովիչ	tʰ ɔ v i t͡ʃʰ
թովմաս	tʰ ɔ v m ɑ s
թովմասյան	tʰ ɔ v m ɑ s j ɑ n
թովչանք	tʰ ɔ f t͡ʃʰ ɑ ŋ kʰ
թովք	tʰ ɔ f kʰ
թորգոմ	tʰ ɔ ɾ ɡ ɔ m
թորիծ	tʰ ɔ ɾ i t͡s
թորշոմ	tʰ ɔ ɾ ʃ ɔ m
թորշոմել	tʰ ɔ ɾ ʃ ɔ m ɛ l
թորոս	tʰ ɔ ɾ ɔ s
թորոսյան	tʰ ɔ ɾ ɔ s j ɑ n
թուզ	tʰ u z
թութ	tʰ u tʰ
թութակ	tʰ u tʰ ɑ k
թութուն	tʰ u tʰ u n
թութունջյան	tʰ u tʰ u n d͡ʒ j ɑ n
թութք	tʰ u tʰ kʰ
թուլ	tʰ u l
թուլա	tʰ u l ɑ
թուլաբանջար	tʰ u l ɑ b ɑ n d͡ʒ ɑ ɾ
թուլաբարո	tʰ u l ɑ b ɑ ɾ ɔ
թուլաբարոյություն	tʰ u l ɑ b ɑ ɾ ɔ j u tʰ j u n
թուլաբերանություն	tʰ u l ɑ b ɛ ɾ ɑ n u tʰ j u n
թուլաբնություն	tʰ u l ɑ b ə n u tʰ j u n
թուլանալ	tʰ u l ɑ n ɑ l
թուխ	tʰ u χ
թուխպ	tʰ u χ p
թուխս	tʰ u χ s
թուկիդիդես	tʰ u k i d i d ɛ s
թուղթ	tʰ u χ tʰ
թումբ	tʰ u m b
թույլ	tʰ u j l
թույլատրել	tʰ u j l ɑ t ɾ ɛ l
թույլտվություն	tʰ u j l t v u tʰ j u n
թույն	tʰ u j n
թուն	tʰ u n
թունավորել	tʰ u n ɑ v ɔ ɾ ɛ l
թունդ	tʰ u n d
թունել	tʰ u n ɛ l
թունելային	tʰ u n ɛ l ɑ j i n
թունիս	tʰ u n i s
թուշ	tʰ u ʃ
թուռշի	tʰ u r ʃ i
թուր	tʰ u ɾ
թուրին	tʰ u ɾ i n
թուրինջ	tʰ u ɾ i n d͡ʒ
թուրծ	tʰ u ɾ t͡s
թուրմ	tʰ u ɾ m
թուրշի	tʰ u ɾ ʃ i
թուրջ	tʰ u ɾ t͡ʃʰ
թուրք	tʰ u ɾ kʰ
թուրքեստան	tʰ u ɾ kʰ ɛ s t ɑ n
թուրքերեն	tʰ u ɾ kʰ ɛ ɾ ɛ n
թուրքիա	tʰ u ɾ kʰ j ɑ
թուրքմեն	tʰ u ɾ kʰ m ɛ n
թուրքմենական	tʰ u ɾ kʰ m ɛ n ɑ k ɑ n
թուրքմեներեն	tʰ u ɾ kʰ m ɛ n ɛ ɾ ɛ n
թուրքմենստան	tʰ u ɾ kʰ m ɛ n s t ɑ n
թուփ	tʰ u pʰ
թուք	tʰ u kʰ
թոփ	tʰ ɔ pʰ
թոփիկ	tʰ ɔ pʰ i k
թոք	tʰ ɔ kʰ
թոքաբորբ	tʰ ɔ kʰ ɑ b ɔ ɾ b
թոքախտ	tʰ ɔ kʰ ɑ χ t
թոքային	tʰ ɔ kʰ ɑ j i n
թռիչք	tʰ ə r i t͡ʃʰ kʰ
թռնել	tʰ ə r n ɛ l
թռչել	tʰ ə r t͡ʃʰ ɛ l
թռչնագրիպ	tʰ ə r t͡ʃʰ n ɑ ɡ ə ɾ i p
թռչող	tʰ ə r t͡ʃʰ ɔ ʁ
թռչուն	tʰ ə r t͡ʃʰ u n
թսել	tʰ ə s ɛ l
թվաբան	tʰ ə v ɑ b ɑ n
թվաբանական	tʰ ə v ɑ b ɑ n ɑ k ɑ n
թվաբանություն	tʰ ə v ɑ b ɑ n u tʰ j u n
թվական	tʰ ə v ɑ k ɑ n
թվահմայություն	tʰ ə v ɑ h ə m ɑ j u tʰ j u n
թվանշան	tʰ ə v ɑ n ə ʃ ɑ n
թվանք	tʰ ə v ɑ ŋ kʰ
թվարկել	tʰ ə v ɑ ɾ k ɛ l
թվի	tʰ ə v i
թվիթեր	tʰ v i tʰ ɛ ɾ
թվիստ	tʰ v i s t
թրակիա	tʰ ə ɾ ɑ k j ɑ
թրամփ	tʰ ə ɾ ɑ m pʰ
թրաշ	tʰ ə ɾ ɑ ʃ
թրաշել	tʰ ə ɾ ɑ ʃ ɛ l
թրաշվել	tʰ ə ɾ ɑ ʃ v ɛ l
թրել	tʰ ə ɾ ɛ l
թրեյլեր	tʰ ɾ ɛ j l ɛ ɾ
թրեւ	tʰ ə ɾ ɛ v
թրթնջուկ	tʰ ə ɾ tʰ ə n d͡ʒ u k
թրթուր	tʰ ə ɾ tʰ u ɾ
թրիք	tʰ ə ɾ i kʰ
թրծել	tʰ ə ɾ t͡s ɛ l
թրմել	tʰ ə ɾ m ɛ l
թրջել	tʰ ə ɾ t͡ʃʰ ɛ l
թրքուհի	tʰ ə ɾ kʰ u h i
թքել	tʰ ə kʰ ɛ l
ժ	ʒ ə
ժաժ	ʒ ɑ ʒ
ժաժիկ	ʒ ɑ ʒ i k
ժախ	ʒ ɑ χ
ժահր	ʒ ɑ h ə ɾ
ժամ	ʒ ɑ m
ժամագործ	ʒ ɑ m ɑ ɡ ɔ ɾ t͡s
ժամադրություն	ʒ ɑ m ɑ d ɾ u tʰ j u n
ժամահար	ʒ ɑ m ɑ h ɑ ɾ
ժաման	ʒ ɑ m ɑ n
ժամանակ	ʒ ɑ m ɑ n ɑ k
ժամանակագիր	ʒ ɑ m ɑ n ɑ k ɑ ɡ i ɾ
ժամանակագրություն	ʒ ɑ m ɑ n ɑ k ɑ ɡ ɾ u tʰ j u n
ժամանակակից	ʒ ɑ m ɑ n ɑ k ɑ k i t͡sʰ
ժամանակաշրջան	ʒ ɑ m ɑ n ɑ k ɑ ʃ ə ɾ d͡ʒ ɑ n
ժամանակավոր	ʒ ɑ m ɑ n ɑ k ɑ v ɔ ɾ
ժամանակավորապես	ʒ ɑ m ɑ n ɑ k ɑ v ɔ ɾ ɑ p ɛ s
ժամանակացույց	ʒ ɑ m ɑ n ɑ k ɑ t͡sʰ u j t͡sʰ
ժամանակի	ʒ ɑ m ɑ n ɑ k i
ժամանել	ʒ ɑ m ɑ n ɛ l
ժամանում	ʒ ɑ m ɑ n u m
ժամանց	ʒ ɑ m ɑ n t͡sʰ
ժամացույց	ʒ ɑ m ɑ t͡sʰ u j t͡sʰ
ժամկետ	ʒ ɑ m k ɛ t
ժամկոչ	ʒ ɑ m k ɔ t͡ʃʰ
ժամկոչյան	ʒ ɑ m k ɔ t͡ʃʰ j ɑ n
ժամհար	ʒ ɑ m h ɑ ɾ
ժամու	ʒ ɑ m u
ժայթքում	ʒ ɑ j tʰ kʰ u m
ժայռ	ʒ ɑ j r
ժանգ	ʒ ɑ ŋ ɡ
ժանգալ	ʒ ɑ ŋ ɡ ɑ l
ժանգառ	ʒ ɑ ŋ ɡ ɑ r
ժանգոտ	ʒ ɑ ŋ ɡ ɔ t
ժանի	ʒ ɑ n i
ժանիք	ʒ ɑ n i kʰ
ժանյակ	ʒ ɑ n j ɑ k
ժանտ	ʒ ɑ n t
ժանտաթզենի	ʒ ɑ n t ɑ tʰ ə z ɛ n i
ժանտախտ	ʒ ɑ n t ɑ χ t
ժանտափուշ	ʒ ɑ n t ɑ pʰ u ʃ
ժանտաքիս	ʒ ɑ n t ɑ kʰ i s
ժանր	ʒ ɑ n ə ɾ
ժապավեն	ʒ ɑ p ɑ v ɛ n
ժառանգ	ʒ ɑ r ɑ ŋ ɡ
ժառանգել	ʒ ɑ r ɑ ŋ ɡ ɛ l
ժառանգորդ	ʒ ɑ r ɑ ŋ ɡ ɔ ɾ tʰ
ժառանգություն	ʒ ɑ r ɑ ŋ ɡ u tʰ j u n
ժարգոն	ʒ ɑ ɾ ɡ ɔ n
ժե	ʒ ɛ
ժենգյալ	ʒ ɛ ŋ ɡ j ɑ l
ժընեւ	ʒ ə n ɛ v
ժիր	ʒ i ɾ
ժիրայր	ʒ i ɾ ɑ j ɾ
ժլատ	ʒ ə l ɑ t
ժխտական	ʒ ə χ t ɑ k ɑ n
ժխտել	ʒ ə χ t ɛ l
ժնեւ	ʒ n ɛ v
ժնեւ	ʒ ə n ɛ v
ժոխ	ʒ ɔ χ
ժողով	ʒ ɔ ʁ ɔ v
ժողովածու	ʒ ɔ ʁ ɔ v ɑ t͡s u
ժողովուրդ	ʒ ɔ ʁ ɔ v u ɾ tʰ
ժողովրդագրություն	ʒ ɔ ʁ ɔ v ə ɾ tʰ ɑ ɡ ɾ u tʰ j u n
ժողովրդական	ʒ ɔ ʁ ɔ v ə ɾ tʰ ɑ k ɑ n
ժողովրդավարական	ʒ ɔ ʁ ɔ v ə ɾ tʰ ɑ v ɑ ɾ ɑ k ɑ n
ժողովրդավարություն	ʒ ɔ ʁ ɔ v ə ɾ tʰ ɑ v ɑ ɾ u tʰ j u n
ժոստկի	ʒ ɔ s t k i
ժուժկալ	ʒ u ʒ k ɑ l
ժուռ	ʒ u r
ժուռնալ	ʒ u r n ɑ l
ժուռնալիստ	ʒ u r n ɑ l i s t
ժպիտ	ʒ ə p i t
ժպիրհ	ʒ ə p i ɾ h
ժպտալ	ʒ ə p t ɑ l
ի	i
իբիկոս	i b i k ɔ s
իբո	i b ɔ
իբր	i pʰ ə ɾ
իգական	i kʰ ɑ k ɑ n
իգնատիոս	i ɡ n ɑ t i ɔ s
իդեալիզմ	i d ɛ ɑ l i z m
իդիշ	i d i ʃ
իդո	i d ɔ
իզաֆետ	i z ɑ f ɛ t
իզմիր	i z m i ɾ
իզոգլոս	i z ɔ ɡ l ɔ s
իզոտոպ	i z ɔ t ɔ p
իթակե	i tʰ ɑ k ɛ
