ँ	ə̃
छुपाना	t͡ʃʰ ʊ p äː n̪ äː
छुरा	t͡ʃʰ ʊ ɾ äː
छूटना	t͡ʃʰ uː ʈ n̪ äː
छूना	t͡ʃʰ uː n̪ äː
छेड़छाड़	t͡ʃʰ eː ɽ t͡ʃʰ äː ɽ
छेदना	t͡ʃʰ eː d̪̚ n̪ äː
छेना	t͡ʃʰ eː n̪ äː
छोग्याल	t͡ʃʰ oː ɡ j äː l̪
छोटा	t͡ʃʰ oː ʈ äː
छोड़ना	t͡ʃʰ oː ɽ n̪ äː
छोरा	t͡ʃʰ oː ɾ äː
छोला	t͡ʃʰ oː l̪ äː
छोले	t͡ʃʰ oː l̪ eː
छौंक	t͡ʃʰ ɔ̃ː ŋ k
जँभाई	d͡ʒ ə̃ m bʱ äː iː
जंग	d͡ʒ ə̃ ŋ ɡ
जंगजू	d͡ʒ ə̃ ŋ ɡ d͡ʒ uː
जंगम	d͡ʒ ə̃ ŋ ɡ ə̃ m
जंगल	d͡ʒ ə̃ ŋ ɡ ə l̪
जंगी	d͡ʒ ə̃ ŋ ɡ iː
जंतर	d͡ʒ ə̃ n̪ t̪ ə ɾ
जंभ	d͡ʒ ə̃ m bʱ
जकार्ता	d͡ʒ ə k äː ɾ t̪ äː
जगमगाना	d͡ʒ ə ɡ m ə ɡ äː n̪ äː
जगह	d͡ʒ ə ɡ äː
जगाना	d͡ʒ ə ɡ äː n̪ äː
जज़ा	d͡ʒ ə d͡ʒ äː
जज़ा	d͡ʒ ə z äː
जज़ीरा	d͡ʒ ə d͡ʒ iː ɾ äː
जज़ीरा	d͡ʒ ə z iː ɾ äː
जज़्बात	d͡ʒ ə d͡ʒ b äː t̪
जज़्बात	d͡ʒ ə z b äː t̪
जज्बा	d͡ʒ ə d͡ʒ b äː
जज्बा	d͡ʒ ə z b äː
जटा	d͡ʒ ə ʈ äː
जटिल	d͡ʒ ə ʈ ɪ l̪
जड़त्व	d͡ʒ ə ɽ ə t̪ wᵊ
जताना	d͡ʒ ə t̪ äː n̪ äː
जन	d͡ʒ ə̃ n̪
जनक	d͡ʒ ə n̪ ə k
जनकपुर	d͡ʒ ə n̪ ə k p ʊ ɾ
जनजाति	d͡ʒ ə̃ n̪ d͡ʒ äː t̪ iː
जनतंत्र	d͡ʒ ə̃ n̪ t̪ ə̃ n̪ t̪ ɾᵊ
जनता	d͡ʒ ə̃ n̪ t̪ äː
जनना	d͡ʒ ə̃ n̪ n̪ äː
जननी	d͡ʒ ə̃ n̪ n̪ iː
जनपद	d͡ʒ ə̃ n̪ p ə d̪
जनप्रतिनिधि	d͡ʒ ə̃ n̪ p ɾ ə t̪ ɪ n̪ ɪ d̪ʱ iː
जनप्रतिनिधित्व	d͡ʒ ə̃ n̪ p ɾ ə t̪ ɪ n̪ ɪ d̪ʱ ɪ t̪ wᵊ
जनभाषा	d͡ʒ ə̃ n̪ bʱ äː ʃ äː
जनमतसंग्रह	d͡ʒ ə̃ n̪ m ə t̪ s̪ ə̃ ŋ ɡ ɾ ə ɦ
जनरल	d͡ʒ ə̃ n̪ ɾ ə l̪
जनवरी	d͡ʒ ə̃ n̪ w ə ɾ iː
जनवादी	d͡ʒ ə̃ n̪ w äː d̪ iː
जनसंख्या	d͡ʒ ə̃ n̪ s̪ ə̃ ŋ kʰ j äː
जनसांख्यिकी	d͡ʒ ə̃ n̪ s̪ ä̃ː kʰ j ɪ k iː
जनसेवक	d͡ʒ ə̃ n̪ s̪ eː ʋ ə k
जनाज़ा	d͡ʒ ə n̪ äː d͡ʒ äː
जनाज़ा	d͡ʒ ə n̪ äː z äː
जनाधार	d͡ʒ ə n̪ äː d̪ʱ äː ɾ
जनाब	d͡ʒ ə n̪ äː b
जनूब	d͡ʒ ə n̪ uː b
जनूबी	d͡ʒ ə n̪ uː b iː
जनेऊ	d͡ʒ ə n̪ eː uː
जन्नत	d͡ʒ ə̃ n̪ n̪ ə t̪
जन्म	d͡ʒ ə̃ n̪ mᵊ
जन्मदिन	d͡ʒ ə n̪ ə̃ m d̪ ɪ̃ n̪
जन्मदिन	d͡ʒ ə̃ n̪ m d̪ ɪ̃ n̪
जन्मना	d͡ʒ ə̃ n̪ m n̪ äː
जन्मभूमि	d͡ʒ ə̃ n̪ mᵊ bʱ uː m iː
जपना	d͡ʒ ə p n̪ äː
जबड़ा	d͡ʒ ə b ɽ äː
जबलपुर	d͡ʒ ə b ə l̪ p ʊ ɾ
जमना	d͡ʒ ə̃ m n̪ äː
जमवाना	d͡ʒ ə̃ m w äː n̪ äː
जमशेदपुर	d͡ʒ ə̃ m ʃ eː d̪ p ʊ ɾ
जमाअत	d͡ʒ ə m äː ə t̪
जमाई	d͡ʒ ə m äː iː
जमाकर्ता	d͡ʒ ə m äː k ə ɾ t̪ äː
जमाख़ोरी	d͡ʒ ə m äː kʰ oː ɾ iː
जमाख़ोरी	d͡ʒ ə m äː x oː ɾ iː
जमात	d͡ʒ ə m äː t̪
जमाना	d͡ʒ ə m äː n̪ äː
जमाना	z ə m äː n̪ äː
जमाव	d͡ʒ ə m äː ʋ
जमीन	d͡ʒ ə m ĩː n̪
जमीन	z ə m ĩː n̪
जमैका	d͡ʒ ə m ɛː k äː
जम्मू	d͡ʒ ə̃ m m uː
जम्हूरियत	d͡ʒ ə̃ m ɦ uː ɾ i j ə t̪
जयकार	d͡ʒ ə j k äː ɾ
जर्मन	d͡ʒ ə ɾ m ə̃ n̪
जर्मनी	d͡ʒ ə ɾ m ə n̪ iː
जर्राह	d͡ʒ ə ɾ ɾ äː ɦ
जल	d͡ʒ ə l̪
जलचालित	d͡ʒ ə l̪ t͡ʃ äː l̪ ɪ t̪
जलज	d͡ʒ ə l̪ ə d͡ʒ
जलजनित	d͡ʒ ə l̪ d͡ʒ ə n̪ ɪ t̪
जलजमाव	d͡ʒ ə l̪ d͡ʒ ə m äː ʋ
जलना	d͡ʒ ə l̪ n̪ äː
जलपान	d͡ʒ ə l̪ p ä̃ː n̪
जलमार्ग	d͡ʒ ə l̪ m äː ɾ ɡ
जलवा	d͡ʒ ə l̪ ʋ äː
जलसा	d͡ʒ ə l̪ s̪ äː
जलसिंह	d͡ʒ ə l̪ s̪ ɪ̃ ɦ
जलाऊ	d͡ʒ ə l̪ äː uː
जलाना	d͡ʒ ə l̪ äː n̪ äː
जलारेख	d͡ʒ ə l̪ äː ɾ eː kʰ
जलाल	d͡ʒ ə l̪ äː l̪
जलालाबाद	d͡ʒ ə l̪ äː l̪ äː b äː d̪
जलाशय	d͡ʒ ə l̪ äː ʃ ə j
जलित	d͡ʒ ə l̪ ɪ t̪
जलीय	d͡ʒ ə l̪ iː jᵊ
जलेबी	d͡ʒ ə l̪ eː b iː
जल्द	d͡ʒ ə l̪ d̪
जल्दबाज़ी	d͡ʒ ə l̪ d̪ b äː d͡ʒ iː
जल्दबाज़ी	d͡ʒ ə l̪ d̪ b äː z iː
जल्दी	d͡ʒ ə l̪ d̪ iː
जल्लाद	d͡ʒ ə l̪ l̪ äː d̪
जवा	d͡ʒ ə ʋ äː
जवान	d͡ʒ ə ʋ ä̃ː n̪
जवानी	d͡ʒ ə ʋ äː n̪ iː
जवाब	d͡ʒ ə ʋ äː b
जवार	d͡ʒ ə ʋ äː ɾ
जवारी	d͡ʒ ə ʋ äː ɾ iː
जशन	d͡ʒ ə ʃ ə̃ n̪
जस्ता	d͡ʒ ə s̪ t̪ äː
जहन्नम	d͡ʒ ɛ ɦ ɛ̃ n̪ n̪ ə̃ m
जहन्नुम	d͡ʒ ɛ ɦ ɛ̃ n̪ n̪ ʊ̃ m
जहर	d͡ʒ ɛ ɦ ɛ ɾ
जहर	z ɛ ɦ ɛ ɾ
जहाँगीर	d͡ʒ ə ɦ ä̃ː ŋ ɡ iː ɾ
जहाज	d͡ʒ ə ɦ äː d͡ʒ
जहाज	d͡ʒ ə ɦ äː z
जहाज़	d͡ʒ ə ɦ äː d͡ʒ
जहाज़	d͡ʒ ə ɦ äː z
जहान	d͡ʒ ə ɦ ä̃ː n̪
ज़ंजीर	d͡ʒ ə̃ n̪ d͡ʒ iː ɾ
ज़ंजीर	z ə̃ n̪ d͡ʒ iː ɾ
ज़कात	d͡ʒ ə k äː t̪
ज़कात	z ə k äː t̪
ज़ख़ीरा	d͡ʒ ə kʰ iː ɾ äː
ज़ख़ीरा	z ə x iː ɾ äː
ज़नाना	d͡ʒ ə n̪ äː n̪ äː
ज़नाना	z ə n̪ äː n̪ äː
ज़बान	d͡ʒ ə b ä̃ː n̪
ज़बान	z ə b ä̃ː n̪
ज़बानी	d͡ʒ ə b äː n̪ iː
ज़बानी	z ə b äː n̪ iː
ज़मानत	d͡ʒ ə m äː n̪ ə t̪
ज़मानत	z ə m äː n̪ ə t̪
ज़माना	d͡ʒ ə m äː n̪ äː
ज़माना	z ə m äː n̪ äː
ज़मीन	d͡ʒ ə m ĩː n̪
ज़मीन	z ə m ĩː n̪
ज़मीनी	d͡ʒ ə m iː n̪ iː
ज़मीनी	z ə m iː n̪ iː
ज़रिया	d͡ʒ ə ɾ i j äː
ज़रिया	z ə ɾ i j äː
ज़र्रा	d͡ʒ ə ɾ ɾ äː
ज़र्रा	z ə ɾ ɾ äː
ज़लज़ला	d͡ʒ ə l̪ d͡ʒ ə l̪ äː
ज़लज़ला	z ə l̪ z ə l̪ äː
ज़हर	d͡ʒ ɛ ɦ ɛ ɾ
ज़हर	z ɛ ɦ ɛ ɾ
ज़हरीला	d͡ʒ ɛ ɦ ɾ iː l̪ äː
ज़हरीला	z ɛ ɦ ɾ iː l̪ äː
ज़हरीली	d͡ʒ ɛ ɦ ɾ iː l̪ iː
ज़हरीली	z ɛ ɦ ɾ iː l̪ iː
ज़ात	d͡ʒ äː t̪
ज़ात	z äː t̪
ज़ायक़ा	d͡ʒ äː j k äː
ज़ायक़ा	z äː j q äː
ज़ाया	d͡ʒ äː j äː
ज़ाया	z äː j äː
ज़ालिम	d͡ʒ äː l̪ ɪ̃ m
ज़ालिम	z äː l̪ ɪ̃ m
ज़ाहिर	d͡ʒ äː ɦ ɪ ɾ
ज़ाहिर	z äː ɦ ɪ ɾ
ज़िंदगी	d͡ʒ ɪ̃ n̪ d̪ ə ɡ iː
ज़िंदगी	z ɪ̃ n̪ d̪ ə ɡ iː
ज़िंदा	d͡ʒ ɪ̃ n̪ d̪ äː
ज़िंदा	z ɪ̃ n̪ d̪ äː
ज़िंदाबाद	d͡ʒ ɪ̃ n̪ d̪ äː b äː d̪
ज़िंदाबाद	z ɪ̃ n̪ d̪ äː b äː d̪
ज़िंबाब्वे	d͡ʒ ɪ̃ m b äː b w eː
ज़िंबाब्वे	z ɪ̃ m b äː b w eː
ज़िन्दगी	d͡ʒ ɪ̃ n̪ d̪ ə ɡ iː
ज़िन्दगी	z ɪ̃ n̪ d̪ ə ɡ iː
ज़िम्बाब्वे	d͡ʒ ɪ̃ m b äː b w eː
ज़िम्बाब्वे	z ɪ̃ m b äː b w eː
ज़िला	d͡ʒ ɪ l̪ äː
ज़िला	z ɪ l̪ äː
ज़िलाधीश	d͡ʒ ɪ l̪ äː d̪ʱ iː ʃ
ज़िलाधीश	z ɪ l̪ äː d̪ʱ iː ʃ
ज़ीना	d͡ʒ iː n̪ äː
ज़ीना	z iː n̪ äː
ज़ीरा	d͡ʒ iː ɾ äː
ज़ीरा	z iː ɾ äː
ज़ुकाम	d͡ʒ ʊ k ä̃ː m
ज़ुकाम	z ʊ k ä̃ː m
ज़ुल्फ़	d͡ʒ ʊ l̪ pʰ
ज़ुल्फ़	z ʊ l̪ f
ज़ुल्म	d͡ʒ ʊ l̪ m
ज़ुल्म	z ʊ l̪ m
ज़ेहन	d͡ʒ ɛ ɦ ɛ̃ n̪
ज़ेहन	z ɛ ɦ ɛ̃ n̪
ज़ैतून	d͡ʒ ɛː t̪ ũː n̪
ज़ैतून	z ɛː t̪ ũː n̪
ज़ोरदार	d͡ʒ oː ɾ d̪ äː ɾ
ज़ोरदार	z oː ɾ d̪ äː ɾ
ज़्यादती	d͡ʒ j äː d̪ ə t̪ iː
ज़्यादती	z j äː d̪ ə t̪ iː
ज़्यादातर	d͡ʒ j äː d̪ äː t̪ ə ɾ
ज़्यादातर	z j äː d̪ äː t̪ ə ɾ
जा	d͡ʒ äː
जाँघ	d͡ʒ ä̃ː ŋ ɡʱ
जाँघिया	d͡ʒ ä̃ː ŋ ɡʱ i j äː
जाँच	d͡ʒ ä̃ː t͡ʃ
जाँचना	d͡ʒ ä̃ː t͡ʃ n̪ äː
जाँबाज़	d͡ʒ ä̃ː m b äː d͡ʒ
जाँबाज़	d͡ʒ ä̃ː m b äː z
जांघ	d͡ʒ ä̃ː ŋ ɡʱ
जाएगा	d͡ʒ äː eː ɡ äː
जागना	d͡ʒ äː ɡ n̪ äː
जागरूकता	d͡ʒ äː ɡ ɾ uː k t̪ äː
जाट	d͡ʒ äː ʈ
जाड़ा	d͡ʒ äː ɽ äː
जाति	d͡ʒ äː t̪ iː
जातिगत	d͡ʒ äː t̪ ɪ ɡ ə t̪
जातिवाद	d͡ʒ äː t̪ ɪ ʋ äː d̪
जातिवादी	d͡ʒ äː t̪ iː ʋ äː d̪ iː
जातीय	d͡ʒ äː t̪ iː jᵊ
जादू	d͡ʒ äː d̪ uː
जादूगर	d͡ʒ äː d̪ uː ɡ ə ɾ
जादूगरनी	d͡ʒ äː d̪ uː ɡ ə ɾ n̪ iː
जान	d͡ʒ ä̃ː n̪
जानकार	d͡ʒ ä̃ː n̪ k äː ɾ
जानकारी	d͡ʒ ä̃ː n̪ k äː ɾ iː
जानना	d͡ʒ ä̃ː n̪ n̪ äː
जानबूझकर	d͡ʒ ä̃ː n̪ b uː d͡ʒʱ k ə ɾ
जानलेवा	d͡ʒ ä̃ː n̪ l̪ eː ʋ äː
जानवर	d͡ʒ ä̃ː n̪ w ə ɾ
जानवरो	d͡ʒ ä̃ː n̪ w ə ɾ oː
जानवरों	d͡ʒ ä̃ː n̪ w ə ɾ õː
जाना	d͡ʒ äː n̪ äː
जानी	d͡ʒ äː n̪ iː
जापान	d͡ʒ äː p ä̃ː n̪
जापानी	d͡ʒ äː p äː n̪ iː
जाम	d͡ʒ ä̃ː m
जामन	d͡ʒ äː m ə̃ n̪
जामनी	d͡ʒ ä̃ː m n̪ iː
जामाता	d͡ʒ äː m äː t̪ äː
जामुन	d͡ʒ äː m ʊ̃ n̪
जायज़	d͡ʒ äː j ə d͡ʒ
जायज़	d͡ʒ äː j ə z
जायज़ा	d͡ʒ äː j d͡ʒ äː
जायज़ा	d͡ʒ äː j z äː
जायदाद	d͡ʒ äː j d̪ äː d̪
जायफल	d͡ʒ äː j pʰ ə l̪
जारक	d͡ʒ äː ɾ ə k
जारी	d͡ʒ äː ɾ iː
जाल	d͡ʒ äː l̪
जालपृष्ठ	d͡ʒ äː l̪ p ɾ ɪ ʂ ʈʰ
जाला	d͡ʒ äː l̪ äː
जावा	d͡ʒ äː ʋ äː
जावित्री	d͡ʒ äː ʋ ɪ t̪ ɾ iː
जासूस	d͡ʒ äː s̪ uː s̪
जासूसी	d͡ʒ äː s̪ uː s̪ iː
जाहिल	d͡ʒ äː ɦ ɪ l̪
जिंस	d͡ʒ ɪ̃ n̪ s̪
जिजीविषा	d͡ʒ ɪ d͡ʒ iː ʋ ɪ ʃ äː
जिज्ञासा	d͡ʒ ɪ ɡ j äː s̪ äː
जितना	d͡ʒ ɪ t̪̚ n̪ äː
जिताना	d͡ʒ ɪ t̪ äː n̪ äː
जिन	d͡ʒ ɪ̃ n̪
जिनका	d͡ʒ ɪ̃ n̪ k äː
जिना	d͡ʒ ɪ n̪ äː
जिना	z ɪ n̪ äː
जिन्न	d͡ʒ ɪ̃ n̪ n̪ᵊ
जिन्हें	d͡ʒ ɪ̃ n̪ ɦ ẽː
जिन्होंने	d͡ʒ ɪ̃ n̪ ɦ õː n̪ n̪ eː
जिमीकंद	d͡ʒ ɪ m iː k ə̃ n̪ d̪
जियरा	d͡ʒ ɪ j ɾ äː
जिल्द	d͡ʒ ɪ l̪ d̪
जिस	d͡ʒ ɪ s̪
जिसका	d͡ʒ ɪ s̪ k äː
जिसको	d͡ʒ ɪ s̪ k oː
जिसने	d͡ʒ ɪ s̪ n̪ eː
जिसमें	d͡ʒ ɪ s̪ m ẽː
जिससे	d͡ʒ ɪ s̪ s̪ eː
जिसे	d͡ʒ ɪ s̪ eː
जीजा	d͡ʒ iː d͡ʒ äː
जीतना	d͡ʒ iː t̪̚ n̪ äː
जीन	d͡ʒ ĩː n̪
जीना	d͡ʒ iː n̪ äː
जीरा	d͡ʒ iː ɾ äː
जीवन	d͡ʒ iː ʋ ə̃ n̪
जीवनी	d͡ʒ iː ʋ n̪ iː
जीवाश्म	d͡ʒ iː ʋ äː ʃ mᵊ
जुआ	d͡ʒ ʊ äː
जुआरी	d͡ʒ ʊ äː ɾ iː
जुगनू	d͡ʒ ʊ ɡ n̪ uː
जुगलबंदी	d͡ʒ ʊ ɡ ə l̪ b ə̃ n̪ d̪ iː
जुटाना	d͡ʒ ʊ ʈ äː n̪ äː
जुड़ना	d͡ʒ ʊ ɽ n̪ äː
जुड़वाँ	d͡ʒ ʊ ɽ ʋ ä̃ː
जुताई	d͡ʒ ʊ t̪ äː iː
जुदा	d͡ʒ ʊ d̪ äː
जुदाई	d͡ʒ ʊ d̪ äː iː
जुनहार	d͡ʒ ʊ̃ n̪ ɦ äː ɾ
जुनून	d͡ʒ ʊ n̪ ũː n̪
जुन्हाई	d͡ʒ ʊ̃ n̪ ɦ äː iː
जुमला	d͡ʒ ʊ̃ m l̪ äː
जुमा	d͡ʒ ʊ m äː
जुमेरात	d͡ʒ ʊ m eː ɾ äː t̪
जुर्माना	d͡ʒ ʊ ɾ m äː n̪ äː
जुलना	d͡ʒ ʊ l̪ n̪ äː
जुलाई	d͡ʒ ʊ l̪ äː iː
जुलूस	d͡ʒ ʊ l̪ uː s̪
जुस्तजू	d͡ʒ ʊ s̪ t̪ ə d͡ʒ uː
जूझना	d͡ʒ uː d͡ʒʱ n̪ äː
जूड़ा	d͡ʒ uː ɽ äː
जूता	d͡ʒ uː t̪ äː
जून	d͡ʒ ũː n̪
जूलाई	d͡ʒ uː l̪ äː iː
जेठानी	d͡ʒ eː ʈʰ äː n̪ iː
जेद्दा	d͡ʒ eː d̪̚ d̪ äː
जेल	d͡ʒ eː l̪
जैकबाबाद	d͡ʒ ɛː k b äː b äː d̪
जैगुआर	d͡ʒ ɛː ɡ ʊ äː ɾ
जैतून	d͡ʒ ɛː t̪ ũː n̪
जैतून	z ɛː t̪ ũː n̪
जैसा	d͡ʒ ɛː s̪ äː
जॉर्जिया	d͡ʒ ɔ ɾ d͡ʒ i j äː
जॉर्डन	d͡ʒ ɔ ɾ ɖ ə̃ n̪
जोंक	d͡ʒ õː ŋ k
जोखना	d͡ʒ oː kʰ n̪ äː
जोखिम	d͡ʒ oː kʰ ɪ̃ m
जोड़ना	d͡ʒ oː ɽ n̪ äː
जोतना	d͡ʒ oː t̪̚ n̪ äː
जोबन	d͡ʒ oː b ə̃ n̪
जोरदार	d͡ʒ oː ɾ d̪ äː ɾ
जोरदार	z oː ɾ d̪ äː ɾ
जोर्जिया	d͡ʒ oː ɾ d͡ʒ i j äː
जोशीला	d͡ʒ oː ʃ iː l̪ äː
जोहना	d͡ʒ oː ɦ n̪ äː
जोहानसबर्ग	d͡ʒ oː ɦ äː n̪ ə s̪ b ə ɾ ɡ
ज्ञात	ɡ j äː t̪
ज्ञाता	ɡ j äː t̪ äː
ज्ञातृत्व	ɡ j äː t̪ ɾ ɪ t̪ wᵊ
ज्ञान	ɡ j ä̃ː n̪
ज्ञानकोष	ɡ j ä̃ː n̪ k oː ʃ
ज्ञानमीमांसा	ɡ j ä̃ː n̪ m iː m ä̃ː n̪ s̪ äː
ज्ञानवर्धन	ɡ j ä̃ː n̪ w ə ɾ d̪ʱ ə̃ n̪
ज्ञानी	ɡ j äː n̪ iː
ज्यादा	d͡ʒ j äː d̪ äː
ज्यादा	z j äː d̪ äː
ज्योतिरिंगण	d͡ʒ j oː t̪ ɪ ɾ ɪ̃ ŋ ɡ ə̃ ɳ
ज्योतिष	d͡ʒ j oː t̪ ɪ ʃ
ज्वार	d͡ʒ ʋ äː ɾ
ज्वालामुखी	d͡ʒ ʋ äː l̪ äː m ʊ kʰ iː
झंझट	d͡ʒʱ ə̃ n̪ d͡ʒʱ ə ʈ
झंडा	d͡ʒʱ ə̃ ɳ ɖ äː
झक्कड़	d͡ʒʱ ə k̚ k ə ɽ
झगड़ना	d͡ʒʱ ə ɡ ə ɽ n̪ äː
झगड़ा	d͡ʒʱ ə ɡ ɽ äː
झगड़ालू	d͡ʒʱ ə ɡ ɽ äː l̪ uː
झटका	d͡ʒʱ ə ʈ k äː
झनझन	d͡ʒʱ ə̃ n̪ d͡ʒʱ ə̃ n̪
झमेला	d͡ʒʱ ə m eː l̪ äː
झरना	d͡ʒʱ ə ɾ n̪ äː
झरोखा	d͡ʒʱ ə ɾ oː kʰ äː
झलना	d͡ʒʱ ə l̪ n̪ äː
झा	d͡ʒʱ äː
झाँसी	d͡ʒʱ ä̃ː s̪ iː
झाग	d͡ʒʱ äː ɡ
झाड़	d͡ʒʱ äː ɽ
झाड़ी	d͡ʒʱ äː ɽ iː
झाड़ू	d͡ʒʱ äː ɽ uː
झापड़	d͡ʒʱ äː p ə ɽ
झामुमो	d͡ʒʱ äː m ʊ m oː
झारखंड	d͡ʒʱ äː ɾ kʰ ə̃ ɳ ɖ
झारखण्ड	d͡ʒʱ äː ɾ kʰ ə̃ ɳ ɖ
झालर	d͡ʒʱ äː l̪ ə ɾ
झिझकना	d͡ʒʱ ɪ d͡ʒʱ ə k n̪ äː
झींगा	d͡ʒʱ ĩː ŋ ɡ äː
झील	d͡ʒʱ iː l̪
झुकना	d͡ʒʱ ʊ k n̪ äː
झुकाव	d͡ʒʱ ʊ k äː ʋ
झुठलाना	d͡ʒʱ ʊ ʈʰ l̪ äː n̪ äː
झुमका	d͡ʒʱ ʊ̃ m k äː
झुर्रियाँ	d͡ʒʱ ʊ ɾ ɾ i j ä̃ː
झुलसना	d͡ʒʱ ʊ l̪ ə s̪ n̪ äː
झूठा	d͡ʒʱ uː ʈʰ äː
झूम	d͡ʒʱ ũː m
झूलना	d͡ʒʱ uː l̪ n̪ äː
झेलना	d͡ʒʱ eː l̪ n̪ äː
झोंकना	d͡ʒʱ õː ŋ k n̪ äː
झोंका	d͡ʒʱ õː ŋ k äː
झोंपड़ा	d͡ʒʱ õː m p ɽ äː
झोली	d͡ʒʱ oː l̪ iː
टँगना	ʈ ə̃ ŋ ɡ n̪ äː
टंकक	ʈ ə̃ ŋ k ə k
टंकण	ʈ ə̃ ŋ k ə̃ ɳ
टकराना	ʈ ə k ɾ äː n̪ äː
टकराव	ʈ ə k ɾ äː ʋ
टक्कर	ʈ ə k̚ k ə ɾ
टखना	ʈ ə kʰ n̪ äː
टटोलना	ʈ ə ʈ oː l̪ n̪ äː
टट्टी	ʈ ə ʈ̚ ʈ iː
टनेल	ʈ ə n̪ eː l̪
टपकना	ʈ ə p ə k n̪ äː
टमटम	ʈ ə̃ m ʈ ə̃ m
टर्मिनल	ʈ ə ɾ m ɪ n̪ ə l̪
टलना	ʈ ə l̪ n̪ äː
टहलना	ʈ ɛ ɦ ɛ l̪ n̪ äː
टाँग	ʈ ä̃ː ŋ ɡ
टाँगना	ʈ ä̃ː ŋ ɡ n̪ äː
टांकण	ʈ ä̃ː k ə̃ ɳ
टांग	ʈ ä̃ː ŋ ɡ
टापना	ʈ äː p n̪ äː
टापू	ʈ äː p uː
टिंडा	ʈ ɪ̃ ɳ ɖ äː
टिंडिश	ʈ ɪ̃ ɳ ɖ ɪ ʃ
टिकना	ʈ ɪ k n̪ äː
टिकाऊ	ʈ ɪ k äː uː
टिकाऊपन	ʈ ɪ k äː uː p ə̃ n̪
टिक्का	ʈ ɪ k̚ k äː
टिड्डा	ʈ ɪ ɖ̚ ɖ äː
टिड्डी	ʈ ɪ ɖ̚ ɖ iː
टिण्डा	ʈ ɪ̃ ɳ ɖ äː
टिप्पणी	ʈ ɪ p̚ p ə ɳ iː
टिमटिमाना	ʈ ɪ̃ m ʈ ɪ m äː n̪ äː
टीका	ʈ iː k äː
टीकाकरण	ʈ iː k äː k ə ɾ ə̃ ɳ
टीम	ʈ ĩː m
टीस	ʈ iː s̪
टुकड़ा	ʈ ʊ k ɽ äː
टूटना	ʈ uː ʈ n̪ äː
टूथपेस्ट	ʈ uː t̪ʰ p eː s̪ ʈ
टूर्नामेंट	ʈ uː ɾ n̪ äː m ẽː ɳ ʈ
टेकना	ʈ eː k n̪ äː
टेढ़ा	ʈ eː ɽʱ äː
टेढ़ापन	ʈ eː ɽʱ äː p ə̃ n̪
टेबल	ʈ eː b ə l̪
टेलिफ़ोन	ʈ eː l̪ ɪ f õː n̪
टेलिफ़ोन	ʈ eː l̪ ɪ pʰ õː n̪
टेलिफोन	ʈ eː l̪ ɪ f õː n̪
टेलिफोन	ʈ eː l̪ ɪ pʰ õː n̪
टेलिविजन	ʈ eː l̪ ɪ ʋ ɪ d͡ʒ ə̃ n̪
टेलिविजन	ʈ eː l̪ ɪ ʋ ɪ z ə̃ n̪
टेलिविज़न	ʈ eː l̪ ɪ ʋ ɪ d͡ʒ ə̃ n̪
टेलिविज़न	ʈ eː l̪ ɪ ʋ ɪ z ə̃ n̪
टेलीफ़ोन	ʈ eː l̪ iː f õː n̪
टेलीफ़ोन	ʈ eː l̪ iː pʰ õː n̪
टेलीफोन	ʈ eː l̪ iː f õː n̪
टेलीफोन	ʈ eː l̪ iː pʰ õː n̪
टेलीविज़न	ʈ eː l̪ iː ʋ ɪ d͡ʒ ə̃ n̪
टेलीविज़न	ʈ eː l̪ iː ʋ ɪ z ə̃ n̪
टैंकर	ʈ ɛ̃ː ŋ k ə ɾ
टैक्स	ʈ ɛː k s̪
टैक्सी	ʈ ɛː k s̪ iː
टोकना	ʈ oː k n̪ äː
टोकरा	ʈ oː k ɾ äː
टोना	ʈ oː n̪ äː
टोरंटो	ʈ oː ɾ ə̃ ɳ ʈ oː
टोली	ʈ oː l̪ iː
टोस्ट	ʈ oː s̪ ʈ
ट्यूनिशिया	ʈ j uː n̪ ɪ ʃ i j äː
ट्रंप	ʈ ɾ ə̃ m p
ट्राइटियम	ʈ ɾ äː ɪ ʈ i j ə̃ m
ट्रेन	ʈ ɾ ẽː n̪
ट्वीट	ʈ w iː ʈ
ठंड	ʈʰ ə̃ ɳ ɖ
ठंडक	ʈʰ ə̃ ɳ ɖ ə k
ठंडा	ʈʰ ə̃ ɳ ɖ äː
ठकुराई	ʈʰ ə k ʊ ɾ äː iː
ठठेरा	ʈʰ ə ʈʰ eː ɾ äː
ठपना	ʈʰ ə p n̪ äː
ठहरना	ʈʰ ɛ ɦ ɛ ɾ n̪ äː
ठहराना	ʈʰ ɛ ɦ ɾ äː n̪ äː
ठहराव	ʈʰ ɛ ɦ ɾ äː ʋ
ठहाका	ʈʰ ə ɦ äː k äː
ठाणे	ʈʰ äː ɳ eː
ठिंगना	ʈʰ ɪ̃ ŋ ɡ n̪ äː
ठिकाना	ʈʰ ɪ k äː n̪ äː
ठिठुरना	ʈʰ ɪ ʈʰ ʊ ɾ n̪ äː
ठुकराना	ʈʰ ʊ k ɾ äː n̪ äː
ठुमकना	ʈʰ ʊ m ə k n̪ äː
ठूँसना	ʈʰ ũː s̪ n̪ äː
ठेंगा	ʈʰ ẽː ŋ ɡ äː
ठेका	ʈʰ eː k äː
ठेकुआ	ʈʰ eː k ʊ äː
ठेकेदार	ʈʰ eː k eː d̪ äː ɾ
ठेलना	ʈʰ eː l̪ n̪ äː
