ء	ʔ
قانون	q ɑː n uː n
قانون	q ɒː n uː n
قانون	q ɔː n u n
قانون	ɣ ɒː n uː n
قانونی	q ɑː n uː n iː
قانونی	q ɒː n uː n iː
قانونی	q ɔː n u n iː
قانونی	ɣ ɒː n uː n iː
قاچاق	q ɑː t͡ʃ ɑː q
قاچاق	q ɒː t͡ʃ ɒː q
قاچاق	q ɔː t͡ʃ ɔː q
قاچاق	ɣ ɒː t͡ʃ ɒː ɣ
قایق	ɢ ɒː j e ɣ
قبر	q a b ɾ
قبر	ɣ æ b ɾ
قبرستان	q a b ɾ i s t ɑː n
قبرستان	q a b ɾ i s t ɔː n
قبرستان	q a b ɾ ɪ s t ɒː n
قبرستان	ɣ æ b ɾ e s t ɒː n
قبض	ɢ æ b z
قبلا	q a b l a n
قبلا	ɣ æ b l æ n
قبول	q a b u l
قبول	q a b uː l
قبول	ɣ æ b uː l
قدرت	q u d ɾ a t
قدرت	q ʊ d ɾ a t
قدرت	ɣ o d ɾ æ t
قدمت	q i d m a t
قدمت	q ɪ d m a t
قدمت	ɣ e d m æ t
قدیمی	q a d i m iː
قدیمی	q a d iː m iː
قدیمی	ɣ æ d iː m iː
قرآن	q u ɾ ʔ ɑː n
قرآن	q u ɾ ʔ ɔː n
قرآن	q ʊ ɾ ʔ ɒː n
قرآن	ɣ o ɾ ʔ ɒː n
قرار	q a ɾ ɑː ɾ
قرار	q a ɾ ɒː ɾ
قرار	q a ɾ ɔː ɾ
قرار	ɣ æ ɾ ɒː ɾ
قربک	q o ɾ b æ k
قرغیزستان	q ɪ ɾ ɣ iː z ɪ s t ɒː n
قرمز	q i ɾ m i z
قرمز	q ɪ ɾ m ɪ z
قرمز	ɣ e ɾ m e z
قرمزی	q i ɾ m i z iː
قرمزی	q ɪ ɾ m ɪ z iː
قرمزی	ɣ e ɾ m e z iː
قرن	q a ɾ n
قرن	ɣ æ ɾ n
قرنفل	q a ɾ a n f u l
قرنفل	q a ɾ a n f ʊ l
قرنفل	ɣ æ ɾ æ n f o l
قزاق	q æ z z ɒː q
قزوین	q a z v i n
قزوین	q a z v iː n
قزوین	q a z w iː n
قزوین	ɣ æ z v iː n
قسطنطنیه	q u s t a n t a n i j j a
قسطنطنیه	q ʊ s t a n t a n i j j a
قسطنطنیه	ɣ o s t æ n t æ n i j j e
قسم	q a s a m
قسم	q i s m
قسم	q ɪ s m
قسم	ɣ e s m
قسم	ɣ æ s æ m
قسمت	q i s m a t
قسمت	q ɪ s m a t
قسمت	ɣ e s m æ t
قشنگ	ɢ e ʃ æ ŋ ɡ
قشنگ	ɢ æ ʃ æ ŋ ɡ
قشنگی	q æ ʃ æ n ɡ iː
قصد	q a s d
قصد	ɣ æ s d
قصه	q i s s a
قصه	q ɪ s s a
قصه	ɣ e s s e
قفس	q a f a s
قفس	ɣ æ f æ s
قفسه	ɢ æ f æ s e
قفل	q u f l
قفل	q ʊ f l
قفل	ɣ o f l
ققنس	ˑq a q n u s ~ q u q n u s
ققنس	ˑq a q n ʊ s ~ q ʊ q n ʊ s
ققنس	ˑɣ æ ɣ n o s ~ ɣ o ɣ n o s
ققنوس	ˑq a q n u s ~ q u q n u s
ققنوس	ˑq a q n uː s ~ q u q n uː s
ققنوس	ˑq a q n uː s ~ q ʊ q n uː s
ققنوس	ˑɣ æ ɣ n uː s ~ ɣ o ɣ n uː s
قلاوز	q u l ɑː v u z
قلاوز	q u l ɔː v u z
قلاوز	q ʊ l ɒː w ʊ z
قلاوز	ɣ o l ɒː v o z
قلاووز	q u l ɑː v uː z
قلاووز	q u l ɔː v u z
قلاووز	q ʊ l ɒː w uː z
قلاووز	ɣ o l ɒː v uː z
قلب	q a l b
قلب	ɣ æ l b
قلبی	q a l b iː
قلبی	ɣ æ l b iː
قلعه	q a l ʔ a
قلعه	ɣ æ l ʔ e
قلم	q a l a m
قلم	ɣ æ l æ m
قلمدان	q a l a m d ɑː n
قلمدان	q a l a m d ɒː n
قلمدان	q a l a m d ɔː n
قلمدان	ɣ æ l æ m d ɒː n
قلیان	q a l j ɑː n
قلیان	q a l j ɒː n
قلیان	q a l j ɔː n
قلیان	ɣ æ l j ɒː n
قمر	q a m a ɾ
قمر	ɣ æ m æ ɾ
قند	q æ n d
قندهار	q a n d a h ɑː ɾ
قندهار	q a n d a h ɒː ɾ
قندهار	q a n d a h ɔː ɾ
قندهار	ɣ æ n d æ h ɒː ɾ
قندوز	q o n d uː z
قندوز	ɢ o n d uː z
قهرمان	q a h ɾ a m ɑː n
قهرمان	q a h ɾ a m ɒː n
قهرمان	q a h ɾ a m ɔː n
قهرمان	ɣ æ h ɾ e m ɒː n
قهوه	q a h v a
قهوه	q a h w a
قهوه	ɣ æ h v e
قهوه‌ای	q a h v a ʔ iː
قهوه‌ای	q a h w a ʔ iː
قهوه‌ای	ɣ æ h v e ʔ iː
قهوه‌خانه	q a h v a x ɑː n a
قهوه‌خانه	q a h v a x ɔː n a
قهوه‌خانه	q a h w a x ɒː n a
قهوه‌خانه	ɣ æ h v e x ɒː n e
قو	q u
قو	q uː
قو	ɣ uː
قوت	q u v v a t
قوت	q ʊ w w a t
قوت	ɣ o v v æ t
قوم	q a v m
قوم	q a w m
قوم	ɣ o w m
قوی	q a v iː
قوی	q a w iː
قوی	q u i
قوی	q uː i
قوی	q uː ɪ
قوی	ɣ uː e
قوی	ɣ æ v iː
قید	ɢ e j d
قیمت	q i m a t ~ q a j m a t
قیمت	q iː m a t ~ q a j m a t
قیمت	ɣ iː m æ t ~ ɣ e j m æ t
قیچی	q a j t͡ʃ iː
قیچی	ɣ e j t͡ʃ iː
كنج	k o n d͡ʒ
كنج	k u n d͡ʒ
كنج	k ʊ n d͡ʒ
لابد	l ɑː b u d
لابد	l ɒː b o d
لابد	l ɒː b ʊ d
لابد	l ɔː b u d
لازم	l ɑː z i m
لازم	l ɒː z e m
لازم	l ɒː z ɪ m
لازم	l ɔː z i m
لاغر	l ɑː ɣ a ɾ
لاغر	l ɒː ɣ a ɾ
لاغر	l ɒː ɣ æ ɾ
لاغر	l ɔː ɣ a ɾ
لاله	l ɒː l e
لاله	l ɒː l æ
لایه	l ɒː j e
لب	l a b
لب	l æ b
لبخند	l æ b x æ n d
لبی	l æ b iː
لثه	l a s e
لجن	l a d͡ʒ a n
لجن	l æ d͡ʒ æ n
لحظه	l æ h z æ
لزوماً	l o z uː m æ n
لشکر	l a ʃ k a ɾ
لشکر	l æ ʃ k æ ɾ
لعل	l a ʔ l
لعل	l æ ʔ l
لغت	l o ɣ æ t
لغت	l u ɣ a t
لغت	l ʊ ɣ a t
لقب	l a q a b
لقب	l æ ɣ æ b
لندن	l a n d a n
لندن	l æ n d æ n
لهجه	l a h d͡ʒ a
لهجه	l æ h d͡ʒ e
لهذا	l e h ɒː z ɒː
لهستان	l a h i s t ɑː n
لهستان	l a h i s t ɔː n
لهستان	l a h ɪ s t ɒː n
لهستان	l æ h e s t ɒː n
لو	l o w
لوبیا	l oː b i i̯ ɒː
لوبیا	l uː b i i̯ ɒː
لوخن	l oː x a n
لوخن	l uː x æ n
لوخن	l ɵː x a n
لوز	l a v z
لوز	l a w z
لوز	l o w z
لوله	l uː l e
لوله	l uː l æ
لی	l iː
لیمو	l i m u
لیمو	l iː m uː
لیو	l e v
لیو	l eː v
لیو	l eː w
لیو	l iː v
لیک	l iː k
مؤدب	m o ʔ æ d d e b
مؤدب	m o ʔ æ d d æ b
مؤدب	m u ʔ a d d a b
مؤدب	m u ʔ a d d i b
مؤدب	m ʊ ʔ a d d a b
مؤدب	m ʊ ʔ a d d ɪ b
مؤسسه	m o ʔ æ s s æ s e
مؤسسه	m u ʔ a s s a s a
مؤسسه	m ʊ ʔ a s s a s a
مؤمن	m o ʔ m e n
مؤمن	m u ʔ m i n
مؤمن	m ɵː ʔ m i n
مؤمن	m ʊ ʔ m ɪ n
ما	m ɑː
ما	m ɒː
ما	m ɔː
مادر	m ɑː d a ɾ
مادر	m ɒː d a ɾ
مادر	m ɒː d e ɾ
مادر	m ɒː d æ ɾ
مادر	m ɔː d a ɾ
مادرانه	m ɑː d a ɾ ɑː n a
مادرانه	m ɒː d a ɾ ɒː n a
مادرانه	m ɒː d æ ɾ ɒː n e
مادرانه	m ɔː d a ɾ ɔː n a
مادیان	m ɒː d i i̯ ɒː n
مار	m ɑː ɾ
مار	m ɒː ɾ
مار	m ɔː ɾ
مارس	m ɒː ɾ s
مارمولک	m ɑː ɾ m uː l a k
مارمولک	m ɒː ɾ m uː l a k
مارمولک	m ɒː ɾ m uː l æ k
مارمولک	m ɔː ɾ m u l a k
ماز	m ɑː z
ماز	m ɒː z
ماز	m ɔː z
مازریون	m ɑː z a ɾ j oː n
مازریون	m ɒː z a ɾ j oː n
مازریون	m ɒː z æ ɾ j uː n
مازریون	m ɔː z a ɾ j ɵː n
مازو	m ɑː z uː
مازو	m ɒː z uː
مازو	m ɔː z u
مازوج	m ɑː z uː d͡ʒ
مازوج	m ɒː z uː d͡ʒ
مازوج	m ɔː z u d͡ʒ
ماساژ	m ɑː s ɑː ʒ
ماساژ	m ɒː s ɒː ʒ
ماساژ	m ɔː s ɔː ʒ
ماست	m ɑː s t
ماست	m ɒː s t
ماست	m ɔː s t
ماشین	m ɒː ʃ iː n
مالک	m ɑː l i k
مالک	m ɒː l e k
مالک	m ɒː l ɪ k
مالک	m ɔː l i k
ماموت	m ɑː m uː t
ماموت	m ɒː m uː t
ماموت	m ɔː m u t
ماندن	m ɑː n d a n
ماندن	m ɒː n d a n
ماندن	m ɒː n d æ n
ماندن	m ɔː n d a n
ماه	m ɑː h
ماه	m ɒː h
ماه	m ɔː h
ماهور	m ɒː h uː ɾ
ماهی	m ɑː h iː
ماهی	m ɒː h iː
ماهی	m ɔː h iː
ماک	m ɒː k
مایه	m ɒː j æ
مبارزه	m o b ɒː ɾ æ z e
مبارزه	m u b ɑː ɾ a z a
مبارزه	m u b ɔː ɾ a z a
مبارزه	m ʊ b ɒː ɾ a z a
مبهم	m o b h æ m
مبهم	m u b h a m
مبهم	m ʊ b h a m
متخلف	m o t æ x æ l l e f
متخلف	m u t a x a l l i f
متخلف	m ʊ t a x a l l ɪ f
متعلق	m o t æ ʔ æ l l e ɣ
متعلق	m u t a ʔ a l l i q
متعلق	m ʊ t a ʔ a l l ɪ q
مثل	m a s a l
مثل	m e s l
مثل	m e s l e
مثل	m i s l
مثل	m i s l i
مثل	m æ s æ l
مثل	m ɪ s l
مثل	m ɪ s l ɪ
مجازات	m o d ʒ ɒː z ɒː t
مجازات‌ها	m o d ʒ ɒː z ɒː t h ɒː
مجرد	m o d͡ʒ æ ɾ ɾ æ d
مجروح	m a d͡ʒ ɾ uː h
مجروح	m a d͡ʒ ɾ ɵː h
مجروح	m æ d͡ʒ ɾ uː h
مجلس	m a d͡ʒ l i s
مجلس	m a d͡ʒ l ɪ s
مجلس	m æ d͡ʒ l e s
مجموعه	m a d͡ʒ m u ʔ a
مجموعه	m a d͡ʒ m uː ʔ a
مجموعه	m æ d͡ʒ m uː ʔ e
مجید	m æ d͡ʒ iː d
محبت	m o h æ b b æ t ~ m æ h æ b b æ t
محبت	m u h a b b a t ~ m a h a b b a t
محبت	m ʊ h a b b a t ~ m a h a b b a t
محسن	m o h s e n
محسن	m u h s i n
محسن	m ɵː h s i n
محسن	m ʊ h s ɪ n
محقق	m o h a q q e q
محقق	m o h æ ɣ ɣ e ɣ
محقق	m u h a q q i q
محقق	m ʊ h a q q ɪ q
محل	m a h a l l
محل	m æ h æ l l
محمد	m o h æ m m æ d
محمد	m u h a m m a d
محمد	m ʊ h a m m a d
محنت	m e h n a t
محنت	m e h n æ t
محنت	m i h n a t
محنت	m ɪ h n a t
محکمه	m a h k a m a
محکمه	m æ h k æ m e
مخاطب	m o x ɒː t æ b
مخاطب	m u x ɑː t a b
مخاطب	m u x ɔː t a b
مخاطب	m ʊ x ɒː t a b
مخالف	m o x ɒː l e f
مخالف	m u x ɑː l i f
مخالف	m u x ɔː l i f
مخالف	m ʊ x ɒː l ɪ f
مختار	m o x t ɒː ɾ
مختار	m u x t ɑː ɾ
مختار	m u x t ɔː ɾ
مختار	m ʊ x t ɒː ɾ
مختل	m o x t æ l
مختلف	m o x t æ l e f
مختلف	m u x t a l i f
مختلف	m ʊ x t a l ɪ f
مخرج	m æ x ɾ æ d͡ʒ
مخصوص	m a x s u s
مخصوص	m a x s uː s
مخصوص	m æ x s uː s
مخمل	m a x m a l
مخمل	m æ x m æ l
مدرسه	m a d ɾ a s a
مدرسه	m æ d ɾ æ s e
مدهوش	m æ d h u ʃ
مراکش	m a ɾ ɑː k i ʃ
مراکش	m a ɾ ɒː k ɪ ʃ
مراکش	m a ɾ ɔː k i ʃ
مراکش	m æ ɾ ɒː k e ʃ
مربا	m o r æ b b ɑ
مرجان	m a ɾ d͡ʒ ɑː n
مرجان	m a ɾ d͡ʒ ɒː n
مرجان	m a ɾ d͡ʒ ɔː n
مرجان	m æ ɾ d͡ʒ ɒː n
مرخ	m a ɾ x
مرخ	m æ ɾ x
مرد	m a ɾ d
مرد	m e ɾ d
مرد	m æ ɾ d
مرداد	m o ɾ d̪ ɒː d̪
مردان	m a ɾ d ɑː n
مردان	m a ɾ d ɒː n
مردان	m a ɾ d ɔː n
مردان	m æ ɾ d ɒː n
مردانه	m a ɾ d ɑː n a
مردانه	m a ɾ d ɒː n a
مردانه	m a ɾ d ɔː n a
مردانه	m æ ɾ d ɒː n e
مردانگی	m a ɾ d ɑː n a ɡ iː
مردانگی	m a ɾ d ɒː n a ɡ iː
مردانگی	m a ɾ d ɔː n a ɡ iː
مردانگی	m æ ɾ d ɒː n e ɡ iː
مردم	m a ɾ d u m
مردم	m a ɾ d ʊ m
مردم	m æ ɾ d o m
مردم‌سالاری	m a ɾ d u m s ɑː l ɑː ɾ iː
مردم‌سالاری	m a ɾ d u m s ɔː l ɔː ɾ iː
مردم‌سالاری	m a ɾ d ʊ m s ɒː l ɒː ɾ iː
مردم‌سالاری	m æ ɾ d o m s ɒː l ɒː ɾ iː
مردم‌شناس	m a ɾ d u m ʃ i n ɑː s
مردم‌شناس	m a ɾ d u m ʃ i n ɔː s
مردم‌شناس	m a ɾ d ʊ m ʃ ɪ n ɒː s
مردم‌شناس	m æ ɾ d o m ʃ e n ɒː s
مردن	m o ɾ d æ n
مردن	m u ɾ d a n
مردن	m ʊ ɾ d a n
مردها	m æ ɾ d h ɒː
مرز	m æ ɾ z
مرغ	m o ɾ ɣ
مرغ	m u ɾ ɣ
مرغ	m ʊ ɾ ɣ
مرغان	m o ɾ ɣ ɒː n
مرغ‌ها	m o ɾ ɣ h ɒː
مرمر	m a ɾ m a ɾ
مرمر	m æ ɾ m æ ɾ
مرمى	m a r m iː
مرو	m æ ɾ v
مرو	m æ ɾ w
مروارید	m o ɾ v ɒː ɾ iː d
مروارید	m o ɾ w ɒː ɾ iː d
مروارید	m æ ɾ w ɒː ɾ iː d
مروزی	m æ ɾ v e z iː
مروزی	m æ ɾ v æ z iː
مروزی	m æ ɾ w æ z iː
مرچ	m o ɾ t ʃ
مرچ	m æ ɾ e t ʃ
مرکب	m o ɾ æ k k æ b
مرکب	m u ɾ a k k a b
مرکب	m ʊ ɾ a k k a b
مرگ	m a ɾ ɡ
مرگ	m æ ɾ ɡ
مریض	m a ɾ i z
مریض	m a ɾ iː z
مریض	m æ ɾ iː z
مریضی	m æ ɾ iː z iː
مزنه	m o z n e
مزنه	m u z n a
مزنه	m ʊ z n a
مزه	m a z z a
مزه	m æ z z e
مسئول	m a s ʔ u l
مسئول	m a s ʔ uː l
مسئول	m æ s ʔ uː l
مسافر	m o s ɒː f e ɾ
مسافر	m u s ɑː f i ɾ
مسافر	m u s ɔː f i ɾ
مسافر	m ʊ s ɒː f ɪ ɾ
مستعمره	m o s t æ ʔ m æ ɾ e
مستعمره	m u s t a ʔ m a ɾ a
مستعمره	m ʊ s t a ʔ m a ɾ a
مستقیم	m o s t æ ɣ iː m
مستقیم	m u s t a q i m
مستقیم	m u s t a q iː m
مستقیم	m ʊ s t a q iː m
مسجد	m a s d͡ʒ i d
مسجد	m a s d͡ʒ ɪ d
مسجد	m æ s d͡ʒ e d
مسجدها	m æ s d ʒ e d h ɒː
مسخره	m a s x a ɾ a
مسخره	m æ s x æ ɾ e
مسعود	m æ s ʔ uː d
مسلمون	m o s æ l m uː n
مسیح	m a s e h
مسیح	m a s iː h
مسیح	m æ s iː h
مشابه	m o ʃ ɒː b e
مشابه	m u ʃ ɑː b a
مشابه	m u ʃ ɔː b a
مشابه	m ʊ ʃ ɒː b a
مشارکت	m o ʃ ɒː ɾ e k æ t
مشارکت	m u ʃ ɑː ɾ i k a t
مشارکت	m u ʃ ɔː ɾ i k a t
مشارکت	m ʊ ʃ ɒː ɾ ɪ k a t
مشاهده	m o ʃ ɒː h æ d e
مشرقی	m a ʃ ɾ i q iː
مشرقی	m a ʃ ɾ ɪ q iː
مشرقی	m æ ʃ ɾ e ɣ iː
مشعل	m a ʃ ʔ a l
مشعل	m æ ʃ ʔ æ l
مشغول	m a ʃ ɣ u l
مشغول	m a ʃ ɣ uː l
مشغول	m æ ʃ ɣ uː l
مشق	m æ ʃ ɢ
مشهور	m a ʃ h u ɾ
مشهور	m a ʃ h uː ɾ
مشهور	m æ ʃ h uː ɾ
مشکل	m u ʃ k i l
مشکل‌تر	m o ʃ k e l t æ ɾ
مشکل‌ترین	m o ʃ k e l t æ ɾ iː n
مشکل‌ها	m o ʃ k e l h ɒː
مشکی	m e ʃ kʰ iː
مصدر	m a s d a ɾ
مصدر	m æ s d æ ɾ
مصر	m e s ɾ
مصر	m i s ɾ
مصر	m ɪ s ɾ
مصون	m æ s uː n
مضحک	m o z h e k
مضحک	m u z h i k
مضحک	m ʊ z h ɪ k
مطبوعات	m a t b u ʔ ɔː t
مطبوعات	m a t b uː ʔ ɑː t
مطبوعات	m a t b uː ʔ ɒː t
مطبوعات	m æ t b uː ʔ ɒː t
مظهر	m a z h a ɾ
مظهر	m æ z h æ ɾ
معجزه	m o ʔ d͡ʒ e z e
معده	m e ʔ d a
معده	m e ʔ d e
معده	m i ʔ d a
معده	m ɪ ʔ d a
معراج	m e ʔ ɾ ɒː d͡ʒ
معراج	m e ʔ ɾ ɔː d͡ʒ
معراج	m i ʔ ɾ ɑː d͡ʒ
معراج	m ɪ ʔ ɾ ɒː d͡ʒ
معروف	m a ʔ ɾ u f
معروف	m a ʔ ɾ uː f
معروف	m æ ʔ ɾ uː f
معشوق	m a ʔ ʃ u q
معشوق	m a ʔ ʃ uː q
معشوق	m æ ʔ ʃ uː ɣ
معلم	m o ʔ a l l e m
معلم	m o ʔ æ l l e m
معلم	m u ʔ a l l i m
معلم	m ʊ ʔ a l l ɪ m
معلوم	m a ʔ l u m
معلوم	m a ʔ l uː m
معلوم	m æ ʔ l uː m
معماری	m e ʔ m ɒː ɾ iː
معماری	m e ʔ m ɔː ɾ iː
معماری	m i ʔ m ɑː ɾ iː
معماری	m ɪ ʔ m ɒː ɾ iː
معمول	m a ʔ m u l
معمول	m a ʔ m uː l
معمول	m æ ʔ m uː l
معنی	m a ʔ n ɑː ~ m a ʔ n iː
معنی	m a ʔ n ɒː ~ m a ʔ n iː
معنی	m a ʔ n ɔː ~ m a ʔ n iː
معنی	m æ ʔ n ɒː ~ m æ ʔ n iː
مغ	m æ ɢ
مغرب	m a ɣ ɾ i b
مغرب	m a ɣ ɾ ɪ b
مغرب	m æ ɣ ɾ e b
مغرور	m æ ɣ ɾ uː ɾ
مغز	m a ɣ z
مغز	m æ ɣ z
مفتی	m o f t iː
مفتی	m u f t iː
مفتی	m ʊ f t iː
مفعول	m a f ʔ u l
مفعول	m a f ʔ uː l
مفعول	m æ f ʔ uː l
مقداد	m e ɣ d ɒː d
مقدار	m e ɣ d ɒː ɾ
مقدار	m i q d ɑː ɾ
مقدار	m i q d ɔː ɾ
مقدار	m ɪ q d ɒː ɾ
مقطع	m a q t a ʔ
مقطع	m æ ɣ t æ ʔ
مقعد	m a q ʔ a d
مقعد	m æ ɣ ʔ æ d
ملا	m o lː ɒː
ملا	m u lː ɑː
ملا	m u lː ɔː
ملا	m ʊ lː ɒː
مله	m æ l æ
ملکه	m a l i k a
ملکه	m a l ɪ k a
ملکه	m æ l e k e
ممنوع	m a m n uː ʔ
ممنوع	m a m n ɵː ʔ
ممنوع	m æ m n uː ʔ
ممنون	m a m n u n
ممنون	m a m n uː n
ممنون	m æ m n uː n
ممکن	m o m k e n
ممکن	m u m k i n
ممکن	m ʊ m k ɪ n
من	m a n
من	m æ n
منابع	m a n ɑː b i ʔ
منابع	m a n ɒː b ɪ ʔ
منابع	m a n ɔː b e ʔ
منابع	m æ n ɒː b e ʔ
منازل	m a n ɑː z i l
منازل	m a n ɒː z ɪ l
منازل	m a n ɔː z i l
منازل	m æ n ɒː z e l
منتقد	m o n t æ ɣ e d
منتقد	m u n t a q i d
منتقد	m ʊ n t a q ɪ d
منزل	m a n z i l
منزل	m a n z ɪ l
منزل	m æ n z e l
منشار	m e n ʃ ɒː ɾ
منشار	m i n ʃ ɑː ɾ
منشار	m i n ʃ ɔː ɾ
منشار	m ɪ n ʃ ɒː ɾ
منشی	m u n ʃ iː
منع	m a n ʔ
منع	m æ n ʔ
منوچهر	m a n u t͡ʃ e h ɾ
منوچهر	m a n uː t͡ʃ i h ɾ
منوچهر	m a n uː t͡ʃ ɪ h ɾ
منوچهر	m æ n uː t͡ʃ e h ɾ
منیژه	m a n iː ʒ a
منیژه	m æ n iː ʒ e
مه	m a h
مه	m e
مه	m e h
مه	m i h
مه	m æ
مه	m æ h
مه	m ə
مه	m ɪ h
مهاجر	m o h ɒː d͡ʒ e ɾ
مهاجر	m u h ɑː d͡ʒ i ɾ
مهاجر	m u h ɔː d͡ʒ i ɾ
مهاجر	m ʊ h ɒː d͡ʒ ɪ ɾ
مهبل	m a h b a l
مهبل	m æ h b æ l
مهر	m e h ɾ
مهر	m i h ɾ
مهر	m o h ɾ
مهر	m u h ɾ
مهر	m ɪ h ɾ
مهر	m ɵː h ɾ
مهر	m ʊ h ɾ
مهربان	m e h ɾ a b ɔː n ~ m e h ɾ u b ɔː n
مهربان	m e h ɾ æ b ɒː n ~ m e h ɾ o b ɒː n
مهربان	m i h ɾ a b ɑː n ~ m i h ɾ u b ɑː n
مهربان	m ɪ h ɾ a b ɒː n ~ m ɪ h ɾ ʊ b ɒː n
مهرداد	m e h ɾ d ɒː d
مهرداد	m e h ɾ d ɔː d
مهرداد	m i h ɾ d ɑː d
مهرداد	m ɪ h ɾ d ɒː d
مهره	m o h ɾ e
مهره	m u h ɾ a
مهره	m ɵː h ɾ a
مهره	m ʊ h ɾ a
مهم	m o h e m m
مهم	m u h i m m
مهم	m ʊ h ɪ m m
مهمان	m e h m ɒː n
مهمان	m e h m ɔː n
مهمان	m i h m ɑː n
مهمان	m ɪ h m ɒː n
مو	m o
مو	m uː j
مو	m ɵː j
موافق	m o v ɒː f e ɣ
موتر	m oː t a ɾ
موج	m a v d͡ʒ
موج	m a w d͡ʒ
موج	m o w d͡ʒ
موجود	m a v d͡ʒ u d
موجود	m a w d͡ʒ uː d
موجود	m o w d͡ʒ uː d
موحش	m u h i ʃ
موحش	m uː h e ʃ
موحش	m uː h i ʃ
موحش	m uː h ɪ ʃ
مورچه	m oː ɾ t͡ʃ a
مورچه	m uː ɾ t͡ʃ e
مورچه	m ɵː ɾ t͡ʃ a
موز	m a v z
موز	m a w z
موز	m e w z
موز	m o w z
موزه	m oː z a
موزه	m uː z e
موزه	m ɵː z a
موسم	m a v s i m
موسم	m a w s i m
موسم	m a w s ɪ m
موسم	m o w s e m
موسیقی	m u s i q iː
موسیقی	m uː s iː q iː
موسیقی	m uː s iː ɣ iː
موضوع	m a v z ɵː ʔ
موضوع	m a w z uː ʔ
موضوع	m o w z uː ʔ
موقع	m a v q e ʔ
موقع	m a w q i ʔ
موقع	m a w q ɪ ʔ
موقع	m o w ɣ e ʔ
مولانا	m o w l ɒː n ɒː
مولانا	m æ w l ɒː n ɒː
موم	m uː m
مومیا	m oː m i j ɒː
مومیا	m uː m i j ɒː
مومیایی	m oː m i j ɒː j iː
مومیایی	m uː m i j ɒː j iː
موی	m uː j
مژده	m o ʒ d e
مژده	m u ʒ d a
مژده	m ʊ ʒ d a
مژه	m o ʒ e ~ m e ʒ e
مژه	m u ʒ a ~ m i ʒ a
مژه	m ʊ ʒ a ~ m ɪ ʒ a
مک	m æ k
می	m a j
می	m e
می	m e j
می	m eː
می	m iː
میان	m i j ɑː n
میان	m i j ɒː n
میان	m i j ɔː n
میخانه	m a j x ɑː n a
میخانه	m a j x ɒː n a
میخانه	m a j x ɔː n a
میخانه	m e j x ɒː n e
میخی	m iː x iː
میدان	m a j d ɑː n
میدان	m a j d ɒː n
میدان	m a j d ɔː n
میدان	m e j d ɒː n
میرزا	m i ɾ z ɔː ~ m i ɾ z ɔː
میرزا	m iː ɾ z ɑː ~ m i ɾ z ɑː
میرزا	m iː ɾ z ɒː ~ m e ɾ z ɒː
میرزا	m iː ɾ z ɒː ~ m ɪ ɾ z ɒː
میرزاخانی	m i ɾ z ɒː x ɒː n iː
میرزاخانی	m iː ɾ z ɒː x ɒː n iː
میز	m e z ~ m i z
میز	m eː z ~ m iː z
میز	m iː z ~ m iː z
میزان	m iː z ɑː n
میزان	m iː z ɒː n
میزان	m ɪ z ɔ n
میشین	m e ʃ i n
میشین	m eː ʃ iː n
میشین	m iː ʃ iː n
میغ	m eː ɣ
میلاد	m e l ɔː d
میلاد	m eː l ɑː d
میلاد	m eː l ɒː d
میلاد	m i l ɔː d
میلاد	m iː l ɑː d
میلاد	m iː l ɒː d
مینو	m i n ɵː
مینو	m iː n oː
مینو	m iː n uː
میهن	m e h a n
میهن	m eː h a n
میهن	m iː h æ n
میوه	m e v a
میوه	m eː v a
میوه	m eː w a
میوه	m iː v e
می‌خواهم	m iː x ɒː h æ m
می‌خواهم	m iː x ɒː m
می‌گم	m iː ɡ æ m
ناتمام	n ɑː t a m ɑː m
ناتمام	n ɒː t a m ɒː m
ناتمام	n ɒː t æ m ɒː m
ناتمام	n ɔː t a m ɔː m
ناخدا	n ɑː x u d̪ ɑː
ناخدا	n ɒː x o d̪ ɒː
ناخدا	n ɒː x ʊ d̪ ɒː
ناخدا	n ɔː x u d̪ ɔː
ناخن	n ɑː x u n
ناخن	n ɒː x o n
ناخن	n ɒː x ʊ n
ناخن	n ɔː x u n
ناخواسته	n ɑː xʷ ɑː s t a
ناخواسته	n ɒː x ɒː s t a
ناخواسته	n ɒː x ɒː s t e
ناخواسته	n ɔː x ɔː s t a
نار	n ɑː ɾ
نار	n ɒː ɾ
نار	n ɔː ɾ
نارسنگ	n ɑː ɾ s a n ɡ
نارسنگ	n ɒː ɾ s a n ɡ
نارسنگ	n ɒː ɾ s æ n ɡ
نارسنگ	n ɔː ɾ s a n ɡ
نارنجی	n ɑː ɾ a n d͡ʒ iː
نارنجی	n ɒː ɾ a n d͡ʒ iː
نارنجی	n ɒː ɾ æ n d͡ʒ iː
نارنجی	n ɔː ɾ a n d͡ʒ iː
ناز	n ɒː z
نازک	n ɑː z u k
نازک	n ɒː z o k
نازک	n ɒː z ʊ k
نازک	n ɔː z u k
نازی	n ɒː z iː
ناف	n ɑː f
ناف	n ɒː f
ناف	n ɔː f
ناقص	n ɑː q i s
ناقص	n ɒː q ɪ s
ناقص	n ɒː ɣ e s
ناقص	n ɔː q i s
نالان	n ɒː l ɒː n
نالون	n ɒː l uː n
نام	n ɑː m
نام	n ɒː m
نام	n ɔː m
نامه	n ɑː m a
نامه	n ɒː m a
نامه	n ɒː m e
نامه	n ɔː m a
نامیدن	n ɑː m iː d a n
