є	j ɛ
виконання	ʋ e k ɔ n ɑ nʲː ɐ
виконати	ʋ ɪ k ɔ n ɐ t e
виконувати	ʋ e k ɔ n ʊ ʋ ɐ t e
викорінювати	ʋ e k o rʲ i nʲ ʊ ʋ ɐ t e
викоренити	ʋ ɪ k ɔ r e n e t e
використання	ʋ e k ɔ r e s t ɑ nʲː ɐ
використання	ʋ ɪ k ɔ r e s t ɐ nʲː ɐ
використати	ʋ ɪ k ɔ r e s t ɐ t e
використовувати	ʋ e k ɔ r e s t ɔ w ʊ ʋ ɐ t e
викреслити	ʋ ɪ k r e s ɫ e t e
викреслювати	ʋ e k r ɛ sʲ lʲ ʊ ʋ ɐ t e
викрутка	ʋ ɪ k r ʊ t k ɐ
виліковувати	ʋ e lʲ i k ɔ w ʊ ʋ ɐ t e
вилікувати	ʋ ɪ lʲ i k ʊ ʋ ɐ t e
вилов	ʋ ɪ ɫ ɔ u̯
вим'я	ʋ ɪ m j ɐ
вимір	ʋ ɪ mʲ i r
вимагати	ʋ e m ɐ ɦ ɑ t e
вимазати	ʋ ɪ m ɐ z ɐ t e
вимерлий	ʋ ɪ m e r ɫ e i̯
вимерти	ʋ ɪ m e r t e
вимикати	ʋ e m e k ɑ t e
вимирання	ʋ e m e r ɑ nʲː ɐ
вимирати	ʋ e m e r ɑ t e
вимираючий	ʋ e m e r ɑ j ʊ t͡ʃ e i̯
вимкнути	ʋ ɪ m k n ʊ t e
вимова	ʋ e m ɔ ʋ ɐ
вимовляти	ʋ e m ɔ u̯ lʲ ɑ t e
вимога	ʋ e m ɔ ɦ ɐ
вина	ʋ e n ɑ
вина	ʋ ɪ n ɐ
вина	ʋ e n ɑ
вина	ʋ ɪ n ɐ
винайти	ʋ ɪ n ɐ i̯ t e
винахід	ʋ ɪ n ɐ xʲ i d
винахідливість	ʋ e n ɐ xʲ i d ɫ e ʋʲ i sʲ tʲ
винахідливий	ʋ e n ɐ xʲ i d ɫ e ʋ e i̯
винахідник	ʋ e n ɐ xʲ i d n e k
винахідниця	ʋ e n ɐ xʲ i d n e t͡sʲ ɐ
винаходити	ʋ e n ɐ x ɔ d e t e
виникати	ʋ e n e k ɑ t e
виникнути	ʋ ɪ n e k n ʊ t e
винний	ʋ ɪ nː e i̯
винник	ʋ ɪ nː e k
вино	ʋ e n ɔ
виноград	ʋ e n ɔ ɦ r ɑ d
виноградник	ʋ e n ɔ ɦ r ɑ d n e k
винокур	ʋ e n o k u r
винокурня	ʋ e n o k u r nʲ ɐ
винороб	ʋ e n ɔ r ɔ b
винятковий	ʋ e nʲ ɐ t k ɔ ʋ e i̯
виняток	ʋ ɪ nʲ ɐ t ɔ k
випадків	ʋ ɪ p ɐ dʲ kʲ i u̯
випадковий	ʋ e p ɐ d k ɔ ʋ e i̯
випадок	ʋ ɪ p ɐ d ɔ k
випадок	ʋ e p ɑ d ɔ k
випивати	ʋ e p e ʋ ɑ t e
випити	ʋ ɪ p e t e
виправдати	ʋ ɪ p r ɐ u̯ d ɐ t e
виправдовувати	ʋ e p r ɐ u̯ d ɔ w ʊ ʋ ɐ t e
виправити	ʋ ɪ p r ɐ ʋ e t e
виправляти	ʋ e p r ɐ u̯ lʲ ɑ t e
випрати	ʋ ɪ p r ɐ t e
випромінювати	ʋ e p r o mʲ i nʲ ʊ ʋ ɐ t e
випроменити	ʋ ɪ p r ɔ m e n e t e
випускати	ʋ e p ʊ s k ɑ t e
випустити	ʋ ɪ p ʊ s t e t e
виріб	ʋ ɪ rʲ i b
вирізнятися	ʋ e rʲ i zʲ nʲ ɑ t e sʲ ɐ
вирішальний	ʋ e rʲ i ʃ ɑ lʲ n e i̯
вирішення	ʋ ɪ rʲ i ʃ e nʲː ɐ
вирішити	ʋ ɪ rʲ i ʃ e t e
вирішувати	ʋ e rʲ i ʃ ʊ ʋ ɐ t e
виражати	ʋ e r ɐ ʒ ɑ t e
вираження	ʋ ɪ r ɐ ʒ e nʲː ɐ
вираз	ʋ ɪ r ɐ z
виразити	ʋ ɪ r ɐ z e t e
виразний	ʋ e r ɑ z n e i̯
виразно	ʋ e r ɑ z n ɔ
вираховувати	ʋ e r ɐ x ɔ w ʊ ʋ ɐ t e
виробити	ʋ ɪ r ɔ b e t e
виробляти	ʋ e r ɔ b lʲ ɑ t e
виробництво	ʋ e r ɔ b n ɪ t͡s t w ɔ
виробничий	ʋ e r ɔ b n ɪ t͡ʃ e i̯
вирок	ʋ ɪ r ɔ k
вирок	ʋ e r ɔ k
вирослий	ʋ ɪ r ɔ s ɫ e i̯
виростати	ʋ e r ɔ s t ɑ t e
вирости	ʋ ɪ r ɔ s t e
виростити	ʋ ɪ r ɔ s t e t e
вирощувати	ʋ e r ɔ ʃ t͡ʃ ʊ ʋ ɐ t e
висіти	ʋ ɪ sʲ i t e
висіти	ʋ e sʲ i t e
вислів	ʋ ɪ sʲ lʲ i u̯
висловити	ʋ ɪ s ɫ ɔ ʋ e t e
висловитися	ʋ ɪ s ɫ ɔ ʋ e t e sʲ ɐ
висловлювати	ʋ e s ɫ ɔ u̯ lʲ ʊ ʋ ɐ t e
висловлюватися	ʋ e s ɫ ɔ u̯ lʲ ʊ ʋ ɐ t e sʲ ɐ
виснажити	ʋ ɪ s n ɐ ʒ e t e
виснажувати	ʋ e s n ɑ ʒ ʊ ʋ ɐ t e
висновок	ʋ ɪ s n ɔ w ɔ k
високий	ʋ e s ɔ k e i̯
високосний	ʋ e s ɔ k ɔ s n e i̯
високоякісний	ʋ e s ɔ k ɔ j ɑ kʲ i s n e i̯
висота	ʋ e s ɔ t ɑ
виставка	ʋ ɪ s t ɐ u̯ k ɐ
вистачати	ʋ e s t ɐ t͡ʃ ɑ t e
вистачити	ʋ ɪ s t ɐ t͡ʃ e t e
виступати	ʋ e s t ʊ p ɑ t e
виступити	ʋ ɪ s t ʊ p e t e
витерти	ʋ ɪ t e r t e
вити	ʋ ɪ t e
витрата	ʋ ɪ t r ɐ t ɐ
витратити	ʋ ɪ t r ɐ t e t e
витрачати	ʋ e t r ɐ t͡ʃ ɑ t e
вихід	ʋ ɪ xʲ i d
вихідні	ʋ e xʲ i dʲ nʲ i
вихідний	ʋ e xʲ i d n ɪ i̯
вихідних	ʋ e xʲ i d n ɪ x
вихвалити	ʋ ɪ x ʋ ɐ ɫ e t e
вихваляти	ʋ e x ʋ ɐ lʲ ɑ t e
виховати	ʋ ɪ x ɔ ʋ ɐ t e
виховувати	ʋ e x ɔ w ʊ ʋ ɐ t e
вичерпати	ʋ ɪ t͡ʃ e r p ɐ t e
вичерпний	ʋ e t͡ʃ ɛ r p n e i̯
вичерпувати	ʋ e t͡ʃ ɛ r p ʊ ʋ ɐ t e
вишиванка	ʋ e ʃ e ʋ ɑ n k ɐ
вишити	ʋ ɪ ʃ e t e
вишневий	ʋ e ʃ n ɛ ʋ e i̯
вишня	ʋ ɪ ʃ nʲ ɐ
вище	ʋ ɪ ʃ t͡ʃ e
вищезазначений	ʋ e ʃ t͡ʃ e z ɐ z n ɑ t͡ʃ e n e i̯
вищезгаданий	ʋ e ʃ t͡ʃ e z ɦ ɑ d ɐ n e i̯
вищеназваний	ʋ e ʃ t͡ʃ e n ɑ z ʋ ɐ n e i̯
вищий	ʋ ɪ ʃ t͡ʃ e i̯
виявити	ʋ ɪ j ɐ ʋ e t e
виявитися	ʋ ɪ j ɐ ʋ e t e sʲ ɐ
виявляти	ʋ e j ɐ u̯ lʲ ɑ t e
виявлятися	ʋ e j ɐ u̯ lʲ ɑ t e sʲ ɐ
вказівний	ʍ k ɐ zʲ i u̯ n ɪ i̯
включати	ʍ k lʲ ʊ t͡ʃ ɑ t e
включити	ʍ k lʲ ʊ t͡ʃ ɪ t e
вкраїна	ʍ k r ɐ j i n ɐ
вкус	ʍ k u s
влада	w ɫ ɑ d ɐ
власність	w ɫ ɑ sʲ nʲ i sʲ tʲ
власна	w ɫ ɑ s n ɐ
власний	w ɫ ɑ s n e i̯
власник	w ɫ ɑ s n e k
власниця	w ɫ ɑ s n e t͡sʲ ɐ
власноручний	w ɫ ɐ s n o r u t͡ʃ n e i̯
власті	w ɫ ɑ sʲ tʲ i
властивість	w ɫ ɐ s t ɪ ʋʲ i sʲ tʲ
властивий	w ɫ ɐ s t ɪ ʋ e i̯
влаштовувати	w ɫ ɐ ʃ t ɔ w ʊ ʋ ɐ t e
влаштовуватися	w ɫ ɐ ʃ t ʊ ʋ ɑ t e sʲ ɐ
влаштувати	w ɫ ɐ ʃ t ʊ ʋ ɑ t e
влаштуватися	w ɫ ɐ ʃ t ʊ ʋ ɑ t e sʲ ɐ
вміння	w mʲ i nʲː ɐ
вміти	w mʲ i t e
вмерти	w m ɛ r t e
вмикати	w m e k ɑ t e
вмирати	w m e r ɑ t e
внаслідок	w n ɑ sʲ lʲ i d ɔ k
внесок	w n ɛ s ɔ k
вниз	w n ɪ z
вночі	w n o t͡ʃʲ i
внук	w n u k
внука	w n u k ɐ
внутрішній	w n u tʲ rʲ i ʃ nʲ i i̯
внучка	w n u t͡ʃ k ɐ
воєначальник	w ɔ j e n ɐ t͡ʃ ɑ lʲ n e k
воєнний	w ɔ j ɛ nː e i̯
вовк	w ɔ u̯ k
вовкулака	w ɔ u̯ k ʊ ɫ ɑ k ɐ
вовна	w ɔ u̯ n ɐ
вогнище	w ɔ ɦ n e ʃ t͡ʃ e
вогню	w o ɦ nʲ u
вогонь	w ɔ ɦ ɔ nʲ
водій	w o dʲ i i̯
вода	w ɔ d ɑ
водень	w ɔ d e nʲ
водити	w ɔ d ɪ t e
водка	w ɔ d k ɐ
водневий	w ɔ d n ɛ ʋ e i̯
водночас	w ɔ d n ɔ t͡ʃ ɐ s
водопостачання	w ɔ d ɔ p ɔ s t ɐ t͡ʃ ɑ nʲː ɐ
водосховище	w ɔ d ɔ s x ɔ ʋ e ʃ t͡ʃ e
вождь	w ɔ ʒ dʲ
возити	w ɔ z ɪ t e
войовничий	w ɔ j ɔ u̯ n ɪ t͡ʃ e i̯
вокзал	w ɔ ɡ z ɑ ɫ
волейбол	w ɔ ɫ e i̯ b ɔ ɫ
волейболіст	w ɔ ɫ e i̯ b o lʲ i s t
волейболістка	w ɔ ɫ e i̯ b o lʲ i s t k ɐ
волейбольний	w ɔ ɫ e i̯ b ɔ lʲ n e i̯
волинь	w ɔ ɫ ɪ nʲ
волога	w ɔ ɫ ɔ ɦ ɐ
вологий	w ɔ ɫ ɔ ɦ e i̯
володілець	w ɔ ɫ o dʲ i ɫ e t͡sʲ
володіти	w ɔ ɫ o dʲ i t e
володимир	w ɔ ɫ ɔ d ɪ m e r
волокти	w ɔ ɫ ɔ k t ɪ
волонтер	w ɔ ɫ ɔ n t ɛ r
волонтерка	w ɔ ɫ ɔ n t ɛ r k ɐ
волонтерство	w ɔ ɫ ɔ n t ɛ r s t w ɔ
волос	w ɔ ɫ ɔ s
волосся	w ɔ ɫ ɔ sʲː ɐ
волость	w ɔ ɫ ɔ sʲ tʲ
вольний	w ɔ lʲ n e i̯
воля	w ɔ lʲ ɐ
вона	w ɔ n ɑ
вони	w ɔ n ɪ
воно	w ɔ n ɔ
ворог	w ɔ r ɔ ɦ
ворожість	w ɔ r ɔ ʒʲ i sʲ tʲ
ворожда	w ɔ r ɔ ʒ d ɑ
ворожий	w ɔ r ɔ ʒ e i̯
ворожнеча	w ɔ r ɔ ʒ n ɛ t͡ʃ ɐ
ворон	w ɔ r ɔ n
ворона	w ɔ r ɔ n ɐ
ворота	w ɔ r ɔ t ɐ
воротар	w ɔ r ɔ t ɑ r
восени	w ɔ s e n ɪ
восьмеро	w ɔ sʲ m e r ɔ
восьми	w ɔ sʲ m ɪ
восьмий	w ɔ sʲ m e i̯
восьмисот	w ɔ sʲ m e s ɔ t
восьмисотий	w ɔ sʲ m e s ɔ t e i̯
восьмитисячний	w ɔ sʲ m e t ɪ sʲ ɐ t͡ʃ n e i̯
вохра	w ɔ x r ɐ
воша	w ɔ ʃ ɐ
воювати	w ɔ j ʊ ʋ ɑ t e
впізнавати	ʍ pʲ i z n ɐ ʋ ɑ t e
впізнати	ʍ pʲ i z n ɑ t e
впевненість	ʍ p ɛ u̯ n e nʲ i sʲ tʲ
впевнений	ʍ p ɛ u̯ n e n e i̯
вперше	ʍ p ɛ r ʃ e
вплив	ʍ p ɫ ɪ u̯
впливовий	ʍ p ɫ e w ɔ ʋ e i̯
вподобайка	ʍ p ɔ d ɔ b ɑ i̯ k ɐ
враження	w r ɑ ʒ e nʲː ɐ
вранці	w r ɑ nʲ t͡sʲ i
враховувати	w r ɐ x ɔ w ʊ ʋ ɐ t e
врахувати	w r ɐ x ʊ ʋ ɑ t e
врем'я	w r ɛ m j ɐ
вродливіший	w r ɔ d ɫ ɪ ʋʲ i ʃ e i̯
вродливий	w r ɔ d ɫ ɪ ʋ e i̯
вроцлав	w r ɔ t͡s ɫ ɐ u̯
врочистий	w r ɔ t͡ʃ ɪ s t e i̯
врятовувати	w rʲ ɐ t ɔ w ʊ ʋ ɐ t e
врятувати	w rʲ ɐ t ʊ ʋ ɑ t e
всі	ʍ sʲ i
все	ʍ s ɛ
всеохоплюючий	ʍ s e ɔ x ɔ p lʲ ʊ j ʊ t͡ʃ e i̯
всередині	ʍ s e r ɛ d e nʲ i
всесвіт	ʍ s ɛ sʲ ʋʲ i t
всесвітній	ʍ s e sʲ ʋʲ i tʲ nʲ i i̯
всесвітньо	ʍ s e sʲ ʋʲ i tʲ nʲ ɔ
всесвітньовідомий	ʍ s e sʲ ʋʲ i tʲ nʲ ɔ ʋʲ i d ɔ m e i̯
вставати	ʍ s t ɐ ʋ ɑ t e
вступати	ʍ s t ʊ p ɑ t e
вступити	ʍ s t ʊ p ɪ t e
всюдисущий	ʍ sʲ ʊ d e s u ʃ t͡ʃ e i̯
вся	ʍ sʲ ɑ
втілити	ʍ tʲ i ɫ e t e
втілювати	ʍ tʲ i lʲ ʊ ʋ ɐ t e
вторгатися	ʍ t ɔ r ɦ ɑ t e sʲ ɐ
вторгнення	ʍ t ɔ r ɦ n e nʲː ɐ
вторгнутися	ʍ t ɔ r ɦ n ʊ t e sʲ ɐ
втрата	ʍ t r ɑ t ɐ
втратити	ʍ t r ɑ t e t e
втрачати	ʍ t r ɐ t͡ʃ ɑ t e
втручання	ʍ t r ʊ t͡ʃ ɑ nʲː ɐ
вугілля	w ʊ ɦʲ i lʲː ɐ
вуглевод	w ʊ ɦ ɫ e w ɔ d
вуглеводень	w ʊ ɦ ɫ e w ɔ d e nʲ
вуглеводний	w ʊ ɦ ɫ e w ɔ d n e i̯
вуглецевий	w ʊ ɦ ɫ e t͡s ɛ ʋ e i̯
вуглець	w ʊ ɦ ɫ ɛ t͡sʲ
вугол	w u ɦ ɔ ɫ
вугор	w ʊ ɦ ɔ r
вуж	w u ʒ
вужчий	w u ʒ t͡ʃ e i̯
вуздечка	w ʊ z d ɛ t͡ʃ k ɐ
вузол	w u z ɔ ɫ
вузький	w ʊ zʲ k ɪ i̯
вулик	w u ɫ e k
вулиця	w u ɫ e t͡sʲ ɐ
вулкан	w ʊ ɫ k ɑ n
вульва	w u lʲ ʋ ɐ
вус	w u s
вуста	w ʊ s t ɑ
вухо	w u x ɔ
вхід	ʍ xʲ i d
входити	ʍ x ɔ d e t e
вчинити	ʍ t͡ʃ e n ɪ t e
вчинок	ʍ t͡ʃ ɪ n ɔ k
вчиняти	ʍ t͡ʃ e nʲ ɑ t e
вчитель	ʍ t͡ʃ ɪ t e lʲ
вчити	ʍ t͡ʃ ɪ t e
вчора	ʍ t͡ʃ ɔ r ɐ
вчорашній	ʍ t͡ʃ ɔ r ɑ ʃ nʲ i i̯
г	ɦ
гібридна	ɦʲ i b r ɪ d n ɐ
гібридний	ɦʲ i b r ɪ d n e i̯
гівно	ɦʲ i u̯ n ɔ
гігієнічний	ɦʲ i ɦʲ i j e nʲ i t͡ʃ n e i̯
гігієна	ɦʲ i ɦʲ i j ɛ n ɐ
гігантський	ɦʲ i ɦ ɑ nʲ sʲ k e i̯
гід	ɦʲ i d
гідність	ɦʲ i dʲ nʲ i sʲ tʲ
гідний	ɦʲ i d n e i̯
гідравліка	ɦʲ i d r ɑ u̯ lʲ i k ɐ
гідравлічний	ɦʲ i d r ɐ u̯ lʲ i t͡ʃ n e i̯
гідроген	ɦʲ i d r ɔ ɦ ɛ n
гідрологічний	ɦʲ i d r ɔ ɫ o ɦʲ i t͡ʃ n e i̯
гідрологія	ɦʲ i d r ɔ ɫ ɔ ɦʲ i j ɐ
гілка	ɦʲ i ɫ k ɐ
гілля	ɦʲ i lʲː ɐ
гілля	ɦʲ i lʲː ɑ
гімно	ɦʲ i m n ɔ
гін	ɦʲ i n
гінеколог	ɦʲ i n e k ɔ ɫ ɔ ɦ
гінекологічний	ɦʲ i n e k ɔ ɫ o ɦʲ i t͡ʃ n e i̯
гінекологія	ɦʲ i n e k ɔ ɫ ɔ ɦʲ i j ɐ
гіперінфляція	ɦʲ i p e rʲ i n f lʲ ɑ t͡sʲ i j ɐ
гіперактивність	ɦʲ i p e r ɐ k t ɪ u̯ nʲ i sʲ tʲ
гіперактивний	ɦʲ i p e r ɐ k t ɪ u̯ n e i̯
гіперпосилання	ɦʲ i p e r p ɔ s e ɫ ɑ nʲː ɐ
гіпотеза	ɦʲ i p ɔ t e z ɐ
гіркий	ɦʲ i r k ɪ i̯
гірський	ɦʲ i r sʲ k ɪ i̯
гірший	ɦʲ i r ʃ e i̯
гість	ɦʲ i sʲ tʲ
гітара	ɦʲ i t ɑ r ɐ
гаїті	ɦ ɐ j i tʲ i
гавана	ɦ ɐ ʋ ɑ n ɐ
гаванський	ɦ ɑ ʋ ɐ nʲ sʲ k e i̯
гаванський	ɦ ɐ ʋ ɑ nʲ sʲ k e i̯
гавань	ɦ ɑ ʋ ɐ nʲ
гавкати	ɦ ɑ u̯ k ɐ t e
гагауз	ɦ ɐ ɦ ɐ u z
гад	ɦ ɑ d
гадати	ɦ ɐ d ɑ t e
гаджет	ɦ ɑ d͡ʒ e t
гаджуґа	ɦ ɐ d͡ʒ u ɡ ɐ
гадюка	ɦ ɐ dʲ u k ɐ
газ	ɦ ɑ z
газета	ɦ ɐ z ɛ t ɐ
газопровід	ɦ ɐ z ɔ p r ɔ ʋʲ i d
газопровід	ɦ ɐ z ɔ p r ɔ ʋʲ i d
газу	ɦ ɑ z ʊ
гай	ɦ ɑ i̯
гайстер	ɦ ɑ i̯ s t e r
гал	ɦ ɑ ɫ
галактика	ɦ ɐ ɫ ɑ k t e k ɐ
галактичний	ɦ ɐ ɫ ɐ k t ɪ t͡ʃ n e i̯
галамагати	ɦ ɐ ɫ ɐ m ɑ ɦ ɐ t e
галасливий	ɦ ɐ ɫ ɐ s ɫ ɪ ʋ e i̯
галерея	ɦ ɐ ɫ e r ɛ j ɐ
галина	ɦ ɐ ɫ ɪ n ɐ
галиця	ɦ ɑ ɫ e t͡sʲ ɐ
галич	ɦ ɑ ɫ e t͡ʃ
галка	ɦ ɑ ɫ k ɐ
галстук	ɦ ɑ ɫ s t ʊ k
галузь	ɦ ɑ ɫ ʊ zʲ
галун	ɦ ɐ ɫ u n
галушка	ɦ ɐ ɫ u ʃ k ɐ
гальмо	ɦ ɐ lʲ m ɔ
галюцинація	ɦ ɐ lʲ ʊ t͡s e n ɑ t͡sʲ i j ɐ
галюциногенний	ɦ ɐ lʲ ʊ t͡s e n ɔ ɦ ɛ nː e i̯
галявина	ɦ ɐ lʲ ɑ ʋ e n ɐ
гаманець	ɦ ɐ m ɐ n ɛ t͡sʲ
гамбія	ɦ ɑ m bʲ i j ɐ
гамуз	ɦ ɑ m ʊ z
гамузом	ɦ ɑ m ʊ z ɔ m
гана	ɦ ɑ n ɐ
ганебний	ɦ ɐ n ɛ b n e i̯
ганьба	ɦ ɐ nʲ b ɑ
ганьбити	ɦ ɐ nʲ b ɪ t e
ганяти	ɦ ɐ nʲ ɑ t e
гарантія	ɦ ɐ r ɑ nʲ tʲ i j ɐ
гарантувати	ɦ ɐ r ɐ n t ʊ ʋ ɑ t e
гарбуз	ɦ ɐ r b u z
гармата	ɦ ɐ r m ɑ t ɐ
гармонія	ɦ ɐ r m ɔ nʲ i j ɐ
гарнізон	ɦ ɐ r nʲ i z ɔ n
гарний	ɦ ɑ r n e i̯
гарячий	ɦ ɐ rʲ ɑ t͡ʃ e i̯
гаучо	ɦ ɑ ʊ t͡ʃ ɔ
гачек	ɦ ɑ t͡ʃ e k
гаяти	ɦ ɑ j ɐ t e
гаятися	ɦ ɑ j ɐ t e sʲ ɐ
гвінея	ɦ ʋʲ i n ɛ j ɐ
гвинт	ɦ ʋ ɪ n t
гвинтівка	ɦ ʋ e nʲ tʲ i u̯ k ɐ
гданськ	ɦ d ɑ nʲ sʲ k
гей	ɦ ɛ i̯
геймплей	ɦ e i̯ m p ɫ ɛ i̯
гелій	ɦ ɛ lʲ i i̯
гель	ɦ ɛ lʲ
геморой	ɦ e m ɔ r ɔ i̯
генасамблея	ɦ e n ɐ s ɐ m b ɫ ɛ j ɐ
гендер	ɦ ɛ n d e r
гендерний	ɦ ɛ n d e r n e i̯
генеалогічний	ɦ e n e ɐ ɫ o ɦʲ i t͡ʃ n e i̯
генеалогія	ɦ e n e ɐ ɫ ɔ ɦʲ i j ɐ
генерація	ɦ e n e r ɑ t͡sʲ i j ɐ
генерувати	ɦ e n e r ʊ ʋ ɑ t e
генетика	ɦ e n ɛ t e k ɐ
генетичний	ɦ e n e t ɪ t͡ʃ n e i̯
геном	ɦ e n ɔ m
геном	ɦ ɛ n ɔ m
геноцид	ɦ e n ɔ t͡s ɪ d
геноцидів	ɦ e n ɔ t͡s ɪ dʲ i u̯
геноциди	ɦ e n ɔ t͡s ɪ d e
географія	ɦ e ɔ ɦ r ɑ fʲ i j ɐ
геометрія	ɦ e ɔ m ɛ tʲ rʲ i j ɐ
геометрична	ɦ e ɔ m e t r ɪ t͡ʃ n ɐ
геометричний	ɦ e ɔ m e t r ɪ t͡ʃ n e i̯
геоморфологічний	ɦ e ɔ m ɔ r f ɔ ɫ o ɦʲ i t͡ʃ n e i̯
геоморфологія	ɦ e ɔ m ɔ r f ɔ ɫ ɔ ɦʲ i j ɐ
геополітика	ɦ e ɔ p o lʲ i t e k ɐ
геополітичний	ɦ e ɔ p ɔ lʲ i t ɪ t͡ʃ n e i̯
георгій	ɦ e ɔ r ɦʲ i i̯
геофізика	ɦ e o fʲ i z e k ɐ
геофізичний	ɦ e ɔ fʲ i z ɪ t͡ʃ n e i̯
геральдика	ɦ e r ɑ lʲ d e k ɐ
гербата	ɦ e r b ɑ t ɐ
гервасій	ɦ e r ʋ ɑ sʲ i i̯
героїчний	ɦ e r ɔ j i t͡ʃ n e i̯
герой	ɦ e r ɔ i̯
герцеговина	ɦ e r t͡s e ɦ ɔ ʋ ɪ n ɐ
герцог	ɦ ɛ r t͡s ɔ ɦ
герцогиня	ɦ e r t͡s ɔ ɦ ɪ nʲ ɐ
гетьман	ɦ ɛ tʲ m ɐ n
гидкий	ɦ e d k ɪ i̯
гинути	ɦ ɪ n ʊ t e
глід	ɦ lʲ i d
глава	ɦ ɫ ɐ ʋ ɑ
глаголиця	ɦ ɫ ɐ ɦ ɔ ɫ e t͡sʲ ɐ
гладіатор	ɦ ɫ ɐ dʲ i ɑ t ɔ r
гладіаторський	ɦ ɫ ɐ dʲ i ɑ t ɔ r sʲ k e i̯
гладилка	ɦ ɫ ɐ d ɪ ɫ k ɐ
гладкість	ɦ ɫ ɑ dʲ kʲ i sʲ tʲ
гладкий	ɦ ɫ ɑ d k e i̯
гладкий	ɦ ɫ ɐ d k ɪ i̯
глек	ɦ ɫ ɛ k
глибина	ɦ ɫ e b e n ɑ
глибинний	ɦ ɫ e b ɪ nː e i̯
глибокий	ɦ ɫ e b ɔ k e i̯
глина	ɦ ɫ ɪ n ɐ
глиняний	ɦ ɫ ɪ nʲ ɐ n e i̯
глитати	ɦ ɫ e t ɑ t e
глобалізація	ɦ ɫ ɔ b ɐ lʲ i z ɑ t͡sʲ i j ɐ
глобальний	ɦ ɫ ɔ b ɑ lʲ n e i̯
глобус	ɦ ɫ ɔ b ʊ s
глузд	ɦ ɫ u z d
глупий	ɦ ɫ u p e i̯
глухий	ɦ ɫ ʊ x ɪ i̯
глядіти	ɦ lʲ ɐ dʲ i t e
глядач	ɦ lʲ ɐ d ɑ t͡ʃ
глядачка	ɦ lʲ ɐ d ɑ t͡ʃ k ɐ
глянути	ɦ lʲ ɑ n ʊ t e
гнів	ɦ nʲ i u̯
гніватися	ɦ nʲ i ʋ ɐ t e sʲ ɐ
гнідий	ɦ nʲ i d ɪ i̯
гніздо	ɦ nʲ i z d ɔ
гній	ɦ nʲ i i̯
гнати	ɦ n ɑ t e
гнилий	ɦ n e ɫ ɪ i̯
гнити	ɦ n ɪ t e
гнути	ɦ n u t e
говіркий	ɦ ɔ ʋʲ i r k ɪ i̯
говорити	ɦ ɔ w ɔ r ɪ t e
гоголь	ɦ ɔ ɦ ɔ lʲ
гоголь	ɦ ɔ ɦ ɔ lʲ
година	ɦ ɔ d ɪ n ɐ
годинник	ɦ ɔ d ɪ nː e k
годувати	ɦ ɔ d ʊ ʋ ɑ t e
голий	ɦ ɔ ɫ e i̯
голка	ɦ ɔ ɫ k ɐ
голландія	ɦ ɔ ɫː ɑ nʲ dʲ i j ɐ
голландець	ɦ ɔ ɫː ɑ n d e t͡sʲ
голландка	ɦ ɔ ɫː ɑ n d k ɐ
голландський	ɦ ɔ ɫː ɑ n d͡zʲ sʲ k e i̯
голова	ɦ ɔ ɫ ɔ ʋ ɑ
головний	ɦ ɔ ɫ ɔ u̯ n ɪ i̯
головно	ɦ ɔ ɫ ɔ u̯ n ɔ
голод	ɦ ɔ ɫ ɔ d
голодний	ɦ ɔ ɫ ɔ d n e i̯
голодомор	ɦ ɔ ɫ ɔ d ɔ m ɔ r
голодомор	ɦ ɔ ɫ ɔ d ɔ m ɔ r
голос	ɦ ɔ ɫ ɔ s
голосний	ɦ ɔ ɫ ɔ s n ɪ i̯
голосування	ɦ ɔ ɫ ɔ s ʊ ʋ ɑ nʲː ɐ
голосувати	ɦ ɔ ɫ ɔ s ʊ ʋ ɑ t e
голота	ɦ ɔ ɫ ɔ t ɐ
голуб	ɦ ɔ ɫ ʊ b
голубий	ɦ ɔ ɫ ʊ b ɪ i̯
гольф	ɦ ɔ lʲ f
гомель	ɦ ɔ m e lʲ
гомосексуалізм	ɦ ɔ m ɔ s e k s ʊ ɐ lʲ i z m
гомосексуаліст	ɦ ɔ m ɔ s e k s ʊ ɐ lʲ i s t
гомосексуальність	ɦ ɔ m ɔ s e k s ʊ ɑ lʲ nʲ i sʲ tʲ
гомосексуальний	ɦ ɔ m ɔ s e k s ʊ ɑ lʲ n e i̯
гони	ɦ ɔ n e
гонконг	ɦ ɔ n k ɔ n ɦ
гонор	ɦ ɔ n ɔ r
гончар	ɦ ɔ n t͡ʃ ɑ r
горілка	ɦ o rʲ i ɫ k ɐ
горілки	ɦ o rʲ i ɫ k e
горілки	ɦ ɔ rʲ i ɫ k ɪ
горілок	ɦ o rʲ i ɫ ɔ k
горілок	ɦ ɔ rʲ i ɫ ɔ k
горіти	ɦ o rʲ i t e
горіх	ɦ o rʲ i x
гора	ɦ ɔ r ɐ
гора	ɦ ɔ r ɑ
горб	ɦ ɔ r b
гордість	ɦ ɔ r dʲ i sʲ tʲ
гордий	ɦ ɔ r d e i̯
гординя	ɦ ɔ r d ɪ nʲ ɐ
гордитися	ɦ ɔ r d ɪ t e sʲ ɐ
горе	ɦ ɔ r e
горизонт	ɦ ɔ r e z ɔ n t
горизонті	ɦ ɔ r e z ɔ nʲ tʲ i
