ԱԱ	ɑ ɑ
բարձրունք	b ɑ ɾ t͡sʰ ɾ u n kʰ
բարմեն	b ɑ ɾ m e n
բարյավ	b ɑ ɾ j ɑ v
բարյացակամ	b ɑ ɾ j ɑ t͡sʰ ɑ k ɑ m
բարոյական	b ɑ ɾ o j ɑ k ɑ n
բարոյականություն	b ɑ ɾ o j ɑ k ɑ n u tʰ j u n
բարոն	b ɑ ɾ o n
բարով	b ɑ ɾ o v
բարորակ	b ɑ ɾ o ɾ ɑ k
բարութ	b ɑ ɾ u tʰ
բարվոք	b ɑ ɾ v o kʰ
բարք	b ɑ ɾ kʰ
բարօրություն	b ɑ ɾ o ɾ u tʰ j u n
բարև	b ɑ ɾ e v
բարևել	b ɑ ɾ e v e l
բաց	b ɑ t͡sʰ
բացակա	b ɑ t͡sʰ ɑ k ɑ
բացակայություն	b ɑ t͡sʰ ɑ k ɑ j u tʰ j u n
բացականչ	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ
բացականչական	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ ɑ k ɑ n
բացականչել	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ e l
բացականչություն	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ u tʰ j u n
բացականչում	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ u m
բացահայտ	b ɑ t͡sʰ ɑ h ɑ j t
բացահայտում	b ɑ t͡sʰ ɑ h ɑ j t u m
բացառաբար	b ɑ t͡sʰ ɑ r ɑ b ɑ ɾ
բացառական	b ɑ t͡sʰ ɑ r ɑ k ɑ n
բացառապես	b ɑ t͡sʰ ɑ r ɑ p e s
բացառել	b ɑ t͡sʰ ɑ r e l
բացառիկ	b ɑ t͡sʰ ɑ r i k
բացառիկություն	b ɑ t͡sʰ ɑ r i k u tʰ j u n
բացառություն	b ɑ t͡sʰ ɑ r u tʰ j u n
բացառվել	b ɑ t͡sʰ ɑ r v e l
բացասական	b ɑ t͡sʰ ɑ s ɑ k ɑ n
բացատ	b ɑ t͡sʰ ɑ t
բացատրական	b ɑ t͡sʰ ɑ t ɾ ɑ k ɑ n
բացատրել	b ɑ t͡sʰ ɑ t ɾ e l
բացատրություն	b ɑ t͡sʰ ɑ t ə ɾ u tʰ j u n
բացարձակ	b ɑ t͡sʰ ɑ ɾ t͡sʰ ɑ k
բացարձակապես	b ɑ t͡sʰ ɑ ɾ t͡sʰ ɑ k ɑ p e s
բացբերեն	b ɑ t͡sʰ b e ɾ e n
բացել	b ɑ t͡sʰ e l
բացի	b ɑ t͡sʰ i
բացիչ	b ɑ t͡sʰ i t͡ʃʰ
բացմենակ	b ɑ t͡sʰ m e n ɑ k
բացորոշ	b ɑ t͡sʰ o ɾ o ʃ
բացորոշաբար	b ɑ t͡sʰ o ɾ o ʃ ɑ b ɑ ɾ
բացորոշակի	b ɑ t͡sʰ o ɾ o ʃ ɑ k i
բացորոշապես	b ɑ t͡sʰ o ɾ o ʃ ɑ p e s
բացում	b ɑ t͡sʰ u m
բացվածք	b ɑ t͡sʰ v ɑ t͡s kʰ
բացվել	b ɑ t͡sʰ v e l
բացօթյա	b ɑ t͡sʰ o tʰ j ɑ
բդեշխ	b ə d e ʃ χ
բեգեմոնդ	b e ɡ e m o n d
բեգեմոնտ	b e ɡ e m o n t
բեգեմոտ	b e ɡ e m o t
բեզմեն	b e z m e n
բելառուս	b e l ɑ r u s
բելառուսական	b e l ɑ r u s ɑ k ɑ n
բելառուսերեն	b e l ɑ r u s e ɾ e n
բելոռուսերեն	b e l o r u s e ɾ e n
բելուջերեն	b e l u d͡ʒ e ɾ e n
բեխաբար	b e χ ɑ b ɑ ɾ
բեկանել	b e k ɑ n e l
բեկել	b e k e l
բեկոր	b e k o ɾ
բեհեզ	b e h e z
բեղ	b e ʁ
բեղեր	b e ʁ e ɾ
բեղմ	b e ʁ m
բեղմնավորում	b e ʁ m n ɑ v o ɾ u m
բեղուն	b e ʁ u n
բեմ	b e m
բեմադրություն	b e m ɑ d ɾ u tʰ j u n
բեյթ	b e j tʰ
բեյխաբար	b e j χ ɑ b ɑ ɾ
բեյսբոլ	b e j s b o l
բեն	b e n
բենգալերեն	b e n ɡ ɑ l e ɾ e n
բենգալի	b e n ɡ ɑ l i
բենեդիկտյան	b e n e d i k t j ɑ n
բենզալցակայան	b e n z ɑ l ə t͡sʰ ɑ k ɑ j ɑ n
բենզասղոց	b e n z ɑ s ə ʁ o t͡sʰ
բենզին	b e n z i n
բենկորճ	b e n k o ɾ t͡ʃ
բեռ	b e r
բեռնախցիկ	b e r n ɑ χ ə t͡sʰ i k
բեռնատար	b e r n ɑ t ɑ ɾ
բեռնարգելք	b e r n ɑ ɾ kʰ e l kʰ
բեռնյան	b e r n j ɑ n
բեսեդկա	b i s e d k ɑ
բեսթսելեր	b e s tʰ s e l e ɾ
բեսիրաթ	b e s i ɾ ɑ tʰ
բետոն	b e t o n
բերան	b e ɾ ɑ n
բերանային	b e ɾ ɑ n ɑ j i n
բերանացի	b e ɾ ɑ n ɑ t͡sʰ i
բերանի	b e ɾ ɑ n i
բերբեր	b e ɾ b e ɾ
բերդ	b e ɾ tʰ
բերել	b e ɾ e l
բերիլիում	b e ɾ i l i j u m
բերկլիում	b e ɾ k l i j u m
բերման	b e ɾ m ɑ n
բերնային	b e ɾ n ɑ j i n
բերում	b e ɾ u m
բերրի	b e ɾ ɾ i
բերք	b e ɾ kʰ
բզեզ	b ə z e z
բզզալ	b ə z z ɑ l
բզրուկ	b ə z ɾ u k
բժիշկ	b ə ʒ i ʃ k
բժշկագիտություն	b ə ʒ ə ʃ k ɑ ɡ i t u tʰ j u n
բժշկական	b ə ʒ ə ʃ k ɑ k ɑ n
բժշկել	b ə ʒ ə ʃ k e l
բժշկություն	b ə ʒ ə ʃ k u tʰ j u n
բժշկում	b ə ʒ ə ʃ k u m
բիբ	b i b
բիբար	b i b ɑ ɾ
բիբլիոգրաֆիա	b i b l i o ɡ ɾ ɑ f i ɑ
բիզ	b i z
բիզնես	b i z n e s
բիզնեսմեն	b i z n e s m e n
բիզոն	b i z o n
բիթ	b i tʰ
բիլ	b i l
բիլակ	b i l ɑ k
բիլիոն	b i l j o n
բիծ	b i t͡s
բիհարի	b i h ɑ ɾ i
բիճ	b i t͡ʃ
բինտ	b i n t
բիոլոգիա	b i j o l o ɡ i ɑ
բիչոկ	b i t͡ʃʰ o k
բիսլամա	b i s l ɑ m ɑ
բիսմութ	b i s m u tʰ
բիստրո	b i s t ɾ o
բիր	b i ɾ
բիրմաներեն	b i ɾ m ɑ n e ɾ e n
բիրտ	b i ɾ t
բիֆշտեքս	b i f ʃ t e kʰ s
բլբլալ	b ə l b ə l ɑ l
բլբուլ	b ə l b u l
բլթակ	b ə l tʰ ɑ k
բլիթ	b ə l i tʰ
բլղուր	b ə l ʁ u ɾ
բլղուրապուր	b ə l ʁ u ɾ ɑ p u ɾ
բլնգազ	b ə l ə n ɡ ɑ z
բլոգ	b l o ɡ
բլոգ	b ə l o ɡ
բլոգգեր	b ə l o ɡ ɡ e ɾ
բլոգեր	b ə l o ɡ e ɾ
բլոկ	b l o k
բլոկ	b ə l o k
բլոկադա	b l o k ɑ d ɑ
բլոճ	b ə l o t͡ʃ
բլոջ	b ə l o d͡ʒ
բլոտ	b ə l o t
բլուր	b ə l u ɾ
բխել	b ə χ e l
բխկալ	b ə χ k ɑ l
բծախնդիր	b ə t͡s ɑ χ ə n tʰ i ɾ
բհոջպուրի	b h o d͡ʒ p u ɾ i
բղավել	b ə ʁ ɑ v e l
բղուղ	b ə ʁ u ʁ
բղջախոհություն	b ə ʁ d͡ʒ ɑ χ o h u tʰ j u n
բմբուլ	b ə m b u l
բյորեկ	b j o ɾ e k
բյուզանդական	b j u z ɑ n d ɑ k ɑ n
բյուզանդացի	b j u z ɑ n d ɑ t͡sʰ i
բյուջե	b j u d͡ʒ e
բյուջետային	b j u d͡ʒ e t ɑ j i n
բյուր	b j u ɾ
բյուրեղ	b j u ɾ e ʁ
բնաբան	b ə n ɑ b ɑ n
բնագիր	b ə n ɑ ɡ i ɾ
բնադրել	b ə n ɑ d ɾ e l
բնազանցություն	b ə n ɑ z ɑ n t͡sʰ u tʰ j u n
բնազդ	b ə n ɑ z d
բնական	b ə n ɑ k ɑ n
բնակարան	b ə n ɑ k ɑ ɾ ɑ n
բնակել	b ə n ɑ k e l
բնակիչ	b ə n ɑ k i t͡ʃʰ
բնակչություն	b ə n ɑ k t͡ʃʰ u tʰ j u n
բնակվել	b ə n ɑ k v e l
բնակտոր	b ə n ɑ k ə t o ɾ
բնապահպանություն	b ə n ɑ p ɑ h p ɑ n u tʰ j u n
բնապատկեր	b ə n ɑ p ɑ t k e ɾ
բնավ	b ə n ɑ v
բնավորություն	b ə n ɑ v o ɾ u tʰ j u n
բնիկ	b ə n i k
բնովի	b ə n o v i
բնորոշ	b ə n o ɾ o ʃ
բնորոշել	b ə n o ɾ o ʃ e l
բնութագրել	b ə n u tʰ ɑ ɡ ə ɾ e l
բնություն	b ə n u tʰ j u n
բնույթ	b ə n u j tʰ
բնօրրան	b ə n o ɾ ɾ ɑ n
բշտիկ	b ə ʃ t i k
բոբիկ	b o b i k
բոբիկանալ	b o b i k ɑ n ɑ l
բոզ	b o z
բոզավագ	b o z ɑ v ɑ kʰ
բոզբաշ	b o z b ɑ ʃ
բոզի	b o z i
բոզոն	b o z o n
բոզություն	b o z u tʰ j u n
բոժախ	b o ʒ ɑ χ
բոժոժ	b o ʒ o ʒ
բոլշևիկ	b o l ʃ e v i k
բոլոր	b o l o ɾ
բոլորակ	b o l o ɾ ɑ k
բոլորը	b o l o ɾ ə
բոլորշի	b o l o ɾ ʃ i
բոլորովին	b o l o ɾ o v i n
բոլորք	b o l o ɾ kʰ
բոլուկ	b o l u k
բոխախ	b o χ ɑ χ
բոխատերև	b o χ ɑ t e ɾ e v
բոխի	b o χ i
բոկ	b o k
բոկեղ	b o k e ʁ
բոկոտ	b o k o t
բոկոտն	b o k o t ə n
բող	b o ʁ
բողբոջ	b o ʁ b o d͡ʒ
բողբոջել	b o ʁ b o d͡ʒ e l
բողկ	b o χ k
բողկուկ	b o χ k u k
բողոճ	b o ʁ o t͡ʃ
բողոք	b o ʁ o kʰ
բողոքականություն	b o ʁ o kʰ ɑ k ɑ n u tʰ j u n
բողոքավոր	b o ʁ o kʰ ɑ v o ɾ
բողոքարկել	b o ʁ o kʰ ɑ ɾ k e l
բողոքարկում	b o ʁ o kʰ ɑ ɾ k u m
բողոքել	b o ʁ o kʰ e l
բոմժ	b o m ʒ
բոյ	b o j
բոյկոտ	b o j k o t
բոյով	b o j o v
բոնուս	b o n u s
բոշ	b o ʃ
բոշա	b o ʃ ɑ
բոշայերեն	b o ʃ ɑ j e ɾ e n
բոպիկ	b o p i k
բոպլիկ	b o p l i k
բոռ	b o r
բոսնիերեն	b o s n i e ɾ e n
բոսոր	b o s o ɾ
բոստան	b o s t ɑ n
բով	b o v
բովանդակ	b o v ɑ n d ɑ k
բովանդակային	b o v ɑ n d ɑ k ɑ j i n
բովանդակություն	b o v ɑ n d ɑ k u tʰ j u n
բովել	b o v e l
բոր	b o ɾ
բորակ	b o ɾ ɑ k
բորան	b o ɾ ɑ n
բորբ	b o ɾ b
բորբոս	b o ɾ b o s
բորբոք	b o ɾ b o kʰ
բորբոքել	b o ɾ b o kʰ e l
բորբոքում	b o ɾ b o kʰ u m
բորդել	b o ɾ d e l
բորեկ	b o ɾ e k
բորենի	b o ɾ e n i
բորիում	b o ɾ i u m
բորշ	b o ɾ ʃ
բորշչ	b o ɾ ʃ t͡ʃʰ
բորոտ	b o ɾ o t
բորսա	b o ɾ s ɑ
բորտուղեկցորդ	b o ɾ t u ʁ e k t͡sʰ o ɾ tʰ
բորտուղեկցորդուհի	b o ɾ t u ʁ e k t͡sʰ o ɾ tʰ u h i
բոց	b o t͡sʰ
բոցարձակ	b o t͡sʰ ɑ ɾ t͡sʰ ɑ k
բոցեղեն	b o t͡sʰ e ʁ e n
բու	b u
բուգ	b u ɡ
բուդ	b u d
բուդդայականություն	b u d d ɑ j ɑ k ɑ n u tʰ j u n
բուդդիզմ	b u d d i z m
բուդկա	b u d k ɑ
բութ	b u tʰ
բուժառու	b u ʒ ɑ r u
բուժել	b u ʒ e l
բուժկետ	b u ʒ k e t
բուժում	b u ʒ u m
բուժքույր	b u ʒ kʰ u j ɾ
բուլդոզեր	b u l d o z e ɾ
բուլկի	b u l k i
բուլղարացի	b u l ʁ ɑ ɾ ɑ t͡sʰ i
բուլղարերեն	b u l ʁ ɑ ɾ e ɾ e n
բուխ	b u χ
բուխախ	b u χ ɑ χ
բուխարա	b u χ ɑ ɾ ɑ
բուխարական	b u χ ɑ ɾ ɑ k ɑ n
բուխարի	b u χ ɑ ɾ i
բուխարիկ	b u χ ɑ ɾ i k
բուծ	b u t͡s
բուծանել	b u t͡s ɑ n e l
բուծել	b u t͡s e l
բուկ	b u k
բուհ	b u h
բուղա	b u ʁ ɑ
բումերանգ	b u m e ɾ ɑ n ɡ
բույթ	b u j tʰ
բույլ	b u j l
բույն	b u j n
բույս	b u j s
բույր	b u j ɾ
բուն	b u n
բունկալ	b u n k ɑ l
բունկեն	b u n k e n
բունկեր	b u n k e ɾ
բունոց	b u n o t͡sʰ
բուշտ	b u ʃ t
բուռ	b u r
բուռն	b u r ə n
բուսաբան	b u s ɑ b ɑ n
բուսաբանական	b u s ɑ b ɑ n ɑ k ɑ n
բուսաբանություն	b u s ɑ b ɑ n u tʰ j u n
բուսական	b u s ɑ k ɑ n
բուսակեր	b u s ɑ k e ɾ
բուսակերություն	b u s ɑ k e ɾ u tʰ j u n
բուսանել	b u s ɑ n e l
բուսնել	b u s n e l
բուստ	b u s t
բուտ	b u t
բուրաստան	b u ɾ ɑ s t ɑ n
բուրբոն	b u ɾ b o n
բուրգ	b u ɾ ɡ
բուրգեր	b u ɾ ɡ e ɾ
բուրգունդյան	b u ɾ ɡ u n d j ɑ n
բուրդ	b u ɾ tʰ
բուրել	b u ɾ e l
բուրժուա	b u ɾ ʒ u ɑ
բուրժուազիա	b u ɾ ʒ u ɑ z i ɑ
բուրմունք	b u ɾ m u n kʰ
բուրում	b u ɾ u m
բուրվառ	b u ɾ v ɑ r
բուք	b u kʰ
բոքս	b o kʰ s
բջիջ	b ə d͡ʒ i d͡ʒ
բջջաբան	b ə d͡ʒ ə d͡ʒ ɑ b ɑ n
բջջաբանական	b ə d͡ʒ ə d͡ʒ ɑ b ɑ n ɑ k ɑ n
բջջաբանություն	b ə d͡ʒ ə d͡ʒ ɑ b ɑ n u tʰ j u n
բջջային	b ə d͡ʒ ə d͡ʒ ɑ j i n
բռի	b ə r i
բռինչ	b ə r i n t͡ʃʰ
բռնաբար	b ə r n ɑ b ɑ ɾ
բռնաբարել	b ə r n ɑ b ɑ ɾ e l
բռնաբարող	b ə r n ɑ b ɑ ɾ o ʁ
բռնաբարություն	b ə r n ɑ b ɑ ɾ u tʰ j u n
բռնադատել	b ə r n ɑ d ɑ t e l
բռնազավթում	b ə r n ɑ z ɑ f tʰ u m
բռնակ	b ə r n ɑ k
բռնակալ	b ə r n ɑ k ɑ l
բռնակալություն	b ə r n ɑ k ɑ l u tʰ j u n
բռնապետ	b ə r n ɑ p e t
բռնապետություն	b ə r n ɑ p e t u tʰ j u n
բռնել	b ə r n e l
բռնոցի	b ə r n o t͡sʰ i
բռնություն	b ə r n u tʰ j u n
բռնչի	b ə r ə n t͡ʃʰ i
բռնցքամարտ	b ə r ə n t͡sʰ kʰ ɑ m ɑ ɾ t
բռունցք	b ə r u n t͡sʰ kʰ
բվեճ	b ə v e t͡ʃ
բտել	b ə t e l
բրավո	b ə ɾ ɑ v o
բրդել	b ə ɾ tʰ e l
բրդյա	b ə ɾ tʰ j ɑ
բրետ	b ə ɾ e t
բրետոներեն	b ɾ e t o n e ɾ e n
բրեցել	b ɾ e t͡sʰ e l
բրթել	b ə ɾ tʰ e l
բրիգադ	b ɾ i ɡ ɑ d
բրինձ	b ə ɾ i n d͡z
բրիչ	b ə ɾ i t͡ʃʰ
բրիտանական	b ɾ i t ɑ n ɑ k ɑ n
բրիտանացի	b ɾ i t ɑ n ɑ t͡sʰ i
բրիտվա	b ɾ i t v ɑ
բրնձապուր	b ə ɾ ə n d͡z ɑ p u ɾ
բրոմ	b ɾ o m
բրոնզ	b ə ɾ o n z
բրոշ	b ə ɾ o ʃ
բրոունյան	b ɾ o u n j ɑ n
բրուտ	b ə ɾ u t
բրուցելյոզ	b ɾ u t͡sʰ e l j o z
բրուցելոզ	b ɾ u t͡sʰ e l o z
բևեռ	b e v e r
բևեռային	b e v e r ɑ j i n
բևեռացույց	b e v e r ɑ t͡sʰ u j t͡sʰ
գ	ɡ ə
գագաթ	ɡ ɑ ɡ ɑ tʰ
գագաթաժողով	ɡ ɑ ɡ ɑ tʰ ɑ ʒ o ʁ o v
գագաթնաժողով	ɡ ɑ ɡ ɑ tʰ n ɑ ʒ o ʁ o v
գադոլինիում	ɡ ɑ d o l i n i j u m
գազ	ɡ ɑ z
գազալցակայան	ɡ ɑ z ɑ l ə t͡sʰ ɑ k ɑ j ɑ n
գազախ	ɡ ɑ z ɑ χ
գազային	ɡ ɑ z ɑ j i n
գազան	ɡ ɑ z ɑ n
գազանանոց	ɡ ɑ z ɑ n ɑ n o t͡sʰ
գազանություն	ɡ ɑ z ɑ n u tʰ j u n
գազար	ɡ ɑ z ɑ ɾ
գազարագույն	ɡ ɑ z ɑ ɾ ɑ ɡ u j n
գազոն	ɡ ɑ z o n
գազոնահնձիչ	ɡ ɑ z o n ɑ h ə n d͡z i t͡ʃʰ
գազօջախ	ɡ ɑ z o d͡ʒ ɑ χ
գաթա	ɡ ɑ tʰ ɑ
գալ	ɡ ɑ l
գալակտիկա	ɡ ɑ l ɑ k t i k ɑ
գալակտիկական	ɡ ɑ l ɑ k t i k ɑ k ɑ n
գալար	ɡ ɑ l ɑ ɾ
գալարել	ɡ ɑ l ɑ ɾ e l
գալարվել	ɡ ɑ l ɑ ɾ v e l
գալիում	ɡ ɑ l i j u m
գալիս	ɡ ɑ l i s
գալլերեն	ɡ ɑ l l e ɾ e n
գալյեգո	ɡ ɑ l j e ɡ o
գալուստ	ɡ ɑ l u s t
գալստուկ	ɡ ɑ l s t u k
գալստուկ	ɡ ɑ l ə s t u k
գահ	ɡ ɑ h
գահակալել	ɡ ɑ h ɑ k ɑ l e l
գահասրահ	ɡ ɑ h ɑ s ə ɾ ɑ h
գահավանդ	ɡ ɑ h ɑ v ɑ n d
գահավանդակ	ɡ ɑ h ɑ v ɑ n d ɑ k
գահույք	ɡ ɑ h u j kʰ
գաղափար	ɡ ɑ ʁ ɑ pʰ ɑ ɾ
գաղափարագիր	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ ɡ i ɾ
գաղափարախոս	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ χ o s
գաղափարախոսական	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ χ o s ɑ k ɑ n
գաղափարախոսություն	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ χ o s u tʰ j u n
գաղափարապաշտ	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ p ɑ ʃ t
գաղել	ɡ ɑ ʁ e l
գաղթ	ɡ ɑ χ tʰ
գաղթել	ɡ ɑ χ tʰ e l
գաղթեցում	ɡ ɑ χ tʰ e t͡sʰ u m
գաղձ	ɡ ɑ ʁ d͡z
գաղութ	ɡ ɑ ʁ u tʰ
գաղութատեր	ɡ ɑ ʁ u tʰ ɑ t e ɾ
գաղութատիրական	ɡ ɑ ʁ u tʰ ɑ t i ɾ ɑ k ɑ n
գաղութատիրություն	ɡ ɑ ʁ u tʰ ɑ t i ɾ u tʰ j u n
գաղութարար	ɡ ɑ ʁ u tʰ ɑ ɾ ɑ ɾ
գաղութացնել	ɡ ɑ ʁ u tʰ ɑ t͡sʰ n e l
գաղութացում	ɡ ɑ ʁ u tʰ ɑ t͡sʰ u m
գաղութացվել	ɡ ɑ ʁ u tʰ ɑ t͡sʰ v e l
գաղջ	ɡ ɑ ʁ d͡ʒ
գաղտ	ɡ ɑ χ t
գաղտակուր	ɡ ɑ χ t ɑ k u ɾ
գաղտնաբառ	ɡ ɑ χ t n ɑ b ɑ r
գաղտնի	ɡ ɑ χ t n i
գաղտնիք	ɡ ɑ χ t n i kʰ
գաղտրիկ	ɡ ɑ χ t ɾ i k
գամ	ɡ ɑ m
գամակ	ɡ ɑ m ɑ k
գամել	ɡ ɑ m e l
գամետ	ɡ ɑ m e t
գամփռ	ɡ ɑ m pʰ ə r
գայթակղել	ɡ ɑ j tʰ ɑ k ə ʁ e l
գայթակղություն	ɡ ɑ j tʰ ɑ k ə ʁ u tʰ j u n
գայիսոն	ɡ ɑ j i s o n
գայլ	ɡ ɑ j l
գայլաձուկ	ɡ ɑ j l ɑ d͡z u k
գայլաշուն	ɡ ɑ j l ɑ ʃ u n
գայլենի	ɡ ɑ j l e n i
գայլիկոն	ɡ ɑ j l i k o n
գայկա	ɡ ɑ j k ɑ
գայռ	ɡ ɑ j r
գան	ɡ ɑ n
գանգ	ɡ ɑ n ɡ
գանգաթիթեռ	ɡ ɑ n ɡ ɑ tʰ i tʰ e r
գանգատ	ɡ ɑ n ɡ ɑ t
գանգուր	ɡ ɑ n ɡ u ɾ
գանգրագեղ	ɡ ɑ n ɡ ɾ ɑ ɡ e ʁ
գանգրածածկ	ɡ ɑ n ɡ ɾ ɑ t͡s ɑ t͡s k
գանգրածայր	ɡ ɑ n ɡ ɾ ɑ t͡s ɑ j ɾ
գանգրահեր	ɡ ɑ n ɡ ɾ ɑ h e ɾ
գանգրաձև	ɡ ɑ n ɡ ɾ ɑ d͡z e v
գանգրամազ	ɡ ɑ n ɡ ɾ ɑ m ɑ z
գանգրանալ	ɡ ɑ n ɡ ɾ ɑ n ɑ l
գանգրանման	ɡ ɑ n ɡ ɾ ɑ n ə m ɑ n
գանգրաշուք	ɡ ɑ n ɡ ɾ ɑ ʃ u kʰ
գանգրավարս	ɡ ɑ n ɡ ɾ ɑ v ɑ ɾ s
գանգրավոր	ɡ ɑ n ɡ ɾ ɑ v o ɾ
գանգրավուն	ɡ ɑ n ɡ ɾ ɑ v u n
գանգրացնել	ɡ ɑ n ɡ ɾ ɑ t͡sʰ n e l
գանգրացում	ɡ ɑ n ɡ ɾ ɑ t͡sʰ u m
գանգրացվել	ɡ ɑ n ɡ ɾ ɑ t͡sʰ v e l
գանգրափունջ	ɡ ɑ n ɡ ɾ ɑ pʰ u n d͡ʒ
գանգրել	ɡ ɑ n ɡ ɾ e l
գանգրենա	ɡ ɑ n ɡ ɾ e n ɑ
գանգրիկ	ɡ ɑ n ɡ ɾ i k
գանգրոց	ɡ ɑ n ɡ ɾ o t͡sʰ
գանգրություն	ɡ ɑ n ɡ ɾ u tʰ j u n
գանգրվել	ɡ ɑ n ɡ ə ɾ v e l
գանդոն	ɡ ɑ n d o n
գանձ	ɡ ɑ n d͡z
գանձապահ	ɡ ɑ n d͡z ɑ p ɑ h
գանձավոր	ɡ ɑ n d͡z ɑ v o ɾ
գանձատուփ	ɡ ɑ n d͡z ɑ t u pʰ
գանձարան	ɡ ɑ n d͡z ɑ ɾ ɑ n
գանք	ɡ ɑ n kʰ
գաուչո	ɡ ɑ u t͡ʃʰ o
գաջ	ɡ ɑ d͡ʒ
գառ	ɡ ɑ r
գառագեղ	ɡ ɑ r ɑ ɡ e ʁ
գառաժ	ɡ ɑ r ɑ ʒ
գառնանգղ	ɡ ɑ r n ɑ n ɡ ə ʁ
գառնարած	ɡ ɑ r n ɑ ɾ ɑ t͡s
գառնենի	ɡ ɑ r n e n i
գառնուկ	ɡ ɑ r n u k
գասկոնցի	ɡ ɑ s k o n t͡sʰ i
գաստնիցա	ɡ ɑ s t n i t͡sʰ ɑ
գավազան	ɡ ɑ v ɑ z ɑ n
գավաթ	ɡ ɑ v ɑ tʰ
գավակ	ɡ ɑ v ɑ k
գավառ	ɡ ɑ v ɑ r
գավառական	ɡ ɑ v ɑ r ɑ k ɑ n
գավիթ	ɡ ɑ v i tʰ
գավոտ	ɡ ɑ v o t
գարաժ	ɡ ɑ ɾ ɑ ʒ
գարեջուր	ɡ ɑ ɾ e d͡ʒ u ɾ
գարեջրատուն	ɡ ɑ ɾ e d͡ʒ ə ɾ ɑ t u n
գարի	ɡ ɑ ɾ i
գարնային	ɡ ɑ ɾ n ɑ j i n
գարնանային	ɡ ɑ ɾ n ɑ n ɑ j i n
գարշ	ɡ ɑ ɾ ʃ
գարշապար	ɡ ɑ ɾ ʃ ɑ p ɑ ɾ
գարշել	ɡ ɑ ɾ ʃ e l
գարշելի	ɡ ɑ ɾ ʃ e l i
գարուն	ɡ ɑ ɾ u n
գափ	ɡ ɑ pʰ
գգվանք	ɡ ə kʰ v ɑ n kʰ
գգվել	ɡ ə kʰ v e l
գդալ	ɡ ə tʰ ɑ l
գդակ	ɡ ə d ɑ k
գդակագործ	ɡ ə d ɑ k ɑ ɡ o ɾ t͡s
գել	ɡ e l
գելարան	ɡ e l ɑ ɾ ɑ n
գելել	ɡ e l e l
գելոց	ɡ e l o t͡sʰ
գեղ	ɡ e ʁ
գեղագանգուր	ɡ e ʁ ɑ ɡ ɑ n ɡ u ɾ
գեղագետ	ɡ e ʁ ɑ ɡ e t
գեղագիտություն	ɡ e ʁ ɑ ɡ i t u tʰ j u n
գեղանի	ɡ e ʁ ɑ n i
գեղասահք	ɡ e ʁ ɑ s ɑ h kʰ
գեղարդ	ɡ e ʁ ɑ ɾ tʰ
գեղարվեստական	ɡ e ʁ ɑ ɾ v e s t ɑ k ɑ n
գեղարվեստականացնել	ɡ e ʁ ɑ ɾ v e s t ɑ k ɑ n ɑ t͡sʰ n e l
գեղարքունի	ɡ e ʁ ɑ ɾ kʰ u n i
գեղացի	ɡ e ʁ ɑ t͡sʰ i
գեղգեղել	ɡ e ʁ ɡ e ʁ e l
գեղեցիկ	ɡ e ʁ e t͡sʰ i k
գեղեցկահարմար	ɡ e ʁ e t͡sʰ k ɑ h ɑ ɾ m ɑ ɾ
գեղեցկություն	ɡ e ʁ e t͡sʰ k u tʰ j u n
գեղեցկուհի	ɡ e ʁ e t͡sʰ k u h i
գեղեցկուհին	ɡ e ʁ e t͡sʰ k u h i n
գեղձ	ɡ e ʁ d͡z
գեղձի	ɡ e ʁ d͡z i
գեղմ	ɡ e ʁ m
գեղմնավոր	ɡ e ʁ m n ɑ v o ɾ
գեղոն	ɡ e ʁ o n
գեղջուկ	ɡ e ʁ d͡ʒ u k
գեղցի	ɡ e χ t͡sʰ i
գեյզեր	ɡ e j z e ɾ
գեն	ɡ e n
գեներալ	ɡ e n e ɾ ɑ l
գեշ	ɡ e ʃ
գեոլոգիա	ɡ e j o l o ɡ i ɑ
գեպարդ	ɡ e p ɑ ɾ d
գեջ	ɡ e d͡ʒ
գես	ɡ e s
գեստապո	ɡ e s t ɑ p o
գեստապոյական	ɡ e s t ɑ p o j ɑ k ɑ n
գետ	ɡ e t
գետաբերան	ɡ e t ɑ b e ɾ ɑ n
գետակ	ɡ e t ɑ k
գետակինճ	ɡ e t ɑ k i n t͡ʃ
գետահովիտ	ɡ e t ɑ h o v i t
գետաձի	ɡ e t ɑ d͡z i
գետառ	ɡ e t ɑ r
գետափ	ɡ e t ɑ pʰ
գետին	ɡ e t i n
գետնախնձոր	ɡ e t n ɑ χ ə n d͡z o ɾ
գետնահարկ	ɡ e t n ɑ h ɑ ɾ k
գետնանուշ	ɡ e t n ɑ n u ʃ
գետնաշարժ	ɡ e t n ɑ ʃ ɑ ɾ ʒ
