अ	ə
मणेरी	m ə ɳ e ɾ i
मत	m ə t̪
मत्सर	m ə t̪ s ə ɾ
मत्स्य	m ə t̪ s j ə
मत्स्यवर्णन	m ə t̪ s j ə ʋ ə ɾ ɳ ə n
मत्स्याहार	m ə t̪ s j a ɦ a ɾ
मत्स्याहारी	m ə t̪ s j a ɦ a ɾ i
मथळा	m ə t̪ʰ ɭ̆ a
मदत	m ə d̪ ə t̪
मद्य	m ə d̪ j ə
मध	m ə d̪ʱ
मधमाशी	m ə d̪ʱ m a ɕ i
मधु	m ə d̪ʱ u
मधुमेह	m ə d̪ʱ u m e ɦ
मध्य	m ə d̪ʱ j ə
मध्यमा	m ə d̪ʱ j ə m a
मध्यरात्र	m ə d̪ʱ j ə ɾ a t̪ ɾ ə
मध्ये	m ə d̪ʱ j e
मध्ये	m ə d̪ʱ e
मन	m ə n
मनगट	m ə n ɡ ə ʈ
मनसुबा	m ə n s u b a
मनस्थिती	m ə n ə s t̪ʰ i t̪ i
मना	m ə n a
मनाई	m ə n a i
मनुका	m ə n u k a
मनुष्य	m ə n u ʂ j ə
मनुष्यवध	m ə n u ʂ j ə ʋ ə d̪ʱ
मने	m ə n e
मने	m ə n ə
मनोभाव	m ə n o bʱ a ʋ
मनोभावे	m ə n o bʱ a ʋ e
मनोरंजन	m ə n o ɾ ə n d͡ʑ ə n
मनोरा	m ə n o ɾ a
मनोवृत्ती	m ə n o ʋ ɾ u t̪ t̪ i
मम	m ə m ə
ममता	m ə m ə t̪ a
मयत	m ə j ə t̪
मयूख	m ə j u kʰ
मरण	m ə ɾ ə ɳ
मरणे	m ə ɾ ɳ e
मरणे	m ə ɾ ɳ ə
मराठा	m ə ɾ a ʈʰ a
मराठी	m ə ɾ a ʈʰ i
मरीया	m ə ɾ i j a
मर्द	m ə ɾ d̪ ə
मल	m ə l
मलपृष्ठ	m ə l p ɾ u ʂ ʈʰ ə
मला	m ə l a
मलूल	m ə l u l
मलेरिया	m ə l e ɾ i j a
मलेशिया	m ə l e ɕ i j a
मळ	m ə ɭ̆
मशाल	m ə ɕ a l
मशीद	m ə ɕ i d̪
मस्करी	m ə s k ə ɾ i
मस्का	m ə s k a
मस्त	m ə s t̪ ə
मस्तानी	m ə s t̪ a n i
महत्त्व	m ə ɦ ə t̪ t̪ ʋ ə
महत्व	m ə ɦ ə t̪ ʋ ə
महाग	m ə ɦ a ɡ
महादेव	m ə ɦ a d̪ e ʋ
महान	m ə ɦ a n
महाभारत	m ə ɦ a bʱ a ɾ ə t̪
महामंडळ	m ə ɦ a m ə ɳ ɖ ə ɭ̆
महायान	m ə ɦ a j a n
महाराष्ट्र	m ə ɦ a ɾ a ʂ ʈ ɾ ə
महाल	m ə ɦ a l
महाविद्यालय	m ə ɦ a ʋ i d̪ j a l ə j
महासागर	m ə ɦ a s a ɡ ə ɾ
महिना	m ə ɦ i n a
महोदय	m ə ɦ o d̪ ə j
मांजर	m a n d͡z ə ɾ
मांजरी	m a n d͡z ɾ i
मांडणे	m a ɳ ɖ ə ɳ e
मांडणे	m a ɳ ɖ ə ɳ ə
मांदूस	m a n d̪ u s
मांस	m a u s ə
मांसाहार	m a u s a ɦ a ɾ
मांसाहारी	m a u s a ɦ a ɾ i
माकड	m a k ə ɖ
माकडे	m a k ɖ e
माकडे	m a k ɖ ə
माखणे	m a kʰ ɳ e
माखणे	m a kʰ ɳ ə
माग	m a ɡ
मागणी	m a ɡ ɳ i
मागणे	m a ɡ ɳ e
मागणे	m a ɡ ɳ ə
मागे	m a ɡ e
मागे	m a ɡ ə
माज	m a d͡z
माजी	m a d͡ʑ i
माझे	m a d͡zʱ e
माणकी	m a ɳ k i
माणसे	m a ɳ s e
माणसे	m a ɳ s ə
माणिक्य	m a ɳ i k j ə
माणीक	m a ɳ i k
माणुसकी	m a ɳ u s k i
माणूस	m a ɳ u s
माता	m a t̪ a
माती	m a t̪ i
मातृभाषा	m a t̪ ɾ u bʱ a ʂ a
मात्र	m a t̪ ɾ ə
मान	m a n
मानणे	m a n ɳ e
मानणे	m a n ɳ ə
मानधन	m a n d̪ʱ ə n
मानभंग	m a n bʱ ə ŋ ɡ ə
मानसिक	m a n s i k
मानसिकता	m a n s i k t̪ a
माने	m a n e
मान्यता	m a n j ə t̪ a
माप	m a p
माफी	m a pʰ i
मामा	m a m a
मामी	m a m i
मायबोली	m a j b o l i
माया	m a j a
मायाळू	m a j a ɭ̆ u
मायावी	m a j a ʋ i
मारणे	m a ɾ ɳ e
मारणे	m a ɾ ɳ ə
मारेकरी	m a ɾ e k ɾ i
मार्ग	m a ɾ ɡ ə
मार्च	m a ɾ t͡ɕ ə
मालक	m a l ə k
माळ	m a ɭ̆
माळी	m a ɭ̆ i
मावणे	m a ʋ ɳ e
मावणे	m a ʋ ɳ ə
माशी	m a ɕ i
मास	m a s
मासा	m a s a
मासिक	m a s i k
मासोळी	m a s o ɭ̆ i
मास्क	m a s k ə
मास्तर	m a s t̪ ə ɾ
माहिती	m a ɦ i t̪ i
माहीत	m a ɦ i t̪
माहेर	m a ɦ e ɾ
मिटणे	m i ʈ ɳ e
मिटणे	m i ʈ ɳ ə
मिठी	m i ʈʰ i
मिठ्या	m i ʈʰ j a
मिथुन	m i t̪ʰ u n
मिनिट	m i n i ʈ
मिरची	m i ɾ t͡ɕ i
मिरवणे	m i ɾ ə ʋ ɳ e
मिरवणे	m i ɾ ə ʋ ɳ ə
मिरे	m i ɾ e
मिर्याम	m i ɾ j a m
मिळणे	m i ɭ̆ ɳ e
मिळणे	m i ɭ̆ ɳ ə
मिळवणे	m i ɭ̆ ə ʋ ɳ e
मिळवणे	m i ɭ̆ ə ʋ ɳ ə
मिशी	m i ɕ i
मिश्रण	m i ɕ ɾ ə ɳ
मिश्रित	m i ɕ ɾ i t̪
मिसळ	m i s ə ɭ̆
मिसळणे	m i s ə ɭ̆ ɳ e
मिसळणे	m i s ə ɭ̆ ɳ ə
मीठ	m i ʈʰ
मीन	m i n
मुंगी	m u ŋ ɡ i
मुंगूस	m u ŋ ɡ u s
मुंढी	m u ɳ ɖʱ i
मुंबई	m u m b ə i
मुंबा	m u m b a
मुकणे	m u k ɳ e
मुकणे	m u k ɳ ə
मुके	m u k e
मुके	m u k ə
मुक्काम	m u k k a m
मुक्त	m u k t̪ ə
मुक्ती	m u k t̪ i
मुख	m u kʰ
मुख्य	m u kʰ j ə
मुख्यमंत्री	m u kʰ j ə m ə n t̪ ɾ i
मुख्याध्यापक	m u kʰ j a d̪ʱ j a p ə k
मुतणे	m u t̪ ɳ e
मुतणे	m u t̪ ɳ ə
मुद्दा	m u d̪ d̪ a
मुद्दाम	m u d̪ d̪ a m
मुबलक	m u b l ə k
मुभा	m u bʱ a
मुलगी	m u l ɡ i
मुलायम	m u l a j ə m
मुलूख	m u l u kʰ
मुले	m u l e
मुले	m u l ə
मुळा	m u ɭ̆ a
मुळाक्षरे	m u ɭ̆ a k ʂ ə ɾ e
मुळे	m u ɭ̆ e
मुळे	m u ɭ̆ ə
मुश्कील	m u ɕ k i l
मुसळ	m u s ə ɭ̆
मूग	m u ɡ
मूठ	m u ʈʰ
मूढ	m u ɖʱ
मूत्र	m u t̪ ɾ ə
मूत्राशय	m u t̪ ɾ a ɕ ə j
मूर्ख	m u ɾ kʰ ə
मूर्खपणा	m u ɾ kʰ ə p ɳ a
मूर्ती	m u ɾ t̪ i
मूल	m u l
मूळ	m u ɭ̆
मृगजळ	m ɾ u ɡ d͡ʑ ə ɭ̆
मृत	m ɾ u t̪ ə
मृत्यू	m ɾ u t̪ j u
मे	m e
मेंदी	m e n d̪ i
मेंदुज्वर	m e n d̪ u d͡ʑ ʋ ə ɾ
मेंदू	m e n d̪ u
मेघ	m e ɡʱ
मेज	m e d͡z
मेण	m e ɳ
मेणबत्ती	m e ɳ b ə t̪ t̪ i
मेणा	m e ɳ a
मेथी	m e t̪ʰ i
मेष	m e ʂ
मेहनत	m e ɦ n ə t̪
मेहनती	m e ɦ ə n t̪ i
मेहुणा	m e ɦ u ɳ a
मैत्री	m ə i t̪ ɾ i
मैत्रीण	m ə i t̪ ɾ i ɳ
मैथिली	m ə i t̪ʰ i l i
मैथुन	m ə i t̪ʰ u n
मैदा	m ə i d̪ a
मैदान	m ə i d̪ a n
मैना	m ə i n a
मैल	m ə i l
मोका	m o k a
मोगर	m o ɡ ə ɾ
मोगरा	m o ɡ ɾ a
मोजणे	m o d͡z ɳ e
मोजा	m o d͡z a
मोट	m o ʈ
मोटारसायकल	m o ʈ a ɾ s a j k ə l
मोठे	m o ʈʰ e
मोडणे	m o ɖ ɳ e
मोडणे	m o ɖ ɳ ə
मोडी	m o ɖ i
मोर	m o ɾ
मोल	m o l
मोशे	m o ɕ e
मोसम	m o s ə m
मोहर	m o ɦ ə ɾ
मोहरी	m o ɦ ɾ i
मोहीम	m o ɦ i m
मौज	m ə u d͡ʑ
म्हण	mʱ ə ɳ
म्हणजे	mʱ ə ɳ d͡ʑ e
म्हणणे	mʱ ə ɳ ɳ e
म्हणणे	mʱ ə ɳ ɳ ə
म्हणवणे	mʱ ə ɳ ə ʋ ɳ e
म्हणवणे	mʱ ə ɳ ə ʋ ɳ ə
म्हणून	mʱ ə ɳ u n
म्हैसा	mʱ ə i s a
य	j ə
यंत्रमानव	j ə n t̪ ɾ ə m a n ə ʋ
यजुर्वेद	j ə d͡ʑ u ɾ ʋ e d̪
यदाकदाचित्	j ə d̪ a k d̪ a t͡ɕ i t̪
यदि	j ə d̪ i
यम	j ə m
यमक	j ə m ə k
यमुना	j ə m u n a
यश	j ə ɕ
यशोदा	j ə ɕ o d̪ a
यष्टिरक्षक	j ə ʂ ʈ i ɾ ə k ʂ ə k
यष्टिरक्षण	j ə ʂ ʈ i ɾ ə k ʂ ə ɳ
यष्टी	j ə ʂ ʈ i
याक	j a k
याकोब	j a k o b
यादी	j a d̪ i
यान	j a n
युक्रेन	j u k ɾ e n
युद्ध	j u d̪ d̪ʱ ə
युद्धविराम	j u d̪ d̪ʱ ə ʋ i ɾ a m
युधिष्ठिर	j u d̪ʱ i ʂ ʈʰ i ɾ
युरेनस	j u ɾ e n ə s
युवराज	j u ʋ ɾ a d͡ʑ
युवराज्ञी	j u ʋ ɾ a d͡ʑ n i
येणे	j e ɳ e
येणे	j e ɳ ə
योग्य	j o ɡ j ə
योग्यता	j o ɡ j ə t̪ a
योजना	j o d͡ʑ n a
योसेफ	j o s e pʰ
यौवन	j ə u ʋ ə n
यौवनपीटिका	j ə u ʋ ə n p i ʈ i k a
र	ɾ ə
रंग	ɾ ə ŋ ɡ ə
रंगणे	ɾ ə ŋ ɡ ə ɳ e
रंगणे	ɾ ə ŋ ɡ ə ɳ ə
रंगारी	ɾ ə ŋ ɡ a ɾ i
रक्त	ɾ ə k t̪ ə
रक्तगट	ɾ ə k t̪ ə ɡ ə ʈ
रक्तदाब	ɾ ə k t̪ ə d̪ a b
रक्तपेढी	ɾ ə k t̪ ə p e ɖʱ i
रक्तपेशी	ɾ ə k t̪ ə p e ɕ i
रक्तवाहिनी	ɾ ə k t̪ ə ʋ a ɦ i n i
रक्तवाहिन्या	ɾ ə k t̪ ə ʋ a ɦ i n j a
रक्ताभिसरण	ɾ ə k t̪ a bʱ i s ɾ ə ɳ
रक्षण	ɾ ə k ʂ ə ɳ
रक्षाबंधन	ɾ ə k ʂ a b ə n d̪ʱ ə n
रघुनंदन	ɾ ə ɡʱ u n ə n d̪ ə n
रघुनाथ	ɾ ə ɡʱ u n a t̪ʰ
रचणे	ɾ ə t͡s ɳ e
रचणे	ɾ ə t͡s ɳ ə
रचना	ɾ ə t͡ɕ ə n a
रजोदर्शन	ɾ ə d͡ʑ o d̪ ə ɾ ɕ ə n
रडणे	ɾ ə ɖ ɳ e
रडणे	ɾ ə ɖ ɳ ə
रडवणे	ɾ ə ɖ ə ʋ ɳ e
रडवणे	ɾ ə ɖ ə ʋ ɳ ə
रताळे	ɾ ə t̪ a ɭ̆ e
रताळे	ɾ ə t̪ a ɭ̆ ə
रथ	ɾ ə t̪ʰ
रद्द	ɾ ə d̪ d̪ ə
रबर	ɾ ə b ə ɾ
रबरी	ɾ ə b ɾ i
रमजान	ɾ ə m d͡z a n
रमणे	ɾ ə m ɳ e
रमणे	ɾ ə m ɳ ə
रयत	ɾ ə j ə t̪
रव	ɾ ə ʋ ə
रवा	ɾ ə ʋ a
रवाळ	ɾ ə ʋ a ɭ̆
रविवार	ɾ ə ʋ i ʋ a ɾ
रवी	ɾ ə ʋ i
रशियन	ɾ ə ɕ i j ə n
रशिया	ɾ ə ɕ i j a
रस	ɾ ə s
रसायन	ɾ ə s a j ə n
रसायनशास्त्र	ɾ ə s a j ə n ɕ a s t̪ ɾ ə
रसायने	ɾ ə s a j n e
रसायने	ɾ ə s a j n ə
रसाळ	ɾ ə s a ɭ̆
रस्ता	ɾ ə s t̪ a
रहस्य	ɾ ə ɦ ə s j ə
रांग	ɾ a ŋ ɡ ə
रांगोळी	ɾ a ŋ ɡ o ɭ̆ i
राई	ɾ a i
राऊ	ɾ a u
राऊत	ɾ a u t̪
राकस	ɾ a k ə s
राख	ɾ a kʰ
राखण	ɾ a kʰ ə ɳ
राखणे	ɾ a kʰ ɳ e
राखणे	ɾ a kʰ ɳ ə
राखरांगोळी	ɾ a kʰ ɾ a ŋ ɡ o ɭ̆ i
राखाडी	ɾ a kʰ a ɖ i
राखी	ɾ a kʰ i
राग	ɾ a ɡ
रागवणे	ɾ a ɡ ə ʋ ə ɳ e
रागवणे	ɾ a ɡ ə ʋ ə ɳ ə
रागिणी	ɾ a ɡ i ɳ i
रागिष्ट	ɾ a ɡ i ʂ ʈ ə
राघव	ɾ a ɡʱ ə ʋ
राज	ɾ a d͡ʑ
राजकन्या	ɾ a d͡ʑ k ə n j a
राजकारण	ɾ a d͡ʑ k a ɾ ə ɳ
राजकारणी	ɾ a d͡ʑ k a ɾ ɳ i
राजकीय	ɾ a d͡ʑ k i j
राजकुमार	ɾ a d͡ʑ k u m a ɾ
राजकुमारी	ɾ a d͡ʑ k u m a ɾ i
राजधानी	ɾ a d͡ʑ d̪ʱ a n i
राजपुत्र	ɾ a d͡ʑ p u t̪ ɾ ə
राजमहाल	ɾ a d͡ʑ ə mʱ a l
राजमाता	ɾ a d͡ʑ m a t̪ a
राजवाडा	ɾ a d͡ʑ ʋ a ɖ a
राजस्थान	ɾ a d͡ʑ ə s t̪ʰ a n
राजा	ɾ a d͡ʑ a
राजी	ɾ a d͡z i
राजी	ɾ a d͡ʑ i
राज्यपाल	ɾ a d͡ʑ j ə p a l
राज्यभाषा	ɾ a d͡ʑ j ə bʱ a ʂ a
राज्याभिषेक	ɾ a d͡ʑ j a bʱ i ʂ e k
राणी	ɾ a ɳ i
रात्र	ɾ a t̪ ɾ ə
राधा	ɾ a d̪ʱ a
राबणे	ɾ a b ɳ e
राबणे	ɾ a b ɳ ə
राब्बी	ɾ a b b i
राम	ɾ a m
रामचंद्र	ɾ a m t͡ɕ ə n d̪ ɾ ə
रामफळ	ɾ a m pʰ ə ɭ̆
रामबाण	ɾ a m b a ɳ
रामराम	ɾ a m ɾ a m
रामायण	ɾ a m a j ə ɳ
राव	ɾ a ʋ
रावण	ɾ a ʋ ə ɳ
राशी	ɾ a ɕ i
राष्ट्र	ɾ a ʂ ʈ ɾ ə
राष्ट्रपती	ɾ a ʂ ʈ ɾ ə p ə t̪ i
राष्ट्रभाषा	ɾ a ʂ ʈ ɾ ə bʱ a ʂ a
राष्ट्रवाद	ɾ a ʂ ʈ ɾ ə ʋ a d̪
राष्ट्रवादी	ɾ a ʂ ʈ ɾ ə ʋ a d̪ i
राष्ट्रीय	ɾ a ʂ ʈ ɾ i j ə
रास	ɾ a s
रास्त	ɾ a s t̪ ə
राहणे	ɾ a ɦ ɳ e
राहणे	ɾ a ɦ ɳ ə
राहेल	ɾ a ɦ e l
रिकामे	ɾ i k a m e
रिकामे	ɾ i k a m ə
रिबेका	ɾ i b e k a
रीत	ɾ i t̪
रुंदी	ɾ u n d̪ i
रुंद्या	ɾ u n d̪ j a
रुक्मिणी	ɾ u k m i ɳ i
रुग्ण	ɾ u ɡ ɳ ə
रुग्णवाहिका	ɾ u ɡ ɳ ə ʋ a ɦ i k a
रुग्णालय	ɾ u ɡ ɳ a l ə j
रुचकर	ɾ u t͡ɕ k ə ɾ
रुचिकर	ɾ u t͡ɕ i k ə ɾ
रुची	ɾ u t͡ɕ i
रुजणे	ɾ u d͡z ɳ e
रुजणे	ɾ u d͡z ɳ ə
रुतणे	ɾ u t̪ ɳ e
रुतणे	ɾ u t̪ ɳ ə
रुबाब	ɾ u b a b
रुमाल	ɾ u m a l
रुळणे	ɾ u ɭ̆ ɳ e
रुळणे	ɾ u ɭ̆ ɳ ə
रुष्ट	ɾ u ʂ ʈ ə
रुसणे	ɾ u s ɳ e
रुसणे	ɾ u s ɳ ə
रूप	ɾ u p
रूपी	ɾ u p i
रेऊबेन	ɾ e u b e n
रेखा	ɾ e kʰ a
रेखागणित	ɾ e kʰ a ɡ ɳ i t̪
रेघ	ɾ e ɡʱ
रेषा	ɾ e ʂ a
रॉकेल	ɾ ɔ k e l
रोकड	ɾ o k ə ɖ
रोख	ɾ o kʰ
रोग	ɾ o ɡ
रोचक	ɾ o t͡ɕ ə k
रोज	ɾ o d͡z
रोजा	ɾ o d͡ʑ a
रोटी	ɾ o ʈ i
रोही	ɾ o ɦ i
र्‍	r
ल	l ə
लंका	l ə ŋ k a
लंड	l ə ɳ ɖ ə
लक्ष्मण	l ə k ʂ m ə ɳ
लक्ष्मी	l ə k ʂ m i
लक्ष्मीपूजन	l ə k ʂ m i p u d͡ʑ ə n
लक्ष्य	l ə k ʂ j ə
लखनऊ	l ə kʰ n ə u
लखनौ	l ə kʰ n ə u
लगीन	l ə ɡ i n
लग्न	l ə ɡ n ə
लघवी	l ə ɡʱ ʋ i
लटकणे	l ə ʈ ə k ɳ e
लटकणे	l ə ʈ ə k ɳ ə
लटकावणे	l ə ʈ k a ʋ ɳ e
लटकावणे	l ə ʈ k a ʋ ɳ ə
लढवणे	l ə ɖʱ ə ʋ ɳ e
लढवणे	l ə ɖʱ ə ʋ ɳ ə
लढाई	l ə ɖʱ a i
लपवणे	l ə p ə ʋ ɳ e
लपवणे	l ə p ə ʋ ɳ ə
लफडे	l ə pʰ ɖ e
लफडे	l ə pʰ ɖ ə
लबाड	l ə b a ɖ
लवंग	l ə ʋ ə ŋ ɡ ə
लवणे	l ə ʋ ɳ e
लवणे	l ə ʋ ɳ ə
लष्कर	l ə ʂ k ə ɾ
लहर	l ə ɦ ə ɾ
लहान	l ə ɦ a n
लहानपण	l ə ɦ a n p ə ɳ
लांघणे	l a ŋ ɡʱ ɳ e
लांघणे	l a ŋ ɡʱ ɳ ə
लांडे	l a ɳ ɖ e
लांडे	l a ɳ ɖ ə
लांब	l a m b ə
लांबणे	l a m b ə ɳ e
लांबणे	l a m b ə ɳ ə
लांबी	l a m b i
लांब्या	l a m b j a
लाओस	l a o s
लाख	l a kʰ
लागणे	l a ɡ ɳ e
लागणे	l a ɡ ɳ ə
लाच	l a t͡ɕ
लाचखोर	l a t͡ɕ kʰ o ɾ
लाचखोरी	l a t͡ɕ kʰ o ɾ i
लाज	l a d͡z
लाजणे	l a d͡z ɳ e
लाजणे	l a d͡z ɳ ə
लाट	l a ʈ
लाटणे	l a ʈ ɳ e
लाटणे	l a ʈ ɳ ə
लातूर	l a t̪ u ɾ
लाथ	l a t̪ʰ
लादणे	l a d̪ ɳ e
लादणे	l a d̪ ɳ ə
लाभ	l a bʱ
लायक	l a j ə k
लायकी	l a j k i
लाल	l a l
लालसा	l a l s a
लाळ	l a ɭ̆
लावणे	l a ʋ ɳ e
लावणे	l a ʋ ɳ ə
लाही	l a ɦ i
लाहोर	l a ɦ o ɾ
लाह्या	l a ɦ j a
लिंग	l i ŋ ɡ ə
लिंबू	l i m b u
लिलाव	l i l a ʋ
लिहिणे	l i ɦ i ɳ e
लिहिणे	l i ɦ i ɳ ə
लीया	l i j a
लुचपत	l u t͡ɕ p ə t̪
लेख	l e kʰ
लेखक	l e kʰ ə k
लेखणी	l e kʰ ɳ i
लेखण्या	l e kʰ ə ɳ j a
लेखन	l e kʰ ə n
लेखिका	l e kʰ i k a
लेखी	l e kʰ i
लोकशाही	l o k ɕ a ɦ i
लोकोक्ती	l o k o k t̪ i
लोखंड	l o kʰ ə ɳ ɖ ə
लोणावळा	l o ɳ a ʋ ɭ̆ a
लोभ	l o bʱ
लोभी	l o bʱ i
लोभीपणा	l o bʱ i p ɳ a
लोळणे	l o ɭ̆ ɳ e
लोळणे	l o ɭ̆ ɳ ə
लोह	l o ɦ
लोहार	l o ɦ a ɾ
ल्हासा	lʱ a s a
ळ	ɭ̆ ə
व	ʋ ə
वगळणे	ʋ ə ɡ ə ɭ̆ ɳ e
वगळणे	ʋ ə ɡ ə ɭ̆ ɳ ə
वचन	ʋ ə t͡ɕ ə n
वचनबद्ध	ʋ ə t͡ɕ ə n b ə d̪ d̪ʱ ə
वचनबद्धता	ʋ ə t͡ɕ ə n b ə d̪ d̪ʱ ə t̪ a
वजा	ʋ ə d͡ʑ a
वजाबाकी	ʋ ə d͡ʑ a b a k i
वठाण	ʋ ə ʈʰ a ɳ
वडा	ʋ ə ɖ a
वडील	ʋ ə ɖ i l
वणजार	ʋ ə ɳ d͡z a ɾ
वणवा	ʋ ə ɳ ʋ a
वदणे	ʋ ə d̪ ə ɳ e
वदणे	ʋ ə d̪ ə ɳ ə
वदवणे	ʋ ə d̪ ə ʋ ə ɳ e
वदवणे	ʋ ə d̪ ə ʋ ə ɳ ə
वध	ʋ ə d̪ʱ
वय	ʋ ə j
वयस्क	ʋ ə j ə s k ə
वयस्कर	ʋ ə j ə s k ə ɾ
वये	ʋ ə j e
वये	ʋ ə j ə
वयोवृद्ध	ʋ ə j o ʋ ɾ u d̪ d̪ʱ ə
वर	ʋ ə ɾ
वरळी	ʋ ə ɾ ɭ̆ i
वरळी	ʋ ə ɾ ə ɭ̆ i
वरात	ʋ ə ɾ a t̪
वराह	ʋ ə ɾ a ɦ
वरीस	ʋ ə ɾ i s
वर्ग	ʋ ə ɾ ɡ ə
वर्गखोली	ʋ ə ɾ ɡ ə kʰ o l i
वर्गखोल्या	ʋ ə ɾ ɡ ə kʰ o l j a
वर्गीकरण	ʋ ə ɾ ɡ i k ɾ ə ɳ
वर्ण	ʋ ə ɾ ɳ ə
वर्णन	ʋ ə ɾ ɳ ə n
वर्णनीय	ʋ ə ɾ ɳ ə n i j
वर्णमाला	ʋ ə ɾ ɳ ə m a l a
वर्तुळ	ʋ ə ɾ t̪ u ɭ̆
वर्धापनदिन	ʋ ə ɾ d̪ʱ a p ə n d̪ i n
वर्ष	ʋ ə ɾ ʂ ə
वर्षा	ʋ ə ɾ ʂ a
वल्गना	ʋ ə l ɡ ə n a
वल्हवणे	ʋ ə lʱ ə ʋ ɳ e
वल्हवणे	ʋ ə lʱ ə ʋ ɳ ə
वल्हे	ʋ ə lʱ e
वल्हे	ʋ ə lʱ ə
वल्हेकरी	ʋ ə lʱ e k ɾ i
वळण	ʋ ə ɭ̆ ə ɳ
वळणे	ʋ ə ɭ̆ ɳ e
वळणे	ʋ ə ɭ̆ ɳ ə
वसंत	ʋ ə s ə n t̪
वसन	ʋ ə s ə n
वहाण	ʋ ə ɦ a ɳ
वहिणी	ʋ ə ɦ i ɳ i
वहिनी	ʋ ə ɦ i n i
वही	ʋ ə ɦ i
वह्या	ʋ ə ɦ j a
वांगं	ʋ a ŋ ɡ ə
वांगे	ʋ a ŋ ɡ e
वांझ	ʋ a n d͡zʱ ə
वाईट	ʋ a i ʈ
वाकडे	ʋ a k ɖ e
वाकडे	ʋ a k ɖ ə
वाकबगार	ʋ a k ə b ɡ a ɾ
वाक्प्रचार	ʋ a k p ɾ ə t͡ɕ a ɾ
वाखाण	ʋ a kʰ a ɳ
वाखाणणे	ʋ a kʰ a ɳ ɳ e
वाखाणणे	ʋ a kʰ a ɳ ɳ ə
वागणे	ʋ a ɡ ɳ e
वागणे	ʋ a ɡ ɳ ə
वाघ	ʋ a ɡʱ
वाङ्मय	ʋ a ŋ m ə j
वाचणे	ʋ a t͡s ɳ e
वाचणे	ʋ a t͡s ɳ ə
वाचन	ʋ a t͡ɕ ə n
वाचवणे	ʋ a t͡s ə ʋ ɳ e
वाचवणे	ʋ a t͡s ə ʋ ɳ ə
वाचा	ʋ a t͡ɕ a
वाचाळ	ʋ a t͡ɕ a ɭ̆
वाजणे	ʋ a d͡z ɳ e
वाजणे	ʋ a d͡z ɳ ə
वाजवणे	ʋ a d͡z ə ʋ ɳ e
वाजवणे	ʋ a d͡z ə ʋ ɳ ə
वाट	ʋ a ʈ
वाटणे	ʋ a ʈ ɳ e
वाटणे	ʋ a ʈ ɳ ə
वाडा	ʋ a ɖ a
वाडी	ʋ a ɖ i
वाढ	ʋ a ɖʱ
वाढणे	ʋ a ɖʱ ɳ e
वाढणे	ʋ a ɖʱ ɳ ə
वाढदिवस	ʋ a ɖʱ d̪ i ʋ ə s
वाणी	ʋ a ɳ i
वातूळ	ʋ a t̪ u ɭ̆
वात्सल्य	ʋ a t̪ s ə l j ə
वादळ	ʋ a d̪ ə ɭ̆
वानर	ʋ a n ə ɾ
वापर	ʋ a p ə ɾ
वापरणे	ʋ a p ə ɾ ɳ e
वामकुक्षी	ʋ a m k u k ʂ i
वामन	ʋ a m ə n
वायदा	ʋ a j d̪ a
वायफळ	ʋ a j pʰ ə ɭ̆
वायव्य	ʋ a j ə ʋ j ə
वाया	ʋ a j a
वायुदल	ʋ a j u d̪ ə l
वायुसेना	ʋ a j u s e n a
वायू	ʋ a j u
वार	ʋ a ɾ
वारणे	ʋ a ɾ ɳ e
वारणे	ʋ a ɾ ɳ ə
वारा	ʋ a ɾ a
वारूळ	ʋ a ɾ u ɭ̆
वार्ता	ʋ a ɾ t̪ a
वाळकेश्वर	ʋ a ɭ̆ k e ɕ ʋ ə ɾ
वाळणे	ʋ a ɭ̆ ɳ e
वाळणे	ʋ a ɭ̆ ɳ ə
वाळवंट	ʋ a ɭ̆ ʋ ə ɳ ʈ ə
वाळवणे	ʋ a ɭ̆ ə ʋ ɳ e
वाळवणे	ʋ a ɭ̆ ə ʋ ɳ ə
वाळवी	ʋ a ɭ̆ ə ʋ i
वाळू	ʋ a ɭ̆ u
वास	ʋ a s
वासना	ʋ a s n a
वासुदेव	ʋ a s u d̪ e ʋ
वास्तु	ʋ a s t̪ u
वाहक	ʋ a ɦ ə k
वाहणे	ʋ a ɦ ɳ e
वाहणे	ʋ a ɦ ɳ ə
वाहतूक	ʋ a ɦ t̪ u k
वाहते	ʋ a ɦ t̪ e
वाहते	ʋ a ɦ t̪ ə
वाहन	ʋ a ɦ ə n
वाहिका	ʋ a ɦ i k a
वाहिनी	ʋ a ɦ i n i
विंचरणे	ʋ i n t͡s ə ɾ ɳ e
विंचरणे	ʋ i n t͡s ə ɾ ɳ ə
विंचू	ʋ i n t͡s u
विकट	ʋ i k ə ʈ
विकल	ʋ i k ə l
विकृत	ʋ i k ɾ u t̪
विक्षिप्त	ʋ i k ʂ i p t̪ ə
विक्षिप्तपणा	ʋ i k ʂ i p t̪ ə p ə ɳ a
विखुरणे	ʋ i kʰ u ɾ ɳ e
विखुरणे	ʋ i kʰ u ɾ ɳ ə
विचार	ʋ i t͡ɕ a ɾ
विचारणे	ʋ i t͡ɕ a ɾ ɳ e
विचारणे	ʋ i t͡ɕ a ɾ ɳ ə
विचारधारा	ʋ i t͡ɕ a ɾ d̪ʱ a ɾ a
विजय	ʋ i d͡ʑ ə j
विज्ञान	ʋ i d͡ʑ n a n
