ঁ	ɔ̃
ভেতরে	bʱ e t̪ ɔ ɹ e
ভেবে	bʱ e b e
ভেলপুরী	bʱ e l p u ɹ i
ভেস্তা	bʱ e ʃ t̪ ɑ
ভোগ	bʱ o ɡ
ভোগা	bʱ o ɡ a
ভোজপুর	bʱ o d ʑ p u ɹ
ভোদা	bʱ o d a
ভোর	bʱ o ɹ
ভোলোদিমির	bʱ o l o d̪ i m i ɹ
ভৌম	bʱ o u̯ m o
ভৌমিক	bʱ o u̯ m i k
ভ্যাঙানো	bʱ ɛ ŋ a n o
ভ্যাট	bʱ ɛ t
ভ্রমণ	bʱ ɹ o m o n
ভ্রষ্ট	bʱ ɹ o ʃ t o
ভ্রাতা	bʱ ɹ a t̪ a
ভ্রাতৃ	bʱ ɹ a t̪ ɹ i
ভ্রান্ত	bʱ ɹ a n t̪ o
ভ্লাদিমির	bʱ l a d̪ i m i ɹ
ম	m ɔ
মই	m o i̯
মউত	m ɔ o̯ t̪
মউত	m ɔ u t̪
মউত	m ɔ ʊ t̪
মউত	m ɔː t̪
মউসম	m o u̯ ʃ o m
মউসুম	m o u̯ ʃ u m
মওকা	m ɔ o̯ k a
মওত	m ɔ o̯ t̪
মওত	m ɔ ʊ t̪
মওত	m ɔː t̪
মওলা	m ɔ o̯ l a
মওলানা	m ɔ o̯ l a n a
মকতব	m ɔ k t̪ o b
মকতব	m ɔ k t̪ ɔ b
মগ	m ɔ ɡ
মগজ	m ɔ ɡ o d ʑ
মঙ্গল	m ɔ ŋ ɡ ɔ l
মঙ্গলবার	m o ŋ ɡ o l b a ɹ
মঙ্গল্য	m ɔ ŋ ɡ ɔ lː o
মচমচে	m ɔ t ɕ m ɔ t ɕ e
মজদুর	m o d ʑ d̪ u ɹ
মজদুর	m o z d̪ u ɹ
মজনু	m o d ʑ n u
মজনুঁ	m o d ʑ n u
মজনুন	m o d ʑ n u n
মজনূঁ	m o d ʑ n u
মজনূন	m o d ʑ n u n
মজবুত	m ɔ d ʑ b u t̪
মজলিস	m o d ʑ l i s
মজলিস	m o d ʑ l i ʃ
মজলুম	m o d ʑ l u m
মজলুম	m o z l u m
মজা	m ɔ d ʑ a
মজুমদার	m o d ʑ u m d̪ a ɹ
মজুর	m ɔ d ʑ u ɹ
মজ্জা	m ɔ d d͡ʒ a
মঞ্চ	m ɔ n t ɕ o
মঞ্চসজ্জা	m ɔ n t ɕ ɔ ʃ ɔ d ʑː a
মঞ্চস্থ	m ɔ n t ɕ ɔ s t̪ʰ o
মঞ্চাভিনয়	m ɔ n t ɕ a bʱ i n ɔ e̯
মঞ্চায়ন	m ɔ n t ɕ a e̯ ɔ n
মঞ্জিল	m o n d ʑ i l
মঞ্জিলা	m o n d ʑ i l a
মঞ্জুঘোষ	m ɔ n d ʑ u ɡʱ o ʃ
মটর	m o t o ɹ
মটর	m ɔ t o ɹ
মটর	m ɔ t ɔ ɹ
মটরসাইকেল	m o t̪ o ɹ s a i̯ k e l
মটরসাইকেল	m ɔ t̪ o ɹ s a i̯ k e l
মড়া	m ɔ ɹ a
মণ	m ɔ n
মণি	m o n i
মণিপুর	m o n i p u ɹ
মণীশ	m o n i ʃ
মণ্ডল	m ɔ n d ɔ l
মণ্ডলী	m ɔ n ɖ o l i
মত	m ɔ t̪
মত	m ɔ t̪ o
মত	m ɔ t̪ ɔ
মতামত	m ɔ t̪ a m ɔ t̪
মতি	m o t̪ i
মতো	m ɔ t̪ o
মথুরা	m ɔ t̪ʰ u ɹ a
মদ	m ɔ d̪
মদত	m ɔ d̪ o t̪
মদ্যপান	m ɔ d d o p a n
মধু	m o d̪ʱ u
মধুর	m o d̪ʱ u ɾ
মধ্য	m ɔ d̪ʱː o
মধ্যাহ্ন	m o d̪ʱː a n h o
মধ্যাহ্ন	m o d̪ʱː a nː o
মধ্যে	m ɔ d̪ʱː e
মন	m o n
মনজিল	m o n d ʑ i l
মনপ্রাণ	m ɔ n p ɹ a n
মনমোহন	m ɔ n m ɔ h ɔ n
মনসা	m ɔ n o ʃ a
মনিব	m o n i b
মনির	m o n i ɹ
মনিষ	m o n i ʃ
মনুষ্য	m o n u ʃː o
মনোনীত	m o n o n i t̪ o
মনোনীত	m ɔ n o n i t̪ o
মনোবল	m ɔ n o b ɔ l
মনোবিজ্ঞান	m ɔ n o b i ɡː ɛ n
মনোব্যথা	m o n o b ɛ t̪ʰ a
মনোভাব	m o n o bʱ a b
মনোয়ার	m o n o̯ a ɹ
মনোয়ারা	m o n o̯ a ɹ a
মনোরমা	m o n o ɹ ɔ m a
মন্ত্র	m ɔ n t̪ ɹ o
মন্ত্রী	m o n t̪ ɹ i
মন্দ	m ɔ n d̪ o
মন্দ	m ɔ n d̪ ɔ
মন্দতা	m ɔ n d̪ ɔ t̪ a
মন্দা	m ɔ n d a
মন্দির	m ɔ n d̪ i ɹ
মফস্বল	m ɔ f o ʃː ɔ l
মফস্বলীয়	m ɔ f ɔ ʃː o l i̯ o
মব	m ɔ b o
মম	m ɔ m o
মায়ানমার	m a e̯ a n m a ɹ
মালূর	m a l u ɾ
মাশাআল্লাহ	m a ʃ a lː a
মাশোয়ারা	m a ʃ o̯ a ɹ a
মাস	m a ʃ
মাসকালাই	m a s k a l a i̯
মাসি	m a ʃ i
মাসুদ	m a s u d̪
মাস্টার	m a s t a ɾ
মাস্টার	m a ʂ ʈ a ɾ
মাস্টার	m a ʃ t a ɾ
মাস্টার	m a ʃ ʈ a ɾ
মাস্টারমশাই	m a s t a ɾ m ɔ ʃ a i̯
মাস্টারমশাই	m a ʂ ʈ a ɾ m ɔ ʃ a i̯
মাস্টারমশাই	m a ʃ t a ɾ m ɔ ʃ a i̯
মাস্টারমশাই	m a ʃ ʈ a ɾ m ɔ ʃ a i̯
মাহ	m a h o
মাহতাব	m a h t̪ a b
মাহদি	m a h a d̪ i
মাহদি	m a h d̪ i
মাহদি	m e h d̪ i
মাহদি	m e h e d̪ i
মাহফিল	m a h f i l
মাহফুজ	m a h f u z
মাহমূদ	m a h a m u d̪
মাহমূদ	m a h m u d̪
মাহমূদা	m a h a m u d̪ a
মাহমূদা	m a h m u d̪ a
মাহাত্ম্য	m a h a t̪ː t̪ o
মাহির	m a h i ɹ
মাহীন	m a h i n
মাহুত	m a h u t̪
মিউজিয়াম	m i u̯ z i̯ a m
মিউনিখ	m i u n i kʰ
মিছা	m i t ɕʰ a
মিছিল	m i t ɕʰ i l
মিজান	m i d ʑ a n
মিঞা	m i̯ a
মিঞাজী	m i̯ a d ʑ i
মিটা	m i t a
মিঠা	m i tʰ a
মিঠাই	m i tʰ a i̯
মিঠাই	m i tʰ a i̯ː
মিতা	m i t̪ a
মিত্র	m i t̪ ɾ o
মিথেন	m i t̪ʰ e n
মিথ্যা	m i t̪ʰː a
মিথ্যুক	m i t̪ʰː u k
মিথ্যে	m i t̪ʰː e
মিনসা	m i n ʃ a
মিনার	m i n a ɹ
মিনিট	m i n i t
মিনেসোটা	m i n e s o t a
মিয়া	m i̯ a
মিয়ানমার	m i̯ a n m a ɹ
মিশর	m i ʃ o ɹ
মিশর	m i ʃ ɔ ɹ
মিশরীয়	m i ʃ ɔ ɾ i o
মিষ্টান্ন	m i ʃ t a nː o
মিষ্টি	m i ʃ t i
মিসকিন	m i s k i n
মিস্ত্রী	m i s t̪ ɹ i
মীনাক্ষী	m i n a kʰː i
মীর	m i ɹ
মীরসরাই	m i ɹ ʃ ɔ ɹ a i̯
মীরা	m i ɹ a
মু	m u
মুই	m u i̯
মুকুট	m u k u t
মুক্ত	m u k t̪ o
মুক্তমঞ্চ	m u k t̪ ɔ m ɔ n t ɕ o
মুক্তমুখ	m u k t̪ o m u kʰ
মুক্তা	m u k t̪ a
মুক্তি	m u k t̪ i
মুক্তিযুদ্ধ	m u k t̪ i d ʑ u d̪ʱː o
মুক্তো	m u k t̪ o
মুখ	m u kʰ
মুখতসর	m u kʰ t̪ ɔ ʃ ɔ ɹ
মুখপাত্র	m u kʰ o p a t̪ ɹ o
মুখর	m u kʰ ɔ ɹ
মুখস্থ	m u k o s t̪ʰ o
মুখস্থ	m u kʰ o s t̪ o
মুখস্থ	m u kʰ o s t̪ʰ o
মুখার্জি	m u kʰ a ɹ d ʑ i
মুখুজ্জে	m u kʰ u d ʑː e
মুখোপাধ্যায়	m u kʰ o p a d̪ʱː a e̯
মুখোশ	m u kʰ o ʃ
মুখ্য	m u kʰː o
মুখ্যমন্ত্রী	m u k kʰ ɔ m ɔ n t̪ ɾ i
মুখ্যমন্ত্রী	m u kːʰ o m o n t̪ ɾ i
মুগ	m u ɡ
মুগ্ধ	m u ɡ d̪ʱ o
মুঘল	m u ɡʱ o l
মুচি	m u t ɕ i
মুছনি	m u t ɕʰ o n i
মুছা	m u t ɕʰ a
মুজিব	m u d ʑ i b
মুড়ি	m u ɹ i
মুড়ো	m u ɹ o
মুত	m u t̪
মুতা	m u t̪ ä
মুতাজ	m u t̪ a d ʑ
মুদ্রা	m u d̪ ɹ a
মুন্ডা	m u n d a
মুফত	m u f ɔ t̪
মুবারক	m o b a ɹ o k
মুবারক	m u b a ɹ o k
মুবারক	m ʊ b a ɹ o k
মুবারাক	m u b a ɹ a k
মুবাশশির	m u b a ʃː i ɹ
মুভি	m u bʱ i
মুম্বই	m u m b o i̯
মুয়াজ্জিন	m u̯ a d ʑː i n
মুয়াবিয়া	m u̯ a b i̯ a
মুরগি	m u ɹ ɡ i
মুরগী	m u ɹ ɡ i
মুরলি	m u ɾ o l i
মুরাদ	m u ɹ a d̪
মুরুব্বি	m u ɹ u bː i
মুরোদ	m u ɹ o d̪
মুর্শিদ	m u ɹ ʃ i d̪
মুর্শিদাবাদ	m u ɹ ʃ i d̪ a b a d̪
মুশকিল	m u ʃ k i l
মুষল	m u ʃ o l
মুষলধার	m u ʃ o l d̪ʱ a ɹ
মুষ্টি	m u ʃ t i
মুসলমান	m u s o l m a n
মুসলিম	m u s l i m
মুসল্লি	m u s o lː i
মুসাফির	m u s a f i ɹ
মুসাবিদা	m u ʃ a b i d̪ a
মুসিবত	m u s i b ɔ t̪
মুস্কান	m u s k a n
মুহররম	m u h ɹ ɔ ɹ o m
মুহাজির	m u h a d ʑ i ɹ
মুহাম্মদ	m o h a mː ɔ d̪
মুহাম্মদ	m o h ɔ mː ɔ d̪
মুহাম্মদ	m u h a mː ɔ d̪
মুহাম্মদ	m u h ɔ mː ɔ d̪
মূকাভিনয়	m u k a bʱ i n ɔ e̯
মূঢ়	m u ɹ o
মূত্র	m u t̪ r o
মূত্রনালি	m u t̪ ɹ ɔ n a l i
মূর্খতা	m u ɹ kʰ ɔ t̪ a
মূর্তি	m u ɾ t̪ i
মূর্ধন্য	m u ɹ d̪ʱ ɔ nː o
মূল	m u l
মূল্য	m u lː o
মূল্যবান	m u l l o b a n
মূসক	m u ʃ ɔ k
মৃগ	m ɹ i ɡ
মৃগাঙ্ক	m ɾ i ɡ ä ŋ k o
মৃগাঙ্ক	m ɾ i ɡ ɑ ŋ k ɔ
মৃণ্ময়	m ɹ i n m ɔ e̯
মৃত	m ɹ i t̪ o
মৃতদেহ	m ɹ i t̪ ɔ d̪ e h o
মৃত্তিকা	m ɹ i t̪ː i k a
রাণা	ɹ a n a
রিষ্ট	ɹ i ʃ t o
রৌশনী	ɹ o u̯ ʃ ɔ n i
রৌশনী	ɹ oː ʃ ɔ n i
রৌশনী	ɹ ɔ u ʃ ɔ n i
ল	l ɔ
লওয়া	l ɔ o̯ a
লকার	l ɔ k ɑ ɾ
লক্ষ	l ɔ kʰː o
লক্ষণ	l ɔ kʰː ɔ n
লক্ষ্মণ	l ɔ kʰː ɔ n
লক্ষ্মী	l o kʰː i
লক্ষ্মীপেঁচা	l ɔ kʰː i p e t ɕ a
লক্ষ্মীফল	l ɔ kʰː i f ɔ l
লক্ষ্য	l o kʰː o
লক্ষ্যবস্তু	l ɔ k kʰ ɔ b o s t̪ u
লখনউ	l ɔ kʰ o n u
লখা	l ɔ kʰ a
লঙ্কা	l ɔ ŋ k a
লজেন্স	l ɔ d͡ʒ e n ʃ
লড়া	l ɔ ɹ a
লড়াই	l ɔ ɹ a i̯
লতা	l ɔ t̪ a
লতিফ	l o t̪ i f
লন্ঠন	l ɔ n tʰ ɔ n
লন্ডন	l ɔ n d ɔ n
লপ্জ	l ɔ p d ʑ o
লফজ	l ɔ f d ʑ o
লবঙ্গ	l ɔ b o ŋ ɡ o
লবডঙ্কা	l ɔ b o d ɔ ŋ k a
লবণ	l ɔ b o n
লব্জ	l ɔ b d ʑ o
লব্ধ	l ɔ b d̪ʱ o
লম্বা	l ɔ m b a
ললিতা	l o l i t̪ a
লস্কর	l ɔ ʃ k ɔ ɹ
লস্যি	l ɔ sː i
লহর	l ɔ h o ɹ
লাইটার	l a i̯ t a ɹ
লাইব্রেরি	l a i̯ b ɹ e ɹ i
লাউ	l a u̯
লাও	l a o
লাকান	l a k a n
লাকান	l a ɡ a n
লাক্ষাদ্বীপ	l a kʰː a d̪ː i p
লাখ	l a kʰ
লাখান	l a kʰ a n
লাগানো	l a ɡ a n o
লাগাম	l a ɡ a m
লাগিয়া	l a ɡ i̯ a
লাগে	l a ɡ e
লাগো	l a ɡ o
লাঙল	l a ŋ ɔ l
লাচ্ছি	l a sː i
লাচ্ছি	l a t ɕʰː i
লাজুক	l a d ʑ u k
লাঞ্চ	l a n t ɕ
লাঞ্ছিত	l a n t ɕʰ i t̪ o
লাট	l a ʈ
লাঠি	l a ʈʰ i
লাঠিচার্জ	l a ʈʰ i t͡ʃ a ɹ d͡ʒ
লাড়কা	l a ɹ k a
লাড়কী	l a ɹ k i
লাথি	l a tʰ i
লাফ	l a f
লাফ	l a p
লাভ	l a bʱ
লাভা	l a bʱ a
লায়লা	l a e̯ l a
লাল	l a l
লালন	l a l o n
লালা	l a l a
লালি	l æ l i
লাশ	l a ʃ
লাস্যি	l a sː i
লিংকনশায়ার	l i ŋ k ɔ n ʃ a e̯ a ɹ
লিঙ্কনশায়ার	l i ŋ k ɔ n ʃ a e̯ a ɹ
লিঙ্গ	l i ŋ ɡ o
লিচু	l i t ɕ u
লিপস্টিক	l i p s t i k
লিপস্টিক	l i p ʃ t i k
লিফট	l i f t
লিভারপুল	l i bʱ a ɹ p u l
লিসবন	l i s b o n
লীগ	l iː ɡ
লুকোচুরি	l u k o t ɕ u ɹ i
লুঙ্গি	l u ŋ ɡ i
লুৎফুর	l u t̪ f u ɹ
লূত	l u t̪
লেওড়া	l æ o̯ ɹ a
লেখক	l æ kʰ ɔ k
লেখনী	l e kʰ o n i
লেখা	l ɛ kʰ a
লেখানো	l e kʰ a n o
লেজ	l e d ʑ
লেজ	l ɛ d ʑ
লেপটানো	l e p t a n o
লেফাফা	l e f a f a
লেবু	l e b u
লেমনেড	l e m ɔ n e d
লোকমা	l o k m a
লোকসান	l o k s a n
লোচন	l o t ɕ ɔ n
লোধ্র	l o d̪ʱ ɹ o
লোপ	l o p
লোবান	l o b a n
লোহা	l o h a
লোহিত	l o h i t̪ o
লৌহ	l o u̯ h o
ল্যাজ	l ɛ d ʑ
ল্যাপটপ	l ɛ p t ɔ p
শ	ʃ ɔ
শউর	ʃ o d ʑ u ɹ
শউরী	ʃ ɔ u ɾ i
শওহর	ʃ ɔ o̯ h ɔ ɹ
শক্ত	ʃ ɔ k t̪ o
শক্তি	ʃ ɔ k t̪ i
শক্তিহীন	ʃ ɔ k t̪ i h i n
শখ	ʃ ɔ kʰ
শখ্‌স	ʃ ɔ k s
শখ্‌স	ʃ ɔ k s o
শখ্‌স	ʃ ɔ k ʃ
শখ্‌স	ʃ ɔ k ʃ o
শখ্‌স	ʃ ɔ kʰ s
শখ্‌স	ʃ ɔ kʰ s o
শখ্‌স	ʃ ɔ kʰ ʃ
শখ্‌স	ʃ ɔ kʰ ʃ o
শঙ্খচূড়	ʃ ɔ ŋ kʰ ɔ t ɕ u ɹ
শজারু	ʃ ɔ d ʑ a ɹ u
শণ	ʃ ɔ n
শত	ʃ ɔ t̪ ɔ
শতক	ʃ ɔ t ɔ k
শতরকম	ʃ ɔ t̪ ɔ ɾ ɔ k ɔ m
শতাংশ	ʃ ɔ t ɑ ŋ ʃ ɔ
শতাব্দী	ʃ ɔ t a b d i
শত্রু	ʃ o t̪ ɾ u
শত্রুতা	ʃ o t̪ ɾ u t̪ a
শনাক্ত	ʃ ɔ n a k t̪ o
শনি	ʃ o n i
শনিবার	ʃ o n i b a ɹ
শপথ	ʃ ɔ p ɔ t̪ʰ
শব	ʃ ɔ b o
শবনম	ʃ ɔ b n ɔ m
শব্দ	ʃ ɔ b d̪ o
শব্দহীন	ʃ ɔ b d̪ o h i n
শম	ʃ ɔ m
শমশের	ʃ ɔ m ɔ ʃ e ɹ
শয়তান	ʃ ɔ e t̪ a n
শরণ	ʃ ɔ ɹ o n
শরবত	s ɔ ɹ b o t̪
শরবত	ʃ ɔ ɹ b o t̪
শরম	ʃ ɔ ɹ o m
শরমানো	ʃ ɔ ɹ m a n o
শরাব	ʃ ɔ r a b
শরিক	ʃ o ɹ i k
শরিকানা	ʃ o ɹ i k a n a
শরিফা	ʃ o ɹ i f a
শরীফ	ʃ o ɾ i f
শরীর	ʃ o ɾ i ɾ
শর্করা	ʃ ɔ ɹ k ɔ ɹ a
শর্বত	s ɔ ɹ b o t̪
শর্বত	ʃ ɔ ɹ b o t̪
শর্মিষ্ঠা	ʃ o ɹ m i ʃ tʰ a
শরৎ	ʃ ɔ ɹ o t̪
শল্যচিকিৎসা	ʃ ɔ lː o t ɕ i k i t̪ s a
শসা	ʃ ɔ ʃ a
শহর	ʃ ɔ h o ɹ
শহীদ	ʃ o h i d̪
শহুরে	ʃ o h u ɹ e
শাঁখ	ʃ a kʰ
শাঁখা	ʃ a kʰ a
শাওয়াল	ʃ a o̯ a l
শাক	ʃ a k
শাখা	ʃ a kʰ a
শাগ	ʃ a ɡ
শাগরেদ	ʃ a ɡ ɹ e d̪
শাড়ি	ʃ a ɹ i
শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
শানাই	ʃ a n a i̯
শান্ত	ʃ a n t̪ o
শান্তনু	ʃ ɑ n t̪ ɔ n u
শান্তভাব	ʃ a n t̪ ɔ bʱ a b
শান্তি	ʃ a n t̪ i
শান্তিনিকেতন	ʃ a n t̪ i n i k e t̪ ɔ n
শাফা	ʃ a f a
শাবক	ʃ a b ɔ k
শাবান	ʃ a b a n
শাবাশ	ʃ a b a ʃ
শাবাশ	ʃ a bː a ʃ
শাম	ʃ a m
শামসুজ্জামান	ʃ a m ɔ ʃ u d ʑː a m a n
শামা	ʃ a m a
শামিয়ানা	ʃ a m i̯ a n a
শামুক	ʃ a m u k
শায়া	ʃ a e̯ a
শারমেন্দাগী	ʃ a ɹ ɔ m e n d̪ a ɡ i
শারীরিক	ʃ ɑ ɾ i ɾ i k
শার্ট	ʃ a ɹ t
শাল	ʃ a l
শালগম	ʃ a l ɡ ɔ m
শালা	ʃ a l a
শালি	ʃ a l i
শালিক	ʃ a l i k
শালী	ʃ a l i
শাশুড়ি	ʃ a ʃ u ɹ i
শাস্তি	ʃ a s t̪ i
শৈশব	ʃ o i̯ ʃ ɔ b
সঠিক	ʃ ɔ tʰ i k
সফল	ʃ ɔ f ɔ l
সরাসরি	ʃ ɔ ɹ a ʃ o ɹ i
সরিষা	ʃ o ɹ i ʃ a
সরীসৃপ	ʃ o r i ʃ r i p
সরোজ	ʃ ɔ ɹ o d ʑ
সর্জি	ʃ ɔ ɹ d ʑ i
সর্জিকা	ʃ ɔ ɹ d ʑ i k a
সর্দি	ʃ o ɹ d̪ i
সর্প	ʃ ɔ ɹ p o
সর্ব	ʃ ɔ ɹ b o
সর্ব	ʃ ɔ ɾ b o
সর্বকামী	ʃ ɔ ɹ b ɔ k a m i
সর্বত	s ɔ ɹ b o t̪
সর্বত	ʃ ɔ ɹ b o t̪
সর্বদা	ʃ ɔ ɹ b o d̪ a
সর্বনাম	ʃ ɔ ɹ b o n a m
সর্বোচ্চ	ʃ ɔ ɹ b o t ɕː o
সর্বোত্তম	ʃ ɔ ɹ b o t̪ː ɔ m
সর্ব্বসময়	ʃ ɔ ɹ bː ɔ ʃ ɔ m ɔ e̯
সলতনত	s ɔ l t̪ ɔ n ɔ t̪
সলতনৎ	s ɔ l t̪ ɔ n ɔ t̪
সলিল	ʃ o l i l
সস	ʃ ɔ s
সস্তা	ʃ ɔ s t̪ a
সহকর্মী	ʃ ɔ h o k o ɾ m i
সহকার	ʃ ɔ h o k a ɹ
সহগ	ʃ ɔ h o ɡ
সহচর	ʃ ɔ h o t ɕ ɔ ɹ
সহজ	ʃ ɔ h o d ʑ
সহনাগরিক	ʃ ɔ n h a ɡ ɹ i k
সহনাগরিক	ʃ ɔ nː a ɡ ɹ i k
সহযোগিতা	ʃ ɔ h ɔ d ʑ o ɡ i t̪ a
সহস্র	ʃ ɔ h o s ɹ o
সহস্রাব্দ	ʃ ɔ h o s ɹ a b d̪ o
সহানুভূতি	ʃ ɔ h a n u bʱ u t̪ i
সহানুভূতিশীল	ʃ ɔ h a n u bʱ u t̪ i ʃ i l
সহোদর	ʃ ɔ h o d̪ ɔ ɹ
সহ্য	ʃ o d ʑʱː o
সহ্য	ʃ o d ʑː o
সাঁই	ʃ a i̯
সাঁইতিরিশ	ʃ a i̯ t̪ i ɹ i ʃ
সাঁওতাল	ʃ a o̯ t̪ a l
সাঁওতালি	ʃ a o̯ t̪ a l i
সাঁকো	ʃ ã k o
সাঁচ্চা	ʃ a t ɕː a
সাঁঝ	ʃ a d ʑʱ
সাঁতরানো	ʃ ã t̪ r a n o
সাঁতার	ʃ a t̪ a ɹ
সাং	ʃ a ŋ
সাংস্কৃতিক	ʃ a ŋ s k ɹ i t̪ i k
সাইকিল	s a e̯ k i l
সাইকিল	s a i̯ k i l
সাইকেল	s a e̯ k e l
সাইকেল	s a i̯ k e l
সাইক্লোন	s a i̯ k l o n
সাইফ	s a i̯ f
সাঈদ	s a i̯ d̪
সাওয়াব	s a o̯ a b
সাকিব	s a k i b
সাকিব	ʃ a k i b
সাক্ষি	ʃ a kʰː i
সাক্ষী	ʃ a kʰː i
সাক্ষ্য	s a kʰː o
সাখী	ʃ a kʰ i
সাগর	ʃ a ɡ o ɹ
সাগু	ʃ a ɡ u
সাচা	ʃ a t ɕ a
সাচ্চা	s a t ɕː a
সাচ্চা	ʃ a t ɕː a
সাজদা	ʃ a d ʑ d̪ a
সাজা	ʃ a d ʑ a
সাজানো	ʃ a d͡ʒ a n o
সাড়ে	ʃ a ɹ e
সাত	ʃ a t̪
সাতক্ষীরা	ʃ a t̪ kʰ i ɾ a
সাতানব্বই	ʃ a t̪ a n ɔ bː o i̯
সাথে	ʃ a t̪ʰ e
সাদ	ʃ a d̪
সাদমান	s a d̪ m a n
সাদা	ʃ a d̪ a
সাদাসিধা	ʃ a d̪ a ʃ i d̪ʱ a
সাদাসিধে	ʃ a d̪ a ʃ i d̪ʱ e
সাদিয়া	s a d̪ i̯ a
সাধ	ʃ a d̪ʱ
সাধা	ʃ a d̪ʱ a
সাধারণ	ʃ a d̪ʱ a ɹ o n
সাধু	ʃ a d̪ʱ u
সাধুভাষা	ʃ a d̪ʱ u bʱ a ʃ a
সানা	s a n a
সানাই	ʃ a n a i̯
সান্ত্বনা	ʃ a n t̪ o n a
সান্ধা	ʃ a n d̪ʱ a
সাপ	ʃ a p
সাফ	s a f
সাফারি	ʃ a f a ɹ i
সাবধান	ʃ a b d̪ʱ a n
সাবধানতা	ʃ a b d̪ʱ a n o t̪ a
সাবরিনা	s a b ɹ i n a
সাবরিনা	s a b ɾ i n a
সাবান	ʃ a b a n
সাবিত	s a b i t̪
সাব্যস্ত	ʃ a bː o s t̪ o
সাভার	ʃ a bʱ a ɹ
সামনে	ʃ a m n e
সামলানো	ʃ a m l a n o
সামান	s a m a n
সামিয়া	s a m i̯ a
সামী	s a m i
সামুদ্রিক	ʃ a m u d r i k
সাম্যবাদ	ʃ a mː ɔ b a d̪
সাম্রাজ্য	ʃ a m ɾ a d͡ʒː o
সায়ন	ʃ ɑ e̯ ɔ n
সায়ন্তন	ʃ ɑ e̯ ɔ n t̪ ɔ n
সায়া	ʃ a e̯ a
সায়াহ্ন	ʃ a e̯ a nː h o
সায়াহ্ন	ʃ a e̯ a nː n o
সায়াহ্ন	ʃ a e̯ a nː o
সার	s a ɹ
সার	ʃ a ɹ
সারা	ʃ a ɹ a
সারি	ʃ a ɹ i
সার্জারি	s a ɹ d ʑ a ɹ i
সার্জারি	s a ɹ d ʑ e ɹ i
সাল	ʃ a l
সালতানাত	s a l t̪ a n a t̪
সালমান	s a l m a n
সালাত	s a l a t̪
সালাদ	s a l a d̪
সালাম	s a l a m
সালোকসংশ্লেষ	ʃ a l o k ʃ ɔ ŋ s l e ʃ
সালোকসংশ্লেষণ	ʃ a l o k ʃ ɔ ŋ s l e ʃ o n
সাহস	ʃ a h o ʃ
সাহা	ʃ a h a
সাহায্য	ʃ a h a d ʑː o
সাহিত্য	ʃ a h i t̪ː o
সাহেব	ʃ a e̯ b
সাহেব	ʃ a h e b
সাহ্নাই	ʃ a h n a i̯
সাহ্নাই	ʃ a n a i̯
সিঁড়ি	ʃ i ɹ i
সিঁড়ি	ʃ i ɾ i
সিঁড়ী	ʃ i ɹ i
সিঁথি	ʃ i t̪ʰ i
সিঁদুর	ʃ i d̪ u ɹ
সিঁদুরে	ʃ i d̪ u ɹ e
সিংহ	ʃ i ŋ h o
সিংহাসন	ʃ i ŋ h a ʃ o n
সিএনজি	s i̯ e n d ʑ i
সিকান্দর	s i k a n d̪ a ɹ
সিকান্দর	s i k a n d̪ ɔ ɹ
সিকি	ʃ i k i
সিকিম	s i k i m
সিকিম	ʃ i k i m
সিক্কিম	s i kː i m
সিক্কিম	ʃ i kː i m
সিগারেট	s i ɡ a ɹ e t
সিঙাড়া	ʃ i ŋ a ɹ a
সিঙ্গাড়া	ʃ i ŋ ɡ a ɹ a
সিঙ্গাপুর	ʃ i ŋ ɡ a p u ɹ
সিজদা	ʃ i d ʑ d̪ a
সিট	s i t
সিড়ি	ʃ i ɹ i
সিড়ী	ʃ i ɹ i
সিডি	s i d i
সিদ্ধ	ʃ i d̪ʱː o
সিদ্ধান্ত	ʃ i d̪ʱː a n t̪ o
সিধা	ʃ i d̪ʱ a
সিধে	ʃ i d̪ʱ e
সিন্দুক	ʃ i n d̪ u k
সিন্দূর	ʃ i n d̪ u ɹ
সিন্ধু	ʃ i n d̪ʱ u
সিন্ধুঘোটক	ʃ i n d̪ʱ u ɡʱ o t ɔ k
সিপাহী	ʃ i p a h i
সিপাহী	ʃ i p a i̯
সিয়াম	s i̯ a m
সিয়োন	s i j o n
সিয়োনবাদ	s i j o n b a d̪
সির্কা	ʃ i ɹ k a
সিলেট	s i l e t
সিলেট	ʃ i l e t
সিলেটি	ʃ i l e t i
সীতা	ʃ i t̪ a
সীতাকুণ্ড	ʃ i t̪ a k u n d o
সীমা	ʃ i m a
সীমানা	ʃ i m a n a
সুই	ʃ u̯ i
সুইজারল্যান্ড	s u̯ i z a ɹ l ɛ n d
সুইডেন	s u i̯ d e n
সুইডেন	s u i̯ ɖ e n
সুকুমার	ʃ u k u m ɑ ɾ
সুখ	ʃ u kʰ
সুগার	s u ɡ a ɹ
সুগার	ʃ u ɡ a ɹ
সুজাতা	ʃ u d͡ʒ ɑ t̪ ɑ
সুজি	ʃ u d ʑ i
সুজিত	ʃ u d͡ʒ i t̪
সুজুদ	s u d ʑ u d̪
সুজুদ	ʃ u d ʑ u d̪
সুজূদ	s u d ʑ u d̪
সুজূদ	ʃ u d ʑ u d̪
সুড়ঙ্গ	ʃ u ɹ ɔ ŋ ɡ o
সুদ	ʃ u d̪
