@	a̠ t̚ t o̞
骨化	k o̞ k̚ k a̠
告解	k o̞ k̚ k a̠ i
国会	k o̞ k̚ k a̠ i
国界	k o̞ k̚ k a̠ i
国家的	k o̞ k̚ k a̠ t e̞ kʲ i
こっから	k o̞ k̚ k a̠ ɾ a̠
酷寒	k o̞ k̚ k ã̠ ɴ
極寒	ɡ o̞ k̚ k ã̠ ɴ
克己	k o̞ k̚ʲ kʲ i
国旗	k o̞ k̚ʲ kʲ i
国境	k o̞ k̚ʲ kʲ o̞ː
国教	k o̞ k̚ʲ kʲ o̞ː
国禁	k o̞ k̚ʲ kʲ ĩ ɴ
黒金	k o̞ k̚ʲ kʲ ĩ ɴ
滑稽	k o̞ k̚ k e̞ː
国憲	k o̞ k̚ k ẽ̞ ɴ
国権	k o̞ k̚ k ẽ̞ ɴ
黒鍵	k o̞ k̚ k ẽ̞ ɴ
ごっこ	ɡ o̞ k̚ k o̞
国交	k o̞ k̚ k o̞ː
骨子	k o̞ ɕː i
こっそり	k o̞ sː o̞ ɾʲ i
ごっそり	ɡ o̞ sː o̞ ɾʲ i
骨炭	k o̞ t̚ t ã̠ ɴ
ごったん	ɡ o̞ t̚ t ã̠ ɴ
こっち	k o̞ t̚ t͡ɕ i
ごっちゃ	ɡ o̞ t̚ t͡ɕ a̠
コッチョリ	k o̞ t̚ t͡ɕ o̞ ɾʲ i
ごっつぁん	ɡ o̞ t̚ t͡s ã̠ ɴ
こってり	k o̞ t̚ t e̞ ɾʲ i
骨董	k o̞ t̚ t o̞ː
骨董品	k o̞ t̚ t o̞ː ç ĩ ɴ
コットン	k o̞ t̚ t õ̞ ɴ
こっぱ	k o̞ p̚ p a̠
骨牌	k o̞ p̚ p a̠ i
こっぱみじん	k o̞ p̚ p a̠ mʲ i ʑ ĩ ɴ
こっぴどい	k o̞ p̚ʲ pʲ i d o̞ i
コッペパン	k o̞ p̚ p e̞ p ã̠ ɴ
骨法	k o̞ p̚ p o̞ː
こて	k o̞ t e̞
コテ	k o̞ t e̞
籠手	k o̞ t e̞
鏝	k o̞ t e̞
後手	ɡ o̞ t e̞
固定	k o̞ t e̞ː
湖底	k o̞ t e̞ː
固定資産税	k o̞ t e̞ː ɕ i s ã̠ n d͡z e̞ː
固定長	k o̞ t e̞ː t͡ɕ o̞ː
固定媒体	k o̞ t e̞ː b a̠ i t a̠ i
こてこて	k o̞ t e̞ k o̞ t e̞
こてしらべ	k o̞ t e̞ ɕ i ɾ a̠ b e̞
個展	k o̞ t ẽ̞ ɴ
古典	k o̞ t ẽ̞ ɴ
御殿	ɡ o̞ t ẽ̞ ɴ
古典的	k o̞ t ẽ̞ n t e̞ kʲ i
古典派	k o̞ t ẽ̞ ɰ̃ h a̠
御殿場	ɡ o̞ t ẽ̞ m b a̠
こと	k o̞ t o̞
ヿ	k o̞ t o̞
事	d͡ʑ i
古都	k o̞ t o̞
琴	k o̞ t o̞
箏	k o̞ t o̞
糊塗	k o̞ t o̞
ごと	ɡ o̞ t o̞
孤島	k o̞ t o̞ː
五島	ɡ o̞ t o̞ː
梧桐	ɡ o̞ t o̞ː
語頭	ɡ o̞ t o̞ː
誤答	ɡ o̞ t o̞ː
鼓動	k o̞ d o̞ː
こどおじ	k o̞ d o̞ o̞ ʑ i
五十日	ɡ o̞ t o̞ː bʲ i
事柄	k o̞ t o̞ ɡ a̠ ɾ a̠
ごとき	ɡ o̞ t o̞ kʲ i
ごとごと	ɡ o̞ t o̞ ɡ o̞ t o̞
こと座	k o̞ t o̞ z a̠
殊更	k o̞ t o̞ s a̠ ɾ a̠
今年	k o̞ t o̞ ɕ i
ことじ	k o̞ t o̞ ʑ i
ごとし	ɡ o̞ t o̞ ɕ i
琴瀬	k o̞ t o̞ s e̞
言霊	k o̞ t o̞ d a̠ m a̠
琴鳥	k o̞ t o̞ d o̞ ɾʲ i
言の葉	k o̞ t o̞ n o̞ h a̠
ことのほか	k o̞ t o̞ n o̞ h o̞ k a̠
詞葉	k o̞ t o̞ h a̠
言葉	k o̞ t o̞ b a̠
ことばえらび	k o̞ t o̞ b a̠ e̞ ɾ a̠ bʲ i
ことはじめ	k o̞ t o̞ h a̠ ʑ i m e̞
琴未	k o̞ t o̞ mʲ i
琴美	k o̞ t o̞ mʲ i
子供	k o̞ d o̞ m o̞
子供達	k o̞ d o̞ m o̞ t a̠ t͡ɕ i
子供騙し	k o̞ d o̞ m o̞ d a̠ m a̠ ɕ i
子ども部屋おじさん	k o̞ d o̞ m o̞ b e̞ j a̠ o̞ ʑ i s ã̠ ɴ
子供部屋おじさん	k o̞ d o̞ m o̞ b e̞ j a̠ o̞ ʑ i s ã̠ ɴ
子供用	k o̞ d o̞ m o̞ j o̞ː
小鳥	k o̞ t o̞ ɾʲ i
ごとん	ɡ o̞ t õ̞ ɴ
こない	k o̞ n a̠ i
呼内	k o̞ n a̠ i
来ない	k o̞ n a̠ i
こないだ	k o̞ n a̠ i d a̠
子泣き爺	k o̞ n a̠ kʲ i ʑ i ʑ iː
粉々	k o̞ n a̠ ɡ o̞ n a̠
こなた	k o̞ n a̠ t a̠
粉茶	k o̞ n a̠ t͡ɕ a̠
小鍋	k o̞ n a̠ b e̞
小鍋立て	k o̞ n a̠ b e̞ d a̠ t e̞
小生意気	k o̞ n a̠ m a̠ i kʲ i
嫡妻	k o̞ n a̠ mʲ i
小波	k o̞ n a̠ mʲ i
粉屋	k o̞ n a̠ j a̠
コナン	k o̞ n ã̠ ɴ
五人	ɡ o̞ ɲ̟ ĩ ɴ
誤認	ɡ o̞ ɲ̟ ĩ ɴ
コネ	k o̞ n e̞
来ねえ	k o̞ n e̞ː
子猫	k o̞ n e̞ k o̞
小ネタ	k o̞ n e̞ t a̠
コネチカット	k o̞ n e̞ t͡ɕ i k a̠ t̚ t o̞
五年	ɡ o̞ n ẽ̞ ɴ
この	k o̞ n o̞
この方達	k o̞ n o̞ k a̠ t a̠ t a̠ t͡ɕ i
このごろ	k o̞ n o̞ ɡ o̞ ɾ o̞
この先	k o̞ n o̞ s a̠ kʲ i
このざま	k o̞ n o̞ z a̠ m a̠
鰶	k o̞ n o̞ ɕ i ɾ o̞
木の葉	k o̞ n o̞ h a̠
木の葉蝶	k o̞ n o̞ h a̠ t͡ɕ o̞ː
木の葉鳥	k o̞ n o̞ h a̠ d o̞ ɾʲ i
この人	k o̞ n o̞ ç i̥ t o̞
好ましい	k o̞ n o̞ m a̠ ɕ iː
好み	k o̞ n o̞ mʲ i
好んで	k o̞ n õ̞ n d e̞
語派	ɡ o̞ h a̠
故買	k o̞ b a̠ i
故買品	k o̞ b a̠ i ç ĩ ɴ
小蝿	k o̞ b a̠ e̞
小馬鹿	k o̞ b a̠ k a̠
小箱	k o̞ b a̠ k o̞
こばしり	k o̞ b a̠ ɕ i ɾʲ i
小旗	k o̞ b a̠ t a̠
小鉢	k o̞ b a̠ t͡ɕ i
ご法度	ɡ o̞ h a̠ t̚ t o̞
小鳩	k o̞ b a̠ t o̞
小鼻	k o̞ b a̠ n a̠
小幅	k o̞ h a̠ b a̠
古原	k o̞ h a̠ ɾ a̠
こばら	k o̞ b a̠ ɾ a̠
小針	k o̞ b a̠ ɾʲ i
湖畔	k o̞ h ã̠ ɴ
午飯	ɡ o̞ h ã̠ ɴ
小判	k o̞ b ã̠ ɴ
御飯	ɡ o̞ h ã̠ ɴ
誤判	ɡ o̞ h ã̠ ɴ
碁盤	ɡ o̞ b ã̠ ɴ
小判鮫	k o̞ b ã̠ n d͡z a̠ m e̞
小判草	k o̞ b ã̠ ɰ̃ s o̞ː
古碑	k o̞ ç i
戸扉	k o̞ ç i
媚び	k o̞ bʲ i
語尾	ɡ o̞ bʲ i
コピー	k o̞ pʲ iː
コピー機	k o̞ pʲ iː kʲ i
小人症	k o̞ bʲ i t o̞ ɕ o̞ː
コピペ	k o̞ pʲ i p e̞
小兵	k o̞ ç o̞ː
小拍子	k o̞ bʲ o̞ː ɕ i
小瓶	k o̞ bʲ ĩ ɴ
小鬢	k o̞ bʲ ĩ ɴ
語弊	ɡ o̞ h e̞ː
護兵	ɡ o̞ h e̞ː
誤変換	ɡ o̞ h ẽ̞ ŋ k ã̠ ɴ
語法	ɡ o̞ h o̞ː
誤報	ɡ o̞ h o̞ː
護法	ɡ o̞ h o̞ː
牛蒡	ɡ o̞ b o̞ː
ごぼごぼ	ɡ o̞ b o̞ ɡ o̞ b o̞
ごほごほ	ɡ o̞ h o̞ ɡ o̞ h o̞
零し	k o̞ b o̞ ɕ i
子骨	k o̞ b o̞ n e̞
小骨	k o̞ b o̞ n e̞
コボラー	k o̞ b o̞ ɾ a̠ː
零れ	k o̞ b o̞ ɾ e̞
こぼればなし	k o̞ b o̞ ɾ e̞ b a̠ n a̠ ɕ i
ごほん	ɡ o̞ h õ̞ ɴ
コマ	k o̞ m a̠
小間	k o̞ m a̠
狛	k o̞ m a̠
独楽	k o̞ m a̠
駒	k o̞ m a̠
高麗	k o̞ m a̠
齣	k o̞ m a̠
胡麻	ɡ o̞ m a̠
こまい	k o̞ m a̠ i
氷下魚	k o̞ m a̠ i
細か	k o̞ m a̠ k a̠
細かい	k o̞ m a̠ k a̠ i
ごまかし	ɡ o̞ m a̠ k a̠ ɕ i
小牧	k o̞ m a̠ kʲ i
こまぎれ	k o̞ m a̠ ɡʲ i ɾ e̞
駒子	k o̞ m a̠ k o̞
細細	k o̞ m a̠ ɡ o̞ m a̠
胡麻塩	ɡ o̞ m a̠ ɕ i o̞
コマソン	k o̞ m a̠ s õ̞ ɴ
駒台	k o̞ m a̠ d a̠ i
小町	k o̞ m a̠ t͡ɕ i
小窓	k o̞ m a̠ d o̞
駒鳥	k o̞ m a̠ d o̞ ɾʲ i
齣撮り	k o̞ m a̠ d o̞ ɾʲ i
高麗人	k o̞ m a̠ bʲ i t o̞
こまめ	k o̞ m a̠ m e̞
コマンド	k o̞ m ã̠ n d o̞
こみ	k o̞ mʲ i
コミ	k o̞ mʲ i
ゴミ	ɡ o̞ mʲ i
五味	ɡ o̞ mʲ i
塵	t͡ɕ i ɾʲ i
ごみいれ	ɡ o̞ mʲ i i ɾ e̞
こみこみ	k o̞ mʲ i k o̞ mʲ i
こみち	k o̞ mʲ i t͡ɕ i
小道走	k o̞ mʲ i t͡ɕ i b a̠ ɕ i ɾʲ i
コミッショナー	k o̞ mʲ i ɕː o̞ n a̠ː
コミッション	k o̞ mʲ i ɕː õ̞ ɴ
ごみ箱	ɡ o̞ mʲ i b a̠ k o̞
ゴミパンダ	ɡ o̞ mʲ i p ã̠ n d a̠
小耳	k o̞ mʲ i mʲ i
小宮山	k o̞ mʲ i j a̠ m a̠
古民家	k o̞ mʲ ĩ ŋ k a̠
コメ	k o̞ m e̞
米	k o̞ m e̞
古名	k o̞ m e̞ː
呼名	k o̞ m e̞ː
顳顬	k o̞ m e̞ k a̠ mʲ i
コメコン	k o̞ m e̞ k õ̞ ɴ
米所	k o̞ m e̞ d o̞ k o̞ ɾ o̞
込め物	k o̞ m e̞ m o̞ n o̞
コメ欄	k o̞ m e̞ ɾ ã̠ ɴ
御免	ɡ o̞ m ẽ̞ ɴ
コメンテーター	k o̞ m ẽ̞ n t e̞ː t a̠ː
コメント	k o̞ m ẽ̞ n t o̞
コメント欄	k o̞ m ẽ̞ n t o̞ ɾ ã̠ ɴ
ごめんなさい	ɡ o̞ m ẽ̞ nː a̠ s a̠ i
ごめん寝	ɡ o̞ m ẽ̞ nː e̞
五毛党	ɡ o̞ m o̞ː t o̞ː
こもごも	k o̞ m o̞ ɡ o̞ m o̞
小文字	k o̞ m o̞ ʑ i
こもの	k o̞ m o̞ n o̞
木漏れ日	k o̞ m o̞ ɾ e̞ bʲ i
コモロ	k o̞ m o̞ ɾ o̞
顧問	k o̞ m õ̞ ɴ
古文書	k o̞ m õ̞ ɲ̟ d͡ʑ o̞
小紋鳥	k o̞ m õ̞ ɲ̟ t͡ɕ o̞ː
小屋	k o̞ j a̠
午夜	ɡ o̞ j a̠
こやけ	k o̞ j a̠ k e̞
こやし	k o̞ j a̠ ɕ i
小山	k o̞ j a̠ m a̠
小槍	k o̞ j a̠ ɾʲ i
今宵	k o̞ j o̞ i
誇耀	k o̞ j o̞ː
雇用	k o̞ j o̞ː
御用	ɡ o̞ j o̞ː
誤用	ɡ o̞ j o̞ː
雇用者	k o̞ j o̞ː ɕ a̠
語用論	ɡ o̞ j o̞ː ɾ õ̞ ɴ
コヨーテ	k o̞ j o̞ː t e̞
小夜着	k o̞ j o̞ ɡʲ i
暦	k o̞ j o̞ mʲ i
こより	k o̞ j o̞ ɾʲ i
こら	k o̞ ɾ a̠
子等	k o̞ ɾ a̠
コラーゲン	k o̞ ɾ a̠ː ɡ ẽ̞ ɴ
古来	k o̞ ɾ a̠ i
ご来光	ɡ o̞ ɾ a̠ i k o̞ː
コラット	k o̞ ɾ a̠ t̚ t o̞
コラボ	k o̞ ɾ a̠ b o̞
コラボレーション	k o̞ ɾ a̠ b o̞ ɾ e̞ː ɕ õ̞ ɴ
ご覧	ɡ o̞ ɾ ã̠ ɴ
狐狸	k o̞ ɾʲ i
コリア語	k o̞ ɾʲ i a̠ ɡ o̞
ゴリアテ	ɡ o̞ ɾʲ i a̠ t e̞
コリアンダー	k o̞ ɾʲ i ã̠ n d a̠ː
こりこり	k o̞ ɾʲ i k o̞ ɾʲ i
懲り懲り	k o̞ ɾʲ i ɡ o̞ ɾʲ i
ごりごり	ɡ o̞ ɾʲ i ɡ o̞ ɾʲ i
顧慮	k o̞ ɾʲ o̞
ご両親	ɡ o̞ ɾʲ o̞ː ɕ ĩ ɴ
ゴリラ	ɡ o̞ ɾʲ i ɾ a̠
コリン	k o̞ ɾʲ ĩ ɴ
火鈴	k o̞ ɾʲ ĩ ɴ
五倫	ɡ o̞ ɾʲ ĩ ɴ
五輪	ɡ o̞ ɾʲ ĩ ɴ
五厘刈り	ɡ o̞ ɾʲ ĩ ŋ ɡ a̠ ɾʲ i
五輪塔	ɡ o̞ ɾʲ ĩ n t o̞ː
これ	k o̞ ɾ e̞
孤例	k o̞ ɾ e̞ː
是枝	k o̞ ɾ e̞ e̞ d a̠
これから	k o̞ ɾ e̞ k a̠ ɾ a̠
是清	k o̞ ɾ e̞ kʲ i j o̞
これっぽっち	k o̞ ɾ e̞ p̚ p o̞ t̚ t͡ɕ i
これほど	k o̞ ɾ e̞ h o̞ d o̞
これみよがし	k o̞ ɾ e̞ mʲ i j o̞ ɡ a̠ ɕ i
コレラ	k o̞ ɾ e̞ ɾ a̠
此れ等	k o̞ ɾ e̞ ɾ a̠
虎列剌	k o̞ ɾ e̞ ɾ a̠
コレラ菌	k o̞ ɾ e̞ ɾ a̠ kʲ ĩ ɴ
五斂子	ɡ o̞ ɾ ẽ̞ ɰ̃ ɕ i
ころ	k o̞ ɾ o̞
葫蘆	k o̞ ɾ o̞
語呂	ɡ o̞ ɾ o̞
ころあい	k o̞ ɾ o̞ a̠ i
固陋	k o̞ ɾ o̞ː
コローナイ	k o̞ ɾ o̞ː n a̠ i
コロケーション	k o̞ ɾ o̞ k e̞ː ɕ õ̞ ɴ
ころころ	k o̞ ɾ o̞ k o̞ ɾ o̞
ごろごろ	ɡ o̞ ɾ o̞ ɡ o̞ ɾ o̞
殺し	k o̞ ɾ o̞ ɕ i
殺して	k o̞ ɾ o̞ ɕ i t e̞
殺し屋	k o̞ ɾ o̞ ɕ i j a̠
コロッケ	k o̞ ɾ o̞ k̚ k e̞
コロナ	k o̞ ɾ o̞ n a̠
コロナ禍	k o̞ ɾ o̞ n a̠ k a̠
コロニー	k o̞ ɾ o̞ ɲ̟ iː
コロネ	k o̞ ɾ o̞ n e̞
コロネット	k o̞ ɾ o̞ n e̞ t̚ t o̞
転び	k o̞ ɾ o̞ bʲ i
コロポン	k o̞ ɾ o̞ p õ̞ ɴ
衣	k o̞ ɾ o̞ m o̞
衣替え	k o̞ ɾ o̞ m o̞ ɡ a̠ e̞
衣虱	k o̞ ɾ o̞ m o̞ ʑ i ɾ a̠ mʲ i
コロラド	k o̞ ɾ o̞ ɾ a̠ d o̞
コロン	k o̞ ɾ õ̞ ɴ
ごろん	ɡ o̞ ɾ õ̞ ɴ
転んだ	k o̞ ɾ õ̞ n d a̠
コロンビア	k o̞ ɾ õ̞ m bʲ i a̠
古倫比亜	k o̞ ɾ õ̞ m bʲ i a̠
コロンボ	k o̞ ɾ õ̞ m b o̞
坤	k õ̞ ɴ
痕	k õ̞ ɴ
紺	k õ̞ ɴ
近	k õ̞ ɴ
鯤	k õ̞ ɴ
懇意	k õ̞ ɰ̃ i
紺色	k õ̞ ɰ̃ i ɾ o̞
婚姻	k õ̞ ɰ̃ ĩ ɴ
今夏	k õ̞ ŋ k a̠
今回	k õ̞ ŋ k a̠ i
コンカフェ	k õ̞ ŋ k a̠ ɸ e̞
こんがり	k õ̞ ŋ ɡ a̠ ɾʲ i
今季	k õ̞ ŋʲ kʲ i
今期	k õ̞ ŋʲ kʲ i
根気	k õ̞ ŋʲ kʲ i
根拠	k õ̞ ŋʲ kʲ o̞
今暁	k õ̞ ŋʲ ɡʲ o̞ː
コンキリエ	k õ̞ ŋʲ kʲ i ɾʲ i e̞
権化	ɡ õ̞ ŋ ɡ e̞
根茎	k õ̞ ŋ k e̞ː
根源	k õ̞ ŋ ɡ ẽ̞ ɴ
根源的	k õ̞ ŋ ɡ ẽ̞ n t e̞ kʲ i
コンゴ	k õ̞ ŋ ɡ o̞
今後	k õ̞ ŋ ɡ o̞
混交	k õ̞ ŋ k o̞ː
混合	k õ̞ ŋ ɡ o̞ː
金剛	k õ̞ ŋ ɡ o̞ː
金剛経	k õ̞ ŋ ɡ o̞ː kʲ o̞ː
金剛山	k õ̞ ŋ ɡ o̞ː s ã̠ ɴ
金剛乗	k õ̞ ŋ ɡ o̞ː ʑ o̞ː
金剛石	k õ̞ ŋ ɡ o̞ː s e̞ kʲ i
混交林	k õ̞ ŋ k o̞ː ɾʲ ĩ ɴ
混合林	k õ̞ ŋ ɡ o̞ː ɾʲ ĩ ɴ
こんこん	k õ̞ ŋ k õ̞ ɴ
滾々	k õ̞ ŋ k õ̞ ɴ
コンサート	k õ̞ ɰ̃ s a̠ː t o̞
根菜	k õ̞ ɰ̃ s a̠ i
混在	k õ̞ n d͡z a̠ i
コンサバ	k õ̞ ɰ̃ s a̠ b a̠
今次	k õ̞ ɲ̟ d͡ʑ i
今生	k õ̞ ɲ̟ d͡ʑ o̞ː
根性	k õ̞ ɲ̟ d͡ʑ o̞ː
懇親	k õ̞ ɰ̃ ɕ ĩ ɴ
渾身	k õ̞ ɰ̃ ɕ ĩ ɴ
懇親会	k õ̞ ɰ̃ ɕ ĩ ŋ k a̠ i
懇請	k õ̞ ɰ̃ s e̞ː
混成語	k õ̞ ɰ̃ s e̞ː ɡ o̞
紺セーラー	k õ̞ ɰ̃ s e̞ː ɾ a̠ː
今夕	k õ̞ ɰ̃ s e̞ kʲ i
痕跡	k õ̞ ɰ̃ s e̞ kʲ i
混戦	k õ̞ ɰ̃ s ẽ̞ ɴ
混線	k õ̞ ɰ̃ s ẽ̞ ɴ
婚前	k õ̞ n d͡z ẽ̞ ɴ
渾然	k õ̞ n d͡z ẽ̞ ɴ
金蝉子	k õ̞ n d͡z ẽ̞ ɰ̃ ɕ i
コンセント	k õ̞ ɰ̃ s ẽ̞ n t o̞
コンセントレーション	k õ̞ ɰ̃ s ẽ̞ n t o̞ ɾ e̞ː ɕ õ̞ ɴ
コンソメ	k õ̞ ɰ̃ s o̞ m e̞
こんた	k õ̞ n t a̠
権太	ɡ õ̞ n t a̠
こんだけ	k õ̞ n d a̠ k e̞
献立	k õ̞ n d a̠ t e̞
コンタミ	k õ̞ n t a̠ mʲ i
コンタミネーション	k õ̞ n t a̠ mʲ i n e̞ː ɕ õ̞ ɴ
コンダラ	k õ̞ n d a̠ ɾ a̠
魂胆	k õ̞ n t ã̠ ɴ
こんちゃ	k õ̞ ɲ̟ t͡ɕ a̠
コンテ	k õ̞ n t e̞
コンデジ	k õ̞ n d e̞ ʑ i
コンテナ	k õ̞ n t e̞ n a̠
墾田	k õ̞ n d ẽ̞ ɴ
コンデンサ	k õ̞ n d ẽ̞ ɰ̃ s a̠
コント	k õ̞ n t o̞
今度	k õ̞ n d o̞
今冬	k õ̞ n t o̞ː
昏倒	k õ̞ n t o̞ː
ゴンドラ	ɡ õ̞ n d o̞ ɾ a̠
混沌	k õ̞ n t õ̞ ɴ
餛飩	k õ̞ n t õ̞ ɴ
こんな	k õ̞ nː a̠
困難	k õ̞ nː ã̠ ɴ
コンパ	k õ̞ m p a̠
今晩	k õ̞ m b ã̠ ɴ
今般	k õ̞ m p ã̠ ɴ
コンビ	k õ̞ m bʲ i
コンピ	k õ̞ m pʲ i
コンビ愛	k õ̞ m bʲ i a̠ i
コンビニ	k õ̞ m bʲ i ɲ̟ i
コンビニエント	k õ̞ m bʲ i ɲ̟ i ẽ̞ n t o̞
コンビネーション	k õ̞ m bʲ i n e̞ː ɕ õ̞ ɴ
コンピレーション	k õ̞ m pʲ i ɾ e̞ː ɕ õ̞ ɴ
権兵衛	ɡ õ̞ m b e̞ː
紺碧	k õ̞ m p e̞ kʲ i
言偏	ɡ õ̞ m b ẽ̞ ɴ
コンボ	k õ̞ m b o̞
棍棒	k õ̞ m b o̞ː
コンポーザー	k õ̞ m p o̞ː z a̠ː
コンポーネント	k õ̞ m p o̞ː n ẽ̞ n t o̞
コンポジション	k õ̞ m p o̞ ʑ i ɕ õ̞ ɴ
コンポタ	k õ̞ m p o̞ t a̠
根本	k õ̞ m p õ̞ ɴ
根本的	k õ̞ m p õ̞ n t e̞ kʲ i
コンマ	k õ̞ mː a̠
昏迷	k õ̞ mː e̞ː
混迷	k õ̞ mː e̞ː
こんもり	k õ̞ mː o̞ ɾʲ i
今夜	k õ̞ ɰ̃ j a̠
紺谷	k õ̞ ɰ̃ j a̠
混用	k õ̞ ɰ̃ j o̞ː
さ	s a̠
サ	s a̠
差	s a̠
ざ	d͡z a̠
ザ	d͡z a̠
座	d͡z a̠
さ゚	t͡s a̠
サ゚	t͡s a̠
さぁ	s a̠ː
さあ	s a̠ː
ざあ	d͡z a̠ː
ザー	d͡z a̠ː
搾菜	d͡z a̠ː s a̠ i
サージ	s a̠ː ʑ i
さーせん	s a̠ː s ẽ̞ ɴ
サーチライト	s a̠ː t͡ɕ i ɾ a̠ i t o̞
サード	s a̠ː d o̞
サーバー	s a̠ː b a̠ː
サーファー	s a̠ː ɸ a̠ː
サーベイ	s a̠ː b e̞ i
サーボ	s a̠ː b o̞
ザーメン	d͡z a̠ː m ẽ̞ ɴ
サーランギ	s a̠ː ɾ ã̠ ŋʲ ɡʲ i
サーロイン	s a̠ː ɾ o̞ ĩ ɴ
さい	s a̠ i
債	s a̠ i
再	s a̠ i
差異	s a̠ i
才	s a̠ i
斎	s a̠ i
歳	s a̠ i
災	s a̠ i
犀	s a̠ i
采	s a̠ i
釵	s a̠ i
際	s a̠ i
在	d͡z a̠ i
座位	d͡z a̠ i
材	d͡z a̠ i
財	d͡z a̠ i
在亜	d͡z a̠ i a̠
最愛	s a̠ i a̠ i
サイイド	s a̠ i i d o̞
再エネ	s a̠ i e̞ n e̞
才媛	s a̠ i ẽ̞ ɴ
臍炎	s a̠ i ẽ̞ ɴ
菜園	s a̠ i ẽ̞ ɴ
災殃	s a̠ i o̞ː
才華	s a̠ i k a̠
最下	s a̠ i k a̠
罪科	d͡z a̠ i k a̠
再会	s a̠ i k a̠ i
再開	s a̠ i k a̠ i
最下位	s a̠ i k a̠ i
西海	s a̠ i k a̠ i
災害	s a̠ i ɡ a̠ i
財界	d͡z a̠ i k a̠ i
在外	d͡z a̠ i ɡ a̠ i
彩管	s a̠ i k ã̠ ɴ
細管	s a̠ i k ã̠ ɴ
菜館	s a̠ i k ã̠ ɴ
再帰	s a̠ i kʲ i
再起	s a̠ i kʲ i
才気	s a̠ i kʲ i
再議	s a̠ i ɡʲ i
再帰木	s a̠ i kʲ i ɡʲ i
催奇形性	s a̠ i kʲ i k e̞ː s e̞ː
猜疑心	s a̠ i ɡʲ i ɕ ĩ ɴ
再帰性	s a̠ i kʲ i s e̞ː
サイキッカー	s a̠ i kʲ i k̚ k a̠ː
再帰的	s a̠ i kʲ i t e̞ kʲ i
再起動	s a̠ i kʲ i d o̞ː
最強	s a̠ i kʲ o̞ː
西京	s a̠ i kʲ o̞ː
西行	s e̞ː k o̞ː
最近	s a̠ i kʲ ĩ ɴ
細菌	s a̠ i kʲ ĩ ɴ
サイケ	s a̠ i k e̞
在家	d͡z a̠ i k e̞
再掲	s a̠ i k e̞ː
最敬礼	s a̠ i k e̞ː ɾ e̞ː
再建	s a̠ i k ẽ̞ ɴ
再見	s a̠ i k ẽ̞ ɴ
再現	s a̠ i ɡ ẽ̞ ɴ
際限	s a̠ i ɡ ẽ̞ ɴ
債権者	s a̠ i k ẽ̞ ɰ̃ ɕ a̠
再現度	s a̠ i ɡ ẽ̞ n d o̞
サイコ	s a̠ i k o̞
最古	s a̠ i k o̞
在庫	d͡z a̠ i k o̞
最後	s a̠ i ɡ o̞
最期	s a̠ i ɡ o̞
再考	s a̠ i k o̞ː
再興	s a̠ i k o̞ː
彩虹	s a̠ i k o̞ː
採光	s a̠ i k o̞ː
最高	s a̠ i k o̞ː
西郷	s a̠ i ɡ o̞ː
罪業	d͡z a̠ i ɡ o̞ː
最高裁	s a̠ i k o̞ː s a̠ i
最高指導者	s a̠ i k o̞ː ɕ i d o̞ː ɕ a̠
再構成	s a̠ i k o̞ː s e̞ː
最高潮	s a̠ i k o̞ː t͡ɕ o̞ː
賽子	s a̠ i k o̞ ɾ o̞
サイコロジー	s a̠ i k o̞ ɾ o̞ ʑ iː
再婚	s a̠ i k õ̞ ɴ
サイゴン	s a̠ i ɡ õ̞ ɴ
柴棍	s a̠ i ɡ õ̞ ɴ
さいさき	s a̠ i s a̠ kʲ i
再三	s a̠ i s ã̠ ɴ
採算	s a̠ i s ã̠ ɴ
財産	d͡z a̠ i s ã̠ ɴ
財産家	d͡z a̠ i s ã̠ ŋ k a̠
再三再四	s a̠ i s ã̠ ɰ̃ s a̠ i ɕ i
採算性	s a̠ i s ã̠ ɰ̃ s e̞ː
妻子	s a̠ i ɕ i
祭司	s a̠ i ɕ i
祭祀	s a̠ i ɕ i
在支	d͡z a̠ i ɕ i
歳時	s a̠ i ʑ i
彩色	s a̠ i ɕ i kʲ i
歳時記	s a̠ i ʑ i kʲ i
最初	s a̠ i ɕ o̞
才女	s a̠ i ʑ o̞
妻妾	s a̠ i ɕ o̞ː
宰相	s a̠ i ɕ o̞ː
最小	s a̠ i ɕ o̞ː
最少	s a̠ i ɕ o̞ː
細小	s a̠ i ɕ o̞ː
斎場	s a̠ i ʑ o̞ː
最上	s a̠ i ʑ o̞ː
罪状	d͡z a̠ i ʑ o̞ː
最小化	s a̠ i ɕ o̞ː k a̠
最上階	s a̠ i ʑ o̞ː k a̠ i
最小限	s a̠ i ɕ o̞ː ɡ ẽ̞ ɴ
最小値	s a̠ i ɕ o̞ː t͡ɕ i
再審	s a̠ i ɕ ĩ ɴ
最新	s a̠ i ɕ ĩ ɴ
細心	s a̠ i ɕ ĩ ɴ
菜心	s a̠ i ɕ ĩ ɴ
祭神	s a̠ i ʑ ĩ ɴ
再生	s a̠ i s e̞ː
再製	s a̠ i s e̞ː
済世	s a̠ i s e̞ː
犀星	s a̠ i s e̞ː
祭政	s a̠ i s e̞ː
財政	d͡z a̠ i s e̞ː
砕石	s a̠ i s e̞ kʲ i
在籍	d͡z a̠ i s e̞ kʲ i
再設計	s a̠ i s e̞ k̚ k e̞ː
再戦	s a̠ i s ẽ̞ ɴ
