aba	a b a
ceibar	s e j β a ɾ
ceibe	θ e j β e̝
ceibe	s e j β e̝
ceibo	θ e j β o̝
ceibo	s e j β o̝
ceifa	θ ɛ j f ɐ
ceifa	s ɛ j f ɐ
ceila	θ e j l a̝
cela	θ ɛ l a̝
celamín	θ e l a m i ŋ
Celanova	θ e l a n ɔ β a̝
celebridade	θ e l e b ɾ i d a d e
celebridade	θ e l e b ɾ i d a d e
celebridade	s e l e b ɾ i d a d e
celeiro	θ e l e j ɾ o
celeiro	θ e l e j ɾ o
celeiro	s e l e j ɾ o
celigras	θ e l i ɣ ɾ a̝ s
celme	θ ɛ l m e̝
celme	s ɛ l m e̝
celoso	θ e l o s o
celoso	θ e l o s o
celoso	s e l o s o
Céltigos	θ ɛ l t i ɣ o̝ s
Céltigos	s ɛ l t i ɣ o̝ s
celtismo	θ ɛ l t i s m o
célula	θ ɛ l u l a
célula	θ ɛ l u l a
célula	s ɛ l u l a
cen	θ ɛ ŋ
cen	θ ɛ ŋ
cen	s ɛ ŋ
cenceno	θ e n θ e n o̝
cenceno	s e n s e n o̝
cendal	θ e n d a l
cenlla	θ e n ʎ a̝
cenlla	s e n ʎ a̝
ceno	a θ e n o̝
cenoria	θ e n ɔ ɾ j a
cenoria	θ e n ɔ ɾ j a
cenoria	s e n ɔ ɾ j a
cenrada	θ e n r a ð a̝
cenrada	s e n r a ð a̝
censura	θ e n s u ɾ a
censura	θ e n s u ɾ a
censura	s e n s u ɾ a
censura	θ ɛ n s u ɾ a
censura	θ ɛ n s u ɾ a
censura	s ɛ n s u ɾ a
censurar	θ e n s u ɾ a ɾ
censurar	θ e n s u ɾ a ɾ
censurar	s e n s u ɾ a ɾ
censurar	θ ɛ n s u ɾ a ɾ
censurar	θ ɛ n s u ɾ a ɾ
censurar	s ɛ n s u ɾ a ɾ
centeo	θ e n t e o̝
centeo	θ e n t e w
centeo	s e n t e o̝
cento	θ e n t o
cento	θ e n t o
cento	s e n t o
centola	θ e n t o l a̝
centola	s e n t o l a̝
centralización	θ e n t ɾ a l i θ a θ j o ŋ
centralización	θ e n t ɾ a l i θ a θ j o ŋ
centralización	s e n t ɾ a l i s a s j o ŋ
centralizaçom	θ e n t ɾ a l i θ a θ o ŋ
centralizaçom	θ e n t ɾ a l i θ a θ o ŋ
centralizaçom	s e n t ɾ a l i s a s o ŋ
centrismo	θ e n t ɾ i s m o
centrismo	θ e n t ɾ i s m o
centrismo	s e n t ɾ i s m o
centro	θ e n t ɾ o
centro	θ e n t ɾ o
centro	s e n t ɾ o
centulo	θ e n t u l o̝
cenza	θ ɛ n θ a
cenza	θ ɛ n θ a
cenza	s ɛ n s a
ceo	θ ɛ o
ceo	θ ɛ o
ceo	s ɛ o
cepa	θ e p a
cepa	θ e p a
cepa	s e p a
cepar	θ e p a ɾ
cepillar	θ e p i ʎ a ɾ
cepillo	θ e p i ʎ ʊ
cepo	θ e p o̝
cepo	s e p o̝
cera	θ e ɾ a
cera	θ e ɾ a
cera	s e ɾ a
cerca	θ e ɾ k a̝
cerca	s e ɾ k a̝
cercar	θ e ɾ k a ɾ
cercar	s e ɾ k a ɾ
cercear	θ e ɾ θ e a ɾ
cerco	θ e ɾ k o
cerco	θ e ɾ k o
cerco	s e ɾ k o
cerdeira	θ e ɾ ð e j ɾ a̝
cerdeira	s e ɾ ð e j ɾ a̝
cereal	θ e ɾ e a l
cereal	θ e ɾ e a l
cereal	s e ɾ e a l
cerebro	θ e ɾ ɛ b ɾ o
cerebro	θ e ɾ ɛ b ɾ o
cerebro	s e ɾ ɛ b ɾ o
cereixa	θ e ɾ e j ʃ a
cereixa	θ e ɾ e j ʃ a
cereixa	s e ɾ e j ʃ a
cerello	θ e ɾ e ʎ o̝
cerimonia	θ e ɾ i m ɔ n j a
cerimonia	θ e ɾ i m ɔ n j a
cerimonia	s e ɾ i m ɔ n j a
cerna	θ ɛ ɾ n a
cerna	θ ɛ ɾ n a
cerna	s ɛ ɾ n a
cernas	θ ɛ ɾ n a s
cernas	θ ɛ ɾ n a s
cernas	s ɛ ɾ n a s
cerne	θ ɛ ɾ n e
cerne	θ ɛ ɾ n e
cerne	s ɛ ɾ n e
cernella	θ e ɾ n e ʎ a̝
cernes	θ ɛ ɾ n e s
cernes	θ ɛ ɾ n e s
cernes	s ɛ ɾ n e s
cerno	θ ɛ ɾ n o
cerno	θ ɛ ɾ n o
cerno	s ɛ ɾ n o
cernos	θ ɛ ɾ n o s
cernos	θ ɛ ɾ n o s
cernos	s ɛ ɾ n o s
cero	θ ɛ ɾ o
cero	θ ɛ ɾ o
cero	s ɛ ɾ o
Cerponzóns	θ e ɾ p o n θ o ŋ s
Cerponzóns	s e ɾ p o n s o ŋ s
cerqueiro	θ e ɾ k e j ɾ o̝
cerqueiro	s e ɾ k e j ɾ o̝
cerquiño	θ e ɾ k i ɲ o̝
cerquiño	s e ɾ k i ɲ o̝
cerrar	θ ɛ r a ɾ
cerrar	s ɛ r a ɾ
cerro	θ e r o̝
cerro	s e r o̝
certidume	θ ɛ ɾ t i d u m e
certidume	θ ɛ ɾ t i d u m e
certidume	s ɛ ɾ t i d u m e
certo	θ ɛ ɾ t o
certo	θ ɛ ɾ t o
certo	s ɛ ɾ t o
cerume	θ e ɾ u m e
cerume	θ e ɾ u m e
cerume	s e ɾ u m e
Cervantes	θ e ɾ b a n t e s
Cervantes	θ e ɾ b a n t e s
Cervantes	s e ɾ b a n t e s
cervexa	θ e ɾ b e ʃ a
cervexa	θ e ɾ b e ʃ a
cervexa	s e ɾ b e ʃ a
cerviña	θ ɛ ɾ β i ɲ a̝
cerviño	θ ɛ ɾ b i ɲ o
cerviño	θ ɛ ɾ b i ɲ o
cerviño	s ɛ ɾ b i ɲ o
Cerviño	θ ɛ ɾ β i ɲ o̝
cervo	θ ɛ ɾ b o
cervo	θ ɛ ɾ b o
cervo	s ɛ ɾ b o
cervúa	θ ɛ ɾ β u a̝
cervún	θ ɛ ɾ β u ŋ
céspede	θ ɛ s p e d e
céspede	θ ɛ s p e d e
céspede	s ɛ s p e d e
cesta	θ e s t a
cesta	θ e s t a
cesta	s e s t a
cesteiro	θ e s t e j ɾ o̝
cesteiro	s e s t e j ɾ o̝
ceta	θ e t a
ceta	θ e t a
ceta	s e t a
Cezobre	θ e θ ɔ b ɾ e̝
chá	t͡ʃ a
chabola	t͡ʃ a β ɔ l a̝
chacina	t͡ʃ a θ i n a̝
chacina	t͡ʃ a s i n a̝
chafallada	t͡ʃ a f a ɟ a d a
chafandín	t͡ʃ a f a n d i ŋ
chafariz	t͡ʃ a f a ɾ i θ
chafariz	t͡ʃ a f a ɾ i s
chaga	t͡ʃ a ɡ a
chaga	t͡ʃ a ɡ a
chaga	t͡ʃ a ħ a
chagorza	t͡ʃ a ɣ ɔ ɾ θ a̝
chaguazo	t͡ʃ a ɡ w a θ o̝
chairo	t͡ʃ a j ɾ o
chaleco	t͡ʃ a l ɛ k o
chama	t͡ʃ a m a
chamador	t͡ʃ a m a ð o ɾ
chamar	t͡ʃ a m a ɾ
chamarse	t͡ʃ a m a ɾ s ɪ
chamas	t͡ʃ ɐ m ɐ s
chambergas	t͡ʃ a m b e ɾ ɣ a̝ s
chame	t͡ʃ ɐ m ɪ
chamizo	t͡ʃ a m i θ o̝
chamizo	t͡ʃ a m i s o̝
chamo	t͡ʃ ɐ m ʊ
Chamorro	t͡ʃ a m o r o
chamorro	t͡ʃ a m o r o̝
Chamoso	t͡ʃ a m o s o̝
champaña	t͡ʃ a m p a ɲ a
chamuscar	t͡ʃ a m u s k a ɾ
chan	t͡ʃ a ŋ
chanca	t͡ʃ a ŋ k a
chanchar	t͡ʃ a n t͡ʃ a ɾ
chancho	t͡ʃ a n t͡ʃ o̝
chanfaina	t͡ʃ a n f a j n a
Chantada	t͡ʃ a n t a ð a̝
chantado	t͡ʃ a n t a d o
chantar	t͡ʃ a n t a ɾ
chantaxe	t͡ʃ a n t a ʃ e
chanto	t͡ʃ a n t ʊ
chanzo	t͡ʃ a n θ o̝
Chao	t͡ʃ a o̯
Chao	t͡ʃ a w
chapa	t͡ʃ a p a̝
chapacuña	t͡ʃ a p a k u ɲ a̝
chapapote	t͡ʃ a p a p ɔ t e̝
chapar	t͡ʃ a p a ɾ
chapar	t͡ʃ a p a ɾ
chapeu	t͡ʃ a p e w
chapeu	t͡ʃ a p ɛ w
chapeus	t͡ʃ a p e w s
chapeus	t͡ʃ a p ɛ w s
chaqueta	t͡ʃ a k e t a
chaquetas	t͡ʃ ɐ k e t ɐ s
charamisca	t͡ʃ a ɾ a m i s k a̝
charamusca	t͡ʃ a ɾ a m u s k a
charamuscas	t͡ʃ a ɾ a m u s k a s
charamuza	t͡ʃ a ɾ a m u θ a̝
charco	t͡ʃ a ɾ k o
charro	t͡ʃ a r o
charrúa	t͡ʃ a r u a
charruar	t͡ʃ a r u a ɾ
chasco	t͡ʃ a s k o
chata	t͡ʃ a t a
chato	t͡ʃ a t o
chau	t͡ʃ a w
chave	t͡ʃ a b e
chavella	t͡ʃ a b e ɟ a
che	t͡ʃ e
chea	t͡ʃ e a̝
checo	t͡ʃ ɛ k ʊ
cheda	t͡ʃ e d a
chedeiro	t͡ʃ e ð e j ɾ o̝
chegar	t͡ʃ e ɡ a ɾ
chegar	t͡ʃ e ɡ a ɾ
chegar	t͡ʃ e ħ a ɾ
cheirar	t͡ʃ e j ɾ a ɾ
cheirento	t͡ʃ e j ɾ e n t o̝
cheirento	t͡ʃ e j ɾ ɛ n t o̝
cheiro	t͡ʃ e j ɾ o̝
cheiro	t͡ʃ ɛ j ɾ o̝
cheminea	t͡ʃ e m i n ɛ a
chencha	t͡ʃ e n t͡ʃ a̝
chencha	t͡ʃ ɛ n t͡ʃ a̝
cheo	t͡ʃ e o
chepudo	t͡ʃ e p u d o
chiar	t͡ʃ i a ɾ
chicha	t͡ʃ i t͡ʃ a
chicote	t͡ʃ i k ɔ t e
chifrar	t͡ʃ i f ɾ a ɾ
chifre	t͡ʃ i f ɾ e̝
chilena	t͡ʃ i l e n a
chimpar	t͡ʃ i m p a ɾ
chimpo	t͡ʃ i m p o̝
chinche	t͡ʃ i n t͡ʃ e
chineiro	t͡ʃ i n e j ɾ o
chinés	t͡ʃ i n e s
chío	t͡ʃ i o̝
chirlar	t͡ʃ i ɾ l a ɾ
chisca	t͡ʃ i s k a̝
chiscar	t͡ʃ i s k a ɾ
chisco	t͡ʃ i s k o̝
chisme	t͡ʃ i s m e
chispa	t͡ʃ i s p a
chisqueiro	t͡ʃ i s k e j ɾ o
chiste	t͡ʃ i s t e
cho	t͡ʃ o
choca	t͡ʃ ɔ k ɐ
choca	t͡ʃ o k ɐ
chocallo	t͡ʃ o k a ʎ o̝
choco	t͡ʃ ɔ k ʊ
choco	t͡ʃ o k ʊ
choer	t͡ʃ o e ɾ
choia	t͡ʃ ɔ j a̝
choiar	t͡ʃ ɔ j a ɾ
choio	t͡ʃ ɔ j o
chola	t͡ʃ ɔ l a
chopa	t͡ʃ o p a̝
chope	t͡ʃ ɔ p e̝
choqueiro	t͡ʃ ɔ k e j ɾ ʊ
choqueiro	t͡ʃ ɔ k e j ɾ ʊ
choqueiro	t͡ʃ ɔ k e j ɾ ʊ
chor	t͡ʃ o ɾ
chorar	t͡ʃ o ɾ a ɾ
chorida	t͡ʃ o ɾ i ð a̝
chorima	t͡ʃ o ɾ i m a̝
chorir	t͡ʃ o ɾ i ɾ
choromicas	t͡ʃ o ɾ o m i k a s
chorón	t͡ʃ o ɾ o ŋ
chosco	t͡ʃ o s k o̝
chota	t͡ʃ ɔ t a
choupa	t͡ʃ ɔ u p a
choupa	t͡ʃ o w p a
choupana	t͡ʃ o w p a n a̝
choupar	t͡ʃ o w p a ɾ
chouparro	t͡ʃ o w p a r o
choupelo	t͡ʃ o w p ɛ l o̝
chourela	t͡ʃ o w ɾ ɛ l a̝
chourizo	t͡ʃ o w ɾ i θ o
chourizo	t͡ʃ o w ɾ i θ o
chourizo	t͡ʃ o w ɾ i s o
choutar	t͡ʃ o w t a ɾ
chouteira	t͡ʃ o w t e j ɾ a
chouto	t͡ʃ o w t o̝
chover	t͡ʃ o b e ɾ
choza	t͡ʃ ɔ θ a
choza	t͡ʃ ɔ θ a
choza	t͡ʃ ɔ s a
chozo	t͡ʃ ɔ θ o
chozo	t͡ʃ ɔ θ o
chozo	t͡ʃ ɔ s o
chucha	t͡ʃ u t͡ʃ a
chuchamel	t͡ʃ u t͡ʃ a m ɛ l
chuchar	t͡ʃ u t͡ʃ a ɾ
chucho	t͡ʃ u t͡ʃ o
chufa	t͡ʃ u f a̝
chufar	t͡ʃ u f a ɾ
chumaceira	t͡ʃ u m a θ e j ɾ a̝
chumaceira	t͡ʃ u m a s e j ɾ a̝
chumazo	t͡ʃ u m a θ o̝
chumazo	t͡ʃ u m a s o̝
chumbada	t͡ʃ u m b a ð a̝
chumbalagato	t͡ʃ u m b a l a ɡ a t o
chumbalagato	t͡ʃ u m b a l a ɡ a t o
chumbalagato	t͡ʃ u m b a l a ħ a t o
chumbo	t͡ʃ u m b o
chupeta	t͡ʃ u p e t a̝
churrasco	t͡ʃ u r a s k o
churrusqueiro	t͡ʃ u r u s k e j ɾ o
chus	t͡ʃ u s
chuspir	t͡ʃ u s p i ɾ
chuvascada	t͡ʃ u b a s k a d a
chuvasco	t͡ʃ u b a s k o
chuvasqueiro	t͡ʃ u β a s k e j ɾ o̝
chuvia	t͡ʃ u b j a
chuviña	t͡ʃ u b i ɲ a
chuvisca	t͡ʃ u b i s k a
ciano	θ j a n o
ciano	θ j a n o
ciano	s j a n o
Cibrán	θ i b ɾ a ŋ
Cibrán	θ i b ɾ a ŋ
Cibrán	s i b ɾ a ŋ
Cibrao	θ i b ɾ a o
Cibrao	θ i b ɾ a o
Cibrao	s i b ɾ a o
cicha	θ i t͡ʃ a̝
cicha	s i t͡ʃ a̝
cichar	θ i t͡ʃ a ɾ
cichar	s i t͡ʃ a ɾ
cichón	θ i t͡ʃ o ŋ
cichón	s i t͡ʃ o ŋ
cichote	θ i t͡ʃ ɔ t e̝
cichote	s i t͡ʃ ɔ t e̝
ciclismo	θ i k l i s m o
ciclismo	θ i k l i s m o
ciclismo	s i k l i s m o
cidadán	θ i d a d a ŋ
cidadán	θ i d a d a ŋ
cidadán	s i d a d a ŋ
cidadanía	θ i d a d a n i a
cidadanía	θ i d a d a n i a
cidadanía	s i d a d a n i a
cidade	θ i d a d e
cidade	θ i d a d e
cidade	s i d a d e
cidreira	θ i d ɾ e j ɾ a
cidreira	θ i d ɾ e j ɾ a
cidreira	s i d ɾ e j ɾ a
ciencia	θ j ɛ n θ j a
ciencia	θ j ɛ n θ j a
ciencia	s j ɛ n s j a
científico	θ j e n t i f i k ʊ
cilindrar	θ i l i n d ɾ a ɾ
cilindrar	θ i l i n d ɾ a ɾ
cilindrar	s i l i n d ɾ a ɾ
cilindro	θ i l i n d ɾ o
cilindro	θ i l i n d ɾ o
cilindro	s i l i n d ɾ o
cilindros	θ i l i n d ɾ o s
cilindros	θ i l i n d ɾ o s
cilindros	s i l i n d ɾ o s
Cillobre	θ i ʎ ɔ β ɾ e̝
Cillobre	s i ʎ ɔ β ɾ e̝
cima	θ i m a
cima	θ i m a
cima	s i m a
cimacio	θ i m a θ j o
cimacio	θ i m a θ j o
cimacio	s i m a s j o
cimbro	θ i m b ɾ o̝
cimbro	θ i m b ɾ o̝
cimento	θ i m e n t o
cimento	θ i m e n t o
cimento	s i m e n t o
cimo	θ i m o
cimo	θ i m o
cimo	s i m o
cimón	θ i m o ŋ
cimón	θ i m o ŋ
cimón	s i m o ŋ
cinamomo	θ i n a m o m o
cinamomo	θ i n a m o m o
cinamomo	s i n a m o m o
cinc	θ i ŋ k
cinc	θ i ŋ k
cinc	s i ŋ k
cincha	θ i n t͡ʃ a̝
cincha	s i n t͡ʃ a̝
cinchar	θ i n t͡ʃ a ɾ
cinchar	s i n t͡ʃ a ɾ
cincho	θ i n t͡ʃ o
cincho	θ i n t͡ʃ o
cincho	s i n t͡ʃ o
cinco	θ i ŋ k o
cinco	θ i ŋ k o
cinco	s i ŋ k o
cincuenta	θ i ŋ k w e n t a
cincuenta	θ i ŋ k w e n t a
cincuenta	s i ŋ k w e n t a
cinguir	θ i ŋ ɡ i ɾ
cinguir	s i ɲ i ɾ
cinlla	θ i n ʎ a̝
cinlla	s i n ʎ a̝
cinsa	θ i n s a
cinsa	θ i n s a
cinsa	s i n s a
cinta	θ i n t a̝
cinta	s i n t a̝
cinto	θ i n t o̝
cinto	s i n t o̝
cinza	θ i n θ a
cinza	θ i n θ a
cinza	s i n s a
ciprés	θ i p ɾ ɛ s
ciprés	θ i p ɾ ɛ s
ciprés	s i p ɾ ɛ s
circulación	θ i ɾ k u l a θ j o ŋ
circulación	θ i ɾ k u l a θ j o ŋ
circulación	s i ɾ k u l a s j o ŋ
circundar	θ i ɾ k u n d a ɾ
circundar	θ i ɾ k u n d a ɾ
circundar	s i ɾ k u n d a ɾ
circunstancia	θ i ɾ k u n s t a n θ j a
circunstancia	θ i ɾ k u n s t a n θ j a
circunstancia	s i ɾ k u n s t a n s j a
circunstancialmente	θ i ɾ k u n s t a n θ j a l m e n t e
circunstancialmente	θ i ɾ k u n s t a n θ j a l m e n t e
circunstancialmente	s i ɾ k u n s t a n s j a l m e n t e
circunvalar	θ i ɾ k u m b a l a ɾ
circunvalar	θ i ɾ k u m b a l a ɾ
circunvalar	s i ɾ k u m b a l a ɾ
cirigaita	θ i ɾ i ɡ a j t a̝
cirigaita	s i ɾ i ɡ a j t a̝
ciringallo	θ i ɾ i ŋ ɡ a ʎ o̝
cirola	θ i ɾ ɔ l a̝
cirrichar	θ i r i t͡ʃ a ɾ
cirrichar	θ i r i t͡ʃ a ɾ
cirrichar	s i r i t͡ʃ a ɾ
cirurxián	θ i ɾ u ɾ ʃ j a ŋ
cirurxián	θ i ɾ u ɾ ʃ j a ŋ
cirurxián	s i ɾ u ɾ ʃ j a ŋ
cisco	θ i s k o̝
cisco	s i s k o̝
cisma	θ i s m a̝
cisma	s i s m a̝
cisma	ʃ i ɾ m a̝
cismar	θ i s m a ɾ
cismar	s i s m a ɾ
cisne	θ i s n e
cisne	θ i s n e
cisne	s i s n e
cisterna	θ i s t ɛ ɾ n a
cisterna	θ i s t ɛ ɾ n a
cisterna	s i s t ɛ ɾ n a
citación	θ i t a θ j o ŋ
citación	θ i t a θ j o ŋ
citación	s i t a s j o ŋ
cítara	θ i t a ɾ a
cítara	θ i t a ɾ a
cítara	s i t a ɾ a
citarista	θ i t a ɾ i s t a
citarista	θ i t a ɾ i s t a
citarista	s i t a ɾ i s t a
ciúme	θ i u m e
ciúme	θ i u m e
ciúme	s i u m e
civiliza	θ i b i l i θ a
civiliza	θ i b i l i θ a
civiliza	s i b i l i s a
civilización	θ i b i l i θ a θ j o ŋ
civilización	θ i b i l i θ a θ j o ŋ
civilización	s i b i l i s a s j o ŋ
civilizada	θ i b i l i θ a d a
civilizada	θ i b i l i θ a d a
civilizada	s i b i l i s a d a
civilizas	θ i b i l i θ a s
civilizas	θ i b i l i θ a s
civilizas	s i b i l i s a s
civilizo	θ i b i l i θ o
civilizo	θ i b i l i θ o
civilizo	s i b i l i s o
clandestino	k l a n d e s t i n o
claro	k l a ɾ o
clásico	k l a s i k o
clementina	k l e m e n t i n a̝
clementina	k l e m ɛ n t i n a̝
clima	k l i m a
clínica	k l i n i k a
clínico	k l i n i k o
co	k oː
coa	k äː
coa	k ɔ ɐ
coar	k o a ɾ
coas	k äː s̺
coas	k ɔ ɐ s̺
cóbado	k o b a d o
cobarde	k o b a ɾ d e
cobertoiro	k o b e ɾ t o j ɾ o
cobertor	k o b e ɾ t o ɾ
cobiza	k o β i θ a̝
cobiza	k o β i s a̝̝
cobizar	k o β i θ a ɾ
cobizar	k o β i s a ɾ
cobizoso	k o β i θ o s o̝
cobizoso	k o β i s o s o̝
cobra	k ɔ β ɾ a̝
cobra	k ɔ β ɾ a̝
cobre	k ɔ b ɾ e
coca	k ɔ k a̝
coca	k ɔ k a̝
coca	k ɔ k a̝
cocer	k o θ e ɾ
cocer	k o θ e ɾ
cocer	k o s e ɾ
cochada	k o t͡ʃ a ð a
coche	k ɔ t͡ʃ e
cocho	k o t͡ʃ o̝
cocido	k o θ i ð o̝
cocido	k o s i ð o̝
cociña	k o θ i ɲ a
cociña	k o θ i ɲ a
cociña	k o s i ɲ a
cociñeiro	k o θ i ɲ e j ɾ o
cociñeiro	k o θ i ɲ e j ɾ o
cociñeiro	k o s i ɲ e j ɾ o
coco	k ɔ k o
coco	k o k o
codeso	k o ð e s o̝
codia	k o d j a
codificar	k o d i f i k a ɾ
código	k ɔ d i ɡ o
código	k ɔ d i ɡ o
código	k ɔ d i ħ o
codorno	k o d o ɾ n o
coella	k o e ʎ a̝
coella	k o e ʎ a̝
coello	k o e ɟ o
Coello	k o e ʎ o̝
cóengo	k o e ŋ ɡ o̝
coetáneo	k o e t a n i o
cofia	k ɔ f j a
cogordón	k o ɡ o ɾ d o ŋ
cogordón	k o ɡ o ɾ d o ŋ
cogordón	k o ħ o ɾ d o ŋ
coial	k ɔ j a l
coidar	k o j ð a ɾ
coído	k ɔ i ð o̝
coieira	k ɔ j e j ɾ a̝
coima	k o j m a
coiñal	k ɔ i ɲ a l
coio	k ɔ j o̝
coiote	k o j ɔ t e
Coira	k o j ɾ a̝
coiraza	k o j ɾ a θ a̝
coiro	k o j ɾ o
coirón	k o j ɾ ɔ ŋ
coiros	k o j ɾ o s
coita	k o j t a
coitado	k o j t a d o
coitelo	k o j t e l o
coito	k o j t o
col	k ɔ l
cola	k ɔ l a̝
cola	k ɔ l a̝
cola	k ɔ l a̝
colado	k o l a ð o̝
colado	k o l a ð o̝
colapso	k o l a p s o
colar	k o l a ɾ
colcha	k o l t͡ʃ a
colchón	k o l t͡ʃ o ŋ
coldre	k o l d ɾ e
colérico	k o l ɛ ɾ i k o
colexio	k o l e ʃ j o
colgar	k o l ɡ a ɾ
colgar	k o l ɡ a ɾ
colgar	k o l ħ a ɾ
coliflor	k ɔ l i f l o ɾ
colisión	k o l i s j o ŋ
colleita	k o ʎ e j t a̝
colleitar	k o ʎ e j t a ɾ
colleito	k o ʎ e j t o̝
coller	k o ɟ e ɾ
collón	k o ɟ o ŋ
colludo	k o ʎ u ð o̝
colmado	k o l m a d o
colmar	k o l m a ɾ
colmazo	k o l m a θ o̝
colmea	k o l m e a
colmear	k o l m e a r
colmo	k ɔ l m o̝
colmo	k o l m o̝
colo	k ɔ l o̝
colonia	k o l o n j a
colonial	k o l o n i a l
colonización	k o l ɔ n i θ a θ j o ŋ
colonización	k o l ɔ n i θ a θ j o ŋ
colonización	k o l ɔ n i s a s j o ŋ
colonizaçom	k o l ɔ n i θ a θ o ŋ
colonizaçom	k o l ɔ n i θ a θ o ŋ
colonizaçom	k o l ɔ n i s a s o ŋ
colonização	k o l ɔ n i θ a θ o ŋ
colonização	k o l ɔ n i θ a θ o ŋ
colonização	k o l ɔ n i s a s o ŋ
colorado	k o l o ɾ a ð o̝
columna	k o l u ŋ n a
coma	k o m a
comandante	k o m a n d a n t e
comarca	k o m a ɾ k a
combarro	k o m b a r o̝
Combarro	k o m b a r o̝
combater	k o m b a t e ɾ
combinación	k o m b i n a θ j o ŋ
combinación	k o m b i n a θ j o ŋ
combinación	k o m b i n a s j o ŋ
comborza	k o m b ɔ ɾ θ a̝
combustión	k o m b u s t j o ŋ
comechón	k o m e t͡ʃ o ŋ
comechón	k o m i t͡ʃ o ŋ
comedeiro	k o m e d e j ɾ o
comedia	k o m e d j a
comedia	k o m ɛ d j a
comedor	k ʊ m ɪ ð o ɾ
comentador	k o m e n t a d o ɾ
comer	k o m e ɾ
comesto	k o m e s t o̝
cometa	k o m e t a
comezo	k o m ɛ θ o̝
comezo	k o m e s o̝
comida	k o m i d a
comiño	k o m i ɲ o
como	k o m o
cómodo	k ɔ m o d o
compaña	k o m p a ɲ a̝
compañeiro	k o m p a ɲ e j ɾ o
compartir	k o m p a ɾ t i ɾ
compás	k o m p a s
compatriota	k o m p a t ɾ j ɔ t a
competición	k o m p e t i θ j o ŋ
competición	k o m p e t i θ j o ŋ
competición	k o m p e t i s j o ŋ
compilar	k o m p i l a ɾ
completamente	k o m p l ɛ t a m e n t e
completo	k o m p l ɛ t o
composición	k o m p o s i θ j o ŋ
composición	k o m p o s i θ j o ŋ
composición	k o m p o s i s j o ŋ
composta	k o m p ɔ s t a̝
Compostela	k o m p o s t ɛ l a
comprador	k o m p ɾ a d o ɾ
compradora	k o m p ɾ a d o ɾ a
compradoras	k o m p ɾ a d o ɾ a s
compradores	k o m p ɾ a d o ɾ e s
comprar	k o m p ɾ a ɾ
compromiso	k o m p ɾ o m i s o
compulsión	k o m p u l s j o ŋ
computadora	k o m p u t a d o ɾ a
común	k o m u ŋ
comunicación	k o m u n i k a θ j o ŋ
comunicación	k o m u n i k a θ j o ŋ
comunicación	k o m u n i k a s j o ŋ
comunidade	k o m u n i d a d e
comunista	k o m u n i s t a
con	k o ŋ
con	k ɔ ŋ
cona	k o n a̝
cóncavo	k o ŋ k a b o
concello	k o n θ e ʎ o
concello	k o n θ e ʎ o
concello	k o n s e ʎ o
concéntrico	k o n θ e n t ɾ i k o
concéntrico	k o n θ e n t ɾ i k o
concéntrico	k o n s e n t ɾ i k o
cónchega	k o n t͡ʃ e ɡ a
cónchega	k o n t͡ʃ e ɡ a
cónchega	k o n t͡ʃ e ħ a
concho	k o n t͡ʃ o
conda	k ɔ n d a
condestable	k o n d e s t a b l e
condición	k o n d i θ j o ŋ
condición	k o n d i θ j o ŋ
condición	k o n d i s j o ŋ
condimentar	k o n d i m e n t a ɾ
condolencia	k o n d o l e n θ j a
condolencia	k o n d o l e n θ j a
condolencia	k o n d o l e n s j a
Condomiña	k o n d o m i ɲ a̝
conducir	k o n d u θ i ɾ
conducir	k o n d u θ i ɾ
conducir	k o n d u s i ɾ
condutor	k o n d u t o ɾ
confesión	k o n f e s j o ŋ
confiscación	k o n f i s k a θ j o ŋ
confiscación	k o n f i s k a θ j o ŋ
confiscación	k o n f i s k a s j o ŋ
conflito	k o n f l i t o
confluída	k o n f l u i d a
confluídas	k o n f l u i d a s
confluído	k o n f l u i d o
confluídos	k o n f l u i d o s
confluín	k o n f l u i ŋ
confluír	k o n f l u i ɾ
conflúo	k o n f l u o
conformar	k o n f o ɾ m a ɾ
confrontación	k o n f ɾ o n t a θ j o ŋ
confrontación	k o n f ɾ o n t a θ j o ŋ
confrontación	k o n f ɾ o n t a s j o ŋ
confrontar	k o n f ɾ o n t a ɾ
congro	k o ŋ ɡ ɾ o
congro	k o ŋ ɡ ɾ o
congro	k o ŋ ħ ɾ o
conjugada	k o n ʃ u ɡ a d a
conjugada	k o n ʃ u ɡ a d a
conjugada	k o n ʃ u ħ a d a
conjugado	k o n ʃ u ɡ a d o
conjugado	k o n ʃ u ɡ a d o
conjugado	k o n ʃ u ħ a d o
conmoción	k o ŋ m o θ j o ŋ
conmoción	k o ŋ m o θ j o ŋ
conmoción	k o ŋ m o s j o ŋ
conquistar	k o ŋ k i s t a ɾ
consagrar	k o n s a ɡ ɾ a ɾ
consagrar	k o n s a ɡ ɾ a ɾ
consagrar	k o n s a ħ ɾ a ɾ
consello	k o n s e ɟ o
consideración	k o n s i d e ɾ a θ j o ŋ
consideración	k o n s i d e ɾ a θ j o ŋ
consideración	k o n s i d e ɾ a s j o ŋ
consigna	k o n s i ŋ n a
consolidación	k o n s ɔ l i d a θ j o ŋ
consolidación	k o n s ɔ l i d a θ j o ŋ
consolidación	k o n s ɔ l i d a s j o ŋ
consonte	k o n s o n t e̝
