a	eː
legislator	l ɛ d͡ʒ ɪ s l e ɪ ɾ ɚ
legitimacy	l ə d͡ʒ ɪ ɾ ɪ m ə s i
legitimize	l ə d͡ʒ ɪ ɾ ɪ m a ɪ z
legitimize	l ə d͡ʒ ɪ ɾ ə m a ɪ z
leigh	l ɪ i̯
lesion	l ɪ i̯ ʒ ə n
lesion	l ɪ i̯ ʒ n̩
lesson	l ɛ s n̩
lessons	l ɛ s n̩ z
level	l ɛ v ə l
level	l ɛ v l̩
liable	l a ɪ̯ ə b ɫ̩
liable	l a ɪ̯ ə b ə ɫ
liably	l a ɪ̯ ə b l i
liberties	l ɪ b ɚ ɾ i z
liberty	l ɪ b ɚ tʰ ɪ i̯
liberty	l ɪ b ɚ ɾ ɪ i̯
licensed	l a ɪ s n̩ s t
lief	l ɪ i̯ f
life	l a ɪ̯ f
life	l aː f
life	l a̝ː f
light	l a ɪ t
light	l ɑ j t
light	ɫ ɐ ɪ t
light	l ə j t
light	l ɑ ɪ t
lighten	l a ɪ t n̩
lighten	l a ɪ ʔ n̩
lighter	l a ɪ ɾ ɚ
lightning	l ʌ ɪ̯ ʔ n ɪ ŋ
lightning	l ɐ ɪ̯ ʔ n ɪ ŋ
lightwell	l a ɪ̯ t w ɛ l
ligure	l ɪ ɡ j ʊ ɚ
ligure	l ɪ ɡ j ɔ ɹ
ligure	l ɪ ɡ j ɝ
li'l	l ɪ ɫ
li'l	l ɪ ɫ̩
limited	l ɪ m ɪ ɾ ɪ d
limiting	l ɪ m ɪ ɾ ɪ ŋ
Lincolnshire	l i ŋ kʰ ə̆ n ʃ ɚ
linearity	l ɪ n i æ ɹ ə ɾ i
linearity	l ɪ n i æ ɹ ɾ i
link	l ɪ ŋ k
link	l i ŋ k
link	l ɪ̝ ŋ k
linner	l ɪ n ɚ
liquid	l ɪ k w ɪ d
lishmah	l ɪ ʃ m ɑ
lishmah	l ə ʃ m ɔ
listen	l ɪ s ə n
listen	l ɪ s n̩
liter	l i ɾ ɚ
literary	ɫ ɪ ɾ ə ɹ ɛ ɹ i
literature	l ɪ ɾ ɚ ə t͡ʃ ɚ
literature	l ɪ t͡ʃ ɹ ə t͡ʃ ɚ
litre	l i ɾ ɚ
litter	l ɪ ɾ ɚ
littlest	l ɪ ɾ l̩ ə s t̚
live	l ɪ v
live	l a ɪ̯ v
live	l aː v
lizard	l ɪ z ɚ d
lizard	l ɪ z ɹ̩ d
lizard	l ɪ z ə ɾ d
'll	ə l
'll	l̩
'll	ɫ̩
'll	ʊ
'll	ɯ
Llandeilo	ɬ a n d ə ɪ l oː
Llanrumney	ɬ a n ɹ ɜ m n i
Llanrwst	ɬ a n ɹ u s t
located	l o ʊ k e ɪ ɾ ɪ d
located	l o ʊ k e ɪ ɾ ɪ d
logic	l ɔ̟ d͡ʒ ə k
loiter	l ɔ ɪ ɾ ɚ
longer	l ɑ ŋ ə ɾ
longer	l ɑ ŋ ə ɾ
longevity	l ɔ̃ n d͡ʒ ɛ v ə t i
longevity	l ɔ̃ ŋ d͡ʒ ɛ v ə t i
longevity	l ɑ̃ n d͡ʒ ɛ v ə ɾ i
lot	l ɔ̟ t
love	l ʌ v
lovely	l ʌ v l ɪ i̯
lucrative	l u k ɹ ə ɾ ɪ v
Luddite	l ʌ ɾ a ɪ t
lulls	l ɐ ɫ z
lulls	ɫ ʌ ɫ z
lunch	l ʌ̃ n t͡ʃ
lunk	l ʌ ŋ k
lunkhead	l ʌ ŋ k ɦ ɛ d
lure	l ʊ ɚ
lure	l ʊ ɹ̩
lure	l ɔ ɹ
lure	l ɝ
lure	l ʉː ɹ
lush	l ʌ ʃ
lymph	l ɪ m p f
ma'am	m æ m
ma'am	m e ə̯ m
ma'am	m ɛ ə̯ m
madam	m æ d ə m
madam	m æ d m̩
madder	m æ ɾ ɚ
madow	m ə d ə ʊ̯
mag	m e ɪ̯ ɡ
magazine	m æ ɡ ə z ɪ i̯ n
magazine	m æ ɡ ə z ɪ i̯ n
magazine	m e ɪ̯ ɡ ə z ɪ i̯ n
magazine	m e ɪ̯ ɡ ə z ɪ i̯ n
magician	m ə d͡ʒ ɪ ʃ ə n
magician	m ə d͡ʒ ɪ ʃ n̩
magnet	m æ ɡ n ə t̚
mailed	m e ɪ ɫ d
maintenance	m ẽ ɪ̃ n ʔ ə n ə n s
maintenance	m ẽ ɪ̃ n ʔ n ə n s
maintenance	m ẽ ɪ̃ ʔ ə n ə n s
maintenance	m ẽ ɪ̃ ʔ n ə n s
major	m e ɪ̯ d͡ʒ ɚ
major	m e ɪ̯ d͡ʒ ə
major	m ɛ j d͡ʒ ɚ
major	m ɛ j d͡ʒ ə
major	m e ɪ̯ d͡ʒ ɚ
major	m eː d͡ʒ ɚ
major	m æ ɪ̯ d͡ʒ ɚ
major	m æ ɪ̯ d͡ʒ ə
make	m e ɪ kʲ
Malinois	m æ l ɪ n w ɑː
mallard	m æ l ɚ d
mallard	m æ l ɹ̩ d
malleable	m a ɫ i ə b ə ɫ
malleable	m æ ɫ i ə b ɫ̩
malleable	m ɛ ɫ i ə b ɫ̩
mamaliga	m ə m ə l i ɡ ə
mämmi	m e ə̯ m i
man	m ɛ ə̯ n
man	m e ə̯ n
manager	m e ə̯ n ə d͡ʒ ɚ
managerial	m ɛ ə n ə d͡ʒ ɪ ɹ i ə l
mandate	m e ə̯ n d e ɪ̯ t
mandate	m ɛ ə̯ n d e ɪ̯ t
mandate	m ɛ̝ː n d æ̝ ɪ̯ t
Mandelson	m a n d l̩ s ə n
Mandelson	m a n d l̩ s n̩
mandible	m æ n d ɪ b ə l
mandible	m æ n d ɪ b l̩
mandible	m e ə̯ n d ɪ b ə l
mandible	m e ə̯ n d ɪ b l̩
mandible	m ɛ ə̯ n d ɪ b ə l
mandible	m ɛ ə̯ n d ɪ b l̩
mandible	m eː n d ɪ b ə l
mandible	m eː n d ɪ b l̩
mang	m e ɪ̯ ŋ
mang	m ɛ̃ ŋ
manger	m e ɪ̯ n d͡ʒ ɚ
manger	m e ɪ̯ n d͡ʒ ɹ̩
Manhattan	m æ n h æ ʔ n̩
Manhattan	m n̩ h æ ʔ ɪ̃ n̩
Manhattan	m n̩ h æ ʔ n̩
manic	m e ə̯ n ɪ k
manic	m ɛ ə̯ n ɪ k
manic	m ɛː n ɪ k
manicotti	m e ə n ə kʰ ɑ ɾ i
manicotti	m æ n ə k ɑ t̚
manicotti	m æ n ə ɡ ɑ t̚
manipulative	m ə n ɪ p j ə l e ɪ ɾ ɪ v
mank	m e ɪ̯ ŋ k
mank	m ɛ̃ ŋ k
manufacturer	m ɛ ə n j ə f æ k t͡ʃ ɚ ɚ
manufacturing	m ɛ ə n j ə f æ k t͡ʃ ə ɹ ɪ ŋ
Manx	m æ ŋ k s
Manx	m e ɪ̯ ŋ k s
Manx	m ɛ̃ ŋ k s
mar	m ɑ ɹ
mar	m ɑ ˞
marble	m ɑ ɹ b ə l
marble	m ɑ ɹ b l̩
marten	m ɑ ɹ ʔ n̩
martin	m ɑ ɹ ʔ n̩
Martin	m ɑ ɹ ʔ n̩
martyr	m ɑ ɹ ɾ ɚ
marvel	m ɑ ɹ v ə l
marvel	m ɑ ɹ v l̩
mat	m æ ʔ t̚
mat	m æ ʔ
mate	m e ɪ t
mate	m ɛ j t
mate	m eː t
mate	m æ ɪ t
mathematical	m æ θ ə m æ ɾ ɪ k ə l
mathematical	m æ θ m æ ɾ ɪ k ə l
mathematical	m æ θ ə m æ ɾ ə k ə l
mathematical	m æ θ m æ ɾ ə k ə l
mathematics	m æ θ ə m æ ɾ ɪ k s
mathematics	m æ θ m æ ɾ ɪ k s
mathematics	m æ θ ə m æ ɾ ə k s
mathematics	m æ θ m æ ɾ ə k s
matrilateral	m æ t͡ʃʰ ɹ ɪ l æ ɾ ə ɹ ə l
Matt	m æ ʔ t̚
Matt	m æ ʔ
matter	m æ ɾ ɚ
matters	m æ ɾ ɚ z
mawky	m ɔː k i
Maximilian	m æ k s ɪ m ɪ l j ə n
maybe	m e ɪ̯ b i
mayday	m e ɪ̯ d e ɪ̯
McGuinty	m ə ɡ ɪ n t i
meadow	m ɛ d o ʊ̯
meadow	m ɛ d ɔ ʊ̯
meadow	m ɛ ɾ o ʊ̯
meadow	m ɛ ɾ ɔ ʊ̯
meal	m ɪ i̯ l
meal	m ɪ i̯ l
meaningful	m i n ɪ ŋ f l̩
measurement	m ɛ ʒ ɚ m n̩ t
mechanism	m ɛ k ə n ɪ z m̩
medal	m ɛ d ɫ̩
medal	m ɛ ɾ ɫ̩
medal	m e ɾ ɫ̩
meddle	m ɛ ɾ ə ɫ
mediocrity	m i d ɪ ɑ k ɹ ɪ ɾ i
Mediterranean	m ɛ ɾ ɪ t ə ɹ e ɪ n ɪ ə n
Mediterranean	m ɛ d ɪ t ə ɹ e ɪ n j ə n
medulla	m ə d ʉ ɫ ə
meeting	m i ɾ ɪ ŋ
megameter	m ɛ ɡ ɐ m ɪ ɾ ɚ
Mendelson	m ɛ n d l̩ s ə n
Mendelson	m ɛ n d l̩ s n̩
Menderson	m ɛ n d ɚ s n̩
mental	m ɛ ɾ̃ ə l
mental	m ɛ n ə l
meow	m j a ʊ̯
meowl	m j a ʊ̯ l
meringue	m ə ɹ e ɪ̯ ŋ
meringue	m ə ɹ ɛ̃ ŋ
mersh	m ɝ ʃ
meself	m i s ɛ l f
meta	m ɛ ɾ ə
meta	m iː ɾ ə
metabolism	m ə t æ b ə l ɪ z m̩
metadata	m ɛ ɾ ə d e ɪ ɾ ə
Metairie	m ɛ ɾ ə ɹ i
metalgaze	m ɛ t ɫ̩ ɡ e ɪ z
metalgaze	m ɛ ɾ ɫ̩ ɡ e ɪ z
metallurgist	m ɛ ɾ ɫ̩ ɝ d͡ʒ ə s t
metallurgy	m ɛ ɾ ə l ɝ d͡ʒ i
metamorphosis	m ɛ ɾ ə m o ɹ f ə s ɪ s
metaphor	m ɛ ɾ ə f o ɹ
metaphor	m ɛ ɾ ə f ɚ
metaphorical	m ɛ ɾ ə f o ɹ ɪ k ɫ̩
metathesis	m ə tʰ æ θ ə s ə s
metathesis	m ɛ tʰ æ θ ə s ɪ s
metaverse	m ɛ ɾ ə v ɝ s
meteor	m iː ɾ i ɚ
meter	m i ɾ ɚ
methodical	m ɪ θ ɑ ɾ ɪ k ə ɫ
methodically	m ɪ θ ɑ ɾ ɪ k ə l i
methoxphenidine	m ɛː θ ɑ k s f ɛː n ɨ ɾ ĩː n
metic	m ɛ ɾ ə k
metre	m iː ɾ ɚ
mew	m j ʊ u̯
mhm	m̩ m̥ m̩ ˥
Michael	m ɐ ɪ k ɫ̩
Michigander	m ɪ ʃ ə ɡ æ n d ɚ
microgram	m ʌ ɪ̯ k ɹ ə ɡ ɹ ɛ ə̯ m
microgram	m ʌ ɪ̯ k ɹ o ʊ ɡ ɹ ɛ ə̯ m
micrometer	m a ɪ k ɹ ɑ m ɪ ɾ ɚ
micrometer	m a ɪ k ɹ o ʊ m iː ɾ ɚ
microphone	m ʌ ɪ̯ k ɹ ə f o ʊ̯ n
microscopic	m ɑ e̯ k ɹ ə s k ɔ̟ p ə k
middle	m ɪ ɾ ɫ̩
middleman	m ɪ d ɫ̩ m æ n
Middletonian	m ɪ ɾ ɫ̩ tʰ o ʊ n i ə n
Mideast	m ɪ d iː s t
Midlothian	m ɪ d l oː ð i ə n
midnight	m ɪ d̚ n a ɪ t
midnight	m ɪ d̚ n ɑ j t
midnight	m ɪ d̚ n ɑ j t
midnight	m ɪ̞ d̚ n ʌ j t
midnight	m ɪ d̚ n ɐ ɪ t
midnight	m ɪ̞ d̚ n ə j t
midnight	m ɪ̝ d̚ n ɑ ɪ t
midnight	m ɪ̝ d̚ n ɑ ɪ t
Midrashim	m ɪ d ɹ ɔ ʃ ɪ m
midst	m ɪ d s t
midst	m ɪ t s t
Midwest	m ɪ d w ɐ s t
might	m a ɪ t
might	m ɐ ɪ t
might	m ɑ j t
might	m ə j t
might	m ɑ ɪ t
mighty	m ʌ ɪ ɾ i
Mike	m ɐ ɪ ʔ k
Mikey	m ɐ ɪ kʰ iː
mile	m a ɪ̯ ɫ
militarist	m ɪ l ə ɾ ə ɹ ɪ s t
militaristic	m ɪ l ə ɾ ə ɹ ɪ s t ɪ k
militaristic	m ɪ l ə t ə ɹ ɪ s t ɪ k
milk	m i l k
milkshake	m ɪ ɫ k ʃ e ɪ k
mill	m ɪ ɫ
mill	m ɪ o̯
mill	m ɪ ʊ̯
miller	m ɪ l ɚ
miller	m ɪ l ɹ̩
millimeter	m ɪ l ə m i ɾ ɚ
minimalism	m ɪ n ə m ɫ̩ ɪ z m̩
Minnesota	m ɪ n ɪ s o ʊ ɾ ə
Minnesotan	m ɪ n ə s o ʊ ʔ n̩
Minnesotan	m ɪ n ə s o ʔ n̩
minter	m ɪ ɾ̃ ɚ
minute	m a ɪ̯ n j uː t
minute	m a ɪ̯ n j ʊ w t
minute	m a ɪ̯ n j u̟ː t
minute	m a ɪ̯ n j u̟ t
minute	m a ɪ̯ n u̟ː t
minute	m a ɪ̯ n u̟ t
minute	m ɐ̟ ɪ̯ n j u̟ː t
minute	m ɐ̟ ɪ̯ n j u̟ t
minute	m ɐ̟ ɪ̯ n u̟ː t
minute	m ɐ̟ ɪ̯ n u̟ t
minute	m e j n ɪ w t
minute	m æ̠ ɪ̯ n ɪ w t
minute	m ɪ n j uː t
minute	m ɪ n j ʊ w t
minute	m ə n j u̟ː t
minute	m ə n j u̟ t
minute	m ə n u̟ː t
minute	m ə n u̟ t
minute	m ɪ n ɪ w t
miracle	m ɪ ɹ ə k l̩
miracle	m i ɹ ə k l̩
miracle	m i ɹ ə ɡ l̩
mirth	m ɝ θ
mischief	m ɪ s t͡ʃʰ ɪ f
misinformative	m ɪ s ɪ n f ɔ ɹ m ə ɾ ɪ v
misperception	m ɪ s p ɚ s ɛ p ʃ n̩
misshapen	m ɪ ʃ ʃ e ɪ p ə n
mister	m ɪ s t ɚ
Mister	m ɪ s t ɚ
mitten	m ɪ t n̩
mitten	m ɪ ʔ n̩
m'kay	ŋ̍ː k e ɪ̯
m'kay	ŋ̍ k e ɪ̯
mmm	m̩ː
mobility	m o ʊ b ɪ l ɪ ɾ i
mobility	m o ʊ b ɪ l ə ɾ i
model	m ɑ ɾ ɫ̩
molasses	m ə l æ s ɪ z
molasses	m ɵ l æ s ɪ z
mom	m ɑ̃ m
moms	m ɑ m z
money	m ʌ̟ n i
monitor	m ɑ n ɪ ɾ ɚ
monitor	m ɑ n ə ɾ ɚ
monocotyledon	m ɑ n ə k ɑ ɾ ə l i d ə n
monothematic	m ɑ n o ʊ θ ə m æ ɾ ɪ k
Montagnard	m ɑ n t ə n j ɑ ɹ d
Montagnard	m ɑ n t ə n j ɑ ɹ
Montagnard	m ɑ̃ⁿ t ə n j ɑ ˞ d
Montagnard	m ɑ̃ⁿ t ə n j ɑ ˞
mooch	m ʊ u̯ t͡ʃ
morgue	m o̞ ɹ ɡ
morkin	m o̞ ɹ k ɪ n
morn	m o̞ ɹ n
morne	m o̞ ɹ n
morné	m o̞ ɹ n e ɪ
moron	m o̞ ɹ ɑ n
mortal	m ɔ ɹ ɾ ɫ̩
Morton	m ɔ ɹ t n̩
Morton	m ɔ ɹ ɾ n̩
Morton	m ɔ ɹ ʔ n̩
mosquitoey	m ə s k i ɾ o ʊ i
motard	m o ʊ̯ tʰ ɑ ɹ d
motivate	m o ʊ ɾ ɪ v e ɪ t
motivate	m o ʊ ɾ ə v e ɪ t
motivation	m o ʊ ɾ ə v e ɪ ʃ n̩
motivator	m o ʊ ɾ ə v e ɪ ɾ ɚ
motlopi	m o ʊ ʔ l o ʊ p i
motor	m o ʊ ɾ ɚ
motorbike	m o ʊ ɾ ɚ b a ɪ k
motorcycle	m o ʊ ɾ ɚ s a ɪ k l̩
mottle	m ɑ ɾ ɫ̩
mould	m oː ɫ d
mount	m a ʊ n t
mount	m a ʊ n ʔ
mount	m ã ʊ̃ n ʔ
mount	m ã ʊ̃ ʔ
mountain	m a ʊ n t n̩
mountain	m ã ʊ̯̃ n ʔ n̩
mountain	m ã ʊ̯̃ ʔ n̩
mountain	m æ̃ ʊ̯̃ n ʔ n̩
mountain	m æ̃ ʊ̯̃ ʔ n̩
mountaineer	m ã ʊ̯̃ n ʔ n̩ i ɚ
mountaineer	m ã ʊ̯̃ ʔ n̩ i ɚ
mountaineer	m æ̃ ʊ̯̃ n ʔ n̩ i ɚ
mountaineer	m æ̃ ʊ̯̃ ʔ n̩ i ɚ
mountaineer	m æ̃ ʊ̯̃ n ʔ n̩ ĩ ɚ
mountaineer	m æ̃ ʊ̯̃ ʔ n̩ ĩ ɚ
mountainous	m æ ʊ n t n̩ ə s
mourne	m o̞ ɹ n
mourning	m o̞ ɹ n ɪ ŋ
Mr.	m ɪ s t ɚ
mugwump	m ə ɡ w ə m p
mugwumps	m ə ɡ w ə m p s
mulatto	m ə l ɑ ɾ o ʊ̯
multiplayer	m ɐ ɫ t i p l̥ e ɪ̯ ə
multiplayer	m ʌ ɫ t i p l̥ e ɪ̯ ɚ
multiplier	m ʌ ɫ t ɪ p l a ɪ ɚ
multiplier	m ʌ ɫ t ɪ p l a ɪ ə
multiplier	m ʌ ɫ t ɪ p l a ɪ ɚ
mundane	m ʌ n d e ɪ n
mundane	m ɐ n d e ɪ n
mundane	m ʌ n d ɛ j n
mundane	m ʌ n d eː n
mundane	m ɐ n d æ ɪ n
murr	m ɜː
murr	m ɝ
murr	m ʌ ɹ
murr	m øː
murr	m eː
murr	m ɛː
murr	m ɜː ɹ
murr	m ɜː
muscle	m ʌ s l̩
muscles	m ʌ s l̩ z
mustang	m ʌ s t e ɪ̯ ŋ
mustang	m ʌ s t ɛ̃ ŋ
Mustang	m ʌ s t e ɪ̯ ŋ
Mustang	m ʌ s t ɛ̃ ŋ
mustard	m ɐ̞ s t ə d
mustard	m ʌ s t ə d
mustard	m ʊ s t ə d
mustard	m ʌ s t ɚ d
mutability	m j u ɾ ə b ɪ l ə ɾ i
mutable	m j uː t ə b l̩
mutatability	m j u ɾ e ɪ ɾ ə b ɪ l ə ɾ i
mutter	m ʌ ɾ ɚ
mutton	m ʌ ʔ n̩
my	m ə i̯
myoma	m a ɪ̯ o ʊ̯ m ə
myrrh	m ɜː
myrrh	m ɝ
myrrh	m ɪ ɹ
myrrh	m øː
myrrh	m eː
myrrh	m ɛː
myrrh	m ɜː ɹ
myrrh	m ɜː
myrtle	m ɝ t ɫ̩
myrtle	m ɝ ɾ ɫ̩
'n	n̩
'n'	ə n
'n'	n̩
nag	n e ɪ̯ ɡ
nah	n æː
nah	n ɑː
nah	n aː
nah	n ẽː
NAIAX	n ɐ ʔ ɪ aː ʔ ɛ k s
NAIAX	n ɐ ʔ iː ɐ k s
nail	n e ɪ̯ ɫ
nanometer	n æ n ə m i ɾ ɚ
nanometer	n ɛ ə n ə m i ɾ ɚ
napkin	n æ p kʰ ɪ n
narcotic	n ɑ ɹ k ɑ ɾ ɪ k
nares	n e ɹ iː z
nares	n æ ɹ iː z
narration	n æ ɹ e ɪ ʃ n̩
narration	n ɛ ɹ e ɪ ʃ n̩
narrative	n ɛ ɹ ə ɾ ɪ v
narrative	n æ ɹ ə ɾ ɪ v
nasal	n e j z l̩
nasal	n æ ɪ z l̩
national	n æ ʃ ə n ɫ̩
national	n æ ʃ n̩ ɫ̩
nature	n æ e̯ t ʃ ɐ
nature	n a e̯ t ʃ ɐ
naughty	n ɔ ɾ i
naughty	n ɑ ɾ i
nautical	n ɔ ɾ ɪ k l̩
nautical	n ɑ ɾ ɪ k l̩
neato	n i ɾ o ʊ̯
neck	n ɛ k
Ned	n ɛ d
needle	n ɪ i̯ d ə l
needle	n ɪ i̯ d l̩
negotiator	n ɪ ɡ o ʊ ʃ i e ɪ ɾ ɚ
netizen	n ɛ ɾ ɪ z n̩
nettle	n ɛ ɾ ə ɫ
neuroplastic	n j ə ɹ o w p l æ s t ɪ k
neuroplastic	n ə ɹ o w p l æ s t ɪ k
Nevada	n ə v æ ɾ ə
Nevada	n ə v ɑ ɾ ə
new	n ɪ u̯
Newcastle	n j u kʰ æ s ɫ̩
Newcastle	n u kʰ æ s ɫ̩
newcomer	n j u kʰ ʌ m ɚ
newcomer	n u kʰ ʌ m ɚ
news	n ɪ u̯ z
Ng	ŋ̍
nictitate	n ɪ k tʰ ɪ tʰ e ɪ̯ t
niggard	n ɪ ɡ ɚ d
niggered	n ɪ ɡ ɚ d
night	n a ɪ̯ t
nightmare	n ʌ ɪ ʔ m ɛ ɚ
nighttime	n a ɪ ʔ t a ɪ m
Nilotic	n a ɪ l ɑ ɾ ɪ k
nimble	n ɪ m b ə l
nimble	n ɪ m b l̩
nine	n a ɪ̯ n
nipple	n ɪ pʰ ə l
nipple	n ɪ pʰ l̩
Nippon	n ɪ pʰ ɑ n
nite	n a ɪ̯ t
nitrate	n a ɪ̯ tʰ ɹ e ɪ̯ t
nitrogen	n ɐ ɪ t͡ʃʰ ɹ ə d͡ʒ ə n
nizz	n ɪ z
NLEX	ʔ ɛː n l ɛ k s
nobleness	n o ʊ b l̩ n ə s
nominal	n ɑ m ɪ n l̩
noodle	n uː d l̩
nope	n o ʊ p̚
normal	n o ɹ m ɫ̩
normal	n ɔ m ɫ̩
normality	n ɔ ɹ m æ l ə ɾ i
Norse	n o̞ ɹ s
north	n o̞ ɹ θ
Norton	n ɔ ɹ ɾ n̩
Norton	n ɔ ɹ ʔ n̩
Norville	n ɔː ɹ̩ v ə ɫ
nose	n o ʊ̯ z
notability	n o ʊ ɾ ə b ɪ l ə ɾ i
notable	n o ʊ ɾ ə b ɫ̩
noted	n o ʊ ɾ ɪ d
notice	n o ʊ ɾ ɪ s
noticed	n o ʊ ɾ ɪ s t
number	n ʌ m b ə
number	n ʌ̟ m b ɚ
number	n ɐ m b ɐ
number	n ʌ m b ə ɾ
numerical	n j u m ɛ ɹ ɪ k ɫ̩
numerical	n u m ɛ ɹ ɪ k ɫ̩
nuttin	n ʌ ʕ ɪ̃ n
nuzzle	n ʌ z ɫ̩
nymphid	n ɪ m f ɪ d
objectivity	ɑ b d͡ʒ ɛ k t ɪ v ɪ ɾ i
observable	ə b z ɝ v ə b ɫ̩
occasion	ə kʰ e ɪ̯ ʒ ə n
occasion	ə kʰ e ɪ̯ ʒ n̩
odder	ʔ ɑ ɾ ɚ
odder	ɑ ɾ ɚ
of	ɐ v ~ ʌ v ~ ə v
official	ə f ɪ ʃ ə l
official	ə f ɪ ʃ ɫ̩
oil	ɔ ɪʲ ə ɫ
okay	ɔ k e j
okruh	ɔː k ɹ ʊ ç
old	oː ɫ d
O'Malley	o ʊ̯ m æ l i
O'Malley	ɵ m æ l i
omnipresent	ɑ m n ɪ p ɹ ɛ z n̩ t
omphalocele	ɑ m ɸ æ l ə s i l
omphalocele	ɑ m p ɸ ə l ə s i l
omphalocele	ɑ m ɸ ə l ə s i l
omphalocele	ɑ ɱ f æ l ə s i l
omphalocele	ɑ ɱ p̪ f ə l ə s i l
omphalocele	ɑ ɱ f ə l ə s i l
online	ɒ n l a ɪ n
online	ɔ̟ n l ɑ e̯ n
online	ɒ n l a ɪ n
online	ɔ̟ n l ɑ e̯ n
oop	ɤ p
ope	o ʊ p̚
operatic	ɑ p ɚ æ ɾ ɪ k
opinionated	ə p ɪ n j ə n e ɪ ɾ ɪ d
optician	ɑ p tʰ ɪ ʃ ə n
optician	ɑ p tʰ ɪ ʃ n̩
order	o ɹ ɾ ɚ
orders	o ɹ ɾ ɚ z
organic	o ɹ ɡ ɛ ə n ɪ k
organically	o ɹ ɡ ɛ ə n ɪ k l i
organization	o ɹ ɡ ə n ɪ z e ɪ ʃ n̩
origami	o ɹ ɪ̈ ɡ ɑ m i
origin	o ɹ d͡ʒ ɪ n
originator	ə ɹ ɪ d͡ʒ ɪ n e ɪ ɾ ɚ
originator	ɔ ɹ ɪ d͡ʒ ɪ n e ɪ ɾ ɚ
orpharion	ɔ ɹ f ɛ ɹ i ə n
orthogonality	ɔ ɹ θ ɑ ɡ ə n æ l ə ɾ i
Orton	ɔ ɹ ɾ n̩
Orton	ɔ ɹ ʔ n̩
OSAA	ʔ o s aː ʔ ɐ
otaku	o̞ ʊ̯ tʰ ɑ kʰ u
Ottawa	ɑ ɾ ə w ə
otter	ʔ ɑ ɾ ɚ
otter	ɑ ɾ ɚ
OUCA	a ʊ ↗︎ k ɑːː
oughta	ɔ ɾ ə
outage	a ʊ ɾ ɪ d͡ʒ
outer	a ʊ ɾ ɚ
outstrip	ʌ ʊ t s t ɹ ɪ p
outta	a ʊ t ə
outta	a ʊ ʔ ə
outta	a ʊ ɾ ə
outta	aː ɾ ə
outta	æː ɾ ə
outta	ʌ ʊ ɾ ə
ovated	o ʊ̯ v e ɪ̯ ɾ ɪ d
ovation	o ʊ v e ɪ ʃ n̩
over	oː v ɚ
overblown	oː v ɚ b l oː n
oversea	o ʊ̯ v ɚ s i
oversee	o ʊ̯ v ɚ s i
oversight	o ʊ v ɚ s ʌ ɪ t
overvicious	ə ʊ̯ v ə v ɪ ʃ ə s
overvicious	o ʊ v ɚ v ɪ ʃ ə s
overvicious	ɐ ʉ̯ v ɐ v ɪ ʃ ə s
PAC	pʰ æ k
pack	pʰ æ k
paddle	pʰ æ ɾ ɫ̩
paddock	p æ ɾ ə k
Paddy	pʰ æ ɾ i
pail	pʰ e ɪ̯ ɫ
pail	pʰ e ə ɫ
pain	pʰ e ɪ̯ n
PAL	pʰ æ l
palace	pʰ æ l ə s
palisade	pʰ æ l ɪ s e ɪ̯ d
pamper	p ɛ ə m p ɚ
Pan	pʰ æ n
pan	p e ə̯ n
pan	p ɛ ə̯ n
panda	pʰ e ə̯ n d ə
panda	pʰ ɛ ə̯ n d ə
pandan	pʰ æ n d ə n
pandan	pʰ æ n d n̩
pandan	pʰ e ə̯ n d ə n
pandan	pʰ e ə̯ n d n̩
pandan	pʰ ɛ ə̯ n d ə n
pandan	pʰ ɛ ə̯ n d n̩
pandemic	p ɛ ə n d ɛ m ɪ k
pander	pʰ æ n d ɚ
pander	pʰ æ n d ɹ̩
pander	pʰ e ə̯ n d ɚ
pander	pʰ e ə̯ n d ɹ̩
pander	pʰ ɛ ə̯ n d ɚ
pander	pʰ ɛ ə̯ n d ɹ̩
pane	pʰ e ɪ̯ n
pane	p æ̝ ɪ̯ n
pane	p e n
panel	p æ n ɫ̩
panel	p ɛ ə n ə l
panel	p ɛ ə n ɫ̩
pang	pʰ æ ŋ
pang	pʰ e ɪ̯ ŋ
pang	pʰ ɛ̃ ŋ
panic	pʰ æ n ɪ k
panic	pʰ e ə̯ n ɪ k
panic	pʰ ɛ ə̯ n ɪ k
panic	pʰ ɛː n ɪ k
pank	pʰ æ ŋ k
pank	pʰ e ɪ̯ ŋ k
pank	pʰ ɛ̃ ŋ k
panorama	p ɛ ə n ə ɹ ɛ ə m ə
panorama	p ɛ ə n ə ɹ ɑː m ə
pansentience	p æ n s ɛ n t ʃ i ə n s
pansentience	p æ n s ɛ n ʃ i ə n s
pantry	p æ n tʰ ɹ̥ i
pantry	p æ n t ɹ̥ i
pantry	p e ə n tʰ ɹ̥ i
pantry	p e ə n t ɹ̥ i
papal	pʰ e ɪ̯ pʰ ə ɫ
papal	pʰ e ɪ̯ p ə ɫ
paper	pʰ e ɪ̯ p ɚ
par	pʰ ɑ ɹ
par	pʰ ɑ ˞
paradigm	p ɛ ɹ d a ɪ m
parameter	p ə ɹ æ m ə ɾ ɚ
parametric	p æ ɹ ə m ɛ t͡ʃ ɹ ɪ k
parametric	p ɛ ɹ ə m ɛ t͡ʃ ɹ ɪ k
paranym	pʰ ɛ ɹ ə n ɪ m
parasitic	p ɛ ɹ ə s ɪ ɾ ɪ k
