A	a
dabilzkion	d a b i l s̻ k i o n
dabilzkion	d a b i l s̻ k i o n
dabilzkion	d a b i l s̺ k i o n
dabilzkit	d a b i l s̻ k i t
dabilzkit	d a b i l s̻ k i t
dabilzkit	d a b i l s̺ k i t
dabilzkizu	d a b i l s̻ k i s̻ u
dabilzkizu	d a b i l s̻ k i s̻ u
dabilzkizu	d a b i l s̺ k i s̺ u
dabilzkizue	d a b i l s̻ k i s̻ u e
dabilzkizue	d a b i l s̻ k i s̻ u e
dabilzkizue	d a b i l s̺ k i s̺ u e
dabilzkizueke	d a b i l s̻ k i s̻ u e k e
dabilzkizueke	d a b i l s̻ k i s̻ u e k e
dabilzkizueke	d a b i l s̺ k i s̺ u e k e
dabilzkizuen	d a b i l s̻ k i s̻ u e n
dabilzkizuen	d a b i l s̻ k i s̻ u e n
dabilzkizuen	d a b i l s̺ k i s̺ u e n
dabilzkizuke	d a b i l s̻ k i s̻ u k e
dabilzkizuke	d a b i l s̻ k i s̻ u k e
dabilzkizuke	d a b i l s̺ k i s̺ u k e
dabilzkizun	d a b i l s̻ k i s̻ u n
dabilzkizun	d a b i l s̻ k i s̻ u n
dabilzkizun	d a b i l s̺ k i s̺ u n
dadila	d a d i l a
dadila	d a d i ʎ a
dadin	d a d i n
dagi	d a ɡ i
dagigu	d a ɡ i ɡ u
dagik	d a ɡ i k
dagin	d a ɡ i n
dagit	d a ɡ i t
dagite	d a ɡ i t e
dagitza	d a ɡ i t͡s̻ a
dagitzagu	d a ɡ i t͡s̻ a ɡ u
dagitzak	d a ɡ i t͡s̻ a k
dagitzan	d a ɡ i t͡s̻ a n
dagitzat	d a ɡ i t͡s̻ a t
dagitzate	d a ɡ i t͡s̻ a t e
dagitzazu	d a ɡ i t͡s̻ a s̻ u
dagitzazu	d a ɡ i t͡s̻ a s̻ u
dagitzazu	d a ɡ i t͡s̻ a s̺ u
dagitzazue	d a ɡ i t͡s̻ a s̻ u e
dagitzazue	d a ɡ i t͡s̻ a s̻ u e
dagitzazue	d a ɡ i t͡s̻ a s̺ u e
dagizu	d a ɡ i s̻ u
dagizu	d a ɡ i s̻ u
dagizu	d a ɡ i s̺ u
dagizue	d a ɡ i s̻ u e
dagizue	d a ɡ i s̻ u e
dagizue	d a ɡ i s̺ u e
dago	d a ɡ o
dagoela	d a ɡ o e l a
dagoen	d a ɡ o e n
dagoke	d a ɡ o k e
dagokiake	d a ɡ o k i a k e
dagokian	d a ɡ o k i a n
dagokidake	d a ɡ o k i d a k e
dagokidan	d a ɡ o k i d a n
dagokie	d a ɡ o k i e
dagokieke	d a ɡ o k i e k e
dagokien	d a ɡ o k i e n
dagokigu	d a ɡ o k i ɡ u
dagokiguke	d a ɡ o k i ɡ u k e
dagokigun	d a ɡ o k i ɡ u n
dagokik	d a ɡ o k i k
dagokin	d a ɡ o k i n
dagokinake	d a ɡ o k i n a k e
dagokinake	d a ɡ o k i ɲ a k e
dagokinan	d a ɡ o k i n a n
dagokinan	d a ɡ o k i ɲ a n
dagokio	d a ɡ o k i o
dagokioke	d a ɡ o k i o k e
dagokion	d a ɡ o k i o n
dagokit	d a ɡ o k i t
dagokizu	d a ɡ o k i s̻ u
dagokizu	d a ɡ o k i s̻ u
dagokizu	d a ɡ o k i s̺ u
dagokizue	d a ɡ o k i s̻ u e
dagokizue	d a ɡ o k i s̻ u e
dagokizue	d a ɡ o k i s̺ u e
dagokizueke	d a ɡ o k i s̻ u e k e
dagokizueke	d a ɡ o k i s̻ u e k e
dagokizueke	d a ɡ o k i s̺ u e k e
dagokizuen	d a ɡ o k i s̻ u e n
dagokizuen	d a ɡ o k i s̻ u e n
dagokizuen	d a ɡ o k i s̺ u e n
dagokizuke	d a ɡ o k i s̻ u k e
dagokizuke	d a ɡ o k i s̻ u k e
dagokizuke	d a ɡ o k i s̺ u k e
dagokizun	d a ɡ o k i s̻ u n
dagokizun	d a ɡ o k i s̻ u n
dagokizun	d a ɡ o k i s̺ u n
dagonil	d a ɡ o n i l
dagozkiake	d a ɡ o s̻ k i a k e
dagozkiake	d a ɡ o s̻ k i a k e
dagozkiake	d a ɡ o s̺ k i a k e
dagozkian	d a ɡ o s̻ k i a n
dagozkian	d a ɡ o s̻ k i a n
dagozkian	d a ɡ o s̺ k i a n
dagozkidake	d a ɡ o s̻ k i d a k e
dagozkidake	d a ɡ o s̻ k i d a k e
dagozkidake	d a ɡ o s̺ k i d a k e
dagozkidan	d a ɡ o s̻ k i d a n
dagozkidan	d a ɡ o s̻ k i d a n
dagozkidan	d a ɡ o s̺ k i d a n
dagozkie	d a ɡ o s̻ k i e
dagozkie	d a ɡ o s̻ k i e
dagozkie	d a ɡ o s̺ k i e
dagozkieke	d a ɡ o s̻ k i e k e
dagozkieke	d a ɡ o s̻ k i e k e
dagozkieke	d a ɡ o s̺ k i e k e
dagozkien	d a ɡ o s̻ k i e n
dagozkien	d a ɡ o s̻ k i e n
dagozkien	d a ɡ o s̺ k i e n
dagozkigu	d a ɡ o s̻ k i ɡ u
dagozkigu	d a ɡ o s̻ k i ɡ u
dagozkigu	d a ɡ o s̺ k i ɡ u
dagozkiguke	d a ɡ o s̻ k i ɡ u k e
dagozkiguke	d a ɡ o s̻ k i ɡ u k e
dagozkiguke	d a ɡ o s̺ k i ɡ u k e
dagozkigun	d a ɡ o s̻ k i ɡ u n
dagozkigun	d a ɡ o s̻ k i ɡ u n
dagozkigun	d a ɡ o s̺ k i ɡ u n
dagozkik	d a ɡ o s̻ k i k
dagozkik	d a ɡ o s̻ k i k
dagozkik	d a ɡ o s̺ k i k
dagozkin	d a ɡ o s̻ k i n
dagozkin	d a ɡ o s̻ k i n
dagozkin	d a ɡ o s̺ k i n
dagozkinake	d a ɡ o s̻ k i n a k e
dagozkinake	d a ɡ o s̻ k i ɲ a k e
dagozkinake	d a ɡ o s̻ k i ɲ a k e
dagozkinake	d a ɡ o s̺ k i ɲ a k e
dagozkinan	d a ɡ o s̻ k i n a n
dagozkinan	d a ɡ o s̻ k i ɲ a n
dagozkinan	d a ɡ o s̻ k i ɲ a n
dagozkinan	d a ɡ o s̺ k i ɲ a n
dagozkio	d a ɡ o s̻ k i o
dagozkio	d a ɡ o s̻ k i o
dagozkio	d a ɡ o s̺ k i o
dagozkioke	d a ɡ o s̻ k i o k e
dagozkioke	d a ɡ o s̻ k i o k e
dagozkioke	d a ɡ o s̺ k i o k e
dagozkion	d a ɡ o s̻ k i o n
dagozkion	d a ɡ o s̻ k i o n
dagozkion	d a ɡ o s̺ k i o n
dagozkit	d a ɡ o s̻ k i t
dagozkit	d a ɡ o s̻ k i t
dagozkit	d a ɡ o s̺ k i t
dagozkizu	d a ɡ o s̻ k i s̻ u
dagozkizu	d a ɡ o s̻ k i s̻ u
dagozkizu	d a ɡ o s̺ k i s̺ u
dagozkizue	d a ɡ o s̻ k i s̻ u e
dagozkizue	d a ɡ o s̻ k i s̻ u e
dagozkizue	d a ɡ o s̺ k i s̺ u e
dagozkizueke	d a ɡ o s̻ k i s̻ u e k e
dagozkizueke	d a ɡ o s̻ k i s̻ u e k e
dagozkizueke	d a ɡ o s̺ k i s̺ u e k e
dagozkizuen	d a ɡ o s̻ k i s̻ u e n
dagozkizuen	d a ɡ o s̻ k i s̻ u e n
dagozkizuen	d a ɡ o s̺ k i s̺ u e n
dagozkizuke	d a ɡ o s̻ k i s̻ u k e
dagozkizuke	d a ɡ o s̻ k i s̻ u k e
dagozkizuke	d a ɡ o s̺ k i s̺ u k e
dagozkizun	d a ɡ o s̻ k i s̻ u n
dagozkizun	d a ɡ o s̻ k i s̻ u n
dagozkizun	d a ɡ o s̺ k i s̺ u n
daiteke	d a i̯ t e k e
daitekek	d a i̯ t e k e k
daiteken	d a i̯ t e k e n
daitezela	d a i̯ t e s̻ e l a
daitezela	d a i̯ t e s̻ e l a
daitezela	d a i̯ t e s̺ e l a
daitezen	d a i̯ t e s̻ e n
daitezen	d a i̯ t e s̻ e n
daitezen	d a i̯ t e s̺ e n
daitezke	d a i̯ t e s̻ k e
daitezke	d a i̯ t e s̻ k e
daitezke	d a i̯ t e s̺ k e
daitezkek	d a i̯ t e s̻ k e k
daitezkek	d a i̯ t e s̻ k e k
daitezkek	d a i̯ t e s̺ k e k
daitezken	d a i̯ t e s̻ k e n
daitezken	d a i̯ t e s̻ k e n
daitezken	d a i̯ t e s̺ k e n
dakar	d a k a r
dakargu	d a k a r ɡ u
dakark	d a k a r k
dakarkiagu	d a k a r k i a ɡ u
dakarkiat	d a k a r k i a t
dakarkiate	d a k a r k i a t e
dakarkidak	d a k a r k i d a k
dakarkidan	d a k a r k i d a n
dakarkidate	d a k a r k i d a t e
dakarkidazu	d a k a r k i d a s̻ u
dakarkidazu	d a k a r k i d a s̻ u
dakarkidazu	d a k a r k i d a s̺ u
dakarkidazue	d a k a r k i d a s̻ u e
dakarkidazue	d a k a r k i d a s̻ u e
dakarkidazue	d a k a r k i d a s̺ u e
dakarkie	d a k a r k i e
dakarkiegu	d a k a r k i e ɡ u
dakarkiek	d a k a r k i e k
dakarkien	d a k a r k i e n
dakarkiet	d a k a r k i e t
dakarkiete	d a k a r k i e t e
dakarkiezu	d a k a r k i e s̻ u
dakarkiezu	d a k a r k i e s̻ u
dakarkiezu	d a k a r k i e s̺ u
dakarkiezue	d a k a r k i e s̻ u e
dakarkiezue	d a k a r k i e s̻ u e
dakarkiezue	d a k a r k i e s̺ u e
dakarkigu	d a k a r k i ɡ u
dakarkiguk	d a k a r k i ɡ u k
dakarkigun	d a k a r k i ɡ u n
dakarkigute	d a k a r k i ɡ u t e
dakarkiguzu	d a k a r k i ɡ u s̻ u
dakarkiguzu	d a k a r k i ɡ u s̻ u
dakarkiguzu	d a k a r k i ɡ u s̺ u
dakarkiguzue	d a k a r k i ɡ u s̻ u e
dakarkiguzue	d a k a r k i ɡ u s̻ u e
dakarkiguzue	d a k a r k i ɡ u s̺ u e
dakarkik	d a k a r k i k
dakarkin	d a k a r k i n
dakarkinagu	d a k a r k i n a ɡ u
dakarkinagu	d a k a r k i ɲ a ɡ u
dakarkinat	d a k a r k i n a t
dakarkinat	d a k a r k i ɲ a t
dakarkinate	d a k a r k i n a t e
dakarkinate	d a k a r k i ɲ a t e
dakarkio	d a k a r k i o
dakarkiogu	d a k a r k i o ɡ u
dakarkiok	d a k a r k i o k
dakarkion	d a k a r k i o n
dakarkiot	d a k a r k i o t
dakarkiote	d a k a r k i o t e
dakarkiozu	d a k a r k i o s̻ u
dakarkiozu	d a k a r k i o s̻ u
dakarkiozu	d a k a r k i o s̺ u
dakarkiozue	d a k a r k i o s̻ u e
dakarkiozue	d a k a r k i o s̻ u e
dakarkiozue	d a k a r k i o s̺ u e
dakarkit	d a k a r k i t
dakarkizu	d a k a r k i s̻ u
dakarkizu	d a k a r k i s̻ u
dakarkizu	d a k a r k i s̺ u
dakarkizue	d a k a r k i s̻ u e
dakarkizue	d a k a r k i s̻ u e
dakarkizue	d a k a r k i s̺ u e
dakarkizuegu	d a k a r k i s̻ u e ɡ u
dakarkizuegu	d a k a r k i s̻ u e ɡ u
dakarkizuegu	d a k a r k i s̺ u e ɡ u
dakarkizuet	d a k a r k i s̻ u e t
dakarkizuet	d a k a r k i s̻ u e t
dakarkizuet	d a k a r k i s̺ u e t
dakarkizuete	d a k a r k i s̻ u e t e
dakarkizuete	d a k a r k i s̻ u e t e
dakarkizuete	d a k a r k i s̺ u e t e
dakarkizugu	d a k a r k i s̻ u ɡ u
dakarkizugu	d a k a r k i s̻ u ɡ u
dakarkizugu	d a k a r k i s̺ u ɡ u
dakarkizut	d a k a r k i s̻ u t
dakarkizut	d a k a r k i s̻ u t
dakarkizut	d a k a r k i s̺ u t
dakarkizute	d a k a r k i s̻ u t e
dakarkizute	d a k a r k i s̻ u t e
dakarkizute	d a k a r k i s̺ u t e
dakarna	d a k a r n a
dakart	d a k a r t
dakarte	d a k a r t e
dakartza	d a k a r t͡s̻ a
dakartzagu	d a k a r t͡s̻ a ɡ u
dakartzak	d a k a r t͡s̻ a k
dakartzan	d a k a r t͡s̻ a n
dakartzat	d a k a r t͡s̻ a t
dakartzate	d a k a r t͡s̻ a t e
dakartzazu	d a k a r t͡s̻ a s̻ u
dakartzazu	d a k a r t͡s̻ a s̻ u
dakartzazu	d a k a r t͡s̻ a s̺ u
dakartzazue	d a k a r t͡s̻ a s̻ u e
dakartzazue	d a k a r t͡s̻ a s̻ u e
dakartzazue	d a k a r t͡s̻ a s̺ u e
dakarzkiagu	d a k a r s̻ k i a ɡ u
dakarzkiagu	d a k a r s̻ k i a ɡ u
dakarzkiagu	d a k a r s̺ k i a ɡ u
dakarzkiat	d a k a r s̻ k i a t
dakarzkiat	d a k a r s̻ k i a t
dakarzkiat	d a k a r s̺ k i a t
dakarzkiate	d a k a r s̻ k i a t e
dakarzkiate	d a k a r s̻ k i a t e
dakarzkiate	d a k a r s̺ k i a t e
dakarzkidak	d a k a r s̻ k i d a k
dakarzkidak	d a k a r s̻ k i d a k
dakarzkidak	d a k a r s̺ k i d a k
dakarzkidan	d a k a r s̻ k i d a n
dakarzkidan	d a k a r s̻ k i d a n
dakarzkidan	d a k a r s̺ k i d a n
dakarzkidate	d a k a r s̻ k i d a t e
dakarzkidate	d a k a r s̻ k i d a t e
dakarzkidate	d a k a r s̺ k i d a t e
dakarzkidazu	d a k a r s̻ k i d a s̻ u
dakarzkidazu	d a k a r s̻ k i d a s̻ u
dakarzkidazu	d a k a r s̺ k i d a s̺ u
dakarzkidazue	d a k a r s̻ k i d a s̻ u e
dakarzkidazue	d a k a r s̻ k i d a s̻ u e
dakarzkidazue	d a k a r s̺ k i d a s̺ u e
dakarzkie	d a k a r s̻ k i e
dakarzkie	d a k a r s̻ k i e
dakarzkie	d a k a r s̺ k i e
dakarzkiegu	d a k a r s̻ k i e ɡ u
dakarzkiegu	d a k a r s̻ k i e ɡ u
dakarzkiegu	d a k a r s̺ k i e ɡ u
dakarzkiek	d a k a r s̻ k i e k
dakarzkiek	d a k a r s̻ k i e k
dakarzkiek	d a k a r s̺ k i e k
dakarzkien	d a k a r s̻ k i e n
dakarzkien	d a k a r s̻ k i e n
dakarzkien	d a k a r s̺ k i e n
dakarzkiet	d a k a r s̻ k i e t
dakarzkiet	d a k a r s̻ k i e t
dakarzkiet	d a k a r s̺ k i e t
dakarzkiete	d a k a r s̻ k i e t e
dakarzkiete	d a k a r s̻ k i e t e
dakarzkiete	d a k a r s̺ k i e t e
dakarzkiezu	d a k a r s̻ k i e s̻ u
dakarzkiezu	d a k a r s̻ k i e s̻ u
dakarzkiezu	d a k a r s̺ k i e s̺ u
dakarzkiezue	d a k a r s̻ k i e s̻ u e
dakarzkiezue	d a k a r s̻ k i e s̻ u e
dakarzkiezue	d a k a r s̺ k i e s̺ u e
dakarzkigu	d a k a r s̻ k i ɡ u
dakarzkigu	d a k a r s̻ k i ɡ u
dakarzkigu	d a k a r s̺ k i ɡ u
dakarzkiguk	d a k a r s̻ k i ɡ u k
dakarzkiguk	d a k a r s̻ k i ɡ u k
dakarzkiguk	d a k a r s̺ k i ɡ u k
dakarzkigun	d a k a r s̻ k i ɡ u n
dakarzkigun	d a k a r s̻ k i ɡ u n
dakarzkigun	d a k a r s̺ k i ɡ u n
dakarzkigute	d a k a r s̻ k i ɡ u t e
dakarzkigute	d a k a r s̻ k i ɡ u t e
dakarzkigute	d a k a r s̺ k i ɡ u t e
dakarzkiguzu	d a k a r s̻ k i ɡ u s̻ u
dakarzkiguzu	d a k a r s̻ k i ɡ u s̻ u
dakarzkiguzu	d a k a r s̺ k i ɡ u s̺ u
dakarzkiguzue	d a k a r s̻ k i ɡ u s̻ u e
dakarzkiguzue	d a k a r s̻ k i ɡ u s̻ u e
dakarzkiguzue	d a k a r s̺ k i ɡ u s̺ u e
dakarzkik	d a k a r s̻ k i k
dakarzkik	d a k a r s̻ k i k
dakarzkik	d a k a r s̺ k i k
dakarzkin	d a k a r s̻ k i n
dakarzkin	d a k a r s̻ k i n
dakarzkin	d a k a r s̺ k i n
dakarzkinagu	d a k a r s̻ k i n a ɡ u
dakarzkinagu	d a k a r s̻ k i ɲ a ɡ u
dakarzkinagu	d a k a r s̻ k i ɲ a ɡ u
dakarzkinagu	d a k a r s̺ k i ɲ a ɡ u
dakarzkinat	d a k a r s̻ k i n a t
dakarzkinat	d a k a r s̻ k i ɲ a t
dakarzkinat	d a k a r s̻ k i ɲ a t
dakarzkinat	d a k a r s̺ k i ɲ a t
dakarzkinate	d a k a r s̻ k i n a t e
dakarzkinate	d a k a r s̻ k i ɲ a t e
dakarzkinate	d a k a r s̻ k i ɲ a t e
dakarzkinate	d a k a r s̺ k i ɲ a t e
dakarzkio	d a k a r s̻ k i o
dakarzkio	d a k a r s̻ k i o
dakarzkio	d a k a r s̺ k i o
dakarzkiogu	d a k a r s̻ k i o ɡ u
dakarzkiogu	d a k a r s̻ k i o ɡ u
dakarzkiogu	d a k a r s̺ k i o ɡ u
dakarzkiok	d a k a r s̻ k i o k
dakarzkiok	d a k a r s̻ k i o k
dakarzkiok	d a k a r s̺ k i o k
dakarzkion	d a k a r s̻ k i o n
dakarzkion	d a k a r s̻ k i o n
dakarzkion	d a k a r s̺ k i o n
dakarzkiot	d a k a r s̻ k i o t
dakarzkiot	d a k a r s̻ k i o t
dakarzkiot	d a k a r s̺ k i o t
dakarzkiote	d a k a r s̻ k i o t e
dakarzkiote	d a k a r s̻ k i o t e
dakarzkiote	d a k a r s̺ k i o t e
dakarzkiozu	d a k a r s̻ k i o s̻ u
dakarzkiozu	d a k a r s̻ k i o s̻ u
dakarzkiozu	d a k a r s̺ k i o s̺ u
dakarzkiozue	d a k a r s̻ k i o s̻ u e
dakarzkiozue	d a k a r s̻ k i o s̻ u e
dakarzkiozue	d a k a r s̺ k i o s̺ u e
dakarzkit	d a k a r s̻ k i t
dakarzkit	d a k a r s̻ k i t
dakarzkit	d a k a r s̺ k i t
dakarzkizu	d a k a r s̻ k i s̻ u
dakarzkizu	d a k a r s̻ k i s̻ u
dakarzkizu	d a k a r s̺ k i s̺ u
dakarzkizue	d a k a r s̻ k i s̻ u e
dakarzkizue	d a k a r s̻ k i s̻ u e
dakarzkizue	d a k a r s̺ k i s̺ u e
dakarzkizuegu	d a k a r s̻ k i s̻ u e ɡ u
dakarzkizuegu	d a k a r s̻ k i s̻ u e ɡ u
dakarzkizuegu	d a k a r s̺ k i s̺ u e ɡ u
dakarzkizuet	d a k a r s̻ k i s̻ u e t
dakarzkizuet	d a k a r s̻ k i s̻ u e t
dakarzkizuet	d a k a r s̺ k i s̺ u e t
dakarzkizuete	d a k a r s̻ k i s̻ u e t e
dakarzkizuete	d a k a r s̻ k i s̻ u e t e
dakarzkizuete	d a k a r s̺ k i s̺ u e t e
dakarzkizugu	d a k a r s̻ k i s̻ u ɡ u
dakarzkizugu	d a k a r s̻ k i s̻ u ɡ u
dakarzkizugu	d a k a r s̺ k i s̺ u ɡ u
dakarzkizut	d a k a r s̻ k i s̻ u t
dakarzkizut	d a k a r s̻ k i s̻ u t
dakarzkizut	d a k a r s̺ k i s̺ u t
dakarzkizute	d a k a r s̻ k i s̻ u t e
dakarzkizute	d a k a r s̻ k i s̻ u t e
dakarzkizute	d a k a r s̺ k i s̺ u t e
dakarzu	d a k a r s̻ u
dakarzu	d a k a r s̻ u
dakarzu	d a k a r s̺ u
dakarzue	d a k a r s̻ u e
dakarzue	d a k a r s̻ u e
dakarzue	d a k a r s̺ u e
daki	d a k i
dakigu	d a k i ɡ u
dakik	d a k i k
dakin	d a k i n
dakit	d a k i t
dakite	d a k i t e
dakizki	d a k i s̻ k i
dakizki	d a k i s̻ k i
dakizki	d a k i s̺ k i
dakizkigu	d a k i s̻ k i ɡ u
dakizkigu	d a k i s̻ k i ɡ u
dakizkigu	d a k i s̺ k i ɡ u
dakizkik	d a k i s̻ k i k
dakizkik	d a k i s̻ k i k
dakizkik	d a k i s̺ k i k
dakizkin	d a k i s̻ k i n
dakizkin	d a k i s̻ k i n
dakizkin	d a k i s̺ k i n
dakizkit	d a k i s̻ k i t
dakizkit	d a k i s̻ k i t
dakizkit	d a k i s̺ k i t
dakizkite	d a k i s̻ k i t e
dakizkite	d a k i s̻ k i t e
dakizkite	d a k i s̺ k i t e
dakizkizu	d a k i s̻ k i s̻ u
dakizkizu	d a k i s̻ k i s̻ u
dakizkizu	d a k i s̺ k i s̺ u
dakizkizue	d a k i s̻ k i s̻ u e
dakizkizue	d a k i s̻ k i s̻ u e
dakizkizue	d a k i s̺ k i s̺ u e
dakizu	d a k i s̻ u
dakizu	d a k i s̻ u
dakizu	d a k i s̺ u
dakizue	d a k i s̻ u e
dakizue	d a k i s̻ u e
dakizue	d a k i s̺ u e
dakusa	d a k u s̺ a
dakusagu	d a k u s̺ a ɡ u
dakusak	d a k u s̺ a k
dakusan	d a k u s̺ a n
dakusat	d a k u s̺ a t
dakusate	d a k u s̺ a t e
dakusazu	d a k u s̺ a s̻ u
dakusazu	d a k u s̺ a s̻ u
dakusazu	d a k u s̺ a s̺ u
dakusazue	d a k u s̺ a s̻ u e
dakusazue	d a k u s̺ a s̻ u e
dakusazue	d a k u s̺ a s̺ u e
dakuski	d a k u s̺ k i
dakuskigu	d a k u s̺ k i ɡ u
dakuskik	d a k u s̺ k i k
dakuskin	d a k u s̺ k i n
dakuskit	d a k u s̺ k i t
dakuskite	d a k u s̺ k i t e
dakuskizu	d a k u s̺ k i s̻ u
dakuskizu	d a k u s̺ k i s̻ u
dakuskizu	d a k u s̺ k i s̺ u
dakuskizue	d a k u s̺ k i s̻ u e
dakuskizue	d a k u s̺ k i s̻ u e
dakuskizue	d a k u s̺ k i s̺ u e
damu	d a m u
damutu	d a m u t u
daniera	d a n i e ɾ a
Danimarka	d a n i m a r k a
dantza	d a n t͡s̻ a
dantzu	d a n t͡s̻ u
dantzugu	d a n t͡s̻ u ɡ u
dantzuk	d a n t͡s̻ u k
dantzun	d a n t͡s̻ u n
dantzut	d a n t͡s̻ u t
dantzute	d a n t͡s̻ u t e
dantzuzki	d a n t͡s̻ u s̻ k i
dantzuzki	d a n t͡s̻ u s̻ k i
dantzuzki	d a n t͡s̻ u s̺ k i
dantzuzkigu	d a n t͡s̻ u s̻ k i ɡ u
dantzuzkigu	d a n t͡s̻ u s̻ k i ɡ u
dantzuzkigu	d a n t͡s̻ u s̺ k i ɡ u
dantzuzkik	d a n t͡s̻ u s̻ k i k
dantzuzkik	d a n t͡s̻ u s̻ k i k
dantzuzkik	d a n t͡s̻ u s̺ k i k
dantzuzkin	d a n t͡s̻ u s̻ k i n
dantzuzkin	d a n t͡s̻ u s̻ k i n
dantzuzkin	d a n t͡s̻ u s̺ k i n
dantzuzkit	d a n t͡s̻ u s̻ k i t
dantzuzkit	d a n t͡s̻ u s̻ k i t
dantzuzkit	d a n t͡s̻ u s̺ k i t
dantzuzkite	d a n t͡s̻ u s̻ k i t e
dantzuzkite	d a n t͡s̻ u s̻ k i t e
dantzuzkite	d a n t͡s̻ u s̺ k i t e
dantzuzkizu	d a n t͡s̻ u s̻ k i s̻ u
dantzuzkizu	d a n t͡s̻ u s̻ k i s̻ u
dantzuzkizu	d a n t͡s̻ u s̺ k i s̺ u
dantzuzkizue	d a n t͡s̻ u s̻ k i s̻ u e
dantzuzkizue	d a n t͡s̻ u s̻ k i s̻ u e
dantzuzkizue	d a n t͡s̻ u s̺ k i s̺ u e
dantzuzu	d a n t͡s̻ u s̻ u
dantzuzu	d a n t͡s̻ u s̻ u
dantzuzu	d a n t͡s̻ u s̺ u
dantzuzue	d a n t͡s̻ u s̻ u e
dantzuzue	d a n t͡s̻ u s̻ u e
dantzuzue	d a n t͡s̻ u s̺ u e
darabil	d a ɾ a b i l
darabilgu	d a ɾ a b i l ɡ u
darabilk	d a ɾ a b i l k
darabilkiagu	d a ɾ a b i l k i a ɡ u
darabilkiat	d a ɾ a b i l k i a t
darabilkiate	d a ɾ a b i l k i a t e
darabilkidak	d a ɾ a b i l k i d a k
darabilkidan	d a ɾ a b i l k i d a n
darabilkidate	d a ɾ a b i l k i d a t e
darabilkidazu	d a ɾ a b i l k i d a s̻ u
darabilkidazu	d a ɾ a b i l k i d a s̻ u
darabilkidazu	d a ɾ a b i l k i d a s̺ u
darabilkidazue	d a ɾ a b i l k i d a s̻ u e
darabilkidazue	d a ɾ a b i l k i d a s̻ u e
darabilkidazue	d a ɾ a b i l k i d a s̺ u e
darabilkik	d a ɾ a b i l k i k
darabilkin	d a ɾ a b i l k i n
darabilkinagu	d a ɾ a b i l k i n a ɡ u
darabilkinagu	d a ɾ a b i l k i ɲ a ɡ u
darabilkinat	d a ɾ a b i l k i n a t
darabilkinat	d a ɾ a b i l k i ɲ a t
darabilkinate	d a ɾ a b i l k i n a t e
darabilkinate	d a ɾ a b i l k i ɲ a t e
darabilkit	d a ɾ a b i l k i t
darabilna	d a ɾ a b i l n a
darabilt	d a ɾ a b i l t
darabilte	d a ɾ a b i l t e
darabiltza	d a ɾ a b i l t͡s̻ a
darabiltzagu	d a ɾ a b i l t͡s̻ a ɡ u
darabiltzak	d a ɾ a b i l t͡s̻ a k
darabiltzan	d a ɾ a b i l t͡s̻ a n
darabiltzat	d a ɾ a b i l t͡s̻ a t
darabiltzate	d a ɾ a b i l t͡s̻ a t e
darabiltzazu	d a ɾ a b i l t͡s̻ a s̻ u
darabiltzazu	d a ɾ a b i l t͡s̻ a s̻ u
darabiltzazu	d a ɾ a b i l t͡s̻ a s̺ u
darabiltzazue	d a ɾ a b i l t͡s̻ a s̻ u e
darabiltzazue	d a ɾ a b i l t͡s̻ a s̻ u e
darabiltzazue	d a ɾ a b i l t͡s̻ a s̺ u e
darabilzkiagu	d a ɾ a b i l s̻ k i a ɡ u
darabilzkiagu	d a ɾ a b i l s̻ k i a ɡ u
darabilzkiagu	d a ɾ a b i l s̺ k i a ɡ u
darabilzkiat	d a ɾ a b i l s̻ k i a t
darabilzkiat	d a ɾ a b i l s̻ k i a t
darabilzkiat	d a ɾ a b i l s̺ k i a t
darabilzkiate	d a ɾ a b i l s̻ k i a t e
darabilzkiate	d a ɾ a b i l s̻ k i a t e
darabilzkiate	d a ɾ a b i l s̺ k i a t e
darabilzkidak	d a ɾ a b i l s̻ k i d a k
darabilzkidak	d a ɾ a b i l s̻ k i d a k
darabilzkidak	d a ɾ a b i l s̺ k i d a k
darabilzkidan	d a ɾ a b i l s̻ k i d a n
darabilzkidan	d a ɾ a b i l s̻ k i d a n
darabilzkidan	d a ɾ a b i l s̺ k i d a n
darabilzkidate	d a ɾ a b i l s̻ k i d a t e
darabilzkidate	d a ɾ a b i l s̻ k i d a t e
darabilzkidate	d a ɾ a b i l s̺ k i d a t e
darabilzkidazu	d a ɾ a b i l s̻ k i d a s̻ u
darabilzkidazu	d a ɾ a b i l s̻ k i d a s̻ u
darabilzkidazu	d a ɾ a b i l s̺ k i d a s̺ u
darabilzkidazue	d a ɾ a b i l s̻ k i d a s̻ u e
darabilzkidazue	d a ɾ a b i l s̻ k i d a s̻ u e
darabilzkidazue	d a ɾ a b i l s̺ k i d a s̺ u e
darabilzkik	d a ɾ a b i l s̻ k i k
darabilzkik	d a ɾ a b i l s̻ k i k
darabilzkik	d a ɾ a b i l s̺ k i k
darabilzkin	d a ɾ a b i l s̻ k i n
darabilzkin	d a ɾ a b i l s̻ k i n
darabilzkin	d a ɾ a b i l s̺ k i n
darabilzkinagu	d a ɾ a b i l s̻ k i n a ɡ u
darabilzkinagu	d a ɾ a b i l s̻ k i ɲ a ɡ u
darabilzkinagu	d a ɾ a b i l s̻ k i ɲ a ɡ u
darabilzkinagu	d a ɾ a b i l s̺ k i ɲ a ɡ u
