㑚	n a ʔ ⁴
子民	t͡s o ⁴ ⁵ ³ ⁻ ¹ ³ m i ŋ ¹ ³
孔子	kʰ ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ n o ⁴ ⁵ ³
孔子殿	kʰ ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ n o ⁴ ⁵ ³ ⁻ ¹ ³ t ɛ ŋ ¹ ¹
孕	i ŋ ¹ ¹
字	t͡s i ¹ ¹
字	t͡s o ¹ ¹
字典	t͡s o ¹ ¹ l ɛ ŋ ⁴ ⁵ ³
字爿	t͡s i ¹ ¹ p e ¹ ³
字紙	t͡s i ¹ ¹ l y ɒ ⁴ ⁵ ³
字紙亭	t͡s i ¹ ¹ l y ɒ ⁴ ⁵ ³ ⁻ ¹ ³ l ɛ ŋ ¹ ³
字紙籠	t͡s i ¹ ¹ l y ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ l a ŋ ⁴ ⁵ ³
字號	t͡s i ¹ ¹ ⁻ ⁴ ² o ¹ ¹
字音	t͡s i ¹ ¹ i ŋ ⁵ ³ ³
存	t͡s ɔ ŋ ¹ ³
孝	h a u ⁴ ²
孝	h ɒ ⁴ ²
孝衫	h a u ⁴ ² ⁻ ⁵ ⁵ l ɒ ⁵ ³ ³
孝順	h a u ⁴ ² l ɔ ŋ ¹ ¹
孟	m ɛ ŋ ¹ ¹
季	k i ⁴ ²
季	kʰ u i ⁴ ²
季節	k i ⁴ ² t͡s ɛ ʔ ² ¹
孤	k ɔ u ⁵ ³ ³
孤立	k ɔ u ⁵ ³ ³ ⁻ ¹ ¹ l i ʔ ⁴
孤老	k ɔ u ⁵ ³ ³ ⁻ ¹ ¹ l ɒ ⁴ ⁵ ³
孫	ɬ ɔ ŋ ⁵ ³ ³
孫	ɬ ɛ ŋ ⁵ ³ ³
孫婿	ɬ ɔ ŋ ⁵ ³ ³ ⁻ ¹ ³ n a i ⁴ ²
孫新婦	ɬ ɔ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ŋ ⁵ ³ ³ ⁻ ¹ ³ m u ¹ ¹
孰	ɬ œ ʔ ⁴
孵	p u ¹ ¹
學	h a ʔ ⁴
學	o ¹ ³
學力	h a ʔ ⁴ ⁻ ² ¹ l i ʔ ⁴
學問	h a ʔ ⁴ ⁻ ⁴ ² m ɔ ŋ ¹ ¹
學堂	h a ʔ ⁴ ⁻ ² ¹ t ɒ ŋ ¹ ³
學堂生	h a ʔ ⁴ ⁻ ² ¹ t ɒ ŋ ¹ ³ ⁻ ¹ ¹ n ɛ ŋ ⁵ ³ ³
學校	h a ʔ ⁴ ⁻ ⁴ ² h a u ¹ ¹
學樣	o ¹ ³ ⁻ ⁴ ² i e u ¹ ¹
學歷	h a ʔ ⁴ ⁻ ² ¹ l ɛ ʔ ⁴
學理	h a ʔ ⁴ ⁻ ² ¹ l i ⁴ ⁵ ³
學生	h a ʔ ⁴ ⁻ ² ¹ ɬ ɛ ŋ ⁵ ³ ³
學籍	h a ʔ ⁴ ⁻ ² ¹ t͡s i ʔ ⁴
學習	h a ʔ ⁴ ⁻ ² ¹ ɬ i ʔ ⁴
學院	h a ʔ ⁴ ⁻ ⁴ ² i ŋ ¹ ¹
孺	t͡s y ¹ ³
孿	l u a ŋ ¹ ³
宅	t a ¹ ³
宅	t͡s ɛ ʔ ⁴
宇	y ⁴ ⁵ ³
守	t͡s i u ⁴ ⁵ ³
守	ɬ i u ⁴ ⁵ ³
守勢	ɬ i u ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ e ⁴ ²
守暝	t͡s i u ⁴ ⁵ ³ ⁻ ¹ ³ m a ¹ ³
守法	ɬ i u ⁴ ⁵ ³ ⁻ ¹ ³ h a ʔ ² ¹
守約	ɬ i u ⁴ ⁵ ³ ⁻ ¹ ³ y ɒ ʔ ² ¹
安	a ŋ ⁵ ³ ³
安	u a ⁵ ³ ³
安全	a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n œ ŋ ¹ ³
安卓	a ŋ ⁵ ³ ³ ⁻ ¹ ³ t ɒ ʔ ² ¹
安南	a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n a ŋ ¹ ³
安寧	a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɛ ŋ ¹ ³
安徽	a ŋ ⁵ ³ ³ ⁻ ¹ ¹ h u i ⁵ ³ ³
安心	a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ŋ ⁵ ³ ³
安提阿	a ŋ ⁵ ³ ³ ⁻ ¹ ¹ t e ¹ ³ ⁻ ¹ ¹ ɒ ⁵ ³ ³
宋	ɬ a ŋ ⁴ ²
宋	ɬ ɒ ŋ ⁴ ²
完	œ ŋ ¹ ³
宏路	h u a ¹ ³ ⁻ ⁴ ² l ɔ u ¹ ¹
宕	t ɒ ŋ ¹ ¹
宗	t͡s ɒ ŋ ⁵ ³ ³
官	k u a ŋ ⁵ ³ ³
官	k u a ⁵ ³ ³
官人	k u a ⁵ ³ ³ ⁻ ¹ ¹ n a ŋ ¹ ³
官員	k u a ⁵ ³ ³ ⁻ ¹ ¹ œ ŋ ⁵ ³ ³
官話	k u a ŋ ⁵ ³ ³ ⁻ ¹ ³ n u a ¹ ¹
宙	t i u ¹ ¹
宙	t i u ⁴ ²
定	t i a ¹ ¹
定	t ɛ ŋ ¹ ¹
定	tʰ i a ¹ ¹
定案	t ɛ ŋ ¹ ¹ ⁻ ⁵ ⁵ a ŋ ⁴ ²
定番	t i a ¹ ¹ u a ŋ ⁵ ³ ³
定點	t ɛ ŋ ¹ ¹ t͡s i ɛ ŋ ⁵ ³ ³
宜	k i ¹ ³
宜蘭	k i ¹ ³ ⁻ ¹ ¹ l a ŋ ¹ ³
客	kʰ a ¹ ¹
客	kʰ ɛ ʔ ² ¹
客人	kʰ a ¹ ¹ ⁻ ⁴ ² n a ŋ ¹ ³
客囝	kʰ a ¹ ¹ ⁻ ⁵ ⁵ y ɒ ⁴ ⁵ ³
客家	kʰ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ k a ⁵ ³ ³
客家話	kʰ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ k a ⁵ ³ ³ ⁻ ¹ ³ u a ¹ ¹
客家語	kʰ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ k a ⁵ ³ ³ ⁻ ¹ ¹ k y ⁴ ⁵ ³
客店	kʰ a ¹ ¹ ⁻ ⁵ ⁵ l e ⁴ ²
客棧	kʰ a ¹ ¹ ⁻ ⁴ ² l a ŋ ¹ ¹
客氣	kʰ a ¹ ¹ ⁻ ⁵ ⁵ kʰ i ⁴ ²
客氣話	kʰ a ¹ ¹ kʰ i ⁴ ² u a ¹ ¹
客話	kʰ a ¹ ¹ ⁻ ⁴ ² u a ¹ ¹
客語	kʰ ɛ ʔ ² ¹ ⁻ ⁴ ⁵ k y ⁴ ⁵ ³
客邊	kʰ a ¹ ¹ ⁻ ⁵ ⁵ p ɛ ŋ ⁵ ³ ³
宣	ɬ œ ŋ ⁵ ³ ³
宣傳	ɬ œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t œ ŋ ¹ ³
宣判	ɬ œ ŋ ⁵ ³ ³ ⁻ ¹ ³ pʰ u a ŋ ⁴ ²
宣言	ɬ œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ œ ŋ ¹ ³
室	ɬ i ʔ ² ¹
宦	h u a ŋ ¹ ¹
宮	k œ ŋ ⁵ ³ ³
害	h a i ¹ ¹
宴	ɛ ŋ ⁴ ²
宵	ɬ i e u ⁵ ³ ³
家	k a ⁵ ³ ³
家	k e ⁵ ³ ³
家	k ɒ ⁵ ³ ³
家己	k a i ⁴ ²
家己	k a ⁵ ³ ³ e ¹ ³
家法	k a ⁵ ³ ³ ⁻ ¹ ³ h a ʔ ² ¹
家私	k ɒ ⁵ ³ ³ ⁻ ¹ ¹ l i ⁵ ³ ³
家私頭	k ɒ ⁵ ³ ³ ⁻ ¹ ¹ l i ⁵ ³ ³ ⁻ ¹ ¹ l a u ¹ ³
家靈牌	k ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ŋ ¹ ³ ⁻ ¹ ¹ m e ¹ ³
宸	ɬ i ŋ ¹ ³
容	œ ŋ ¹ ³
容易	œ ŋ ¹ ³ ⁻ ⁴ ² ŋ i ¹ ¹
宿	ɬ i u ⁴ ²
宿	ɬ œ ʔ ² ¹
寂	t͡s i ʔ ⁴
寂寞	t͡s i ʔ ⁴ ⁻ ² ¹ p ɒ ʔ ⁴
寄	k i ⁴ ²
寄	k y ɒ ⁴ ²
寄批	k y ɒ ⁴ ² ⁻ ⁵ ⁵ pʰ e ⁵ ³ ³
寄生	k y ɒ ⁴ ² ⁻ ⁵ ⁵ l ɛ ŋ ⁵ ³ ³
寅	i ŋ ¹ ³
密	p i ʔ ⁴
密	p ɛ ʔ ⁴
密碼	p i ʔ ⁴ ⁻ ² ¹ p ɒ ⁴ ⁵ ³
寇	kʰ i e u ⁴ ²
富裕	h u ⁴ ² t͡s y ¹ ¹
富貴	h u ⁴ ² ⁻ ⁵ ⁵ u i ⁴ ²
寐	p i ¹ ¹
寒	h a ŋ ¹ ³
寒	k u a ¹ ³
寒假	h a ŋ ¹ ³ ⁻ ¹ ¹ ŋ a ⁴ ⁵ ³
寒天	k u a ⁵ ³ ³ ⁻ ¹ ¹ l i ŋ ⁵ ³ ³
寒著	k u a ¹ ³ t i e u ¹ ³
寒露	h a ŋ ¹ ³ ⁻ ⁵ ⁵ l ɔ u ⁴ ²
寒露	k u a ¹ ³ ⁻ ⁵ ⁵ l ɔ u ⁴ ²
寓	k y ¹ ¹
察	t͡sʰ a ʔ ² ¹
寢	t͡sʰ i ŋ ⁴ ⁵ ³
實	ɬ i ʔ ⁴
實	ɬ ɛ ʔ ⁴
實在	ɬ i ʔ ⁴ ⁻ ⁴ ² t͡s a i ¹ ¹
實情	ɬ i ʔ ⁴ ⁻ ² ¹ t͡s i ŋ ¹ ³
實現	ɬ i ʔ ⁴ ⁻ ⁴ ² h ɛ ŋ ¹ ¹
實用	ɬ i ʔ ⁴ ⁻ ⁴ ² œ ŋ ¹ ¹
實詞	ɬ i ʔ ⁴ ⁻ ² ¹ ɬ o ¹ ³
實證	ɬ i ʔ ⁴ t͡s i ŋ ⁴ ²
實踐	ɬ i ʔ ⁴ ⁻ ⁴ ² t͡s ɛ ŋ ¹ ¹
實錄	ɬ i ʔ ⁴ ⁻ ² ¹ l œ ʔ ⁴
實際	ɬ i ʔ ⁴ t͡s e ⁴ ²
實驗	ɬ i ʔ ⁴ ⁻ ⁴ ² ŋ i ɛ ŋ ¹ ¹
實體	ɬ i ʔ ⁴ ⁻ ² ¹ tʰ e ⁴ ⁵ ³
寧	n ɛ ŋ ¹ ³
寧夏	n ɛ ŋ ¹ ³ ⁻ ⁴ ² h a ¹ ¹
寧德	n ɛ ŋ ¹ ³ ⁻ ⁴ ² t ɛ ʔ ² ¹
審	ɬ i ŋ ⁴ ⁵ ³
審判	ɬ i ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ pʰ u a ŋ ⁴ ²
審案	ɬ i ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ a ŋ ⁴ ²
審議	ɬ i ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ k i ⁴ ⁵ ³
寫	ɬ i a ⁴ ⁵ ³
寫字	ɬ i a ⁴ ⁵ ³ ⁻ ¹ ³ l i ¹ ¹
寫批	ɬ i a ⁴ ⁵ ³ ⁻ ¹ ¹ pʰ e ⁵ ³ ³
寮	l i e u ¹ ³
寰	h u a ŋ ¹ ³
寵	tʰ œ ŋ ⁴ ⁵ ³
寶	p o ⁴ ⁵ ³
寶	p ɒ ⁴ ⁵ ³
寶島	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ t ɒ ⁴ ⁵ ³
寶蓋	p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ k a i ⁴ ²
寸	t͡sʰ ɔ ŋ ⁴ ²
寸棗	t͡sʰ ɔ ŋ ⁴ ² ⁻ ⁵ ⁵ n o ⁴ ⁵ ³
寺	ɬ i ¹ ¹
封	h ɒ ŋ ⁵ ³ ³
封喙	h ɒ ŋ ⁵ ³ ³ ⁻ ¹ ³ t͡sʰ u i ⁴ ²
射	ɬ i a ¹ ¹
將	t͡s y ɒ ŋ ⁴ ²
將	t͡s y ɒ ŋ ⁵ ³ ³
將	t͡sʰ y ɒ ŋ ⁵ ³ ³
將軍	t͡s y ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ ɔ ŋ ⁵ ³ ³
專	t͡s œ ŋ ⁵ ³ ³
專家	t͡s œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ a ⁵ ³ ³
尊	t͡s ɔ ŋ ⁵ ³ ³
尊嚴	t͡s ɔ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ i ɛ ŋ ¹ ³
尋	t͡sʰ i ŋ ¹ ³
尋	ɬ i ŋ ¹ ³
對	t u e i ⁴ ²
對	t u i ⁴ ²
對半	t u i ⁴ ² ⁻ ⁵ ⁵ m u a ⁴ ²
對同	t u i ⁴ ² l ɒ ŋ ¹ ³
對應	t u i ⁴ ² ⁻ ⁵ ⁵ i ŋ ⁴ ²
對時	t u i ⁴ ² l i ¹ ³
對面	t u i ⁴ ² ⁻ ⁵ ⁵ m i ŋ ⁴ ²
對面風	t u i ⁴ ² ⁻ ¹ ¹ m i ŋ ⁴ ² ⁻ ⁵ ⁵ m u e i ⁵ ³ ³
導	t ɒ ¹ ¹
導論	t ɒ ¹ ¹ ⁻ ⁴ ² l ɔ ŋ ¹ ¹
小	ɬ i e u ⁴ ⁵ ³
小人	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ³ l i ŋ ¹ ³
小學	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ a ʔ ⁴
小寫	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ l i a ⁴ ⁵ ³
小心	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i ŋ ⁵ ³ ³
小暑	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ l y ⁴ ⁵ ³
小氣	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ kʰ i ⁴ ²
小滿	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ m u a ŋ ⁴ ⁵ ³
小禮	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ e ⁴ ⁵ ³
小禮	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ l e ⁴ ⁵ ³
小說	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ³ ɬ œ ʔ ² ¹
小賣鬼	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ³ m a i ¹ ¹ k u i ⁴ ⁵ ³
小雪	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ³ ɬ ø ¹ ¹
小額	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ k ɛ ʔ ⁴
少	t͡s i e u ⁴ ⁵ ³
少	ɬ i e u ⁴ ²
少	ɬ i e u ⁴ ⁵ ³
少少	t͡s i e u ⁴ ⁵ ³ ⁻ ¹ ¹ t͡s i e u ⁴ ⁵ ³
少年	ɬ i e u ⁴ ² n ɛ ŋ ¹ ³
尖	t͡s i ɛ ŋ ⁵ ³ ³
尚	ɬ i e u ¹ ¹
尚	ɬ y ɒ ŋ ¹ ¹
尤	i u ¹ ³
尨	m ɒ ŋ ¹ ³
就	t͡s i u ¹ ¹
就關	t͡s i u ¹ ¹ u a ŋ ⁵ ³ ³
尸	ɬ i ⁵ ³ ³
尹	y ŋ ⁴ ⁵ ³
尺	t͡sʰ e ⁵ ³ ³
尺	t͡sʰ i e u ¹ ¹
尺	t͡sʰ i ʔ ² ¹
尻川	k ɒ ⁵ ³ ³ ⁻ ¹ ¹ l u e i ⁵ ³ ³
尻川空	k ɒ ⁵ ³ ³ ⁻ ¹ ¹ l u e i ⁵ ³ ³ ⁻ ¹ ¹ kʰ a ŋ ⁵ ³ ³
尻脊	k ɒ ⁵ ³ ³ ⁻ ¹ ³ l i a ¹ ¹
尻脊身	k ɒ ⁵ ³ ³ ⁻ ¹ ³ l i a ¹ ¹ ⁻ ⁵ ⁵ l i ŋ ⁵ ³ ³
尼	n i ¹ ³
尼尼微	n i ¹ ³ ⁻ ¹ ¹ n i ¹ ³ ⁻ ¹ ¹ p i ¹ ³
尼希米記	n i ¹ ³ ⁻ ¹ ¹ h i ⁵ ³ ³ ⁻ ¹ ¹ p i ⁴ ⁵ ³ k i ⁴ ²
尾	p i ⁴ ⁵ ³
尾	p u e i ⁴ ⁵ ³
尾叔	p u e i ⁴ ⁵ ³ ⁻ ¹ ³ l œ ʔ ² ¹
尾口	p u e i ⁴ ⁵ ³ ⁻ ¹ ³ kʰ a u ¹ ³
尾名	p u e i ⁴ ⁵ ³ ⁻ ¹ ³ m i a ¹ ³
尾囝	p u e i ⁴ ⁵ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
尾嬸	p u e i ⁴ ⁵ ³ ⁻ ¹ ¹ l i ŋ ⁴ ⁵ ³
尾梨	p u e i ⁴ ⁵ ³ ⁻ ¹ ³ l i ¹ ³
尾溜	p u e i ⁴ ⁵ ³ ⁻ ¹ ¹ l i u ⁵ ³ ³
尾第二指	p u e i ⁴ ⁵ ³ t e ¹ ¹ l i ¹ ¹ l a i ⁴ ⁵ ³
尿	t i e u ¹ ¹
局勢	k œ ʔ ⁴ ɬ e ⁴ ²
局限	k œ ʔ ⁴ ⁻ ⁴ ² h a ŋ ¹ ¹
屁	pʰ i ⁴ ²
屁	pʰ u i ⁴ ²
屄	p a i ⁵ ³ ³
屄	p i ⁵ ³ ³
居	k y ⁵ ³ ³
居士	k y ⁵ ³ ³ ⁻ ¹ ³ ɬ o ¹ ¹
居民	k y ⁵ ³ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
屋	ɒ ʔ ² ¹
屍	ɬ i ⁵ ³ ³
屎儂	ɬ a i ⁴ ⁵ ³ ⁻ ¹ ³ n a ŋ ¹ ³
屏	p i ŋ ¹ ³
屏	p i ŋ ⁴ ⁵ ³
屏	pʰ i a ¹ ³
屐	k y ɒ ¹ ³
展	tʰ y ɒ ⁴ ⁵ ³
展	tʰ ɛ ŋ ⁴ ⁵ ³
屢	l y ⁴ ⁵ ³
層	t͡s ɛ ŋ ¹ ³
層面	t͡s ɛ ŋ ¹ ³ ⁻ ⁵ ⁵ m ɛ ŋ ⁴ ²
履	l i ⁴ ⁵ ³
履歷	l i ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴
屨	k y ⁴ ²
屬	ɬ œ ʔ ⁴
屬性	ɬ œ ʔ ⁴ ɬ i ŋ ⁴ ²
屬於	ɬ œ ʔ ⁴ ⁻ ² ¹ y ¹ ³
屯	tʰ ɔ ŋ ¹ ³
山	ɬ a ŋ ⁵ ³ ³
山	ɬ u a ⁵ ³ ³
山亭	ɬ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ t ɛ ŋ ¹ ³
山勢	ɬ u a ⁵ ³ ³ ⁻ ¹ ³ ɬ e ⁴ ²
山喙	ɬ u a ⁵ ³ ³ ⁻ ¹ ³ t͡sʰ u i ⁴ ²
山囝	ɬ u a ⁵ ³ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
山東	ɬ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɒ ŋ ⁵ ³ ³
山東白	ɬ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n a ŋ ⁵ ³ ³ ⁻ ¹ ³ m a ¹ ³
山西	ɬ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n e ⁵ ³ ³
山豬	ɬ u a ⁵ ³ ³ ⁻ ¹ ¹ l y ⁵ ³ ³
山雞	ɬ u a ⁵ ³ ³ ⁻ ¹ ¹ e ⁵ ³ ³
山頂	ɬ u a ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ŋ ⁴ ⁵ ³
山頭	ɬ u a ⁵ ³ ³ ⁻ ¹ ¹ l a u ¹ ³
岐	k i ¹ ³
岐	k y ɒ ¹ ³
岩	ŋ a ŋ ¹ ³
岫	ɬ i u ¹ ¹
岳	k a ʔ ⁴
岸	ŋ a ŋ ¹ ¹
岸	ŋ y ɒ ¹ ¹
峁	p a u ⁴ ⁵ ³
峋	ɬ ɔ ŋ ⁵ ³ ³
峨	k ɒ ¹ ³
峰	h ɒ ŋ ⁵ ³ ³
峰	pʰ a ŋ ⁵ ³ ³
峰	ŋ̍ ⁵ ³ ³
峰尾	pʰ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ m u e i ⁴ ⁵ ³
峰頭	pʰ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n a u ¹ ³
島	t ɒ ⁴ ⁵ ³
峻	t͡s ɔ ŋ ⁴ ²
崔	t͡sʰ u e i ⁵ ³ ³
崔	t͡sʰ u i ⁵ ³ ³
崖	k a i ¹ ³
崖	k a ¹ ³
崴	u i ⁵ ³ ³
嵊	ɬ i ŋ ¹ ¹
嵩口	ɬ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ a u ⁴ ⁵ ³
嶍	ɬ i ʔ ⁴
嶔	kʰ i ŋ ⁵ ³ ³
嶨	h a ʔ ⁴
嶺	l i ŋ ⁴ ⁵ ³
嶺	n i a ⁴ ⁵ ³
嶺底	n i a ⁴ ⁵ ³ ⁻ ¹ ¹ l e ⁴ ⁵ ³
嶺頂	n i a ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ŋ ⁴ ⁵ ³
嶺骹	n i a ⁴ ⁵ ³ ⁻ ¹ ¹ ɒ ⁵ ³ ³
嶼	ɬ y ¹ ¹
嶽	k a ʔ ⁴
巂	h e ¹ ³
巂	ɬ u i ⁴ ⁵ ³
巇	h i ⁴ ²
巍	k u i ¹ ³
巒	l u a ŋ ¹ ³
巔	t ɛ ŋ ⁵ ³ ³
川	t͡sʰ u e i ⁵ ³ ³
川	t͡sʰ œ ŋ ⁵ ³ ³
州	t͡s i u ⁵ ³ ³
州長	t͡s i u ⁵ ³ ³ ⁻ ¹ ¹ l y ɒ ŋ ⁴ ⁵ ³
巡	ɬ ɔ ŋ ¹ ³
巡更	ɬ ɔ ŋ ¹ ³ ⁻ ¹ ¹ ŋ a ⁵ ³ ³
巢	t͡s a u ¹ ³
工	k a ŋ ⁵ ³ ³
工	k ɒ ŋ ⁵ ³ ³
工商	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ɬ y ɒ ŋ ⁵ ³ ³
工尺	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ e ⁵ ³ ³
工農兵	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m i ŋ ⁵ ³ ³
工農兵	k ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ p i ŋ ⁵ ³ ³
工錢	k a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ŋ ¹ ³
左	t͡s ɒ ⁴ ⁵ ³
巧	kʰ a u ⁴ ⁵ ³
巧	kʰ i e u ⁴ ⁵ ³
巨	k y ¹ ¹
巫	p u ¹ ³
差	t͡sʰ a i ⁵ ³ ³
差	t͡sʰ a ⁵ ³ ³
差	t͡sʰ e ⁵ ³ ³
差	t͡sʰ o ⁵ ³ ³
差小可囝	t͡s a ⁵ ³ ³ ⁻ ⁵ ⁵ ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ kʰ ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
差小可囝	t͡sʰ a ⁵ ³ ³ ⁻ ⁵ ⁵ ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ kʰ ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
差少少	t͡sʰ a ⁵ ³ ³ ⁻ ⁵ ⁵ t͡s i e u ⁴ ⁵ ³ ⁻ ¹ ¹ t͡s i e u ⁴ ⁵ ³
差滴涓	t͡s a ⁵ ³ ³ ⁻ ⁵ ⁵ t ø ¹ ¹ œ ŋ ⁵ ³ ³
差滴涓	t͡sʰ a ⁵ ³ ³ ⁻ ⁵ ⁵ t ø ¹ ¹ œ ŋ ⁵ ³ ³
差滴涓囝	t͡s a ⁵ ³ ³ ⁻ ⁵ ⁵ t ø ¹ ¹ œ ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ ŋ y ɒ ⁴ ⁵ ³
差滴涓囝	t͡sʰ a ⁵ ³ ³ ⁻ ⁵ ⁵ t ø ¹ ¹ œ ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ ŋ y ɒ ⁴ ⁵ ³
差異	t͡sʰ a ⁵ ³ ³ ⁻ ¹ ³ i ¹ ¹
差遣	t͡sʰ e ⁵ ³ ³ ⁻ ¹ ¹ kʰ ɛ ŋ ⁴ ⁵ ³
差點囝	t͡sʰ a ⁵ ³ ³ ⁻ ⁵ ⁵ t ɛ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³
己	k i ⁴ ⁵ ³
巳	ɬ i ¹ ¹
巳	ɬ o ¹ ¹
巴勒斯坦	p a ⁵ ³ ³ ⁻ ¹ ³ l ɛ ʔ ⁴ ⁻ ² ¹ ɬ o ⁵ ³ ³ ⁻ ¹ ¹ tʰ a ŋ ⁴ ⁵ ³
巴士	p a ⁵ ³ ³ ⁻ ¹ ³ ɬ o ¹ ¹
巴拿馬運河	p a ⁵ ³ ³ ⁻ ¹ ¹ n a ¹ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³ ɔ ŋ ¹ ¹ ŋ ɒ ¹ ³
巴比倫	p a ⁵ ³ ³ ⁻ ¹ ¹ p i ⁴ ⁵ ³ ⁻ ¹ ³ l ɔ ŋ ¹ ³
巴豆	m a ⁵ ³ ³ ⁻ ¹ ³ l a u ¹ ¹
巷	h a ŋ ⁴ ²
巽	ɬ ɔ ŋ ⁴ ²
巾	k y ŋ ⁵ ³ ³
市	t͡sʰ i ¹ ¹
市	ɬ i ¹ ¹
市區	t͡sʰ i ¹ ¹ kʰ y ⁵ ³ ³
市民	t͡sʰ i ¹ ¹ m i ŋ ¹ ³
市長	t͡sʰ i ¹ ¹ l y ɒ ŋ ⁴ ⁵ ³
布	p ɔ u ⁴ ²
布店	p ɔ u ⁴ ² ⁻ ⁵ ⁵ l e ⁴ ²
布拖	p ɔ u ⁴ ² ⁻ ⁵ ⁵ tʰ u a ⁵ ³ ³
布機	p ɔ u ⁴ ² ⁻ ⁵ ⁵ k u i ⁵ ³ ³
布袋	p ɔ u ⁴ ² l ø ¹ ¹
布鞋	p ɔ u ⁴ ² e ¹ ³
布魚	p ɔ u ⁴ ² y ¹ ³
帆	pʰ a ŋ ¹ ³
希	h i ⁵ ³ ³
希望	h i ⁵ ³ ³ ⁻ ¹ ³ m ɒ ŋ ¹ ¹
帖	tʰ e ¹ ¹
帖	tʰ i ɛ ʔ ² ¹
帚	t͡s i u ⁴ ⁵ ³
帚	ɬ i u ⁴ ⁵ ³
帛	p ɛ ʔ ⁴
帝	t e ⁴ ²
帝位	t e ⁴ ² u i ¹ ¹
帝王	t e ⁴ ² ɒ ŋ ¹ ³
帡	p i ŋ ¹ ³
師	ɬ a i ⁵ ³ ³
師	ɬ o ⁵ ³ ³
師姑	ɬ a i ⁵ ³ ³ ⁻ ¹ ¹ ɔ u ⁵ ³ ³
