'day	d a j
asimilasyon	ʔ a s i m i l a s j o n
asin	ʔ a s i n
asinan	ʔ a s i n a n
asindero	ʔ a s i n d e ɾ o
asingko	ʔ a s i ŋ k o
asinta	ʔ a s i n t a
asintada	ʔ a s i n t a d a
asintado	ʔ a s i n t a d o
asitunas	ʔ a s i t u n a s
asiwa	ʔ a s i w a ʔ
asiyete	ʔ a s i e t e
askad	ʔ a s k a d
askal	ʔ a s k a l
askorbiko	ʔ a s k o ɾ b i k o
asnan	ʔ a s n a n
asngal	ʔ a s ŋ a l
asno	ʔ a s n o
aso	ʔ a s o
asod	ʔ a s o d
asog	ʔ a s o ɡ
asoge	ʔ a s o ɡ e
asol	ʔ a s o l
asosasyon	ʔ a s o s a s j o n
asosena	ʔ a s o s e n a
asotea	ʔ a s o t e a
aspalto	ʔ a s p a l t o
aspekto	ʔ a s p e k t o
aspeto	ʔ a s p e t o
aspile	ʔ a s p i l e
aspiler	ʔ a s p i l e ɾ
aspili	ʔ a s p i l i
aspin	ʔ a s p i n
aspirin	ʔ a s p i ɾ i n
aspirina	ʔ a s p i ɾ i n a
aspital	ʔ a s p i t a l
assumera	ʔ a s j u m e ɾ a
assumera	ʔ a s u m e ɾ a
assumero	ʔ a s j u m e ɾ o
assumero	ʔ a s u m e ɾ o
asta	ʔ a s t a
asta	ʔ a s t a ʔ
astaka	ʔ a s t a k a ʔ
astakona	ʔ a s t a k o n a ʔ
astakuna	ʔ a s t a k u n a ʔ
asteraro	ʔ a s t e ɾ a ɾ o
asteroyd	ʔ a s t e ɾ o j d
asteroyde	ʔ a s t e ɾ o j d e
astig	ʔ a s t i ɡ
astigmatismo	ʔ a s t i ɡ m a t i s m o
astinggal	ʔ a s t i ŋ ɡ a l
astirado	ʔ a s t i ɾ a d o
astiraro	ʔ a s t i ɾ a ɾ o
astrey	ʔ a s t ɾ e j
astrey	ʔ a ʃ t ɾ e j
astro	ʔ a s t ɾ o
astrologo	ʔ a s t ɾ o l o ɡ o
astrolohiya	ʔ a s t ɾ o l o h i a
astronawta	ʔ a s t ɾ o n a w t a
astronomiya	ʔ a s t ɾ o n o m i a
astronomya	ʔ a s t ɾ o n o m j a
astropisika	ʔ a s t ɾ o p i s i k a
asukal	ʔ a s u k a l
asukarera	ʔ a s u k a ɾ e ɾ a
asul	ʔ a s u l
asumera	ʔ a s u m e ɾ a
asumero	ʔ a s u m e ɾ o
asumpsiyon	ʔ a s u m p s i o n
asumpsyon	ʔ a s u m p s j o n
asungot	ʔ a s u ŋ o t
asunto	ʔ a s u n t o
asupre	ʔ a s u p ɾ e
asusena	ʔ a s u s e n a
aswang	ʔ a s w a ŋ
asyenda	ʔ a s j e n d a
asyete	ʔ a s j e t e
asyumera	ʔ a s j u m e ɾ a
asyumero	ʔ a s j u m e ɾ o
at	ʔ a t
ata	ʔ a t a
ata	ʔ a t a ʔ
atag	ʔ a t a ɡ
atake	ʔ a t a k e
atakihin	ʔ a t a k i h i n
atang	ʔ a t a ŋ
atangya	ʔ a t a ŋ j a
ataol	ʔ a t a ʔ o l
ataro	ʔ a t a ɾ o
atas	ʔ a t a s
atasan	ʔ a t a s a n
atat	ʔ a t a t
ataud	ʔ a t a ʔ u d
ataul	ʔ a t a ʔ u l
atay	ʔ a t a j
atayin	ʔ a t a j i n
ate	ʔ a t e
ate	ʔ a t e ʔ
ateismo	ʔ a t e i s m o
ateista	ʔ a t e i s t a
ateneo	ʔ a t e n e o
ateng	ʔ a t e ŋ
atensiyon	ʔ a t e n s i o n
atensyon	ʔ a t e n s j o n
ates	ʔ a t e s
atichona	ʔ a t i t s o n a
atichona	ʔ a t i t͡ʃ o n a
atig	ʔ a t i ɡ
atigin	ʔ a t i ɡ i n
atik	ʔ a t i k
atikha	ʔ a t i k h a ʔ
atim	ʔ a t i m
atin	ʔ a t e n
atin	ʔ a t i n
ating	ʔ a t i ŋ
atip	ʔ a t i p
atis	ʔ a t i s
atitud	ʔ a t i t u d
atityud	ʔ a t i t j u d
atleta	ʔ a t l e t a
atlo	ʔ a t l o
atomismo	ʔ a t o m i s m o
atomo	ʔ a t o m o
aton	ʔ a t o n
atorni	ʔ a t o ɾ n i
atraksiyon	ʔ a t ɾ a k s i o n
atraksyon	ʔ a t ɾ a k s j o n
atras	ʔ a t ɾ a s
atraso	ʔ a t ɾ a s o
atrebida	ʔ a t ɾ e b i d a
atrebido	ʔ a t ɾ e b i d o
atrenta	ʔ a t ɾ e n t a
atres	ʔ a t ɾ e s
atrese	ʔ a t ɾ e s e
atreynta	ʔ a t ɾ e j n t a
atribida	ʔ a t ɾ i b i d a
atribido	ʔ a t ɾ i b i d o
atribusyon	ʔ a t ɾ i b u s j o n
atsara	ʔ a t s a ɾ a
atsara	ʔ a t͡ʃ a ɾ a
atse	ʔ a t s e
atse	ʔ a t͡ʃ e
atsi	ʔ a t s i
atsi	ʔ a t͡ʃ i
atsikorya	ʔ a t s i k o ɾ j a
atsikorya	ʔ a t͡ʃ i k o ɾ j a
atsoy	ʔ a t s o j
atsoy	ʔ a t͡ʃ o j
atsuwete	ʔ a t s u e t e
atsuwete	ʔ a t͡ʃ u e t e
atswete	ʔ a t s w e t e
atswete	ʔ a t͡ʃ w e t e
atubili	ʔ a t u b i l i ʔ
atun	ʔ a t u n
atungal	ʔ a t u ŋ a l
atupag	ʔ a t u p a ɡ
audyens	ʔ a w d j e n s
audyo	ʔ a w d j o
auno	ʔ a ʔ u n o
autonomo	ʔ a w t o n o m o
avereyds	ʔ a b e ɾ e j d s
avereyds	ʔ a b e ɾ e j d͡ʒ
avereyds	ʔ a v e ɾ e j d s
avereyds	ʔ a v e ɾ e j d͡ʒ
avereyj	ʔ a b e ɾ e j d s
avereyj	ʔ a b e ɾ e j d͡ʒ
avereyj	ʔ a v e ɾ e j d͡ʒ
aw	ʔ a w
awa	ʔ a w a ʔ
awak	ʔ a w a k
awan	ʔ a w a n
awang	ʔ a w a ŋ
awanggan	ʔ a w a ŋ ɡ a n
awanhaydrohan	ʔ a w a n h a j d ɾ o h a n
awankulayin	ʔ a w a n k u l a j i n
awanling	ʔ a w a n l i ŋ
awansik	ʔ a w a n s i k
awansikin	ʔ a w a n s i k i n
awantakayin	ʔ a w a n t a k a j i n
awas	ʔ a w a s
awat	ʔ a w a t
away	ʔ a w a j
awayan	ʔ a w a j a n
awayin	ʔ a w a j i n
awditor	ʔ a w d i t o ɾ
awditor	ʔ o d i t o ɾ
awditoryo	ʔ a w d i t o ɾ j o
awditoryo	ʔ o d i t o ɾ j o
awdiyens	ʔ a w d i e n s
awdiyo	ʔ a w d i o
awdyens	ʔ a w d j e n s
awdyo	ʔ a w d j o
awit	ʔ a w i t
awitin	ʔ a w i t i n
awra	ʔ a w ɾ a
awting	ʔ a w t i ŋ
awtismo	ʔ a w t i s m o
awto	ʔ a w t o
awto	ʔ o t o
awtobus	ʔ a w t o b u s
awtobus	ʔ o t o b u s
awtograp	ʔ a w t o ɡ ɾ a p
awtograpo	ʔ a w t o ɡ ɾ a p o
awtokuwarentena	ʔ a w t o k u a ɾ e n t e n a
awtomatiko	ʔ a w t o m a t i k o
awtomatiko	ʔ o t o m a t i k o
awtomobil	ʔ a w t o m o b i l
awtomobil	ʔ o t o m o b i l
awtonomiya	ʔ a w t o n o m i a
awtonomo	ʔ a w t o n o m o
awtonomus	ʔ a w t o n o m u s
awtopsiya	ʔ a w t o p s i a
awtopsiya	ʔ o t o p s i a
awtor	ʔ a w t o ɾ
awtoridad	ʔ a w t o ɾ i d a d
awtoridad	ʔ o t o ɾ i d a d
awtorisado	ʔ a w t o ɾ i s a d o
awtorisado	ʔ o t o ɾ i s a d o
awtorisasyon	ʔ a w t o ɾ i s a s j o n
awtorisasyon	ʔ o t o ɾ i s a s j o n
awtoritarismo	ʔ a w t o ɾ i t a ɾ i s m o
awtoritaryanismo	ʔ a w t o ɾ i t a ɾ j a n i s m o
awtput	ʔ a w t p u t
awts	ʔ a w t s
awtsu	ʔ a w t͡s u
ay	ʔ a j
ay	ʔ e
aya	ʔ a j a
aya	ʔ a j a ʔ
ayam	ʔ a j a m
ayan	ʔ a j a n
ayangaw	ʔ a j a ŋ a w
ayaw	ʔ a j a w
ayayay	ʔ a j a j a j
aydentidad	ʔ a j d e n t i d a d
aydentipika	ʔ a j d e n t i p i k a
aydentipikasyon	ʔ a j d e n t i p i k a s j o n
ayibutod	ʔ a j i b u t o d
ayikid	ʔ a j i k i d
aykid	ʔ a j k i d
aykon	ʔ a j k o n
aylabyu	ʔ a j l a b j u
ayo	ʔ a j o
ayo	ʔ a j o ʔ
ayok	ʔ a j o k
ayoko	ʔ a j o k o
ayon	ʔ a j o n
ayop	ʔ a j o p
ayorta	ʔ a j o ɾ t a
ayos	ʔ a j o s
ayre	ʔ a j ɾ e
ayron	ʔ a j ɾ o n
ays	ʔ a j s
aysing	ʔ a j s i ŋ
ayskrim	ʔ a j s k ɾ i m
aysla	ʔ a j s l a
ayslado	ʔ a j s l a d o
ayslador	ʔ a j s l a d o ɾ
ayslahan	ʔ a j s l a h a n
ayslamyento	ʔ a j s l a m j e n t o
ayt	ʔ a j t
aytem	ʔ a j t e m
ayuda	ʔ a j u d a
ayunal	ʔ a j u n a l
ayungin	ʔ a j u ŋ i n
ayuno	ʔ a j u n o
ayusin	ʔ a j u s i n
ayuyang	ʔ a j u j a ŋ
aywan	ʔ a j w a n
aywan	ʔ e w a n
b	b
b	b a
b	b e
b	b i
ba	b a
ba	b a ʔ
ba't	b a t
baang	b a ʔ a ŋ
baat	b a ʔ a t
baba	b a b a
baba	b a b a ʔ
babaan	b a b a ʔ a n
bababa	b a b a b a ʔ
bababaihin	b a b a b a ʔ i h i n
babad	b a b a d
babae	b a b a ʔ e
babaero	b a b a ʔ e ɾ o
babag	b a b a ɡ
babagsak	b a b a ɡ s a k
babahin	b a b a h i n
babahing	b a b a h i ŋ
babaihin	b a b a ʔ i h i n
babakunahan	b a b a k u n a h a n
babala	b a b a l a ʔ
babalik	b a b a l i k
babalikin	b a b a l i k i n
babarya	b a b a ɾ j a
babasagin	b a b a s a ɡ i n
babasahin	b a b a s a h i n
babat	b a b a t
babatukan	b a b a t u k a n
babaw	b a b a w
babay	b a b a j
babayaran	b a b a j a ɾ a n
babaye	b a b a j e
babayi	b a b a j i
babaylan	b a b a j l a n
babaysot	b a b a j s o t
babero	b a b e ɾ o
baboy	b a b o j
babu	b a b u
babuyan	b a b u j a n
babuyin	b a b u j i n
bacas	b a k a s
baclad	b a k l a d
bacsilog	b a k s i l o ɡ
badaho	b a d a h o
badap	b a d a p
badha	b a d h a ʔ
badhala	b a d h a l a ʔ
badhi	b a d h i ʔ
badigard	b a d i ɡ a ɾ d
bading	b a d i ŋ
badminton	b a d m i n t o n
badoy	b a d o j
badtrip	b a d t ɾ i p
baduy	b a d u j
badya	b a d j a
badyet	b a d j e t
bag	b a ɡ
baga	b a ɡ a
baga	b a ɡ a ʔ
bagabag	b a ɡ a b a ɡ
bagabundo	b a ɡ a b u n d o
bagahe	b a ɡ a h e
bagal	b a ɡ a l
bagalan	b a ɡ a l a n
bagama't	b a ɡ a m a t
bagaman	b a ɡ a m a n
bagamat	b a ɡ a m a t
bagamundo	b a ɡ a m u n d o
bagang	b a ɡ a ŋ
bagansiya	b a ɡ a n s i a
bagaong	b a ɡ a ʔ o ŋ
bagaso	b a ɡ a s o
bagat	b a ɡ a t
bagay	b a ɡ a j
bagbag	b a ɡ b a ɡ
bagets	b a ɡ e t s
bagin	b a ɡ i n
baging	b a ɡ i ŋ
bagito	b a ɡ i t o
bagko	b a ɡ k o ʔ
bagkos	b a ɡ k o s
bagkus	b a ɡ k u s
bagnet	b a ɡ n e t
bago	b a ɡ o
bagok	b a ɡ o k
bagol	b a ɡ o l
bagon	b a ɡ o n
bagook	b a ɡ o ʔ o k
bagoong	b a ɡ o ʔ o ŋ
bagot	b a ɡ o t
bagsak	b a ɡ s a k
bagsakan	b a ɡ s a k a n
bagsik	b a ɡ s i k
bagtas	b a ɡ t a s
bagting	b a ɡ t i ŋ
baguhan	b a ɡ u h a n
bagunsakupin	b a ɡ u n s a k u p i n
baguntao	b a ɡ u n t a ʔ o
bagwis	b a ɡ w i s
bagyo	b a ɡ j o
bagyuhin	b a ɡ j u h i n
baha	b a h a
baha	b a h a ʔ
bahada	b a h a d a
bahag	b a h a ɡ
bahagan	b a h a ɡ a n
bahagdan	b a h a ɡ d a n
bahaghari	b a h a ɡ h a ɾ e ʔ
bahaghari	b a h a ɡ h a ɾ i ʔ
bahagi	b a h a ɡ i
bahagi	b a h a ɡ i ʔ
bahagimbilang	b a h a ɡ i m b i l a ŋ
bahagsubay	b a h a ɡ s u b a j
bahagya	b a h a ɡ j a ʔ
bahain	b a h a ʔ i n
bahala	b a h a l a ʔ
bahanda	b a h a n d a ʔ
bahaw	b a h a w
bahay	b a h a j
bahete	b a h e t e
bahi	b a h i ʔ
bahid	b a h i d
bahin	b a h i n
bahing	b a h i ŋ
bahista	b a h i s t a
bahite	b a h i t e
bahiya	b a h i a
baho	b a h o
baho	b a h o ʔ
bahon	b a h o n
bahura	b a h u ɾ a
baiki	b a ʔ i k i ʔ
baimbi	b a ʔ i m b i ʔ
baino	b a ʔ i n o
bainte	b a j n t e
baisan	b a ʔ i s a n
baisi	b a ʔ i s i ʔ
bait	b a ʔ e t
bait	b a ʔ i t
baitang	b a j t a ŋ
baitang	b a ʔ i t a ŋ
baiya	b a ʔ i a
baka	b a k a
baka	b a k a ʔ
bakahan	b a k a h a n
bakal	b a k a l
bakalaw	b a k a l a w
bakam	b a k a m
bakante	b a k a n t e
bakareta	b a k a ɾ e t a
bakas	b a k a s
bakasyon	b a k a s j o n
bakasyonista	b a k a s j o n i s t a
bakasyunan	b a k a s j u n a n
bakasyunista	b a k a s j u n i s t a
bakat	b a k a t
bakaw	b a k a w
bakawan	b a k a w a n
bakay	b a k a j
bakbak	b a k b a k
bakbakan	b a k b a k a n
bakero	b a k e ɾ o
baket	b a k e t
baki't	b a k i t
bakin	b a k i n
bakit	b a k e t
bakit	b a k i t
bakla	b a k l a
bakla	b a k l a ʔ
baklad	b a k l a d
baklain	b a k l a ʔ i n
baklaran	b a k l a ɾ a n
baklas	b a k l a s
bakle	b a k l e
bakle	b a k l e ʔ
bakli	b a k l e ʔ
bakli	b a k l i ʔ
baklita	b a k l i t a
baklush	b a k l u s
baklush	b a k l u ʃ
bako	b a k o ʔ
bakod	b a k o d
bakokang	b a k o k a ŋ
bakol	b a k o l
bakong	b a k o ŋ
bakood	b a k o ʔ o d
baksa	b a k s a
baksa	b a k s a ʔ
baksing	b a k s i ŋ
baktaw	b a k t a w
bakterya	b a k t e ɾ j a
bakto	b a k t o
bakulaw	b a k u l a w
bakulo	b a k u l o
bakulod	b a k u l o d
bakuna	b a k u n a
bakunado	b a k u n a d o
bakunahan	b a k u n a h a n
bakunawa	b a k u n a w a
bakuran	b a k u ɾ a n
bakuwod	b a k u o d
bakwet	b a k w e t
bakwit	b a k w i t
bakya	b a k j a ʔ
bala	b a l a
bala	b a l a ʔ
balaan	b a l a ʔ a n
balaas	b a l a ʔ a s
balabag	b a l a b a ɡ
balabal	b a l a b a l
balabiga	b a l a b i ɡ a ʔ
balada	b a l a d a
balae	b a l a ʔ e
balag	b a l a ɡ
balaga	b a l a ɡ a
balaga	b a l a ɡ a ʔ
balagat	b a l a ɡ a t
balagbag	b a l a ɡ b a ɡ
balagbagan	b a l a ɡ b a ɡ a n
balaghan	b a l a ɡ h a n
balaghin	b a l a ɡ h i n
balaglawas	b a l a ɡ l a w a s
balagtas	b a l a ɡ t a s
balagtasan	b a l a ɡ t a s a n
balahak	b a l a h a k
balahakan	b a l a h a k a n
balahasi	b a l a h a s i ʔ
balahaw	b a l a h a w
balahibo	b a l a h i b o
balaho	b a l a h o ʔ
balahura	b a l a h u ɾ a
balai	b a l a ʔ i
balaid	b a l a ʔ i d
balailo	b a l a ʔ i l o
balais	b a l a ʔ i s
balak	b a l a k
balakang	b a l a k a ŋ
balakat	b a l a k a t
balakbak	b a l a k b a k
balaki	b a l a k i ʔ
balakid	b a l a k i d
balakil	b a l a k i l
balakilan	b a l a k i l a n
balaklaot	b a l a k l a ʔ o t
balaksila	b a l a k s i l a ʔ
balakubak	b a l a k u b a k
balakubakin	b a l a k u b a k i n
balakyot	b a l a k j o t
balalayka	b a l a l a j k a
balam	b a l a m
balamban	b a l a m b a n
balana	b a l a n a
balana	b a l a n a ʔ
balanan	b a l a n a n
balandra	b a l a n d ɾ a
balang	b a l a ŋ
balanga	b a l a ŋ a ʔ
balangaw	b a l a ŋ a w
balangay	b a l a ŋ a j
balanggot	b a l a ŋ ɡ o t
balangkas	b a l a ŋ k a s
balangna	b a l a ŋ n a
balani	b a l a n i ʔ
balanoy	b a l a n o j
balansa	b a l a n s a
balansang	b a l a n s a ŋ
balanse	b a l a n s e
balansehin	b a l a n s e h i n
balante	b a l a n t e
balantugi	b a l a n t u ɡ i ʔ
balantukis	b a l a n t u k i s
balaon	b a l a ʔ o n
balaong	b a l a ʔ o ŋ
balaraw	b a l a ɾ a w
balarila	b a l a ɾ i l a ʔ
balas	b a l a s
balasa	b a l a s a
balasador	b a l a s a d o ɾ
balasahin	b a l a s a h i n
balasik	b a l a s i k
balasina	b a l a s i n a ʔ
balasto	b a l a s t o
balasubas	b a l a s u b a s
balat	b a l a t
balata	b a l a t a ʔ
balatan	b a l a t a n
balatengga	b a l a t e ŋ ɡ a
balatik	b a l a t i k
balatkayo	b a l a t k a j o
balatkayo	b a l a t k a j o ʔ
balato	b a l a t o
balatok	b a l a t o k
balatong	b a l a t o ŋ
balaw	b a l a w
balaye	b a l a j e
balayi	b a l a j i
balbakwa	b a l b a k w a
balbal	b a l b a l
balbas	b a l b a s
balbon	b a l b o n
balbula	b a l b u l a
balda	b a l d a
baldado	b a l d a d o
baldahin	b a l d a h i n
balde	b a l d e
baldosa	b a l d o s a
bale	b a l e
balena	b a l e n a ʔ
balentiya	b a l e n t i a
baler	b a l e ɾ
balete	b a l e t e
balewala	b a l e w a l a ʔ
balewalain	b a l e w a l a ʔ i n
baley	b a l e j
bali	b a l i
bali	b a l i ʔ
balian	b a l i ʔ a n
balibag	b a l i b a ɡ
balibago	b a l i b a ɡ o
balibat	b a l i b a t
balibilos	b a l i b i l o s
balibol	b a l i b o l
balibul	b a l i b u l
balibulan	b a l i b u l a n
balidasyon	b a l i d a s j o n
balido	b a l i d o
baligho	b a l i ɡ h o ʔ
baligtad	b a l i ɡ t a d
baligtarin	b a l i ɡ t a ɾ i n
baliin	b a l i ʔ i n
balik	b a l i k
balikan	b a l i k a n
balikat	b a l i k a t
balikatan	b a l i k a t a n
balikatin	b a l i k a t i n
balikbayan	b a l i k b a j a n
balikin	b a l i k i n
baliko	b a l i k o ʔ
baliksuwa	b a l i k s u a
balikswa	b a l i k s w a
baliktad	b a l i k t a d
balikutsa	b a l i k u t s a
balikutsa	b a l i k u t͡ʃ a
balikwas	b a l i k w a s
baliling	b a l i l i ŋ
balimbing	b a l i m b i ŋ
balina	b a l i n a ʔ
balindang	b a l i n d a ŋ
balindas	b a l i n d a s
baling	b a l i ŋ
balinghat	b a l i ŋ h a t
balinghoy	b a l i ŋ h o j
balingkinitan	b a l i ŋ k i n i t a n
balingot	b a l i ŋ o t
balinguyngoy	b a l i ŋ u j ŋ o j
balino	b a l i n o
balino	b a l i n o ʔ
balinsasayaw	b a l i n s a s a j a w
balintatao	b a l i n t a t a ʔ o
balintataw	b a l i n t a t a w
balintatawo	b a l i n t a t a w o
balintawak	b a l i n t a w a k
balintiyak	b a l i n t i a k
balintong	b a l i n t o ŋ
balintuna	b a l i n t u n a ʔ
balintunay	b a l i n t u n a j
balipik	b a l i p i k
balisa	b a l i s a
balisakang	b a l i s a k a ŋ
balisawsaw	b a l i s a w s a w
baliskad	b a l i s k a d
balisong	b a l i s o ŋ
balisungsong	b a l i s u ŋ s o ŋ
balisuplingan	b a l i s u p l i ŋ a n
balisuso	b a l i s u s o ʔ
balita	b a l i t a ʔ
balitaan	b a l i t a ʔ a n
balitado	b a l i t a d o
balitaktak	b a l i t a k t a k
balitaktakan	b a l i t a k t a k a n
balitang	b a l i t a ŋ
balitok	b a l i t o k
baliw	b a l i w
baliwag	b a l i w a ɡ
baliwala	b a l i w a l a ʔ
baliwas	b a l i w a s
baliwis	b a l i w i s
balkon	b a l k o n
balkonahe	b a l k o n a h e
balngawsipat	b a l ŋ a w s i p a t
balngawsipatan	b a l ŋ a w s i p a t a n
balngawsugasukat	b a l ŋ a w s u ɡ a s u k a t
balngawsugasukatan	b a l ŋ a w s u ɡ a s u k a t a n
balngawsukat	b a l ŋ a w s u k a t
balnian	b a l n i ʔ a n
balnibalngawsipatan	b a l n i b a l ŋ a w s i p a t a n
balnibulog	b a l n i b u l o ɡ
balnidagitab	b a l n i d a ɡ i t a b
balnikapnayan	b a l n i k a p n a j a n
balnisukat	b a l n i s u k a t
balo	b a l o
balo	b a l o ʔ
balol	b a l o l
balon	b a l o n
balor	b a l o ɾ
balot	b a l o t
balota	b a l o t a
balsa	b a l s a
balsahan	b a l s a h a n
balsamo	b a l s a m o
balse	b a l s e
balswals	b a l s w a l s
balubad	b a l u b a d
balubid	b a l u b i d
baluga	b a l u ɡ a
baluga	b a l u ɡ a ʔ
balukanag	b a l u k a n a ɡ
balukay	b a l u k a j
baluktot	b a l u k t o t
balumbalunan	b a l u m b a l u n a n
balungos	b a l u ŋ o s
balunin	b a l u n i n
balut	b a l u t
balutan	b a l u t a n
baluti	b a l u t i ʔ
balutin	b a l u t i n
balwarte	b a l w a ɾ t e
balyan	b a l j a n
balyena	b a l j e n a
bamban	b a m b a n
bambang	b a m b a ŋ
bambo	b a m b o
bami	b a m i
bami	b a m i ʔ
bamos	b a m o s
bampeyper	b a m p e j p e ɾ
bampira	b a m p i ɾ a
bamus	b a m u s
ban	b a n
bana	b a n a
bana	b a n a ʔ
banaag	b a n a ʔ a ɡ
banaba	b a n a b a
banagan	b a n a ɡ a n
banak	b a n a k
banal	b a n a l
banalin	b a n a l i n
banas	b a n a s
banat	b a n a t
banato	b a n a t o ʔ
banawan	b a n a w a n
banayad	b a n a j a d
banban	b a n b a n
banda	b a n d a
bandahali	b a n d a h a l i
bandahali	b a n d a h a l i ʔ
bandalismo	b a n d a l i s m o
banday	b a n d a j
bandeha	b a n d e h a
bandehado	b a n d e h a d o
bandera	b a n d e ɾ a
bandereta	b a n d e ɾ e t a
banderita	b a n d e ɾ i t a
banderitas	b a n d e ɾ i t a s
bandido	b a n d i d o
bandiklak	b a n d i k l a k
bandila	b a n d i l a ʔ
bandurya	b a n d u ɾ j a
bandyo	b a n d j o
bang	b a ŋ
banga	b a ŋ a ʔ
bangag	b a ŋ a ɡ
bangan	b a ŋ a n
bangas	b a ŋ a s
bangaw	b a ŋ a w
bangayan	b a ŋ a j a n
bangayngay	b a ŋ a j ŋ a j
bangcay	b a ŋ k a j
bangga	b a ŋ ɡ a ʔ
banggera	b a ŋ ɡ e ɾ a
banggerahan	b a ŋ ɡ e ɾ a h a n
banggirahan	b a ŋ ɡ i ɾ a h a n
banggit	b a ŋ ɡ i t
banggitin	b a ŋ ɡ i t i n
banghay	b a ŋ h a j
bangin	b a ŋ i n
bangingay	b a ŋ i ŋ a j
bangis	b a ŋ i s
bangka	b a ŋ k a ʔ
bangkal	b a ŋ k a l
bangkarota	b a ŋ k a ɾ o t a
bangkarote	b a ŋ k a ɾ o t e
bangkas	b a ŋ k a s
bangkay	b a ŋ k a j
bangkero	b a ŋ k e ɾ o
bangketa	b a ŋ k e t a
bangkete	b a ŋ k e t e
bangkilas	b a ŋ k i l a s
bangkiling	b a ŋ k i l i ŋ
bangking	b a ŋ k i ŋ
bangkito	b a ŋ k i t o
bangkiwi	b a ŋ k i w i ʔ
bangkiyaw	b a ŋ k i a w
bangko	b a ŋ k o
bangko	b a ŋ k o ʔ
bangkoro	b a ŋ k o ɾ o
bangkota	b a ŋ k o t a ʔ
bangkrap	b a ŋ k ɾ a p
bangkukang	b a ŋ k u k a ŋ
bangkuro	b a ŋ k u ɾ o
bangkuta	b a ŋ k u t a ʔ
bango	b a ŋ o
bangon	b a ŋ o n
bangsi	b a ŋ s i ʔ
bangsilog	b a ŋ s i l o ɡ
bangungot	b a ŋ u ŋ o t
bangus	b a ŋ u s
bangyi	b a ŋ j i ʔ
baniaga	b a n j a ɡ a ʔ
banidosa	b a n i d o s a
banidoso	b a n i d o s o
banig	b a n i ɡ
banil	b a n i l
banilad	b a n i l a d
baniti	b a n i t i
banlat	b a n l a t
banlaw	b a n l a w
banli	b a n l i ʔ
banlian	b a n l i ʔ a n
bano	b a n o
bano	b a n o ʔ
banoglawin	b a n o ɡ l a w i n
banos	b a n o s
banoy	b a n o j
bansa	b a n s a
bansa	b a n s a ʔ
bansag	b a n s a ɡ
bansalagin	b a n s a l a ɡ i n
bansi	b a n s i ʔ
bansiw	b a n s i w
bansot	b a n s o t
banta	b a n t a ʔ
bantas	b a n t a s
bantay	b a n t a j
bantayan	b a n t a j a n
bantayog	b a n t a j o ɡ
bantil	b a n t i l
bantilaw	b a n t i l a w
banting	b a n t i ŋ
bantiti	b a n t i t i ʔ
banto	b a n t o ʔ
bantod	b a n t o d
bantog	b a n t o ɡ
bantok	b a n t o k
bantot	b a n t o t
bantuan	b a n t u ʔ a n
bantulot	b a n t u l o t
banwa	b a n w a
banyaga	b a n j a ɡ a ʔ
banyas	b a n j a s
banyera	b a n j e ɾ a
banyo	b a n j o
banyos	b a n j o s
banyuhay	b a n j u h a j
banyumaria	b a n j u m a ɾ i a
bao	b a ʔ o
baog	b a ʔ o ɡ
baon	b a ʔ o n
bapa	b a p a
bapor	b a p o ɾ
bar	b a ɾ
bara	b a ɾ a
barado	b a ɾ a d o
baraha	b a ɾ a h a
baraka	b a ɾ a k a
barakilan	b a ɾ a k i l a n
barako	b a ɾ a k o
barangay	b a ɾ a ŋ ɡ a j
baranggay	b a ɾ a ŋ ɡ a j
baras	b a ɾ a s
baraso	b a ɾ a s o
barat	b a ɾ a t
barato	b a ɾ a t o
barayti	b a ɾ a j t i
barbel	b a ɾ b e l
barbero	b a ɾ b e ɾ o
barberya	b a ɾ b e ɾ j a
barbikyu	b a ɾ b i k j u
bardagol	b a ɾ d a ɡ o l
barek	b a ɾ e k
barena	b a ɾ e n a
barera	b a ɾ e ɾ a
bareta	b a ɾ e t a
bargas	b a ɾ ɡ a s
bargen	b a ɾ ɡ e n
bargeyn	b a ɾ ɡ e j n
barha	b a ɾ h a
barha	b a ɾ h a ʔ
baria	b a ɾ j a
barik	b a ɾ e k
barik	b a ɾ i k
barikada	b a ɾ i k a d a
barikod	b a ɾ i k o d
baril	b a ɾ i l
barilan	b a ɾ i l a n
bariles	b a ɾ i l e s
barilin	b a ɾ i l i n
baritono	b a ɾ i t o n o
bariya	b a ɾ i a
barkada	b a ɾ k a d a
barker	b a ɾ k e ɾ
barkilyos	b a ɾ k i l j o s
barko	b a ɾ k o
barnis	b a ɾ n i s
baro	b a ɾ o ʔ
barok	b a ɾ o k
barometro	b a ɾ o m e t ɾ o
baron	b a ɾ o n
barong	b a ɾ o ŋ
bartender	b a ɾ t e n d e ɾ
bartolina	b a ɾ t o l i n a
barumbada	b a ɾ u m b a d a
barumbado	b a ɾ u m b a d o
barumbarong	b a ɾ u m b a ɾ o ŋ
baruya	b a ɾ u j a ʔ
barya	b a ɾ j a
baryante	b a ɾ j a n t e
baryedad	b a ɾ j e d a d
baryo	b a ɾ j o
basa	b a s a
basa	b a s a ʔ
basaan	b a s a ʔ a n
basabasero	b a s a b a s e ɾ o
basag	b a s a ɡ
basagin	b a s a ɡ i n
