á	aː
ďasno	ɟ a s n ɔ
ďasnom	ɟ a s n ɔ m
ďasnu	ɟ a s n u
dať	d a c
databáza	d a t a b aː z a
ďateľ	ɟ a c e ʎ
Ďateľ	ɟ a c e ʎ
ďatelina	ɟ a c e ʎ i n a
Ďatelinka	ɟ a c e ʎ i n k a
ďatelinka	ɟ a c e ʎ i n k a
ďatelinový	ɟ a c e ʎ i n ɔ v iː
ďateľov	ɟ a c e ʎ ɔ v
datív	d a t iː v
Ďatko	ɟ a t k ɔ
datľa	d a t ʎ a
ďatľa	ɟ a t ʎ a
ďatlí	ɟ a t ʎ iː
ďatlík	ɟ a t ʎ iː k
ďatlíka	ɟ a t ʎ iː k a
ďatlíky	ɟ a t ʎ iː k i
ďatľov	ɟ a t ʎ ɔ v
datľový	d a t ʎ ɔ v iː
datovať	d a t ɔ v a c
dátum	d aː t u m
dav	d a v
dávať	d aː v a c
Dávid	d aː v i t
dávny	d aː v n i
Daxner	d a k s ɲ e r
dážď	d aː ʃ c
dažďa	d a ʒ ɟ a
dáždnik	d aː ʒ d ɲ i k
dážďovka	d aː ʒ ɟ ɔ u̯ k a
dážďovník	d aː ʒ ɟ ɔ v ɲ iː k
dažďový	d a ʒ ɟ ɔ v iː
dcér	t͡sː eː r
dcéra	t͡s eː r a
dcérach	t͡sː eː r a x
dcéram	t͡sː eː r a m
dcérami	t͡sː eː r a m i
dcére	t͡sː eː r e
dcérečka	t͡s ɛː r ɛ t͡ʃ k a
dcérenka	t͡sː eː r e n k a
dcérka	t͡sː eː r k a
dcérkach	t͡sː eː r k a x
dcérkam	t͡sː eː r k a m
dcérkami	t͡sː eː r k a m i
dcérke	t͡sː eː r k e
dcérkou	t͡sː eː r k ɔ v
dcérku	t͡sː eː r k u
dcérky	t͡sː eː r k i
dcérok	t͡sː eː r ɔ k
dcérou	t͡sː eː r ɔ v
dcérsky	t͡sː eː r s k i
dcéru	t͡sː eː r u
dcéruška	t͡sː eː r u ʃ k a
dcéry	t͡sː eː r i
deadjektívum	d e a d j e k t iː v u m
deaktivovať	d e a k t i v ɔ v a c
debna	ɟ e b n a
debnár	ɟ e b n aː r
Debnár	ɟ e b n aː r
debnársky	ɟ e b n aː r s k i
debnička	ɟ e b ɲ i t͡ʃ k a
Debrecín	ɟ ɛ b r ɛ t͡s iː n
debutovať	ɟ e b u t ɔ v a c
decák	ɟ e t͡s aː k
december	ɟ e t͡s e m b e r
decembrový	ɟ e t͡s e m b r ɔ v iː
decht	d e x t
decimálny	ɟ e t͡s i m aː l n i
dedičstvo	ɟ e ɟ i t͡ʃ s t v ɔ
dedikácia	d e d i k aː t͡s i a
dedikovať	ɟ e ɟ i k ɔ v a c
dedina	ɟ e ɟ i n a
Dedina	ɟ e ɟ i n a
dedinčan	ɟ e ɟ i n t͡ʃ a n
dedinčania	ɟ e ɟ i n t͡ʃ a ɲ ɪ̯ a
dedinčanka	ɟ e ɟ i n t͡ʃ a n k a
dedine	ɟ e ɟ i ɲ e
dedinka	ɟ e ɟ i n k a
dedinôčka	ɟ e ɟ i n u̯ ɔ t͡ʃ k a
dedinou	ɟ e ɟ i n ɔ v
dedinský	ɟ e ɟ i n s k iː
dedinu	ɟ e ɟ i n u
dediny	ɟ e ɟ i n i
dediť	ɟ e ɟ i c
dedko	ɟ e t k ɔ
dedo	ɟ e d ɔ
dedukovať	ɟ e d u k ɔ v a c
defekácia	d e f e k aː t͡s i a
defektívum	d e f e k t iː v u m
defenestrácia	d e f e n e s t r aː t͡s i a
defenestrovať	d e f e n e s t r ɔ v a c
defenzíva	d e f e n z iː v a
defenzívne	ɟ e f e n z iː v ɲ e
defenzívnosť	ɟ e f e n z iː v n ɔ s c
defenzívny	ɟ e f e n z iː v n i
defetistický	ɟ e f e c i s c i t͡s k iː
defetizmus	d e f e t i z m u s
defibrilácia	d e f i b r i l aː t͡s i a
defibrilátor	d e f i b r i l aː t ɔ r
defilovať	ɟ e f i l ɔ v a c
definícia	d e f i n iː t͡s i a
deflácia	d e v l aː t͡s i a
deista	d e i s t a
deistka	ɟ e i s t k a
deizmus	d ɛ i z m u s
dej	ɟ e j
Dej	ɟ e j
deja	ɟ e j a
deje	ɟ e j e
dejepis	ɟ e j e p i s
dejepisár	ɟ e j e p i s aː r
dejepisára	ɟ e j e p i s aː r a
dejepisári	ɟ e j e p i s aː r i
dejepisárka	ɟ e j e p i s aː r k a
dejepisármi	ɟ e j e p i s aː r m i
dejepisároch	ɟ e j e p i s aː r ɔ x
dejepisárom	ɟ e j e p i s aː r ɔ m
dejepisárov	ɟ e j e p i s aː r ɔ v
dejepisárovi	ɟ e j e p i s aː r ɔ v i
dejepise	ɟ e j e p i s e
dejepisec	ɟ e j e p i s e t͡s
dejepismi	ɟ e j e p i s m i
dejepisný	ɟ e j e p i s n iː
deji	ɟ e j i
dejiny	ɟ ɛ j i n i
dejmi	ɟ e j m i
dejoch	ɟ e j ɔ x
dejom	ɟ e j ɔ m
dejov	ɟ e j ɔ v
dejový	ɟ e j ɔ v iː
deju	ɟ e j u
dekadencia	d e k a d e n t͡s i a
dekadentný	ɟ e k a ɟ e n t n iː
Dekan	ɟ e k a n
dekapitácia	d e k a p i t aː t͡s i a
deklarácia	d e k l a r aː t͡s i a
deklarovať	ɟ e k l a r ɔ v a c
dekolonizácia	d e k ɔ l ɔ n i z aː t͡s i a
dekolonizovanie	d e k ɔ l ɔ n i z ɔ v a ɲ ɪ̯ e
dekolonizovať	ɟ e k ɔ l ɔ ɲ i z ɔ v a c
Dekýš	ɟ e k iː ʃ
Delaware	ɟ e l a v a r
delegácia	d e l e ɡ aː t͡s i a
delfín	d e l f iː n
delfinárium	d e l f i n aː r i u m
delí	ɟ e ʎ iː
delia	ɟ e ʎ ɪ̯ a
Delič	ɟ e ʎ i t͡ʃ
delil	ɟ e ʎ i l
delila	ɟ e ʎ i l a
deliť	ɟ e ʎ i c
demarkácia	d e m a r k aː t͡s i a
Demeš	ɟ e m e ʃ
Demeter	d e m e t e r
Demikát	d e m i k aː t
demilitarizácia	d e m i l i t a r i z aː t͡s i a
demilitarizovať	d e m i l i t a r i z ɔ v a c
deminutívum	ɟ e m i n u t iː v u m
Demjanič	ɟ e m j a ɲ i t͡ʃ
Demko	ɟ e m k ɔ
demografia	d e m ɔ ɡ r a f i a
demokracia	d e m ɔ k r a t͡s i a
demokratický	d e m ɔ k r a t i t͡s k iː
demokratizácia	d e m ɔ k r a t i z aː t͡s i a
demokratizovať	d e m ɔ k r a t i z ɔ v a c
demonštrácia	d e m ɔ n ʃ t r aː t͡s i a
Demovič	ɟ e m ɔ v i t͡ʃ
deň	ɟ e ɲ
dendrológia	d e n d r ɔ l ɔː ɡ i a
Déneš	d eː ɲ e ʃ
Denis	d ɛ n i s
Denisa	ɟ e ɲ i s a
denne	ɟ e n ɲ e
denník	ɟ e n ɲ iː k
denný	ɟ ɛ n n iː
denominácia	d e n ɔ m i n aː t͡s i a
denominatívum	d e n ɔ m i n a t iː v u m
Denver	ɟ e n v e r
depo	ɟ e p ɔ
deportovať	ɟ e p ɔ r t ɔ v a c
deprivácia	d e p r i v aː t͡s i a
deregulácia	d e r e ɡ u l aː t͡s i a
Dérer	d eː r e r
Dereš	ɟ e r e ʃ
derivatológia	d e r i v a t ɔ l ɔː ɡ i a
dermatológia	d e r m a t ɔ l ɔː ɡ i a
derviš	d e r v i ʃ
dervišský	ɟ e r v i ʃ s k iː
desať	ɟ e s a c
desaťboj	ɟ e s a ɟ b ɔ j
desaťsten	ɟ e s a t͡sː c e n
desaťtisíci	ɟ e s a cː i s iː t͡s i
desiata	ɟ e s ɪ̯ a t a
desiati	ɟ e s ɪ̯ a c i
desiatich	ɟ e s ɪ̯ a c i x
desiatim	ɟ e s ɪ̯ a c i m
desiatimi	ɟ e s ɪ̯ a c i m i
desiaty	ɟ e s ɪ̯ a t i
Deško	ɟ e ʃ k ɔ
dešpekt	d e ʃ p e k t
despotický	ɟ e s p ɔ c i t͡s k iː
despotizmu	d e s p ɔ t i z m u
despotizmus	d e s p ɔ t i z m u s
destabilizácia	d e s t a b i l i z aː t͡s i a
destabilizovanie	d e s t a b i l i z ɔ v a ɲ ɪ̯ e
destabilizovať	ɟ e s t a b i ʎ i z ɔ v a c
destilát	d e s t i l aː t
deštrukcia	d e ʃ t r u k t͡s i a
deštruktívnosť	ɟ e ʃ t r u k c iː v n ɔ s c
deštruktívny	ɟ e ʃ t r u k c iː v n i
detailný	d e t a j l̩ n iː
determinácia	d e t e r m i n aː t͡s i a
determinant	d e t e r m i n a n t
deti	ɟ e c i
detí	ɟ ɛ c iː
deťmi	ɟ e c m i
deťoch	ɟ e c ɔ x
detské	ɟ e t͡s k eː
detský	ɟ e t͡s k iː
detstvo	ɟ e t͡s t v ɔ
detto	d e tː ɔ
Detvai	ɟ e t v a i
Detvai	d e t v a j
deva	ɟ e v a
devastácia	d e v a s t aː t͡s i a
deväť	ɟ e v æ c
deväťdesiat	ɟ e v æ ɟː e s ɪ̯ a t
deväťdesiaty	ɟ e v æ ɟː e s ɪ̯ a t i
devätnásť	ɟ e v æ t n aː s c
devätnásti	ɟ e v æ t n aː s c i
devätnástich	ɟ e v æ t n aː s c i x
devätnástim	ɟ e v æ t n aː s c i m
devätnástimi	ɟ e v æ t n aː s c i m i
devätnásty	ɟ e v æ t n aː s t i
deväťsil	ɟ e v æ t͡sː i l
deväťsto	ɟ e v æ t͡sː t ɔ
deväťstý	ɟ e v æ t͡sː t iː
deverbatívum	d e v e r b a t iː v u m
deviati	ɟ e v ɪ̯ a c i
deviatich	ɟ e v ɪ̯ a c i x
deviatim	ɟ e v ɪ̯ a c i m
deviatimi	ɟ e v ɪ̯ a c i m i
deviaty	ɟ e v ɪ̯ a t i
deviel	ɟ e v ɪ̯ e l
devínskonovoveský	ɟ e v iː n s k ɔ n ɔ v ɔ v e s k iː
Devínskonovovešťan	ɟ e v iː n s k ɔ n ɔ v ɔ v e ʃ c a n
Devínskonovovešťanka	ɟ e v iː n s k ɔ n ɔ v ɔ v e ʃ c a n k a
devla	ɟ e v l a
devly	ɟ e v l i
dezertér	d e z e r t eː r
dezertérsky	d e z e r t eː r s k i
Dezider	d e z i d e r
Dežo	d ɛ ʒ ɔ
Dháka	d ɦ aː k a
diabetický	d i a b e t i t͡s k iː
diabol	ɟ ɪ̯ a b ɔ l
diagnostický	d i a ɡ n ɔ s t i t͡s k iː
diagonálne	d i a ɡ ɔ n aː l ɲ e
diagonálny	d i a ɡ ɔ n aː l n i
diakon	d i a k ɔ n
diakonka	d i a k ɔ n k a
dialektický	d i a l e k t i t͡s k iː
dialektizmus	d i a l e k t i z m u s
dialektizmy	d i a l e k t i z m i
dialektológia	d i a l e k t ɔ l ɔː ɡ i a
diaľka	ɟ ɪ̯ a ʎ k a
diaľkový	ɟ ɪ̯ a ʎ k ɔ v iː
diaľnica	ɟ ɪ̯ a ʎ ɲ i t͡s a
diamant	d i a m a n t
Diana	d i a n a
Dibák	ɟ i b aː k
dichotómia	d i x ɔ t ɔː m i a
didaktický	ɟ i d a k c i t͡s k iː
Didek	d i d e k
Dido	d i d ɔ
diel	ɟ ɪ̯ e l
dielektrický	d i e l e k t r i t͡s k iː
dielo	ɟ i̯ ɛ ɫ ɔ
diera	ɟ ɪ̯ e r a
dieťa	ɟ ɪ̯ e c a
diéta	d i eː t a
dieťaťa	ɟ ɪ̯ e c a c a
dieťati	ɟ ɪ̯ e c a c i
dieťaťom	ɟ ɪ̯ e c a c ɔ m
dieťaťu	ɟ ɪ̯ e c a c u
dietovať	d i e t ɔ v a c
dievča	ɟ ɪ̯ e v t͡ʃ a
dievčat	ɟ ɪ̯ e v t͡ʃ a t
dievčatá	ɟ ɪ̯ e v t͡ʃ a t aː
dievčaťa	ɟ ɪ̯ e v t͡ʃ a c a
dievčati	ɟ ɪ̯ e v t͡ʃ a c i
dievčaťom	ɟ ɪ̯ e v t͡ʃ a c ɔ m
dievčaťu	ɟ ɪ̯ e v t͡ʃ a c u
dievčencami	ɟ ɪ̯ e v t͡ʃ e n t͡s a m i
dievčence	ɟ ɪ̯ e v t͡ʃ e n t͡s e
dievčencoch	ɟ ɪ̯ e v t͡ʃ e n t͡s ɔ x
dievčencom	ɟ ɪ̯ e v t͡ʃ e n t͡s ɔ m
dievčeniec	ɟ ɪ̯ e v t͡ʃ e ɲ ɪ̯ e t͡s
dievčenský	ɟ ɪ̯ e v t͡ʃ e n s k iː
dievčinka	ɟ i̯ ɛ u̯ t͡ʃ i ŋ k a
dievka	ɟ ɪ̯ e v k a
dieža	ɟ ɪ̯ e ʒ a
diežka	ɟ ɪ̯ e ʃ k a
digitalizácia	d i ɡ i t a l i z aː t͡s i a
Digoň	ɟ i ɡ ɔ ɲ
Dikoš	ɟ i k ɔ ʃ
diktafón	d i k t a f ɔː n
diktafónu	ɟ i k t a f ɔː n u
diktát	d i k t aː t
diktátorský	ɟ i k t aː t ɔ r s k iː
dilino	ɟ i ʎ i n ɔ
dingo	d i n ɡ ɔ
dingovia	d i n ɡ ɔ v ɪ̯ a
dinosaurus	d i n ɔ s a u r u s
Dionýz	d i o n iː s
diplomacia	d i p l ɔ m a t͡s i a
diplomatický	ɟ i p l ɔ m a c i t͡s k iː
Dirgas	ɟ i r ɡ a s
diskár	d i s k aː r
diskárka	ɟ i s k aː r k a
diskografia	d i s k ɔ ɡ r a f i a
diskreditovanie	d i s k r e d i t ɔ v a ɲ ɪ̯ e
diskreditovať	ɟ i s k r e ɟ i t ɔ v a c
diskriminácia	d i s k r i m i n aː t͡s i a
diskvalifikácia	d i s k v a l i f i k aː t͡s i a
diskvalifikovanie	d i s k v a l i f i k ɔ v a ɲ ɪ̯ e
diskvalifikovať	ɟ i s k v a ʎ i f i k ɔ v a c
dislokácia	d i z l ɔ k aː t͡s i a
disneyovka	d i z n i ɔ v k a
disonancia	d i z ɔ n a n t͡s i a
Dita	d i t a
diva	d i v a
divácky	ɟ i v aː t͡s k i
divadlo	ɟ i v a d l ɔ
divák	ɟ i v aː k
divergencia	d i v e r ɡ e n t͡s i a
diverzita	d i v e r z i t a
Diviackonovovešťan	ɟ i v ɪ̯ a t͡s k ɔ n ɔ v ɔ v e ʃ c a n
Diviackonovovešťanka	ɟ i v ɪ̯ a t͡s k ɔ n ɔ v ɔ v e ʃ c a n k a
diviak	ɟ i v ɪ̯ a k
Diviš	ɟ i v i ʃ
divizionizmus	d i v i z i ɔ n i z m u s
divnejší	ɟ i v ɲ e j ʃ iː
divný	ɟ i v n iː
divo	ɟ i v ɔ
divokí	ɟ i v ɔ k iː
divoký	ɟ i v ɔ k iː
divozel	ɟ i v ɔ z e l
divý	ɟ i v iː
dlaha	d l a ɦ a
dlaň	d l a ɲ
dlaňami	d l a ɲ a m i
dlane	d l a ɲ e
dlani	d l a ɲ i
dlaní	d l a ɲ iː
dlaniach	d l a ɲ ɪ̯ a x
dlaniam	d l a ɲ ɪ̯ a m
dlaňou	d l a ɲ ɔ v
dlátko	d l aː t k ɔ
dláto	d l aː t ɔ
dlátový	d l aː t ɔ v iː
dlážka	d l aː ʃ k a
dlh	d l̩ x
Dlhá	d l̩ ɦ aː
dlhoročný	d l̩ ɦ ɔ r ɔ t͡ʃ n iː
dlhový	d l̩ ɦ ɔ v iː
dlhý	d l̩ ɦ iː
Dlhý	d l̩ ɦ iː
dĺžeň	d l̩ː ʒ e ɲ
dĺžka	d l̩ː ʃ k a
dĺžňa	d l̩ː ʒ ɲ a
dĺžňami	d l̩ː ʒ ɲ a m i
dĺžne	d l̩ː ʒ ɲ e
dĺžni	d l̩ː ʒ ɲ i
dĺžňoch	d l̩ː ʒ ɲ ɔ x
dĺžňom	d l̩ː ʒ ɲ ɔ m
dĺžňov	d l̩ː ʒ ɲ ɔ v
dĺžňu	d l̩ː ʒ ɲ u
dlžôb	d l̩ ʒ u̯ ɔ p
dlžoba	d l̩ ʒ ɔ b a
dlžobou	d l̩ ʒ ɔ b ɔ v
dlžobu	d l̩ ʒ ɔ b u
dlžoby	d l̩ ʒ ɔ b i
dlžtek	d l̩ ʃ c e k
dna	d n a
dňa	d ɲ a
dňami	d ɲ a m i
dne	d ɲ ɛ
dnes	d ɲ ɛ s
dnešný	d ɲ e ʃ n iː
dni	d ɲ i
dní	d ɲ iː
dňoch	d ɲ ɔ x
dnový	d n ɔ v iː
dnu	d n u
do	d ɔ
Dobák	d ɔ b aː k
dobaliť	d ɔ b a ʎ i c
Dobeš	d ɔ b e ʃ
dobiela	d ɔ b ɪ̯ e l a
dobíjať	d ɔ b iː j a c
dobiť	d ɔ b i c
dobrá	d ɔ b r aː
dobre	d ɔ b r ɛ
dobré	d ɔ b r eː
dobrého	d ɔ b r eː ɦ ɔ
dobrej	d ɔ b r e j
dobrému	d ɔ b r eː m u
dobrí	d ɔ b r iː
Dobrík	d ɔ b r iː k
dobro	d o b r o
dobročinný	d ɔ b r ɔ t͡ʃ i nː iː
dobrom	d ɔ b r ɔ m
Dobromil	d ɔ b r ɔ m i l
Dobromila	d ɔ b r ɔ m i l a
Dobroslav	d ɔ b r ɔ s l a v
Dobroslava	d ɔ b r ɔ s l a v a
Dobrotka	d ɔ b r ɔ t k a
dobrou	d ɔ b r ɔ v
dobrovoľne	d ɔ b r ɔ v ɔ ʎ ɲ e
dobrovoľníčka	d ɔ b r ɔ v ɔ ʎ ɲ iː t͡ʃ k a
dobrovoľník	d ɔ b r ɔ v ɔ ʎ ɲ iː k
dobrovoľný	d ɔ b r ɔ v ɔ ʎ n iː
dobrú	d ɔ b r uː
Dobruša	d ɔ b r u ʃ a
dobrý	d ɔ b r iː
dobrých	d ɔ b r iː x
dobrým	d ɔ b r iː m
dobrými	d ɔ b r iː m i
Dobšinský	d ɔ p ʃ i n s k iː
dobývať	d ɔ b iː v a c
dočiniť	d ɔ t͡ʃ i ɲ i c
dočítať	d ɔ t͡ʃ iː t a c
dočítavať	d ɔ t͡ʃ iː t a v a c
dočitovať	d ɔ t͡ʃ i t ɔ v a c
Dočolomanský	d ɔ t͡ʃ ɔ l ɔ m a n s k iː
Doda	d ɔ d a
dodatočný	d ɔ d a t ɔ t͡ʃ n iː
Dodek	d ɔ ɟ e k
dofrasa	d ɔ v r a s a
dogmaticky	d ɔ ɡ m a c i t͡s k i
dogmatický	d ɔ ɡ m a c i t͡s k iː
dogmatizmus	d ɔ ɡ m a t i z m u s
dohodnutá	d ɔ ɦ ɔ d n u t aː
dohodnuté	d ɔ ɦ ɔ d n u t eː
dohodnutého	d ɔ ɦ ɔ d n u t eː ɦ ɔ
dohodnutému	d ɔ ɦ ɔ d n u t eː m u
dohodnutí	d ɔ ɦ ɔ d n u c iː
dohodnutou	d ɔ ɦ ɔ d n u t ɔ v
dohodnutý	d ɔ ɦ ɔ d n u t iː
dohodnutých	d ɔ ɦ ɔ d n u t iː x
dohodnutým	d ɔ ɦ ɔ d n u t iː m
dohodnutými	d ɔ ɦ ɔ d n u t iː m i
dojča	d ɔ j t͡ʃ a
Dojčan	d ɔ j t͡ʃ a n
dojčenský	d ɔ j t͡ʃ e n s k iː
dojčiť	d ɔ j t͡ʃ i c
dôjde	d u̯ ɔ j ɟ e
dôjdem	d u̯ ɔ j ɟ e m
dojem	d ɔ j e m
dojemný	d ɔ j e m n iː
dojka	d ɔ j k a
dojnica	d ɔ j ɲ i t͡s a
dojnice	d ɔ j ɲ i t͡s e
dôjsť	d u̯ ɔ j s c
dokázať	d ɔ k aː z a c
doklad	d ɔ k l a t
dôkladnejší	d u̯ ɔ k l a d ɲ e j ʃ iː
dôkladný	d u̯ ɔ k l a d n iː
dokonalý	d ɔ k ɔ n a l iː
dokráčať	d ɔ k r aː t͡ʃ a c
doktor	d ɔ k t ɔ r
doktora	d ɔ k t ɔ r a
doktormi	d ɔ k t ɔ r m i
doktoroch	d ɔ k t ɔ r ɔ x
doktorom	d ɔ k t ɔ r ɔ m
doktorov	d ɔ k t ɔ r ɔ u̯
doktorovi	d ɔ k t ɔ r ɔ v i
dokument	d ɔ k u m e n t
dokumentácia	d ɔ k u m e n t aː t͡s i a
dokumentovať	d ɔ k u m e n t ɔ v a c
dokumentu	d ɔ k u m e n t u
Dolák	d ɔ l aː k
Doležaj	d ɔ ʎ e ʒ a j
Doležal	d ɔ ʎ e ʒ a l
dôležitý	d u̯ ɔ ʎ e ʒ i t iː
dolinôčka	d ɔ ʎ i n u̯ ɔ t͡ʃ k a
Dolník	d ɔ l ɲ iː k
dolnosaský	d ɔ l n ɔ s a s k iː
dolu	d ɔ l u
dom	d ɔ m
doma	d ɔ m a
domáca	d ɔ m aː t͡s a
domáce	d ɔ m aː t͡s e
domáceho	d ɔ m aː t͡s e ɦ ɔ
domáci	d ɔ m aː t͡s i
domácimi	d ɔ m aː t͡s i m i
domácnosť	d ɔ m aː t͡s n ɔ s c
domami	d ɔ m a m i
domased	d ɔ m a s e t
domaseda	d ɔ m a s e d a
domček	d ɔ m t͡ʃ e k
dome	d ɔ m e
domestikácia	d ɔ m e s t i k aː t͡s i a
domestikovať	d ɔ m e s c i k ɔ v a c
Dominik	d ɔ m i ɲ i k
Dominika	d ɔ m i n i k a
Dominikánec	d ɔ m i ɲ i k aː ɲ e t͡s
Dominikánka	d ɔ m i n i k aː n k a
dominikánsky	d ɔ m i n i k aː n s k i
dominoval	d ɔ m i n ɔ v a l
dominovala	d ɔ m i n ɔ v a l a
dominovať	d ɔ m i n ɔ v a c
dominuje	d ɔ m i n u j e
dominujú	d ɔ m i n u j uː
domnienka	d ɔ m ɲ ɪ̯ e n k a
domnievať	d ɔ m ɲ ɪ̯ e v a c
domoch	d ɔ m ɔ x
domom	d ɔ m ɔ m
Domorák	d ɔ m ɔ r aː k
domorodec	d ɔ m ɔ r ɔ ɟ e t͡s
domorodkyňa	d ɔ m ɔ r ɔ t k i ɲ a
domov	d ɔ m ɔ v
domovina	d ɔ m ɔ v i n a
domu	d ɔ m u
domy	d ɔ m i
donatizmu	d ɔ n a t i z m u
donatizmus	d ɔ n a t i z m u s
Dongo	d ɔ n ɡ ɔ
donucovať	d ɔ n u t͡s ɔ v a c
dopamín	d ɔ p a m iː n
doparoma	d ɔ p a r ɔ m a
dopravník	d ɔ p r a v ɲ iː k
dopyt	d ɔ p i t
dorábať	d ɔ r aː b a c
Ďorko	ɟ ɔ r k ɔ
dorobiť	d ɔ r ɔ b i c
Dorociak	d ɔ r ɔ t͡s ɪ̯ a k
Dorota	d ɔ r ɔ t a
Doša	d ɔ ʃ a
dosiaľ	d ɔ s ɪ̯ a ʎ
došiel	d ɔ ʃ ɪ̯ e l
doska	d ɔ s k a
došla	d ɔ ʃ l a
dôslednejší	d u̯ ɔ s ʎ e d ɲ e j ʃ iː
dôsledný	d u̯ ɔ s ʎ e d n iː
doslova	d ɔ s l ɔ v a
doslovný	d ɔ s l ɔ v n iː
dospelosť	d ɔ s p e l ɔ s c
dospelý	d ɔ s p e l iː
dospieť	d ɔ s p ɪ̯ e c
dosť	d ɔ s c
Dostál	d ɔ s t aː l
dostať	d ɔ s t a c
dostáť	d ɔ s t aː c
dostatok	d ɔ s t a t ɔ k
dostavať	d ɔ s t a v a c
dostávať	d ɔ s t aː v a c
dostavba	d ɔ s t a v b a
dostaviť	d ɔ s t a v i c
dostavník	d ɔ s t a v ɲ iː k
dostavovať	d ɔ s t a v ɔ v a c
dôstojnejší	d u̯ ɔ s t ɔ j ɲ e j ʃ iː
dôstojnejšia	d u̯ ɔ s t ɔ j ɲ e j ʃ ɪ̯ a
dôstojnejšie	d u̯ ɔ s t ɔ j ɲ e j ʃ ɪ̯ e
dôstojníčka	d u̯ ɔ s t ɔ j ɲ iː t͡ʃ k a
dôstojník	d u̯ ɔ s t ɔ j ɲ iː k
dôstojnosť	d u̯ ɔ s t ɔ j n ɔ s c
dôstojný	d u̯ ɔ s t ɔ j n iː
dostredivý	d ɔ s t r e ɟ i v iː
dostupnosť	d ɔ s t u p n ɔ s c
doterajší	d ɔ t e r a j ʃ iː
doteraz	d ɔ t e r a s
dotvárať	d ɔ t v aː r a c
dotvoriť	d ɔ t v ɔ r i c
Dovec	d ɔ v e t͡s
dovedna	d ɔ v e d n a
dôverovať	d u̯ ɔ v e r ɔ v a c
dovi	d ɔ v i
Dovičovič	d ɔ v i t͡ʃ ɔ v i t͡ʃ
dovidenia	d ɔ v i ɟ e ɲ ɪ̯ a
dovolenka	d ɔ v ɔ ʎ e n k a
dôvtip	d u̯ ɔ v c i p
dozimeter	d ɔ z i m e c e r
Dráb	d r aː p
dračiek	d r a t͡ʃ ɪ̯ e k
dráčik	d r aː t͡ʃ i k
dračka	d r a t͡ʃ k a
Dráfi	d r aː f i
Dragon	d r a ɡ ɔ n
Dragula	d r a ɡ u l a
Draguň	d r a ɡ u ɲ
Dragún	d r a ɡ uː n
Dragúň	d r a ɡ uː ɲ
Dráh	d r aː x
Draha	d r a ɦ a
dráha	d r aː ɦ a
Drahami	d r a ɦ a m i
Drahe	d r a ɦ e
drahí	d r a ɦ iː
Draho	d r a ɦ ɔ
drahokam	d r a ɦ ɔ k a m
Drahomír	d r a ɦ ɔ m iː r
Drahomíra	d r a ɦ ɔ m iː r a
Drahoš	d r a ɦ ɔ ʃ
Drahoslav	d r a ɦ ɔ s ɫ a u̯
Drahoslava	d r a ɦ ɔ s l a v a
Drahou	d r a ɦ ɔ v
Drahovský	d r a ɦ ɔ v s k iː
Drahu	d r a ɦ u
drahú	d r a ɦ uː
Drahuša	d r a ɦ u ʃ a
Drahy	d r a ɦ i
drahý	d r a ɦ iː
drak	d r a k
Drak	d r a k
drakonický	d r a k ɔ ɲ i t͡s k iː
dramaticky	d r a m a c i t͡s k i
dramatický	d r a m a c i t͡s k iː
dramatizácia	d r a m a t i z aː t͡s i a
dramatizovať	d r a m a c i z ɔ v a c
draslík	d r a s ʎ iː k
drasticky	d r a s c i t͡s k i
drastický	d r a s c i t͡s k iː
dratva	d r a t v a
dratvový	d r a t v ɔ v iː
Dravecký	d r a v e t͡s k iː
Drážďany	d r aː ʒ ɟ a n i
dráždec	d r aː ʒ ɟ e t͡s
dražoba	d r a ʒ ɔ b a
Drbohlav	d r̩ b ɔ ɦ l a v
Drbul	d r̩ b u l
Drbúl	d r̩ b uː l
drc	d r̩ t͡s
dreň	d r e ɲ
dreva	d r e v a
drevá	d r e v aː
drevách	d r e v aː x
drevám	d r e v aː m
drevami	d r e v a m i
dreve	d r e v e
drevo	d r ɛ v ɔ
drevom	d r e v ɔ m
drevorubač	d r e v ɔ r u b a t͡ʃ
drevu	d r e v u
drez	d r e s
drezúr	d r e z uː r
drezúra	d r e z uː r a
drezúrny	d r e z uː r n i
drezúry	d r e z uː r i
driapať	d r ɪ̯ a p a c
Driečny	d r ɪ̯ e t͡ʃ n i
driemať	d r ɪ̯ e m a c
drieme	d r ɪ̯ e m e
driemem	d r ɪ̯ e m e m
driemu	d r ɪ̯ e m u
drieň	d r ɪ̯ e ɲ
Drienovskonovovešťan	d r ɪ̯ e n ɔ v s k ɔ n ɔ v ɔ v e ʃ c a n
Drienovskonovovešťanka	d r ɪ̯ e n ɔ v s k ɔ n ɔ v ɔ v e ʃ c a n k a
drieť	d r ɪ̯ e c
driev	d r i̯ e u̯
drina	d r i n a
drine	d r i ɲ e
drinou	d r i n ɔ v
drinu	d r i n u
driny	d r i n i
Drlička	d r̩ ʎ i t͡ʃ k a
drobec	d r ɔ b e t͡s
Drobec	d r ɔ b e t͡s
drobnohľad	d r ɔ b n ɔ ɦ ʎ a t
drogéria	d r ɔ ɡ eː r i a
drôt	d r u̯ ɔ t
Drotár	d r ɔ t aː r
drozd	d r ɔ s t
drozdí	d r ɔ z ɟ iː
droždie	d r ɔ ʒ ɟ ɪ̯ e
