Амыщ	aː m ə ɕ
пшэхъоф	p ʃ a χʷ a f
пшӏанэ	p ʃʼ aː n a
пшӏы	p ʂ ə
пшӏы	p ʃʼ ə
пщагъу	p ɕ aː ʁʷ
пщтын	p ɕ t ə n
пщы	p ɕ ə
пщыгъупшын	p ɕ ə ʁʷ ə p ʃ ə n
пщыкъу	p ɕ ə qʷ ə
пщыкӏэ	p ɕ ə t͡ʃʼ a
пщылӏы	p ɕ ə ɬʼ
пщылӏыгъо	p ɕ ə ɬʼ ə ʁʷ a
пщылӏын	p ɕ ə ɬʼ ə n
пщын	p ɕ ə n
пщынао	p ɕ ə n aː w a
пщыныжьын	p ɕ ə n ə ʑ ə n
пщынэ	p ɕ ə n a
пщынэжь	p ɕ ə n a ʑ
пщынэн	p ɕ ə n a n
пщынэныгъ	p ɕ ə n a n ə ʁ
пщыпащ	p ɕ ə p aː ɕ
пщэ	p ɕ a
пщэры	p ɕ a r ə
пщэрыхь	p ɕ a r ə ħ
пщэрыхьакӏо	p ɕ a r ə ħ aː kʷʼ a
пщэрыхьан	p ɕ a r ə ħ aː n
пщэрыхьапӏэ	p ɕ a r ə ħ aː pʼ a
пыгъэтэкъун	p ə ʁ a t a qʷ ə n
пыгъэун	p ə ʁ a w ə n
пыгъэхьан	p ə ʁ a ħ aː n
пыдж	p ə d͡ʒ
пыджэн	p ə d͡ʒ a n
пыдзэгъ	p ə d͡z ʁ
пыдэн	p ə d a n
пыжъ	p ə ʐ
пыжъы	p ə ʐ ə
пызы	p ə z ə
пызын	p ə z ə n
пый	p ə j
пыкьын	p ə kʲ ə n
пыкӏын	p ə kʲʼ ə n
пыкӏын	p ə t͡ʃʼ ə n
пыкӏьын	p ə kʲʼ ə n
пыкӏэрэплъын	p ə t͡ʃʼ a r a p ɬ ə n
пыл	p ə l
пылъалъэ	p ə ɬ aː ɬ a
пылъапӏ	p ə ɬ aː pʼ
пылъапӏэ	p ə ɬ aː pʼ a
пылъын	p ə ɬ ə n
пылъэн	p ə ɬ a n
пылэлын	p ə ɮ a ɮ ə n
пылӏыкӏын	p ə ɬʼ ə t͡ʃʼ ə n
пындж	p ə n d͡ʒ
пынэн	p ə n a n
пыпсыкӏын	p ə p s ə t͡ʃʼ ə n
пыскӏьэн	p ə s kʲ a n
пыскӏэн	p ə s t͡ʃ a n
пысын	p ə s ə n
пысӏэн	p ə sʼ a n
пытхъын	p ə t χ ə n
пытын	p ə t ə n
пытэ	p ə t a
пытэкъун	p ə t a qʷ ə n
пытӏэрын	p ə tʼ a r ə n
пыукӏын	p ə w t͡ʃʼ ə n
пыун	p ə w ə n
пыупкӏын	p ə w p t͡ʃʼ ə n
пыут	p ə w ə t
пыуты	p ə w t ə
пыхын	p ə x ə n
пыхьан	p ə ħ aː n
пыцӏэн	p ə t sʼ a n
пычын	p ə t͡ʃ ə n
пышхэхьан	p ə ʃ x a ħ aː n
пэ	p a
пэбжъакъо	p a b ʐ aː qʷ a
пэбзыджын	p a b z ə d͡ʒ ə n
пэгъодз	p a ʁʷ a d͡z
пэгъокӏын	p a ʁʷ a t͡ʃ ə n
пэгъокӏьын	p a ʁʷ a kʲ ə n
пэгъон	p a ʁʷ aː n a
пэгъуанэ	p a ʁʷ aː n a
пэкӏо	p a kʷʼ a
пэкӏэракӏэу	p ə t͡ʃʼ a r a p ɬ ə n
пэкӏэрэплъын	p ə t͡ʃʼ a r a p ɬ ə n
пэлэлэжъ	p a l a l a ʐ
пэмкӏыр	p a m t͡ʃ ə r
пэмэн	p a m a n
пэплъэн	p a p ɬ a n
пэпсы	p a p s ə
пэрыохъу	p a r ə w a χʷ
пэсакӏо	p a s aː kʷʼ
пэсын	p a s ə n
пэтырэ	p a t ə r a
пэхьан	p a ħ aː n
пэцуй	p a t͡sʷ ə j
пэцуй	p a t͡ʃʷ ə j
пэшын	p a ʃ ə n
пэшӏыжьын	p a ʃʼ ə ʑ ə n
пэшӏэн	p a ʃʼ a n
пэщ	p a ɕ
пэщэн	p a ɕ a m
пэӏоталъхьэ	p a ʔʷ a t aː l ħ a
пэӏоӏожьын	p a ʔʷ a ʔʷ a ʑ ə n
пэӏухъо	p a ʔʷ ə χʷ a
пэӏухъон	p a ʔʷ ə χʷ a n
пӏакӏэ	pʼ aː t͡ʃ a
пӏалъэ	pʼ aː ɬ a
пӏастэ	pʼ aː s t a
пӏо	pʷʼ a
пӏонкӏын	pʷʼ a n t͡ʃʼ ə m
пӏоны	pʷʼ a n ə
пӏуаблэ	pʷʼ aː b ɮ a
пӏуакӏэ	pʷʼ aː t͡ʃ a
пӏуанкӏэ	pʷʼ aː n t͡ʃ a
пӏун	pʷʼ ə n
пӏупкӏэ	pʷʼ ə n t͡ʃʼ a
пӏур	pʷʼ ə r
пӏын	pʼ ə n
пӏырагу	pʼ ə r aː ɡʷ
пӏысакӏо	pʼ ə s aː kʷʼ a
пӏысыгъэжъ	pʼ ə s ə ʁ a ʐ
пӏысын	pʼ ə s ə n
пӏэ	pʼ a
пӏэкӏор	pʼ a kʷʼ a r
пӏэркӏьын	pʼ a n kʲʼ ə m
пӏэстхъэн	pʼ a s t χ a n
пӏэстӏэкӏэшып	p a s t a t͡ʃ a ʃ ə p
пӏэсхъэн	pʼ a s χ a n
пӏэтын	pʼ a t ə n
пӏэшъхьагъ	pʼ a ʂ ħ aː ʁ
ренэу	r a j n a w
ригъэчъэхын	j a ʁ a t͡ʂ a x ə n
ридзын	r ə j d͡ʒ ə n
рилъэшъон	r ə j ɬ a ʃʷ a n
ришъун	r j ə ʃʷ ə n
рсысын	s ə s ə n
рэзэгъэн	r a z a ʁ a n
рэхьат	r a ħ aː t
рэхьэнйэл	r a ħ a n j a l
сабый	s aː b ə j
сагъындакъ	s aː ʁ ə n d aː q
сае	s aː j a
сако	s aː kʷ a
сакӏо	s aː kʷʼ a
самбыр	s aː m b ə r
самбырын	s aː m b ə r ə n
сандыкъ	s aː n d ə q
санэ	s aː n a
сапэ	s aː p a
сахъэ	s aː χ a
стаф	s t aː f
стыгъэ	s t ə ʁ a
стылӏэн	s t ə ɬʼ a n
стын	s t ə n
стыр	s t ə r
стырыпс	s t ə r ə p s
сурэт	s ə w r a t
суыз	f ə z
суыз	ʃʷ ə z
суэу	f a w
суэу	ʃʷ a w
сшъхьэпкӏэтын	s ʂ ħ a p kʲʼ a t ə n
сыд	s ə d
сыда	s ə d aː
сыдж	s ə d͡ʒ
сыдигъо	s ə d ə j ʁʷ a
сыдэу	s ə d a w
сыдэущтэу	s ə d a w ɕ t a w
сыдэущтэу	s ə d a w ɕ t ə w
сымагьэ	s ə m aː ɡʲ a
сымаджэ	s ə m aː d͡ʒ a
сымэджаплъэ	s ə m a d͡ʒ aː p ɬ a
сымэджэдэй	s ə m a d͡ʒ a d a j
сымэджэщ	s ə m a d͡ʒ a ɕ
сын	s ə n
сырныч	s ə r n ə t͡ʃ
сырэ	s ə r a
сысын	s ə s ə n
сыунэхъугъ	s ə w n a χʷ ə ʁ
сыхьат	s ə ħ aː t
сэ	s a
сэку	s a kʷ
сэкъат	s a q aː t
сэмэгу	s a m a ɡʷ
сэмэркъэу	s a m a r q a w
сэмэркъэушӏыл	s a m a r q a w ʃʼ ə ɮ
сэнсэй	s a n s a j
сэнэтхьапэ	s a n a t ħ aː p a
сэнэхьат	s a n a ħ aː t
сэпсэуэ	s a p s a w a
сэпэон	ɬ a p a w a n
сэраджэ	s a r aː d͡ʒ a
сэрай	s a r aː j
сӏакӏьэ	sʼ aː kʲʼ a
сӏын	sʼ ə n
сӏынэ	sʼ ə n a
сӏэ	sʼ a
сӏэсӏэн	sʼ a sʼ a n
табэ	t aː b a
такъыр	t aː q ə r
такъэ	t aː q a
тамэ	t aː m a
таплъэ	t aː p ɬ a
тары	t aː r ə
тауташ	t aː w t aː ɕ
тгъосэнэхьпэ	t ʁʷ a s a n a ħ p a
тгъуакӏо	t ʁʷ aː kʷʼ a
тгъэнэгъургьэ	t ʁ a n a ʁʷ ə r ɡʲ a
тгъэргъаз	t ʁ a r ʁ aː z
тегощэн	ɡʷ a ɕ ə n
тегубжыхьан	t a j ɡʷ ə b ʒ ə ħ aː n
тегупшысыкӏын	t a j ɡʷ ə p ʃ ə s ə t͡ʃʼ ə n
тегущыӏэн	t a j ɡʷ ə ɕ ə ʔ a n
тегъогъон	t a j ʁʷ a ʁʷ a n
тегъэзын	t a j ʁ a z ə n
тегъэзэн	t a j ʁ a z ə n
тегъэкӏэн	t a j ʁ a t͡ʃʼ a n
тегъэнэн	t a j ʁ a n a n
тегъэпкӏэн	t a j ə a p t͡ʃʼ a n
тегъэпсыхьан	t a j ʁ a p s ə ħ aː n
тегъэпытахьын	t a j ʁ a p ə t aː ħ aː n
тегъэстыкӏын	t a j ʁ a s ə t͡ʃʼ ə n
тегъэстыхьан	t a j ʁ a s ə ħ aː n
тегъэткӏон	t a j ʁ a t kʷʼ a n
тегъэтӏысхьан	t a j ʁ a tʼ ə s ħ aː n
тегъэтӏэтӏэн	ʁ a j tʼ a tʼ a n
тегъэун	t a j ʁ a w ə n
тегъэцӏырэн	t a j ʁ a t͡sʼ ə r a n
тедэжьын	t a j d a ʑ ə n
тезын	t a j z ə n
текьын	t a j kʲ ə n
текӏон	t a j kʷʼ a n
текӏутэн	t a j kʷʼ ə t a n
текӏьэн	t a kʲʼ a n
текӏэн	t a j t͡ʃʼ a n
телъхьан	t a j ɬ ħ aː n
телъэдэн	t a j ɬ a d a n
телӏэхьын	t a j ɬʼ a ħ ə n
темыр	t a j m ə r
темэн	t a j m a n
тенэн	t a j n a n
тенэцӏэхьын	t a j n a t͡sʼ a ħ ə n
теон	t a j w a n
теплъэ	t aː p ɬ a
теплъэшӏу	t a j p ɬ a ʃʷʼ
тепсэн	t a j p s a n
тепхэ	t a j p x a
тепщэч	t a j p ɕ a t͡ʃ
тепӏо	t a j pʷʼ a
тетхыкӏын	t a t x ə t͡ʃʼ ə n
тетӏэтӏэн	t a j tʼ a tʼ a n
теужъунтхэн	t a j ʒʷ ə n t x a n
теужъутхэн	t a j ʒʷ ə n t x a n
теунэхъухьан	t a j n a χʷ ə ħ aː n
теупӏэпӏэн	t a j w pʼ a pʼ a n
теутхын	t a j a w ə t x ə n
теутхэн	t j a w ə t x ə n
теутын	t a j w ə t ə n
теутэн	t a j w ə t a n
теуцон	t a j d t͡ʃʷ a n
теуцӏэлэн	t a w t͡sʼ a l a n
тефэхьын	t a j f a ħ ə n
техъон	t a j χʷ a n
техьагъу	t a j ħ aː ʁʷ
техьан	t a j ħ aː n
тецӏэлэн	t a j t͡sʼ a ɮ a n
тецӏэцӏэн	t a j t͡sʼ a t͡sʼ a n
течын	t a j t͡ʃ ə n
тещыныхьан	t a j ɕ ə n ə ħ aː n
теӏэбэхьын	t a j ʔ a b a ħ ə n
ткӏун	t kʷʼ ə n
тутын	t ə w t ə n
тфанэ	t f aː n a
тфы	t f ə
тфый	t f ə j
тфэи	t f a j ə
тхакӏо	t x aː kʷʼ a
тхъо	t χʷ a
тхъу	t χʷ ə
тхъужъ	t χʷ ə ʐ
тхъун	t χʷ ə n
тхъурыжъ	t χʷ ə r ə ʐ
тхъын	t χ ə n
тхъытхъын	ɡʷ ə z a ʒʷ a n
тхъэжьын	t χ a ʑ ə n
тхъэн	t χ a n
тхы	t x ə
тхыбзэ	t x ə b z a
тхыгъэ	t x ə ʁ a
тхыдэ	t x ə d a
тхыдэжъ	t x ə d a ʐ
тхыкъупшъхь	t x ə qʷ ə p ʂ ħ
тхылъ	t x ə ɬ
тхылъылъ	t x ə ɬ ə ɬ
тхылъыпӏэ	t x ə ɬ ə pʼ a
тхылъыщэ	t x ə ɬ ə ɕ a
тхылъӏыгъыпӏэ	t x ə ɬ ʔ ə ʁ ə pʼ a
тхын	t x ə n
тхыон	t x ə w a n
тхыпкъылъэ	t x ə p q ə ɬ a
тхыпкъэ	t x ə p q a
тхытхын	t x ə t x ə n
тхыцэ	t x ə t͡ʃ a
тхыцӏэ	t x ə t͡sʼ a
тхьабыл	t ħ aː b ə l
тхьагъэпцӏ	t ħ aː ʁ a p t͡sʼ
тхьакӏумкӏыхь	t ħ a kʷʼ m a t͡ʃʼ ə ħ
тхьакӏумэ	t ħ a kʷʼ m a
тхьакӏын	t ħ a t͡ʃ ə n
тхьаматэ	t ħ aː m aː t a
тхьамшӏыгъу	t ħ aː m ʃʼ ə ʁʷ
тхьамыкӏ	t ħ aː m ə t͡ʃ
тхьамыкӏагъу	t ħ aː m ə t͡ʃʼ aː ʁʷ
тхьамыкӏэгъо	t ħ aː m ə t͡ʃʼ aː ʁʷ
тхьанычъэ	t ħ aː n ə t͡ʂʼ a
тхьапш	t ħ a p ʃ
тхьапэ	t ħ aː p a
тхьаркъо	t ħ aː r qʷ a
тхьарыӏу	t ħ aː r ə ʔʷ
тхьауегъэпсэу	t ħ aː w a j ʁ a p s a w
тхьаумаф	t ħ a w m aː f
тхьаусхэн	t ħ aː w ə s x a n
тхьауысхако	t ħ aː w ə s x aː kʷ a
тхьацэ	t ħ aː t͡s a
тхьачэт	t ħ aː t͡ʃ a t
тхьэ	t ħ a
тхьэкӏумэ	t ħ a kʷʼ m a
тхьэкӏумэкӏэхьы	t ħ a kʷʼ m a kʲʼ a ħ ə
тхьэкӏумэкӏэхьы	t ħ a kʷʼ m a t͡ʃʼ a ħ ə
тхьэкӏумэпылъ	t ħ a kʷʼ m a p ə ɬ
тхьэкӏэт	t ħ a kʲʼ a t
тхьэкӏэт	t ħ a t͡ʃʼ a t
тхьэлъэӏупӏэ	t ħ a ɬ a ʔʷ ə pʼ a
тхьэматэ	t ħ a m aː t a
тхьэмафэ	t ħ a m aː f a
тхьэмбылышъу	t ħ a m b ə l ə ʂʷ
тхьэмыдэ	t ħ a m ə d a
тхьэмышӏэ	t ħ a m ə ʃʼ a
тхьэмыщкӏь	t ħ a m ə ɕ kʲʼ
тхьэпкӏэ	t ħ a p t͡ʃ a
тхьэцу	t ħ a t͡ʃʷ
тхьэчэт	t ħ a t͡ʃ a t
тхэн	t x a n
тхэхьын	t x a ħ ə n
ты	t ə
тыгъон	t ə ʁʷ a n
тыгъоснахьыпэ	t ə ʁʷ a s n aː ħ ə p
тыгъуакӏо	t ə ʁʷ aː kʷʼ a
тыгъуасэ	t ə ʁʷ aː s a
тыгъуасэнахьыпэ	t ʁʷ a s a n a ħ p a
тыгъужъ	t ə ʁʷ ə ʐ
тыгъун	t ə ʁʷ ə n
тыгъурыгъу	t ə ʁʷ r ə ʁʷ ə
тыгъэ	t ə ʁ a
тыгъэгъазэ	t ə ʁ a ʁ aː z
тыгъэгъэзэмаз	t ə ʁ a ʁ a z a m aː z
тыгъэкъокӏыпӏ	t ə ʁ a qʷ a kʲ ə pʼ
тыгъэкъокӏыпӏ	t ə ʁ a qʷ a t͡ʃ ə pʼ
тыгъэкъохьапӏ	t ə ʁ a qʷ a ħ aː pʼ
тыгъэнэгъунджэ	t ə ʁ a n a ʁʷ ə n d͡ʒ a
тыгъэнэстыр	t ə ʁ a n a s t ə r
тыгъэпсы	t ə ʁ a p s ə
тыгъэстыр	t ə ʁ a s t ə r
тыдэ	t ə d a
тыжьыны	t ə ʑ ə n
тыкъын	t ə q ə n
тын	t ə n
тыны	t ə n ə
тыпсэ	t ə p s a
тыркъо	t ə r qʷ a
тэ	t a
тэгъзакӏэ	t a ʁ z aː kʲʼ a
тэгъогъон	t a ʁʷ a ʁʷ a n
тэгъолъхьан	t a ʁʷ a ɬ ħ aː n
тэгъэпсэхьэн	t a ʁ a p s a ħ aː n
тэгъэтӏысхьэн	t a ʁ a tʼ ə s ħ a n
тэгъэтӏэтӏэн	ʁ a tʼ a tʼ a n
тэгъэфэн	t a ʁ a f a n
тэгъэцӏэшъутыкӏын	t a ʁ a t͡sʼ a ʃʷ t ə t͡ʃʼ ə n
тэгьын	t a ɡʲ ə n
тэджын	t a d͡ʒ ə n
тэдрэз	t a d r a z
тэжъутхэн	t a ʒʷ ə t x a n
тэкуон	t a kʷ ə w a n
тэкӏу	t a kʷʼ
тэкӏурэ	t a kʷʼ r a
тэкӏутэн	t a kʷʼ ə t a n
тэмэжъый	b l ə p q ə ʐ ə j
тэнэн	t a n a n
тэпкӏэн	t a p t͡ʃʼ a n
тэпсэ	t a p s a
тэрэз	t a r a z
тэрэзыдж	t a r a z ə d͡ʒ
тэсӏэсӏэн	t a sʼ a sʼ a n
тэтхыкӏын	t a t x ə t͡ʃʼ ə n
тэтхыкӏьын	t a t x ə kʲʼ ə n
тэтэжъ	t a t a ʐ
тэтӏэтӏэн	t a tʼ a tʼ a n
тэуцон	t a w t͡sʷ ə n
тэуцон	t a w t͡ʃʷ ə n
тэуцӏэлэн	t a w t͡sʼ a l a n
тэфэн	t a f a n
тэцӏэцӏэн	t a t͡sʼ a t͡sʼ a n
тэцӏэшъутыкӏын	t a t͡sʼ a ʃʷ t ə t͡ʃʼ ə n
тэцӏэшъутыкӏьын	t a t͡sʼ a ʃʷ t ə kʲʼ ə n
тэчъын	t a t͡ʂ ə n
тэшӏыкӏын	t a ʃʼ ə t͡ʃʼ ə n
тэшӏыкӏьын	t a ʃʼ ə kʲʼ ə n
тэщгъум	t a ɕ ʁʷ ə m
тэщтэу	t a ɕ t a w
тэщтэу	t a ɕ t ə w
тэӏэн	t a ʔ a n
тӏамы	t aː m ə
тӏаркъу	tʼ aː r qʷ
тӏокӏы	tʷʼ a t͡ʃ ə
тӏокӏэжъ	tʷʼ a t͡ʃʼ a ʐ
тӏолъфэныкъо	tʷʼ a ɬ f a n ə qʷ a
тӏолъфэныкъох	tʷʼ aː z a x
тӏу	tʷʼ ə
тӏуазэ	tʷʼ aː z a
тӏуазэх	tʷʼ aː z a x
тӏуакӏэ	tʷʼ aː t͡ʃʼ a
тӏуанэ	tʷʼ aː n a
тӏупщын	tʷʼ ə p ɕ ə n
тӏурыс	tʷʼ ə r ə s
тӏурытӏу	tʷʼ ə r ə tʷʼ
тӏуӏугъэ	tʷʼ ə ʔʷ ə ʁ a
тӏы	tʼ ə
тӏыгъон	tʼ ə ʁʷ a n
тӏын	tʼ ə n
тӏыргун	tʼ ə r ɡʷ ə n
тӏыргъон	tʼ ə r ʁʷ a n
тӏысын	tʼ ə s ə n
тӏысыпӏэ	tʼ ə s ə pʼ a
тӏэкӏу	tʼ a kʷʼ
тӏэкӏугъашӏэм	tʼ a kʷʼ ʁ aː ʃʼ a m
тӏэкӏунау	tʼ a kʷʼ ə n aː w
тӏэкӏунитӏэ	tʼ a kʷʼ ə j n tʼ a
тӏэн	tʼ a n
тӏэпӏын	tʼ s a pʼ ə n
тӏэрэхын	tʼ a r a x ə n
тӏэрэхьын	m a tʼ a r a ħ ə n
тӏэтэн	tʼ a t a n
тӏэтӏэй	tʼ a tʼ a j
тӏэтӏэн	tʼ a tʼ a n
уае	w aː j a
уалъэ	w aː ɬ a
уанэ	w aː n a
уарзэ	w aː r z a
уасэ	w aː s a
уатэ	w aː t a
уахътэ	w aː χ t a
уашхъо	w aː ʃ χʷ a
уашъо	w aː ʃʷ a
убзэн	w ə b z a n
ублапӏэ	w ə b ɮ aː pʼ a
ублэгъу	w ə b ɮ a ʁʷ
убын	w ə b ə
убытын	w b ə t ə n
убэн	w ə b a n
убэтэн	w ə b a t a n
угощын	w ə ɡʷ a ɕ ə n
угъоин	w ə ʁʷ a j ə n
угъонын	w ə ʁʷ a n ə n
угь	w ə ɡʲ
угьын	w ə ɡʲ ə n
удж	w ə d͡ʒ
уджын	w d͡ʒ ə n
уджэгъун	w ə d͡ʒ a ʁʷ ə n
удзуцон	w d͡zʷ ə t͡sʷ a n
уды	w ə d ə
ужъунтхэн	w ə ʒʷ ə n t x a n
ужы	w ʒ ə
уз	w ə z
узы	w ə z ə
узын	w ə z ə n
узыныгъэ	w ə z ə n ə ʁ a
укъэбзын	w q a b z ə n
укӏакӏо	w t͡ʃʼ aː kʷʼ a
укӏорэин	w kʷʼ a r a j ə n
укӏын	w ə t͡ʃʼ ə n
укӏыт	w ə t͡ʃʼ ə t
укӏытагъо	w ə t͡ʃʼ ə t aː ʁʷ a
укӏытапх	w t͡ʃʼ ə t aː p x
укӏытапхэ	w t͡ʃʼ ə t aː p x
укӏытэн	w ə t͡ʃʼ ə t a n
укӏьын	w kʲʼ ə n
укӏьытапх	w kʲʼ ə t aː p x
укӏьытэн	w ə kʲʼ ə t a n
укӏьэпхъэн	w kʲʼ a p χ a n
укӏэпхъэн	w t͡ʃʼ a p χ a n
укӏэсын	w ə t͡ʃʼ a s a n
улъыин	w ə ɬ ə j ə n
улэлэн	w ə l a l a n
улэун	w ɮ a w ə n
умыармэ	w m ə aː r m a
ун	j a w ə n
унагъо	w n aː ʁʷ a
унагъобзэ	w ə n aː ʁʷ a b z a
унагъоцӏэ	w n aː ʁʷ a t͡sʼ a
унакӏэ	w ə n aː t͡ʃʼ a
унапчъэ	w ə n aː p t͡ʂ a
унашъо	w ə n aː ʂʷ a
унашъхьэ	w n aː ʂ ħ a
унэ	w ə n a
унэгъуацӏэ	w ə n a ʁʷ a t͡sʼ a
унэзэн	w n a z a n
унэкӏын	w ə n a t͡ʃʼ ə n
унэхъун	w ə n a χʷ ə n
унэчӏэгъ	w ə n a t͡ʃʼ a ʁ
унэшъошӏы	w n a ʃʷ a ʃʼ ə
унэӏут	w ə n a ʔʷ ə t
упкӏэ	w ə p t͡ʃʼ a
упкӏэн	w ə p t͡ʃʼ a n
упкӏэтэн	w ə p t͡ʃʼ a t a n
упсын	w ə p s ə n
упхъон	w ə p χʷ a n
упцӏын	w p t͡sʼ ə n
упчӏэ	w ə p t͡ʃʼ a
упчӏэжьын	w p t͡ʂʼ a ʑ ə n
упчӏэн	w ə p t͡ʃʼ a n
упэпцӏын	w p a p t͡sʼ ə n
упэшӏын	w ə p a ʃʼ ə n
упӏыцӏэн	w pʼ ə sʼ a n
упӏэпӏэн	w pʼ a pʼ a n
урам	w r aː m
урыс	w ə r ə s
усын	w s ə n
утхъоен	w ə t χʷ a j a n
утхыпкӏын	w ə t x ə p t͡ʃʼ ə n
уты	w t ə
утысэн	w ə t ə s a n
утэбжьэн	w ə t a b ʑ a n
утэцэн	w ə t a t͡s a n
утэшъон	w t a ʃʷ a n
утӏэтӏэн	w ə tʼ a tʼ a n
уфын	w ə f ə n
уфэн	w f a n
уфэупцӏэ	w ə f a w p t͡sʼ a
ухъумэн	w χʷ ə m a n
ухын	w ə x ə n
уц	w ə t͡s
уцолъын	w ə t͡ʃʷ a ɬ ə n
уцун	w t͡ʃʷ ə n
уцупӏэ	w ə t͡sʷ ə pʼ a m
уцы	w ə t͡s ə
уцышъо	w ə t͡s ə ʂʷ a
уцэкун	w ə t͡s a kʷ ə n
уцэӏун	w ə t͡s a ʔʷ ə n
уцӏынын	w ə t͡sʼ ə n ə n
уцӏэлэн	w ə t͡sʼ a l a n
уцӏэрэпхъын	w ə t͡sʼ a r a p χ ə n
ушхъухьакӏо	w ə ʃ χʷ ħ aː kʷʼ a
ушхъухьан	w ə ʃ χʷ ħ aː n
ушъорэкӏын	w ə ʃʷ a r a t͡ʃʼ ə n
ушъхьагъу	w ə ʂ ħ aː ʁʷ
ушъыбын	ʂ ə b ə n
ушъын	w ə ʂ ə n
ушыгун	w ə ɕ ə ɡʷ ə n
ушыхьатын	w ə ʃ ə ħ aː t ə n
ушэтын	w ə ʃ a t ə n
ушӏоин	w ə ʃʷ a j ə n
уыбэтэн	w ə b a t a n
уыд	w ə d
уэнтэгъу	w a n t a ʁʷ
уэр	w a r
уэрзэӏанэ	w a r z a ʔ aː n a
уӏагъэ	w ə ʔ aː ʁ a
уӏэн	w ə ʔ a n
фабэ	f aː b a
фае	f aː j a
фапшэ	f aː p ʃ a
фапщэ	f aː p ʃ a
фегъэпэн	f a j ʁ a p a n
феуэн	f a j w a n
фигъэпэн	f ə j ʁ a p a n
фикъун	f ə j qʷ ə n
фитын	f ə j t ə n
фитыныгъ	f ə j t ə n ə ʁ
фыгу	f ə ɡʷ
фыжьы	f ə ʑ ə
фыжьыбз	f ə ʑ ə b z
фызын	f ə z ə n
фылым	f ə l ə m
фын	f ə n
фыцӏын	f ə t͡sʼ ə n
фэ	f a
фэбае	f a b aː j a
фэбзэджэн	f a b z a d͡ʒ a n
фэгоӏэн	f a ɡʷ a ʔ a n
фэгубжын	f a ɡʷ ə b ʒ ə n
фэгуӏэн	f a ɡʷ a ʔ a n
фэгъэгъун	f a ʁ a ʁʷ ə n
фэгъэзэн	f a ʁ a z a n
фэгъэпсын	f a ʁ a p s ə n
фэгъэсэн	f a ʁ a s a n
фэгъэшъошэн	f a ʁ a ʃʷ a ʃ a n
фэд	f a d
фэдэгъэзын	f a d a ʁ a z ə n
фэдэкъабз	f a d a q aː b z
фэдэн	f a d a n
фэен	f a j a n
фэкъолӏ	f a qʷ a ɬʼ
фэкъулай	f a qʷ ə ɮ aː j
фэлъэкӏын	ɬ a t͡ʃʼ ə n
фэлъэкӏьын	ɬ a kʲʼ ə n
фэлӏэн	f a ɬʼ a n
фэмылъэгъун	f a m ə ɬ a ʁʷ ə n
фэмыф	f a m ə f
фэмэн	f a m a n
фэпсӏын	f a p sʼ ə n
фэпцӏын	f a p t͡sʼ ə n
фэпшэн	f a p ʃ a n
фэпщэн	f a p ʃ a n
фэпэн	f a p a n
фэрэзэн	f a r a z a n
фэрэхьатын	f a r a ħ aː t ə n
фэсакъын	f a s aː q ə n
фэулэун	f a w ɮ a w ə n
фэусын	f a w s ə n
фэшъуаш	f a ʃʷ aː ʃ
фэшъуашэу	f a ʃʷ aː ʃ a w
фэшъхьаф	f a ʂ ħ aː f
фэшӏ	f a ʃʼ
фэшӏкӏэ	f a ʃʼ ə t͡ʃʼ a
фэшӏу	f a ʃʷʼ ə
фэшӏун	f a ʃʷʼ ə n
фэшӏыкӏэ	f a ʃʼ ə t͡ʃʼ a
фэшӏын	f a ʃʼ ə n
фэшӏэн	f a ʃʷ a n
фэщэӏэн	f a ɕ a ʔ a n
фэӏаз	f a ʔ aː z
фэӏофытэн	ʔʷ a f ə t a n
фэӏэпыӏас	f a ʔ a p ə ʔ aː s
хабзэ	x aː b z a
хакӏо	x aː kʷʼ a
хамэ	x aː m a
ханэ	x aː n a
хасэ	x aː s a
хатэ	x aː t a
хафэ	x aː f a
хегъэхын	x a x ə n
хъагъэ	χ aː ʁ a
хъан	χ aː n
хъанзэгу	χ aː n z a ɡʷ
хъатэ	χ aː t a
хъашъо	χ aː ʃʷ a
хъишъ	ħ ə j ʂ
хъо	χʷ a
хъожьын	χʷ a ʑ ə n
хъои	χʷ a j ə
хъокӏыгъ	χʷ a t͡ʃʼ ə ʁ
хъонал	χʷ a n aː ɮ
хъонэн	χʷ a n a n
хъопсащэ	χʷ a p s aː ɕ a
хъопсэн	χʷ a p s a n
хъоршэр	χʷ a r ʃ a r
хъот	χʷ a t
хъоу	χʷ a w
хъохъ	χʷ a χʷ
хъохъу	ɡʷ ə ʃʷʼ aː ʁʷ a
хъу	χʷ ə
хъуае	χʷ aː j a
хъуакӏо	χʷ aː kʷʼ a
хъуанэ	χʷ aː n a
хъуат	χʷ aː t
хъугъэ	χʷ ə ʁ a
хъужьын	χʷ ə ʑ ə n
хъулъфыгъэ	χʷ ə ɬ f ə ʁ a
хъумэн	χʷ ə m a n
хъун	m a χʷ ə n
хъупхъэ	χʷ ə p χ a
хъупцӏ	χʷ ə p t͡sʼ
хъупцӏын	χʷ ə p t͡sʼ ə n
хъупӏэ	χʷ ə pʼ a
хъурай	χʷ ə r aː j
хъурмэ	χʷ ə r m a
хъусӏысый	χʷ ə sʼ ə s ə j
хъучӏанэ	χʷ ə t͡ʃ aː n a
хъушъу	χʷ ə ʃʷ
хъы	χ ə
