Abae	aː b e
britannicī	b r i t a n n i t͡ʃ i
britannicō	b r i t a n n i k o
broccī	b r ɔ t t͡ʃ i
bromon	b r ɔː m o n
bromō	b r ɔː m o
bronchiālis	b r o ŋ k i aː l i s
bronchiālus	b r o ŋ k i aː l u s
brunnescēns	b r u n n ɛ ʃ ʃ e n s
brāchiātus	b r a k i aː t u s
brōmium	b r ɔː m i u m
brūmāle	b r u m aː l e
brūnītūrae	b r u n i t uː r e
brūnītūram	b r u n i t uː r a m
brūnītūrārum	b r u n i t u r aː r u m
brūnītūrās	b r u n i t uː r a s
brūnītūrīs	b r u n i t uː r i s
brūta	b r uː t a
brūtī	b r uː t i
brūtīs	b r uː t i s
brūtō	b r uː t o
brūtōrum	b r u t ɔː r u m
buae	b uː e
buam	b uː a m
bubō	b uː b o
buccinātor	b u t t͡ʃ i n aː t o r
buccinō	b u t t͡ʃ i n o
buddhicus	b u d d i k u s
bulgaricus	b u l ɡ aː r i k u s
bullae	b u l l e
bullam	b u l l a m
bullārum	b u l l aː r u m
bullās	b u l l a s
bullī	b u l l i
bullīs	b u l l i s
burcgrāvius	b u r k ɡ r aː v i u s
burchgrāvius	b u r k ɡ r aː v i u s
burggrāfius	b u r ɡ ɡ r aː f i u s
burggrāvius	b u r ɡ ɡ r aː v i u s
burgraffius	b u r ɡ r a f f i u s
burgrāphius	b u r ɡ r aː f i u s
burgrāviō	b u r ɡ r aː v i o
burgrāvī	b u r ɡ r aː v i
burgēnsibus	b u r d͡ʒ ɛ n s i b u s
burgōs	b u r ɡ o s
buriaticus	b u r i aː t i k u s
burkgrāvius	b u r k ɡ r aː v i u s
burkgrāviōrum	b u r k ɡ r a v iː o r u m
burmēnsis	b u r m ɛ n s i s
bursae	b u r s e
bursās	b u r s a s
buruēnsis	b u r u ɛ n s i s
bustuārius	b u s t u aː r i u s
bustō	b u s t o
buxidis	b u k s i d i s
buxidum	b u k s i d u m
buxidī	b u k s i d i
buxum	b u k s u m
buxī	b u k s i
buxīdum	b u k s iː d u m
buxīdī	b u k s iː d i
buxīdīs	b u k s iː d i s
buārum	b u aː r u m
buās	b uː a s
buīs	b uː i s
bybliopōla	b i b l i o p ɔː l a
bybliothēcae	b i b l i o t ɛː t͡ʃ e
bybliothēcam	b i b l i o t ɛː k a m
bybliothēcārum	b i b l i o t e k aː r u m
bybliothēcās	b i b l i o t ɛː k a s
bybliothēcē	b i b l i o t ɛː t͡ʃ e
bybliothēcēn	b i b l i o t ɛː t͡ʃ e n
bybliothēcēs	b i b l i o t ɛː t͡ʃ e s
bybliothēcīs	b i b l i o t ɛː t͡ʃ i s
bācula	b aː k u l a
bācātus	b a k aː t u s
bālaena	b a l ɛː n a
bālantia	b a l a n t͡s i a
bālena	b aː l e n a
bālitante	b a l i t a n t e
bālitantem	b a l i t a n t e m
bālitantia	b a l i t a n t͡s i a
bālitantibus	b a l i t a n t i b u s
bālitantis	b a l i t a n t i s
bālitantium	b a l i t a n t͡s i u m
bālitantēs	b a l i t a n t e s
bālitantī	b a l i t a n t i
bālā	b aː l a
bālātum	b a l aː t u m
bārda	b a r d a
bārde	b a r d e
bārdās	b a r d a s
bārdī	b a r d i
bārdō	b a r d o
bārdōs	b a r d o s
bārō	b aː r o
bāsium	b aː s̬ i u m
bāsiāre	b a s̬ i aː r e
bātuō	b aː t u o
bēllua	b ɛ l l u a
bērī	b ɛː r i
bēstiārium	b e s t i aː r i u m
bētīzare	b e t i d d͡z a r e
bīme	b iː m e
bīmī	b iː m i
bīna	b iː n a
bīnae	b iː n e
bīnam	b iː n a m
bīne	b iː n e
bīnitāte	b i n i t aː t e
bīnitātem	b i n i t aː t e m
bīnitātibus	b i n i t aː t i b u s
bīnitātis	b i n i t aː t i s
bīnitātum	b i n i t aː t u m
bīnitātēs	b i n i t aː t e s
bīnitātī	b i n i t aː t i
bīnum	b iː n u m
bīnārum	b i n aː r u m
bīnās	b iː n a s
bīnī	b iː n i
bīnīs	b iː n i s
bīnō	b iː n o
bīnōrum	b i n ɔː r u m
bīnōs	b iː n o s
bōce	b ɔː t͡ʃ e
bōcem	b ɔː t͡ʃ e m
bōcibus	b ɔː t͡ʃ i b u s
bōcis	b ɔː t͡ʃ i s
bōcum	b ɔː k u m
bōcēs	b ɔː t͡ʃ e s
bōcī	b ɔː t͡ʃ i
bōlus	b ɔː l u s
bōlētinus	b o l ɛː t i n u s
bōrium	b ɔː r i u m
bōrāciō	b o r aː t͡ʃ i o
būbō	b uː b o
būcolicoe	b u k ɔː l i t͡ʃ e
būcolicon	b u k ɔː l i k o n
būcolicēn	b u k ɔː l i t͡ʃ e n
būcolicēs	b u k ɔː l i t͡ʃ e s
būcolicī	b u k ɔː l i t͡ʃ i
būcīta	b u t͡ʃ iː t a
būcītum	b u t͡ʃ iː t u m
būcītōrum	b u t͡ʃ i t ɔː r u m
būnia	b uː n i a
būniō	b uː n i o
būnī	b uː n i
būpaeda	b u p ɛː d a
būris	b uː r i s
būrīs	b uː r i s
būsequa	b uː s̬ e kʷ a
būticulārius	b u t i k u l aː r i u s
bȳzantīna	b i d d͡z a n t iː n a
bȳzantīnae	b i d d͡z a n t iː n e
bȳzantīnam	b i d d͡z a n t iː n a m
bȳzantīne	b i d d͡z a n t iː n e
bȳzantīnoe	b i d d͡z a n t iː n e
bȳzantīnon	b i d d͡z a n t iː n o n
bȳzantīnos	b i d d͡z a n t iː n o s
bȳzantīnum	b i d d͡z a n t iː n u m
bȳzantīnā	b i d d͡z a n t iː n a
bȳzantīnān	b i d d͡z a n t iː n a n
bȳzantīnārum	b i d d͡z a n t i n aː r u m
bȳzantīnās	b i d d͡z a n t iː n a s
bȳzantīnī	b i d d͡z a n t iː n i
bȳzantīnīs	b i d d͡z a n t iː n i s
bȳzantīnō	b i d d͡z a n t iː n o
bȳzantīnōrum	b i d d͡z a n t i n ɔː r u m
bȳzantīnōs	b i d d͡z a n t iː n o s
caballae	k a b a l l e
caballe	k a b a l l e
caballum	k a b a l l u m
caballās	k a b a l l a s
caballī	k a b a l l i
caballīs	k a b a l l i s
caballō	k a b a l l o
caballōrum	k a b a l l ɔː r u m
caballōs	k a b a l l o s
cabō	k aː b o
cacabō	k aː k a b o
cacaoticus	k a k a ɔː t i k u s
cachinnō	k a k i n n o
cachinnōsus	k a k i n n ɔː s̬ u s
cacometer	k a k ɔː m e t e r
cacozēlus	k a k o d d͡z ɛː l u s
cacābō	k a k aː b o
cacāta	k a k aː t a
cacātor	k a k aː t o r
cacūmina	k a k uː m i n a
cadmia	k a d m i a
cadmium	k a d m i u m
cadmiīs	k a d m i i s
cadmī̆a	k a d m iː a
cadmī̆ās	k a d m iː a s
cadmī̆īs	k a d m iː i s
cadundum	k a d u n d u m
cadāverōsa	k a d a v e r ɔː s̬ a
cadāverōsās	k a d a v e r ɔː s̬ a s
cadāverōsō	k a d a v e r ɔː s̬ o
cadāverōsōs	k a d a v e r ɔː s̬ o s
cadī	k aː d i
cadūca	k a d uː k a
cadūcum	k a d uː k u m
cadūcī	k a d uː t͡ʃ i
cadūcīs	k a d uː t͡ʃ i s
cadūcō	k a d uː k o
cadūcōrum	k a d u k ɔː r u m
caecum	t͡ʃ ɛː k u m
caecō	t͡ʃ ɛː k o
caedis	t͡ʃ ɛː d i s
caedunda	t͡ʃ e d u n d a
caedundae	t͡ʃ e d u n d e
caedundam	t͡ʃ e d u n d a m
caedunde	t͡ʃ e d u n d e
caedundum	t͡ʃ e d u n d u m
caedundus	t͡ʃ e d u n d u s
caedundārum	t͡ʃ e d u n d aː r u m
caedundās	t͡ʃ e d u n d a s
caedundī	t͡ʃ e d u n d i
caedundīs	t͡ʃ e d u n d i s
caedundō	t͡ʃ e d u n d o
caedundōrum	t͡ʃ e d u n d ɔː r u m
caedundōs	t͡ʃ e d u n d o s
caedēre	t͡ʃ ɛː d e r e
caelestae	t͡ʃ e l ɛ s t e
caelestum	t͡ʃ e l ɛ s t u m
caelum	t͡ʃ ɛː l u m
caelus	t͡ʃ ɛː l u s
caelī	t͡ʃ ɛː l i
caelīs	t͡ʃ ɛː l i s
caepa	t͡ʃ ɛː p a
caepe	t͡ʃ ɛː p e
caepārie	t͡ʃ e p aː r i e
caepārium	t͡ʃ e p aː r i u m
caepāriī	t͡ʃ e p aː r i i
caepāriīs	t͡ʃ e p aː r i i s
caepāriō	t͡ʃ e p aː r i o
caepāriōrum	t͡ʃ e p a r i ɔː r u m
caepāriōs	t͡ʃ e p aː r i o s
caerimōnium	t͡ʃ e r i m ɔː n i u m
caerulus	t͡ʃ ɛː r u l u s
caesarea	t͡ʃ e s̬ aː r e a
caesareae	t͡ʃ e s̬ aː r e e
caesaream	t͡ʃ e s̬ aː r e a m
caesaree	t͡ʃ e s̬ aː r e e
caesareum	t͡ʃ e s̬ aː r e u m
caesareus	t͡ʃ e s̬ aː r e u s
caesareārum	t͡ʃ e s̬ a r e aː r u m
caesareās	t͡ʃ e s̬ aː r e a s
caesareī	t͡ʃ e s̬ aː r e i
caesareīs	t͡ʃ e s̬ aː r e i s
caesareō	t͡ʃ e s̬ aː r e o
caesareōrum	t͡ʃ e s̬ a r e ɔː r u m
caesareōs	t͡ʃ e s̬ aː r e o s
caesaricus	t͡ʃ e s̬ aː r i k u s
caesariācus	t͡ʃ e s̬ a r i aː k u s
caesariāna	t͡ʃ e s̬ a r i aː n a
caesariānae	t͡ʃ e s̬ a r i aː n e
caesariānam	t͡ʃ e s̬ a r i aː n a m
caesariāne	t͡ʃ e s̬ a r i aː n e
caesariānum	t͡ʃ e s̬ a r i aː n u m
caesariānus	t͡ʃ e s̬ a r i aː n u s
caesariānārum	t͡ʃ e s̬ a r i a n aː r u m
caesariānās	t͡ʃ e s̬ a r i aː n a s
caesariānī	t͡ʃ e s̬ a r i aː n i
caesariānīs	t͡ʃ e s̬ a r i aː n i s
caesariānō	t͡ʃ e s̬ a r i aː n o
caesariānōrum	t͡ʃ e s̬ a r i a n ɔː r u m
caesariānōs	t͡ʃ e s̬ a r i aː n o s
caesarīna	t͡ʃ e s̬ a r iː n a
caesarīnae	t͡ʃ e s̬ a r iː n e
caesarīnam	t͡ʃ e s̬ a r iː n a m
caesarīne	t͡ʃ e s̬ a r iː n e
caesarīnum	t͡ʃ e s̬ a r iː n u m
caesarīnus	t͡ʃ e s̬ a r iː n u s
caesarīnārum	t͡ʃ e s̬ a r i n aː r u m
caesarīnās	t͡ʃ e s̬ a r iː n a s
caesarīnī	t͡ʃ e s̬ a r iː n i
caesarīnīs	t͡ʃ e s̬ a r iː n i s
caesarīnō	t͡ʃ e s̬ a r iː n o
caesarīnōrum	t͡ʃ e s̬ a r i n ɔː r u m
caesarīnōs	t͡ʃ e s̬ a r iː n o s
caesium	t͡ʃ ɛː s̬ i u m
caeterus	t͡ʃ ɛː t e r u s
caetra	t͡ʃ ɛː t r a
cafaea	k a f ɛː a
cafaeum	k a f ɛː u m
cafēum	k a f ɛː u m
caia	k aː j a
calamī	k aː l a m i
calamōs	k aː l a m o s
calandō	k a l a n d o
calantī	k a l a n t i
calat	k aː l a t
calbeus	k a l b e u s
calcarātus	k a l k a r aː t u s
calcia	k a l̠ʲ t͡ʃ i a
calcicola	k a l̠ʲ t͡ʃ iː k o l a
calcicole	k a l̠ʲ t͡ʃ iː k o l e
calcicolus	k a l̠ʲ t͡ʃ iː k o l u s
calcicolī	k a l̠ʲ t͡ʃ iː k o l i
calcicolō	k a l̠ʲ t͡ʃ iː k o l o
calcium	k a l̠ʲ t͡ʃ i u m
calcoaceticus	k a l k o a t͡ʃ ɛː t i k u s
calculandō	k a l k u l a n d o
calcule	k a l k u l e
calculem	k a l k u l e m
calculā	k a l k u l a
calculārem	k a l k u l aː r e m
calculāria	k a l k u l aː r i a
calculāriam	k a l k u l aː r i a m
calculāriās	k a l k u l aː r i a s
calculārās	k a l k u l aː r a s
calculārēs	k a l k u l aː r e s
calculās	k a l k u l a s
calculāsse	k a l k u l a s s e
calculāssem	k a l k u l a s s e m
calculāssēs	k a l k u l a s s e s
calculēs	k a l k u l e s
calculī	k a l k u l i
calcēs	k a l̠ʲ t͡ʃ e s
calcī	k a l̠ʲ t͡ʃ i
calda	k a l d a
calde	k a l d e
caldus	k a l d u s
caldī	k a l d i
caldō	k a l d o
calefactorium	k a l e f a k t ɔː r i u m
calefactīvus	k a l e f a k t iː v u s
calefactō	k a l e f a k t o
calefactōrium	k a l e f a k t ɔː r i u m
calem	k aː l e m
calendae	k a l ɛ n d e
calendāria	k a l e n d aː r i a
calendāriī	k a l e n d aː r i i
calendāriīs	k a l e n d aː r i i s
calendāriō	k a l e n d aː r i o
calendāriōrum	k a l e n d a r i ɔː r u m
calendārī	k a l e n d aː r i
calfactum	k a l f a k t u m
calibēus	k a l i b ɛː u s
calidāria	k a l i d aː r i a
californium	k a l i f ɔ r n i u m
californiāna	k a l i f o r n i aː n a
californiāne	k a l i f o r n i aː n e
californiānās	k a l i f o r n i aː n a s
californiānī	k a l i f o r n i aː n i
californiānōs	k a l i f o r n i aː n o s
caligāte	k a l i ɡ aː t e
caligātus	k a l i ɡ aː t u s
caligātīs	k a l i ɡ aː t i s
caligātō	k a l i ɡ aː t o
callidissimus	k a l l i d i s s i m u s
calva	k a l v a
calve	k a l v e
calvā	k a l v a
calvās	k a l v a s
calvī	k a l v i
calvō	k a l v o
calvōs	k a l v o s
calx	k a l k s
calā	k aː l a
calāre	k a l aː r e
calārem	k a l aː r e m
calārās	k a l aː r a s
calārēs	k a l aː r e s
calās	k aː l a s
calāsse	k a l a s s e
calāssem	k a l a s s e m
calāssēs	k a l a s s e s
calātor	k a l aː t o r
calātōre	k a l a t ɔː r e
calātōrem	k a l a t ɔː r e m
calātōribus	k a l a t ɔː r i b u s
calātōris	k a l a t ɔː r i s
calātōrum	k a l a t ɔː r u m
calātōrēs	k a l a t ɔː r e s
calātōrī	k a l a t ɔː r i
calāverās	k a l aː v e r a s
calē	k aː l e
calēs	k aː l e s
calō	k aː l o
calōrī	k a l ɔː r i
camara	k aː m a r a
camarat	k aː m a r a t
camarā	k aː m a r a
camarās	k aː m a r a s
camarīs	k aː m a r i s
camarō	k aː m a r o
cambodicus	k a m b ɔː d i k u s
cambosicus	k a m b ɔː s̬ i k u s
cambra	k a m b r a
cambrās	k a m b r a s
cambrēnsis	k a m b r ɛ n s i s
cambīre	k a m b iː r e
camera	k aː m e r a
camerat	k aː m e r a t
cameronēnsis	k a m e r o n ɛ n s i s
cameroonēnsis	k a m e r o n ɛ n s i s
camerunēnse	k a m e r u n ɛ n s e
camerunēnsis	k a m e r u n ɛ n s i s
camerunēnsī	k a m e r u n ɛ n s i
camerā	k aː m e r a
camerāre	k a m e r aː r e
camerās	k aː m e r a s
camerāte	k a m e r aː t e
camerātō	k a m e r aː t o
camerāvī	k a m e r aː v i
cammare	k a m m a r e
cammarum	k a m m a r u m
cammarī	k a m m a r i
cammarīs	k a m m a r i s
cammarō	a s t a k o
cammarō	k a m m a r o
cammarōrum	k a m m a r ɔː r u m
cammarōs	k a m m a r o s
campestris	k a m p ɛ s t r i s
camptaulēs	k a m p t aː u̯ l e s
camtschāticus	k a m t s k aː t i k u s
camēlopardalus	k a m e l o p a r d a l i s
camēlopardus	k a m e l o p a r d u s
camōce	k a m ɔː t͡ʃ e
camōcem	k a m ɔː t͡ʃ e m
camōcibus	k a m ɔː t͡ʃ i b u s
camōcis	k a m ɔː t͡ʃ i s
camōcum	k a m ɔː k u m
camōcēs	k a m ɔː t͡ʃ e s
camōcī	k a m ɔː t͡ʃ i
canachēnī	k a n a k ɛː n i
canapae	k aː n a p e
canapam	k aː n a p a m
canapārum	k a n a p aː r u m
canapās	k aː n a p a s
canapīs	k aː n a p i s
canarinus	k a n aː r i n u s
canariēnsis	k a n a r i ɛ n s i s
cancellī	k a n̠ʲ t͡ʃ ɛ l l i
canceris	k a n̠ʲ t͡ʃ e r i s
cancerēs	k a n̠ʲ t͡ʃ e r e s
candidātus	k a n d i d aː t u s
candēlae	k a n d ɛː l e
candēlam	k a n d ɛː l a m
candēlāber	k a n d e l aː b e r
candēlābra	k a n d e l aː b r a
candēlābrus	k a n d e l aː b r u s
candēlārum	k a n d e l aː r u m
candēlās	k a n d ɛː l a s
candēlīs	k a n d ɛː l i s
cane	k aː n e
canere	k a n ɛː r e
canere	k aː n e r e
canis	k aː n i s
cannaba	k a n n a b a
cannabis	k a n n a b i s
cannabum	k a n n a b u m
cannabās	k a n n a b a s
cannabīs	k a n n a b i s
cannadicus	k a n n aː d i k u s
canonica	k a n ɔː n i k a
canonicī	k a n ɔː n i t͡ʃ i
cantantī	k a n t a n t i
canthus	k a n t u s
cantonēnsis	k a n t o n ɛ n s i s
cantor	k a n t o r
cantus	k a n t u s
cantātis	k a n t aː t i s
cantātrīcī	k a n t a t r iː t͡ʃ i
cantātīs	k a n t aː t i s
cantāverimus	k a n t a v e r iː m u s
cantāverimus	k a n t a v ɛː r i m u s
cantāveris	k a n t aː v e r i s
cantāveritis	k a n t a v e r iː t i s
cantāveritis	k a n t a v ɛː r i t i s
cantērius	k a n t ɛː r i u s
cantō	k a n t o
canāria	k a n aː r i a
canāriās	k a n aː r i a s
canāriō	k a n aː r i o
canāriōs	k a n aː r i o s
canās	k aː n a s
canēs	k aː n e s
canī	k aː n i
canīna	k a n iː n a
canīne	k a n iː n e
canīnās	k a n iː n a s
canīnōs	k a n iː n o s
canō	k aː n o
canōn	k aː n o n
capanna	k a p a n n a
capellus	k a p ɛ l l u s
capere	k aː p e r e
caphūrae	k a f uː r e
caphūram	k a f uː r a m
caphūrārum	k a f u r aː r u m
caphūrās	k a f uː r a s
caphūrīs	k a f uː r i s
capillāre	k a p i l l aː r e
capimus	k aː p i m u s
capis	k aː p i s
capissō	k a p i s s o
capita	k aː p i t a
capitia	k a p i t t͡s i a
capitis	k a p iː t i s
capitis	k aː p i t i s
capitulāria	k a p i t u l aː r i a
capitulāris	k a p i t u l aː r i s
capitō	k aː p i t o
capitōne	k a p i t ɔː n e
capitōnī	k a p i t ɔː n i
capiō	k aː p i o
caprae	k aː p r e
capram	k aː p r a m
caprigena	k a p r iː d͡ʒ e n a
caprigenae	k a p r iː d͡ʒ e n e
caprigenam	k a p r iː d͡ʒ e n a m
caprigene	k a p r iː d͡ʒ e n e
caprigenum	k a p r iː d͡ʒ e n u m
caprigenārum	k a p r i d͡ʒ e n aː r u m
caprigenās	k a p r iː d͡ʒ e n a s
caprigenī	k a p r iː d͡ʒ e n i
caprigenīs	k a p r iː d͡ʒ e n i s
caprigenō	k a p r iː d͡ʒ e n o
caprigenōrum	k a p r i d͡ʒ e n ɔː r u m
caprigenōs	k a p r iː d͡ʒ e n o s
caprārum	k a p r aː r u m
caprās	k aː p r a s
caprīs	k aː p r i s
capsum	k a p s u m
captus	k a p t u s
captīva	k a p t iː v a
captīvō	k a p t iː v o
captīvōrum	k a p t i v ɔː r u m
captō	k a p t o
captūre	k a p t uː r e
capucinus	k a p uː t͡ʃ i n u s
capulō	k aː p u l o
caracallae	k a r a k a l l e
caracallam	k a r a k a l l a m
caracallis	k a r a k a l l i s
caracallārum	k a r a k a l l aː r u m
caracallās	k a r a k a l l a s
carbōne	k a r b ɔː n e
carbōnica	k a r b ɔː n i k a
carbōnicī	k a r b ɔː n i t͡ʃ i
carbōnēs	k a r b ɔː n e s
carcelāgium	k a r t͡ʃ e l aː d͡ʒ i u m
carcerāgium	k a r t͡ʃ e r aː d͡ʒ i u m
carcerārium	k a r t͡ʃ e r aː r i u m
carcāre	k a r k aː r e
carcō	k a r k o
cardamōma	k a r d a m ɔː m a
cardamōmī	k a r d a m ɔː m i
cardamōmīs	k a r d a m ɔː m i s
cardamōmō	k a r d a m ɔː m o
cardamōmōrum	k a r d a m o m ɔː r u m
cardus	k a r d u s
cardō	k a r d o
carente	k a r ɛ n t e
carentēs	k a r ɛ n t e s
cargāre	k a r ɡ aː r e
cargō	k a r ɡ o
caricō	k aː r i k o
carine	k aː r i n e
carinus	k aː r i n u s
carinī	k aː r i n i
caristia	k a r i s t i a
carlsbergēnsis	k a r l z b e r d͡ʒ ɛ n s i s
carmen	k a r m e n
carminandum	k a r m i n a n d u m
carminandus	k a r m i n a n d u s
carminandī	k a r m i n a n d i
carminandō	k a r m i n a n d o
carminum	k a r m i n u m
carmināns	k a r m i n a n s
carminātus	k a r m i n aː t u s
carminātūrus	k a r m i n a t uː r u s
carmināverimus	k a r m i n a v e r iː m u s
carmināverimus	k a r m i n a v ɛː r i m u s
carmināveris	k a r m i n aː v e r i s
carmināveritis	k a r m i n a v e r iː t i s
carmināveritis	k a r m i n a v ɛː r i t i s
carminō	k a r m i n o
carnaticus	k a r n aː t i k u s
carne	k a r n e
carnificīnae	k a r n i f i t͡ʃ iː n e
carnificīnam	k a r n i f i t͡ʃ iː n a m
carnālitāte	k a r n a l i t aː t e
carnālitātem	k a r n a l i t aː t e m
carnālitātibus	k a r n a l i t aː t i b u s
carnālitātis	k a r n a l i t aː t i s
carnālitātum	k a r n a l i t aː t u m
carnālitātēs	k a r n a l i t aː t e s
carnālitātī	k a r n a l i t aː t i
carnōsa	k a r n ɔː s̬ a
carnōse	k a r n ɔː s̬ e
carnōsās	k a r n ɔː s̬ a s
carnōsī	k a r n ɔː s̬ i
carnōsō	k a r n ɔː s̬ o
carnōsōs	k a r n ɔː s̬ o s
carolicoroniēnsibus	k a r o l i k o r o n i ɛ n s i b u s
carolicoroniēnsis	k a r o l i k o r o n i ɛ n s i s
carpathum	k a r p a t u m
carpatinus	k a r p aː t i n u s
carpe	k a r p e
carpentārium	k a r p e n t aː r i u m
carpentārius	k a r p e n t aː r i u s
carpine	k a r p i n e
carpinum	k a r p i n u m
carpinī	k a r p i n i
carpinīs	k a r p i n i s
carpinō	k a r p i n o
carpinōrum	k a r p i n ɔː r u m
carpinōs	k a r p i n o s
carpis	k a r p i s
carpum	k a r p u m
carpī	k a r p i
carpīs	k a r p i s
carpō	k a r p o
carpōrum	k a r p ɔː r u m
carpōs	k a r p o s
carricāre	k a r r i k aː r e
carrocōne	k a r r o k ɔː n e
carrocōnem	k a r r o k ɔː n e m
carrocōnibus	k a r r o k ɔː n i b u s
carrocōnis	k a r r o k ɔː n i s
carrocōnum	k a r r o k ɔː n u m
carrocōnēs	k a r r o k ɔː n e s
carrocōnī	k a r r o k ɔː n i
carrī	k a r r i
carrō	k a r r o
carrōs	k a r r o s
carta	k a r t a
cartilāginea	k a r t i l a d͡ʒ iː n e a
cartilāginee	k a r t i l a d͡ʒ iː n e e
cartilāgineī	k a r t i l a d͡ʒ iː n e i
cartilāgineō	k a r t i l a d͡ʒ iː n e o
carē	k aː r e
carēbō	k a r ɛː b o
carēs	k aː r e s
carīnō	k a r iː n o
carō	k aː r o
carōtis	k a r ɔː t i s
carūca	k a r uː k a
casachicus	k a s̬ aː k i k u s
casam	k aː s̬ a m
casia	k aː s̬ i a
casmiricus	k a z m iː r i k u s
caspicus	k a s p i k u s
cassida	k a s s i d a
cassis	k a s s i s
cassubicus	k a s s uː b i k u s
cassum	k a s s u m
cassō	k a s s o
casta	k a s t a
castaldī	k a s t a l d i
castaldō	k a s t a l d o
castaniētum	k a s t a n i ɛː t u m
castanārius	k a s t a n aː r i u s
caste	k a s t e
castrās	k a s t r a s
castrīs	k a s t r i s
castum	k a s t u m
castus	k a s t u s
castē	k a s t e
castī	k a s t i
castīgātor	k a s t i ɡ aː t o r
casālia	k a s̬ aː l i a
casālis	k a s̬ aː l i s
casāria	k a s̬ aː r i a
casāriam	k a s̬ aː r i a m
casāriās	k a s̬ aː r i a s
casās	k aː s̬ a s
cata	k aː t a
catam	k aː t a m
cataphracta	k a t a f r a k t a
cataphractae	k a t a f r a k t e
cataphractam	k a t a f r a k t a m
cataphracte	k a t a f r a k t e
cataphractum	k a t a f r a k t u m
cataphractārum	k a t a f r a k t aː r u m
cataphractās	k a t a f r a k t a s
cataphractē	k a t a f r a k t e
cataphractēn	k a t a f r a k t e n
cataphractī	k a t a f r a k t i
cataphractīs	k a t a f r a k t i s
cataphractō	k a t a f r a k t o
cataphractōrum	k a t a f r a k t ɔː r u m
cataphractōs	k a t a f r a k t o s
catasce͡uē	k a t a ʃ ʃ ɛː u̯ e
catasce͡uēn	k a t a ʃ ʃ ɛː u̯ e n
catasce͡uēs	k a t a ʃ ʃ ɛː u̯ e s
catastam	k a t a s t a m
cate	k aː t e
catella	k a t ɛ l l a
catellīs	k a t ɛ l l i s
catus	k aː t u s
catā	k aː t a
catās	k aː t a s
catēcheticus	k a t e k ɛː t i k u s
catēchista	k a t e k i s t a
catēcizō	k a t e t͡ʃ i d d͡z o
catēlla	k a t ɛ l l a
catīllō	k a t i l l o
catō	k aː t o
caucasicus	k a u̯ k aː s̬ i k u s
caulis	k aː u̯ l i s
caulīs	k aː u̯ l i s
causam	k aː u̯ s a m
causandō	k a u̯ s a n d o
caussa	k a u̯ s s a
caustica	k a u̯ s t i k a
causticā	k a u̯ s t i k a
causticī	k a u̯ s t i t͡ʃ i
causticō	k a u̯ s t i k o
causāle	k a u̯ s aː l e
causālēs	k a u̯ s aː l e s
causās	k aː u̯ s a s
causātor	k a u̯ s aː t o r
cauta	k aː u̯ t a
caute	k aː u̯ t e
cautās	k aː u̯ t a s
cautē	k aː u̯ t e
cautēlae	k aː u̯ t e l e
cautēriā	k a u̯ t ɛː r i a
cautēriī	k a u̯ t ɛː r i i
cautēriīs	k a u̯ t ɛː r i i s
cautēriōrum	k a u̯ t e r i ɔː r u m
cautī	k aː u̯ t i
