'tamo'	t a m o
corgi	k o ɾ ɡ i
Cori	k o ɾ i
Coria	k o ɾ j a
coriáceo	k o ɾ j a θ e o
coriana	k o ɾ j a n a
coriandro	k o ɾ j a n d ɾ o
coriano	k o ɾ j a n o
coridálido	k o ɾ i d a l i d o
corifea	k o ɾ i f e a
corifeo	k o ɾ i f e o
corillo	k o ɾ i ʝ o
corillo	k o ɾ i ʝ o
corimbo	k o ɾ i m b o
corimbos	k o ɾ i m b o s
corimboso	k o ɾ i m b o s o
Corina	k o ɾ i n a
corindón	k o ɾ i n d o n
corinebacteria	k o ɾ i n e b a ɡ t e ɾ j a
Corintios	k o ɾ i n t j o s
Corinto	k o ɾ i n t o
coriocarcinoma	k o ɾ j o k a ɾ θ i n o m a
corista	k o ɾ i s t a
coristodero	k o ɾ i s t o d e ɾ o
coriza	k o ɾ i θ a
corlado	k o ɾ l a d o
corlar	k o ɾ l a ɾ
corleado	k o ɾ l e a d o
corlear	k o ɾ l e a ɾ
cormo	k o ɾ m o
cormorán	k o ɾ m o ɾ a n
cornaca	k o ɾ n a k a
cornada	k o ɾ n a d a
cornado	k o ɾ n a d o
cornalina	k o ɾ n a l i n a
cornalón	k o ɾ n a l o n
cornamenta	k o ɾ n a m e n t a
cornamusa	k o ɾ n a m u s a
córnea	k o ɾ n e a
corneada	k o ɾ n e a d a
corneadas	k o ɾ n e a d a s
corneado	k o ɾ n e a d o
corneador	k o ɾ n e a d o ɾ
corneados	k o ɾ n e a d o s
corneal	k o ɾ n e a l
cornear	k o ɾ n e a ɾ
córneas	k o ɾ n e a s
corneja	k o ɾ n e x a
cornejo	k o ɾ n e x o
Cornejo	k o ɾ n e x o
Cornelio	k o ɾ n e l j o
córneo	k o ɾ n e o
corner	k o ɾ n e ɾ
corner	k o ɾ n e ɾ
córner	k o ɾ n e ɾ
corneta	k o ɾ n e t a
cornetazo	k o ɾ n e t a θ o
cornete	k o ɾ n e t e
cornetín	k o ɾ n e t i n
cornetista	k o ɾ n e t i s t a
cornezuelo	k o ɾ n e θ w e l o
cornfleiks	k o ɾ n f l e i ɡ s
cornfleiks	k o n f l e i s
cornicabra	k o ɾ n i k a b ɾ a
córnico	k o ɾ n i k o
cornidelantero	k o ɾ n i d e l a n t e ɾ o
cornisa	k o ɾ n i s a
cornisamiento	k o ɾ n i s a m j e n t o
cornista	k o ɾ n i s t a
corno	k o ɾ n o
Cornualles	k o ɾ n w a ʝ e s
Cornualles	k o ɾ n w a ʝ e s
cornuallés	k o ɾ n w a ʝ e s
cornuallés	k o ɾ n w a ʝ e s
cornucopia	k o ɾ n u k o p j a
cornucopias	k o ɾ n u k o p j a s
cornuda	k o ɾ n u d a
cornudilla	k o ɾ n u d i ʝ a
cornudilla	k o ɾ n u d i ʝ a
cornudo	k o ɾ n u d o
coro	k o ɾ o
corocoro	k o ɾ o k o ɾ o
corografía	k o ɾ o ɡ ɾ a f i a
corográfica	k o ɾ o ɡ ɾ a f i k a
corográficamente	k o ɾ o ɡ ɾ a f i k a m e n t e
corográficas	k o ɾ o ɡ ɾ a f i k a s
corográfico	k o ɾ o ɡ ɾ a f i k o
corográficos	k o ɾ o ɡ ɾ a f i k o s
Coroico	k o ɾ o i k o
corojo	k o ɾ o x o
corola	k o ɾ o l a
corolario	k o ɾ o l a ɾ j o
corología	k o ɾ o l o x i a
Corominas	k o ɾ o m i n a s
corona	k o ɾ o n a
Corona	k o ɾ o n a
coronabicho	k o ɾ o n a b i t͡ʃ o
coronación	k o ɾ o n a θ j o n
coronada	k o ɾ o n a d a
coronadas	k o ɾ o n a d a s
Coronado	k o ɾ o n a d o
coronado	k o ɾ o n a d o
coronador	k o ɾ o n a d o ɾ
coronados	k o ɾ o n a d o s
coronal	k o ɾ o n a l
coronar	k o ɾ o n a ɾ
coronaria	k o ɾ o n a ɾ j a
coronario	k o ɾ o n a ɾ j o
coronariopatía	k o ɾ o n a ɾ j o p a t i a
coronas	k o ɾ o n a s
coronavirus	k o ɾ o n a b i ɾ u s
coronel	k o ɾ o n e l
Coronel	k o ɾ o n e l
coronelía	k o ɾ o n e l i a
coroniazul	k o ɾ o n j a θ u l
coroniazules	k o ɾ o n j a θ u l e s
corónica	k o ɾ o n i k a
corónicas	k o ɾ o n i k a s
coronicastaño	k o ɾ o n i k a s t a ɲ o
coronilla	k o ɾ o n i ʝ a
coronilla	k o ɾ o n i ʝ a
coronillo	k o ɾ o n i ʝ o
coronillo	k o ɾ o n i ʝ o
coronista	k o ɾ o n i s t a
coronita	k o ɾ o n i t a
coronta	k o ɾ o n t a
coroto	k o ɾ o t o
coroza	k o ɾ o θ a
Corozal	k o ɾ o θ a l
corozaleña	k o ɾ o θ a l e ɲ a
corozaleño	k o ɾ o θ a l e ɲ o
corozo	k o ɾ o θ o
corpachón	k o ɾ p a t͡ʃ o n
corpectomía	k o ɾ p e ɡ t o m i a
corpiño	k o ɾ p i ɲ o
corporación	k o ɾ p o ɾ a θ j o n
corporal	k o ɾ p o ɾ a l
corporalidad	k o ɾ p o ɾ a l i d a d
corporalmente	k o ɾ p o ɾ a l m e n t e
corporativa	k o ɾ p o ɾ a t i b a
corporativas	k o ɾ p o ɾ a t i b a s
corporativista	k o ɾ p o ɾ a t i b i s t a
corporativo	k o ɾ p o ɾ a t i b o
corporativos	k o ɾ p o ɾ a t i b o s
corporatización	k o ɾ p o ɾ a t i θ a θ j o n
corpórea	k o ɾ p o ɾ e a
corpóreas	k o ɾ p o ɾ e a s
corpóreo	k o ɾ p o ɾ e o
corpóreos	k o ɾ p o ɾ e o s
corporizar	k o ɾ p o ɾ i θ a ɾ
corporomental	k o ɾ p o ɾ o m e n t a l
corpulencia	k o ɾ p u l e n θ j a
corpulenta	k o ɾ p u l e n t a
corpulentas	k o ɾ p u l e n t a s
corpulentísimo	k o ɾ p u l e n t i s i m o
corpulento	k o ɾ p u l e n t o
corpulentos	k o ɾ p u l e n t o s
corpus	k o ɾ p u s
corpuscular	k o ɾ p u s k u l a ɾ
corpúsculo	k o ɾ p u s k u l o
corra	k o r a
corral	k o r a l
corrala	k o r a l a
corraleja	k o r a l e x a
corralero	k o r a l e ɾ o
Corrales	k o r a l e s
corralito	k o r a l i t o
corraliza	k o r a l i θ a
corralón	k o r a l o n
corramos	k o r a m o s
corras	k o r a s
corre	k o r e
correa	k o r e a
Correa	k o r e a
correaje	k o r e a x e
correato	k o r e a t o
correazo	k o r e a θ o
correbou	k o r e b o u
corrección	k o r e ɡ θ j o n
correccional	k o r e ɡ θ j o n a l
correceptor	k o r e θ e b t o ɾ
correctamente	k o r e ɡ t a m e n t e
correctísimo	k o r e ɡ t i s i m o
correcto	k o r e ɡ t o
corrector	k o r e ɡ t o ɾ
correctora	k o r e ɡ t o ɾ a
correctoras	k o r e ɡ t o ɾ a s
correctores	k o r e ɡ t o ɾ e s
corredactor	k o r e d a ɡ t o ɾ
corredera	k o r e d e ɾ a
Corredera	k o r e d e ɾ a
corredero	k o r e d e ɾ o
corredil	k o r e d i l
corredizo	k o r e d i θ o
corredor	k o r e d o ɾ
corredora	k o r e d o ɾ a
corredoras	k o r e d o ɾ a s
corredores	k o r e d o ɾ e s
correfoc	k o r e f o k
corregencia	k o r e x e n θ j a
corregible	k o r e x i b l e
corregida	k o r e x i d a
corregidas	k o r e x i d a s
corregido	k o r e x i d o
Corregidor	k o r e x i d o ɾ
corregidos	k o r e x i d o s
corregimental	k o r e x i m e n t a l
corregimiento	k o r e x i m j e n t o
corregir	k o r e x i ɾ
corregüela	k o r e ɡ w e l a
corregüelas	k o r e ɡ w e l a s
correíllo	k o r e i ʝ o
correíllo	k o r e i ʝ o
correísmo	k o r e i s m o
correísta	k o r e i s t a
correíto	k o r e i t o
correlación	k o r e l a θ j o n
correlacionada	k o r e l a θ j o n a d a
correlacionadas	k o r e l a θ j o n a d a s
correlacionado	k o r e l a θ j o n a d o
correlacionados	k o r e l a θ j o n a d o s
correlacionar	k o r e l a θ j o n a ɾ
correlativamente	k o r e l a t i b a m e n t e
correligionaria	k o r e l i x j o n a ɾ j a
correligionario	k o r e l i x j o n a ɾ j o
correlimos	k o r e l i m o s
correlón	k o r e l o n
corremos	k o r e m o s
correntada	k o r e n t a d a
correntina	k o r e n t i n a
correntino	k o r e n t i n o
correntío	k o r e n t i o
correntosa	k o r e n t o s a
correntoso	k o r e n t o s o
correo	k o r e o
correos	k o r e o s
Correos	k o r e o s
correpetidor	k o r e p e t i d o ɾ
correr	k o r e ɾ
correrá	k o r e ɾ a
correrás	k o r e ɾ a s
correremos	k o r e ɾ e m o s
correres	k o r e ɾ e s
correría	k o r e ɾ i a
correríamos	k o r e ɾ i a m o s
correrse	k o r e ɾ s e
corrérsela	k o r e ɾ s e l a
corres	k o r e s
corrés	k o r e s
correspectiva	k o r e s p e ɡ t i b a
correspectivas	k o r e s p e ɡ t i b a s
correspectivo	k o r e s p e ɡ t i b o
correspectivos	k o r e s p e ɡ t i b o s
correspondencia	k o r e s p o n d e n θ j a
correspondentista	k o r e s p o n d e n t i s t a
corresponder	k o r e s p o n d e ɾ
correspondida	k o r e s p o n d i d a
correspondidas	k o r e s p o n d i d a s
correspondido	k o r e s p o n d i d o
correspondidos	k o r e s p o n d i d o s
correspondiente	k o r e s p o n d j e n t e
correspondiésemos	k o r e s p o n d j e s e m o s
corresponsal	k o r e s p o n s a l
corretaje	k o r e t a x e
correteada	k o r e t e a d a
correteadas	k o r e t e a d a s
correteado	k o r e t e a d o
correteados	k o r e t e a d o s
corretear	k o r e t e a ɾ
correteo	k o r e t e o
corretón	k o r e t o n
correveidile	k o r e b e i d i l e
correy	k o r e i
corríamos	k o r i a m o s
corrida	k o r i d a
corridazo	k o r i d a θ o
corrido	k o r i d o
corrientazo	k o r j e n t a θ o
corriente	k o r j e n t e
corrientemente	k o r j e n t e m e n t e
Corrientes	k o r j e n t e s
corrigüela	k o r i ɡ w e l a
corrijo	k o r i x o
corrillo	k o r i ʝ o
corrillo	k o r i ʝ o
corrimiento	k o r i m j e n t o
corrinche	k o r i n t͡ʃ e
corro	k o r o
Corro	k o r o
corroborada	k o r o b o ɾ a d a
corroboradas	k o r o b o ɾ a d a s
corroborado	k o r o b o ɾ a d o
corroborador	k o r o b o ɾ a d o ɾ
corroborados	k o r o b o ɾ a d o s
corroborar	k o r o b o ɾ a ɾ
corroer	k o r o e ɾ
corroída	k o r o i d a
corroídas	k o r o i d a s
corroído	k o r o i d o
corroídos	k o r o i d o s
corrompedor	k o r o m p e d o ɾ
corromper	k o r o m p e ɾ
corrompida	k o r o m p i d a
corrompidamente	k o r o m p i d a m e n t e
corrompidas	k o r o m p i d a s
corrompido	k o r o m p i d o
corrompidos	k o r o m p i d o s
corroncha	k o r o n t͡ʃ a
corroncho	k o r o n t͡ʃ o
corrosión	k o r o s j o n
corrosiones	k o r o s j o n e s
corrosiva	k o r o s i b a
corrosivas	k o r o s i b a s
corrosivo	k o r o s i b o
corrosivos	k o r o s i b o s
corrugada	k o r u ɡ a d a
corrugadas	k o r u ɡ a d a s
corrugado	k o r u ɡ a d o
corrugador	k o r u ɡ a d o ɾ
corrugados	k o r u ɡ a d o s
corrugar	k o r u ɡ a ɾ
corrugo	k o r u ɡ o
corrugó	k o r u ɡ o
corrugue	k o r u ɡ e
corrugué	k o r u ɡ e
corrupción	k o r u b θ j o n
corrupta	k o r u b t a
corruptamente	k o r u b t a m e n t e
corruptas	k o r u b t a s
corruptela	k o r u b t e l a
corruptibilidad	k o r u b t i b i l i d a d
corruptible	k o r u b t i b l e
corruptibles	k o r u b t i b l e s
corruptivo	k o r u b t i b o
corrupto	k o r u b t o
corruptor	k o r u b t o ɾ
corruptos	k o r u b t o s
corsa	k o ɾ s a
corsaria	k o ɾ s a ɾ j a
corsario	k o ɾ s a ɾ j o
corsas	k o ɾ s a s
corsé	k o ɾ s e
corset	k o ɾ s e t
corsetería	k o ɾ s e t e ɾ i a
corso	k o ɾ s o
corsódromo	k o ɾ s o d ɾ o m o
corsos	k o ɾ s o s
corta	k o ɾ t a
cortacésped	k o ɾ t a θ e s p e d
cortacorriente	k o ɾ t a k o r j e n t e
cortada	k o ɾ t a d a
cortadas	k o ɾ t a d a s
cortadera	k o ɾ t a d e ɾ a
cortadillo	k o ɾ t a d i ʝ o
cortadillo	k o ɾ t a d i ʝ o
cortadita	k o ɾ t a d i t a
cortaditas	k o ɾ t a d i t a s
cortadito	k o ɾ t a d i t o
cortaditos	k o ɾ t a d i t o s
cortadla	k o ɾ t a d l a
cortadlas	k o ɾ t a d l a s
cortadle	k o ɾ t a d l e
cortadles	k o ɾ t a d l e s
cortadlo	k o ɾ t a d l o
cortadlos	k o ɾ t a d l o s
cortadme	k o ɾ t a d m e
cortadnos	k o ɾ t a d n o s
cortado	k o ɾ t a d o
cortadón	k o ɾ t a d o n
cortador	k o ɾ t a d o ɾ
cortadora	k o ɾ t a d o ɾ a
cortados	k o ɾ t a d o s
cortadura	k o ɾ t a d u ɾ a
cortafuego	k o ɾ t a f w e ɡ o
cortafuegos	k o ɾ t a f w e ɡ o s
córtales	k o ɾ t a l e s
córtalos	k o ɾ t a l o s
cortamente	k o ɾ t a m e n t e
córtanos	k o ɾ t a n o s
cortante	k o ɾ t a n t e
cortapisa	k o ɾ t a p i s a
cortapizzas	k o ɾ t a p i t s a s
cortapizzas	k o ɾ t a p i θ a s
cortar	k o ɾ t a ɾ
cortarla	k o ɾ t a ɾ l a
cortarramas	k o ɾ t a r a m a s
cortarrollos	k o ɾ t a r o ʝ o s
cortarrollos	k o ɾ t a r o ʝ o s
cortasangre	k o ɾ t a s a n ɡ ɾ e
cortaúñas	k o ɾ t a u ɲ a s
cortavenas	k o ɾ t a b e n a s
Cortázar	k o ɾ t a θ a ɾ
cortazariano	k o ɾ t a θ a ɾ j a n o
corte	k o ɾ t e
cortedad	k o ɾ t e d a d
cortejado	k o ɾ t e x a d o
cortejar	k o ɾ t e x a ɾ
cortejo	k o ɾ t e x o
cortejos	k o ɾ t e x o s
córtele	k o ɾ t e l e
córteles	k o ɾ t e l e s
córtelo	k o ɾ t e l o
córteme	k o ɾ t e m e
cortémosla	k o ɾ t e m o s l a
cortémoslas	k o ɾ t e m o s l a s
cortémosle	k o ɾ t e m o s l e
cortémosles	k o ɾ t e m o s l e s
cortémoslo	k o ɾ t e m o s l o
cortémoslos	k o ɾ t e m o s l o s
córtenla	k o ɾ t e n l a
córtenlas	k o ɾ t e n l a s
córtenle	k o ɾ t e n l e
córtenles	k o ɾ t e n l e s
córtenlo	k o ɾ t e n l o
córtenlos	k o ɾ t e n l o s
córtenme	k o ɾ t e m m e
córtense	k o ɾ t e n s e
cortes	k o ɾ t e s
Cortes	k o ɾ t e s
cortés	k o ɾ t e s
Cortés	k o ɾ t e s
cortesana	k o ɾ t e s a n a
cortesanía	k o ɾ t e s a n i a
cortesano	k o ɾ t e s a n o
cortesense	k o ɾ t e s e n s e
corteseño	k o ɾ t e s e ɲ o
corteses	k o ɾ t e s e s
cortesía	k o ɾ t e s i a
cortésmente	k o ɾ t e s m e n t e
córtex	k o ɾ t e ɡ s
Cortez	k o ɾ t e θ
corteza	k o ɾ t e θ a
cortical	k o ɾ t i k a l
cortico	k o ɾ t i k o
corticoespinal	k o ɾ t i k o e s p i n a l
corticoide	k o ɾ t i k o i d e
corticorresistencia	k o ɾ t i k o r e s i s t e n θ j a
corticosteroide	k o ɾ t i k o s t e ɾ o i d e
corticotropina	k o ɾ t i k o t ɾ o p i n a
cortijada	k o ɾ t i x a d a
cortijo	k o ɾ t i x o
cortina	k o ɾ t i n a
Cortina	k o ɾ t i n a
cortinado	k o ɾ t i n a d o
cortinaje	k o ɾ t i n a x e
cortinilla	k o ɾ t i n i ʝ a
cortinilla	k o ɾ t i n i ʝ a
cortinón	k o ɾ t i n o n
cortinones	k o ɾ t i n o n e s
cortísimo	k o ɾ t i s i m o
cortisol	k o ɾ t i s o l
cortisona	k o ɾ t i s o n a
cortito	k o ɾ t i t o
Cortizo	k o ɾ t i θ o
corto	k o ɾ t o
cortocircuitada	k o ɾ t o θ i ɾ k w i t a d a
cortocircuitadas	k o ɾ t o θ i ɾ k w i t a d a s
cortocircuitado	k o ɾ t o θ i ɾ k w i t a d o
cortocircuitados	k o ɾ t o θ i ɾ k w i t a d o s
cortocircuitar	k o ɾ t o θ i ɾ k w i t a ɾ
cortometraje	k o ɾ t o m e t ɾ a x e
cortometrajista	k o ɾ t o m e t ɾ a x i s t a
cortoplacista	k o ɾ t o p l a θ i s t a
corunda	k o ɾ u n d a
coruñés	k o ɾ u ɲ e s
coruñesa	k o ɾ u ɲ e s a
coruscante	k o ɾ u s k a n t e
coruscar	k o ɾ u s k a ɾ
corva	k o ɾ b a
corvar	k o ɾ b a ɾ
corvas	k o ɾ b a s
corvea	k o ɾ b e a
corvejón	k o ɾ b e x o n
corveta	k o ɾ b e t a
córvido	k o ɾ b i d o
corvina	k o ɾ b i n a
corvino	k o ɾ b i n o
corvo	k o ɾ b o
corvos	k o ɾ b o s
Corvus	k o ɾ b u s
corza	k o ɾ θ a
corzo	k o ɾ θ o
Corzo	k o ɾ θ o
corzuela	k o ɾ θ w e l a
cosa	k o s a
cosaca	k o s a k a
cosaco	k o s a k o
cosario	k o s a ɾ j o
cosas	k o s a s
coscarse	k o s k a ɾ s e
coscas	k o s k a s
cosco	k o s k o
coscoja	k o s k o x a
coscojo	k o s k o x o
coscomate	k o s k o m a t e
coscorrón	k o s k o r o n
cose	k o s e
cosecha	k o s e t͡ʃ a
cosechada	k o s e t͡ʃ a d a
cosechadas	k o s e t͡ʃ a d a s
cosechado	k o s e t͡ʃ a d o
cosechador	k o s e t͡ʃ a d o ɾ
cosechadora	k o s e t͡ʃ a d o ɾ a
cosechados	k o s e t͡ʃ a d o s
cosechar	k o s e t͡ʃ a ɾ
cosechera	k o s e t͡ʃ e ɾ a
cosechero	k o s e t͡ʃ e ɾ o
cosedora	k o s e d o ɾ a
coselete	k o s e l e t e
coseno	k o s e n o
Cosenza	k o s e n θ a
coser	k o s e ɾ
cosí	k o s i
cosida	k o s i d a
cosidas	k o s i d a s
cosido	k o s i d o
cosidos	k o s i d o s
cosifa	k o s i f a
cosificación	k o s i f i k a θ j o n
cosificar	k o s i f i k a ɾ
cosilla	k o s i ʝ a
cosilla	k o s i ʝ a
cosita	k o s i t a
cosmatesco	k o s m a t e s k o
cosmética	k o s m e t i k a
cosméticamente	k o s m e t i k a m e n t e
cosméticas	k o s m e t i k a s
cosmético	k o s m e t i k o
cosmetizar	k o s m e t i θ a ɾ
cosmetóloga	k o s m e t o l o ɡ a
cosmetología	k o s m e t o l o x i a
cosmetólogo	k o s m e t o l o ɡ o
cósmica	k o s m i k a
cósmicamente	k o s m i k a m e n t e
cósmicas	k o s m i k a s
cósmico	k o s m i k o
cósmicos	k o s m i k o s
cósmido	k o s m i d o
cosmódromo	k o s m o d ɾ o m o
cosmódromos	k o s m o d ɾ o m o s
cosmógeno	k o s m o x e n o
cosmogonía	k o s m o ɡ o n i a
cosmógrafa	k o s m o ɡ ɾ a f a
cosmógrafo	k o s m o ɡ ɾ a f o
cosmógrafos	k o s m o ɡ ɾ a f o s
cosmóloga	k o s m o l o ɡ a
cosmología	k o s m o l o x i a
cosmológico	k o s m o l o x i k o
cosmólogo	k o s m o l o ɡ o
cosmonauta	k o s m o n a u t a
cosmonautas	k o s m o n a u t a s
cosmonave	k o s m o n a b e
cosmonaves	k o s m o n a b e s
cosmópolis	k o s m o p o l i s
cosmopolita	k o s m o p o l i t a
cosmopolitas	k o s m o p o l i t a s
cosmoquímica	k o s m o k i m i k a
cosmos	k o s m o s
cosmovisión	k o s m o b i s j o n
coso	k o s o
cosoberanía	k o s o b e ɾ a n i a
Cosoleacaque	k o s o l e a k a k e
cospel	k o s p e l
cospera	k o s p e ɾ a
cospero	k o s p e ɾ o
cosplay	k o s p l e i
cosplay	k o s p l e i
cosplayer	k o s p l a ʝ e ɾ
cosplayer	k o s p l e ʝ e ɾ
cospobre	k o s p o b ɾ e
cosquilla	k o s k i ʝ a
cosquilla	k o s k i ʝ a
cosquillá	k o s k i ʝ a
cosquillá	k o s k i ʝ a
cosquillaba	k o s k i ʝ a b a
cosquillaba	k o s k i ʝ a b a
cosquillabais	k o s k i ʝ a b a i s
cosquillabais	k o s k i ʝ a b a i s
cosquillábamos	k o s k i ʝ a b a m o s
cosquillábamos	k o s k i ʝ a b a m o s
cosquillaban	k o s k i ʝ a b a n
cosquillaban	k o s k i ʝ a b a n
cosquillabas	k o s k i ʝ a b a s
cosquillabas	k o s k i ʝ a b a s
cosquillad	k o s k i ʝ a d
cosquillad	k o s k i ʝ a d
cosquillada	k o s k i ʝ a d a
cosquillada	k o s k i ʝ a d a
cosquilladas	k o s k i ʝ a d a s
cosquilladas	k o s k i ʝ a d a s
cosquilladla	k o s k i ʝ a d l a
cosquilladla	k o s k i ʝ a d l a
cosquilladlas	k o s k i ʝ a d l a s
cosquilladlas	k o s k i ʝ a d l a s
cosquilladle	k o s k i ʝ a d l e
cosquilladle	k o s k i ʝ a d l e
cosquilladles	k o s k i ʝ a d l e s
cosquilladles	k o s k i ʝ a d l e s
cosquilladlo	k o s k i ʝ a d l o
cosquilladlo	k o s k i ʝ a d l o
cosquilladlos	k o s k i ʝ a d l o s
cosquilladlos	k o s k i ʝ a d l o s
cosquilladme	k o s k i ʝ a d m e
cosquilladme	k o s k i ʝ a d m e
cosquilladnos	k o s k i ʝ a d n o s
cosquilladnos	k o s k i ʝ a d n o s
cosquillado	k o s k i ʝ a d o
cosquillado	k o s k i ʝ a d o
cosquillados	k o s k i ʝ a d o s
cosquillados	k o s k i ʝ a d o s
cosquilláis	k o s k i ʝ a i s
cosquilláis	k o s k i ʝ a i s
cosquillala	k o s k i ʝ a l a
cosquillala	k o s k i ʝ a l a
cosquíllala	k o s k i ʝ a l a
cosquíllala	k o s k i ʝ a l a
cosquillalas	k o s k i ʝ a l a s
cosquillalas	k o s k i ʝ a l a s
cosquíllalas	k o s k i ʝ a l a s
cosquíllalas	k o s k i ʝ a l a s
cosquillale	k o s k i ʝ a l e
cosquillale	k o s k i ʝ a l e
cosquíllale	k o s k i ʝ a l e
cosquíllale	k o s k i ʝ a l e
cosquillales	k o s k i ʝ a l e s
cosquillales	k o s k i ʝ a l e s
cosquíllales	k o s k i ʝ a l e s
cosquíllales	k o s k i ʝ a l e s
cosquillalo	k o s k i ʝ a l o
cosquillalo	k o s k i ʝ a l o
cosquíllalo	k o s k i ʝ a l o
cosquíllalo	k o s k i ʝ a l o
cosquillalos	k o s k i ʝ a l o s
cosquillalos	k o s k i ʝ a l o s
cosquíllalos	k o s k i ʝ a l o s
cosquíllalos	k o s k i ʝ a l o s
cosquillame	k o s k i ʝ a m e
cosquillame	k o s k i ʝ a m e
cosquíllame	k o s k i ʝ a m e
cosquíllame	k o s k i ʝ a m e
cosquillamos	k o s k i ʝ a m o s
cosquillamos	k o s k i ʝ a m o s
cosquillan	k o s k i ʝ a n
cosquillan	k o s k i ʝ a n
cosquillando	k o s k i ʝ a n d o
cosquillando	k o s k i ʝ a n d o
cosquillándola	k o s k i ʝ a n d o l a
cosquillándola	k o s k i ʝ a n d o l a
cosquillándolas	k o s k i ʝ a n d o l a s
cosquillándolas	k o s k i ʝ a n d o l a s
cosquillándole	k o s k i ʝ a n d o l e
cosquillándole	k o s k i ʝ a n d o l e
cosquillándoles	k o s k i ʝ a n d o l e s
cosquillándoles	k o s k i ʝ a n d o l e s
cosquillándolo	k o s k i ʝ a n d o l o
cosquillándolo	k o s k i ʝ a n d o l o
cosquillándolos	k o s k i ʝ a n d o l o s
cosquillándolos	k o s k i ʝ a n d o l o s
cosquillándome	k o s k i ʝ a n d o m e
cosquillándome	k o s k i ʝ a n d o m e
cosquillándonos	k o s k i ʝ a n d o n o s
cosquillándonos	k o s k i ʝ a n d o n o s
cosquillándoos	k o s k i ʝ a n d o o s
cosquillándoos	k o s k i ʝ a n d o o s
cosquillándose	k o s k i ʝ a n d o s e
cosquillándose	k o s k i ʝ a n d o s e
cosquillándote	k o s k i ʝ a n d o t e
cosquillándote	k o s k i ʝ a n d o t e
cosquillanos	k o s k i ʝ a n o s
cosquillanos	k o s k i ʝ a n o s
cosquíllanos	k o s k i ʝ a n o s
cosquíllanos	k o s k i ʝ a n o s
cosquillaos	k o s k i ʝ a o s
cosquillaos	k o s k i ʝ a o s
cosquillar	k o s k i ʝ a ɾ
cosquillar	k o s k i ʝ a ɾ
cosquillara	k o s k i ʝ a ɾ a
cosquillara	k o s k i ʝ a ɾ a
cosquillará	k o s k i ʝ a ɾ a
cosquillará	k o s k i ʝ a ɾ a
cosquillarais	k o s k i ʝ a ɾ a i s
cosquillarais	k o s k i ʝ a ɾ a i s
cosquilláramos	k o s k i ʝ a ɾ a m o s
cosquilláramos	k o s k i ʝ a ɾ a m o s
cosquillaran	k o s k i ʝ a ɾ a n
cosquillaran	k o s k i ʝ a ɾ a n
cosquillarán	k o s k i ʝ a ɾ a n
cosquillarán	k o s k i ʝ a ɾ a n
cosquillaras	k o s k i ʝ a ɾ a s
cosquillaras	k o s k i ʝ a ɾ a s
cosquillarás	k o s k i ʝ a ɾ a s
cosquillarás	k o s k i ʝ a ɾ a s
cosquillare	k o s k i ʝ a ɾ e
cosquillare	k o s k i ʝ a ɾ e
cosquillaré	k o s k i ʝ a ɾ e
cosquillaré	k o s k i ʝ a ɾ e
cosquillareis	k o s k i ʝ a ɾ e i s
cosquillareis	k o s k i ʝ a ɾ e i s
cosquillaréis	k o s k i ʝ a ɾ e i s
cosquillaréis	k o s k i ʝ a ɾ e i s
cosquillaremos	k o s k i ʝ a ɾ e m o s
cosquillaremos	k o s k i ʝ a ɾ e m o s
cosquilláremos	k o s k i ʝ a ɾ e m o s
cosquilláremos	k o s k i ʝ a ɾ e m o s
cosquillaren	k o s k i ʝ a ɾ e n
cosquillaren	k o s k i ʝ a ɾ e n
cosquillares	k o s k i ʝ a ɾ e s
cosquillares	k o s k i ʝ a ɾ e s
cosquillaría	k o s k i ʝ a ɾ i a
cosquillaría	k o s k i ʝ a ɾ i a
cosquillaríais	k o s k i ʝ a ɾ i a i s
cosquillaríais	k o s k i ʝ a ɾ i a i s
cosquillaríamos	k o s k i ʝ a ɾ i a m o s
cosquillaríamos	k o s k i ʝ a ɾ i a m o s
