Abel	ǎː b e l
izrezivati	i z r e z ǐː ʋ a t i
izreći	ǐ z r e t͡ɕ i
izricati	i z r ǐː t͡s a t i
izroditi	i z r ǒ d i t i
izručiti	i z r ǔː t͡ʃ i t i
izručivati	i z r u t͡ʃ ǐː ʋ a t i
izum	ǐ z u m
izumeti	i z ǔ m e t i
izumirati	i z ǔ m i r a t i
izumitelj	i z ǔ m i t e ʎ
izumiti	i z ǔ m i t i
izumjeti	i z ǔ m j e t i
izumreti	i z ǔ m r eː t i
izumrijeti	i z ǔ m r j eː t i
izuti	ǐ z u t i
izuvati	i z ǔː ʋ a t i
izuzetak	i z u z ěː t a k
izuzetan	î z u z eː t a n
izuzeti	i z ǔ z eː t i
izuzetno	î z u z eː t n o
izuzev	i z ǔ z eː ʋ
izuzevši	i z ǔ z eː ʋ ʃ i
izuzimati	i z ǔ z i m a t i
izučiti	i z ǔ t͡ʃ i t i
izvaditi	ǐ z ʋ a d i t i
izvan	ǐ z ʋ a n
izvana	i z ʋ ǎ n a
izvanzemaljac	i z ʋ a n z e m ǎː ʎ a t͡s
izvedba	ǐ z ʋ e d b a
izvedenica	i z ʋ e d ě n i t͡s a
izvediv	i z ʋ ě d i ʋ
izvesno	î z ʋ e s n o
izvestan	î z ʋ e s t a n
izvesti	ǐ z ʋ e s t i
izvesti	ǐ z ʋ eː s t i
izvestiti	i z ʋ ěː s t i t i
izveštaj	î z ʋ e ʃ t aː j
izveštavati	i z ʋ e ʃ t ǎː ʋ a t i
izvešće	ǐ z ʋ eː ʃ t͡ɕ e
izvešćivati	i z ʋ e ʃ t͡ɕ ǐː ʋ a t i
izvid	î z ʋ iː d
izvideti	ǐ z ʋ i d e t i
izvidjeti	ǐ z ʋ i d j e t i
izvidnik	ǐ z ʋ i d n iː k
izvijestiti	i z ʋ i j ěː s t i t i
izviniti	i z ʋ ǐː n i t i
izvinjenje	i z ʋ i ɲ ěː ɲ e
izviđati	i z ʋ ǐː d͡ʑ a t i
izvjesno	î z ʋ j e s n o
izvjestan	î z ʋ j e s t a n
izvještaj	î z ʋ j e ʃ t aː j
izvještavati	i z ʋ j e ʃ t ǎː ʋ a t i
izvješće	ǐ z ʋ j eː ʃ t͡ɕ e
izvješćivati	i z ʋ j e ʃ t͡ɕ ǐː ʋ a t i
izvlačiti	i z ʋ l ǎː t͡ʃ i t i
izvoditi	i z ʋ ǒ d i t i
izvodiv	i z ʋ ǒ d i ʋ
izvodljiv	i z ʋ ǒ d ʎ i ʋ
izvor	ǐ z ʋ o r
izvorište	ǐ z ʋ o r iː ʃ t e
izvorni	ǐ z ʋ oː r n iː
izvoz	ǐ z ʋ o z
izvoziti	i z ʋ ǒ z i t i
izvrstan	î z ʋ r s t a n
izvršavati	i z ʋ r ʃ ǎː ʋ a t i
izvršiti	i z ʋ řː ʃ i t i
izvršni	ǐ z ʋ r ʃ n iː
izvući	ǐ z ʋ uː t͡ɕ i
ići	ǐ t͡ɕ i
ičiji	î t͡ʃ i j iː
išarati	i ʃ ǎː r a t i
išaret	i ʃ ǎː r e t
išibati	î ʃ i b a t i
išpan	ǐ ʃ p aː n
išta	î ʃ t a
iščašiti	ǐ ʃ t͡ʃ a ʃ i t i
iščupati	i ʃ t͡ʃ ǔ p a t i
iživcirati	i ʒ i ʋ t͡s ǐː r a t i
j	j
ja	j â
ja	j âː
jablan	j â b l aː n
jabuka	j â b u k a
jabukovača	j â b u k o ʋ a t͡ʃ a
jabukovina	j â b u k o ʋ i n a
jabučast	j â b u t͡ʃ a s t
jabučica	j â b u t͡ʃ i t͡s a
jabučni	j â b u t͡ʃ n iː
jad	j â d
jadan	j â d a n
jadati	j â d a t i
jadikovati	j ǎ d i k o ʋ a t i
jaditi	j ǎː d i t i
jadnica	j â d n i t͡s a
jadnik	j â d n iː k
jadno	j â d n o
jadranski	j â d r aː n s k iː
jaganjac	j â ɡ a ɲ a t͡s
jagla	j ǎ ɡ l a
jagma	j ǎ ɡ m a
jagmiti	j ǎ ɡ m i t i
jagnjad	j â ɡ ɲ aː d
jagnje	j â ɡ ɲ e
jagnjetina	j ǎ ɡ ɲ e t i n a
jagodični	j â ɡ o d i t͡ʃ n iː
jaguar	j â ɡ u aː r
jahanje	j â x aː ɲ e
jahati	j â x a t i
jahačica	j a x ǎ t͡ʃ i t͡s a
jahački	j ǎ x aː t͡ʃ k i
jahački	j ǎ x aː t͡ʃ k iː
jahta	j â x t a
jajast	j â j a s t
jajašce	j a j ǎ ʃ t͡s e
jajce	j ǎː j t͡s e
jaje	j ǎː j e
jajni	j âː j n iː
jajnik	j âː j n iː k
jajolik	j a j ǒ l i k
jajovod	j â j o ʋ oː d
jak	j â k
jak	j âː k
jaketa	j ǎ k e t a
jakna	j ǎ k n a
jako	j âː k o
jakost	j ǎː k oː s t
jakut	j ǎ k u t
jal	j âː l
jalan	j ǎ l aː n
jalan	j ǎː l a n
jalija	j ǎ l i j a
jalov	j â l o ʋ
jalovica	j â l o ʋ i t͡s a
jalovo	j â l o ʋ o
jalovost	j â l o ʋ oː s t
jaltski	j âː l t s k iː
jama	j â m a
jamac	j ǎː m a t͡s
jamačan	j ǎ m a t͡ʃ a n
jamačno	j ǎ m a t͡ʃ n o
jamb	j â m b
jametina	j a m ě t i n a
jamica	j â m i t͡s a
jampski	j â m p s k iː
jamstvo	j ǎ m s t ʋ o
jamčevina	j ǎ m t͡ʃ e ʋ i n a
jamčiti	j â m t͡ʃ i t i
jandžik	j ǎ n d͡ʒ i k
janjac	j ǎː ɲ a t͡s
janjad	j â ɲ aː d
janje	j â ɲ e
janjetina	j ǎ ɲ e t i n a
janjeći	j ǎ ɲ e t͡ɕ iː
janješce	j â ɲ eː ʃ t͡s e
janjiti	j â ɲ i t i
janjičar	j ǎ ɲ i t͡ʃ aː r
jantarni	j â n t aː r n iː
januar	j â n u aː r
januarski	j â n u aː r s k iː
japanski	j ǎ p aː n s k iː
jar	j âː r
jara	j â r a
jarac	j â r a t͡s
jarak	j ǎ r a k
jarak	j ǎː r a k
jaram	j ǎː r a m
jarbol	j âː r b o l
jardževan	j a r d͡ʒ ě ʋ aː n
jare	j â r e
jarebica	j a r ě b i t͡s a
jareći	j ǎ r e t͡ɕ iː
jargovan	j a r ɡ ǒ ʋ aː n
jargovani	j a r ɡ o ʋ ǎː n iː
jarki	j âː r k iː
jarost	j ǎː r ôː s t
jaruga	j ǎ r u ɡ a
jarčev	j âː r t͡ʃ e ʋ
jasan	j ǎ s a n
jasen	j â s eː n
jasika	j ǎ s i k a
jasle	j â s l e
jasmin	j ǎ s m iː n
jasno	j â s n o
jasnost	j â s n oː s t
jaspis	j ǎ s p i s
jaspra	j â s p r a
jastog	j â s t o ɡ
jastučni	j ǎ s t u t͡ʃ n iː
jatak	j â t a k
jato	j â t o
jatomice	j â t o m i t͡s eː
jauk	j â uː k
jav	j âː ʋ
java	j ǎː ʋ a
javanski	j ǎ ʋ aː n s k iː
javiti	j ǎː ʋ i t i
javljati	j ǎː ʋ ʎ a t i
javni	j âː ʋ n iː
javno	j âː ʋ n o
javnost	j ǎː ʋ n oː s t
javor	j â ʋ o r
jazavac	j â z a ʋ a t͡s
jazbina	j â z b i n a
jačati	j ǎ t͡ʃ a t i
jačerma	j ǎ t͡ʃ eː r m a
jačina	j a t͡ʃ ǐ n a
jašiti	j â ʃ i t i
jašter	j â ʃ t e r
je	j e
jebati	j ě b a t i
jebač	j ě b aː t͡ʃ
jebačica	j e b ǎ t͡ʃ i t͡s a
jebivjetar	j ě b i ʋ j e t a r
jecaj	j ê t͡s aː j
jed	j êː d
jedak	j ê d a k
jedan	j ě d a n
jedanaestorica	j e d a n a e s t ǒ r i t͡s a
jedanput	j e d ǎ m p uː t
jedar	j ê d a r
jedaći	j ě d aː t͡ɕ iː
jedek	j ě d e k
jedinac	j e d ǐː n a t͡s
jedincat	j e d ǐ n t͡s a t
jedini	j ě d iː n iː
jedinica	j e d ǐ n i t͡s a
jediniti	j e d ǐː n i t i
jedinka	j ě d iː n k a
jedino	j ě d iː n o
jedinstven	j e d ǐ n s t ʋ e n
jedinstveno	j e d ǐ n s t ʋ e n o
jedinstvo	j e d ǐː n s t ʋ o
jednak	j ê d n aː k
jednako	j ê d n aː k o
jednakost	j e d n ǎː k oː s t
jednačiti	j e d n ǎː t͡ʃ i t i
jednina	j e d n ǐ n a
jednjak	j êː d ɲ aː k
jednobojan	j ê d n o b oː j a n
jednoboštvo	j e d n ǒ b o ʃ t ʋ o
jednodelni	j ê d n o d eː l n iː
jednodijelni	j ê d n o d j eː l n iː
jednodušan	j e d n ǒ d u ʃ a n
jednodušno	j e d n ǒ d u ʃ n o
jednodušnost	j ê d n o d u ʃ n oː s t
jednoglasan	j e d n ǒ ɡ l a s a n
jednoglasje	j e d n ǒ ɡ l aː s j e
jednoglasno	j e d n ǒ ɡ l a s n o
jednoglasnost	j e d n ǒ ɡ l a s n oː s t
jednoimen	j e d n ǒ i m e n
jednolik	j e d n ǒ l i k
jednoličan	j e d n ǒ l i t͡ʃ a n
jednoličnost	j e d n ǒ l i t͡ʃ n oː s t
jednom	j ě d n oː m
jednomišljenica	j e d n ǒ m i ʃ ʎ e n i t͡s a
jednomišljenik	j e d n ǒ m i ʃ ʎ e n iː k
jednook	j e d n ǒ o k
jednorog	j ê d n o r o ɡ
jednoruk	j ê d n o r u k
jednosmeran	j ê d n o s m eː r a n
jednosmjeran	j ê d n o s m j eː r a n
jednosoban	j e d n ǒ s o b a n
jednostavan	j ê d n o s t aː ʋ a n
jednostavno	j ê d n o s t aː ʋ n o
jednostavnost	j e d n o s t ǎː ʋ n oː s t
jednostran	j e d n ǒ s t r a n
jednostrano	j e d n ǒ s t r a n o
jednostranost	j e d n ǒ s t r a n oː s t
jednoć	j ě d n oː t͡ɕ
jednoženstvo	j e d n o ʒ ěː n s t ʋ o
jedrenjak	j e d r ě ɲ aː k
jedrenjača	j e d r ě ɲ a t͡ʃ a
jedrenje	j ě d r eː ɲ e
jedrilo	j ě d r i l o
jedriti	j ě d r i t i
jedro	j ê d r o
jedva	j ê d ʋ a
jeftin	j ê f t i n
jeftino	j ê f t i n o
jeftinoća	j e f t i n ǒ t͡ɕ a
jegulja	j ě ɡ u ʎ a
jek	j êː k
jeka	j ê k a
jekavica	j ěː k a ʋ i t͡s a
jekavski	j ěː k a ʋ s k i
jekavski	j ěː k a ʋ s k iː
jeknuti	j ěː k n u t i
jektika	j ě k t i k a
jela	j ěː l a
jelen	j ě l e n
jelo	j ê l o
jelovina	j ě l o ʋ i n a
jelša	j ê l ʃ a
jemenski	j ê m e n s k iː
jemstvo	j ě m s t ʋ o
jendek	j ě n d e k
jenjati	j ě ɲ a t i
jenjavati	j e ɲ ǎː ʋ a t i
jer	j ê r
jerbo	j ê r b o
jergovan	j e r ɡ ǒ ʋ aː n
jesen	j ê s eː n
jesenas	j e s ě n a s
jesenji	j ě s eː ɲ iː
jesenski	j ě s eː n s k iː
jesetra	j ě s e t r a
jestan	j ê s t a n
jesti	j ê s t i
jestiv	j ě s t i ʋ
jestivo	j ê s t iː ʋ o
jestvenik	j e s t ʋ ě n iː k
jestvina	j ê s t ʋ i n a
jetra	j ê t r a
jetrica	j ê t r i t͡s a
jetrva	j ě t r ʋ a
jevanđelje	j e ʋ ǎ n d͡ʑ eː ʎ e
jeza	j ěː z a
jezan	j êː z a n
jezer	j ê z eː r
jezerce	j e z ěː r t͡s e
jezerce	j ê z eː r t͡s e
jezerište	j e z ě r iː ʃ t e
jezerišče	j e z e r îː ʃ t͡ʃ e
jezerišče	j e z ě r iː ʃ t͡ʃ e
jezero	j ê z e r o
jezerski	j e z ě r s k iː
jezerski	j ê z e r s k iː
jezerski	j ê z eː r s k iː
jezgra	j ěː z ɡ r a
jezgrica	j ě z ɡ r i t͡s a
jezgro	j ěː z ɡ r o
jezgrovit	j e z ɡ r ǒ ʋ i t
jezgrovito	j e z ɡ r ǒ ʋ i t o
jezgrovitost	j e z ɡ r ǒ ʋ i t oː s t
jezik	j ě z i k
jezikoslovac	j e z i k o s l ǒː ʋ a t͡s
jezikoslovlje	j ě z i k o s l oː ʋ ʎ e
jezikoslovni	j e z i k ǒ s l o ʋ n iː
jezikoznalac	j e z i k o z n ǎː l a t͡s
jeziv	j ě z i ʋ
jezivo	j ě z i ʋ o
jezički	j ě z i t͡ʃ k iː
jezični	j ě z i t͡ʃ n iː
jezovit	j e z ǒ ʋ i t
jezovito	j e z ǒ ʋ i t o
jezuit	j e z ǔ iː t
ječam	j ě t͡ʃ a m
ječati	j ěː t͡ʃ a t i
ječerma	j ě t͡ʃ eː r m a
ješće	j ê ʃ t͡ɕ e
jež	j êː ʒ
ježev	j êː ʒ e ʋ
ježiti	j ěː ʒ i t i
ježić	j ě ʒ i t͡ɕ
jidiš	j î d i ʃ
joga	j ǒː ɡ a
jogunast	j ǒ ɡ u n a s t
jogunasto	j ǒ ɡ u n a s t o
joha	j ǒː x a
joj	j o j
joj	j ôː j
jok	j ô k
jordanski	j ǒ r d a n s k iː
jorgan	j ǒ r ɡ a n
jorgovan	j o r ɡ ǒ ʋ aː n
jorgovan	j ô r ɡ o ʋ aː n
jorgovani	j o r ɡ o ʋ ǎː n iː
jošić	j ǒ ʃ i t͡ɕ
jošt	j ô ʃ t
jošte	j ô ʃ t e
ju	j u
jubilej	j u b ǐ l e j
judaizam	j u d a ǐ z a m
judejski	j ǔ d eː j s k iː
jug	j û ɡ
jugo	j û ɡ o
jugoistok	j u ɡ o ǐ s t o k
jugoistočni	j u ɡ o ǐ s t o t͡ʃ n iː
jugoistočno	j u ɡ o ǐ s t o t͡ʃ n o
jugonostalgija	j u ɡ o n o s t ǎ l ɡ i j a
jugonostalgičar	j u ɡ o n o s t ǎ l ɡ i t͡ʃ aː r
jugoslavenski	j u ɡ o s l ǎ ʋ eː n s k iː
jugozapad	j u ɡ o z ǎː p a d
jugozapadni	j u ɡ o z ǎː p a d n iː
jugozapadno	j u ɡ o z ǎː p a d n o
juha	j ǔː x a
juli	j ûː l i
julski	j ûː l s k iː
junac	j ǔː n a t͡s
junak	j ǔ n aː k
junakinja	j u n ǎ k i ɲ a
junačan	j û n aː t͡ʃ a n
junačiti	j u n ǎː t͡ʃ i t i
junački	j ǔ n aː t ʃ k i
junački	j ǔ n aː t ʃ k iː
junaštvo	j u n ǎː ʃ t ʋ o
juni	j ûː n i
junica	j ǔ n i t͡s a
junski	j ûː n s k iː
jur	j ûː r
jurcati	j ǔ r t͡s a t i
jure	j û r e
jurisdikcija	j u r i s d ǐ k t͡s i j a
juriti	j ǔː r i t i
juriš	j û r iː ʃ
jurišati	j u r ǐ ʃ a t i
jurniti	j ǔː r n u t i
jurnuti	j ǔː r n u t i
jurta	j ûː r t a
jurve	j ûː r ʋ e
jutarnji	j û t aː r ɲ iː
jutriti	j û t r i t i
jutro	j û t r o
jutrom	j û t r o m
jutros	j û t r oː s
jutrošnji	j û t r o ʃ ɲ iː
jučašnji	j ǔ t͡ʃ a ʃ ɲ i
juče	j ǔ t͡ʃ eː
jučer	j ǔ t͡ʃ eː r
jučeranji	j u t͡ʃ ě r a ɲ iː
jučerašnji	j u t͡ʃ ě r a ʃ ɲ iː
južina	j û ʒ i n a
južnjak	j û ʒ ɲ aː k
južno	j û ʒ n o
k	k
kabao	k ǎ b a o
kabare	k a b a r êː
kabaret	k a b ǎ r e t
kabel	k ǎː b e l
kabila	k a b ǐ l a
kabul	k ǎː b u l
kaciga	k ǎ t͡s i ɡ a
kad	k â d
kad	k âː d
kada	k ǎ d a
kada	k ǎː d a
kadaver	k a d ǎː ʋ e r
kadenca	k a d ě n t͡s a
kadet	k ǎ d eː t
kadifa	k a d ǐː f a
kadikad	k a d i k a d
kadikada	k a d i k a d a
kadilo	k ǎ d i l o
kadionica	k ǎ d i o n i t͡s a
kafa	k ǎ f a
kafana	k a f ǎ n a
kafić	k ǎ f iː t͡ɕ
kaftan	k ǎ f t a n
kahla	k â x l a
kahlica	k â x l i t͡s a
kaiš	k ǎ i ʃ
kaj	k â j
kajak	k â j aː k
kajati	k â j a t i
kajgana	k â j ɡ a n a
kajiš	k ǎ j i ʃ
kajkavac	k ǎ j k a ʋ a t͡s
kajkavski	k ǎ j k a ʋ s k i
kajkavski	k ǎ j k a ʋ s k iː
kajkavština	k a j k ǎː ʋ ʃ t i n a
kajla	k âː j l a
kajmak	k ǎ j m a k
kajsija	k ǎ j s i j a
kaka	k ǎː k a
kakaovac	k ǎ k a o ʋ a t͡s
kakav	k ǎ k aː ʋ
kako	k â k o
kako	k ǎ k o
kakofonija	k a k o f ǒ n i j a
kakofoničan	k a k o f ǒ n i t͡ʃ a n
kakofonično	k a k o f ǒ n i t͡ʃ n o
kakvoća	k a k ʋ ǒ t͡ɕ a
kal	k âː l
kalaj	k ǎ l a j
kaleidoskop	k a l e i d ǒ s k o p
kalem	k ǎ l e m
kalemiti	k ǎ l e m i t i
kalež	k â l e ʒ
kalif	k ǎ l iː f
kalifat	k a l ǐ f aː t
kalifornijski	k a l i f ǒ r n iː j s k iː
kaligrafija	k a l i ɡ r ǎ f i j a
kaliti	k ǎː l i t i
kaljuga	k ǎ ʎ u ɡ a
kaljuža	k ǎ ʎ u ʒ a
kalk	k â l k
kalkirati	k a l k ǐː r a t i
kalkulacija	k a l k u l ǎː t͡s i j a
kalkulator	k a l k ǔ l aː t o r
kalkulirati	k a l k u l ǐː r a t i
kalokagatija	k a l o k a ɡ ǎ t i j a
kalup	k ǎ l u p
kaluđer	k ǎ l u d͡ʑ e r
kalvarija	k ǎ l ʋ aː r i j a
kalvinizam	k a l ʋ i n ǐ z a m
kam	k âː m
kama	k â m a
kama	k âː m a
kamata	k â m a t a
kamatni	k â m a t n iː
kambodžanski	k a m b ǒ d͡ʒ aː n s k iː
kameleon	k a m e l ě oː n
kamen	k â m eː n
kamenac	k a m ěː n a t͡s
kameni	k â m e n iː
kamenit	k a m ě n i t
kamenje	k ǎ m eː ɲ e
kamenolom	k a m e n ǒ l o m
kamenovati	k â m e n o ʋ a t i
kamerunski	k â m e r uː n s k iː
kamila	k ǎ m i l a
kamin	k ǎ m iː n
kamion	k a m ǐ oː n
kamiondžija	k a m i ǒ n d͡ʒ i j a
kamionski	k a m ǐ oː n s k iː
kamičak	k a m ǐː t͡ʃ a k
kamo	k â m o
kamoli	k â m o l i
kampanja	k a m p ǎ ɲ a
kampanologija	k a m p a n o l ǒ ɡ i j a
kampidoljski	k a m p ǐ d o ʎ s k iː
kampirati	k a m p ǐː r a t i
kamrikuša	k a m r i k u ʃ a
kamuflaža	k a m u f l ǎː ʒ a
kan	k âː n
kana	k â n a
kana	k ǎ n a
kanabis	k ǎ n a b i s
kanader	k a n ǎː d e r
kanadski	k ǎ n a d s k iː
kanal	k ǎ n aː l
kanalizacija	k a n a l i z ǎː t͡s i j a
kanalizirati	k a n a l i z ǐː r a t i
kanalski	k ǎ n aː l s k iː
kanap	k ǎ n aː p
kanarinac	k a n a r ǐː n a t͡s
kancelar	k a n t͡s ě l aː r
kancelarija	k a n t͡s e l ǎ r i j a
kancerogen	k â n t͡s e r o ɡ eː n
kancerozan	k â n t͡s e r oː z a n
kandidat	k a n d ǐ d aː t
kandidatura	k a n d i d a t ǔː r a
kandidirati	k a n d i d ǐː r a t i
kandilo	k ǎ n d i l o
kandža	k âː n d͡ʒ a
kandžija	k ǎ n d͡ʒ i j a
kanibal	k ǎ n i b a l
kanibalizam	k a n i b a l ǐ z a m
kaniti	k ǎː n i t i
kanjon	k ǎ ɲ oː n
kanta	k ǎː n t a
kantonski	k ǎ n t o n s k iː
kanu	k ǎ n uː
kao	k â o
kaolin	k a ǒ l iː n
kaolinit	k a o l ǐ n iː t
kaos	k â o s
kaotičan	k a ǒ t i t͡ʃ a n
kaotično	k a ǒ t i t͡ʃ n o
kapa	k â p a
kapacitet	k a p a t͡s ǐ t eː t
kapati	k â p a t i
kapela	k a p ěː l a
kapelan	k a p ě l aː n
kapelica	k a p ěː l i t͡s a
kapetan	k a p ě t aː n
kapica	k â p i t͡s a
kapija	k ǎ p i j a
kapilara	k a p i l ǎː r a
kapirati	k a p ǐː r a t i
kapitalan	k â p i t aː l a n
kapitalistički	k a p i t a l ǐ s t i t ʃ k i
kapitalistički	k a p i t a l ǐ s t i t ʃ k iː
kapitalno	k â p i t aː l n o
kapitel	k a p ǐ t e l
kapitulacija	k a p i t u l ǎː t͡s i j a
kapitulirati	k a p i t u l ǐː r a t i
kaplar	k â p l aː r
kapljica	k â p ʎ i t͡s a
kapnuti	k â p n u t i
kapric	k ǎ p r i t͡s
kapriciozan	k â p r i t͡s i oː z a n
kapriciozno	k â p r i t͡s i oː z n o
kapricioznost	k a p r i t͡s i ǒː z n oː s t
kapsula	k ǎ p s u l a
kapuljača	k a p ǔ ʎ a t͡ʃ a
kapura	k ǎ p u r a
kaput	k ǎ p uː t
karaka	k ǎ r a k a
karakteran	k a r ǎ k t eː r a n
karakteristika	k a r a k t e r ǐ s t i k a
karakterističan	k a r a k t e r ǐ s t i t͡ʃ a n
karanfil	k a r ǎ n f i l
karanfilić	k a r a n f ǐ l i t͡ɕ
karantena	k a r a n t ěː n a
karati	k ǎː r a t i
karavan	k a r ǎ ʋ aː n
karavana	k a r a ʋ ǎ n a
karavanski	k a r ǎ ʋ aː n s k iː
karboksilan	k â r b o k s iː l a n
karbonat	k a r b ǒ n aː t
karcinom	k a r t͡s ǐ n oː m
kardinal	k a r d ǐ n aː l
kardinalski	k a r d ǐ n aː l s k i
kardinalski	k a r d ǐ n aː l s k iː
kardiolog	k a r d i ǒ l o ɡ
kardiologija	k a r d i o l ǒ ɡ i j a
kardiološki	k a r d i ǒ l o ʃ k i
kardiološki	k a r d i ǒ l o ʃ k iː
karijera	k a r i j ěː r a
karijes	k âː r i j e s
karika	k ǎ r i k a
karikatura	k a r i k a t ǔː r a
karikaturist	k a r i k a t ǔ r i s t
karikaturistički	k a r i k a t u r ǐ s t i t͡ʃ k iː
karipski	k ǎ r i p s k iː
kariran	k ǎ r iː r a n
karizma	k a r ǐ z m a
karizmatičan	k a r i z m ǎ t i t͡ʃ a n
karizmatično	k a r i z m ǎ t i t͡ʃ n o
karizmatičnost	k a r i z m ǎ t i t͡ʃ n oː s t
karlica	k ǎ r l i t͡s a
karma	k â r m a
karmelićanin	k a r m e l ǐː t͡ɕ a n i n
karmelićanka	k a r m e l ǐː t͡ɕ aː n k a
karmine	k â r m i n e
karneval	k a r n ě ʋ aː l
karnevalski	k a r n ě ʋ aː l s k i
karnevalski	k a r n ě ʋ aː l s k iː
karo	k â r o
karoserija	k a r o s ě r i j a
karpatski	k ǎ r p aː t s k iː
karpuza	k ǎ r p u z a
karta	k âː r t a
kartati	k âː r t a t i
kartaš	k ǎ r t aː ʃ
kartel	k ǎ r t e l
kartica	k ǎ r t i t͡s a
kartograf	k a r t ǒ ɡ r a f
kartografija	k a r t o ɡ r ǎ f i j a
kartografski	k a r t ǒ ɡ r a f s k i
kartografski	k a r t ǒ ɡ r a f s k iː
karton	k ǎ r t oː n
kartonski	k ǎ r t oː n s k iː
kas	k âː s
kasaba	k a s ǎ b a
kasan	k â s a n
kasapin	k ǎ s a p i n
kasarna	k ǎ s aː r n a
kasati	k â s a t i
kasatura	k a s a t ǔː r a
kaskada	k a s k ǎː d a
kaskati	k â s k a t i
kasnije	k ǎ s n i j eː
kasniti	k ǎ s n i t i
kasno	k â s n o
kaspijski	k ǎ s p iː j s k iː
kat	k â t
katabolizam	k a t a b o l ǐ z a m
katakana	k a t a k ǎ n a
katalog	k a t ǎ l o ɡ
katalonski	k a t ǎ l oː n s k iː
katanac	k ǎ t a n a t͡s
katapult	k a t ǎ p u l t
katapultirati	k a t a p u l t ǐː r a t i
katarza	k a t ǎ r z a
katastar	k a t ǎ s t a r
katastrofalan	k â t a s t r o f aː l a n
katastrofalno	k â t a s t r o f aː l n o
katedra	k ǎ t eː d r a
katedrala	k a t e d r ǎː l a
kategorija	k a t e ɡ ǒ r i j a
kategoričan	k a t e ɡ ǒ r i t͡ʃ a n
kategorički	k a t e ɡ ǒ r i t ʃ k i
kategorički	k a t e ɡ ǒ r i t ʃ k iː
kateheta	k a t e x ěː t a
katekizam	k a t e k ǐ z a m
kateta	k a t ěː t a
katkad	k a t k a d
katkada	k a t k a d a
katoda	k a t ǒː d a
katodni	k ǎ t oː d n iː
katolicizam	k a t o l i t͡s ǐ z a m
katolik	k â t o l iː k
katoličanstvo	k a t o l i t͡ʃ ǎː n s t ʋ o
katolički	k â t o l i t͡ʃ k iː
katran	k ǎ t r a n
katranski	k ǎ t r a n s k iː
kauboj	k ǎ u b o j
kaubojski	k ǎ u b o j s k i
kaubojski	k ǎ u b o j s k iː
kauk	k ǎ u k
kauzalan	k â u z aː l a n
kauzativan	k â u z a t iː ʋ a n
kauč	k â uː t͡ʃ
kava	k ǎ ʋ a
kavana	k a ʋ ǎ n a
kavez	k ǎ ʋ e z
kavga	k âː ʋ ɡ a
kavkaski	k ǎ ʋ k a s k iː
kazališni	k ǎ z a l iː ʃ n iː
kazalište	k ǎ z a l iː ʃ t e
kazaljka	k ǎ z aː ʎ k a
kazalo	k ǎ z a l o
kazan	k ǎ z a n
kazati	k ǎː z a t i
kazivati	k a z ǐː ʋ a t i
kazna	k â z n a
kazneni	k ǎ z n e n iː
kazneno	k ǎ z n e n o
kazniti	k â z n i t i
kačket	k ǎ t͡ʃ k eː t
kaša	k â ʃ a
kašika	k ǎ ʃ i k a
kašljati	k ǎ ʃ ʎ a t i
kaštiga	k ǎ ʃ t iː ɡ a
kašupski	k ǎ ʃ u p s k iː
kažiprst	k ǎ ʒ i p r s t
kažnjavati	k a ʒ ɲ ǎː ʋ a t i
kažnjenik	k â ʒ ɲ e n iː k
kažnjiv	k ǎ ʒ ɲ i ʋ
kda	ɡ d aː
kdaj	ɡ d aː j
kdo	ɡ d oː
kec	k êː t͡s
kecelja	k ě t͡s e ʎ a
keks	k ê k s
kelj	k ê ʎ
kelner	k ê l n e r
keltski	k ě l t s k iː
kelvin	k ě l ʋ iː n
kemija	k ěː m i j a
kemijski	k ěː m iː j s k iː
kemikalija	k e m i k ǎ l i j a
kemičar	k ě m i t͡ʃ aː r
kemičarka	k ě m i t͡ʃ aː r k a
kengur	k ê n ɡ uː r
kenijski	k êː n iː j s k iː
kenjac	k ěː ɲ a t͡s
kenjati	k ěː ɲ a t i
kentaur	k e n t ǎ u r
kepec	k ě p e t͡s
ker	k êː r
keramika	k e r ǎ m i k a
keramičar	k e r ǎ m i t͡ʃ aː r
keramičarka	k e r ǎ m i t͡ʃ aː r k a
keramički	k e r ǎ m i t͡ʃ k iː
kerber	k ê r b e r
kerozin	k e r ǒ z iː n
kesa	k ê s a
kesiti	k ěː s i t i
kesten	k ê s t eː n
kestenjast	k ê s t e ɲ a s t
kestenov	k ê s t eː n o ʋ
kečap	k ě t͡ʃ a p
kečevi	k ěː t͡ʃ e ʋ i
kečiga	k ě t͡ʃ i ɡ a
kečka	k ê t͡ʃ k a
keš	k ê ʃ
kibernetika	k i b e r n ě t i k a
kibla	k ǐː b l a
kidati	k î d a t i
kidnaper	k i d n ǎ p eː r
kidnapirati	k i d n a p ǐː r a t i
kifla	k ǐː f l a
kihati	k ǐː x a t i
kihnuti	k ǐː x n u t i
kijamet	k i j ǎː m e t
kikiriki	k i k i r ǐ k i
kiklop	k ǐ k l o p
kiklopski	k ǐ k l o p s k i
kiklopski	k ǐ k l o p s k iː
kikot	k î k oː t
kikotati	k i k ǒ t a t i
kilobajt	k î l o b a j t
kilogram	k î l o ɡ r a m
kim	k î m
kim	k îː m
kime	k ǐː m e
kinderbet	k ǐ n d e r b e t
kineski	k ǐ n eː s k i
kineski	k ǐ n eː s k iː
