'tamo'	t̪ a m o
astrógrafo	a s t̪ ɾ o ɣ̞ ɾ a f o
astróloga	a s t̪ ɾ o l o ɣ̞ a
astrólogo	a s t̪ ɾ o l o ɣ̞ o
astrónoma	a s t̪ ɾ o n o m a
astrónomas	a s t̪ ɾ o n o m a s
astrónomo	a s t̪ ɾ o n o m o
astrónomos	a s t̪ ɾ o n o m o s
astucia	a s t̪ u s j a
astur	a s t̪ u ɾ
asturcón	a s t̪ u ɾ k õ n
astures	a s t̪ u ɾ e s
asturiana	a s t̪ u ɾ j a n a
asturianismo	a s t̪ u ɾ j a n i z m o
asturianizada	a s t̪ u ɾ j a n i s a ð̞ a
asturianizadas	a s t̪ u ɾ j a n i s a ð̞ a s
asturianizado	a s t̪ u ɾ j a n i s a ð̞ o
asturianizados	a s t̪ u ɾ j a n i s a ð̞ o s
asturianizar	a s t̪ u ɾ j a n i s a ɾ
asturiano	a s t̪ u ɾ j a n o
asturicenses	a s t̪ u ɾ i s ẽ n s e s
asturtzale	a s t̪ u ɾ t͡ʃ a l e
astutamente	a s t̪ u t̪ a m ẽ n̪ t̪ e
astuto	a s t̪ u t̪ o
asu	a s u
asuena	a s w e n a
asuenan	a s w e n ã n
asuenas	a s w e n a s
asuene	a s w e n e
asuenen	a s w e n ẽ n
asuenes	a s w e n e s
asueno	a s w e n o
asueto	a s w e t̪ o
asumible	a s u m i β̞ l e
asumida	a s u m i ð̞ a
asumidas	a s u m i ð̞ a s
asumido	a s u m i ð̞ o
asumidos	a s u m i ð̞ o s
asumir	a s u m i ɾ
asuncionista	a s ũ n s j o n i s t̪ a
asunción	a s ũ n s j õ n
asuntar	a s ũ n̪ t̪ a ɾ
asuntillo	a s ũ n̪ t̪ i ʝ o
asunto	a s ũ n̪ t̪ o
asurcado	a s u ɾ k a ð̞ o
asustada	a s u s t̪ a ð̞ a
asustadas	a s u s t̪ a ð̞ a s
asustadito	a s u s t̪ a ð̞ i t̪ o
asustadizo	a s u s t̪ a ð̞ i s o
asustado	a s u s t̪ a ð̞ o
asustados	a s u s t̪ a ð̞ o s
asustaniños	a s u s t̪ a n i ɲ o s
asustante	a s u s t̪ ã n̪ t̪ e
asustar	a s u s t̪ a ɾ
asustaviejas	a s u s t̪ a β̞ j e x a s
asuán	a s w ã n
asá	a s a
asáramos	a s a ɾ a m o s
asáremos	a s a ɾ e m o s
asépticamente	a s e β̞ t̪ i k a m ẽ n̪ t̪ e
aséptico	a s e β̞ t̪ i k o
así	a s i
asía	a s i a
asín	a s ĩ n
asíntota	a s ĩ n̪ t̪ o t̪ a
ata	a t̪ a
atabal	a t̪ a β̞ a l
atacada	a t̪ a k a ð̞ a
atacadas	a t̪ a k a ð̞ a s
atacado	a t̪ a k a ð̞ o
atacador	a t̪ a k a ð̞ o ɾ
atacados	a t̪ a k a ð̞ o s
atacama	a t̪ a k a m a
atacameña	a t̪ a k a m e ɲ a
atacameño	a t̪ a k a m e ɲ o
atacante	a t̪ a k ã n̪ t̪ e
atacar	a t̪ a k a ɾ
ataco	a t̪ a k o
atad	a t̪ a ð̞
atada	a t̪ a ð̞ a
atadas	a t̪ a ð̞ a s
atado	a t̪ a ð̞ o
atados	a t̪ a ð̞ o s
atadura	a t̪ a ð̞ u ɾ a
atafarra	a t̪ a f a r a
atafea	a t̪ a f e a
ataharre	a t̪ a a r e
atahualpista	a t̪ a w a l p i s t̪ a
atajacaminos	a t̪ a x a k a m i n o s
atajada	a t̪ a x a ð̞ a
atajadas	a t̪ a x a ð̞ a s
atajadizo	a t̪ a x a ð̞ i s o
atajado	a t̪ a x a ð̞ o
atajados	a t̪ a x a ð̞ o s
atajar	a t̪ a x a ɾ
atajo	a t̪ a x o
atal	a t̪ a l
atalaya	a t̪ a l a ʝ a
atalayada	a t̪ a l a ʝ a ð̞ a
atalayadas	a t̪ a l a ʝ a ð̞ a s
atalayado	a t̪ a l a ʝ a ð̞ o
atalayados	a t̪ a l a ʝ a ð̞ o s
atalayar	a t̪ a l a ʝ a ɾ
atalayero	a t̪ a l a ʝ e ɾ o
ataluzado	a t̪ a l u s a ð̞ o
atamanes	a t̪ a m a n e s
atamos	a t̪ a m o s
atamán	a t̪ a m ã n
atando	a t̪ ã n̪ d̪ o
atangayado	a t̪ ã ŋ ɡ a ʝ a ð̞ o
atangayarse	a t̪ ã ŋ ɡ a ʝ a ɾ s e
atanor	a t̪ a n o ɾ
ataque	a t̪ a k e
ataques	a t̪ a k e s
ataquienta	a t̪ a k j ẽ n̪ t̪ a
ataquiento	a t̪ a k j ẽ n̪ t̪ o
atar	a t̪ a ɾ
atara	a t̪ a ɾ a
atarantada	a t̪ a ɾ ã n̪ t̪ a ð̞ a
atarantadas	a t̪ a ɾ ã n̪ t̪ a ð̞ a s
atarantado	a t̪ a ɾ ã n̪ t̪ a ð̞ o
atarantados	a t̪ a ɾ ã n̪ t̪ a ð̞ o s
atarantar	a t̪ a ɾ ã n̪ t̪ a ɾ
ataranto	a t̪ a ɾ ã n̪ t̪ o
ataras	a t̪ a ɾ a s
ataraxia	a t̪ a ɾ a ɣ̞ s j a
atarazada	a t̪ a ɾ a s a ð̞ a
atarazadas	a t̪ a ɾ a s a ð̞ a s
atarazado	a t̪ a ɾ a s a ð̞ o
atarazados	a t̪ a ɾ a s a ð̞ o s
atarazana	a t̪ a ɾ a s a n a
atarazar	a t̪ a ɾ a s a ɾ
atardecer	a t̪ a ɾ ð̞ e s e ɾ
atardecido	a t̪ a ɾ ð̞ e s i ð̞ o
atareada	a t̪ a ɾ e a ð̞ a
atareadas	a t̪ a ɾ e a ð̞ a s
atareado	a t̪ a ɾ e a ð̞ o
atareados	a t̪ a ɾ e a ð̞ o s
atarear	a t̪ a ɾ e a ɾ
atareis	a t̪ a ɾ e i̯ s
ataremos	a t̪ a ɾ e m o s
atares	a t̪ a ɾ e s
atarjea	a t̪ a ɾ x e a
atarraga	a t̪ a r a ɣ̞ a
atarragar	a t̪ a r a ɣ̞ a ɾ
atarraya	a t̪ a r a ʝ a
atarugada	a t̪ a ɾ u ɣ̞ a ð̞ a
atarugadas	a t̪ a ɾ u ɣ̞ a ð̞ a s
atarugado	a t̪ a ɾ u ɣ̞ a ð̞ o
atarugados	a t̪ a ɾ u ɣ̞ a ð̞ o s
atarugar	a t̪ a ɾ u ɣ̞ a ɾ
atará	a t̪ a ɾ a
atarás	a t̪ a ɾ a s
ataríamos	a t̪ a ɾ i a m o s
atas	a t̪ a s
atascada	a t̪ a s k a ð̞ a
atascadas	a t̪ a s k a ð̞ a s
atascado	a t̪ a s k a ð̞ o
atascados	a t̪ a s k a ð̞ o s
atascamiento	a t̪ a s k a m j ẽ n̪ t̪ o
atascar	a t̪ a s k a ɾ
atascarse	a t̪ a s k a ɾ s e
atasco	a t̪ a s k o
ataste	a t̪ a s t̪ e
ataucar	a t̪ a u̯ k a ɾ
ataviada	a t̪ a β̞ j a ð̞ a
ataviadas	a t̪ a β̞ j a ð̞ a s
ataviado	a t̪ a β̞ j a ð̞ o
ataviados	a t̪ a β̞ j a ð̞ o s
ataviar	a t̪ a β̞ j a ɾ
atavismo	a t̪ a β̞ i z m o
ataviáremos	a t̪ a β̞ j a ɾ e m o s
atavío	a t̪ a β̞ i o
ataxia	a t̪ a ɣ̞ s j a
atañer	a t̪ a ɲ e ɾ
atañida	a t̪ a ɲ i ð̞ a
atañidas	a t̪ a ɲ i ð̞ a s
atañido	a t̪ a ɲ i ð̞ o
atañidos	a t̪ a ɲ i ð̞ o s
ataúd	a t̪ a u ð̞
ate	a t̪ e
atea	a t̪ e a
atelaje	a t̪ e l a x e
atelectasia	a t̪ e l e ɣ̞ t̪ a s j a
atelier	a t̪ e l j e ɾ
atelofobia	a t̪ e l o f o β̞ j a
atemorización	a t̪ e m o ɾ i s a s j õ n
atemorizada	a t̪ e m o ɾ i s a ð̞ a
atemorizadas	a t̪ e m o ɾ i s a ð̞ a s
atemorizado	a t̪ e m o ɾ i s a ð̞ o
atemorizador	a t̪ e m o ɾ i s a ð̞ o ɾ
atemorizados	a t̪ e m o ɾ i s a ð̞ o s
atemorizar	a t̪ e m o ɾ i s a ɾ
atemos	a t̪ e m o s
atemoya	a t̪ e m o ʝ a
atemperada	a t̪ ẽ m p e ɾ a ð̞ a
atemperadas	a t̪ ẽ m p e ɾ a ð̞ a s
atemperado	a t̪ ẽ m p e ɾ a ð̞ o
atemperados	a t̪ ẽ m p e ɾ a ð̞ o s
atemperamiento	a t̪ ẽ m p e ɾ a m j ẽ n̪ t̪ o
atemperar	a t̪ ẽ m p e ɾ a ɾ
atemporalidad	a t̪ ẽ m p o ɾ a l i ð̞ a ð̞
atenaceada	a t̪ e n a s e a ð̞ a
atenaceadas	a t̪ e n a s e a ð̞ a s
atenaceado	a t̪ e n a s e a ð̞ o
atenaceados	a t̪ e n a s e a ð̞ o s
atenacear	a t̪ e n a s e a ɾ
atenazada	a t̪ e n a s a ð̞ a
atenazadas	a t̪ e n a s a ð̞ a s
atenazado	a t̪ e n a s a ð̞ o
atenazados	a t̪ e n a s a ð̞ o s
atenazar	a t̪ e n a s a ɾ
atención	a t̪ ẽ n s j õ n
atender	a t̪ ẽ n̪ d̪ e ɾ
atendida	a t̪ ẽ n̪ d̪ i ð̞ a
atendidas	a t̪ ẽ n̪ d̪ i ð̞ a s
atendido	a t̪ ẽ n̪ d̪ i ð̞ o
atendidos	a t̪ ẽ n̪ d̪ i ð̞ o s
ateneo	a t̪ e n e o
atener	a t̪ e n e ɾ
atenida	a t̪ e n i ð̞ a
atenidas	a t̪ e n i ð̞ a s
atenido	a t̪ e n i ð̞ o
atenidos	a t̪ e n i ð̞ o s
ateniense	a t̪ e n j ẽ n s e
atenta	a t̪ ẽ n̪ t̪ a
atentada	a t̪ ẽ n̪ t̪ a ð̞ a
atentadas	a t̪ ẽ n̪ t̪ a ð̞ a s
atentado	a t̪ ẽ n̪ t̪ a ð̞ o
atentados	a t̪ ẽ n̪ t̪ a ð̞ o s
atentamente	a t̪ ẽ n̪ t̪ a m ẽ n̪ t̪ e
atentar	a t̪ ẽ n̪ t̪ a ɾ
atentas	a t̪ ẽ n̪ t̪ a s
atenti	a t̪ ẽ n̪ t̪ i
atento	a t̪ ẽ n̪ t̪ o
atentos	a t̪ ẽ n̪ t̪ o s
atenuación	a t̪ e n w a s j õ n
atenuada	a t̪ e n w a ð̞ a
atenuadas	a t̪ e n w a ð̞ a s
atenuado	a t̪ e n w a ð̞ o
atenuador	a t̪ e n w a ð̞ o ɾ
atenuados	a t̪ e n w a ð̞ o s
atenuante	a t̪ e n w ã n̪ t̪ e
atenuantes	a t̪ e n w ã n̪ t̪ e s
atenuar	a t̪ e n w a ɾ
ateo	a t̪ e o
atepocate	a t̪ e p o k a t̪ e
aterciopelado	a t̪ e ɾ s j o p e l a ð̞ o
aterido	a t̪ e ɾ i ð̞ o
aterir	a t̪ e ɾ i ɾ
aterirse	a t̪ e ɾ i ɾ s e
ateroembolismo	a t̪ e ɾ o ẽ m b o l i z m o
ateroembolismos	a t̪ e ɾ o ẽ m b o l i z m o s
aterosclerosis	a t̪ e ɾ o s k l e ɾ o s i s
aterosclerótico	a t̪ e ɾ o s k l e ɾ o t̪ i k o
aterpe	a t̪ e ɾ p e
aterrada	a t̪ e r a ð̞ a
aterradas	a t̪ e r a ð̞ a s
aterrado	a t̪ e r a ð̞ o
aterrador	a t̪ e r a ð̞ o ɾ
aterradoramente	a t̪ e r a ð̞ o ɾ a m ẽ n̪ t̪ e
aterrados	a t̪ e r a ð̞ o s
aterraje	a t̪ e r a x e
aterrar	a t̪ e r a ɾ
aterrazada	a t̪ e r a s a ð̞ a
aterrazadas	a t̪ e r a s a ð̞ a s
aterrazado	a t̪ e r a s a ð̞ o
aterrazados	a t̪ e r a s a ð̞ o s
aterrazar	a t̪ e r a s a ɾ
aterrizada	a t̪ e r i s a ð̞ a
aterrizadas	a t̪ e r i s a ð̞ a s
aterrizado	a t̪ e r i s a ð̞ o
aterrizados	a t̪ e r i s a ð̞ o s
aterrizaje	a t̪ e r i s a x e
aterrizar	a t̪ e r i s a ɾ
aterrorizada	a t̪ e r o ɾ i s a ð̞ a
aterrorizadas	a t̪ e r o ɾ i s a ð̞ a s
aterrorizado	a t̪ e r o ɾ i s a ð̞ o
aterrorizados	a t̪ e r o ɾ i s a ð̞ o s
aterrorizante	a t̪ e r o ɾ i s ã n̪ t̪ e
aterrorizar	a t̪ e r o ɾ i s a ɾ
ates	a t̪ e s
atesa	a t̪ e s a
atesada	a t̪ e s a ð̞ a
atesadas	a t̪ e s a ð̞ a s
atesado	a t̪ e s a ð̞ o
atesados	a t̪ e s a ð̞ o s
atesar	a t̪ e s a ɾ
atesorada	a t̪ e s o ɾ a ð̞ a
atesoradas	a t̪ e s o ɾ a ð̞ a s
atesorado	a t̪ e s o ɾ a ð̞ o
atesorados	a t̪ e s o ɾ a ð̞ o s
atesorar	a t̪ e s o ɾ a ɾ
atestada	a t̪ e s t̪ a ð̞ a
atestadas	a t̪ e s t̪ a ð̞ a s
atestado	a t̪ e s t̪ a ð̞ o
atestados	a t̪ e s t̪ a ð̞ o s
atestar	a t̪ e s t̪ a ɾ
atestiguada	a t̪ e s t̪ i ɣ̞ w a ð̞ a
atestiguadas	a t̪ e s t̪ i ɣ̞ w a ð̞ a s
atestiguado	a t̪ e s t̪ i ɣ̞ w a ð̞ o
atestiguados	a t̪ e s t̪ i ɣ̞ w a ð̞ o s
atestiguar	a t̪ e s t̪ i ɣ̞ w a ɾ
atezada	a t̪ e s a ð̞ a
atezadas	a t̪ e s a ð̞ a s
atezado	a t̪ e s a ð̞ o
atezados	a t̪ e s a ð̞ o s
atezar	a t̪ e s a ɾ
ateísmo	a t̪ e i z m o
ateísta	a t̪ e i s t̪ a
ateístas	a t̪ e i s t̪ a s
ateística	a t̪ e i s t̪ i k a
ateísticas	a t̪ e i s t̪ i k a s
ateístico	a t̪ e i s t̪ i k o
ateísticos	a t̪ e i s t̪ i k o s
athlética	a t̪ l e t̪ i k a
athlética	a ð̞ l e t̪ i k a
athlético	a t̪ l e t̪ i k o
athlético	a ð̞ l e t̪ i k o
athonita	a t̪ o n i t̪ a
atibada	a t̪ i β̞ a ð̞ a
atibadas	a t̪ i β̞ a ð̞ a s
atibado	a t̪ i β̞ a ð̞ o
atibados	a t̪ i β̞ a ð̞ o s
atibar	a t̪ i β̞ a ɾ
atiborrada	a t̪ i β̞ o r a ð̞ a
atiborradas	a t̪ i β̞ o r a ð̞ a s
atiborrado	a t̪ i β̞ o r a ð̞ o
atiborrados	a t̪ i β̞ o r a ð̞ o s
atiborramiento	a t̪ i β̞ o r a m j ẽ n̪ t̪ o
atiborrar	a t̪ i β̞ o r a ɾ
aticismo	a t̪ i s i z m o
atiesada	a t̪ j e s a ð̞ a
atiesadas	a t̪ j e s a ð̞ a s
atiesado	a t̪ j e s a ð̞ o
atiesados	a t̪ j e s a ð̞ o s
atiesar	a t̪ j e s a ɾ
atijara	a t̪ i x a ɾ a
atijaras	a t̪ i x a ɾ a s
atildada	a t̪ i l̪ d̪ a ð̞ a
atildadas	a t̪ i l̪ d̪ a ð̞ a s
atildado	a t̪ i l̪ d̪ a ð̞ o
atildados	a t̪ i l̪ d̪ a ð̞ o s
atildar	a t̪ i l̪ d̪ a ɾ
atinada	a t̪ i n a ð̞ a
atinadamente	a t̪ i n a ð̞ a m ẽ n̪ t̪ e
atinadas	a t̪ i n a ð̞ a s
atinado	a t̪ i n a ð̞ o
atinados	a t̪ i n a ð̞ o s
atinar	a t̪ i n a ɾ
atinente	a t̪ i n ẽ n̪ t̪ e
atingente	a t̪ ĩ ŋ x ẽ n̪ t̪ e
atiparse	a t̪ i p a ɾ s e
atipia	a t̪ i p j a
atiplado	a t̪ i p l a ð̞ o
atipujarse	a t̪ i p u x a ɾ s e
atirantada	a t̪ i ɾ ã n̪ t̪ a ð̞ a
atirantadas	a t̪ i ɾ ã n̪ t̪ a ð̞ a s
atirantado	a t̪ i ɾ ã n̪ t̪ a ð̞ o
atirantados	a t̪ i ɾ ã n̪ t̪ a ð̞ o s
atirantamiento	a t̪ i ɾ ã n̪ t̪ a m j ẽ n̪ t̪ o
atirantar	a t̪ i ɾ ã n̪ t̪ a ɾ
atiranto	a t̪ i ɾ ã n̪ t̪ o
atisbada	a t̪ i z β̞ a ð̞ a
atisbadas	a t̪ i z β̞ a ð̞ a s
atisbado	a t̪ i z β̞ a ð̞ o
atisbados	a t̪ i z β̞ a ð̞ o s
atisbar	a t̪ i z β̞ a ɾ
atisbo	a t̪ i z β̞ o
atizada	a t̪ i s a ð̞ a
atizadas	a t̪ i s a ð̞ a s
atizado	a t̪ i s a ð̞ o
atizador	a t̪ i s a ð̞ o ɾ
atizados	a t̪ i s a ð̞ o s
atizar	a t̪ i s a ɾ
atizas	a t̪ i s a s
atlante	a t̪ l ã n̪ t̪ e
atlantismo	a t̪ l ã n̪ t̪ i z m o
atlantés	a t̪ l ã n̪ t̪ e s
atlas	a t̪ l a s
atleta	a t̪ l e t̪ a
atletismo	a t̪ l e t̪ i z m o
atlista	a t̪ l i s t̪ a
atlántico	a t̪ l ã n̪ t̪ i k o
atlética	a t̪ l e t̪ i k a
atléticamente	a t̪ l e t̪ i k a m ẽ n̪ t̪ e
atléticas	a t̪ l e t̪ i k a s
atlético	a t̪ l e t̪ i k o
atléticos	a t̪ l e t̪ i k o s
atmosfera	a ð̞ m o s f e ɾ a
atmosférica	a ð̞ m o s f e ɾ i k a
atmosféricamente	a ð̞ m o s f e ɾ i k a m ẽ n̪ t̪ e
atmosféricas	a ð̞ m o s f e ɾ i k a s
atmosférico	a ð̞ m o s f e ɾ i k o
atmosféricos	a ð̞ m o s f e ɾ i k o s
atmósfera	a ð̞ m o s f e ɾ a
atmósferas	a ð̞ m o s f e ɾ a s
ato	a t̪ o
atoada	a t̪ o a ð̞ a
atoadas	a t̪ o a ð̞ a s
atoado	a t̪ o a ð̞ o
atoados	a t̪ o a ð̞ o s
atoar	a t̪ o a ɾ
atocha	a t̪ o t͡ʃ a
atol	a t̪ o l
atolada	a t̪ o l a ð̞ a
atole	a t̪ o l e
atoleada	a t̪ o l e a ð̞ a
atolero	a t̪ o l e ɾ o
atollada	a t̪ o ʝ a ð̞ a
atolladas	a t̪ o ʝ a ð̞ a s
atollado	a t̪ o ʝ a ð̞ o
atollados	a t̪ o ʝ a ð̞ o s
atollar	a t̪ o ʝ a ɾ
atollarse	a t̪ o ʝ a ɾ s e
atolondrada	a t̪ o l õ n̪ d̪ ɾ a ð̞ a
atolondradas	a t̪ o l õ n̪ d̪ ɾ a ð̞ a s
atolondrado	a t̪ o l õ n̪ d̪ ɾ a ð̞ o
atolondrados	a t̪ o l õ n̪ d̪ ɾ a ð̞ o s
atolón	a t̪ o l õ n
atomicidad	a t̪ o m i s i ð̞ a ð̞
atomismo	a t̪ o m i z m o
atomista	a t̪ o m i s t̪ a
atomizada	a t̪ o m i s a ð̞ a
atomizadas	a t̪ o m i s a ð̞ a s
atomizado	a t̪ o m i s a ð̞ o
atomizador	a t̪ o m i s a ð̞ o ɾ
atomizados	a t̪ o m i s a ð̞ o s
atomizar	a t̪ o m i s a ɾ
atomoxetina	a t̪ o m o ɣ̞ s e t̪ i n a
atonal	a t̪ o n a l
atonalidad	a t̪ o n a l i ð̞ a ð̞
atonalismo	a t̪ o n a l i z m o
atonista	a t̪ o n i s t̪ a
atontada	a t̪ õ n̪ t̪ a ð̞ a
atontadas	a t̪ õ n̪ t̪ a ð̞ a s
atontado	a t̪ õ n̪ t̪ a ð̞ o
atontados	a t̪ õ n̪ t̪ a ð̞ o s
atontar	a t̪ õ n̪ t̪ a ɾ
atonía	a t̪ o n i a
atorada	a t̪ o ɾ a ð̞ a
atoradas	a t̪ o ɾ a ð̞ a s
atorado	a t̪ o ɾ a ð̞ o
atorados	a t̪ o ɾ a ð̞ o s
atorar	a t̪ o ɾ a ɾ
atordir	a t̪ o ɾ ð̞ i ɾ
atorgada	a t̪ o ɾ ɣ̞ a ð̞ a
atorgadas	a t̪ o ɾ ɣ̞ a ð̞ a s
atorgado	a t̪ o ɾ ɣ̞ a ð̞ o
atorgados	a t̪ o ɾ ɣ̞ a ð̞ o s
atorgar	a t̪ o ɾ ɣ̞ a ɾ
atormentada	a t̪ o ɾ m ẽ n̪ t̪ a ð̞ a
atormentadas	a t̪ o ɾ m ẽ n̪ t̪ a ð̞ a s
atormentado	a t̪ o ɾ m ẽ n̪ t̪ a ð̞ o
atormentados	a t̪ o ɾ m ẽ n̪ t̪ a ð̞ o s
atormentante	a t̪ o ɾ m ẽ n̪ t̪ ã n̪ t̪ e
atormentar	a t̪ o ɾ m ẽ n̪ t̪ a ɾ
atornillada	a t̪ o ɾ n i ʝ a ð̞ a
atornilladas	a t̪ o ɾ n i ʝ a ð̞ a s
atornillado	a t̪ o ɾ n i ʝ a ð̞ o
atornillados	a t̪ o ɾ n i ʝ a ð̞ o s
atornillamiento	a t̪ o ɾ n i ʝ a m j ẽ n̪ t̪ o
atornillar	a t̪ o ɾ n i ʝ a ɾ
atorrada	a t̪ o r a ð̞ a
atorradas	a t̪ o r a ð̞ a s
atorrado	a t̪ o r a ð̞ o
atorrados	a t̪ o r a ð̞ o s
atorrante	a t̪ o r ã n̪ t̪ e
atorrar	a t̪ o r a ɾ
atortar	a t̪ o ɾ t̪ a ɾ
atortolada	a t̪ o ɾ t̪ o l a ð̞ a
atortoladas	a t̪ o ɾ t̪ o l a ð̞ a s
atortolado	a t̪ o ɾ t̪ o l a ð̞ o
atortolados	a t̪ o ɾ t̪ o l a ð̞ o s
atortolar	a t̪ o ɾ t̪ o l a ɾ
atorvastatina	a t̪ o ɾ β̞ a s t̪ a t̪ i n a
atosibán	a t̪ o s i β̞ ã n
atosigada	a t̪ o s i ɣ̞ a ð̞ a
atosigadas	a t̪ o s i ɣ̞ a ð̞ a s
atosigado	a t̪ o s i ɣ̞ a ð̞ o
atosigador	a t̪ o s i ɣ̞ a ð̞ o ɾ
atosigadora	a t̪ o s i ɣ̞ a ð̞ o ɾ a
atosigadoras	a t̪ o s i ɣ̞ a ð̞ o ɾ a s
atosigadores	a t̪ o s i ɣ̞ a ð̞ o ɾ e s
atosigados	a t̪ o s i ɣ̞ a ð̞ o s
atosigante	a t̪ o s i ɣ̞ ã n̪ t̪ e
atosigar	a t̪ o s i ɣ̞ a ɾ
atrabajar	a t̪ ɾ a β̞ a x a ɾ
atrabilioso	a t̪ ɾ a β̞ i l j o s o
atrabilis	a t̪ ɾ a β̞ i l i s
atracada	a t̪ ɾ a k a ð̞ a
atracadas	a t̪ ɾ a k a ð̞ a s
atracado	a t̪ ɾ a k a ð̞ o
atracadora	a t̪ ɾ a k a ð̞ o ɾ a
atracadores	a t̪ ɾ a k a ð̞ o ɾ e s
atracados	a t̪ ɾ a k a ð̞ o s
atracar	a t̪ ɾ a k a ɾ
atracción	a t̪ ɾ a ɣ̞ s j õ n
atraco	a t̪ ɾ a k o
atracones	a t̪ ɾ a k o n e s
atractivo	a t̪ ɾ a ɣ̞ t̪ i β̞ o
atractor	a t̪ ɾ a ɣ̞ t̪ o ɾ
atracón	a t̪ ɾ a k õ n
atraer	a t̪ ɾ a e ɾ
atragantada	a t̪ ɾ a ɣ̞ ã n̪ t̪ a ð̞ a
atragantadas	a t̪ ɾ a ɣ̞ ã n̪ t̪ a ð̞ a s
atragantado	a t̪ ɾ a ɣ̞ ã n̪ t̪ a ð̞ o
atragantados	a t̪ ɾ a ɣ̞ ã n̪ t̪ a ð̞ o s
atragantar	a t̪ ɾ a ɣ̞ ã n̪ t̪ a ɾ
atraillada	a t̪ ɾ a i̯ ʝ a ð̞ a
atrailladas	a t̪ ɾ a i̯ ʝ a ð̞ a s
atraillado	a t̪ ɾ a i̯ ʝ a ð̞ o
atraillados	a t̪ ɾ a i̯ ʝ a ð̞ o s
atraillar	a t̪ ɾ a i̯ ʝ a ɾ
atrancada	a t̪ ɾ ã ŋ k a ð̞ a
atrancadas	a t̪ ɾ ã ŋ k a ð̞ a s
atrancado	a t̪ ɾ ã ŋ k a ð̞ o
atrancados	a t̪ ɾ ã ŋ k a ð̞ o s
atrancar	a t̪ ɾ ã ŋ k a ɾ
atranco	a t̪ ɾ ã ŋ k o
atranqué	a t̪ ɾ ã ŋ k e
atrapada	a t̪ ɾ a p a ð̞ a
atrapadas	a t̪ ɾ a p a ð̞ a s
atrapado	a t̪ ɾ a p a ð̞ o
atrapados	a t̪ ɾ a p a ð̞ o s
atrapamiento	a t̪ ɾ a p a m j ẽ n̪ t̪ o
atrapamoscas	a t̪ ɾ a p a m o s k a s
atrapanovios	a t̪ ɾ a p a n o β̞ j o s
atrapante	a t̪ ɾ a p ã n̪ t̪ e
atrapar	a t̪ ɾ a p a ɾ
atrapasueños	a t̪ ɾ a p a s w e ɲ o s
atraque	a t̪ ɾ a k e
atrasa	a t̪ ɾ a s a
atrasada	a t̪ ɾ a s a ð̞ a
atrasadas	a t̪ ɾ a s a ð̞ a s
atrasado	a t̪ ɾ a s a ð̞ o
atrasados	a t̪ ɾ a s a ð̞ o s
atrasamos	a t̪ ɾ a s a m o s
atrasando	a t̪ ɾ a s ã n̪ d̪ o
atrasar	a t̪ ɾ a s a ɾ
atrasara	a t̪ ɾ a s a ɾ a
atrasaras	a t̪ ɾ a s a ɾ a s
atrasareis	a t̪ ɾ a s a ɾ e i̯ s
atrasaremos	a t̪ ɾ a s a ɾ e m o s
atrasares	a t̪ ɾ a s a ɾ e s
atrasará	a t̪ ɾ a s a ɾ a
atrasarás	a t̪ ɾ a s a ɾ a s
atrasaríamos	a t̪ ɾ a s a ɾ i a m o s
atrasas	a t̪ ɾ a s a s
atrasaste	a t̪ ɾ a s a s t̪ e
atrase	a t̪ ɾ a s e
atrasemos	a t̪ ɾ a s e m o s
atrases	a t̪ ɾ a s e s
atraso	a t̪ ɾ a s o
atrasos	a t̪ ɾ a s o s
atrasáramos	a t̪ ɾ a s a ɾ a m o s
atravesada	a t̪ ɾ a β̞ e s a ð̞ a
atravesadas	a t̪ ɾ a β̞ e s a ð̞ a s
atravesado	a t̪ ɾ a β̞ e s a ð̞ o
atravesados	a t̪ ɾ a β̞ e s a ð̞ o s
atravesamiento	a t̪ ɾ a β̞ e s a m j ẽ n̪ t̪ o
atravesar	a t̪ ɾ a β̞ e s a ɾ
atraviesa	a t̪ ɾ a β̞ j e s a
atravieso	a t̪ ɾ a β̞ j e s o
atrayente	a t̪ ɾ a ʝ ẽ n̪ t̪ e
atrazina	a t̪ ɾ a s i n a
atrazinas	a t̪ ɾ a s i n a s
atraía	a t̪ ɾ a i a
atraíamos	a t̪ ɾ a i a m o s
atraías	a t̪ ɾ a i a s
atraída	a t̪ ɾ a i ð̞ a
atraídas	a t̪ ɾ a i ð̞ a s
atraído	a t̪ ɾ a i ð̞ o
atraídos	a t̪ ɾ a i ð̞ o s
atrebates	a t̪ ɾ e β̞ a t̪ e s
atrecho	a t̪ ɾ e t͡ʃ o
atreguada	a t̪ ɾ e ɣ̞ w a ð̞ a
atreguadas	a t̪ ɾ e ɣ̞ w a ð̞ a s
atreguado	a t̪ ɾ e ɣ̞ w a ð̞ o
atreguados	a t̪ ɾ e ɣ̞ w a ð̞ o s
atreguar	a t̪ ɾ e ɣ̞ w a ɾ
atresia	a t̪ ɾ e s j a
atreva	a t̪ ɾ e β̞ a
atrevamos	a t̪ ɾ e β̞ a m o s
atrevas	a t̪ ɾ e β̞ a s
atreve	a t̪ ɾ e β̞ e
atrevemos	a t̪ ɾ e β̞ e m o s
atrever	a t̪ ɾ e β̞ e ɾ
atreveremos	a t̪ ɾ e β̞ e ɾ e m o s
atreverá	a t̪ ɾ e β̞ e ɾ a
