ഁ	◌̃
കരി	k ɐ ɾ i
കരിക്ക്	k ɐ ɾ i k k ə̆
കരിങ്കടൽ	k ɐ ɾ i ŋ ɡ ɐ ɖ ɐ l
കരിങ്കല്ല്	k a ɾ i ŋ k a lː ə
കരിങ്ങാലി	k a ɾ i ŋ ŋ aː l i
കരിഞ്ചീരകം	k ɐ ɾ i ɲ d͡ʒ iː ɾ ɐ ɡ ɐ m
കരിന്തിരി	k ɐ ɾ i n̪ d̪ i ɾ i
കരിപ്പെട്ടി	k ɐ ɾ i p p e ʈ ʈ i
കരിമരുന്ന്	k ä ɾ i m ɐ ɾ u n̪ː ɨ̆
കരിമ്പുലി	k ɐ ɾ i m b u l i
കരിമ്പ്	k ɐ ɾ i m b ə̆
കരിയില	k ä ɾ i j i l ä
കരിയിലക്കിളി	k ä ɾ i j i l ä kː i ɭ i
കരിയുക	k ɐ ɾ i j u ɡ ɐ
കരിയ്	k ɐ ɾ i j ə̆
കരു	k ɐ ɾ u
കരുണ	k ä ɾ u ɳ ä
കരുതുക	k ɐ ɾ u d̪ u ɡ ɐ
കരുത്ത്	k ɐ ɾ u t̪ t̪ ə̆
കരുതൽ	k ɐ ɾ u d̪ ɐ l
കരൾ	k ɐ ɾ ɐ ɭ
കറ	k ɐ r ɐ
കറകളഞ്ഞ	k ɐ r ɐ ɡ ɐ ɭ ɐ ɲ ɲ ɐ
കറക്കുക	k ɐ r ɐ k k u ɡ ɐ
കറങ്ങുക	k ɐ r ɐ ŋ ŋ u ɡ ɐ
കറവ	k ɐ r ɐ ʋ ɐ
കറി	k ɐ r i
കറിയുപ്പ്	k a r i j u pː ə
കറിവേപ്പില	k ä r i ʋ eː pː i l ä
കറിവേപ്പ്	k ä r i ʋ eː pː ɨ̆
കറുക	k ɐ r u ɡ ɐ
കറുത്തവാവ്	k ɐ r u t̪ t̪ ɐ ʋ aː ʋ ə̆
കറുത്തീയം	k ɐ r u t̪ t̪ iː j ɐ m
കറുപ്പ്	k ɐ r u p p ə̆
കറുവ	k ɐ r u ʋ ɐ
കറുവപ്പട്ട	k ɐ r u ʋ ɐ p p ɐ ʈ ʈ ɐ
കറ്റാർവാഴ	k ɐ t t aː r ʋ aː ɻ ɐ
കറൻസി	k a r a n s i
കല	k ɐ l ɐ
കലം	k ɐ l ɐ m
കലംകാരി	k ɐ l ɐ ŋ k aː ɾ i
കലക്കിക്കുക	k ɐ l ɐ k k i k k u ɡ ɐ
കലക്കുക	k ɐ l ɐ k k u ɡ ɐ
കലങ്ങുക	k ɐ l ɐ ŋ ŋ u ɡ ɐ
കലന്റർ	k ɐ l ɐ n t ɐ r
കലവറ	k ä l ä ʋ ɐ r ä
കലാകാരി	k ä l äː ɡ äː ɾ i
കലാകാരൻ	k ä l äː ɡ äː ɾ ɐ n
കലാപം	k ɐ l aː b ɐ m
കലാലയം	k ɐ l aː l ɐ j ɐ m
കലാശം	k ä l äː ʂ ɐ m
കലി	k ɐ l i
കലിക	k ɐ l i ɡ ɐ
കലോറി	k ä l oː r i
കല്യാണം	k ɐ l j aː ɳ ɐ m
കല്ലുപ്പ്	k ɐ l l u p p ə̆
കല്ല്	k ɐ l l ə̆
കല്ലൻ	k a lː a n
കല്ലൻതുമ്പി	k ɐ l l ɐ n d̪ u m b i
കളം	k ɐ ɭ ɐ m
കളങ്കം	k ɐ ɭ ɐ ŋ ɡ ɐ m
കളരി	k ɐ ɭ ɐ ɾ i
കളരിപ്പയറ്റ്	k ɐ ɭ ɐ ɾ i p p ɐ j ɐ t t ə̆
കളവ്	k ɐ ɭ ɐ ʋ ə̆
കളസം	k a ɭ a s a m
കളി	k ɐ ɭ i
കളിക്കാരി	k ɐ ɭ i k k aː ɾ i
കളിക്കാരൻ	k ɐ ɭ i k k aː ɾ ɐ n
കളിക്കുക	k ɐ ɭ i k k u ɡ ɐ
കളിക്കൂട്ടുകാരൻ	k ɐ ɭ i k k uː ʈ ʈ u ɡ aː ɾ ɐ n
കളിക്ക്	k ɐ ɭ i k k ə̆
കളിപ്പാട്ടം	k ɐ ɭ i p p aː ʈ ʈ ɐ m
കളിപ്പിക്കുക	k ɐ ɭ i p p i k k u ɡ ɐ
കളിമണ്ണ്	k ɐ ɭ i m ɐ ɳ ɳ ə̆
കളിയാക്കുക	k ɐ ɭ i j aː k k u ɡ ɐ
കളിർ	k ɐ ɭ i r
കള്ള	k ä ɭː ä
കള്ളം	k ɐ ɭ ɭ ɐ m
കള്ളങ്	k ɐ ɭ ɭ ɐ ŋ
കള്ളത്തരം	k ɐ ɭ ɭ ɐ t̪ t̪ ɐ ɾ ɐ m
കള്ളി	k ɐ ɭ ɭ i
കള്ള്	k ɐ ɭː ɨ̆
കള്ളൻ	k ɐ ɭ ɭ ɐ n
കഴകം	k ɐ ɻ ɐ ɡ ɐ m
കഴനി	k ɐ ɻ ɐ n i
കഴപ്പ്	k ɐ ɻ ɐ p p ə̆
കഴി	k ɐ ɻ i
കഴിക്കുക	k ɐ ɻ i k k u ɡ ɐ
കഴിഞ്ഞ	k ɐ ɻ i ɲː ɐ
കഴിഞ്ഞ്	k ɐ ɻ i ɲ ɲ ə̆
കഴിയുക	k ɐ ɻ i j u ɡ ɐ
കഴിവുള്ള	k ä ɻ i ʋ u ɭː ä
കഴു	k ɐ ɻ u
കഴുകുക	k ɐ ɻ u ɡ u k ɐ
കഴുക്	k ɐ ɻ u ɡ ə̆
കഴുകൻ	k ɐ ɻ u ɡ ɐ n
കഴുത	k ɐ ɻ u d̪ ɐ
കഴുതപ്പുലി	k ɐ ɻ u d̪ ɐ p p u l i
കഴുന്ന്	k ɐ ɻ u n̪ n̪ ə̆
കഴുവേറി	k ɐ ɻ u ʋ eː r i
കഴുവേറുക	k ɐ ɻ u ʋ eː r u ɡ ɐ
കവചം	k ɐ ʋ ɐ d͡ʒ ɐ m
കവയിത്രി	k ɐ ʋ ɐ j i t̪ r i
കവരത്തി	k ɐ ʋ ɐ ɾ ɐ t̪ t̪ i
കവര്	k ä ʋ ä ɾ ɨ̆
കവല	k ɐ ʋ ɐ l ɐ
കവാത്ത്	k ä ʋ äː t̪ː ɨ̆
കവി	k ɐ ʋ i
കവിത	k ɐ ʋ i d̪ ɐ
കവിയുക	k ä ʋ i j u ɡ ä
കവിൾ	k ɐ ʋ i ɭ
കവുങ്ങ്	k ɐ ʋ u ŋ ŋ ə̆
കവർച്ച	k ɐ ʋ ɐ r t͡ʃ t͡ʃ ɐ
കവർപ്പ്	k ɐ ʋ ɐ r p p ə̆
കശകശ	k ä ʃ ä ɡ ɐ ʃ ä
കശാപ്പ്	k ɐ ʃ aː p p ə̆
കശു	k ɐ ʃ u
കശുമാങ്ങ	k a ʃ u m aː ŋː a
കശുമാവ്	k a ʃ u m aː ʋ ə
കശുവണ്ടി	k ɐ ʃ u ʋ ɐ ɳ ɖ i
കശേരു	k ɐ ʃ eː ɾ u
കശ്മീരി	k ɐ ʃ m iː ɾ i
കഷണ്ടി	k ɐ ʂ ɐ ɳ ɖ i
കഷായം	k ɐ ʂ aː j ɐ m
കഷ്ട	k ɐ ʂ ʈ ɐ
കഷ്ടം	k ɐ ʂ ʈ ɐ m
കഷ്ടത	k ɐ ʂ ʈ ɐ d̪ ɐ
കഷ്ടപ്പാട്	k ä ʂ ʈ ɐ pː äː ɖ ɨ̆
കസറത്ത്	k ɐ s ɐ r ɐ t̪ t̪ ə̆
കസവ്	k ɐ s ɐ ʋ ə̆
കസിൻ	k a s i n
കസേര	k ɐ s eː ɾ ɐ
കസ്തൂരി	k ä s t̪ uː ɾ i
കാംഗരു	k aː ŋ ɡ ɐ ɾ u
കാകദൃഷ്ടി	k aː k a d̪ r ɨ ʂ ʈ i
കാക്ക	k aː k k ɐ
കാക്കക്കണ്ണ്	k aː kː a kː a ɳː ə
കാക്കത്തമ്പുരാട്ടി	k aː k k ɐ t̪ t̪ ɐ m b u ɾ aː ʈ ʈ i
കാക്കത്തിരണ്ടി	t̪ i ɾ ɐ ɳ ɖ i
കാക്കത്തൊള്ളായിരം	k aː k k ɐ t̪ t̪ o ɭ ɭ aː j i ɾ ɐ m
കാക്കി	k äː kː i
കാക്കുക	k äː kː u ɡ ä
കാച്ചിൽ	k aː t͡ʃ t͡ʃ i l
കാച്ചുക	k aː t͡ʃ t͡ʃ u ɡ ɐ
കാഞ്ചനം	k aː ɲ d͡ʒ ɐ n ɐ m
കാഞ്ഞിരം	k aː ɲ ɲ i ɾ ɐ m
കാട	k aː ɖ ɐ
കാടത്	k äː ɖ ɐ d̪ ɨ̆
കാടുകയറുക	k aː ɖ u ɡ ɐ j ɐ r u ɡ ɐ
കാട്	k aː ɖ ə̆
കാട്ടി	k äː ʈː i
കാട്ടുക	k aː ʈ ʈ u ɡ ɐ
കാട്ടുകോഴി	k aː ʈ ʈ u ɡ oː ɻ i
കാട്ടുതീ	k aː ʈ ʈ u d̪ iː
കാട്ടുപന്നി	k aː ʈˑ ʈ uˑ p ɐ n̪ˑ n̪ i
കാട്ടുപോത്ത്	k äː ʈː u b oː t̪ː ɨ̆
കാട്ട്	k aː ʈ ʈ ə̆
കാണ	k aː ɳ ɐ
കാണാതാകുക	k äː ɳ äː d̪ äː kː u ɡ ä
കാണിക്ക	k äː ɳ i kː ä
കാണിക്കുക	k aː ɳ i k k u ɡ ɐ
കാണുക	k aː ɳ u ɡ ɐ
കാണ്ടാമൃഗം	k aː ɳ ɖ aː m r i ɡ ɐ m
കാണ്ഡം	k aː ɳ ɖ ɐ m
കാതം	k aː d̪ ɐ m
കാത്	k aː d̪ ə̆
കാതൽ	k äː d̪ ɐ l
കാന	k aː n ɐ
കാനനം	k aː n ɐ n̪ ɐ m
കാനാൻ	k aː n aː n
കാനേഷുമാരി	k äː n eː ʂ u m äː ɾ i
കാന്തം	k aː n̪ d̪ ɐ m
കാന്താരം	k aː n̪ d̪ aː ɾ ɐ m
കാന്തി	k aː n̪ d̪ i
കാപ്പ	k aː p p ɐ
കാപ്പി	k aː p p i
കാപ്പിരി	k aː p p i ɾ i
കാബിനറ്റ്	k äː b i n ɐ t ɨ̆
കാമം	k aː m a m
കാമറ	k aː m ɐ r ɐ
കാമുക	k äː m u ɡ ä
കാമുകി	k äː m u ɡ i
കാമുകൻ	k äː m u ɡ ɐ n
കാമ്പ്	k aː m b ə̆
കായ	k aː j ɐ
കായം	k äː j ɐ m
കായാവ്	k aː j aː ʋ ə̆
കായിക	k äː j i ɡ ä
കായികം	k äː j i ɡ ɐ m
കായിതം	k aː j i d̪ ɐ m
കായേൻ	k aː j eː n
കായ്ക്കുക	k aː j k k u ɡ ɐ
കായൽ	k aː j ɐ l
കാരം	k aː ɾ ɐ m
കാരക്ക	k aː ɾ a kː a
കാരണം	k aː ɾ ɐ ɳ ɐ m
കാരണമാകുക	k äː ɾ ɐ ɳ ɐ m äː kː u ɡ ä
കാരണവർ	k aː ɾ ɐ ɳ ɐ ʋ ɐ r
കാരറ്റ്	k aː ɾ ɐ t t ə̆
കാരുണ്യം	k äː ɾ u ɳ j ä m
കാര്യം	k aː ɾ j ɐ m
കാര്യക്രമം	k aː ɾ j ɐ k r ɐ m ɐ m
കാര്യനിർവഹണം	k aː ɾ j ɐ n i r ʋ ɐ h ɐ ɳ ɐ m
കാര്യാലയം	k aː ɾ j aː l ɐ j ɐ m
കാറുക	k aː r u ɡ ɐ
കാറ്	k aː r ə̆
കാറ്ററിങ്	k äː t ɐ r i ŋ ɨ̆
കാറ്റ്	k aː t t ə̆
കാലം	k aː l ɐ m
കാലക്രമേണ	k äː l ɐ k ɾ ɐ m eː ɳ ä
കാലഘട്ടം	k äː l ɐ ɡʱ ɐ ʈː ɐ m
കാലടി	k aː l ɐ ɖ i
കാലതാമസം	k äː l ɐ d̪ äː m ɐ s ɐ m
കാലത്ത്	k aː l ɐ t̪ t̪ ə̆
കാലദർശം	k aː l ɐ d̪ ɐ r ʃ ɐ m
കാലാവധി	k aː l aː ʋ ɐ d̪ʱ i
കാലാവസ്ഥ	k aː l aː ʋ ɐ s t̪ʰ ɐ
കാലാവസ്ഥാവ്യതിയാനം	k äː l äː ʋ ä s t̪ʰ äː ʋ j ɐ d̪ i j äː n ɐ m
കാലാൾ	k aː l aː ɭ
കാലി	k aː l i
കാലിപിജിയൻ	k äː l i p i d͡ʒ i j ɐ n
കാലുറ	k äː l u r ä
കാലൻ	k aː l ɐ n
കാള	k aː ɭ ɐ
കാളാഞ്ചി	k aː ɭ aː ɲ d͡ʒ i
കാഴ്ച	k aː ɻ t͡ʃ ɐ
കാഴ്ചപ്പെട്ടി	k aː ɻ t͡ʃ ɐ p p e ʈ ʈ i
കാഴ്ചബംഗ്ലാവ്	k aː ɻ t͡ʃ a b a n ɡ ɭ aː ʋ ə
കാഴ്തൽ	k äː ɻ t̪ ɐ l
കാവ്	k aː ʋ ə̆
കാവ്യ	k aː ʋ j ɐ
കാവ്യനീതി	k äː ʋ j ɐ n̪ iː d̪ i
കാവൽ	k äː ʋ ɐ l
കാശി	k aː ʃ i
കാശ്	k aː ʃ ə̆
കാഷ്ഠം	k aː ʂ ʈʰ ɐ m
കാസർഗോഡ്	k aː s ɐ r ɡ oː ɖ ə̆
കാഹളം	k aː h ɐ ɭ ɐ m
കാൻസർ	k äː n s ɐ r
കാർ	k aː r
കാർട്ടൂൻ	k aː r ʈ ʈ uː n
കാർബണിക	k aː r b ɐ ɳ i ɡ ɐ
കാർബൺ	k äː r b ɐ ɳ
കാർമുകിൽ	k aː r m u ɡ i l
കാർവ്വലയം	k aː r ʋ ʋ ɐ l ɐ j ɐ m
കാർവർണ്ണൻ	k aː r ʋ ɐ r ɳ ɳ ɐ n
കാൽ	k aː l
കാൽക്കുലേറ്റർ	k äː l kː u l eː t ɐ r
കാൽനട	k aː l n̪ a ɖ a
കാൽമുട്ട്	k aː l m u ʈ ʈ ə̆
കാൽവിരൽ	k äː l ʋ i ɾ ɐ l
കാൽസ്യം	k aː l s j a m
കിങ്കിര	k i ŋ ɡ i ɾ ɐ
കിട	k i ɖ ɐ
കിടക്ക	k i ɖ ɐ k k ɐ
കിടക്കുക	k i ɖ ɐ k k u ɡ ɐ
കിടക്ക്	k i ɖ ɐ k k ə̆
കിടത്തുക	k i ɖ ɐ t̪ t̪ u ɡ ɐ
കിടാവ്	k i ɖ aː ʋ ə̆
കിടി	k i ɖ i
കിട്ടുക	k i ʈ ʈ u ɡ ɐ
കിണറ്	k i ɳ a r ɨ̆
കിണ്ടി	k i ɳ ɖ i
കിണ്ണം	k i ɳ ɳ ɐ m
കിതയ്ക്കുക	k i d̪ ɐ j k k u ɡ ɐ
കിതാബ്	k i d̪ aː b ə̆
കിത്താബ്	k i t̪ t̪ aː b ə̆
കിനാവ്	k i n aː ʋ ɨ
കിന്നരിമൈന	k i n̪ n̪ ɐ ɾ i m ɐ i̯ n ɐ
കിന്റ്സുഗി	k i n t s u ɡ i
കിരണം	k i ɾ ɐ ɳ ɐ m
കിരാത	k i ɾ aː d̪ a
കിരാതി	k i ɾ aː d̪ i
കിരാതൻ	k i ɾ aː d̪ a n
കിരി	k i ɾ i
കിരീടം	k i ɾ iː ɖ ɐ m
കിറുക്ക്	k i r u k k ə̆
കിറ്റ്	k i t t ə̆
കിലുക്കം	k i l u k k ɐ m
കിലേദാർ	k i l eː d̪ aː r
കിലോ	k i l oː
കിള	k i ɭ ɐ
കിളയ്ക്കുക	k i ɭ ɐ j k k u ɡ ɐ
കിളി	k i ɭ i
കിളിക്കൂട്	k i ɭ i kː uː ɖ ɨ̆
കിളിമീൻ	k i ɭ i m iː n
കിളിർക്കുക	k i ɭ i r k k u ɡ ɐ
കിഴക്ക്	k i ɻ ɐ k k ə̆
കിഴക്കൻ	k i ɻ a kː a n
കിഴങ്ങ്	k i ɻ ɐ ŋ ŋ ə̆
കിഴങ്ങൻ	k i ɻ ɐ ŋ ŋ ɐ n
കിഴവി	k i ɻ ɐ ʋ i
കിഴവൻ	k i ɻ ɐ ʋ ɐ n
കിഴി	k i ɻ i
കിഴിക്കുക	k i ɻ i kː u ɡ a
കിഴിവ്	k i ɻ i ʋ ə̆
കിവി	k i ʋ i
കിസ്മത്ത്	k i s m ä t̪ː ɨ̆
കീടം	k iː ɖ ɐ m
കീബോർഡ്	k iː b oː r ɖ ɨ̆
കീമാ	k iː m aː
കീരം	k iː ɾ ɐ m
കീറുക	k iː r u ɡ ɐ
കീറൽ	k iː r a l
കീഴടക്കുക	k iː ɻ a ɖ a kː u ɡ a
കീഴടങ്ങുക	k iː ɻ ɐ ɖ ɐ ŋ ŋ u ɡ ɐ
കീഴൊട്ട്	k iː ɻ o ʈ ʈ ə̆
കീഴോട്ട്	k iː ɻ oː ʈː ɨ̆
കീഴ്	k iː ɻ ə̆
കീശ	k iː ʃ ɐ
കീർത്തനം	k iː r t̪ t̪ ɐ n ɐ m
കുംഭം	k u m bʱ ɐ m
കുക്കുരം	k u k k u ɾ ɐ m
കുങ്കുമം	k u ŋ ɡ u m ɐ m
കുചാലകം	k u d͡ʒ äː l ɐ ɡ ɐ m
കുഞ്ഞമ്മ	k u ɲ ɲ ɐ m m ɐ
കുഞ്ഞ്	k u ɲ ɲ ə̆
കുട	k u ɖ ɐ
കുടം	k u ɖ ɐ m
കുടക്കല്ല്	k u ɖ ɐ k k ɐ l l ə̆
കുടപ്പൻ	k u ɖ ɐ p p ɐ n
കുടല്	k u ɖ ɐ l ə̆
കുടി	k u ɖ i
കുടിക്കടം	k u ɖ i k k ɐ ɖ ɐ m
കുടിക്കുക	k u ʈ i k k u k ɐ
കുടിപ്പിക്കുക	k u ɖ i p p i k k u ɡ ɐ
കുടിയ്ക്കുക	k u ɖ i j k k u ɡ ɐ
കുടിശ്ശിക	k u ɖ i ʃ ʃ i ɡ ɐ
കുടിൽ	k u ɖ i l
കുടീരം	k u ɖ iː ɾ ɐ m
കുടുംബാംഗം	k u ɖ u m b aː ŋ ɡ ɐ m
കുട്ട	k u ʈ ʈ ɐ
കുട്ടവള്ളം	k u ʈ ʈ ɐ ʋ ɐ ɭ ɭ ɐ m
കുട്ടിക്കാലം	k u ʈ ʈ i k k aː l ɐ m
കുടൽ	k u ɖ ɐ l
കുണ്ടി	k u ɳ ɖ i
കുണ്ണ	k u ɳ ɳ ɐ
കുതികാൽ	k u d̪ i ɡ aː l
കുതിക്കുക	k u d̪ i k k u ɡ ɐ
കുതിര	k u d̪ i ɾ ɐ
കുതിരക്കച്ചവടം	k u d̪ i ɾ a kː a t͡ʃː a ʋ a ɖ a m
കുതിരശക്തി	k u d̪ i ɾ ɐ ʃ ɐ k t̪ i
കുതിരുക	k u d̪ i ɾ u ɡ ɐ
കുത്തിത്തിരിപ്പ്	k u t̪ t̪ i t̪ t̪ i ɾ i p p ə̆
കുത്തുക	k u t̪ t̪ u ɡ ɐ
കുത്ത്	k u t̪ t̪ ə̆
കുനിയുക	k u n i j u ɡ ɐ
കുനിഷ്ഠൻ	k u n i ʂ ʈʰ a n
കുനീൽ	k u n iː l
കുന്തം	k u n̪ d̪ ɐ m
കുന്തിരിക്കം	k u n̪ d̪ i ɾ i k k ɐ m
കുന്ത്രാണ്ടം	k u n̪ d̪ r aː ɳ ɖ ɐ m
കുന്നി	k u n̪ n̪ i
കുന്നിക്കുരു	k u n̪ n̪ i k k u ɾ u
കുന്ന്	k u n̪ n̪ ə̆
കുപ്പ	k u p p ɐ
കുപ്പി	k u p p i
കുബേരൻ	k u b eː ɾ a n
കുബ്ബൂസ്	k u b b uː s ə̆
കുമളി	k u m ɐ ɭ i
കുമാരി	k u m aː ɾ i
കുമാരൻ	k u m aː ɾ ɐ n
കുമിള	k u m i ɭ ɐ
കുമിൾ	k u m i ɭ
കുമ്പളം	k u m b ɐ ɭ ɐ m
കുമ്പളങ്ങ	k u m b ɐ ɭ ɐ ŋ ŋ ɐ
കുമ്പസാരം	k u m b ɐ s aː ɾ ɐ m
കുമ്പിടുക	k u m b i ɖ u ɡ ɐ
കുമ്മട്ടി	k u m m ɐ ʈ ʈ i
കുമ്മനടിക്കുക	k u m m ɐ n ɐ ɖ i k k u ɡ ɐ
കുയിൽ	k u j i l
കുര	k u ɾ ɐ
കുരങ്ങ്	k u ɾ a ŋː ə
കുരടാവ്	k u ɾ ɐ ɖ aː ʋ ə̆
കുരയ്ക്കുക	k u ɾ ɐ j k k u ɡ ɐ
കുരിശിലേറ്റൽ	k u ɾ i ʃ i l eː t t ɐ l
കുരിശ്	k u ɾ i ʃ ɨ̆
കുരു	k u ɾ u
കുരുട്	k u ɾ u ɖ ə̆
കുരുടൻ	k u ɾ u ɖ ɐ n
കുരുതി	k u ɾ u d̪ i
കുരുമുളക്	k u ɾ u m u ɭ ɐ ɡ ɨ̆
കുരുവി	k u ɾ u ʋ i
കുറക്	k u r ɐ ɡ ə̆
കുറച്ച്	k u r ɐ t͡ʃ t͡ʃ ə̆
കുറഞ്ഞ	k u r ɐ ɲ ɲ ɐ
കുറയ്ക്കുക	k u r ɐ j k k u ɡ ɐ
കുറവ്	k u r ɐ ʋ ə̆
കുറിക്കുക	k u r i k k u ɡ ɐ
കുറിഞ്ഞി	k u r i ɲ ɲ i
കുറിപ്പ്	k u r i p p ə̆
കുറിയ	k u r i j ɐ
കുറുക്കൻ	k u r u k k ɐ n
കുറുപ്പ്	k u r u p p ə̆
കുറെ	k u r e
കുറേ	k u r eː
കുറേയൊക്കെ	k u r eː j o k k e
കുറേശ്ശെ	k u r eː ʃː e
കുറ്റം	k u t t ɐ m
കുറ്റബോധം	k u t t ɐ b oː d̪ʱ ɐ m
കുറ്റമറ്റ	k u t a m a t a
കുറ്റവാളി	k u t t ɐ ʋ aː ɭ i
കുറ്റിയലുകരം	k u t t i j ɐ l u ɡ ɐ ɾ ɐ m
കുല	k u l ɐ
കുലംകുത്തി	k u l ä ŋ k u t̪ː i
കുലസ്ത്രീ	k u l ɐ s t̪ r iː
കുലി	k u l i
കുലുക്കുക	k u l u kː u ɡ a
കുലുങ്ങുക	k u l u ŋː u ɡ a
കുളം	k u ɭ ɐ m
കുളക്കോഴി	k u ɭ ɐ kː oː ɻ i
കുളവാഴ	k u ɭ ɐ ʋ äː ɻ ä
കുളി	k u ɭ i
കുളിക്കുക	k u ɭ i k k u ɡ ɐ
കുളിരുള്ള	k u ɭ i ɾ u ɭ ɭ ɐ
കുളിർ	k u ɭ i r
കുള്ളൻ	k u ɭ ɭ ɐ n
കുഴക്കുക	k u ɻ ɐ k k u ɡ ɐ
കുഴങ്ങുക	k u ɻ ɐ ŋ ŋ u ɡ ɐ
കുഴപ്പം	k u ɻ ɐ p p ɐ m
കുഴമ്പ്	k u ɻ ɐ m b ə̆
കുഴയുക	k u ɻ a j u ɡ a
കുഴയ്ക്കുക	k u ɻ a j kː u ɡ a
കുഴി	k u ɻ i
കുഴിക്കുക	k u ɻ i k k u ɡ ɐ
കുഴിക്ക്	k u ɻ i k k ə̆
കുഴിയാന	k u ɻ i j aː n ɐ
കുഴൽ	k u ɻ ɐ l
കുശലാന്വേഷണം	k u ʃ ɐ l aː n ʋ eː ʂ ɐ ɳ ɐ m
കുശാൽ	k u ʃ äː l
കുഷ്ഠം	k u ʂ ʈʰ a m
കുസൃതി	k u s r i d̪ i
കുഹരം	k u h a ɾ a m
കുർബാന	k u r b aː n ɐ
കൂട	k uː ɖ ɐ
കൂടാതെ	k uː ɖ aː d̪ e
കൂടാരം	k uː ɖ aː ɾ a m
കൂടിക്കാഴ്ച	k uː ɖ i k k aː ɻ t͡ʃ ɐ
കൂടുക	k uː ʈː u ɡ a
കൂടുതൽ	k uː ɖ u d̪ ɐ l
കൂടെ	k uː ɖ e
കൂട്	k uː ɖ ɨ̆
കൂട്ട	k uː ʈ ʈ ɐ
കൂട്ടം	k uː ʈ ʈ ɐ m
കൂട്ടക്കൊല	k uː ʈ ʈ ɐ k k o l ɐ
കൂട്ടക്ഷരം	k uː ʈ ʈ ɐ k ʂ ɐ ɾ ɐ m
കൂട്ടുക	k uː ʈ ʈ u ɡ ɐ
കൂട്ടുകാരി	k uː ʈ ʈ u ɡ aː ɾ i
കൂട്ടുകാരൻ	k uː ʈː u ɡ aː ɾ a n
കൂട്ടുകാർ	k uː ʈː u ɡ äː r
കൂട്ടുകൂടുക	k uː ʈː u ɡ uː ɖ u ɡ a
കൂട്ടുകെട്ട്	k uː ʈː u ɡ e ʈː ɨ̆
കൂട്ട്	k uː ʈː ɨ̆
കൂട്രുസെയ്ട്ടി	k uː ʈ r u s e j ʈ ʈ i
കൂണ്	k uː ɳ ə̆
കൂതറ	k uː d̪ ɐ r ɐ
കൂത്തിപ്പട്ടി	k uː t̪ t̪ i p p ɐ ʈ ʈ i
കൂത്ത്	k uː t̪ t̪ ə̆
കൂദാശ	k uː d̪ aː ʃ ɐ
കൂനകൂട്ടുക	k uː n a ɡ uː ʈː u ɡ a
കൂന്താലി	k uː n̪ d̪ aː l i
കൂന്തൾ	k uː n̪ d̪ ɐ ɭ
കൂനൻ	k uː n ɐ n
കൂപമണ്ഡൂകം	k uː b a m a ɳ ɖ uː ɡ a m
കൂപ്പുക	k uː p p u ɡ ɐ
കൂപ്പൺ	k uː pː a ɳ
കൂമ്പാരം	k uː m p aː ɾ a m
കൂമ്പുക	k uː m b u ɡ ɐ
കൂമ്പ്	k uː m b ə̆
കൂമൻ	k uː m ɐ n
കൂരമ്പ്	k uː ɾ ɐ m b ɨ
കൂരിരുട്ട്	k uː ɾ i ɾ u ʈː ɨ̆
കൂലം	k uː l ɐ m
കൂലി	k uː l ɪ
കൂവളം	k uː ʋ a ɭ a m
കൂവുക	k uː ʋ u ɡ ɐ
കൂൺ	k uː ɳ
കൂൻ	k uː n
കൂർ	k uː r
കൂർക്ക	k uː r k k ɐ
കൂർത്ത	k uː r t̪ t̪ ɐ
കൂർമ്മ	k uː r m m ɐ
കൂർമ്മം	k uː r m m ɐ m
കൃത്രിമ	k r̩ t̪ ɾ i m a
കൃത്രിമം	k r̩ t̪ ɾ i m a m
കൃപ	k r̩ b a
കൃമി	k r i m i
കൃഷി	k r i ʂ i
കൃഷിക്കാരൻ	k r i ʂ i k k aː ɾ ɐ n
കൃഷ്ണ	k r i ʂ ɳ ɐ
കൃഷ്ണമണി	k r i ʂ ɳ ɐ m ɐ ɳ i
കൃഷ്ണൻ	k r i ʂ ɳ ɐ n
കൃസരി	k r i s ɐ ɾ i
കെഞ്ചുക	k e ɲ t͡ʃ u ɡ a
കെടുക	k e ɖ u ɡ ɐ
കെടുത്തുക	k e ɖ u t̪ t̪ u ɡ ɐ
കെട്ട	k e ʈ ʈ ɐ
കെട്ടിക്കിടക്കുക	k e ʈ ʈ i k k i ɖ ɐ k k u ɡ ɐ
കെട്ടിച്ചമച്ച	k e ʈː i t͡ʃː a m a t͡ʃː a
കെട്ടിപ്പിടിക്കുക	k e ʈ ʈ i p p i ɖ i k k u ɡ ɐ
കെട്ടിപ്പിടുത്തം	k e ʈː i pː i ɖ u t̪ː a m
കെട്ടിയവൻ	k e ʈ ʈ i j ɐ ʋ ɐ n
കെട്ടിയവൾ	k e ʈ ʈ i j ɐ ʋ ɐ ɭ
കെട്ടുക	k e ʈ ʈ u ɡ ɐ
കെട്ട്	k e ʈ ʈ ə̆
കെണി	k e ɳ i
കെമിസ്ട്രി	k e m i s ʈ r i
കെൽപ്പ്	k e l p p ə̆
കേക്ക്	k eː kː i
കേടുപാട്	k eː ɖ u b aː ɖ ɨ̆
കേട്	k eː ɖ ə̆
കേട്ടു	k eː ʈ ʈ u
കേഡി	k eː ɖ i
കേന്ദ്രം	k eː n̪ d̪ ɾ a m
കേമം	k eː m ɐ m
കേമൻ	k eː m a n
കേരം	k eː ɾ a m
കേരളം	k eː ɾ ɐ ɭ ɐ m
