ア	a̠
ゲルマン	ɡ e̞ ɾ ɯ̟ᵝ m ã̠ ɴ
ゲレンデ	ɡ e̞ ɾ ẽ̞ n d e̞
ゲート	ɡ e̞ː t o̞
ゲーム	ɡ e̞ː m ɯ̟ᵝ
コ	k o̞
コ゚	ŋ o̞
コア	k o̞ a̠
コアラ	k o̞ a̠ ɾ a̠
コイオス	k o̞ i o̞ s ɨᵝ
コイル	k o̞ i ɾ ɯ̟ᵝ
コイン	k o̞ ĩ ɴ
コイントス	k o̞ ĩ n t o̞ s ɨᵝ
コインパ	k o̞ ĩ m p a̠
コインロッカー	k o̞ ĩ n ɾ o̞ k̚ k a̠ː
コウタイ	k o̞ː t a̠ i
コウレイグス	k o̞ː ɾ e̞ː ɡ ɯ̟ᵝ s ɨᵝ
コカイン	k o̞ k a̠ ĩ ɴ
コカコーラ	k o̞ k a̠ k o̞ː ɾ a̠
コカトリス	k o̞ k a̠ t o̞ ɾʲ i s ɨᵝ
コガネムシ	k o̞ ɡ a̠ n e̞ m ɯ̟ᵝ ɕ i
コギャル	k o̞ ɡʲ a̠ ɾ ɯ̟ᵝ
コケコッコー	k o̞ k e̞ k o̞ k̚ k o̞ː
ココア	k o̞ k o̞ a̠
ココナッツ	k o̞ k o̞ n a̠ t̚ t͡s ɨᵝ
コサイン	k o̞ s a̠ ĩ ɴ
コサギ	k o̞ s a̠ ɡʲ i
コサージュ	k o̞ s a̠ː ʑ ɨᵝ
コシウォン	k o̞ ɕ i ɰᵝ õ̞ ɴ
コス	k o̞ s ɨᵝ
コスチューム	k o̞ s ɨ̥ᵝ t͡ɕ ɨᵝː m ɯ̟ᵝ
コスプレ	k o̞ s ɨᵝ p ɯ̟ᵝ ɾ e̞
コスプレイヤー	k o̞ s ɨᵝ p ɯ̟ᵝ ɾ e̞ i j a̠ː
コセカント	k o̞ s e̞ k ã̠ n t o̞
コタンジェント	k o̞ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
コチュカル	k o̞ t͡ɕ ɨᵝ k a̠ ɾ ɯ̟ᵝ
コチュジャン	k o̞ t͡ɕ ɨᵝ ʑ ã̠ ɴ
コック	k o̞ k̚ k ɯ̟ᵝ
コッチョリ	k o̞ t̚ t͡ɕ o̞ ɾʲ i
コットン	k o̞ t̚ t õ̞ ɴ
コップ	k o̞ p̚ p ɯ̟ᵝ
コッホ	k o̞ hː o̞
コテ	k o̞ t e̞
コトヌー	k o̞ t o̞ n ɯ̟ᵝː
コナン	k o̞ n ã̠ ɴ
コニオルク	k o̞ ɲ̟ i o̞ ɾ ɯ̟ᵝ k ɯ̟ᵝ
コニャック	k o̞ ɲ̟ a̠ k̚ k ɯ̟ᵝ
コバルト	k o̞ b a̠ ɾ ɯ̟ᵝ t o̞
コピペ	k o̞ pʲ i p e̞
コピー	k o̞ pʲ iː
コブラ	k o̞ b ɯ̟ᵝ ɾ a̠
コペルニシウム	k o̞ p e̞ ɾ ɯ̟ᵝ ɲ̟ i ɕ i ɯ̟ᵝ m ɯ̟ᵝ
コボラー	k o̞ b o̞ ɾ a̠ː
コマソン	k o̞ m a̠ s õ̞ ɴ
コミ	k o̞ mʲ i
コミカル	k o̞ mʲ i k a̠ ɾ ɯ̟ᵝ
コミチバシリ	k o̞ mʲ i t͡ɕ i b a̠ ɕ i ɾʲ i
コミック	k o̞ mʲ i k̚ k ɯ̟ᵝ
コミッショナー	k o̞ mʲ i ɕː o̞ n a̠ː
コミュニケーション	k o̞ mʲ ɨᵝ ɲ̟ i k e̞ː ɕ õ̞ ɴ
コミュニスト	k o̞ mʲ ɨᵝ ɲ̟ i s ɨᵝ t o̞
コミュニズム	k o̞ mʲ ɨᵝ ɲ̟ i z ɨᵝ m ɯ̟ᵝ
コミンテルン	k o̞ mʲ ĩ n t e̞ ɾ ɯ̟̃ᵝ ɴ
コム	k o̞ m ɯ̟ᵝ
コメディ	k o̞ m e̞ dʲ i
コメディクラブ	k o̞ m e̞ dʲ i k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
コメンテーター	k o̞ m ẽ̞ n t e̞ː t a̠ː
コメント	k o̞ m ẽ̞ n t o̞
コモロ	k o̞ m o̞ ɾ o̞
コヨーテ	k o̞ j o̞ː t e̞
コラット	k o̞ ɾ a̠ t̚ t o̞
コラボレーション	k o̞ ɾ a̠ b o̞ ɾ e̞ː ɕ õ̞ ɴ
コラーゲン	k o̞ ɾ a̠ː ɡ ẽ̞ ɴ
コラーン	k o̞ ɾ ã̠ː ɴ
コリアンダー	k o̞ ɾʲ i ã̠ n d a̠ː
コリン	k o̞ ɾʲ ĩ ɴ
コルカタ	k o̞ ɾ ɯ̟ᵝ k a̠ t a̠
コルク	k o̞ ɾ ɯ̟ᵝ k ɯ̟ᵝ
コルサージュ	k o̞ ɾ ɯ̟ᵝ s a̠ː ʑ ɨᵝ
コルセット	k o̞ ɾ ɯ̟ᵝ s e̞ t̚ t o̞
コルセン	k o̞ ɾ ɯ̟ᵝ s ẽ̞ ɴ
コルチコステロン	k o̞ ɾ ɯ̟ᵝ t͡ɕ i k o̞ s ɨᵝ t e̞ ɾ õ̞ ɴ
コルホーズ	k o̞ ɾ ɯ̟ᵝ h o̞ː z ɨᵝ
コレクション	k o̞ ɾ e̞ k ɯ̟̊ᵝ ɕ õ̞ ɴ
コレクター	k o̞ ɾ e̞ k ɯ̟ᵝ t a̠ː
コレステロール	k o̞ ɾ e̞ s ɨ̥ᵝ t e̞ ɾ o̞ː ɾ ɯ̟ᵝ
コレラ	k o̞ ɾ e̞ ɾ a̠
コロケーション	k o̞ ɾ o̞ k e̞ː ɕ õ̞ ɴ
コロッケ	k o̞ ɾ o̞ k̚ k e̞
コロナ	k o̞ ɾ o̞ n a̠
コロナウィルス	k o̞ ɾ o̞ n a̠ ɰᵝ i ɾ ɯ̟ᵝ s ɨᵝ
コロナウイルス	k o̞ ɾ o̞ n a̠ ɯ̟ᵝ i ɾ ɯ̟ᵝ s ɨᵝ
コロニー	k o̞ ɾ o̞ ɲ̟ iː
コロポン	k o̞ ɾ o̞ p õ̞ ɴ
コロラド	k o̞ ɾ o̞ ɾ a̠ d o̞
コロン	k o̞ ɾ õ̞ ɴ
コロンビア	k o̞ ɾ õ̞ m bʲ i a̠
コローナイ	k o̞ ɾ o̞ː n a̠ i
コンカフェ	k õ̞ ŋ k a̠ ɸ e̞
コンキリエ	k õ̞ ŋʲ kʲ i ɾʲ i e̞
コンクリ	k õ̞ ŋ k ɯ̟ᵝ ɾʲ i
コンクリート	k õ̞ ŋ k ɯ̟ᵝ ɾʲ iː t o̞
コンクール	k õ̞ ŋ k ɯ̟ᵝː ɾ ɯ̟ᵝ
コングラ	k õ̞ ŋ ɡ ɯ̟ᵝ ɾ a̠
コングラチュレーション	k õ̞ ŋ ɡ ɯ̟ᵝ ɾ a̠ t͡ɕ ɨᵝ ɾ e̞ː ɕ õ̞ ɴ
コンコース	k õ̞ ŋ k o̞ː s ɨᵝ
コンゴ	k õ̞ ŋ ɡ o̞
コンサバ	k õ̞ ɰ̃ s a̠ b a̠
コンサバティブ	k õ̞ ɰ̃ s a̠ b a̠ tʲ i b ɯ̟ᵝ
コンサート	k õ̞ ɰ̃ s a̠ː t o̞
コンシェルジュ	k õ̞ ɰ̃ ɕ e̞ ɾ ɯ̟ᵝ ʑ ɨᵝ
コンシエルジュ	k õ̞ ɰ̃ ɕ i e̞ ɾ ɯ̟ᵝ ʑ ɨᵝ
コンシューマー	k õ̞ ɰ̃ ɕ ɨᵝː m a̠ː
コンスタンティノス	k õ̞ ɰ̃ s ɨᵝ t ã̠ n tʲ i n o̞ s ɨᵝ
コンストラクター	k õ̞ ɰ̃ s ɨᵝ t o̞ ɾ a̠ k ɯ̟ᵝ t a̠ː
コンセプト	k õ̞ ɰ̃ s e̞ p ɯ̟̊ᵝ t o̞
コンセンサス	k õ̞ ɰ̃ s ẽ̞ ɰ̃ s a̠ s ɨᵝ
コンセント	k õ̞ ɰ̃ s ẽ̞ n t o̞
コンセントレーション	k õ̞ ɰ̃ s ẽ̞ n t o̞ ɾ e̞ː ɕ õ̞ ɴ
コンソメ	k õ̞ ɰ̃ s o̞ m e̞
コンタミ	k õ̞ n t a̠ mʲ i
コンタミネーション	k õ̞ n t a̠ mʲ i n e̞ː ɕ õ̞ ɴ
コンダラ	k õ̞ n d a̠ ɾ a̠
コンツェルン	k õ̞ n t͡s e̞ ɾ ɯ̟̃ᵝ ɴ
コンテ	k õ̞ n t e̞
コンティニュイティ	k õ̞ n tʲ i ɲ̟ ɯ̟ᵝ i tʲ i
コンティニュー	k õ̞ n tʲ i ɲ̟ ɯ̟ᵝː
コンテキスト	k õ̞ n t e̞ kʲ i s ɨᵝ t o̞
コンテクスト	k õ̞ n t e̞ k ɯ̟ᵝ s ɨᵝ t o̞
コンテナ	k õ̞ n t e̞ n a̠
コンテンツ	k õ̞ n t ẽ̞ n t͡s ɨᵝ
コンデンサ	k õ̞ n d ẽ̞ ɰ̃ s a̠
コントラバス	k õ̞ n t o̞ ɾ a̠ b a̠ s ɨᵝ
コントラルト	k õ̞ n t o̞ ɾ a̠ ɾ ɯ̟ᵝ t o̞
コンドル	k õ̞ n d o̞ ɾ ɯ̟ᵝ
コンドーム	k õ̞ n d o̞ː m ɯ̟ᵝ
コンパ	k õ̞ m p a̠
コンパイル	k õ̞ m p a̠ i ɾ ɯ̟ᵝ
コンパス	k õ̞ m p a̠ s ɨ̥ᵝ
コンビ	k õ̞ m bʲ i
コンビニ	k õ̞ m bʲ i ɲ̟ i
コンビニエンス	k õ̞ m bʲ i ɲ̟ i ẽ̞ ɰ̃ s ɨᵝ
コンビニエント	k õ̞ m bʲ i ɲ̟ i ẽ̞ n t o̞
コンビネーション	k õ̞ m bʲ i n e̞ː ɕ õ̞ ɴ
コンピ	k õ̞ m pʲ i
コンピュータリゼーション	k õ̞ m pʲ ɨᵝː t a̠ ɾʲ i z e̞ː ɕ õ̞ ɴ
コンピューター	k õ̞ m pʲ ɨᵝː t a̠ː
コンファーム	k õ̞ ɰ̃ ɸ a̠ː m ɯ̟ᵝ
コンフォートゾーン	k õ̞ ɰ̃ ɸ o̞ː t o̞ z õ̞ː ɴ
コンプラ	k õ̞ m p ɯ̟ᵝ ɾ a̠
コンプライアンス	k õ̞ m p ɯ̟ᵝ ɾ a̠ i ã̠ ɰ̃ s ɨᵝ
コンプレックス	k õ̞ m p ɯ̟ᵝ ɾ e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
コンボ	k õ̞ m b o̞
コンポジション	k õ̞ m p o̞ ʑ i ɕ õ̞ ɴ
コンポーザー	k õ̞ m p o̞ː z a̠ː
コンポーネント	k õ̞ m p o̞ː n ẽ̞ n t o̞
コンマ	k õ̞ mː a̠
コーカソイド	k o̞ː k a̠ s o̞ i d o̞
コークス	k o̞ː k ɯ̟̊ᵝ s ɨᵝ
コークスクリュー	k o̞ː k ɯ̟̊ᵝ s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ ɨᵝː
コース	k o̞ː s ɨᵝ
コースター	k o̞ː s ɨ̥ᵝ t a̠ː
コーダ	k o̞ː d a̠
コーチ	k o̞ː t͡ɕ i
コーツ	k o̞ː t͡s ɨᵝ
コーデ	k o̞ː d e̞
コーディネーター	k o̞ː dʲ i n e̞ː t a̠ː
コーディネート	k o̞ː dʲ i n e̞ː t o̞
コーデュロイ	k o̞ː dʲ ɨᵝ ɾ o̞ i
コート	k o̞ː t o̞
コートジボワール	k o̞ː t o̞ ʑ i b o̞ ɰᵝ a̠ː ɾ ɯ̟ᵝ
コートドレス	k o̞ː t o̞ d o̞ ɾ e̞ s ɨᵝ
コードネーム	k o̞ː d o̞ n e̞ː m ɯ̟ᵝ
コーナー	k o̞ː n a̠ː
コーパス	k o̞ː p a̠ s ɨᵝ
コーヒー	k o̞ː ç iː
コーヒーミル	k o̞ː ç iː mʲ i ɾ ɯ̟ᵝ
コーヒーメーカー	k o̞ː ç iː m e̞ː k a̠ː
コーラ	k o̞ː ɾ a̠
コーラン	k o̞ː ɾ ã̠ ɴ
コーラングレ	k o̞ː ɾ ã̠ ŋ ɡ ɯ̟ᵝ ɾ e̞
コーリャン	k o̞ː ɾʲ ã̠ ɴ
コール	k o̞ː ɾ ɯ̟ᵝ
コールサイン	k o̞ː ɾ ɯ̟ᵝ s a̠ ĩ ɴ
コールスロー	k o̞ː ɾ ɯ̟ᵝ s ɨᵝ ɾ o̞ː
コーン	k õ̞ː ɴ
コーンビーフ	k õ̞ː m bʲ iː ɸ ɯ̟̊ᵝ
コーンロウ	k õ̞ː n ɾ o̞ː
ゴ	ɡ o̞
ゴウダソウ	ɡ o̞ː d a̠ s o̞ː
ゴカイ	ɡ o̞ k a̠ i
ゴキブリ	ɡ o̞ kʲ i b ɯ̟ᵝ ɾʲ i
ゴジラ	ɡ o̞ ʑ i ɾ a̠
ゴスペル	ɡ o̞ s ɨ̥ᵝ p e̞ ɾ ɯ̟ᵝ
ゴスロリ	ɡ o̞ s ɨᵝ ɾ o̞ ɾʲ i
ゴッサム	ɡ o̞ sː a̠ m ɯ̟ᵝ
ゴッデム	ɡ o̞ d̚ d̥ e̞ m ɯ̟ᵝ
ゴッド	ɡ o̞ d̚ d̥ o̞
ゴブリン	ɡ o̞ b ɯ̟ᵝ ɾʲ ĩ ɴ
ゴミ	ɡ o̞ mʲ i
ゴミパンダ	ɡ o̞ mʲ i p ã̠ n d a̠
ゴム	ɡ o̞ m ɯ̟ᵝ
ゴリアテ	ɡ o̞ ɾʲ i a̠ t e̞
ゴリラ	ɡ o̞ ɾʲ i ɾ a̠
ゴルァ	ɡ o̞ ɾ ɰᵝ a̠
ゴルフ	ɡ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
ゴング	ɡ õ̞ ŋ ɡ ɯ̟ᵝ
ゴンドラ	ɡ õ̞ n d o̞ ɾ a̠
ゴー	ɡ o̞ː
ゴーギャン	ɡ o̞ː ɡʲ ã̠ ɴ
ゴーグル	ɡ o̞ː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
ゴースト	ɡ o̞ ː̥ s ɨᵝ t o̞
ゴードン	ɡ o̞ː d õ̞ ɴ
ゴーヤ	ɡ o̞ː j a̠
ゴーヤー	ɡ o̞ː j a̠ː
ゴール	ɡ o̞ː ɾ ɯ̟ᵝ
ゴールキーパー	ɡ o̞ː ɾ ɯ̟ᵝ kʲ iː p a̠ː
ゴールデン	ɡ o̞ː ɾ ɯ̟ᵝ d ẽ̞ ɴ
ゴールデンウィーク	ɡ o̞ː ɾ ɯ̟ᵝ d ẽ̞ ɰ̃ ɰᵝ iː k ɯ̟ᵝ
ゴールド	ɡ o̞ː ɾ ɯ̟ᵝ d o̞
ゴーレム	ɡ o̞ː ɾ e̞ m ɯ̟ᵝ
サ	s a̠
サ゚	t͡s a̠̠
サイエンス	s a̠ i ẽ̞ ɰ̃ s ɨᵝ
サイオン	s a̠ i õ̞ ɴ
サイキッカー	s a̠ i kʲ i k̚ k a̠ː
サイキック	s a̠ i kʲ i̥ k̚ k ɯ̟ᵝ
サイクロイド	s a̠ i k ɯ̟ᵝ ɾ o̞ i d o̞
サイクロプス	s a̠ i k ɯ̟ᵝ ɾ o̞ p ɯ̟ᵝ s ɨᵝ
サイクロン	s a̠ i k ɯ̟ᵝ ɾ õ̞ ɴ
サイケ	s a̠ i k e̞
サイケデリック	s a̠ i k e̞ d e̞ ɾʲ i k̚ k ɯ̟ᵝ
サイコ	s a̠ i k o̞
サイコキネシス	s a̠ i k o̞ kʲ i n e̞ ɕ i s ɨᵝ
サイコパス	s a̠ i k o̞ p a̠ s ɨᵝ
サイコロジー	s a̠ i k o̞ ɾ o̞ ʑ iː
サイゴン	s a̠ i ɡ õ̞ ɴ
サイズ	s a̠ i z ɨᵝ
サイダー	s a̠ i d a̠ː
サイト	s a̠ i t o̞
サイドストーリー	s a̠ i d o̞ s ɨᵝ t o̞ː ɾʲ iː
サイドバー	s a̠ i d o̞ b a̠ː
サイバネティックス	s a̠ i b a̠ n e̞ tʲ i k̚ k ɯ̟ᵝ s ɨ̥ᵝ
サイパン	s a̠ i p ã̠ ɴ
サイフォン	s a̠ i ɸ õ̞ ɴ
サイベリアン	s a̠ i b e̞ ɾʲ i ã̠ ɴ
サイホン	s a̠ i h õ̞ ɴ
サイボーグ	s a̠ i b o̞ː ɡ ɯ̟ᵝ
サイモン	s a̠ i m õ̞ ɴ
サイリウム	s a̠ i ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
サイレン	s a̠ i ɾ ẽ̞ ɴ
サイレージ	s a̠ i ɾ e̞ː ʑ i
サイロ	s a̠ i ɾ o̞
サイン	s a̠ ĩ ɴ
サインオフ	s a̠ ĩ ɰ̃ o̞ ɸ ɯ̟ᵝ
サウスポー	s a̠ ɯ̟ᵝ s ɨᵝ p o̞ː
サウダージ	s a̠ ɯ̟ᵝ d a̠ː ʑ i
サウナ	s a̠ ɯ̟ᵝ n a̠
サウンド	s a̠ ɯ̟̃ᵝ n d o̞
サウンドトラック	s a̠ ɯ̟̃ᵝ n d o̞ t o̞ ɾ a̠ k̚ k ɯ̟ᵝ
サキソホン	s a̠ kʲ i̥ s o̞ h õ̞ ɴ
サキュバス	s a̠ kʲ ɨᵝ b a̠ s ɨᵝ
サギソウ	s a̠ ɡʲ i s o̞ː
サクソフォン	s a̠ k ɯ̟̊ᵝ s o̞ ɸ õ̞ ɴ
サクソフォーン	s a̠ k ɯ̟̊ᵝ s o̞ ɸ õ̞ː ɴ
サクラマス	s a̠ k ɯ̟ᵝ ɾ a̠ m a̠ s ɨᵝ
サクラメント	s a̠ k ɯ̟ᵝ ɾ a̠ m ẽ̞ n t o̞
サス	s ä s ɯ̥ᵝ
サスカチュワン	s a̠ s ɨᵝ k a̠ t͡ɕ ɨᵝ ɰᵝ ã̠ ɴ
サスティナブル	s a̠ s ɨᵝ tʲ i n a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
サスティン	s a̠ s ɨᵝ tʲ ĩ ɴ
サスティーン	s a̠ s ɨᵝ tʲ ĩː ɴ
サステイン	s a̠ s ɨᵝ t ẽ̞ː ɴ
サステナブル	s a̠ s ɨᵝ t e̞ n a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
サスペンス	s a̠ s ɨᵝ p ẽ̞ ɰ̃ s ɨᵝ
サスペンダー	s a̠ s ɨ̥ᵝ p ẽ̞ n d a̠ː
サセン	s a̠ s ẽ̞ ɴ
サタン	s a̠ t ã̠ ɴ
サターン	s a̠ t ã̠ː ɴ
サッカリン	s a̠ k̚ k a̠ ɾʲ ĩ ɴ
サッカルーズ	s a̠ k̚ k a̠ ɾ ɯ̟ᵝː z ɨᵝ
サッカー	s a̠ k̚ k a̠ː
サック	s a̠ k̚ k ɯ̟ᵝ
サックス	s a̠ k̚ k ɯ̟̊ᵝ s ɨ̥ᵝ
サッシ	s a̠ ɕː i
サッチャー	s a̠ t̚ t͡ɕ a̠ː
サッフィズム	s a̠ ɸʲː i z ɨᵝ m ɯ̟ᵝ
サテュロス	s a̠ tʲ ɨᵝ ɾ o̞ s ɨᵝ
サテライト	s a̠ t e̞ ɾ a̠ i t o̞
サディスティック	s a̠ dʲ i s ɨᵝ tʲ i k̚ k ɯ̟ᵝ
サディスト	s a̠ dʲ i s ɨᵝ t o̞̊
サディズム	s a̠ dʲ i z ɨᵝ m ɯ̟ᵝ
サトシ	s a̠ t o̞ ɕ i
サド	s a̠ d o̞
サナトリウム	s a̠ n a̠ t o̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
サニタイザ	s a̠ ɲ̟ i t a̠ i z a̠
サニタイザー	s a̠ ɲ̟ i t a̠ i z a̠ː
サニタイズ	s a̠ ɲ̟ i t a̠ i z ɨᵝ
サヌア	s a̠ n ɯ̟ᵝ a̠
サハリン	s a̠ h a̠ ɾʲ ĩ ɴ
サバイバル	s a̠ b a̠ i b a̠ ɾ ɯ̟ᵝ
サバゲー	s a̠ b a̠ ɡ e̞ː
サバンナ	s a̠ b ã̠ nː a̠
サパー	s a̠ p a̠ː
サパークラブ	s a̠ p a̠ː k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
サビ	s a̠ bʲ i
サファイア	s a̠ ɸ a̠ i a̠
サファリ	s a̠ ɸ a̠ ɾʲ i
サフィズム	s a̠ ɸʲ i z ɨᵝ m ɯ̟ᵝ
サブカルチャー	s a̠ b ɯ̟ᵝ k a̠ ɾ ɯ̟ᵝ t͡ɕ a̠ː
サブキャラ	s a̠ b ɯ̟ᵝ kʲ a̠ ɾ a̠
サブキャラクター	s a̠ b ɯ̟ᵝ kʲ a̠ ɾ a̠ k ɯ̟ᵝ t a̠ː
サブスク	s a̠ b ɯ̟ᵝ s ɨᵝ k ɯ̟ᵝ
サブスクリプション	s a̠ b ɯ̟ᵝ s ɨᵝ k ɯ̟ᵝ ɾʲ i p ɯ̟ᵝ ɕ õ̞ ɴ
サブチャン	s a̠ b ɯ̟ᵝ t͡ɕ ã̠ ɴ
サブチャンネル	s a̠ b ɯ̟ᵝ t͡ɕ ã̠ nː e̞ ɾ ɯ̟ᵝ
サブレー	s a̠ b ɯ̟ᵝ ɾ e̞ː
サプリ	s a̠ p ɯ̟ᵝ ɾʲ i
サプリメント	s a̠ p ɯ̟ᵝ ɾʲ i m ẽ̞ n t o̞
サボタージ	s a̠ b o̞ t a̠ː ʑ i
サボタージュ	s a̠ b o̞ t a̠ː ʑ ɨᵝ
サボテン	s a̠ b o̞ t ẽ̞ ɴ
サボン	s a̠ b õ̞ ɴ
サポーター	s a̠ p o̞ː t a̠ː
サポート	s a̠ p o̞ː t o̞
サマリウム	s a̠ m a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
サマー	s a̠ m a̠ː
サミット	s a̠ mʲ i t̚ t o̞
サミュエル	s a̠ mʲ ɨᵝ e̞ ɾ ɯ̟ᵝ
サムエル	s a̠ m ɯ̟ᵝ e̞ ɾ ɯ̟ᵝ
サムギョプサル	s a̠ m ɯ̟ᵝ ɡʲ o̞ p ɯ̟ᵝ s a̠ ɾ ɯ̟ᵝ
サムゲタン	s a̠ m ɯ̟ᵝ ɡ e̞ t ã̠ ɴ
サムナー	s a̠ m ɯ̟ᵝ n a̠ː
サムネイル	s a̠ m ɯ̟ᵝ n e̞ː ɾ ɯ̟ᵝ
サモサ	s a̠ m o̞ s a̠
サモワール	s a̠ m o̞ ɰᵝ a̠ː ɾ ɯ̟ᵝ
サラ	s a̠ ɾ a̠
サラエボ	s a̠ ɾ a̠ e̞ b o̞
サラサ	s a̠ ɾ a̠ s a̠
サラダ	s a̠ ɾ a̠ d a̠
サラファン	s a̠ ɾ a̠ ɸ ã̠ ɴ
サラブレッド	s a̠ ɾ a̠ b ɯ̟ᵝ ɾ e̞ d̚ d̥ o̞
サラマンダー	s a̠ ɾ a̠ m ã̠ n d a̠ː
サラミ	s a̠ ɾ a̠ mʲ i
サラリーマン	s a̠ ɾ a̠ ɾʲ iː m ã̠ ɴ
サリナス	s a̠ ɾʲ i n a̠ s ɨᵝ
サリン	s a̠ ɾʲ ĩ ɴ
サリー	s a̠ ɾʲ iː
サルサ	s a̠ ɾ ɯ̟ᵝ s a̠
サルベージ	s a̠ ɾ ɯ̟ᵝ b e̞ː ʑ i
サレンダー	s a̠ ɾ ẽ̞ n d a̠ː
サロメ	s a̠ ɾ o̞ m e̞
サンオイル	s ã̠ ɰ̃ o̞ i ɾ ɯ̟ᵝ
サンオン	s ã̠ ɰ̃ õ̞ ɴ
サンキュ	s ã̠ ŋʲ kʲ ɨᵝ
サンキュー	s ã̠ ŋʲ kʲ ɨᵝː
サンクス	s ã̠ ŋ k ɯ̟ᵝ s ɨᵝ
サングラス	s ã̠ ŋ ɡ ɯ̟ᵝ ɾ a̠ s ɨᵝ
サングリア	s ã̠ ŋ ɡ ɯ̟ᵝ ɾʲ i a̠
サンサルバドル	s ã̠ ɰ̃ s a̠ ɾ ɯ̟ᵝ b a̠ d o̞ ɾ ɯ̟ᵝ
サンシェード	s ã̠ ɰ̃ ɕ e̞ː d o̞
サンジョ	s ã̠ ɲ̟ d͡ʑ o̞
サンスクリット	s ã̠ ɰ̃ s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i t̚ t o̞
サンダル	s ã̠ n d a̠ ɾ ɯ̟ᵝ
サンダー	s ã̠ n d a̠ː
サンチュ	s ã̠ ɲ̟ t͡ɕ ɨᵝ
サンティアゴ	s ã̠ n tʲ i a̠ ɡ o̞
サンデー	s ã̠ n d e̞ː
サントメプリンシペ	s ã̠ n t o̞ m e̞ p ɯ̟ᵝ ɾʲ ĩ ɰ̃ ɕ i̥ p e̞
サントラ	s ã̠ n t o̞ ɾ a̠
サンド	s ã̠ n d o̞
サンドイッチ	s ã̠ n d o̞ i t̚ t͡ɕ i
サンドイッチマン	s ã̠ n d o̞ i t̚ t͡ɕ i m ã̠ ɴ
サンドバッグ	s ã̠ n d o̞ b a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
サンドブラスト	s ã̠ n d o̞ b ɯ̟ᵝ ɾ a̠ s ɨᵝ t o̞
サンドペーパー	s ã̠ n d o̞ p e̞ː p a̠ː
サンドレス	s ã̠ n d o̞ ɾ e̞ s ɨᵝ
サンナクチ	s ã̠ nː a̠ k ɯ̟ᵝ t͡ɕ i
サンナッチ	s ã̠ nː a̠ t̚ t͡ɕ i
サンバ	s ã̠ m b a̠
サンバー	s ã̠ m b a̠ː
サンパウロ	s ã̠ m p a̠ ɯ̟ᵝ ɾ o̞
サンパン	s ã̠ m p ã̠ ɴ
サンプル	s ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝ
サンボードロモ	s ã̠ m b o̞ː d o̞ ɾ o̞ m o̞
サンライズ	s ã̠ n ɾ a̠ i z ɨᵝ
サンラータン	s ɨᵝ ã̠ n ɾ a̠ː t ã̠ ɴ
サン・マリノ	s ã̠ mː a̠ ɾʲ i n o̞
サーカス	s a̠ː k a̠ s ɨᵝ
サーキュレーション	s a̠ː kʲ ɨᵝ ɾ e̞ː ɕ õ̞ ɴ
サークル	s a̠ː k ɯ̟ᵝ ɾ ɯ̟ᵝ
サーチライト	s a̠ː t͡ɕ i ɾ a̠ i t o̞
サーティーン	s a̠ː tʲ ĩː ɴ
サード	s a̠ː d o̞
サーバル	s a̠ː b a̠ ɾ ɯ̟ᵝ
サービス	s a̠ː bʲ i s ɨᵝ
サービスエリア	s a̠ː bʲ i s ɨᵝ e̞ ɾʲ i a̠
サーファー	s a̠ː ɸ a̠ː
サーフィン	s a̠ː ɸʲ ĩ ɴ
サーフボード	s a̠ː ɸ ɯ̟ᵝ b o̞ː d o̞
サーベル	s a̠ː b e̞ ɾ ɯ̟ᵝ
サーボ	s a̠ː b o̞
サーモスタット	s a̠ː m o̞ s ɨ̥ᵝ t a̠ t̚ t o̞
ザ	d͡z a̠
ザイル	d͡z a̠ i ɾ ɯ̟ᵝ
ザギン	d͡z a̠ ɡʲ ĩ ɴ
ザグレブ	d͡z a̠ ɡ ɯ̟ᵝ ɾ e̞ b ɯ̟ᵝ
ザッハトルテ	d͡z a̠ hː a̠ t o̞ ɾ ɯ̟ᵝ t e̞
ザボン	d͡z a̠ b õ̞ ɴ
ザポリージャ	d͡z a̠ p o̞ ɾʲ iː ʑ a̠
ザンビア	d͡z ã̠ m bʲ i a̠
ザーメン	d͡z a̠ː m ẽ̞ ɴ
シ	ɕ i
シアトル	ɕ i a̠ t o̞ ɾ ɯ̟ᵝ
シアメン	ɕ i a̠ m ẽ̞ ɴ
シェ	ɕ e̞
シェアウェア	ɕ e̞ a̠ ɰᵝ e̞ a̠
