AB	ɑː b eː
rock	¹ r ɔ k
rolig	² r uː l ɪ ɡ
rom	r oː m
rom	r ɔ m
rom	r ʊ m
romare	² r ʊ m a r ɛ
romb	r ɔ m b
ros	r uː s
rosa	r oː s a
rosa	r uː s a
rosenstare	r uː s ɛ n s t ɑː r ɛ
rosentärna	r uː s ɛ n t ɜ r n a
rosett	r ʊ s ɛ t
roska	r o s k ɑ
roskarl	r uː s k ɑː r l
rostand	ɾ ɔ s t a n d
rostgumpsvala	r ɔ s t ɡ ɵ m p s v ɑː l a
rostmes	r ɔ s t m eː s
rot	r uː t
rotmos	² r uː t m uː s
rotting	² r ɔ t ɪ ŋ
rov	r uː v
rova	² r uː v a
ruckel	r ɵ k ɛ l
rulle	² r ɵ l ɛ
rum	r ɵ m
rumänska	r ɵ m ɛ n s k a
russin	² r ɵ s ɪ n
ruta	² r ʉː t a
ryckte	² r ʏ k t ɛ
rykte	² r ʏ k t ɛ
rymd	r ʏ m d
rysk	r ʏ sː k
ryska	² r ʏ s k a
ryss	r ʏ s
ryssja	² r ʏ ɧː a
ryttare	r ʏ t a r e
räd	r ɛː d
rälig	r ɛː l ɪ
rälig	r ɛː l ɪ ɡ
ränna	r ɛ n a
rättsvetenskap	r ɛ t s v eː t ɛ n s k ɑː p
räv	r ɛː v
rävar	r ɛː v a r
räven	r ɛː v ɛ n
rävtik	² r ɛː v t iː k
rävtikar	r ɛː v t iː k a r
rävtiken	r ɛː v t iː k ɛ n
rävunge	r ɛː v ɵ ŋ ɛ
rå	r oː
råd	r oː d
rådjur	r oː j ʉː r
råg	r oː ɡ
rån	r oː n
råna	² r oː n a
rånare	r oː n a r ɛ
råriva	² r oː r ² r iː v a
råsocker	r oː s ɔ k ɛ r
råtta	r ɔ t a
röd	r øː
röd	r øː d
rödbena	r øː d b eː n a
rödfalk	r øː d f a l k
rödlök	r øː d l øː k
rödlök	r øː l øː k
rödspov	r øː d s p uː v
rödvarg	² r øː d v a r j
rök	r øː k
rökfritt	² r øː k f r ɪ t
rökning	² r øː k n ɪ ŋ
rölleka	r œ l ɛ k a
röra	r øː r a
rörelse	r øː r ɛ l s ɛ
rörhöna	ɾ øː ɾ h øː n a
rörlig	² r œ ɭ ɪ
rörlig	² r œ ɭ ɪ ɡ
rörsångare	r øː r s ɔ ŋ a r ɛ
rösa	² r øː s a
röst	r œ s t
röv	r øː v
rövslickare	² r øː v s l ɪ k a r ɛ
sa	s ɑː
sabbat	² s a bː a t
sabbat	¹ s a bː a t
sabla	s ɑː b l a
sabotage	s a b ʊ t ɑː ɧ
sade	s ɑː
sade	¹ s ɑː d ɛ
saft	s a f t
sagt	s a k t
sak	s ɑː k
sakna	s ɑː k n a
saldo	s a l d ʊ
sallad	s a lː a d
salt	s a l t
salutorg	s a l ɵ t ɔ r j
sam	s a m
sambo	s a m b ʊ
sambo	² s a m b uː
samhälle	s a m h ɛ lː ɛ
samhällsskick	² s a m h ɛ l s ɧ ɪ k
samling	² s a m l ɪ ŋ
samman	² s a m a n
sammanhänga	² s a m a n h ɛ ŋ a
sammansatt	s a m a n s a t
sammansvetsad	s a mː a n s v ɛ t s a d
samt	s a m t
samtal	s a m t ɑː l
sandal	s a n d ɑː l
sandig	² s a n d ɪ
sandig	² s a n d ɪ ɡ
sandlöpare	s a n d l øː p a r e
sandsnäppa	s a n dː s n ɛ p a
sandtärna	s a n d t ɜ r n a
sandvita	s a n d v iː t a
sanning	² s a n n ɪ ŋ
sard	s a r d
sard	s ɑː r d
sareptasenap	s a r ɛ p t a s eː n a p
satan	s ɑː t a n
satt	s a t
sav	s ɑː v
schack	ɧ a k
schampo	ɧ a m p ʊ
schasa	² ɧ ɑː s a
schejk	ɧ ɛ j k
schema	ɧ eː m a
schlager	¹ ɧ l ɑː ɡ ɛ r
schysst	ɧ ʏ sː t
se	s eː
sedan	s eː d a n
sedan	s ɛ n
sedel	s eː d ɛ l
seeda	s iː d a
seg	s eː ɡ
seger	s eː ɡ ɛ r
segla	² s eː ɡ l a
segling	² s eː ɡ l ɪ ŋ
sejour	s ɛ ɧ uː r
selen	s ɛ l eː n
semester	s ɛ m ɛ s t ɛ r
semestrar	s ɛ m ɛ s t r a r
semla	s e m l ɑ
semla	² s e m l a
semla	² s ɛ m l a
sen	s eː n
sen	s ɛ n
senapsgul	s eː n a p s ɡ ʉː l
senapssill	² s eː n a p s s ɪ l
sent	s eː n t
separation	s e p a r a ɧ uː n
september	s ɛ p t ɛ m b ɛ r
septiljon	s ɛ p t ɪ l j uː n
ser	s eː r
serie	s eː r ɪ ɛ
serve	s ɵ r v
servitör	s ɛ r v ɪ t øː r
set	s ɛ tː
seta	s ɛː t a
sett	s ɛ tː
sex	s ɛ k s
sextiljon	s ɛ k s t ɪ l j uː n
sextio	² s ɛ k s t ɪ
sextio	² s ɛ k s t ɪ ʊ
sexton	s ɛ k s t ɔ n
sexualitet	s ɛ k s ɵ a l ɪ t eː t
sexualkunskap	s ɛ k s ɵ ɑː l k ɵ n s k ɑː p
shah	ɧ ɑː
shobresvenska	² ɕ uː b r ɛ s v ɛ n s k a
shopping	¹ ɧ ɔ p ɪ ŋ
shorts	ɧ oː ʈ ʂ
shorts	ʃ oː ʈ ʂ
show	ɧ oː
show	ɧ ɔ v
show	ɧ ɔ͡ʊ
sida	² s iː d a
sig	s a j
sig	s ɛ j
sigill	s ɪ j ɪ lː
sigillen	s ɪ j ɪ lː ɛ n
sigillens	s ɪ j ɪ lː ɛ n s
sigiller	s ɪ j ɪ lː ɛ r
sigillet	s ɪ j ɪ lː ɛ t
sigillets	s ɪ j ɪ lː ɛ t s
sigills	s ɪ j ɪ l s
sikt	s ɪ k t
sil	s iː l
silkeshäger	s ɪ l k ɛ s h ɛ ɡ ɛ r
sill	s ɪ l
sillgrissla	s ɪ l ɡ r ɪ s l a
silltrut	s ɪ l t r ʉː t
silver	s ɪ l v ɛ r
silvertärna	s ɪ l v ɛ r t ɜ r n a
simma	² s ɪ mː a
simmar	² s ɪ mː a r
sin	s iː n
sinfonietta	s ɪ n f ɔ n ɪ ² ɛ t a
sinnes	² s ɪ n ɛ s
sinnesstämning	s ɪ nː ɛ s s t ɛ mː n ɪ ŋ
sinnestillstånd	² s ɪ nː ɛ s t ɪ l s t ɔ n d
sitar	s ɪ t ɑː r
sitt	s ɪ tː
sitta	² s ɪ t a
situation	s ɪ t v a ɧ uː n
situation	s ɪ t ɵ a ɧ uː n
sj	ɧ eː
sjal	ɧ ɑː l
sjok	ɧ uː k
sju	ɧ ʉː
sjucker	ɧ ɵ k ɛ r
sjuda	ɧ ʉː d a
sjuk	ɧ ʉː k
sjuka	² ɧ ʉː k a
sjukdom	² ɧ ʉː k d ʊ m
sjukhus	² ɧ ʉː k h ʉː s
sjukna	² ɧ ʉː k n a
sjuksköterska	² ɧ ʉː k ɧ øː t ɛ ʂ k a
sjukt	ɧ ʉː k t
sjunde	ɧ ɵ n d ɛ
sjunga	² ɧ ɵ ŋ a
sjunka	ɧ ɵ ŋː k a
sjup	ɕ ʉː p ↓
sjuttio	² ɧ ɵ t ɪ
sjuttio	² ɧ ɵ t ɪ ʊ
sjutton	ɧ ɵ t ɔ n
själ	ɧ ɛː l
själv	ɧ ɛ lː v
självklar	² ɧ ɛ l v k l ɑː r
självklarhet	² ɧ ɛ l v k l ɑː r h eː t
självrisk	ɧ ɛ lː v r ɪ s k
sjätte	ɧ ɛ t ɛ
sjö	ɧ øː
sjöbjörn	ɧ øː b j øː r n
sjökalv	² ɧ øː k a l v
sjöman	ɧ øː m a n
sjön	ɧ œ n
sjöorre	ɧ øː ɔ ɾ ɛ
sjörövare	² ɧ øː r øː v a r ɛ
sjösjuk	ɧ øː ɧ ʉː k
ska	s k aː
ska	s k ɑː
skabb	s k a b
skaffel	ɧ a fː ɛ l
skakis	¹ s k ɑː k ɪ s
skakning	s k ɑː k n ɪ ŋ
skal	s k ɑː l
skala	² s k ɑː l a
skalad	² s k ɑː l a d
skalade	² s k ɑː l a d ɛ
skalades	² s k ɑː l a d ɛ s
skalan	² s k ɑː l a n
skalande	² s k ɑː l a n d ɛ
skalans	² s k ɑː l a n s
skalar	² s k ɑː l a r
skalas	² s k ɑː l a s
skalat	² s k ɑː l a t
skalats	² s k ɑː l a t s
skald	s k a l d
skaldjur	² s k ɑː l j ʉː r
skale	² s k ɑː l ɛ
skalen	² s k ɑː l ɛ n
skalen	¹ s k ɑː l ɛ n
skales	² s k ɑː l ɛ s
skall	s k a l
skalor	² s k ɑː l ʊ r
skalorna	² s k ɑː l ʊ r n a
skalornas	² s k ɑː l ʊ r n a s
skalors	² s k ɑː l ʊ r s
skam	s k a mː
skandium	s k a n d ɪ ɵ m
skapa	s k ɑː p a
skapelse	s k ɑː p ɛ l s ɛ
skar	s k ɑː r
skars	s k ɑː r s
skata	² s k ɑː t a
skatgök	s k ɑː t j øː k
ske	ɧ eː
sked	ɧ
sked	ɧ eː d
skedand	ɧ eː d a n d
skedstork	ɧ eː d s t ɔ r k
sken	ɧ eː n
skenval	² ɧ eː n v ɑː l
skepp	ɧ ɛ p
skepparkrans	ɧ ɛ pː a r k r a n s
skeptisk	¹ s k ɛ p t ɪ s k
skeptisk	¹ ɧ ɛ p t ɪ s k
sket	ɧ eː t
skev	ɧ eː v
skicka	ɧ ɪ k a
skiffer	ɧ ɪ f ɛ r
skiffermes	ɧ ɪ f ɛ ɾ m eː s
skiffertrut	ɧ ɪ f ɛ r t r ʉː t
skildring	² ɧ ɪ l d r ɪ ŋ
skilja	² ɧ ɪ l j a
skiljas	² ɧ ɪ l j a s
skilling	ɧ ɪ l ɪ ŋ
skillnad	ɧ ɪ l n a d
skina	ɧ iː n a
skinka	² x ɪ ŋ k a
skinka	² ʂ ɪ ŋ k a
skinka	ʃ i ŋ k ɑ
skinn	ɧ ɪ nː
skit	ɧ iː t
skita	² ɧ iː t a
skiva	² ɧ iː v a
skjorta	² ɧ uː r t a
skjul	ɧ ʉː l
skjuta	² ɧ ʉː t a
skjutglad	ɧ ʉ̟ː t ɡ l ɑː d
skjuts	ɧ ɵ s
skjuts	ɧ ɵ t s
skjuts	ɧ ʉː t s
skjutsa	ɧ ɵ sː a
sko	s k uː
skock	s k ɔ k
skog	s k uː ɡ
skogsduva	s k ʊ ɡ͡s d ʉː v a
skogssnäppa	s k ʊ ɡ s s n ɛ p a
skogsstjärna	s k ʊ k s ɧ ɛː ɳ a
skola	² s k uː l a
skolbespisning	² s k uː l b ɛ s p iː s n ɪ ŋ
skolka	s k ɔ l k a
skolmat	² s k uː l m ɑː t
skolmatsal	² s k uː l m ɑː t s ɑː l
skolår	² s k uː l oː r
skolös	² s k uː l øː s
skorpa	s k ɔ r p a
skorsten	² s k ɔ ʂ t eː n
skorstensseglare	s k ɔ ʂ t eː n s eː ɡ l a ɾ ɛ
skorv	s k ɔ r v
skoskav	² s k uː s k ɑː v
skotsk	s k ɔ t s k
skotska	s k ɔ t s k a
skotske	s k ɔ t s k ɛ
skotskt	s k ɔ t s k t
skraj	s k r a j
skribent	s k r ɪ b ɛ n t
skridsko	¹ s k r ɪ s k ʊ
skrik	s k r iː k
skrikstrandpipare	s k r iː k s t r a n d p iː p a r ɛ
skrikörn	s k r iː k øː r n
skrin	s k r iː n
skriva	² s k r iː v a
skrivbord	² s k r iː v b uː ɖ
skrivmaskin	² s k r iː v m a ɧ iː n
skrivning	s k r iː v n ɪ ŋ
skrota	s k r uː t a
skrud	s k r ʉː d
skruv	s k r ʉː v
skryp	s k r e̞ u̯ː p
skryp	s k r ʉː p
skrämma	² s k r ɛ m a
skräntärna	s k r ɛ n t ɜ r n a
skula	² s k ʉː l a
skuld	s k ɵ l d
skull	s k ɵ lː
skulle	² s k ɵ lː ə
skumvin	s k ʉ m v iː n
skunk	s k u ŋ k
skur	s k ʉː r
skuren	² s k ʉː r ɛ n
skurit	² s k ʉː r ɪ t
skurits	² s k ʉː r ɪ t s
skurk	s k ɵ r k
skvader	s k v ɑː d ɛ r
sky	ɧ yː
skydd	ɧ ʏ dː
skyddshjälm	ɧ ʏ d s j ɛ l m
skyddsväg	ɕ y d s v eː ɡ
skyfall	² ɧ ỳː f a l
skyffe	ɧ ʏ f ɛ
skygg	ɧ ʏ ɡ
skyhög	ɧ ỳː h øː ɡ
skylt	ɧ ʏ l t
skymma	ɧ ʏ m a
skymning	ɧ ʏ m n ɪ ŋ
skytt	ɧ ʏ t
skytte	² ɧ ʏ t ɛ
skytten	² ɧ ʏ t ɛ n
skytten	¹ ɧ ʏ t ɛ n
skägg	ɧ ɛ ɡː
skäggdopping	ɧ ɛ ɡ d ɔ p ɪ ŋ
skäggmes	ɧ ɛ ɡ m eː s
skäggtärna	ɧ ɛ ɡ t ɜ r n a
skäl	ɧ ɛː l
skälig	² ɧ ɛː l ɪ
skälig	² ɧ ɛː l ɪ ɡ
skälla	ɧ ɛ l a
skälv	ɧ ɛ lː v
skämskudde	² ɧ ɛ m s k ɵ d ɛ
skämt	ɧ ɛ m t
skänka	² ɧ ɛ ŋ k a
skär	ɧ æː r
skär	ʃ æː r
skära	² ɧ æː r a
skärande	ɧ ɛː r a n d ɛ
skäras	² ɧ ɛː r a s
skärfläcka	ɧ ɛː ɾ f l ɛ k a
skärp	ɧ ɛ r p
skärp	ʃ æ r p
skärpa	² ɧ æ r p a
skärs	ɧ ɛː r s
skärsnäppa	ɧ ɛː r s n ɛ p a
skåda	s k oː d a
skådespel	² s k oː d ɛ s p eː l
skådespelare	² s k oː d ɛ s p eː l a r ɛ
skådespeleri	s k oː d ɛ s p eː l ɛ r i
skål	s k oː l
sköld	ɧ œ l d
sköldpadda	ɧ œ l d p a d a
skölja	ɧ œ lː j a
skön	ɧ øː n
skönhetssalong	ɧ øː n h eː t s ‿ s a l ɔ ŋ
skörbjugg	² ɧ œː r b j ɵ ɡ
sköt	ɧ øː t
sköta	² ɧ øː t a
sköts	ɧ øː t s
sladd	s l a d
slag	s l ɑː ɡ
slagen	s l ɑː ɡ ɛ n
slagen	² s l ɑː ɡ ɛ n
slagsmål	s l a k s m oː l
slaguggla	s l ɑː ɡ ɵ ɡ l a
slangens	s l a ŋ e n s
slask	s l a s k
slav	s l ɑː v
sleva	² s l eː v a
slicka	² s l ɪ kː a
slitvarg	² s l iː t v a r j
slog	s l uː ɡ
slogs	s l uː k s
slogs	s l uː ɡ s
slogs	s l ʊ k s
slott	s l ɔ tː
slussa	² s l ɵ s a
slut	s l ʉː t
sluta	² s l ʉː t a
sluten	² s l ʉː t ɛ n
sluten	¹ s l ʉː t ɛ n
slutrea	² s l ʉː t r eː a
slutspurt	s l ʉː t s p ɵ r t
släkt	s l ɛ k t
slät	s l ɛː t
slå	s l oː
slån	s l oː n
slö	s l øː
slöjd	s l œ j d
slösa	² s l øː s a
slöseri	s l øː s ɛ r iː
smak	s m ɑː k
smaklig	s m ɑ̂ː k l ɪ ɡ
smarrig	² s m a r ɪ
smarrig	² s m a r ɪ ɡ
smart	s m ɑː ʈ
smaska	² s m a s k a
smaskig	² s m a s k ɪ
smaskig	² s m a s k ɪ ɡ
smed	s m eː d
smedja	s m eː d j a
smeka	s m eː k a
smekmånad	s m eː k m oː n a d
smet	s m eː t
smil	s m iː l
smittkurva	² s m ɪ t k ɵ r v a
smoking	s m oː k ɪ ŋ
smulgubbe	² s m ʉ̟ː l ɡ ɵ b ɛ
smultron	s m ɵ lː t r ɔ nː
smultronställe	² s m ɵ l t r ɔ n s t ɛ l ɛ
smurf	s m ɵ r f
smutsgam	s m ɵ t s ɡ ɑː m
smyg	s m yː ɡ
smälta	² s m ɛ l t a
små	s m oː
småborgare	² s m oː b ɔ r j a r e
småborgerlig	² s m oː b ɔ r j ɛ r l ɪ
småborgerlig	² s m oː b ɔ r j ɛ r l ɪ ɡ
småborgerlighet	² s m oː b ɔ r j ɛ r l ɪ h eː t
småborgerlighet	² s m oː b ɔ r j ɛ r l ɪ ɡ h eː t
smådopping	s m oː d ɔ p ɪ ŋ
småhere	s m oː h eː r eː
småkusin	s m oː k ʉ s iː n
småkusin	² s m oː k ɵ s iː n
smålom	s m oː l ʊ m
småningom	s m ɔː n ɪ ŋ ɔ m
småskrake	s m oː k ɾ ɑː k ɛ
småskuren	² s m oː s k ʉ̟ː r ɛ n
småsnäppa	s m oː s n ɛ p a
småtrapp	s m ɔ t ɾ a p
småtärna	s m oː t ɜ r n a
smör	s m øː r
smörgås	s m œ r ɡ oː s
smörgås	s m œ r ɡ ɔ s
smörgåsbord	s m œ r ɡ ɔ s b uː r d
smörgåstårta	² s m œ r ɡ ɔ s t oː r t a
smörrebröd	s m œ̞ r ɛ b r øː
smörrebröd	s m œ̞ r ɛ b r øː d
smørrebrød	s m œ̞ r ɛ b r øː
smørrebrød	s m œ̞ r ɛ b r øː d
snabb	s n a b
snabbt	s n a p t
snacka	² s n a kː a
snapsvisa	² s n a p s v iː s a
snart	s n ɑː ʈ
snatterand	s n a t ɛ ɾ a n d
sne	s n eː
snel	s n eː l
snickare	s n ɪ k a r ɛ
snickeri	s n ɪ k ɛ r iː
snickra	s n ɪ k r a
snida	s n iː d a
sno	s n uː
snor	s n uː r
snowboots	s n o ʊ b uː t s
snowboots	s n oː b ɔ t s
snowboots	s n ɔ b ɔ t s
snowboots	s n ɔ uː b ɔ t s
snudd	s n ɵ d
snus	s n ʉ̟ː s
snusa	² s n ʉ̟ː s a
snusare	² s n ʉ̟ː s a r ɛ
snusig	² s n ʉ̟ː s ɪ
snusig	² s n ʉ̟ː s ɪ ɡ
snuskhummer	² s n ɵ s k h ɵ m ɛ r
snusmumrik	² s n ʉ̟ː s m ɵ m r ɪ k
snut	s n ʉː t
snutt	s n ɵ t
snygg	s n ʏ ɡː
snygging	² s n ʏ ɡ ɪ ŋ
snylta	² s n ʏ l t a
snyltning	² s n ʏ l t n ɪ ŋ
snäll	s n ɛ lː
snälla	s n ɛ lː a
snäppa	s n ɛ p a
snål	s n oː l
snåljåp	² s n oː l j oː p
snålvarg	² s n oː l v a r j
snö	s n øː
snöa	² s n øː a
snöga	² s n øː ɡ a
snöig	² s n øː ɪ ɡ
snön	s n œ nː
snöre	² s n øː r ɛ
snövit	² s n øː v iː t
so	s uː
social	s o s i ɑː l
social	s o ɧ ɑː l
sockenmål	² s ɔ k ɛ n m oː l
sockenmål	² s ʊ k ɛ n m oː l
socker	s ɔ k ɛ r
sockerbit	s ɔ k ɛ r b iː t
sockerskål	s ɔ k ɛ r s k oː l
soda	² s uː d a
sol	s uː l
solen	s uː l ɛ n
solk	s ɔ l k
solsken	² s uː l ɧ eː n
solstråle	² s uː l s t r oː l ɛ
solvarg	² s uː l v a r j
som	s ɔ m
somaliames	s ɔ m ɑː l j a m eː s
sommar	s ɔ mː a r
sommar	² s ɔ mː a r
sommaren	² s ɔ m a r ɛ n
sommaren	² s ɔ m a ɳ
sommarställe	² s ɔ mː a r s t ɛ lː ə
sommartid	s ɔ m a r t iː d
somras	² s ɔ m r a s
son	s oː n
soppa	s ɔ p a
sorg	s ɔ r j
sorl	s oː ɭ
sortering	s ɔ r t eː r ɪ ŋ
sortering	s ʊ r t eː r ɪ ŋ
sosse	s ɔ s ɛ
sosse	s ʊ s ɛ
sossig	² s ɔ s ɪ
sossig	² s ɔ s ɪ ɡ
sossig	² s ʊ s ɪ
sossig	² s ʊ s ɪ ɡ
sot	s uː t
sothöna	s uː t h øː n a
sotis	¹ s uː t ɪ s
sottärna	s uː t t ɜ r n a
sov	s oː v
sova	² s oː v a
sovel	s oː v ɛ l
sovjet	s ɔ v j eː t
sovjet	s ɔ v j ɛ tː
sovjet	s ɔ̌ vː j ɛ t
sovstad	s oː v s t ɑː d
span	s p ɑː n
spana	s p ɑː n a
spanska	² s p a nː s k a
spara	s p ɑː r a
sparlåga	s p ɑː r l oː ɡ a
sparvuggla	s p a r v ɵ ɡ l a
spasm	s p a s m
spegel	s p eː ɡ ɛ l
speja	s p ɛ j a
spel	s p eː l
spela	² s p eː l a
spelar	² s p eː l a r
spenat	s p ɛ n ɑː t
speta	² s p eː t a
spetsbergsgrissla	s p ɛ t s b ɛ r j s ɡ r ɪ s l a
spetsbergsgås	s p ɛ t s b ɛ ɾ j s ɡ oː s
spettekaka	² s p ɛ t ɛ k ɑː k a
spetälska	s p eː t æ l s k a
spik	s p iː k
spiral	s p ɪ r ɑː l
spis	s p iː s
spisa	² s p iː s a
spjut	s p j ʉː t
splatter	¹ s p l a tː ɛ r
split	s p l iː t
split	s p l ɪ tː
spolarvätska	² s p uː l a r v ɛ tː s k a
spole	s p uː l ɛ
sport	s p ɔ ʈ
sport	s p ʊ ʈ
spov	s p uː v
spovsnäppa	s p ʊː v s n ɛ p a
sprida	s p r iː d a
sprit	s p r iː t
spruta	² s p r ʉː t a
språk	s p r oː k
spurt	s p ɵ r t
spy	s p yː
späda	² s p ɛː d a
spänna	s p ɛ nː a
spännande	s p ɛ n a n d ɛ
spå	s p oː
spåga	² s p oː ɡ a
spår	s p oː r
spåra	s p oː r a
spårvagn	s p oː r v a ŋ n
spårvagnshållplats	s p oː r v a ɡ n s h ɔ l p l a t s
spårvagnslinje	s p oː r v a n s l ɪ n j ɛ
spårvagnstrafik	s p oː r v a ŋ s t r ɑː f ɪ k
spö	s p øː
spöke	² s p øː k ɛ
spökstad	² s p øː k s t ɑː d
spöregn	s p ø̀ː r ɛ ŋ n
stab	s t ɑː b
stad	s t a t s
stad	s t ɑː d
stadig	s t ɑː d ɪ ɡ
stadsbo	² s t a t s b uː
stagflation	s t a ɡ f l a ɧ uː n
staket	s t a k eː t
stal	s t ɑː l
stamområde	² s t a m ɔ m r oː d ɛ
stat	s t ɑː t
station	s t a t͡ʃ uː n
station	s t a ɧ uː n
stationär	s t a t ɧ ʊ n æː r
statlig	s t ɑː t l ɪ ɡ
staty	s t a t yː
stav	s t ɑː v
stava	s t ɑː v a
stavelse	s t ɑː v ɛ l s ɛ
steg	s t eː ɡ
stege	s t eː ɡ ɛ
stel	s t eː l
sten	s t eː n
stenfalk	s t eː n f a l k
stenhård	s t eː n h oː r d
stensvala	s t eː n s v ɑː l a
stickelbär	² s t ɪ k ɛ l b ɛː r
stig	s t iː ɡ
stiga	² s t iː ɡ a
stil	s t iː l
stillhet	s t ɪ l h eː t
stinkdjur	² s t ɪ ŋː k j ʉː r
stjäl	ɧ ɛː l
stjäla	ɧ ɛː l a
stjälk	¹ ɧ ɛ l k
stjälpa	ɧ ɛ l p a
stjärna	ɧ ɛː r n a
stjärt	ɧ ɛ r t
stjärtand	ɧ ɛ ʈ a n d
stockholmsk	² s t ɔ kː h ɔ l m s k
stockholmsk	² s t ɔ kː ɔ l m s k
stockholmskt	² s t ɔ kː h ɔ l m s k t
stockholmskt	² s t ɔ kː ɔ l m s k t
stod	s t uː
stod	s t uː d
stod	s t uː ɡ
stoft	s t ɔ f t
stol	s t uː l
stomme	² s t ʊ mː ɛ
stor	s t uː r
stork	s t ɔ r k
storlabb	s t uː r l a b
storlom	s t uː r l ʊ m
storm	s t ɔ r m
stormaktstid	² s t uː r m a k t s t iː d
stormfågel	s t ɔ r m f oː ɡ ɛ l
storskrake	s t uː ɾ s k ɾ ɑː k ɛ
storspov	s t uː r s p uː v
storstilad	s t uː r s t iː l a d
stortrapp	s t uː ɾ t ɾ a p
stova	² s t oː v a
strandskata	s t ɾ a n d s k ɑː t a
strass	s t r a s
strejk	s t r ɛ jː k
stril	s t r iː l
strokabisi	s t r u k a b i s i
strontium	s t r ɔ n t s ɪ ɵ m
strul	s t r ʉː l
strumpa	² s t r ɵ mː p a
stryk	s t r yː k
stryka	s t r yː k a
sträng	s t r ɛ ŋ
stråla	s t ɾ oː l a
stråle	s t r oː l ɛ
ströbröd	² s t r œː b r œː
ströbröd	² s t r œː b r œː d
ström	s t r œ m
strömand	s t ɾ œ m a n d
strömlös	² s t r œ m l øː s
strömming	s t r œ m ɪ ŋ
strösocker	s t r øː s ɔ k ɛ r
stubb	s t ɵ b
stubbstjärtseglare	s t ɵ b ɧ ɛ ʈ s eː ɡ l a ɾ ɛ
student	s t ɵ d ɛ n t
studio	s t ʉː d ɪ ʊ
studsa	s t ɵ t s a
stuga	² s t ʉ̟ː ɡ a
stulit	s t ʉː l ɪ t
stum	s t ɵ m
stup	s t ʉː p
stupa	² s t ʉː p a
stut	s t ʉː t
stuva	² s t ʉ̟ː v a
styltlöpare	s t ʏ l t l øː p a ɾ ɛ
styltsnäppa	s t ʏ l t s n ɛ p a
städerska	s t ɛː d ɛ ʂ k a
ställd	s t ɛ l d
ställningstagande	² s t ɛ l n ɪ ŋ s t ɑː ɡ a n d ɛ
stämma	² s t ɛ mː a
stäpp	s t ɛ p
stäppflyghöna	s t ɛ p f l yː ɡ h øː n a
stäpphök	s t ɛ p h øː k
stäppsångare	s t ɛ p s ɔ ŋ a r ɛ
stäppvarg	² s t ɛ p v a r j
stäppvipa	s t ɛ p v iː p a
stäppörn	s t ɛ p øː r n
stå	s t oː
stål	s t oː l
stöd	s t øː d
stödparti	s t œ d p a ɹ t i
stök	s t øː k
stör	s t øː r
störa	² s t œː r a
störtregn	s t ɵ ʈ r ɛ ŋ n
störtregn	s t ɶ ʈ r ɛ ŋ n
störtskur	s t ɵ ʈ s k ʉː r
störtskur	s t ɶ ʈ s k ʉː r
stöt	s t øː t
stöta	² s t øː t a
subjekt	s ɵ b j ɛ k t
subjektiv	s ɵ b j ɛ k t iː v
substantiv	s ɵ b s t a n t iː v
succé	s ʉ k s eː
suck	s ɵ k
sumpvipa	s ɵ m p v iː p a
sund	s ɵ n d
supa	s ʉː p a
super	² s ʉː p ɛ r
supinum	s ɵ p iː n ɵ m
sur	s ʉː r
sura	² s ʉː r a
surpuppa	² s ʉ̟ː r p ɵ p a
surströmming	s ʉː r s t r œ m ɪ ŋ
svag	s v ɑː ɡ
svala	² s v ɑː l a
svalg	s v a l j
svan	s v ɑː n
svans	s v a n s
svans	s v ɑː n s
svansrem	s v a n s r ɛ m
svar	s v ɑː r
svara	s v ɑː r a
svart	¹ s v a r t
svartand	s v a ʈ a n d
svarthakedopping	s v a ʈ h ɑː k ɛ d ɔ p ɪ ŋ
svartis	² s v a r t iː s
svartis	¹ s v a r t ɪ s
svartkråka	s v a r t k r oː k a
svartpeppar	s v a ʈ p ɛ p a ɾ
svartsenap	s v a ʈ s eː n a p
svartsnäppa	s v a r t s n ɛ p a
svarttärna	s v a r t t ɜ r n a
svarv	s v a r v
svavel	s v ɑː v ɛ l
svek	s v eː k
sven	s v ɛ n
svenne	s v ɛ nː ɛ
svensk	s v ɛ nː s k
svenska	² s v ɛ n s k a
svenskjävel	² s v ɛ nː s k j ɛː v ɛ l
svika	² s v iː k a
svin	s v iː n
svit	s v iː t
svor	s v uː r
svärd	s v æː r d
svärta	s v ɛ ʈ a
svåger	s v oː ɡ ə r
svår	¹ s v oː r
svårt	s v oː ʈ
swisha	² s v ɪ ɕː a
swisha	² s w ɪ ɕː a
syd	s yː d
sydafrikansk	s ỵː d a f r ɪ k ɑː n s k
sydost	s ʏ d ʊ s t
sydsamiska	s yː d s ɑː m ɪ s k a
sydväst	s ʏ d v ɛ s t
sydöst	s ʏ d œ s t
syfte	² s ʏ f t ɛ
syl	s yː l
syll	s ʏ l
sylt	s ʏ l t
sylta	s ʏ l t a
sylvass	s yː l v a s
symfoni	s ʏ m f ʊ n iː
symfoniorkester	s ʏ m f ʊ n iː ɔ r k ɛ s t ɛ r
synas	s yː n a s
syntes	s ʏ n t eː s
syra	s yː r a
syrak	s yː r a k
syre	s yː r ɛ
syrra	² s ʏ r a
syssling	² s ʏ s l ɪ ŋ
syssna	² s ʏ s n a
system	s y s t eː m
syster	² s ʏ sː t ɛ r
sädesfrö	² s ɛː d ɛ s f r øː
