abeag	ɑː b æ͜ɑː ɣ
bestingaþ	b e s t i ŋ ɡ ɑ θ
bestinge	b e s t i ŋ ɡ e
bestingþ	b e s t i ŋ ɡ θ
bestirgan	b e s t i rˠ j ɑ n
bestirgende	b e s t i rˠ j e n d e
bestirgenne	b e s t i rˠ j e n n e
bestirian	b e s t i rˠ j ɑ n
bestiriaþ	b e s t i rˠ j ɑ θ
bestirie	b e s t i rˠ j e
bestirien	b e s t i rˠ j e n
bestiriende	b e s t i rˠ j e n d e
bestirienne	b e s t i rˠ j e n n e
bestunge	b e s t u ŋ ɡ e
bestungen	b e s t u ŋ ɡ e n
bestungon	b e s t u ŋ ɡ o n
bestyrgan	b e s t y rˠ j ɑ n
bestyrgende	b e s t y rˠ j e n d e
bestyrgenne	b e s t y rˠ j e n n e
bestyrian	b e s t y rˠ j ɑ n
bestyriaþ	b e s t y rˠ j ɑ θ
bestyrie	b e s t y rˠ j e
bestyrien	b e s t y rˠ j e n
bestyriende	b e s t y rˠ j e n d e
bestyrienne	b e s t y rˠ j e n n e
besunce	b e s u ŋ k e
besuncen	b e s u ŋ k e n
besuncon	b e s u ŋ k o n
besunge	b e s u ŋ ɡ e
besungen	b e s u ŋ ɡ e n
besungon	b e s u ŋ ɡ o n
beswanc	b e s w ɑ ŋ k
beswincan	b e s w i ŋ k ɑ n
beswincaþ	b e s w i ŋ k ɑ θ
beswince	b e s w i ŋ k e
beswincende	b e s w i ŋ k e n d e
beswincst	b e s w i ŋ k s t
beswincþ	b e s w i ŋ k θ
beswunce	b e s w u ŋ k e
beswuncen	b e s w u ŋ k e n
beswuncon	b e s w u ŋ k o n
besyrwan	b e s y rˠ w ɑ n
besyrwaþ	b e s y rˠ w ɑ θ
besyrwende	b e s y rˠ w e n d e
beteald	b e t æ͜ɑ ɫ d
betealde	b e t æ͜ɑ ɫ d e
betealdest	b e t æ͜ɑ ɫ d e s t
betealdon	b e t æ͜ɑ ɫ d o n
beteldan	b e t e ɫ d ɑ n
beteldaþ	b e t e ɫ d ɑ θ
betellan	b e t e ɫ ɫ ɑ n
betellaþ	b e t e ɫ ɫ ɑ θ
betelle	b e t e ɫ ɫ e
betellende	b e t e ɫ ɫ e n d e
betellenne	b e t e ɫ ɫ e n n e
betogen	b e t o ɣ e n
betolden	b e t o ɫ d e n
betuge	b e t u ɣ e
betugen	b e t u ɣ e n
betugon	b e t u ɣ o n
betweoxaworpennes	b e t w e͜o k s ɑː w o rˠ p e n n e s
betwih	b e t w i ç
betwyh	b e t w y ç
betyllan	b e t y ɫ ɫ ɑ n
betyrn	b e t y rˠ n
betyrnan	b e t y rˠ n ɑ n
betyrnaþ	b e t y rˠ n ɑ θ
betyrndon	b e t y rˠ n d o n
betyrne	b e t y rˠ n e
betyrnende	b e t y rˠ n e n d e
betyrnþ	b e t y rˠ n θ
beþa	b e ð ɑ
beþe	b e ð e
beþearf	b e θ æ͜ɑ rˠ f
beþearft	b e θ æ͜ɑ rˠ f t
beþencþ	b e θ e ŋ k θ
beþian	b e ð j ɑ n
beþian	b e ð i ɑ n
beþienne	b e ð i e n n e
beþorfte	b e θ o rˠ f t e
beþorften	b e θ o rˠ f t e n
beþorfton	b e θ o rˠ f t o n
beþrang	b e θ r ɑ ŋ ɡ
beþring	b e θ r i ŋ ɡ
beþringan	b e θ r i ŋ ɡ ɑ n
beþringaþ	b e θ r i ŋ ɡ ɑ θ
beþringe	b e θ r i ŋ ɡ e
beþringende	b e θ r i ŋ ɡ e n d e
beþringenne	b e θ r i ŋ ɡ e n n e
beþringst	b e θ r i ŋ ɡ s t
beþringþ	b e θ r i ŋ ɡ θ
beþrungen	b e θ r u ŋ ɡ e n
beþrungon	b e θ r u ŋ ɡ o n
beþurfan	b e θ u rˠ v ɑ n
beþurfon	b e θ u rˠ v o n
beurne	b e u rˠ n e
beurnen	b e u rˠ n e n
beurnon	b e u rˠ n o n
bewæfan	b e w æː v ɑ n
bewæfde	b e w æ v d e
bewæfdon	b e w æ v d o n
bewæfed	b e w æ v e d
bewærlan	b e w æ rˠ l ɑ n
bewærle	b e w æ rˠ l e
bewalwian	b e w ɑ ɫ w i ɑ n
bewealwian	b e w æ͜ɑ ɫ w i ɑ n
beweardast	b e w æ͜ɑ rˠ d ɑ s t
beweardaþ	b e w æ͜ɑ rˠ d ɑ θ
beweardian	b e w æ͜ɑ rˠ d i ɑ n
beweardiaþ	b e w æ͜ɑ rˠ d i ɑ θ
beweardiende	b e w æ͜ɑ rˠ d i e n d e
beweardode	b e w æ͜ɑ rˠ d o d e
beweardodon	b e w æ͜ɑ rˠ d o d o n
bewearp	b e w æ͜ɑ rˠ p
beweddung	b e w e d d u ŋ ɡ
beweorpan	b e w e͜o rˠ p ɑ n
beweorpaþ	b e w e͜o rˠ p ɑ θ
beweorpe	b e w e͜o rˠ p e
beweorpende	b e w e͜o rˠ p e n d e
bewergan	b e w e rˠ j ɑ n
bewergende	b e w e rˠ j e n d e
bewergenne	b e w e rˠ j e n n e
bewerian	b e w e rˠ j ɑ n
bewerie	b e w e rˠ j e
beweriende	b e w e rˠ j e n d e
bewerienne	b e w e rˠ j e n n e
bewering	b e w e r i ŋ ɡ
bewerung	b e w e r u ŋ ɡ
bewerunge	b e w e r u ŋ ɡ e
bewierpst	b e w i͜y rˠ p s t
bewierpþ	b e w i͜y rˠ p θ
bewifmann	b e w iː v m ɑ n
beworht	b e w o rˠ x t
beworhte	b e w o rˠ x t e
beworhtest	b e w o rˠ x t e s t
beworhton	b e w o rˠ x t o n
beworpen	b e w o rˠ p e n
bewrige	b e w r i ɣ e
bewrigen	b e w r i ɣ e n
bewrigon	b e w r i ɣ o n
bewurpe	b e w u rˠ p e
bewurpon	b e w u rˠ p o n
bewyrc	b e w y rˠ t͡ʃ
bewyrcan	b e w y rˠ t͡ʃ ɑ n
bewyrcaþ	b e w y rˠ t͡ʃ ɑ θ
bewyrce	b e w y rˠ t͡ʃ e
bewyrcende	b e w y rˠ t͡ʃ e n d e
bewyrcenne	b e w y rˠ t͡ʃ e n n e
bewyrcest	b e w y rˠ t͡ʃ e s t
bewyrceþ	b e w y rˠ t͡ʃ e θ
bewyrcst	b e w y rˠ k s t
bewyrcþ	b e w y rˠ k θ
Bicga	b i d d͡ʒ ɑ
bicweþan	b i k w e ð ɑ n
biegels	b i͜yː j e ɫ s
biegelsa	b iː e j e ɫ z ɑ
biegelsas	b iː e j e ɫ z ɑ s
biegelse	b iː e j e ɫ z e
biegelses	b iː e j e ɫ z e s
bielcan	b i͜y ɫ t͡ʃ ɑ n
bield	b i͜y ɫ d
bieldan	b i͜y ɫ d ɑ n
bielde	b i͜y ɫ d e
bielded	b i͜y ɫ d e d
bieldu	b i͜y ɫ d u
bieldum	b i͜y ɫ d u m
bielg	b i͜y ɫ j
bielga	b i͜y ɫ j ɑ
bielgan	b i͜y ɫ j ɑ n
bielgas	b i͜y ɫ j ɑ s
bielge	b i͜y ɫ j e
bielges	b i͜y ɫ j e s
bielgum	b i͜y ɫ j u m
bielt	b i͜y ɫ t
biercan	b i͜y rˠ t͡ʃ ɑ n
bierce	b i͜y rˠ t͡ʃ e
biercþ	b i͜y rˠ k θ
biergan	b i͜y rˠ j ɑ n
biergdest	b i͜y rˠ j d e s t
biergdon	b i͜y rˠ j d o n
bierge	b i͜y rˠ j e
biergest	b i͜y rˠ j e s t
biergst	b i͜y rˠ j s t
biergþ	b i͜y rˠ j θ
bierhtu	b i͜y rˠ x t u
bierhtum	b i͜y rˠ x t u m
biernan	b i͜y rˠ n ɑ n
biernende	b i͜y rˠ n e n d e
biernenne	b i͜y rˠ n e n n e
biernst	b i͜y rˠ n s t
biernþ	b i͜y rˠ n θ
bifian	b i v i ɑ n
bifigan	b i v i j ɑ n
bifung	b i v u ŋ ɡ
bigang	b iː ɡ ɑ ŋ ɡ
bigeall	b i j æ͜ɑ ɫ
bigels	b iː j e ɫ s
bigelsa	b iː j e ɫ z ɑ
bigelsas	b iː j e ɫ z ɑ s
bigelse	b iː j e ɫ z e
bigelses	b iː j e ɫ z e s
bigeng	b iː ɡ e ŋ ɡ
bigenga	b iː ɡ e n d͡ʒ ɑ
bigengan	b iː j e n d͡ʒ ɑ n
bigenge	b iː j e ŋ ɡ e
bigengena	b iː j e n d͡ʒ e n ɑ
bigenges	b iː j e ŋ ɡ e s
bigengu	b iː j e ŋ ɡ u
bigengum	b iː j e n d͡ʒ u m
bigiellan	b i j i͜y ɫ ɫ ɑ n
biheonan	b i h e͜o n ɑ n
bihongen	b i h o ŋ ɡ e n
bihreas	b i ç r æ͜ɑː s
bihreosan	b i r̥ e͜oː z ɑ n
bihreosaþ	b i ç r e͜oː s ɑ θ
bihroren	b i ç r o r e n
bihrorene	b i ç r o r e n e
bihruron	b i ç r u r o n
bilehwit	b i l e ʍ iː t
bilehwita	b i l e ç w iː t ɑ
bilehwitan	b i l e ç w iː t ɑ n
bilehwite	b i l e ç w iː t e
bilehwitne	b i l e ç w iː t n e
bilehwitum	b i l e ç w iː t u m
bileofa	b iː l e͜o v ɑ
bileofena	b iː l e͜o v e n ɑ
bileofum	b iː l e͜o v u m
Bilfriþe	b i l f r i ð e
Bilfriþes	b i l f r i ð e s
bilgst	b i ɫ j s t
bilgþ	b i ɫ j θ
bill	b i ɫ
bille	b i ɫ ɫ e
bilst	b i ɫ s t
bilþ	b i ɫ θ
bineoþan	b i n e͜o ð ɑ n
binn	b i n
biorga	b i͜u rˠ ɣ ɑ
biorgas	b i͜u rˠ ɣ ɑ s
biorge	b i͜u rˠ ɣ e
biorges	b i͜u rˠ ɣ e s
biorgum	b i͜u rˠ ɣ u m
biorn	b i͜u rˠ n
bircan	b i rˠ t͡ʃ ɑ n
birce	b i rˠ t͡ʃ e
bircen	b i rˠ t͡ʃ e n
birhtu	b i rˠ x t u
birhtum	b i rˠ x t u m
birnan	b i rˠ n ɑ n
birnaþ	b i rˠ n ɑ θ
birst	b i rˠ s t
bisæcc	b iː z æ k
bisæcc	b iː s æ t͡ʃ
bisæccan	b iː z æ t t͡ʃ ɑ n
biscophad	b i ʃ ʃ o p h ɑː d
biscopwyrt	b i ʃ ʃ o p w y rˠ t
bisena	b iː z e n ɑ
bisenaþ	b iː z e n ɑ θ
bisenian	b iː z e n i ɑ n
biseniaþ	b iː z e n i ɑ θ
bisenige	b iː z e n i j e
bisenode	b iː z e n o d e
bisenoden	b iː z e n o d e n
bisenodon	b iː z e n o d o n
bisga	b i z ɣ ɑ
bisgaþ	b i z ɣ ɑ θ
bisgian	b i z ɣ i ɑ n
bisgiaþ	b i z ɣ i ɑ θ
bisgige	b i z ɣ i j e
bisgigen	b i z ɣ i j e n
bisgo	b i z ɣ o
bisgod	b i z ɣ o d
bisgode	b i z ɣ o d e
bisgodon	b i z ɣ o d o n
bisgung	b i z ɣ u ŋ ɡ
bisgunga	b i z ɣ u ŋ ɡ ɑ
bisgunge	b i z ɣ u ŋ ɡ e
bisgungum	b i z ɣ u ŋ ɡ u m
bisig	b i z i j
bisignes	b i z i j n e s
bisigu	b i z i j u
bismer	b i z m e r
bismere	b i z m e r e
bismeres	b i z m e r e s
bismergan	b i z m e rˠ j ɑ n
bismergende	b i z m e rˠ j e n d e
bismergenne	b i z m e rˠ j e n n e
bismerian	b i z m e rˠ j ɑ n
bismerian	b i z m e r i ɑ n
bismeriende	b i z m e rˠ j e n d e
bismeriende	b i z m e r i e n d e
bismerienne	b i z m e rˠ j e n n e
bismerienne	b i z m e r i e n n e
bismerigan	b i z m e r i j ɑ n
bismerigende	b i z m e r i j e n d e
bismerigenne	b i z m e r i j e n n e
bismerlice	b i z m e r l iː t͡ʃ e
bismor	b i z m o r
bisna	b i z n ɑ
bisnaþ	b i z n ɑ θ
bisnian	b i z n i ɑ n
bisniaþ	b i z n i ɑ θ
bisnige	b i z n i j e
bisnode	b i z n o d e
bisnoden	b i z n o d e n
bisnodon	b i z n o d o n
bispell	b iː s p e ɫ
bispella	b iː s p e ɫ ɫ ɑ
bispellbec	b iː s p e ɫ b eː t͡ʃ
bispellboc	b iː s p e ɫ b oː k
bispellboca	b iː s p e ɫ b oː k ɑ
bispellboce	b iː s p e ɫ b oː k e
bispellbocum	b iː s p e ɫ b oː k u m
bispelle	b iː s p e ɫ ɫ e
bispelles	b iː s p e ɫ ɫ e s
bispellum	b iː s p e ɫ ɫ u m
biternesse	b i t e rˠ n e s s e
biterra	b i t e rˠ rˠ ɑ
biterre	b i t e rˠ rˠ e
bitt	b iː t
biþeaht	b i ð æ͜ɑ x t
biþeahte	b i ð æ͜ɑ x t e
biþeahton	b i ð æ͜ɑ x t o n
biþeccan	b i ð e t t͡ʃ ɑ n
biþecce	b i ð e t t͡ʃ e
biþecest	b i ð e t͡ʃ e s t
biþeceþ	b i ð e t͡ʃ e θ
biword	b iː w o rˠ d
biwyrda	b iː w y rˠ d ɑ
biwyrde	b iː w y rˠ d e
blacern	b l ɑː k e rˠ n
blæcern	b l æː k e rˠ n
blæchorn	b l æ k h o rˠ n
blæhæwen	b l æː h æː w e n
blæhæwene	b l æː h æː w e n e
blæhæwenre	b l æː h æː w e n r e
blæhæwenum	b l æː h æː w e n u m
blæse	b l æ z e
blanc	b l ɑ ŋ k
blanca	b l ɑ ŋ k ɑ
blann	b l ɑ n
blase	b l ɑ z e
blawung	b l ɑː w u ŋ ɡ
blawunge	b l ɑː w u ŋ ɡ e
bleaþe	b l æ͜ɑː ð e
bleaþra	b l æ͜ɑː ð r ɑ
bledhwæt	b l eː d ʍ æ t
bledhwate	b l eː d ʍ ɑ t e
bledsung	b l eː d z u ŋ ɡ
bletsung	b l eː t s u ŋ ɡ
bliðe	b l iː ð e
bliðne	b l iː ð n e
blinn	b l i n
blisa	b l i z ɑ
bliss	b l i s
bliþa	b l iː ð ɑ
bliþan	b l iː ð ɑ n
bliþe	b l iː ð e
bliþelice	b l iː ð e l iː t͡ʃ e
bliþena	b l iː ð e n ɑ
bliþes	b l iː ð e s
bliþne	b l iː ð n e
bliþo	b l iː ð o
bliþra	b l iː ð r ɑ
bliþre	b l iː ð r e
bliþu	b l iː ð u
bliþum	b l iː ð u m
blodgian	b l oː d ɣ i ɑ n
blodgode	b l oː d ɣ o d e
blodgodon	b l oː d ɣ o d o n
blodseax	b l oː d z æ͜ɑ k s
blœdsung	b l øː d z u ŋ ɡ
blœtsung	b l øː t s u ŋ ɡ
blysa	b l y z ɑ
blysan	b l y z ɑ n
blysige	b l y z i j e
blysigere	b l y z i j e r e
bochord	b oː k h o rˠ d
bochorda	b oː k h o rˠ d ɑ
bochorde	b oː k h o rˠ d e
bochordes	b oː k h o rˠ d e s
bochordum	b oː k h o rˠ d u m
bochus	b oː k h uː s
bocræding	b oː k r æː d i ŋ ɡ
bocrædinge	b oː k r æː d i ŋ ɡ e
bocstæfe	b oː k s t æ v e
bocstæfes	b oː k s t æ v e s
bocstafa	b oː k s t ɑ v ɑ
bocstafas	b oː k s t ɑ v ɑ s
bocstafum	b oː k s t ɑ v u m
boctæcing	b oː k t æː t͡ʃ i ŋ ɡ
boctæcinge	b oː k t æː t͡ʃ i ŋ ɡ e
bodung	b o d u ŋ ɡ
bodunga	b o d u ŋ ɡ ɑ
bodunge	b o d u ŋ ɡ e
bodungum	b o d u ŋ ɡ u m
Bofa	b oː v ɑ
bog	b oː ɣ
boga	b o ɣ ɑ
bogan	b o ɣ ɑ n
bogas	b oː ɣ ɑ s
boge	b oː ɣ e
boges	b oː ɣ e s
bogiht	b o ɣ i ç t
bogihte	b o ɣ i ç t e
bolca	b o ɫ k ɑ
bolcan	b o ɫ k ɑ n
bold	b o ɫ d
bolde	b o ɫ d e
boldes	b o ɫ d e s
bolgenmod	b o ɫ ɣ e n m oː d
bolla	b o ɫ ɫ ɑ
Bolla	b o ɫ ɫ ɑ
bolle	b o ɫ ɫ e
bollen	b o ɫ ɫ e n
bolster	b o ɫ s t e r
bolt	b o ɫ t
boog	b oː ɣ
borcen	b o rˠ k e n
borcian	b o rˠ k i ɑ n
borcode	b o rˠ k o d e
bord	b o rˠ d
borda	b o rˠ d ɑ
bordclaþ	b o rˠ d k l ɑː θ
borde	b o rˠ d e
bordena	b o rˠ d e n ɑ
bordes	b o rˠ d e s
bordweall	b o rˠ d w æ͜ɑ ɫ
bordwealla	b o rˠ d w æ͜ɑ ɫ ɫ ɑ
bordweallas	b o rˠ d w æ͜ɑ ɫ ɫ ɑ s
bordwealle	b o rˠ d w æ͜ɑ ɫ ɫ e
bordwealles	b o rˠ d w æ͜ɑ ɫ ɫ e s
bordweallum	b o rˠ d w æ͜ɑ ɫ ɫ u m
borg	b o rˠ ɣ
borgaþ	b o rˠ ɣ ɑ θ
borgen	b o rˠ ɣ e n
borgian	b o rˠ ɣ i ɑ n
borgiaþ	b o rˠ ɣ i ɑ θ
borgiende	b o rˠ ɣ i e n d e
borh	b o rˠ x
born	b o rˠ n
bornen	b o rˠ n e n
borsten	b o rˠ s t e n
Bosa	b oː z ɑ
Bosan	b oː z ɑ n
Bosanham	b o z ɑ n h ɑː m
bosge	b oː z j e
bosig	b oː z i ɣ
bosig	b oː z i j
bosm	b oː z m
Bothild	b oː t h i ɫ d
botwierþan	b oː t w i͜y rˠ ð ɑ n
botwierþe	b oː t w i͜y rˠ ð e
botwierþum	b oː t w i͜y rˠ ð u m
Botwulf	b oː t w u ɫ f
boþen	b o ð e n
boþene	b o ð e n e
boþenes	b o ð e n e s
brædels	b r æː d e ɫ s
bræmelbergan	b r æː m e ɫ b e rˠ j ɑ n
bræmelberge	b r æː m e l b e rˠ j e
bræmelberie	b r æː m e l b e rˠ j e
bræsen	b r æ z e n
bræsena	b r æ z e n ɑ
bræsenan	b r æ z e n ɑ n
bræsene	b r æ z e n e
bræsenena	b r æ z e n e n ɑ
bræsenes	b r æ z e n e s
bræsenne	b r æ z e n n e
bræsenra	b r æ z e n r ɑ
bræsenre	b r æ z e n r e
bræsenum	b r æ z e n u m
bræsian	b r æ z i ɑ n
brandisen	b r ɑ n d iː z e n
brang	b r ɑ ŋ ɡ
bratt	b r ɑ t
breag	b r æ͜ɑː ɣ
breawern	b r æ͜ɑː w e rˠ n
breawerne	b r æ͜ɑː w e rˠ n e
breðer	b r eː ð e r
brego	b r e ɣ o
bregostol	b r e ɣ o s t oː l
bregostola	b r e ɣ o s t oː l ɑ
bregostolas	b r e ɣ o s t oː l ɑ s
bregostole	b r e ɣ o s t oː l e
bregostoles	b r e ɣ o s t oː l e s
bregostolum	b r e ɣ o s t oː l u m
bregoweard	b r e ɣ o w æ͜ɑ rˠ d
bregowearda	b r e ɣ o w æ͜ɑ rˠ d ɑ
bregoweardas	b r e ɣ o w æ͜ɑ rˠ d ɑ s
bregowearde	b r e ɣ o w æ͜ɑ rˠ d e
bregoweardes	b r e ɣ o w æ͜ɑ rˠ d e s
bregoweardum	b r e ɣ o w æ͜ɑ rˠ d u m
Bregowine	b r e ɣ o w i n e
bregu	b r e ɣ u
Breguswiþ	b r e ɣ u s w iː θ
Breguswiþe	b r e ɣ u s w iː ð e
brehg	b r eː x ɣ
brengan	b r e n d͡ʒ ɑ n
brengaþ	b r e n d͡ʒ ɑ θ
brenge	b r e n d͡ʒ e
brengest	b r e n d͡ʒ e s t
brengeþ	b r e n d͡ʒ e θ
brengst	b r e ŋ ɡ s t
brengþ	b r e ŋ ɡ θ
brenting	b r e n t i ŋ ɡ
brentinga	b r e n t i ŋ ɡ ɑ
brentingas	b r e n t i ŋ ɡ ɑ s
brentinge	b r e n t i ŋ ɡ e
brentinges	b r e n t i ŋ ɡ e s
brentingum	b r e n t i ŋ ɡ u m
breoga	b r e͜o ɣ ɑ
breogo	b r e͜o ɣ o
breord	b r e͜o rˠ d
breosa	b r e͜oː z ɑ
breostcofa	b r e͜oː s t k o v ɑ
breosthord	b r e͜oː s t h o rˠ d
breostrocc	b r e͜oː s t r o k
breoþan	b r e͜oː ð ɑ n
breoþe	b r e͜oː ð e
brerd	b r e rˠ d
brerda	b r e rˠ d ɑ
brerdas	b r e rˠ d ɑ s
brerde	b r e rˠ d e
brerdes	b r e rˠ d e s
brerdum	b r e rˠ d u m
bresen	b r e z e n
Brett	b r e t
Brettwælisc	b r e t w æː l i ʃ
Brettwelisc	b r e t w eː l i ʃ
Brettwielisc	b r e t w i͜yː l i ʃ
Brettwilisc	b r e t w iː l i ʃ
Brettwylisc	b r e t w yː l i ʃ
bretwalda	b r e t w ɑ ɫ d ɑ
Bretwealas	b r e t w æ͜ɑː l ɑ s
breþer	b r eː ð e r
bridd	b r i d
briett	b r i͜yː t
brimceald	b r i m t͡ʃ æ͜ɑ ɫ d
brimcealda	b r i m t͡ʃ æ͜ɑ ɫ d ɑ
brimcealdan	b r i m t͡ʃ æ͜ɑ ɫ d ɑ n
brimcealde	b r i m t͡ʃ æ͜ɑ ɫ d e
brimcealdena	b r i m t͡ʃ æ͜ɑ ɫ d e n ɑ
brimcealdes	b r i m t͡ʃ æ͜ɑ ɫ d e s
brimcealdne	b r i m t͡ʃ æ͜ɑ ɫ d n e
brimcealdra	b r i m t͡ʃ æ͜ɑ ɫ d r ɑ
brimcealdre	b r i m t͡ʃ æ͜ɑ ɫ d r e
brimcealdum	b r i m t͡ʃ æ͜ɑ ɫ d u m
brimfugla	b r i m f u ɣ l ɑ
brimfuglas	b r i m f u ɣ l ɑ s
brimfugle	b r i m f u ɣ l e
brimfugles	b r i m f u ɣ l e s
brimfuglum	b r i m f u ɣ l u m
brimfugol	b r i m f u ɣ o l
brimhengest	b r i m h e n d͡ʒ e s t
brimhengesta	b r i m h e n d͡ʒ e s t ɑ
brimhengestas	b r i m h e n d͡ʒ e s t ɑ s
brimhengeste	b r i m h e n d͡ʒ e s t e
brimhengestes	b r i m h e n d͡ʒ e s t e s
brimhengestum	b r i m h e n d͡ʒ e s t u m
brimhlæst	b r i m l̥ æ s t
brimliþend	b r i m l iː ð e n d
brimmann	b r i m m ɑ n
brimmenn	b r i m m e n
bringan	b r i ŋ ɡ ɑ n
bringaþ	b r i ŋ ɡ ɑ θ
bringe	b r i ŋ ɡ e
bringeð	b r i ŋ ɡ e θ
bringenne	b r i ŋ ɡ e n n e
bringeþ	b r i ŋ ɡ e θ
briord	b r i͜u rˠ d
briosa	b r i͜uː z ɑ
brocc	b r o k
broðor	b r oː ð o r
broðra	b r oː ð r ɑ
broðru	b r oː ð r u
broðrum	b r oː ð r u m
broga	b r oː ɣ ɑ
brogan	b r oː ɣ ɑ n
brogden	b r o ɣ d e n
brord	b r o rˠ d
brorda	b r o rˠ d ɑ
brordas	b r o rˠ d ɑ s
brorde	b r o rˠ d e
brordes	b r o rˠ d e s
brordum	b r o rˠ d u m
brosnast	b r o z n ɑ s t
brosnaþ	b r o z n ɑ θ
brosnian	b r o z n i ɑ n
brosniaþ	b r o z n i ɑ θ
brosnige	b r o z n i j e
brosnod	b r o z n o d
brosnode	b r o z n o d e
brosnung	b r o z n u ŋ ɡ
brosnunga	b r o z n u ŋ ɡ ɑ
brosnunge	b r o z n u ŋ ɡ e
brosnungum	b r o z n u ŋ ɡ u m
broþa	b r o ð ɑ
broþen	b r o ð e n
broþerscip	b r oː ð e r ʃ i p
broþor	b r oː ð o r
broþorbana	b r oː ð o rˠ b ɑ n ɑ
broþorbanan	b r oː ð o r b ɑ n ɑ n
broþorbanena	b r oː ð o r b ɑ n e n ɑ
broþorbanum	b r oː ð o r b ɑ n u m
broþorcwealm	b r oː ð o r k w æ͜ɑ ɫ m
broþordehter	b r oː ð o r d e ç t e r
broþordohtor	b r oː ð o r d o x t o r
broþordohtrum	b r oː ð o r d o x t r u m
broþorleas	b r oː ð o r l æ͜ɑː s
broþorlic	b r oː ð o r l iː t͡ʃ
broþorlican	b r oː ð o rˠ l iː t͡ʃ ɑ n
broþorlufe	b r oː ð o r l u v e
broþorlufu	b r oː ð o r l u v u
broþorræden	b r oː ð o r r æː d e n
broþorrædene	b r oː ð o rˠ rˠ æː d e n e
broþorsciepe	b r oː ð o r ʃ i͜y p e
broþorslege	b r oː ð o r s l e j e
broþorsuna	b r oː ð o r s u n ɑ
broþorsunu	b r oː ð o r s u n u
broþorsunum	b r oː ð o r s u n u m
broþorwif	b r oː ð o r w iː f
broþorwifa	b r oː ð o r w iː v ɑ
broþorwife	b r oː ð o r w iː v e
broþorwifes	b r oː ð o r w iː v e s
broþorwifum	b r oː ð o r w iː v u m
broþorwyrt	b r o ð o rˠ w y rˠ t
broþorwyrte	b r o ð o r w y rˠ t e
broþra	b r oː ð r ɑ
broþres	b r oː ð r e s
broþru	b r oː ð r u
broþrum	b r oː ð r u m
brucing	b r uː k i ŋ ɡ
brucinga	b r uː k i ŋ ɡ ɑ
brugdon	b r u ɣ d o n
brunbaso	b r uː n b ɑ z o
brunbasone	b r uː n b ɑ z o n e
brunbasu	b r uː n b ɑ z u
brunbaswan	b r uː n b ɑ z w ɑ n
brunbaswe	b r uː n b ɑ z w e
brunbaswum	b r uː n b ɑ z w u m
brunge	b r u ŋ ɡ e
brungen	b r u ŋ ɡ e n
brungon	b r u ŋ ɡ o n
bruþon	b r u ð o n
brycg	b r y d͡ʒ
brycgaþ	b r y d d͡ʒ ɑ θ
brycgbot	b r y d͡ʒ b oː t
brycgbota	b r y d͡ʒ b oː t ɑ
brycgbote	b r y d͡ʒ b oː t e
brycgian	b r y d d͡ʒ i ɑ n
brycgod	b r y d d͡ʒ o d
brycgode	b r y d d͡ʒ o d e
Brycgstow	b r y d͡ʒ s t oː w
Brycgstowe	b r y d͡ʒ s t oː w e
brydhlop	b r y d l̥ o p
bryht	b r y ç t
bryhtan	b r y ç t ɑ n
bryhte	b r y ç t e
bryhtra	b r y ç t r ɑ
bryhtre	b r y ç t r e
Bryning	b r yː n i ŋ ɡ
bryrdan	b r y rˠ d ɑ n
bryrþ	b r y rˠ θ
brysan	b r yː z ɑ n
brysde	b r yː z d e
brysed	b r yː z e d
bryþen	b r y ð e n
bucc	b u k
bucc	b uː k
Buccingahamscir	b u k k i ŋ ɡ ɑ h ɑː m ʃ iː r
Buccingahamscire	b u k k i ŋ ɡ ɑ h ɑː m ʃ iː r e
bufan	b u v ɑ n
bufansprecen	b u v ɑ n s p r e k e n
bugan	b uː ɣ ɑ n
buge	b uː ɣ e
buge	b u ɣ e
bugende	b uː ɣ e n d e
bugenne	b uː ɣ e n n e
bugeþ	b uː ɣ e θ
bugon	b u ɣ o n
Bulgarisca	b u ɫ ɣ ɑ r i ʃ ʃ ɑ
Bulgariscan	b u ɫ ɣ ɑ r i ʃ ʃ ɑ n
Bulgarisce	b u ɫ ɣ ɑ r i ʃ ʃ e
Bulgariscena	b u ɫ ɣ ɑ r i ʃ ʃ e n ɑ
Bulgarisces	b u ɫ ɣ ɑ r i ʃ ʃ e s
Bulgariscne	b u ɫ ɣ ɑ r i ʃ n e
Bulgariscra	b u ɫ ɣ ɑ r i ʃ r ɑ
Bulgariscre	b u ɫ ɣ ɑ r i ʃ r e
Bulgariscum	b u ɫ ɣ ɑ r i ʃ ʃ u m
bulgon	b u ɫ ɣ o n
bulle	b u ɫ ɫ e
bullon	b u ɫ ɫ o n
bulluc	b u ɫ ɫ u k
bulluce	b u ɫ ɫ u k e
burbyrde	b uː r b y rˠ d e
burcon	b u rˠ k o n
burg	b u rˠ ɣ
burga	b u rˠ ɣ ɑ
burge	b u rˠ ɣ e
burgealdor	b u rˠ ɣ æ͜ɑ ɫ d o r
burgealdra	b u rˠ ɣ æ͜ɑ ɫ d r ɑ
burgealdras	b u rˠ ɣ æ͜ɑ ɫ d r ɑ s
burgealdre	b u rˠ ɣ æ͜ɑ ɫ d r e
burgealdres	b u rˠ ɣ æ͜ɑ ɫ d r e s
burgealdrum	b u rˠ ɣ æ͜ɑ ɫ d r u m
