'ntós	n̪ t̪ o s
salir	s a l i ɾ
salmón	s a l m õ ŋ
salsu	s a l s u
saltadoriu	s a l̪ t̪ a ð̞ o ɾ j u
saltapraos	s a l̪ t̪ a p ɾ a o s
salvación	s a l β̞ a θ j õ ŋ
salváu	s a l β̞ a u̯
samartinos	s a m a ɾ t̪ i n o s
samartín	s a m a ɾ t̪ ĩ ŋ
samiguel	s a m i ɡ e l
sangre	s a ŋ ɡ ɾ e
santamarina	s ã n̪ t̪ a m a ɾ i n a
santificáu	s ã n̪ t̪ i f i k a u̯
santinos	s ã n̪ t̪ i n o s
santu	s ã n̪ t̪ u
sapu	s a p u
Sariegu	s a ɾ j e ɡ u
sastre	s a s̪ t̪ ɾ e
satisfacer	s a t̪ i s f a θ e ɾ
satisfecha	s a t̪ i s f e t͡ʃ a
satisfeches	s a t̪ i s f e t͡ʃ e s
satisfecho	s a t̪ i s f e t͡ʃ o
satisfechos	s a t̪ i s f e t͡ʃ o s
satisfechu	s a t̪ i s f e t͡ʃ u
Saturnu	s a t̪ u ɾ n u
saya	s a ʝ a
sayu	s a ʝ u
secretarios	s e k ɾ e t̪ a ɾ j o s
secretariu	s e k ɾ e t̪ a ɾ j u
secretu	s e k ɾ e t̪ u
secularizáu	s e k u l a ɾ i θ a u̯
seda	s e ð̞ a
seducida	s e ð̞ u θ i ð̞ a
seducíu	s e ð̞ u θ i u
segar	s e ɡ a ɾ
segregáu	s e ɡ ɾ e ɡ a u̯
seguridá	s e ɡ u ɾ i ð̞ a
seis	s e i̯ s
sele	s e l e
selmana	s e l m a n a
selva	s e l β̞ a
semana	s e m a n a
semear	s e m e a ɾ
semechar	s e m e t͡ʃ a ɾ
semeyar	s e m e ʝ a ɾ
sen	s ẽ ŋ
Senabria	s e n a β̞ ɾ j a
sencia	s ẽ n̟ θ j a
senciosu	s ẽ n̟ θ j o s u
Sendo	s ẽ n̪ d̪ o
sensación	s ẽ n s a θ j õ ŋ
sentar	s ẽ n̪ t̪ a ɾ
sentimientos	s ẽ n̪ t̪ i m j ẽ n̪ t̪ o s
sentimientu	s ẽ n̪ t̪ i m j ẽ n̪ t̪ u
sentái	s ẽ n̪ t̪ a i̯
sentíu	s ẽ n̪ t̪ i u
separatismu	s e p a ɾ a t̪ i z m u
separáu	s e p a ɾ a u̯
septentrión	s e p t̪ ẽ n̪ t̪ ɾ j õ ŋ
sepultura	s e p u l̪ t̪ u ɾ a
ser	s e ɾ
serena	s e ɾ e n a
seronda	s e ɾ õ n̪ d̪ a
serra	s e r a
servir	s e ɾ β̞ i ɾ
sestaferia	s e s̪ t̪ a f e ɾ j a
seta	s e t̪ a
setiembre	s e t̪ j ẽ m b ɾ e
sexismu	s e ʃ i z m u
sextaferia	s e s̪ t̪ a f e ɾ j a
sexual	s e s w a l
sexuales	s e k s w a l e s
seyes	s e ʝ e s
seña	s e ɲ a
señaldá	s e ɲ a l̪ d̪ a
señardá	s e ɲ a ɾ ð̞ a
Sidora	s i ð̞ o ɾ a
Sidoro	s i ð̞ o ɾ o
sidra	s i ð̞ ɾ a
sidru	s i ð̞ ɾ u
sieglu	s j e ɡ l u
siempre	s j ẽ m p ɾ e
Siero	s j e ɾ o
sierpe	s j e ɾ p e
significáu	s i ɡ n i f i k a u̯
siguíu	s i ɡ i u
simbolismu	s ĩ m b o l i z m u
simios	s i m j o s
simiu	s i m j u
simple	s ĩ m p l e
simplificáu	s ĩ m p l i f i k a u̯
simuláu	s i m u l a u̯
sinagoga	s i n a ɡ o ɡ a
Sindo	s ĩ n̪ d̪ o
Singapur	s i ŋ ɡ a p u ɾ
sinónimu	s i n o n i m u
sirena	s i ɾ e n a
sistema	s i s̪ t̪ e m a
sitios	s i t̪ j o s
sitiu	s i t̪ j u
situación	s i t̪ w a θ j õ ŋ
siya	s i ʝ a
sobre	s o β̞ ɾ e
sobrepuerta	s o β̞ ɾ e p w e ɾ t̪ a
Sobrescobiu	s o β̞ ɾ e s k o β̞ j u
sobrina	s o β̞ ɾ i n a
sobrín	s o β̞ ɾ ĩ ŋ
social	s o θ j a l
socialismu	s o θ j a l i z m u
socialista	s o θ j a l i s̪ t̪ a
socialistes	s o θ j a l i s̪ t̪ e s
socializáu	s o θ j a l i θ a u̯
socu	s o k u
sodiu	s o ð̞ j u
sofitu	s o f i t̪ u
soga	s o ɡ a
Sole	s o l e
solitario	s o l i t̪ a ɾ j o
sollutar	s o ʎ u t̪ a ɾ
solmenar	s o l m e n a ɾ
solo	s o l o
solombra	s o l õ m b ɾ a
soltero	s o l̪ t̪ e ɾ o
solícito	s o l i θ i t̪ o
sombra	s õ m b ɾ a
sombría	s õ m b ɾ i a
somear	s o m e a ɾ
someñar	s o m e ɲ a ɾ
Somiedo	s o m j e ð̞ o
Somiedu	s o m j e ð̞ u
soníu	s o n i u
sopa	s o p a
sorber	s o ɾ β̞ e ɾ
sorprender	s o ɾ p ɾ ẽ n̪ d̪ e ɾ
sorpresa	s o ɾ p ɾ e s a
soscritu	s o s k ɾ i t̪ u
sospirar	s o s p i ɾ a ɾ
sostener	s o s̪ t̪ e n e ɾ
sostenida	s o s̪ t̪ e n i ð̞ a
sosteníu	s o s̪ t̪ e n i u
soterramientu	s o t̪ e r a m j ẽ n̪ t̪ u
soterramientu	s u t̪ e r a m j ẽ n̪ t̪ u
soterrar	s o t̪ e r a ɾ
soterrar	s u t̪ e r a ɾ
sovietizáu	s o β̞ j e t̪ i θ a u̯
soviética	s o β̞ j e t̪ i k a
soviéticos	s o β̞ j e t̪ i k o s
soñar	s o ɲ a ɾ
sportinguista	e s p o ɾ t̪ i ŋ ɡ i s̪ t̪ a
suañar	s w a ɲ a ɾ
suañu	s w a ɲ u
suaḥili	s w a h i l i
sucio	s u θ j o
suelta	s w e l̪ t̪ a
sueltes	s w e l̪ t̪ e s
suelto	s w e l̪ t̪ o
sueltos	s w e l̪ t̪ o s
sueltu	s w e l̪ t̪ u
suicidiu	s w i θ i ð̞ j u
Suiza	s w i θ a
suizu	s w i θ u
sumar	s u m a ɾ
sumear	s u m e a ɾ
sumichar	s u m i t͡ʃ a ɾ
suplicáu	s u p l i k a u̯
suprimida	s u p ɾ i m i ð̞ a
suprimíu	s u p ɾ i m i u
supuestamente	s u p w e s̪ t̪ a m ẽ n̪ t̪ e
supuesto	s u p w e s̪ t̪ o
supuestos	s u p w e s̪ t̪ o s
supuestu	s u p w e s̪ t̪ u
sur	s u ɾ
suspendíu	s u s p ẽ n̪ d̪ i u
sustancia	s u s̪ t̪ ã n̟ θ j a
suxerencia	s u ʃ e ɾ ẽ n̟ θ j a
suxerencies	s u ʃ e ɾ ẽ n̟ θ j e s
suxerir	s u ʃ e ɾ i ɾ
suétanu	s w e t̪ a n u
sátiru	s a t̪ i ɾ u
síliz	s i l i θ
síntoma	s ĩ n̪ t̪ o m a
sío	s i o
sólido	s o l i ð̞ o
tabal	t̪ a β̞ a l
tabayal	t̪ a β̞ a ʝ a l
tabayón	t̪ a β̞ a ʝ õ ŋ
taburete	t̪ a β̞ u ɾ e t̪ e
tacha	t̪ a t͡ʃ a
tafuñu	t̪ a f u ɲ u
Tailandia	t̪ a i̯ l ã n̪ d̪ j a
talega	t̪ a l e ɡ a
tamboriteru	t̪ ã m b o ɾ i t̪ e ɾ u
Tameza	t̪ a m e θ a
tamién	t̪ a m j ẽ ŋ
Tano	t̪ a n o
tanza	t̪ ã n̟ θ a
tapaboques	t̪ a p a β̞ o k e s
Tapia	t̪ a p j a
Taramundi	t̪ a ɾ a m ũ n̪ d̪ i
tardíu	t̪ a ɾ ð̞ i u
Taresa	t̪ a ɾ e s a
tarrecible	t̪ a r e θ i β̞ l e
tarta	t̪ a ɾ t̪ a
tas	t̪ a s
tastiar	t̪ a s̪ t̪ j a ɾ
tatexar	t̪ a t̪ e ʃ a ɾ
taxi	t̪ a s i
tayador	t̪ a ʝ a ð̞ o ɾ
tayella	t̪ a ʝ e ʎ a
tayuelu	t̪ a ʝ w e l u
tañer	t̪ a ɲ e ɾ
teatru	t̪ e a t̪ ɾ u
Teberga	t̪ e β̞ e ɾ ɡ a
tecla	t̪ e k l a
teitu	t̪ e i̯ t̪ u
televisión	t̪ e l e β̞ i s j õ ŋ
televisor	t̪ e l e β̞ i s o ɾ
teléfanu	t̪ e l e f a n u
teléfonu	t̪ e l e f o n u
temperatura	t̪ ẽ m p e ɾ a t̪ u ɾ a
templu	t̪ ẽ m p l u
tenedor	t̪ e n e ð̞ o ɾ
tenida	t̪ e n i ð̞ a
tenllera	t̪ ẽ ɲ ʎ e ɾ a
tenlleres	t̪ ẽ ɲ ʎ e ɾ e s
teníu	t̪ e n i u
termináu	t̪ e ɾ m i n a u̯
terraza	t̪ e r a θ a
terrorismu	t̪ e r o ɾ i z m u
testeru	t̪ e s̪ t̪ e ɾ u
testu	t̪ e s̪ t̪ u
testículu	t̪ e s̪ t̪ i k u l u
tesu	t̪ e s u
teunoloxía	t̪ ø u n o l o ʃ i a
teunolóxicu	t̪ ø u n o l o ʃ i k u
teyu	t̪ e ʝ u
teyáu	t̪ e ʝ a u̯
teóricu	t̪ e o ɾ i k u
ti	t̪ i
tiburón	t̪ i β̞ u ɾ õ ŋ
tica	t̪ i k a
tierra	t̪ j e r a
Tierra	t̪ j e r a
tierres	t̪ j e r e s
tierrina	t̪ j e r i n a
tiesta	t̪ j e s̪ t̪ a
tiestes	t̪ j e s̪ t̪ e s
tiestu	t̪ j e s̪ t̪ u
tiestu	t̪ j e s̪ t̪ u
tiesu	t̪ j e s u
Tifón	t̪ i f õ ŋ
tigre	t̪ i ɡ ɾ e
Tilde	t̪ i l̪ d̪ e
timones	t̪ i m o n e s
timón	t̪ i m õ ŋ
Tina	t̪ i n a
tinglar	t̪ i ŋ ɡ l a ɾ
Tino	t̪ i n o
tinta	t̪ ĩ n̪ t̪ a
tinu	t̪ i n u
Tinéu	t̪ i n ø u
tipu	t̪ i p u
tique	t̪ i k e
Tista	t̪ i s̪ t̪ a
tixela	t̪ i ʃ e l a
tixella	t̪ i ʃ e ʎ a
tixileiru	t̪ i ʃ i l e i̯ ɾ u
tiz	t̪ i θ
tiza	t̪ i θ a
tiñir	t̪ i ɲ i ɾ
tiñosu	t̪ i ɲ o s u
tocan	t̪ o k ã ŋ
tocar	t̪ o k a ɾ
tochu	t̪ o t͡ʃ u
tocín	t̪ o θ ĩ ŋ
toleráu	t̪ o l e ɾ a u̯
tomate	t̪ o m a t̪ e
tomáu	t̪ o m a u̯
too	t̪ o o
topográfica	t̪ o p o ɡ ɾ a f i k a
topográficos	t̪ o p o ɡ ɾ a f i k o s
topográficu	t̪ o p o ɡ ɾ a f i k u
torbolín	t̪ o ɾ β̞ o l ĩ ŋ
torbón	t̪ o ɾ β̞ õ ŋ
torga	t̪ o ɾ ɡ a
tormenta	t̪ o ɾ m ẽ n̪ t̪ a
tormentes	t̪ o ɾ m ẽ n̪ t̪ e s
torniellu	t̪ o ɾ n j e ʎ u
tornáu	t̪ o ɾ n a u̯
torturáu	t̪ o ɾ t̪ u ɾ a u̯
toru	t̪ o ɾ u
tostador	t̪ o s̪ t̪ a ð̞ o ɾ
tostar	t̪ o s̪ t̪ a ɾ
total	t̪ o t̪ a l
totalitarismu	t̪ o t̪ a l i t̪ a ɾ i z m u
trabachar	t̪ ɾ a β̞ a t͡ʃ a ɾ
trabayar	t̪ ɾ a β̞ a ʝ a ɾ
trabayu	t̪ ɾ a β̞ a ʝ u
trabayucar	t̪ ɾ a β̞ a ʝ u k a ɾ
trabayáu	t̪ ɾ a β̞ a ʝ a u̯
trabucar	t̪ ɾ a β̞ u k a ɾ
trabáu	t̪ ɾ a β̞ a u̯
tradicional	t̪ ɾ a ð̞ i θ j o n a l
tradición	t̪ ɾ a ð̞ i θ j õ ŋ
traducción	t̪ ɾ a ð̞ u k θ j õ ŋ
traducida	t̪ ɾ a ð̞ u θ i ð̞ a
traducir	t̪ ɾ a ð̞ u θ i ɾ
traductor	t̪ ɾ a ð̞ u k t̪ o ɾ
traducíu	t̪ ɾ a ð̞ u θ i u
tragar	t̪ ɾ a ɡ a ɾ
tranlará	t̪ ɾ ã n l a ɾ a
transistor	t̪ ɾ ã n s i s̪ t̪ o ɾ
transistores	t̪ ɾ ã n s i s̪ t̪ o ɾ e s
Transnistria	t̪ ɾ ã n z n i s̪ t̪ ɾ j a
traquiar	t̪ ɾ a k j a ɾ
trasgu	t̪ ɾ a z ɡ u
tratáu	t̪ ɾ a t̪ a u̯
trayer	t̪ ɾ a ʝ e ɾ
trayida	t̪ ɾ a ʝ i ð̞ a
trayíes	t̪ ɾ a ʝ i e s
trayíu	t̪ ɾ a ʝ i u
traída	t̪ ɾ a i ð̞ a
trece	t̪ ɾ e θ e
trecenu	t̪ ɾ e θ e n u
trelce	t̪ ɾ e l̟ θ e
tren	t̪ ɾ ẽ ŋ
trena	t̪ ɾ e n a
treneru	t̪ ɾ e n e ɾ u
trenista	t̪ ɾ e n i s̪ t̪ a
tres	t̪ ɾ e s
trescritu	t̪ ɾ e s k ɾ i t̪ u
tresferíu	t̪ ɾ e s f e ɾ i u
tresformación	t̪ ɾ e s f o ɾ m a θ j õ ŋ
tresmitida	t̪ ɾ e z m i t̪ i ð̞ a
tresmitíu	t̪ ɾ e z m i t̪ i u
trespuesta	t̪ ɾ e s p w e s̪ t̪ a
trespuestes	t̪ ɾ e s p w e s̪ t̪ e s
trespuesto	t̪ ɾ e s p w e s̪ t̪ o
trespuestos	t̪ ɾ e s p w e s̪ t̪ o s
trespuestu	t̪ ɾ e s p w e s̪ t̪ u
trichar	t̪ ɾ i t͡ʃ a ɾ
trigu	t̪ ɾ i ɡ u
tripa	t̪ ɾ i p a
trispoutar	t̪ ɾ i s p o u̯ t̪ a ɾ
triyar	t̪ ɾ i ʝ a ɾ
trompeta	t̪ ɾ õ m p e t̪ a
truébanu	t̪ ɾ w e β̞ a n u
turismu	t̪ u ɾ i z m u
turista	t̪ u ɾ i s̪ t̪ a
turistes	t̪ u ɾ i s̪ t̪ e s
turrar	t̪ u r a ɾ
tía	t̪ i a
tíes	t̪ i e s
tíos	t̪ i o s
tíu	t̪ i u
Ucrania	u k ɾ a n j a
ufanu	u f a n u
Ulieses	u l j e s e s
Ulises	u l i s e s
un	ũ ŋ
una	u n a
unda	ũ n̪ d̪ a
unicorniu	u n i k o ɾ n j u
unifica	u n i f i k a
unificada	u n i f i k a ð̞ a
unificar	u n i f i k a ɾ
unificáu	u n i f i k a u̯
universidá	u n i β̞ e ɾ s i ð̞ a
untu	ũ n̪ t̪ u
unu	u n u
unviu	ũ m b j u
upar	u p a ɾ
Uranu	u ɾ a n u
urbanizada	u ɾ β̞ a n i θ a ð̞ a
urbanizáu	u ɾ β̞ a n i θ a u̯
urna	u ɾ n a
Uruguay	u ɾ u ɡ w a i̯
Uruguái	u ɾ u ɡ w a i̯
use	u s e
usual	u s w a l
usáu	u s a u̯
utensilios	u t̪ ẽ n s i l j o s
utensiliu	u t̪ ẽ n s i l j u
utilizáu	u t̪ i l i θ a u̯
uva	u β̞ a
Uviedo	u β̞ j e ð̞ o
Uvieo	u β̞ j e o
Uviéu	u β̞ j ø u
vaca	b a k a
vaciar	b a θ j a ɾ
vacunas	b a k u n a s
vacío	b a θ i o
vacíos	b a θ i o s
vacíu	b a θ i u
vagamar	b a ɡ a m a ɾ
vagar	b a ɡ a ɾ
vagoneru	b a ɡ o n e ɾ u
vagoneta	b a ɡ o n e t̪ a
vagón	b a ɡ õ ŋ
vaivá	b a i̯ β̞ a
valboniegu	b a l β̞ o n j e ɡ u
Valdeprusia	b a l̪ d̪ e p ɾ u s j a
Valdés	b a l̪ d̪ e s
valederu	b a l e ð̞ e ɾ u
valeiru	b a l e i̯ ɾ u
valeru	b a l e ɾ u
valiente	b a l j ẽ n̪ t̪ e
valtu	b a l̪ t̪ u
valume	b a l u m e
vampiru	b ã m p i ɾ u
vapor	b a p o ɾ
vaqueirada	b a k e i̯ ɾ a ð̞ a
vagoneta	b a ɡ o n e t̪ a
vagón	b a ɡ õ ŋ
vaivá	b a i̯ β̞ a
valboniegu	b a l β̞ o n j e ɡ u
Valdeprusia	b a l̪ d̪ e p ɾ u s j a
Valdés	b a l̪ d̪ e s
valederu	b a l e ð̞ e ɾ u
valeiru	b a l e i̯ ɾ u
valeru	b a l e ɾ u
valiente	b a l j ẽ n̪ t̪ e
valtu	b a l̪ t̪ u
valume	b a l u m e
vampiru	b ã m p i ɾ u
vapor	b a p o ɾ
vaqueirada	b a k e i̯ ɾ a ð̞ a
vaqueru	b a k e ɾ u
vaquina	b a k i n a
vasca	b a s k a
vasco	b a s k o
vascos	b a s k o s
vascu	b a s k u
vascuencia	b a s k w ẽ n̟ θ j a
vascuencies	b a s k w ẽ n̟ θ j e s
vascuencio	b a s k w ẽ n̟ θ j o
vascuencios	b a s k w ẽ n̟ θ j o s
vascuenciu	b a s k w ẽ n̟ θ j u
vasques	b a s k e s
vaxina	b a ʃ i n a
vecera	b e θ e ɾ a
vecín	b e θ ĩ ŋ
vehículu	b e i k u l u
vela	b e l a
velea	b e l e a
veluntá	b e l ũ n̪ t̪ a
vencer	b ẽ n̟ θ e ɾ
vencíu	b ẽ n̟ θ i u
vendíu	b ẽ n̪ d̪ i u
Venezuela	b e n e θ w e l a
venganza	b e ŋ ɡ ã n̟ θ a
vengatible	b e ŋ ɡ a t̪ i β̞ l e
venida	b e n i ð̞ a
venir	b e n i ɾ
venir	b i n i ɾ
venta	b ẽ n̪ t̪ a
ventana	b ẽ n̪ t̪ a n a
ventes	b ẽ n̪ t̪ e s
Venus	b e n u s
veníes	b e n i e s
venín	b e n ĩ ŋ
veníu	b e n i u
ver	b e ɾ
veranu	b e ɾ a n u
verde	b e ɾ ð̞ e
verifica	b e ɾ i f i k a
verificáu	b e ɾ i f i k a u̯
verrón	b e r õ ŋ
versión	b e ɾ s j õ ŋ
vertical	b e ɾ t̪ i k a l
vertíu	b e ɾ t̪ i u
veru	b e ɾ u
vexetal	b e ʃ e t̪ a l
vexetales	b e ʃ e t̪ a l e s
vezu	b e θ u
vibras	b i β̞ ɾ a s
vibráu	b i β̞ ɾ a u̯
vicesa	b i θ e s a
viceses	b i θ e s e s
viciosu	b i θ j o s u
vida	b i ð̞ a
vidaya	b i ð̞ a ʝ a
vidayes	b i ð̞ a ʝ e s
vidriu	b i ð̞ ɾ j u
vidros	b i ð̞ ɾ o s
vidru	b i ð̞ ɾ u
vientos	b j ẽ n̪ t̪ o s
vientre	b j ẽ n̪ t̪ ɾ e
vientu	b j ẽ n̪ t̪ u
viesca	b j e s k a
Viesques	b j e s k e s
vieyera	b j e ʝ e ɾ a
vieyu	b j e ʝ u
vigulín	b i ɡ u l ĩ ŋ
Villaviciosa	b i ʎ a β̞ i θ j o s a
Villayón	b i ʎ a ʝ õ ŋ
Vina	b i n a
vindicáu	b ĩ n̪ d̪ i k a u̯
vinu	b i n u
violación	b j o l a θ j õ ŋ
violencia	b j o l ẽ n̟ θ j a
virtú	b i ɾ t̪ u
virus	b i ɾ u s
virxe	b i ɾ ʃ e
visitada	b i s i t̪ a ð̞ a
visitáu	b i s i t̪ a u̯
visión	b i s j õ ŋ
vista	b i s̪ t̪ a
vistes	b i s̪ t̪ e s
vistor	b i s̪ t̪ o ɾ
vistu	b i s̪ t̪ u
visual	b i s w a l
vivida	b i β̞ i ð̞ a
vivienda	b i β̞ j ẽ n̪ d̪ a
vivu	b i β̞ u
vivíu	b i β̞ i u
vixilia	b i ʃ i l j a
viérbene	b j e ɾ β̞ e n e
vodca	b o ð̞ k a
vodques	b o ð̞ k e s
volador	b o l a ð̞ o ɾ
voláu	b o l a u̯
vosotres	b o s o t̪ ɾ e s
votar	b o t̪ a ɾ
votáu	b o t̪ a u̯
voz	b o θ
vueltu	b w e l̪ t̪ u
vuelu	b w e l u
vídeu	b i ð̞ j u
vómitu	b o m i t̪ u
xabaril	ʃ a β̞ a ɾ i l
xabaz	ʃ a β̞ a θ
xabón	ʃ a β̞ õ ŋ
xacíu	ʃ a θ i u
xaguar	ʃ a ɡ w a ɾ
Xairu	ʃ a i̯ ɾ u
Xamaica	ʃ a m a i̯ k a
Xamín	ʃ a m ĩ ŋ
xamón	ʃ a m õ ŋ
xana	ʃ a n a
Xana	ʃ a n a
Xandru	ʃ ã n̪ d̪ ɾ u
xaponés	ʃ a p o n e s
Xapón	ʃ a p õ ŋ
xaqueta	ʃ a k e t̪ a
xaraza	ʃ a ɾ a θ a
xarazar	ʃ a ɾ a θ a ɾ
xarazu	ʃ a ɾ a θ u
xardinera	ʃ a ɾ ð̞ i n e ɾ a
xardín	ʃ a ɾ ð̞ ĩ ŋ
xarelu	ʃ a ɾ e l u
xarizu	ʃ a ɾ i θ u
xarré	ʃ a r e
xaréu	ʃ a ɾ ø u
xatu	ʃ a t̪ u
xaula	ʃ a u̯ l a
xaxar	ʃ a ʃ a ɾ
xebrar	ʃ e β̞ ɾ a ɾ
xefe	ʃ e f e
xeitu	ʃ e i̯ t̪ u
Xela	ʃ e l a
Xelina	ʃ e l i n a
xelu	ʃ e l u
Xelu	ʃ e l u
Xelín	ʃ e l ĩ ŋ
xeneración	ʃ e n e ɾ a θ j õ ŋ
xeneral	ʃ e n e ɾ a l
xeneralizáu	ʃ e n e ɾ a l i θ a u̯
xenerar	ʃ e n e ɾ a ɾ
xeneráu	ʃ e n e ɾ a u̯
xenital	ʃ e n i t̪ a l
xenitivu	ʃ e n i t̪ i β̞ u
xenocidiu	ʃ e n o θ i ð̞ j u
xente	ʃ ẽ n̪ t̪ e
Xenti	ʃ ẽ n̪ t̪ i
xeográfica	ʃ e o ɡ ɾ a f i k a
xeográfico	ʃ e o ɡ ɾ a f i k o
xeográficos	ʃ e o ɡ ɾ a f i k o s
xeográficu	ʃ e o ɡ ɾ a f i k u
xeometría	ʃ e o m e t̪ ɾ i a
xerente	ʃ e ɾ ẽ n̪ t̪ e
xerigonza	ʃ e ɾ i ɡ õ n̟ θ a
xeringa	ʃ e ɾ i ŋ ɡ a
xerundiu	ʃ e ɾ ũ n̪ d̪ j u
Xesús	ʃ e s u s
xiba	ʃ i β̞ a
Xibraltar	ʃ i β̞ ɾ a l̪ t̪ a ɾ
xica	ʃ i k a
xidu	ʃ i ð̞ u
xigante	ʃ i ɡ ã n̪ t̪ e
xilecu	ʃ i l e k u
xilófonu	ʃ i l o f o n u
ximielgar	ʃ i m j e l ɡ a ɾ
ximir	ʃ i m i ɾ
ximnasiu	ʃ ĩ m n a s j u
xineru	ʃ i n e ɾ u
xinoyu	ʃ i n o ʝ u
xintar	ʃ ĩ n̪ t̪ a ɾ
xixoniegu	ʃ i ʃ o n j e ɡ u
Xixón	ʃ i ʃ õ ŋ
xiz	ʃ i θ
xornada	ʃ o ɾ n a ð̞ a
xos	ʃ o s
Xosepe	ʃ o s e p e
xostra	ʃ o s̪ t̪ ɾ a
Xosé	ʃ o s e
xoven	ʃ o β̞ ẽ ŋ
Xuacu	ʃ w a k u
xudaísmu	ʃ u ð̞ a i z m u
xudicial	ʃ u ð̞ i θ j a l
xuegu	ʃ w e ɡ u
xueves	ʃ w e β̞ e s
xuez	ʃ w e θ
xugar	ʃ u ɡ a ɾ
xugu	ʃ u ɡ u
xuiciosu	ʃ w i θ j o s u
xulgar	ʃ u l ɡ a ɾ
xunellín	ʃ u n e ʎ ĩ ŋ
xunetu	ʃ u n e t̪ u
xunicu	ʃ u n i k u
xunillón	ʃ u n i ʎ õ ŋ
xunir	ʃ u n i ɾ
xunión	ʃ u n j õ ŋ
xunque	ʃ u ŋ k e
xunta	ʃ ũ n̪ t̪ a
xuntar	ʃ ũ n̪ t̪ a ɾ
xuntes	ʃ ũ n̪ t̪ e s
xunto	ʃ ũ n̪ t̪ o
xuntos	ʃ ũ n̪ t̪ o s
xuntu	ʃ ũ n̪ t̪ u
xunu	ʃ u n u
xunucu	ʃ u n u k u
xuníu	ʃ u n i u
Xurde	ʃ u ɾ ð̞ e
xusta	ʃ u s̪ t̪ a
xusteza	ʃ u s̪ t̪ e θ a
xusticia	ʃ u s̪ t̪ i θ j a
xustificar	ʃ u s̪ t̪ i f i k a ɾ
xustificáu	ʃ u s̪ t̪ i f i k a u̯
Xusé	ʃ u s e
xuvenil	ʃ u β̞ e n i l
xuzgar	ʃ u θ̬ ɡ a ɾ
xándal	ʃ ã n̪ d̪ a l
xándalu	ʃ ã n̪ d̪ a l u
xóvenes	ʃ o β̞ e n e s
Xúpiter	ʃ u p i t̪ e ɾ
y	i
ya	ɟ͡ʝ a
ye	ɟ͡ʝ e
Yemen	ɟ͡ʝ e m ẽ ŋ
yera	ɟ͡ʝ e ɾ a
yoga	ɟ͡ʝ o ɡ a
yustapuesta	ɟ͡ʝ u s̪ t̪ a p w e s̪ t̪ a
yustapuestes	ɟ͡ʝ u s̪ t̪ a p w e s̪ t̪ e s
yustapuesto	ɟ͡ʝ u s̪ t̪ a p w e s̪ t̪ o
yustapuestos	ɟ͡ʝ u s̪ t̪ a p w e s̪ t̪ o s
yustapuestu	ɟ͡ʝ u s̪ t̪ a p w e s̪ t̪ u
yy	ɟ͡ʝ
zambu	θ ã m b u
zapatu	θ a p a t̪ u
zapica	θ a p i k a
zarramicar	θ a r a m i k a ɾ
zarrar	θ a r a ɾ
zarro	θ a r o
zume	θ u m e
zumu	θ u m u
zuniegu	θ u n j e ɡ u
zurdiella	θ u ɾ ð̞ j e ʎ a
zurdielles	θ u ɾ ð̞ j e ʎ e s
zurdiello	θ u ɾ ð̞ j e ʎ o
zurdiellos	θ u ɾ ð̞ j e ʎ o s
zurdiellu	θ u ɾ ð̞ j e ʎ u
zurdir	θ u ɾ ð̞ i ɾ
zurraquiar	θ u r a k j a ɾ
zurriaga	θ u r j a ɡ a
zuécalu	θ w e k a l u
á	a
ácida	a θ i ð̞ a
ácides	a θ i ð̞ e s
ácido	a θ i ð̞ o
ácidos	a θ i ð̞ o s
ácidu	a θ i ð̞ u
águila	a ɡ i l a
ánima	a n i m a
ánxel	ã ɲ ʃ e l
árabe	a ɾ a β̞ e
árbol	a ɾ β̞ o l
área	a ɾ e a
área	a ɾ j a
árees	a ɾ j e s
épico	e p i k o
época	e p o k a
í	i
ñabu	ɲ a β̞ u
ñalga	ɲ a l ɡ a
ñalgazu	ɲ a l ɡ a θ u
ñata	ɲ a t̪ a
ñau	ɲ a u̯
ñaña	ɲ a ɲ a
ñañes	ɲ a ɲ e s
ñaño	ɲ a ɲ o
ñaños	ɲ a ɲ o s
ñañu	ɲ a ɲ u
ñerbatu	ɲ e ɾ β̞ a t̪ u
ñeru	ɲ e ɾ u
ñeta	ɲ e t̪ a
ñetes	ɲ e t̪ e s
ñetos	ɲ e t̪ o s
ñetu	ɲ e t̪ u
ñeve	ɲ e β̞ e
ñocla	ɲ o k l a
ñunca	ɲ u ŋ k a
ñáriga	ɲ a ɾ i ɡ a
ñíu	ɲ i u
ñúmeru	ɲ u m e ɾ u
ó	o
óptica	o p t̪ i k a
óptico	o p t̪ i k o
ópticu	o p t̪ i k u
ósmosis	o z m o s i s
último	u l̪ t̪ i m o
últimu	u l̪ t̪ i m u
Ḥ	h
Ḥ	x
ḥ	h
ḥ	x
ḥacer	h a θ e ɾ
ḥarca	h a ɾ k a
ḥayadizu	h a ʝ a ð̞ i θ u
ḥelechu	h e l e t͡ʃ u
ḥer	h e ɾ
ḥerida	h e ɾ i ð̞ a
ḥispiar	h i s p j a ɾ
ḥiyáu	h i ʝ a u̯
ḥuebu	h w e β̞ u
ḥuego	h w e ɡ o
ḥuegu	h w e ɡ u
ḥueu	h w ø u
ḥuöu	h w ø u̯
ḷḷ	t͡s
ḷḷ	d ʐ
ḷḷ	t ʂ
ḷḷ	ɖ
