aa	aː
dwellynge	d w ɛ l i n ɡ
dwergh	d w ɛ r x
dwergh	d w ɛ r f
dwergh	d w ɛ r i u̯
dwergh	d w ɛ r iː
dwergh	d w a r x
dwergh	d w ɛ r x
dwynen	d w iː n ə n
dyamaunt	d iː a m a u̯ n t
dyamaunt	d iː a m a n t
dyamaunt	d iː a m a u̯ n t
dyamaunt	d iː a m a n t
dyaper	d iː a p ə r
dyaper	d iː a p r ə
dyapren	d iː a p ə r ə n
dyapren	d iː a p r ə n
dyggar	d i ɡ ə r
dyne	d i n ə
dyne	d i n
dyne	d eː n ə
dyne	d eː n
dyne	d y n ə
dyne	d y n
dyne	d œ n ə
dyne	d œ n
dynen	d iː n ə n
dynen	d i n ə n
dyner	d i n eː r
dyner	d i n ə r
dyner	d iː n eː r
dyner	d iː n ə r
dysy	d i z iː
dysy	d ɛ̝ː z iː
dysy	d ɛ z iː
dysy	d eː z iː
dysy	d y z iː
ebbe	ɛ b ə
ebbe	ɛ b
ebben	ɛ b ə n
eccho	ɛ k oː
ech	ɛ̝ː t͡ʃ
ech	ɛ t͡ʃ
ech	i t͡ʃ
ech	i l k
eche	eː t͡ʃ ə
eche	eː t͡ʃ
edre	ɛː d ɾ ə
Edward	ɛ d w a r d
edy	ɛ̝ː d iː
edy	ɛ d iː
ee	ɛ̝ː
eft	ɛ f t
eg	ɛ ɡ
egal	ɛː ɡ aː l
egal	ɛ ɡ aː l
egerly	ɛː ɡ ə r l iː
egerly	ɛː ɡ ə r l iː t ʃ ə
egerly	ɛː ɡ ə r l iː t ʃ
egernesse	ɛː ɡ ə r n ɛ s
egge	ɛ d ʒ ə
egge	ɛ d ʒ
egged	ɛ d ʒ i d
egged	i ɛ d ʒ i d
egged	ɛ d ʒ ɛ d
eggement	ɛ ɡ ə m ɛ n t
eggement	ɛ ɡ m ɛ n t
eggement	ɛ ɡ ə m ɛ n t
eggement	ɛ ɡ m ɛ n t
eggen	ɛ ɡ ə n
eggyng	ɛ ɡ i n ɡ ə
eggyng	ɛ ɡ i n ɡ
egle	ɛː ɡ ə l
egle	ɛː ɡ l ə
eglenter	ɛ ɡ l ɛ n t eː r
egre	ɛː ɡ ə r
egre	ɛː ɡ r ə
egren	ɛː ɡ ə r ə n
egren	ɛː ɡ r ə n
egurdouce	ɛː ɡ ə r d uː s ə
egurdouce	ɛː ɡ ə r d uː s
eighte	æ i̯ x t ə
eighte	æ i̯ x t
eighte	a u̯ x t ə
eighte	a u̯ x t
eightetene	æ i̯ x t eː n ə
eightetene	æ i̯ x t eː n
eightetene	æ i̯ x t ə t eː n ə
eightetene	æ i̯ x t ə t eː n
eightetene	æ i̯ x t t eː n ə
eightetene	æ i̯ x t t eː n
eightetene	a u̯ x t eː n
eightetenthe	æ i̯ x t ə t ɛ n ð ə
eightetenthe	æ i̯ x t ə t ɛ n ð
eightetenthe	æ i̯ x t t ɛ n ð ə
eightetenthe	æ i̯ x t t ɛ n ð
eightetenthe	æ i̯ x t ə t eː n ð ə
eightetenthe	æ i̯ x t ə t eː n ð
eightetenthe	æ i̯ x t t eː n ð ə
eightetenthe	æ i̯ x t t eː n ð
eightetethe	æ i̯ x t ə t eː ð ə
eightetethe	æ i̯ x t ə t eː ð
eightetethe	æ i̯ x t t eː ð ə
eightetethe	æ i̯ x t t eː ð
eightethe	æ i̯ x t ə ð ə
eightethe	æ i̯ x t ə ð
eightethe	æ i̯ x t θ ə
eightethe	æ i̯ x t θ
eightethe	æ i̯ x t ə
eightethe	æ i̯ x t
eightethe	æ i̯ x θ ə
eightethe	æ i̯ x θ
eightetithe	æ i̯ x t ə t iː ð ə
eightetithe	æ i̯ x t ə t iː ð
eightetithe	æ i̯ x t t iː ð ə
eightetithe	æ i̯ x t t iː ð
eightetithe	æ i̯ x t i ð ə
eightetithe	æ i̯ x t i ð
eightety	æ i̯ x t ə t iː
eightety	æ i̯ x t t iː
eightety	a u̯ x t ə t iː
eightety	a u̯ x t t iː
eilen	æ i̯ l ə n
eiliche	æ i̯ ə l i t͡ʃ
eiliche	æ i̯ l i t͡ʃ
either	æ i̯ ð ə r
either	ɛː ð ə r
either	iː ð ə r
either	ɛ ð ə r
ek	ɛ̝ː k
el	ɛ̝ː l
el	eː l
elat	ɛː l aː t
elbowe	ɛ l b ɔ u̯ ə
elbowe	ɛ l b ɔ u̯
eldefader	e l d ə f aː d e r
ele	ɛ̞ː l ə
ele	ɛ̞ː l
ele	ɛː l ə
ele	ɛː l
ele	iː l ə
ele	iː l
elen	ɛ̞ː l ə n
elenge	ɛ l eː n d͡ʒ ə
elenge	ɛ l eː n d͡ʒ
elenge	ɛ l i n d͡ʒ ə
elenge	ɛ l i n d͡ʒ
elengely	ɛ l eː n d͡ʒ ə l iː
elengely	ɛ l eː n d͡ʒ l iː
elengely	ɛ l i n d͡ʒ ə ) l iː
elengely	ɛ l i n d͡ʒ ) l iː
elengenesse	ɛ l eː n d͡ʒ ə n ɛ s ə
elengenesse	ɛ l eː n d͡ʒ ə n ɛ s
elengenesse	ɛ l eː n d͡ʒ n ɛ s ə
elengenesse	ɛ l eː n d͡ʒ n ɛ s
elengenesse	ɛ l i n d͡ʒ ə n ɛ s ə
elengenesse	ɛ l i n d͡ʒ ə n ɛ s
elengenesse	ɛ l i n d͡ʒ n ɛ s ə
elengenesse	ɛ l i n d͡ʒ n ɛ s
elf	ɛ l f
elk	ɛ l k
ellefte	ɛ n l ɛ f t ə
ellefte	ɛ n l ɛ f t
ellefte	ɛ l ɛ f t ə
ellefte	ɛ l ɛ f t
ellefte	ɛ n l ɛ f θ ə
ellefte	ɛ n l ɛ f θ
ellefte	ɛ l ɛ f θ ə
ellefte	ɛ l ɛ f θ
ellefte	ɛ n l ɛ v ə ð ə
ellefte	ɛ n l ɛ v ə ð
ellefte	ɛ l ɛ v ə ð ə
ellefte	ɛ l ɛ v ə ð
ellern	ɛ l ə r n
elles	ɛ l ə s
elles	ɛ l s
elleven	ɛ n l ɛ v ə n
elleven	ɛ l ɛ v ə n
elleven	ɛ l ɛ̞ː v ə n
elleventhe	ɛ n l ɛ v ə n θ ə
elleventhe	ɛ n l ɛ v ə n θ
elleventhe	ɛ l ɛ v ə n θ ə
elleventhe	ɛ l ɛ v ə n θ
elleventhe	ɛ n l ɛ v ə n d ə
elleventhe	ɛ n l ɛ v ə n d
elleventhe	ɛ l ɛ v ə n d ə
elleventhe	ɛ l ɛ v ə n d
elleventhe	ɛ l ɛ̞ː v ə n θ ə
elleventhe	ɛ l ɛ̞ː v ə n θ
elleventhe	ɛ l ɛ̞ː v ə n d ə
elleventhe	ɛ l ɛ̞ː v ə n d
elm	ɛ l m
elne	ɛ l n
elne	ɛ l
elne	ɛ l ə n
elne	ɛ l n
elne	ɛ l ə n
elnen	ɛ l n ə n
elven	ɛ l v ə n
elven	a l v ə n
elven	a l v ə
elvyssh	ɛ l v i ʃ
elvyssh	a l v i ʃ
Ely	eː l iː
em	ɛː m
emeraude	ɛ m ə r a u̯ d ə
emeraude	ɛ m ə r a u̯ d
emeraude	ɛ m ə r a u̯ n t
emeraude	ɛ m ə r a n t
emeroides	ɛ m ə r u i̯ d i s
emeroides	ɛ m ə r ɔ u̯ d i s
emperice	ɛ m p ə r iː s ə
emperice	ɛ m p ə r iː s
emperice	ɛ m p ə r ɛ s ə
emperice	ɛ m p ə r ɛ s
emperice	ɛ m p ə r i s ə
emperice	ɛ m p ə r i s
emperice	ɛ m p ə r ɛ s ə
emperice	ɛ m p ə r ɛ s
emperie	ɛ m p ə r iː ə
emperie	ɛ m p ə r iː
emperie	ɛ m p ə r iː ə
emperie	ɛ m p ə r iː
emperie	a u̯ m p ə r iː ə
emperie	a u̯ m p ə r iː
emperie	a u̯ m p ə r iː ə
emperie	a u̯ m p ə r iː
emperie	i m p ə r iː ə
emperie	i m p ə r iː
emperie	i m p ə r iː ə
emperie	i m p ə r iː
emperour	ɛ m p ə r uː r
emperour	ɛ m p ə r u r
emperour	ɛ m p ə r ə r
emperour	ɛ m p ə r eː r ə
emperour	ɛ m p ə r eː r
empire	ɛ m p iː r ə
empire	ɛ m p iː r
empire	ɛ m p iː r ə
empire	ɛ m p iː r
emty	ɛ m p t iː
emty	ɛ m t iː
emty	a m p t iː
emty	a m t iː
enamoured	ɛ n a m uː r ɛ d
enamoured	ɛ n a m u r ɛ d
enamoured	ɛ n a m u r ɛ d
enbawmen	ɛ m b a u̯ m ə n
encens	ɛ n s ɛ n s
encensen	ɛ n s ɛ n s ə n
encensen	ɛ n s ɛ n s ə n
enchaufen	ɛ n t͡ʃ a u̯ f ə n
enchaufen	ɛ n t͡ʃ aː f ə n
enchauntement	ɛ n t͡ʃ a n t ə m ɛ n t
enchauntement	ɛ n t͡ʃ a n t m ɛ n t
enchauntement	ɛ n t͡ʃ a u̯ n t ə m ɛ n t
enchauntement	ɛ n t͡ʃ a u̯ n t m ɛ n t
enchauntement	ɛ n t͡ʃ a n t ə m ɛ n t
enchauntement	ɛ n t͡ʃ a n t m ɛ n t
enchauntement	ɛ n t͡ʃ a u̯ n t ə m ɛ n t
enchauntement	ɛ n t͡ʃ a u̯ n t m ɛ n t
enchaunten	ɛ n t ʃ a n t ə n
enchaunten	ɛ n t ʃ a u̯ n t ə n
enchaunteresse	ɛ n t͡ʃ a n t ə r ɛ s ə
enchaunteresse	ɛ n t͡ʃ a n t ə r ɛ s
enchaunteresse	ɛ n t͡ʃ a n t ə r ɛ s ə
enchaunteresse	ɛ n t͡ʃ a n t ə r ɛ s
enchauntour	ɛ n t ʃ a n t uː r
enchauntour	ɛ n t ʃ a n t u r
enchauntour	ɛ n t ʃ a n t ə r
enchauntynge	ɛ n t͡ʃ a n t i n ɡ ə
enchauntynge	ɛ n t͡ʃ a n t i n ɡ
enchauntynge	ɛ n t͡ʃ a u̯ n t i n ɡ ə
enchauntynge	ɛ n t͡ʃ a u̯ n t i n ɡ
enchesoun	ɛ n t͡ʃ ɛː z uː n
enchesoun	ɛ n t͡ʃ ɛː z u n
enchewen	ɛ n t͡ʃ i u̯ ə n
encompassen	ɛ n k u m p a s ə n
encres	ɛ n k r ɛː s
encres	ɛ n k r ɛ s
encresen	ɛ n k r ɛː s ə n
encresen	ɛ n k r ɛ s ə n
encresynge	ɛ n k r ɛː s i n ɡ ə
encresynge	ɛ n k r ɛː s i n ɡ
encresynge	ɛ n k r ɛ s i n ɡ ə
encresynge	ɛ n k r ɛ s i n ɡ
endamagen	ɛ n d a m aː d͡ʒ ə n
endamagen	ɛ n d a m a d͡ʒ ə n
ende	eː n d ə
ende	eː n d
ende	ɛ n d ə
ende	ɛ n d
ende	ɛ̝ː n d ə
ende	ɛ̝ː n d
ende	ɛ̞ː n ə d ə
ende	ɛ̞ː n ə d
ende	ɛ̞ː n d ə
ende	ɛ̞ː n d
ende	ɛ n ə d ə
ende	ɛ n ə d
ende	ɛ n d ə
ende	ɛ n d
endeles	eː n d ə l ɛ̝ː s
endeles	eː n d l ɛ̝ː s
endeles	ɛ n d ə l ɛ̝ː s
endeles	ɛ n d l ɛ̝ː s
endeles	eː n d ə l ɛ s
endeles	eː n d l ɛ s
endeles	ɛ n d ə l ɛ s
endeles	ɛ n d l ɛ s
endelesly	ɛː n d ə l ɛː s l iː
endelesly	ɛː n d l ɛː s l iː
endelesly	ɛ n d ə l ɛ s l iː
endelesly	ɛ n d l ɛ s l iː
endelesly	ɛː n d ə l ɛː s l iː t ʃ ə
endelesly	ɛː n d ə l ɛː s l iː t ʃ
endelesly	ɛː n d l ɛː s l iː t ʃ ə
endelesly	ɛː n d l ɛː s l iː t ʃ
endelesly	ɛː n d ə l ɛː s l iː t ʃ ə
endelesly	ɛː n d ə l ɛː s l iː t ʃ
endelesly	ɛː n d l ɛː s l iː t ʃ ə
endelesly	ɛː n d l ɛː s l iː t ʃ
endelesnesse	eː n d ə l ɛː s n ɛ s
endelesnesse	eː n d l ɛː s n ɛ s
endelesnesse	ɛ n d ə l ɛ s n ɛ s
endelesnesse	ɛ n d l ɛ s n ɛ s
endely	eː n d ə l iː
endely	eː n d l iː
endely	ɛ n d ə l iː
endely	ɛ n d l iː
endely	ɛ n d ə l i t͡ʃ ə
endely	ɛ n d ə l i t͡ʃ
endely	ɛ n d l i t͡ʃ ə
endely	ɛ n d l i t͡ʃ
enden	eː n d ə n
enden	ɛ n d ə n
endere	eː n d ə r ə
endere	eː n d ə r
endere	ɛ n d ə r ə
endere	ɛ n d ə r
endeynen	ɛ n d æ i̯ n ə n
endowable	ɛ n d uː aː b ə l
endowable	ɛ n d uː aː b l ə
endowement	ɛ n d uː ə m ɛ n t
endowement	ɛ n d uː m ɛ n t
endowen	ɛ n d uː ə n
endower	ɛ n d uː ɛː r ə
endower	ɛ n d uː ɛː r
endower	ɛ n d uː ə r ə
endower	ɛ n d uː ə r
endowynge	ɛ n d uː i n ɡ ə
endowynge	ɛ n d uː i n ɡ
endynge	eː n d i n ɡ ə
endynge	eː n d i n ɡ
endynge	ɛ n d i n ɡ ə
endynge	ɛ n d i n ɡ
endynge	eː n d u n ɡ ə
endynge	eː n d u n ɡ
endynge	ɛ n d u n ɡ ə
endynge	ɛ n d u n ɡ
ene	ɛ̝ː n ə
ene	ɛ̝ː n
enemy	ɛ n ə m iː
enemy	ɛ n m iː
enemyte	ɛ n ɛ m i t eː
enemyte	ɛ n m i t eː
enemyte	ɛ n m i t eː
enen	ɛː n ə n
enes	ɛ̝ː n ə s
enes	ɛ n ə s
enes	ɛ̝ː n s
enes	ɛ n s
enfeblen	ɛ n f eː b l ə n
enfeblisshen	ɛ n f eː b l i ʃ ə n
enformacioun	ɛ n f ɔ r m aː s i uː n
enformacioun	ɛ n f ɔ r m aː s j u n
enformen	ɛ n f ɔ r m ə n
enformen	ɛ n f uː r m ə n
enformen	ɛ n f u r m ə n
enformour	ɛ n f ɔ r m u r
enformour	ɛ n f uː r m u r
engel	eː n d͡ʒ ə l
engel	ɛ n ɡ ə l
Engelond	ɛ n ɡ ə l ɔ̝ː n d
Engle	ɛ n ɡ l ə
Englisch	ɛ n ɡ l i ʃ
Englisch	i n ɡ l i ʃ
engreynen	ɛ n ɡ r æ i̯ n ə n
enhauncen	ɛ n h a u̯ n s ə n
enhauncen	ɛ n a u̯ n s ə n
enhauncen	ɛ n h a n s ə n
enhauncen	ɛ n a n s ə n
enhauncynge	ɛ n h a u̯ n s i n ɡ ə
enhauncynge	ɛ n h a u̯ n s i n ɡ
enhauncynge	ɛ n h a n s i n ɡ ə
enhauncynge	ɛ n h a n s i n ɡ
enheritable	ɛ n ɛ r i t aː b l ə
enheritable	ɛ n ɛ r i t aː b ə l
enheritaunce	ɛ n ɛ r i t a u̯ n s ə
enheritaunce	ɛ n ɛ r i t a u̯ n s
enheritaunce	ɛ n ɛ r i t a n s ə
enheritaunce	ɛ n ɛ r i t a n s
enheritaunce	ɛ n ɛ r i t a u̯ n s ə
enheritaunce	ɛ n ɛ r i t a u̯ n s
enheritaunce	ɛ n ɛ r i t a n s ə
enheritaunce	ɛ n ɛ r i t a n s
enquest	ɛ n k w ɛ s t ə
enquest	ɛ n k w ɛ s t
enquest	i n k w ɛ s t ə
enquest	i n k w ɛ s t
enrollen	ɛ n r ɔ l ə n
enrollen	ɛ n r uː l ə n
enserche	ɛ n s ɛ r t͡ʃ ə
enserche	ɛ n s ɛ r t͡ʃ
enserchen	ɛ n s ɛː r t͡ʃ ə n
enserchen	ɛ n s ɛ r t͡ʃ ə n
ensercher	ə n s ɛː r t ʃ ə r
ensercher	ə n s ɛ r t ʃ uː r
enserching	ɛ n s ɛː r t͡ʃ i n ɡ ə
enserching	ɛ n s ɛː r t͡ʃ i n ɡ
enserching	ɛ n s ɛ r t͡ʃ i n ɡ ə
enserching	ɛ n s ɛ r t͡ʃ i n ɡ
enthrallen	ɛ n θ r a l ə n
entre	ɛ n t r eː
entre	ɛ n t r eː
entren	ɛ n t r ə n
enula	ɛ n i u̯ l aː
envenymen	ɛ n v ɛ n iː m ə n
envenymen	ɛ n v ɛ n i m ə n
envenymous	ɛ n v ɛ n ə m uː s
envenymous	ɛ n v ɛ n ə m u s
envenymous	ə n v ɛ n i m ə s
envenymynge	ɛ n v ɛ n iː m i n ɡ ə
envenymynge	ɛ n v ɛ n iː m i n ɡ
envenymynge	ɛ n v ɛ n i m i n ɡ ə
envenymynge	ɛ n v ɛ n i m i n ɡ
envie	ɛ n v iː ə
envie	ɛ n v iː
envie	ɛ n v iː ə
envie	ɛ n v iː
envien	ɛ n v iː ə n
envious	ɛ n v i uː s
envious	ɛ n v i u s
equal	ɛː k w a l
equal	ɛː k w a l
er	ɛ̝ː r
er	ɛ̝ː r
erable	ɛː r aː b ə l
erchebischop	ɛ r t͡ʃ ə b i ʃ ə p
erchebischop	ɛ r t͡ʃ b i ʃ ə p
erchebischop	a r t͡ʃ ə b i ʃ ə p
erchebischop	a r t͡ʃ b i ʃ ə p
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r iː k ə
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r iː k
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r iː t͡ʃ ə
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r iː t͡ʃ
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r i k ə
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r i k
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r i t͡ʃ ə
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r i t͡ʃ
erd	ɛ̝ː r d
ere	ɛː r ə
ere	ɛː r
eren	ɛ̞ː r ə n
eren	ɛ r i ə n
eren	ɛ r ə n
erende	ɛ r ə n d ə
erende	ɛ r ə n d
erende	ɛ r a n d ə
erende	ɛ r a n d
erende	ɛ r d ə n ə
erende	ɛ r d ə n
erende	a r d ə n ə
erende	a r d ə n
erende	ɛ̝ː r ə n d
erende	ɛ̝ː r a n d
erende	a r n d ə
erende	a r n d
erende	ɛ r n d ə
erende	ɛ r n d
erere	ɛː r ə r ə
erere	ɛː r ə r
erere	ɛ r i ə r ə
erere	ɛ r i ə r
erere	ɛ r ə r ə
erere	ɛ r ə r
ergo	ɛ r ɡ oː
eri	ɛː r iː
erl	eː r l
erl	ɛː r l
erl	ɛ r l
erl	j eː r l
erl	j ɛː r l
erl	eː r ə l
erl	ɛː r ə l
erldom	eː r l d oː m
erldom	eː r l d u m
erldom	eː r l d a m
erly	ɛː r l iː
erly	ɛ r l iː
ermyne	ɛ r m iː n ə
ermyne	ɛ r m iː n
ermyne	a r m iː n ə
ermyne	a r m iː n
ermyne	ɛ r m i n ə
ermyne	ɛ r m i n
ermyne	a r m i n ə
ermyne	a r m i n
ermyne	ɛ r m i n eː
ern	ɛ̝ː r n
ernen	ɛː r n ə n
ernen	ɛ r n ə n
erthe	eː r ð ə
erthe	eː r ð
erthe	ɛː r ð ə
erthe	ɛː r ð
erthely	eː r ð ə l iː
erthely	eː r ð l iː
erthely	ɛː r ð ə l iː
erthely	ɛː r ð l iː
erthely	ɛ r ð ə l iː
erthely	ɛ r ð l iː
erthely	ɛ r l iː
erthely	eː r l iː
erthely	ɛː r l iː
erthequake	eː r ð ə k w aː k ə
erthequake	eː r ð ə k w aː k
erthequake	eː r ð k w aː k ə
erthequake	eː r ð k w aː k
erthequake	ɛː r ð ə k w aː k ə
erthequake	ɛː r ð ə k w aː k
erthequake	ɛː r ð k w aː k ə
erthequake	ɛː r ð k w aː k
erthequake	ɛ r ð ə k w aː k ə
erthequake	ɛ r ð ə k w aː k
erthequake	ɛ r ð k w aː k ə
erthequake	ɛ r ð k w aː k
ertheward	eː r ð ə w a r d
ertheward	eː r ð w a r d
ertheward	ɛː r ð ə w a r d
ertheward	ɛː r ð w a r d
ertheward	ɛ r ð ə w a r d
ertheward	ɛ r ð w a r d
erve	ɛ r v ə
erve	ɛ r v
erve	ɛ r f ə
erve	ɛ r f
eschaufen	ɛ s t ʃ a u̯ f ə n
eschaufen	ɛ s t ʃ aː f ə n
eschaunge	ɛ s t͡ʃ a u̯ n d͡ʒ ə
eschaunge	ɛ s t͡ʃ a u̯ n d͡ʒ
eschaunge	ɛ s t͡ʃ aː n d͡ʒ ə
eschaunge	ɛ s t͡ʃ aː n d͡ʒ
eschaungen	ɛ s t͡ʃ a u̯ n d͡ʒ ə n
eschaungen	ɛ s t͡ʃ aː n d͡ʒ ə n
escheker	ɛ s t͡ʃ ɛ k eː r
escheker	ɛ s t͡ʃ ɛ k ə r
eschete	ɛ s t͡ʃ ɛː t ə
eschete	ɛ s t͡ʃ ɛː t
escheten	ɛ s t͡ʃ ɛː t ə n
escheterie	ɛ s t͡ʃ ɛː t ə r iː ə
escheterie	ɛ s t͡ʃ ɛː t ə r iː
escheterie	ɛ s t͡ʃ ɛː t ə r iː ə
escheterie	ɛ s t͡ʃ ɛː t ə r iː
eschetour	ɛ s t͡ʃ ɛː t u r
eschetour	ɛ s t͡ʃ ɛː t uː r
eschewen	ɛ s t͡ʃ i u̯ ə n
eschewen	ɛ t͡ʃ i u̯ ə n
eschewen	ɛ ʃ i u̯ ə n
eschewen	ɛ s k i u̯ ə n
est	ɛː s t
este	ɛː s t ə
este	ɛː s t
este	eː s t ə
este	eː s t
esterne	ɛː s t ə r n ə
esterne	ɛː s t ə r n
estward	ɛː s t w a r d
esy	ɛː z iː
esy	ɛ z iː
et	ɛ̝ː t
et	eː t
ete	ɛː t ə
ete	ɛː t
eten	ɛ̞ː t ə n
eternal	ɛː t ɛ r n a l
eternal	ɛ t ɛ r n a l
eternal	ɛː t ɛ r n ɛː l
eternal	ɛ t ɛ r n ɛ l
eternally	ɛː t ɛ r n a l l iː
eternally	ɛː t ɛ r n a l iː
eternally	ɛ t ɛ r n a l iː
eterne	ɛ t ɛː r n ə
eterne	ɛ t ɛː r n
eterne	ɛ t ɛ r n ə
eterne	ɛ t ɛ r n
eternyte	ɛː t ɛ r n i t eː
eternyte	ɛː t ɛ r n i t eː
ethe	ɛː ð ə
ethe	ɛː ð
ethe	eː ð ə
ethe	eː ð
ethymologie	ɛ t i m ɔ l ɔ d͡ʒ iː ə
ethymologie	ɛ t i m ɔ l ɔ d͡ʒ iː
ethymologie	ɛ t i m ə l ɔ d͡ʒ iː ə
ethymologie	ɛ t i m ə l ɔ d͡ʒ iː
etynge	ɛː t i n ɡ
eukarist	ɛ u̯ k a r i s t ə
eukarist	ɛ u̯ k a r i s t
eukarist	ɛ u̯ k a r i s t ə
eukarist	ɛ u̯ k a r i s t
eunuk	ɛ u̯ n u k
eunuk	ɛ u̯ n i u̯ k
eunuk	ɛː n i u̯ k
eure	i u̯ r ə
eure	i u̯ r
Europe	ɛ u̯ r ɔː p ə
Europe	ɛ u̯ r ɔː p
Eve	eː v ə
Eve	eː v
Eve	eː v aː
even	ɛː v ə n
even	ɛː v ə n
even	ɛː v ə
eventyde	ɛː v ə n t iː d ə
eventyde	ɛː v ə n t iː d
eventyde	ɛː v ə t iː d ə
eventyde	ɛː v ə t iː d
ever	ɛː v ə r
ever	ɛ v ə r
everichon	ɛ v ə r iː t͡ʃ ɔ̝ː n
everichon	ɛ v ə r i t͡ʃ ɔ̝ː n
everichon	ɛ v r iː t͡ʃ ɔ̝ː n
everichon	ɛ v r i t͡ʃ ɔ̝ː n
evermo	ɛ v ə r ə m ɔː
evermo	ɛ v ə r m ɔː
evermo	ɛ v r ə m ɔː
evermore	ɛ v ə r ə m ɔː r ə
evermore	ɛ v ə r ə m ɔː r
evermore	ɛ v ə r m ɔː r ə
evermore	ɛ v ə r m ɔː r
evermore	ɛ v r ə m ɔː r ə
evermore	ɛ v r ə m ɔː r
Everwik	ɛ v ə r w i k
Everwik	ɛ v ə r w i t͡ʃ
Everwik	ɛ v ə r w iː t͡ʃ
every	ɛ v ə r iː
every	ɛ v r iː
every	ɛ v ə r iː t͡ʃ
every	ɛ v r iː t͡ʃ
every	ɛ v ə r i t͡ʃ
every	ɛ v r i t͡ʃ
every	ɛ v ə r ɛ̝ː t͡ʃ
every	ɛ v r ɛ̝ː t͡ʃ
every	ɛ v ə r yː t͡ʃ
every	ɛ v r yː t͡ʃ
every	ɛ v ə r i l k
every	ɛ v r i l k
evest	ɛː v ə s t
evest	ɛ u̯ ə s t
evest	ɛ f s t
evete	ɛ v ə t ə
evete	ɛ v ə t
evete	ɛː v ə t ə
evete	ɛː v ə t
evete	ɛ f t ə
evete	ɛ f t
evete	ɛ u̯ t ə
evete	ɛ u̯ t
ew	i u̯
ew	j i u̯
ewage	ɛ u̯ a d ʒ ə
ewage	ɛ u̯ a d ʒ
ewe	ɛ u̯ ə
ewe	ɛ u̯
ewe	j ɔ u̯ ə
ewe	j ɔ u̯
ewer	ɛ u̯ eː r
ewer	ɛ u̯ ə r
ewerer	ɛ u̯ ə r ə r
ewerer	ɛ u̯ r ə r
ewerie	ɛ u̯ ə r iː ə
ewerie	ɛ u̯ ə r iː
ewerie	ɛ u̯ r iː ə
ewerie	ɛ u̯ r iː
ewerie	ɛ u̯ ə r iː ə
ewerie	ɛ u̯ ə r iː
ewerie	ɛ u̯ r iː ə
ewerie	ɛ u̯ r iː
ewilch	ɛː w i l t͡ʃ
ewilch	i w i l k
ewilch	y w i l t͡ʃ
ewrous	i u̯ r uː s
ewrous	i u̯ r u s
exaccioun	ɛ k s a k s i uː n
exaccioun	ɛ k s a k s j u n
exaumple	ɛ ɡ z a u̯ m p ə l
exaumple	ɛ ɡ z a m p ə l
exposicioun	ɛ k s p ɔː z i s j uː n
exposicioun	ɛ k s p ɔː z i s j u n
expounen	ɛ k s p uː n ə n
expounen	ɛ k s p u n ə n
expounen	ɛ k s p uː n d ə n
extenden	ɛ k s t ɛ n d ə n
extorcion	ɛ k s t ɔ r s j uː n
extorcion	ə k s t ɔ r s j u n
extre	a k s t r eː
extre	ɛ k s t r eː
ey	æ i̯
eye	eː ɣ ə
eye	eː j ə
eye	e i̯ ə
eye	e i̯
eye	iː ə
eye	iː
eye	e i̯
eye	eː
eye	ɛ j ə
eye	æ i̯ ə
eye	æ i̯
eyed	e i̯ ə d
eyed	iː ə d
eyeful	æ i̯ ə f u l
eyeful	æ i̯ f u l
eymynge	æ i̯ m i n ɡ
face	f aː s ə
face	f aː s
facioun	f a s j uː n
facioun	f a s j u n
facioun	f a s uː n
facioun	f a s u n
facioun	f a k s j uː n
facioun	f a k s j u n
faculte	f a k u l t eː
faculte	f a k u l t eː
faden	f aː d ə n
fader	f a d ə r
fader	f aː d ə r
fader	f a ð ə r
fader	f aː ð ə r
faderhode	f a d ə r h ɛː d
faderhode	f a d ə r h ɔː d
faderhode	f aː d ə r h oː d
faderles	f a d ə r l ɛ̝ː s
faderles	f aː d ə r l ɛ̝ː s
faderles	v ɛ d ə r l ɛ̝ː s
faderly	f a d ə r l iː
faderly	f aː d ə r l iː
fadren	f a d ə r ə n
fadren	f a d r ə n
fadren	f aː d ə r ə n
fadren	f aː d r ə n
fage	f aː d͡ʒ ə
fage	f aː d͡ʒ
fage	f a d͡ʒ ə
fage	f a d͡ʒ
fagen	f aː d͡ʒ ə n
fagen	f a d͡ʒ ə n
fagot	f a ɡ ɔ t
fagot	f a ɡ ə t
fagot	f a k ə t
faie	f æ i̯ ə
faie	f æ i̯
faierie	f æ i̯ ə r i ə
faierie	f æ i̯ ə r i
faierie	f æ i̯ r i ə
faierie	f æ i̯ r i
faierie	f æ i̯ ə r i ə
faierie	f æ i̯ ə r i
faierie	f æ i̯ r i ə
faierie	f æ i̯ r i
fain	f æ i̯ n
fal	f a l
fallen	f a l ə n
fals	f a l s
fals	f a u̯ l s
fals	f a u̯ s
falwen	f a l w ə n
falwen	f a l ɔ u̯ ə n
falwen	f a l ɔ u̯ n
