'day	d a i
eskandaloso	ʔ e s k a n d a l o s o
eskaparate	ʔ e s k a p a ɾ a t e
eskapularyo	ʔ e s k a p u l a ɾ j o
eskina	ʔ e s k i n a
eskinita	ʔ e s k i n i t a
eskoba	ʔ e s k o b a
eskolar	ʔ e s k o l a ɾ
eskosya	ʔ e s k o s j a
eskriba	ʔ e s k ɾ i b a
eskrima	ʔ e s k ɾ i m a
eskultor	ʔ e s k u l t o ɾ
eskultura	ʔ e s k u l t u ɾ a
eskuwela	ʔ e s k u e l a
eskuwelahan	ʔ e s k u e l a h a n
eskwela	ʔ e s k w e l a
eslobakya	ʔ e s l o b a k j a
eslobenya	ʔ e s l o b e n j a
esmalte	ʔ e s m a l t e
esmeralda	ʔ e s m e ɾ a l d a
esmeril	ʔ e s m e ɾ i l
esopago	ʔ e s o p a ɡ o
espada	ʔ e s p a d a
espadahan	ʔ e s p a d a h a n
espantaho	ʔ e s p a n t a h o
espanya	ʔ e s p a n j a
espanyol	ʔ e s p a n j o l
espanyola	ʔ e s p a n j o l a
esparago	ʔ e s p a ɾ a ɡ o
espasol	ʔ e s p a s o l
espasyo	ʔ e s p a s j o
españa	ʔ e s p a ɲ a
esperanto	ʔ e s p e ɾ a n t o
esperma	ʔ e s p e ɾ m a
espesyal	ʔ e s p e s j a l
espesyalista	ʔ e s p e s j a l i s t a
espina	ʔ e s p i n a
espinaka	ʔ e s p i n a k a
espinghe	ʔ e s p i ŋ h e
espinoza	ʔ e s p i n o s a
espiritu	ʔ e s p i ɾ i t u
espiritwalidad	ʔ e s p i ɾ i t w a l i d a d
espiya	ʔ e s p i a
espiya	ʔ e s p i a
espongha	ʔ e s p o ŋ h a
esquivel	ʔ e s k i b e l
estabillo	ʔ e s t a b i l l o
establisimiyento	ʔ e s t a b l i s i m i e n t o
establisimyento	ʔ e s t a b l i s i m j e n t o
estampa	ʔ e s t a m p a
estampita	ʔ e s t a m p i t a
estante	ʔ e s t a n t e
estapa	ʔ e s t a p a
estapador	ʔ e s t a p a d o ɾ
estasyon	ʔ e s t a s j o n
estatwa	ʔ e s t a t w a
este	ʔ e s t e
estero	ʔ e s t e ɾ o
estetoskopyo	ʔ e s t e t o s k o p j o
estilo	ʔ e s t i l o
estola	ʔ e s t o l a
estonya	ʔ e s t o n j a
estorbo	ʔ e s t o ɾ b o
estrada	ʔ e s t ɾ a d a
estratehiko	ʔ e s t ɾ a t e h i k o
estratehiya	ʔ e s t ɾ a t e h i a
estratehiya	ʔ e s t ɾ a t e h i a
estrella	ʔ e s t ɾ e l l a
estrikto	ʔ e s t ɾ i k t o
estronsiyo	ʔ e s t ɾ o n s i o
estruktura	ʔ e s t ɾ u k t u ɾ a
estudyante	ʔ e s t u d j a n t e
etika	ʔ e t i k a
etiyopiya	ʔ e t i o p i a
eto	ʔ e t o
eugenio	j u h e n j o
eva	ʔ e b a
ewan	ʔ e w a n
exconde	ʔ e k s k o n d e
eyre	ʔ e i ɾ e
ezra	ʔ e s ɾ a
fabregas	f a b ɾ e ɡ a s
fabros	f a b ɾ o s
fajardo	p a h a ɾ d o
falcon	f a l k o n
faltado	f a l t a d o
felicidad	f e l i s i d a d
fernandez	f e ɾ n a n d e s
ferriols	f e ɾ ɾ i o l s
festejo	p e s t e h o
figueras	p i ɡ e ɾ a s
figueroa	f i ɡ e ɾ o a
filipina	f i l i p i n a
filipinas	f i l i p i n a s
filipino	f i l i p i n o
flojo	p l o h o
flora	f l o ɾ a
florence	p l o ɾ e n s
flores	f l o ɾ e s
fojas	p o h a s
fonacier	f o n a s i e ɾ
fontelera	f o n t e l e ɾ a
fontillas	p o n t i l j a s
forteza	f o ɾ t e s a
fortich	f o ɾ t i t͡ʃ
franco	f ɾ a n k o
frias	f ɾ i a s
fronda	f ɾ o n d a
fuentebella	p u e n t e b e l j a
fulgencio	f u l h e n s j o
fung	f u ŋ
furagganan	f u ɾ a ɡ ɡ a n a n
futbol	f u t b o l
ga	ɡ a
gaan	ɡ a ʔ a n
gaano	ɡ a ʔ a n o
gaano	ɡ a ʔ a n o
gaas	ɡ a ʔ a s
gaban	ɡ a b a n
gabay	ɡ a b a i
gabi	ɡ a b i
gabi	ɡ a b i
gabiana	ɡ a b i a n a
gabinete	ɡ a b i n e t e
gabok	ɡ a b o k
gabon	ɡ a b o n
gabriel	ɡ a b ɾ i e l
gabrielle	ɡ a b ɾ i e l l e
gabya	ɡ a b j a
gacula	ɡ a k u l a
gacusan	ɡ a k u s a n
gacutan	ɡ a k u t a n
gadgad	ɡ a d ɡ a d
gadya	ɡ a d j a
gaffud	ɡ a f f u d
gaga	ɡ a ɡ a
gaga	ɡ a ɡ a
gagad	ɡ a ɡ a d
gagamba	ɡ a ɡ a m b a
gagapang	ɡ a ɡ a p a ŋ
gagapang	ɡ a ɡ a p a ŋ
gago	ɡ a ɡ o
gaguhin	ɡ a ɡ u h i n
gahak	ɡ a h a k
gahak	ɡ a h a k
gahaman	ɡ a h a m a n
gahaman	ɡ a h a m a n
gahasa	ɡ a h a s a ʔ
gahasa	ɡ a h a s a ʔ
gahi	ɡ a h i ʔ
gahi	ɡ a h i ʔ
gahol	ɡ a h o l
gahol	ɡ a h o l
gahum	ɡ a h u m
gahumay	ɡ a h u m a i
gakgak	ɡ a k ɡ a k
gala	ɡ a l a ʔ
gala	ɡ a l a ʔ
gala	ɡ a l a
galabok	ɡ a l a b o k
galagala	ɡ a l a ɡ a l a
galagala	ɡ a l a ɡ a l a
galaiti	ɡ a l a ʔ i t i
galak	ɡ a l a k
galakgak	ɡ a l a k ɡ a k
galalan	ɡ a l a l a n
galalan	ɡ a l a l a n
galamay	ɡ a l a m a i
galang	ɡ a l a ŋ
galang	ɡ a l a ŋ
galanggalangan	ɡ a l a ŋ ɡ a l a ŋ a n
galante	ɡ a l a n t e
galapong	ɡ a l a p o ŋ
galauran	ɡ a l a ʔ u ɾ a n
galaw	ɡ a l a u
galaw	ɡ a l a u
galawan	ɡ a l a w a n
galawgaw	ɡ a l a u ɡ a u
galawin	ɡ a l a w i n
gales	ɡ a l e s
gales	ɡ a l e s
galgal	ɡ a l ɡ a l
galing	ɡ a l i ŋ
galing	ɡ a l i ŋ
galis	ɡ a l i s
galit	ɡ a l i t
galit	ɡ a l i t
galitin	ɡ a l i t i n
gallo	ɡ a l j o
galon	ɡ a l o n
galong	ɡ a l o ŋ
galos	ɡ a l o s
galugad	ɡ a l u ɡ a d
galugad	ɡ a l u ɡ a d
galunggong	ɡ a l u ŋ ɡ o ŋ
galusgos	ɡ a l u s ɡ o s
gamay	ɡ a m a i
gamay	ɡ a m a i
gambagamba	ɡ a m b a ɡ a m b a
gambala	ɡ a m b a l a ʔ
gambala	ɡ a m b a l a ʔ
gambang	ɡ a m b a ŋ
gambi	ɡ a m b i
gamboa	ɡ a m b o a
gambol	ɡ a m b o l
gamit	ɡ a m i t
gamit	ɡ a m i t
gamos	ɡ a m o s
gamot	ɡ a m o t
gamugamo	ɡ a m u ɡ a m o
gamutin	ɡ a m u t i n
gan	ɡ a n
gana	ɡ a n a
gana	ɡ a n a
ganap	ɡ a n a p
gancayco	ɡ a n k a i k o
ganda	ɡ a n d a
gangsa	ɡ a ŋ s a
gangsal	ɡ a ŋ s a l
ganid	ɡ a n i d
ganire	ɡ a n i ɾ e
ganiri	ɡ a n i ɾ i
ganito	ɡ a n i t o
ganiyan	ɡ a n i a n
ganoon	ɡ a n o ʔ o n
ganoon	ɡ a n o n
gansa	ɡ a n s a ʔ
gansa	ɡ a n s a
gansal	ɡ a n s a l
ganta	ɡ a n t a
ganta	ɡ a n t a
ganti	ɡ a n t i
gantihan	ɡ a n t i h a n
gantihan	ɡ a n t i h a n
gantimpala	ɡ a n t i m p a l a ʔ
gantso	ɡ a n t͡ʃ o
ganyak	ɡ a n j a k
ganyan	ɡ a n j a n
ganzon	ɡ a n s o n
gao	ɡ a o
gaod	ɡ a ʔ o d
gaong	ɡ a ʔ o ŋ
gaong	ɡ a ʔ o ŋ
gapang	ɡ a p a ŋ
gapang	ɡ a p a ŋ
gapi	ɡ a p i ʔ
gapi	ɡ a p i ʔ
gapo	ɡ a p o
gapo	ɡ a p o ʔ
gapok	ɡ a p o k
gapok	ɡ a p o k
gapong	ɡ a p o ŋ
gapong	ɡ a p o ŋ
gapos	ɡ a p o s
gapos	ɡ a p o s
gara	ɡ a ɾ a ʔ
garahe	ɡ a ɾ a h e
garalde	ɡ a ɾ a l d e
garapal	ɡ a ɾ a p a l
garapata	ɡ a ɾ a p a t a
garapon	ɡ a ɾ a p o n
garay	ɡ a ɾ a i
garay	ɡ a ɾ a i
garay	ɡ a ɾ a i
garbansos	ɡ a ɾ b a n s o s
garbo	ɡ a ɾ b o
garces	ɡ a ɾ s e s
garchitorena	ɡ a ɾ t͡ʃ i t o ɾ e n a
garcia	ɡ a ɾ s i a
garciano	ɡ a ɾ s i a n o
gargaran	ɡ a ɾ ɡ a ɾ a n
garil	ɡ a ɾ i l
garil	ɡ a ɾ i l
garing	ɡ a ɾ i ŋ
garote	ɡ a ɾ o t e
garupa	ɡ a ɾ u p a
gas	ɡ a s
gascon	ɡ a s k o n
gasela	ɡ a s e l a
gasera	ɡ a s e ɾ a
gaseta	ɡ a s e t a
gasgas	ɡ a s ɡ a s
gasino	ɡ a s i n o
gaslaw	ɡ a s l a u
gaso	ɡ a s o
gasolina	ɡ a s o l i n a
gasolinahan	ɡ a s o l i n a h a n
gaspang	ɡ a s p a ŋ
gasta	ɡ a s t a
gastador	ɡ a s t a d o ɾ
gastadora	ɡ a s t a d o ɾ a
gaston	ɡ a s t o n
gastos	ɡ a s t o s
gastusin	ɡ a s t u s i n
gastusin	ɡ a s t u s i n
gat	ɡ a t
gata	ɡ a t a ʔ
gatang	ɡ a t a ŋ
gatas	ɡ a t a s
gatbonton	ɡ a t b o n t o n
gatchalian	ɡ a t t͡ʃ a l j a n
gatid	ɡ a t i d
gatilyo	ɡ a t i l j o
gatlang	ɡ a t l a ŋ
gatong	ɡ a t o ŋ
gatos	ɡ a t o s
gavilan	ɡ a b i l a n
gaviola	ɡ a b j o l a
gawa	ɡ a w a ʔ
gawad	ɡ a w a d
gawain	ɡ a w a ʔ i n
gawain	ɡ a w a ʔ i n
gawain	ɡ a w a i n
gawak	ɡ a w a k
gawak	ɡ a w a k
gawalagad	ɡ a w a l a ɡ a d
gawan	ɡ a w a n
gawangan	ɡ a w a ŋ a n
gaway	ɡ a w a i
gawgaw	ɡ a u ɡ a u
gawi	ɡ a w i ʔ
gawi	ɡ a w i ʔ
gawi	ɡ a w i
gawin	ɡ a w i n
gawis	ɡ a w i s
gaya	ɡ a j a
gayak	ɡ a j a k
gayang	ɡ a j a ŋ
gayari	ɡ a j a ɾ i
gayas	ɡ a j a s
gayas	ɡ a j a s
gayat	ɡ a j a t
gayon	ɡ a j o n
gayot	ɡ a j o t
gayuma	ɡ a j u m a
gayumahin	ɡ a j u m a h i n
gayundin	ɡ a j u n d i n
gayunman	ɡ a j u n m a n
gera	ɡ e ɾ a
gerilya	ɡ e ɾ i l j a
gerodias	d͡ʒ e ɾ o d j a s
geron	ɡ e ɾ o n
geronimo	h e ɾ o n i m o
gets	ɡ e t s
giba	ɡ i b a ʔ
gibang	ɡ i b a ŋ
gibay	ɡ i b a i
gibik	ɡ i b i k
giggi	ɡ i ɡ ɡ i ʔ
gigil	ɡ i ɡ i l
gigil	ɡ i ɡ i l
giginto	ɡ i ɡ i n t o ʔ
giho	ɡ i h o ʔ
giit	ɡ i i t
giit	ɡ i i t
gikla	ɡ i k l a ʔ
gilagid	ɡ i l a ɡ i d
gilagiran	ɡ i l a ɡ i ɾ a n
gilas	ɡ i l a s
gilgil	ɡ i l ɡ i l
gili	ɡ i l i
gilib	ɡ i l i b
gilid	ɡ i l i d
gilik	ɡ i l i k
giling	ɡ i l i ŋ
giling	ɡ i l i ŋ
gilit	ɡ i l i t
gilit	ɡ i l i t
giliw	ɡ i l i u
gilong	ɡ i l o ŋ
gilong	ɡ i l o ŋ
gilyotina	ɡ i l j o t i n a
gimbal	ɡ i m b a l
gimik	ɡ i m i k
ginang	ɡ i n a ŋ
ginang	ɡ i n a ŋ
ginataan	ɡ i n a t a ʔ a n
ginatan	ɡ i n a t a n
ginaw	ɡ i n a u
ginawin	ɡ i n a w i n
ginhawa	ɡ i n h a w a
gining	ɡ i n i ŋ
gining	ɡ i n i ŋ
ginintuan	ɡ i n i n t u ʔ a n
ginip	ɡ i n i p
ginisa	ɡ i n i s a
ginoo	ɡ i n o ʔ o
ginoo	ɡ i n o ʔ o
ginto	ɡ i n t o ʔ
gipalpal	ɡ i p a l p a l
gipit	ɡ i p i t
gipo	ɡ i p o ʔ
gipo	ɡ i p o ʔ
gipos	ɡ i p o s
gipos	ɡ i p o s
girimpula	ɡ i ɾ i m p u l a
giron	h i ɾ o n
gisa	ɡ i s a
gisado	ɡ i s a d o
gisahin	ɡ i s a h i n
gisantes	ɡ i s a n t e s
gisi	ɡ i s i ʔ
gisi	ɡ i s i ʔ
gising	ɡ i s i ŋ
gising	ɡ i s i ŋ
gisok	ɡ i s o k
gitang	ɡ i t a ŋ
gitara	ɡ i t a ɾ a
gitarista	ɡ i t a ɾ i s t a
gitata	ɡ i t a t a ʔ
gitata	ɡ i t a t a ʔ
gitgit	ɡ i t ɡ i t
giting	ɡ i t i ŋ
gitisig	ɡ i t i s i ɡ
gitla	ɡ i t l a ʔ
gitlapi	ɡ i t l a p i ʔ
gitlawas	ɡ i t l a w a s
gitling	ɡ i t l i ŋ
gitna	ɡ i t n a ʔ
gituldok	ɡ i t u l d o k
giwa	ɡ i w a ʔ
giwang	ɡ i w a ŋ
giwang	ɡ e w a ŋ
giya	ɡ i a
giyera	ɡ i e ɾ a
gladyador	ɡ l a d j a d o ɾ
gliserina	ɡ l i s e ɾ i n a
globo	ɡ l o b o
go	ɡ ɔ
gobernador	ɡ o b e ɾ n a d o ɾ
gobernadora	ɡ o b e ɾ n a d o ɾ a
gobyerno	ɡ o b j e ɾ n o
godiñez	ɡ o d i ɲ e s
godoy	ɡ o d o i
goh	ɡ o
golondrina	ɡ o l o n d ɾ i n a
golot	ɡ o l o t
golp	ɡ o l p
golpe	ɡ o l p e
golpo	ɡ o l p o
goma	ɡ o m a
gorilya	ɡ o ɾ i l j a
gotiko	ɡ o t i k o
goto	ɡ o t o
goyo	ɡ o j o ʔ
graba	ɡ ɾ a b a
grabe	ɡ ɾ a b e
gradweyt	ɡ ɾ a d w e i t
gramatika	ɡ ɾ a m a t i k a
gramo	ɡ ɾ a m o
granada	ɡ ɾ a n a d a
grapito	ɡ ɾ a p i t o
grasa	ɡ ɾ a s a
grasya	ɡ ɾ a s j a
gremyo	ɡ ɾ e m j o
gresya	ɡ ɾ e s j a
gripo	ɡ ɾ i p o
griyego	ɡ ɾ i e ɡ o
grumadweyt	ɡ ɾ u m a d w e i t
grupo	ɡ ɾ u p o
guanzon	ɡ u a n s o n
gubat	ɡ u b a t
gubat	ɡ u b a t
guerra	ɡ e ɾ a
gugo	ɡ u ɡ o ʔ
gugol	ɡ u ɡ o l
guham	ɡ u h a m
guhit	ɡ u h i t
guho	ɡ u h o ʔ
guho	ɡ u h o ʔ
guimaras	ɡ i m a ɾ a s
guinto	ɡ i n t o
gukgok	ɡ u k ɡ o k
gulaman	ɡ u l a m a n
gulang	ɡ u l a ŋ
gulangan	ɡ u l a ŋ a n
gulangan	ɡ u l a ŋ a n
gulanit	ɡ u l a n i t
gulantang	ɡ u l a n t a ŋ
gulat	ɡ u l a t
gulat	ɡ u l a t
gulay	ɡ u l a i
gulo	ɡ u l o
gulo	ɡ u l o ʔ
gulod	ɡ u l o d
gulok	ɡ u l o k
gulong	ɡ u l o ŋ
gulong	ɡ u l o ŋ
gulpi	ɡ u l p i
guluhin	ɡ u l u h i n
gulunggulungan	ɡ u l u ŋ ɡ u l u ŋ a n
gulyabaw	ɡ u l j a b a u
gulyasan	ɡ u l j a s a n
gumagad	ɡ u m a ɡ a d
gumagapang	ɡ u m a ɡ a p a ŋ
gumala	ɡ u m a l a ʔ
gumalaw	ɡ u m a l a u
gumaling	ɡ a ɡ a l i ŋ
gumamela	ɡ u m a m e l a
gumamit	ɡ u m a m i t
gumanap	ɡ u m a n a p
gumanda	ɡ u m a n d a
gumapac	ɡ u m a p a k
gumapang	ɡ u m a p a ŋ
gumastos	ɡ u m a s t o s
gumawa	ɡ u m a w a ʔ
gumayak	ɡ u m a j a k
gumban	ɡ u m b a n
gumi	ɡ u m i
gumi	ɡ u m i ʔ
gumi	ɡ u m i
gumi	ɡ u m i
gumilid	ɡ u m i l i d
gumimik	ɡ u m i m i k
gumiran	ɡ u m i ɾ a n
gumising	ɡ u m i s i ŋ
gumuho	ɡ u m u h o ʔ
gumulang	ɡ u m u l a ŋ
gumulo	ɡ u m u l o
gumulong	ɡ u m u l o ŋ
gumuwapo	ɡ u m u a p o
gunaw	ɡ u n a u
gunaw	ɡ u n a u
gunggong	ɡ u ŋ ɡ o ŋ
guni	ɡ u n i
guniguni	ɡ u n i ɡ u n i
gunimbilang	ɡ u n i m b i l a ŋ
gunita	ɡ u n i t a ʔ
guno	ɡ u n o
gunot	ɡ u n o t
gunot	ɡ u n o t
gunting	ɡ u n t i ŋ
gupiling	ɡ u p i l i ŋ
gupit	ɡ u p i t
gupo	ɡ u p o ʔ
gupo	ɡ u p o ʔ
gurami	ɡ u ɾ a m i
gurlis	ɡ u ɾ l i s
guro	ɡ u ɾ o ʔ
guro	ɡ u ɾ o ʔ
gusali	ɡ u s a l i ʔ
gusgos	ɡ u s ɡ o s
gusgusin	ɡ u s ɡ u s i n
gusi	ɡ u s i ʔ
gusilaw	ɡ u s i l a u
gusot	ɡ u s o t
gusto	ɡ u s t o
gusto	ɡ u s t o
gutay	ɡ u t a i
gutom	ɡ u t o m
gutom	ɡ u t o m
gutoy	ɡ u t o i
guwano	ɡ u a n o
guwantes	ɡ u a n t e s
guwapa	ɡ u a p a
guwapo	ɡ u a p o
guwardakosta	ɡ u a ɾ d a k o s t a
guwardiya	ɡ u a ɾ d i a
guwatemala	ɡ u a t e m a l a
guya	ɡ u j a ʔ
guyabano	ɡ u j a b a n o
guyam	ɡ u j a m
guyana	ɡ u j a n a
guzman	ɡ u s m a n
ha	h a
haba	h a b a ʔ
haba	h a b a ʔ
haba	h a b a
habag	h a b a ɡ
habagat	h a b a ɡ a t
habambuhay	h a b a m b u h a i
haban	h a b a n
habang	h a b a ŋ
habang	h a b a ŋ
habhab	h a b h a b
habi	h a b i
habi	h a b i
habi	h a b i ʔ
habid	h a b i d
habilin	h a b i l i n
habilog	h a b i l o ɡ
habitsuwelas	h a b i t͡ʃ u e l a s
habla	h a b l a
hablot	h a b l o t
habol	h a b o l
habol	h a b o l
habonera	h a b o n e ɾ a
habonero	h a b o n e ɾ o
habonete	h a b o n e t e
habubos	h a b u b o s
habulin	h a b u l i n
hadlang	h a d l a ŋ
hagad	h a ɡ a d
hagahas	h a ɡ a h a s
hagak	h a ɡ a k
hagak	h a ɡ a k
hagakhak	h a ɡ a k h a k
hagap	h a ɡ a p
hagdan	h a ɡ d a n
hagdanan	h a ɡ d a n a n
hagdanan	h a ɡ d a n a n
hagibis	h a ɡ i b i s
hagibis	h a ɡ i b i s
hagikgik	h a ɡ i k ɡ i k
hagilap	h a ɡ i l a p
hagip	h a ɡ i p
hagis	h a ɡ i s
hagkan	h a ɡ k a n
hagod	h a ɡ o d
hagod	h a ɡ o d
hagok	h a ɡ o k
hagonoy	h a ɡ o n o i
hagulgol	h a ɡ u l ɡ o l
hagulhol	h a ɡ u l h o l
hagunoy	h a ɡ u n o i
hagupit	h a ɡ u p i t
haha	h a h a ʔ
haha	h a h a ʔ
haha	h a h a
hahagkan	h a h a ɡ k a n
hain	h a ʔ i n
haka	h a k a ʔ
hakay	h a k a i
hakbang	h a k b a ŋ
hakhak	h a k h a k
haklit	h a k l i t
hakot	h a k o t
hakot	h a k o t
halaan	h a l a ʔ a n
halaan	h a l a ʔ a n
halabos	h a l a b o s
halaga	h a l a ɡ a
halak	h a l a k
halakhak	h a l a k h a k
halal	h a l a l
halalan	h a l a l a n
halaman	h a l a m a n
halang	h a l a ŋ
halang	h a l a ŋ
halangan	h a l a ŋ a n
halari	h a l a ɾ i ʔ
halas	h a l a s
halasan	h a l a s a n
halata	h a l a t a ʔ
halay	h a l a i
halayhay	h a l a j h a i
halea	h a l e j a
halea	h a l e a
halhal	h a l h a l
halibhib	h a l i b h i b
haligi	h a l i ɡ i
haligutgot	h a l i ɡ u t ɡ o t
halihaw	h a l i h a u
halik	h a l i k
halika	h a l i k a
halika	h a l i k a
halikan	h a l i k a n
halikan	h a l i k a n
halili	h a l i l i
halili	h a l i l i
halimaw	h a l i m a u
halimbawa	h a l i m b a w a ʔ
halimunmon	h a l i m u n m o n
halimuyak	h a l i m u j a k
halina	h a l i n a
haling	h a l i ŋ
haling	h a l i ŋ
halintulad	h a l i n t u l a d
halip	h a l i p
haliparot	h a l i p a ɾ o t
haliparot	h a l i p a ɾ o t
haliryo	h a l i ɾ j o
halo	h a l o ʔ
halo	h a l o ʔ
halo	h a l o
halo	h a l o
halom	h a l o m
halos	h a l o s
haltak	h a l t a k
halubid	h a l u b i d
halubilo	h a l u b i l o
halughog	h a l u ɡ h o ɡ
halukay	h a l u k a i
halukay	h a l u k a i
halukipkip	h a l u k i p k i p
halumigmig	h a l u m i ɡ m i ɡ
halungkat	h a l u ŋ k a t
hamak	h a m a k
hamayka	h a m a i k a
hambalang	h a m b a l a ŋ
hambalang	h a m b a l a ŋ
hambalos	h a m b a l o s
hambaw	h a m b a u
hambing	h a m b i ŋ
hambo	h a m b o
hambog	h a m b o ɡ
hamil	h a m i l
hamil	h a m i l
hamo	h a m o
hamog	h a m o ɡ
hamok	h a m o k
hamon	h a m o n
hamon	h a m o n
hampas	h a m p a s
hampaslupa	h a m p a s l u p a ʔ
hampol	h a m p o l
hamster	h a m s t e ɾ
hanako	h a n a k o
hanap	h a n a p
hanapbuhay	h a n a p b u h a i
hanapin	h a n a p i n
hanay	h a n a i
hanayan	h a n a j a n
hanayan	h a n a j a n
handa	h a n d a ʔ
handak	h a n d a k
handalapak	h a n d a l a p a k
handog	h a n d o ɡ
handusay	h a n d u s a i
hanep	h a n e p
hanga	h a ŋ a ʔ
hanga	h a ŋ a
hangad	h a ŋ a d
hangal	h a ŋ a l
hangal	h a ŋ a l
hangarin	h a ŋ a ɾ i n
hangarin	h a ŋ a ɾ i n
hanger	h a ŋ e ɾ
hanggan	h a ŋ ɡ a n
hangganan	h a ŋ ɡ a n a n
hangganan	h a ŋ ɡ a n a n
hanggang	h a ŋ ɡ a ŋ
hangin	h a ŋ i n
hanginsigan	h a ŋ i n s i ɡ a n
hangintigilan	h a ŋ i n t i ɡ i l a n
hango	h a ŋ o ʔ
hango	h a ŋ o ʔ
hangos	h a ŋ o s
hangos	h a ŋ o s
hangos	h a ŋ o s
hanip	h a n i p
hantik	h a n t i k
hantikan	h a n t i k a n
hantong	h a n t o ŋ
hantungan	h a n t u ŋ a n
hantungan	h a n t u ŋ a n
hanunuo	h a n u n u ʔ o
hapag	h a p a ɡ
hapak	h a p a k
hapdi	h a p d i ʔ
hapin	h a p i n
hapis	h a p i s
hapis	h a p i s
hapit	h a p i t
hapit	h a p i t
haplos	h a p l o s
hapo	h a p o ʔ
hapo	h a p o ʔ
hapon	h a p o n
hapon	h a p o n
hapones	h a p o n e s
haponesa	h a p o n e s a
hapunan	h a p u n a n
hapunan	h a p u n a n
harakiri	h a ɾ a k i ɾ i
harana	h a ɾ a n a
harang	h a ɾ a ŋ
harang	h a ɾ a ŋ
harap	h a ɾ a p
harapan	h a ɾ a p a n
harapan	h a ɾ a p a n
haraya	h a ɾ a j a ʔ
hardin	h a ɾ d i n
hardinera	h a ɾ d i n e ɾ a
hardinero	h a ɾ d i n e ɾ o
hari	h a ɾ i ʔ
hari	h a ɾ i
haribon	h a ɾ i b o n
harimanawari	h a ɾ i m a n a w a ɾ i ʔ
harina	h a ɾ i n a
haro	h a ɾ o
haro	h a ɾ o
harok	h a ɾ o k
harot	h a ɾ o t
haruko	h a ɾ u k o
harurot	h a ɾ u ɾ o t
hasa	h a s a ʔ
hasa	h a s a ʔ
hasain	h a s a ʔ i n
hasang	h a s a ŋ
hasel	h a s e l
hasik	h a s i k
hasinto	h a s i n t o
hasmin	h a s m i n
haso	h a s o ʔ
haspe	h a s p e
hatak	h a t a k
hatak	h a t a k
hataw	h a t a u
hatdog	h a t d o ɡ
hati	h a t i ʔ
hati	h a t i ʔ
hatid	h a t i d
hatiin	h a t i ʔ i n
hatiin	h a t i ʔ i n
hatimbilang	h a t i m b i l a ŋ
hatimbutod	h a t i m b u t o d
hatinggabi	h a t i ŋ ɡ a b i
hatinig	h a t i n i ɡ
hatol	h a t o l
hatsing	h a t͡ʃ i ŋ
hatsuko	h a t͡ʃ u k o
hau	h a w
haw	h a w
hawa	h a w a
hawa	h a w a ʔ
hawak	h a w a k
hawakan	h a w a k a n
hawakan	h a w a k a n
haway	h a w a i
hawayana	h a w a j a n a
hawayano	h a w a j a n o
hawi	h a w i ʔ
hawi	h a w i ʔ
hawig	h a w i ɡ
hawig	h a w i ɡ
hawla	h a u l a
hawong	h a w o ŋ
hawsyaw	h a u s j a u
haya	h a j a ʔ
hayaan	h a j a ʔ a n
hayag	h a j a ɡ
hayag	h a j a ɡ
hayag	h a j a ɡ
hayan	h a j a n
haykap	h a i k a p
hayku	h a i k u
haynayan	h a i n a j a n
hayok	h a j o k
hayok	h a j o k
hayon	h a j o n
hayop	h a j o p
hayskul	h a i s k u l
hayto	h a i t o
heko	h e k o
hektarya	h e k t a ɾ j a
hektometro	h e k t o m e t ɾ o
helikoptero	h e l i k o p t e ɾ o
hene	h e n e
heneral	h e n e ɾ a l
henerala	h e n e ɾ a l a
henerasyon	h e n e ɾ a s j o n
henetika	h e n e t i k a
heng	h e ŋ
henyo	h e n j o
heograpiko	h e o ɡ ɾ a p i k o
heograpiya	h e o ɡ ɾ a p i a
heolohiya	h e o l o h i a
hepe	h e p e
heranyo	h e ɾ a n j o
herarkiya	h e ɾ a ɾ k i a
heringgilya	h e ɾ i ŋ ɡ i l j a
hernandez	ʔ e ɾ n a n d e s
heroglipiko	h e ɾ o ɡ l i p i k o
herradura	ʔ e ɾ a d u ɾ a
hesukristo	h e s u k ɾ i s t o
hesus	h e s u s
hesusmaryosep	h e s u s m a ɾ j o s e p
heswita	h e s w i t a
heto	h e t o
hibang	h i b a ŋ
hibang	h i b a ŋ
hibaybay	h i b a i b a i
hibi	h i b i
hibi	h i b i ʔ
hibla	h i b l a
hideo	h i d e o
hidwa	h i d w a ʔ
hidwaan	h i d w a ʔ a n
higa	h i ɡ a ʔ
higante	h i ɡ a n t e
higanti	h i ɡ a n t i
higit	h i ɡ i t
higlikas	h i ɡ l i k a s
higliknayan	h i ɡ l i k n a j a n
higop	h i ɡ o p
higsipnayan	h i ɡ s i p n a j a n
higtao	h i ɡ t a ʔ o
hihip	h i h i p
hika	h i k a ʔ
hika	h i k a
hikab	h i k a b
hikahos	h i k a h o s
hikahos	h i k a h o s
hikaw	h i k a u
hikayat	h i k a j a t
hikbi	h i k b i
hikbi	h i k b i ʔ
hiklas	h i k l a s
hikmat	h i k m a t
hila	h i l a
hilab	h i l a b
hilabigat	h i l a b i ɡ a t
hilaga	h i l a ɡ a ʔ
hilahid	h i l a h i d
hilahil	h i l a h i l
hilahil	h i l a h i l
hilako	h i l a k o ʔ
hilam	h i l a m
hilam	h i l a m
hilamos	h i l a m o s
hilata	h i l a t a ʔ
hilata	h i l a t a ʔ
hilatsa	h i l a t͡ʃ a
