Ⴁ	b
იანკი	i a n kʼ i
იანუსი	i a n u s i
იაპონელი	i a pʼ ɔ n ɛ l i
იაპონია	i a pʼ ɔ n i a
იაპონიად	i a pʼ ɔ n i a d
იაპონიამ	i a pʼ ɔ n i a m
იაპონიას	i a pʼ ɔ n i a s
იაპონიით	i a pʼ ɔ n i i tʰ
იაპონიის	i a pʼ ɔ n i i s
იაპონური	i a pʼ ɔ n u r i
იარა	i a r a
იარაღი	i a r a ɣ i
იარდი	i a r d i
იარენი	i a r ɛ n i
იარლიყი	i a r l i qʼ i
იაროსლავი	i a r ɔ s l a v i
იარუსი	i a r u s i
იასამანი	i a s a m a n i
იასამნისფერი	i a s a m n i s pʰ ɛ r i
იასონი	i a s ɔ n i
იასპი	i a s pʼ i
იატაკი	i a tʼ a kʼ i
იაფად	i a pʰ a d
იაფი	i a pʰ i
იაფფასიანი	i a pʰ pʰ a s i a n i
იაღლიში	i a ɣ l i ʃ i
იახტა	i a x tʼ a
იბერია	i b ɛ r i a
იგავი	i ɡ a v i
იგავური	i ɡ a v u r i
იგებს	i ɡ ɛ b s
იგი	i ɡ i
იგივე	i ɡ i v ɛ
იგინება	i ɡ i n ɛ b a
იგონებს	i ɡ ɔ n ɛ b s
იდაყვი	i d a qʼ v i
იდგა	i d ɡ a
იდეა	i d ɛ a
იდეალი	i d ɛ a l i
იდეალიზაცია	i d ɛ a l i z a t͡s i a
იდეალიზმი	i d ɛ a l i z m i
იდეალისტი	i d ɛ a l i s tʼ i
იდეალისტური	i d ɛ a l i s tʼ u r i
იდეალურად	i d ɛ a l u r a d
იდეალური	i d ɛ a l u r i
იდენტურად	i d ɛ n tʼ u r a d
იდენტური	i d ɛ n tʼ u r i
იდენტურობა	i d ɛ n tʼ u r ɔ b a
იდეოგრამა	i d ɛ ɔ ɡ r a m a
იდეოლოგია	i d ɛ ɔ l ɔ ɡ i a
იდეოლოგიურად	i d ɛ ɔ l ɔ ɡ i u r a d
იდეოლოგიური	i d ɛ ɔ l ɔ ɡ i u r i
იდილია	i d i l i a
იდილიური	i d i l i u r i
იდიომა	i d i ɔ m a
იდიომატურად	i d i ɔ m a tʼ u r a d
იდიომატური	i d i ɔ m a tʼ u r i
იდიოტი	i d i ɔ tʼ i
იდიოტიზმი	i d i ɔ tʼ i z m i
იდიოტურად	i d i ɔ tʼ u r a d
იდიოტური	i d i ɔ tʼ u r i
იდო	i d ɔ
იდუმალად	i d u m a l a d
იდუმალება	i d u m a l ɛ b a
იდუმალი	i d u m a l i
იები	i ɛ b i
იეზუიტი	i ɛ z u i tʼ i
იეზუიტური	i ɛ z u i tʼ u r i
იელი	i ɛ l i
იემენი	i ɛ m ɛ n i
იენა	i ɛ n a
იერარქია	i ɛ r a r kʰ i a
იერარქიული	i ɛ r a r kʰ i u l i
იერიში	i ɛ r i ʃ i
იეროგლიფი	i ɛ r ɔ ɡ l i pʰ i
იეროგლიფური	i ɛ r ɔ ɡ l i pʰ u r i
იერუსალიმი	i ɛ r u s a l i m i
იესო	i ɛ s ɔ
ივანე	i v a n ɛ
ივანიშვილი	i v a n i ʃ v i l i
ივლისი	i v l i s i
ივნისად	i v n i s a d
ივნისი	i v n i s i
ივნისით	i v n i s i tʰ
ივნისის	i v n i s i s
ივნისმა	i v n i s m a
ივნისს	i v n i s s
იზაბელა	i z a b ɛ l a
იზმირი	i z m i r i
იზობარა	i z ɔ b a r a
იზოთერმი	i z ɔ tʰ ɛ r m i
იზოლატორი	i z ɔ l a tʼ ɔ r i
იზოლაცია	i z ɔ l a t͡s i a
იზოტოპი	i z ɔ tʼ ɔ pʼ i
ითესავს	i tʰ ɛ s a v s
ითმენს	i tʰ m ɛ n s
ითხოვს	i tʰ x ɔ v s
ილაჯი	i l a d͡ʒ i
ილი	i l i
ილია	i l i a
ილოტი	i l ɔ tʼ i
ილუზიონისტი	i l u z i ɔ n i s tʼ i
ილუზიური	i l u z i u r i
ილუზორული	i l u z ɔ r u l i
ილუმინატორი	i l u m i n a tʼ ɔ r i
ილუსტრატორი	i l u s tʼ r a tʼ ɔ r i
ილუსტრაცია	i l u s tʼ r a t͡s i a
იმაზე	i m a z ɛ
იმამი	i m a m i
იმარჯვებს	i m a r d͡ʒ v ɛ b s
იმდენად	i m d ɛ n a d
იმედაშვილი	i m ɛ d a ʃ v i l i
იმედი	i m ɛ d i
იმედიანად	i m ɛ d i a n a d
იმედიანი	i m ɛ d i a n i
იმედისმომცემად	i m ɛ d i s m ɔ m t͡s ɛ m a d
იმერეთად	i m ɛ r ɛ tʰ a d
იმერეთი	i m ɛ r ɛ tʰ i
იმერეთით	i m ɛ r ɛ tʰ i tʰ
იმერეთის	i m ɛ r ɛ tʰ i s
იმერეთმა	i m ɛ r ɛ tʰ m a
იმერეთს	i m ɛ r ɛ tʰ s
იმერული	i m ɛ r u l i
იმით	i m i tʰ
იმიტატორი	i m i tʼ a tʼ ɔ r i
იმიტაცია	i m i tʼ a t͡s i a
იმიტირება	i m i tʼ i r ɛ b a
იმიტომ	i m i tʼ ɔ m
იმპერატორი	i m pʼ ɛ r a tʼ ɔ r i
იმპერია	i m pʼ ɛ r i a
იმპერიად	i m pʼ ɛ r i a d
იმპერიალიზმი	i m pʼ ɛ r i a l i z m i
იმპერიალისტი	i m pʼ ɛ r i a l i s tʼ i
იმპერიამ	i m pʼ ɛ r i a m
იმპერიას	i m pʼ ɛ r i a s
იმპერიით	i m pʼ ɛ r i i tʰ
იმპერიის	i m pʼ ɛ r i i s
იმპერიული	i m pʼ ɛ r i u l i
იმპიჩმენტი	i m pʼ i t͡ʃ m ɛ n tʼ i
იმპორტერი	i m pʼ ɔ r tʼ ɛ r i
იმპორტი	i m pʼ ɔ r tʼ i
იმპოტენცია	i m pʼ ɔ tʼ ɛ n t͡s i a
იმპრესარიო	i m pʼ r ɛ s a r i ɔ
იმპრესიონიზმი	i m pʼ r ɛ s i ɔ n i z m i
იმპროვიზაცია	i m pʼ r ɔ v i z a t͡s i a
იმპროვიზებულად	i m pʼ r ɔ v i z ɛ b u l a d
იმპულსი	i m pʼ u l s i
იმპულსურად	i m pʼ u l s u r a d
იმპულსური	i m pʼ u l s u r i
იმპულსურობა	i m pʼ u l s u r ɔ b a
იმუნიზაცია	i m u n i z a t͡s i a
იმუნოლოგია	i m u n ɔ l ɔ ɡ i a
იმღერებდეს	i m ɣ ɛ r ɛ b d ɛ s
ინაუგურაცია	i n a u ɡ u r a t͡s i a
ინაშვილი	i n a ʃ v i l i
ინგლისელი	i n ɡ l i s ɛ l i
ინგლისი	i n ɡ l i s i
ინგლისის	i n ɡ l i s i s
ინგლისმა	i n ɡ l i s m a
ინგლისს	i n ɡ l i s s
ინგლისური	i n ɡ l i s u r i
ინგრედიენტი	i n ɡ r ɛ d i ɛ n tʼ i
ინდაური	i n d a u r i
ინდექსი	i n d ɛ kʰ s i
ინდიანა	i n d i a n a
ინდიელი	i n d i ɛ l i
ინდივიდი	i n d i v i d i
ინდივიდუალურად	i n d i v i d u a l u r a d
ინდივიდუუმი	i n d i v i d u u m i
ინდიკატორი	i n d i kʼ a tʼ ɔ r i
ინდიუმი	i n d i u m i
ინდოეთად	i n d ɔ ɛ tʰ a d
ინდოეთი	i n d ɔ ɛ tʰ i
ინდოეთით	i n d ɔ ɛ tʰ i tʰ
ინდოეთის	i n d ɔ ɛ tʰ i s
ინდოეთმა	i n d ɔ ɛ tʰ m a
ინდოეთს	i n d ɔ ɛ tʰ s
ინდოელი	i n d ɔ ɛ l i
ინდონეზია	i n d ɔ n ɛ z i a
ინდონეზიური	i n d ɔ n ɛ z i u r i
ინდუიზმი	i n d u i z m i
ინდური	i n d u r i
ინდუსი	i n d u s i
ინდუსური	i n d u s u r i
ინდუქტორი	i n d u kʰ tʼ ɔ r i
ინერტული	i n ɛ r tʼ u l i
ინერტულობა	i n ɛ r tʼ u l ɔ b a
ინერცია	i n ɛ r t͡s i a
ინვალიდის	i n v a l i d i s
ინვალიდობა	i n v a l i d ɔ b a
ინვენტარი	i n v ɛ n tʼ a r i
ინვერსია	i n v ɛ r s i a
ინიციალები	i n i t͡s i a l ɛ b i
ინიციატივა	i n i t͡s i a tʼ i v a
ინკვიზიტორი	i n kʼ v i z i tʼ ɔ r i
ინკვიზიცია	i n kʼ v i z i t͡s i a
ინკვიზიციური	i n kʼ v i z i t͡s i u r i
ინკრუსტაცია	i n kʼ r u s tʼ a t͡s i a
ინკუბატორი	i n kʼ u b a tʼ ɔ r i
ინკუბაცია	i n kʼ u b a t͡s i a
ინჟინერი	i n ʒ i n ɛ r i
ინსპექტორი	i n s pʼ ɛ kʰ tʼ ɔ r i
ინსტინქტი	i n s tʼ i n kʰ tʼ i
ინსტინქტურად	i n s tʼ i n kʰ tʼ u r a d
ინსტინქტური	i n s tʼ i n kʰ tʼ u r i
ინსტიტუტად	i n s tʼ i tʼ u tʼ a d
ინსტიტუტი	i n s tʼ i tʼ u tʼ i
ინსტიტუტით	i n s tʼ i tʼ u tʼ i tʰ
ინსტიტუტის	i n s tʼ i tʼ u tʼ i s
ინსტიტუტმა	i n s tʼ i tʼ u tʼ m a
ინსტიტუტს	i n s tʼ i tʼ u tʼ s
ინსტრუმენტი	i n s tʼ r u m ɛ n tʼ i
ინსტრუქტაჟი	i n s tʼ r u kʰ tʼ a ʒ i
ინსტრუქტორი	i n s tʼ r u kʰ tʼ ɔ r i
ინსტრუქციულად	i n s tʼ r u kʰ t͡s i u l a d
ინსტრუქციული	i n s tʼ r u kʰ t͡s i u l i
ინსულინი	i n s u l i n i
ინტეგრაცია	i n tʼ ɛ ɡ r a t͡s i a
ინტელექტი	i n tʼ ɛ l ɛ kʰ tʼ i
ინტელექტუალი	i n tʼ ɛ l ɛ kʰ tʼ u a l i
ინტელექტუალურად	i n tʼ ɛ l ɛ kʰ tʼ u a l u r a d
ინტელიგენცია	i n tʼ ɛ l i ɡ ɛ n t͡s i a
ინტენსივობა	i n tʼ ɛ n s i v ɔ b a
ინტენსიურად	i n tʼ ɛ n s i u r a d
ინტენსიური	i n tʼ ɛ n s i u r i
ინტერესი	i n tʼ ɛ r ɛ s i
ინტერვენცია	i n tʼ ɛ r v ɛ n t͡s i a
ინტერვიუ	i n tʼ ɛ r v i u
ინტერვიუერი	i n tʼ ɛ r v i u ɛ r i
ინტერიერი	i n tʼ ɛ r i ɛ r i
ინტერმედია	i n tʼ ɛ r m ɛ d i a
ინტერნაციონალურად	i n tʼ ɛ r n a t͡s i ɔ n a l u r a d
ინტერნეტი	i n tʼ ɛ r n ɛ tʼ i
ინტერპელაცია	i n tʼ ɛ r pʼ ɛ l a t͡s i a
ინტერპოლაცია	i n tʼ ɛ r pʼ ɔ l a t͡s i a
ინტიმურად	i n tʼ i m u r a d
ინტიმური	i n tʼ i m u r i
ინტონაცია	i n tʼ ɔ n a t͡s i a
ინტრავენურად	i n tʼ r a v ɛ n u r a d
ინტრავენური	i n tʼ r a v ɛ n u r i
ინტრიგა	i n tʼ r i ɡ a
ინტრიგანი	i n tʼ r i ɡ a n i
ინტუიცია	i n tʼ u i t͡s i a
ინტუიციურად	i n tʼ u i t͡s i u r a d
ინტუიციური	i n tʼ u i t͡s i u r i
ინფანტილიზმი	i n pʰ a n tʼ i l i z m i
ინფანტილური	i n pʰ a n tʼ i l u r i
ინფექცია	i n pʰ ɛ kʰ t͡s i a
ინფექციურად	i n pʰ ɛ kʰ t͡s i u r a d
ინფექციური	i n pʰ ɛ kʰ t͡s i u r i
ინფილტრაცია	i n pʰ i l tʼ r a t͡s i a
ინფინიტივი	i n pʰ i n i tʼ i v i
ინფლაცია	i n pʰ l a t͡s i a
ინფლაციური	i n pʰ l a t͡s i u r i
ინფო	i n pʰ ɔ
ინფორმატიულად	i n pʰ ɔ r m a tʼ i u l a d
ინფორმატიული	i n pʰ ɔ r m a tʼ i u l i
ინფორმატორი	i n pʰ ɔ r m a tʼ ɔ r i
ინფორმაცია	i n pʰ ɔ r m a t͡s i a
ინფრაწითელი	i n pʰ r a t͡sʼ i tʰ ɛ l i
ინჩი	i n t͡ʃ i
იოანე	i ɔ a n ɛ
იობი	i ɔ b i
იოგა	i ɔ ɡ a
იოდი	i ɔ d i
იოლად	i ɔ l a d
იოლი	i ɔ l i
იონა	i ɔ n a
იონი	i ɔ n i
იონიზაცია	i ɔ n i z a t͡s i a
იონოსფერო	i ɔ n ɔ s pʰ ɛ r ɔ
იონური	i ɔ n u r i
იორდანე	i ɔ r d a n ɛ
იორდანია	i ɔ r d a n i a
იორდასალამი	i ɔ r d a s a l a m i
იორი	i ɔ r i
იორკი	i ɔ r kʼ i
იორკშირი	i ɔ r kʼ ʃ i r i
იოსები	i ɔ s ɛ b i
იოტი	i ɔ tʼ i
იოჰანესბურგი	i ɔ h a n ɛ s b u r ɡ i
იპარავს	i pʼ a r a v s
იპარება	i pʼ a r ɛ b a
იპარსავს	i pʼ a r s a v s
იპოდრომი	i pʼ ɔ d r ɔ m i
იპოვა	i pʼ ɔ v a
ირაკლი	i r a kʼ l i
ირანელი	i r a n ɛ l i
ირანი	i r a n i
ირანული	i r a n u l i
ირბისი	i r b i s i
ირგვლივ	i r ɡ v l i v
ირემი	i r ɛ m i
ირენი	i r ɛ n i
ირიბად	i r i b a d
ირიბი	i r i b i
ირიგაცია	i r i ɡ a t͡s i a
ირიდიუმი	i r i d i u m i
ირლანდია	i r l a n d i a
ირლანდიელი	i r l a n d i ɛ l i
ირლანდიური	i r l a n d i u r i
ირონია	i r ɔ n i a
ირონიულად	i r ɔ n i u l a d
ირონიული	i r ɔ n i u l i
ის	i s
ისააკი	i s a a kʼ i
ისანი	i s a n i
ისარი	i s a r i
ისე	i s ɛ
ისევ	i s ɛ v
ისევე	i s ɛ v ɛ
ისეთი	i s ɛ tʰ i
ისინი	i s i n i
ისლამი	i s l a m i
ისლამური	i s l a m u r i
ისლანდია	i s l a n d i a
ისლანდიური	i s l a n d i u r i
ისლი	i s l i
ისლიანი	i s l i a n i
ისპანახი	i s pʼ a n a x i
ისპაჰანი	i s pʼ a h a n i
ისრაელი	i s r a ɛ l i
ისტერია	i s tʼ ɛ r i a
ისტერიულად	i s tʼ ɛ r i u l a d
ისტერიული	i s tʼ ɛ r i u l i
ისტორია	i s tʼ ɔ r i a
ისტორიად	i s tʼ ɔ r i a d
ისტორიამ	i s tʼ ɔ r i a m
ისტორიას	i s tʼ ɔ r i a s
ისტორიით	i s tʼ ɔ r i i tʰ
ისტორიის	i s tʼ ɔ r i i s
ისტორიკოსი	i s tʼ ɔ r i kʼ ɔ s i
ისტორიულად	i s tʼ ɔ r i u l a d
ისტორიული	i s tʼ ɔ r i u l i
ისურვებს	i s u r v ɛ b s
იტალია	i tʼ a l i a
იტალიად	i tʼ a l i a d
იტალიამ	i tʼ a l i a m
იტალიას	i tʼ a l i a s
იტალიელი	i tʼ a l i ɛ l i
იტალიით	i tʼ a l i i tʰ
იტალიის	i tʼ a l i i s
იტალიური	i tʼ a l i u r i
იტერბიუმი	i tʼ ɛ r b i u m i
იტოგში	i tʼ ɔ ɡ ʃ i
იტრიუმი	i tʼ r i u m i
იტყვის	i tʼ qʼ v i s
იუგოსლავია	i u ɡ ɔ s l a v i a
იუდა	i u d a
იუდაიზმი	i u d a i z m i
იუველირი	i u v ɛ l i r i
იუკადრისებს	i u kʼ a d r i s ɛ b s
იუმორი	i u m ɔ r i
იუმორისტი	i u m ɔ r i s tʼ i
იუმორისტულად	i u m ɔ r i s tʼ u l a d
იუმორისტული	i u m ɔ r i s tʼ u l i
იუნესკომ	i u n ɛ s kʼ ɔ m
იუნესკოს	i u n ɛ s kʼ ɔ s
იუპიტერი	i u pʼ i tʼ ɛ r i
იურიდიული	i u r i d i u l i
იურისდიქცია	i u r i s d i kʰ t͡s i a
იურისპრუდენცია	i u r i s pʼ r u d ɛ n t͡s i a
იურისტი	i u r i s tʼ i
იუტა	i u tʼ a
იფანი	i pʰ a n i
იფეთქავს	i pʰ ɛ tʰ kʰ a v s
იფქლი	i pʰ kʰ l i
იქ	i kʰ
იქვე	i kʰ v ɛ
იქიდან	i kʰ i d a n
იქით	i kʰ i tʰ
იქნებ	i kʰ n ɛ b
იქნება	i kʰ n ɛ b a
იქნებოდა	i kʰ n ɛ b ɔ d a
იღბალი	i ɣ b a l i
იღბლიანად	i ɣ b l i a n a d
იღბლიანი	i ɣ b l i a n i
იღლია	i ɣ l i a
იყავი	i qʼ a v i
იყი	i qʼ i
იყიდება	i qʼ i d ɛ b a
იყოს	i qʼ ɔ s
იშელი	i ʃ ɛ l i
იშვიათად	i ʃ v i a tʰ a d
იშვიათი	i ʃ v i a tʰ i
იშვიათობა	i ʃ v i a tʰ ɔ b a
იშიასი	i ʃ i a s i
იშიმბაი	i ʃ i m b a i
იშხანი	i ʃ x a n i
იცით	i t͡s i tʰ
იცის	i t͡s i s
იცოდა	i t͡s ɔ d a
იცოცხლე	i t͡s ɔ t͡s x l ɛ
იძულებითი	i d͡z u l ɛ b i tʰ i
იწონის	i t͡sʼ ɔ n i s
იწყება	i t͡sʼ qʼ ɛ b a
იხდი	i x d i
იხდიდა	i x d i d a
იხდიდი	i x d i d i
იხდით	i x d i tʰ
იხდის	i x d i s
იხვი	i x v i
იხვნისკარტა	i x v n i s kʼ a r tʼ a
იხილავს	i x i l a v s
იხილეთ	i x i l ɛ tʰ
იხოკავს	i x ɔ kʼ a v s
იჯარა	i d͡ʒ a r a
კაბა	kʼ a b a
კაბალური	kʼ a b a l u r i
კაბარე	kʼ a b a r ɛ
კაბინა	kʼ a b i n a
კაბინეტი	kʼ a b i n ɛ tʼ i
კაბრიოლეტი	kʼ a b r i ɔ l ɛ tʼ i
კადენცია	kʼ a d ɛ n t͡s i a
კადმიუმი	kʼ a d m i u m i
კადნიერად	kʼ a d n i ɛ r a d
კადნიერი	kʼ a d n i ɛ r i
კადონი	kʼ a d ɔ n i
კადრილი	kʼ a d r i l i
კავალერია	kʼ a v a l ɛ r i a
კავალერისტი	kʼ a v a l ɛ r i s tʼ i
კავალკადა	kʼ a v a l kʼ a d a
კავერნა	kʼ a v ɛ r n a
კავი	kʼ a v i
კავკასია	kʼ a v kʼ a s i a
კავკასიად	kʼ a v kʼ a s i a d
კავკასიამ	kʼ a v kʼ a s i a m
კავკასიას	kʼ a v kʼ a s i a s
კავკასიელი	kʼ a v kʼ a s i ɛ l i
კავკასიით	kʼ a v kʼ a s i i tʰ
კავკასიის	kʼ a v kʼ a s i i s
კავკასიონი	kʼ a v kʼ a s i ɔ n i
