Abae	a b a e̯
elluāmur	ɛ l l u aː m ʊ r
elluāre	ɛ l l u aː r ɛ
elluārentur	ɛ l l u aː r ɛ n t ʊ r
elluārer	ɛ l l u aː r ɛ r
elluāris	ɛ l l u aː r ɪ s
elluārēminī	ɛ l l u aː r eː m ɪ n iː
elluārēmur	ɛ l l u aː r eː m ʊ r
elluārēre	ɛ l l u aː r eː r ɛ
elluārēris	ɛ l l u aː r eː r ɪ s
elluārētur	ɛ l l u aː r eː t ʊ r
elluārī	ɛ l l u aː r iː
elluāta	ɛ l l u aː t a
elluātae	ɛ l l u aː t a e̯
elluātam	ɛ l l u aː t ãː
elluāte	ɛ l l u aː t ɛ
elluātor	ɛ l l u aː t ɔ r
elluātum	ɛ l l u aː t ũː
elluātur	ɛ l l u aː t ʊ r
elluātā	ɛ l l u aː t aː
elluātārum	ɛ l l u aː t aː r ũː
elluātās	ɛ l l u aː t aː s
elluātī	ɛ l l u aː t iː
elluātīs	ɛ l l u aː t iː s
elluātō	ɛ l l u aː t oː
elluātōrum	ɛ l l u aː t oː r ũː
elluātōs	ɛ l l u aː t oː s
elluātū	ɛ l l u aː t uː
elluātūra	ɛ l l u aː t uː r a
elluātūrae	ɛ l l u aː t uː r a e̯
elluātūram	ɛ l l u aː t uː r ãː
elluātūre	ɛ l l u aː t uː r ɛ
elluātūrum	ɛ l l u aː t uː r ũː
elluātūrā	ɛ l l u aː t uː r aː
elluātūrārum	ɛ l l u aː t uː r aː r ũː
elluātūrās	ɛ l l u aː t uː r aː s
elluātūrī	ɛ l l u aː t uː r iː
elluātūrīs	ɛ l l u aː t uː r iː s
elluātūrō	ɛ l l u aː t uː r oː
elluātūrōrum	ɛ l l u aː t uː r oː r ũː
elluātūrōs	ɛ l l u aː t uː r oː s
elluēminī	ɛ l l u eː m ɪ n iː
elluēmur	ɛ l l u eː m ʊ r
elluēre	ɛ l l u eː r ɛ
elluēris	ɛ l l u eː r ɪ s
elluētur	ɛ l l u eː t ʊ r
ellīpsim	ɛ l l iː p s ĩː
ellīpsin	ɛ l l iː p s ɪ n
elēmosyna	ɛ ɫ eː m ɔ s y n a
em	ẽː
emam	ɛ m ãː
emant	ɛ m a n t
emantur	ɛ m a n t ʊ r
emar	ɛ m a r
emat	ɛ m a t
eme	ɛ m ɛ
emenda	ɛ m ɛ n d a
emendae	ɛ m ɛ n d a e̯
emendam	ɛ m ɛ n d ãː
emende	ɛ m ɛ n d ɛ
emendum	ɛ m ɛ n d ũː
emendā	ɛ m ɛ n d aː
emendārum	ɛ m ɛ n d aː r ũː
emendās	ɛ m ɛ n d aː s
emendī	ɛ m ɛ n d iː
emendīs	ɛ m ɛ n d iː s
emendō	ɛ m ɛ n d oː
emendōrum	ɛ m ɛ n d oː r ũː
emendōs	ɛ m ɛ n d oː s
ement	ɛ m ɛ n t
emente	ɛ m ɛ n t ɛ
ementem	ɛ m ɛ n t ẽː
ementia	ɛ m ɛ n t i a
ementibus	ɛ m ɛ n t ɪ b ʊ s
ementis	ɛ m ɛ n t ɪ s
ementium	ɛ m ɛ n t i ũː
ementur	ɛ m ɛ n t ʊ r
ementēs	ɛ m ɛ n t eː s
ementī	ɛ m ɛ n t iː
ementīs	ɛ m ɛ n t iː s
emere	ɛ m ɛ r ɛ
emerem	ɛ m ɛ r ẽː
emerent	ɛ m ɛ r ɛ n t
emerentur	ɛ m ɛ r ɛ n t ʊ r
emerer	ɛ m ɛ r ɛ r
emeret	ɛ m ɛ r ɛ t
emeris	ɛ m ɛ r ɪ s
emerēminī	ɛ m ɛ r eː m ɪ n iː
emerēmur	ɛ m ɛ r eː m ʊ r
emerēmus	ɛ m ɛ r eː m ʊ s
emerēre	ɛ m ɛ r eː r ɛ
emerēris	ɛ m ɛ r eː r ɪ s
emerēs	ɛ m ɛ r eː s
emerētis	ɛ m ɛ r eː t ɪ s
emerētur	ɛ m ɛ r eː t ʊ r
emet	ɛ m ɛ t
emeticae	ɛ m ɛ t ɪ k a e̯
emeticum	ɛ m ɛ t ɪ k ũː
emeticī	ɛ m ɛ t ɪ k iː
emeticō	ɛ m ɛ t ɪ k oː
emiminī	ɛ m ɪ m ɪ n iː
emimur	ɛ m ɪ m ʊ r
emimus	ɛ m ɪ m ʊ s
emis	ɛ m ɪ s
emit	ɛ m ɪ t
emite	ɛ m ɪ t ɛ
emitis	ɛ m ɪ t ɪ s
emitor	ɛ m ɪ t ɔ r
emitur	ɛ m ɪ t ʊ r
emitō	ɛ m ɪ t oː
emitōte	ɛ m ɪ t oː t ɛ
emor	ɛ m ɔ r
emphysēmatōsus	ɛ m pʰ y s eː m a t oː s ʊ s
emphyteuse	ɛ m pʰ y t ɛ u̯ s ɛ
emphyteusēs	ɛ m pʰ y t ɛ u̯ s eː s
empērice	ɛ m p eː r ɪ k ɛ
empēricus	ɛ m p eː r ɪ k ʊ s
empīrica	ɛ m p iː r ɪ k a
empīrice	ɛ m p iː r ɪ k ɛ
empīricē	ɛ m p iː r ɪ k eː
emundō	ɛ m ʊ n d oː
emunt	ɛ m ʊ n t
emuntor	ɛ m ʊ n t ɔ r
emuntur	ɛ m ʊ n t ʊ r
emuntō	ɛ m ʊ n t oː
emy	ɛ m y
emyda	ɛ m y d a
emydas	ɛ m y d a s
emyde	ɛ m y d ɛ
emydem	ɛ m y d ẽː
emydes	ɛ m y d eː s
emydes	ɛ m y d ɛ s
emydibus	ɛ m y d ɪ b ʊ s
emydis	ɛ m y d ɪ s
emydos	ɛ m y d ɔ s
emydum	ɛ m y d ũː
emydī	ɛ m y d iː
emāminī	ɛ m aː m ɪ n iː
emāmur	ɛ m aː m ʊ r
emāmus	ɛ m aː m ʊ s
emāre	ɛ m aː r ɛ
emāris	ɛ m aː r ɪ s
emās	ɛ m aː s
emātis	ɛ m aː t ɪ s
emātur	ɛ m aː t ʊ r
emēbam	ɛ m eː b ãː
emēbant	ɛ m eː b a n t
emēbantur	ɛ m eː b a n t ʊ r
emēbar	ɛ m eː b a r
emēbat	ɛ m eː b a t
emēbāminī	ɛ m eː b aː m ɪ n iː
emēbāmur	ɛ m eː b aː m ʊ r
emēbāmus	ɛ m eː b aː m ʊ s
emēbāre	ɛ m eː b aː r ɛ
emēbāris	ɛ m eː b aː r ɪ s
emēbās	ɛ m eː b aː s
emēbātis	ɛ m eː b aː t ɪ s
emēbātur	ɛ m eː b aː t ʊ r
emēminī	ɛ m eː m ɪ n iː
emēmur	ɛ m eː m ʊ r
emēmus	ɛ m eː m ʊ s
emēre	ɛ m eː r ɛ
emēris	ɛ m eː r ɪ s
emēs	ɛ m eː s
emētis	ɛ m eː t ɪ s
emētur	ɛ m eː t ʊ r
emī	ɛ m iː
en	ɛ n
encephalicus	ɛ ŋ k ɛ pʰ a l ɪ k ʊ s
encyclicus	ɛ ŋ k y k l ɪ k ʊ s
energūmena	ɛ n ɛ r ɡ uː m ɛ n a
energūmena	ɛ n ɛ r ɡ uː m ɛ n aː
energūmene	ɛ n ɛ r ɡ uː m ɛ n ɛ
energūmenon	ɛ n ɛ r ɡ uː m ɛ n ɔ n
energūmenī	ɛ n ɛ r ɡ uː m ɛ n iː
energūmenō	ɛ n ɛ r ɡ uː m ɛ n oː
enganēnsis	ɛ ŋ ɡ a n ẽː s ɪ s
enterocōlīticus	ɛ n t ɛ r ɔ k oː l iː t ɪ k ʊ s
enterītidis	ɛ n t ɛ r iː t ɪ d ɪ s
enthūsiasmō	ɛ n tʰ uː s i a s m oː
enthūsiasta	ɛ n tʰ uː s i a s t a
enthūsiastās	ɛ n tʰ uː s i a s t aː s
enzymum	ɛ n z y m ũː
epicōpus	ɛ p ɪ k oː p ʊ s
epiglōttide	ɛ p ɪ ɡ ɫ oː t t ɪ d ɛ
epiglōttidem	ɛ p ɪ ɡ ɫ oː t t ɪ d ẽː
epiglōttidibus	ɛ p ɪ ɡ ɫ oː t t ɪ d ɪ b ʊ s
epiglōttidis	ɛ p ɪ ɡ ɫ oː t t ɪ d ɪ s
epiglōttidum	ɛ p ɪ ɡ ɫ oː t t ɪ d ũː
epiglōttidēs	ɛ p ɪ ɡ ɫ oː t t ɪ d eː s
epilēpticus	ɛ p ɪ ɫ eː p t ɪ k ʊ s
episcopālī	ɛ p ɪ s k ɔ p aː l iː
episcopātûs	ɛ p ɪ s k ɔ p aː t uː s
epistula	ɛ p ɪ s t ʊ ɫ a
epithalamia	ɛ p ɪ tʰ a ɫ a m i a
epitheta	ɛ p ɪ tʰ ɛ t a
epithetī	ɛ p ɪ tʰ ɛ t iː
epithetīs	ɛ p ɪ tʰ ɛ t iː s
epithetō	ɛ p ɪ tʰ ɛ t oː
epithetōrum	ɛ p ɪ tʰ ɛ t oː r ũː
epitomāte	ɛ p ɪ t ɔ m aː t ɛ
epochae	ɛ p ɔ kʰ a e̯
epochās	ɛ p ɔ kʰ aː s
epoptēs	ɛ p ɔ p t eː s
epula	ɛ p ʊ ɫ a
epulae	ɛ p ʊ ɫ a e̯
epulam	ɛ p ʊ ɫ ãː
epulārum	ɛ p ʊ ɫ aː r ũː
epulās	ɛ p ʊ ɫ aː s
epulī	ɛ p ʊ l iː
epulīs	ɛ p ʊ l iː s
epulō	ɛ p ʊ ɫ oː
epulōne	ɛ p ʊ ɫ oː n ɛ
epulōnem	ɛ p ʊ ɫ oː n ẽː
epulōnibus	ɛ p ʊ ɫ oː n ɪ b ʊ s
epulōnis	ɛ p ʊ ɫ oː n ɪ s
epulōnum	ɛ p ʊ ɫ oː n ũː
epulōnēs	ɛ p ʊ ɫ oː n eː s
epulōnī	ɛ p ʊ ɫ oː n iː
epulōrum	ɛ p ʊ ɫ oː r ũː
epūlida	ɛ p uː l ɪ d a
epūlidas	ɛ p uː l ɪ d a s
epūlide	ɛ p uː l ɪ d ɛ
epūlides	ɛ p uː l ɪ d ɛ s
epūlidibus	ɛ p uː l ɪ d ɪ b ʊ s
epūlidos	ɛ p uː l ɪ d ɔ s
epūlidum	ɛ p uː l ɪ d ũː
epūlidī	ɛ p uː l ɪ d iː
epūlis	ɛ p uː l ɪ s
equestris	ɛ kʷ ɛ s t r ɪ s
equis	ɛ kʷ ɪ s
equitāte	ɛ kʷ ɪ t aː t ɛ
equitātum	ɛ kʷ ɪ t aː t ũː
equitātus	ɛ kʷ ɪ t aː t ʊ s
equīs	ɛ kʷ iː s
equīsōnem	ɛ kʷ iː s oː n ẽː
er	ɛ r
erae	ɛ r a e̯
eram	ɛ r ãː
erant	ɛ r a n t
erat	ɛ r a t
ere	ɛ r ɛ
erimus	ɛ r ɪ m ʊ s
eris	ɛ r ɪ s
erit	ɛ r ɪ t
eritis	ɛ r ɪ t ɪ s
errandō	ɛ r r a n d oː
errem	ɛ r r ẽː
error	ɛ r r ɔ r
errārem	ɛ r r aː r ẽː
errārās	ɛ r r aː r aː s
errārēs	ɛ r r aː r eː s
errās	ɛ r r aː s
errāsse	ɛ r r aː s s ɛ
errāssem	ɛ r r aː s s ẽː
errāssent	ɛ r r aː s s ɛ n t
errāssēs	ɛ r r aː s s eː s
errāta	ɛ r r aː t a
errāta	ɛ r r aː t aː
errātica	ɛ r r aː t ɪ k a
errātica	ɛ r r aː t ɪ k aː
errāticī	ɛ r r aː t ɪ k iː
errāticō	ɛ r r aː t ɪ k oː
errātor	ɛ r r aː t ɔ r
errātum	ɛ r r aː t ũː
errāverimus	ɛ r r aː w ɛ r iː m ʊ s
errāverimus	ɛ r r aː w ɛ r ɪ m ʊ s
errāveris	ɛ r r aː w ɛ r iː s
errāveris	ɛ r r aː w ɛ r ɪ s
errāveritis	ɛ r r aː w ɛ r iː t ɪ s
errāveritis	ɛ r r aː w ɛ r ɪ t ɪ s
errēs	ɛ r r eː s
errō	ɛ r r oː
errōne	ɛ r r oː n ɛ
errōnem	ɛ r r oː n ẽː
errōnibus	ɛ r r oː n ɪ b ʊ s
errōnis	ɛ r r oː n ɪ s
errōnum	ɛ r r oː n ũː
errōnēs	ɛ r r oː n eː s
errōnī	ɛ r r oː n iː
errōrī	ɛ r r oː r iː
erum	ɛ r ũː
erunt	ɛ r ʊ n t
erysimum	ɛ r y s ɪ m ũː
erythrocytus	ɛ r y tʰ r ɔ k y t ʊ s
erāmus	ɛ r aː m ʊ s
erārum	ɛ r aː r ũː
erās	ɛ r aː s
erātis	ɛ r aː t ɪ s
erī	ɛ r iː
erīca	ɛ r iː k a
erīs	ɛ r iː s
erīthacae	ɛ r iː tʰ a k a e̯
erīthace	ɛ r iː tʰ a k ɛ
erīthacum	ɛ r iː tʰ a k ũː
erīthacārum	ɛ r iː tʰ a k aː r ũː
erīthacās	ɛ r iː tʰ a k aː s
erīthacē	ɛ r iː tʰ a k eː
erīthacēn	ɛ r iː tʰ a k eː n
erīthacēs	ɛ r iː tʰ a k eː s
erīthacī	ɛ r iː tʰ a k iː
erīthacīs	ɛ r iː tʰ a k iː s
erīthacō	ɛ r iː tʰ a k oː
erīthacōrum	ɛ r iː tʰ a k oː r ũː
erīthacōs	ɛ r iː tʰ a k oː s
erō	ɛ r oː
erōrum	ɛ r oː r ũː
erōs	ɛ r oː s
es	ɛ s
esat	ɛ s a t
escaiō	ɛ s k a j j oː
escaīre	ɛ s k a iː r ɛ
eschatologicus	ɛ s kʰ a t ɔ ɫ ɔ ɡ ɪ k ʊ s
escimaicus	ɛ s k ɪ m a ɪ k ʊ s
esperanticus	ɛ s p ɛ r a n t ɪ k ʊ s
esse	ɛ s s ɛ
essedārī	ɛ s s ɛ d aː r iː
essem	ɛ s s ẽː
essent	ɛ s s ɛ n t
esset	ɛ s s ɛ t
essēmus	ɛ s s eː m ʊ s
essēs	ɛ s s eː s
essētis	ɛ s s eː t ɪ s
est	ɛ s t
este	ɛ s t ɛ
estis	ɛ s t ɪ s
estonicus	ɛ s t ɔ n ɪ k ʊ s
estuārīnus	ɛ s t u aː r iː n ʊ s
estō	ɛ s t oː
estōte	ɛ s t oː t ɛ
esum	ɛ s ũː
etymologiam	ɛ t y m ɔ ɫ ɔ ɡ i ãː
euforbea	ɛ u̯ f ɔ r b e a
euforbia	ɛ u̯ f ɔ r b i a
eugenīus	ɛ u̯ ɡ ɛ n iː ʊ s
eulogiae	ɛ u̯ ɫ ɔ ɡ i a e̯
eulogiam	ɛ u̯ ɫ ɔ ɡ i ãː
eulogiārum	ɛ u̯ ɫ ɔ ɡ i aː r ũː
eulogiās	ɛ u̯ ɫ ɔ ɡ i aː s
eulogiīs	ɛ u̯ ɫ ɔ ɡ i iː s
eundum	e ʊ n d ũː
eundī	e ʊ n d iː
eundō	e ʊ n d oː
eunt	e ʊ n t
eunte	e ʊ n t ɛ
euntem	e ʊ n t ẽː
euntia	e ʊ n t i a
euntibus	e ʊ n t ɪ b ʊ s
euntis	e ʊ n t ɪ s
euntium	e ʊ n t i ũː
euntēs	e ʊ n t eː s
euntī	e ʊ n t iː
euntīs	e ʊ n t iː s
euntō	e ʊ n t oː
eurygnatha	ɛ u̯ r y ŋ n a tʰ a
eurygnatha	ɛ u̯ r y ŋ n a tʰ aː
eurī	ɛ u̯ r iː
eurō	ɛ u̯ r oː
eurōpium	ɛ u̯ r oː p i ũː
eurōus	ɛ u̯ r oː ʊ s
ex	ɛ k s
exacerbat	ɛ k s a k ɛ r b a t
exacuit	ɛ k s a k u ɪ t
exacuitur	ɛ k s a k u ɪ t ʊ r
exadversum	ɛ k s a d w ɛ r s ũː
exaeresimus	ɛ k s a e̯ r ɛ s ɪ m ʊ s
exaggerāte	ɛ k s a ɡ ɡ ɛ r aː t ɛ
exanguis	ɛ k s a ŋ ɡʷ ɪ s
exanimēs	ɛ k s a n ɪ m eː s
exaptōta	ɛ k s a p t oː t a
exasperante	ɛ k s a s p ɛ r a n t ɛ
exasperantī	ɛ k s a s p ɛ r a n t iː
exasperantō	ɛ k s a s p ɛ r a n t oː
exasperat	ɛ k s a s p ɛ r a t
exasperor	ɛ k s a s p ɛ r ɔ r
exasperās	ɛ k s a s p ɛ r aː s
exasperāta	ɛ k s a s p ɛ r aː t a
exasperāta	ɛ k s a s p ɛ r aː t aː
exasperāte	ɛ k s a s p ɛ r aː t ɛ
exasperātī	ɛ k s a s p ɛ r aː t iː
exasperātō	ɛ k s a s p ɛ r aː t oː
excandēscentia	ɛ k s k a n d eː s k ɛ n t i a
excellentior	ɛ k s k ɛ l l ɛ n t i ɔ r
excellentissimus	ɛ k s k ɛ l l ɛ n t ɪ s s ɪ m ʊ s
excellentissimē	ɛ k s k ɛ l l ɛ n t ɪ s s ɪ m eː
excellentius	ɛ k s k ɛ l l ɛ n t i ʊ s
excelsīs	ɛ k s k ɛ ɫ s iː s
exceptō	ɛ k s k ɛ p t oː
excidere	ɛ k s k ɪ d eː r ɛ
excidere	ɛ k s k ɪ d ɛ r ɛ
excidium	ɛ k s k ɪ d i ũː
excidō	ɛ k s k ɪ d oː
excieō	ɛ k s k i e oː
excitus	ɛ k s k ɪ t ʊ s
exclūsīva	ɛ k s k ɫ uː s iː w a
exclūsīva	ɛ k s k ɫ uː s iː w aː
excoluī	ɛ k s k ɔ ɫ u iː
excommūnicātiōnis	ɛ k s k ɔ m m uː n ɪ k aː t i oː n ɪ s
excoriātor	ɛ k s k ɔ r i aː t ɔ r
excreō	ɛ k s k r e oː
excrēmentum	ɛ k s k r eː m ɛ n t ũː
excrībō	ɛ k s k r iː b oː
exculpātum	ɛ k s k ʊ ɫ p aː t ũː
exculpātus	ɛ k s k ʊ ɫ p aː t ʊ s
exculpāvī	ɛ k s k ʊ ɫ p aː w iː
exculpō	ɛ k s k ʊ ɫ p oː
excīdere	ɛ k s k iː d ɛ r ɛ
excīdō	ɛ k s k iː d oː
excīte	ɛ k s k iː t ɛ
excītus	ɛ k s k iː t ʊ s
execror	ɛ k s ɛ k r ɔ r
execrābilis	ɛ k s ɛ k r aː b ɪ l ɪ s
execūte	ɛ k s ɛ k uː t ɛ
execūtō	ɛ k s ɛ k uː t oː
exempla	ɛ k s ɛ m p ɫ a
exempla	ɛ k s ɛ m p ɫ aː
exemplet	ɛ k s ɛ m p ɫ ɛ t
exemplāre	ɛ k s ɛ m p ɫ aː r ɛ
exemplārem	ɛ k s ɛ m p ɫ aː r ẽː
exemplāret	ɛ k s ɛ m p ɫ aː r ɛ t
exemplāria	ɛ k s ɛ m p ɫ aː r i a
exemplāribus	ɛ k s ɛ m p ɫ aː r ɪ b ʊ s
exemplāris	ɛ k s ɛ m p ɫ aː r iː s
exemplāris	ɛ k s ɛ m p ɫ aː r ɪ s
exemplārium	ɛ k s ɛ m p ɫ aː r i ũː
exemplāriī	ɛ k s ɛ m p ɫ aː r i iː
exemplāriīs	ɛ k s ɛ m p ɫ aː r i iː s
exemplāriō	ɛ k s ɛ m p ɫ aː r i oː
exemplāriōrum	ɛ k s ɛ m p ɫ aː r i oː r ũː
exemplārēs	ɛ k s ɛ m p ɫ aː r eː s
exemplārī	ɛ k s ɛ m p ɫ aː r iː
exemplārīs	ɛ k s ɛ m p ɫ aː r iː s
exemplārīs	ɛ k s ɛ m p ɫ aː r ɪ s
exemplāta	ɛ k s ɛ m p ɫ aː t a
exemplāta	ɛ k s ɛ m p ɫ aː t aː
exemplātae	ɛ k s ɛ m p ɫ aː t a e̯
exemplātam	ɛ k s ɛ m p ɫ aː t ãː
exemplāte	ɛ k s ɛ m p ɫ aː t ɛ
exemplātis	ɛ k s ɛ m p ɫ aː t iː s
exemplātis	ɛ k s ɛ m p ɫ aː t ɪ s
exemplātum	ɛ k s ɛ m p ɫ aː t ũː
exemplātus	ɛ k s ɛ m p ɫ aː t ʊ s
exemplātārum	ɛ k s ɛ m p ɫ aː t aː r ũː
exemplātās	ɛ k s ɛ m p ɫ aː t aː s
exemplātī	ɛ k s ɛ m p ɫ aː t iː
exemplātō	ɛ k s ɛ m p ɫ aː t oː
exemplātōrum	ɛ k s ɛ m p ɫ aː t oː r ũː
exemplātōs	ɛ k s ɛ m p ɫ aː t oː s
exemplātūra	ɛ k s ɛ m p ɫ aː t uː r a
exemplātūra	ɛ k s ɛ m p ɫ aː t uː r aː
exemplātūrae	ɛ k s ɛ m p ɫ aː t uː r a e̯
exemplātūram	ɛ k s ɛ m p ɫ aː t uː r ãː
exemplātūre	ɛ k s ɛ m p ɫ aː t uː r ɛ
exemplātūrum	ɛ k s ɛ m p ɫ aː t uː r ũː
exemplātūrus	ɛ k s ɛ m p ɫ aː t uː r ʊ s
exemplātūrārum	ɛ k s ɛ m p ɫ aː t uː r aː r ũː
exemplātūrās	ɛ k s ɛ m p ɫ aː t uː r aː s
exemplātūrī	ɛ k s ɛ m p ɫ aː t uː r iː
exemplātūrīs	ɛ k s ɛ m p ɫ aː t uː r iː s
exemplātūrō	ɛ k s ɛ m p ɫ aː t uː r oː
exemplātūrōrum	ɛ k s ɛ m p ɫ aː t uː r oː r ũː
exemplātūrōs	ɛ k s ɛ m p ɫ aː t uː r oː s
exemplāvī	ɛ k s ɛ m p ɫ aː w iː
exemplēs	ɛ k s ɛ m p ɫ eː s
exemplī	ɛ k s ɛ m p l iː
exemplīs	ɛ k s ɛ m p l iː s
exemplō	ɛ k s ɛ m p ɫ oː
exemplōrum	ɛ k s ɛ m p ɫ oː r ũː
exenterāre	ɛ k s ɛ n t ɛ r aː r ɛ
exenterātus	ɛ k s ɛ n t ɛ r aː t ʊ s
exequor	ɛ k s ɛ kʷ ɔ r
exequātur	ɛ k s ɛ kʷ aː t ʊ r
exercitibus	ɛ k s ɛ r k ɪ t ɪ b ʊ s
exercitum	ɛ k s ɛ r k ɪ t ũː
exercitus	ɛ k s ɛ r k ɪ t uː s
exercitus	ɛ k s ɛ r k ɪ t ʊ s
exercituum	ɛ k s ɛ r k ɪ t u ũː
exercituī	ɛ k s ɛ r k ɪ t u iː
exercitū	ɛ k s ɛ r k ɪ t uː
exertō	ɛ k s ɛ r t oː
exerō	ɛ k s ɛ r oː
exeunt	ɛ k s e ʊ n t
exfoliantēs	ɛ k f f ɔ l i a n t eː s
exfoliātīvus	ɛ k f f ɔ l i aː t iː w ʊ s
exfornicātus	ɛ k f f ɔ r n ɪ k aː t ʊ s
exfricābere	ɛ k f f r ɪ k aː b ɛ r ɛ
exfricābāre	ɛ k f f r ɪ k aː b aː r ɛ
exfricārēre	ɛ k f f r ɪ k aː r eː r ɛ
exfricēre	ɛ k f f r ɪ k eː r ɛ
exfricō	ɛ k f f r ɪ k oː
exfrixēre	ɛ k f f r ɪ k s eː r ɛ
exhaurit	ɛ k s a u̯ r ɪ t
exhauriēs	ɛ k s a u̯ r i eː s
exhaurī	ɛ k s a u̯ r iː
exhaurīrem	ɛ k s a u̯ r iː r ẽː
exhaurīrēs	ɛ k s a u̯ r iː r eː s
exhaurīs	ɛ k s a u̯ r iː s
exierimus	ɛ k s i ɛ r iː m ʊ s
exierimus	ɛ k s i ɛ r ɪ m ʊ s
exieris	ɛ k s i ɛ r iː s
exieris	ɛ k s i ɛ r ɪ s
exieritis	ɛ k s i ɛ r iː t ɪ s
exieritis	ɛ k s i ɛ r ɪ t ɪ s
exigentēs	ɛ k s ɪ ɡ ɛ n t eː s
exiguitāte	ɛ k s ɪ ɡ u ɪ t aː t ɛ
exilium	ɛ k s ɪ l i ũː
exiliō	ɛ k s ɪ l i oː
eximia	ɛ k s ɪ m i a
eximia	ɛ k s ɪ m i aː
eximiās	ɛ k s ɪ m i aː s
eximiē	ɛ k s ɪ m i eː
eximiī	ɛ k s ɪ m i iː
eximiō	ɛ k s ɪ m i oː
eximiōs	ɛ k s ɪ m i oː s
exinterā	ɛ k s ɪ n t ɛ r aː
existō	ɛ k s ɪ s t oː
exitus	ɛ k s ɪ t ʊ s
exjūrō	ɛ k s j uː r oː
exolvō	ɛ k s ɔ ɫ w oː
exolēscō	ɛ k s ɔ ɫ eː s k oː
exolēte	ɛ k s ɔ ɫ eː t ɛ
exorbeō	ɛ k s ɔ r b e oː
exossis	ɛ k s ɔ s s ɪ s
expediente	ɛ k s p ɛ d i ɛ n t ɛ
expedientēs	ɛ k s p ɛ d i ɛ n t eː s
expedierimus	ɛ k s p ɛ d i ɛ r iː m ʊ s
expedierimus	ɛ k s p ɛ d i ɛ r ɪ m ʊ s
expedieritis	ɛ k s p ɛ d i ɛ r iː t ɪ s
expedieritis	ɛ k s p ɛ d i ɛ r ɪ t ɪ s
expediunda	ɛ k s p ɛ d i ʊ n d a
expediunda	ɛ k s p ɛ d i ʊ n d aː
expediundae	ɛ k s p ɛ d i ʊ n d a e̯
expediundam	ɛ k s p ɛ d i ʊ n d ãː
expediunde	ɛ k s p ɛ d i ʊ n d ɛ
expediundum	ɛ k s p ɛ d i ʊ n d ũː
expediundus	ɛ k s p ɛ d i ʊ n d ʊ s
expediundārum	ɛ k s p ɛ d i ʊ n d aː r ũː
expediundās	ɛ k s p ɛ d i ʊ n d aː s
expediundī	ɛ k s p ɛ d i ʊ n d iː
expediundīs	ɛ k s p ɛ d i ʊ n d iː s
expediundō	ɛ k s p ɛ d i ʊ n d oː
expediundōrum	ɛ k s p ɛ d i ʊ n d oː r ũː
expediundōs	ɛ k s p ɛ d i ʊ n d oː s
expediī	ɛ k s p ɛ d i iː
expedīrier	ɛ k s p ɛ d iː r i ɛ r
expedīrī	ɛ k s p ɛ d iː r iː
expedīta	ɛ k s p ɛ d iː t a
expedīta	ɛ k s p ɛ d iː t aː
expedītās	ɛ k s p ɛ d iː t aː s
expedītō	ɛ k s p ɛ d iː t oː
expedītōs	ɛ k s p ɛ d iː t oː s
expedīvī	ɛ k s p ɛ d iː w iː
expejūrō	ɛ k s p ɛ j j uː r oː
experīmentāle	ɛ k s p ɛ r iː m ɛ n t aː ɫ ɛ
experīmentālis	ɛ k s p ɛ r iː m ɛ n t aː l ɪ s
expetissō	ɛ k s p ɛ t ɪ s s oː
expiātor	ɛ k s p i aː t ɔ r
explicandō	ɛ k s p l ɪ k a n d oː
explicat	ɛ k s p l ɪ k a t
explicā	ɛ k s p l ɪ k aː
explicāre	ɛ k s p l ɪ k aː r ɛ
explicārem	ɛ k s p l ɪ k aː r ẽː
explicārās	ɛ k s p l ɪ k a r aː s
explicārēs	ɛ k s p l ɪ k aː r eː s
explicās	ɛ k s p l ɪ k aː s
explicāsse	ɛ k s p l ɪ k a s s ɛ
explicāssem	ɛ k s p l ɪ k a s s ẽː
explicāssēs	ɛ k s p l ɪ k a s s eː s
explicātus	ɛ k s p l ɪ k aː t uː s
explicātus	ɛ k s p l ɪ k aː t ʊ s
explānātor	ɛ k s p ɫ aː n aː t ɔ r
explēte	ɛ k s p ɫ eː t ɛ
expoliō	ɛ k s p ɔ l i oː
exporrēxeris	ɛ k s p ɔ r r eː k s ɛ r ɪ s
exporrēxerīs	ɛ k s p ɔ r r eː k s ɛ r iː s
exportandō	ɛ k s p ɔ r t a n d oː
exportem	ɛ k s p ɔ r t ẽː
exporter	ɛ k s p ɔ r t ɛ r
exportā	ɛ k s p ɔ r t aː
exportārem	ɛ k s p ɔ r t aː r ẽː
exportārās	ɛ k s p ɔ r t aː r aː s
exportārēs	ɛ k s p ɔ r t aː r eː s
exportās	ɛ k s p ɔ r t aː s
exportāsse	ɛ k s p ɔ r t aː s s ɛ
exportāssem	ɛ k s p ɔ r t aː s s ẽː
exportāssent	ɛ k s p ɔ r t aː s s ɛ n t
exportāssēs	ɛ k s p ɔ r t aː s s eː s
exportēs	ɛ k s p ɔ r t eː s
expositīciam	ɛ k s p ɔ s ɪ t iː k i ãː
exproperātus	ɛ k s p r ɔ p ɛ r aː t ʊ s
expugnātōre	ɛ k s p ʊ ŋ n aː t oː r ɛ
expulsās	ɛ k s p ʊ ɫ s aː s
expulsō	ɛ k s p ʊ ɫ s oː
expuō	ɛ k s p u oː
expānsīva	ɛ k s p ãː s iː w a
expānsīva	ɛ k s p ãː s iː w aː
