Ѓ	ɟ ə
боцвански	b ɔ t͡s v a n s k i
боци	b ɔ t͡s i
боциче	b ɔ t͡s i t͡ʃ ɛ
боцичка	b ɔ t͡s i t͡ʃ k a
боцка	b ɔ t͡s k a
боцкав	b ɔ t͡s k a f
боцкаво	b ɔ t͡s k a v ɔ
боцкавост	b ɔ t͡s k a v ɔ s t
боцкалка	b ɔ t͡s k a ɫ k a
боцкан	b ɔ t͡s k a n
боцкајќи	b ɔ t͡s k a j c i
боцкање	b ɔ t͡s k a ɲ ɛ
боцки	b ɔ t͡s k i
боцнат	b ɔ t͡s n a t
боцне	b ɔ t͡s n ɛ
боцнува	b ɔ t͡s n u v a
боцнуван	b ɔ t͡s n u v a n
боцнувајќи	b ɔ t͡s n u v a j c i
боцнување	b ɔ t͡s n u v a ɲ ɛ
бочва	b ɔ t͡ʃ v a
бочвар	b ɔ t͡ʃ v a r
бочварски	b ɔ t͡ʃ v a r s k i
бочварство	b ɔ t͡ʃ v a r s t v ɔ
бочвиче	b ɔ t͡ʃ v i t͡ʃ ɛ
бочвиште	b ɔ t͡ʃ v i ʃ t ɛ
бочен	b ɔ t͡ʃ ɛ n
бочно	b ɔ t͡ʃ n ɔ
бош	b ɔ ʃ
бошњачка	b ɔ ʃ ɲ a t͡ʃ k a
бошњачката	b ɔ ʃ ɲ a t͡ʃ k a t a
бошњачки	b ɔ ʃ ɲ a t͡ʃ k i
бошњачкиот	b ɔ ʃ ɲ a t͡ʃ k i j ɔ t
бошњачките	b ɔ ʃ ɲ a t͡ʃ k i t ɛ
бошњачко	b ɔ ʃ ɲ a t͡ʃ k ɔ
бошњачкото	b ɔ ʃ ɲ a t͡ʃ k ɔ t ɔ
бој	b ɔ j
боја	b ɔ j a
бојава	b ɔ j a v a
бојадиса	b ɔ j a d i s a
бојадисан	b ɔ j a d i s a n
бојадисува	b ɔ j a d i s u v a
бојадисуван	b ɔ j a d i s u v a n
бојадисувајќи	b ɔ j a d i s u v a j c i
бојадисување	b ɔ j a d i s u v a ɲ ɛ
бојазлив	b ɔ j a z l i f
бојазливо	b ɔ j a z l i v ɔ
бојана	b ɔ j a n a
бојата	b ɔ j a t a
бојаџии	b ɔ j a d͡ʒ i i
бојаџија	b ɔ j a d͡ʒ i j a
бојкот	b ɔ j k ɔ t
бојкоти	b ɔ j k ɔ t i
бојкотира	b ɔ j k ɔ t i ɾ a
бојкотиран	b ɔ j k ɔ t i ɾ a n
бојкотирајќи	b ɔ j k ɔ t i r a j c i
бојкотирање	b ɔ j k ɔ t i ɾ a ɲ ɛ
бојкотува	b ɔ j k ɔ t u v a
бојлер	b ɔ j l ɛ r
бојлери	b ɔ j l ɛ ɾ i
бојлерски	b ɔ j l ɛ r s k i
бојлерче	b ɔ j l ɛ r t͡ʃ ɛ
бојмички	b ɔ j m i t͡ʃ k i
бојник	b ɔ j n i k
бојници	b ɔ j n i t͡s i
бојоса	b ɔ j ɔ s a
бојосува	b ɔ j ɔ s u v a
бојосуван	b ɔ j ɔ s u v a n
бојосување	b ɔ j ɔ s u v a ɲ ɛ
бр	b r̩
брав	b r a f
брава	b r a v a
бравар	b r a v a r
бравари	b r a v a ɾ i
браварка	b r a v a r k a
браварски	b r a v a r s k i
брави	b r a v i
бравиве	b r a v i v ɛ
бравине	b r a v i n ɛ
бравите	b r a v i t ɛ
бравичка	b r a v i t͡ʃ k a
браво	b r a v ɔ
бравови	b r a v ɔ v i
бравовите	b r a v ɔ v i t ɛ
бравос	b r a v ɔ s
бравски	b r a f s k i
бравура	b r a v u ɾ a
бравче	b r a f t͡ʃ ɛ
бравје	b r a v j ɛ
бравјето	b r a v j ɛ t ɔ
брада	b r a d a
брадавица	b r a d a v i t͡s a
брадавици	b r a d a v i t͡s i
брадат	b r a d a t
брадва	b r a d v a
брадви	b r a d v i
брадест	b r a d ɛ s t
бради	b r a d i
брадиче	b r a d i t͡ʃ ɛ
брадичка	b r a d i t͡ʃ k a
брадиште	b r a d i ʃ t ɛ
бразавилец	b r a z a v i l ɛ t͡s
бразавилка	b r a z a v i ɫ k a
бразавилски	b r a z a v i ɫ s k i
бразавилци	b r a z a v i ɫ t͡s i
бразда	b r a z d a
бразден	b r a z d ɛ n
браздест	b r a z d ɛ s t
браздејќи	b r a z d ɛ j c i
браздење	b r a z d ɛ ɲ ɛ
бразди	b r a z d i
браздиче	b r a z d i t͡ʃ ɛ
браздичка	b r a z d i t͡ʃ k a
браздиште	b r a z d i ʃ t ɛ
бразилиец	b r a z i l i j ɛ t͡s
бразилиски	b r a z i l i s k i
бразилијка	b r a z i l i j k a
бразилска	b r a z i ɫ s k a
бразилски	b r a z i ɫ s k i
брак	b r a k
брака	b r a k a
бракови	b r a k ɔ v i
браколомен	b r a k ɔ ɫ ɔ m ɛ n
браколомник	b r a k ɔ ɫ ɔ m n i k
браколомничка	b r a k ɔ ɫ ɔ m n i t͡ʃ k a
браколомнички	b r a k ɔ ɫ ɔ m n i t͡ʃ k i
браколомно	b r a k ɔ ɫ ɔ m n ɔ
браколомство	b r a k ɔ ɫ ɔ m s t v ɔ
бран	b r a n
брана	b r a n a
бранет	b r a n ɛ t
бранејќи	b r a n ɛ j c i
бранење	b r a n ɛ ɲ ɛ
брани	b r a n i
браник	b r a n i k
бранител	b r a n i t ɛ ɫ
бранителка	b r a n i t ɛ ɫ k a
бранителски	b r a n i t ɛ ɫ s k i
бранителство	b r a n i t ɛ ɫ s t v ɔ
браници	b r a n i t͡s i
бранлив	b r a n l i f
бранов	b r a n ɔ f
бранови	b r a n ɔ v i
брановиден	b r a n ɔ v i d ɛ n
брановидно	b r a n ɔ v i d n ɔ
брановит	b r a n ɔ v i t
брановито	b r a n ɔ v i t ɔ
браној	b r a n ɔ j
бранува	b r a n u v a
брануван	b r a n u v a n
бранувајќи	b r a n u v a j c i
бранување	b r a n u v a ɲ ɛ
бранче	b r a n t͡ʃ ɛ
брао	b r a ɔ
браон	b r a ɔ n
браос	b r a ɔ s
брат	b r a t
брате	b r a t ɛ
братиславец	b r a t i s ɫ a v ɛ t͡s
братиславка	b r a t i s ɫ a f k a
братиславски	b r a t i s ɫ a f s k i
братија	b r a t i j a
братов	b r a t ɔ f
братоубиец	b r a t ɔ u b i j ɛ t͡s
братоубиство	b r a t ɔ u b i s t v ɔ
братски	b r a t s k i
братства	b r a t s t v a
братство	b r a t s t v ɔ
брату	b r a t u
братуле	b r a t u l ɛ
братучед	b r a t u t͡ʃ ɛ t
братучеда	b r a t u t͡ʃ ɛ d a
братучеди	b r a t u t͡ʃ ɛ d i
братучедка	b r a t u t͡ʃ ɛ t k a
братучедо	b r a t u t͡ʃ ɛ d ɔ
братучедов	b r a t u t͡ʃ ɛ d ɔ f
братучедски	b r a t u t͡ʃ ɛ t s k i
братучетка	b r a t u t͡ʃ ɛ t k a
братучетке	b r a t u t͡ʃ ɛ t k ɛ
братучетки	b r a t u t͡ʃ ɛ t k i
братучетски	b r a t u t͡ʃ ɛ t s k i
братче	b r a t t͡ʃ ɛ
брачен	b r a t͡ʃ ɛ n
брачно	b r a t͡ʃ n ɔ
брашнар	b r a ʃ n a r
брашнари	b r a ʃ n a ɾ i
брашнен	b r a ʃ n ɛ n
брашнест	b r a ʃ n ɛ s t
брашник	b r a ʃ n i k
брашници	b r a ʃ n i t͡s i
брашно	b r a ʃ n ɔ
брашноса	b r a ʃ n ɔ s a
брашносан	b r a ʃ n ɔ s a n
брашносува	b r a ʃ n ɔ s u v a
брашносуван	b r a ʃ n ɔ s u v a n
брашносување	b r a ʃ n ɔ s u v a ɲ ɛ
браќа	b r a c a
брблив	b r̩ b l i f
брбливец	b r̩ b l i v ɛ t͡s
брбливка	b r̩ b l i f k a
брбливост	b r̩ b l i v ɔ s t
брбливци	b r̩ b l i f t͡s i
брбореа	b r̩ b ɔ ɾ ɛ a
брборевте	b r̩ b ɔ ɾ ɛ f t ɛ
брборел	b r̩ b ɔ ɾ ɛ ɫ
брборејќи	b r̩ b ɔ r ɛ j c i
брборење	b r̩ b ɔ ɾ ɛ ɲ ɛ
брбори	b r̩ b ɔ ɾ i
брбориме	b r̩ b ɔ ɾ i m ɛ
брбориш	b r̩ b ɔ ɾ i ʃ
брборка	b r̩ b ɔ r k a
брборко	b r̩ b ɔ r k ɔ
брборлив	b r̩ b ɔ r l i f
брборливо	b r̩ b ɔ r l i v ɔ
брборливост	b r̩ b ɔ r l i v ɔ s t
брбушка	b r̩ b u ʃ k a
брбушки	b r̩ b u ʃ k i
бргу	b r̩ ɡ u
брдо	b r̩ d ɔ
брдовит	b r̩ d ɔ v i t
бре	b r ɛ
бревијар	b r ɛ v i j a r
бревијари	b r ɛ v i j a ɾ i
бревта	b r ɛ f t a
бревтајќи	b r ɛ f t a j c i
бревтање	b r ɛ f t a ɲ ɛ
брег	b r ɛ k
брегалнички	b r ɛ ɡ a ɫ n i t͡ʃ k i
брегови	b r ɛ ɡ ɔ v i
брегој	b r ɛ ɡ ɔ j
брегче	b r ɛ k t͡ʃ ɛ
брежански	b r ɛ ʒ a n s k i
бреже	b r ɛ ʒ ɛ
брежје	b r ɛ ʒ j ɛ
бреза	b r ɛ z a
брезава	b r ɛ z a v a
брезана	b r ɛ z a n a
брезата	b r ɛ z a t a
брези	b r ɛ z i
брезиве	b r ɛ z i v ɛ
брезине	b r ɛ z i n ɛ
брезите	b r ɛ z i t ɛ
брезиче	b r ɛ z i t͡ʃ ɛ
брезичка	b r ɛ z i t͡ʃ k a
брезо	b r ɛ z ɔ
брезов	b r ɛ z ɔ f
брекина	b r ɛ k i n a
брекини	b r ɛ k i n i
брекче	b r ɛ k t͡ʃ ɛ
бреме	b r ɛ m ɛ
бремен	b r ɛ m ɛ n
бременост	b r ɛ m ɛ n ɔ s t
бренди	b r ɛ n d i
брендира	b r ɛ n d i ɾ a
брест	b r ɛ s t
брестов	b r ɛ s t ɔ f
бресје	b r ɛ s j ɛ
бретонски	b r ɛ t ɔ n s k i
бреј	b r ɛ j
брз	b r̩ s
брза	b r̩ z a
брзак	b r̩ z a k
брзан	b r̩ z a n
брзаница	b r̩ z a n i t͡s a
брзајќи	b r̩ z a j c i
брзање	b r̩ z a ɲ ɛ
брзга	b r̩ z ɡ a
брзгајќи	b r̩ z ɡ a j c i
брзгање	b r̩ z ɡ a ɲ ɛ
брзина	b r̩ z i n a
брзиномер	b r̩ z i n ɔ m ɛ r
брзински	b r̩ z i n s k i
брзичок	b r̩ z i t͡ʃ ɔ k
брзне	b r̩ z n ɛ
брзнува	b r̩ z n u v a
брзнувајќи	b r̩ z n u v a j c i
брзнување	b r̩ z n u v a ɲ ɛ
брзо	b r̩ z ɔ
брзозборка	b r̩ z ɔ z b ɔ r k a
брзозборки	b r̩ z ɔ z b ɔ r k i
брзометен	b r̩ z ɔ m ɛ t ɛ n
брзоног	b r̩ z ɔ n ɔ k
брзопис	b r̩ z ɔ p i s
брзоплет	b r̩ z ɔ p l ɛ t
брзоплето	b r̩ z ɔ p l ɛ t ɔ
бри	b r i
бриво	b r i v ɔ
бригада	b r i ɡ a d a
бригаден	b r i ɡ a d ɛ n
бригадир	b r i ɡ a d i r
брилира	b r i l i ɾ a
брилијантен	b r i l i j a n t ɛ n
брилијантно	b r i l i j a n t n ɔ
брино	b r i n ɔ
брис	b r i s
бриселец	b r i s ɛ l ɛ t͡s
бриселка	b r i s ɛ ɫ k a
бриселски	b r i s ɛ ɫ s k i
британски	b r i t a n s k i
брито	b r i t ɔ
брифинг	b r i f i ŋ k
брич	b r i t͡ʃ
бричеви	b r i t͡ʃ ɛ v i
бричен	b r i t͡ʃ ɛ n
бричејќи	b r i t͡ʃ ɛ j c i
бричење	b r i t͡ʃ ɛ ɲ ɛ
бричи	b r i t͡ʃ i
бришач	b r i ʃ a t͡ʃ
брише	b r i ʃ ɛ
бришен	b r i ʃ ɛ n
бришете	b r i ʃ ɛ t ɛ
бришејќи	b r i ʃ ɛ j c i
бришење	b r i ʃ ɛ ɲ ɛ
бриши	b r i ʃ i
бришнат	b r i ʃ n a t
бришне	b r i ʃ n ɛ
бриџ	b r i t͡ʃ
бриџтаунец	b r i t͡ʃ t a u n ɛ t͡s
бриџтаунка	b r i t͡ʃ t a u ŋ k a
бриџтаунски	b r i t͡ʃ t a u n s k i
бриџтаунци	b r i t͡ʃ t a u n t͡s i
брк	b r̩ k
брка	b r̩ k a
бркал	b r̩ k a ɫ
бркала	b r̩ k a ɫ a
бркало	b r̩ k a ɫ ɔ
бркан	b r̩ k a n
брканица	b r̩ k a n i t͡s a
брканици	b r̩ k a n i t͡s i
бркајќи	b r̩ k a j c i
бркање	b r̩ k a ɲ ɛ
бркови	b r̩ k ɔ v i
бркотница	b r̩ k ɔ t n i t͡s a
брлив	b r̩ l i f
брливо	b r̩ l i v ɔ
брливост	b r̩ l i v ɔ s t
брмчејќи	b r̩ m t͡ʃ ɛ j c i
брмчење	b r̩ m t͡ʃ ɛ ɲ ɛ
брмчи	b r̩ m t͡ʃ i
брод	b r ɔ t
брода	b r ɔ d a
бродар	b r ɔ d a r
бродари	b r ɔ d a ɾ i
бродарка	b r ɔ d a r k a
бродарски	b r ɔ d a r s k i
бродарство	b r ɔ d a r s t v ɔ
бродови	b r ɔ d ɔ v i
бродоградба	b r ɔ d ɔ ɡ r a d b a
бродоградилиште	b r ɔ d ɔ ɡ r a d i l i ʃ t ɛ
бродоградител	b r ɔ d ɔ ɡ r a d i t ɛ ɫ
бродолом	b r ɔ d ɔ ɫ ɔ m
бродоломец	b r ɔ d ɔ ɫ ɔ m ɛ t͡s
бродоломи	b r ɔ d ɔ ɫ ɔ m i
бродоломник	b r ɔ d ɔ ɫ ɔ m n i k
бродоломници	b r ɔ d ɔ ɫ ɔ m n i t͡s i
бродоломци	b r ɔ d ɔ ɫ ɔ m t͡s i
бродски	b r ɔ t s k i
броеви	b r ɔ ɛ v i
броен	b r ɔ ɛ n
броеница	b r ɔ ɛ n i t͡s a
броејќи	b r ɔ ɛ j c i
броење	b r ɔ ɛ ɲ ɛ
брои	b r ɔ i
броила	b r ɔ i ɫ a
броило	b r ɔ i ɫ ɔ
броител	b r ɔ i t ɛ ɫ
броители	b r ɔ i t ɛ l i
брокер	b r ɔ k ɛ r
брокерски	b r ɔ k ɛ r s k i
брокула	b r ɔ k u ɫ a
бром	b r ɔ m
бронза	b r ɔ n z a
бронзен	b r ɔ n z ɛ n
бронки	b r ɔ ŋ k i
бронхитис	b r ɔ ŋ x i t i s
бронхија	b r ɔ ŋ x i j a
бронхијален	b r ɔ ŋ x i j a l ɛ n
бротски	b r ɔ t s k i
бротче	b r ɔ t t͡ʃ ɛ
брош	b r ɔ ʃ
брошеви	b r ɔ ʃ ɛ v i
брошира	b r ɔ ʃ i ɾ a
брошови	b r ɔ ʃ ɔ v i
брошура	b r ɔ ʃ u ɾ a
броѓанец	b r ɔ ɟ a n ɛ t͡s
броѓанка	b r ɔ ɟ a ŋ k a
број	b r ɔ j
бројалка	b r ɔ j a ɫ k a
бројаница	b r ɔ j a n i t͡s a
бројач	b r ɔ j a t͡ʃ
бројка	b r ɔ j k a
бројници	b r ɔ j n i t͡s i
бројност	b r ɔ j n ɔ s t
бројчаник	b r ɔ j t͡ʃ a n i k
бројче	b r ɔ j t͡ʃ ɛ
брсјачки	b r̩ s j a t͡ʃ k i
брука	b r u k a
брукан	b r u k a n
брукање	b r u k a ɲ ɛ
брунејски	b r u n ɛ j s k i
брунка	b r u ŋ k a
брунки	b r u ŋ k i
брус	b r u s
брусен	b r u s ɛ n
брусејќи	b r u s ɛ j c i
брусење	b r u s ɛ ɲ ɛ
бруси	b r u s i
брускета	b r u s k ɛ t a
брусница	b r u s n i t͡s a
брут	b r u t
брутален	b r u t a l ɛ n
брутално	b r u t a ɫ n ɔ
бруталност	b r u t a ɫ n ɔ s t
бруто	b r u t ɔ
брутови	b r u t ɔ v i
брутче	b r u t t͡ʃ ɛ
бруцош	b r u t͡s ɔ ʃ
бруцошки	b r u t͡s ɔ ʃ k i
бруќе	b r u c ɛ
брца	b r̩ t͡s a
брцан	b r̩ t͡s a n
брцајќи	b r̩ t͡s a j c i
брцање	b r̩ t͡s a ɲ ɛ
брцка	b r̩ t͡s k a
брцкајќи	b r̩ t͡s k a j c i
брцкање	b r̩ t͡s k a ɲ ɛ
брцнат	b r̩ t͡s n a t
брцне	b r̩ t͡s n ɛ
брцнува	b r̩ t͡s n u v a
брцнувајќи	b r̩ t͡s n u v a j c i
брцнување	b r̩ t͡s n u v a ɲ ɛ
брчало	b r̩ t͡ʃ a ɫ ɔ
брчејќи	b r̩ t͡ʃ ɛ j c i
брчење	b r̩ t͡ʃ ɛ ɲ ɛ
брчи	b r̩ t͡ʃ i
брчка	b r̩ t͡ʃ k a
брчкав	b r̩ t͡ʃ k a f
брчкан	b r̩ t͡ʃ k a n
брчкајќи	b r̩ t͡ʃ k a j c i
брчкање	b r̩ t͡ʃ k a ɲ ɛ
брчки	b r̩ t͡ʃ k i
брчкиче	b r̩ t͡ʃ k i t͡ʃ ɛ
бршлен	b r̩ ʃ l ɛ n
бршленов	b r̩ ʃ l ɛ n ɔ f
бу	b u
буба	b u b a
бубалица	b u b a l i t͡s a
бубалка	b u b a ɫ k a
бубамара	b u b a m a ɾ a
бубамари	b u b a m a ɾ i
бубамарче	b u b a m a r t͡ʃ ɛ
бубан	b u b a n
бубаче	b u b a t͡ʃ ɛ
бубачка	b u b a t͡ʃ k a
бубачки	b u b a t͡ʃ k i
бубашваба	b u b a ʃ v a b a
бубашваби	b u b a ʃ v a b i
бубајќи	b u b a j c i
бубање	b u b a ɲ ɛ
бубаќ	b u b a c
бубен	b u b ɛ n
бубнат	b u b n a t
бубне	b u b n ɛ
бубрег	b u b r ɛ k
бубрежен	b u b r ɛ ʒ ɛ n
бубрежно	b u b r ɛ ʒ n ɔ
бубуљица	b u b u ʎ i t͡s a
був	b u f
бувови	b u v ɔ v i
бувче	b u f t͡ʃ ɛ
бугаризам	b u ɡ a r i z a m
бугаризација	b u ɡ a ɾ i z a t͡s i j a
бугаризира	b u ɡ a ɾ i z i ɾ a
бугаризиран	b u ɡ a ɾ i z i ɾ a n
бугаризирано	b u ɡ a ɾ i z i ɾ a n ɔ
бугаризирајќи	b u ɡ a ɾ i z i r a j c i
бугаризирање	b u ɡ a ɾ i z i ɾ a ɲ ɛ
бугароман	b u ɡ a ɾ ɔ m a n
бугарофил	b u ɡ a ɾ ɔ f i ɫ
бугарофилиште	b u ɡ a ɾ ɔ f i l i ʃ t ɛ
бугарска	b u ɡ a r s k a
бугарски	b u ɡ a r s k i
будала	b u d a ɫ a
будалаштина	b u d a ɫ a ʃ t i n a
будалее	b u d a l ɛ ɛ
будалеејќи	b u d a l ɛ ɛ j c i
будалеење	b u d a l ɛ ɛ ɲ ɛ
будалест	b u d a l ɛ s t
будалесто	b u d a l ɛ s t ɔ
будалетина	b u d a l ɛ t i n a
будалетини	b u d a l ɛ t i n i
будалетинка	b u d a l ɛ t i ŋ k a
будалење	b u d a l ɛ ɲ ɛ
будали	b u d a l i
будаличишта	b u d a l i t͡ʃ i ʃ t a
будаличиште	b u d a l i t͡ʃ i ʃ t ɛ
будалиште	b u d a l i ʃ t ɛ
будалче	b u d a ɫ t͡ʃ ɛ
буден	b u d ɛ n
будејќи	b u d ɛ j c i
будење	b u d ɛ ɲ ɛ
буди	b u d i
будизам	b u d i z a m
будилник	b u d i ɫ n i k
будимпештанец	b u d i m p ɛ ʃ t a n ɛ t͡s
будимпештанка	b u d i m p ɛ ʃ t a ŋ k a
будимпештански	b u d i m p ɛ ʃ t a n s k i
будист	b u d i s t
будисти	b u d i s t i
будистички	b u d i s t i t͡ʃ k i
будистка	b u d i s t k a
будно	b u d n ɔ
будност	b u d n ɔ s t
будоар	b u d ɔ a r
будоари	b u d ɔ a ɾ i
буен	b u ɛ n
буеносаирец	b u ɛ n ɔ s a i ɾ ɛ t͡s
буеносаирка	b u ɛ n ɔ s a i r k a
буза	b u z a
буи	b u i
бука	b u k a
буква	b u k v a
буквален	b u k v a l ɛ n
буквалист	b u k v a l i s t
буквалисти	b u k v a l i s t i
буквалистка	b u k v a l i s t k a
буквално	b u k v a ɫ n ɔ
буквар	b u k v a r
букварче	b u k v a r t͡ʃ ɛ
буквиче	b u k v i t͡ʃ ɛ
буквичка	b u k v i t͡ʃ k a
букет	b u k ɛ t
букети	b u k ɛ t i
буки	b u k i
букира	b u k i ɾ a
букиран	b u k i ɾ a
букирајќи	b u k i r a j c i
букирање	b u k i ɾ a ɲ ɛ
букиче	b u k i t͡ʃ ɛ
букмејкер	b u k m ɛ j k ɛ r
букмејкерски	b u k m ɛ j k ɛ r s k i
букне	b u k n ɛ
букнува	b u k n u v a
букнувајќи	b u k n u v a j c i
букнување	b u k n u v a ɲ ɛ
буков	b u k ɔ f
буковец	b u k ɔ v ɛ t͡s
буковка	b u k ɔ f k a
букурешки	b u k u ɾ ɛ ʃ k i
букурештанец	b u k u r ɛ ʃ t a n ɛ t͡s
букурештанка	b u k u r ɛ ʃ t a ŋ k a
була	b u ɫ a
булбул	b u ɫ b u ɫ
булдог	b u ɫ d ɔ k
булдожер	b u ɫ d ɔ ʒ ɛ r
булдози	b u ɫ d ɔ z i
булевар	b u l ɛ v a r
булеварски	b u l ɛ v a r s k i
булка	b u ɫ k a
булки	b u ɫ k i
булук	b u ɫ u k
булјон	b u ʎ ɔ n
бум	b u m
бумбалест	b u m b a l ɛ s t
бумбар	b u m b a r
бумбари	b u m b a ɾ i
бумбаров	b u m b a ɾ ɔ f
бумбарче	b u m b a r t͡ʃ ɛ
бумеранг	b u m ɛ ɾ a ŋ k
бунар	b u n a r
бунари	b u n a ɾ i
бунариште	b u n a ɾ i ʃ t ɛ
бунарски	b u n a r s k i
бунарче	b u n a r t͡ʃ ɛ
бунгалов	b u ŋ ɡ a ɫ ɔ f
бунда	b u n d a
бундиче	b u n d i t͡ʃ ɛ
бундичка	b u n d i t͡ʃ k a
бунели	b u n ɛ l i
бунење	b u n ɛ ɲ ɛ
буни	b u n i
буника	b u n i k a
бунило	b u n i ɫ ɔ
буниште	b u n i ʃ t ɛ
бункер	b u ŋ k ɛ r
бунт	b u n t
бунтовен	b u n t ɔ v ɛ n
бунтови	b u n t ɔ v i
бунтовник	b u n t ɔ v n i k
бунтовници	b u n t ɔ v n i t͡s i
бунтовничка	b u n t ɔ v n i t͡ʃ k a
бунтовнички	b u n t ɔ v n i t͡ʃ k i
бунтовништво	b u n t ɔ v n i ʃ t v ɔ
бунтовно	b u n t ɔ v n ɔ
бунтовност	b u n t ɔ v n ɔ s t
бунтува	b u n t u v a
бунтувајќи	b u n t u v a j c i
бунтување	b u n t u v a ɲ ɛ
бура	b u ɾ a
бургер	b u r ɡ ɛ r
бургииште	b u r ɡ i i ʃ t ɛ
бургија	b u r ɡ i j a
бургундски	b u r ɡ u n t s k i
буре	b u ɾ ɛ
буревесници	b u ɾ ɛ v ɛ s n i t͡s i
бурегџилница	b u ɾ ɛ ɡ d͡ʒ i ɫ n i t͡s a
бурек	b u ɾ ɛ k
бурекчилница	b u ɾ ɛ k t͡ʃ i ɫ n i t͡s a
бурен	b u ɾ ɛ n
буренце	b u ɾ ɛ n t͡s ɛ
бурече	b u ɾ ɛ t͡ʃ ɛ
буржоазија	b u r ʒ ɔ a z i j a
буржоаски	b u r ʒ ɔ a s k i
бури	b u ɾ i
бурито	b u r i t ɔ
буричка	b u ɾ i t͡ʃ k a
буричкајќи	b u ɾ i t͡ʃ k a j c i
буричкање	b u r i t͡ʃ k a ɲ ɛ
буричне	b u ɾ i t͡ʃ n ɛ
буриште	b u ɾ i ʃ t ɛ
буриња	b u ɾ i ɲ a
буркински	b u r k i n s k i
бурлеска	b u r l ɛ s k a
бурма	b u r m a
бурмански	b u r m a n s k i
бурмиче	b u r m i t͡ʃ ɛ
бурмичка	b u r m i t͡ʃ k a
бурмут	b u r m u t
бурмутица	b u r m u t i t͡s a
бурмутици	b u r m u t i t͡s i
бурно	b u r n ɔ
бурност	b u r n ɔ s t
бурундиски	b u r u n d i s k i
бурјан	b u r j a n
бусени	b u s ɛ n i
бусии	b u s i i
бусија	b u s i j a
бусоли	b u s ɔ l i
бут	b u t
бута	b u t a
бутан	b u t a n
бутански	b u t a n s k i
бутање	b u t a ɲ ɛ
бутик	b u t i k
бутин	b u t i n
бутина	b u t i n a
бутини	b u t i n i
бутинче	b u t i n t͡ʃ ɛ
бутка	b u t k a
буткан	b u t k a n
бутканица	b u t k a n i t͡s a
буткајќи	b u t k a j c i
буткање	b u t k a ɲ ɛ
бутнат	b u t n a t
бутне	b u t n ɛ
бутнува	b u t n u v a
бутнуван	b u t n u v a n
бутнувајќи	b u t n u v a j c i
бутнување	b u t n u v a ɲ ɛ
бутови	b u t ɔ v i
бутур	b u t u r
бутче	b u t t͡ʃ ɛ
буф	b u f
буфски	b u f s k i
буц	b u t͡s
буцка	b u t͡s k a
буцкан	b u t͡s k a n
буцкаст	b u t͡s k a s t
буцкајќи	b u t͡s k a j c i
буцкање	b u t͡s k a ɲ ɛ
буцко	b u t͡s k ɔ
