ȁ	â
pohlepnost	p ô x l eː p n oː s t
pohod	p ǒ x o d
pohoditi	p o x ǒ d i t i
pohota	p ô x o t a
pohotan	p ô x o t a n
pohotljivac	p o x ǒ t ʎ i ʋ a t͡s
pohotnik	p ô x o t n iː k
pohotno	p ô x o t n o
pohvala	p ô x ʋ a l a
pohvaliti	p o x ʋ ǎː l i t i
pohvaljivati	p o x ʋ a ʎ ǐː ʋ a t i
poimati	p ǒ i m a t i
pojačati	p o j ǎ t͡ʃ a t i
pojačavati	p o j a t͡ʃ ǎː ʋ a t i
pojahati	p ǒ j a x a t i
pojam	p ǒː j a m
pojas	p ô j aː s
pojasniti	p o j ǎ s n i t i
pojati	p ǒ j a t i
pojava	p ô j a ʋ a
pojaviti	p o j ǎː ʋ i t i
pojavljivati	p o j a ʋ ʎ ǐː ʋ a t i
pojedinac	p o j e d ǐː n a t͡s
pojedinačan	p o j e d ǐ n a t͡ʃ a n
pojedinačno	p o j e d ǐ n a t͡ʃ n o
pojedini	p o j ě d iː n iː
pojednostaviti	p o j e d n o s t ǎː ʋ i t i
pojednostavniti	p o j e d n o s t ǎː ʋ n i t i
pojednostavnjivati	p o j e d n o s t a ʋ ɲ ǐː ʋ a t i
pojesti	p ǒ j e s t i
pojmiti	p ǒː j m i t i
pojmljiv	p ǒ j m ʎ i ʋ
pojuriti	p o j ǔː r i t i
pokajnik	p ǒ k aː j n iː k
pokal	p ǒ k aː l
pokaz	p ǒː k a z
Pokaz	p ǒ k a z
pokazatelj	p o k ǎ z a t e ʎ
pokazati	p o k ǎː z a t i
pokazivati	p o k a z ǐː ʋ a t i
poker	p ǒ k e r
pokidati	p ǒ k i d a t i
pokisnuti	p ǒ k i s n u t i
pokladnica	p ǒ k l a d n i t͡s a
poklanjati	p ǒ k l a ɲ a t i
pokleknuti	p ǒ k l e k n u t i
poklon	p ǒ k l o n
poklon	p ô k l oː n
pokloniti	p o k l ǒ n i t i
poklonstvo	p ǒ k l oː n s t ʋ o
pokoj	p ǒ k o j
pokoji	p ǒ k o j iː
pokolj	p ǒ k o ʎ
pokopati	p o k ǒ p a t i
pokoran	p ô k oː r a n
pokoravati	p o k o r ǎː ʋ a t i
pokoriti	p o k ǒ r i t i
pokorno	p ô k oː r n o
pokornost	p o k ǒː r n oː s t
pokraj	p ô k r a j
pokrajina	p ǒ k r a j i n a
pokrajinski	p ǒ k r a j iː n s k iː
pokrasti	p ǒ k r a s t i
pokrenuti	p o k r ěː n u t i
pokret	p ô k r eː t
pokretač	p o k r ě t a t͡ʃ
pokretan	p ô k r eː t a n
pokretati	p ǒ k r e t a t i
pokretljiv	p o k r ě t ʎ i ʋ
pokriti	p ǒ k r i t i
pokrivati	p o k r ǐː ʋ a t i
pokrov	p ǒ k r o ʋ
pokrstiti	p o k ř s t i t i
pokrštavati	p o k r ʃ t ǎː ʋ a t i
pokućstvo	p ǒ k u t͡ɕ s t ʋ o
pokunjiti	p o k ǔː ɲ i t i
pokupiti	p o k û p i t i
Pokupsko	p ǒ k u p s k oː
pokus	p ǒ k u s
pokušaj	p ô k u ʃ aː j
pokušati	p ǒ k u ʃ a t i
pokušavati	p o k u ʃ ǎː ʋ a t i
pokvaren	p ǒ k ʋ aː r e n
pokvarenost	p ǒ k ʋ aː r e n oː s t
pokvarenjački	p o k ʋ a r ě ɲ aː t͡ʃ k iː
pokvarenjački	p o k ʋ a r ě ɲ aː t͡ʃ k i
pokvarenjak	p o k ʋ a r ě ɲ aː k
pokvariti	p o k ʋ ǎː r i t i
pokvarljivi	p o k ʋ ǎ r ʎ i ʋ
pokvasiti	p ǒ k ʋ a s i t i
pol	p ôː l
pol	p ôː l
pol	p ôː l
pola	p ǒː l a
pola	p ô l a
Polača	p ǒ l a t͡ʃ a
polagan	p o l ǎ ɡ aː n
polagano	p o l ǎ ɡ aː n o
polagati	p o l ǎː ɡ a t i
polako	p o l ǎː k o
Polančec	p o l ǎ n t͡ʃ e t͡s
polaskati	p ǒ l a s k a t i
polazak	p ǒ l a z a k
polaziti	p ǒ l a z i t i
polaznik	p ǒ l a z n iː k
polen	p ǒ l e n
polet	p ǒ l e t
poletati	p o l ěː t a t i
poleteti	p o l ě t e t i
poletjeti	p o l ě t j e t i
poliandrija	p o l i ǎ n d r i j a
policajac	p o l i t͡s ǎː j a t͡s
policija	p o l ǐ t͡s i j a
policijski	p o l ǐ t͡s iː j s k iː
policijski	p o l ǐ t͡s iː j s k i
Poličnik	p o l i t͡ʃ n i k
Polić	p ǒː l i t͡ɕ
polifenija	p o l i f ě n i j a
polijetanje	p o l i j ěː t aː ɲ e
polijetati	p o l i j ěː t a t i
poliklinički	p o l i k l ǐ n i t͡ʃ k iː
poliklinički	p o l i k l ǐ n i t͡ʃ k i
poliklinika	p o l i k l ǐ n i k a
Polinezija	p o l ǐ n eː z i j a
polinezijski	p o l ǐ n eː z iː j s k iː
polisemija	p o l i s ě m i j a
politeizam	p o l i t e ǐ z a m
politi	p ǒ l i t i
političar	p o l ǐ t i t͡ʃ aː r
politički	p o l ǐ t i t͡ʃ k iː
politički	p o l ǐ t i t͡ʃ k i
politika	p o l ǐ t i k a
politologija	p o l i t o l ǒ ɡ i j a
polizati	p o l ǐː z a t i
polog	p ǒ l o ɡ
polomiti	p o l ǒ m i t i
polovica	p o l ǒ ʋ i t͡s a
polovina	p o l ǒ ʋ i n a
položaj	p ô l o ʒ aː j
položiti	p o l ǒ ʒ i t i
polubrat	p o l ǔ b r a t
polucija	p o l ǔː t͡s i j a
poludeti	p o l ǔː d e t i
poludjeti	p o l ǔː d j e t i
poluga	p ǒ l u ɡ a
polugodišnji	p o l u ɡ ǒ d i ʃ ɲ iː
polugodište	p o l u ɡ ǒ d iː ʃ t e
polukrug	p ô l u k r uː ɡ
polumesec	p ô l u m e s eː t͡s
polumesečni	p ô l u m e s e t͡ʃ n iː
polumesečno	p ô l u m e s e t͡ʃ n o
polumjesec	p ô l u m j e s eː t͡s
polumjesečni	p ô l u m j e s e t͡ʃ n iː
polumjesečno	p ô l u m j e s e t͡ʃ n o
polumrak	p ô l u m r aː k
polupravac	p ô l u p r a ʋ a t͡s
polutama	p ô l u t aː m a
polutka	p ǒ l u t k a
Poljak	p ǒ ʎ aː k
Poljakinja	p o ʎ ǎ k i ɲ a
polje	p ô ʎ e
poljodelstvo	p o ʎ o d ěː l s t ʋ o
poljodjelstvo	p o ʎ o d j ěː l s t ʋ o
Poljska	p ô ʎ s k aː
poljski	p ô ʎ s k iː
poljski	p ǒ ʎ s k iː
poljski	p ô ʎ s k iː
poljski	p ô ʎ s k i
poljubiti	p o ʎ ǔː b i t i
pomaći	p ǒ m a t͡ɕ i
pomada	p o m ǎː d a
pomagač	p o m ǎ ɡ aː t͡ʃ
pomagati	p o m ǎː ɡ a t i
pomak	p ǒ m a k
pomaknuti	p o m ǎ k n u t i
pomalo	p ǒ m a l o
poman	p ôː m a n
pomast	p ô m aː s t
pomazati	p ǒ m a z a t i
pomesti	p ǒ m e s t i
pomešati	p o m ěː ʃ a t i
pomfrit	p ǒ m f r i t
pomicati	p ǒ m i t͡s a t i
pomije	p ǒ m i j e
pomiješati	p o m i ěː ʃ a t i
pomilovati	p ǒ m i l o ʋ a t i
pomiriti	p o m ǐː r i t i
pomirljiv	p o m ǐ r ʎ i ʋ
pomisliti	p ǒ m i s l i t i
pomišljati	p o m ǐː ʃ ʎ a t i
pomladak	p ǒ m l a d a k
pomnožiti	p o m n ǒ ʒ i t i
pomnjiv	p ǒ m ɲ i ʋ
pomoć	p ô m oː t͡ɕ
pomoći	p o m ǒ t͡ɕ i
pomoćni	p ǒ m o t͡ɕ n iː
pomoćnica	p o m ǒ t͡ɕ n i t͡s a
pomoćnik	p o m ǒ t͡ɕ n iː k
pomoću	p ô m o t͡ɕ u
pomodan	p ô m oː d a n
pomoliti	p o m ǒ l i t i
pomorac	p ǒ m o r a t͡s
pomorandža	p o m ǒ r aː n d͡ʒ a
Pomorje	p ǒ m oː r j e
pomusti	p ǒ m u s t i
ponadati	p o n ǎː d a t i
ponadvor	p o n a d ʋ o r
ponajpre	p ǒ n aː j p r e
ponajprije	p ǒ n aː j p r i j e
ponajviše	p ǒ n aː j ʋ i ʃ e
ponaosob	p o n a ǒ s o b
ponašanje	p o n ǎː ʃ aː ɲ e
ponašati	p o n ǎː ʃ a t i
ponavljati	p o n ǎː ʋ ʎ a t i
pondelek	p o n d e l e k
ponedeljak	p o n ě d e ʎ a k
ponedjeljak	p o n ě d j e ʎ a k
ponekad	p ǒ n e k a d
poneki	p ǒ n e k iː
ponestajati	p o n ě s t a j a t i
ponestati	p o n ě s t a t i
poništavati	p o n i ʃ t ǎː ʋ a t i
poništiti	p ǒ n i ʃ t i t i
poniziti	p o n ǐː z i t i
ponižavati	p o n i ʒ ǎː ʋ a t i
poniženje	p o n i ʒ ěː ɲ e
ponor	p ǒ n o r
ponos	p ǒ n o s
ponosan	p ǒ n o s a n
ponosit	p ǒ n o s i t
ponositi	p o n ǒ s i t i
ponosito	p ǒ n o s i t o
ponosno	p ǒ n o s n o
ponovan	p ô n oː ʋ a n
ponoviti	p o n ǒ ʋ i t i
ponovno	p ô n oː ʋ n o
ponovo	p ô n o ʋ o
ponuda	p ô n u d a
ponuditi	p ǒ n u d i t i
poorati	p o ǒ r a t i
pop	p ô p
popeti	p ǒ p eː t i
popis	p ǒ p i s
popisati	p o p ǐː s a t i
popisivati	p o p i s ǐː ʋ a t i
popiti	p ǒ p i t i
poplašiti	p ǒ p l a ʃ i t i
poplava	p ô p l a ʋ a
poplaviti	p o p l ǎː ʋ i t i
poplun	p ǒ p l u n
popodne	p o p ǒː d n e
Popovac	p ǒ p o ʋ a t͡s
Popović	p ǒ p o ʋ i t͡ɕ
popraćivati	p o p r a t͡ɕ ǐː ʋ a t i
poprati	p ǒ p r a t i
popratiti	p ǒ p r a t i t i
popratni	p ǒ p r a t n iː
popravak	p ǒ p r a ʋ a k
popravilište	p o p r ǎ ʋ i l iː ʃ t e
popraviti	p ǒ p r a ʋ i t i
popravljač	p o p r ǎ ʋ ʎ aː t͡ʃ
popravljačica	p o p r a ʋ ʎ ǎ t͡ʃ i t͡s a
popravljati	p ǒ p r a ʋ ʎ a t i
popravljiv	p o p r ǎ ʋ ʎ i ʋ
popravni	p ǒ p r aː ʋ n iː
poprečan	p ô p r e t͡ʃ a n
poprečnica	p ô p r e t͡ʃ n i t͡s a
poprečno	p ô p r e t͡ʃ n o
popreko	p ô p r eː k o
popričati	p o p r ǐː t͡ʃ a t i
poprijeko	p ô p r j eː k o
popriličan	p o p r ǐː l i t͡ʃ a n
poprilično	p o p r ǐː l i t͡ʃ n o
poprimati	p o p r ǐː m a t i
poprimiti	p o p r ǐː m i t i
poprište	p ô p r iː ʃ t e
poprsje	p ǒ p rː s j e
poprskati	p o p řː s k a t i
poprskavati	p o p r s k ǎː ʋ a t i
popržiti	p ǒ p r̩ ʒ i t i
popucati	p ǒ p u t͡s a t i
popudbina	p ǒ p u d b i n a
populacija	p o p u l ǎː t͡s i j a
populacijski	p o p u l ǎː t͡s iː j s k iː
popularan	p ô p u l aː r a n
popularizacija	p o p u l a r i z ǎː t͡s i j a
popularizator	p o p u l a r ǐ z aː t o r
popularizatorski	p o p u l a r ǐ z aː t oː r s k iː
popularizirati	p o p u l a r i z ǐː r a t i
popularizovati	p o p u l ǎ r i z o ʋ a t i
popularno	p ô p u l aː r n o
popularnost	p o p u l ǎː r n oː s t
populist	p o p ǔ l i s t
populistički	p o p u l ǐ s t i t͡ʃ k iː
populistički	p o p u l ǐ s t i t͡ʃ k i
populizam	p o p u l ǐ z a m
popuna	p ô p u n a
popuniti	p ǒ p u n i t i
popunjavati	p o p u ɲ ǎː ʋ a t i
popust	p ǒ p u s t
popustiti	p o p ǔ s t i t i
popustljiv	p o p ǔ s t ʎ i ʋ
popustljivo	p o p ǔ s t ʎ i ʋ o
popustljivost	p o p ǔ s t ʎ i ʋ oː s t
popušiti	p ǒ p u ʃ i t i
popuštati	p o p ǔː ʃ t a t i
poput	p ô p uː t
poputnina	p ǒ p u t n i n a
pora	p ǒː r a
poraba	p ô r a b a
poraće	p ǒ r aː t͡ɕ e
poradi	p ô r a d i
poraditi	p o r ǎː d i t i
porađati	p o r ǎː d͡ʑ a t i
poraniti	p ǒ r a n i t i
porast	p ô r aː s t
porasti	p ǒ r aː s t i
poravnati	p o r ǎ ʋ n a t i
poravnavati	p o r a ʋ n ǎː ʋ a t i
poraz	p ô r aː z
poreciv	p o r ě t͡s i ʋ
Poreč	p ǒ r e t͡ʃ
poreći	p ǒ r e t͡ɕ i
pored	p ô r e d
poredak	p ǒ r e d a k
poredati	p o r ěː d a t i
poredba	p ǒ r e d b a
poređati	p o r ě d͡ʑ a t i
poreklo	p o r ěː k l o
poremećaj	p ô r e m e t͡ɕ aː j
poremećivati	p o r e m e t͡ɕ ǐː ʋ a t i
poremetiti	p o r ě m e t i t i
Poreština	p o r ěː ʃ t i n a
porez	p ǒ r e z
porezati	p ǒ r e z a t i
porezni	p ǒ r e z n iː
poricati	p o r ǐː t͡s a t i
porijeklo	p o r j ěː k l o
pornograf	p o r n ǒ ɡ r a f
pornografija	p o r n o ɡ r ǎ f i j a
pornografski	p o r n ǒ ɡ r a f s k iː
porobiti	p o r ǒ b i t i
porobljavati	p o r o b ʎ ǎː ʋ a t i
porobljivati	p o r o b ʎ ǐː ʋ a t i
porodica	p ǒ r o d i t͡s a
porodični	p ǒ r o d i t͡ʃ n iː
poroditi	p o r ǒ d i t i
porok	p ǒ r o k
porota	p ô r o t a
porotni	p ô r o t n iː
porotnica	p ǒ r o t n i t͡s a
porotnik	p ǒ r o t n iː k
porozan	p ô r oː z a n
portafon	p ô r t a f oː n
portal	p ǒ r t aː l
portfelj	p ǒ r t f e ʎ
Portugal	p ô r t u ɡ a l
Portugalac	p o r t u ɡ ǎː l a t͡s
Portugalija	p o r t ǔ ɡ aː l i j a
portugalski	p ô r t u ɡ aː l s k iː
poručiti	p o r ǔː t͡ʃ i t i
poručivati	p o r u t͡ʃ ǐː ʋ a t i
poručnica	p ǒ r u t͡ʃ n i t͡s a
poručnik	p ǒ r u t͡ʃ n iː k
porudžbina	p ǒ r u d͡ʒ b i n a
poruga	p ô r u ɡ a
poruka	p ô r u k a
porumeneti	p o r u m ě n e t i
porumeniti	p o r u m ě n i t i
porumenjeti	p o r u m ě ɲ e t i
porušiti	p ǒ r u ʃ i t i
posada	p ô s a d a
posaditi	p o s ǎː d i t i
posađivati	p o s a d͡ʑ ǐː ʋ a t i
posao	p ǒ s a o
poseban	p ǒː s e b a n
posebice	p ǒː s e b i t͡s eː
posebno	p ǒː s e b n o
posebnost	p ǒː s e b n oː s t
poseći	p ǒ s e t͡ɕ i
posećivati	p o s e t͡ɕ ǐː ʋ a t i
posed	p ǒː s e d
Posedarje	p ǒ s e d aː r j e
posedeti	p o s ěː d e t i
posediti	p o s ěː d i t i
posedovati	p ǒː s e d o ʋ a t i
posekotina	p o s e k ǒ t i n a
poset	p ô s e t
poseta	p ô s e t a
posetilac	p o s ě t i l a t͡s
posetitelj	p o s ě t i t e ʎ
posetiti	p ǒ s e t i t i
posetnica	p ǒ s e t n i t͡s a
posijediti	p o s i j ěː d i t i
posijedjeti	p o s j ěː d j e t i
posjeći	p ǒ s j e t͡ɕ i
posjećivati	p o s j e t͡ɕ ǐː ʋ a t i
posjed	p ǒː s j e d
posjedovati	p ǒː s j e d o ʋ a t i
posjekotina	p o s j e k ǒ t i n a
posjet	p ô s j e t
posjeta	p ô s j e t a
posjetilac	p o s j ě t i l a t͡s
posjetitelj	p o s j ě t i t e ʎ
posjetiti	p ǒ s j e t i t i
posjetnica	p ǒ s j e t n i t͡s a
poslanik	p ǒ s l a n iː k
poslanstvo	p o s l ǎː n s t ʋ o
poslastica	p ǒ s l a s t i t͡s a
poslati	p ǒ s l a t i
posledica	p ǒ s l e d i t͡s a
poslednji	p ǒ s l e d ɲ iː
poslodavac	p o s l o d ǎː ʋ a t͡s
poslovan	p ô s l oː ʋ a n
poslovanje	p o s l o ʋ ǎː ɲ e
poslovati	p o s l ǒ ʋ a t i
poslovođa	p ô s l o ʋ o d͡ʑ a
poslovotkinja	p o s l ǒ ʋ o t k i ɲ a
posluga	p ô s l u ɡ a
posluh	p ô s l uː x
poslušan	p ô s l uː ʃ a n
poslušati	p ǒ s l u ʃ a t i
poslušnik	p ǒ s l uː ʃ n iː k
poslušno	p ô s l uː ʃ n o
poslušnost	p o s l ǔː ʃ n oː s t
poslužavnik	p o s l ǔ ʒ aː ʋ n iː k
poslužitelj	p o s l ǔ ʒ i t e ʎ
poslužiti	p o s l ǔː ʒ i t i
posluživati	p o s l u ʒ ǐː ʋ a t i
posljedica	p ǒ s ʎ e d i t͡s a
posljednji	p ǒ s ʎ e d ɲ iː
posmrče	p ǒ s m r̩ t͡ʃ e
posnik	p ô s n iː k
posoliti	p o s ǒ l i t i
pospan	p ô s p aː n
pospano	p ô s p aː n o
posramiti	p o s r ǎː m i t i
posramljivati	p o s r a m ʎ ǐː ʋ a t i
posranac	p o s r ǎː n a t͡s
posrati	p ǒ s r a t i
posredan	p ǒ s r e d a n
posrednica	p ǒ s r e d n i t͡s a
posrednik	p ǒ s r e d n iː k
posredno	p ǒ s r e d n o
posredovati	p ǒ s r e d o ʋ a t i
posredstvo	p ǒ s r e d s t ʋ o
posrkati	p o s řː k a t i
posrtati	p ǒ s r̩ t a t i
post	p ôː s t
post	p ô s t
postaja	p ô s t a j a
postajati	p o s t ǎ j a t i
postajati	p ǒ s t a j a t i
postalveolaran	p ô s t a l ʋ e o l aː r a n
postanak	p ǒ s t a n a k
postariji	p ô s t a r i j iː
postati	p ǒ s t a t i
postaviti	p ǒ s t a ʋ i t i
postavka	p ǒ s t aː ʋ k a
postavljati	p ǒ s t a ʋ ʎ a t i
postavljenje	p o s t a ʋ ʎ ěː ɲ e
postelja	p ô s t e ʎ a
posteljica	p ô s t e ʎ i t͡s a
posteljina	p o s t e ʎ ǐ n a
postfeminizam	p o s t f e m i n ǐ z a m
postići	p ǒ s t i t͡ɕ i
postideti	p o s t ǐː d e t i
postidjeti	p o s t ǐː d j e t i
postignuti	p ǒ s t i ɡ n u t i
Postira	p ǒ s t i r a
postiti	p ǒ s t i t i
postizati	p ǒ s t i z a t i
postojan	p ǒː s t o j aː n
postojanost	p ǒː s t o j aː n oː s t
postojanje	p ǒː s t o j aː ɲ e
postojati	p ǒː s t o j a t i
postojati	p o s t ǒ j a t i
postojeći	p ǒː s t o j eː t͡ɕ iː
postola	p o s t ǒ l a
postolar	p o s t ǒ l aː r
postolje	p ǒː s t oː ʎ e
postotak	p ǒ s t o t a k
postrojba	p ǒ s t r o j b a
postulat	p o s t ǔ l aː t
postupak	p ǒ s t u p a k
postupan	p ǒ s t u p a n
postupati	p o s t ǔː p a t i
postupiti	p o s t ǔː p i t i
postupno	p ǒ s t u p n o
posuda	p ô s u d a
posudba	p ǒ s u d b a
posuditi	p o s ǔː d i t i
posuđivati	p o s u d͡ʑ ǐː ʋ a t i
posustajati	p o s ǔ s t a j a t i
posustati	p o s ǔ s t a t i
Posušak	p o s ǔ ʃ aː k
Posušje	p ǒ s uː ʃ j e
posve	p ǒ s ʋ e
posvećivati	p o s ʋ e t͡ɕ ǐː ʋ a t i
posvema	p o s ʋ ě m a
posvemašnji	p ǒ s ʋ e m a ʃ ɲ iː
posveta	p ô s ʋ e t a
posvetiti	p o s ʋ ěː t i t i
pošast	p ô ʃ aː s t
pošta	p ô ʃ t a
poštanski	p ô ʃ t a n s k iː
poštar	p ô ʃ t aː r
pošteda	p ô ʃ t e d a
poštedeti	p o ʃ t ěː d e t i
poštedjeti	p o ʃ t ěː d j e t i
pošteđivati	p o ʃ t e d͡ʑ ǐː ʋ a t i
pošten	p ǒ ʃ t e n
pošto	p ô ʃ t o
poštovalac	p o ʃ t ǒ ʋ a l a t͡s
poštovan	p ô ʃ t o ʋ aː n
poštovanje	p o ʃ t o ʋ ǎː ɲ e
poštovatelj	p o ʃ t ǒ ʋ a t e ʎ
poštovati	p o ʃ t ǒ ʋ a t i
pošumiti	p ǒ ʃ u m i t i
pošumljavati	p o ʃ u m ʎ ǎː ʋ a t i
pošumljivati	p o ʃ u m ʎ ǐː ʋ a t i
pośekotina	p o ɕ e k o t i n a
pośet	p ô ɕ e t
pośetiti	p ǒ ɕ e t i t i
potaći	p ǒ t a t͡ɕ i
potajan	p ô t aː j a n
potaknuti	p o t ǎ k n u t i
potanko	p ô t a n k o
potapati	p o t ǎː p a t i
potaž	p ǒ t aː ʒ
potegnuti	p o t ěː ɡ n u t i
potencijal	p o t e n t͡s ǐ j aː l
potencijalan	p ô t e n t͡s i j aː l a n
potencijalno	p ô t e n t͡s i j aː l n o
potepuh	p o t ě p uː x
potera	p ô t e r a
poternica	p ǒ t eː r n i t͡s a
poteškoća	p o t e ʃ k ǒ t͡ɕ a
potezati	p o t ěː z a t i
poticati	p ǒ t i t͡s a t i
potiho	p ô t i x o
potiljak	p ǒ t i ʎ a k
potišten	p ǒ t iː ʃ t e n
potištenost	p ǒ t iː ʃ t e n oː s t
potjecati	p ǒ t j e t͡s a t i
potjera	p ô t j e r a
potjerati	p ǒ t j e r a t i
potjernica	p ǒ t j eː r n i t͡s a
potka	p ô t k a
potkivati	p o t k ǐː ʋ a t i
potkopati	p o t k ǒ p a t i
potkopavati	p o t k o p ǎː ʋ a t i
potkošulja	p ô t k o ʃ u ʎ a
potkova	p ǒ t k o ʋ a
potkovati	p o t k ǒ ʋ a t i
potkovica	p ǒ t k o ʋ i t͡s a
potkraj	p ǒ t k r aː j
potkrepiti	p o t k r ěː p i t i
potkrepljivati	p o t k r e p ʎ ǐː ʋ a t i
potkrijepiti	p o t k r j ěː p i t i
potkupiti	p o t k ǔː p i t i
potkupljivati	p o t k u p ʎ ǐː ʋ a t i
potmuo	p ǒ t m u o
potočić	p ǒ t o t͡ʃ i t͡ɕ
potočni	p ǒ t o t͡ʃ n iː
potok	p ǒ t o k
potom	p ǒ t oː m
potomak	p ǒ t o m a k
potomstvo	p ǒ t oː m s t ʋ o
potonuti	p o t ǒ n u t i
potop	p ǒ t o p
potopiti	p o t ǒ p i t i
potpetica	p ǒ t p e t i t͡s a
potpis	p ǒ t p i s
potpisati	p o t p ǐː s a t i
potpisivati	p o t p i s ǐː ʋ a t i
potpisnica	p ǒ t p i s n i t͡s a
potpisnik	p ǒ t p i s n iː k
potplaćivati	p o t p l a t͡ɕ ǐː ʋ a t i
potplatiti	p o t p l ǎː t i t i
potpora	p ô t p o r a
potpredsednik	p o t p r ěː d s e d n iː k
potpredsjednik	p o t p r ěː d s j e d n iː k
potpredśednica	p o t p r ěː d ɕ e d n iː t͡s a
potpredśednik	p o t p r ěː d ɕ e d n iː k
potpun	p ǒ t p u n
potpuno	p ǒ t p u n o
potraga	p ô t r a ɡ a
potrajati	p ǒ t r a j a t i
potražiti	p o t r ǎː ʒ i t i
potreba	p ô t r e b a
potreban	p ô t r e b a n
potrebovati	p ǒ t r e b o ʋ a t i
potrefiti	p ǒ t r e f i t i
potres	p ǒ t r e s
potrošač	p o t r ǒ ʃ aː t͡ʃ
potrošiti	p o t r ǒ ʃ i t i
potrošnja	p o t r ǒ ʃ ɲ a
potruditi	p o t r ǔː d i t i
potvrda	p ô t ʋ r d a
potvrditi	p o t ʋ řː d i t i
potvrđivati	p o t ʋ r̩ d͡ʑ ǐː ʋ a t i
pouka	p ô u k a
pouzdan	p ǒ u z d aː n
pouzdano	p ǒ u z d aː n o
pouzdanost	p ǒ u z d aː n oː s t
pouzdanje	p o u z d ǎː ɲ e
povećalo	p o ʋ ě t͡ɕ a l o
povećati	p o ʋ ě t͡ɕ a t i
povećavati	p o ʋ e t͡ɕ ǎː ʋ a t i
povelja	p ǒ ʋ e ʎ a
poveravati	p o ʋ e r ǎː ʋ a t i
poverenik	p o ʋ e r ě n iː k
poverenstvo	p o ʋ e r ě n s t ʋ o
poverenje	p o ʋ e r ěː ɲ e
poveriti	p ǒ ʋ e r i t i
poverljiv	p o ʋ ě r ʎ i ʋ
poverovati	p ǒ ʋ e r o ʋ a t i
povest	p ô ʋ eː s t
povesti	p o ʋ ě s t i
povetarac	p o ʋ e t ǎː r a t͡s
povezan	p ǒ ʋ eː z aː n
povezati	p o ʋ ěː z a t i
povezivati	p o ʋ e z ǐː ʋ a t i
poveznica	p ǒ ʋ e z n i t͡s a
povijati	p o ʋ ǐː j a t i
povijedati	p o v j e d a t i
povijesni	p ô ʋ i j eː s n iː
povijest	p ô ʋ i j eː s t
povisiti	p o ʋ î s i t i
povisok	p ô ʋ i s o k
poviti	p ǒ ʋ i t i
povjeravati	p o ʋ j e r ǎː ʋ a t i
povjerenik	p o ʋ j e r ě n iː k
povjerenstvo	p o ʋ j e r ě n s t ʋ o
povjerenje	p o ʋ j e r ěː ɲ e
povjeriti	p ǒ ʋ j e r i t i
povjerljiv	p o ʋ j ě r ʎ i ʋ
povjerovati	p ǒ ʋ j e r o ʋ a t i
povjesničar	p ô ʋ j e s n i t͡ʃ aː r
povjesničarka	p ô ʋ j e s n i t͡ʃ aː r k a
povjesnik	p ô ʋ j e s n iː k
povjetarac	p o ʋ j e t ǎː r a t͡s
povlačiti	p o ʋ l ǎː t͡ʃ i t i
povlastica	p ǒ ʋ l a s t i t͡s a
Povljana	p o ʋ ʎ ǎ n a
povod	p ǒ ʋ o d
povoditi	p o ʋ ǒ d i t i
povodom	p ǒ ʋ o d o m
povoljan	p ô ʋ oː ʎ a n
povoljno	p ô ʋ oː ʎ n o
povorka	p ǒ ʋ oː r k a
povraćati	p ǒ ʋ r a t͡ɕ a t i
povratak	p ǒ ʋ r a t a k
povratiti	p o ʋ r ǎː t i t i
povratnica	p ǒ ʋ r a t n i t͡s a
povratnik	p ǒ ʋ r a t n iː k
povrće	p ǒ ʋ r̩ t͡ɕ e
povreda	p ô ʋ r e d a
povrediti	p o ʋ r ěː d i t i
povrediv	p o ʋ r ě d i ʋ
povređivati	p o ʋ r e d͡ʑ ǐː ʋ a t i
povremen	p ǒ ʋ r e m e n
povremeno	p ǒ ʋ r e m e n o
povrh	p ǒ ʋ r̩ x
povrijediti	p o ʋ r j ěː d i t i
površan	p ǒ ʋ r ʃ a n
površina	p ô ʋ r̩ ʃ i n a
povrtni	p ǒ ʋ r t n iː
povučen	p o ʋ ǔ t͡ʃ e n
povući	p o ʋ ǔː t͡ɕ i
pozadina	p ǒ z a d i n a
pozajmiti	p o z ǎː j m i t i
pozajmiti	p o z ǎ j m i t i
pozamanter	p o z a m ǎ n t eː r
pozamašan	p ô z a m aː ʃ a n
pozamenter	p o z a m ě n t eː r
pozan	p ôː z a n
Pozderović	p o z d ěː r o ʋ i t͡ɕ
pozdrav	p ô z d r aː ʋ
pozdraviti	p ǒ z d r a ʋ i t i
pozdravljati	p ǒ z d r a ʋ ʎ a t i
pozdravni	p ô z d r aː ʋ n iː
pozer	p ǒ z eː r
pozicija	p ǒ z iː t͡s i j a
pozirati	p o z ǐː r a t i
pozitivan	p ô z i t iː ʋ a n
pozitivno	p ô z i t iː ʋ n o
poziv	p ǒː z i ʋ
pozivati	p o z ǐː ʋ a t i
pozlatiti	p o z l ǎː t i t i
poznanica	p ǒ z n a n i t͡s a
poznanik	p ǒ z n a n iː k
poznanstvo	p o z n ǎː n s t ʋ o
poznat	p ô z n aː t
poznati	p ǒ z n a t i
poznatost	p ô z n aː t oː s t
poznavati	p o z n ǎː ʋ a t i
pozoj	p ǒ z o j
pozoran	p ǒː z oː r a n
pozornica	p o z ǒː r n i t͡s a
pozornik	p ǒː z oː r n iː k
pozorno	p ǒː z oː r n o
pozornost	p o z ǒː r n oː s t
