á	aː
gerontológia	ɡ e r ɔ n t ɔ l ɔː ɡ i a
Gertrúda	ɡ e r t r uː d a
gestácia	ɡ e s t aː t͡s i a
gestikulácia	ɡ e s t i k u l aː t͡s i a
gestikulovať	ɡ e s c i k u l ɔ ʋ a c
Gezo	ɡ e z ɔ
Gežo	ɡ e ʒ ɔ
Ghana	ɡ ɦ a n a
gibon	ɡ i b ɔ n
Gibraltár	ɡ i b r a l t aː r
Giertl	ɡ ɪ̯ e r t l̩
gigabajt	ɡ i ɡ a b a ɪ̯ t
gigantizmus	ɡ i ɡ a n t i z m u s
gilotína	ɡ i l ɔ t iː n a
Girga	ɡ i r ɡ a
gitarista	ɡ i t a r i s t a
gitaristka	ɡ i t a r i s t k a
Gizela	ɡ i z e l a
Gľaba	ɡ ʎ a b a
Gľaba	ɡ l a b a
glaciálny	ɡ l a t͡s i aː l n i
glaciológia	ɡ l a t͡s i ɔ l ɔː ɡ i a
gladiátor	ɡ l a d i aː t ɔ r
gladiátorský	ɡ l a ɟ i aː t ɔ r s k iː
Glasgow	ɡ l aː z ɡ ɔ u̯
glezg	ɡ ʎ e s k
glezg	ɡ l e s k
glg	ɡ l̩ k
globalizácia	ɡ l ɔ b a l i z aː t͡s i a
globálny	ɡ l ɔ b aː l n i
glóbus	ɡ l ɔː b u s
Glogar	ɡ l ɔ ɡ a r
glorifikácia	ɡ l ɔ r i f i k aː t͡s i a
glorifikovať	ɡ l ɔ r i f i k ɔ ʋ a c
Glova	ɡ l ɔ ʋ a
glukometer	ɡ l u k ɔ m e t e r
glukometra	ɡ l u k ɔ m e t r a
glukometru	ɡ l u k ɔ m e t r u
Glváč	ɡ l̩ ʋ aː t͡ʃ
gnómon	ɡ n ɔː m ɔ n
gnosticizmus	ɡ n ɔ s t i t͡s i z m u s
Gocník	ɡ ɔ t͡s ɲ iː k
Godla	ɡ ɔ d l a
Goethe	ɡ ø t e
Goethe	ɡ eː t e
Goga	ɡ ɔ ɡ a
gól	ɡ ɔː l
Golian	ɡ ɔ ʎ ɪ̯ a n
Golian	ɡ ɔ l ɪ̯ a n
golier	ɡ ɔ ʎ ɪ̯ e r
golier	ɡ ɔ l ɪ̯ e r
goliera	ɡ ɔ ʎ ɪ̯ e r a
goliera	ɡ ɔ l ɪ̯ e r a
golieri	ɡ ɔ ʎ ɪ̯ e r i
golieri	ɡ ɔ l ɪ̯ e r i
golierik	ɡ ɔ ʎ ɪ̯ e r i k
golierik	ɡ ɔ l ɪ̯ e r i k
golierika	ɡ ɔ ʎ ɪ̯ e r i k a
golierika	ɡ ɔ l ɪ̯ e r i k a
golierový	ɡ ɔ ʎ ɪ̯ e r ɔ ʋ iː
golierový	ɡ ɔ l ɪ̯ e r ɔ ʋ iː
gólman	ɡ ɔː l m a n
gólmanka	ɡ ɔː l m a ŋ k a
Gombár	ɡ ɔ m b aː r
gombík	ɡ ɔ m b iː k
Gomola	ɡ ɔ m ɔ l a
gonáda	ɡ ɔ n aː d a
Gonda	ɡ ɔ n d a
Gondáš	ɡ ɔ n d aː ʃ
gondola	ɡ ɔ n d ɔ l a
Gondžala	ɡ ɔ n d͡ʒ a l a
Gono	ɡ ɔ n ɔ
Gont	ɡ ɔ n t
Goral	ɡ ɔ r a l
Gorali	ɡ ɔ r a ʎ i
Gorali	ɡ ɔ r a l i
Goralka	ɡ ɔ r a l k a
Gorica	ɡ ɔ r i t͡s a
Görög	ɡ ø r ø k
Görögová	ɡ ø r ø ɡ ɔ ʋ aː
Gráčik	ɡ r aː t͡ʃ i k
gradácia	ɡ r a d aː t͡s i a
gradient	ɡ r a d i e n t
grádovňa	ɡ r aː d ɔ u̯ ɲ a
grádovňa	ɡ r aː d ɔ ʋ ɲ a
graféma	ɡ r a f eː m a
gramatika	ɡ r a m a t i k a
gramofón	ɡ r a m ɔ f ɔː n
gramotnosť	ɡ r a m ɔ t n ɔ s c
gramotný	ɡ r a m ɔ t n iː
granátomet	ɡ r a n aː t ɔ m e t
granátometu	ɡ r a n aː t ɔ m e t u
granátomety	ɡ r a n aː t ɔ m e t i
granúl	ɡ r a n uː l
granula	ɡ r a n u l a
granule	ɡ r a n u ʎ e
granule	ɡ r a n u l e
granuliek	ɡ r a n u ʎ ɪ̯ e k
granuliek	ɡ r a n u l ɪ̯ e k
granulka	ɡ r a n u l k a
granulky	ɡ r a n u l k i
granulou	ɡ r a n u l ɔ u̯
granulový	ɡ r a n u l ɔ ʋ iː
granulu	ɡ r a n u l u
granuly	ɡ r a n u l i
grapefruit	ɡ r e ɪ̯ p f r uː t
grapefruitový	ɡ r e ɪ̯ p f r uː t ɔ ʋ iː
grapefruitu	ɡ r e ɪ̯ p f r uː t u
grapefruity	ɡ r e ɪ̯ p f r uː t i
gravidita	ɡ r a ʋ i d i t a
gravitácia	ɡ r a ʋ i t aː t͡s i a
gravitačný	ɡ r a ʋ i t a t͡ʃ n iː
Graz	ɡ r a t͡s
Grbál	ɡ r̩ b aː l
Grécko	ɡ r eː t͡s k ɔ
grécky	ɡ r eː t͡s k i
gréčtina	ɡ r eː t͡ʃ c i n a
Grega	ɡ r e ɡ a
Greguš	ɡ r e ɡ u ʃ
Grell	ɡ r e lː
Grenada	ɡ r e n a d a
Greš	ɡ r e ʃ
Griger	ɡ r i ɡ e r
gril	ɡ r i l
grilovať	ɡ r i l ɔ ʋ a c
grilový	ɡ r i l ɔ ʋ iː
grinda	ɡ r i n d a
grizly	ɡ r i z l i
Grman	ɡ r̩ m a n
Grňa	ɡ r̩ ɲ a
Gron	ɡ r ɔ n
Grónsko	ɡ r ɔː n s k ɔ
Grónsko	ɡ r ɔː n̠ s k ɔ
grónsky	ɡ r ɔː n s k i
grónsky	ɡ r ɔː n̠ s k i
Grós	ɡ r ɔː s
Groznyj	ɡ r ɔ z n i ɪ̯
Groznyj	ɡ r ɔ z n i j
grúň	ɡ r uː ɲ
grúňa	ɡ r uː ɲ a
Grundza	ɡ r u n d͡z a
grúni	ɡ r uː ɲ i
grúnik	ɡ r uː ɲ i k
grúnika	ɡ r uː ɲ i k a
grúnikom	ɡ r uː ɲ i k ɔ m
grúňmi	ɡ r uː ɲ m i
grúňoch	ɡ r uː ɲ ɔ x
grúňu	ɡ r uː ɲ u
Gruzínsko	ɡ r u z iː n s k ɔ
Gruzínsko	ɡ r u z iː n̠ s k ɔ
Grznár	ɡ r̩ z n aː r
guajava	ɡ u a j a ʋ a
Guatemala	ɡ u a c e m a l a
gubernátor	ɡ u b e r n aː t ɔ r
gubernia	ɡ u b e r n i a
Gubo	ɡ u b ɔ
gudrón	ɡ u d r ɔː n
Gudžarát	ɡ u d͡ʒ a r aː t
gudžarátčina	ɡ u d͡ʒ a r aː t͡ʃː i n a
gudžarátčiny	ɡ u d͡ʒ a r aː t͡ʃː i n i
Guinea	ɡ u i ɲ e a
Gujda	ɡ u ɪ̯ d a
gúľ	ɡ uː ʎ
gúľ	ɡ uː l
Gula	ɡ u l a
guľa	ɡ u ʎ a
guľa	ɡ u l a
Guľa	ɡ u ʎ a
Guľa	ɡ u l a
gúľa	ɡ uː ʎ a
gúľa	ɡ uː l a
gulag	ɡ u l a k
gúľaj	ɡ uː ʎ a ɪ̯
gúľaj	ɡ uː l a ɪ̯
gúľal	ɡ uː ʎ a l
gúľal	ɡ uː l a l
gúľam	ɡ uː ʎ a m
gúľam	ɡ uː l a m
guľami	ɡ u ʎ a m i
guľami	ɡ u l a m i
Guľaš	ɡ u ʎ a ʃ
Guľaš	ɡ u l a ʃ
gúľaš	ɡ uː ʎ a ʃ
gúľaš	ɡ uː l a ʃ
gúľať	ɡ uː ʎ a c
gúľať	ɡ uː l a c
gúľate	ɡ uː ʎ a c e
gúľate	ɡ uː l a c e
guľatí	ɡ u ʎ a c iː
guľatí	ɡ u l a c iː
guľatina	ɡ u ʎ a c i n a
guľatina	ɡ u l a c i n a
guľatý	ɡ u ʎ a t iː
guľatý	ɡ u l a t iː
gule	ɡ u ʎ e
gule	ɡ u l e
guli	ɡ u ʎ i
guli	ɡ u l i
gulí	ɡ u ʎ iː
gulí	ɡ u l iː
guliach	ɡ u ʎ ɪ̯ a x
guliach	ɡ u l ɪ̯ a x
guliam	ɡ u ʎ ɪ̯ a m
guliam	ɡ u l ɪ̯ a m
guliar	ɡ u ʎ ɪ̯ a r
guliar	ɡ u l ɪ̯ a r
guľôčka	ɡ u ʎ u̯ ɔ t͡ʃ k a
guľôčka	ɡ u l u̯ ɔ t͡ʃ k a
guľomet	ɡ u ʎ ɔ m e t
guľomet	ɡ u l ɔ m e t
guľou	ɡ u ʎ ɔ u̯
guľou	ɡ u l ɔ u̯
guľový	ɡ u ʎ ɔ ʋ iː
guľový	ɡ u l ɔ ʋ iː
guľu	ɡ u ʎ u
guľu	ɡ u l u
gunár	ɡ u n aː r
Gunár	ɡ u n aː r
Gunč	ɡ u n t͡ʃ
Guniš	ɡ u ɲ i ʃ
guru	ɡ u r u
gurua	ɡ u r u a
guruovia	ɡ u r u ɔ ʋ ɪ̯ a
Guštafík	ɡ u ʃ t a f iː k
guvernérsky	ɡ u ʋ e r n eː r s k i
Guyana	ɡ u i a n a
Guziar	ɡ u z ɪ̯ a r
gvardián	ɡ ʋ a r d i aː n
gymnastika	ɡ i m n a s t i k a
gymnázia	ɡ i m n aː z i a
gymnáziom	ɡ i m n aː z i ɔ m
gymnázium	ɡ i m n aː z i u m
gynekológ	ɡ i n e k ɔ l ɔː k
gynekológia	ɡ i n e k ɔ l ɔː ɡ i a
gynekologička	ɡ i ɲ e k ɔ l ɔ ɡ i t͡ʃ k a
gynocentrizmus	ɡ i n ɔ t͡s e n t r i z m u s
gyroskop	ɡ i r ɔ s k ɔ p
h	x
Habán	ɦ a b aː n
Hablák	ɦ a b l aː k
Habľák	ɦ a b ʎ aː k
Habľák	ɦ a b l aː k
Habovštiak	ɦ a b ɔ u̯ ʃ c ɪ̯ a k
Habšuda	ɦ a p ʃ u d a
Haburaj	ɦ a b u r a ɪ̯
háčik	ɦ aː t͡ʃ i k
Hačunda	ɦ a t͡ʃ u n d a
had	ɦ a t
hada	ɦ a d a
háda	ɦ aː d a
háďa	ɦ aː ɟ a
hádajú	ɦ aː d a j uː
hádam	ɦ aː d a m
hádame	ɦ aː d a m e
hádanie	ɦ aː d a ɲ ɪ̯ e
hádanka	ɦ aː d a ŋ k a
hádaš	ɦ aː d a ʃ
hádať	ɦ aː d a c
hádate	ɦ aː d a c e
háďatko	ɦ aː ɟ a t k ɔ
hadí	ɦ a ɟ iː
hadica	ɦ a ɟ i t͡s a
hadička	ɦ a ɟ i t͡ʃ k a
hadicový	ɦ a ɟ i t͡s ɔ ʋ iː
hadík	ɦ a ɟ iː k
hádik	ɦ aː ɟ i k
hadoch	ɦ a d ɔ x
hadom	ɦ a d ɔ m
hadov	ɦ a d ɔ u̯
hadovi	ɦ a d ɔ ʋ i
hadrón	ɦ a d r ɔː n
hádzaná	ɦ aː d͡z a n aː
hádzanár	ɦ aː d͡z a n aː r
hádzanárka	ɦ aː d͡z a n aː r k a
hadži	ɦ a d͡ʒ i
Hafera	ɦ a f e r a
Hagara	ɦ a ɡ a r a
hagionymum	ɦ a ɡ i ɔ n i m u m
Hait	ɦ a i t
Hajaš	ɦ a j a ʃ
Hajdarábad	ɦ a ɪ̯ d a r aː b a t
Hajdú	ɦ a ɪ̯ d uː
hajdúch	ɦ a ɪ̯ d uː x
Hajdúch	ɦ a ɪ̯ d uː x
Hajdúchová	ɦ a ɪ̯ d uː x ɔ ʋ aː
Hajdučko	ɦ a ɪ̯ d u t͡ʃ k ɔ
hajduk	ɦ a ɪ̯ d u k
Hájek	ɦ aː j e k
Hajko	ɦ a ɪ̯ k ɔ
Hajnonovovešťan	ɦ a ɪ̯ n ɔ n ɔ ʋ ɔ ʋ e ʃ c a n
Hajnonovovešťanka	ɦ a ɪ̯ n ɔ n ɔ ʋ ɔ ʋ e ʃ c a ŋ k a
hák	ɦ aː k
hakať	ɦ a k a c
Hakel	ɦ a k e l
hákovnica	ɦ aː k ɔ u̯ ɲ i t͡s a
hákovnica	ɦ aː k ɔ ʋ ɲ i t͡s a
hala	ɦ a l a
Halada	ɦ a l a d a
Halagačka	ɦ a l a ɡ a t͡ʃ k a
Halás	ɦ a l aː s
Halčin	ɦ a l t͡ʃ i n
Halenár	ɦ a ʎ e n aː r
Halenár	ɦ a l e n aː r
halfvolej	ɦ a l f ʋ ɔ l e ɪ̯
halfvoleja	ɦ a l f ʋ ɔ ʎ e j a
halfvoleja	ɦ a l f ʋ ɔ l e j a
halier	ɦ a ʎ ɪ̯ e r
halier	ɦ a l ɪ̯ e r
Haľko	ɦ a ʎ k ɔ
Haľko	ɦ a l k ɔ
Hallon	ɦ a lː ɔ n
Halmo	ɦ a l m ɔ
Halo	ɦ a l ɔ
halogén	ɦ a l ɔ ɡ eː n
halucinácia	ɦ a l u t͡s i n aː t͡s i a
halucinogén	ɦ a l u t͡s i n ɔ ɡ eː n
Haluška	ɦ a l u ʃ k a
Hamaš	ɦ a m a ʃ
Hambalko	ɦ a m b a l k ɔ
hambálok	ɦ a m b aː l ɔ k
Hamburg	ɦ a m b u r k
Hamburgom	ɦ a m b u r ɡ ɔ m
Hamburgová	ɦ a m b u r ɡ ɔ ʋ aː
Hamburgu	ɦ a m b u r ɡ u
Hammel	ɦ a mː e l
Hampel	ɦ a m p e l
Hamza	ɦ a m z a
Hana	ɦ a n a
Hancko	ɦ a n t͡s k ɔ
handra	ɦ a n d r a
Handzuš	ɦ a n d͡z u ʃ
hangár	ɦ a ŋ ɡ aː r
hangárový	ɦ a ŋ ɡ aː r ɔ ʋ iː
Hanička	ɦ a ɲ i t͡ʃ k a
Hanínec	ɦ a ɲ iː ɲ e t͡s
Hanka	ɦ a ŋ k a
Hanko	ɦ a ŋ k ɔ
Hanus	ɦ a n u s
Hanzelová	ɦ a n z e l ɔ ʋ aː
Hanzelová	ɦ a n̠ z e l ɔ ʋ aː
Hanzo	ɦ a n z ɔ
Hanzo	ɦ a n̠ z ɔ
Harakaľ	ɦ a r a k a ʎ
Harakaľ	ɦ a r a k a l
Harare	ɦ a r a r e
Haraslín	ɦ a r a s ʎ iː n
Haraslín	ɦ a r a s l iː n
Harčár	ɦ a r t͡ʃ aː r
harfa	ɦ a r f a
Harijána	ɦ a r i j aː n a
Harmaniak	ɦ a r m a ɲ ɪ̯ a k
Harmaňoš	ɦ a r m a ɲ ɔ ʃ
harmonogram	ɦ a r m ɔ n ɔ ɡ r a m
harmonogramu	ɦ a r m ɔ n ɔ ɡ r a m u
harmonogramy	ɦ a r m ɔ n ɔ ɡ r a m i
hárok	ɦ aː r ɔ k
harpúna	ɦ a r p uː n a
harpúnový	ɦ a r p uː n ɔ ʋ iː
harpya	ɦ a r p i a
haruľa	ɦ a r u ʎ a
haruľa	ɦ a r u l a
haruľový	ɦ a r u ʎ ɔ ʋ iː
haruľový	ɦ a r u l ɔ ʋ iː
haruspex	ɦ a r u s p e k s
haruspika	ɦ a r u s p i k a
haruspikovia	ɦ a r u s p i k ɔ ʋ ɪ̯ a
harvan	ɦ a r ʋ a n
Harvan	ɦ a r ʋ a n
Haša	ɦ a ʃ a
Haščák	ɦ a ʃ t͡ʃ aː k
Haška	ɦ a ʃ k a
hašlerka	ɦ a ʃ ʎ e r k a
hašlerka	ɦ a ʃ l e r k a
hastrman	ɦ a s t r̩ m a n
hastrmana	ɦ a s t r̩ m a n a
Hattala	ɦ a tː a l a
Hauser	ɦ a u s e r
háv	ɦ aː u̯
Havaj	ɦ a ʋ a ɪ̯
Havajčan	ɦ a ʋ a ɪ̯ t͡ʃ a n
Havajčanka	ɦ a ʋ a ɪ̯ t͡ʃ a ŋ k a
havajský	ɦ a ʋ a ɪ̯ s k iː
Havana	ɦ a ʋ a n a
Havaš	ɦ a ʋ a ʃ
háveď	ɦ aː ʋ e c
Havel	ɦ a ʋ e l
Haviar	ɦ a ʋ ɪ̯ a r
haviar	ɦ a ʋ ɪ̯ a r
haviarka	ɦ a ʋ ɪ̯ a r k a
Havlíček	ɦ a u̯ ʎ iː t͡ʃ e k
Havlíček	ɦ a ʋ ʎ iː t͡ʃ e k
Havlíček	ɦ a u̯ l iː t͡ʃ e k
Havlíček	ɦ a ʋ l iː t͡ʃ e k
havran	ɦ a u̯ r a n
havran	ɦ a ʋ r a n
Havran	ɦ a u̯ r a n
Havran	ɦ a ʋ r a n
havraní	ɦ a u̯ r a ɲ iː
havraní	ɦ a ʋ r a ɲ iː
hebrejčina	ɦ e b r e ɪ̯ t͡ʃ i n a
Hebrejom	ɦ e b r e j ɔ m
Hečko	ɦ e t͡ʃ k ɔ
Heda	ɦ e d a
hedonizmus	ɦ e d ɔ n i z m u s
Hedviga	ɦ e d ʋ i ɡ a
hegemónia	ɦ e ɡ e m ɔː n i a
Heger	ɦ e ɡ e r
Hejdiš	ɦ e ɪ̯ ɟ i ʃ
Helena	ɦ e l e n a
helfnúť	ɦ e l f n uː c
Helga	ɦ e l ɡ a
heliodór	ɦ e ʎ i ɔ d ɔː r
heliodór	ɦ e l i ɔ d ɔː r
heliometer	ɦ e l i ɔ m e t e r
hélium	ɦ eː l i u m
helma	ɦ e l m a
hematológia	ɦ e m a t ɔ l ɔː ɡ i a
hemeralopia	ɦ e m e r a l ɔ p i a
hemisféra	ɦ e m i s f eː r a
hemofília	ɦ e m ɔ f iː l i a
Hencel	ɦ e n t͡s e l
Henčel	ɦ e n t͡ʃ e l
Henrieta	ɦ e n r i e t a
hentá	ɦ e n t aː
hento	ɦ e n t ɔ
heraldika	ɦ e r a l d i k a
herbár	ɦ e r b aː r
herbára	ɦ e r b aː r a
herbárový	ɦ e r b aː r ɔ ʋ iː
Herc	ɦ e r t͡s
herca	ɦ e r t͡s a
hercami	ɦ e r t͡s a m i
Herceg	ɦ e r t͡s e k
herci	ɦ e r t͡s i
Herčík	ɦ e r t͡ʃ iː k
Herco	ɦ e r t͡s ɔ
hercoch	ɦ e r t͡s ɔ x
hercom	ɦ e r t͡s ɔ m
hercov	ɦ e r t͡s ɔ u̯
hercovi	ɦ e r t͡s ɔ ʋ i
Herda	ɦ e r d a
herec	ɦ e r e t͡s
herečka	ɦ e r e t͡ʃ k a
herecký	ɦ e r e t͡s k iː
heréza	ɦ e r eː z a
hergot	ɦ e r ɡ ɔ t
hermafroditizmus	ɦ e r m a v r ɔ d i t i z m u s
Hermína	ɦ e r m iː n a
Hesensko	ɦ e s e n s k ɔ
Hesensko	ɦ e s e n̠ s k ɔ
heslo	ɦ e s l ɔ
heteronymum	ɦ e t e r ɔ n i m u m
Hevera	ɦ e ʋ e r a
hexagón	ɦ e k s a ɡ ɔː n
hier	ɦ ɪ̯ e r
hierarchia	ɦ ɪ̯ e r a r x i a
híkať	ɦ iː k a c
Hilda	ɦ i l d a
Hilmer	ɦ i l m e r
Himáčalpradéš	ɦ i m aː t͡ʃ a l p r a d eː ʃ
hinduizmu	ɦ i n d u i z m u
hinduizmus	ɦ i n d u i z m u s
hintov	ɦ i n t ɔ u̯
Hipp	ɦ i pː
Hipš	ɦ i p ʃ
Híreš	ɦ iː r e ʃ
Hirjak	ɦ i r j a k
Hirka	ɦ i r k a
Hirošima	ɦ i r ɔ ʃ i m a
histopatológia	ɦ i s t ɔ p a t ɔ l ɔː ɡ i a
história	ɦ i s t ɔː r i a
historický	ɦ i s t ɔ r i t͡s k iː
historik	ɦ i s t ɔ r i k
hláč	ɦ l aː t͡ʃ
hláče	ɦ l aː t͡ʃ e
hlad	ɦ l a t
hľadá	ɦ ʎ a d aː
hľadá	ɦ l a d aː
hľadajú	ɦ ʎ a d a j uː
hľadajú	ɦ l a d a j uː
hľadať	ɦ ʎ a d a c
hľadať	ɦ l a d a c
hlade	ɦ l a ɟ e
hladké	ɦ l a t k eː
hladkí	ɦ l a t k iː
hladký	ɦ l a t k iː
Hladký	ɦ l a t k iː
hladná	ɦ l a d n aː
hladný	ɦ l a d n iː
hladovkár	ɦ l a d ɔ u̯ k aː r
hladovkárka	ɦ l a d ɔ u̯ k aː r k a
hladový	ɦ l a d ɔ ʋ iː
hlahol	ɦ l a ɦ ɔ l
hlaholiť	ɦ l a ɦ ɔ ʎ i c
hlaholiť	ɦ l a ɦ ɔ l i c
hlas	ɦ l a s
hlase	ɦ l a s e
hlasmi	ɦ l a s m i
hlasoch	ɦ l a s ɔ x
hlasom	ɦ l a s ɔ m
hlasov	ɦ l a s ɔ u̯
hlasovať	ɦ l a s ɔ ʋ a c
hlasový	ɦ l a s ɔ ʋ iː
hlasu	ɦ l a s u
hlasy	ɦ l a s i
hláv	ɦ l aː u̯
hlava	ɦ l a ʋ a
Hlaváč	ɦ l a ʋ aː t͡ʃ
Hlavaj	ɦ l a ʋ a ɪ̯
Hlavatý	ɦ l a ʋ a t iː
hlave	ɦ l a ʋ e
Hlavinka	ɦ l a ʋ i ŋ k a
hlavný	ɦ l a u̯ n iː
hlavný	ɦ l a ʋ n iː
hlavou	ɦ l a ʋ ɔ u̯
hlavu	ɦ l a ʋ u
hlavy	ɦ l a ʋ i
hlien	ɦ ʎ ɪ̯ e n
hlien	ɦ l ɪ̯ e n
hlienový	ɦ ʎ ɪ̯ e n ɔ ʋ iː
hlienový	ɦ l ɪ̯ e n ɔ ʋ iː
hlina	ɦ ʎ i n a
hlina	ɦ l i n a
hliník	ɦ ʎ i ɲ iː k
hliník	ɦ l i ɲ iː k
hlísta	ɦ ʎ iː s t a
hlísta	ɦ l iː s t a
Hlísta	ɦ ʎ iː s t a
Hlísta	ɦ l iː s t a
hliva	ɦ ʎ i v a
hliva	ɦ l i v a
Hlobeň	ɦ l ɔ b e ɲ
hloh	ɦ l ɔ x
hlohový	ɦ l ɔ ɦ ɔ ʋ iː
hlošina	ɦ l ɔ ʃ i n a
hlt	ɦ l̩ t
hlúb	ɦ l uː p
Hlúbik	ɦ l uː b i k
hlucháň	ɦ l u x aː ɲ
hlučný	ɦ l u t͡ʃ n iː
hluk	ɦ l u k
hlupaňa	ɦ l u p a ɲ a
hlúpy	ɦ l uː p i
hľuza	ɦ ʎ u z a
hľuza	ɦ l u z a
hľuzovka	ɦ ʎ u z ɔ u̯ k a
hľuzovka	ɦ l u z ɔ u̯ k a
hľuzový	ɦ ʎ u z ɔ ʋ iː
hľuzový	ɦ l u z ɔ ʋ iː
hmla	ɦ m l a
hmlový	ɦ m l ɔ ʋ iː
hmotnosť	ɦ m ɔ t n ɔ s c
hnať	ɦ n a c
hnát	ɦ n aː t
Hnátek	ɦ n aː c e k
hnátik	ɦ n aː c i k
Hnatko	ɦ n a t k ɔ
hne	ɦ ɲ e
hnedý	ɦ ɲ e d iː
hneť	ɦ ɲ e c
hnetenie	ɦ ɲ e c e ɲ ɪ̯ e
hnetie	ɦ ɲ e c ɪ̯ e
hneťte	ɦ ɲ e cː e
hnetú	ɦ ɲ e t uː
hni	ɦ ɲ i
hnida	ɦ ɲ i d a
Hnidka	ɦ ɲ i t k a
Hnidzík	ɦ ɲ i d͡z iː k
hniesť	ɦ ɲ ɪ̯ e s c
hnietla	ɦ ɲ ɪ̯ e t l a
hnietol	ɦ ɲ ɪ̯ e t ɔ l
Hnilica	ɦ ɲ i ʎ i t͡s a
Hnilica	ɦ ɲ i l i t͡s a
hnilý	ɦ ɲ i l iː
hnoj	ɦ n ɔ ɪ̯
hnojivo	ɦ n ɔ j i ʋ ɔ
hnojník	ɦ n ɔ ɪ̯ ɲ iː k
hnú	ɦ n uː
hnul	ɦ n u l
hnula	ɦ n u l a
hnus	ɦ n u s
hnusný	ɦ n u s n iː
hnúť	ɦ n uː c
hnuteľný	ɦ n u c e ʎ n iː
hnuteľný	ɦ n u c e l n iː
Hnyk	ɦ n i k
ho	ɦ ɔ
hobeľ	ɦ ɔ b e ʎ
hobeľ	ɦ ɔ b e l
hoblica	ɦ ɔ b ʎ i t͡s a
hoblica	ɦ ɔ b l i t͡s a
Hoblík	ɦ ɔ b ʎ iː k
Hoblík	ɦ ɔ b l iː k
hocičo	ɦ ɔ t͡s i t͡ʃ ɔ
hod	ɦ ɔ t
Hodek	ɦ ɔ ɟ e k
hodina	ɦ ɔ ɟ i n a
hodonymum	ɦ ɔ d ɔ n i m u m
hodváb	ɦ ɔ d ʋ aː p
hodvábnica	ɦ ɔ d ʋ aː b ɲ i t͡s a
hodvábny	ɦ ɔ d ʋ aː b n i
hodža	ɦ ɔ d͡ʒ a
Hodža	ɦ ɔ d͡ʒ a
Hodžová	ɦ ɔ d͡ʒ ɔ ʋ aː
hojdací	ɦ ɔ ɪ̯ d a t͡s iː
hojdať	ɦ ɔ ɪ̯ d a c
hojiť	ɦ ɔ j i c
hojivý	ɦ ɔ j i ʋ iː
Hojsík	ɦ ɔ ɪ̯ s iː k
hôľ	ɦ u̯ ɔ ʎ
hôľ	ɦ u̯ ɔ l
holá	ɦ ɔ l aː
hoľa	ɦ ɔ ʎ a
hoľa	ɦ ɔ l a
hoľami	ɦ ɔ ʎ a m i
hoľami	ɦ ɔ l a m i
holandčina	ɦ ɔ l a n t͡ʃː i n a
Holandsko	ɦ ɔ l a n t͡s k ɔ
Holdoš	ɦ ɔ l d ɔ ʃ
hole	ɦ ɔ ʎ e
hole	ɦ ɔ l e
holé	ɦ ɔ l eː
Holec	ɦ ɔ ʎ e t͡s
Holec	ɦ ɔ l e t͡s
holej	ɦ ɔ ʎ e ɪ̯
holej	ɦ ɔ l e ɪ̯
Holeš	ɦ ɔ ʎ e ʃ
Holeš	ɦ ɔ l e ʃ
Holeva	ɦ ɔ ʎ e ʋ a
Holeva	ɦ ɔ l e ʋ a
holi	ɦ ɔ ʎ i
holi	ɦ ɔ l i
holí	ɦ ɔ ʎ iː
holí	ɦ ɔ l iː
Holič	ɦ ɔ ʎ i t͡ʃ
Holič	ɦ ɔ l i t͡ʃ
Holiček	ɦ ɔ ʎ i t͡ʃ e k
Holiček	ɦ ɔ l i t͡ʃ e k
Holienka	ɦ ɔ ʎ ɪ̯ e ŋ k a
Holienka	ɦ ɔ l ɪ̯ e ŋ k a
Holík	ɦ ɔ ʎ iː k
Holík	ɦ ɔ l iː k
Holka	ɦ ɔ l k a
Hoľko	ɦ ɔ ʎ k ɔ
Hoľko	ɦ ɔ l k ɔ
Hollý	ɦ ɔ lː iː
holo	ɦ ɔ l ɔ
hologram	ɦ ɔ l ɔ ɡ r a m
holohumnica	ɦ ɔ l ɔ ɦ u m ɲ i t͡s a
holom	ɦ ɔ l ɔ m
holou	ɦ ɔ l ɔ u̯
hoľou	ɦ ɔ ʎ ɔ u̯
hoľou	ɦ ɔ l ɔ u̯
Holp	ɦ ɔ l p
holú	ɦ ɔ l uː
hoľu	ɦ ɔ ʎ u
hoľu	ɦ ɔ l u
holub	ɦ ɔ l u p
Holub	ɦ ɔ l u p
holuba	ɦ ɔ l u b a
holúbä	ɦ ɔ l uː b ɛ ɐ̯
holúbä	ɦ ɔ l uː b e
holubníček	ɦ ɔ l u b ɲ iː t͡ʃ e k
holubníčka	ɦ ɔ l u b ɲ iː t͡ʃ k a
holubník	ɦ ɔ l u b ɲ iː k
holubom	ɦ ɔ l u b ɔ m
holubov	ɦ ɔ l u b ɔ u̯
holubovi	ɦ ɔ l u b ɔ ʋ i
holuby	ɦ ɔ l u b i
holý	ɦ ɔ l iː
Holý	ɦ ɔ l iː
homár	ɦ ɔ m aː r
homôľ	ɦ ɔ m u̯ ɔ ʎ
homôľ	ɦ ɔ m u̯ ɔ l
Homola	ɦ ɔ m ɔ l a
homoľa	ɦ ɔ m ɔ ʎ a
homoľa	ɦ ɔ m ɔ l a
homole	ɦ ɔ m ɔ ʎ e
homole	ɦ ɔ m ɔ l e
homôľka	ɦ ɔ m u̯ ɔ ʎ k a
