a.K.	a k o
embargus	e m b a r ɡ u s
emblemo	e m b l e m o
embria	e m b r i a
embrio	e m b r i o
embrioj	e m b r i o i̯
embriojn	e m b r i o i̯ n
embrion	e m b r i o n
emerito	e m e r i t o
emeritoj	e m e r i t o i̯
emeritojn	e m e r i t o i̯ n
emeriton	e m e r i t o n
emfazi	e m f a z i
emfazo	e m f a z o
emi	e m i
Emilio	e m i l i o
Emilion	e m i l i o n
eminenta	e m i n e n t a
eminentan	e m i n e n t a n
Eminjo	e m i n j o
Eminjon	e m i n j o n
emirlando	e m i r l a n d o
emirlandoj	e m i r l a n d o i̯
emirlandon	e m i r l a n d o n
emiro	e m i r o
emis	e m i s
emo	e m o
emocia	e m o t͡s i a
emocie	e m o t͡s i e
emocii	e m o t͡s i i
emocio	e m o t͡s i o
emocion	e m o t͡s i o n
emoĝio	e m o d͡ʒ i o
emoj	e m o i̯
emojn	e m o i̯ n
emon	e m o n
emoo	e m o o
emoon	e m o o n
emos	e m o s
empiria	e m p i r i a
emu	e m u
emuo	e m u o
emus	e m u s
en	e n
ena	e n a
enabismiĝas	e n a b i s m i d͡ʒ a s
enabismiĝi	e n a b i s m i d͡ʒ i
enabismiĝis	e n a b i s m i d͡ʒ i s
enabismiĝos	e n a b i s m i d͡ʒ o s
enabismiĝu	e n a b i s m i d͡ʒ u
enabismiĝus	e n a b i s m i d͡ʒ u s
enafikso	e n a f i k s o
enaj	e n a i̯
enajn	e n a i̯ n
enamiĝi	e n a m i d͡ʒ i
enamiĝo	e n a m i d͡ʒ o
enan	e n a n
enantiomero	e n a n t i o m e r o
enbalzamigi	e n b a l z a m i ɡ i
enblovi	e n b l o v i
enbrakigi	e n b r a k i ɡ i
enbusiĝi	e n b u s i d͡ʒ i
encerbigi	e n t͡s e r b i ɡ i
encikliko	e n t͡s i k l i k o
enciklopedia	e n t͡s i k l o p e d i a
enciklopediisto	e n t͡s i k l o p e d i i s t o
enciklopedio	e n t͡s i k l o p e d i o
endas	e n d a s
endi	e n d i
endis	e n d i s
endivio	e n d i v i o
endodermo	e n d o d e r m o
endoforo	e n d o f o r o
endormiĝanta	e n d o r m i d ʒ a n t a
endormiĝantaj	e n d o r m i d͡ʒ a n t a i̯
endormiĝantajn	e n d o r m i d͡ʒ a n t a i̯ n
endormiĝantan	e n d o r m i d ʒ a n t a n
endormiĝante	e n d o r m i d ʒ a n t e
endormiĝanto	e n d o r m i d ʒ a n t o
endormiĝantoj	e n d o r m i d͡ʒ a n t o i̯
endormiĝantojn	e n d o r m i d͡ʒ a n t o i̯ n
endormiĝanton	e n d o r m i d ʒ a n t o n
endormiĝas	e n d o r m i d ʒ a s
endormiĝi	e n d o r m i d͡ʒ i
endormiĝinta	e n d o r m i d ʒ i n t a
endormiĝintaj	e n d o r m i d͡ʒ i n t a i̯
endormiĝintajn	e n d o r m i d͡ʒ i n t a i̯ n
endormiĝintan	e n d o r m i d ʒ i n t a n
endormiĝinte	e n d o r m i d ʒ i n t e
endormiĝinto	e n d o r m i d ʒ i n t o
endormiĝintoj	e n d o r m i d͡ʒ i n t o i̯
endormiĝintojn	e n d o r m i d͡ʒ i n t o i̯ n
endormiĝinton	e n d o r m i d ʒ i n t o n
endormiĝis	e n d o r m i d ʒ i s
endormiĝonta	e n d o r m i d ʒ o n t a
endormiĝontaj	e n d o r m i d͡ʒ o n t a i̯
endormiĝontajn	e n d o r m i d͡ʒ o n t a i̯ n
endormiĝontan	e n d o r m i d ʒ o n t a n
endormiĝonte	e n d o r m i d ʒ o n t e
endormiĝonto	e n d o r m i d ʒ o n t o
endormiĝontoj	e n d o r m i d͡ʒ o n t o i̯
endormiĝontojn	e n d o r m i d͡ʒ o n t o i̯ n
endormiĝonton	e n d o r m i d ʒ o n t o n
endormiĝos	e n d o r m i d ʒ o s
endormiĝu	e n d o r m i d ʒ u
endormiĝus	e n d o r m i d ʒ u s
endos	e n d o s
endu	e n d u
endus	e n d u s
ene	e n e
energia	e n e r ɡ i a
energiaj	e n e r ɡ i a i̯
energiajn	e n e r ɡ i a i̯ n
energian	e n e r ɡ i a n
energie	e n e r ɡ i e
energinivelo	e n e r ɡ i n i v e l o
energiniveloj	e n e r ɡ i n i v e l o i̯
energinivelojn	e n e r ɡ i n i v e l o i̯ n
energinivelon	e n e r ɡ i n i v e l o n
energio	e n e r ɡ i o
energion	e n e r ɡ i o n
energitrinkaĵo	e n e r ɡ i t r i n k a ʒ o
enfali	e n f a l i
enfermi	e n f e r m i
enfermito	e n f e r m i t o
enfluejo	e n f l u e j o
enfluejoj	e n f l u e j o i̯
enfluejojn	e n f l u e j o i̯ n
enfluejon	e n f l u e j o n
englo	e n ɡ l o
engloj	e n ɡ l o i̯
englojn	e n ɡ l o i̯ n
englon	e n ɡ l o n
engluti	e n ɡ l u t i
enhavas	e n h a v a s
enhavi	e n h a v i
enhavis	e n h a v i s
enhavo	e n h a v o
enigilo	e n i ɡ i l o
enigma	e n i ɡ m a
enigmaj	e n i ɡ m a i̯
enigmajn	e n i ɡ m a i̯ n
enigman	e n i ɡ m a n
enigmo	e n i ɡ m o
enigmoj	e n i ɡ m o i̯
enigmojn	e n i ɡ m o i̯ n
enigmon	e n i ɡ m o n
eniĝi	e n i d͡ʒ i
enirejo	e n i r e j o
enirhalo	e n i r h a l o
eniri	e n i r i
eniro	e n i r o
enkampo	e n k a m p o
enkampoj	e n k a m p o i̯
enkampojn	e n k a m p o i̯ n
enkampon	e n k a m p o n
enkampulo	e n k a m p u l o
enkarniĝi	e n k a r n i d͡ʒ i
enkasigi	e n k a s i ɡ i
enketi	e n k e t i
enketo	e n k e t o
enketu	e n k e t u
enketus	e n k e t u s
enklavo	e n k l a v o
enkonduki	e n k o n d u k i
enkonduko	e n k o n d u k o
enkondukoj	e n k o n d u k o i̯
enkondukojn	e n k o n d u k o i̯ n
enkondukon	e n k o n d u k o n
enkonduku	e n k o n d u k u
enkorpiganta	e n k o r p i ɡ a n t a
enkorpigante	e n k o r p i ɡ a n t e
enkorpiganto	e n k o r p i ɡ a n t o
enkorpigas	e n k o r p i ɡ a s
enkorpigata	e n k o r p i ɡ a t a
enkorpigate	e n k o r p i ɡ a t e
enkorpigato	e n k o r p i ɡ a t o
enkorpigi	e n k o r p i ɡ i
enkorpiginta	e n k o r p i ɡ i n t a
enkorpiginte	e n k o r p i ɡ i n t e
enkorpiginto	e n k o r p i ɡ i n t o
enkorpigis	e n k o r p i ɡ i s
enkorpigita	e n k o r p i ɡ i t a
enkorpigite	e n k o r p i ɡ i t e
enkorpigito	e n k o r p i ɡ i t o
enkorpigonta	e n k o r p i ɡ o n t a
enkorpigonte	e n k o r p i ɡ o n t e
enkorpigonto	e n k o r p i ɡ o n t o
enkorpigos	e n k o r p i ɡ o s
enkorpigota	e n k o r p i ɡ o t a
enkorpigote	e n k o r p i ɡ o t e
enkorpigoto	e n k o r p i ɡ o t o
enkorpigu	e n k o r p i ɡ u
enkorpigus	e n k o r p i ɡ u s
enladigi	e n l a d i ɡ i
enlanda	e n l a n d a
enlandaj	e n l a n d a i̯
enlandajn	e n l a n d a i̯ n
enlandan	e n l a n d a n
enlandano	e n l a n d a n o
enlasi	e n l a s i
enlitigi	e n l i t i ɡ i
enlitiĝi	e n l i t i d͡ʒ i
enloĝas	e n l o d͡ʒ a s
enloĝebla	e n l o d͡ʒ e b l a
enloĝi	e n l o d͡ʒ i
enloĝiĝi	e n l o d͡ʒ i d͡ʒ i
enloĝis	e n l o d͡ʒ i s
enloĝos	e n l o d͡ʒ o s
enloĝu	e n l o d͡ʒ u
enloĝus	e n l o d͡ʒ u s
enmanigi	e n m a n i ɡ i
enmeti	e n m e t i
enmigrado	e n m i ɡ r a d o
enmigri	e n m i ɡ r i
eno	e n o
enoficigi	e n o f i t͡s i ɡ i
enoj	e n o i̯
enojn	e n o i̯ n
enon	e n o n
enorde	e n o r d e
enorma	e n o r m a
enormaj	e n o r m a i̯
enormajn	e n o r m a i̯ n
enorman	e n o r m a n
enorme	e n o r m e
enporti	e n p o r t i
enposteniĝo	e n p o s t e n i d͡ʒ o
enprizonigi	e n p r i z o n i ɡ i
enradiki	e n r a d i k i
enradikigi	e n r a d i k i ɡ i
enreta	e n r e t a
enretigas	e n r e t i ɡ a s
enretigi	e n r e t i ɡ i
enretigis	e n r e t i ɡ i s
enretigos	e n r e t i ɡ o s
enretigu	e n r e t i ɡ u
enretigus	e n r e t i ɡ u s
enrigardi	e n r i ɡ a r d i
ensaluti	e n s a l u t i
ensemblo	e n s e m b l o
ensembloj	e n s e m b l o i̯
ensemblojn	e n s e m b l o i̯ n
ensemblon	e n s e m b l o n
enskribi	e n s k r i b i
ensorĉiga	e n s o r t͡ʃ i ɡ a
enspezi	e n s p e z i
enspezo	e n s p e z o
enŝalti	e n ʃ a l t i
enŝipiĝi	e n ʃ i p i d͡ʒ i
enŝlosi	e n ʃ l o s i
entalpio	e n t a l p i o
enteni	e n t e n i
entera	e n t e r a
enterigejo	e n t e r i ɡ e j o
enterigejoj	e n t e r i ɡ e j o i̯
enterigejojn	e n t e r i ɡ e j o i̯ n
enterigejon	e n t e r i ɡ e j o n
enterigi	e n t e r i ɡ i
enterigo	e n t e r i ɡ o
entjero	e n t j e r o
ento	e n t o
entombigi	e n t o m b i ɡ i
entomologio	e n t o m o l o ɡ i o
entomologo	e n t o m o l o ɡ o
entrepreni	e n t r e p r e n i
entreprenisto	e n t r e p r e n i s t o
entrepreno	e n t r e p r e n o
entreprenoj	e n t r e p r e n o i̯
entreprenojn	e n t r e p r e n o i̯ n
entreprenon	e n t r e p r e n o n
entropio	e n t r o p i o
entute	e n t u t e
entuziasma	e n t u z i a s m a
entuziasmaj	e n t u z i a s m a i̯
entuziasmajn	e n t u z i a s m a i̯ n
entuziasman	e n t u z i a s m a n
entuziasmigas	e n t u z i a s m i ɡ a s
entuziasmigi	e n t u z i a s m i ɡ i
entuziasmigis	e n t u z i a s m i ɡ i s
entuziasmigos	e n t u z i a s m i ɡ o s
entuziasmigu	e n t u z i a s m i ɡ u
entuziasmigus	e n t u z i a s m i ɡ u s
entuziasmo	e n t u z i a s m o
entuziasmoj	e n t u z i a s m o i̯
entuziasmojn	e n t u z i a s m o i̯ n
entuziasmon	e n t u z i a s m o n
entuziasmulo	e n t u z i a s m u l o
enua	e n u a
enuan	e n u a n
enui	e n u i
enuiga	e n u i ɡ a
enuigi	e n u i ɡ i
enuiĝi	e n u i d͡ʒ i
enuo	e n u o
enuon	e n u o n
enveni	e n v e n i
enverguro	e n v e r ɡ u r o
envias	e n v i a s
envicigi	e n v i t͡s i ɡ i
envii	e n v i i
enviis	e n v i i s
envios	e n v i o s
enviu	e n v i u
envius	e n v i u s
envolvas	e n v o l v a s
envolvi	e n v o l v i
envolvis	e n v o l v i s
envolvos	e n v o l v o s
envolvus	e n v o l v u s
enzimo	e n z i m o
eosta	e o s t a
eostaj	e o s t a i̯
eostajn	e o s t a i̯ n
eostan	e o s t a n
eosto	e o s t o
eoston	e o s t o n
epidemio	e p i d e m i o
epidermo	e p i d e r m o
epididimo	e p i d i d i m o
epididimoj	e p i d i d i m o i̯
epididimojn	e p i d i d i m o i̯ n
epididimon	e p i d i d i m o n
Epifanio	e p i f a n i o
epifanio	e p i f a n i o
epigrafo	e p i ɡ r a f o
epigramo	e p i ɡ r a m o
epilepsia	e p i l e p s i a
epilepsio	e p i l e p s i o
epilepsiulo	e p i l e p s i u l o
epilogo	e p i l o ɡ o
epilogo	e p i l o ɡ o
epilogoj	e p i l o ɡ o i̯
epilogoj	e p i l o ɡ o i̯
epilogojn	e p i l o ɡ o i̯ n
epilogojn	e p i l o ɡ o i̯ n
epilogon	e p i l o ɡ o n
epilogon	e p i l o ɡ o n
episkoparo	e p i s k o p a r o
episkopino	e p i s k o p i n o
episkopo	e p i s k o p o
epistakso	e p i s t a k s o
epistemologio	e p i s t e m o l o ɡ i o
epitetas	e p i t e t a s
epiteti	e p i t e t i
epitetis	e p i t e t i s
epiteto	e p i t e t o
epitetojn	e p i t e t o i̯ n
epitetos	e p i t e t o s
epitetu	e p i t e t u
epitetus	e p i t e t u s
epitomo	e p i t o m o
epitomoj	e p i t o m o i̯
epitomojn	e p i t o m o i̯ n
epitomon	e p i t o m o n
epoĥo	e p o x o
epoko	e p o k o
epoleto	e p o l e t o
epooforo	e p o o f o r o
epopea	e p o p e a
epopeo	e p o p e o
epsilono	e p s i l o n o
era	e r a
eraj	e r a i̯
erajn	e r a i̯ n
eran	e r a n
erao	e r a o
erare	e r a r e
erari	e r a r i
eraro	e r a r o
eraroj	e r a r o i̯
erbio	e r b i o
erco	e r t͡s o
ercoj	e r t͡s o i̯
ercojn	e r t͡s o i̯ n
ercon	e r t͡s o n
Erebo	e r e b o
erektiĝo	e r e k t i d͡ʒ o
Erevano	e r e v a n o
Erevono	e r e v o n o
erhuo	e r h u o
Eridano	e r i d a n o
eriko	e r i k o
Eriko	e r i k o
erinaco	e r i n a t͡s o
erinacoj	e r i n a t͡s o i̯
erinacojn	e r i n a t͡s o i̯ n
erinacon	e r i n a t͡s o n
Eriso	e r i s o
eritrea	e r i t r e a
eritreano	e r i t r e a n o
Eritreo	e r i t r e o
erizipelo	e r i z i p e l o
ermeno	e r m e n o
ermita	e r m i t a
ermitejo	e r m i t e j o
ermito	e r m i t o
Ernesto	e r n e s t o
Erneston	e r n e s t o n
ero	e r o
erodi	e r o d i
eroj	e r o i̯
erojn	e r o i̯ n
eron	e r o n
erotika	e r o t i k a
erotike	e r o t i k e
erotomanio	e r o t o m a n i o
erotomaniulo	e r o t o m a n i u l o
erozii	e r o z i i
erozio	e r o z i o
erpas	e r p a s
erpi	e r p i
erpilo	e r p i l o
erpis	e r p i s
erpos	e r p o s
erpu	e r p u
erpus	e r p u s
erupcio	e r u p t͡s i o
escepta	e s t͡s e p t a
esceptaj	e s t͡s e p t a i̯
esceptajn	e s t͡s e p t a i̯ n
esceptan	e s t͡s e p t a n
escepte	e s t͡s e p t e
escepteco	e s t͡s e p t e t͡s o
escepti	e s t͡s e p t i
escepto	e s t͡s e p t o
esceto	e s t͡s e t o
eseisto	e s e i s t o
esenca	e s e n t͡s a
esencaj	e s e n t͡s a i̯
esencan	e s e n t͡s a n
esence	e s e n t͡s e
esenco	e s e n t͡s o
esencoj	e s e n t͡s o i̯
esencojn	e s e n t͡s o i̯ n
esencon	e s e n t͡s o n
eseo	e s e o
eskadro	e s k a d r o
eskadroj	e s k a d r o i̯
eskadrojn	e s k a d r o i̯ n
eskadron	e s k a d r o n
eskadrono	e s k a d r o n o
eskalatoro	e s k a l a t o r o
eskali	e s k a l i
eskalo	e s k a l o
eskalopo	e s k a l o p o
eskapi	e s k a p i
eskimo	e s k i m o
eskorti	e s k o r t i
eskorto	e s k o r t o
esperanta	e s p e r a n t a
Esperanta	e s p e r a n t a
esperantano	e s p e r a n t a n o
esperante	e s p e r a n t e
Esperantido	e s p e r a n t i d o
esperantido	e s p e r a n t i d o
esperantigi	e s p e r a n t i ɡ i
Esperantigi	e s p e r a n t i ɡ i
esperantiĝi	e s p e r a n t i d͡ʒ i
Esperantio	e s p e r a n t i o
Esperantion	e s p e r a n t i o n
esperantismo	e s p e r a n t i s m o
esperantista	e s p e r a n t i s t a
esperantistaj	e s p e r a n t i s t a i̯
esperantistajn	e s p e r a n t i s t a i̯ n
esperantistan	e s p e r a n t i s t a n
esperantistaro	e s p e r a n t i s t a r o
Esperantistaro	e s p e r a n t i s t a r o
esperantistaron	e s p e r a n t i s t a r o n
Esperantistaron	e s p e r a n t i s t a r o n
esperantisteco	e s p e r a n t i s t e t͡s o
esperantistecoj	e s p e r a n t i s t e t͡s o i̯
esperantistecojn	e s p e r a n t i s t e t͡s o i̯ n
esperantistecon	e s p e r a n t i s t e t͡s o n
esperantistiĉo	e s p e r a n t i s t i t͡ʃ o
esperantistiĉoj	e s p e r a n t i s t i t͡ʃ o i̯
esperantistiĉojn	e s p e r a n t i s t i t͡ʃ o i̯ n
esperantistiĉon	e s p e r a n t i s t i t͡ʃ o n
esperantistiĝi	e s p e r a n t i s t i d͡ʒ i
esperantistino	e s p e r a n t i s t i n o
esperantisto	e s p e r a n t i s t o
esperantistoj	e s p e r a n t i s t o i̯
Esperanto	e s p e r a n t o
esperanto	e s p e r a n t o
esperantologio	e s p e r a n t o l o ɡ i o
esperantologo	e s p e r a n t o l o ɡ o
esperantologoj	e s p e r a n t o l o ɡ o i̯
esperantologojn	e s p e r a n t o l o ɡ o i̯ n
esperantologon	e s p e r a n t o l o ɡ o n
Esperanton	e s p e r a n t o n
esperantoparolanto	e s p e r a n t o p a r o l a n t o
esperantoparolantoj	e s p e r a n t o p a r o l a n t o i̯
esperantoparolantojn	e s p e r a n t o p a r o l a n t o i̯ n
esperantoparolanton	e s p e r a n t o p a r o l a n t o n
Esperantujo	e s p e r a n t u j o
Esperantujon	e s p e r a n t u j o n
esperantumado	e s p e r a n t u m a d o
esperantumas	e s p e r a n t u m a s
esperantumi	e s p e r a n t u m i
esperantumis	e s p e r a n t u m i s
esperantumos	e s p e r a n t u m o s
esperantumu	e s p e r a n t u m u
esperantumus	e s p e r a n t u m u s
esperas	e s p e r a s
esperata	e s p e r a t a
esperataj	e s p e r a t a i̯
esperatajn	e s p e r a t a i̯ n
esperatan	e s p e r a t a n
esperate	e s p e r a t e
esperato	e s p e r a t o
esperatoj	e s p e r a t o i̯
esperatojn	e s p e r a t o i̯ n
esperaton	e s p e r a t o n
esperebla	e s p e r e b l a
espereble	e s p e r e b l e
esperi	e s p e r i
esperis	e s p e r i s
esperita	e s p e r i t a
esperitaj	e s p e r i t a i̯
esperitajn	e s p e r i t a i̯ n
esperitan	e s p e r i t a n
esperite	e s p e r i t e
esperito	e s p e r i t o
esperitoj	e s p e r i t o i̯
esperitojn	e s p e r i t o i̯ n
esperiton	e s p e r i t o n
espero	e s p e r o
esperonto	e s p e r o n t o
esperota	e s p e r o t a
esperotaj	e s p e r o t a i̯
esperotajn	e s p e r o t a i̯ n
esperotan	e s p e r o t a n
esperote	e s p e r o t e
esperoto	e s p e r o t o
esperotoj	e s p e r o t o i̯
esperotojn	e s p e r o t o i̯ n
esperoton	e s p e r o t o n
esperu	e s p e r u
esperus	e s p e r u s
esplorado	e s p l o r a d o
esplorejo	e s p l o r e j o
esplori	e s p l o r i
esplorinda	e s p l o r i n d a
esploristo	e s p l o r i s t o
esploro	e s p l o r o
esprimi	e s p r i m i
esprimilo	e s p r i m i l o
esprimo	e s p r i m o
establado	e s t a b l a d o
establas	e s t a b l a s
establi	e s t a b l i
establiĝo	e s t a b l i d͡ʒ o
establis	e s t a b l i s
establo	e s t a b l o
establoj	e s t a b l o i̯
establojn	e s t a b l o i̯ n
establon	e s t a b l o n
establos	e s t a b l o s
establu	e s t a b l u
establus	e s t a b l u s
estadas	e s t a d a s
estadi	e s t a d i
estadis	e s t a d i s
estado	e s t a d o
estados	e s t a d o s
estadu	e s t a d u
estadus	e s t a d u s
estaĵo	e s t a ʒ o
estanta	e s t a n t a
estantaj	e s t a n t a i̯
estantajn	e s t a n t a i̯ n
estantan	e s t a n t a n
estante	e s t a n t e
estanteco	e s t a n t e t͡s o
estantecon	e s t a n t e t͡s o n
estanto	e s t a n t o
estantoj	e s t a n t o i̯
estantojn	e s t a n t o i̯ n
estanton	e s t a n t o n
estas	e s t a s
estero	e s t e r o
esti	e s t i
estiel	e s t i e l
estigi	e s t i ɡ i
estiĝi	e s t i d͡ʒ i
estiĝo	e s t i d͡ʒ o
estimi	e s t i m i
estiminda	e s t i m i n d a
estimo	e s t i m o
estingas	e s t i n ɡ a s
estingi	e s t i n ɡ i
estingiĝi	e s t i n ɡ i d͡ʒ i
estingilo	e s t i n ɡ i l o
estingis	e s t i n ɡ i s
estingos	e s t i n ɡ o s
estingu	e s t i n ɡ u
estingus	e s t i n ɡ u s
estinta	e s t i n t a
estintaj	e s t i n t a i̯
estintajn	e s t i n t a i̯ n
estintan	e s t i n t a n
estinte	e s t i n t e
estinteco	e s t i n t e t͡s o
estinto	e s t i n t o
estintoj	e s t i n t o i̯
estintojn	e s t i n t o i̯ n
estinton	e s t i n t o n
estis	e s t i s
esto	e s t o
eston	e s t o n
estona	e s t o n a
Estonio	e s t o n i o
Estonion	e s t o n i o n
estonta	e s t o n t a
estontaj	e s t o n t a i̯
estontajn	e s t o n t a i̯ n
estontan	e s t o n t a n
estonte	e s t o n t e
estonteco	e s t o n t e t͡s o
estonto	e s t o n t o
estontoj	e s t o n t o i̯
estontojn	e s t o n t o i̯ n
estonton	e s t o n t o n
Estonujo	e s t o n u j o
estos	e s t o s
estragono	e s t r a ɡ o n o
estrarkunveno	e s t r a r k u n v e n o
estraro	e s t r a r o
estras	e s t r a s
estri	e s t r i
estris	e s t r i s
estro	e s t r o
estroj	e s t r o i̯
estrojn	e s t r o i̯ n
estron	e s t r o n
estros	e s t r o s
estru	e s t r u
estrus	e s t r u s
estu	e s t u
estuaro	e s t u a r o
estulo	e s t u l o
estus	e s t u s
Esvatinio	e s v a t i n i o
eta	e t a
etaĝo	e t a d͡ʒ o
etaĝoj	e t a d͡ʒ o i̯
etaĝojn	e t a d͡ʒ o i̯ n
etaĝon	e t a d͡ʒ o n
etaj	e t a i̯
etajn	e t a i̯ n
etan	e t a n
etanalo	e t a n a l o
etanima	e t a n i m a
etano	e t a n o
etanolo	e t a n o l o
etanon	e t a n o n
etburĝo	e t b u r d͡ʒ o
etburĝoj	e t b u r d͡ʒ o i̯
etburĝojn	e t b u r d͡ʒ o i̯ n
etburĝon	e t b u r d͡ʒ o n
ete	e t e
eteco	e t e t͡s o
etendanta	e t e n d a n t a
etendantaj	e t e n d a n t a i̯
etendantajn	e t e n d a n t a i̯ n
etendantan	e t e n d a n t a n
etendante	e t e n d a n t e
etendanto	e t e n d a n t o
etendantoj	e t e n d a n t o i̯
etendantojn	e t e n d a n t o i̯ n
etendanton	e t e n d a n t o n
etendas	e t e n d a s
etendata	e t e n d a t a
etendataj	e t e n d a t a i̯
etendatajn	e t e n d a t a i̯ n
etendatan	e t e n d a t a n
etendate	e t e n d a t e
etendato	e t e n d a t o
etendatoj	e t e n d a t o i̯
etendatojn	e t e n d a t o i̯ n
etendaton	e t e n d a t o n
etendi	e t e n d i
etendiĝi	e t e n d i d͡ʒ i
etendiĝo	e t e n d i d͡ʒ o
etendinta	e t e n d i n t a
etendintaj	e t e n d i n t a i̯
etendintajn	e t e n d i n t a i̯ n
etendintan	e t e n d i n t a n
etendinte	e t e n d i n t e
etendinto	e t e n d i n t o
etendintoj	e t e n d i n t o i̯
etendintojn	e t e n d i n t o i̯ n
etendinton	e t e n d i n t o n
etendis	e t e n d i s
etendita	e t e n d i t a
etenditaj	e t e n d i t a i̯
etenditajn	e t e n d i t a i̯ n
etenditan	e t e n d i t a n
etendite	e t e n d i t e
etendito	e t e n d i t o
etenditoj	e t e n d i t o i̯
etenditojn	e t e n d i t o i̯ n
etenditon	e t e n d i t o n
etendonta	e t e n d o n t a
etendontaj	e t e n d o n t a i̯
etendontajn	e t e n d o n t a i̯ n
etendontan	e t e n d o n t a n
etendonte	e t e n d o n t e
etendonto	e t e n d o n t o
etendontoj	e t e n d o n t o i̯
etendontojn	e t e n d o n t o i̯ n
etendonton	e t e n d o n t o n
etendos	e t e n d o s
etendota	e t e n d o t a
etendotaj	e t e n d o t a i̯
etendotajn	e t e n d o t a i̯ n
etendotan	e t e n d o t a n
etendote	e t e n d o t e
etendoto	e t e n d o t o
etendotoj	e t e n d o t o i̯
etendotojn	e t e n d o t o i̯ n
etendoton	e t e n d o t o n
etendu	e t e n d u
etendus	e t e n d u s
eteno	e t e n o
etenon	e t e n o n
eterna	e t e r n a
eternaj	e t e r n a i̯
eternajn	e t e r n a i̯ n
eternan	e t e r n a n
eterne	e t e r n e
eterneco	e t e r n e t͡s o
eterno	e t e r n o
eternoj	e t e r n o i̯
eternojn	e t e r n o i̯ n
eternon	e t e r n o n
Eternulo	e t e r n u l o
etero	e t e r o
eteromanio	e t e r o m a n i o
eteromaniulo	e t e r o m a n i u l o
etete	e t e t e
etfingro	e t f i n ɡ r o
etfingron	e t f i n ɡ r o n
etigi	e t i ɡ i
etiĝi	e t i d͡ʒ i
etika	e t i k a
etike	e t i k e
etikedas	e t i k e d a s
etikedi	e t i k e d i
etikedis	e t i k e d i s
etikedo	e t i k e d o
etikedos	e t i k e d o s
etikedu	e t i k e d u
etikedus	e t i k e d u s
etiketo	e t i k e t o
etiko	e t i k o
etimo	e t i m o
etimologia	e t i m o l o ɡ i a
etimologie	e t i m o l o ɡ i e
etimologio	e t i m o l o ɡ i o
etimologo	e t i m o l o ɡ o
etiola	e t i o l a
etiologio	e t i o l o ɡ i o
etiologo	e t i o l o ɡ o
Etiopio	e t i o p i o
etiopo	e t i o p o
Etiopujo	e t i o p u j o
etkosta	e t k o s t a
etna	e t n a
etnaj	e t n a i̯
etnajn	e t n a i̯ n
etnan	e t n a n
etno	e t n o
etnogenezo	e t n o ɡ e n e z o
etnografio	e t n o ɡ r a f i o
etnografo	e t n o ɡ r a f o
etnoj	e t n o i̯
etnojn	e t n o i̯ n
etnologio	e t n o l o ɡ i o
etnologion	e t n o l o ɡ i o n
etnologo	e t n o l o ɡ o
etnologoj	e t n o l o ɡ o i̯
etnologojn	e t n o l o ɡ o i̯ n
etnologon	e t n o l o ɡ o n
etnon	e t n o n
eto	e t o
etoj	e t o i̯
etojn	e t o i̯ n
eton	e t o n
etosmuziko	e t o s m u z i k o
etoso	e t o s o
etrogo	e t r o ɡ o
etruska	e t r u s k a
etruskaj	e t r u s k a i̯
etruskajn	e t r u s k a i̯ n
etruskan	e t r u s k a n
etrusko	e t r u s k o
etruskoj	e t r u s k o i̯
etruskojn	e t r u s k o i̯ n
etruskon	e t r u s k o n
etulo	e t u l o
eŭfemismo	e u̯ f e m i s m o
eŭfono	e u̯ f o n o
eŭforio	e u̯ f o r i o
eŭkalipto	e u̯ k a l i p t o
eŭkaliptoj	e u̯ k a l i p t o i̯
eŭkaliptojn	e u̯ k a l i p t o i̯ n
eŭkalipton	e u̯ k a l i p t o n
Eŭkaristio	e w k a r i s t i o
eŭnuko	e u̯ n u k o
eŭnukoj	e u̯ n u k o i̯
eŭnukojn	e u̯ n u k o i̯ n
eŭnukon	e u̯ n u k o n
Eŭrazio	e w r a z i o
Eŭrazion	e w r a z i o n
eŭro	e u̯ r o
eŭroj	e u̯ r o i̯
eŭrojn	e u̯ r o i̯ n
eŭron	e u̯ r o n
eŭropa	e u̯ r o p a
Eŭropa	e w r o p a
eŭropano	e u̯ r o p a n o
