ஃ	ɐ hᵄ
கின்னிக்கோழி	k i nː i kː oː ɻ i
கிபாயத்து	k i b aː j ɐ t̪ː u
கியானம்	k i j aː n ɐ m
கியால்	k i j aː l
கியாழம்	k i j aː ɻ ɐ m
கிரககதி	k i ɾ ɐ ɡ ɐ ɡ ɐ d̪ i
கிரகபரிவிருத்தி	k i ɾ ɐ ɡ ɐ b ɐ ɾ i ʋ i ɾ u t̪ː i
கிரகம்	k i ɾ ɐ ɡ ɐ m
கிரகி	ɡ i ɾ ɐ h i
கிரகி	ɡ i ɾ ɐ ɡ i
கிரக்கம்	k i ɾ ɐ kː ɐ m
கிரந்தம்	k i ɾ ɐ n̪ d̪ ɐ m
கிரந்தம்	ɡ i ɾ ɐ n̪ d̪ ɐ m
கிரமம்	k i ɾ ɐ m ɐ m
கிரமேண	k i ɾ ɐ m eː ɳ ɐ
கிரயம்	k i ɾ ɐ j ɐ m
கிராமம்	ɡ i ɾ aː m ɐ m
கிராம்பு	k i ɾ aː m b u
கிரி	k i ɾ i
கிரீடம்	k i ɾ iː ɖ ɐ m
கிருட்டிணன்	k i ɾ u ʈː i ɳ ɐ n
கிருத்திரம்	k i ɾ u t̪ː i ɾ ɐ m
கிருபை	k i ɾ u b a ɪ̯
கிருமி	k i ɾ u m i
கிருஷ்ணகிரி	k i ɾ u ʂ ɳ ɐ ɡ i ɾ i
கிரேக்கம்	ɡ i ɾ eː kː ɐ m
கிறாம்பு	k i r aː m b u
கிறி	k i r i
கிறிஸ்து	k i r i s t̪ u
கிறிஸ்துமஸ்	k i r i s t̪ u m ɐ s
கிறுக்கு	k i r u kː u
கிறுக்கு	ɡ i r u kː u
கிற்பு	k i r p u
கில்	k i l
கில்லாடி	k i l l aː ɖ i
கிளப்	k i ɭ ɐ b
கிளப்	k i ɭ ɐ p
கிளப்பு	k i ɭ ɐ pː u
கிளம்பினவேலை	k i ɭ ɐ m b i n ɐ ʋ eː l a ɪ̯
கிளம்பு	k i ɭ ɐ m b u
கிளர்	k i ɭ ɐ ɾ
கிளர்ச்சி	k i ɭ ɐ ɾ t͡ɕː i
கிளர்த்து	k i ɭ ɐ ɾ t̪ː u
கிளறு	k i ɭ ɐ r u
கிளவி	k i ɭ ɐ ʋ i
கிளி	k i ɭ i
கிளிமெண்டி	k i ɭ i m e ɳ ɖ i
கிளை	k i ɭ a ɪ̯
கிளைப்பு	k i ɭ a ɪ̯ pː u
கிள்ளு	k i ɭː u
கிழக்கு	k i ɻ ɐ kː u
கிழக்குக்கணவாய்	k i ɻ ɐ kː u kː ɐ ɳ ɐ ʋ aː j
கிழங்கு	k i ɻ ɐ ŋ ɡ u
கிழமை	k i ɻ ɐ m a ɪ̯
கிழவன்	k i ɻ ɐ ʋ ɐ n
கிழவி	k i ɻ ɐ ʋ i
கிழவு	k i ɻ ɐ ʋ u
கிழி	k i ɻ i
கிஸ்மத்	k i s m ɐ t̪
கீரை	k iː ɾ a ɪ̯
கீர்த்தி	k iː ɾ t̪ː i
கீறு	k iː r u
கீலாரி	k iː l aː ɾ i
கீழே	k iː ɻ eː
கீழ்	k iː ɻ
கீழ்காற்று	k iː ɻ ɡ aː rː u
கீழ்ப்பாகம்	k iː ɻ pː aː ɡ ɐ m
கீழ்மை	k iː ɻ m a ɪ̯
குகை	ɡ u h a ɪ̯
குங்கிலியம்	k u ŋ ɡ i l i j ɐ m
குங்குமப்பூ	k u ŋ ɡ u m ɐ pː uː
குங்குமம்	k u ŋ ɡ u m ɐ m
குசராத்	k u t͡ɕ ɐ ɾ aː t̪
குச்சி	k u t͡ɕː i
குச்சிப்புடி	k u t͡ɕː i pː u ɖ i
குஞ்சி	k u ɲ d͡ʑ i
குஞ்சு	k u ɲ d͡ʑ u
குடங்கர்	k u ɖ ɐ ŋ ɡ ɐ ɾ
குடசப்பாலை	k u ɖ ɐ t͡ɕ ɐ pː aː l a ɪ̯
குடம்	k u ɖ ɐ m
குடம்புளி	k u ɖ ɐ m b u ɭ i
குடல்வால்	k u ɖ ɐ l ʋ aː l
குடாரி	k u ɖ aː ɾ i
குடி	k u ɖ i
குடிசை	k u ɖ i t͡ɕ a ɪ̯
குடிநீர்	k u ɖ i n̪ iː ɾ
குடிமகன்	k u ɖ i m ɐ ɡ ɐ n
குடியரசு	k u ɖ i j ɐ ɾ ɐ t͡ɕ u
குடியிருப்பு	k u ɖ i j i ɾ u pː u
குடியுரிமை	k u ɖ i j u ɾ i m a ɪ̯
குடில்	k u ɖ i l
குடுமி	k u ɖ u m i
குடும்பம்	k u ɖ u m b ɐ m
குடுவை	k u ɖ u ʋ a ɪ̯
குடை	k u ɖ a ɪ̯
குட்டி	k u ʈː i
குணம்	k u ɳ ɐ m
குணிப்பு	k u ɳ i pː u
குணிப்பெயர்	k u ɳ i pː e j ɐ ɾ
குண்டம்	k u ɳ ɖ ɐ m
குண்டி	k u ɳ ɖ i
குதி	k u d̪ i
குதி	ɡ u d̪ i
குதிரை	k u d̪ i ɾ a ɪ̯
குதிரை	ɡ u d̪ i ɾ a ɪ̯
குதிரைவாலி	k u d̪ i ɾ a ɪ̯ ʋ aː l i
குத்தகை	k u t̪ː ɐ ɡ a ɪ̯
குத்து	k u t̪ː u
குந்தம்	k u n̪ d̪ ɐ m
குனி	k u n i
குன்றம்	k u n r ɐ m
குன்றின்	k u n r i n
குன்றிமணி	k u n r i m ɐ ɳ i
குன்று	k u n r u
குபுர்	k u b u ɾ
குபேரன்	k u b eː ɾ ɐ n
குப்பம்	k u pː ɐ m
குப்பி	k u pː i
குப்பை	k u pː a ɪ̯
குப்பைமேனி	k u pː a ɪ̯ m eː n i
குமளி	k u m ɐ ɭ i
குமாரத்தி	k u m aː ɾ ɐ t̪ː i
குமாரன்	k u m aː ɾ ɐ n
குமார்	k u m aː ɾ
குமிழி	k u m i ɻ i
கும்பம்	k u m b ɐ m
கும்பளம்	k u m b ɐ ɭ ɐ m
கும்பி	k u m b i
கும்பிடு	k u m b i ɖ u
கும்மாளம்	ɡ u mː aː ɭ ɐ m
குயவன்	k u j ɐ ʋ ɐ n
குயில்	k u j i l
குரங்கு	k u ɾ ɐ ŋ ɡ u
குரல்	k u ɾ ɐ l
குரல்கள்	k u ɾ ɐ l ɡ ɐ ɭ
குரல்வளை	k u ɾ ɐ l ʋ ɐ ɭ a ɪ̯
குரு	k u ɾ u
குரு	ɡ u ɾ u
குருகுலம்	ɡ u ɾ̪ u k u l̪ a m
குருகுலம்	ɡ ʊ ɾ̪ ʊ k ʊ l̪ ə m
குருசு	k u ɾ u s u
குருடன்	k u ɾ u ɖ ɐ n
குருடு	k u ɾ u ɖ u
குருட்டுக்கொக்கு	k u ɾ u ʈː u kː o kː u
குருட்டுத்தனம்	k u ɾ u ʈː u t̪ː ɐ n ɐ m
குருதி	k u ɾ u d̪ i
குருத்து	k u ɾ u t̪ː u
குருத்துவம்	k u ɾ u t̪ː u ʋ ɐ m
குருத்தெலும்பு	k u ɾ u t̪ː e l u m b u
குருத்தோலை	k u ɾ u t̪ː oː l a ɪ̯
குருத்தோலைஞாயிறு	k u ɾ u t̪ː oː l a ɪ̯ ɲ aː j i r u
குருவி	k u ɾ u ʋ i
குருவிரசு	k u ɾ u ʋ i ɾ ɐ t͡ɕ u
குறங்கு	k u r ɐ ŋ ɡ u
குறட்டை	k u r ɐ ʈː a ɪ̯
குறி	k u r i
குறிக்கோள்	k u r i kː oː ɭ
குறித்து	k u r i t̪ː u
குறிப்பிடம்	k u r i pː i ɖ ɐ m
குறிப்பு	k u r i pː u
குறியீடு	k u r i j iː ɖ u
குறுகு	k u r u ɡ u
குறுந்தொகை	k u r u n̪ d̪ o ɡ a ɪ̯
குறுமை	k u r u m a ɪ̯
குறை	k u r a ɪ̯
குறைக்கடத்தி	k u r a ɪ̯ kː ɐ ɖ ɐ t̪ː i
குறைநாள்	k u r a ɪ̯ n̪ aː ɭ
குற்றங்கள்	k u rː ɐ ŋ ɡ ɐ ɭ
குற்றச்சாட்டு	k u rː ɐ t͡ɕː aː ʈː u
குற்றம்	k u rː ɐ m
குற்றி	k u rː i
குற்றியலிகரம்	k u rː i j ɐ l i ɡ ɐ ɾ ɐ m
குற்றியலுகரம்	k u rː i j ɐ l u ɡ ɐ ɾ ɐ m
குலம்	k u l ɐ m
குலவரி	k u l ɐ ʋ ɐ ɾ i
குலிகம்	k u l i ɡ ɐ m
குலுக்கு	k u l u kː u
குலுங்கு	k u l u ŋ ɡ u
குலை	k u l a ɪ̯
குல்ஃபி	ɡ u l f i
குல்லா	k u l l aː
குல்லா	ɡ u l l aː
குளம்	k u ɭ ɐ m
குளம்பி	k u ɭ ɐ m b i
குளறியடி	k u ɭ ɐ r i j ɐ ɖ i
குளவி	k u ɭ ɐ ʋ i
குளி	k u ɭ i
குளிப்பு	k u ɭ i pː u
குளியல்	k u ɭ i j ɐ l
குளியாள்	k u ɭ i j aː ɭ
குளிர்	k u ɭ i ɾ
குளிர்களி	k u ɭ i ɾ ɡ ɐ ɭ i
குளிர்ச்சி	k u ɭ i ɾ t͡ɕː i
குளிர்ப்பு	k u ɭ i ɾ pː u
குளிர்மை	k u ɭ i ɾ m a ɪ̯
குள்ளமான	k u ɭː ɐ m aː n ɐ
குள்ளம்	k u ɭː ɐ m
குழந்தை	k u ɻ ɐ n̪ d̪ a ɪ̯
குழப்பம்	k u ɻ ɐ pː ɐ m
குழம்பு	k u ɻ ɐ m b u
குழல்	k u ɻ ɐ l
குழவி	k u ɻ ɐ ʋ i
குழாய்	k u ɻ aː j
குழி	k u ɻ i
குழிக்கரண்டி	k u ɻ i kː ɐ ɾ ɐ ɳ ɖ i
குழிங்கை	k u ɻ i ŋ ɡ a ɪ̯
குழிசி	k u ɻ i t͡ɕ i
குழிவு	k u ɻ i ʋ u
குழுவல்	k u ɻ u ʋ ɐ l
குழைவு	k u ɻ a ɪ̯ ʋ u
குவளை	k u ʋ ɐ ɭ a ɪ̯
குவார்ட்சு	k u ʋ aː ɾ ʈ t͡ɕ u
குவி	k u ʋ i
குவியம்	k u ʋ i j ɐ m
குவியல்	k u ʋ i j ɐ l
கூகை	k uː ɡ a ɪ̯
கூசு	k uː t͡ɕ u
கூட	k uː ɖ ɐ
கூடம்	k uː ɖ ɐ m
கூடாரத்தில்	k uː ɖ aː ɾ ɐ t̪ː i l
கூடாரம்	k uː ɖ aː ɾ ɐ m
கூடு	k uː ɖ u
கூடை	k uː ɖ a ɪ̯
கூடைப்பந்து	k uː ɖ a ɪ̯ pː ɐ n̪ d̪ u
கூட்டம்	k uː ʈː ɐ m
கூட்டரவு	k uː ʈː ɐ ɾ ɐ ʋ u
கூட்டர்	k uː ʈː ɐ ɾ
கூட்டல்	k uː ʈː ɐ l
கூட்டாளி	k uː ʈː aː ɭ i
கூட்டு	k uː ʈː u
கூட்டுறவு	k uː ʈː u r ɐ ʋ u
கூத்தன்	k uː t̪ː ɐ n
கூத்தாட	k uː t̪ː aː ɖ ɐ
கூத்தாடு	k uː t̪ː aː ɖ u
கூத்து	k uː t̪ː u
கூனைப்பூ	k uː n a ɪ̯ pː uː
கூப்பிடு	k uː pː i ɖ u
கூம்பல்	k uː m b ɐ l
கூரல்	ɡ uː ɾ ɐ l
கூரை	k uː ɾ a ɪ̯
கூரைவீடு	k uː ɾ a ɪ̯ ʋ iː ɖ u
கூறு	k uː r u
கூறை	k uː r a ɪ̯
கூற்று	k uː rː u
கூலம்	k uː l ɐ m
கூளி	k uː ɭ i
கூழ்	k uː ɻ
கூழ்முன்னை	k uː ɻ m u nː a ɪ̯
கெஞ்சு	k e ɲ d͡ʑ u
கெடு	k e ɖ u
கெட்ட	k e ʈː ɐ
கெட்டம்	k e ʈː ɐ m
கெட்டி	k e ʈː i
கெட்டு	k e ʈː u
கெய்ரோ	k e j ɾ oː
கெளதம்	k e ɭ ɐ d̪ ɐ m
கெழு	k e ɻ u
கேடு	k eː ɖ u
கேதகை	k eː d̪ ɐ ɡ a ɪ̯
கேதுரு	k eː d̪ u ɾ u
கேந்திரம்	k eː n̪ d̪ i ɾ ɐ m
கேரளம்	k eː ɾ ɐ ɭ ɐ m
கேரளா	k eː ɾ ɐ ɭ aː
கேள்	k eː ɭ
கேள்வி	k eː ɭ ʋ i
கேள்விகள்	k eː ɭ ʋ i ɡ ɐ ɭ
கேள்விக்குறி	k eː ɭ ʋ i kː u r i
கேள்விப்படு	k eː ɭ ʋ i pː ɐ ɖ u
கேழ்வரகு	k eː ɻ ʋ ɐ ɾ ɐ ɡ u
கை	k a ɪ̯
கைக்கடிகாரம்	k a ɪ̯ kː ɐ ɖ i ɡ aː ɾ ɐ m
கைது	k a ɪ̯ d̪ u
கைப்பிடி	k a ɪ̯ pː i ɖ i
கைப்பு	k a ɪ̯ pː u
கைப்பை	k a ɪ̯ pː a ɪ̯
கையறுநிலை	k a ɪ̯ j ɐ r u n̪ i l a ɪ̯
கையூட்டு	k a ɪ̯ j uː ʈː u
கைவேலை	k a ɪ̯ ʋ eː l a ɪ̯
கொக்கிஸ்	k o kː i s
கொக்கு	k o kː u
கொக்குமந்தாரை	k o kː u m ɐ n̪ d̪ aː ɾ a ɪ̯
கொங்கு	k o ŋ ɡ u
கொசு	k o t͡ɕ u
கொஞ்சம்	k o ɲ d͡ʑ ɐ m
கொஞ்சு	k o ɲ d͡ʑ u
கொடி	k o ɖ i
கொடிக்கையான்	k o ɖ i kː a ɪ̯ j aː n
கொடிச்சீலை	k o ɖ i t͡ɕː iː l a ɪ̯
கொடிப்பாசி	k o ɖ i pː aː t͡ɕ i
கொடிமுந்திரி	k o ɖ i m u n̪ d̪ i ɾ i
கொடு	k o ɖ u
கொடுந்தமிழ்	k o ɖ u n̪ d̪ ɐ m i ɻ
கொடுந்தலைப்பொருவா	k o ɖ u n̪ d̪ ɐ l a ɪ̯ pː o ɾ u ʋ aː
கொடுப்புப்பல்	k o ɖ u pː u pː ɐ l
கொடுமரம்	k o ɖ u m ɐ ɾ ɐ m
கொடுமுடி	k o ɖ u m u ɖ i
கொடுமை	k o ɖ u m a ɪ̯
கொடும்பகல்	k o ɖ u m b ɐ ɡ ɐ l
கொடும்பாடு	k o ɖ u m b aː ɖ u
கொடும்புலி	k o ɖ u m b u l i
கொடும்பை	k o ɖ u m b a ɪ̯
கொடுவாள்	k o ɖ u ʋ aː ɭ
கொடுவேலி	k o ɖ u ʋ eː l i
கொடூரம்	k o ɖ uː ɾ ɐ m
கொடை	k o ɖ a ɪ̯
கொடைமை	k o ɖ a ɪ̯ m a ɪ̯
கொட்டகை	k o ʈː ɐ ɡ a ɪ̯
கொட்டாவி	k o ʈː aː ʋ i
கொட்டு	k o ʈː u
கொட்டை	k o ʈː a ɪ̯
கொட்டையிலந்தை	k o ʈː a ɪ̯ j i l ɐ n̪ d̪ a ɪ̯
கொண்டபாடு	k o ɳ ɖ ɐ b aː ɖ u
கொண்டலாத்தி	k o ɳ ɖ ɐ l aː t̪ː i
கொண்டல்	k o ɳ ɖ ɐ l
கொண்டவன்	k o ɳ ɖ ɐ ʋ ɐ n
கொண்டாடு	k o ɳ ɖ aː ɖ u
கொண்டாட்டம்	k o ɳ ɖ aː ʈː ɐ m
கொண்டாட்டு	k o ɳ ɖ aː ʈː u
கொண்டி	k o ɳ ɖ i
கொண்டியம்	k o ɳ ɖ i j ɐ m
கொண்டு	k o ɳ ɖ u
கொண்டுகூற்று	k o ɳ ɖ u ɡ uː rː u
கொத்தமல்லி	k o t̪ː ɐ m ɐ l l i
கொந்தர்	k o n̪ d̪ ɐ ɾ
கொந்தளம்	k o n̪ d̪ ɐ ɭ ɐ m
கொந்தளி	k o n̪ d̪ ɐ ɭ i
கொம்பி	k o m b i
கொம்பு	k o m b u
கொம்மட்டி	k o mː ɐ ʈː i
கொய்	k o j
கொய்யா	k o jː aː
கொய்யா	ɡ o jː aː
கொரோனா	k o ɾ oː n aː
கொறி	k o r i
கொறுக்கை	k o r u kː a ɪ̯
கொற்றம்	k o rː ɐ m
கொற்றவை	k o rː ɐ ʋ a ɪ̯
கொலுசு	k o l u t͡ɕ u
கொலுசு	k o l ɯ s ɯ
கொலுசு	ɡ o l u t͡ɕ u
கொலுசு	ɡ o l ɯ s ɯ
கொலை	k o l a ɪ̯
கொல்	k o l
கொல்லன்	k o l l ɐ n
கொல்லன்பட்டடை	k o l l ɐ n b ɐ ʈː ɐ ɖ a ɪ̯
கொல்லன்பட்டரை	k o l l ɐ n b ɐ ʈː ɐ ɾ a ɪ̯
கொல்லம்	k o l l ɐ m
கொல்லறு	k o l l ɐ r u
கொல்லற்றுவேலை	k o l l ɐ rː u ʋ eː l a ɪ̯
கொளுவி	k o ɭ u ʋ i
கொள்	k o ɭ
கொள்கை	k o ɭ ɡ a ɪ̯
கொள்முதல்	k o ɭ m u d̪ ɐ l
கொள்ள	k o ɭː ɐ
கொள்ளை	k o ɭː a ɪ̯
கொள்வனை	k o ɭ ʋ ɐ n a ɪ̯
கொழகொழ	k o ɻ ɐ k o ɻ ɐ
கொழுக்கட்டை	k o ɻ u kː ɐ ʈː a ɪ̯
கொழுத்தமுரல்	k o ɻ u t̪ː ɐ m u ɾ ɐ l
கொழுப்பு	k o ɻ u pː u
கொழும்பு	k o ɻ u m b u
கோ	k oː
கோசம்	k oː t͡ɕ ɐ m
கோடகசாலை	k oː ɖ ɐ ɡ ɐ t͡ɕ aː l a ɪ̯
கோடரி	k oː ɖ ɐ ɾ i
கோடர்	k oː ɖ ɐ ɾ
கோடாலி	k oː ɖ aː l i
கோடி	k oː ɖ i
கோடிமுனை	k oː ɖ i m u n a ɪ̯
கோடு	k oː ɖ u
கோடை	k oː ɖ a ɪ̯
கோட்டம்	k oː ʈː ɐ m
கோட்டயம்	k oː ʈː ɐ j ɐ m
கோட்டான்	k oː ʈː aː n
கோட்டை	k oː ʈː a ɪ̯
கோட்டைப்போர்	k oː ʈː a ɪ̯ pː oː ɾ
கோட்பாடு	k oː ʈ p aː ɖ u
கோணங்கி	k oː ɳ ɐ ŋ ɡ i
கோணம்	k oː ɳ ɐ m
கோணவியல்	k oː ɳ ɐ ʋ i j ɐ l
கோணு	k oː ɳ u
கோதாவரி	k oː d̪ aː ʋ ɐ ɾ i
கோதுமை	k oː d̪ u m a ɪ̯
கோந்து	k oː n̪ d̪ u
கோந்து	ɡ oː n̪ d̪ u
கோபம்	k oː b ɐ m
கோபாலன்	k oː b aː l ɐ n
கோபி	k oː b i
கோபுரம்	k oː b u ɾ ɐ m
கோப்பு	k oː pː u
கோப்பை	k oː pː a ɪ̯
கோமான்	k oː m aː n
கோமாளி	k oː m aː ɭ i
கோமி	k oː m i
கோமேதகம்	k oː m eː d̪ ɐ ɡ ɐ m
கோயம்புத்தூர்	k oː j ɐ m b u t̪ː uː ɾ
கோயில்	k oː j i l
கோரிக்கை	k oː ɾ i kː a ɪ̯
கோரை	k oː ɾ a ɪ̯
கோலம்	k oː l ɐ m
கோலுமை	k oː l u m a ɪ̯
கோல்	k oː l
கோளாறு	k oː ɭ aː r u
கோள்	k oː ɭ
கோழி	k oː ɻ i
கோழிகள்	k oː ɻ i ɡ ɐ ɭ
கோழிக்கோடு	k oː ɻ i kː oː ɖ u
கோழை	k oː ɻ a ɪ̯
கோவசூரி	k oː ʋ ɐ t͡ɕ uː ɾ i
கோவணம்	k oː ʋ ɐ ɳ ɐ m
கோவல்	k oː ʋ ɐ l
கோவா	ɡ oː ʋ aː
கோவிந்தன்	k oː ʋ i n̪ d̪ ɐ n
கோவில்	k oː ʋ i l
கோவைக்காய்	k oː ʋ a ɪ̯ kː aː j
கௌதாரி	k a ʊ̯ d̪ aː ɾ i
கௌதூகலம்	k a ʊ̯ d̪ uː ɡ ɐ l ɐ m
கௌரவம்	ɡ a ʊ̯ ɾ ɐ ʋ ɐ m
கௌளி	k a ʊ̯ ɭ i
க்	i k
க்	i kː ɯ
க்	k
க்ஷ	k ʂ ɐ
க்ஷணம்	k ʂ ɐ ɳ ɐ m
க்ஷிரஸமுத்ரம்	k ʂ i ɾ ɐ s ɐ m u t̪ ɾ ɐ m
க்ஷீணம்	k ʂ iː ɳ ɐ m
க்ஷேத்திரம்	k ʂ eː t̪ː i ɾ ɐ m
க்ஷேமம்	k ʂ eː m ɐ m
க்ஷ்	k ʂ
ங	ŋ ɐ
ங்	i ŋ ɡ
ங்	i ŋ ɡ ɯ
ங்	ŋ
ச	t͡ɕ ɐ
சகசரி	t͡ɕ ɐ ɡ ɐ t͡ɕ ɐ ɾ i
சகதி	t͡ɕ ɐ ɡ ɐ d̪ i
சகரியா	t͡ɕ ɐ ɡ ɐ ɾ i j aː
சகி	t͡ɕ ɐ ɡ i
சகிப்பு	t͡ɕ ɐ ɡ i pː u
சகோ	t͡ɕ ɐ ɡ oː
சகோதரன்	t͡ɕ ɐ ɡ oː d̪ ɐ ɾ ɐ n
சகோதரி	t͡ɕ ɐ ɡ oː d̪ ɐ ɾ i
சக்கரை	t͡ɕ ɐ kː ɐ ɾ a ɪ̯
சக்கை	t͡ɕ ɐ kː a ɪ̯
சக்தி	t͡ɕ ɐ k t̪ i
சங்கடம்	t͡ɕ ɐ ŋ ɡ ɐ ɖ ɐ m
சங்கத்தமிழ்	t͡ɕ ɐ ŋ ɡ ɐ t̪ː ɐ m i ɻ
சங்கம்	t͡ɕ ɐ ŋ ɡ ɐ m
சங்கரன்	t͡ɕ ɐ ŋ ɡ ɐ ɾ ɐ n
சங்கீதம்	t͡ɕ ɐ ŋ ɡ iː d̪ ɐ m
சசம்	t͡ɕ ɐ t͡ɕ ɐ m
சச்சம்	t͡ɕ ɐ t͡ɕː ɐ m
சஞ்சலம்	t͡ɕ ɐ ɲ d͡ʑ ɐ l ɐ m
சடங்கு	t͡ɕ ɐ ɖ ɐ ŋ ɡ u
சடாலம்	t͡ɕ ɐ ɖ aː l ɐ m
சடுதி	t͡ɕ ɐ ɖ u d̪ i
சடுத்தம்	t͡ɕ ɐ ɖ u t̪ː ɐ m
சடை	t͡ɕ ɐ ɖ a ɪ̯
சடையன்	t͡ɕ ɐ ɖ a ɪ̯ j ɐ n
சட்டசபை	t͡ɕ ɐ ʈː ɐ t͡ɕ ɐ b a ɪ̯
சட்டதிட்டம்	t͡ɕ ɐ ʈː ɐ d̪ i ʈː ɐ m
சட்டமன்றம்	t͡ɕ ɐ ʈː ɐ m ɐ n r ɐ m
சட்டம்	t͡ɕ ɐ ʈː ɐ m
சட்டம்பி	t͡ɕ ɐ ʈː ɐ m b i
சட்டி	t͡ɕ ɐ ʈː i
சட்டை	t͡ɕ ɐ ʈː a ɪ̯
சட்னி	t͡ɕ ɐ ʈ n i
சணல்	t͡ɕ ɐ ɳ ɐ l
சண்டிகர்	t͡ɕ ɐ ɳ ɖ i ɡ ɐ ɾ
சண்டை	t͡ɕ ɐ ɳ ɖ a ɪ̯
சதம்	t͡ɕ ɐ d̪ ɐ m
சதா	t͡ɕ ɐ d̪ aː
சதாசிவன்	t͡ɕ ɐ d̪ aː t͡ɕ i ʋ ɐ n
சதுரங்கம்	t͡ɕ ɐ d̪ u ɾ ɐ ŋ ɡ ɐ m
சதுரம்	t͡ɕ ɐ d̪ u ɾ ɐ m
சதுர்முகன்	t͡ɕ ɐ d̪ u ɾ m u ɡ ɐ n
சதுர்யுகம்	t͡ɕ ɐ d̪ u ɾ j u ɡ ɐ m
சதுர்வருணம்	t͡ɕ ɐ d̪ u ɾ ʋ ɐ ɾ u ɳ ɐ m
சதை	t͡ɕ ɐ d̪ a ɪ̯
சத்தம்	t͡ɕ ɐ t̪ː ɐ m
சத்தி	t͡ɕ ɐ t̪ː i
சத்தியம்	t͡ɕ ɐ t̪ː i j ɐ m
சத்திரம்	t͡ɕ ɐ t̪ː i ɾ ɐ m
சத்தீசுகர்	t͡ɕ ɐ t̪ː iː t͡ɕ u ɡ ɐ ɾ
சத்து	t͡ɕ ɐ t̪ː u
சத்துரு	t͡ɕ ɐ t̪ː u ɾ u
சந்தனம்	t͡ɕ ɐ n̪ d̪ ɐ n ɐ m
சந்தா	t͡ɕ ɐ n̪ d̪ aː
சந்தாதாரர்	t͡ɕ ɐ n̪ d̪ aː d̪ aː ɾ ɐ ɾ
சந்திப்பு	t͡ɕ ɐ n̪ d̪ i pː u
சந்திரசேகரன்	t͡ɕ ɐ n̪ d̪ i ɾ ɐ t͡ɕ eː ɡ ɐ ɾ ɐ n
சந்திரன்	t͡ɕ ɐ n̪ d̪ i ɾ ɐ n
சந்திரப்பிரபை	t͡ɕ ɐ n̪ d̪ i ɾ ɐ pː i ɾ ɐ b a ɪ̯
சந்திராதபம்	t͡ɕ ɐ n̪ d̪ i ɾ aː d̪ ɐ b ɐ m
சந்து	t͡ɕ ɐ n̪ d̪ u
சந்தை	t͡ɕ ɐ n̪ d̪ a ɪ̯
சந்தோஷம்	t͡ɕ ɐ n̪ d̪ oː ʂ ɐ m
சனவரி	t͡ɕ ɐ n ɐ ʋ ɐ ɾ i
சனி	t͡ɕ ɐ n i
சனிக்கிழமை	t͡ɕ ɐ n i kː i ɻ ɐ m a ɪ̯
சன்மார்க்கம்	t͡ɕ ɐ n m aː ɾ kː ɐ m
சபதம்	t͡ɕ ɐ b ɐ d̪ ɐ m
சபாத்தியட்சன்	t͡ɕ ɐ b aː t̪ː i j ɐ ʈ t͡ɕ ɐ n
சபாமூப்பன்	t͡ɕ ɐ b aː m uː pː ɐ n
சபி	t͡ɕ ɐ b i
சபை	t͡ɕ ɐ b a ɪ̯
சப்பங்கி	t͡ɕ ɐ pː ɐ ŋ ɡ i
சப்பாத்தி	t͡ɕ ɐ pː aː t̪ː i
சப்பாத்து	t͡ɕ ɐ pː aː t̪ː u
சப்போட்டா	t͡ɕ ɐ pː oː ʈː aː
சப்ரகமுவ	t͡ɕ ɐ p ɾ ɐ ɡ ɐ m u ʋ ɐ
சமசுகிருதம்	t͡ɕ ɐ m ɐ t͡ɕ u ɡ i ɾ u d̪ ɐ m
சமம்	t͡ɕ ɐ m ɐ m
சமயம்	t͡ɕ ɐ m ɐ j ɐ m
சமர்ப்பணம்	t͡ɕ ɐ m ɐ ɾ pː ɐ ɳ ɐ m
சமர்ப்பி	t͡ɕ ɐ m ɐ ɾ pː i
சமவெளி	t͡ɕ ɐ m ɐ ʋ e ɭ i
சமஸ்கிருதம்	t͡ɕ ɐ m ɐ s k i ɾ u d̪ ɐ m
சமாதானம்	t͡ɕ ɐ m aː d̪ aː n ɐ m
சமுதாயச்சீர்திருத்தம்	t͡ɕ ɐ m u d̪ aː j ɐ t͡ɕː iː ɾ d̪ i ɾ u t̪ː ɐ m
சமுதாயம்	t͡ɕ ɐ m u d̪ aː j ɐ m
சமுத்திரம்	t͡ɕ ɐ m u t̪ː i ɾ ɐ m
சமூகம்	t͡ɕ ɐ m uː ɡ ɐ m
சமை	t͡ɕ ɐ m a ɪ̯
சமைவு	t͡ɕ ɐ m a ɪ̯ ʋ u
சமோசா	t͡ɕ ɐ m oː t͡ɕ aː
சம்சாரம்	t͡ɕ ɐ m t͡ɕ aː ɾ ɐ m
சம்பகம்	t͡ɕ ɐ m b ɐ ɡ ɐ m
சம்பங்கி	t͡ɕ ɐ m b ɐ ŋ ɡ i
சம்பளம்	t͡ɕ ɐ m b ɐ ɭ ɐ m
சம்பவம்	t͡ɕ ɐ m b ɐ ʋ ɐ m
சம்பாதி	t͡ɕ ɐ m b aː d̪ i
சம்புநாவல்	t͡ɕ ɐ m b u n̪ aː ʋ ɐ l
சம்மட்டி	t͡ɕ ɐ mː ɐ ʈː i
சயிக்கம்	t͡ɕ ɐ j i kː ɐ m
சயிந்தவம்	t͡ɕ ɐ j i n̪ d̪ ɐ ʋ ɐ m
சரக்கு	t͡ɕ ɐ ɾ ɐ kː u
