㑚	n a ² ³
孔子	kʰ o ŋ ³ ³ t͡s z̩ ⁴ ⁴
孔雀	kʰ o ŋ ³ ³ t͡ɕ i a ʔ ⁴ ⁴
孔雀男	kʰ o ŋ ³ ³ t͡ɕʰ i a ʔ ⁵ ⁵ n ø ² ¹
孕	ɦ i o ŋ ² ³
孕	ɦ y n ² ³
孕婦	ɦ i o ŋ ² ² v u ⁴ ⁴
孕婦	ɦ y n ² ² v u ⁴ ⁴
字	z z̩ ² ³
字典	z z̩ ² ² t i ⁴ ⁴
字母	z z̩ ² ² m u ⁴ ⁴
字頭	z z̩ ² ² d ɤ ⁴ ⁴
存	z ə n ² ³
存在	z ə n ² ² z e ⁴ ⁴
存心	z ə n ² ² ɕ i n ⁴ ⁴
存款	z ə n ² ² kʰ u e ⁴ ⁴
存款	z ə n ² ² kʰ u ø ⁴ ⁴
孛萄	b ə ʔ ¹ ¹ d ɔ ² ³
孜然	t͡s z̩ ⁵ ⁵ z ø ² ¹
孝	h ɔ ³ ⁴
孝	ɕ i ɔ ³ ⁴
孝子	ɕ i ɔ ³ ³ t͡s z̩ ⁴ ⁴
孟	m ã ² ³
孟加拉	m ã ² ² k a ⁵ ⁵ l a ² ¹
孟加拉國	m ã ² ² k a ⁵ ⁵ l a ³ ³ k o ʔ ² ¹
季節	t͡ɕ i ³ ³ t͡ɕ i ɪ ʔ ⁴ ⁴
孤	k u ⁵ ³
孤單	k u ⁵ ⁵ t e ² ¹
孤孀	k u ⁵ ⁵ s ɑ̃ ² ¹
孩	ɦ e ² ³
孫	s ə n ⁵ ³
孫囡	s ə n ⁵ ⁵ n ø ² ¹
孫囡兒	s ə n ⁵ ⁵ n ø ³ ³ ŋ̍ ² ¹
孫女	s ə n ⁵ ⁵ n̠ʲ y ² ¹
孫女婿	s ə n ⁵ ⁵ n̠ʲ y ³ ³ ɕ i ² ¹
孫女婿	s ə n ⁵ ⁵ n̠ʲ y ³ ³ ɕ y ² ¹
孫子	s ə n ⁵ ⁵ t͡s z̩ ² ¹
孫悟空	s ə n ⁵ ⁵ ŋ u ³ ³ kʰ o ŋ ² ¹
孵	b u ² ³
孵	f u ⁵ ³
學	ɦ i a ʔ ¹ ²
學	ɦ o ʔ ¹ ²
學友	ɦ o ʔ ¹ ¹ ɦ i ɤ ² ³
學堂	ɦ o ʔ ¹ ¹ d ɑ̃ ² ³
學府	ɦ o ʔ ¹ ¹ f u ² ³
學徒	ɦ o ʔ ¹ ¹ d u ² ³
學校	ɦ i a ʔ ¹ ¹ ɦ i ɔ ² ³
學生	ɦ o ʔ ¹ ¹ s ã ² ³
學生子	ɦ o ʔ ¹ ¹ s ã ² ² t͡s z̩ ² ³
學科	ɦ i a ʔ ¹ ¹ kʰ u ² ³
學習	ɦ o ʔ ¹ ¹ ʑ i ɪ ʔ ² ³
學術	ɦ o ʔ ¹ ¹ z ə ʔ ² ³
學費	ɦ o ʔ ¹ ¹ f i ² ³
孽	n̠ʲ i ɪ ʔ ¹ ²
它	t a ⁵ ³
宅	z a ʔ ¹ ²
宅第	z a ʔ ¹ ¹ d i ² ³
宇	ɦ y ² ³
宇宙	ɦ y ² ² z ɤ ⁴ ⁴
守	s ɤ ³ ⁴
守生	s ɤ ³ ³ s ã ⁴ ⁴
守生婆	s ɤ ³ ³ s ã ⁵ ⁵ b u ² ¹
安	ø ⁵ ³
安全	ø ⁵ ⁵ ʑ i ² ¹
安南	ø ⁵ ⁵ n ø ² ¹
安卡拉	ø ⁵ ⁵ kʰ a ³ ³ l a ² ¹
安定	ø ⁵ ⁵ d i n ² ¹
安寧	ø ⁵ ⁵ n̠ʲ i n ² ¹
安州	ø ⁵ ⁵ t͡s ɤ ² ¹
安徽	ø ⁵ ⁵ h u e ² ¹
安慶	ø ⁵ ⁵ t͡ɕʰ i n ² ¹
安排	ø ⁵ ⁵ b a ² ¹
安葬	ø ⁵ ⁵ t͡s ɑ̃ ² ¹
安道爾	ø ⁵ ⁵ d ɔ ³ ³ ɦ ə l ² ¹
安陽	ø ⁵ ⁵ ɦ i ã ² ¹
安靜	ø ⁵ ⁵ ʑ i n ² ¹
安非他命	ø ⁵ ⁵ f i ³ ³ tʰ a ³ ³ m i n ² ¹
安非他酮	ø ⁵ ⁵ f i ³ ³ tʰ a ² ¹ d o ŋ ² ³
安非他酮	ø ⁵ ⁵ f i ³ ³ tʰ a ³ ³ d o ŋ ² ¹
宋	s o ŋ ³ ⁴
宋體	s o ŋ ³ ³ tʰ i ⁴ ⁴
完	ɦ u ø ² ³
完全	ɦ u ø ² ² ʑ i ⁴ ⁴
完結	ɦ u ø ² ² t͡ɕ i ɪ ʔ ⁴ ⁴
宏	ɦ o ŋ ² ³
宏圖	ɦ o ŋ ² ² d u ⁴ ⁴
宕	d ɑ̃ ² ³
宕帳	d ɑ̃ ² ² t͡s ã ⁴ ⁴
宕帳	d ɑ̃ ³ ³ t͡s ã ³ ⁴
宗	t͡s o ŋ ⁵ ³
宗教	t͡s o ŋ ⁵ ⁵ t͡ɕ i ɔ ² ¹
官	k u ø ⁵ ³
官塘大路	k u ø ⁵ ⁵ d ɑ̃ ³ ³ d a ³ ³ l u ² ¹
官方	k u ø ⁵ ⁵ f ɑ̃ ² ¹
官方語言	k u ø ⁵ ⁵ f ɑ̃ ³ ³ n̠ʲ y ² ² ɦ i ⁴ ⁴
官話	k u ø ⁵ ⁵ ɦ o ² ¹
宙	z ɤ ² ³
定	d i n ² ³
定向	d i n ² ² ɕ i ã ⁴ ⁴
定向越野	d i n ² ² ɕ i ã ⁴ ⁴ ɦ i o ʔ ¹ ¹ ɦ i a ² ³
定向越野	d i n ² ² ɕ i ã ⁴ ⁴ ɦ y ɪ ʔ ¹ ¹ ɦ i a ² ³
定洋	d i n ² ² ɦ i ã ⁴ ⁴
定金	d i n ² ² t͡ɕ i n ⁴ ⁴
宜	n̠ʲ i ² ³
宜昌	n̠ʲ i ² ² t͡sʰ ɑ̃ ⁴ ⁴
宜春	n̠ʲ i ² ² t͡sʰ ə n ⁴ ⁴
客	kʰ a ʔ ⁵ ⁵
客人	kʰ a ʔ ³ ³ n̠ʲ i n ⁴ ⁴
客作	k a ʔ ³ ³ t͡s o ʔ ⁴ ⁴
客客	kʰ a ʔ ³ ³ kʰ a ʔ ⁴ ⁴
客家	kʰ a ʔ ³ ³ k a ⁴ ⁴
客家	kʰ a ʔ ³ ³ t͡ɕ i a ⁴ ⁴
客家人	kʰ a ʔ ³ ³ k a ⁵ ⁵ n̠ʲ i n ² ¹
客家語	kʰ a ʔ ³ ³ k a ⁵ ⁵ n̠ʲ y ² ¹
客家語	kʰ a ʔ ³ ³ t͡ɕ i a ⁵ ⁵ n̠ʲ y ² ¹
客家閒話	kʰ a ʔ ³ ³ k a ⁴ ⁴ ɦ e ² ² ɦ o ⁴ ⁴
客家閒話	kʰ a ʔ ³ ³ k a ⁵ ⁵ ɦ e ³ ³ ɦ o ² ¹
客家閒話	kʰ a ʔ ³ ³ t͡ɕ i a ⁴ ⁴ ɦ e ² ² ɦ o ⁴ ⁴
客家閒話	kʰ a ʔ ³ ³ t͡ɕ i a ⁵ ⁵ ɦ e ³ ³ ɦ o ² ¹
客戶	k a ʔ ³ ³ ɦ u ⁴ ⁴
客氣	kʰ a ʔ ³ ³ t͡ɕʰ i ⁴ ⁴
客氣當福氣	kʰ a ʔ ³ ³ t͡ɕʰ i ⁴ ⁴ t ɑ̃ ⁴ ⁴ f o ʔ ³ ³ t͡ɕʰ i ⁴ ⁴
客氣當福氣	kʰ a ʔ ³ ³ t͡ɕʰ i ⁴ ⁴ t ɑ̃ ⁵ ³ f o ʔ ³ ³ t͡ɕʰ i ⁴ ⁴
客菜	kʰ a ʔ ³ ³ t͡sʰ e ⁴ ⁴
客豆	kʰ a ʔ ³ ³ d ɤ ⁴ ⁴
宣	ɕ i ⁵ ³
宣城	ɕ i ⁵ ⁵ z ə n ² ¹
宣紙	ɕ i ⁵ ⁵ t͡s z̩ ² ¹
宣紙	ɕ y ø ⁵ ⁵ t͡s z̩ ² ¹
宣言	ɕ y ø ⁵ ⁵ ɦ i ² ¹
室	s ə ʔ ⁵ ⁵
室友	s ə ʔ ³ ³ ɦ i ɤ ⁴ ⁴
宮	k o ŋ ⁵ ³
宮中	k o ŋ ⁵ ⁵ t͡s o ŋ ² ¹
害	ɦ e ² ³
宴	i ³ ⁴
宵	ɕ i ɔ ⁵ ³
家	k a ⁵ ³
家	t͡ɕ i a ⁵ ³
家主	k a ⁵ ⁵ t͡s z̩ ² ¹
家主公	k a ⁵ ⁵ t͡s z̩ ³ ³ k o ŋ ² ¹
家人	t͡ɕ i a ⁵ ⁵ z ə n ² ¹
家具	k a ⁵ ⁵ d͡ʑ y ² ¹
家具	t͡ɕ i a ⁵ ⁵ d͡ʑ y ² ¹
家務事	t͡ɕ i a ⁵ ⁵ ɦ u ³ ³ z z̩ ² ¹
家小	k a ⁵ ⁵ ɕ i ɔ ² ¹
家常	t͡ɕ i a ⁵ ⁵ z ã ² ¹
家常飯	t͡ɕ i a ⁵ ⁵ z ã ³ ³ v e ² ¹
家庭	t͡ɕ i a ⁵ ⁵ d i n ² ¹
家族	t͡ɕ i a ⁵ ⁵ z o ʔ ² ¹
家生	k a ⁵ ⁵ s ã ² ¹
家鄉	t͡ɕ i a ⁵ ⁵ ɕ i ã ² ¹
宸	z ə n ² ³
容	ɦ i o ŋ ² ³
容易	ɦ i o ŋ ² ² ɦ i ɪ ʔ ⁴ ⁴
宿	s o ʔ ⁵ ⁵
宿	ɕ i ɤ ³ ⁴
宿州	s o ʔ ³ ³ t͡s ɤ ⁴ ⁴
宿舍	s o ʔ ³ ³ s e ⁴ ⁴
宿舍	s o ʔ ³ ³ s o ⁴ ⁴
宿舍	s o ʔ ³ ³ s ø ⁴ ⁴
宿遷	s o ʔ ³ ³ t͡ɕʰ i ⁴ ⁴
寂	ʑ i ɪ ʔ ¹ ²
寄	t͡ɕ i ³ ⁴
寄信	t͡ɕ i ³ ³ ɕ i n ⁴ ⁴
寄信	t͡ɕ i ⁴ ⁴ ɕ i n ³ ⁴
寄賣商店	t͡ɕ i ³ ³ m a ⁵ ⁵ s ɑ̃ ³ ³ t i ² ¹
寄賣商店	t͡ɕ i ⁵ ⁵ m a ³ ³ s ɑ̃ ³ ³ t i ² ¹
寄賣行	t͡ɕ i ³ ³ m a ⁵ ⁵ ɦ ɑ̃ ² ¹
寄賣行	t͡ɕ i ⁵ ⁵ m a ³ ³ ɦ ɑ̃ ² ¹
寅	ɦ i n ² ³
密	m i ɪ ʔ ¹ ²
密屑	m i ɪ ʔ ¹ ¹ ɕ i ɪ ʔ ² ³
密陀僧	m i ɪ ʔ ¹ ¹ d u ² ² s ə n ² ³
寇	kʰ ɤ ³ ⁴
富	f u ³ ⁴
富強	f u ³ ³ d͡ʑ i ã ⁴ ⁴
寒	ɦ ø ² ³
寒假	ɦ ø ² ² k a ⁴ ⁴
寒假	ɦ ø ² ² t͡ɕ i a ⁴ ⁴
寒冬臘月	ɦ ø ² ² t o ŋ ³ ³ l a ʔ ¹ ¹ ɦ y ɪ ʔ ² ³
寒冬臘月	ɦ ø ² ² t o ŋ ⁵ ⁵ l a ʔ ³ ³ ɦ y ɪ ʔ ² ¹
寒場裡	ɦ ø ² ² z ã ⁵ ⁵ l i ² ¹
寒毛	ɦ ø ² ² m ɔ ⁴ ⁴
寒毛孔	ɦ ø ² ² m ɔ ⁵ ⁵ kʰ o ŋ ² ¹
寒毛管	ɦ ø ² ² m ɔ ⁵ ⁵ k u e ² ¹
寒潮	ɦ ø ² ² z ɔ ⁴ ⁴
寒豆	ɦ ø ² ² d ɤ ⁴ ⁴
寒露	ɦ ø ² ² l u ⁴ ⁴
寓	n̠ʲ y ² ³
寓	ɦ y ² ³
察	t͡sʰ a ʔ ⁵ ⁵
寡	k o ³ ⁴
寡	k u a ³ ⁴
寡婦	k o ³ ³ v u ⁴ ⁴
寡婦	k o ⁵ ⁵ v u ² ¹
寢	t͡ɕʰ i n ³ ⁴
寣	h u ə ʔ ⁵ ⁵
寣頭	h u ə ʔ ³ ³ d ɤ ⁴ ⁴
寤	ŋ u ² ³
實	z ə ʔ ¹ ²
實介	z ə ʔ ¹ ¹ k a ² ³
實介	z ə ʔ ¹ ¹ k e ² ³
實介	z ə ʔ ¹ ¹ k ã ² ³
實個能	z ə ʔ ¹ ¹ ɦ ə ʔ ² ² n ə n ² ³
實價	z ə ʔ ¹ ¹ k a ² ³
實在	z ə ʔ ¹ ¹ z e ² ³
實施	z ə ʔ ¹ ¹ s z̩ ² ³
實能	z ə ʔ ¹ ¹ n ə n ² ³
實蓋	z ə ʔ ¹ ¹ k e ² ³
實踐	z ə ʔ ¹ ¹ ʑ i ² ³
實際浪	z ə ʔ ¹ ¹ t͡ɕ i ² ² l ɑ̃ ² ³
寧	n̠ʲ i n ² ³
寧夏	n̠ʲ i n ² ² ɦ i a ⁴ ⁴
寧德	n̠ʲ i n ² ² t ə ʔ ⁴ ⁴
寧波	n̠ʲ i n ² ² p u ⁴ ⁴
寧波人	n̠ʲ i n ² ² p o ʔ ⁵ ⁵ n̠ʲ i n ² ¹
寧波話	n̠ʲ i n ² ² p o ʔ ⁵ ⁵ ɦ o ² ¹
寨	t͡s e ⁵ ³
寨	z e ² ³
審	s ə n ³ ⁴
寫	ɕ i a ³ ⁴
寫作	ɕ i a ³ ³ t͡s o ʔ ⁴ ⁴
寫字	ɕ i a ⁴ ⁴ z z̩ ² ³
寫字檯	ɕ i a ³ ³ z z̩ ⁵ ⁵ d e ² ¹
寫意	ɕ i a ³ ³ i ⁴ ⁴
寫意	ɕ i a ⁵ ⁵ i ² ¹
寫真	ɕ i a ³ ³ t͡s ə n ⁴ ⁴
寬	kʰ u ø ⁵ ³
寬坐	kʰ u ø ⁵ ⁵ z u ² ¹
寬緊帶	k u ø ⁵ ⁵ t͡ɕ i n ³ ³ t a ² ¹
寬舒	kʰ u ø ⁵ ⁵ s z̩ ² ¹
寬衣	kʰ u ø ⁵ ⁵ i ² ¹
寵	t͡sʰ o ŋ ³ ⁴
寶	p ɔ ³ ⁴
寶匣	p ɔ ³ ³ ɦ a ʔ ⁴ ⁴
寶山	p ɔ ³ ³ s e ⁴ ⁴
寶玉	p ɔ ³ ³ n̠ʲ i o ʔ ⁴ ⁴
寶蓋頭	p ɔ ³ ³ k e ⁵ ⁵ d ɤ ² ¹
寸	t͡sʰ ə n ³ ⁴
寸金地	t͡sʰ ə n ³ ³ t͡ɕ i n ⁵ ⁵ d i ² ¹
寸金糖	t͡sʰ ə n ³ ³ t͡ɕ i n ⁵ ⁵ d ɑ̃ ² ¹
寺	z z̩ ² ³
寺廟	z z̩ ² ² m i ɔ ⁴ ⁴
封	f o ŋ ⁵ ³
封建	f o ŋ ⁵ ⁵ t͡ɕ i ² ¹
封蠟	f o ŋ ⁵ ⁵ l a ʔ ² ¹
射	z o ² ³
射	z o ʔ ¹ ²
射尿出	z a ² ² s z̩ ⁵ ⁵ t͡sʰ ə ʔ ² ¹
將	t͡ɕ i ã ³ ⁴
將	t͡ɕ i ã ⁵ ³
將來	t͡ɕ i ã ⁵ ⁵ l e ² ¹
將會	t͡ɕ i ã ⁵ ⁵ ɦ u e ² ¹
將要	t͡ɕ i ã ⁵ ⁵ i ɔ ² ¹
將軍	t͡ɕ i ã ⁵ ⁵ t͡ɕ y n ² ¹
專	t͡s ø ⁵ ³
專業	t͡s ø ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
專橫	t͡s ø ⁵ ⁵ ɦ u ã ² ¹
專線車	t͡s ø ⁵ ⁵ ɕ i ³ ³ t͡sʰ o ² ¹
專賣店	t͡s ø ⁵ ⁵ m a ³ ³ t i ² ¹
專門	t͡s ø ⁵ ⁵ m ə n ² ¹
尉	u e ³ ⁴
尊	t͡s ə n ⁵ ³
尊嚴	t͡s ə n ⁵ ⁵ n̠ʲ i ² ¹
尊姓	t͡s ə n ⁵ ⁵ ɕ i n ² ¹
尋	ʑ i n ² ³
尋死	ʑ i n ² ² ɕ i ⁴ ⁴
尋死路	ʑ i n ² ² ɕ i ⁵ ⁵ l u ² ¹
尋生意	ʑ i n ² ² s ã ⁵ ⁵ i ² ¹
尋生意	ʑ i n ³ ³ s ã ⁵ ⁵ i ² ¹
尋開心	ʑ i n ² ² kʰ e ⁵ ⁵ ɕ i n ² ¹
對	t e ³ ⁴
對付	t e ⁵ ⁵ f u ² ¹
對勿起	t e ³ ³ v ə ʔ ⁵ ⁵ t͡ɕʰ i ² ¹
對口型	t e ⁴ ⁴ kʰ ɤ ³ ³ ɦ i n ⁴ ⁴
對對襪	t e ³ ³ t e ⁵ ⁵ m a ʔ ² ¹
對待	t e ³ ³ d e ⁴ ⁴
對待	t e ⁵ ⁵ d e ² ¹
對應	t e ³ ³ i n ⁴ ⁴
對我來講	t e ⁴ ⁴ ŋ u ² ³ l e ² ³ k ɑ̃ ³ ⁴
對抗	t e ³ ³ kʰ ɑ̃ ⁴ ⁴
對於	t e ³ ³ ɦ y ⁴ ⁴
對聯	t e ³ ³ l i ⁴ ⁴
對過	t e ³ ³ k u ⁴ ⁴
對過	t e ⁵ ⁵ k u ² ¹
對面	t e ³ ³ m i ⁴ ⁴
對面前	t e ³ ³ m i ⁵ ⁵ ʑ i ² ¹
導	d ɔ ² ³
導演	d ɔ ² ² i ⁴ ⁴
導致	d ɔ ² ² t͡s z̩ ⁴ ⁴
小	ɕ i ɔ ³ ⁴
小三	ɕ i ɔ ³ ³ s e ⁴ ⁴
小人	ɕ i ɔ ³ ³ n̠ʲ i n ⁴ ⁴
小人	ɕ i ɔ ³ ³ z ə n ⁴ ⁴
小便	ɕ i ɔ ³ ³ b i ⁴ ⁴
小便間	ɕ i ɔ ³ ³ b i ⁵ ⁵ k e ² ¹
小偷	ɕ i ɔ ³ ³ tʰ ɤ ⁴ ⁴
小先生	ɕ i ɔ ³ ³ ɕ i ⁵ ⁵ s ã ² ¹
小兒科	ɕ i ɔ ³ ³ ɦ ə l ⁵ ⁵ kʰ u ² ¹
小吃	ɕ i ɔ ³ ³ t͡ɕʰ i ɪ ʔ ⁴ ⁴
小囡	ɕ i ɔ ³ ³ n ø ⁴ ⁴
小囡脾氣	ɕ i ɔ ³ ³ n ø ⁵ ⁵ b i ³ ³ t͡ɕʰ i ² ¹
小姐	ɕ i ɔ ³ ³ t͡ɕ i a ⁴ ⁴
小娘	ɕ i ɔ ³ ³ n̠ʲ i ã ⁴ ⁴
小學	ɕ i ɔ ³ ³ ɦ o ʔ ⁴ ⁴
小寒	ɕ i ɔ ³ ³ ɦ ø ⁴ ⁴
小寫字	ɕ i ɔ ³ ³ ɕ i a ⁵ ⁵ z z̩ ² ¹
小小囡	ɕ i ɔ ³ ³ ɕ i ɔ ⁵ ⁵ n ø ² ¹
小年	ɕ i ɔ ³ ³ n̠ʲ i ⁴ ⁴
小年夜	ɕ i ɔ ³ ³ n̠ʲ i ⁵ ⁵ ɦ i a ² ¹
小弄弄	ɕ i ɔ ³ ³ l o ŋ ⁵ ⁵ l o ŋ ² ¹
小弄弄	ɕ i ɔ ³ ³ n o ŋ ⁵ ⁵ n o ŋ ² ¹
小強	ɕ i ɔ ³ ³ d͡ʑ i ã ⁴ ⁴
小房子	ɕ i ɔ ³ ³ v ɑ̃ ⁵ ⁵ t͡s z̩ ² ¹
小手節頭	ɕ i ɔ ³ ³ s ɤ ⁵ ⁵ t͡ɕ i ɪ ʔ ³ ³ d ɤ ² ¹
小提琴	ɕ i ɔ ³ ³ d i ⁵ ⁵ d͡ʑ i n ² ¹
小攤小販	ɕ i ³ ³ tʰ e ⁵ ⁵ ɕ i ɔ ³ ³ f e ² ¹
小攤販	ɕ i ³ ³ tʰ e ⁵ ⁵ f e ² ¹
小暑	ɕ i ɔ ³ ³ s z̩ ⁴ ⁴
小月	ɕ i ɔ ³ ³ n̠ʲ i o ʔ ⁴ ⁴
小月	ɕ i ɔ ³ ³ n̠ʲ y ɪ ʔ ⁴ ⁴
小月	ɕ i ɔ ³ ³ ɦ i o ʔ ⁴ ⁴
小月	ɕ i ɔ ³ ³ ɦ y ɪ ʔ ⁴ ⁴
小朋友	ɕ i ɔ ³ ³ b ã ⁵ ⁵ ɦ i ɤ ² ¹
小板豆腐	ɕ i ɔ ³ ³ p e ⁵ ⁵ d ɤ ³ ³ v u ² ¹
小板豆腐	ɕ i ɔ ³ ³ p e ⁵ ⁵ d ɤ ³ ³ ɦ u ² ¹
小條子	ɕ i ɔ ³ ³ d i ɔ ⁵ ⁵ t͡s z̩ ² ¹
小棠菜	ɕ i ɔ ³ ³ d ɑ̃ ⁵ ⁵ t͡sʰ e ² ¹
小棺材	ɕ i ɔ ⁴ ⁴ k u ø ⁵ ⁵ z e ² ¹
小毛頭	ɕ i ɔ ³ ³ m ɔ ⁵ ⁵ d ɤ ² ¹
小毛驢	ɕ i ɔ ³ ³ m ɔ ⁵ ⁵ l y ² ¹
小氣	ɕ i ɔ ³ ³ t͡ɕʰ i ⁴ ⁴
小氣鬼	ɕ i ɔ ³ ³ t͡ɕʰ i ⁵ ⁵ t͡ɕ y ² ¹
小溲	ɕ i ɔ ³ ³ s ɤ ⁴ ⁴
小滿	ɕ i ɔ ³ ³ m ø ⁴ ⁴
小產	ɕ i ɔ ³ ³ t͡sʰ e ⁴ ⁴
小畜	ɕ i ɔ ³ ³ ɕ i o ʔ ⁴ ⁴
小癟三	ɕ i ɔ ³ ³ p i ɪ ʔ ⁵ ⁵ s e ² ¹
小白菜	ɕ i ɔ ³ ³ b a ʔ ⁵ ⁵ t͡sʰ e ² ¹
小眾	ɕ i ɔ ³ ³ z o ŋ ⁴ ⁴
小童房	ɕ i ɔ ³ ³ d o ŋ ⁵ ⁵ v ɑ̃ ² ¹
小節頭	ɕ i ɔ ³ ³ t͡ɕ i ɪ ʔ ⁵ ⁵ d ɤ ² ¹
小籠	ɕ i ɔ ³ ³ l o ŋ ⁴ ⁴
小籠包	ɕ i ɔ ³ ³ l o ŋ ⁵ ⁵ p ɔ ² ¹
小籠包子	ɕ i ɔ ³ ³ l o ŋ ⁵ ⁵ p ɔ ³ ³ t͡s z̩ ² ¹
小籠饅頭	ɕ i ɔ ³ ³ l o ŋ ⁴ ⁴ m ø ² ² d ɤ ⁴ ⁴
小籠饅頭	ɕ i ɔ ³ ³ l o ŋ ⁵ ⁵ m ø ³ ³ d ɤ ² ¹
小米子	ɕ i ɔ ³ ³ m i ⁵ ⁵ t͡s z̩ ² ¹
小綿羊	ɕ i ɔ ³ ³ m i ⁵ ⁵ ɦ i ã ² ¹
小考	ɕ i ɔ ³ ³ kʰ ɔ ⁴ ⁴
小腳髈	ɕ i ɔ ³ ³ t͡ɕ i a ʔ ⁵ ⁵ pʰ ɑ̃ ² ¹
小腸	ɕ i ɔ ³ ³ z ã ⁴ ⁴
小腸氣	ɕ i ɔ ³ ³ z ã ⁵ ⁵ t͡ɕʰ i ² ¹
小腿	ɕ i ɔ ³ ³ tʰ e ⁴ ⁴
小舌頭	ɕ i ɔ ³ ³ z ə ʔ ⁵ ⁵ d ɤ ² ¹
小菜	ɕ i ɔ ³ ³ t͡sʰ e ⁴ ⁴
小菜場	ɕ i ɔ ³ ³ t͡sʰ e ⁵ ⁵ z ã ² ¹
小蒲桃	ɕ i ɔ ³ ³ b u ⁵ ⁵ d ɔ ² ¹
小蘇打	ɕ i ɔ ³ ³ s u ⁵ ⁵ t ã ² ¹
小號	ɕ i ɔ ³ ³ ɦ ɔ ⁴ ⁴
小解	ɕ i ɔ ³ ³ k a ⁴ ⁴
小說	ɕ i ɔ ³ ³ s ə ʔ ⁴ ⁴
小豬	ɕ i ɔ ³ ³ t͡s z̩ ⁴ ⁴
小販	ɕ i ɔ ³ ³ f e ⁴ ⁴
小費	ɕ i ɔ ³ ³ f i ⁴ ⁴
小赤佬	ɕ i ɔ ³ ³ t͡sʰ ə ʔ ⁵ ⁵ l ɔ ² ¹
小路	ɕ i ɔ ³ ³ l u ⁴ ⁴
小轉彎	ɕ i ɔ ³ ³ t͡s ø ⁵ ⁵ u e ² ¹
小轎車	ɕ i ɔ ³ ³ d͡ʑ i ɔ ⁵ ⁵ t͡sʰ o ² ¹
小過	ɕ i ɔ ³ ³ k u ⁴ ⁴
小酌	ɕ i ɔ ³ ³ t͡s a ʔ ⁴ ⁴
小金庫	ɕ i ɔ ³ ³ t͡ɕ i n ⁵ ⁵ kʰ u ² ¹
小陽春	ɕ i ɔ ³ ³ ɦ i ã ⁵ ⁵ t͡sʰ ə n ² ¹
小雞	ɕ i ɔ ³ ³ t͡ɕ i ⁴ ⁴
小雞雞	ɕ i ɔ ³ ³ t͡ɕ i ⁵ ⁵ t͡ɕ i ² ¹
小雨	ɕ i ɔ ³ ³ ɦ y ⁴ ⁴
小雪	ɕ i ɔ ³ ³ ɕ i ɪ ʔ ⁴ ⁴
小頭	ɕ i ɔ ³ ³ d ɤ ⁴ ⁴
小頭髮	ɕ i ɔ ³ ³ d ɤ ⁵ ⁵ f a ʔ ² ¹
小食	ɕ i ɔ ³ ³ z ə ʔ ⁴ ⁴
小髈	ɕ i ɔ ³ ³ pʰ ɑ̃ ⁴ ⁴
小鬼	ɕ i ɔ ³ ³ t͡ɕ y ⁴ ⁴
小鬼丫頭	ɕ i ɔ ³ ³ t͡ɕ y ⁵ ⁵ o ³ ³ d ɤ ² ¹
小鬼頭	ɕ i ɔ ³ ³ t͡ɕ y ³ ³ d ɤ ² ³
小鬼頭	ɕ i ɔ ³ ³ t͡ɕ y ⁵ ⁵ d ɤ ² ¹
小麥	ɕ i ɔ ³ ³ m a ʔ ⁴ ⁴
小黃魚	ɕ i ɔ ³ ³ ɦ u ɑ̃ ⁵ ⁵ ŋ̍ ² ¹
小龍蝦	ɕ i ɔ ³ ³ l o ŋ ⁵ ⁵ h o ² ¹
小龍蝦	ɕ i ɔ ³ ³ l o ŋ ⁵ ⁵ h ø ² ¹
少	s ɔ ³ ⁴
少數	s ɔ ³ ³ s u ⁴ ⁴
少有	s ɔ ³ ³ ɦ i ɤ ⁴ ⁴
少林	s ɔ ³ ³ l i n ⁴ ⁴
少林寺	s ɔ ³ ³ l i n ⁵ ⁵ z z̩ ² ¹
少校	s ɔ ³ ³ ɦ i ɔ ⁴ ⁴
尖	t͡ɕ i ⁵ ³
尖嘴鉗	t͡ɕ i ⁵ ⁵ t͡s z̩ ³ ³ d͡ʑ i ² ¹
尖沙咀	t͡ɕ i ⁵ ⁵ s o ³ ³ t͡s z̩ ² ¹
尚	z ɑ̃ ² ³
尚且	z ɑ̃ ² ² t͡ɕʰ i ⁴ ⁴
尤	ɦ i ɤ ² ³
尤其	ɦ i ɤ ² ² ʑ i ⁴ ⁴
尬	k a ³ ⁴
就	d͡ʑ i ɤ ² ³
就	z ɤ ² ³
就	ʑ i ɤ ² ³
就是	d͡ʑ i ɤ ² ² z z̩ ⁴ ⁴
就是	ʑ i ɤ ² ² z z̩ ⁴ ⁴
就是	ʑ ɤ ² ² z z̩ ⁴ ⁴
就算	d͡ʑ i ɤ ² ² s ø ⁴ ⁴
就算	ʑ i ɤ ² ² s ø ⁴ ⁴
就算	ʑ ɤ ² ² s ø ⁴ ⁴
尷	k e ⁵ ³
尷尬	k e ⁵ ⁵ k a ² ¹
尷尬頭	k e ⁵ ⁵ k a ³ ³ d ɤ ² ¹
尷尬頭浪	k e ⁵ ⁵ k a ³ ³ d ɤ ³ ³ l ɑ̃ ² ¹
尹	i n ⁵ ³
尹	ɦ i n ² ³
尺	t͡sʰ a ʔ ⁵ ⁵
尻	kʰ ɔ ⁵ ³
尼	n̠ʲ i ² ³
尼姑	n̠ʲ i ² ² k u ⁴ ⁴
