㐁	tʰ ʌ m H
愪	ɦ ɨ u n
愬	ʃˠ ɛ k̚
愭	ɡ i ɪ
愮	j i ᴇ u
愯	s ɨ o ŋ X
愱	d͡z i ɪ t̚
愲	k u ə t̚
愴	t͡ʃʰ ɨ ɐ ŋ H
愴	t͡ʃʰ ɨ ɐ ŋ X
愴怳	t͡ʃʰ ɨ ɐ ŋ X
愴恨	t͡ʃʰ ɨ ɐ ŋ H
愴悢	t͡ʃʰ ɨ ɐ ŋ H
愴痛	t͡ʃʰ ɨ ɐ ŋ H
愵	n e k̚
愶	h ɨ ɐ p̚
愷	kʰ ʌ i X
愷悌	kʰ ʌ i X
愺	t͡sʰ ɑ u X
愺恅	t͡sʰ ɑ u X
愻	s u ə n H
愾	h ɨ i H
愾	kʰ ʌ i H
愿	ŋ ʉ ɐ n H
慀	ɦ e i H
慁	ɦ u ə n H
慃	ʔˠ ʌ ŋ X
慄	l i ɪ t̚
慄慄	l i ɪ t̚
慅	s ɑ u
慆	tʰ ɑ u
慇	ʔ ɨ n
慈	d͡z ɨ
慈善	d͡z ɨ
慈悲	d͡z ɨ
慈愛	d͡z ɨ
慉	h ɨ u k̚
慊	kʰ e m X
態	tʰ ʌ i H
慌	h w ɑ ŋ X
慍	ʔ ɨ u n H
慎	d͡ʑ i ɪ n H
慏	m i ᴇ ŋ X
慒	d͡z u o ŋ
慓	pʰ i ᴇ u
慔	m u o H
慕	m u o H
慕容	m u o H
慖	k u ʌ i H
慗	ʈʰ ɨ k̚
慘	t͡sʰ ʌ m X
慚	d͡z ɑ m
慛	d͡z u ʌ i
慜	mˠ i ɪ n X
慝	tʰ ə k̚
慞	t͡ɕ ɨ ɐ ŋ
慟	d u ŋ H
慢	mˠ a n H
慣	kˠ u a n H
慥	t͡sʰ ɑ u H
慧	ɦ w e i H
慧眼	ɦ w e i H
慨	kʰ ʌ i H
慨慷	kʰ ʌ i H
慫	s ɨ o ŋ X
慫恿	s ɨ o ŋ X
慬	k ɨ n X
慬	ɡ ɨ n
慮	l ɨ ʌ H
慯	ɕ ɨ ɐ ŋ
慰	ʔ ʉ i H
慱	d u ɑ n
慲	m u ɑ n
慳	kʰˠ ɛ n
慳吝	kʰˠ ɛ n
慴	t͡ɕ i ᴇ p̚
慵	d͡ʑ ɨ o ŋ
慶	kʰˠ i æ ŋ H
慶雲	kʰˠ i æ ŋ H
慷	kʰ ɑ ŋ X
慷慨	kʰ ɑ ŋ X
慸	d e i H
慹	t͡ɕ i ɪ p̚
慺	l ɨ o
慺	l ɨ o X
慾	j ɨ o k̚
憀	l e u
憂	ʔ ɨ u
憂傷	ʔ ɨ u
憂國憂民	ʔ ɨ u
憂心忡忡	ʔ ɨ u
憂愁	ʔ ɨ u
憂慮	ʔ ɨ u
憂懼	ʔ ɨ u
憃	ɕ ɨ o ŋ
憉	bˠ æ ŋ
憊	bˠ ɛ i H
憋	p i ᴇ t̚
憌	ɡ w i ᴇ ŋ
憍	kˠ i ᴇ u
憍陳如	kˠ i ᴇ u
憎	t͡s ə ŋ
憐	l e n
憐憫	l e n
憑	b ɨ ŋ
憒	k u ʌ i H
憓	ɦ w e i H
憔	d͡z i ᴇ u
憔悴	d͡z i ᴇ u
憕	ɖˠ æ ŋ
憖	ŋˠ i ɪ n H
憙	h ɨ X
憚	d ɑ n H
憛	tʰ ʌ m H
憝	d u ʌ i H
憞	d u ʌ i H
憟	s ɨ o k̚
憠	ɡ ʉ ɐ t̚
憡	t͡ʃʰˠ ɛ k̚
憢	h e u
憤	b ɨ u n X
憤然	b ɨ u n X
憥	l ɑ u
憧	t͡ɕʰ ɨ o ŋ
憧	ɖˠ ʌ ŋ H
憧憬	t͡ɕʰ ɨ o ŋ
憨	h ɑ m
憩	kʰˠ i ᴇ i H
憪	ɦˠ a n X
憪	ɦˠ ɛ n
憫	mˠ i ɪ n X
憬	kˠ w i æ ŋ X
憭	l e u
憮	m ɨ o
憯	t͡sʰ ʌ m X
憲	h ɨ ɐ n H
憲章	h ɨ ɐ n H
憴	ʑ ɨ ŋ
憵	pʰ e k̚
憶	ʔ ɨ k̚
憷	t͡ʃʰ ɨ ʌ X
憸	s i ᴇ m
憹	n u o ŋ
憺	d ɑ m X
憼	k ɨ ɐ ŋ X
憽	s u ŋ
憾	ɦ ʌ m H
憿	k e u
懀	ʔ u ɑ i H
懁	k w e n H
懂	t u ŋ X
懃	ɡ ɨ n
懅	ɡ ɨ ʌ
懆	t͡sʰ ɑ u X
懆懆	t͡sʰ ɑ u X
懇	kʰ ə n X
懈	kˠ ɛ H
應	ʔ ɨ ŋ
應	ʔ ɨ ŋ H
應有	ʔ ɨ ŋ
懊	ʔ ɑ u H
懊	ʔ ɑ u X
懊	ʔ ɨ u k̚
懊恨	ʔ ɑ u H
懊惱	ʔ ɑ u X
懋	m ə u H
懌	j i ᴇ k̚
懍	l i ɪ m X
懍懍	l i ɪ m X
懎	ʃ ɨ k̚
懕	ʔ i ᴇ m
懕懕	ʔ i ᴇ m
懖	k u ɑ t̚
懘	t͡ɕʰ i ᴇ X
懚	ʔ ɨ n H
懛	t ʌ i
懜	m ɨ u ŋ
懝	ŋ ɨ k̚
懝	ŋ ʌ i H
懟	ɖˠ i u ɪ H
懠	d͡z e i
懡	m u ɑ X
懢	l ɑ m
懣	m u ə n X
懤	ɖ ɨ u
懤懤	ɖ ɨ u
懥	t͡ɕ i ɪ H
懦	ȵ ɨ o
懪	bˠ ʌ k̚
懫	ʈˠ i ɪ H
懬	kʰ ɑ ŋ X
懮	ʔ ɨ u X
懮受	ʔ ɨ u X
懮懮	ʔ ɨ u X
懰	l ɨ u
懱	m e t̚
懲	ɖ ɨ ŋ
懲艾	ɖ ɨ ŋ
懵	m u ŋ X
懵懂	m u ŋ X
懶	l ɑ n X
懷	ɦˠ u ɛ i
懷妊	ɦˠ u ɛ i
懷子	ɦˠ u ɛ i
懷孕	ɦˠ u ɛ i
懷春	ɦˠ u ɛ i
懷柔	ɦˠ u ɛ i
懷璧其罪	ɦˠ u ɛ i
懷舊	ɦˠ u ɛ i
懸	ɦ w e n
懹	ȵ ɨ ɐ ŋ H
懺	t͡ʃʰˠ a m H
懺悔	t͡ʃʰˠ a m H
懻	kˠ i ɪ H
懼	ɡ ɨ o H
懾	t͡ɕ i ᴇ p̚
懿	ʔˠ i ɪ H
戀	l i u ᴇ n H
戁	ɳˠ a n X
戄	h ʉ ɐ k̚
戇	h u ŋ H
戈	k u ɑ
戉	ɦ ʉ ɐ t̚
戊	m ə u H
戊戌	m ə u H
戌	s i u ɪ t̚
戍	ɕ ɨ o H
戍邊	ɕ ɨ o H
戎	ȵ ɨ u ŋ
戎戎	ȵ ɨ u ŋ
戎機	ȵ ɨ u ŋ
戎狄	ȵ ɨ u ŋ
戎行	ȵ ɨ u ŋ
成	d͡ʑ i ᴇ ŋ
成例	d͡ʑ i ᴇ ŋ
成功	d͡ʑ i ᴇ ŋ
成周	d͡ʑ i ᴇ ŋ
成婚	d͡ʑ i ᴇ ŋ
成文	d͡ʑ i ᴇ ŋ
成群	d͡ʑ i ᴇ ŋ
成都	d͡ʑ i ᴇ ŋ
我	ŋ ɑ X
我執	ŋ ɑ X
我慢	ŋ ɑ X
我曹	ŋ ɑ X
我聞如是	ŋ ɑ X
我輩	ŋ ɑ X
戒	kˠ ɛ i H
戒律	kˠ ɛ i H
戒心	kˠ ɛ i H
戔	d͡z ɑ n
戕	k ɑ
或	ɦ w ə k̚
或曰	ɦ w ə k̚
戚	t͡sʰ e k̚
戚戚	t͡sʰ e k̚
戛	kˠ ɛ t̚
戜	d e t̚
戟	kˠ i æ k̚
戠	t͡ɕ ɨ k̚
戡	kʰ ʌ m
戡	ʈˠ i ɪ m X
戢	t͡ʃ i ɪ p̚
戣	ɡˠ i u ɪ
戤	ɡ ʌ i H
戩	t͡s i ᴇ n X
截	d͡z e t̚
戭	j i ɪ n X
戮	l ɨ u k̚
戰	t͡ɕ i ᴇ n H
戰功	t͡ɕ i ᴇ n H
戰場	t͡ɕ i ᴇ n H
戰士	t͡ɕ i ᴇ n H
戰慄	t͡ɕ i ᴇ n H
戰戰兢兢	t͡ɕ i ᴇ n H
戰艦	t͡ɕ i ᴇ n H
戰越	t͡ɕ i ᴇ n H
戲	h u o
戲	hˠ i ᴇ
戲	hˠ i ᴇ H
戲弄	hˠ i ᴇ H
戲謔	hˠ i ᴇ H
戴	t ʌ i H
戴勝	t ʌ i H
戵	ɡ ɨ o
戶	ɦ u o X
戶限	ɦ u o X
戺	d͡ʒ ɨ X
戻	tʰ e i H
戽	h u o X
戾	l e i H
戾天	l e i H
房	b ɑ ŋ
房	b ʉ ɐ ŋ
所	ʃ ɨ ʌ X
所以	ʃ ɨ ʌ X
所在	ʃ ɨ ʌ X
扁	p e n X
扁	pʰ i ᴇ n
扂	d e m X
扃	k w e ŋ
扅	j i ᴇ
扆	ʔ ɨ i X
扇	ɕ i ᴇ n
扇	ɕ i ᴇ n H
扈	ɦ u o X
扉	p ʉ i
扊	j i ᴇ m X
手	ɕ ɨ u X
手書	ɕ ɨ u X
手簡	ɕ ɨ u X
手足	ɕ ɨ u X
才	d͡z ʌ i
才智	d͡z ʌ i
才望	d͡z ʌ i
才能	d͡z ʌ i
才調	d͡z ʌ i H
扎	t͡ʃˠ ɛ t̚
扏	ɡ ɨ u
扐	l ə k̚
扑	pʰ u k̚
扒	pˠ i ᴇ t̚
扒	pˠ ɛ i H
扒	pˠ ɛ t̚
打	tˠ æ ŋ X
扔	ȵ ɨ ŋ
扔	ȵ ɨ ŋ H
扚	t e u X
扛	kˠ ʌ ŋ
扛鼎	kˠ ʌ ŋ
扜	h ɨ o
扝	kʰ u o
扝	ʔ u o
扞	ɦ ɑ n H
扟	ʃ ɪ n
扠	ʈʰˠ ɛ
扡	j i ᴇ X
扢	k ɨ t̚
扣	kʰ ə u X
扤	ŋ ʉ ɐ t̚
扭	ɳ ɨ u X
扮	hˠ u ɛ X
扮	p ɨ u n
扮	p ɨ u n X
扮	pˠ ɛ n H
扯	t͡ɕʰ i a X
扱	t͡ʃʰˠ ɛ p̚
扳	pʰˠ a n
扳	pˠ a n
扴	kˠ ɛ t̚
扶	b ɨ o
扶	p ɨ o
扶助	b ɨ o
扶南	b ɨ o
扶搖	b ɨ o
扶蘇	b ɨ o
批	pʰ e i
扺	t͡ɕ i ᴇ X
扼	ʔˠ ɛ k̚
扽	t u ə n H
承	d͡ʑ ɨ ŋ
技	ɡˠ i ᴇ X
抁	j i u ᴇ n X
抃	bˠ i ᴇ n H
抄	t͡ʃʰˠ a u
抆	m ɨ u n X
抇	ɦ u ə t̚
抈	ŋ ʉ ɐ t̚
抉	k w e t̚
把	pˠ a X
抌	j ɨ u
抍	ɕ ɨ ŋ
抎	ɦ ɨ u n X
抏	ŋ u ɑ n
抐	n u ə n H
抑	ʔ ɨ k̚
抒	z ɨ ʌ X
抓	t͡ʃˠ a u
抔	pʰ u ʌ i
投	d ə u
投畀豺虎	d ə u
投降	d ə u
抖	t ə u X
抖擻	t ə u X
抗	ɦ ɑ ŋ
折	d e i
折	d͡ʑ i ᴇ t̚
折	t͡ɕ i ᴇ t̚
折衝	t͡ɕ i ᴇ t̚
抧	t͡ɕ i ᴇ X
抨	pʰˠ ɛ ŋ
抩	n ʌ m
抪	p u o
抪	p u o H
披	pʰˠ i ᴇ
披靡	pʰˠ i ᴇ
抬	d ʌ i
抭	j i ᴇ u X
抮	h e n X
抯	t͡ʃˠ a
抱	b ɑ u X
抱頭鼠竄	b ɑ u X
抲	h ɑ
抳	ɳˠ i ᴇ X
抴	j i ᴇ i H
抵	t e i X
抶	ʈʰˠ i ɪ t̚
抹	m u ɑ t̚
抻	ɕ i ɪ n H
押	ʔˠ a p̚
抽	ʈʰ ɨ u
抾	kʰ ɨ
拂	pʰ ɨ u t̚
拂林	pʰ ɨ u t̚
拂林園	pʰ ɨ u t̚
拂菻	pʰ ɨ u t̚
拃	t͡ʃˠ a n X
拄	ʈ ɨ o X
拇	m ə u X
拇指	m ə u X
拈	n e m
拉	l ʌ p̚
拊	pʰ ɨ o X
拋	pʰˠ a u
拌	pʰ u ɑ n
拍	pʰˠ æ k̚
拎	l e ŋ
拏	ɳˠ a
拐	ɡˠ ɛ X
拑	ɡˠ i ᴇ m
拒	ɡ ɨ ʌ X
拓	tʰ ɑ k̚
拓	t͡ɕ i ᴇ k̚
拓跋	tʰ ɑ k̚
拔	b ʉ ɐ t̚
拔劍	b ʉ ɐ t̚
拔群	b ʉ ɐ t̚
拖	tʰ ɑ H
拗	ʔˠ a u X
拘	k ɨ o
拘留孫佛	k ɨ o
拘那含佛	k ɨ o
拙	t͡ɕ i u ᴇ t̚
拙荊	t͡ɕ i u ᴇ t̚
拚	p ɨ u n H
招	t͡ɕ i ᴇ u
招提	t͡ɕ i ᴇ u
招損	t͡ɕ i ᴇ u
招搖	t͡ɕ i ᴇ u
拜	pˠ ɛ i H
拫	ɦ ə n
括	k u ɑ t̚
拭	ɕ ɨ k̚
拮	k i ɪ t̚
拮据	k i ɪ t̚
拯	t͡ɕ ɨ ŋ X
拰	ɳˠ i ɪ m X
拱	k ɨ o ŋ X
拱辰	k ɨ o ŋ X
拲	k ɨ o ŋ X
拳	ɡˠ i u ᴇ n
拴	t͡sʰ i u ᴇ n
拵	d͡z u ə n
拶	t͡s u ɑ t̚
拸	j i ᴇ
拹	h ɨ ɐ p̚
拺	t͡ʃʰˠ ɛ k̚
拼	pˠ ɛ ŋ
拽	d͡ʒˠ u ɛ i
拾	d͡ʑ i ɪ p̚
拾掇	d͡ʑ i ɪ p̚
拾遺	d͡ʑ i ɪ p̚
持	ɖ ɨ
挃	ʈˠ i ɪ t̚
挅	t u ɑ H
挆	t u ɑ X
指	t͡ɕˠ i ɪ X
指摘	t͡ɕˠ i ɪ X
指日可待	t͡ɕˠ i ɪ X
指謫	t͡ɕˠ i ɪ X
指鹿為馬	t͡ɕˠ i ɪ X
挈	kʰ e t̚
按	ʔ ɑ n H
按出虎	ʔ ɑ n H
挋	t͡ɕ i ɪ n H
挌	l ɑ k̚
挎	kʰ u o
挏	d u ŋ
挐	ɳ ɨ ʌ
挑	d e u X
挑	tʰ e u
挑	tʰ ɑ u
挑達	tʰ ɑ u
挒	l i ᴇ t̚
挨	ʔˠ ɛ i X
挩	d u ɑ t̚
挪	n ɑ
挫	t͡s u ɑ H
挬	b u ə t̚
挭	kˠ æ ŋ X
挮	tʰ e i X
振	t͡ɕ i ɪ n
振	t͡ɕ i ɪ n H
振動	t͡ɕ i ɪ n H
振振	t͡ɕ i ɪ n
挰	ɖˠ æ ŋ
挲	s ɑ
挴	m u ʌ i X
挶	k ɨ o k̚
挸	k e n X
挹	ʔ i ɪ p̚
挺	d e ŋ
挻	ɕ i ᴇ n
挼	s u ʌ i
挽	m ʉ ɐ n X
挾	ɦ e p̚
捀	b ɨ o ŋ
捂	ŋ u o H
捃	k ɨ u n H
捄	k ɨ o
捄	ɡ ɨ u
捅	tʰ u ŋ X
捇	hˠ w ɛ k̚
捈	d u o
捉	t͡ʃˠ ʌ k̚
捉刀	t͡ʃˠ ʌ k̚
捊	bˠ a u
捋	l u ɑ t̚
捌	pˠ ɛ t̚
捍	ɦˠ a n X
捎	s i ᴇ u
捎	ʃˠ a u
捏	n e t̚
捐	j i u ᴇ n
捐軀	j i u ᴇ n
捒	ʃ ɨ ʌ H
捔	d͡ʒˠ ʌ k̚
捔	kˠ ʌ k̚
捕	b u o H
捕魚	b u o H
捖	ɦ u ɑ n
捘	t͡sʰ i u ɪ n
捠	pˠ ɛ ŋ
捥	ʔ u ɑ n H
捧	pʰ ɨ o ŋ X
捨	ɕ i a X
捩	l e i H
捫	m u ə n
捭	pˠ ɛ X
据	k ɨ ʌ
捲	ɡˠ i u ᴇ n
捲土重來	kˠ i u ᴇ n X
捳	ŋˠ ʌ k̚
捶	t͡ɕ i u ᴇ X
捷	d͡z i ᴇ p̚
捺	n ɑ t̚
捼	n u ɑ
捼	n u ʌ i
捽	d͡z i u ɪ t̚
捾	ʔ u ɑ t̚
掀	h ɨ ɐ n
掁	ɖˠ æ ŋ
掃	s ɑ u H
掃	s ɑ u X
掃地俱盡	s ɑ u X
掄	l i u ɪ n
掅	t͡sʰ e ŋ H
掇	t u ɑ t̚
授	d͡ʑ ɨ u H
授受	d͡ʑ ɨ u H
掉	d e u X
掉	ɳˠ ʌ k̚
掊	bˠ a u
掌	t͡ɕ ɨ ɐ ŋ X
掍	ɦ u ə n X
掎	kˠ i ᴇ
掏	d ɑ u
掐	kʰˠ ɛ p̚
排	bˠ ɛ i
掓	ɕ ɨ u k̚
掔	kʰˠ ɛ n
掕	l ɨ ŋ
掖	j i ᴇ k̚
掖庭	j i ᴇ k̚
掖門	j i ᴇ k̚
掘	ɡ ɨ u t̚
掛	kˠ u ɛ H
掛一漏萬	kˠ u ɛ H
掛名	kˠ u ɛ H
掛礙	kˠ u ɛ H
掜	ɳˠ ɛ
掝	hˠ w ɛ k̚
掞	ɕ i ᴇ m H
掟	d e ŋ H
掠	l ɨ ɐ ŋ H
採	t͡sʰ ʌ i X
採擷	t͡sʰ ʌ i X
探	tʰ ʌ m
掣	t͡ɕʰ i ᴇ i H
掤	p ɨ ŋ
接	t͡s i ᴇ p̚
接骨木	t͡s i ᴇ p̚
控	kʰ u ŋ H
控	kʰˠ ʌ ŋ
推	t͡ʃʰ i u ɪ
推移	t͡ʃʰ i u ɪ
掩	ʔˠ i ᴇ m X
掩𠆲	ʔˠ i ᴇ m X
措	t͡sʰ u o H
掫	t͡s ɨ o
掬	k ɨ u k̚
掾	j i u ᴇ n H
揀	kˠ ɛ n X
揂	t͡s ɨ u
揃	t͡s i ᴇ n X
揄	j ɨ o
揄揚	j ɨ o
揆	ɡ i u ɪ X
揇	n ʌ m X
揈	hˠ w ɛ ŋ
揉	ȵ ɨ u
揊	pʰ ɨ k̚
揌	s ʌ i
揎	s i u ᴇ n
描	mˠ i ᴇ u
提	d e i
提	d͡ʑ i ᴇ
提婆	d e i
提婆達多	d e i
提封	d͡ʑ i ᴇ
插	t͡ʃʰˠ ɛ p̚
揔	t͡s u ŋ X
揕	ʈˠ i ɪ m H
揖	ʔ i ɪ p̚
揖讓	ʔ i ɪ p̚
揗	z i u ɪ n
揘	ɦˠ w i æ ŋ
揙	p i ᴇ n
揚	j ɨ ɐ ŋ
揚州	j ɨ ɐ ŋ
換	ɦ u ɑ n H
揜	ʔ ɑ m X
揞	ʔ ʌ m X
揟	s ɨ ʌ
揠	ʔˠ ɛ t̚
握	ʔˠ ʌ k̚
握手	ʔˠ ʌ k̚
握齪	ʔˠ ʌ k̚
揢	kʰˠ æ k̚
揣	t u ɑ X
揣	t͡ʃʰˠ i u ᴇ X
揤	d͡z i ɪ t̚
揥	t e i
揧	l ɑ t̚
揨	ɖˠ ɛ ŋ
揩	kʰˠ ɛ i
揬	d u ə t̚
揭	k ɨ ɐ t̚
揭	kʰˠ i ᴇ i H
揭諦	ɡˠ i ᴇ t̚
揮	h ʉ i
揮斥	h ʉ i
揮霍	h ʉ i
揯	k ə ŋ H
揱	s i ᴇ u
揲	d e p̚
揲	j i ᴇ p̚
揲	ʑ i ᴇ t̚
揳	s e t̚
援	ɦ ʉ ɐ n
援引	ɦ ʉ ɐ n
揵	ɡˠ i ᴇ n
搄	k ə ŋ
搆	k ə u H
搈	j ɨ o ŋ
搉	kʰˠ ʌ k̚
搉	kˠ ʌ k̚
搊	t͡ʃ ɨ o
搋	ʈʰˠ ɛ i
搌	ʈˠ i ᴇ n X
損	s u ə n X
損益	s u ə n X
搎	s u ə n
搏	p ɨ o H
搑	ȵ ɨ o ŋ
搒	bˠ æ ŋ
搒	p ɑ ŋ H
搓	t͡sʰ ɑ
搔	s ɑ u
搕	ʔ ʌ p̚
搖	j i ᴇ u
搖曳	j i ᴇ u
搗	t ɑ u X
搙	n ə u H
搚	l ʌ p̚
搢	t͡s i ɪ n H
搢紳	t͡s i ɪ n H
搣	m i ᴇ t̚
搥	t u ʌ i
搦	ɳˠ ʌ k̚
搩	ɡˠ i ᴇ t̚
搪	d ɑ ŋ
搫	b u ɑ n
搭	tʰ ɑ p̚
搮	l i ɪ t̚
搯	tʰ ɑ u
搰	ɦ u ə t̚
搴	kˠ i ᴇ n X
搵	ʔ u ə n H
搵	ʔ u ə t̚
搶	t͡sʰ ɨ ɐ ŋ
搷	d e n
搸	t͡ʃ ɪ n
搹	kˠ ɛ k̚
摋	s ɑ t̚
摌	ʃˠ ɛ n X
摍	ʃ ɨ u k̚
摎	kˠ a u
摏	ɕ ɨ o ŋ
摐	t͡sʰ ɨ o ŋ
摑	kˠ w ɛ k̚
摒	p i ᴇ ŋ H
摕	t e i H
摖	t͡sʰ e i H
摗	s ə u
摘	tʰ e k̚
摘	ʈˠ ɛ k̚
摙	l i ᴇ n X
摛	ʈʰˠ i ᴇ
摜	kˠ u a n H
摞	l u ɑ
摟	l ɨ o
摡	h ɨ i H
摣	ɳˠ a
摦	ɦˠ u a H
摧	d͡z u ʌ i
摨	ɳˠ ɛ i
摩	m u ɑ
摩揭陀	m u ɑ
摩睺羅伽	m u ɑ
摩竭提	m u ɑ
摩羅	m u ɑ
摩羯	m u ɑ
摩訶	m u ɑ
摩訶婆羅多	m u ɑ
摩訶波闍波提	m u ɑ
摩訶羅	m u ɑ
摩訶薩埵	m u ɑ
摩那婆	m u ɑ
摫	k i u ᴇ
摬	ʔˠ i æ ŋ X
摭	t͡ɕ i ᴇ k̚
摮	ŋ ɑ u
摯	t͡ɕ i ɪ H
摲	t͡ʃʰˠ a m H
摳	kʰ ɨ o
摴	ʈʰ ɨ ʌ
摵	ʃ ɨ u k̚
摶	d u ɑ n
摷	l e u
摸	m u o
摸	m ɑ k̚
摹	m u o
摺	l ʌ p̚
摺	t͡ɕ i ᴇ p̚
摻	ʃˠ ɛ m
摻	ʃˠ ɛ m X
摼	kʰˠ ɛ ŋ
摽	b i ᴇ u X
摽	pʰ i ᴇ u
撅	k ʉ ɐ t̚
撈	l ɑ u
撋	ȵ i u ᴇ n
撍	t͡ʃˠ i ɪ m
撏	z i ɪ m
撐犁	l e i
撓	h ɑ u
撕	s e i
撖	kʰ ʌ m
撘	t ʌ p̚
撙	t͡s u ə n X
撚	n e n X
撛	l i ɪ n X
撜	t͡ɕ ɨ ŋ X
撝	hˠ i u ᴇ
撞	ɖˠ ʌ ŋ
撟	kˠ i ᴇ u X
撠	kˠ i æ k̚
撢	j i ɪ m
撢	tʰ ʌ m
撣	d ɑ n
撣	d ɑ n H
撣	d͡ʑ i ᴇ n
撤	ɖˠ i ᴇ t̚
撥	p u ɑ t̚
撥亂反正	p u ɑ t̚
撥拔力	p u ɑ t̚
撨	s e u
撩	l e u
撩	l e u X
撫	pʰ ɨ o X
撫掌	pʰ ɨ o X
播	p u ɑ H
撮	t͡s u ɑ t̚
撰	d͡ʒˠ u a n X
撱	j i u ᴇ X
撲	pʰ u k̚
撳	kʰ i ɪ m H
撻	tʰ ɑ t̚
撼	ɦ ʌ m X
撿	l i ᴇ m X
擁	ʔ ɨ o ŋ X
擃	ɳˠ ʌ ŋ X
擄	l u o X
擅	d͡ʑ i ᴇ n H
擆	ʈ ɨ ɐ k̚
擇	ɖˠ æ k̚
擉	t͡ʃʰˠ ʌ k̚
擊	k e k̚
擋	t ɑ ŋ H
擌	ʃˠ ɛ k̚
操	t͡sʰ ɑ u
操	t͡sʰ ɑ u H
操心	t͡sʰ ɑ u
擎	ɡˠ i æ ŋ
擐	kˠ u a n
擒	ɡˠ i ɪ m
擔	t ɑ m
擔	t ɑ m H
擖	kʰˠ ɛ t̚
擗	b i ᴇ k̚
擘	pˠ ɛ k̚
據	k ɨ ʌ H
擟	m i ᴇ
擠	t͡s e i
擢	ɖˠ ʌ k̚
擢升	ɖˠ ʌ k̚
擣	t ɑ u X
擨	j i a
擨歈	j i a
擩	ȵ i u ɪ
擪	ʔ i ᴇ m X
擬	ŋ ɨ X
擭	ɦ w ɑ k̚
擭	ʔˠ w i æ k̚
擯	p i ɪ n H
擲	ɖ i ᴇ k̚
擳	t͡ʃ ɪ t̚
擴	ɦ w ɑ ŋ H
擷	ɦ e t̚
擸	l i ᴇ p̚
擸	l ɑ p̚
擺	pˠ ɛ X
擻	s ə u X
擽	l ɨ ɐ k̚
擾	ȵ i ᴇ u X
擾亂	ȵ i ᴇ u X
擿	ɖ i ᴇ k̚
攀	pʰˠ a n
攀援	pʰˠ a n
攀緣	pʰˠ a n
攂	l u ʌ i H
攃	s ɑ t̚
攄	ʈʰ ɨ ʌ
攇	h ɨ ɐ n X
攉	h w ɑ k̚
攋	l ɑ t̚
攍	j i ᴇ ŋ
攎	l u o
攏	l u ŋ X
攐	kʰˠ i ᴇ n
攑	kʰ ɨ ɐ n
攔	l ɑ n
攕	ʃˠ ɛ m
攖	ʔ i ᴇ ŋ
攗	mˠ i ɪ
攘	ȵ ɨ ɐ ŋ
攘	ȵ ɨ ɐ ŋ H
攘	ȵ ɨ ɐ ŋ X
攘奪	ȵ ɨ ɐ ŋ
攙	d͡ʒˠ ɛ m
攛	t͡sʰ u ɑ n
攛掇	t͡sʰ u ɑ n
攜	ɦ w e i
攝	n e p̚
攝	ɕ i ᴇ p̚
攝提	ɕ i ᴇ p̚
攡	l i ᴇ
攢	d͡z u ɑ n H
攢	t͡s ɑ n H
攣	l i u ᴇ n
攤	n ɑ n X
攤	tʰ ɑ n
攥	t͡s u ɑ t̚
攪	kˠ a u X
攫	k ʉ ɐ k̚
攬	l ɑ m X
支	t͡ɕ i ᴇ
支吾	t͡ɕ i ᴇ
支那	t͡ɕ i ᴇ
攱	kˠ i u ᴇ X
攲	kʰˠ i ᴇ
攲	kˠ i ᴇ
攴	pʰ u k̚
收	ɕ ɨ u
攸	j ɨ u
改	k ʌ i X
改元	k ʌ i X
改年	k ʌ i X
改悔	k ʌ i X
改革	k ʌ i X
攺	j ɨ X
攺	z ɨ X
攻	k u ŋ
攻城	k u ŋ
攻擊	k u ŋ
攽	pˠ i ɪ n
放	p ʉ ɐ ŋ H
放	p ʉ ɐ ŋ X
放債	p ʉ ɐ ŋ H
放心	p ʉ ɐ ŋ H
放流	p ʉ ɐ ŋ H
放浪	p ʉ ɐ ŋ H
放浪形骸	p ʉ ɐ ŋ H
放縱	p ʉ ɐ ŋ H
放肆	p ʉ ɐ ŋ H
放蕩	p ʉ ɐ ŋ H
政	t͡ɕ i ᴇ ŋ H
政府	t͡ɕ i ᴇ ŋ H
敀	pˠ æ k̚
敁	t e m
敁敠	t e m
敃	mˠ i ɪ n X
故	k u o H
故事	k u o H
故人	k u o H
故國	k u o H
故鄉	k u o H
效	ɦˠ a u H
敉	m i ᴇ X
敊	ʈʰ ɨ u k̚
敏	mˠ i ɪ n X
敐	d͡ʑ i ɪ n
救	k ɨ u H
救急	k ɨ u H
救濟	k ɨ u H
敔	ŋ ɨ ʌ X
敕	ʈʰ ɨ k̚
敕令	ʈʰ ɨ k̚
敖	ŋ ɑ u
敗	bˠ a i H
敗北	bˠ a i H
敘	z ɨ ʌ X
教	kˠ a u
教	kˠ a u H
教化	kˠ a u H
教民	kˠ a u H
教育	kˠ a u H
教頭	kˠ a u H
敜	n e p̚
敝	b i ᴇ i H
敝邑	b i ᴇ i H
敞	t͡ɕʰ ɨ ɐ ŋ X
敞怳	t͡ɕʰ ɨ ɐ ŋ X
敠	t u ɑ t̚
敡	j i ᴇ H
敢	k ɑ m X
敢問	k ɑ m X
敢死	k ɑ m X
散	s ɑ n H
散	s ɑ n X
散人	s ɑ n X
散策	s ɑ n H
敤	kʰ u ɑ X
敦	d u ɑ n
敦	t u ə n
敦	t u ə n H
敦	t u ʌ i
敦煌	t u ə n
