ং	ŋ
বর্ণ	b ɔ ɾ n o
বর্ণনা	b ɔ ɾ n o n a
বর্ণমালা	b ɔ ɾ n o m a l a
বর্তমান	b ɔ ɾ t̪ o m a n
বর্ধমান	b ɔ ɾ d̪ʱ o m a n
বর্মা	b ɔ r m a
বর্ষ	b ɔ r ʃ ɔ
বর্ষণবিধৌত	b ɔ ɾ ʃ ɔ n b i d̪ʱ o u̯ t̪
বর্ষপঞ্জি	b ɔ ɾ ʃ o p o n d ʒ i
বর্ষা	b ɔ ɾ ʃ a
বলকান	b ɔ l o k a n
বলদ	b ɔ l o d̪
বলা	b ɔ l a
বলিউড	b o l i u̯ ɖ
বলিদান	b o l i d̪ a n
বল্টু	b ɔ l ʈ u
বশির	b o ʃ i ɾ
বস	b ɔ s
বসন্ত	b ɔ ʃ o n t̪ o
বসবাস	b ɔ s o b a ʃ
বসবাসকারী	b ɔ s o b a ʃ k a ɾ i
বসা	b ɔ ʃ a
বসু	b ɔ ʃ u
বসুন্ধরা	b o ʃ u n d̪ʱ ɔ ɾ a
বস্তা	b ɔ s t̪ a
বস্তু	b ɔ s t̪ u
বহু	b o ɦ u
বহুব্রীহি	b o ɦ u b ɾ i ɦ i
বহেড়া	b ɔ ɦ e ɽ a
বহেড়া	b ɔ ɦ e ɾ a
বা	b a
বাঁ	b ã
বাঁকা	b ã k a
বাঁচন	b ã t ʃ ɔ n
বাঁচা	b ã t ʃ a
বাঁচাও	b ã c a o
বাঁড়া	b ã ɽ a
বাঁড়া	b ã ɾ a
বাঁদর	b ã d̪ o ɾ
বাঁধ	b ã d̪ʱ
বাঁশরি	b ã ʃ o ɾ i
বাঁশরী	b ã ʃ o ɾ i
বাঁশি	b ã ʃ i
বাংলা	b a ŋ l a
বাংলাদেশ	b a ŋ l a d̪ e ʃ
বাংলাদেশী	b a ŋ l a d̪ e ʃ i
বাংলাদেশে	b a ŋ l a d̪ e ʃ e
বাংলায়	b a ŋ l a e̯
বাঃ	b aʱ
বাইচ	b a i̯ t ʃ
বাইট	b a i̯ ʈ
বাইবেল	b a i̯ b e l
বাউল	b a u̯ l
বাকি	b a k i
বাকী	b a k i
বাক্য	b a kː o
বাক্স	b a k ʃ o
বাগ	b a ɡ
বাগধারা	b a ɡ d̪ʱ a ɾ a
বাগান	b a ɡ a n
বাগার	b a ɡ a ɾ
বাগিচা	b a ɡ i t ʃ a
বাগেরহাট	b a ɡ e ɾ ɦ a ʈ
বাঘ	b a ɡʱ
বাঘিনি	b a ɡʱ i n i
বাঙালি	b a ŋ a l i
বাঙ্গালী	b a ŋ ɡ a l i
বাচাল	b a t ʃ a l
বাচ্চা	b a t ʃː a
বাছা	b a t ʃʰ a
বাছাই	b a t ʃʰ a i̯
বাছুর	b a t ʃʰ u ɾ
বাজ	b a d ʒ
বাজ	b a z
বাজা	b a d ʒ a
বাজানো	b a d ʒ a n o
বাজার	b a d ʒ a ɾ
বাজার	b a z a ɾ
বাজে	b a d ʒ e
বাটপাড়	b a ʈ p a ɽ
বাটপাড়	b a ʈ p a ɾ
বাটি	b a ʈ i
বাড়া	b a ɽ a
বাড়া	b a ɾ a
বাড়ি	b a ɽ i
বাড়ি	b a ɾ i
বাড্ডা	b a ɖː a
বাত	b a t̪
বাত	b á t̪
বাতাস	b a t a ʃ
বাদ	b a d̪
বাদক	b a d̪ ɔ k
বাদশাজাদা	b a d̪ ʃ a d ʒ a d̪ a
বাদশাহ	b a d̪ ʃ a
বাদাম	b a d̪ a m
বাদুড়	b a d̪ u ɽ
বাদুড়	b a d̪ u ɾ
বান	b a n
বানর	b a n o ɾ
বানান	b a n a n
বানানো	b a n a n o
বান্দর	b a n d̪ o ɾ
বান্দরবান	b a n d̪ o ɾ b a n
বান্ধবী	b a n d̪ʱ o b i
বাপ্তিস্ম	b a p t̪ i s m o
বাবলা	b a b l a
বাবা	b a b a
বাবু	b a b u
বাবুই	b a b u̯ i
বাবুর্চি	b a b u ɾ t ʃ i
বাম	b a m
বায়ু	b a j u
বার	b a ɾ
বারণ	b a r o n
বারাণসী	b a ɾ a n o ʃ i
বারান্দা	b a ɾ a n d̪ a
বারি	b a ɾ i
বারিধারা	b a ɾ i d̪ʱ a ɾ a
বারুশ	b a ɾ u ʃ
বারো	b a ɾ o
বার্তাকু	b a ɾ t̪ a k u
বার্মা	b a r m a
বাল	b a l
বালতি	b a l t̪ i
বালি	b a l i
বালিশ	b a l i ʃ
বাল্যবিবাহ	b a lː o b i b a ɦ o
বাষ্প	b a ʃ p o
বাস	b a s
বাস	b a ʃ
বাসনা	b a ʃ n a
বাসনা	b a ʃ o n a
বাসন্তী	b a ʃ o n t̪ i
বাসমতী	b a ʃ m ɔ t̪ i
বাসা	b a ʃ a
বাহ	b aʱ
বাহাউদ্দিন	b a ɦ a u̯ d̪ː i n
বাহানা	b a ɦ a n a
বাহার	b a ɦ a ɾ
বাহির	b a ɦ i ɾ
বিকাল	b i k a l
বিচার	b i t ʃ a ɾ
বিচ্ছিরি	b i t ʃʰː i ɾ i
বিছানা	b i t ʃʰ a n a
বিছানো	b i t ʃʰ a n o
বিজয়	b i d ʒ ɔ e̯
বিজলী	b i d ʒ l i
বিজেপি	b i d͡ʒ e p i
বিজ্ঞান	b i ɡː a n
বিজ্ঞান	b i ɡː æ n
বিজ্ঞানী	b i ɡː æ n i
বিজ্ঞাপন	b i ɡː a p o n
বিড়াল	b i ɽ a l
বিড়াল	b i ɾ a l
বিড়ি	b i ɽ i
বিড়ি	b i ɾ i
বিদায়	b i d̪ a e̯
বিদেশ	b i d̪ e ʃ
বিদেশি	b i d̪ e ʃ i
বিদেশিনী	b i d̪ e ʃ i n i
বিদ্যা	b i d̪ː a
বিদ্যালয়	b i d̪ː a l ɔ e̯
বিদ্যাসাগর	b i d̪ d̪ ɑ ʃ ɑ ɡ ɔ ɾ
বিদ্যুৎ	b i d d u t
বিধবা	b i d̪ʱ o b a
বিনষ্ট	b i n ɔ ʃ ʈ o
বিনা	b i n a
বিনোদ	b i n o d̪
বিন্দু	b i n d̪ u
বিপরীতকামী	b i p o ɾ i t̪ k a m i
বিপাশা	b i p a ʃ a
বিবাদ	b i b ɑ d̪
বিবাহ	b i b a ɦ o
বিবেক	b i b e k
বিভাগ	b i bʱ a ɡ
বিভাজন	b i bʱ a d ʒ ɔ n
বিভিন্ন	b i bʱ i nː o
বিভিন্নতা	b i bʱ i nː o t̪ a
বিভিন্নতা	b i bʱ i nː ɔ t̪ a
বিমল	b i m ɔ l
বিমা	b i m a
বিমানবন্দর	b i m ɑ n b ɔ n d̪ ɔ ɾ
বিয়াই	b i̯ a i̯
বিয়ান	b i̯ a n
বিয়ে	b i̯ e
বিরল	b i ɾ ɔ l
বিরান	b i ɾ a n
বিরিয়ানি	b i ɾ i̯ a n i
বিরুদ্ধে	b i ɾ u d̪ʱː e
বিলাতি	b i l a t̪ i
বিলিতি	b i l i t̪ i
বিলেতি	b i l e t̪ i
বিল্ব	b i l l o
বিশ	b i ʃ
বিশাল	b i ʃ a l
বিশেষ	b i ʃ e ʃ
বিশেষজ্ঞ	b i s̠ e s̠ ɔ̜ ɡː o
বিশেষজ্ঞ	b i s̠ e s̠ ɔ̜ ɡː õ
বিশেষজ্ঞ	b i ʃ e ʃ ɔ ɡ ɡ ɔ
বিশেষণ	b i ʃ e ʃ ɔ n
বিশেষ্য	b i ʃ e ʃː o
বিশ্ব	b i ʃː o
বিশ্ববিদ্যালয়	b i ʃː o b i d̪ː a l ɔ e̯
বিশ্বব্যাপী	b i ʃː o b æ p i
বিশ্বভারতী	b i s̠ː o bʱ ä ɾ o t̪ i
বিশ্বভারতী	b i ʃ ʃ ɔ bʱ ɑ ɾ ɔ t̪ i
বিশ্বযুদ্ধ	b i ʃː ɔ d ʒ u d̪ʱː o
বিশ্বশক্তি	b i ʃː ɔ ʃ ɔ k t̪ i
বিশ্বস্ত	b i ʃː ɔ s t̪ o
বিশ্বাস	b i ʃː a ʃ
বিশ্রী	b i s ɾ i
বিষ	b i ʃ
বিষয়	b i ʃ ɔ e̯
বিষয়ে	b i ʃ ɔ e
বিষ্টু	b i ʃ ʈ u
বিষ্যুদবার	b i ʃː u d̪ b a ɾ
বিসমিল্লাহ	b i s m i lː a
বিসর্গ	b i ʃ ɔ r ɡ o
বিস্কুট	b i s k u ʈ
বিস্তারিত	b i s t̪ a ɾ i t̪ o
বিহার	b i ɦ a ɾ
বিহ্বল	b i u̯ bʱ ɔ l
বীচি	b i s i
বীচি	b i t s i
বীচি	b i t ʃ i
বীজ	b i d ʒ
বীজঘ্ন	b i d ʒ ɔ ɡʱ n o
বীজাণু	b i d ʒ a n u
বীণা	b i n a
বীর	b i ɾ
বুঝতে	b u d ʒʱ t̪ e
বুত	b u t̪
বুদাপেস্ট	b u d̪ a p e s ʈ
বুদাপেস্ট	b u d̪ a p e ʃ ʈ
বুদ্ধি	b u d̪ʱː i
বুধবার	b u d̪ʱ b a ɾ
বুভুক্ষা	b u bʱ u k kʰ ɑ
বুর্সা	b u ɾ s a
বুলবুল	b u l b u l
বুশরা	b u ʃ ɾ a
বৃক্ক	b ɾ i kː o
বৃক্ষ	b r i k kʰ o
বৃশ্চিক	b r i ʃ t ʃ i k
বৃশ্চিকদংশন	b ɾ i ʃ t ʃ i k ɔ d̪ o ŋ ʃ ɔ n
বৃষ্টি	b ɾ i ʃ ʈ i
বৃহস্পতি	b ɾ i ɦ ɔ ʃ p o t̪ i
বৃহস্পতিবার	b ɾ i ɦ ɔ ʃ p o t̪ i b a ɾ
বে	b e
বেইজিং	b e i d ʒ i ŋ
বেওয়াকেফ	b e o̯ a k e f
বেকুব	b e k u b
বেগ	b e ɡ
বেগম	b e ɡ o m
বেগুন	b e ɡ u n
বেচারা	b e t ʃ a ɾ a
বেটা	b æ ʈ a
বেড়াল	b e ɽ a l
বেদনা	b e d̪ o n a
বেদানা	b e d a n a
বেদে	b e d̪ e
বেনারস	b e n a ɾ ɔ ʃ
বেপরোয়া	b e p ɔ ɾ o̯ a
বেরাদর	b e ɾ a d̪ ɔ ɾ
বেরোনো	b e r o n o
বেল	b e l
বেলফাস্ট	b e l f a s ʈ
বেলফাস্ট	b e l f a ʃ ʈ
বেলা	b æ l a
বেলারুশ	b e l a ɾ u ʃ
বেলি	b e l i
বেশী	b e ʃ i
বেশুমার	b e ʃ u m a ɾ
বেশ্যা	b e ʃː a
বেসন	b æ ʃ o n
বেসিং	b e s i ŋ
বেহালা	b e ɦ a l a
বেহেশ্ত	b e ɦ e s t̪
বেহেশ্ত	b e ɦ e ʃ t̪
বৈঁচি	b õ ĩ̯ c i
বৈকঙ্কত	b o i̯ k ɔ ŋ k ɔ t
বৈঠা	b o i̯ ʈʰ a
বৈশাখ	b o i̯ ʃ a kʰ
বৈশিষ্ট্য	b o i̯ ʃ i ʃ ʈː o
বৈশ্য	b o i ʃ ʃ o
বৈষ্ণব	b o i̯ ʃ n ɔ b
বোকা	b o k a
বোকাচোদা	b o k ɑ t͡ʃ o d̪ ɑ
বোজা	b o d ʒ a
বোঝা	b o d ʒʱ a
বোতল	b o t̪ o l
বোতাম	b o t̪ a m
বোধ	b o d̪ʱ
বোন	b o n
বোবা	b o b a
বোমা	b o m a
বোম্বাই	b o m b a i̯
বোরকা	b o ɾ k a
বোরকা	b o ɾ kʰ a
বোষ্টম	b o ʃ ʈ ɔ m
বোস	b o ʃ
বৌদ্ধ	b o u̯ d̪ʱː o
ব্যক্তি	b e k t̪ i
ব্যক্তিত্ব	b e k t i t t o
ব্যঞ্জন	b æ n d ʒ ɔ n
ব্যঞ্জনধ্বনি	b æ n d ʒ ɔ n d̪ʱ o n i
ব্যথা	b æ t̪ʰ a
ব্যবসা	b æ b ʃ a
ব্যবস্থা	b æ b o s t̪ʰ a
ব্যবহার	b æ b o ɦ a ɾ
ব্যস	b æ s
ব্যস্ত	b æ s t̪ o
ব্যাকরণ	b æ k ɾ o n
ব্যাঘ্র	b æ ɡʱ r ɔ
ব্যাঙ্ক	b æ ŋ k o
ব্যাঙ্কক	b æ ŋ k ɔ k
ব্যাটারি	b æ ʈ̟ ɑ ɾ i
ব্যাদ	b æ d̪
ব্যাধি	b æ dʱ i
ব্যাপক	b æ p ɔ k
ব্যাপার	b æ p a ɾ
ব্যায়াম	b e a m
ব্যায়াম	b æ a m
ব্যাস	b æ s
ব্রণ	b ɾ ɔ n
ব্রত	b ɾ o t̪ o
ব্রহ্মদেশ	b r ɔ m ɦ ɔ d e ʃ
ব্রহ্মপুত্র	b r o m m o p u t̪ ɹ o
ব্রাজিল	b ɾ a z i l
ব্রাহ্ম	b ɾ a m ɦ o
ব্রাহ্ম	b ɾ a mː o
ব্রাহ্মণ	b ɾ a m ɦ o n
ব্রাহ্মণ	b ɾ a mː o n
ব্রাহ্মণবাড়িয়া	b ɾ a m ɦ o n b a ɽ i̯ a
ব্রাহ্মণবাড়িয়া	b ɾ a mː o n b a ɾ i̯ a
ব্রিটেন	b ɾ i ʈ e n
ব্রোঞ্জ	b r o n d ʒ
ব্লগ	b l ɔ ɡ
বৎসর	b ɔ t̪ ʃ ɔ ɾ
ভ	bʱ o
ভগবান	bʱ ɔ ɡ o b a n
ভগাঙ্কুর	bʱ ɔ ɡ ɑ ŋ k u ɾ
ভগিনী	bʱ o ɡ i n i
ভট্টাচার্য	bʱ ɔ ʈː a t ʃ a ɾ d ʒ o
ভণ্ড	bʱ ɔ n ɖ o
ভদকা	bʱ ɔ d̪ o k a
ভদ্রলোক	bʱ ɔ d̪ ɾ o l o k
ভনভন	bʱ ɔ n bʱ ɔ n
ভব	bʱ ɔ b o
ভবিষ্যতে	bʱ o b i s̠ː ɔ̜ t̪ e
ভবিষ্যতে	bʱ ɔ b i ʃ ʃ ɔ t̪ e
ভবিষ্যদ্বাণী	bʱ o b i ʃː ɔ d̪ b a n i
ভবিষ্যৎ	bʱ o b i ʃː ɔ t̪
ভয়	bʱ ɔ e̯
ভরতনাট্যম	bʱ ɔ ɾ t̪ n a ʈː o m
ভরসা	bʱ ɔ ɾ o ʃ a
ভরা	bʰ ɔ r a
ভর্তা	bʱ ɔ ɾ t̪ a
ভাং	bʱ a ŋ
ভাই	bʱ a i̯
ভাইরাস	bʱ a i̯ ɾ a s
ভাগ	bʱ a ɡ
ভাগ্য	bʱ a ɡː o
ভাঙা	bʱ a ŋ a
ভাঙা	v a ŋ a
ভাজা	bʱ a d ʒ a
ভাটা	bʱ a ʈ a
ভাটি	bʱ a ʈ i
ভাড়া	bʱ a ɽ a
ভাড়া	bʱ a ɾ a
ভাড়াটিয়া	bʱ a ɽ a ʈ i̯ a
ভাড়াটে	bʱ a ɽ a ʈ e
ভাড়াটে	bʱ a ɾ a ʈ e
ভাণ্ডার	bʱ a n ɖ a ɾ
ভাত	bʱ a t̪
ভাতার	bʱ a t̪ a ɾ
ভাদ্র	bʱ a d̪ ɾ o
ভাব	bʱ a b
ভাবনা	bʱ a b n a
ভাবনা	bʱ a b ɔ n a
ভাবে	bʱ a b e
ভারত	bʱ a ɾ o t̪
ভারতীয়	bʱ a ɹ o t̪ i̯ o
ভারতে	bʱ a ɾ ɔ t̪ e
ভার্চুয়াল	bʱ a ɾ t ʃ u̯ a l
ভাল	bʱ a l
ভাল	bʱ a l o
ভালবাসা	bʱ a l ɔ b a ʃ a
ভালভা	bʱ a l bʱ a
ভালুক	bʱ a l u k
ভালুক	v a l u k
ভালো	bʱ a l o
ভালোনাম	bʱ a l o n a m
ভালোবাসা	bʱ a l o b a ʃ a
ভালোভাবে	bʱ a l o bʱ a b e
ভাল্লুক	bʱ a lː u k
ভাশুর	bʱ a ʃ u ɾ
ভাষা	bʱ a ʃ a
ভাসা	bʱ a ʃ a
ভাসুর	bʱ a ʃ u ɾ
ভাস্বর	bʱ a ʃː ɔ ɾ
ভিডিও	bʱ i ɖ i̯ o
ভিত	bʱ i t̪ o
ভিতরে	bʱ i t̪ ɔ ɾ e
ভিত্তি	bʱ i t̪ː i
ভিত্তিপ্রস্তর	bʱ i t̪ː i p ɾ o s t̪ ɔ ɾ
ভিয়েতনাম	v i j e t̪ n a m
ভিসা	bʱ i ʃ a
ভিসি	bʱ i ʃ i
ভুঁই	bʱ ũ i
ভুঁড়ি	bʱ ũ ɽ i
ভুঁড়ি	bʱ ũ ɾ i
ভুখ	bʱ u kʰ
ভুটান	bʱ u ʈ a n
ভুট্টা	bʱ u ʈː a
ভুবন	bʱ u b o n
ভুয়া	bʱ u̯ a
ভুল	bʱ u l
ভূত	bʱ u t̪
ভূমধ্যসাগর	bʱ u m o d dʱ ɔ ʃ a ɡ o r
ভূমি	bʱ u m i
ভূমিপুত্র	bʱ u m i p u t̪ ɾ o
ভেটা	bʱ e ʈ a
ভেড়া	bʱ æ ɽ a
ভেড়া	bʱ æ ɾ a
ভেড়া	bʱ æ̃ ɽ a
ভেড়া	bʱ æ̃ ɾ a
ভেতরে	bʱ e t̪ ɔ ɾ e
ভেস্তা	bʱ e ʃ t̪ ɑ
ভোগা	bʱ o ɡ a
ভোজপুর	bʱ o d ʒ p u ɾ
ভোদা	bʱ o d a
ভোর	bʱ o ɾ
ভৌম	bʱ o u̯ m o
ভ্রাতা	bʱ ɾ a t̪ a
ভ্লাদিমির	bʱ l a d̪ i m i ɾ
ম	m ɔ
মই	m ɔ i
মওলা	m ɔ o̯ l a
মওলানা	m ɔ o̯ l a n a
মকতব	m ɔ k t̪ o b
মকতব	m ɔ k t̪ ɔ b
মগজ	m ɔ ɡ o d ʒ
মঙ্গল	m ɔ ŋ ɡ ɔ l
মঙ্গলবার	m o ŋ ɡ o l b a ɾ
মঙ্গল্য	m o n ɡ o lː ɔ
মচমচে	m ɔ t ʃ m ɔ t ʃ e
মজদুর	m o d ʒ d̪ u ɾ
মজদুর	m o z d̪ u ɾ
মজলিস	m o d ʒ l i ʃ
মজলুম	m o d ʒ l u m
মজলুম	m o z l u m
মজা	m ɔ d ʒ a
মজুর	m ɔ d ʒ u ɾ
মঞ্জুঘোষ	m ɔ n d ʒ u ɡʱ o ʃ
মড়া	m ɔ ɽ a
মড়া	m ɔ ɾ a
মণি	m o n i
মণিপুর	m o n i p u ɾ
মণীশ	m o n i ʃ
মণ্ডল	m o n d o l
মণ্ডলী	m ɔ n ɖ o l i
মত	m o t̪ o
মত	m ɔ t̪
মত	m ɔ t̪ o
মতি	m o t̪ i
মতো	m ɔ t̪ o
মদ	m ɔ d̪
মদ্যপান	m ɔ d d o p a n
মধু	m o d̪ʱ u
মধুর	m o d̪ʱ u ɾ
মধ্য	m o d̪ʱː o
মধ্যে	m ɔ d̪ʱː e
মন	m o n
মন	m ɔ n o
মনপ্রাণ	m ɔ n p ɾ a n
মনমোহন	m ɔ n m ɔ ɦ ɔ n
মনসা	m ɔ n o ʃ a
মনিব	m o n i b
মনির	m o n i ɾ
মনিষ	m o n i ʃ
মনুষ্য	m o n u ʃː o
মনোব্যথা	m o n o b æ t̪ʰ a
মনোয়ার	m o n o̯ a ɾ
মনোয়ারা	m o n o̯ a ɾ a
মনোরমা	m o n o ɾ ɔ m a
মন্ত্রী	m o n t̪ ɾ i
মন্দ	m ɔ n d̪
মন্দ	m ɔ n d̪ o
মন্দ	m ɔ n d̪ ɔ
মন্দা	m ɔ n d a
মফস্বল	m ɔ f o ʃː ɔ l
মম	m ɔ m o
মমতাজ	m ɔ m o t̪ a d ʒ
মমতাজ	m ɔ m t̪ a d ʒ
ময়দা	m ɔ e̯ d̪ a
ময়দান	m ɔ e̯ d̪ a n
ময়না	m ɔ e̯ n a
ময়মনসিংহ	m ɔ e̯ m o n ʃ i ŋ ɦ o
ময়লা	m ɔʲ l a
ময়ূর	m ɔ j u ɹ
ময়ূর	m ɔ j u ɽ
ময়ূর	m ɔ j u ɾ
ময়ূরী	m ɔ j u ɹ i
ময়ূরী	m ɔ j u ɽ i
ময়ূরী	m ɔ j u ɾ i
মরজি	m o ɾ d ʒ i
মরণ	m ɒ ɹ ɒ n
মরণ	m ɔ ɾ ɔ n
মরদ	m ɔ ɾ ɔ d̪
মরহুম	m o ɾ ɦ u m
মরহুমা	m o ɾ ɦ u m a
মরা	m ɔ ɾ a
মরামাস	m ɔ ɾ a m a ʃ
মরিচ	m o ɾ i t ʃ
মরিয়ম	m o ɾ i̯ o m
মরিশাস	m ɔ ɾ i ʃ a s
মরুভূমি	m o r u bʱ u m i
মর্তমান	m ɔ ɾ t̪ ɔ m a n
মর্দ	m ɔ r d ɔ
মর্দনী	m ɔ r d ɔ n i
মলম	m ɔ l o m
মলাট	m ɔ l a ʈ
মল্লিকা	m o lː i k a
মশলা	m ɔ ʃ l a
মশাই	m ɔ ʃ a i̯
মশারি	m ɔ ʃ a ɾ i
মশাল	m ɔ ʃ a l
মসজিদ	m o s d ʒ i d̪
মসজিদ	m o ʃ d ʒ i d̪
মস্করা	m ɔ ʃ k ɔ ɾ a
মস্তিষ্ক	m o s t̪ i ʃ k o
মহব্বত	m ɔ ɦ o bː ɔ t̪
মহা	m ɔ ɦ a
মহাদেশ	m ɔ ɦ a d̪ e ʃ
মহাপুরুষ	m ɔ ɦ ɑ p u ɾ u ʃ
মহাভারত	m ɔ ɦ ɑ bʱ ɑ ɾ ɔ t̪
মহারাষ্ট্র	m ɔ ɦ a ɾ a ʃ ʈ ɾ o
মহাসাগর	m ɔ ɦ a ʃ a ɡ ɔ ɾ
মহাসিন্ধু	m ɔ ɦ a ʃ i n d̪ʱ u
মহিলা	m o ɦ i l a
মহিষ	m o ɦ i ʃ
মহীশূর	m o ɦ i ʃ u ɾ
মহেন্দ্র	m ɔ ɦ e n d̪ ɾ o
মা	m a
মাং	m a ŋ
মাংস	m a ŋ ʃ ɔ
মাইক	m a i̯ k
মাইক্রোনেশিয়া	m a i̯ k ɾ o n e ʃ i̯ a
মাকড়শা	m a k ɔ ɽ ʃ ɑ
মাকড়শা	m a k ɔ ɾ ʃ ɑ
মাকড়সা	m a k ɔ ɽ ʃ ɑ
মাকড়সা	m a k ɔ ɾ ʃ ɑ
মাখন	m a kʰ o n
মাখা	m a kʰ a
মাগ	m a ɡ
মাগফিরাত	m a ɡ f i ɾ a t̪
মাগরিব	m a ɡ ɾ i b
মাগরেবী	m a ɡ ɾ e b i
মাগী	m a ɡ i
মাগুর	m a ɡ u ɾ
মাঘ	m a ɡʱ
মাঙ্গা	m a ŋ ɡ a
মাচান	m a t ʃ a n
মাজা	m a d ʒ a
মাজার	m a d ʒ a ɾ
মাঝ	m a d ʒʱ
মাঝে	m a d ʒʱ e
মাটি	m a ʈ i
মাঠ	m a ʈʰ
মাড়	m a ɽ
মাড়া	m a ɽ a
মাড়া	m a ɾ a
মাড়ি	m a ɽ i
মাতা	m a t̪ a
মাতৃ	m ɑ t̪ ɾ i
মাতৃভাষা	m ɑ t̪ ɾ i bʱ ɑ ʃ ɑ
মাত্র	m a t̪ ɾ o
মাথা	m a tʰ a
মাদল	m a d̪ ɔ l
মাদারবোর্ড	m ɑ d̪ ɑ ɾ b o ɾ d̪
মাধ্যমে	m a d̪ʱː ɔ m e
মাননীয়	m ɑ n ɔ n i ɔ
মাননীয়া	m ɑ n ɔ n i ɑ
মানব	m a n o b
মানবজাতি	m a n o b d ʒ a t̪ i
মানসিক	m a n o ʃ i k
মানা	m a n a
মানুষ	m a n u ʃ
মানে	m a n e
মাপা	m a p a
মাফ	m a f
মামড়ি	m a m ɽ i
মামড়ি	m a m ɾ i
মামলা	m a m l a
মামা	m a m a
মামুলী	m a m u l i
মায়া	m a e̯ a
মায়ানমার	m a e̯ a n m a r
মারা	m a ɾ a
মারুফ	m a ɾ u f
মার্কসবাদ	m a ɾ k s b a d̪
মার্কসবাদ	m a ɾ k ʃ b a d̪
মার্কা	m a ɾ k a
মার্কিন	m a ɾ k i n
মার্চ	m a ɾ t ʃ
মাল	m a l
মালদা	m a l d̪ a
মালদ্বীপ	m a l d̪ i p
মালয়েশিয়া	m a l e ʃ i a
মালা	m a l a
মালাউন	m a l a u̯ n
মালিক	m a l i k
মালিকানা	m a l i k a n a
মালূর	m a l u ɾ
মাশাআল্লাহ	m a ʃ a lː a
মাস	m a ʃ
মাসকালাই	m a s k a l a i̯
মাসি	m a ʃ i
মাসুদ	m a s u d̪
মাস্টার	m a s ʈ a ɾ
মাস্টার	m a ʃ ʈ a ɾ
মাস্টারমশাই	m a s ʈ a ɾ ɔ m ʃ a i̯
মাস্টারমশাই	m a ʃ ʈ a ɾ ɔ m ʃ a i̯
মাহতাব	m a ɦ t̪ a b
মাহদি	m a ɦ a d̪ i
মাহদি	m a ɦ d̪ i
মাহদি	m e ɦ d̪ i
মাহদি	m e ɦ e d̪ i
মাহফিল	m a ɦ f i l
মাহফুজ	m a ɦ f u z
মাহমূদ	m a ɦ m u d̪
মাহির	m a ɦ i ɾ
মাহীন	m a ɦ i n
মাহুত	m a ɦ u t̪
মিউজিয়াম	m i u̯ d ʒ i̯ a m
মিউনিখ	m i u n i kʰ
মিছিল	m i t ʃʰ i l
মিজান	m i d ʒ a n
মিঞা	m i̯ ã
মিটা	m i ʈ a
মিঠা	m i ʈʰ a
মিত্র	m i t̪ ɾ o
মিথেন	m i t̪ʰ e n
মিথ্যা	m i t̪ʰː a
মিথ্যুক	m i t̪ʰː u k
মিনসা	m i n ʃ a
মিনার	m i n a ɾ
মিনিট	m i n i ʈ
মিয়ানমার	m i a n m a r
মিশর	m i ʃ ɔ ɾ
মিশরীয়	m i ʃ ɔ ɾ i o
মিষ্টি	m i ʃ ʈ i
মিসকিন	m i s k i n
মিস্ত্রী	m i s t̪ ɾ i
মীর	m i ɾ
মীরা	m i ɾ a
মু	m u
মুকুট	m u k u ʈ
মুক্ত	m u k t̪ o
মুক্তা	m u k t̪ a
মুক্তি	m u k t̪ i
মুক্তিযুদ্ধ	m u k t̪ i d ʒ u d̪ʱː o
মুক্তো	m u k t̪ o
মুখ	m u kʰ
মুখপাত্র	m u kʰ o p a t̪ ɾ o
মুখর	m u kʰ ɔ ɾ
মুখস্থ	m u k o s t̪ʰ o
মুখস্থ	m u kʰ o s t̪ o
মুখস্থ	m u kʰ o s t̪ʰ o
মুখার্জি	m u kʰ a ɾ d ʒ i
মুখুজ্জে	m u kʰ u d ʒː e
মুখোপাধ্যায়	m u kʰ o p a d̪ʱː a e̯
মুখোশ	m u kʰ o ʃ
মুখ্য	m u kʰː o
মুখ্যমন্ত্রী	m u k kʰ ɔ m ɔ n t̪ ɾ i
মুখ্যমন্ত্রী	m u kːʰ o m o n t̪ ɾ i
মুঘল	m u ɡʱ o l
মুচি	m u t ʃ i
মুছনি	m u t ʃʰ o n i
মুজিব	m u d ʒ i b
মুড়ি	m u ɽ i
মুড়ি	m u ɾ i
মুত	m u t̪
মুতা	m u t̪ ä
মুতাজ	m u t̪ a d ʒ
মুন্ডা	m u n ɖ a
মুবাশশির	m u b a ʃː i ɾ
মুভি	m u bʱ i
মুম্বই	m u m b o i̯
মুরগি	m u ɾ ɡ i
মুরগী	m u ɾ ɡ i
মুরুব্বি	m u ɾ u bː i
মুর্শিদ	m u ɾ ʃ i d̪
মুর্শিদাবাদ	m u ɾ ʃ i d̪ a b a d̪
মুশকিল	m u ʃ k i l
মুষল	m u ʃ o l
মুষলধার	m u ʃ o l d̪ʱ a ɾ
মুসলমান	m u s o l m a n
মুসলিম	m u s l i m
মুসল্লি	m u s o lː i
মুসাফির	m u s a f i ɾ
মুসিবত	m u s i b ɔ t̪
মুহাজির	m u h a j i r
মুহাম্মদ	m u ɦ a mː ɔ d̪
মূঢ়	m u ɽ o
মূঢ়	m u ɽʱ o
মূঢ়	m u ɾ ɦ o
মূত্র	m u t̪ r o
মূত্রনালি	m u t̪ t̪ ɾ ɔ̝ n ä l iˑ
মূর্তি	m u ɾ t̪ i
