Ⴀ	ɑ
დაუდევრობა	d a u d e v ɾ o b a
დაუეჭვებლად	d a u e t͡ʃʼʷ e b ɫ a d
დაუვარცხნელი	d a u v a ɾ t͡sʰ χ n e l i
დაუვიწყარი	d a u v i t͡sʼ χʼ a ɾ i
დაუვიწყრად	d a u v i t͡sʼ χʼ ɾ a d
დაუზარებელი	d a u z a ɾ e b e l i
დაუზარებლობა	d a u z a ɾ e b ɫ o b a
დაუზიანებელი	d a u z i a n e b e l i
დაუზღვეველი	d a u z ʁʷ e v e l i
დაუთმობს	d a u tʰ m o b s
დაუინტერესებლად	d a u i n tʼ e ɾ e s e b ɫ a d
დაულეველი	d a u l e v e l i
დაუმარცხებლად	d a u m a ɾ t͡sʰ χ e b ɫ a d
დაუმარხავი	d a u m a ɾ χ a v i
დაუმესიჯებს	d a u m e s i d͡ʒ e b s
დაუმორჩილებლობა	d a u m o ɾ t͡ʃʰ i l e b ɫ o b a
დაუნომრავი	d a u n o m ɾ a v i
დაუოკებელი	d a u o kʼ e b e l i
დაუოკებლად	d a u o kʼ e b ɫ a d
დაუსრულებელი	d a u s ɾ u l e b e l i
დაუსრულებლად	d a u s ɾ u l e b ɫ a d
დაუსწრებელი	d a u s t͡sʼ ɾ e b e l i
დაუსჯელად	d a u s d͡ʒ e ɫ a d
დაუსჯელი	d a u s d͡ʒ e l i
დაუსჯელობა	d a u s d͡ʒ e ɫ o b a
დაუტოვებიათ	d a u tʼ o v e b i a tʰ
დაუფარავად	d a u pʰ a ɾ a v a d
დაუფარავი	d a u pʰ a ɾ a v i
დაუფასებელი	d a u pʰ a s e b e l i
დაუფიქრებელი	d a u pʰ i kʰ ɾ e b e l i
დაუფიქრებლად	d a u pʰ i kʰ ɾ e b ɫ a d
დაუფლება	d a u pʰ l e b a
დაუქორწინებელი	d a u kʰ o ɾ t͡sʼ i n e b e l i
დაუღალავად	d a u ʁ a ɫ a v a d
დაუღალავი	d a u ʁ a ɫ a v i
დაუყოვნებლად	d a u χʼ o v n e b ɫ a d
დაუშვებელი	d a u ʃʷ e b e l i
დაუშვილი	d a u ʃʷ i l i
დაუცველი	d a u t͡sʰʷ e l i
დაუძაბავი	d a u d͡z a b a v i
დაუძლეველი	d a u d͡z l e v e l i
დაუძლევლად	d a u d͡z l e v ɫ a d
დაუძლურებული	d a u d͡z ɫ u ɾ e b u l i
დაუჭრელი	d a u t͡ʃʼ ɾ e l i
დაუხატავი	d a u χ a tʼ a v i
დაუჯერებელი	d a u d͡ʒ e ɾ e b e l i
დაუჯერებლად	d a u d͡ʒ e ɾ e b ɫ a d
დაუჯერებლობა	d a u d͡ʒ e ɾ e b ɫ o b a
დაფა	d a pʰ a
დაფარვა	d a pʰ a ɾʷ a
დაფასოებული	d a pʰ a s o e b u l i
დაფიქრებულად	d a pʰ i kʰ ɾ e b u ɫ a d
დაფიქრებული	d a pʰ i kʰ ɾ e b u l i
დაფნა	d a pʰ n a
დაფქვა	d a pʰ kʰʷ a
დაქანებული	d a kʰ a n e b u l i
დაქანცულობა	d a kʰ a n t͡sʰ u ɫ o b a
დაქვრივებული	d a kʰʷ ɾ i v e b u l i
დაქირავებული	d a kʰ i ɾ a v e b u l i
დაქორწინებული	d a kʰ o ɾ t͡sʼ i n e b u l i
დაქსაქსულობა	d a kʰ s a kʰ s u ɫ o b a
დაქტილი	d a kʰ tʼ i l i
დაქტილური	d a kʰ tʼ i ɫ u ɾ i
დაღარული	d a ʁ a ɾ u l i
დაღეთი	d a ʁ e tʰ i
დაღესტანი	d a ʁ e s tʼ a n i
დაღეჭილი	d a ʁ e t͡ʃʼ i l i
დაღვრემილად	d a ʁʷ ɾ e m i ɫ a d
დაღვრემილი	d a ʁʷ ɾ e m i l i
დაღვრემილობა	d a ʁʷ ɾ e m i ɫ o b a
დაღი	d a ʁ i
დაღლილად	d a ʁ l i ɫ a d
დაღლილი	d a ʁ l i l i
დაღლილობა	d a ʁ l i ɫ o b a
დაღუპული	d a ʁ u pʼ u l i
დაშლა	d a ʃ ɫ a
დაშლადი	d a ʃ ɫ a d i
დაშლადობა	d a ʃ ɫ a d o b a
დაშორებით	d a ʃ o ɾ e b i tʰ
დაშორებულად	d a ʃ o ɾ e b u ɫ a d
დაშორებული	d a ʃ o ɾ e b u l i
დაჩი	d a t͡ʃʰ i
დაჩლუნგებული	d a t͡ʃʰ ɫ u n ɡ e b u l i
დაცდილი	d a t͡sʰ d i l i
დაცვა	d a t͡sʰʷ a
დაცვად	d a t͡sʰʷ a d
დაცვამ	d a t͡sʰʷ a m
დაცვარული	d a t͡sʰʷ a ɾ u l i
დაცვას	d a t͡sʰʷ a s
დაცვით	d a t͡sʰʷ i tʰ
დაცვის	d a t͡sʰʷ i s
დაცინვით	d a t͡sʰ i nʷ i tʰ
დაცლილი	d a t͡sʰ l i l i
დაცობილი	d a t͡sʰ o b i l i
დაცული	d a t͡sʰ u l i
დაცულობა	d a t͡sʰ u ɫ o b a
დაძაბულად	d a d͡z a b u ɫ a d
დაძაბული	d a d͡z a b u l i
დაძაბულობა	d a d͡z a b u ɫ o b a
დაძინება	d a d͡z i n e b a
დაძონძილად	d a d͡z o n d͡z i ɫ a d
დაწერილი	d a t͡sʼ e ɾ i l i
დაწერს	d a t͡sʼ e ɾ s
დაწესებულება	d a t͡sʼ e s e b u l e b a
დაწვა	d a t͡sʼʷ a
დაწინდული	d a t͡sʼ i n d u l i
დაწინწკლული	d a t͡sʼ i n t͡sʼ kʼ ɫ u l i
დაწყებითი	d a t͡sʼ χʼ e b i tʰ i
დაწყევლილი	d a t͡sʼ χʼ e v l i l i
დაჭერა	d a t͡ʃʼ e ɾ a
დაჭერობანა	d a t͡ʃʼ e ɾ o b a n a
დაჭიმულად	d a t͡ʃʼ i m u ɫ a d
დაჭიმული	d a t͡ʃʼ i m u l i
დაჭყლეტილი	d a t͡ʃʼ χʼ l e tʼ i l i
დახვეული	d a χʷ e u l i
დახვეწილად	d a χʷ e t͡sʼ i ɫ a d
დახვეწილი	d a χʷ e t͡sʼ i l i
დახვეწილობა	d a χʷ e t͡sʼ i ɫ o b a
დახვრეტა	d a χʷ ɾ e tʼ a
დახლი	d a χ l i
დახმარება	d a χ m a ɾ e b a
დახმარებამ	d a χ m a ɾ e b a m
დახმარებას	d a χ m a ɾ e b a s
დახმარებით	d a χ m a ɾ e b i tʰ
დახმარების	d a χ m a ɾ e b i s
დახრილად	d a χ ɾ i ɫ a d
დახრილი	d a χ ɾ i l i
დახრილობა	d a χ ɾ i ɫ o b a
დახუთულად	d a χ u tʰ u ɫ a d
დახუთული	d a χ u tʰ u l i
დახურული	d a χ u ɾ u l i
დახუჭობანა	d a χ u t͡ʃʼ o b a n a
დახშული	d a χ ʃ u l i
დაჯერებული	d a d͡ʒ e ɾ e b u l i
დგას	d ɡ a s
დგენა	d ɡ e n a
დგომა	d ɡ o m a
დგუში	d ɡ u ʃ i
დე	d e
დეა	d e a
დება	d e b a
დებეტები	d e b e tʼ e b i
დებეტი	d e b e tʼ i
დები	d e b i
დებილი	d e b i l i
დებილობა	d e b i ɫ o b a
დებიუტანტი	d e b i u tʼ a n tʼ i
დებიუტი	d e b i u tʼ i
დეგენერატი	d e ɡ e n e ɾ a tʼ i
დეგრადაცია	d e ɡ ɾ a d a t͡sʰ i a
დეგუსტატორი	d e ɡ u s tʼ a tʼ o ɾ i
დედა	d e d a
დედააზრი	d e d a a z ɾ i
დედაარსი	d e d a a ɾ s i
დედაბოძი	d e d a b o d͡z i
დედაბუნება	d e d a b u n e b a
დედაზარდლი	d e d a z a ɾ d l i
დედათმავალი	d e d a tʰ m a v a l i
დედათმავლობა	d e d a tʰ m a v ɫ o b a
დედაკაცი	d e d a kʼ a t͡sʰ i
დედალი	d e d a l i
დედამ	d e d a m
დედამთილი	d e d a m tʰ i l i
დედამიწა	d e d a m i t͡sʼ a
დედამიწად	d e d a m i t͡sʼ a d
დედამიწამ	d e d a m i t͡sʼ a m
დედამიწას	d e d a m i t͡sʼ a s
დედამიწით	d e d a m i t͡sʼ i tʰ
დედამიწის	d e d a m i t͡sʼ i s
დედამოტყნული	d e d a m o tʼ χʼ n u l i
დედაპლატა	d e d a pʼ ɫ a tʼ a
დედაქალაქი	d e d a kʰ a ɫ a kʰ i
დედაჩემი	d e d a t͡ʃʰ e m i
დედიკო	d e d i kʼ o
დედინაცვალი	d e d i n a t͡sʰʷ a l i
დედისერთა	d e d i s e ɾ tʰ a
დედიშობილა	d e d i ʃ o b i ɫ a
დედმამიშვილი	d e d m a m i ʃʷ i l i
დედობა	d e d o b a
დედობილი	d e d o b i l i
დედობრივად	d e d o b ɾ i v a d
დედობრივი	d e d o b ɾ i v i
დედოფალი	d e d o pʰ a l i
დედუქციური	d e d u kʰ t͡sʰ i u ɾ i
დევალვაცია	d e v a lʷ a t͡sʰ i a
დევი	d e v i
დევიზი	d e v i z i
დევისპირა	d e v i s pʼ i ɾ a
დევნა	d e v n a
დევნება	d e v n e b a
დევნილი	d e v n i l i
დევს	d e f s
დეზერტირი	d e z e ɾ tʼ i ɾ i
დეზერტირობა	d e z e ɾ tʼ i ɾ o b a
დეზი	d e z i
დეზინფექცია	d e z i n pʰ e kʰ t͡sʰ i a
დეზურა	d e z u ɾ a
დეიდა	d e i d a
დეიზმი	d e i z m i
დეინდუსტრიალიზაცია	d e i n d u s tʼ ɾ i a l i z a t͡sʰ i a
დეისტი	d e i s tʼ i
დეკა	d e kʼ a
დეკადენტი	d e kʼ a d e n tʼ i
დეკანატი	d e kʼ a n a tʼ i
დეკანი	d e kʼ a n i
დეკემბერი	d e kʼ e m b e ɾ i
დეკლამაცია	d e kʼ ɫ a m a t͡sʰ i a
დეკლარაცია	d e kʼ ɫ a ɾ a t͡sʰ i a
დეკოლონიზაცია	d e kʼ o ɫ o n i z a t͡sʰ i a
დეკორატიული	d e kʼ o ɾ a tʼ i u l i
დეკორატორი	d e kʼ o ɾ a tʼ o ɾ i
დეკორაცია	d e kʼ o ɾ a t͡sʰ i a
დეკრეტი	d e kʼ ɾ e tʼ i
დელავერი	d e ɫ a v e ɾ i
დელგმა	d e l ɡ m a
დელეგატი	d e l e ɡ a tʼ i
დელეგაცია	d e l e ɡ a t͡sʰ i a
დელი	d e l i
დელიკატური	d e l i kʼ a tʼ u ɾ i
დელტა	d e l tʼ a
დელფინი	d e l pʰ i n i
დემაგოგი	d e m a ɡ o ɡ i
დემაგოგია	d e m a ɡ o ɡ i a
დემაგოგიური	d e m a ɡ o ɡ i u ɾ i
დემარკაცია	d e m a ɾ kʼ a t͡sʰ i a
დემეტრე	d e m e tʼ ɾ e
დემოგრაფია	d e m o ɡ ɾ a pʰ i a
დემოგრაფიული	d e m o ɡ ɾ a pʰ i u l i
დემოკრატი	d e m o kʼ ɾ a tʼ i
დემოკრატიულად	d e m o kʼ ɾ a tʼ i u ɫ a d
დემოკრატიული	d e m o kʼ ɾ a tʼ i u l i
დემონი	d e m o n i
დემონსტრაცია	d e m o n s tʼ ɾ a t͡sʰ i a
დემონტაჟი	d e m o n tʼ a ʒ i
დემონურად	d e m o n u ɾ a d
დემონური	d e m o n u ɾ i
დენთი	d e n tʰ i
დენი	d e n i
დენისი	d e n i s i
დეპეშა	d e pʼ e ʃ a
დეპოზიტი	d e pʼ o z i tʼ i
დეპონენტი	d e pʼ o n e n tʼ i
დეპორტაცია	d e pʼ o ɾ tʼ a t͡sʰ i a
დეპრესია	d e pʼ ɾ e s i a
დეპუტაცია	d e pʼ u tʼ a t͡sʰ i a
დეჟავუ	d e ʒ a v u
დერბი	d e ɾ b i
დერეფანი	d e ɾ e pʰ a n i
დერვიში	d e ɾʷ i ʃ i
დერმატიტი	d e ɾ m a tʼ i tʼ i
დერმატოლოგი	d e ɾ m a tʼ o ɫ o ɡ i
დერმატოლოგია	d e ɾ m a tʼ o ɫ o ɡ i a
დესერტი	d e s e ɾ tʼ i
დესპანი	d e s pʼ a n i
დესპოტი	d e s pʼ o tʼ i
დესპოტიზმი	d e s pʼ o tʼ i z m i
დესპოტურად	d e s pʼ o tʼ u ɾ a d
დესპოტური	d e s pʼ o tʼ u ɾ i
დეტალი	d e tʼ a l i
დეტალურად	d e tʼ a ɫ u ɾ a d
დეტალური	d e tʼ a ɫ u ɾ i
დეტექტივი	d e tʼ e kʰ tʼ i v i
დეტონატორი	d e tʼ o n a tʼ o ɾ i
დეტონაცია	d e tʼ o n a t͡sʰ i a
დეფექტი	d e pʰ e kʰ tʼ i
დეფისი	d e pʰ i s i
დეფიციტი	d e pʰ i t͡sʰ i tʼ i
დეფლაცია	d e pʰ ɫ a t͡sʰ i a
დეფლაციური	d e pʰ ɫ a t͡sʰ i u ɾ i
დექსტროზა	d e kʰ s tʼ ɾ o z a
დვალიშვილი	dʷ a l i ʃʷ i l i
დვრილები	dʷ ɾ i l e b i
დვრილი	dʷ ɾ i l i
დვრიტა	dʷ ɾ i tʼ a
დიაბეტი	d i a b e tʼ i
დიაბეტური	d i a b e tʼ u ɾ i
დიაგნოზი	d i a ɡ n o z i
დიაგონალი	d i a ɡ o n a l i
დიაგონალური	d i a ɡ o n a ɫ u ɾ i
დიაგრამა	d i a ɡ ɾ a m a
დიაგუნალურად	d i a ɡ u n a ɫ u ɾ a d
დიადად	d i a d a d
დიადემა	d i a d e m a
დიადი	d i a d i
დიაკრიტიკული	d i a kʼ ɾ i tʼ i kʼ u l i
დიალექტი	d i a l e kʰ tʼ i
დიალექტიკა	d i a l e kʰ tʼ i kʼ a
დიალექტიკოსი	d i a l e kʰ tʼ i kʼ o s i
დიალექტიკური	d i a l e kʰ tʼ i kʼ u ɾ i
დიალოგი	d i a ɫ o ɡ i
დიამეტრი	d i a m e tʼ ɾ i
დიამეტრულად	d i a m e tʼ ɾ u ɫ a d
დიანა	d i a n a
დიაპაზონი	d i a pʼ a z o n i
დიარეა	d i a ɾ e a
დიასახლისი	d i a s a χ l i s i
დიასპორა	d i a s pʼ o ɾ a
დიაფრაგმა	d i a pʰ ɾ a ɡ m a
დიაღ	d i a ʁ
დიახ	d i a χ
დიდაქტიკურად	d i d a kʰ tʼ i kʼ u ɾ a d
დიდაქტიკური	d i d a kʰ tʼ i kʼ u ɾ i
დიდება	d i d e b a
დიდებულად	d i d e b u ɫ a d
დიდებულება	d i d e b u l e b a
დიდებულები	d i d e b u l e b i
დიდებული	d i d e b u l i
დიდებულიძე	d i d e b u l i d͡z e
დიდედა	d i d e d a
დიდი	d i d i
დიდმოწამე	d i d m o t͡sʼ a m e
დიდოსტატი	d i d o s tʼ a tʼ i
დიდოური	d i d o u ɾ i
დიდსულოვანი	d i d s u ɫ o v a n i
დიდსულოვნად	d i d s u ɫ o v n a d
დიდსულოვნება	d i d s u ɫ o v n e b a
დიდძალი	d i d d͡z a l i
დიდხანს	d i d χ a n s
დიეზი	d i e z i
დიეტა	d i e tʼ a
დიეტური	d i e tʼ u ɾ i
დივანი	d i v a n i
დივერსანტი	d i v e ɾ s a n tʼ i
დივიდენდი	d i v i d e n d i
დიზაინი	d i z a i n i
დიზელი	d i z e l i
დიზენტერია	d i z e n tʼ e ɾ i a
დიკა	d i kʼ a
დიკი	d i kʼ i
დილა	d i ɫ a
დილეგი	d i l e ɡ i
დილემა	d i l e m a
დილერი	d i l e ɾ i
დილეტანტი	d i l e tʼ a n tʼ i
დილეტანტიზმი	d i l e tʼ a n tʼ i z m i
დილეტანტური	d i l e tʼ a n tʼ u ɾ i
დილით	d i l i tʰ
დიმიტრი	d i m i tʼ ɾ i
დინამიზმი	d i n a m i z m i
დინამიკა	d i n a m i kʼ a
დინამიკი	d i n a m i kʼ i
დინამიკურად	d i n a m i kʼ u ɾ a d
დინამიკური	d i n a m i kʼ u ɾ i
დინამიტი	d i n a m i tʼ i
დინარი	d i n a ɾ i
დინასტია	d i n a s tʼ i a
დინასტიური	d i n a s tʼ i u ɾ i
დინგი	d i n ɡ i
დინდგელი	d i n d ɡ e l i
დინება	d i n e b a
დინები	d i n e b i
დინი	d i n i
დინოზავრი	d i n o z a v ɾ i
დინჯად	d i n d͡ʒ a d
დინჯი	d i n d͡ʒ i
დიოფიზიტი	d i o pʰ i z i tʼ i
დიოფიზიტობა	d i o pʰ i z i tʼ o b a
დიპლომატი	d i pʼ ɫ o m a tʼ i
დიპლომატია	d i pʼ ɫ o m a tʼ i a
დიპლომატიურად	d i pʼ ɫ o m a tʼ i u ɾ a d
დიპლომატიური	d i pʼ ɫ o m a tʼ i u ɾ i
დიპლომი	d i pʼ ɫ o m i
დირექტივა	d i ɾ e kʰ tʼ i v a
