㒒	p ɔ k̚ ⁴
吼叫	h a u ⁴ ¹ ⁻ ⁴ ⁴ k i ɤ ² ¹
吾	ŋ ɔ̃ ² ³
呀	a ⁴ ⁴
呀	i a ⁴ ⁴
呀囒	ɡ a ² ³ ⁻ ³ ³ l a n ² ³
呀囒	ɡ a ² ³ ⁻ ³ ³ l a n ⁴ ⁴
呀囒	ɡ i a ² ³ ⁻ ³ ³ l a n ² ³
呀囒	ɡ i a ² ³ ⁻ ³ ³ l a n ⁴ ⁴
呂	l i ³ ³
呂宋	l i ³ ³ ⁻ ² ¹ s ɔ ŋ ² ¹
呂宋薰	l i ³ ³ ⁻ ² ¹ s ɔ ŋ ² ¹ ⁻ ⁴ ¹ h u n ⁴ ⁴
呂底亞	l u ³ ³ ⁻ ² ¹ t i ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ⁴
呂洞賓	l i ³ ³ ⁻ ² ¹ t ɔ ŋ ³ ³ ⁻ ² ¹ p i n ⁴ ⁴
呃	e ʔ ³ ²
呆	t a i ⁴ ⁴
呈	t i ã ² ³
呈	t i ɪ ŋ ² ³
呈	tʰ i ã ² ³
呈	tʰ i ɪ ŋ ² ³
呈報	tʰ i ɪ ŋ ² ³ ⁻ ³ ³ p ɤ ² ¹
呈獻	tʰ i ɪ ŋ ² ³ ⁻ ³ ³ h i ɛ n ² ¹
呈現	t i ɪ ŋ ² ³ ⁻ ³ ³ h i ɛ n ³ ³
呈現	tʰ i ɪ ŋ ² ³ ⁻ ³ ³ h i ɛ n ³ ³
呈請	t i ɪ ŋ ² ³ ⁻ ³ ³ t͡sʰ i ɪ ŋ ⁴ ¹
呈送	tʰ i ɪ ŋ ² ³ ⁻ ³ ³ s a ŋ ² ¹
告	k ɤ ² ¹
告一段落	k ɤ ² ¹ ⁻ ⁴ ¹ t͡s i t̚ ⁴ ⁻ ³ ² t u ã ³ ³ ⁻ ² ¹ l ɤ ʔ ⁴
告假	k ɤ ² ¹ ⁻ ⁴ ¹ k e ² ¹
告別	k ɤ ² ¹ ⁻ ⁴ ¹ p i ɛ t̚ ⁴
告別式	k ɤ ² ¹ ⁻ ⁴ ¹ p i ɛ t̚ ⁴ ⁻ ³ ² s i ɪ k̚ ³ ²
告密	k ɤ ² ¹ ⁻ ⁴ ¹ b i t̚ ⁴
告急	k ɤ ² ¹ ⁻ ⁴ ¹ k i p̚ ³ ²
告慰	k ɤ ² ¹ ⁻ ⁴ ¹ u i ² ¹
告發	k ɤ ² ¹ ⁻ ⁴ ¹ h u a t̚ ³ ²
告白	k ɤ ² ¹ ⁻ ⁴ ¹ p e ʔ ⁴
告知	k ɤ ² ¹ ⁻ ⁴ ¹ t i ⁴ ⁴
告示	k ɔ ² ¹ ⁻ ⁴ ¹ s i ³ ³
告示	k ɤ ² ¹ ⁻ ⁴ ¹ s i ³ ³
告老	k ɤ ² ¹ ⁻ ⁴ ¹ l ɤ ⁴ ¹
告老	k ɤ ² ¹ ⁻ ⁴ ¹ n ɔ̃ ⁴ ¹
告解	k ɤ ² ¹ ⁻ ⁴ ¹ k a i ⁴ ¹
告訴	k ɤ ² ¹ ⁻ ⁴ ¹ s ɔ ² ¹
告訴乃論	k ɤ ² ¹ ⁻ ⁴ ¹ s ɔ ² ¹ ⁻ ⁴ ¹ n ã i ⁴ ¹ ⁻ ⁴ ⁴ l u n ³ ³
告誡	k ɤ ² ¹ ⁻ ⁴ ¹ k a i ² ¹
告貸	k ɤ ² ¹ ⁻ ⁴ ¹ t a i ³ ³
告辭	k ɤ ² ¹ ⁻ ⁴ ¹ s i ² ³
告退	k ɤ ² ¹ ⁻ ⁴ ¹ tʰ u e ² ¹
呎	t͡sʰ i ɪ k̚ ³ ²
呔	tʰ a i ² ¹
呔	tʰ a i ⁴ ¹
呞呞顫	s i ³ ² ⁻ ⁴ ¹ s i ³ ² ⁻ ⁴ ¹ t͡s u n ² ¹
呞呞顫	s i ³ ² ⁻ ⁴ ¹ s i ʔ ³ ² ⁻ ⁴ ¹ t͡s u n ² ¹
呞呞顫	s i ʔ ³ ² ⁻ ⁴ ¹ s i ³ ² ⁻ ⁴ ¹ t͡s u n ² ¹
呞呞顫	s i ʔ ³ ² ⁻ ⁴ ¹ s i ʔ ³ ² ⁻ ⁴ ¹ t͡s u n ² ¹
呢	n ĩ ² ³
呣	m̩ ³ ³
呦	i u ⁴ ⁴
呧	t i ⁴ ⁴
周	t͡s i u ⁴ ⁴
周全	t͡s i u ⁴ ⁴ ⁻ ³ ³ t͡s u a n ² ³
周到	t͡s i u ⁴ ⁴ ⁻ ³ ³ t ɤ ² ¹
周口	t͡s i u ⁴ ⁴ ⁻ ³ ³ kʰ a u ⁴ ¹
周圍	t͡s i u ⁴ ⁴ ⁻ ³ ³ u i ² ³
周密	t͡s i u ⁴ ⁴ ⁻ ³ ³ b i t̚ ⁴
周寧	t͡s i u ⁴ ⁴ ⁻ ³ ³ l i ɪ ŋ ² ³
周年	t͡s i u ⁴ ⁴ ⁻ ³ ³ n ĩ ² ³
周旋	t͡s i u ⁴ ⁴ ⁻ ³ ³ s u a n ² ³
周易	t͡s i u ⁴ ⁴ ⁻ ³ ³ i ɪ k̚ ⁴
周朝	t͡s i u ⁴ ⁴ ⁻ ³ ³ t i a u ² ³
周濟	t͡s i u ⁴ ⁴ ⁻ ³ ³ t͡s e ² ¹
周知	t͡s i u ⁴ ⁴ ⁻ ³ ³ t i ⁴ ⁴
周章	t͡s i u ⁴ ⁴ ⁻ ³ ³ t͡s i ɔ ŋ ⁴ ⁴
周至	t͡s i u ⁴ ⁴ ⁻ ³ ³ t͡s i ² ¹
周詳	t͡s i u ⁴ ⁴ ⁻ ³ ³ s i ɔ ŋ ² ³
周邊	t͡s i u ⁴ ⁴ ⁻ ³ ³ p ĩ ⁴ ⁴
呰	t͡s i a ʔ ³ ²
呱	k u a ³ ³
呱呱叫	k u a ⁴ ⁴ ⁻ ³ ³ k u a ⁴ ⁴ ⁻ ³ ³ k i ɤ ² ¹
味	b i ³ ³
味噌	m ĩ ⁴ ¹ ⁻ ⁴ ⁴ s ɤ ʔ ³ ²
味素	b i ³ ³ ⁻ ² ¹ s ɔ ² ¹
味素粉	b i ³ ³ ⁻ ² ¹ s ɔ ² ¹ ⁻ ⁴ ¹ h u n ⁴ ¹
味覺	b i ³ ³ ⁻ ² ¹ k a k̚ ³ ²
呵	ɤ ⁴ ⁴
呵咾	ɤ ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ¹
呵咾甲會觸舌	ɤ ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ¹ ⁻ ⁴ ⁴ k a ³ ² ⁻ ⁴ ¹ e ³ ³ ⁻ ² ¹ t a k̚ ³ ² ⁻ ⁴ t͡s i ʔ ⁴
呵咾甲會觸舌	ɤ ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ¹ ⁻ ⁴ ⁴ k a ʔ ³ ² ⁻ ⁴ ¹ e ³ ³ ⁻ ² ¹ t a k̚ ³ ² ⁻ ⁴ t͡s i ʔ ⁴
呷	h a p̚ ³ ²
呷	t͡s i a ʔ ⁴
呷飯	t͡s i a ʔ ⁴ ⁻ ² ¹ p ŋ̍ ³ ³
呷飯	t͡s i a ⁴ ⁻ ² ¹ p ŋ̍ ³ ³
呸	pʰ u i ² ¹
呸瀾	pʰ u i ² ¹ ⁻ ⁴ ¹ n u ã ³ ³
呸痰	pʰ u i ² ¹ ⁻ ⁴ ¹ tʰ a m ² ³
呸血	pʰ u i ² ¹ ⁻ ⁴ ¹ h u e ʔ ³ ²
呻	t͡sʰ a n ⁴ ⁴
呼	h ɔ ⁴ ⁴
呼	kʰ ɔ ⁴ ⁴
呼列拉	kʰ ɔ ⁴ ⁴ ⁻ ³ ³ l e ⁴ ¹ ⁻ ⁴ ⁴ l a ʔ ³ ²
呼叫	h ɔ ⁴ ⁴ ⁻ ³ ³ k i ɤ ² ¹
呼叫器	h ɔ ⁴ ⁴ ⁻ ³ ³ k i ɤ ² ¹ ⁻ ⁴ ¹ kʰ i ² ¹
呼吸	h ɔ ⁴ ⁴ ⁻ ³ ³ kʰ i p̚ ³ ²
呼吸道	h ɔ ⁴ ⁴ ⁻ ³ ³ kʰ i p̚ ³ ² ⁻ ⁴ t ɤ ³ ³
呼吼	h ɔ ⁴ ⁴ ⁻ ³ ³ h a u ⁴ ¹
呼喚	h ɔ ⁴ ⁴ ⁻ ³ ³ h u a n ² ¹
呼延	h ɔ ⁴ ⁴ ⁻ ³ ³ i ɛ n ² ³
呼應	h ɔ ⁴ ⁴ ⁻ ³ ³ i ɪ ŋ ² ¹
呼救	h ɔ ⁴ ⁴ ⁻ ³ ³ k i u ² ¹
呼機仔	kʰ ɔ ⁴ ⁴ ⁻ ³ ³ k i ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
呼籲	h ɔ ⁴ ⁴ ⁻ ³ ³ i ɔ k̚ ⁴
呼籲	h ɔ ⁴ ⁴ ⁻ ³ ³ z u ³ ³
呼聲	h ɔ ⁴ ⁴ ⁻ ³ ³ s i ã ⁴ ⁴
呼風喚雨	h ɔ ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴ ⁻ ³ ³ h u a n ² ¹ ⁻ ⁴ ¹ u ⁴ ¹
命	b i ɪ ŋ ³ ³
命	m i ã ³ ³
命中	m i ã ³ ³ ⁻ ² ¹ t i ɔ ŋ ⁴ ⁴
命令	b i ɪ ŋ ³ ³ ⁻ ² ¹ l i ɪ ŋ ³ ³
命數	m i ã ³ ³ ⁻ ² ¹ s ɔ ² ¹
命案	b i ɪ ŋ ³ ³ ⁻ ² ¹ a n ² ¹
命案	m i ã ³ ³ ⁻ ² ¹ a n ² ¹
命理	m i ã ³ ³ ⁻ ² ¹ l i ⁴ ¹
命脈	m i ã ³ ³ ⁻ ² ¹ m ẽ ʔ ⁴
命途	b i ɪ ŋ ³ ³ ⁻ ² ¹ t ɔ ² ³
命途	m i ã ³ ³ ⁻ ² ¹ t ɔ ² ³
命運	m i ã ³ ³ ⁻ ² ¹ u n ³ ³
命題	b i ɪ ŋ ³ ³ ⁻ ² ¹ t e ² ³
呾	t ã ² ¹
咁	k a m ⁴ ¹
咃鰸	tʰ a k̚ ³ ² ⁻ ⁴ kʰ ɔ ʔ ³ ²
咃鰸	tʰ a ⁴ ¹ ⁻ ⁴ ⁴ kʰ ɔ ² ¹
咃鰸	tʰ a ⁴ ¹ ⁻ ⁴ ⁴ kʰ ɔ ʔ ³ ²
咇咇掣	pʰ i ² ³ ⁻ ³ ³ pʰ i ² ³ ⁻ ³ ³ t͡sʰ u a ʔ ³ ²
咇咇掣	pʰ i ³ ³ ⁻ ² ¹ pʰ i ³ ³ ⁻ ² ¹ t͡sʰ u a ʔ ³ ²
咇咇掣	pʰ i ʔ ⁴ ⁻ ² ¹ pʰ i ʔ ⁴ ⁻ ² ¹ t͡sʰ u a ʔ ³ ²
咇咇掣	pʰ i ʔ ⁴ ⁻ ² ¹ pʰ i ⁴ ⁻ ² ¹ t͡sʰ u a ʔ ³ ²
咇咇掣	pʰ i ⁴ ⁻ ² ¹ pʰ i ʔ ⁴ ⁻ ² ¹ t͡sʰ u a ʔ ³ ²
咇咇掣	pʰ i ⁴ ⁻ ² ¹ pʰ i ⁴ ⁻ ² ¹ t͡sʰ u a ʔ ³ ²
咋舌	n ã ² ¹ ⁻ ⁴ ¹ t͡s i ʔ ⁴
和	h a m ² ³
和	h a m ³ ³
和	h u e ² ³
和	h ɤ ² ³
和	h ɤ ³ ³
和	ɔ ² ³
和事佬	h ɤ ² ³ ⁻ ³ ³ s u ³ ³ ⁻ ² ¹ l ɤ ⁴ ¹
和善	h ɤ ² ³ ⁻ ³ ³ s i ɛ n ³ ³
和好	h ɤ ² ³ ⁻ ³ ³ h ɤ ⁴ ¹
和尚	h u e ² ³ ⁻ ³ ³ s i ũ ³ ³
和尚頭	h u e ² ³ ⁻ ³ ³ s i ũ ³ ³ ⁻ ² ¹ tʰ a u ² ³
和局	h ɤ ² ³ ⁻ ³ ³ k i ɔ k̚ ⁴
和平	h ɤ ² ³ ⁻ ³ ³ p i ɪ ŋ ² ³
和平崛起	h ɤ ² ³ ⁻ ³ ³ p i ɪ ŋ ² ³ ⁻ ³ ³ k u t̚ ⁴ ⁻ ³ ² kʰ i ⁴ ¹
和文	h ɤ ² ³ ⁻ ³ ³ b u n ² ³
和服	h ɤ ² ³ ⁻ ³ ³ h ɔ k̚ ⁴
和樂	h ɤ ² ³ ⁻ ³ ³ l ɔ k̚ ⁴
和歌	h ɤ ² ³ ⁻ ³ ³ k u a ⁴ ⁴
和氣	h ɤ ² ³ ⁻ ³ ³ kʰ i ² ¹
和睦	h ɤ ² ³ ⁻ ³ ³ b ɔ k̚ ⁴
和約	h ɤ ² ³ ⁻ ³ ³ i ɔ k̚ ³ ²
和美	h ɤ ² ³ ⁻ ³ ³ b i ⁴ ¹
和聲	h ɤ ² ³ ⁻ ³ ³ s i ã ⁴ ⁴
和聲	h ɤ ² ³ ⁻ ³ ³ s i ɪ ŋ ⁴ ⁴
和藥	h ɤ ² ³ ⁻ ³ ³ i ɤ ʔ ⁴
和藹	h ɤ ² ³ ⁻ ³ ³ a i ⁴ ¹
和藹可親	h ɤ ² ³ ⁻ ³ ³ a i ⁴ ¹ ⁻ ⁴ ⁴ kʰ ɤ ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i n ⁴ ⁴
和蘭	h ɤ ² ³ ⁻ ³ ³ l a n ² ³
和親	h ɤ ² ³ ⁻ ³ ³ t͡sʰ i n ⁴ ⁴
和解	h ɤ ² ³ ⁻ ³ ³ k a i ⁴ ¹
和諧	h ɤ ² ³ ⁻ ³ ³ h a i ² ³
和議	h ɤ ² ³ ⁻ ³ ³ ɡ i ³ ³
和音	h ɤ ² ³ ⁻ ³ ³ i m ⁴ ⁴
和順	h ɤ ² ³ ⁻ ³ ³ s u n ³ ³
和風	h ɤ ² ³ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴
咎	k i u ³ ³
咐	h u ² ¹
咒	t͡s i u ² ¹
咒罵	t͡s i u ² ¹ ⁻ ⁴ ¹ m ẽ ³ ³
咒詛	t͡s i u ² ¹ ⁻ ⁴ ¹ t͡s ɔ ⁴ ¹
咒誓	t͡s i u ² ¹ ⁻ ⁴ ¹ t͡s u a ³ ³
咒語	t͡s i u ² ¹ ⁻ ⁴ ¹ ɡ i ⁴ ¹
咒讖	t͡s i u ² ¹ ⁻ ⁴ ¹ t͡sʰ a m ² ¹
咕咕公	k u ³ ³ ⁻ ² ¹ k u ⁴ ¹ ⁻ ⁴ ⁴ k ɔ ŋ ⁴ ⁴
咖	k a ⁴ ⁴
咖哩	k a ⁴ ⁴ ⁻ ³ ³ l i ⁴ ¹
咖哩粉	k a ⁴ ⁴ ⁻ ³ ³ l i ⁴ ¹ ⁻ ⁴ ⁴ h u n ⁴ ¹
咖啡	k a ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴
咖啡	k ɤ ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴
咖啡因	k a ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴ ⁻ ³ ³ i n ⁴ ⁴
咖啡屋	k a ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴ ⁻ ³ ³ ɔ k̚ ³ ²
咖啡店	k a ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴ ⁻ ³ ³ t i a m ² ¹
咖啡廳	k a ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴ ⁻ ³ ³ tʰ i ã ⁴ ⁴
咖啡色	k a ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴ ⁻ ³ ³ s i ɪ k̚ ³ ²
咖啡館	k a ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴ ⁻ ³ ³ k u a n ⁴ ¹
咖喱	k a ⁴ ⁴ ⁻ ³ ³ l i ⁴ ¹
咖喱粉	k a ⁴ ⁴ ⁻ ³ ³ l i ⁴ ¹ ⁻ ⁴ ⁴ h u n ⁴ ¹
咢	ɡ ɔ k̚ ⁴
咧	l e ʔ ³ ²
咧	l i ɛ t̚ ⁴
咧	t e ʔ ³ ²
咧欲	t e ʔ ³ ² b e ʔ ³ ²
咧欲	t i ³ ² ⁻ ⁴ ¹ b e ʔ ³ ²
咧欲	t i ³ ² ⁻ ⁴ ¹ b u e ʔ ³ ²
咧欲	t i ʔ ³ ² ⁻ ⁴ ¹ b e ʔ ³ ²
咧欲	t i ʔ ³ ² ⁻ ⁴ ¹ b u e ʔ ³ ²
咨	t͡s u ⁴ ⁴
咩	m ẽ ʔ ³ ²
咪	b i ² ³
咫	t͡s i ⁴ ¹
咬	k a ³ ³
咬	ŋ ã u ⁴ ¹
咬咬叫	k a ³ ³ ⁻ ² ¹ k a ³ ³ ⁻ ² ¹ k i ɤ ² ¹
咬咬滾	k a ³ ³ ⁻ ² ¹ k a ³ ³ ⁻ ² ¹ k u n ⁴ ¹
咬字	k a ³ ³ ⁻ ² ¹ z i ³ ³
咬牙	k a ³ ³ ⁻ ² ¹ ɡ e ² ³
咬硬	k a ³ ³ ⁻ ² ¹ ŋ ẽ ³ ³
咭	k i ɛ t̚ ³ ²
咯	k ɔ k̚ ⁴
咯	kʰ a k̚ ⁴
咯痰	kʰ a k̚ ⁴ ⁻ ³ ² tʰ a m ² ³
咯紅	kʰ a k̚ ⁴ ⁻ ³ ² a ŋ ² ³
咯血	kʰ a k̚ ⁴ ⁻ ³ ² h u e ʔ ³ ²
咱	l a n ⁴ ¹
咱	t͡s a ⁴ ⁴
咱人	l a n ⁴ ¹ ⁻ ⁴ ⁴ l a ŋ ² ³
咱的	l a n ⁴ ¹ ⁻ ⁴ ⁴ e ² ³
咳	k a ⁴ ⁴
咳	kʰ a ⁴ ⁴
咳咳嗽	kʰ u ² ¹ ⁻ ⁴ ¹ kʰ u ² ¹ ⁻ ⁴ ¹ s a u ² ¹
咳啾	h a ³ ² ⁻ ⁴ ¹ t͡sʰ i ũ ² ¹
咳啾	h a ʔ ³ ² ⁻ ⁴ ¹ t͡sʰ i ũ ² ¹
咳嗽	h a i ² ³ ⁻ ³ ³ s a u ² ¹
咳嗽	k a ⁴ ⁴ ⁻ ³ ³ s a u ² ¹
咳嗽	kʰ a m ² ³ ⁻ ³ ³ s a u ² ¹
咸	h a m ² ³
咸寧	h a m ² ³ ⁻ ³ ³ l i ɪ ŋ ² ³
咸豐	h a m ² ³ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴
咻	h i u ⁴ ⁴
咽	i ɛ n ⁴ ⁴
咽喉	i ɛ n ⁴ ⁴ ⁻ ³ ³ a u ² ³
咾	l ɤ ⁴ ¹
哀	a i ⁴ ⁴
哀傷	a i ⁴ ⁴ ⁻ ³ ³ s i ɔ ŋ ⁴ ⁴
哀嘆	a i ⁴ ⁴ ⁻ ³ ³ tʰ a n ² ¹
哀怨	a i ⁴ ⁴ ⁻ ³ ³ u a n ² ¹
哀悼	a i ⁴ ⁴ ⁻ ³ ³ t ɤ ³ ³
哀榮	a i ⁴ ⁴ ⁻ ³ ³ i ɪ ŋ ² ³
哀樂	a i ⁴ ⁴ ⁻ ³ ³ l ɔ k̚ ⁴
哀歌	a i ⁴ ⁴ ⁻ ³ ³ k u a ⁴ ⁴
哀歌	a i ⁴ ⁴ ⁻ ³ ³ k ɤ ⁴ ⁴
哀求	a i ⁴ ⁴ ⁻ ³ ³ k i u ² ³
哀爸叫母	a i ⁴ ⁴ ⁻ ³ ³ p e ³ ³ ⁻ ² ¹ k i ɤ ² ¹ ⁻ ⁴ ¹ b u ⁴ ¹
哀爸叫母	a i ⁴ ⁴ ⁻ ³ ³ p e ³ ³ ⁻ ² ¹ k i ɤ ² ¹ ⁻ ⁴ ¹ b ɤ ⁴ ¹
哀痛	a i ⁴ ⁴ ⁻ ³ ³ tʰ i ã ² ¹
哀矜	a i ⁴ ⁴ ⁻ ³ ³ k i ɪ ŋ ⁴ ⁴
哀苦	a i ⁴ ⁴ ⁻ ³ ³ kʰ ɔ ⁴ ¹
品	pʰ i n ⁴ ¹
品嘗	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ s i ɔ ŋ ² ³
品學兼優	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ h a k̚ ⁴ ⁻ ³ ² k i a m ⁴ ⁴ ⁻ ³ ³ i u ⁴ ⁴
品德	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ t i ɪ k̚ ³ ²
品性	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ s i ɪ ŋ ² ¹
品牌	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ p a i ² ³
品目	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ b a k̚ ⁴
品種	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ɪ ŋ ⁴ ¹
品行	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ h i ɪ ŋ ³ ³
品評	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ pʰ i ɪ ŋ ² ³
品貌	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ m ã u ³ ³
品質	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ t͡s i t̚ ³ ²
品類	pʰ i n ⁴ ¹ ⁻ ⁴ ⁴ l u i ³ ³
哂	s i n ⁴ ¹
哄	h a ŋ ⁴ ¹
哄	h ã ⁴ ¹
哄	h ɔ ŋ ³ ³
哆	t ɤ ⁴ ⁴
哇沙米	u a ⁴ ⁴ ⁻ ³ ³ s a ⁴ ¹ ⁻ ⁴ ⁴ b i ʔ ³ ²
哈	h a ³ ³
哈	h a ⁴ ⁴
哈	h ã ² ³
哈	h ã ³ ³
哈	h ẽ ³ ³
哈利路亞	h a ⁴ ⁴ ⁻ ³ ³ l e ⁴ ¹ ⁻ ⁴ ⁴ l u ⁴ ¹ ⁻ ⁴ ⁴ i a ʔ ³ ²
哈利路亞	h a ⁴ ⁴ ⁻ ³ ³ l e ⁴ ¹ ⁻ ⁴ ⁴ l u ⁴ ⁴ ⁻ ³ ³ i a ʔ ³ ²
哈利路亞	h a ⁴ ⁴ ⁻ ³ ³ l e ⁴ ⁴ ⁻ ³ ³ l u ⁴ ¹ ⁻ ⁴ ⁴ i a ʔ ³ ²
哈利路亞	h a ⁴ ⁴ ⁻ ³ ³ l e ⁴ ⁴ ⁻ ³ ³ l u ⁴ ⁴ ⁻ ³ ³ i a ʔ ³ ²
哈利路亞	h a ⁴ ⁴ ⁻ ³ ³ l e ⁴ ⁴ ⁻ ³ ³ l u ⁴ ⁴ ⁻ ³ ³ i a ⁴ ⁴
哈哈	h a ⁴ ⁴ ⁻ ³ ³ h a ⁴ ⁴
哈哈笑	h a ⁴ ⁴ ⁻ ³ ³ h a ⁴ ⁴ ⁻ ³ ³ t͡sʰ i ɤ ² ¹
哈唏	h a ³ ² ⁻ ⁴ ¹ h i ² ¹
哈唏	h a ʔ ³ ² ⁻ ⁴ ¹ h i ² ¹
哈囉	h a ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ⁴
哈娜	h a p̚ ³ ² ⁻ ⁴ n ã ⁴ ¹
哈密瓜	h a ⁴ ⁴ ⁻ ³ ³ b i t̚ ⁴ ⁻ ³ ² k u e ⁴ ⁴
哈巴谷	h a p̚ ³ ² ⁻ ⁴ p a ⁴ ⁴ ⁻ ³ ³ k ɔ k̚ ³ ²
哈巴谷	h a ⁴ ⁴ ⁻ ³ ³ p a ⁴ ⁴ ⁻ ³ ³ k ɔ k̚ ³ ²
哈巴谷書	h a ⁴ ⁴ ⁻ ³ ³ p a ⁴ ⁴ ⁻ ³ ³ k ɔ k̚ ³ ² ⁻ ⁴ s u ⁴ ⁴
哈氣	h a ⁴ ⁴ ⁻ ³ ³ kʰ u i ² ¹
哈爾濱	kʰ a p̚ ³ ² ⁻ ⁴ n ĩ ⁴ ¹ ⁻ ⁴ ⁴ p i n ⁴ ⁴
哈羅	h a ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ⁴
哈蓋	kʰ a p̚ ³ ² ⁻ ⁴ k a i ² ¹
哈薩克	h a ³ ² ⁻ ⁴ ¹ s a t̚ ³ ² ⁻ ⁴ kʰ i ɪ k̚ ³ ²
哈薩克	h a ʔ ³ ² ⁻ ⁴ ¹ s a t̚ ³ ² ⁻ ⁴ kʰ i ɪ k̚ ³ ²
哈薩克族	h a ³ ² ⁻ ⁴ ¹ s a t̚ ³ ² ⁻ ⁴ kʰ i ɪ k̚ ³ ² ⁻ ⁴ t͡s ɔ k̚ ⁴
哈薩克族	h a ʔ ³ ² ⁻ ⁴ ¹ s a t̚ ³ ² ⁻ ⁴ kʰ i ɪ k̚ ³ ² ⁻ ⁴ t͡s ɔ k̚ ⁴
哈螺	h a ⁴ ⁴ ⁻ ³ ³ l e ² ³
哈該	h a p̚ ³ ² ⁻ ⁴ k a i ⁴ ⁴
哈該	h a p̚ ⁴ ⁻ ³ ² k a i ⁴ ⁴
哈該書	h a p̚ ⁴ ⁻ ³ ² k a i ⁴ ⁴ ⁻ ³ ³ s u ⁴ ⁴
哉	t͡s a i ² ¹
哉	t͡s a i ⁴ ⁴
响水	h i ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ s u i ⁴ ¹
哎	a i ⁴ ⁴
哎喲	a i ³ ² ⁻ ⁴ ¹ i ɤ ʔ ³ ²
哎喲	a i ʔ ³ ² ⁻ ⁴ ¹ i ɤ ʔ ³ ²
哎喲喂	a i ⁴ ⁴ ⁻ ³ ³ i ɤ ³ ³ ⁻ ² ¹ u e ² ³
哖	n ĩ ² ³
哚	tʰ ɤ ʔ ⁴
哞	m ã ⁴ ⁴
員	u a n ² ³
員	u n ³ ³
員	ĩ ² ³
員	ɡ u a n ² ³
員外	u a n ² ³ ⁻ ³ ³ ɡ u e ³ ³
員外	ɡ u a n ² ³ ⁻ ³ ³ ɡ u e ³ ³
員山	ĩ ² ³ ⁻ ³ ³ s u ã ⁴ ⁴
員工	u a n ² ³ ⁻ ³ ³ k a ŋ ⁴ ⁴
員林	u a n ² ³ ⁻ ³ ³ l i m ² ³
員警	u a n ² ³ ⁻ ³ ³ k i ɪ ŋ ⁴ ¹
哢	l ɔ ŋ ² ¹
哥	k ɤ ʔ ³ ²
哥	k ɤ ⁴ ⁴
哥仔	k ɤ ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
哥倫比亞	k ɤ ⁴ ⁴ ⁻ ³ ³ l u n ² ³ ⁻ ³ ³ p i ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ⁴
哥哥	k ɤ ⁴ ⁴ ⁻ ³ ³ k ɤ ⁴ ⁴
哥斯達黎加	k ɤ ⁴ ⁴ ⁻ ³ ³ s u ⁴ ⁴ ⁻ ³ ³ t a t̚ ⁴ ⁻ ³ ² l e ² ³ ⁻ ³ ³ k a ⁴ ⁴
哥本哈根	k ɤ ⁴ ⁴ ⁻ ³ ³ p u n ⁴ ¹ ⁻ ⁴ ⁴ h a ⁴ ⁴ ⁻ ³ ³ k i n ⁴ ⁴
哥樂河	k ɤ ⁴ ⁴ ⁻ ³ ³ l ɔ k̚ ⁴ ⁻ ³ ² h ɤ ² ³
哦	ɔ ² ³
哨	s a u ² ¹
哨角	s a u ² ¹ ⁻ ⁴ ¹ k a k̚ ³ ²
哩	m ã i ⁴ ⁴
哩哩囉囉	l i ⁴ ⁴ ⁻ ³ ³ l i ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ⁴
哪	l ɤ ² ³
哪	n ã ⁴ ¹
