@	a̠ t̚ t o̞
ええっと	e̞ː t̚ t o̞
えーっと	e̞ː t̚ t o̞
AD	e̞ː dʲ iː
ADHD	e̞ː dʲ iː e̞ t̚ t͡ɕ i dʲ iː
ATM	e̞ː tʲ iː e̞ m ɯ̟
エーテル	e̞ː t e̞ ɾ ɯ̟
ええと	e̞ː t o̞
えーと	e̞ː t o̞
エートス	e̞ː t o̞ s ɨ
ABS	e̞ː bʲ iː e̞ s ɨ
AB型	e̞ː bʲ iː ɡ a̠ t a̠
ABC	e̞ː bʲ iː ɕ iː
ABC順	e̞ː bʲ iː ɕ iː ʑ ɨ̃ ɴ
A面	e̞ː m ẽ̞ ɴ
エール	e̞ː ɾ ɯ̟
エーレクトラー	e̞ː ɾ e̞ k ɯ̟ t o̞ ɾ a̠ː
会厭	e̞ ẽ̞ ɴ
エオス	e̞ o̞ s ɨ
笑顔	e̞ ɡ a̠ o̞
絵描き	e̞ k a̠ kʲ i
描き	e̞ ɡ a̠ kʲ i
絵描き歌	e̞ k a̠ kʲ i ɯ̟ t a̠
描き方	e̞ ɡ a̠ kʲ i k a̠ t a̠
江頭	e̞ ɡ a̠ ɕ i ɾ a̠
えがった	e̞ ɡ a̠ t̚ t a̠
絵柄	e̞ ɡ a̠ ɾ a̠
易	e̞ kʲ i
液	e̞ kʲ i
益	e̞ kʲ i
駅	e̞ kʲ i
餌木	e̞ ɡʲ i
駅員	e̞ kʲ i ĩ ɴ
疫禍	e̞ kʲ i k a̠
疫学	e̞ kʲ i ɡ a̠ k ɯ̟
役牛	e̞ kʲ i ɡʲ ɨː
易経	e̞ kʲ i̥ kʲ o̞ː
エキサイト	e̞ kʲ i s a̠ i t o̞
エキシビション	e̞ kʲ i ɕ i bʲ i ɕ õ̞ ɴ
易者	e̞ kʲ i ɕ a̠
駅舎	e̞ kʲ i̥ ɕ a̠
益獣	e̞ kʲ i ʑ ɨː
エキス	e̞ kʲ i̥ s ɨ
エキストラ	e̞ kʲ i s ɨ t o̞ ɾ a̠
エキスパート	e̞ kʲ i s ɨ̥ p a̠ː t o̞
液相	e̞ kʲ i s o̞ː
液体	e̞ kʲ i t a̠ i
液チ	e̞ kʲ i t͡ɕ i
駅チカ	e̞ kʲ i t͡ɕ i k a̠
益虫	e̞ kʲ i̥ t͡ɕ ɨː
益鳥	e̞ kʲ i̥ t͡ɕ o̞ː
駅長	e̞ kʲ i̥ t͡ɕ o̞ː
掖庭	e̞ kʲ i t e̞ː
液滴	e̞ kʲ i t e̞ kʲ i
駅伝	e̞ kʲ i d ẽ̞ ɴ
駅伝競走	e̞ kʲ i d ẽ̞ ŋʲ kʲ o̞ː s o̞ː
液糖	e̞ kʲ i t o̞ː
疫病	e̞ kʲ i bʲ o̞ː
駅弁	e̞ kʲ i b ẽ̞ ɴ
駅前	e̞ kʲ i m a̠ e̞
役務	e̞ kʲ i m ɯ̟
駅務	e̞ kʲ i m ɯ̟
駅名	e̞ kʲ i m e̞ː
駅名標	e̞ kʲ i m e̞ː ç o̞ː
駅メロ	e̞ kʲ i m e̞ ɾ o̞
えきもれ	e̞ kʲ i m o̞ ɾ e̞
液卵	e̞ kʲ i ɾ ã̠ ɴ
エギンガー	e̞ ɡʲ ĩ ŋ ɡ a̠ː
エギング	e̞ ɡʲ ĩ ŋ ɡ ɯ̟
エクアドル	e̞ k ɯ̟ a̠ d o̞ ɾ ɯ̟
えぐい	e̞ ɡ ɯ̟ i
エクササイズ	e̞ k ɯ̟̊ s a̠ s a̠ i z ɨ
エクサビット	e̞ k ɯ̟ s a̠ bʲ i t̚ t o̞
エクスカリバー	e̞ k ɯ̟ s ɨ k a̠ ɾʲ i b a̠ː
エクステンション	e̞ k ɯ̟ s ɨ t ẽ̞ ɰ̃ ɕ õ̞ ɴ
エクスビバイト	e̞ k ɯ̟ s ɨ bʲ i b a̠ i t o̞
エクスビビット	e̞ k ɯ̟ s ɨ bʲ i bʲ i t̚ t o̞
江口	e̞ ɡ ɯ̟ t͡ɕ i
エクトプラズム	e̞ k ɯ̟̊ t o̞ p ɯ̟ ɾ a̠ z ɨ m ɯ̟
靨	e̞ k ɯ̟ b o̞
えぐる	e̞ ɡ ɯ̟ ɾ ɯ̟
えぐれる	e̞ ɡ ɯ̟ ɾ e̞ ɾ ɯ̟
エケチェン	e̞ k e̞ t͡ɕ ẽ̞ ɴ
えげつない	e̞ ɡ e̞ t͡s ɨ n a̠ i
エゲレス	e̞ ɡ e̞ ɾ e̞ s ɨ
エコ	e̞ k o̞
エゴ	e̞ ɡ o̞
慧極	e̞ ɡ o̞ k ɯ̟
絵心	e̞ ɡ o̞ k o̞ ɾ o̞
エゴサ	e̞ ɡ o̞ s a̠
エコチェン	e̞ k o̞ t͡ɕ ẽ̞ ɴ
エコノミー	e̞ k o̞ n o̞ mʲ iː
エコノミクス	e̞ k o̞ n o̞ mʲ i k ɯ̟ s ɨ
エコノミスト	e̞ k o̞ n o̞ mʲ i s ɨ̥ t o̞
エコバッグ	e̞ k o̞ b a̠ ɡ̚ ɡ̊ ɯ̟
依怙贔屓	e̞ k o̞ ç iː kʲ i
荏胡麻	e̞ ɡ o̞ m a̠
エコロジー	e̞ k o̞ ɾ o̞ ʑ iː
絵コンテ	e̞ k õ̞ n t e̞
餌	e̞ s a̠
江差	e̞ s a̠ ɕ i
えさもち	e̞ s a̠ m o̞ t͡ɕ i
壊死	e̞ ɕ i
絵師	e̞ ɕ i
餌食	e̞ ʑ i kʲ i
エジプト	e̞ ʑ i p ɯ̟̊ t o̞
エジプト人	e̞ ʑ i p ɯ̟̊ t o̞ ʑ ĩ ɴ
会釈	e̞ ɕ a̠ k ɯ̟
S	e̞ s ɨ
エス	e̞ s ɨ
画図	e̞ z ɨ
絵図	e̞ z ɨ
SRPG	e̞ s ɨ a̠ː ɾ ɯ̟ pʲ iː ʑ iː
SI	e̞ s ɨ a̠ i
SIer	e̞ s ɨ a̠ i j a̠ː
SSR	e̞ s ɨ e̞ s ɨ a̠ː ɾ ɯ̟
SNS	e̞ s ɨ e̞ n ɯ̟ e̞ s ɨ
SF	e̞ s ɨ e̞ ɸ ɯ̟
SM	e̞ s ɨ e̞ m ɯ̟
SL	e̞ s ɨ e̞ ɾ ɯ̟
SLG	e̞ s ɨ e̞ ɾ ɯ̟ ʑ iː
SOS	e̞ s ɨ o̞ː e̞ s ɨ
絵姿	e̞ s ɨ ɡ a̠ t a̠
エスカルゴ	e̞ s ɨ̥ k a̠ ɾ ɯ̟ ɡ o̞
エスカレーター	e̞ s ɨ̥ k a̠ ɾ e̞ː t a̠ː
えずく	e̞ z ɨ k ɯ̟
エスケープ	e̞ s ɨ k e̞ː p ɯ̟
エスコート	e̞ s ɨ k o̞ː t o̞
SJK	e̞ s ɨ ʑ e̞ː k e̞ː
エスタブリッシュメント	e̞ s ɨ t a̠ b ɯ̟ ɾʲ i ɕː ɨ m ẽ̞ n t o̞
エスツェット	e̞ s ɨ t͡s e̞ t̚ t o̞
エステティシャン	e̞ s ɨ t e̞ tʲ i ɕ ã̠ ɴ
エステル	e̞ s ɨ t e̞ ɾ ɯ̟
エストニア	e̞ s ɨ̥ t o̞ ɲ̟ i a̠
エストニア語	e̞ s ɨ̥ t o̞ ɲ̟ i a̠ ɡ o̞
エストニア人	e̞ s ɨ̥ t o̞ ɲ̟ i a̠ ʑ ĩ ɴ
エストラジオール	e̞ s ɨ t o̞ ɾ a̠ ʑ i o̞ː ɾ ɯ̟
エストロゲン	e̞ s ɨ̥ t o̞ ɾ o̞ ɡ ẽ̞ ɴ
エスニック	e̞ s ɨ ɲ̟ i k̚ k ɯ̟
エスノロジー	e̞ s ɨ n o̞ ɾ o̞ ʑ iː
エスパー	e̞ s ɨ̥ p a̠ː
SP	e̞ s ɨ pʲ iː
エスプリ	e̞ s ɨ p ɯ̟ ɾʲ i
エスプレッソ	e̞ s ɨ̥ p ɯ̟ ɾ e̞ sː o̞
エスペランティスト	e̞ s ɨ p e̞ ɾ ã̠ n tʲ i s ɨ t o̞
エスペラント	e̞ s ɨ̥ p e̞ ɾ ã̠ n t o̞
エスペラント化	e̞ s ɨ̥ p e̞ ɾ ã̠ n t o̞ k a̠
エスペラント語	e̞ s ɨ̥ p e̞ ɾ ã̠ n t o̞ ɡ o̞
えせ	e̞ s e̞
エゼキエル	e̞ z e̞ kʲ i e̞ ɾ ɯ̟
壊疽	e̞ s o̞
鱛	e̞ s o̞
蝦夷	e̞ z o̞
蝦夷狼	e̞ z o̞ o̞ː k a̠ mʲ i
蝦夷鰰	e̞ z o̞ h a̠ t a̠ h a̠ t a̠
エゾヒグマ	e̞ z o̞ ç i ɡ ɯ̟ m a̠
えそらごと	e̞ s o̞ ɾ a̠ ɡ o̞ t o̞
えた	e̞ t a̠
枝	e̞ d a̠
得体	e̞ t a̠ i
えだげ	e̞ d a̠ ɡ e̞
エタノール	e̞ t a̠ n o̞ː ɾ ɯ̟
枝豆	e̞ d a̠ m a̠ m e̞
エタる	e̞ t a̠ ɾ ɯ̟
エタン	e̞ t ã̠ ɴ
え段	e̞ d ã̠ ɴ
えちえち	e̞ t͡ɕ i e̞ t͡ɕ i
エチオピア	e̞ t͡ɕ i o̞ pʲ i a̠
越後	e̞ t͡ɕ i ɡ o̞
絵チャ	e̞ t͡ɕ a̠
エチュード	e̞ t͡ɕ ɨː d o̞
エチル	e̞ t͡ɕ i ɾ ɯ̟
エチレン	e̞ t͡ɕ i ɾ ẽ̞ ɴ
エチン	e̞ t͡ɕ ĩ ɴ
越境	e̞ k̚ʲ kʲ o̞ː
エックス	e̞ k̚ k ɯ̟̊ s ɨ
XML	e̞ k̚ k ɯ̟ s ɨ e̞ m ɯ̟ e̞ ɾ ɯ̟
XO醤	e̞ k̚ k ɯ̟ s ɨ o̞ː ʑ ã̠ ɴ
Xジェンダー	e̞ k̚ k ɯ̟ s ɨ ʑ ẽ̞ n d a̠ː
X軸	e̞ k̚ k ɯ̟ s ɨ ʑ i k ɯ̟
エッグノッグ	e̞ ɡ̚ ɡ̊ ɯ̟ n o̞ ɡ̚ ɡ̊ ɯ̟
謁見	e̞ k̚ k ẽ̞ ɴ
エッジ	e̞ d̚ d͡ʑ i
エッジング	e̞ d̚ d͡ʑ ĩ ŋ ɡ ɯ̟
エッダ	e̞ d̚ d̥ a̠
エッチ	e̞ t̚ t͡ɕ i
HDTV	e̞ t̚ t͡ɕ i dʲ iː tʲ iː b ɯ̟ i
越中	e̞ t̚ t͡ɕ ɨː
粤東	e̞ t̚ t o̞ː
越冬	e̞ t̚ t o̞ː
えっへん	e̞ hː ẽ̞ ɴ
悦	e̞ t͡s ɨ
斉魚	e̞ t͡s ɨ
粤	e̞ t͡s ɨ
謁	e̞ t͡s ɨ
越	e̞ t͡s ɨ
閲	e̞ t͡s ɨ
粤語	e̞ t͡s ɨ ɡ o̞
越語	e̞ t͡s ɨ ɡ o̞
越年生植物	e̞ t͡s ɨ n ẽ̞ ɰ̃ s e̞ː ɕ o̞ k ɯ̟ b ɯ̟ t͡s ɨ
絵面	e̞ z ɨ ɾ a̠
悦楽	e̞ t͡s ɨ ɾ a̠ k ɯ̟
閲覧	e̞ t͡s ɨ ɾ ã̠ ɴ
閲覧室	e̞ t͡s ɨ ɾ ã̠ ɰ̃ ɕ i t͡s ɨ
エディタ	e̞ dʲ i t a̠
エディター	e̞ dʲ i t a̠ː
絵手紙	e̞ t e̞ ɡ a̠ mʲ i
猿公	e̞ t e̞ k o̞ː
えてして	e̞ t e̞ ɕ i t e̞
エテン	e̞ t ẽ̞ ɴ
エデン	e̞ d ẽ̞ ɴ
えど	e̞ d o̞
江戸	e̞ d o̞
穢土	e̞ d o̞
江戸い	e̞ d o̞ i
エドガー	e̞ d o̞ ɡ a̠ː
江戸川	e̞ d o̞ ɡ a̠ β̞ a̠
会得	e̞ t o̞ k ɯ̟
江戸時代	e̞ d o̞ ʑ i d a̠ i
エトス	e̞ t o̞ s ɨ
江戸っ子	e̞ d o̞ k̚ k o̞
エトピリカ	e̞ t o̞ pʲ i ɾʲ i k a̠
江戸間	e̞ d o̞ m a̠
択捉	e̞ t o̞ ɾ o̞ ɸ ɯ̟
えな	e̞ n a̠
胞衣	h o̞ː i
柄長	e̞ n a̠ ɡ a̠
エナジー	e̞ n a̠ ʑ iː
エナドリ	e̞ n a̠ d o̞ ɾʲ i
エニェ	e̞ ɲ̟ e̞
絵日記	e̞ ɲ̟ i k̚ʲ kʲ i
恵庭	e̞ ɲ̟ i β̞ a̠
エヌ	e̞ n ɯ̟
NL	e̞ n ɯ̟ e̞ ɾ ɯ̟
NG	e̞ n ɯ̟ ʑ iː
エネルギー	e̞ n e̞ ɾ ɯ̟ ɡʲ iː
エネルギッシュ	e̞ n e̞ ɾ ɯ̟ ɡʲ i ɕː ɨ
榎茸	e̞ n o̞ kʲ i t a̠ k e̞
絵の具	e̞ n o̞ ɡ ɯ̟
狗尾草	e̞ n o̞ k o̞ ɾ o̞ ɡ ɯ̟ s a̠
江の島	e̞ n o̞ ɕ i m a̠
可愛岳	e̞ n o̞ d a̠ k e̞
エバ	e̞ b a̠
絵葉書	e̞ h a̠ ɡ a̠ kʲ i
エバミルク	e̞ b a̠ mʲ i ɾ ɯ̟ k ɯ̟
潁原	e̞ b a̠ ɾ a̠
荏原	e̞ b a̠ ɾ a̠
海老	e̞ bʲ i
海老蟹	e̞ bʲ i ɡ a̠ ɲ̟ i
蝦錠	e̞ bʲ i ʑ o̞ː
夷	e̞ bʲ i s ɨ
恵比須	e̞ bʲ i s ɨ
エビゼ	e̞ bʲ i z e̞
エピソード	e̞ pʲ i̥ s o̞ː d o̞
海老鯛	e̞ bʲ i t a̠ i
えびチリ	e̞ bʲ i t͡ɕ i ɾʲ i
エビデンス	e̞ bʲ i d ẽ̞ ɰ̃ s ɨ
海老名	e̞ bʲ i n a̠
海老根	e̞ bʲ i n e̞
エピネフリン	e̞ pʲ i n e̞ ɸ ɯ̟ ɾʲ ĩ ɴ
エビフライ	e̞ bʲ i ɸ ɯ̟ ɾ a̠ i
エビフリャー	e̞ bʲ i ɸ ɯ̟ ɾʲ a̠ː
エピペン	e̞ pʲ i p ẽ̞ ɴ
エビマヨ	e̞ bʲ i m a̠ j o̞
愛媛	e̞ ç i m e̞
愛媛県	e̞ ç i m e̞ k ẽ̞ ɴ
海老藻	e̞ bʲ i m o̞
エピローグ	e̞ pʲ i ɾ o̞ː ɡ ɯ̟
エフ	e̞ ɸ ɯ̟
衛府	e̞ ɸ ɯ̟
エフェソス	e̞ ɸ e̞ s o̞ s ɨ
FX	e̞ ɸ ɯ̟ e̞ k̚ k ɯ̟ s ɨ
FJK	e̞ ɸ ɯ̟ ʑ e̞ː k e̞ː
FJC	e̞ ɸ ɯ̟ ʑ e̞ː ɕ iː
エプシロン	e̞ p ɯ̟̊ ɕ i ɾ õ̞ ɴ
絵札	e̞ ɸ ɯ̟ d a̠
絵筆	e̞ ɸ ɯ̟ d e̞
Fランク	e̞ ɸ ɯ̟ ɾ ã̠ ŋ k ɯ̟
エプロン	e̞ p ɯ̟ ɾ õ̞ ɴ
江別	e̞ b e̞ t͡s ɨ
エベレスト	e̞ b e̞ ɾ e̞ s ɨ t o̞
エベント	e̞ b ẽ̞ n t o̞
恵方巻	e̞ h o̞ː m a̠ kʲ i
烏帽子	e̞ b o̞ ɕ i
烏帽子貝	e̞ b o̞ ɕ i ɡ a̠ i
烏帽子雀	e̞ b o̞ ɕ i ɡ a̠ ɾ a̠
烏帽子鳥	e̞ b o̞ ɕ i d o̞ ɾʲ i
烏帽子花	e̞ b o̞ ɕ i b a̠ n a̠
エホバ	e̞ h o̞ b a̠
エホバク	e̞ h o̞ b a̠ k ɯ̟
絵本	e̞ h õ̞ ɴ
絵馬	e̞ m a̠
絵巻	e̞ m a̠ kʲ i
笑み	e̞ mʲ i
エミー	e̞ mʲ iː
笑草	e̞ mʲ i ɡ ɯ̟ s a̠
愛実子	e̞ mʲ i k o̞
江実子	e̞ mʲ i k o̞
エミュ	e̞ mʲ ɨ
エミュー	e̞ mʲ ɨː
エミュレータ	e̞ mʲ ɨ ɾ e̞ː t a̠
エミュレーター	e̞ mʲ ɨ ɾ e̞ː t a̠ː
M	e̞ m ɯ̟
エム	e̞ m ɯ̟
笑む	e̞ m ɯ̟
MLB	e̞ m ɯ̟ e̞ ɾ ɯ̟ bʲ iː
MC	e̞ m ɯ̟ ɕ iː
MJK	e̞ m ɯ̟ ʑ e̞ː k e̞ː
MJC	e̞ m ɯ̟ ʑ e̞ː ɕ iː
エメラルド	e̞ m e̞ ɾ a̠ ɾ ɯ̟ d o̞
エモい	e̞ m o̞ i
絵文字	e̞ m o̞ ʑ i
江本	e̞ m o̞ t o̞
えもの	e̞ m o̞ n o̞
衛門	e̞ m õ̞ ɴ
衛門府	e̞ m õ̞ ɰ̃ ɸ ɯ̟
えやみ	e̞ j a̠ mʲ i
鰓	e̞ ɾ a̠
エラー	e̞ ɾ a̠ː
えらあな	e̞ ɾ a̠ a̠ n a̠
偉い	e̞ ɾ a̠ i
偉そう	e̞ ɾ a̠ s o̞ː
エラトー	e̞ ɾ a̠ t o̞ː
選び方	e̞ ɾ a̠ bʲ i k a̠ t a̠
えらびだす	e̞ ɾ a̠ bʲ i d a̠ s ɨ
選ぶ	e̞ ɾ a̠ b ɯ̟
エリ	e̞ ɾʲ i
絵梨	e̞ ɾʲ i
襟	e̞ ɾʲ i
魞	e̞ ɾʲ i
エリア	e̞ ɾʲ i a̠
襟足	e̞ ɾʲ i a̠ ɕ i
エリー湖	e̞ ɾʲ iː k o̞
エリーゼ	e̞ ɾʲ iː z e̞
エリート	e̞ ɾʲ iː t o̞
エリオット湾	e̞ ɾʲ i o̞ t̚ t o̞ β̞ ã̠ ɴ
絵里加	e̞ ɾʲ i k a̠
襟首	e̞ ɾʲ i k ɯ̟ bʲ i
えりぐり	e̞ ɾʲ i ɡ ɯ̟ ɾʲ i
エリサベト	e̞ ɾʲ i s a̠ b e̞ t o̞
襟章	e̞ ɾʲ i ɕ o̞ː
エリトリア	e̞ ɾʲ i t o̞ ɾʲ i a̠
選り抜き	e̞ ɾʲ i n ɯ̟ kʲ i
襟巻き	e̞ ɾʲ i m a̠ kʲ i
襟巻蜥蜴	e̞ ɾʲ i m a̠ kʲ i t o̞ k a̠ ɡ e̞
襟元	e̞ ɾʲ i m o̞ t o̞
エリヤ	e̞ ɾʲ i j a̠
L	e̞ ɾ ɯ̟
エル	e̞ ɾ ɯ̟
彫る	e̞ ɾ ɯ̟
得る	e̞ ɾ ɯ̟
LED	e̞ ɾ ɯ̟ iː dʲ iː
エルサレム	e̞ ɾ ɯ̟ s a̠ ɾ e̞ m ɯ̟
L字	e̞ ɾ ɯ̟ ʑ i
LCC	e̞ ɾ ɯ̟ ɕ iː ɕ iː
LCD	e̞ ɾ ɯ̟ ɕ iː dʲ iː
LGBT	e̞ ɾ ɯ̟ ʑ iː bʲ iː tʲ iː
LJK	e̞ ɾ ɯ̟ ʑ e̞ː k e̞ː
LJC	e̞ ɾ ɯ̟ ʑ e̞ː ɕ iː
エルジャ語	e̞ ɾ ɯ̟ ʑ a̠ ɡ o̞
Lチカ	e̞ ɾ ɯ̟ t͡ɕ i k a̠
エルビウム	e̞ ɾ ɯ̟ bʲ i ɯ̟ m ɯ̟
エルフ	e̞ ɾ ɯ̟ ɸ ɯ̟
エレガント	e̞ ɾ e̞ ɡ ã̠ n t o̞
エレキ	e̞ ɾ e̞ kʲ i
エレキテル	e̞ ɾ e̞ kʲ i t e̞ ɾ ɯ̟
エレクトリック	e̞ ɾ e̞ k ɯ̟ t o̞ ɾʲ i k̚ k ɯ̟
エレクトロニカ	e̞ ɾ e̞ k ɯ̟ t o̞ ɾ o̞ ɲ̟ i k a̠
エレクトロニクス	e̞ ɾ e̞ k ɯ̟̊ t o̞ ɾ o̞ ɲ̟ i k ɯ̟̊ s ɨ
エレジー	e̞ ɾ e̞ ʑ iː
エレバン	e̞ ɾ e̞ b ã̠ ɴ
エレベーター	e̞ ɾ e̞ b e̞ː t a̠ː
エレボス	e̞ ɾ e̞ b o̞ s ɨ
エロ	e̞ ɾ o̞
エロい	e̞ ɾ o̞ i
エロイプ	e̞ ɾ o̞ i p ɯ̟
エロース	e̞ ɾ o̞ː s ɨ
エロかわいい	e̞ ɾ o̞ k a̠ β̞ a̠ iː
エログ	e̞ ɾ o̞ ɡ ɯ̟
エロゲ	e̞ ɾ o̞ ɡ e̞
エロコメ	e̞ ɾ o̞ k o̞ m e̞
エロス	e̞ ɾ o̞ s ɨ
エロチシズム	e̞ ɾ o̞ t͡ɕ i ɕ i z ɨ m ɯ̟
エロチック	e̞ ɾ o̞ t͡ɕ i̥ k̚ k ɯ̟
エロビ	e̞ ɾ o̞ bʲ i
エロ本	e̞ ɾ o̞ h õ̞ ɴ
エロマンガ島	e̞ ɾ o̞ m ã̠ ŋ ɡ a̠ t o̞ː
円	ẽ̞ ɴ
園	ẽ̞ ɴ
媛	ẽ̞ ɴ
宛	ẽ̞ ɴ
延	ẽ̞ ɴ
怨	ẽ̞ ɴ
援	ẽ̞ ɴ
沿	ẽ̞ ɴ
演	ẽ̞ ɴ
縁	ẽ̞ ɴ
塩安	ẽ̞ ɰ̃ ã̠ ɴ
遠因	ẽ̞ ɰ̃ ĩ ɴ
演繹	ẽ̞ ɰ̃ e̞ kʲ i
演繹法	ẽ̞ ɰ̃ e̞ kʲ i̥ h o̞ː
延々	ẽ̞ ɰ̃ ẽ̞ ɴ
蜿蜒	ẽ̞ ɰ̃ ẽ̞ ɴ
厭悪	ẽ̞ ɰ̃ o̞
エンカ	ẽ̞ ŋ k a̠
嚥下	ẽ̞ ŋ k a̠
園歌	ẽ̞ ŋ k a̠
塩化	ẽ̞ ŋ k a̠
演歌	ẽ̞ ŋ k a̠
燕窩	ẽ̞ ŋ k a̠
宴会	ẽ̞ ŋ k a̠ i
沿海	ẽ̞ ŋ k a̠ i
遠海	ẽ̞ ŋ k a̠ i
煙害	ẽ̞ ŋ ɡ a̠ i
エンカウント	ẽ̞ ŋ k a̠ ɯ̟̃ n t o̞
塩化カルシウム	ẽ̞ ŋ k a̠ k a̠ ɾ ɯ̟ ɕ i ɯ̟ m ɯ̟
遠隔	ẽ̞ ŋ k a̠ k ɯ̟
円滑	ẽ̞ ŋ k a̠ t͡s ɨ
塩化ナトリウム	ẽ̞ ŋ k a̠ n a̠ t o̞ ɾʲ i ɯ̟ m ɯ̟
縁側	ẽ̞ ŋ ɡ a̠ β̞ a̠
円環	ẽ̞ ŋ k ã̠ ɴ
沿岸	ẽ̞ ŋ ɡ ã̠ ɴ
鉛管工	ẽ̞ ŋ k ã̠ ŋ k o̞ː
塩基	ẽ̞ ŋʲ kʲ i
延期	ẽ̞ ŋʲ kʲ i
延喜	ẽ̞ ŋʲ ɡʲ i
演戯	ẽ̞ ŋʲ ɡʲ i
演技	ẽ̞ ŋʲ ɡʲ i
演義	ẽ̞ ŋʲ ɡʲ i
縁起	ẽ̞ ŋʲ ɡʲ i
演技者	ẽ̞ ŋʲ ɡʲ i ɕ a̠
塩基性	ẽ̞ ŋʲ kʲ i̥ s e̞ː
塩基対	ẽ̞ ŋʲ kʲ i t͡s ɨ i
縁起物	ẽ̞ ŋʲ ɡʲ i m o̞ n o̞
エンキュー	ẽ̞ ŋʲ kʲ ɨː
延享	ẽ̞ ŋʲ kʲ o̞ː
延慶	ẽ̞ ŋʲ kʲ o̞ː
遠距離	ẽ̞ ŋʲ kʲ o̞ ɾʲ i
縁切り	ẽ̞ ŋʲ kʲ i ɾʲ i
演技力	ẽ̞ ŋʲ ɡʲ i ɾʲ o̞ k ɯ̟
遠近	ẽ̞ ŋʲ kʲ ĩ ɴ
遠近法	ẽ̞ ŋʲ kʲ ĩ ɰ̃ h o̞ː
円形	ẽ̞ ŋ k e̞ː
園芸	ẽ̞ ŋ ɡ e̞ː
演芸	ẽ̞ ŋ ɡ e̞ː
エンゲージリング	ẽ̞ ŋ ɡ e̞ː ʑ i ɾʲ ĩ ŋ ɡ ɯ̟
掩撃	ẽ̞ ŋ ɡ e̞ kʲ i
演劇	ẽ̞ ŋ ɡ e̞ kʲ i
嚥下障害	ẽ̞ ŋ ɡ e̞ ɕ o̞ː ɡ a̠ i
怨言	ẽ̞ ŋ ɡ ẽ̞ ɴ
淵源	ẽ̞ ŋ ɡ ẽ̞ ɴ
エンコ	ẽ̞ ŋ k o̞
塩湖	ẽ̞ ŋ k o̞
援護	ẽ̞ ŋ ɡ o̞
円光	ẽ̞ ŋ k o̞ː
援交	ẽ̞ ŋ k o̞ː
塩湖市	ẽ̞ ŋ k o̞ ɕ i
怨恨	ẽ̞ ŋ k õ̞ ɴ
冤罪	ẽ̞ n d͡z a̠ i
塩酸	ẽ̞ ɰ̃ s ã̠ ɴ
演算	ẽ̞ n d͡z ã̠ ɴ
演算機	ẽ̞ n d͡z ã̠ ŋʲ kʲ i
遠視	ẽ̞ ɰ̃ ɕ i
園児	ẽ̞ ɲ̟ d͡ʑ i
臙脂	ẽ̞ ɲ̟ d͡ʑ i
衍字	ẽ̞ ɲ̟ d͡ʑ i
エンジェル	ẽ̞ ɲ̟ d͡ʑ e̞ ɾ ɯ̟
演者	ẽ̞ ɲ̟ d͡ʑ a̠
縁者贔屓	ẽ̞ ɲ̟ d͡ʑ a̠ bʲ iː kʲ i
円周	ẽ̞ ɰ̃ ɕ ɨː
円宗	ẽ̞ ɰ̃ ɕ ɨː
演習	ẽ̞ ɰ̃ ɕ ɨː
円周率	ẽ̞ ɰ̃ ɕ ɨː ɾʲ i t͡s ɨ
円熟	ẽ̞ ɲ̟ d͡ʑ ɨ k ɯ̟
演出	ẽ̞ ɰ̃ ɕ ɨ t͡s ɨ
炎暑	ẽ̞ ɰ̃ ɕ o̞
艶書	ẽ̞ ɰ̃ ɕ o̞
援助	ẽ̞ ɲ̟ d͡ʑ o̞
エンジョイ	ẽ̞ ɲ̟ d͡ʑ o̞ i
延焼	ẽ̞ ɰ̃ ɕ o̞ː
炎症	ẽ̞ ɰ̃ ɕ o̞ː
炎上	ẽ̞ ɲ̟ d͡ʑ o̞ː
怨色	ẽ̞ ɰ̃ ɕ o̞ k ɯ̟
演色	ẽ̞ ɰ̃ ɕ o̞ k ɯ̟
炎色	ẽ̞ ɰ̃ ɕ o̞ k ɯ̟
艶色	ẽ̞ ɰ̃ ɕ o̞ k ɯ̟
演じる	ẽ̞ ɲ̟ d͡ʑ i ɾ ɯ̟
円心	ẽ̞ ɰ̃ ɕ ĩ ɴ
延伸	ẽ̞ ɰ̃ ɕ ĩ ɴ
遠心	ẽ̞ ɰ̃ ɕ ĩ ɴ
エンジン	ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
円陣	ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
猿人	ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
遠心顔	ẽ̞ ɰ̃ ɕ ĩ ŋ ɡ a̠ o̞
厭人者	ẽ̞ ɲ̟ d͡ʑ ĩ ɰ̃ ɕ a̠
遠心力	ẽ̞ ɰ̃ ɕ ĩ n̺ ɾʲ o̞ k ɯ̟
円錐	ẽ̞ ɰ̃ s ɨ i
延髄	ẽ̞ n d͡z ɨ i
円錐角膜	ẽ̞ ɰ̃ s ɨ i k a̠ k ɯ̟ m a̠ k ɯ̟
エンスト	ẽ̞ ɰ̃ s ɨ̥ t o̞
演ずる	ẽ̞ n d͡z ɨ ɾ ɯ̟
厭世	ẽ̞ ɰ̃ s e̞ː
厭世家	ẽ̞ ɰ̃ s e̞ː k a̠
厭世観	ẽ̞ ɰ̃ s e̞ː k ã̠ ɴ
厭世主義	ẽ̞ ɰ̃ s e̞ː ɕ ɨ ɡʲ i
