Ada	aː t a
frumulíffæri	f r ʏː m ʏ l i f f a iː r ɪ
frumuveggur	f r ʏː m ʏ v ɛ kː ʏ r
frumvarp	f r ʏ m v a r̥ p
frunti	f r ʏ n̥ t ɪ
frygð	f r ɪ ɣ ð
frymi	f r ɪː m ɪ
frysta	f r ɪ s t a
frystir	f r ɪ s t ɪ r
frystiskápur	f r ɪ s t ɪ s k a uː p ʏ r
frá	f r a uː
frábending	f r a uː p ɛ n t i ŋ k
frábærlega	f r a uː p a i r l ɛː ɣ a
frádráttur	f r a u t r a u h t ʏ r
frár	f r a uː r
frásögn	f r a uː s œ k n
fræ	f r a iː
fræfill	f r a iː v ɪ t l
frægur	f r a iː ɣ ʏ r
frægð	f r a i ɣ ð
frækinn	f r a iː c ɪ nː
frændhygli	f r a i n t h ɪ k l ɪ
frændsemi	f r a i n t s ɛː m ɪ
fræni	f r a iː n ɪ
frænka	f r a i n k a
fræva	f r a iː v a
fræða	f r a iː ð a
fræði	f r a iː ð ɪ
fræðigrein	f r a iː ð ɪ k r e iː n
fræðimaður	f r a iː ð ɪ m aː ð ʏ r
fræðsla	f r a i ð s t l a
frétt	f r j ɛ h t
fréttablað	f r j ɛ h t a p l aː ð
fréttastofa	f r j ɛ h t a s t ɔː v a
frí	f r iː
frímerki	f r iː m ɛ r̥ c ɪ
frímerkjasafnari	f r iː m ɛ r̥ c a s a p n aː r ɪ
frímúrari	f r iː m uː r aː r ɪ
frískur	f r i s k ʏ r
frísneska	f r iː s n ɛ s k a
frísneskur	f r iː s n ɛ s k ʏ r
fríspark	f r iː s p a r̥ k
fríðleiki	f r iː ð l e iː c ɪ
fríður	f r iː ð ʏ r
fró	f r o uː
fróa	f r o uː a
frón	f r o uː n
frónsk	f r o u n s k
frónskur	f r o u n s k ʏ r
fróður	f r o uː ð ʏ r
frú	f r uː
frýgískur	f r iː c i s k ʏ r
fugl	f ʏ k l
fuglafræði	f ʏ k l a f r a iː ð ɪ
fuglahræða	f ʏ k l a r̥ a iː ð a
fuglakjöt	f ʏ k l a cʰ œː t
fullkominn	f ʏ t l̥ kʰ ɔː m ɪ nː
fullkomlega	f ʏ t l̥ kʰ ɔ m l ɛː ɣ a
fullnusta	f ʏ t l n ʏ s t a
fulltingi	f ʏ t l̥ tʰ i ɲ c ɪ
fulltrúi	f ʏ t l̥ tʰ r uː ɪ
fullur	f ʏ t ɬ ʏ r
fullyrða	f ʏ t l ɪ r ð a
fullyrðing	f ʏ t l ɪ r ð i ŋ k
funa	f ʏː n a
funda	f ʏ n t a
fundur	f ʏ n t ʏ r
funi	f ʏː n ɪ
fura	f ʏː r a
fursti	f ʏ r̥ s t ɪ
furða	f ʏ r ð a
furðuhlutur	f ʏ r ð ʏ l̥ ʏː t ʏ r
furðulegur	f ʏ r ð ʏ l ɛː ɣ ʏ r
fyl	f ɪː l
fylgd	f ɪ l t
fylgdarmaður	f ɪ l t a r m aː ð ʏ r
fylgi	f ɪ l c ɪ
fylgifiskur	f ɪ l c ɪ f ɪ s k ʏ r
fylgirit	f ɪ l c ɪ r ɪː t
fylgja	f ɪ l c a
fylgjari	f ɪ l c a r ɪ
fylgsni	f ɪ l k s t n ɪ
fylja	f ɪ l j a
fylki	f ɪ l̥ c ɪ
fylking	f ɪ l̥ c i ŋ k
fylla	f ɪ t l a
fylli	f ɪ t l ɪ
fyllilega	f ɪ t l ɪ l ɛː ɣ a
fylling	f ɪ t l i ŋ k
fyllirí	f ɪ t l ɪ r i
fyrir	f ɪː r ɪ r
fyrirferð	f ɪː r ɪ r f ɛ r ð
fyrirferðarmikill	f ɪː r ɪ r f ɛ r ð a r m ɪː c ɪ t l
fyrirgangur	f ɪː r ɪ r k a u ŋ k ʏ r
fyrirgefning	f ɪː r ɪ r c ɛ p n i ŋ k
fyrirgera	f ɪː r ɪ r c ɛː r a
fyrirgjöra	f ɪː r ɪ r c œː r a
fyrirlestur	f ɪː r ɪ r l ɛ s t ʏ r
fyrirlitning	f ɪː r ɪ r l ɪ h t n i ŋ k
fyrirliði	f ɪː r ɪ r l ɪː ð ɪ
fyrirsæta	f ɪː r ɪ r s a iː t a
fyrirtæki	f ɪː r ɪ r tʰ a iː c ɪ
fyrstur	f ɪ r̥ s t ʏ r
fyðill	f ɪː ð ɪ t l
fá	f a uː
fága	f a uː a
fágaður	f a uː a ð ʏ r
fákur	f a uː k ʏ r
fálki	f a u l̥ c ɪ
fálm	f a u l m
fálma	f a u l m a
fána	f a uː n a
fáni	f a uː n ɪ
fár	f a uː r
fáránlegur	f a uː r a u n l ɛː ɣ ʏ r
fátækt	f a uː tʰ a i x t
fátækur	f a uː tʰ a iː k ʏ r
fáviti	f a uː v ɪː t ɪ
fæ	f a iː
fægja	f a iː j a
fæla	f a iː l a
fælast	f a iː l a s t
fælinn	f a iː l ɪ nː
fæll	f a i t l
fælni	f a i l n ɪ
fær	f a iː r
færa	f a iː r a
færeyska	f a iː r e i s k a
færeyskur	f a iː r e i s k ʏ r
færi	f a iː r ɪ
færiband	f a iː r ɪ p a n t
færni	f a i r t n ɪ
fæða	f a iː ð a
fæðing	f a iː ð i ŋ k
fé	f j ɛː
félag	f j ɛː l aː ɣ
félagaskiptagluggi	f j ɛː l aː ɣ a s c ɪ f t a k l ʏ cː ɪ
félagi	f j ɛː l aː j ɪ
félagshyggja	f j ɛː l a x s h ɪ cː a
fénaður	f j ɛː n aː ð ʏ r
fés	f j ɛː s
févíti	f j ɛː v iː t ɪ
fífa	f iː v a
fífill	f iː v ɪ t l
fífl	f i p l
fíkill	f iː c ɪ t l
fíkinn	f iː c ɪ nː
fíkja	f iː c a
fíkn	f i h k n
fílsbein	f i l s p e iː n
fínn	f i t n
fís	f iː s
fóarn	f o uː a r t n
fógeti	f o uː c ɛː t ɪ
fólk	f o u l̥ k
fólínsýra	f o uː l iː n s iː r a
fónem	f o uː n ɛː m
fórinta	f o uː r ɪ n̥ t a
fórn	f o u r t n
fórna	f o u r t n a
fórnarlamb	f o u r t n a r l a m p
fóstra	f o u s t r a
fóstri	f o u s t r ɪ
fóstur	f o u s t ʏ r
fótasár	f o uː t a s a uː r
fótboltafélag	f o uː t p ɔ l̥ t a f j ɛː l aː ɣ
fótboltaþjálfari	f o uː t p ɔ l̥ t a θ j a u l v aː r ɪ
fótbolti	f o uː t p ɔ l̥ t ɪ
fótleggur	f o uː t l ɛ kː ʏ r
fótsnyrting	f o uː t s n ɪ r̥ t i ŋ k
fótur	f o uː t ʏ r
fótur	f o uː tʰ ʏ r
fóðrun	f o u ð r ʏ n
fóður	f o uː ð ʏ r
föggur	f œ kː ʏ r
föl	f œː l
fölna	f œ l n a
fölur	f œː l ʏ r
fölvi	f œ l v ɪ
fön	f œː n
föndra	f œ n t r a
föndur	f œ n t ʏ r
fönix	f œː n ɪ x s
fönn	f œ nː
för	f œː r
förðun	f œ r ð ʏ n
föstudagur	f œ s tʰ ʏ t aː ɣ ʏ r
föt	f œː t
föðurbróðir	f œː ð ʏ r p r o uː ð ɪ r
föðurland	f œː ð ʏ r l a n t
föðurlandsvinur	f œː ð ʏ r l a n s v ɪː n ʏ r
föðursystir	f œː ð ʏ r s ɪ s t ɪ r
fúga	f uː a
fúga	f uː k a
fúi	f uː ɪ
fúinn	f uː ɪ nː
fúll	f u t l
fúlmár	f u l m a uː r
fús	f uː s
fúx	f u x s
fýla	f iː l a
fýldur	f i l t ʏ r
fýluferð	f iː l ʏ f ɛ r ð
fýra	f iː r a
fýsn	f i s t n
g	c ɛː
gaffall	k a fː a t l
gagga	k a kː a
gagn	k a k n
gagnagrunnur	k a k n a k r ʏ nː ʏ r
gagnauga	k a k n ø yː ɣ a
gagnlegur	k a k n l ɛ ɣ ʏ r
gagnrýni	k a k n r iː n ɪ
gagnsemi	k a k n s ɛː m ɪ
gagntaka	k a k n tʰ aː k a
gal	k aː l
gala	k aː l a
galdra	k a l t r a
galdrakerling	k a l t r a cʰ ɛ r t l i ŋ k
galdramaður	k a l t r a m aː ð ʏ r
galdur	k a l t ʏ r
galgopi	k a l k ɔː p ɪ
gallabuxur	k a lː a p ʏ x s ʏ r
gallalaus	k a t l a l ø yː s
gallblaðra	k a t l p l a ð r a
galli	k a lː ɪ
galli	k a t l ɪ
galsi	k a l s ɪ
gamall	k aː m a t l
gaman	k aː m aː n
gamansamur	k aː m a n s aː m ʏ r
gamansemi	k aː m a n s ɛː m ɪ
gambri	k a m p r ɪ
gamburmosi	k a m p ʏ r m ɔː s ɪ
gandur	k a n t ʏ r
ganga	k a u ŋ k a
gangbraut	k a u ŋ k p r ø yː t
gangráður	k a u ŋ k r a uː ð ʏ r
gangur	k a u ŋ k ʏ r
gap	k aː p
gapa	k aː p a
garg	k a r k
gargönd	k a r k œ n t
garmur	k a r m ʏ r
garn	k a r t n
garpur	k a r̥ p ʏ r
garðakornblóm	k a r ð a kʰ ɔ r t n p l o uː m
garðaprjón	k a r ð a pʰ r j o uː n
garðasól	k a r ð a s o uː l
garðrækt	k a r ð r a i x t
garður	k a r ð ʏ r
garðyrkja	k a r ð ɪ r̥ c a
garðyrkjumaður	k a r ð ɪ r̥ c ʏ m aː ð ʏ r
gas	k aː s
gashylki	k aː s h ɪ l̥ c ɪ
gat	k aː t
gata	k aː t a
gatari	k aː t aː r ɪ
gatnamót	k a h t n a m o uː t
gaukur	k ø yː k ʏ r
gaul	k ø yː l
gaupa	k ø yː p a
gaur	k ø yː r
gauð	k ø yː ð
gedda	k ɛ tː a
gefa	c ɛː v a
gegna	c ɛ k n a
gegnvirkur	c ɛ k n v ɪ r̥ k ʏ r
geil	c e iː l
geimfar	c e i m f aː r
geimfari	c e i m f aː r ɪ
geimferð	c e i m f ɛ r ð
geimskip	c e i m s c ɪː p
geimsteinn	c ɛ i̯ m s t ɛ i̯ nː
geimstöð	c e i m s t œː ð
geimur	c e iː m ʏ r
geipa	c e iː p a
geir	k e iː r
geirfugl	c e i r f ʏ k l
geiri	c e iː r ɪ
geirvarta	c e i r v a r̥ t a
geisa	c e iː s a
geisla	c e i s t l a
geislabaugur	c e i s t l a p ø yː ɣ ʏ r
geisladiskur	c e i s t l a t ɪ s k ʏ r
geislamaðra	c e i s t l a m a ð r a
geislaspilari	c e i s t l a s p ɪː l aː r ɪ
geisli	c e i s t l ɪ
geispa	c e i s p a
geispi	c e i s p ɪ
geit	c e iː t
geitungur	c e iː t u ŋ k ʏ r
gel	c ɛː l
gelda	c ɛ l t a
gelding	c ɛ l t i ŋ k
geldingahnappur	c ɛ l t i ŋ k a n̥ a h p ʏ r
geldingalauf	c ɛ l t i ŋ k a l ø yː v
gella	c ɛ lː a
gelt	c ɛ l̥ t
gelta	c ɛ l̥ t a
gengi	c e i ɲ c ɪ
gengilbeina	c e i ŋ c ɪ l p e iː n a
gengill	c e i ɲ c ɪ t l
gengismunur	c e i ɲ c ɪ s m ʏː n ʏ r
gengur	c e i ŋ k ʏ r
gepill	c ɛː p ɪ t l
ger	c ɛː r
gera	c ɛː r a
gerandi	c ɛː r a n t ɪ
gerill	c ɛː r ɪ t l
gerjun	c ɛ r j ʏ n
gerla	c ɛ r t l a
germynd	c ɛ r m ɪ n t
gersemi	c ɛ r s ɛː m ɪ
gervi	c ɛ r v ɪ
gervigras	c ɛ r v ɪ k r aː s
gervigreind	c ɛ r v ɪ k r e i n d
gervigígur	c ɛ r v ɪ c iː ɣ ʏ r
gervill	c ɛ r v ɪ t l
gervitungl	c ɛ r v ɪ tʰ u ŋ l
gervitunglamynd	c ɛ r v ɪ tʰ u ŋ l a m ɪ n t
gerð	c ɛ r ð
gerði	c ɛ r ð ɪ
ges	c ɛː s
gestgjafi	c ɛ s t c aː v ɪ
gestrisni	c ɛ s t r ɪ s t n ɪ
gestur	c ɛ s t ʏ r
geta	c ɛː t a
getnaðarlimur	c ɛ h t n aː ð a r l ɪː m ʏ r
getnaður	c ɛ h t n aː ð ʏ r
geysa	c e iː s a
geð	c ɛː ð
geðklofi	c ɛ ð kʰ l ɔː v ɪ
geðlæknir	c ɛ ð l a i h k n ɪ r
geðshræring	c ɛ ð s r̥ a iː r i ŋ k
geðveikur	c ɛ ð v e iː k ʏ r
gifs	c ɪ f s
gift	c ɪ f t
gifta	c ɪ f t a
gifting	c ɪ f t i ŋ k
giftur	c ɪ v t ʏ r
gigt	c ɪ x t
gikkja	c ɪ h c a
gikkur	c ɪ h k ʏ r
gil	c ɪː l
gildi	c ɪ l t ɪ
gildur	c ɪ l t ʏ r
gimbill	c ɪ m p ɪ t l
gimbur	c ɪ m p ʏ r
gimsteinn	c ɪ m s t e i t n
ginna	c ɪ nː a
ginning	c ɪ nː i ŋ k
girnd	c ɪ r n t
girni	c ɪ r t n ɪ
girða	c ɪ r ð a
girðing	c ɪ r ð i ŋ k
giska	c ɪ s k a
gista	c ɪ s t a
gisti	c ɪ s t ɪ
gistihús	c ɪ s t ɪ h uː s
gisting	c ɪ s t i ŋ k
gjald	c a l t
gjalda	c a l t a
gjaldeyrir	c a l t e iː r ɪ r
gjaldkeri	c a l t cʰ ɛː r ɪ
gjaldmiðill	c a l t m ɪː ð ɪ t l
gjaldþrot	c a l t θ r ɔː t
gjall	c a t l
gjalla	c a t l a
gjamm	c a mː
gjamma	c a mː a
gjarn	c a r t n
gjarna	c a r t n a
gjá	c a uː
gjóla	c o uː l a
gjósa	c o uː s a
gjóska	c o u s k a
gjóstur	c o u s t ʏ r
gjóta	c o uː t a
gjóður	c o uː ð ʏ r
gjöf	c œː v
gjöfull	c œː v ʏ t l
gjögur	c œː ɣ ʏ r
gjörla	c œ r t l a
gjörð	c œ r ð
glampa	k l a m̥ p a
glampi	k l a m̥ p ɪ
glanni	k l a nː ɪ
glas	k l aː s
glata	k l aː t a
glaumgosi	k l ø y m k ɔː s ɪ
glaður	k l aː ð ʏ r
glepja	k l ɛː p j a
gler	k l ɛː r
gleraugu	k l ɛː r ø yː ɣ ʏ
glerungur	k l ɛː r u ŋ k ʏ r
gletta	k l ɛ h t a
gleypa	k l e iː p a
gleði	k l ɛː ð ɪ
gleðikona	k l ɛː ð ɪ kʰ ɔː n a
gleðilegur	k l ɛː ð ɪ l ɛː ɣ ʏ r
gleðispillir	k l ɛː ð ɪ s p ɪ t l ɪ r
gleðja	k l ɛ ð j a
glissa	k l ɪ sː a
glitfífill	k l ɪː t f iː v ɪ t l
gljá	k l j a uː
gljávíðir	k l j a uː v iː ð ɪ r
gljúfra	k l̥ j u v r a
gljúfur	k l j uː v ʏ r
glott	k l ɔ h t
glufa	k l ʏː v a
gluggatjald	k l ʏ kː a tʰ j a l t
gluggi	k l ʏ cː ɪ
glundra	k l ʏ n t r a
glundur	k l ʏ n t ʏ r
glymja	k l ɪ m j a
glymur	k l ɪː m ʏ r
glyrna	k l ɪ r t n a
glyðra	k l ɪ ð r a
gláka	k l a uː k a
glápa	k l a uː p a
glæpamaður	k l a iː p a m aː ð ʏ r
glæpur	k l a iː p ʏ r
glær	k l a iː r
glæra	k l a iː r a
glæruvængur	k l a iː r ʏ v a i ŋ k ʏ r
glæta	k l a iː t a
glæða	k l a iː ð a
glíma	k l iː m a
glóbrystingur	k l o uː p r ɪ s t i ŋ k ʏ r
glópagull	k l o uː p a k ʏ t l
glópur	k l o uː p ʏ r
glóra	k l o uː r a
glósa	k l o uː s a
glóð	k l o uː ð
glóðarauga	k l o uː ð a r ø yː ɣ a
glögg	k l œ kː
glöggur	k l œ kː ʏ r
glötun	k l œː t ʏ n
gneggja	k n ɛ cː a
gnoð	k n ɔː ð
gnægð	k n a i ɣ ð
gnótt	k n o u h t
gnýja	k n iː j a
goggur	k ɔ kː ʏ r
gola	k ɔː l a
golf	k ɔ l v
gorma	k ɔ r m a
gormur	k ɔ r m ʏ r
gort	k ɔ r̥ t
gorta	k ɔ r̥ t a
gos	k ɔː s
goshver	k ɔː s kʰ v ɛː r
gosi	k ɔː s ɪ
gotneskur	k ɔ h t n ɛ s k ʏ r
gott	k ɔ h t
goð	k ɔː ð
goðafræði	k ɔː ð a f r a iː ð ɪ
goði	k ɔː ð ɪ
grafa	k r aː v a
grafall	k r aː v a t l
grafít	k r aː f iː t
grallari	k r a t l aː r ɪ
grameðla	k r aː m ɛ ð l a
gramm	k r a mː
gramúlfur	k r aː m u l v ʏ r
granatepli	k r aː n aː t ɛ h p l ɪ
grand	k r a n t
granda	k r a n t a
granni	k r a nː ɪ
grannur	k r a nː ʏ r
gras	k r aː s
grasafræði	k r aː s a f r a iː ð ɪ
grasasni	k r aː s a s t n ɪ
graslaukur	k r aː s l ø yː k ʏ r
graslendi	k r aː s l ɛ n t ɪ
grasnykra	k r aː s n ɪː k r a
grassnákur	k r aː s s n a uː k ʏ r
grasvíðir	k r aː s v iː ð ɪ r
grautur	k r ø yː t ʏ r
graðhestur	k r aː ð h ɛ s t ʏ r
graður	k r aː ð ʏ r
gredda	k r ɛ tː a
grefill	k r ɛː v ɪ t l
greifi	k r e iː v ɪ
greifingi	k r e iː v i ɲ c ɪ
grein	k r e iː n
greina	k r e iː n a
greinargerð	k r e iː n a r c ɛ r ð
greinarmerki	k r e iː n a r m ɛ r̥ c ɪ
greinarmunur	k r e iː n a r m ʏː n ʏ r
greind	k r e i n t
greindur	k r e i n t ʏ r
greinilega	k r e iː n ɪ l ɛː ɣ a
greinilegur	k r e iː n ɪ l ɛː ɣ ʏ r
greining	k r e iː n i ŋ k
greinir	k r e iː n ɪ r
greip	k r e iː p
greipa	k r e iː p a
greipaldin	k r e iː p a l t ɪ n
greiða	k r e iː ð a
greiði	k r e iː ð ɪ
greiðsla	k r e i ð s t l a
greiðslukort	k r e i ð s t l ʏ kʰ ɔ r̥ t
gremja	k r ɛ m j a
greni	k r ɛː n ɪ
greniköngull	k r ɛː n ɪ kʰ ø y ŋ k ʏ t l
grenja	k r ɛ n j a
grennd	k r ɛ n t
gretta	k r ɛ h t a
grey	k r e iː
greypa	k r e iː p a
griffill	k r ɪ fː ɪ t l
grikkur	k r ɪ h k ʏ r
grimmd	k r ɪ m t
grimmur	k r ɪ mː ʏ r
grind	k r ɪ n t
gripur	k r ɪː p ʏ r
grið	k r ɪː ð
grjón	k r j o uː n
grobba	k r ɔ pː a
grugg	k r ʏ kː
gruna	k r ʏː n a
grund	k r ʏ n t
grunnendurlífgun	k r ʏ nː ɛ n t ʏ r l i v k ʏ n
grunnli	k r ʏ nː l ɪ
grunnskóli	k r ʏ nː s k o uː l ɪ
grunnsævi	k r ʏ nː s a iː v ɪ
grunnur	k r ʏ nː ʏ r
grunur	k r ʏː n ʏ r
gryfja	k r ɪ v j a
grynna	k r ɪ nː a
grá	k r a uː
gráblika	k r a u p l ɪː k a
gráelri	k r a uː ɛ l r ɪ
grágæs	k r a uː c a iː s
gráhegri	k r a uː h ɛ ɣ r ɪ
gráhvalur	k r a uː kʰ v aː l ʏ r
grákráka	k r a uː kʰ r a uː k a
grámosi	k r a uː m ɔː s ɪ
grána	k r a uː n a
grár	k r a uː r
gráspör	k r a uː s p œː r
gráta	k r a uː t a
grávorblóm	k r a uː v ɔ r p l o uː m
grávíðir	k r a uː v iː ð ɪ r
gráða	k r a uː ð a
gráði	k r a uː ð ɪ
gráðostur	k r a uː ð ɔ s t ʏ r
gráðubogi	k r a uː ð ʏ p ɔː j ɪ
gráðugur	k r a uː ð ʏː ɣ ʏ r
gráölur	k r a uː œː l ʏ r
græja	k r a iː j a
grænkál	k r a i n kʰ a uː l
grænlenska	k r a i n l ɛ n s k a
grænlenskur	k r a i n l ɛ n s k ʏ r
grænmeti	k r a i n m ɛː t ɪ
grænmetisæta	k r a i n m ɛː t ɪ s a iː t a
grænn	k r a ɪ̯ t n̩
grænspæta	k r a i n s p a iː t a
grænukorn	k r a iː n ʏ kʰ ɔ r t n
græta	k r a iː t a
græða	k r a iː ð a
græðgi	k r a i ð c ɪ
gríma	k r iː m a
grín	k r iː n
grínisti	k r iː n ɪ s t ɪ
grípa	k r iː p a
grípari	k r iː p aː r ɪ
grís	k r iː s
gríska	k r i s k a
gríð	k r iː ð
gríður	k r iː ð ʏ r
gró	k r o uː
gróf	k r o uː v
grófur	k r o uː v ʏ r
gróp	k r o uː p
gróði	k r o uː ð ɪ
gróður	k r o uː ð ʏ r
gróðurhús	k r o uː ð ʏ r h uː s
gröf	k r œː v
gröftur	k r œ f t ʏ r
grön	k r œː n
grúbba	k r u pː a
grúfa	k r uː v a
grúi	k r uː ɪ
grúpa	k r uː p a
grýla	k r iː l a
grýlukerti	k r iː l ʏ cʰ ɛ r̥ t ɪ
grýta	k r iː t a
grýttur	k r i h t ʏ r
gubba	k ʏ pː a
gufa	k ʏː v a
gula	k ʏː l a
gull	k ʏ t l
gullfiskur	k ʏ t l f ɪ s k ʏ r
gullintoppa	k ʏ t l ɪ n tʰ ɔ h p a
gullkorn	k ʏ t l kʰ ɔ r t n
gullmura	k ʏ t l m ʏː r a
gulmaðra	k ʏ l m a ð r a
gulna	k ʏ l n a
gulrófa	k ʏ l r o uː v a
gulrót	k ʏ l r o uː t
gulstör	k ʏ l s t œː r
gulur	k ʏː l ʏ r
gulvíðir	k ʏ l v iː ð ɪ r
gum	k ʏː m
guma	k ʏː m a
gumi	k ʏː m ɪ
gunga	k u ŋ k a
gunnur	k ʏ nː ʏ r
gusa	k ʏː s a
gustuk	k ʏ s t ʏ k
gustur	k ʏ s t ʏ r
guð	k v ʏː ð
guða	k v ʏː ð a
guðfræði	k v ʏ ð f r a iː ð ɪ
guðfræðingur	k v ʏ ð f r a i ð i ŋ k ʏ r
guðlast	k v ʏ ð l a s t
guðlegur	k v ʏ ð l ɛː ɣ ʏ r
guðleysi	k v ʏ ð l e iː s ɪ
guðleysingi	k v ʏ ð l e iː s i ɲ c ɪ
guðspjall	k v ʏ ð s p j a t l
guðspjallamaður	k v ʏ ð s p j a t l a m aː ð ʏ r
gylla	c ɪ t l a
gylta	c ɪ l̥ t a
gyðingur	c ɪː ð i ŋ k ʏ r
gyðja	c ɪ ð j a
gá	k a uː
gáfa	k a uː v a
gáfaður	k a uː v a ð ʏ r
gála	k a uː l a
gálaus	k a uː l ø yː s
gáleysi	k a uː l e iː s ɪ
gálgi	k a u l c ɪ
gálma	k a u l m a
gári	k a uː r ɪ
gáski	k a u s c ɪ
gát	k a uː t
gáta	k a uː t a
gátt	k a u h t
gæfa	c a iː v a
gæfumunur	c a iː v ʏ m ʏː n ʏ r
gæfur	c a iː v ʏ r
gæi	k a iː j ɪ
gæla	c a iː l a
gæludýr	c a iː l ʏ t iː r
gælunafn	c a iː l ʏ n a p n
gæluverkefni	c a iː l ʏ v ɛ r̥ k ɛ p n ɪ
gæra	c a iː r a
gæruskinn	c a iː r ʏ s c ɪ nː
gæs	c a iː s
gæsa	c a iː s a
gæsahúð	c a iː s a h uː ð
gæta	c a iː t a
gætinn	c a iː t ɪ nː
gætni	c a i h t n ɪ
gætt	k a ɪ h t
gæði	c a iː ð ɪ
gé	c ɛː
gígja	c iː j a
gígur	c iː ɣ ʏ r
gíll	c i t l
gína	c iː n a
gíraffi	c iː r a fː ɪ
gírstöng	c iː r̥ s t ø y ŋ k
gís	c iː s
gísl	c i s t l
gítar	c iː tʰ aː r
góa	k o uː a
góla	k o uː l a
gólf	k o u l v
gómfilla	k o u m f ɪ t l a
gómsætur	k o u m s a iː t ʏ r
gómur	k o uː m ʏ r
góða	k o uː ð a
góður	k o uː ð ʏ r
góðæri	k o uː ð a iː r ɪ
göfuglyndur	k œː v ʏ ɣ l ɪ n t ʏ r
göfugur	k œː v ʏ ɣ ʏ r
göldróttur	k œ l t r o u h t ʏ r
göltur	k œ l̥ t ʏ r
göndull	k œ n t ʏ t l
göng	k ø y ŋ k
gönguferð	k ø y ŋ k ʏ f ɛ r ð
gönguleið	k ø y ŋ k ʏ l e iː ð
göngutúr	k ø y ŋ k ʏ tʰ uː r
görn	k œ r t n
götun	k œː t ʏ n
gúlag	k ʏː l aː ɣ
gúlrotta	k u l r ɔ h t a
gúrka	k u r̥ k a
gúrkutíð	k u r̥ k ʏ tʰ iː ð
gýgur	c iː ɣ ʏ r
h	h a uː
ha	h aː
haddur	h a tː ʏ r
haf	h aː v
hafa	h aː v a
hafald	h aː v a l t
hafmey	h a v m e iː
hafna	h a p n a
hafnabolti	h a p n a p ɔ l̥ t ɪ
hafragrautur	h a v r a k r ø yː t ʏ r
haframjöl	h a v r a m j œː l
hafri	h a v r ɪ
haft	h a f t
hafur	h aː v ʏ r
haförn	h aː v œ r t n
haga	h aː ɣ a
hagfræði	h a x f r a iː ð ɪ
hagga	h a kː a
hagi	h a iː j ɪ
hagi	h aː j ɪ
hagl	h a k l
haglabyssa	h a k l a p ɪ sː a
hagnaður	h a k n a ð ʏ r
hagsbót	h a x s p o uː t
hagskælingur	h a x s c a i l i ŋ k ʏ r
hagsæld	h a x s a i l t
hagur	h aː ɣ ʏ r
hak	h aː k
haka	h aː k a
hakakross	h aː k a kʰ r ɔ sː
haki	h aː c ɪ
hakk	h a h k
hakka	h a k k a
halastjarna	h aː l a s t j a r t n a
hald	h a l t
halda	h a l t a
haldinn	h a l t ɪ nː
hali	h aː l ɪ
halla	h a t l a
hallarvirki	h a t l a r v ɪ r̥ c ɪ
halli	h a t l ɪ
hallur	h a t l ʏ r
haltra	h a l̥ t r a
haltur	h a l̥ t ʏ r
hamagangur	h aː m a k a u ŋ k ʏ r
hamar	h aː m a r
hamborgari	h a m p ɔ r k a r ɪ
hamingja	h aː m i ɲ c a
hamingjusamur	h aː m i ɲ c ʏ s aː m ʏ r
hamla	h a m l a
hampjurt	h a m̥ p j ʏ r̥ t
hampur	h a m̥ p ʏ r
hamra	h a m r a
hamstur	h a m s t ʏ r
hamur	h aː m ʏ r
hana	h aː n a
handa	h a n t a
handaband	h a n t a p a n t
handahóf	h a n t a h o uː v
handarkriki	h a n t a r kʰ r ɪː c ɪ
handavinna	h a n t a v ɪ nː a
handboltaþjálfari	h a n t p ɔ l̥ t a θ j a u l v a r ɪ
handbolti	h a n t p ɔ l̥ t ɪ
handbremsa	h a n t p r ɛ m s a
handbremsubeygja	h a n t p r ɛ m s ʏ p e iː j a
handbók	h a n t p o uː k
handfylli	h a n t f ɪ t l ɪ
handklæði	h a n t kʰ l a iː ð ɪ
handknattleiksþjálfari	h a n t kʰ n a h t l e i k s θ j a u l v a r ɪ
handknattleikur	h a n t kʰ n a h t l e iː k ʏ r
handleggur	h a n t l ɛ kː ʏ r
handrit	h a n t r ɪː t
handrið	h a n t r ɪː ð
handsnyrting	h a n t s t n ɪ r̥ t i ŋ k
handsprengja	h a n t s p r e i ɲ c a
handtaka	h a n t tʰ aː k a
hanga	h a u ŋ k a
hangikjöt	h a u ŋ c ɪ cʰ œː t
hani	h aː n ɪ
hanki	h a u ɲ̊ c ɪ
hann	a nː
hann	h a nː
hanna	h a nː a
hanskahólf	h a n s k a h o u l v
hanski	h a n s c ɪ
happ	h a h p
happdrætti	h a h p t r a i h t ɪ
hark	h a r̥ k
harka	h a r̥ k a
harma	h a r m a
harmur	h a r m ʏ r
harmóníum	h a r m o uː n iː j ʏ m
harpa	h a r̥ p a
harðlífi	h a r ð l iː v ɪ
harður	h a r ð ʏ r
hastur	h a s t ʏ r
hata	h aː t a
hattari	h a h t aː r ɪ
hattur	h aʰ t ʏ r
hatur	h aː t ʏ r
haugalygi	h ø yː ɣ a l ɪː j ɪ
haugarfi	h ø yː ɣ a r v ɪ
haugur	h ø yː ɣ ʏ r
haull	h ø y t l
haus	h ø yː s
hauskúpa	h ø yː s kʰ uː p a
haust	h ø y s t
hausta	h ø y s t a
haustlegur	h ø y s t l ɛː ɣ ʏ r
hebreska	h ɛː p r ɛ s k a
hedd	h ɛ tː
hefill	h ɛː v ɪ t l
hefja	h ɛ v j a
hefla	h ɛ p l a
