あ	a̠
おちゃらかす	o̞ t͡ɕ a̠ ɾ a̠ k a̠ s ɨᵝ
おちゃらける	o̞ t͡ɕ a̠ ɾ a̠ k e̞ ɾ ɯ̟ᵝ
おちょくる	o̞ t͡ɕ o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
おちる	o̞ t͡ɕ i ɾ ɯ̟ᵝ
おちんちん	o̞ t͡ɕ ĩ ɲ̟ t͡ɕ ĩ ɴ
おっかけ	o̞ k̚ k a̠ k e̞
おっかない	o̞ k̚ k a̠ n a̠ i
おっかー	o̞ k̚ k a̠ː
おっきい	o̞ k̚ʲ kʲ i i
おっきな	o̞ k̚ʲ kʲ i n a̠
おっくう	o̞ k̚ k ɯ̟ᵝː
おっこちる	o̞ k̚ k o̞ t͡ɕ i ɾ ɯ̟ᵝ
おっさん	o̞ sː ã̠ ɴ
おっしゃる	o̞ ɕː a̠ ɾ ɯ̟ᵝ
おっす	o̞ sː ɯ̟ᵝ
おったつ	o̞ t̚ t a̠ t͡s ɨᵝ
おっちぬ	o̞ t̚ t͡ɕ i n ɯ̟ᵝ
おっと	o̞ t̚ t o̞
おっとせい	o̞ t̚ t o̞ s e̞ː
おっとっと	o̞ t̚ t o̞ t̚ t o̞
おつ	o̞ t͡s ɨᵝ
おつかれ	o̞ t͡s ɨᵝ k a̠ ɾ e̞
おつかれかい	o̞ t͡s ɨᵝ k a̠ ɾ e̞ k a̠ i
おつかれさま	o̞ t͡s ɨᵝ k a̠ ɾ e̞ s a̠ m a̠
おつき	o̞ t͡s ɨᵝ kʲ i
おつり	o̞ t͡s ɨᵝ ɾʲ i
おてあらい	o̞ t e̞ a̠ ɾ a̠ i
おてつき	o̞ t e̞ t͡s ɨᵝ kʲ i
おてて	o̞ t e̞ t e̞
おてなみ	o̞ t e̞ n a̠ mʲ i
おてら	o̞ t e̞ ɾ a̠
おてん	o̞ t ẽ̞ ɴ
おとうさん	o̞ t o̞ː s ã̠ ɴ
おとうと	o̞ t o̞ː t o̞
おとこ	o̞ t o̞ k o̞
おとこうけ	o̞ t o̞ k o̞ː k e̞
おとこなき	o̞ t o̞ k o̞ n a̠ kʲ i
おとこのこ	o̞ t o̞ k o̞ n o̞ k o̞
おとこのひと	o̞ t o̞ k o̞ n o̞ ç i̥ t o̞
おとこまえ	o̞ t o̞ k o̞ m a̠ e̞
おとこまさり	o̞ t o̞ k o̞ m a̠ s a̠ ɾʲ i
おとこやもめ	o̞ t o̞ k o̞ j a̠ m o̞ m e̞
おとこゆ	o̞ t o̞ k o̞ j ɯ̟ᵝ
おとこをみせる	o̞ t o̞ k o̞ o̞ mʲ i s e̞ ɾ ɯ̟ᵝ
おとさた	o̞ t o̞ s a̠ t a̠
おとしあな	o̞ t o̞ ɕ i a̠ n a̠
おとしめる	o̞ t o̞ ɕ i m e̞ ɾ ɯ̟ᵝ
おとしもの	o̞ t o̞ ɕ i m o̞ n o̞
おとす	o̞ t o̞ s ɨᵝ
おとてつ	o̞ t o̞ t e̞ t͡s ɨᵝ
おとな	o̞ t o̞ n a̠
おとなしい	o̞ t o̞ n a̠ ɕ iː
おとひめ	o̞ t o̞ ç i m e̞
おとめ	o̞ t o̞ m e̞
おともれ	o̞ t o̞ m o̞ ɾ e̞
おとや	o̞ t o̞ j a̠
おとり	o̞ t o̞ ɾʲ i
おとる	o̞ t o̞ ɾ ɯ̟ᵝ
おとろえる	o̞ t o̞ ɾ o̞ e̞ ɾ ɯ̟ᵝ
おとわれ	o̞ t o̞ ɰᵝ a̠ ɾ e̞
おなか	o̞ n a̠ k a̠
おなちゅう	o̞ n a̠ t͡ɕ ɨᵝː
おに	o̞ ɲ̟ i
おにいさん	o̞ ɲ̟ iː s ã̠ ɴ
おにいちゃん	o̞ ɲ̟ iː t͡ɕ ã̠ ɴ
おによめ	o̞ ɲ̟ i j o̞ m e̞
おぬし	o̞ n ɯ̟ᵝ ɕ i
おね	o̞ n e̞
おねえ	o̞ n e̞ː
おねえさん	o̞ n e̞ː s ã̠ ɴ
おねしょ	o̞ n e̞ ɕ o̞
おねむ	o̞ n e̞ m ɯ̟ᵝ
おの	o̞ n o̞
おのおの	o̞ n o̞ o̞ n o̞
おののく	o̞ n o̞ n o̞ k ɯ̟ᵝ
おのれ	o̞ n o̞ ɾ e̞
おはす	o̞ h a̠ s ɨᵝ
おはなつみ	o̞ h a̠ n a̠ t͡s ɨᵝ mʲ i
おはまるすいさん	o̞ h a̠ m a̠ ɾ ɯ̟ᵝ s ɨᵝ i s ã̠ ɴ
おはよう	o̞ h a̠ j o̞ː
おはら	o̞ h a̠ ɾ a̠
おばま	o̞ b a̠ m a̠
おひさま	o̞ ç i s a̠ m a̠
おひさー	o̞ ç i s a̠ː
おひとよし	o̞ ç i t o̞ j o̞ ɕ i
おひとりさま	o̞ ç i t o̞ ɾʲ i s a̠ m a̠
おひらき	o̞ ç i ɾ a̠ kʲ i
おひる	o̞ ç i ɾ ɯ̟ᵝ
おふくろ	o̞ ɸ ɯ̟̊ᵝ k ɯ̟ᵝ ɾ o̞
おふだ	o̞ ɸ ɯ̟ᵝ d a̠
おふる	o̞ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
おふろ	o̞ ɸ ɯ̟ᵝ ɾ o̞
おへや	o̞ h e̞ j a̠
おまいう	o̞ m a̠ i ɯ̟ᵝ
おまいつ	o̞ m a̠ i t͡s ɨᵝ
おまいり	o̞ m a̠ i ɾʲ i
おまえ	o̞ m a̠ e̞
おまえさん	o̞ m a̠ e̞ s ã̠ ɴ
おまえたち	o̞ m a̠ e̞ t a̠ t͡ɕ i
おまえら	o̞ m a̠ e̞ ɾ a̠
おまかせ	o̞ m a̠ k a̠ s e̞
おまけ	o̞ m a̠ k e̞
おまた	o̞ m a̠ t a̠
おまつり	o̞ m a̠ t͡s ɨᵝ ɾʲ i
おまもり	o̞ m a̠ m o̞ ɾʲ i
おまる	o̞ m a̠ ɾ ɯ̟ᵝ
おまんこ	o̞ m ã̠ ŋ k o̞
おみえになる	o̞ mʲ i e̞ ɲ̟ i n a̠ ɾ ɯ̟ᵝ
おみなえし	o̞ mʲ i n a̠ e̞ ɕ i
おむかえ	o̞ m ɯ̟ᵝ k a̠ e̞
おむつ	o̞ m ɯ̟ᵝ t͡s ɨᵝ
おめあし	o̞ m e̞ a̠ ɕ i
おめい	o̞ m e̞ː
おめえさん	o̞ m e̞ː s ã̠ ɴ
おめかし	o̞ m e̞ k a̠ ɕ i
おめこ	o̞ m e̞ k o̞
おめさん	o̞ m e̞ s ã̠ ɴ
おめしもの	o̞ m e̞ ɕ i m o̞ n o̞
おめしれっしゃ	o̞ m e̞ ɕ i ɾ e̞ ɕː a̠
おめにかかる	o̞ m e̞ ɲ̟ i k a̠ k a̠ ɾ ɯ̟ᵝ
おめめ	o̞ m e̞ m e̞
おも	o̞ m o̞
おもい	o̞ m o̞ i
おもいいれ	o̞ m o̞ i i ɾ e̞
おもいおもい	o̞ m o̞ i o̞ m o̞ i
おもいきや	o̞ m o̞ i kʲ i j a̠
おもいきる	o̞ m o̞ i kʲ i ɾ ɯ̟ᵝ
おもいこみ	o̞ m o̞ i k o̞ mʲ i
おもいこむ	o̞ m o̞ i k o̞ m ɯ̟ᵝ
おもいたつ	o̞ m o̞ i t a̠ t͡s ɨᵝ
おもいつき	o̞ m o̞ i t͡s ɨᵝ kʲ i
おもいつく	o̞ m o̞ i t͡s ɨᵝ k ɯ̟ᵝ
おもいつめる	o̞ m o̞ i t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
おもいなおす	o̞ m o̞ i n a̠ o̞ s ɨᵝ
おもいのほか	o̞ m o̞ i n o̞ h o̞ k a̠
おもいまよう	o̞ m o̞ i m a̠ j o̞ː
おもいやり	o̞ m o̞ i j a̠ ɾʲ i
おもいをはせる	o̞ m o̞ i o̞ h a̠ s e̞ ɾ ɯ̟ᵝ
おもう	o̞ m o̞ ɯ̟ᵝ
おもうに	o̞ m o̞ ɯ̟ᵝ ɲ̟ i
おもえらく	o̞ m o̞ e̞ ɾ a̠ k ɯ̟ᵝ
おもさ	o̞ m o̞ s a̠
おもしろい	o̞ m o̞ ɕ i ɾ o̞ i
おもしろおかしい	o̞ m o̞ ɕ i ɾ o̞ o̞ k a̠ ɕ iː
おもたい	o̞ m o̞ t a̠ i
おもちかえり	o̞ m o̞ t͡ɕ i k a̠ e̞ ɾʲ i
おもて	o̞ m o̞ t e̞
おもてにほん	o̞ m o̞ t e̞ ɲ̟ i h õ̞ ɴ
おもてむき	o̞ m o̞ t e̞ m ɯ̟ᵝ kʲ i
おもてもん	o̞ m o̞ t e̞ m õ̞ ɴ
おもに	o̞ m o̞ ɲ̟ i
おもねる	o̞ m o̞ n e̞ ɾ ɯ̟ᵝ
おもむき	o̞ m o̞ m ɯ̟ᵝ kʲ i
おもむく	o̞ m o̞ m ɯ̟ᵝ k ɯ̟ᵝ
おもむろに	o̞ m o̞ m ɯ̟ᵝ ɾ o̞ ɲ̟ i
おももち	o̞ m o̞ m o̞ t͡ɕ i
おもや	o̞ m o̞ j a̠
おもらし	o̞ m o̞ ɾ a̠ ɕ i
おもり	o̞ m o̞ ɾʲ i
おもろい	o̞ m o̞ ɾ o̞ i
おもろない	o̞ m o̞ ɾ o̞ n a̠ i
おもわれ	o̞ m o̞ ɰᵝ a̠ ɾ e̞
おもんない	o̞ m õ̞ nː a̠ i
おや	o̞ j a̠
おやこ	o̞ j a̠ k o̞
おやこうこう	o̞ j a̠ k o̞ː k o̞ː
おやしお	o̞ j a̠ ɕ i o̞
おやじ	o̞ j a̠ ʑ i
おやすみ	o̞ j a̠ s ɨᵝ mʲ i
おやすみなさい	o̞ j a̠ s ɨᵝ mʲ i n a̠ s a̠ i
おやすみになる	o̞ j a̠ s ɨᵝ mʲ i ɲ̟ i n a̠ ɾ ɯ̟ᵝ
おやつ	o̞ j a̠ t͡s ɨᵝ
おやもと	o̞ j a̠ m o̞ t o̞
およずれ	j o̞ː
およそ	o̞ j o̞ s o̞
おら	o̞ ɾ a̠
おらん	o̞ ɾ ã̠ ɴ
おり	o̞ ɾʲ i
おりあう	o̞ ɾʲ i a̠ ɯ̟ᵝ
おりかえす	o̞ ɾʲ i k a̠ e̞ s ɨᵝ
おりたたむ	o̞ ɾʲ i t a̠ t a̠ m ɯ̟ᵝ
おりひめ	o̞ ɾʲ i ç i m e̞
おりふし	o̞ ɾʲ i ɸ ɯ̟ᵝ ɕ i
おりめ	o̞ ɾʲ i m e̞
おりもの	o̞ ɾʲ i m o̞ n o̞
おりょうり	o̞ ɾʲ o̞ː ɾʲ i
おりる	o̞ ɾʲ i ɾ ɯ̟ᵝ
おる	o̞ ɾ ɯ̟ᵝ
おれ	o̞ ɾ e̞
おれさま	o̞ ɾ e̞ s a̠ m a̠
おれし	o̞ ɾ e̞ ɕ i
おれたち	o̞ ɾ e̞ t a̠ t͡ɕ i
おれっこ	o̞ ɾ e̞ k̚ k o̞
おれつえぇ	o̞ ɾ e̞ t͡s ɨᵝ e̞ː
おれのよめ	o̞ ɾ e̞ n o̞ j o̞ m e̞
おれもの	o̞ ɾ e̞ m o̞ n o̞
おれる	o̞ ɾ e̞ ɾ ɯ̟ᵝ
おろ	o̞ ɾ o̞
おろおろ	o̞ ɾ o̞ː ɾ o̞
おろか	o̞ ɾ o̞ k a̠
おろかしい	o̞ ɾ o̞ k a̠ ɕ iː
おろかもの	o̞ ɾ o̞ k a̠ m o̞ n o̞
おろし	o̞ ɾ o̞ ɕ i
おろしうり	o̞ ɾ o̞ ɕ i ɯ̟ᵝ ɾʲ i
おろす	o̞ ɾ o̞ s ɨᵝ
おろそか	o̞ ɾ o̞ s o̞ k a̠
おわり	o̞ ɰᵝ a̠ ɾʲ i
おわりね	o̞ ɰᵝ a̠ ɾʲ i n e̞
おわる	o̞ ɰᵝ a̠ ɾ ɯ̟ᵝ
おをひく	o̞ o̞ ç i k ɯ̟ᵝ
おん	õ̞ ɴ
おんあつ	õ̞ ɰ̃ a̠ t͡s ɨᵝ
おんいき	õ̞ ɰ̃ i kʲ i
おんいてんかん	õ̞ ɰ̃ i t ẽ̞ ŋ k ã̠ ɴ
おんいん	õ̞ ɰ̃ ĩ ɴ
おんいんろん	õ̞ ɰ̃ ĩ n ɾ õ̞ ɴ
おんえんすい	õ̞ ɰ̃ ẽ̞ ɰ̃ s ɨᵝ i
おんかた	õ̞ ŋ k a̠ t a̠
おんかん	õ̞ ŋ k ã̠ ɴ
おんきょう	õ̞ ŋʲ kʲ o̞ː
おんきょうこうか	õ̞ ŋʲ kʲ o̞ː k o̞ː k a̠
おんきょうりょうし	õ̞ ŋʲ kʲ o̞ː ɾʲ o̞ː ɕ i
おんくん	õ̞ ŋ k ɯ̟̃ᵝ ɴ
おんけい	õ̞ ŋ k e̞ː
おんけん	õ̞ ŋ k ẽ̞ ɴ
おんこ	õ̞ ŋ k o̞
おんこちしん	õ̞ ŋ k o̞ t͡ɕ i̥ ɕ ĩ ɴ
おんさ	õ̞ ɰ̃ s a̠
おんし	õ̞ ɰ̃ ɕ i
おんしつ	õ̞ ɰ̃ ɕ i t͡s ɨᵝ
おんしつこうか	õ̞ ɰ̃ ɕ i̥ t͡s ɨᵝ k o̞ː k a̠
おんしゃ	õ̞ ɰ̃ ɕ a̠
おんしゅう	õ̞ ɰ̃ ɕ ɨᵝː
おんしょう	õ̞ ɰ̃ ɕ o̞ː
おんしん	õ̞ ɰ̃ ɕ ĩ ɴ
おんせい	õ̞ ɰ̃ s e̞ː
おんせつ	õ̞ ɰ̃ s e̞ t͡s ɨᵝ
おんせん	õ̞ ɰ̃ s ẽ̞ ɴ
おんそ	õ̞ ɰ̃ s o̞
おんたけ	õ̞ n t a̠ k e̞
おんち	õ̞ ɲ̟ t͡ɕ i
おんてい	õ̞ n t e̞ː
おんてん	õ̞ n t ẽ̞ ɴ
おんどく	õ̞ n d o̞ k ɯ̟ᵝ
おんな	õ̞ nː a̠
おんなかちょう	õ̞ nː a̠ k a̠ t͡ɕ o̞ː
おんながた	õ̞ nː a̠ ɡ a̠ t a̠
おんなたらし	õ̞ nː a̠ t a̠ ɾ a̠ ɕ i
おんなていきん	õ̞ nː a̠ t e̞ː kʲ ĩ ɴ
おんなでんか	õ̞ nː a̠ d ẽ̞ ŋ k a̠
おんなのこ	õ̞ nː a̠ n o̞ k o̞
おんなのこすわり	õ̞ nː a̠ n o̞ k o̞ s ɨᵝ ɰᵝ a̠ ɾʲ i
おんなのひと	õ̞ nː a̠ n o̞ ç i̥ t o̞
おんなもの	õ̞ nː a̠ m o̞ n o̞
おんなゆ	õ̞ nː a̠ j ɯ̟ᵝ
おんねつりょうほう	õ̞ nː e̞ t͡s ɨᵝ ɾʲ o̞ː h o̞ː
おんねん	õ̞ nː ẽ̞ ɴ
おんやく	õ̞ ɰ̃ j a̠ k ɯ̟ᵝ
おんよく	õ̞ ɰ̃ j o̞ k ɯ̟ᵝ
おんよみ	õ̞ ɰ̃ j o̞ mʲ i
おんり	õ̞ n ɾʲ i
おんりょう	õ̞ n ɾʲ o̞ː
おんれい	õ̞ n ɾ e̞ː
おんれいこうたいよく	õ̞ n ɾ e̞ː k o̞ː t a̠ i j o̞ k ɯ̟ᵝ
か	k a̠
か	k a̠ ɾʲ i
かあいい	k a̠ː iː
かい	k a̠ i
かいあく	k a̠ i a̠ k ɯ̟ᵝ
かいあつめる	k a̠ i a̠ t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
かいあわせ	k a̠ i a̠ ɰᵝ a̠ s e̞
かいい	k a̠ i i
かいいき	k a̠ i i kʲ i
かいいれ	k a̠ i i ɾ e̞
かいいん	k a̠ i ĩ ɴ
かいうん	k a̠ i ɯ̟̃ᵝ ɴ
かいえん	k a̠ i ẽ̞ ɴ
かいおうせい	k a̠ i o̞ː s e̞ː
かいおん	k a̠ i õ̞ ɴ
かいか	k a̠ i k a̠
かいかい	k a̠ i k a̠ i
かいかいしき	k a̠ i k a̠ i ɕ i̥ kʲ i
かいかえる	k a̠ i k a̠ e̞ ɾ ɯ̟ᵝ
かいかく	k a̠ i k a̠ k ɯ̟ᵝ
かいかけきん	k a̠ i k a̠ k e̞ kʲ ĩ ɴ
かいかん	k a̠ i k ã̠ ɴ
かいき	k a̠ i kʲ i
かいきしょく	k a̠ i kʲ i ɕ o̞ k ɯ̟ᵝ
かいきせん	k a̠ i kʲ i̥ s ẽ̞ ɴ
かいきにっしょく	k a̠ i kʲ i ɲ̟ i ɕː o̞ k ɯ̟ᵝ
かいきゃく	k a̠ i kʲ a̠ k ɯ̟ᵝ
かいきゅう	k a̠ i kʲ ɨᵝː
かいきょ	k a̠ i kʲ o̞
かいきょう	k a̠ i kʲ o̞ː
かいきょうしょくみんち	k a̠ i kʲ o̞ː ɕ o̞ k ɯ̟ᵝ mʲ ĩ ɲ̟ t͡ɕ i
かいきょうと	k a̠ i kʲ o̞ː t o̞
かいきん	k a̠ i kʲ ĩ ɴ
かいきんしょう	k a̠ i kʲ ĩ ɰ̃ ɕ o̞ː
かいけい	k a̠ i k e̞ː
かいけいし	k a̠ i k e̞ː ɕ i
かいけつ	k a̠ i k e̞ t͡s ɨᵝ
かいけん	k a̠ i k ẽ̞ ɴ
かいこ	k a̠ i k o̞
かいこう	k a̠ i k o̞ː
かいこうしゃ	k a̠ i k o̞ː ɕ a̠
かいこうせん	k a̠ i k o̞ː s ẽ̞ ɴ
かいこく	k a̠ i k o̞ k ɯ̟ᵝ
かいこちゅう	k a̠ i k o̞ t͡ɕ ɨᵝː
かいころく	k a̠ i k o̞ ɾ o̞ k ɯ̟ᵝ
かいこん	k a̠ i k õ̞ ɴ
かいさ	k a̠ i s a̠
かいさい	k a̠ i s a̠ i
かいさつ	k a̠ i s a̠ t͡s ɨᵝ
かいさん	k a̠ i s ã̠ ɴ
かいし	k a̠ i ɕ i
かいしめ	k a̠ i ɕ i m e̞
かいしゃ	k a̠ i ɕ a̠
かいしゃいん	k a̠ i ɕ a̠ ĩ ɴ
かいしゃく	k a̠ i ɕ a̠ k ɯ̟ᵝ
かいしゅう	k a̠ i ɕ ɨᵝː
かいしゅうりつ	k a̠ i ɕ ɨᵝː ɾʲ i t͡s ɨᵝ
かいしょ	k a̠ i ɕ o̞
かいしょう	k a̠ i ɕ o̞ː
かいしょく	k a̠ i ɕ o̞ k ɯ̟ᵝ
かいしょたい	k a̠ i ɕ o̞ t a̠ i
かいしん	k a̠ i ɕ ĩ ɴ
かいじつ	k a̠ i ʑ i t͡s ɨᵝ
かいす	k a̠ i s ɨᵝ
かいすうけん	k a̠ i s ɨᵝː k ẽ̞ ɴ
かいする	k a̠ i s ɨᵝ ɾ ɯ̟ᵝ
かいせい	k a̠ i s e̞ː
かいせき	k a̠ i s e̞ kʲ i
かいせつ	k a̠ i s e̞ t͡s ɨᵝ
かいせん	k a̠ i s ẽ̞ ɴ
かいそ	k a̠ i s o̞
かいそう	k a̠ i s o̞ː
かいそうろく	k a̠ i s o̞ː ɾ o̞ k ɯ̟ᵝ
かいた	k a̠ i t a̠
かいたい	k a̠ i t a̠ i
かいたく	k a̠ i t a̠ k ɯ̟ᵝ
かいたくしゃ	k a̠ i t a̠ k ɯ̟ᵝ ɕ a̠
かいたす	k a̠ i t a̠ s ɨᵝ
かいち	k a̠ i t͡ɕ i
かいちく	k a̠ i t͡ɕ i k ɯ̟ᵝ
かいちゅう	k a̠ i t͡ɕ ɨᵝː
かいちょう	k a̠ i t͡ɕ o̞ː
かいちょうふん	k a̠ i t͡ɕ o̞ː ɸ ɯ̟̃ᵝ ɴ
かいつぶり	k a̠ i t͡s ɨᵝ b ɯ̟ᵝ ɾʲ i
かいつまむ	k a̠ i t͡s ɨᵝ m a̠ m ɯ̟ᵝ
かいて	k a̠ i t e̞
かいてい	k a̠ i t e̞ː
かいてき	k a̠ i t e̞ kʲ i
かいてん	k a̠ i t ẽ̞ ɴ
かいと	k a̠ i t o̞
かいとう	k a̠ i t o̞ː
かいとり	k a̠ i t o̞ ɾʲ i
かいならす	k a̠ i n a̠ ɾ a̠ s ɨᵝ
かいなんけいはん	k a̠ i n ã̠ ŋ k e̞ː h ã̠ ɴ
かいにゅう	k a̠ i ɲ̟ ɯ̟ᵝː
かいにん	k a̠ i ɲ̟ ĩ ɴ
かいぬし	k a̠ i n ɯ̟ᵝ ɕ i
かいはい	k a̠ i h a̠ i
かいはくしつ	k a̠ i h a̠ k ɯ̟ᵝ ɕ i̥ t͡s ɨᵝ
かいはつ	k a̠ i h a̠ t͡s ɨᵝ
かいひ	k a̠ i ç i
かいひも	k a̠ i ç i m o̞
かいひょう	k a̠ i ç o̞ː
かいひん	k a̠ i ç ĩ ɴ
かいふく	k a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
かいふくたいい	k a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ t a̠ i i
かいへい	k a̠ i h e̞ː
かいへいき	k a̠ i h e̞ː kʲ i
かいへいたい	k a̠ i h e̞ː t a̠ i
かいへん	k a̠ i h ẽ̞ ɴ
かいほう	k a̠ i h o̞ː
かいまくしき	k a̠ i m a̠ k ɯ̟ᵝ ɕ i kʲ i
かいみょう	k a̠ i mʲ o̞ː
かいみん	k a̠ i mʲ ĩ ɴ
かいめつ	k a̠ i m e̞ t͡s ɨᵝ
かいめつてき	k a̠ i m e̞ t͡s ɨᵝ t e̞ kʲ i
かいめん	k a̠ i m ẽ̞ ɴ
かいもとめる	k a̠ i m o̞ t o̞ m e̞ ɾ ɯ̟ᵝ
かいもの	k a̠ i m o̞ n o̞
かいもん	k a̠ i m õ̞ ɴ
かいやく	k a̠ i j a̠ k ɯ̟ᵝ
かいゆ	k a̠ i j ɯ̟ᵝ
かいよう	k a̠ i j o̞ː
かいようおせん	k a̠ i j o̞ː o̞ s ẽ̞ ɴ
かいらいし	k a̠ i ɾ a̠ i ɕ i
かいらく	k a̠ i ɾ a̠ k ɯ̟ᵝ
かいらん	k a̠ i ɾ ã̠ ɴ
かいり	k a̠ i ɾʲ i
かいりゅう	k a̠ i ɾʲ ɨᵝː
かいれい	k a̠ i ɾ e̞ː
かいれんせき	k a̠ i ɾ ẽ̞ ɰ̃ s e̞ kʲ i
かいろ	k a̠ i ɾ o̞
かいろう	k a̠ i ɾ o̞ː
かいわい	k a̠ i ɰᵝ a̠ i
かいん	k a̠ ĩ ɴ
かう	k a̠ ɯ̟ᵝ
かえい	k a̠ e̞ː
かえうた	k a̠ e̞ ɯ̟ᵝ t a̠
かえしん	k a̠ e̞ ɕ ĩ ɴ
かえす	k a̠ e̞ s ɨᵝ
かえで	k a̠ e̞ d e̞
かえり	k a̠ e̞ ɾʲ i
かえりうち	k a̠ e̞ ɾʲ i ɯ̟ᵝ t͡ɕ i
かえりち	k a̠ e̞ ɾʲ i t͡ɕ i
かえりのかい	k a̠ e̞ ɾʲ i n o̞ k a̠ i
かえりみち	k a̠ e̞ ɾʲ i mʲ i t͡ɕ i
かえりみる	k a̠ e̞ ɾʲ i mʲ i ɾ ɯ̟ᵝ
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かえんのくるま	k a̠ ẽ̞ n n o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠
かえんほうしゃき	k a̠ ẽ̞ ɰ̃ h o̞ː ɕ a̠ kʲ i
かお	k a̠ o̞
かおう	k a̠ o̞ː
かおかたち	k a̠ o̞ k a̠ t a̠ t͡ɕ i
かおつき	k a̠ o̞ t͡s ɨᵝ kʲ i
かおみしり	k a̠ o̞ mʲ i ɕ i ɾʲ i
かおみせ	k a̠ o̞ mʲ i s e̞
かおる	k a̠ o̞ ɾ ɯ̟ᵝ
かか	k a̠ k a̠
かかえて	k a̠ k a̠ e̞ t e̞
かかえる	k a̠ k a̠ e̞ ɾ ɯ̟ᵝ
かかお	k a̠ k a̠ o̞
かかく	k a̠ k a̠ k ɯ̟ᵝ
かかし	k a̠ k a̠ ɕ i
かかす	k a̠ k a̠ s ɨᵝ
かかたいしょう	k a̠ k a̠ t a̠ i ɕ o̞ː
かかりいん	k a̠ k a̠ ɾʲ i ĩ ɴ
かかる	k a̠ k a̠ ɾ ɯ̟ᵝ
かかわり	k a̠ k a̠ ɰᵝ a̠ ɾʲ i
かが	k a̠ ɡ e̞
かがふり	k a̠ ɡ a̠ ɸ ɯ̟ᵝ ɾʲ i
かがふる	k a̠ ɡ a̠ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
かがみ	k a̠ ɡ a̠ mʲ i
かき	k a̠ kʲ i
かきおろし	k a̠ kʲ i o̞ ɾ o̞ ɕ i
かきおろす	k a̠ kʲ i o̞ ɾ o̞ s ɨᵝ
かきけす	k a̠ kʲ i k e̞ s ɨᵝ
かきこみ	k a̠ kʲ i̥ k o̞ mʲ i
かきこむ	k a̠ kʲ i k o̞ m ɯ̟ᵝ
かきたま	k a̠ kʲ i t a̠ m a̠
かきて	k a̠ kʲ i t e̞
かきとめる	k a̠ kʲ i t o̞ m e̞ ɾ ɯ̟ᵝ
かきとる	k a̠ kʲ i t o̞ ɾ ɯ̟ᵝ
かきなおす	k a̠ kʲ i n a̠ o̞ s ɨᵝ
かきね	k a̠ kʲ i n e̞
かきのき	k a̠ kʲ i n o̞ kʲ i
かきのこす	k a̠ kʲ i n o̞ k o̞ s ɨᵝ
かきのたね	k a̠ kʲ i n o̞ t a̠ n e̞
かきはん	k a̠ kʲ i h ã̠ ɴ
かきまわす	k a̠ kʲ i m a̠ ɰᵝ a̠ s ɨᵝ
かきむしる	k a̠ kʲ i m ɯ̟ᵝ ɕ i ɾ ɯ̟ᵝ
かきもの	k a̠ kʲ i m o̞ n o̞
かきゅう	k a̠ kʲ ɨᵝː
かきゅうせい	k a̠ kʲ ɨᵝː s e̞ː
かきゅうてき	k a̠ kʲ ɨᵝː t e̞ kʲ i
かきょ	k a̠ kʲ o̞
かきょう	k a̠ kʲ o̞ː
かきわけ	k a̠ kʲ i ɰᵝ a̠ k e̞
かきん	k a̠ kʲ ĩ ɴ
かぎ	k a̠ ɡʲ i
かぎむし	k a̠ ɡʲ i m ɯ̟ᵝ ɕ i
かぎょうへんかくかつよう	k a̠ ɡʲ o̞ː
かぎろい	k a̠ ɡʲ i ɾ o̞ i
かく	k a̠ k ɯ̟ᵝ
かくう	k a̠ k ɯ̟ᵝː
かくうん	k a̠ k ɯ̟ᵝ ɯ̟̃ᵝ ɴ
かくえきていしゃ	k a̠ k ɯ̟ᵝ e̞ kʲ i̥ t e̞ː ɕ a̠
かくぎょう	k a̠ k ɯ̟ᵝ ɡʲ o̞ː
かくけい	k a̠ k ɯ̟ᵝ k e̞ː
かくこう	k a̠ k ɯ̟ᵝ k o̞ː
かくさ	k a̠ k ɯ̟ᵝ s a̠
かくさん	k a̠ k ɯ̟̊ᵝ s ã̠ ɴ
かくさん	k a̠ k ɯ̟ᵝ s ã̠ ɴ
かくし	k a̠ k ɯ̟ᵝ ɕ i
かくしき	k a̠ k ɯ̟ᵝ ɕ i kʲ i
かくしつ	k a̠ k ɯ̟ᵝ ɕ i t͡s ɨᵝ
かくして	k a̠ k ɯ̟̊ᵝ ɕ i t e̞
かくしもく	k a̠ k ɯ̟ᵝ ɕ i m o̞ k ɯ̟ᵝ
かくしゃく	k a̠ k ɯ̟ᵝ ɕ a̠ k ɯ̟ᵝ
かくしゅ	k a̠ k ɯ̟ᵝ ɕ ɨᵝ
かくしゅう	k a̠ k ɯ̟ᵝ ɕ ɨᵝː
かくしゅく	k a̠ k ɯ̟ᵝ ɕ ɨᵝ k ɯ̟ᵝ
かくしょ	k a̠ k ɯ̟ᵝ ɕ o̞
かくしょう	k a̠ k ɯ̟ᵝ ɕ o̞ː
