અ	ə
માંગવું	m ɑ ŋ ɡ ʋ ũ
માંચી	m ɑ̃ t͡ʃ i
માંડમાંડ	m ɑ ɳ ɖ m ɑ ɳ ɖ
માંડવો	m ɑ ɳ d̪ ə ʋ o
માંડો	m ɑ̃ ɖ o
માંદું	m ɑ n d̪ ũ
માંસ	m ɑ̃ s
માઈક	m ɑ i k
માઓવાદ	m ɑ o ʋ ɑ d̪
માકણ	m ɑ k ə ɳ
માખ	m ɑ kʰ
માખણ	m ɑ kʰ ə ɳ
માગ	m ɑ ɡ
માછલી	m ɑ t͡ʃʰ l i
માટી	m ɑ ʈ i
માટે	m ɑ ʈ e
માડી	m ɑ ɖ i
માડુ	m ɑ ɖ u
માણસ	m ɑ ɳ ə s
માણેક	m ɑ ɳ ɛ k
માતા	m ɑ t̪ ɑ
માતૃભૂમિ	m ɑ t̪ ɾ u bʱ u m i
માથાકૂટ	m ɑ t̪ʰ ɑ k u ʈ
માથું	m ɑ t̪ʰ ũ
માદા	m ɑ d̪ ɑ
માનવજાત	m ɑ n ə ʋ d͡ʒ ɑ t̪
માન્ચેસ્ટર	m ɑ n t͡ʃ ɛ s ʈ ə ɾ
માફક	m ɑ pʰ ə k
માફી	m ɑ pʰ i
માબાપ	m ɑ b ɑ p
મામદાણી	m ɑ m d̪ ɑ ɳ i
મામદો	m ɑ m d̪ o
મામલો	m ɑ m l o
મામા	m ɑ m ɑ
મામી	m ɑ m i
મામેરું	m ɑ m eː ɾ ũ
મામો	m ɑ m o
માયા	m ɑ j ɑ
મારવાડ	m ɑ ɾ ʋ ɑ ɖ
મારવાડી	m ɑ ɾ ʋ ɑ ɖ i
મારા	m ɑ ɾ ɑ
મારી	m ɑ ɾ i
માર્ક્સ	m ɑ ɾ k s
માર્ક્સવાદ	m ɑ ɾ k s ʋ ɑ d̪
માર્ગ	m ɑ ɾ ɡ
માર્ચ	m ɑ ɾ t͡ʃ
માળ	m ɑ ɭ
માળી	m ɑ ɭ i
માવડી	m ɑ ʋ ɖ i
માવતર	m ɑ ʋ t̪ ə ɾ
માશાલ્લાહ	m ɑ ʃ ɑ l l ɑʱ
માશૂક	m ɑ ʃ u k
માસા	m ɑ s ɑ
માસી	m ɑ s i
માસો	m ɑ s o
માસ્તર	m ɑ s t̪ ə ɾ
માહ	m ɑʱ
માહલાલએલ	m ɑʱ l ɑ l eː l
મિજબાની	m i d͡ʒ b ɑ n i
મિજાગરું	m i d͡ʒ ɑ ɡ ə ɾ ũ
મિતિ	m i t̪ i
મિનારો	m i n ɑ ɾ o
મિનિટ	m i n i ʈ
મિયાં	m i j ɑ̃
મિલકત	m i l k ə t̪
મિસર	m i s ə ɾ
મિસરી	m i s ɾ i
મિસિસિપી	m i s i s i p i
મિસ્ટર	m i s ʈ ə ɾ
મિસ્ટર	m i ʃ ʈ ə ɾ
મિસ્ત્રી	m i s t̪ ɾ i
મિહર	m i ɦ ə ɾ
મીઠાઈ	m i ʈʰ ɑ i
મીરાં	m i ɾ ɑ̃
મુંબઈ	m u m b ə i
મુંબઈગરું	m u m b ə i ɡ ə ɾ ũ
મુકદ્દમો	m u k ə d̪ d̪ ə m o
મુકાબલો	m u k ɑ b l o
મુખ	m u kʰ
મુખપૃષ્ઠ	m u kʰ p ɾ u ʂ ʈʰ
મુખોપાધ્યાય	m u kʰ o p ɑ d̪ʱ j ɑ j
મુઘલ	m u ɡʱ ə l
મુજરો	m u d͡ʒ ɾ o
મુઠ્ઠી	m u ʈʰ ʈʰ i
મુતરિયું	m u t̪ ɾ i j ũ
મુનશી	m u n ʃ i
મુબારક	m u b ɑ ɾ ə k
મુમતાજ	m u m t̪ ɑ d͡ʒ
મુમૂર્ષુ	m u m u ɾ ʂ u
મુરબ્બો	m u ɾ ə b b o
મુરાદાબાદ	m u ɾ ɑ d̪ ɑ b ɑ d̪
મુલક	m u l k
મુલક	m u l ə k
મુલતાન	m u l t̪ ɑ n
મુલાકાત	m u l ɑ k ɑ t̪
મુલાયમ	m u l ɑ j ə m
મુલ્લા	m u l l ɑ
મુશ્કિલ	m u ʃ k i l
મુશ્કેલ	m u ʃ k eː l
મુશ્કેલી	m u ʃ k eː l i
મુસલમાન	m u s ə l m ɑ n
મુસલમાની	m u s ə l m ɑ n i
મુસલ્લો	m u s ə l l o
મુસાફર	m u s ɑ pʰ ə ɾ
મુસાફરખાનું	m u s ɑ pʰ ə ɾ kʰ ɑ n ũ
મુસાફરી	m u s ɑ pʰ ɾ i
મુસ્તફા	m u s t̪ ə pʰ ɑ
મુસ્લિમ	m u s l i m
મુહમ્મદ	m u ɦ ə m m ə d̪
મુહર્રમ	m u ɦ ə ɾ ɾ ə m
મૂછ	m u t͡ʃʰ
મૂઠ	m u ʈʰ
મૂડી	m u ɽ i
મૂડીવાદ	m u ɽ i ʋ ɑ d̪
મૂત્રપિંડ	m u t̪ ɾ ə p i ɳ ɖ
મૂમતી	m u m t̪ i
મૂળો	m u ɭ o
મૂવી	m u ʋ i
મૂસા	m u s ɑ
મે	m eː
મેં	m ɛ̃
મેકવાન	m eː k ʋ ɑ n
મેક્સિકો	m eː k s i k o
મેઘ	m eː ɡʱ
મેઘધનુષ	m eː ɡʱ ə d̪ʱ ə n u ʂ
મેઘના	m eː ɡʱ n ɑ
મેઘાણી	m eː ɡʱ ɑ ɳ i
મેઘાણીનગર	m eː ɡʱ ɑ ɳ i n ə ɡ ə ɾ
મેજ	m eː d͡ʒ
મેતે	m ɛ t̪ eː
મેથોડિસ્ટ	m eː t̪ʰ o ɖ i s ʈ
મેદાન	m eː d̪ ɑ n
મેદાન	m ɛ d̪ ɑ n
મેના	m ɛ n ɑ
મેમ	m eː m
મેમણ	m ɛ m ə ɳ
મેરઠ	m eː ɾ ə ʈʰ
મેલ	m ɛ l
મેળા	m ɛ ɭ ɑ
મેવાડી	m eː ʋ ɑ ɽ i
મેવો	m eː ʋ o
મેષ	m eː ʂ
મેહ	m eːʱ
મૈથિલી	m ə i t̪ʰ i l i
મૈથુન	m ə i t̪ʰ u n
મોં	m ɔ̃
મોંઘું	m ɔ ŋ ɡʱ ũ
મોકલવું	m o k ə l ʋ ũ
મોકો	m o k o
મોક્ષ	m o k ʂ
મોગરી	m o ɡ ɾ i
મોગલ	m ɔ ɡ ə l
મોજૂદ	m o d͡ʒ u d̪
મોજૂદ	m ɔ d͡ʒ u d̪
મોટરસાયકલ	m o ʈ ə ɾ s ɑ j ə k ə l
મોટેલ	m o ʈ eː l
મોટેલ	m o ʈ ɛ l
મોડું	m ɔ ɽ ũ
મોતી	m o t̪ i
મોતીલાલ	m o t̪ i l ɑ l
મોદક	m o d̪ ə k
મોદી	m o d̪ i
મોનિકા	m o n i k ɑ
મોનિકા	m ɔ n i k ɑ
મોબેદ	m o b eː d̪
મોમો	m o m o
મોમ્બાસા	m o m b ɑ s ɑ
મોર	m o ɾ
મોરોક્કો	m o ɾ o k k o
મોસંબી	m o s ə m b i
મોસમ	m o s ə m
મોસાળ	m ɔ s ɑ ɭ
મોસ્કો	m o s k o
મોહનથાળ	m o ɦ ə n t̪ʰ ɑ ɭ
મોહનદાસ	m o ɦ ə n d̪ ɑ s
મોહબત	m oʱ b ə t̪
મોહમ્મદ	m o ɦ ə m m ə d̪
મોહરમ	m ɔ ɦ ə ɾ ə m
મોહિની	m o ɦ i n i
મ્યાઉં	m j ɑ ũ
ય	j ə
યંત્ર	j ə n t̪ ɾ ə
યઝત	j ə d͡ʒʱ ə t̪
યમન	j ə m ə n
યમુના	j ə m u n ɑ
યવન	j ə ʋ ə n
યશોમતી	j ə ʃ o m ə t̪ i
યહયા	j əʱ j ɑ
યહૂદિયા	j ə ɦ u d̪ i j ɑ
યહૂદી	j ə ɦ u d̪ i
યહોવાહ	j ə ɦ o ʋ ɑʱ
યહોશુઆ	j ə ɦ o ʃ u ɑ
યાકૂબ	j ɑ k u b
યાત્રા	j ɑ t̪ ɾ ɑ
યાદ	j ɑ d̪
યાર	j ɑ ɾ
યારેદ	j ɑ ɾ eː d̪
યાસમીન	j ɑ s m i n
યુકે	j u k eː
યુકેલિપ્ટસ	j u k eː l i p ʈ ə s
યુગાન્ડા	j u ɡ ɑ n ɖ ɑ
યુગોસ્લાવિયા	j u ɡ o s l ɑ ʋ i j ɑ
યુનુસ	j u n u s
યુરોપ	j u ɾ o p
યુવતી	j u ʋ t̪ i
યૂક્રેઇન	j u k ɾ eː i n
યૂસફ	j u s ə pʰ
યેન	j eː n
યોગ	j o ɡ
યોગી	j o ɡ i
યોગ્ય	j o ɡ j ə
યોનિ	j o n i
ર	ɾ ə
રંગ	ɾ ə ŋ ɡ
રંગલો	ɾ ə ŋ ɡ l o
રંગલો	ɾ ə ŋ ɡ l ɔ
રંગવું	ɾ ə ŋ ɡ ʋ ũ
રંગારો	ɾ ə ŋ ɡ ɑ ɾ o
રંગુન	ɾ ə ŋ ɡ u n
રંગોળી	ɾ ə ŋ ɡ o ɭ i
રકાબી	ɾ ə k ɑ b i
રક્ત	ɾ ə k t̪
રક્ષા	ɾ ə k ʃ ɑ
રજનીગંધા	ɾ ə d͡ʒ n i ɡ ə n d̪ʱ ɑ
રજવાડું	ɾ ə d͡ʒ ʋ ɑ ɖ ũ
રજા	ɾ ə d͡ʒ ɑ
રજાઈ	ɾ ə d͡ʒ ɑ i
રડવું	ɾ ə ɖ ʋ ũ
રઢિયાળું	ɾ ə ɖʱ i j ɑ ɭ ũ
રણ	ɾ ə ɳ
રણવાસ	ɾ ə ɳ ʋ ɑ s
રથ	ɾ ə t̪ʰ
રન	ɾ ə n
રમકડું	ɾ ə m ə k ɖ ũ
રમકડું	ɾ ə m ə k ɽ ũ
રમખાણ	ɾ ə m kʰ ɑ ɳ
રમજાન	ɾ ə m d͡ʒ ɑ n
રમજાન	ɾ ə m z ɑ n
રમઝાન	ɾ ə m d͡ʒʱ ɑ n
રમઝાન	ɾ ə m z ɑ n
રમણ	ɾ ə m ə ɳ
રમત	ɾ ə m ə t̪
રવિ	ɾ ə ʋ i
રવિવાર	ɾ ə i ʋ ɑ ɾ
રવિવાર	ɾ ə ʋ i ʋ ɑ ɾ
રશિયા	ɾ ə ʃ i j ɑ
રસ	ɾ ə s
રસગુલ્લું	ɾ ə s ɡ u l l ũ
રસી	ɾ ə s i
રસીદ	ɾ ə s i d̪
રસૂલ	ɾ ə s u l
રસો	ɾ ə s o
રસોઈ	ɾ ə s o i
રસોડું	ɾ ə s o ɖ ũ
રસ્તો	ɾ ə s t̪ o
રહસ્ય	ɾ ə ɦ ə s j ə
રહીમા	ɾ ə ɦ i m ɑ
રહેમાન	ɾ ə ɦ eː m ɑ n
રહેવું	ɾ ə ɦ ɛ ʋ ũ
રાંધણ	ɾ ɑ n d̪ʱ ə ɳ
રાંધવું	ɾ ɑ n d̪ʱ ʋ ũ
રાઈતું	ɾ ɑ i t̪ ũ
રાખ	ɾ ɑ kʰ
રાખવું	ɾ ɑ kʰ ʋ ũ
રાખસ	ɾ ɑ kʰ ə s
રાજ	ɾ ɑ d͡ʒ
રાજકોટ	ɾ ɑ d͡ʒ k o ʈ
રાજદ્રોહ	ɾ ɑ d͡ʒ d̪ ɾ oʱ
રાજધાની	ɾ ɑ d͡ʒ d̪ʱ ɑ n i
રાજપૂત	ɾ ɑ d͡ʒ p u t̪
રાજમહેલ	ɾ ɑ d͡ʒ m ə ɦ eː l
રાજમાર્ગ	ɾ ɑ d͡ʒ m ɑ ɾ ɡ
રાજસ્થાન	ɾ ɑ d͡ʒ ə s t̪ʰ ɑ n
રાજા	ɾ ɑ d͡ʒ ɑ
રાજીવ	ɾ ɑ d͡ʒ i ʋ
રાજેશ	ɾ ɑ d͡ʒ eː ʃ
રાજ્ય	ɾ ɑ d͡ʒ j ə
રાણી	ɾ ɑ ɳ i
રાત	ɾ ɑ t̪
રાધેકૃષ્ણ	ɾ ɑ d̪ʱ eː k ɾ u ʃ ɳ
રામ	ɾ ɑ m
રામકહાણી	ɾ ɑ m k ə ɦ ɑ ɳ i
રામાણી	ɾ ɑ m ɑ ɳ i
રામાયણ	ɾ ɑ m ɑ j ə ɳ
રાય	ɾ ɑ j ə
રાયણ	ɾ ɑ j ə ɳ
રાવળ	ɾ ɑ ʋ ə ɭ
રાશિફળ	ɾ ɑ ʃ i pʰ ə ɭ
રાષ્ટ્રગીત	ɾ ɑ ʂ ʈ ɾ ə ɡ i t̪
રાષ્ટ્રભાષા	ɾ ɑ ʃ ʈ ɾ ə bʱ ɑ ʃ ɑ
રાહુલ	ɾ ɑ ɦ u l
રાહેલ	ɾ ɑ ɦ eː l
રિંકુ	ɾ i ŋ k u
રિક્ષા	ɾ i k ʃ ɑ
રિચાર્ડ	ɾ i t͡ʃ ɑ ɾ ɖ
રિમોટ	ɾ i m o ʈ
રિવાજ	ɾ i ʋ ɑ d͡ʒ
રિશ્વત	ɾ i ʃ ʋ ə t̪
રીંગણ	ɾ i ŋ ɡ ə ɳ
રીંછ	ɾ ĩ t͡ʃʰ
રીત	ɾ i t̪
રુવાંટી	ɾ u ʋ ɑ̃ ʈ i
રૂત	ɾ u t̪
રૂથ	ɾ u t̪ʰ
રૂપ	ɾ u p
રૂપાળું	ɾ u p ɑ ɭ ũ
રૂપિયો	ɾ u p i j o
રૂપું	ɾ u p ũ
રૂબલ	ɾ u b ə l
રૂમાલ	ɾ u m ɑ l
રૂસ	ɾ u s
રૂસી	ɾ u s i
રૂસ્તમ	ɾ u s t̪ ə m
રૂહ	ɾ uʱ
રેખા	ɾ eː kʰ ɑ
રેગિસ્તાન	ɾ eː ɡ i s t̪ ɑ n
રેજીના	ɾ eː d͡ʒ i n ɑ
રેતાળ	ɾ eː t̪ ɑ ɭ
રેતી	ɾ eː t̪ i
રેનેસાં	ɾ eː n eː s ɑ̃
રેફ	ɾ eː pʰ
રેફ્રિજરેટર	ɾ eː pʰ ɾ i d͡ʒ ɾ eː ʈ ə ɾ
રેલવે	ɾ eː l ʋ eː
રેવરંડ	ɾ eː ʋ ɾ ə ɳ ɖ
રેસ્ટોરાં	ɾ eː s ʈ o ɾ ɑ̃
રેસ્ટોરાં	ɾ eː s ʈ ɔ ɾ ɑ̃
રોંઢો	ɾ ɔ ɳ ɖʱ o
રોકડ	ɾ o k ə ɽ
રોજ	ɾ o d͡ʒ
રોજગાર	ɾ o d͡ʒ ɡ ɑ ɾ
રોજો	ɾ o d͡ʒ o
રોટલી	ɾ o ʈ l i
રોપવું	ɾ o p ʋ ũ
રોમાનિયા	ɾ o m ɑ n i j ɑ
રોવું	ɾ o ʋ ũ
લ	l ə
લંકા	l ə ŋ k ɑ
લંગર	l ə ŋ ɡ ə ɾ
લંચ	l ə n t͡ʃ
લંડન	l ə ɳ ɖ ə n
લંબચોરસ	l ə m b t͡ʃ ɔ ɾ ə s
લખણ	l ə kʰ ə ɳ
લખણું	l ə kʰ ɳ ũ
લખનૌ	l ə kʰ n ə u
લખમણ	l ə kʰ m ə ɳ
લખવું	l ə kʰ ʋ ũ
લખાણી	l ə kʰ ɑ ɳ i
લખોટો	l ə kʰ o ʈ o
લગન	l ə ɡ ə n
લગાડવું	l ə ɡ ɑ ɖ ʋ ũ
લગામ	l ə ɡ ɑ m
લગ્ન	l ə ɡ n ə
લઘુતાદર્શક	l ə ɡʱ u t̪ ɑ d̪ ə ɾ ʃ ə k
લટકવું	l ə ʈ ə k ʋ ũ
લડવું	l ə ɽ ʋ ũ
લતા	l ə t̪ ɑ
લતીફ	l ə t̪ i pʰ
લદાખ	l ə d̪ ɑ kʰ
લપસણી	l ə p ə s ɳ i
લમણું	l ə m ɳ ũ
લયલા	l ə j l ɑ
લવિંગ	l ə ʋ i ŋ ɡ
લશ્કર	l ə ʃ k ə ɾ
લસણ	l ə s ə ɳ
લસ્સી	l ə s s i
લહર	l ə ɦ ə ɾ
લહેર	l ə ɦ ɛ ɾ
લાંચ	l ɑ ɲ t͡ʃ
લાંબું	l ɑ m b ũ
લાઇફસ્ટાઇલ	l ɑ i pʰ s ʈ ɑ i l
લાઇસન્સ	l ɑ i s ə n s
લાકડાવાળા	l ɑ k ɽ ɑ ʋ ɑ ɭ ɑ
લાકડાવાળા	l ɑ k ɾ ɑ ʋ ɑ l ɑ
લાકડી	l ɑ k ɽ i
લાકડું	l ɑ k ɽ ũ
લાખ	l ɑ kʰ
લાગવું	l ɑ ɡ ʋ ũ
લાડલી	l ɑ ɖ l i
લાડવો	l ɑ ɖ ʋ o
લાત	l ɑ t̪
લાદી	l ɑ d̪ i
લામા	l ɑ m ɑ
લાયક	l ɑ j ə k
લાલ	l ɑ l
લાલાણી	l ɑ l ɑ ɳ i
લાલી	l ɑ l i
લાલો	l ɑ l o
લાવવું	l ɑ ʋ ʋ ũ
લાહોર	l ɑ ɦ o ɾ
લિંગ	l i ŋ ɡ
લિંબુ	l i m b u
લિપિ	l i p i
લિફાફો	l i f ɑ f o
લિફ્ટ	l i pʰ ʈ
લિલામ	l i l ɑ m
લીખ	l i kʰ
લીચી	l i t͡ʃ i
લીધું	l i d̪ʱ ũ
લીલા	l i l ɑ
લીલી	l i l i
લીલું	l i l ũ
લીલો	l i l o
લુંગી	l u ŋ ɡ i
લુગત	l u ɡ ə t̪
લુપ્ત	l u p t̪
લુસાકા	l u s ɑ k ɑ
લુહાણો	l u ɦ ɑ ɳ o
લુહાર	l u ɦ ɑ ɾ
લૂંટવું	l ũ ʈ ʋ ũ
લૂછવું	l u t͡ʃʰ ʋ ũ
લૂત	l u t̪
લેંઘો	l eː ŋ ɡʱ o
લેખક	l eː kʰ ə k
લેનિન	l eː n i n
લેનિનવાદ	l eː n i n ʋ ɑ d̪
લેપ	l eː p
લેવીય	l eː ʋ i
લેવું	l eː ʋ ũ
લેસન	l eː s ə n
લેસ્ટર	l ɛ s ʈ ə ɾ
લેસ્બિયન	l eː s b i j ə n
લોક	l o k
લોકજીવન	l o k d͡ʒ i ʋ ə n
લોકનૃત્ય	l o k n ɾ u t̪ j ə
લોકશાહી	l o k ʃ ɑ ɦ i
લોકસભા	l o k s ə bʱ ɑ
લોટ	l o ʈ
લોટો	l o ʈ o
લોપ	l o p
લોશન	l o ʃ ə n
લોહ	l oʱ
લોહી	l o ɦ i
ળ	ɭ
વ	ʋ ə
વંગ	ʋ ə ŋ ɡ
વંદીદાદ	ʋ ə n d̪ i d̪ ɑ d̪
વંદો	ʋ ə n d̪ o
વંશજ	ʋ ə ɲ ʃ ə d͡ʒ
વંશપરંપરા	ʋ ə ɲ ʃ p ə ɾ ə m ə p ə ɾ ɑ
વકીલ	ʋ ə k i l
વખત	ʋ ə kʰ ə t̪
વખાણ	ʋ ə kʰ ɑ ɳ
વગર	ʋ ə ɡ ə ɾ
વગેરે	ʋ ə ɡ eː ɾ eː
વઘાર	ʋ ə ɡʱ ɑ ɾ
વચલું	ʋ ə t͡ʃ l ũ
વચ્ચે	ʋ ə t͡ʃ t͡ʃ ɛ
વજન	ʋ ə d͡ʒ ə n
વજૂ	ʋ ə d͡ʒ u
વડ	ʋ ə ɽ
વડવાગળું	ʋ ə ɖ ʋ ɑ ɡ ə ɭ ũ
વડીલ	ʋ ə ɽ i l
વડોદરા	ʋ ə ɽ o d̪ ɾ ɑ
વઢવાણ	ʋ ə ɖʱ ʋ ɑ ɳ
વણિયેર	ʋ ə ɳ i j ɛ ɾ
વતન	ʋ ə t̪ ə n
વત્તા	ʋ ə t̪ t̪ ɑ
વદ	ʋ ə d̪
વધવું	ʋ ə d̪ʱ ʋ ũ
વધસ્તંભ	ʋ ə d̪ʱ ə s t̪ ə m bʱ
વધારે	ʋ ə d̪ʱ ɑ ɾ ɛ
વધુ	ʋ ə d̪ʱ u
વન	ʋ ə n
વનશ્રી	ʋ ə n ə ʃ ɾ i
વય	ʋ ə j ə
વર	ʋ ə ɾ
વરંડો	ʋ ə ɾ ə ɳ ɖ o
વરત	ʋ ə ɾ ə t̪
વરસ	ʋ ə ɾ ə s
વરસગાંઠ	ʋ ə ɾ ə s ɡ ɑ̃ ʈʰ
વરસવું	ʋ ə ɾ ə s ʋ ũ
વરસાદ	ʋ ə ɾ s ɑ d̪
વરાત	ʋ ə ɾ ɑ t̪
વરાળ	ʋ ə ɾ ɑ ɭ
વરુ	ʋ ə ɾ u
વર્ગ	ʋ ə ɾ ɡ
વર્ણ	ʋ ə ɾ ɳ ə
વર્ણમાળા	ʋ ə ɾ ɳ ə m ɑ ɭ ɑ
વર્ષા	ʋ ə ɾ ʃ ɑ
વલંદો	ʋ ə l ə n d̪ o
વલસાડ	ʋ ə l s ɑ ɽ
વલ્લભા	ʋ ə l l ə bʱ ɑ
વલ્લાહ	ʋ ə l l ɑʱ
વળતર	ʋ ə ɭ t̪ ə ɾ
વળવું	ʋ ə ɭ ʋ ũ
વળી	ʋ ə ɭ i
વસંત	ʋ ə s ə n t̪
વસંતપંચમી	ʋ ə s ə n t̪ p ə ɲ t͡ʃ m i
વસ્તી	ʋ ə s t̪ i
વસ્તુ	ʋ ə s t̪ u
વહાણ	ʋ ə ɦ ɑ ɳ
વહાણવટું	ʋ ə ɦ ɑ ɳ ʋ ə ʈ ũ
વહાણું	ʋ ə ɦ ɑ ɳ ũ
વહાલ	ʋ ə ɦ ɑ l
વહાલા	ʋ ə ɦ ɑ l ɑ
વહાલું	ʋ ə ɦ ɑ l ũ
વહિશ્ત	ʋ ə ɦ i ʃ t̪
વહી	ʋ ə ɦ i
વહુ	ʋ ə ɦ u
વહેંચવું	ʋ ə ɦ ẽ t͡ʃ ʋ ũ
વહેમ	ʋ ə ɦ ɛ m
વહેલું	ʋ ə ɦ ɛ l ũ
વહેલું	ʋ ɦ ɛ l ũ
વહેવાર	ʋ ə ɦ eː ʋ ɑ ɾ
વાંકાનેર	ʋ ɑ̃ k ɑ n eː ɾ
વાંચવું	ʋ ɑ̃ s ʋ ũ
વાંચવું	ʋ ɑ̃ t͡ʃ ʋ ũ
વાંઢો	ʋ ɑ ɳ ɖʱ o
વાંદર	ʋ ɑ n d̪ ə ɾ
વાંધો	ʋ ɑ n d̪ʱ o
વાંસ	ʋ ɑ̃ s
વાંસળી	ʋ ɑ̃ s ə ɭ i
વાઉ	ʋ ɑ u
વાક	ʋ ɑ k
વાક્ય	ʋ ɑ k j ə
વાગવું	ʋ ɑ ɡ ʋ ũ
વાઘ	ʋ ɑ ɡʱ
વાઘણ	ʋ ɑ ɡʱ ə ɳ
વાઘરી	ʋ ɑ ɡʱ ɾ i
વાટકું	ʋ ɑ ʈ k ũ
વાટકો	ʋ ɑ ʈ k o
વાડકું	ʋ ɑ ɽ k ũ
વાડિયા	ʋ ɑ ɖ i j ɑ
વાડિયો	ʋ ɑ ɖ i j o
વાડી	ʋ ɑ ɖ i
વાણિજ્ય	ʋ ɑ ɳ i d͡ʒ j ə
વાણિયો	ʋ ɑ ɳ i j o
વાત	ʋ ɑ t̪
વાતાવરણ	ʋ ɑ t̪ ɑ ʋ ɾ ə ɳ
વાત્સલ્ય	ʋ ɑ t̪ s ə l j ə
વાદળ	ʋ ɑ d̪ ə ɭ
વાન	ʋ ɑ n
વાપરવું	ʋ ɑ p ə ɾ ʋ ũ
વાયુ	ʋ ɑ j u
વાર	ʋ ɑ ɾ
વારાણસી	ʋ ɑ ɾ ɑ ɳ ə s i
વારો	ʋ ɑ ɾ o
વાર્તા	ʋ ɑ ɾ t̪ ɑ
વાલમ	ʋ ɑ l ə m
વાલિદ	ʋ ɑ l i d̪
વાલિદૈન	ʋ ɑ l i d̪ ə i n
વાળ	ʋ ɑ ɭ
વાળવું	ʋ ɑ ɭ ʋ ũ
વાળુ	ʋ ɑ ɭ u
વાવ	ʋ ɑ ʋ
વાવેતર	ʋ ɑ ʋ eː t̪ ə ɾ
વાશ્તી	ʋ ɑ ʃ t̪ i
વાસ	ʋ ɑ s
વાસણ	ʋ ɑ s ə ɳ
વાસવાણી	ʋ ɑ s ʋ ɑ ɳ i
વાહ	ʋ ɑʱ
વાહિગુરુ	ʋ ɑ ɦ i ɡ u ɾ u
વિકેટ	ʋ i k eː ʈ
વિકેટકીપર	ʋ i k eː ʈ k i p ə ɾ
વિક્ષનરી	ʋ i k ʃ ə n ə ɾ i
વિક્ષનરી	ʋ i k ʃ ə n ɾ i
વિચાર	ʋ i t͡ʃ ɑ ɾ
વિચારીએ	ʋ i t͡ʃ ɑ ɾ i eː
વિચારું	ʋ i t͡ʃ ɑ ɾ ũ
વિજ્ઞાન	ʋ i ɡ n ɑ n
વિટામિન	ʋ i ʈ ɑ m i n
વિદેશ	ʋ i d̪ eː ʃ
વિદ્યમાન	ʋ i d̪ j ə m ɑ n
વિદ્યાર્થી	ʋ i d̪ j ɑ ɾ t̪ʰ i
વિધવા	ʋ i d̪ʱ ʋ ɑ
વિધુર	ʋ i d̪ʱ u ɾ
વિના	ʋ i n ɑ
વિપાશા	ʋ ɪ p ɑ ʃ ɑ
વિપ્લવ	ʋ i p l ə ʋ
વિભાજન	ʋ i bʱ ɑ d͡ʒ ə n
વિમાન	ʋ i m ɑ n
વિરહ	ʋ i ɾ əʱ
વિરુદ્ધ	ʋ i ɾ u d̪ d̪ʱ
વિલાયત	ʋ i l ɑ j ə t̪
વિલાયતી	ʋ i l ɑ j ə t̪ i
વિલિયમ	ʋ i l i j ə m
વિવાહ	ʋ i ʋ ɑʱ
વિવિધ	ʋ i ʋ i d̪ʱ
વિશાખા	ʋ i ʃ ɑ kʰ ɑ
વિશાલ	ʋ i ʃ ɑ l
વિશે	ʋ i ʃ eː
વિશેષણ	ʋ i ʃ eː ʃ ə ɳ
વિશ્રામ	ʋ i ʃ ɾ ɑ m
વિશ્રામવાર	ʋ i ʃ ɾ ɑ m ʋ ɑ ɾ
વિશ્વ	ʋ i ʃ ʋ ə
વિશ્વકપ	ʋ i ʃ ʋ ə k ə p
વિશ્વકોશ	ʋ i ʃ ʋ ə k o ʃ
વિશ્વાસ	ʋ i ʃ ʋ ɑ s
વિષ	ʋ i ʂ
વિષય	ʋ i ʃ j ə
વિસાત	ʋ i s ɑ t̪
વિસામો	ʋ i s ɑ m o
વિસામો	ʋ i ɦ ɑ m o
વિસ્તાર	ʋ i s t̪ ɑ ɾ
વિસ્મય	ʋ i s m ə j
વિહોણું	ʋ i ɦ o ɳ ũ
વીંછી	ʋ ĩ t͡ʃʰ i
વીજળી	ʋ i d͡ʒ l i
વીજળી	ʋ i d͡ʒ ɭ i
વીણા	ʋ i ɳ ɑ
વીતવું	ʋ i t̪ ʋ ũ
વીમો	ʋ i m o
વીર	ʋ i ɾ
વીસ	ʋ i s
વુજૂ	ʋ u d͡ʒ u
વુજૂ	ʋ u z u
વૃદ્ધ	ʋ ɾ u d̪ d̪ʱ
વૃદ્ધત્વ	ʋ ɾ u d̪ d̪ʱ ə t̪ ʋ ə
વૃષ્ટિ	ʋ ɾ u ʂ ʈ i
વેંગણ	ʋ ɛ ŋ ɡ ə ɳ
વેચવું	ʋ eː t͡ʃ ʋ ũ
વેણી	ʋ eː ɳ i
વેદ	ʋ eː d̪
વેપાર	ʋ ɛ p ɑ ɾ
વેરાન	ʋ eː ɾ ɑ n
વેલણ	ʋ eː l ə ɳ
વેલ્સ	ʋ eː l s
વેળા	ʋ eː ɭ ɑ
વેસ્લી	ʋ eː s l i
વૈદ્ય	ʋ ə i d̪ j ə
વૈશાખ	ʋ ə i ʃ ɑ kʰ
વૈશ્ય	ʋ ə i ʃ j ə
વૈષ્ણવ	ʋ ə i ʃ ɳ ə ʋ
વોટ્સએપ	ʋ o ʈ s ə eː p
વોડકા	ʋ o ɖ k ɑ
વોલરસ	ʋ o l ɾ ə s
વોશિંગ્ટન	w ɒ ʃ i ŋ ɡ ʈ ə n
વ્યક્તિત્વ	ʋ j ə k t̪ i t̪ ʋ ə
