Ё	j ɔ
цахилгаанжуулалт	t͡sʰ a x i ɮ k aː n t͡ɕ ʊː ɮ a ɮ tʰ
цахилгаанжуулах	t͡sʰ a x i ɮ k aː n t͡ɕ ʊː ɮ a x
цахим	t͡sʰ a x i m
цилиндр	t͡sʰ i ɮ i n t r̥
цирк	t͡sʰ i r̥ kʰ
цогц	t͡sʰ ɔ ɡ t͡sʰ
цогцос	t͡sʰ ɔ ɡ t͡sʰ ə s
цонх	t͡sʰ ɔ ŋ x
цохих	t͡sʰ ɔ xʲ ə x
цуйван	t͡sʰ ʊ i w ə ŋ
цус	t͡sʰ ʊ s
цэ	t͡sʰ e
цэвэрлэх	t͡sʰ e w ə r ɮ ə x
цэг	t͡sʰ e k
цэдэнбализм	t͡sʰ e t e m p a ɮ i t͡s m
цэнэглэх	t͡sʰ e n e k ɮ e x
цэцэг	t͡ʃʰ i t͡ʃʰ ɘ k
цээжлэх	t͡sʰ eː t͡ʃ ɮ e x
цүүц	t͡sʰ uː t͡sʰ
цөл	t͡sʰ o ɮ
цөлхөөв	t͡sʰ ɵ ɬʰ ɵː w̜
цөцгий	t͡sʰ o t͡sʰ ɡ i
цөөн	t͡sʰ oː ŋ
ч	t͡ɕʰ
чавга	t͡ɕʰ a w̜ k
чавхдас	t͡ɕʰ a w x t ə s
чагнаал	t͡ɕʰ a ɡ n a ɮ
чадвар	t͡ɕʰ a t w̜ a r̥
чанар	t͡ɕʰ a n ə r
чанарлаг	t͡ɕʰ a n ə r ɮ ə ɡ
чанасан	t͡ɕʰ a n a s a ŋ
чангаанз	t͡ɕʰ a ŋ k aː n t͡s
чек	t͡ɕʰ j ɵ kʰ
чи	t͡ɕʰ i
чидун	t͡ɕʰ i t ʊ ŋ
чийг	t͡ɕʰ iː ɡ
чийдэн	t͡ɕʰ iː t e ŋ
чинжүү	t͡ɕʰ i n t͡ɕ uː
чих	t͡ɕʰ i x
чоно	t͡ɕʰ ɔ n
чулуу	t͡ɕʰ ʊ ɮ ʊː
чухаг	t͡ɕʰ ʊ x ə ɡ
чухал	t͡ɕʰ ʊ x ə ɮ
чэ	t͡ɕʰ e
чүнчигноров	t͡ɕʰ u n t͡ɕʰ i k n ɔ r ɔ w̜
чөдөр	t͡ɕʰ ɵ t ɵ r̥
чөмөг	t͡ɕʰ o m ə ɡ
ш	ɕ
ша	ɕ a
шаазгай	ʃ aː t͡s ɢ a i
шаардах	ʃ aː r t ə x
шаардлага	ʃ aː r t ɮ ə ɢ
шавар	ʃ a w ə r
шал	ɕ a ɮ
шалах	ɕ a ɮ a x
шалбархай	ɕ a ɮ p a r x ɛː
шалгалт	ɕ a ɮ k a ɮ tʰ
шалгах	ʃ a ɮ ɢ ə x
шалгуур	ʃ a ɮ ɢ ʊ r
шалтаг	ʃ a ɮ tʰ ə ɡ
шалтгаа	ʃ a ɮ tʰ ɡ a
шалтгаа	ʃ a ɮ tʰ ɢ a
шалтгаан	ʃ a ɮ tʰ ɢ a ŋ
шанаа	ʃ a n a
шанд	ʃ a n t
шанз	ʃ a n t͡s
шар	ʃ a r
шатаах	ʃ a tʰ a x
шатар	ʃ a tʰ ə r
шафа	ʃ a f a
шах	ɕ a x
шахах	ʃ a x ə x
шашин	ɕ a ɕ i ŋ
шашингүй	ɕ a ɕ i ŋ k u i̯
шашингүйгээ	ɕ a ɕ i ŋ k u i̯ ɣ eː
шашинд	ɕ a ɕ i n t
шашиндаа	ɕ a ɕ i n t aː
шашинтай	ɕ a ɕ i n tʰ ɛː
шашинтайгаа	ɕ a ɕ i n tʰ ɛː k aː
шашнаа	ɕ a ɕ n aː
шашнаар	ɕ a ɕ n aː r̥
шашнаараа	ɕ a ɕ n aː r aː
шашнаас	ɕ a ɕ n aː s
шашнаасаа	ɕ a ɕ n aː s aː
шашнууд	ɕ a ɕ n ʊː t
шашнуудаа	ɕ a ɕ n ʊː t aː
шашнуудаар	ɕ a ɕ n ʊː t aː r̥
шашнуудаараа	ɕ a ɕ n ʊː t aː r aː
шашнуудаас	ɕ a ɕ n ʊː t aː s
шашнуудаасаа	ɕ a ɕ n ʊː t aː s aː
шашнуудад	ɕ a ɕ n ʊː t a t
шашнуудгүй	ɕ a ɕ n ʊː t k u i̯
шашнуудгүйгээ	ɕ a ɕ n ʊː t k u i̯ ɣ eː
шашнууддаа	ɕ a ɕ n ʊː t͉ t aː
шашнуудтай	ɕ a ɕ n ʊː t tʰ ɛː
шашнуудтайгаа	ɕ a ɕ n ʊː t tʰ ɛː k aː
шашнуудыг	ɕ a ɕ n ʊː t i k
шашнуудыгаа	ɕ a ɕ n ʊː t i ɣ aː
шашнуудын	ɕ a ɕ n ʊː t i ŋ
шашнуудынх	ɕ a ɕ n ʊː t i ŋ x
шашнуудынхаа	ɕ a ɕ n ʊː t i ŋ x aː
шашнуудынхан	ɕ a ɕ n ʊː t i ŋ x a ŋ
шашны	ɕ a ɕ n i
шашныг	ɕ a ɕ n i k
шашныгаа	ɕ a ɕ n i ɣ aː
шашных	ɕ a ɕ n i x
шашныхаа	ɕ a ɕ n i x aː
шашныхан	ɕ a ɕ n i x a ŋ
шивнэх	ʃ i w n ə x
шивээс	ʃ i w e s
шизофрени	ɕ i t͡s ɔ f rʲ ɵ n i
шийдвэр	ʃ iː t w ə r
шийжүү	ʃ iː t͡ɕ u
шил	ʃ i ɮ
шилбэ	ʃ i ɮ p
шилүүс	ʃ i ɮ u s
шингэн	ʃ i ŋ ɡ ə ŋ
шинжлэл	ɕ i n t͡ɕ ɮ e ɮ
шинэ	ʃ i n
шинэлэг	ʃ i n ɮ ə ɡ
ширхэг	ʃ i r x e ɡ
ширээ	ʃ i r e
шит	ɕ i tʰ
шодой	ʃ ɔ t ɔ i
шоколад	ɕ ɔ kʰ ɮ a t
шонхор	ʃ ɔ ŋ x ɔ r
шоо	ʃ ɔː
шоргоолж	ɕ ɔ r k oː ɮ t͡ɕ
шорлог	ʃ ɔ r ɮ ə ɡ
шороо	ɕ ɔ r oː
шпагетти	ɕ pʰ a kʲ ɵ tʰ
шувуу	ʃ ʊ w ʊ
шугам	ʃ ʊ ɢ ə m
шулуун	ʃ ʊ ɮ ʊ ŋ
шумуул	ɕ ʊ m ʊː ɮ
шуугиан	ʃ ʊː ɡʲ a ŋ
шуудан	ɕ ʊː t a ŋ
шээх	ɕ eː x
шянчи	ɕ j a n t͡ɕʰ i
шянчуу	ɕ j a n t͡ɕʰ ʊː
шүд	ʃ u d
шүлс	ʃ u ɮ s
шүү	ɕ uː
шүүдэр	ʃ uː t ə r
шүүр	ɕ uː r̥
шүүрдэх	ɕ uː r t e x
шүүс	ʃ uː s
шүүслэг	ʃ uː s ɮ ə ɡ
шүүслэх	ʃ uː s ɮ ə x
щ	ɕ
ща	ɕ a
щит	ɕ i tʰ
ы	i
ь	ʲ
э	e
эв	i w
эд	e tʰ
экзистенциализм	e kʰ t͡s i s tʰʲ ɵ n t͡sʰ i̯ aː ɮ i t͡s m
эл	e ɮ
элэг	i ɮ ə ɡ
эм	e m
эмнэлэг	i m n ə ɮ ə ɡ
эмчилгээ	e m t͡ɕʰ ə ɮ ɡ e
эмэгтэйчүүдийг	e m e k tʰ e i̯ t͡ɕʰ uː t iː k
эмэгтэйчүүдийн	e m e k tʰ e i̯ t͡ɕʰ uː t iː ŋ
эмэгтэйчүүдэд	e m e k tʰ e i̯ t͡ɕʰ uː t e t
эмээл	i m e ɮ
эн	e ŋ
эндометриоз	e n t ɔ mʲ ɵ tʰ r i̯ oː t͡s
энх	e ŋ x
энэ	e n
энэтхэгчүүд	e n e tʰ x e k t͡ɕʰ uː t
эр	e r̥
эргэх	i r ɡ i x
эрзээн	e r t͡s eː ŋ
эрлийзжих	e r ɮ iː t͡s t͡ɕ i x
эрх	i r x
эрхийвч	i r x i w t͡ɕʰ
эрхтэн	e r x tʰ e ŋ
эрхүүд	e r x uː t
эрч	i r t͡ɕʰ
эрчүүдийн	e r̥ t͡ɕʰ uː t iː ŋ
эрэгтэйчүүдийн	e r e k tʰ e i̯ t͡ɕʰ uː t iː ŋ
эрүү	e r u
эс	e s
эсгий	i s ɡ i
эф	e f
эх	i x
эхлэх	e x ɮ ə x
эхнэр	e x n e r̥
ээ	eː
ээмэг	eː m i k
ю	j u
ю	j ʊ
юм	j ʊ m
юмгүй	j ʊ m k u i̯
юмдүүжин	j ʊ m t uː t͡ɕ i ŋ
юмс	j ʊ m s
юмсан	j ʊ m s a ŋ
юу	j ʊː
юү	j uː
я	j a
яагаад	j aː ɢ a t
яам	j aː m
явдал	j a w t ə ɮ
явц	j a w t͡sʰ
явцуу	j a w t͡sʰ ʊ
ял	j a ɮ
ялгал	j a ɮ ɢ a ɮ
ялгах	j a ɮ ɢ a x
ямаа	j a m a
ямар	j a m ə r
яндан	j a n t a ŋ
янжуур	j a ŋ t͡ɕ ʊ r
янз	j a n t͡s
янхан	j a ŋ x a ŋ
япончууд	j a pʰ ɔ n t͡ɕʰ ʊː t
япончуудын	j a pʰ ɔ n t͡ɕʰ ʊː t i ŋ
ястан	j ä s tʰ ə ŋ
ятга	j a tʰ ə ɢ
ятуу	j a tʰ ʊ
ё	j ɔ
ёкозуна	j ɔ kʰ ɔ t͡s ʊ n
ёл	j ɔ ɮ
ёотон	j ɔː tʰ ɔ ŋ
ёс	j ɔ s
ёслол	j ɔ s ɮ ʊ ɮ
Ү	u
ү	u
үг	u ɡ
үггүй	u ɣ u i̯
үгийг	u ɣ iː k
үгийн	u ɡ i ŋ
үгний	u k n iː
үгнийх	u k n iː x
үгнийхэн	u k n iː x e ŋ
үгнээс	u k n eː s
үгс	u k s
үгсгүй	u k s k u i̯
үгсийг	u k s iː k
үгсийн	u k s iː ŋ
үгсийнх	u k s iː ŋ x
үгсийнхэн	u k s iː ŋ x e ŋ
үгстэй	u k s tʰ e i̯
үгсэд	u k s e t
үгсээр	u k s eː r̥
үгсээс	u k s eː s
үгтэй	u k tʰ e i̯
үгэн	u ɣ e ŋ
үгэнд	u ɣ e n t
үгээр	u ɣ eː r̥
үгүй	u ɡ u i̯
үдэш	u t e ɕ
үе	u j
үерхэх	u j ɵ r x e x
үзэлцэх	u t͡s e ɮ t͡sʰ e x
үзэм	u t͡s ə̆ m
үзэх	u t͡s ə x
үзүүр	u t͡s u r
үйл	u i ɮ
үйлдвэр	u i ɮ t w ə r
үйлдвэржих	u i ɮ t w ə r t͡ɕ ə x
үйлдвэрийн	u i̯ ɮ t w̜ e r iː ŋ
үйлдвэрлэл	u i ɮ t w ə r ɮ ə ɮ
үйлдвэрлэх	u i ɮ t w ə r ɮ ə x
үйлдвэрчин	u i ɮ t w ə r t͡ɕʰ ə ŋ
үйлдэл	u i ɮ t ə ɮ
үйлдэржилт	u i ɮ t w e r t͡ɕ ə ɮ tʰ
үйлдэх	u i ɮ t ə x
үйлс	u i̯ ɮ s
үйлчилгээ	u ɮ t͡ɕʰ i ɮ k eː
үйлчлэл	u i̯ ɮ t͡ɕʰ ɮ e ɮ
үйлчлэх	u i ɮ t͡ɕʰ ɮ ə x
үйлчлүүлэгч	u i̯ ɮ t͡ɕʰ ɮ uː ɮ e k t͡ɕʰ
үйлчлүүлэх	u i̯ ɮ t͡ɕʰ ɮ uː ɮ e x
үлээх	u ɮ e x
үндэстэн	u n t ə s t ə ŋ
үнс	u n s
үнсэх	u n s e x
үнэ	u n
үнэг	u n ə ɡ
үнэн	u n e n
үнээ	u n e
үр	u r
үсрэх	u s r e x
үтрэм	u tʰ r ə m
үтрээ	u tʰ r e
үхэр	u x ə r
үүл	uː l
үүлгүй	uː ɮ k u i̯
үүлийг	uː ɮ iː k
үүлний	uː ɮ n iː
үүлнээс	uː ɮ n eː s
үүлнүүд	uː ɮ n uː t
үүлнүүдгүй	uː ɮ n uː t k u i̯
үүлнүүдийг	uː ɮ n uː t iː k
үүлнүүдийн	uː ɮ n uː t iː ŋ
үүлнүүдтэй	uː ɮ n uː t tʰ e i̯
үүлнүүдэд	uː ɮ n uː t e t
үүлнүүдээр	uː ɮ n uː t eː r̥
үүлнүүдээс	uː ɮ n uː t eː s
үүлтэй	uː ɮ n tʰ e i̯
үүлэн	uː ɮ e ŋ
үүлэнд	uː ɮ e n t
үүлээр	uː ɮ eː r̥
үүргэвч	uː r k e w̜ t͡ɕʰ
Ө	œ
Ө	ɵ ~ o
Өгэдэй	ɵ ɣ e t e i̯
Өгэдэйг	ɵ ɣ e t e i̯ k
Өгэдэйгээр	ɵ ɣ e t e i̯ ɣ eː r̥
Өгэдэйгээс	ɵ ɣ e t e i̯ ɣ eː s
Өгэдэйгүй	ɵ ɣ e t e i̯ ɣ u i̯
Өгэдэйд	ɵ ɣ e t e i̯ t
Өгэдэйн	ɵ ɣ e t e i̯ ŋ
Өгэдэйнд	ɵ ɣ e t e i̯ n t
Өгэдэйтэй	ɵ ɣ e t e i̯ tʰ e i̯
Өлгий	ɵ ɮ k iː
Өндөрхаан	ɵ n t ɵ r x aː ŋ
Өэлүн	ɵ e ɮ u ŋ
Өэлүнгүй	ɵ e ɮ u ŋ k u i̯
Өэлүнд	ɵ e ɮ u n t
Өэлүний	ɵ e ɮ u n iː
Өэлүнийг	ɵ e ɮ u n iː k
Өэлүнийд	ɵ e ɮ u n iː t
Өэлүнтэй	ɵ e ɮ u n tʰ e i̯
Өэлүнээр	ɵ e ɮ u n eː r̥
Өэлүнээс	ɵ e ɮ u n eː s
ө	ɵ
өв	ɵ w̜
өвгөн	ɵ w̜ k ɵ ŋ
өвдөг	o w t ə ɡ
өвс	o w s
өвчин	ɵ w̜ t͡ɕʰ i ŋ
өвөл	ɵ w̜ ɵ ɮ
өвөр	o w o r
өвөө	ɵ w̜ ɵː
өгзөг	ɵ k t͡s ɵ k
өглөг	ɵ k ɮ ɵ k
өглөө	ɵ k ɮ ɵː
өгөх	o ɡ ə x
өд	o t
өдгөө	ɵ t k ɵː
өдөр	ɵ t ə r̥
өеө	ɵ j ɵ
өеөдөх	ɵ j ɵ ɵ t ɵ x
өлмий	o ɮ m i
өлсгөлөн	o ɮ s ɡ ə ɮ ə ŋ
өлсөх	o ɮ s ə x
өмд	ɵ m t
өмнө	ɵ m n
өмсөх	o m s ə x
өнгө	ɵ ŋ k
өндгөн	ɵ n t k ɵ ŋ
өнчин	o n t͡ɕʰ ə ŋ
өр	ɵ r̥
өргөдөл	ɵ r k ɵ t ɵ ɮ
өргөлт	ɵ r k ɵ ɮ tʰ
өргөлттэй	ɵ r k ɵ ɮ tʰ e i̯
өргөө	ɵ r k ɵː
өргөөн	ɵ r k ɵː ŋ
өрсөлдөгч	ɵ r s ɵ ɮ t ɵ ɡ t͡ʃʰ
өрсөлдөх	ɵ r s u ɮ t u x
өрсөлдөөн	ɵ r s ɵ ɮ t oː ŋ
өрсөх	ɵ r s u x
өрөм	o r ə m
өсгий	ɵ s k iː
өтгөн	o tʰ ɡ ə ŋ
өчүүхэн	o t͡ɕʰ u x ə ŋ
өө	ɵː
өөд	ɵː t
өөлд	oː ɮ tʰ
өөр	oː r
өөрийн	ɵː r iː ŋ
өөрийнхөө	ɵː r iː ŋ x ɵː
өөрчлөлт	oː r t͡ɕʰ ɮ ə ɮ tʰ
өөрчлөх	oː r t͡ɕʰ ɮ ə x
өөх	oː x
өөхлөг	oː x ɮ ə ɡ
өөш	ɵː ɕ
