А	a
въведяла	v ɐ v ɛ dʲ a̟ ɫ ɐ
въведяло	v ɐ v ɛ dʲ a̟ ɫ o
въведях	v ɐ v ɛ dʲ a̟ x
въведяха	v ɐ v ɛ dʲ a̟ x ɐ
въведяхме	v ɐ v ɛ dʲ a̟ x m ɛ
въведяхте	v ɐ v ɛ dʲ a̟ x t ɛ
въвежда	v ɐ v ɛ ʒ d ɐ
въвеждай	v ɐ v ɛ ʒ d ɐ j
въвеждайки	v ɐ v ɛ ʒ d ɐ j k i
въвеждайте	v ɐ v ɛ ʒ d ɐ j t ɛ
въвеждал	v ɐ v ɛ ʒ d ɐ ɫ
въвеждала	v ɐ v ɛ ʒ d ɐ ɫ ɐ
въвеждалата	v ɐ v ɛ ʒ d ɐ ɫ ɐ t ɐ
въвеждали	v ɐ v ɛ ʒ d ɐ l i
въвеждалите	v ɐ v ɛ ʒ d ɐ l i t ɛ
въвеждалия	v ɐ v ɛ ʒ d ɐ l i j ɐ
въвеждалият	v ɐ v ɛ ʒ d ɐ l i j ɐ t
въвеждало	v ɐ v ɛ ʒ d ɐ ɫ o
въвеждалото	v ɐ v ɛ ʒ d ɐ ɫ o t o
въвеждам	v ɐ v ɛ ʒ d ɐ m
въвеждаме	v ɐ v ɛ ʒ d ɐ m ɛ
въвеждан	v ɐ v ɛ ʒ d ɐ n
въвеждана	v ɐ v ɛ ʒ d ɐ n ɐ
въвежданата	v ɐ v ɛ ʒ d ɐ n ɐ t ɐ
въвеждане	v ɐ v ɛ ʒ d ɐ n ɛ
въвежданета	v ɐ v ɛ ʒ d ɐ n ɛ t ɐ
въвежданетата	v ɐ v ɛ ʒ d ɐ n ɛ t ɐ t ɐ
въвеждането	v ɐ v ɛ ʒ d ɐ n ɛ t o
въвеждани	v ɐ v ɛ ʒ d ɐ n i
въвежданите	v ɐ v ɛ ʒ d ɐ n i t ɛ
въвеждания	v ɐ v ɛ ʒ d ɐ n i j ɐ
въвежданият	v ɐ v ɛ ʒ d ɐ n i j ɐ t
въвежданията	v ɐ v ɛ ʒ d ɐ n i j ɐ t ɐ
въвеждано	v ɐ v ɛ ʒ d ɐ n o
въвежданото	v ɐ v ɛ ʒ d ɐ n o t o
въвеждат	v ɐ v ɛ ʒ d ɐ t
въвеждате	v ɐ v ɛ ʒ d ɐ t ɛ
въвеждах	v ɐ v ɛ ʒ d ɐ x
въвеждаха	v ɐ v ɛ ʒ d ɐ x ɐ
въвеждахме	v ɐ v ɛ ʒ d ɐ x m ɛ
въвеждахте	v ɐ v ɛ ʒ d ɐ x t ɛ
въвеждаш	v ɐ v ɛ ʒ d ɐ ʃ
въвеждаше	v ɐ v ɛ ʒ d ɐ ʃ ɛ
въвеждащ	v ɐ v ɛ ʒ d ɐ ʃ t
въвеждаща	v ɐ v ɛ ʒ d ɐ ʃ t ɐ
въвеждащата	v ɐ v ɛ ʒ d ɐ ʃ t ɐ t ɐ
въвеждащи	v ɐ v ɛ ʒ d ɐ ʃ t i
въвеждащите	v ɐ v ɛ ʒ d ɐ ʃ t i t ɛ
въвеждащия	v ɐ v ɛ ʒ d ɐ ʃ t i j ɐ
въвеждащият	v ɐ v ɛ ʒ d ɐ ʃ t i j ɐ t
въвеждащо	v ɐ v ɛ ʒ d ɐ ʃ t o
въвеждащото	v ɐ v ɛ ʒ d ɐ ʃ t o t o
въвел	v ɐ v ɛ ɫ
въвела	v ɐ v ɛ ɫ ɐ
въвелата	v ɐ v ɛ ɫ ɐ t ɐ
въвели	v ɐ v ɛ l i
въвелите	v ɐ v ɛ l i t ɛ
въвелия	v ɐ v ɛ l i j ɐ
въвелият	v ɐ v ɛ l i j ɐ t
въвело	v ɐ v ɛ ɫ o
въвелото	v ɐ v ɛ ɫ o t o
въвира	v ɐ v i r ɐ
въвирай	v ɐ v i r ɐ j
въвирайки	v ɐ v i r ɐ j k i
въвирайте	v ɐ v i r ɐ j t ɛ
въвирал	v ɐ v i r ɐ ɫ
въвирала	v ɐ v i r ɐ ɫ ɐ
въвиралата	v ɐ v i r ɐ ɫ ɐ t ɐ
въвирали	v ɐ v i r ɐ l i
въвиралите	v ɐ v i r ɐ l i t ɛ
въвиралия	v ɐ v i r ɐ l i j ɐ
въвиралият	v ɐ v i r ɐ l i j ɐ t
въвирало	v ɐ v i r ɐ ɫ o
въвиралото	v ɐ v i r ɐ ɫ o t o
въвирам	v ɐ v i r ɐ m
въвираме	v ɐ v i r ɐ m ɛ
въвиран	v ɐ v i r ɐ n
въвирана	v ɐ v i r ɐ n ɐ
въвираната	v ɐ v i r ɐ n ɐ t ɐ
въвиране	v ɐ v i r ɐ n ɛ
въвиранета	v ɐ v i r ɐ n ɛ t ɐ
въвиранетата	v ɐ v i r ɐ n ɛ t ɐ t ɐ
въвирането	v ɐ v i r ɐ n ɛ t o
въвирани	v ɐ v i r ɐ n i
въвираните	v ɐ v i r ɐ n i t ɛ
въвирания	v ɐ v i r ɐ n i j ɐ
въвираният	v ɐ v i r ɐ n i j ɐ t
въвиранията	v ɐ v i r ɐ n i j ɐ t ɐ
въвирано	v ɐ v i r ɐ n o
въвираното	v ɐ v i r ɐ n o t o
въвират	v ɐ v i r ɐ t
въвирате	v ɐ v i r ɐ t ɛ
въвирах	v ɐ v i r ɐ x
въвираха	v ɐ v i r ɐ x ɐ
въвирахме	v ɐ v i r ɐ x m ɛ
въвирахте	v ɐ v i r ɐ x t ɛ
въвираш	v ɐ v i r ɐ ʃ
въвираше	v ɐ v i r ɐ ʃ ɛ
въвиращ	v ɐ v i r ɐ ʃ t
въвираща	v ɐ v i r ɐ ʃ t ɐ
въвиращата	v ɐ v i r ɐ ʃ t ɐ t ɐ
въвиращи	v ɐ v i r ɐ ʃ t i
въвиращите	v ɐ v i r ɐ ʃ t i t ɛ
въвиращия	v ɐ v i r ɐ ʃ t i j ɐ
въвиращият	v ɐ v i r ɐ ʃ t i j ɐ t
въвиращо	v ɐ v i r ɐ ʃ t o
въвиращото	v ɐ v i r ɐ ʃ t o t o
въвлека	v ɐ v l ɛ k ɤ
въвлекат	v ɐ v l ɛ k ɤ t
въвлекли	v ɐ v l ɛ k l i
въвлеклите	v ɐ v l ɛ k l i t ɛ
въвлеклия	v ɐ v l ɛ k l i j ɐ
въвлеклият	v ɐ v l ɛ k l i j ɐ t
въвлечал	v ɐ v l ɛ t͡ʃ a̟ ɫ
въвлечала	v ɐ v l ɛ t͡ʃ a̟ ɫ ɐ
въвлечали	v ɐ v l ɛ t͡ʃ a̟ l i
въвлечало	v ɐ v l ɛ t͡ʃ a̟ ɫ o
въвлечах	v ɐ v l ɛ t͡ʃ a̟ x
въвлечаха	v ɐ v l ɛ t͡ʃ a̟ x ɐ
въвлечахме	v ɐ v l ɛ t͡ʃ a̟ x m ɛ
въвлечахте	v ɐ v l ɛ t͡ʃ a̟ x t ɛ
въвлече	v ɐ v l ɛ t͡ʃ ɛ
въвлечел	v ɐ v l ɛ t͡ʃ ɛ ɫ
въвлечела	v ɐ v l ɛ t͡ʃ ɛ ɫ ɐ
въвлечели	v ɐ v l ɛ t͡ʃ ɛ l i
въвлечело	v ɐ v l ɛ t͡ʃ ɛ ɫ o
въвлечем	v ɐ v l ɛ t͡ʃ ɛ m
въвлечен	v ɐ v l ɛ t͡ʃ ɛ n
въвлечена	v ɐ v l ɛ t͡ʃ ɛ n ɐ
въвлечената	v ɐ v l ɛ t͡ʃ ɛ n ɐ t ɐ
въвлечени	v ɐ v l ɛ t͡ʃ ɛ n i
въвлечените	v ɐ v l ɛ t͡ʃ ɛ n i t ɛ
въвлечения	v ɐ v l ɛ t͡ʃ ɛ n i j ɐ
въвлеченият	v ɐ v l ɛ t͡ʃ ɛ n i j ɐ t
въвлечено	v ɐ v l ɛ t͡ʃ ɛ n o
въвлеченото	v ɐ v l ɛ t͡ʃ ɛ n o t o
въвлечете	v ɐ v l ɛ t͡ʃ ɛ t ɛ
въвлечех	v ɐ v l ɛ t͡ʃ ɛ x
въвлечеха	v ɐ v l ɛ t͡ʃ ɛ x ɐ
въвлечехме	v ɐ v l ɛ t͡ʃ ɛ x m ɛ
въвлечехте	v ɐ v l ɛ t͡ʃ ɛ x t ɛ
въвлечеш	v ɐ v l ɛ t͡ʃ ɛ ʃ
въвлечеше	v ɐ v l ɛ t͡ʃ ɛ ʃ ɛ
въвлечи	v ɐ v l ɛ t͡ʃ i
въвлича	v ɐ v l i t͡ʃ ɐ
въвличай	v ɐ v l i t͡ʃ ɐ j
въвличайки	v ɐ v l i t͡ʃ ɐ j k i
въвличайте	v ɐ v l i t͡ʃ ɐ j t ɛ
въвличал	v ɐ v l i t͡ʃ ɐ ɫ
въвличала	v ɐ v l i t͡ʃ ɐ ɫ ɐ
въвличалата	v ɐ v l i t͡ʃ ɐ ɫ ɐ t ɐ
въвличали	v ɐ v l i t͡ʃ ɐ l i
въвличалите	v ɐ v l i t͡ʃ ɐ l i t ɛ
въвличалия	v ɐ v l i t͡ʃ ɐ l i j ɐ
въвличалият	v ɐ v l i t͡ʃ ɐ l i j ɐ t
въвличало	v ɐ v l i t͡ʃ ɐ ɫ o
въвличалото	v ɐ v l i t͡ʃ ɐ ɫ o t o
въвличам	v ɐ v l i t͡ʃ ɐ m
въвличаме	v ɐ v l i t͡ʃ ɐ m ɛ
въвличан	v ɐ v l i t͡ʃ ɐ n
въвличана	v ɐ v l i t͡ʃ ɐ n ɐ
въвличаната	v ɐ v l i t͡ʃ ɐ n ɐ t ɐ
въвличане	v ɐ v l i t͡ʃ ɐ n ɛ
въвличанета	v ɐ v l i t͡ʃ ɐ n ɛ t ɐ
въвличанетата	v ɐ v l i t͡ʃ ɐ n ɛ t ɐ t ɐ
въвличането	v ɐ v l i t͡ʃ ɐ n ɛ t o
въвличани	v ɐ v l i t͡ʃ ɐ n i
въвличаните	v ɐ v l i t͡ʃ ɐ n i t ɛ
въвличания	v ɐ v l i t͡ʃ ɐ n i j ɐ
въвличаният	v ɐ v l i t͡ʃ ɐ n i j ɐ t
въвличанията	v ɐ v l i t͡ʃ ɐ n i j ɐ t ɐ
въвличано	v ɐ v l i t͡ʃ ɐ n o
въвличаното	v ɐ v l i t͡ʃ ɐ n o t o
въвличат	v ɐ v l i t͡ʃ ɐ t
въвличате	v ɐ v l i t͡ʃ ɐ t ɛ
въвличах	v ɐ v l i t͡ʃ ɐ x
въвличаха	v ɐ v l i t͡ʃ ɐ x ɐ
въвличахме	v ɐ v l i t͡ʃ ɐ x m ɛ
въвличахте	v ɐ v l i t͡ʃ ɐ x t ɛ
въвличаш	v ɐ v l i t͡ʃ ɐ ʃ
въвличаше	v ɐ v l i t͡ʃ ɐ ʃ ɛ
въвличащ	v ɐ v l i t͡ʃ ɐ ʃ t
въвличаща	v ɐ v l i t͡ʃ ɐ ʃ t ɐ
въвличащата	v ɐ v l i t͡ʃ ɐ ʃ t ɐ t ɐ
въвличащи	v ɐ v l i t͡ʃ ɐ ʃ t i
въвличащите	v ɐ v l i t͡ʃ ɐ ʃ t i t ɛ
въвличащия	v ɐ v l i t͡ʃ ɐ ʃ t i j ɐ
въвличащият	v ɐ v l i t͡ʃ ɐ ʃ t i j ɐ t
въвличащо	v ɐ v l i t͡ʃ ɐ ʃ t o
въвличащото	v ɐ v l i t͡ʃ ɐ ʃ t o t o
въвлякла	v ɐ v lʲ a̟ k ɫ ɐ
въвляклата	v ɐ v lʲ a̟ k ɫ ɐ t ɐ
въвлякло	v ɐ v lʲ a̟ k ɫ o
въвляклото	v ɐ v lʲ a̟ k ɫ o t o
въвлякох	v ɐ v lʲ a̟ k o x
въвлякоха	v ɐ v lʲ a̟ k o x ɐ
въвлякохме	v ɐ v lʲ a̟ k o x m ɛ
въвлякохте	v ɐ v lʲ a̟ k o x t ɛ
въвлякъл	v ɐ v lʲ a̟ k ɐ ɫ
въвра	v ɐ v r ɤ
въврат	v ɐ v r ɤ t
въвре	v ɐ v r ɛ
въврели	v ɐ v r ɛ l i
въврелите	v ɐ v r ɛ l i t ɛ
въврелия	v ɐ v r ɛ l i j ɐ
въврелият	v ɐ v r ɛ l i j ɐ t
въврем	v ɐ v r ɛ m
въврени	v ɐ v r ɛ n i
въврените	v ɐ v r ɛ n i t ɛ
въврения	v ɐ v r ɛ n i j ɐ
въвреният	v ɐ v r ɛ n i j ɐ t
въврете	v ɐ v r ɛ t ɛ
въвреш	v ɐ v r ɛ ʃ
въвреше	v ɐ v r ɛ ʃ ɛ
въври	v ɐ v r i
въвря	v ɐ v rʲ a̟
въврял	v ɐ v rʲ a̟ ɫ
въвряла	v ɐ v rʲ a̟ ɫ ɐ
въврялата	v ɐ v rʲ a̟ ɫ ɐ t ɐ
въвряло	v ɐ v rʲ a̟ ɫ o
въврялото	v ɐ v rʲ a̟ ɫ o t o
въврян	v ɐ v rʲ a̟ n
въвряна	v ɐ v rʲ a̟ n ɐ
въвряната	v ɐ v rʲ a̟ n ɐ t ɐ
въвряно	v ɐ v rʲ a̟ n o
въвряното	v ɐ v rʲ a̟ n o t o
въврях	v ɐ v rʲ a̟ x
въвряха	v ɐ v rʲ a̟ x ɐ
въвряхме	v ɐ v rʲ a̟ x m ɛ
въвряхте	v ɐ v rʲ a̟ x t ɛ
въгарец	v ɐ ɡ ɐ r ɛ t͡s
въглен	v ɤ ɡ l ɛ n
въглерод	v ɐ ɡ l ɛ r ɔ t
въглероден	v ɐ ɡ l ɛ r ɔ d ɛ n
въглища	v ɤ ɡ l i ʃ t ɐ
въгъл	v ɤ ɡ ɐ ɫ
въдък	v ɐ d ɤ k
въдя	v ɤ dʲ ɐ
въже	v ɐ ʒ ɛ
въжен	v ɤ ʒ ɛ n
въз	v ɤ s
възбуден	v ɐ z b u d ɛ n
възбял	v ɐ z bʲ a̟ ɫ
възвишение	v ɐ z v i ʃ ɛ n i ɛ
възглавница	v ɐ z ɡ ɫ a v n i t͡s ɐ
възголям	v ɐ z ɡ o lʲ a̟ m
въздух	v ɤ z d o x
въздухоплаване	v ɤ z d o x o p ɫ a v ɐ n ɛ
въздъхвам	v ɐ z d ɤ x v ɐ m
въздъхна	v ɐ z d ɤ x n ɐ
възел	v ɤ z ɛ ɫ
възкликна	v ɐ s k l i k n ɐ
възкреся	v ɐ s k r ɛ sʲ ɤ̟
възкресявам	v ɐ s k r ɛ sʲ a̟ v ɐ m
възкръсвам	v ɐ s k r ɤ s v ɐ m
възкръсна	v ɐ s k r ɤ s n ɐ
възлез	v ɐ z l ɛ s
възлезе	v ɐ z l ɛ z ɛ
възлезел	v ɐ z l ɛ z ɛ ɫ
възлезела	v ɐ z l ɛ z ɛ ɫ ɐ
възлезели	v ɐ z l ɛ z ɛ l i
възлезело	v ɐ z l ɛ z ɛ ɫ o
възлезем	v ɐ z l ɛ z ɛ m
възлезете	v ɐ z l ɛ z ɛ t ɛ
възлезех	v ɐ z l ɛ z ɛ x
възлезеха	v ɐ z l ɛ z ɛ x ɐ
възлезехме	v ɐ z l ɛ z ɛ x m ɛ
възлезехте	v ɐ z l ɛ z ɛ x t ɛ
възлезеш	v ɐ z l ɛ z ɛ ʃ
възлезеше	v ɐ z l ɛ z ɛ ʃ ɛ
възлезли	v ɐ z l ɛ z l i
възлезлите	v ɐ z l ɛ z l i t ɛ
възлезлия	v ɐ z l ɛ z l i j ɐ
възлезлият	v ɐ z l ɛ z l i j ɐ t
възлезте	v ɐ z l ɛ s t ɛ
възлест	v ɤ z l ɛ s t
възлиза	v ɐ z l i z ɐ
възлизай	v ɐ z l i z ɐ j
възлизайки	v ɐ z l i z ɐ j k i
възлизайте	v ɐ z l i z ɐ j t ɛ
възлизал	v ɐ z l i z ɐ ɫ
възлизала	v ɐ z l i z ɐ ɫ ɐ
възлизалата	v ɐ z l i z ɐ ɫ ɐ t ɐ
възлизали	v ɐ z l i z ɐ l i
възлизалите	v ɐ z l i z ɐ l i t ɛ
възлизалия	v ɐ z l i z ɐ l i j ɐ
възлизалият	v ɐ z l i z ɐ l i j ɐ t
възлизало	v ɐ z l i z ɐ ɫ o
възлизалото	v ɐ z l i z ɐ ɫ o t o
възлизам	v ɐ z l i z ɐ m
възлизаме	v ɐ z l i z ɐ m ɛ
възлизане	v ɐ z l i z ɐ n ɛ
възлизанета	v ɐ z l i z ɐ n ɛ t ɐ
възлизанетата	v ɐ z l i z ɐ n ɛ t ɐ t ɐ
възлизането	v ɐ z l i z ɐ n ɛ t o
възлизания	v ɐ z l i z ɐ n i j ɐ
възлизанията	v ɐ z l i z ɐ n i j ɐ t ɐ
възлизат	v ɐ z l i z ɐ t
възлизате	v ɐ z l i z ɐ t ɛ
възлизах	v ɐ z l i z ɐ x
възлизаха	v ɐ z l i z ɐ x ɐ
възлизахме	v ɐ z l i z ɐ x m ɛ
възлизахте	v ɐ z l i z ɐ x t ɛ
възлизаш	v ɐ z l i z ɐ ʃ
възлизаше	v ɐ z l i z ɐ ʃ ɛ
възлизащ	v ɐ z l i z ɐ ʃ t
възлизаща	v ɐ z l i z ɐ ʃ t ɐ
възлизащата	v ɐ z l i z ɐ ʃ t ɐ t ɐ
възлизащи	v ɐ z l i z ɐ ʃ t i
възлизащите	v ɐ z l i z ɐ ʃ t i t ɛ
възлизащия	v ɐ z l i z ɐ ʃ t i j ɐ
възлизащият	v ɐ z l i z ɐ ʃ t i j ɐ t
възлизащо	v ɐ z l i z ɐ ʃ t o
възлизащото	v ɐ z l i z ɐ ʃ t o t o
възляза	v ɐ z lʲ a̟ z ɐ
възлязат	v ɐ z lʲ a̟ z ɐ t
възлязла	v ɐ z lʲ a̟ z ɫ ɐ
възлязлата	v ɐ z lʲ a̟ z ɫ ɐ t ɐ
възлязло	v ɐ z lʲ a̟ z ɫ o
възлязлото	v ɐ z lʲ a̟ z ɫ o t o
възлязох	v ɐ z lʲ a̟ z o x
възлязоха	v ɐ z lʲ a̟ z o x ɐ
възлязохме	v ɐ z lʲ a̟ z o x m ɛ
възлязохте	v ɐ z lʲ a̟ z o x t ɛ
възлязъл	v ɐ z lʲ a̟ z ɐ ɫ
възможен	v ɐ z m ɔ ʒ ɛ n
възможно	v ɐ z m ɔ ʒ n o
възможност	v ɐ z m ɔ ʒ n o s t
възмущение	v ɐ z m o ʃ t ɛ n i ɛ
възнася	v ɐ z n a sʲ ɐ
възнасяй	v ɐ z n a sʲ ɐ j
възнасяйки	v ɐ z n a sʲ ɐ j k i
възнасяйте	v ɐ z n a sʲ ɐ j t ɛ
възнасял	v ɐ z n a sʲ ɐ ɫ
възнасяла	v ɐ z n a sʲ ɐ ɫ ɐ
възнасялата	v ɐ z n a sʲ ɐ ɫ ɐ t ɐ
възнасяли	v ɐ z n a sʲ ɐ l i
възнасялите	v ɐ z n a sʲ ɐ l i t ɛ
възнасялия	v ɐ z n a sʲ ɐ l i j ɐ
възнасялият	v ɐ z n a sʲ ɐ l i j ɐ t
възнасяло	v ɐ z n a sʲ ɐ ɫ o
възнасялото	v ɐ z n a sʲ ɐ ɫ o t o
възнасям	v ɐ z n a sʲ ɐ m
възнасяме	v ɐ z n a sʲ ɐ m ɛ
възнасян	v ɐ z n a sʲ ɐ n
възнасяна	v ɐ z n a sʲ ɐ n ɐ
възнасяната	v ɐ z n a sʲ ɐ n ɐ t ɐ
възнасяне	v ɐ z n a sʲ ɐ n ɛ
възнасянета	v ɐ z n a sʲ ɐ n ɛ t ɐ
възнасянетата	v ɐ z n a sʲ ɐ n ɛ t ɐ t ɐ
възнасянето	v ɐ z n a sʲ ɐ n ɛ t o
възнасяни	v ɐ z n a sʲ ɐ n i
възнасяните	v ɐ z n a sʲ ɐ n i t ɛ
възнасяния	v ɐ z n a sʲ ɐ n i j ɐ
възнасяният	v ɐ z n a sʲ ɐ n i j ɐ t
възнасянията	v ɐ z n a sʲ ɐ n i j ɐ t ɐ
възнасяно	v ɐ z n a sʲ ɐ n o
възнасяното	v ɐ z n a sʲ ɐ n o t o
възнасят	v ɐ z n a sʲ ɐ t
възнасяте	v ɐ z n a sʲ ɐ t ɛ
възнасях	v ɐ z n a sʲ ɐ x
възнасяха	v ɐ z n a sʲ ɐ x ɐ
възнасяхме	v ɐ z n a sʲ ɐ x m ɛ
възнасяхте	v ɐ z n a sʲ ɐ x t ɛ
възнасяш	v ɐ z n a sʲ ɐ ʃ
възнасяше	v ɐ z n a sʲ ɐ ʃ ɛ
възнасящ	v ɐ z n a sʲ ɐ ʃ t
възнасяща	v ɐ z n a sʲ ɐ ʃ t ɐ
възнасящата	v ɐ z n a sʲ ɐ ʃ t ɐ t ɐ
възнасящи	v ɐ z n a sʲ ɐ ʃ t i
възнасящите	v ɐ z n a sʲ ɐ ʃ t i t ɛ
възнасящия	v ɐ z n a sʲ ɐ ʃ t i j ɐ
възнасящият	v ɐ z n a sʲ ɐ ʃ t i j ɐ t
възнасящо	v ɐ z n a sʲ ɐ ʃ t o
възнасящото	v ɐ z n a sʲ ɐ ʃ t o t o
възнеса	v ɐ z n ɛ s ɤ
възнесат	v ɐ z n ɛ s ɤ t
възнесе	v ɐ z n ɛ s ɛ
възнесели	v ɐ z n ɛ s ɛ l i
възнесем	v ɐ z n ɛ s ɛ m
възнесен	v ɐ z n ɛ s ɛ n
възнесена	v ɐ z n ɛ s ɛ n ɐ
възнесената	v ɐ z n ɛ s ɛ n ɐ t ɐ
възнесени	v ɐ z n ɛ s ɛ n i
възнесените	v ɐ z n ɛ s ɛ n i t ɛ
възнесения	v ɐ z n ɛ s ɛ n i j ɐ
възнесеният	v ɐ z n ɛ s ɛ n i j ɐ t
възнесено	v ɐ z n ɛ s ɛ n o
възнесеното	v ɐ z n ɛ s ɛ n o t o
възнесете	v ɐ z n ɛ s ɛ t ɛ
възнесеш	v ɐ z n ɛ s ɛ ʃ
възнесеше	v ɐ z n ɛ s ɛ ʃ ɛ
възнеси	v ɐ z n ɛ s i
възнесла	v ɐ z n ɛ s ɫ ɐ
възнеслата	v ɐ z n ɛ s ɫ ɐ t ɐ
възнесли	v ɐ z n ɛ s l i
възнеслите	v ɐ z n ɛ s l i t ɛ
възнеслия	v ɐ z n ɛ s l i j ɐ
възнеслият	v ɐ z n ɛ s l i j ɐ t
възнесло	v ɐ z n ɛ s ɫ o
възнеслото	v ɐ z n ɛ s ɫ o t o
възнесох	v ɐ z n ɛ s o x
възнесоха	v ɐ z n ɛ s o x ɐ
възнесохме	v ɐ z n ɛ s o x m ɛ
възнесохте	v ɐ z n ɛ s o x t ɛ
възнесъл	v ɐ z n ɛ s ɐ ɫ
възнесял	v ɐ z n ɛ sʲ a̟ ɫ
възнесяла	v ɐ z n ɛ sʲ a̟ ɫ ɐ
възнесяло	v ɐ z n ɛ sʲ a̟ ɫ o
възнесях	v ɐ z n ɛ sʲ a̟ x
възнесяха	v ɐ z n ɛ sʲ a̟ x ɐ
възнесяхме	v ɐ z n ɛ sʲ a̟ x m ɛ
възнесяхте	v ɐ z n ɛ sʲ a̟ x t ɛ
възпира	v ɐ s p i r ɐ
възпирай	v ɐ s p i r ɐ j
възпирайки	v ɐ s p i r ɐ j k i
възпирайте	v ɐ s p i r ɐ j t ɛ
възпирал	v ɐ s p i r ɐ ɫ
възпирала	v ɐ s p i r ɐ ɫ ɐ
възпиралата	v ɐ s p i r ɐ ɫ ɐ t ɐ
възпирали	v ɐ s p i r ɐ l i
възпиралите	v ɐ s p i r ɐ l i t ɛ
възпиралия	v ɐ s p i r ɐ l i j ɐ
възпиралият	v ɐ s p i r ɐ l i j ɐ t
възпирало	v ɐ s p i r ɐ ɫ o
възпиралото	v ɐ s p i r ɐ ɫ o t o
възпирам	v ɐ s p i r ɐ m
възпираме	v ɐ s p i r ɐ m ɛ
възпиран	v ɐ s p i r ɐ n
възпирана	v ɐ s p i r ɐ n ɐ
възпираната	v ɐ s p i r ɐ n ɐ t ɐ
възпиране	v ɐ s p i r ɐ n ɛ
възпиранета	v ɐ s p i r ɐ n ɛ t ɐ
възпиранетата	v ɐ s p i r ɐ n ɛ t ɐ t ɐ
възпирането	v ɐ s p i r ɐ n ɛ t o
възпирани	v ɐ s p i r ɐ n i
възпираните	v ɐ s p i r ɐ n i t ɛ
възпирания	v ɐ s p i r ɐ n i j ɐ
възпираният	v ɐ s p i r ɐ n i j ɐ t
възпиранията	v ɐ s p i r ɐ n i j ɐ t ɐ
възпирано	v ɐ s p i r ɐ n o
възпираното	v ɐ s p i r ɐ n o t o
възпират	v ɐ s p i r ɐ t
възпирате	v ɐ s p i r ɐ t ɛ
възпирах	v ɐ s p i r ɐ x
възпираха	v ɐ s p i r ɐ x ɐ
възпирахме	v ɐ s p i r ɐ x m ɛ
възпирахте	v ɐ s p i r ɐ x t ɛ
възпираш	v ɐ s p i r ɐ ʃ
възпираше	v ɐ s p i r ɐ ʃ ɛ
възпиращ	v ɐ s p i r ɐ ʃ t
възпираща	v ɐ s p i r ɐ ʃ t ɐ
възпиращата	v ɐ s p i r ɐ ʃ t ɐ t ɐ
възпиращи	v ɐ s p i r ɐ ʃ t i
възпиращите	v ɐ s p i r ɐ ʃ t i t ɛ
възпиращия	v ɐ s p i r ɐ ʃ t i j ɐ
възпиращият	v ɐ s p i r ɐ ʃ t i j ɐ t
възпиращо	v ɐ s p i r ɐ ʃ t o
възпиращото	v ɐ s p i r ɐ ʃ t o t o
възпитание	v ɐ s p i t a n i ɛ
възпра	v ɐ s p r ɤ
възпрат	v ɐ s p r ɤ t
възпре	v ɐ s p r ɛ
възпрели	v ɐ s p r ɛ l i
възпрелите	v ɐ s p r ɛ l i t ɛ
възпрелия	v ɐ s p r ɛ l i j ɐ
възпрелият	v ɐ s p r ɛ l i j ɐ t
възпрем	v ɐ s p r ɛ m
възпрени	v ɐ s p r ɛ n i
възпрените	v ɐ s p r ɛ n i t ɛ
възпрения	v ɐ s p r ɛ n i j ɐ
възпреният	v ɐ s p r ɛ n i j ɐ t
възпрете	v ɐ s p r ɛ t ɛ
възпреш	v ɐ s p r ɛ ʃ
възпреше	v ɐ s p r ɛ ʃ ɛ
възпри	v ɐ s p r i
възпроизведа	v ɐ s p r o i z v ɛ d ɤ
възпроизведат	v ɐ s p r o i z v ɛ d ɤ t
възпроизведе	v ɐ s p r o i z v ɛ d ɛ
възпроизведели	v ɐ s p r o i z v ɛ d ɛ l i
възпроизведем	v ɐ s p r o i z v ɛ d ɛ m
възпроизведен	v ɐ s p r o i z v ɛ d ɛ n
възпроизведена	v ɐ s p r o i z v ɛ d ɛ n ɐ
възпроизведената	v ɐ s p r o i z v ɛ d ɛ n ɐ t ɐ
възпроизведени	v ɐ s p r o i z v ɛ d ɛ n i
възпроизведените	v ɐ s p r o i z v ɛ d ɛ n i t ɛ
възпроизведения	v ɐ s p r o i z v ɛ d ɛ n i j ɐ
възпроизведеният	v ɐ s p r o i z v ɛ d ɛ n i j ɐ t
възпроизведено	v ɐ s p r o i z v ɛ d ɛ n o
възпроизведеното	v ɐ s p r o i z v ɛ d ɛ n o t o
възпроизведете	v ɐ s p r o i z v ɛ d ɛ t ɛ
възпроизведеш	v ɐ s p r o i z v ɛ d ɛ ʃ
възпроизведеше	v ɐ s p r o i z v ɛ d ɛ ʃ ɛ
възпроизведи	v ɐ s p r o i z v ɛ d i
възпроизведох	v ɐ s p r o i z v ɛ d o x
възпроизведоха	v ɐ s p r o i z v ɛ d o x ɐ
възпроизведохме	v ɐ s p r o i z v ɛ d o x m ɛ
възпроизведохте	v ɐ s p r o i z v ɛ d o x t ɛ
възпроизведял	v ɐ s p r o i z v ɛ dʲ a̟ ɫ
възпроизведяла	v ɐ s p r o i z v ɛ dʲ a̟ ɫ ɐ
възпроизведяло	v ɐ s p r o i z v ɛ dʲ a̟ ɫ o
възпроизведях	v ɐ s p r o i z v ɛ dʲ a̟ x
възпроизведяха	v ɐ s p r o i z v ɛ dʲ a̟ x ɐ
