Є	j ɛ
доганьош	d ɔ ɦ a ɲ ɔ ʃ
доганьошка	d ɔ ɦ a ɲ ɔ ʃ k a
доганьошски	d ɔ ɦ a ɲ ɔ ʃ s k i
додня	d ɔ ɟ ɲ a
доживйовац	d ɔ ʒ i v j ɔ v a t͡s
дожити	d ɔ ʒ i t i
дожиц	d ɔ ʒ i t͡s
дожице	d ɔ ʒ i t͡s ɛ
дозвола	d ɔ z v ɔ l a
док	d ɔ k
долар	d ɔ l a r
долнї	d ɔ ʎ ɲ i
долу	d ɔ l u
долуводом	d ɔ l u v ɔ d ɔ m
доля	d ɔ ʎ a
дом	d ɔ m
дома	d ɔ m a
домашнї	d ɔ m a ʃ ɲ i
домови	d ɔ m ɔ v i
дому	d ɔ m u
донєдавна	d ɔ ɲ ɛ d a w n a
донєдавни	d ɔ ɲ ɛ d a w n i
донґов	d ɔ ŋ ɡ ɔ w
донґова	d ɔ n ɡ ɔ v a
донґови	d ɔ n ɡ ɔ v i
донґовови	d ɔ ŋ ɡ ɔ v ɔ v i
дороги	d ɔ r ɔ ɦ i
доставанє	d ɔ s t a v a ɲ ɛ
доставац	d ɔ s t a v a t͡s
достати	d ɔ s t a t i
достаток	d ɔ s t a t ɔ k
достаточни	d ɔ s t a t ɔ t͡ʃ n i
достаточно	d ɔ s t a t ɔ t͡ʃ n ɔ
достаточносц	d ɔ s t a t ɔ t͡ʃ n ɔ s t͡s
достаточнє	d ɔ s t a t ɔ t͡ʃ ɲ ɛ
достац	d ɔ s t a t͡s
досц	d ɔ s t͡s
досяг	d ɔ s j a x
досягами	d ɔ s j a ɦ a m i
досягнуц	d ɔ s j a ɦ n u t͡s
досяговац	d ɔ s j a ɦ ɔ v a t͡s
досяжни	d ɔ s j a ʒ n i
дотадз	d ɔ t a t͡s
дотамадз	d ɔ t a m a t͡s
дотераз	d ɔ t ɛ r a s
дотерашнї	d ɔ t ɛ r a ʃ ɲ i
дотик	d ɔ t i k
дотикац	d ɔ t i k a t͡s
доткнуц	d ɔ t k n u t͡s
дотля	d ɔ c ʎ a
дотлї	d ɔ c ʎ i
дотхнуц	d ɔ t x n u t͡s
дотхнуце	d ɔ t x n u t͡s ɛ
дохтор	d ɔ x t ɔ r
дохторка	d ɔ x t ɔ r k a
дошлєбодзенє	d ɔ ʃ ʎ ɛ b ɔ d͡z ɛ ɲ ɛ
дошлєбодзиц	d ɔ ʃ ʎ ɛ b ɔ d͡z i t͡s
дошлєбодзовац	d ɔ ʃ ʎ ɛ b ɔ d͡z ɔ v a t͡s
дошлєбодзуюци	d ɔ ʃ ʎ ɛ b ɔ d͡z u j u t͡s i
драга	d r a ɦ a
драги	d r a ɦ i
драго	d r a ɦ ɔ
драготня	d r a ɦ ɔ c ɲ a
драгше	d r a x ʃ ɛ
драгши	d r a x ʃ i
древко	d r ɛ w k ɔ
древо	d r ɛ v ɔ
дробизґ	d r ɔ b i s k
други	d r u ɦ i
другираз	d r u ɦ i r a s
дружиц	d r u ʒ i t͡s
дружтвами	d r u ʃ t v a m i
дружтвени	d r u ʃ t v ɛ n i
дружтво	d r u ʃ t v ɔ
дружтвочками	d r u ʃ t v ɔ t͡ʃ k a m i
дружтвочко	d r u ʃ t v ɔ t͡ʃ k ɔ
друк	d r u k
друкар	d r u k a r
друкарня	d r u k a r ɲ a
друкарски	d r u k a r s k i
друкарство	d r u k a r s t v ɔ
друковани	d r u k ɔ v a n i
друкованє	d r u k ɔ v a ɲ ɛ
друковац	d r u k ɔ v a t͡s
друковач	d r u k ɔ v a t͡ʃ
дуб	d u p
дубов	d u b ɔ w
дубови	d u b ɔ v i
дуга	d u ɦ a
дугами	d u ɦ a m i
дуги	d u ɦ i
дугом	d u ɦ ɔ m
дугох	d u ɦ ɔ x
дугу	d u ɦ u
дужи	d u ʒ i
дужо	d u ʒ ɔ
дуйни	d u j n i
дума	d u m a
думаню	d u m a ɲ u
думанє	d u m a ɲ ɛ
думац	d u m a t͡s
думка	d u m k a
думкови	d u m k ɔ v i
дунайски	d u n a j s k i
дутян	d u c a n
дутянами	d u c a n a m i
дутяндїйош	d u c a ɲ ɟ i j ɔ ʃ
дутяндїйошами	d u c a ɲ ɟ i j ɔ ʃ a m i
дух	d u x
духовенство	d u x ɔ v ɛ n s t v ɔ
духовити	d u x ɔ v i t i
духовито	d u x ɔ v i t ɔ
духовитосц	d u x ɔ v i t ɔ s t͡s
духовни	d u x ɔ w n i
духовно	d u x ɔ w n ɔ
духовносц	d u x ɔ w n ɔ s t͡s
духох	d u x ɔ x
дуц	d u t͡s
душа	d u ʃ a
душевни	d u ʃ ɛ w n i
душевно	d u ʃ ɛ w n ɔ
душичка	d u ʃ i t͡ʃ k a
дюмбир	ɟ u m b i r
дюрдьовски	ɟ u r ɟ ɔ w s k i
дябол	ɟ a b ɔ l
дянта	ɟ a n t a
дєп	ɟ ɛ p
дєпик	ɟ ɛ p i k
дєплов	ɟ ɛ p l ɔ w
дєплови	ɟ ɛ p l ɔ v i
дєпловка	ɟ ɛ p l ɔ w k a
дєпов	ɟ ɛ p ɔ w
дєпови	ɟ ɛ p ɔ v i
дїдо	ɟ i d ɔ
дїдов	ɟ i d ɔ w
дїдове	ɟ i d ɔ v ɛ
дїдови	ɟ i d ɔ v i
дїдовски	ɟ i d ɔ w s k i
дїйсни	ɟ i j s n i
дїйсно	ɟ i j s n ɔ
дїйсносц	ɟ i j s n ɔ s t͡s
дїйство	ɟ i j s t v ɔ
дїйствованє	ɟ i j s t v ɔ v a ɲ ɛ
дїйствовац	ɟ i j s t v ɔ v a t͡s
дїлами	ɟ i l a m i
дїло	ɟ i l ɔ
дїлованє	ɟ i l ɔ v a ɲ ɛ
дїловац	ɟ i l ɔ v a t͡s
дїловни	ɟ i l ɔ w n i
дїя	ɟ i j a
дїялносц	ɟ i j a l n ɔ s t͡s
дїяч	ɟ i j a t͡ʃ
дїєприкметнїк	ɟ i j ɛ p r i k m ɛ c ɲ i k
дїєприкметнїками	ɟ i j ɛ p r i k m ɛ c ɲ i k a m i
дїєприсловнїк	ɟ i j ɛ p r i s l ɔ w ɲ i k
дїєприсловнїками	ɟ i j ɛ p r i s l ɔ w ɲ i k a m i
дїєслово	ɟ i j ɛ s l ɔ v ɔ
е	ɛ
евангелийски	ɛ v a n ɦ ɛ l i j s k i
евангелист	ɛ v a n ɦ ɛ l i s t
евангелиста	ɛ v a n ɦ ɛ l i s t a
евангелистични	ɛ v a n ɦ ɛ l i s t i t͡ʃ n i
евангелия	ɛ v a n ɦ ɛ l i j a
евро	ɛ w r ɔ
евровизийни	ɛ w r ɔ v i z i j n i
европски	ɛ w r ɔ p s k i
езер	ɛ z ɛ r
езерка	ɛ z ɛ r k a
езермайстор	ɛ z ɛ r m a j s t ɔ r
езерни	ɛ z ɛ r n i
езровка	ɛ z r ɔ w k a
еколоґове	ɛ k ɔ l ɔ ɡ ɔ v ɛ
економия	ɛ k ɔ n ɔ m i j a
економски	ɛ k ɔ n ɔ m s k i
електрицитет	ɛ l ɛ k t r i t͡s i t ɛ t
емоционални	ɛ m ɔ t͡s i ɔ n a l n i
емоция	ɛ m ɔ t͡s i j a
енджелїр	ɛ ɲ d͡ʒ ɛ ʎ i r
енолоґове	ɛ n ɔ l ɔ ɡ ɔ v ɛ
енґлейски	ɛ n ɡ l ɛ j s k i
есенц	ɛ s ɛ n t͡s
есенцов	ɛ s ɛ n t͡s ɔ w
есенцове	ɛ s ɛ n t͡s ɔ v ɛ
есенцови	ɛ s ɛ n t͡s ɔ v i
есцайґ	ɛ s t͡s a j k
етнїчни	ɛ c ɲ i t͡ʃ n i
ефикасни	ɛ f i k a s n i
ефикасно	ɛ f i k a s n ɔ
ефикасносц	ɛ f i k a s n ɔ s t͡s
ещи	ɛ ʃ t͡ʃ i
ж	ʒ
жаба	ʒ a b a
жабельски	ʒ a b ɛ ʎ s k i
жадани	ʒ a d a n i
жаданє	ʒ a d a ɲ ɛ
жадац	ʒ a d a t͡s
жадни	ʒ a d n i
жаднїц	ʒ a ɟ ɲ i t͡s
жажда	ʒ a ʒ d a
жалосци	ʒ a l ɔ s t͡s i
жалудз	ʒ a l u t͡s
жартовац	ʒ a r t ɔ v a t͡s
жартую	ʒ a r t u j u
жартує	ʒ a r t u j ɛ
жартуєм	ʒ a r t u j ɛ m
жартуєме	ʒ a r t u j ɛ m ɛ
жартуєце	ʒ a r t u j ɛ t͡s ɛ
жартуєш	ʒ a r t u j ɛ ʃ
жатва	ʒ a t v a
жатвове	ʒ a t v ɔ v ɛ
жатвови	ʒ a t v ɔ v i
жац	ʒ a t͡s
жаце	ʒ a t͡s ɛ
жацки	ʒ a t͡s k i
жач	ʒ a t͡ʃ
жачка	ʒ a t͡ʃ k a
жвератко	ʒ v ɛ r a t k ɔ
жвир	ʒ v i r
же	ʒ ɛ
желєзнїца	ʒ ɛ ʎ ɛ z ɲ i t͡s a
желєзо	ʒ ɛ ʎ ɛ z ɔ
желєни	ʒ ɛ ʎ ɛ n i
желєнява	ʒ ɛ ʎ ɛ ɲ a v a
желєнявови	ʒ ɛ ʎ ɛ ɲ a v ɔ v i
жем	ʒ ɛ m
жемни	ʒ ɛ m n i
жена	ʒ ɛ n a
женевски	ʒ ɛ n ɛ w s k i
женов	ʒ ɛ n ɔ w
женово	ʒ ɛ n ɔ v ɔ
женски	ʒ ɛ n s k i
женїн	ʒ ɛ ɲ i n
женїно	ʒ ɛ ɲ i n ɔ
жесц	ʒ ɛ s t͡s
жец	ʒ ɛ t͡s
жецов	ʒ ɛ t͡s ɔ w
жецове	ʒ ɛ t͡s ɔ v ɛ
живи	ʒ i v i
живот	ʒ i v ɔ t
животинька	ʒ i v ɔ t i ɲ k a
животиньски	ʒ i v ɔ t i ɲ s k i
животиня	ʒ i v ɔ t i ɲ a
животинями	ʒ i v ɔ t i ɲ a m i
животинї	ʒ i v ɔ t i ɲ i
жима	ʒ i m a
жимни	ʒ i m n i
жимно	ʒ i m n ɔ
жимски	ʒ i m s k i
жимушнї	ʒ i m u ʃ ɲ i
житар	ʒ i t a r
житарка	ʒ i t a r k a
житель	ʒ i t ɛ ʎ
жительство	ʒ i t ɛ ʎ s t v ɔ
житко	ʒ i t k ɔ
житни	ʒ i t n i
житнїско	ʒ i c ɲ i s k ɔ
житнїца	ʒ i c ɲ i t͡s a
жито	ʒ i t ɔ
житови	ʒ i t ɔ v i
жиц	ʒ i t͡s
жице	ʒ i t͡s ɛ
жию	ʒ i j u
жиє	ʒ i j ɛ
жиєм	ʒ i j ɛ m
жиєме	ʒ i j ɛ m ɛ
жиєце	ʒ i j ɛ t͡s ɛ
жиєш	ʒ i j ɛ ʃ
жобрак	ʒ ɔ b r a k
жобранє	ʒ ɔ b r a ɲ ɛ
жобрац	ʒ ɔ b r a t͡s
жобрацки	ʒ ɔ b r a t͡s k i
жобрацтво	ʒ ɔ b r a t͡s t v ɔ
жобрачка	ʒ ɔ b r a t͡ʃ k a
жовти	ʒ ɔ w t i
жовциц	ʒ ɔ w t͡s i t͡s
жовчок	ʒ ɔ w t͡ʃ ɔ k
жолти	ʒ ɔ l t i
жолциц	ʒ ɔ l t͡s i t͡s
жольчок	ʒ ɔ ʎ t͡ʃ ɔ k
жриделко	ʒ r i d ɛ l k ɔ
жридло	ʒ r i d l ɔ
жридлов	ʒ r i d l ɔ w
жридлови	ʒ r i d l ɔ v i
жридлочко	ʒ r i d l ɔ t͡ʃ k ɔ
жувац	ʒ u v a t͡s
жуваче	ʒ u v a t͡ʃ ɛ
жувнуц	ʒ u w n u t͡s
журка	ʒ u r k a
з	z
забивац	z a b i v a t͡s
забиц	z a b i t͡s
забрана	z a b r a n a
забраньовани	z a b r a ɲ ɔ v a n i
забраньованє	z a b r a ɲ ɔ v a ɲ ɛ
забраньовац	z a b r a ɲ ɔ v a t͡s
забраня	z a b r a ɲ a
забранєне	z a b r a ɲ ɛ n ɛ
забранєни	z a b r a ɲ ɛ n i
забранїц	z a b r a ɲ i t͡s
забриґовани	z a b r i ɡ ɔ v a n i
забриґованосц	z a b r i ɡ ɔ v a n ɔ s t͡s
забриґовац	z a b r i ɡ ɔ v a t͡s
забудлїви	z a b u ɟ ʎ i v i
забудлївосц	z a b u ɟ ʎ i v ɔ s t͡s
забути	z a b u t i
забуц	z a b u t͡s
забуце	z a b u t͡s ɛ
заверабожац	z a v ɛ r a b ɔ ʒ a t͡s
завод	z a v ɔ t
заводзе	z a v ɔ d͡z ɛ
завше	z a w ʃ ɛ
загарештовани	z a ɦ a r ɛ ʃ t ɔ v a n i
загарештовац	z a ɦ a r ɛ ʃ t ɔ v a t͡s
загашиц	z a ɦ a ʃ i t͡s
заглавок	z a ɦ l a v ɔ k
заглавчина	z a ɦ l a w t͡ʃ i n a
заглавчок	z a ɦ l a w t͡ʃ ɔ k
заглавє	z a ɦ l a v j ɛ
заграда	z a ɦ r a d a
заградка	z a ɦ r a t k a
заградови	z a ɦ r a d ɔ v i
задармо	z a d a r m ɔ
задовольни	z a d ɔ v ɔ ʎ n i
задовольно	z a d ɔ v ɔ ʎ n ɔ
задовольство	z a d ɔ v ɔ ʎ s t v ɔ
задружни	z a d r u ʒ n i
задруґа	z a d r u ɡ a
задруґар	z a d r u ɡ a r
задруґарка	z a d r u ɡ a r k a
задруґарски	z a d r u ɡ a r s k i
задруґов	z a d r u ɡ ɔ w
закарпатски	z a k a r p a t s k i
закашляц	z a k a ʃ ʎ a t͡s
закашлїц	z a k a ʃ ʎ i t͡s
заквашнїц	z a k v a ʃ ɲ i t͡s
закон	z a k ɔ n
законни	z a k ɔ nː i
законодавец	z a k ɔ n ɔ d a v ɛ t͡s
законодавни	z a k ɔ n ɔ d a w n i
законодавство	z a k ɔ n ɔ d a w s t v ɔ
законски	z a k ɔ n s k i
закончени	z a k ɔ ɲ t͡ʃ ɛ n i
законченє	z a k ɔ ɲ t͡ʃ ɛ ɲ ɛ
закончиц	z a k ɔ ɲ t͡ʃ i t͡s
закончованє	z a k ɔ ɲ t͡ʃ ɔ v a ɲ ɛ
закончовац	z a k ɔ ɲ t͡ʃ ɔ v a t͡s
закончуюци	z a k ɔ ɲ t͡ʃ u j u t͡s i
законїк	z a k ɔ ɲ i k
законїти	z a k ɔ ɲ i t i
законїто	z a k ɔ ɲ i t ɔ
законїтосц	z a k ɔ ɲ i t ɔ s t͡s
заменовнїк	z a m ɛ n ɔ w ɲ i k
замешка	z a m ɛ ʃ k a
замодлєнє	z a m ɔ ɟ ʎ ɛ ɲ ɛ
замодлїц	z a m ɔ ɟ ʎ i t͡s
занавше	z a n a w ʃ ɛ
заняти	z a ɲ a t i
занятосц	z a ɲ a t ɔ s t͡s
заняц	z a ɲ a t͡s
заняце	z a ɲ a t͡s ɛ
занїманє	z a ɲ i m a ɲ ɛ
занїмац	z a ɲ i m a t͡s
запаметац	z a p a m ɛ t a t͡s
запожнєнє	z a p ɔ ʒ ɲ ɛ ɲ ɛ
запожнїц	z a p ɔ ʒ ɲ i t͡s
заренко	z a r ɛ ŋ k ɔ
зарйованє	z a r j ɔ v a ɲ ɛ
зарйовац	z a r j ɔ v a t͡s
зарйочка	z a r j ɔ t͡ʃ k a
зарно	z a r n ɔ
заря	z a r j a
застава	z a s t a v a
заход	z a x ɔ t
заходни	z a x ɔ d n i
заходно	z a x ɔ d n ɔ
заходнобачки	z a x ɔ d n ɔ b a t͡ʃ k i
заходняк	z a x ɔ ɟ ɲ a k
зач	z a t͡ʃ
зачудовац	z a t͡ʃ u d ɔ v a t͡s
заш	z a ʃ
зашац	z a ʃ a t͡s
зашвициц	z a ʃ v i t͡s i t͡s
зашевац	z a ʃ ɛ v a t͡s
защита	z a ʃ t͡ʃ i t a
защитни	z a ʃ t͡ʃ i t n i
защитнїк	z a ʃ t͡ʃ i c ɲ i k
защитнїца	z a ʃ t͡ʃ i c ɲ i t͡s a
защитнїцки	z a ʃ t͡ʃ i c ɲ i t͡s k i
защитнїцтво	z a ʃ t͡ʃ i c ɲ i t͡s t v ɔ
защициц	z a ʃ t͡ʃ i t͡s i t͡s
защицовац	z a ʃ t͡ʃ i t͡s ɔ v a t͡s
заяц	z a j a t͡s
заєднїца	z a j ɛ ɟ ɲ i t͡s a
заєднїцами	z a j ɛ ɟ ɲ i t͡s a m i
заєднїцки	z a j ɛ ɟ ɲ i t͡s k i
заєднїцтво	z a j ɛ ɟ ɲ i t͡s t v ɔ
заґребски	z a ɡ r ɛ p s k i
збогом	z b ɔ ɦ ɔ m
збудова	z b u d ɔ v a
збудовани	z b u d ɔ v a n i
збудовац	z b u d ɔ v a t͡s
званє	z v a ɲ ɛ
звит	z v i t
звичай	z v i t͡ʃ a j
звичайни	z v i t͡ʃ a j n i
звичайно	z v i t͡ʃ a j n ɔ
звонка	z v ɔ ŋ k a
звонкамалженски	z v ɔ ŋ k a m a l ʒ ɛ n s k i
звонкафамелийни	z v ɔ ŋ k a f a m ɛ l i j n i
звонкачасов	z v ɔ ŋ k a t͡ʃ a s ɔ w
звонкачасови	z v ɔ ŋ k a t͡ʃ a s ɔ v i
звук	z v u k
звучни	z v u t͡ʃ n i
згромадзиц	z ɦ r ɔ m a d͡z i t͡s
здраве	z d r a v ɛ
здрави	z d r a v i
здраво	z d r a v ɔ
здравствени	z d r a w s t v ɛ n i
здравство	z d r a w s t v ɔ
здравє	z d r a v j ɛ
зебра	z ɛ b r a
зебрасти	z ɛ b r a s t i
землєдїлец	z ɛ m ʎ ɛ ɟ i l ɛ t͡s
землєдїлски	z ɛ m ʎ ɛ ɟ i l s k i
землєдїлство	z ɛ m ʎ ɛ ɟ i l s t v ɔ
златни	z l a t n i
злато	z l a t ɔ
зли	z l i
зло	z l ɔ
злого	z l ɔ ɦ ɔ
злодїй	z l ɔ ɟ i j
злодїйство	z l ɔ ɟ i j s t v ɔ
злучнїк	z l u t͡ʃ ɲ i k
змаганє	z m a ɦ a ɲ ɛ
змагатель	z m a ɦ a t ɛ ʎ
змагателька	z m a ɦ a t ɛ ʎ k a
змагательни	z m a ɦ a t ɛ ʎ n i
змагательски	z m a ɦ a t ɛ ʎ s k i
змагац	z m a ɦ a t͡s
змахнуц	z m a x n u t͡s
зме	z m ɛ
змирени	z m i r ɛ n i
змиреносц	z m i r ɛ n ɔ s t͡s
змиренє	z m i r ɛ ɲ ɛ
змириц	z m i r i t͡s
змирйованє	z m i r j ɔ v a ɲ ɛ
змирйовац	z m i r j ɔ v a t͡s
змирююци	z m i r j u j u t͡s i
змист	z m i s t
зна	z n a
знаже	z n a ʒ ɛ
знам	z n a m
знаме	z n a m ɛ
знанє	z n a ɲ ɛ
знац	z n a t͡s
знаце	z n a t͡s ɛ
знаш	z n a ʃ
знаю	z n a j u
знаюци	z n a j u t͡s i
знова	z n ɔ v a
знука	z n u k a
знємирени	z ɲ ɛ m i r ɛ n i
знємиреносц	z ɲ ɛ m i r ɛ n ɔ s t͡s
знємириц	z ɲ ɛ m i r i t͡s
знємирйовац	z ɲ ɛ m i r j ɔ v a t͡s
зо	z ɔ
зоз	z ɔ s
зокна	z ɔ k n a
зомборски	z ɔ m b ɔ r s k i
зона	z ɔ n a
зонов	z ɔ n ɔ w
зонове	z ɔ n ɔ v ɛ
зонови	z ɔ n ɔ v i
зонски	z ɔ n s k i
зохабени	z ɔ x a b ɛ n i
зохабиц	z ɔ x a b i t͡s
зохабяц	z ɔ x a b j a t͡s
зошивац	z ɔ ʃ i v a t͡s
зошиц	z ɔ ʃ i t͡s
зошицким	z ɔ ʃ i t͡s k i m
зошмец	z ɔ ʃ m ɛ t͡s
зразу	z r a z u
зренянински	z r ɛ ɲ a n i n s k i
зробени	z r ɔ b ɛ n i
зробиц	z r ɔ b i t͡s
зуб	z u p
зубами	z u b a m i
зубати	z u b a t i
зубни	z u b n i
зубов	z u b ɔ w
зубодлобка	z u b ɔ d l ɔ p k a
зявенє	z j a v ɛ ɲ ɛ
зявиц	z j a v i t͡s
зявйованє	z j a v j ɔ v a ɲ ɛ
зявйовац	z j a v j ɔ v a t͡s
зєдиньовац	z j ɛ d i ɲ ɔ v a t͡s
зєдинєни	z j ɛ d i ɲ ɛ n i
зєдинїц	z j ɛ d i ɲ i t͡s
зґода	z ɡ ɔ d a
зґодни	z ɡ ɔ d n i
зґоднє	z ɡ ɔ ɟ ɲ ɛ
и	i
идеал	i d ɛ a l
идеални	i d ɛ a l n i
идеално	i d ɛ a l n ɔ
идейни	i d ɛ j n i
идентитет	i d ɛ n t i t ɛ t
идея	i d ɛ j a
идз	i t͡s
идзе	i d͡z ɛ
идзем	i d͡z ɛ m
идземе	i d͡z ɛ m ɛ
идзени	i d͡z ɛ n i
идзенє	i d͡z ɛ ɲ ɛ
идзеце	i d͡z ɛ t͡s ɛ
идзеш	i d͡z ɛ ʃ
идзме	i d͡z m ɛ
идзце	i t͡sː ɛ
иду	i d u
идуци	i d u t͡s i
израелски	i z r a ɛ l s k i
израїлски	i z r a j i l s k i
им	i m
имам	i m a m
имамами	i m a m a m i
имами	i m a m i
индзей	i n d͡z ɛ j
индийски	i n d i j s k i
инженєр	i ɲ ʒ ɛ ɲ ɛ r
инженєрство	i ɲ ʒ ɛ ɲ ɛ r s t v ɔ
инжинєр	i ɲ ʒ i ɲ ɛ r
инжинєрство	i ɲ ʒ i ɲ ɛ r s t v ɔ
ини	i n i
инициятива	i n i t͡s i j a t i v a
инициятивни	i n i t͡s i j a t i w n i
инкадзи	i n k a d͡z i
интензитет	i n t ɛ n z i t ɛ t
интервю	i n t ɛ r v j u
интервюовац	i n t ɛ r v j u ɔ v a t͡s
интересантне	i n t ɛ r ɛ s a n t n ɛ
интересантни	i n t ɛ r ɛ s a n t n i
интересантнима	i n t ɛ r ɛ s a n t n i m a
интересантно	i n t ɛ r ɛ s a n t n ɔ
интересантного	i n t ɛ r ɛ s a n t n ɔ ɦ ɔ
интересантносц	i n t ɛ r ɛ s a n t n ɔ s t͡s
интересантнєйше	i n t ɛ r ɛ s a ɲ c ɲ ɛ j ʃ ɛ
интересантнєйши	i n t ɛ r ɛ s a ɲ c ɲ ɛ j ʃ i
интересантнєйшима	i n t ɛ r ɛ s a ɲ c ɲ ɛ j ʃ i m a
интернационализем	i n t ɛ r n a t͡s i ɔ n a l i z ɛ m
интернационализм	i n t ɛ r n a t͡s i ɔ n a l i z m̩
интернационализовац	i n t ɛ r n a t͡s i ɔ n a l i z ɔ v a t͡s
интернационални	i n t ɛ r n a t͡s i ɔ n a l n i
интернационалнима	i n t ɛ r n a t͡s i ɔ n a l n i m a
интернационалного	i n t ɛ r n a t͡s i ɔ n a l n ɔ ɦ ɔ
интерначань	i n t ɛ r n a t͡ʃ a ɲ
информация	i n f ɔ r m a t͡s i j a
информованє	i n f ɔ r m ɔ v a ɲ ɛ
информовац	i n f ɔ r m ɔ v a t͡s
иншак	i ɲ ʃ a k
иншаки	i ɲ ʃ a k i
инши	i ɲ ʃ i
ирански	i r a n s k i
ирацки	i r a t͡s k i
иронїчни	i r ɔ ɲ i t͡ʃ n i
ирска	i r s k a
ирски	i r s k i
искусни	i s k u s n i
искусно	i s k u s n ɔ
искуство	i s k u s t v ɔ
искуствови	i s k u s t v ɔ v i
иснованє	i s n ɔ v a ɲ ɛ
исновац	i s n ɔ v a t͡s
иснуюци	i s n u j u t͡s i
испит	i s p i t
испитни	i s p i t n i
истамбулски	i s t a m b u l s k i
истанбулски	i s t a n b u l s k i
исти	i s t i
история	i s t ɔ r i j a
источасни	i s t ɔ t͡ʃ a s n i
источасно	i s t ɔ t͡ʃ a s n ɔ
источасносц	i s t ɔ t͡ʃ a s n ɔ s t͡s
источашнє	i s t ɔ t͡ʃ a ʃ ɲ ɛ
исц	i s t͡s
италиянски	i t a l i j a n s k i
их	i x
ишла	i ʃ l a
ишли	i ʃ l i
ишло	i ʃ l ɔ
ишол	i ʃ ɔ l
ище	i ʃ t͡ʃ ɛ
й	j
його	j ɔ ɦ ɔ
йод	j ɔ t
йодни	j ɔ d n i
йодов	j ɔ d ɔ w
йому	j ɔ m u
йон	j ɔ n
йонизация	j ɔ n i z a t͡s i j a
йонизациями	j ɔ n i z a t͡s i j a m i
йоґа	j ɔ ɡ a
йоґо	j ɔ ɡ ɔ
йоґурт	j ɔ ɡ u r t
к	k
кавч	k a w t͡ʃ
кавчар	k a w t͡ʃ a r
кадзи	k a d͡z i
кажди	k a ʒ d i
каждим	k a ʒ d i m
казахски	k a z a x s k i
калап	k a l a p
калапар	k a l a p a r
календар	k a l ɛ n d a r
календарски	k a l ɛ n d a r s k i
калифорнийски	k a l i f ɔ r n i j s k i
камень	k a m ɛ ɲ
камерунски	k a m ɛ r u n s k i
камион	k a m i ɔ n
камиончок	k a m i ɔ ɲ t͡ʃ ɔ k
кампаньски	k a m p a ɲ s k i
кампаня	k a m p a ɲ a
канадски	k a n a t s k i
кандур	k a n d u r
канцеларийни	k a n t͡s ɛ l a r i j n i
канцеларийски	k a n t͡s ɛ l a r i j s k i
канцелария	k a n t͡s ɛ l a r i j a
капуста	k a p u s t a
капушнїк	k a p u ʃ ɲ i k
капущанїк	k a p u ʃ t͡ʃ a ɲ i k
кара	k a r a
карани	k a r a n i
каранїнї	k a r a ɲ i ɲ i
каратель	k a r a t ɛ ʎ
карац	k a r a t͡s
караци	k a r a t͡s i
караюци	k a r a j u t͡s i
каребни	k a r ɛ b n i
кариєра	k a r i j ɛ r a
кармя	k a r m j a
карни	k a r n i
карпатски	k a r p a t s k i
карсцель	k a r s t͡s ɛ ʎ
карта	k a r t a
карфиол	k a r f i ɔ l
карчма	k a r t͡ʃ m a
катеґорийни	k a t ɛ ɡ ɔ r i j n i
катеґорични	k a t ɛ ɡ ɔ r i t͡ʃ n i
катеґорично	k a t ɛ ɡ ɔ r i t͡ʃ n ɔ
катеґория	k a t ɛ ɡ ɔ r i j a
католїк	k a t ɔ ʎ i k
католїкиня	k a t ɔ ʎ i k i ɲ a
католїцизм	k a t ɔ ʎ i t͡s i z m̩
католїцки	k a t ɔ ʎ i t͡s k i
католїцтво	k a t ɔ ʎ i t͡s t v ɔ
кафа	k a f a
кафе	k a f ɛ
кафич	k a f i t͡ʃ
кафов	k a f ɔ w
кафови	k a f ɔ v i
каче	k a t͡ʃ ɛ
качи	k a t͡ʃ i
качиписк	k a t͡ʃ i p i s k
качка	k a t͡ʃ k a
кашель	k a ʃ ɛ ʎ
кашляц	k a ʃ ʎ a t͡s
кашлїц	k a ʃ ʎ i t͡s
квалитет	k v a l i t ɛ t
квалитетни	k v a l i t ɛ t n i
квалитетно	k v a l i t ɛ t n ɔ
квалитетнєйше	k v a l i t ɛ c ɲ ɛ j ʃ ɛ
квалитетнєйши	k v a l i t ɛ c ɲ ɛ j ʃ i
квантитет	k v a n t i t ɛ t
квартель	k v a r t ɛ ʎ
квас	k v a s
квасови	k v a s ɔ v i
квашени	k v a ʃ ɛ n i
квашиц	k v a ʃ i t͡s
квашни	k v a ʃ n i
квашносц	k v a ʃ n ɔ s t͡s
квашняк	k v a ʃ ɲ a k
квашнїна	k v a ʃ ɲ i n a
квашнїц	k v a ʃ ɲ i t͡s
квашуга	k v a ʃ u ɦ a
кващок	k v a ʃ t͡ʃ ɔ k
квет	k v ɛ t
квеце	k v ɛ t͡s ɛ
квитка	k v i t k a
квиток	k v i t ɔ k
кед	k ɛ t
кедвешни	k ɛ d v ɛ ʃ n i
кеди	k ɛ d i
кедиш	k ɛ d i ʃ
кекс	k ɛ k s
кельо	k ɛ ʎ ɔ
кельосц	k ɛ ʎ ɔ s t͡s
келї	k ɛ ʎ i
кенґур	k ɛ ŋ ɡ u r
керестурски	k ɛ r ɛ s t u r s k i
ки	k i
кикирики	k i k i r i k i
кила	k i l a
килови	k i l ɔ v i
килограм	k i l ɔ ɦ r a m
