אָ	ɔ
לייענען	ɫ ɛ ɪ̯ n ə n
לייענען	ɫ a ɪ̯ ə n ə n
לייענען	ɫ a ɪ̯ n ə n
ליכט	ʎ ɪ χ t
ליכטנשטיין	ɫ ɪ χ t n̩ ʃ t ɛ ɪ̯ n
לילית	ɫ ɪ ɫ ə s
לילית	ɫ ɪ ɫ ɪ s
לימענאַד	ʎ ɪ m ə n a d
לימענע	l ɪ m ə n ə
לינאָטיפּ	l ɪ n ɔ t ɪ p
לינק	ɫ ɪ ŋ k
לינקאַטש	ɫ ɪ ŋ k a t͡ʃ
לינקס	ɫ ɪ ŋ k s
ליסינע	l ɪ s ɪ n ə
ליסינע	l ɪ s ə n ə
ליפֿט	ʎ ɪ f t
ליפֿטן	ʎ ɪ f t n̩
ליקער	ʎ ɪ k ɛ r
לכּבֿוד	ɫ ə k ɔ v ə d
למען־השם	ɫ ə m a n h a ʃ ɛ m
למען־השם	ɫ ə m a n a ʃ ɛ m
לסוף	ɫ ə s ɔ f
לעבן	ɫ ɛ b n̩
לעבן־געבליבענער	ɫ ɛ b n̩ ɡ ɛ b ʎ ɪ b ə n ə ʁ
לעבעדיק	l e j b ə d ɪ k
לעגיאָן	ɫ ə ɡ j ɔ n
לעדל	ɫ ɛ d ɫ̩
לעזביאַנקע	l ɛ z b j a n k ə
לעטיש	ɫ ɛ t ɪ ʃ
לעטלאַנד	ɫ ɛ t ɫ a n d
לעכערן	l ɛ χ ə ʁ n̩
לעמבערג	l ɛ m b ə r ɡ
לעמור	ʎ ə m ʊ ʁ
לעמינג	ʎ ɛ m ɪ ŋ ɡ
לעמפּערט	ʎ ɛ m p ə ʁ t
לענג	ɫ ɛ ŋ ɡ
לענגאויס	l ɛ n ɡ ɔ ɪ̯ s
לענגאויס	l ɛ n ɡ ɔ ʊ̯ s
לעסביאַניש	l ɛ s b j a n ɪ ʃ
לעסביאַניש	l ɛ s b j a n ɨ ʃ
לעסטערן	ɫ ɛ s t ə ʁ n̩
לעפּטאָפּ	ɫ ɛ p t ɔ p
לעפּיש	ɫ ɛ p ɪ ʃ
לעפֿל	ɫ ɛ f ɫ̩
לעקעך	ɫ ɛ k ə χ
לערן	ɫ ɛ ʁ n̩
לערנט	ɫ ɛ ʁ n t
לערנסט	ɫ ɛ ʁ n̩ s t
לערנען	ɫ ɛ ʁ n ə n
לערערין	ɫ ɛ ʁ ə ʁ ɪ n
לעש	ɫ ɛ ʃ
לעשן	ɫ ɛ ʃ n̩
לפֿי	l ə f ɪ
לשון	ɫ ɔ ʃ n̩
לשון	ɫ uː ʃ n̩
לשון	ɫ u ʃ n̩
לשון	ɫ oː ʃ n̩
לשון־הרע	l ɔ ʃ n̩ h ɔ ʁ ə
לשון־הרע	l ɔ ʃ n̩ h ɔ ʁ ə
לשון־הרע	l ɔ ʃ n̩ ɔ ʁ ə
לשון־הרע	l uː ʃ n̩ h uː ʁ ə
לשון־הרע	l uː ʃ n̩ uː ʁ ə
לשון־הרע	l u ʃ n̩ h u ʁ ə
לשון־הרע	l u ʃ n̩ u ʁ ə
לשון־הרען	l ɔ ʃ n̩ h ɔ ʁ ə n
לשון־הרען	l ɔ ʃ n̩ h ɔ ʁ ə n
לשון־הרען	l ɔ ʃ n̩ ɔ ʁ ə n
לשון־הרען	l uː ʃ n̩ h uː ʁ ə n
לשון־הרען	l uː ʃ n̩ uː ʁ ə n
לשון־הרען	l u ʃ n̩ h u ʁ ə n
לשון־הרען	l u ʃ n̩ u ʁ ə n
לשון־הרעניק	l ɔ ʃ n̩ h ɔ ʁ ə n ɪ k
לשון־הרעניק	l ɔ ʃ n̩ h ɔ ʁ ə n ɪ k
לשון־הרעניק	l ɔ ʃ n̩ ɔ ʁ ə n ɪ k
לשון־הרעניק	l uː ʃ n̩ h uː ʁ ə n ɪ k
לשון־הרעניק	l uː ʃ n̩ uː ʁ ə n ɪ k
לשון־הרעניק	l u ʃ n̩ h u ʁ ə n ɨ k
לשון־הרעניק	l u ʃ n̩ u ʁ ə n ɨ k
לשון־זכר	l ɔ ʃ n̩ z ɔ χ ə ʁ
לשון־זכר	l uː ʃ n̩ z uː χ ə ʁ
לשון־זכר	l u ʃ n̩ z u χ ə ʁ
לשון־נקבֿה	l ɔ ʃ n̩ n ə k ɛ ɪ̯ v ə
לשון־נקבֿה	l ɔ ʃ n̩ n ə k e ɪ̯ v ə
לשון־נקבֿה	l ɔ ʃ n̩ n ə k a ɪ̯ v ə
לשונות	ɫ ə ʃ ɔ ɪ̯ n̩ ə s
לשם	l ə ʃ ɛ m
לשם־שמים	ɫ ə ʃ ɛ ɪ̯ m ʃ ɔ m a j ə m
מאַגנאָליע	m a ɡ n ɔ l j ə
מאַגנעזיום	m a ɡ n ɛ z j ʊ m
מאַדיירע	m a d ɛ ɪ̯ r ə
מאדים	m a ɪ d ə m
מאָדנע	m ɔ d n ə
מאַהאַלע	m a h a ɫ ə
מאַזשייק	m a ʒ e ɪ̯ k
מאָטעל	m ɔ t ɛ ʎ
מאַטעמאַטיק	m a t ɛ m a t ɪ k
מאַטערן	m a t ə ʁ n̩
מאַטראַץ	m a t ʁ a t͡s
מאַיאָראַן	m a j ɔ ʁ a n
מאַיִס	m a ɪ s
מאָך	m ɔ χ
מאַכן	m a χ n̩
מאָל	m ɔ ɫ
מאָל	m ʊ ɫ
מאָל	m ɔ ʎ
מאַלאַגאַ	m a ɫ a ɡ a
מאָלאָדיעץ	m ɔ l ɔ d j ɛ t͡s
מאָלאָדיעץ	m ɔ l ɔ d j ɛ t͡s
מאָלאָטשנע	m ɔ ɫ ɔ t͡ʃ n ə
מאָלדאַווע	m ɔ ɫ d a v ə
מאַלטאַ	m a ɫ t a
מאָליבדען	m ɔ l ɪ b d ɛ n
מאַליניק	m a ɫ ɪ n ɪ k
מאַלפּע	m a ɫ p ə
מאַלפּעס	m a ɫ p ə s
מאַמאָט	m a m ɔ t
מאַמאָנט	m a m ɔ n t
מאַמינקע	m a m ɪ nʲ k ə
מאַמינקע	m a m ɪ ŋ k ə
מאַמע־לשון	m a m ə ɫ ɔ ʃ n̩
מאַמעליגע	m a m ə ʎ ɪ ɡ ə
מאָמענטבילד	m ɔ m ɛ n t b ɪ ɫ d
מאַמעש	m a m ə ʃ
מאָן	m o n
מאַנגאָ	m a ŋ ɡ ɔ
מאַנגאָ־בוים	m a ŋ ɡ ɔ b ɔ ɪ̯ m
מאַנגאַן	m a n ɡ a n
מאַנגאַנעז	m a n ɡ a n ɛ z
מאַנדאָלינע	m a n d ɔ l ɪ n ə
מאַנדלברויט	m a n d l̩ b r ɔ ɪ̯ t
מאַנדלשמיר	m a n d ɫ̩ ʃ m iː r
מאַנדריל	m a n d ʁ ɪ ɫ
מאַנהעטן	m a n h ɛ t n̩
מאָנט	m ɔ n t
מאָנט	m uː n t
מאָנט	m u n t
מאָנטיק	m ɔ n t ɪ k
מאַנטל	m a n t ɫ̩
מאַנטלען	m a n t ɫ ə n
מאָנטענעגראָ	m ɔ n t ə n ɛ ɡ ʁ ɔ
מאָניטאָר	m ɔ n ɪ t ɔ ʁ
מאָניטאָרן	m ɔ n ɪ t ɔ ʁ n̩
מאַסטאָדאָן	m a s t ɔ d ɔ n
מאַסלינע	m a s ʎ ɪ n ə
מאַסלינקע	m a s ʎ ɪ n k ə
מאַסע	m a s ə
מאָסקאַל	m ɔ s k a ʎ
מאָסקווע	m ɔ s k v ə
מאָסקיט	m ɔ s k ɪ t
מאַסקע	m a s k ə
מאָפֿין	m ɔ f ɪ n
מאָפֿין	m ʌ f ɪ n
מאַפּע	m a p ə
מאָקאַ	m ɔ k a
מאַקאַראָנען	m a k a r ɔ n ə n
מאַקעראָנדל	m a k ə r ɔ n d ɫ̩
מאַראָזשענע	m a r ɔ ʒ ə n ə
מאַראַסקינאָ	m a r a s k i n ɔ
מאָרגן	m ɔ ʁ ɡ n̩
מאָרד	m ɔ ʀ d
מאָרדע	m ɔ r d ə
מאַרדער	m a ʁ d ə ʁ
מאָרמאָן	m ɔ ʁ m ɔ n
מאָרמאָניזם	m ɔ ʁ m ɔ n ɪ z m̩
מאָרמאָניש	m ɔ ʁ m ɔ n ɪ ʃ
מאַרס	m a ʁ s
מאַרסאַלאַ	m a r s a ɫ a
מאַרץ	m a ʁ t͡s
מאַרק	m a ʁ k
מאַרקע	m a ʁ k ə
מאַרשעליק	m a ʁ ʃ ə l ɪ k
מאַרשרוטקע	m a r ʃ r ʊ t k ə
מאַשין	m a ʃ ɪ n
מאַשינביקס	m a ʃ ɪ n b ɪ k s
מאַשינען	m a ʃ ɪ n ə n
מבול	m a b ɫ̩
מבולט	m a b ɫ̩ t
מבולען	m a b ɫ̩ ə n
מבֿינות	m ə v ɪ n ə s
מבֿינות	m ə v iː n ə s
מבֿינות	m ə v i n ə s
מבֿינותדיק	m ə v ɪ n ə s d ɪ k
מבֿינותדיק	m ə v iː n ə s d ɪ k
מבֿינותדיק	m ə v i n ə s d ɨ k
מגילה	m ə ɡ ɪ ɫ ə
מגפֿה	m a ɡ ɛ ɪ̯ f ə
מדבר	m ɪ d b ə r
מדבריות	m ɪ d b ɔ ʁ j ə s
מדינה	m ə d ɪ n ə
מדרגה	m a d ʁ ɛ ɪ̯ ɡ ə
מה־דאָך	m a d ə x
מהות	m ə h uː s
מהלך	m ə h a ɫ ə χ
מהפּכה	m a h ə p ɛ ɪ̯ χ ə
מהפּכה	m a h ə p e ɪ̯ χ ə
מהפּכה	m a p e ɪ̯ χ ə
מהפּכה	m a h ə p a ɪ̯ χ ə
מהפּכה	m a p a ɪ̯ χ ə
מהפּכה	m a h ə p ɛ ɪ̯ χ ə
מהפּכה	m a p ɛ ɪ̯ χ ə
מוּווי	m ʊ v ɪ
מוז	m ʊ z
מוזיי	m u z ɛ ɪ̯
מוזיקאַנט	m ʊ z ɪ k a n t
מוזיקער	m ʊ z ɪ k ə ʁ
מוזן	m ʊ z n̩
מויז	m ɔ ɪ̯ z
מויל	m ɔ ɪ̯ ɫ
מויל	m o ʊ̯ ɫ
מויל	m ɔː ɫ
מויער	m ɔ ɪ̯ ə ʁ
מויערנברעכער	m ɔ ɪ̯ ə ʁ n̩ b ʁ ɛ χ ə ʁ
מוסד	m ɔ ɪ̯ s ə d
מוסד	m e ɪ̯ s ə d
מוסקאַט	m ʊ s k a t
מוסקל	m ʊ s k ɫ̩
מוסקלען	m ʊ s k ɫ̩ ə n
מופֿת	m ɔ ɪ̯ f ə s
מופֿתים	m ɔ f s ə m
מורא	m ɔ ɪ̯ ʁ ə
מוראדיק	m ɔ ɪ̯ ʁ ə d ɪ k
מוראַשקע	m ʊ ʁ a ʃ k ə
מוראַשקעס	m ʊ ʁ a ʃ k ə s
מורקען	m ʊ ʁ k ə n
מושבֿ	m ɔ ɪ̯ ʃ ə v
מושבֿ	m e ɪ̯ ʃ ə v
מושבֿ־זקנים	m ɔ ɪ̯ ʃ ə v z k ɛ ɪ̯ n ə m
מושבֿ־זקנים	m e ɪ̯ ʃ ə v z k e ɪ̯ n ə m
מושבֿ־זקנים	m ɔ ɪ̯ ʃ ə v z k a ɪ̯ n ə m
מושטאַרדע	m ʊ ʃ t a r d ə
מושקאַט	m ʊ ʃ k a t
מושקעט	m ʊ ʃ k ə t
מזומן	m ə z ʊ m ə n
מזומנקע	m ə z ʊ m ə n k ə
מזיק	m a z ə k
מזל	m a z ɫ̩
מזל־טובֿ	m a z ɫ̩ t ɔ v
מזרח	m ɪ z ʁ ə χ
מחבר	m ə χ a b ə ʁ
מחויבֿ	m ɛ χ ʊ j ə v
מחותּן	m ə χ ʊ t n̩
מחותּנים	m a χ ə t ɔ n ə m
מחותּנתטע	m ə χ ʊ t ɛ n ə s t ə
מחותּנתטע	m ə χ ɪ t e ɪ̯ n ə s t ə
מחיה	m ə χ a ɪ̯ ə
מחיהדיק	m ə χ a ɪ̯ ə d ɪ k
מחמת	m a χ m ə s
מחנה	m a χ n ə
מחנותווײַז	m a χ n ə s v a ɪ̯ z
מחנותווײַז	m a χ n ə s v aː z
מחנותווײַז	m a χ n ə s v a z
מי־יודע	m ɪ j ə d ɛ ɪ̯ ə
מיאוס	m i ə s
מיד	m ɪ d
מיד	m iː d
מיזיניק	m ɪ z ɪ n ɪ k
מיזינקע	m ɪ z ɪ n k ɜ
מיזלי	m ɪ z ʎ ɪ
מיטאָג	m ɪ t ɔ ɡ
מיטאַרבעטער	m ɪ t a ʁ b ə t ə ʁ
מיטטיילונג	m ɪ t t e ɪ̯ ɫ ʊ ŋ ɡ
מיטטיילונג	m ɪ t e ɪ̯ ɫ ʊ ŋ ɡ
מיטטיילונג	m ɪ t t a ɪ̯ ɫ ʊ ŋ ɡ
מיטטיילונג	m ɪ t a ɪ̯ ɫ ʊ ŋ ɡ
מיטל	m ɪ t l̩
מיטלענדיש	m ɪ t l ɛ n d ɪ ʃ
מיטן	m ɪ t n̩
מיטנעמען	m ɪ t n ɛ m ə n
מיטקינד	m ɪ t k ɪ n d
מיטשלעפּן	m ɪ t ʃ l ɛ p n̩
מיטשלעפּן	m ɨ t ʃ l ɛ p n̩
מײַ	m a ɪ̯
מיידל	m e ɪ̯ d ɫ̩
מיידלווײַז	m ɛ ɪ̯ d ɫ̩ v a ɪ̯ z
מיידלעך	m e ɪ̯ d ɫ ə χ
מײַדן	m a ɪ̯ d n̩
מײַדן	m aː d n̩
מײַדן	m a d n̩
מײַז	m a ɪ̯ z
מײַל	m a ɪ̯ ɫ
מײַן	m a ɪ̯ n
מײַן	m aː n
מיינונג	m ɛ ɪ̯ n ʊ ŋ ɡ
מיינונג	m a ɪ̯ n ɪ ŋ ɡ
מיינסטנס	m ɛ ɪ̯ n s t n̩ s
מיינסטנס	m ɛ ɪ̯ n s n̩ s
מיינסטנס	m a ɪ̯ n s t n̩ s
מיינסטנס	m a ɪ̯ n s n̩ s
מײַנע	m a ɪ̯ n ə
מײַנעם	m a ɪ̯ n ə m
מײַנער	m a ɪ̯ n ə ʁ
מייער	m ɛ ɪ̯ ə ʁ
מייערן	m ɛ ɪ̯ ə ʁ n
מײַראַן	m a ɪ̯ ʁ a n
מיך	m ɪ χ
מיכאל	m ɪ χ ɔ ə l
מיכאל	m ɪ χ uː ɫ
מילא	m ɛ ɪ̯ ɫ ə
מילגרוים	m ɪ ɫ ɡ r ɔ ɪ̯ m
מיליאָן	m ɪ ʎ j ɔ n
מיליאַרד	m ɪ ʎ j a ʁ d
מילך	m ɪ ɫ χ
מילך	m ɪ l ə χ
מילכיק	m ɪ l χ ɪ k
מילכיק	m ɪ l ç ɪ k
מילכיק	m ɪ l ʃ ɪ k
מים	m i m
מים	m a j ɪ m
מים	m a ɪ̯ ə m
מינאַרעט	m ɪ n a ʁ ɛ t
מינהג	m ɪ n ə ɡ
מינהגים	m ɪ n h ɔ ɡ ə m
מינוט	m ɪ n ʊ t
מינוט	m ɪ n ɪ t
מינוס	m ɪ n ʊ s
מיניבוס	m ɪ n ɪ b ʊ s
מיניסטעריום	m ɪ n ɪ s t ɛ r ɪ j ʊ m
מיניסטעריום	m ɪ n ɪ s t ɛ r j ʊ m
מינכן	m ɪ n χ n̩
מינערווע	m ɪ n ɛ ʁ v ə
מיסט	m ɪ s t
מיסטבאַרג	m ɪ s t b a ʁ ɡ
מיסטעריע	m ɪ s t ɛ ʁ j ə
מיסטקאַסטן	m ɪ s t k a s t n̩
מיסעס	m ɪ s ə s
מיצווה	m ɪ t͡s v ə
מיצריש	m ɪ t͡s r ɪ ʃ
מיצרישן	m ɪ t͡s ʁ ɪ ʃ n̩
מיצרית	m ɪ t͡s ʁ ɪ s
מיקראָטאָם	m ɪ k ʁ ɔ t ɔ m
מיקראָספּעקטראָסקאָפּ	m ɪ k ʁ ɔ s p ɛ k t ʁ ɔ s k ɔ p
מיקראָסקאָפּ	m ɪ k ʁ ɔ s k ɔ p
מיקראָסקאָפּיע	m ɪ k ʁ ɔ s k ɔ p j ə
מיקראָסקאָפּיש	m ɪ k ʁ ɔ s k ɔ p ɪ ʃ
מיר	m ɪ ʁ
מירל	m ɪ ʁ ɫ̩
מישונג	m ɪ ʃ ʊ ŋ ɡ
מישן	m ɪ ʃ n̩
מישער	m ɪ ʃ ə r
מכשיר	m a χ ʃ ə r
מכשפֿה	m a χ ʃ ɛ ɪ̯ f ə
מלאך	m a ɫ ə χ
מלאך־המות	m a l ə χ a m ɔ v ə s
מלאך־המות	m a l ə χ a m uː v ə s
מלאך־המות	m a l ə χ a m u v ə s
מלוכה	m ə l ʊ χ ə
מלוכה	m ə l ʊ χ ə
מלוכה	m l ʊ χ ə
מלוכה	m ə l iː χ ə
מלוכה	m l iː χ ə
מלוכה	m ə l i χ ə
מלוכה	m l i χ ə
מלחמה	m ɪ l χ ɔ m ə
מלך	m ɛ ɪ̯ l ɜ χ
מלכות	m a l χ ə s
מלשין	m a ɫ ʃ n̩
ממילא	m ɪ m ɛ ɪ̯ ɫ ə
ממש	m a m ə ʃ
מנהל	m ə n a h ə l
מנהל	m ə n a j ə l
מנהל	m ə n a ə l
מנהל	m ə n aː h ə l
מנהל	m ə n aː ə l
מנוחה	m ə n ʊ χ ə
מנוחה	m ə n iː χ ə
מנוחה	m ə n i χ ə
מנורה	m ə n ɔ ɪ̯ ʁ ə
מנורות	m ə n ɔ ɪ̯ ʁ ə s
מעגאַטעריום	m ɛ ɡ a t ɛ ʁ j ʊ m
מעגאַלאָזאַורוס	m ɛ ɡ a ɫ ɔ z a ʊ̯ ʁ ʊ s
מעגלעך	m ɛ ɡ ɫ ə χ
מעדוזע	m ɛ d ʊ z ə
מעדוזעס	m ɛ d ʊ z ə s
מעדיצין	m ɛ d ɪ t͡s i n
מעווע	m ɛ v ə
מעטשעט	m ə t ʃ ɛ t
מעך	m ə χ
מעך	m ɛ χ
מעכטיק	m ɛ χ t ɪ k
מעלדונג	m ɛ ɫ d ʊ ŋ
מעלדן	m ɛ l d n̩
מעלפּאָמענע	m ɛ ɫ p ɔ m ɛ n ə
מעלקן	m ɛ l k n̩
מעמל	m ɛ m ɫ̩
מענדל	m ɛ n d l̩
מענטע	m ɛ n t ə
מעניו	m ɛ ɲ u
מעניוען	m ɛ ɲ u ə n
מענער	m ɛ n ə ʁ
מעסער־אַקאַציע	m ɛ s ə r a k a t͡s j ə
מעפֿיסטאָ	m ɛ f ɪ s t ɔ
מעפֿיסטאָפֿעל	m ɛ f ɪ s t ɔ f ɛ ɫ
מעפֿיסטאָפֿעליש	m ɛ f ɪ s t ɔ f ɛ ɫ ɪ ʃ
מעקן	m ɛ k n̩
מעקסיקע	m ɛ k s ɪ k ə
מעקער	m ɛ k ə ʁ
מעקערס	m ɛ k ə ʁ s
מערבֿ	m a ɪ̯ r ə v
מערבֿ	m aː r ə v
מערבֿ	m aː r ə f
מערבֿ	m a r ə v
מערביק	m ɛ r b ɪ k
מעריבֿ	m a ɪ̯ r ə v
מעריבֿ	m aː r ə v
מעריבֿ	m aː r ə f
מעריבֿ	m a r ə v
מערען	m ɛ ɾ ɛ n
מערק	m ɛ ʁ k
מערקור	m ɛ ʁ k ʊ ʁ
מערקוריוס	m ɛ ʁ k ʊ ʁ j ʊ s
מעשׂה	m a ɪ̯ s ə
מעשׂה	m aː s ə
מעשׂה	m a n s ə
מעשׂים	m a ɪ̯ s ə m
מעשׂים	m a n s ə m
מעשן	m ɛ ʃ n̩
מעת־לעת	m ə s l ɛ s
מפּיל־קינד	m a p ɫ̩ k ɪ n d
מפּלה	m a p ɔ ɫ ə
מפּלען	m a p ɫ ə n
מפֿרש	m ə f a ʁ ə ʃ
מצבֿ	m a t͡s ə v
מצה	m a t͡s ə
מצות	m a t͡s ə s
מציאה	m ə t͡s i j ə
מציאות	m ə t͡s i j ə s
מצרים	m ɪ t͡s ʁ a j ə m
מקור	m ɔ k ə ʁ
מקור	m uː k ə ʁ
מקור	m u k ə ʁ
מרדכי	m ɔ ʁ t χ ə
משׂא	m a s ə
משה	m ɔ ɪ̯ ʃ ə
משוגע	m ə ʃ u ɡ ə
משוגע	m ɜ ʃ ʊ ɡ ɜ
משוגע	m ɜ ʃ iː ɡ ɜ
משוגע	m ɜ ʃ i ɡ ɜ
משוגעים	m ə ʃ ʊ ɡ ɔ ɪ m
משוגענער	m ə ʃ ʊ ɡ ə n ə ʁ
משוגענערווײַז	m ə ʃ ʊ ɡ ə n ə ʁ v a ɪ̯ z
משוגעת	m ə ʃ ʊ ɡ a s
משוגעת	m ə ʃ ɪ ɡ aː s
משוגעת	m ə ʃ ɨ ɡ a s
משונה	m ə ʃ ʊ n ə
משונה	m ə ʃ ɪ n ə
משונה	m ə ʃ ɨ n ə
משונהדיק	m ə ʃ ʊ n ə d ɪ k
משונהדיק	m ə ʃ ɪ n ə d ɪ k
משונהדיק	m ə ʃ ɨ n ə d ɪ k
משיח	m ɔ ʃ i ə χ
משיחיש	m ə ʃ ɪ χ ɪ ʃ
משכּון	m a ʃ k n̩
משלען	m ɔ ʃ l ə n
משלען	m uː ʃ l ə n
משלען	m u ʃ l ə n
משפּחה	m ɪ ʃ p ɔ χ ɜ
משפּחה	m ɪ ʃ p uː χ ɜ
משפּחה	m ɨ ʃ p u χ ɜ
משפּטן	m ɪ ʃ p ə t n̩
משרת	m ə ʃ ɔ ʁ ə s
מת	m ɛ ɪ̯ s
מתּנה	m a t ɔ n ə
מ׳האָט	m ɔ t
מ׳האָט	m uː t
נאָדל	n ɔ d ɫ̩
נאַהיט	n a h i t
נאָז	n ɔ z
נאַטור	n a t ʊ ʁ
נאָטיץ	n ɔ t ɪ t͡s
נאַטירלעך	n a t ɪ r l ə χ
נאַטירלעך	n a t iː r l ə χ
נאַטריום	n a t ʁ j ʊ m
נאַטשאָ	n a t͡ʃ ɔ
נאָך	n ɔ χ
נאָכ־	n ɔ χ
נאָכ־	n uː χ
נאָכ־	n u χ
נאָכאַמאָל	n ɔ χ a m ɔ ɫ
נאָכגיין	n ɔ χ ɡ ɛ ɪ̯ n
נאָכהענגערל	n ɔ χ h ɛ ŋ ɡ ə r ɫ̩
נאָכהענגערל	n ɔ χ ɛ ŋ ɡ ə r ɫ̩
נאַכט	n a χ t
נאָכטאָן	n ɔ χ t ɔ n
נאָכטאָן	n uː χ t uː n
נאָכטײַטן	n ɔ χ t a ɪ̯ t n̩
נאַכטסאָווע	n a χ t s ɔ v ə
נאַכטפֿויגל	n a χ t f ɔ ɪ̯ ɡ ɫ̩
נאָכיאָגן	n ɔ χ j ɔ ɡ n̩
נאָכמיטאָג	n ɔ χ m ɪ t ɔ ɡ
נאָכמיטאָג	n ɔ χ m ɪ t ɔ ɡ
נאָכמיטאָגדיק	n ɔ χ m ɪ t ɔ ɡ d ɪ k
נאָכמיטאָגדיק	n ɔ χ m ɪ t ɔ ɡ d ɪ k
נאָכפֿאָלגן	n ɔ χ f ɔ l ɡ n̩
נאָכקוקן	n ɔ χ k ʊ k n̩
נאָכקוקן	n uː χ k ɪ k n̩
נאָכקוקן	n u χ k ɨ k n̩
נאָכשטופּן	n ɔ χ ʃ t ʊ p m̩
נאָכשטופּן	n ɔ χ ʃ t ɪ p m̩
נאָכשטופּן	n ɔ χ ʃ t ɨ p m̩
נאַליווקע	n a ʎ ɪ f k ə
נאַליווקע	n a ʎ ɪ v k ə
נאָמען	n ɔ m ə n
נאָמען	n uː m ə n
נאָמען	n u m ə n
נאַס	n a s
נאַסטיעזש	n a s t j ɛ ʒ
נאַסטיעזש	n a sʲ tʲ e ʒ
נאָענטקייט	n ɔ ə n t k a ɪ̯ t
נאָענטקייט	n ɔ ə n t k e ɪ̯ t
נאַפּשיקלאַד	n a p ʃ ɪ k ɫ a d
נאַפּשיקלאַד	n a p ʃ ɪ k ɫ a t
נאָר	n ɔ ʁ
נאָרדמאַן־יאָדלע	n ɔ r d m a n j ɔ d l ə
נאָרוועגיע	n ɔ ʁ v ɛ ɡ j ə
נאַריש	n a ʁ ɪ ʃ
נאַרישער	n a ʁ ɪ ʃ ə ʁ
נאָרמאַל	n ɔ ʁ m a ɫ
נאַרן	n a ʀ n
נאַש	n a ʃ
נאַשבראַט	n a ʃ b r a t
נאַשן	n a ʃ n̩
נבֿיא	n ɔ v i
נבֿיאה	n ə v ɪ j ə
נבֿיאות	n ə v ɪ j ə s
נבֿיאים	n ə v ɪ j ə m
נבֿיאים	n ə v ɪ ə m
נבֿלה	n ə v ɛ ɪ̯ ɫ ə
נוגאַט	n ʊ ɡ a t
נוגשׂ	n ɔ ɪ̯ ɡ ə s
נוגשׂ	n e ɪ̯ ɡ ə s
נודנע	n ʊ d n ə
נויטפֿאַל	n ɔ j t f a l
נול	n ʊ ɫ
נומער	n ʊ m ə ʁ
נוס	n ʊ s
נוקען	n ʊ k ə n
נוקען	n iː k ə n
נוקען	n i k ə n
נותן	n ɔ ɪ s n̩
נותן	n ɛ ɪ s n̩
נחלה	n ɔ χ ɫ ə
נחת	n a χ ə s
ניאָביום	n j ɔ b j ʊ m
נידעריק	n ɪ d ə ʁ ɪ k
ניטאָיִק	n ɪ t ɔ ɪ k
ניי	n ɛ ɪ̯
נײַ	n a ɪ̯
נײַ־לבֿנה	n a ɪ̯ l ə v ɔ n ə
נײַ־לבֿנה	n aː l ə v uː n ə
נײַ־לבֿנה	n a l ə v u n ə
נייגן	n ɛ ɪ̯ ɡ n̩
נייגן	n a ɪ̯ ɡ n̩
נייגן	n e ɪ̯ ɡ n̩
נייטיק	n e ɪ̯ t ɪ k
נייטראַל	n ɛ ɪ̯ t r a l
ניין	n ɛ ɪ̯ n
ניין	n a ɪ̯ n
נײַן	n a ɪ̯ n
נײַן	n aː n
נײַן	n a n
נײַנט	n a ɪ̯ n t
נײַנציק	n a ɪ̯ n t͡s ɪ k
נײַנציק	n aː n t͡s ɪ k
נײַנציק	n a n t͡s ɨ k
נײַע	n a ɪ̯ ə
נייען	n ɛ ɪ̯ ə n
ניסן	n ɪ s n̩
ניסן	n iː s n̩
ניסן	n ɪ s n̩
ניפֿטר	n ɪ f t ə ʁ
ניצול	n ɪ t͡s ɫ̩
ניצן	n ɪ t͡s n̩
־ניצע	n ɪ t s ə
־ניק	n ɪ k
ניקל	n ɪ k l̩
ניקלנע	n ɪ k l̩ n ə
נישטאָ	n ɪ ʃ t ɔ
ניתּבע	n ɪ t b ə
נמאס	n ɪ m ə s
נמאס	n ɨ m ə s
נס	n ɛ s
נסיעה	n ɛ s i ə
נע־ונד	n a v ə n a d
נע־ונד	n a v n a d
נעאָן	n ɛ ɔ n
נעבן	n ɛ b n̩
נעבעך	n ɛ b ə χ
נעבעכל	n ɛ b ə χ ɫ̩
נעגעלע	n ɛ ɡ ə ɫ ə
נעכטן	n ɛ χ t n̩
נעלקנאייל	n ɛ ɫ k n̩ ɛ ɪ̯ ɫ
נעם	n ɛ m
נעמען	n ɛ m ə n
נעפּטוניום	n ɛ p t ʊ n j ʊ m
נעקסט	n ɛ k s t
נפֿלע	n ɛ ɪ̯ f ə l ə
נפֿלע	n e ɪ̯ f ə l ə
נפֿלע	n a ɪ̯ f ə l ə
נפֿש	n ɛ f ɜ ʃ
נפֿש	n eː f ɜ ʃ
נפֿש	n e ɪ̯ f ɜ ʃ
נפֿש	n ɛ ɪ̯ f ɜ ʃ
נפֿש	n i f ɜ ʃ
נצח	n ɛ t͡s ə χ
נצח	n e ɪ̯ t͡s ə χ
נצח	n a ɪ̯ t͡s ə χ
נצח	n ɛ ɪ̯ t͡s ə χ
נצחדיק	n ɛ t͡s ə χ d ɪ k
נצחדיק	n e ɪ̯ t͡s ə χ d ɪ k
נצחדיק	n a ɪ̯ t͡s ə χ d ɪ k
נצחדיק	n ɛ ɪ̯ t͡s ə χ d ɨ k
נצחון	n ɪ t͡s ɔ χ n̩
נצחון	n ɪ t͡s u χ n̩
