ԱԱ	ɑ ɑ
ալյուր	ɑ l ʏ ɾ
ալոե	ɑ l o e
ալոճ	ɑ l o d͡ʒ
ալոճենի	ɑ l o d͡ʒ e n i
ալոջ	ɑ l o t͡ʃ
ալուճ	ɑ l u d͡ʒ
ալուր	ɑ l u ɾ
ալուցք	ɑ l u t͡s k
ալպագա	ɑ l b ɑ k ɑ
ալպակ	ɑ l b ɑ ɡ
ալպակա	ɑ l b ɑ ɡ ɑ
ալպինիզմ	ɑ l b i n i z m
ալպինիստ	ɑ l b i n i s d
ալտ	ɑ l d
ալրաղաց	ɑ l ɾ ɑ ʁ ɑ t͡s
ալք	ɑ l k
ալքիմիա	ɑ l k i m i ɑ
ալքիմիկոս	ɑ l k i m i ɡ o s
ալևոր	ɑ l e v o ɾ
ախ	ɑ χ
ախազ	ɑ χ ɑ z
ախմախ	ɑ χ m ɑ χ
ախոյան	ɑ χ o j ɑ n
ախոռ	ɑ χ o r
ախոռներ	ɑ χ o r n e ɾ
ախորժ	ɑ χ o ɾ ʒ
ախորժակ	ɑ χ o ɾ ʒ ɑ ɡ
ախպար	ɑ χ b ɑ ɾ
ախպեր	ɑ χ b e ɾ
ախտ	ɑ χ d
ախտաբան	ɑ χ d ɑ p ɑ n
ախտաբանական	ɑ χ d ɑ p ɑ n ɑ ɡ ɑ n
ախտաբանություն	ɑ χ d ɑ p ɑ n u t ʏ n
ախտանիշ	ɑ χ d ɑ n i ʃ
ախտանշան	ɑ χ d ɑ n ə ʃ ɑ n
ախտարար	ɑ χ d ɑ ɾ ɑ ɾ
ախտորոշել	ɑ χ d o ɾ o ʃ e l
ախտորոշում	ɑ χ d o ɾ o ʃ u m
ախր	ɑ χ ə ɾ
ած	ɑ d͡z
ածական	ɑ d͡z ɑ ɡ ɑ n
ածականային	ɑ d͡z ɑ ɡ ɑ n ɑ j i n
ածանց	ɑ d͡z ɑ n t͡s
ածանցել	ɑ d͡z ɑ n t͡s e l
ածանցյալ	ɑ d͡z ɑ n t͡s j ɑ l
ածել	ɑ d͡z e l
ածելի	ɑ d͡z e l i
ածեր	ɑ d͡z e ɾ
ածիլել	ɑ d͡z i l e l
ածիկ	ɑ d͡z i ɡ
ածխաթթու	ɑ d͡z χ ɑ t ə t u
ածխածին	ɑ d͡z χ ɑ d͡z i n
ածխաջուր	ɑ d͡z χ ɑ t͡ʃ u ɾ
ածու	ɑ d͡z u
ածուխ	ɑ d͡z u χ
ածք	ɑ d͡z k
ակ	ɑ ɡ
ակադեմիա	ɑ ɡ ɑ t e m i ɑ
ակադեմիկոս	ɑ ɡ ɑ t e m i ɡ o s
ակահ	ɑ ɡ ɑ h
ական	ɑ ɡ ɑ n
ականակիտ	ɑ ɡ ɑ n ɑ ɡ i d
ականանետ	ɑ ɡ ɑ n ɑ n e d
ականավոր	ɑ ɡ ɑ n ɑ v o ɾ
ականատես	ɑ ɡ ɑ n ɑ d e s
ականի	ɑ ɡ ɑ n i
ականջ	ɑ ɡ ɑ n t͡ʃ
ականջակալ	ɑ ɡ ɑ n t͡ʃ ɑ ɡ ɑ l
ականջատ	ɑ ɡ ɑ n t͡ʃ ɑ d
ականջներ	ɑ ɡ ɑ n t͡ʃ n e ɾ
ականջօղ	ɑ ɡ ɑ n t͡ʃ o ʁ
ակիշ	ɑ ɡ i ʃ
ակն	ɑ ɡ ə n
ակնաբանություն	ɑ ɡ n ɑ p ɑ n u t ʏ n
ակնաբուժություն	ɑ ɡ n ɑ p u ʒ u t ʏ n
ակնախնձոր	ɑ ɡ n ɑ χ ə n t͡s o ɾ
ակնածալի	ɑ ɡ n ɑ d͡z ɑ l i
ակնածալից	ɑ ɡ n ɑ d͡z ɑ l i t͡s
ակնածական	ɑ ɡ n ɑ d͡z ɑ ɡ ɑ n
ակնածանք	ɑ ɡ n ɑ d͡z ɑ n k
ակնածել	ɑ ɡ n ɑ d͡z e l
ակնածելի	ɑ ɡ n ɑ d͡z e l i
ակնածիածան	ɑ ɡ n ɑ d͡z i j ɑ d͡z ɑ n
ակնածոտ	ɑ ɡ n ɑ d͡z o d
ակնածու	ɑ ɡ n ɑ d͡z u
ակնածություն	ɑ ɡ n ɑ d͡z u t ʏ n
ակնակապիճ	ɑ ɡ n ɑ ɡ ɑ b i d͡ʒ
ակնաղբյուր	ɑ ɡ n ɑ χ b ʏ ɾ
ակնամոմ	ɑ ɡ n ɑ m o m
ակնային	ɑ ɡ n ɑ j i n
ակնարկ	ɑ ɡ n ɑ ɾ ɡ
ակնարկել	ɑ ɡ n ɑ ɾ ɡ e l
ակնեղեն	ɑ ɡ n e ʁ e n
ակներև	ɑ ɡ n e ɾ e v
ակներևաբար	ɑ ɡ n e ɾ e v ɑ p ɑ ɾ
ակներևապես	ɑ ɡ n e ɾ e v ɑ b e s
ակներևորեն	ɑ ɡ n e ɾ e v o ɾ e n
ակնթարթ	ɑ ɡ ə n t ɑ ɾ t
ակնկալել	ɑ ɡ ə n ɡ ɑ l e l
ակնկալիք	ɑ ɡ ə n ɡ ɑ l i k
ակնհայտ	ɑ ɡ ə n h ɑ j d
ակնհայտնի	ɑ ɡ ə n h ɑ j d n i
ակնոց	ɑ ɡ n o t͡s
ակոս	ɑ ɡ o s
ակորդեոն	ɑ ɡ o ɾ t e o n
ակութ	ɑ ɡ u t
ակումբ	ɑ ɡ u m p
ակունք	ɑ ɡ u n k
ակուշկա	ɑ k u ʃ k ɑ
ակռա	ɑ ɡ r ɑ
ակտինիում	ɑ ɡ d i n i j u m
ակտիվ	ɑ ɡ d i v
ակտիվորեն	ɑ ɡ d i v o ɾ e n
ակրոբատ	ɑ ɡ ɾ o p ɑ d
ակրոպոլիս	ɑ ɡ ɾ o b o l i s
ահ	ɑ h
ահա	ɑ h ɑ
ահաբեկ	ɑ h ɑ p e ɡ
ահաբեկել	ɑ h ɑ p e ɡ e l
ահաբեկիչ	ɑ h ɑ p e ɡ i t͡ʃ
ահաբեկություն	ɑ h ɑ p e ɡ u t ʏ n
ահաբեկում	ɑ h ɑ p e ɡ u m
ահաբեկչական	ɑ h ɑ p e k t͡ʃ ɑ ɡ ɑ n
ահաբեկչություն	ɑ h ɑ p e k t͡ʃ u t ʏ n
ահաբեկվածություն	ɑ h ɑ p e ɡ v ɑ d͡z u t ʏ n
ահաբեկվել	ɑ h ɑ p e ɡ v e l
ահաբեր	ɑ h ɑ p e ɾ
ահագին	ɑ h ɑ k i n
ահագնանալ	ɑ h ɑ k n ɑ n ɑ l
ահազանգ	ɑ h ɑ z ɑ n k
ահազանգել	ɑ h ɑ z ɑ n k e l
ահազանգում	ɑ h ɑ z ɑ n k u m
ահազարհուր	ɑ h ɑ z ɑ ɾ h u ɾ
ահազդ	ɑ h ɑ s t
ահազդեցիկ	ɑ h ɑ s t e t͡s i ɡ
ահազդիկ	ɑ h ɑ s t i ɡ
ահազդու	ɑ h ɑ s t u
ահահար	ɑ h ɑ h ɑ ɾ
ահեղ	ɑ h e ʁ
ահռելի	ɑ h r e l i
աղ	ɑ ʁ
աղա	ɑ ʁ ɑ
աղագավ	ɑ ʁ ɑ k ɑ v
աղալ	ɑ ʁ ɑ l
աղախին	ɑ ʁ ɑ χ i n
աղաղակ	ɑ ʁ ɑ ʁ ɑ ɡ
աղաղակել	ɑ ʁ ɑ ʁ ɑ ɡ e l
աղաման	ɑ ʁ ɑ m ɑ n
աղամող	ɑ ʁ ɑ m o ʁ
աղանդ	ɑ ʁ ɑ n t
աղանդավոր	ɑ ʁ ɑ n t ɑ v o ɾ
աղանդավորական	ɑ ʁ ɑ n t ɑ v o ɾ ɑ ɡ ɑ n
աղանդավորություն	ɑ ʁ ɑ n t ɑ v o ɾ u t ʏ n
աղանդեր	ɑ ʁ ɑ n t e ɾ
աղանձ	ɑ ʁ ɑ n t͡s
աղանձել	ɑ ʁ ɑ n t͡s e l
աղաչանք	ɑ ʁ ɑ t͡ʃ ɑ n k
աղաչել	ɑ ʁ ɑ t͡ʃ e l
աղավաղ	ɑ ʁ ɑ v ɑ ʁ
աղավաղել	ɑ ʁ ɑ v ɑ ʁ e l
աղավնի	ɑ ʁ ɑ v n i
աղատ	ɑ ʁ ɑ d
աղատել	ɑ ʁ ɑ d e l
աղարտել	ɑ ʁ ɑ ɾ d e l
աղաց	ɑ ʁ ɑ t͡s
աղաք	ɑ ʁ ɑ k
աղբ	ɑ χ b
աղբաման	ɑ χ b ɑ m ɑ n
աղբանոց	ɑ χ b ɑ n o t͡s
աղբարկղ	ɑ χ b ɑ ɾ ɡ ə ʁ
աղբերակ	ɑ χ b e ɾ ɑ ɡ
աղբյուս	ɑ χ b ʏ s
աղբյուր	ɑ χ b ʏ ɾ
աղբյուրակ	ɑ χ b ʏ ɾ ɑ ɡ
աղբուն	ɑ χ b u n
աղբուտ	ɑ χ b u d
աղեբեկ	ɑ ʁ e p e ɡ
աղեկ	ɑ ʁ e ɡ
աղեղ	ɑ ʁ e ʁ
աղեղնավոր	ɑ ʁ e ʁ n ɑ v o ɾ
աղետ	ɑ ʁ e d
աղերս	ɑ ʁ e ɾ s
աղերսանք	ɑ ʁ e ɾ s ɑ n k
աղերսել	ɑ ʁ e ɾ s e l
աղի	ɑ ʁ i
աղիճ	ɑ ʁ i d͡ʒ
աղիողորմ	ɑ ʁ i o ʁ o ɾ m
աղիք	ɑ ʁ i k
աղլուխ	ɑ ʁ l u χ
աղխ	ɑ χ χ
աղկաղկ	ɑ χ ɡ ɑ χ ɡ
աղճատ	ɑ ʁ d͡ʒ ɑ d
աղճատել	ɑ ʁ d͡ʒ ɑ d e l
աղմկել	ɑ ʁ m ə ɡ e l
աղմկոտ	ɑ ʁ m ə ɡ o d
աղմուկ	ɑ ʁ m u ɡ
աղյուս	ɑ ʁ ʏ s
աղյուսակ	ɑ ʁ ʏ s ɑ ɡ
աղյուսե	ɑ ʁ ʏ s e
աղյուսյակ	ɑ ʁ ʏ s j ɑ ɡ
աղոթակեր	ɑ ʁ o t ɑ ɡ e ɾ
աղոթարար	ɑ ʁ o t ɑ ɾ ɑ ɾ
աղոթել	ɑ ʁ o t e l
աղոթկեր	ɑ ʁ o t ɡ e ɾ
աղոթք	ɑ ʁ o t k
աղոտ	ɑ ʁ o d
աղորի	ɑ ʁ o ɾ i
աղորիք	ɑ ʁ o ɾ i k
աղու	ɑ ʁ u
աղուն	ɑ ʁ u n
աղունիկ	ɑ ʁ u n i ɡ
աղջամուղջ	ɑ χ t͡ʃ ɑ m u χ t͡ʃ
աղջիկ	ɑ χ t͡ʃ i ɡ
աղջություն	ɑ χ t͡ʃ u t ʏ n
աղվամազ	ɑ ʁ v ɑ m ɑ z
աղվան	ɑ ʁ v ɑ n
աղվաշ	ɑ ʁ v ɑ ʃ
աղվես	ɑ ʁ v e s
աղվեսենի	ɑ ʁ v e s e n i
աղվոր	ɑ ʁ v o ɾ
աղտ	ɑ ʁ d
աղտամուղտ	ɑ ʁ d ɑ m u ʁ d
աղտեղի	ɑ ʁ d e ʁ i
աղտոտ	ɑ χ d o d
աղտոտել	ɑ χ d o d e l
աղցան	ɑ χ t͡s ɑ n
աղքատ	ɑ χ k ɑ d
աղքատները	ɑ χ k ɑ d n e ɾ ə
աղքատություն	ɑ χ k ɑ d u t ʏ n
աճ	ɑ d͡ʒ
աճապարել	ɑ d͡ʒ ɑ b ɑ ɾ e l
աճացնել	ɑ d͡ʒ ɑ t͡s ə n e l
աճել	ɑ d͡ʒ e l
աճեմ	ɑ d͡ʒ e m
աճեցնել	ɑ d͡ʒ e t͡s ə n e l
աճիլ	ɑ d͡ʒ i l
աճյուն	ɑ d͡ʒ ʏ n
աճուկ	ɑ d͡ʒ u ɡ
աճուրդ	ɑ d͡ʒ u ɾ t
աճպարար	ɑ d͡ʒ b ɑ ɾ ɑ ɾ
աճպարարություն	ɑ d͡ʒ b ɑ ɾ ɑ ɾ u t ʏ n
աճռել	ɑ d͡ʒ ə r e l
ամ	ɑ m
ամայանալ	ɑ m ɑ j ɑ n ɑ l
ամայի	ɑ m ɑ j i
աման	ɑ m ɑ n
ամանակ	ɑ m ɑ n ɑ ɡ
ամանորյա	ɑ m ɑ n o ɾ j ɑ
ամաչել	ɑ m ɑ t͡ʃ e l
ամաչկոտ	ɑ m ɑ t͡ʃ ɡ o d
ամառ	ɑ m ɑ r
ամառային	ɑ m ɑ r ɑ j i n
ամառանոց	ɑ m ɑ r ɑ n o t͡s
ամարաստան	ɑ m ɑ ɾ ɑ s d ɑ n
ամբաստանել	ɑ m p ɑ s d ɑ n e l
ամբաստանյալ	ɑ m p ɑ s d ɑ n j ɑ l
ամբաստանք	ɑ m p ɑ s d ɑ n k
ամբար	ɑ m p ɑ ɾ
ամբարիշտ	ɑ m p ɑ ɾ i ʃ d
ամբարհավաճություն	ɑ m p ɑ ɾ h ɑ v ɑ d͡ʒ u t ʏ n
ամբարտակ	ɑ m p ɑ ɾ d ɑ ɡ
ամբարտավան	ɑ m p ɑ ɾ d ɑ v ɑ n
ամբարտավանական	ɑ m p ɑ ɾ d ɑ v ɑ n ɑ ɡ ɑ n
ամբարտավանանալ	ɑ m p ɑ ɾ d ɑ v ɑ n ɑ n ɑ l
ամբարտավանել	ɑ m p ɑ ɾ d ɑ v ɑ n e l
ամբարտավանորեն	ɑ m p ɑ ɾ d ɑ v ɑ n o ɾ e n
ամբարտավանություն	ɑ m p ɑ ɾ d ɑ v ɑ n u t ʏ n
ամբիոն	ɑ m p i o n
ամբիցիոզ	ɑ m p i t͡s i o z
ամբոխ	ɑ m p o χ
ամբողջ	ɑ m p o χ t͡ʃ
ամբողջություն	ɑ m p o χ t͡ʃ u t ʏ n
ամեհի	ɑ m e h i
ամեն	ɑ m e n
ամենաբարձր	ɑ m e n ɑ p ɑ ɾ t͡s ə ɾ
ամենագետ	ɑ m e n ɑ k e d
ամենազոր	ɑ m e n ɑ z o ɾ
ամենալավ	ɑ m e n ɑ l ɑ v
ամենակալ	ɑ m e n ɑ ɡ ɑ l
ամենամեծ	ɑ m e n ɑ m e d͡z
ամենայն	ɑ m e n ɑ j n
ամենուր	ɑ m e n u ɾ
ամենուրեք	ɑ m e n u ɾ e k
ամենևին	ɑ m e n e v i n
ամեոբա	ɑ m e o p ɑ
ամերիկական	ɑ m e ɾ i ɡ ɑ ɡ ɑ n
ամերիկահայ	ɑ m e ɾ i ɡ ɑ h ɑ j
ամերիկացի	ɑ m e ɾ i ɡ ɑ t͡s i
ամերիկյան	ɑ m e ɾ i ɡ j ɑ n
ամերիկուհի	ɑ m e ɾ i ɡ u h i
ամերիցիում	ɑ m e ɾ i t͡s i j u m
ամիկ	ɑ m i ɡ
ամիճ	ɑ m i d͡ʒ
ամիս	ɑ m i s
ամիրա	ɑ m i ɾ ɑ
ամիրսպասալար	ɑ m i ɾ s b ɑ s ɑ l ɑ ɾ
ամհարերեն	ɑ m h ɑ ɾ e ɾ e n
ամմեն	ɑ m m e n
ամնիստիա	ɑ m n i s d i ɑ
ամոթ	ɑ m o t
ամոթույք	ɑ m o t u j k
ամոլ	ɑ m o l
ամորձակալ	ɑ m o ɾ t͡s ɑ ɡ ɑ l
ամորձապարկ	ɑ m o ɾ t͡s ɑ b ɑ ɾ ɡ
ամորձատել	ɑ m o ɾ t͡s ɑ d e l
ամորձի	ɑ m o ɾ t͡s i
ամորձիք	ɑ m o ɾ t͡s i k
ամուլ	ɑ m u l
ամուսին	ɑ m u s i n
ամուսնալուծություն	ɑ m u s n ɑ l u d͡z u t ʏ n
ամուսնանալ	ɑ m u s n ɑ n ɑ l
ամուսնացած	ɑ m u s n ɑ t͡s ɑ d͡z
ամուսնացնել	ɑ m u s n ɑ t͡s ə n e l
ամուսնություն	ɑ m u s n u t ʏ n
ամուր	ɑ m u ɾ
ամուրի	ɑ m u ɾ i
ամոք	ɑ m o k
ամպ	ɑ m b
ամպար	ɑ m b ɑ ɾ
ամպել	ɑ m b e l
ամպեղեն	ɑ m b e ʁ e n
ամպեր	ɑ m b e ɾ
ամպրոպ	ɑ m b ɾ o b
ամսագիր	ɑ m s ɑ k i ɾ
ամսական	ɑ m s ɑ ɡ ɑ n
ամսեկան	ɑ m s e ɡ ɑ n
ամրագոտի	ɑ m ɾ ɑ k o d i
ամրագրվել	ɑ m ɾ ɑ k ə ɾ v e l
ամրածածուկ	ɑ m ɾ ɑ d͡z ɑ d͡z u ɡ
ամրակ	ɑ m ɾ ɑ ɡ
ամրակազմ	ɑ m ɾ ɑ ɡ ɑ z m
ամրան	ɑ m ɾ ɑ n
ամրապնդում	ɑ m ɾ ɑ b ə n t u m
ամրոց	ɑ m ɾ o t͡s
ամփոփել	ɑ m p o p e l
ամփոփում	ɑ m p o p u m
այբ	ɑ j p
այբբենարան	ɑ j p p e n ɑ ɾ ɑ n
այբուբեն	ɑ j p u p e n
այգ	ɑ j k
այգաբաց	ɑ j k ɑ p ɑ t͡s
այգեպան	ɑ j k e b ɑ n
այգեստան	ɑ j k e s d ɑ n
այգեվետ	ɑ j k e v e d
այգի	ɑ j k i
այդ	ɑ j t
այդուհանդերձ	ɑ j t u h ɑ n t e ɾ t͡s
այդպես	ɑ j t b e s
այդտեղ	ɑ j t d e ʁ
այդքան	ɑ j t k ɑ n
այժմ	ɑ j ʒ ə m
այժմիկ	ɑ j ʒ ə m i ɡ
այժմու	ɑ j ʒ ə m u
այլ	ɑ j l
այլախոհ	ɑ j l ɑ χ o h
այլանդակություն	ɑ j l ɑ n t ɑ ɡ u t ʏ n
այլասիրական	ɑ j l ɑ s i ɾ ɑ ɡ ɑ n
այլատյաց	ɑ j l ɑ d j ɑ t͡s
այլատյացություն	ɑ j l ɑ d j ɑ t͡s u t ʏ n
այլափառ	ɑ j l ɑ p ɑ r
այլընտրանք	ɑ j l ə n d ɾ ɑ n k
այլընտրանքային	ɑ j l ə n d ɾ ɑ n k ɑ j i n
այլմոլորակային	ɑ j l m o l o ɾ ɑ ɡ ɑ j i n
այլոց	ɑ j l o t͡s
այլոք	ɑ j l o k
այլք	ɑ j l k
այլևայլ	ɑ j l e v ɑ j l
այլևայլություն	ɑ j l e v ɑ j l u t ʏ n
այլևս	ɑ j l e v ə s
այծ	ɑ j d͡z
այծենի	ɑ j d͡z e n i
այծիկ	ɑ j d͡z i ɡ
այծյա	ɑ j d͡z j ɑ
այծյամ	ɑ j d͡z j ɑ m
այծքաղ	ɑ j t͡s k ɑ ʁ
այմարա	ɑ j m ɑ ɾ ɑ
այն	ɑ j n
այնուամենայնիվ	ɑ j n u ɑ m e n ɑ j n i v
այնուհետև	ɑ j n u h e d e v
այնպես	ɑ j n b e s
այնպիսի	ɑ j n b i s i
այնտեղ	ɑ j n d e ʁ
այնքան	ɑ j n k ɑ n
այո	ɑ j o
այս	ɑ j s
այսբերգ	ɑ j s p e ɾ k
այսինքն	ɑ j s i n k ə n
այսու	ɑ j s u
այսուամենայնիվ	ɑ j s u ɑ m e n ɑ j n i v
այսուհանդերձ	ɑ j s u h ɑ n t e ɾ t͡s
այսուհետ	ɑ j s u h e d
այսուհետև	ɑ j s u h e d e v
այսպես	ɑ j s b e s
այստեղ	ɑ j s d e ʁ
այստեղացի	ɑ j s d e ʁ ɑ t͡s i
այսրկովկասյան	ɑ j s ə ɾ ɡ o f ɡ ɑ s j ɑ n
այսքան	ɑ j s k ɑ n
այսօր	ɑ j s o ɾ
այտ	ɑ j d
այտամորուք	ɑ j d ɑ m o ɾ u k
այտուց	ɑ j d u t͡s
այր	ɑ j ɾ
այրան	ɑ j ɾ ɑ n
այրացի	ɑ j ɾ ɑ t͡s i
այրել	ɑ j ɾ e l
այրի	ɑ j ɾ i
այրուկ	ɑ j ɾ u ɡ
այրուձի	ɑ j ɾ u t͡s i
այրուք	ɑ j ɾ u k
այրվել	ɑ j ɾ v e l
այց	ɑ j t͡s
այցելել	ɑ j t͡s e l e l
այցելություն	ɑ j t͡s e l u t ʏ n
այցեքարտ	ɑ j t͡s e k ɑ ɾ d
ան	ɑ n
անագ	ɑ n ɑ k
անագան	ɑ n ɑ k ɑ n
անագապղինձ	ɑ n ɑ k ɑ b ə ʁ i n t͡s
անագորույն	ɑ n ɑ k o ɾ u j n
անազատություն	ɑ n ɑ z ɑ d u t ʏ n
անազնիվ	ɑ n ɑ z n i v
անալի	ɑ n ɑ l i
անախորժ	ɑ n ɑ χ o ɾ ʒ
անակնկալ	ɑ n ɑ ɡ ə n ɡ ɑ l
անաղարտ	ɑ n ɑ ʁ ɑ ɾ d
անաղի	ɑ n ɑ ʁ i
անամոթություն	ɑ n ɑ m o t u t ʏ n
անամոք	ɑ n ɑ m o k
անանաս	ɑ n ɑ n ɑ s
անանկ	ɑ n ɑ n ɡ
անանուխ	ɑ n ɑ n u χ
անանցողական	ɑ n ɑ n t͡s o ʁ ɑ ɡ ɑ n
անապատ	ɑ n ɑ b ɑ d
անապատական	ɑ n ɑ b ɑ d ɑ ɡ ɑ n
անապեստ	ɑ n ɑ b e s d
անառիկ	ɑ n ɑ r i ɡ
անասնաբույժ	ɑ n ɑ s n ɑ p u j ʒ
անասուն	ɑ n ɑ s u n
անատակ	ɑ n ɑ d ɑ ɡ
անատոլիական	ɑ n ɑ d o l i ɑ ɡ ɑ n
անատոմիա	ɑ n ɑ d o m i ɑ
անարատ	ɑ n ɑ ɾ ɑ d
անարդար	ɑ n ɑ ɾ t ɑ ɾ
անարդարություն	ɑ n ɑ ɾ t ɑ ɾ u t ʏ n
անարի	ɑ n ɑ ɾ i
անարխիզմ	ɑ n ɑ ɾ χ i z m
անբան	ɑ n p ɑ n
անբարյացակամ	ɑ n p ɑ ɾ j ɑ t͡s ɑ ɡ ɑ m
անբարյացկամ	ɑ n p ɑ ɾ j ɑ t͡s ɡ ɑ m
անբարոյական	ɑ n p ɑ ɾ o j ɑ ɡ ɑ n
անբիծ	ɑ n p i d͡z
անբնակ	ɑ n p ə n ɑ ɡ
անբովանդակ	ɑ n p o v ɑ n t ɑ ɡ
անգ	ɑ n k
անգամ	ɑ n k ɑ m
անգեղ	ɑ n k e ʁ
անգի	ɑ n k i
անգինա	ɑ n k i n ɑ
անգիր	ɑ n k i ɾ
անգլերեն	ɑ n k l e ɾ e n
անգլիական	ɑ n k l i j ɑ ɡ ɑ n
անգլիացի	ɑ n k l i j ɑ t͡s i
անգլոսաքսոներեն	ɑ n k l o s ɑ k s o n e ɾ e n
անգլուհի	ɑ n k l u h i
անգղ	ɑ n k ə ʁ
անգյալ	ɑ n k j ɑ l
անգնահատելի	ɑ n k ə n ɑ h ɑ d e l i
անգործ	ɑ n k o ɾ d͡z
անգործածելի	ɑ n k o ɾ d͡z ɑ d͡z e l i
անգործություն	ɑ n k o ɾ d͡z u t ʏ n
անգրագետ	ɑ n k ə ɾ ɑ k e d
անգրագետ	ɑ n k ɾ ɑ k e d
անդ	ɑ n t
անդադար	ɑ n t ɑ t ɑ ɾ
անդամ	ɑ n t ɑ m
անդամալուծել	ɑ n t ɑ m ɑ l u d͡z e l
անդամալուծություն	ɑ n t ɑ m ɑ l u d͡z u t ʏ n
անդամալուծվել	ɑ n t ɑ m ɑ l u d͡z v e l
անդամալույծ	ɑ n t ɑ m ɑ l u j d͡z
անդամակից	ɑ n t ɑ m ɑ ɡ i t͡s
անդամահատել	ɑ n t ɑ m ɑ h ɑ d e l
անդամահատություն	ɑ n t ɑ m ɑ h ɑ d u t ʏ n
անդամահատում	ɑ n t ɑ m ɑ h ɑ d u m
անդամահատվել	ɑ n t ɑ m ɑ h ɑ d v e l
անդամություն	ɑ n t ɑ m u t ʏ n
անդառնալիորեն	ɑ n t ɑ r n ɑ l i o ɾ e n
անդաստակ	ɑ n t ɑ s d ɑ ɡ
անդաստան	ɑ n t ɑ s d ɑ n
անդեորդ	ɑ n t e o ɾ t
անդիորդ	ɑ n t i j o ɾ t
անդյա	ɑ n t j ɑ
անդոհական	ɑ n t o h ɑ ɡ ɑ n
անդորր	ɑ n t o ɾ ɾ
անդորրագիր	ɑ n t o ɾ ɾ ɑ k i ɾ
անդուլ	ɑ n t u l
անդունդ	ɑ n t u n t
անդունդք	ɑ n t u n t k
անդրադառնալ	ɑ n t ɾ ɑ t ɑ r n ɑ l
անդրանիկ	ɑ n t ɾ ɑ n i ɡ
անդրավարտիք	ɑ n t ɾ ɑ v ɑ ɾ d i k
անդրի	ɑ n t ɾ i
անդրկովկասյան	ɑ n t ə ɾ ɡ o f ɡ ɑ s j ɑ n
անդրկովկասցի	ɑ n t ə ɾ ɡ o f ɡ ɑ s t͡s i
անդրշիրիմյան	ɑ n t ə ɾ ʃ i ɾ i m j ɑ n
անդրուար	ɑ n t ɾ u ɑ ɾ
անդրուվար	ɑ n t ɾ u v ɑ ɾ
անդրջրհեղեղյան	ɑ n t ə ɾ t͡ʃ ə ɾ h e ʁ e ʁ j ɑ n
անեզական	ɑ n e z ɑ ɡ ɑ n
անել	ɑ n e l
անելիք	ɑ n e l i k
անեծք	ɑ n e d͡z k
անեկդոտ	ɑ n e k t o d
աներ	ɑ n e ɾ
աներկյուղ	ɑ n e ɾ ɡ ʏ ʁ
աներկյուղաբար	ɑ n e ɾ ɡ ʏ ʁ ɑ p ɑ ɾ
աներկյուղանալ	ɑ n e ɾ ɡ ʏ ʁ ɑ n ɑ l
աներկյուղորեն	ɑ n e ɾ ɡ ʏ ʁ o ɾ e n
աներկյուղություն	ɑ n e ɾ ɡ ʏ ʁ u t ʏ n
աներձագ	ɑ n e ɾ t͡s ɑ k
աներորդի	ɑ n e ɾ o ɾ t i
անզգայաբար	ɑ n ə s k ɑ j ɑ p ɑ ɾ
անզգայանալ	ɑ n ə s k ɑ j ɑ n ɑ l
անզգայացնել	ɑ n ə s k ɑ j ɑ t͡s ə n e l
անզգայացում	ɑ n ə s k ɑ j ɑ t͡s u m
անզգայացուցիչ	ɑ n ə s k ɑ j ɑ t͡s u t͡s i t͡ʃ
անզգայացվել	ɑ n ə s k ɑ j ɑ t͡s v e l
անզգայորեն	ɑ n ə s k ɑ j o ɾ e n
անզգայություն	ɑ n ə s k ɑ j u t ʏ n
անզոր	ɑ n z o ɾ
անընդհատ	ɑ n ə n t h ɑ d
անընդհատ	ɑ n ə n t ɑ d
անընդունելի	ɑ n ə n t u n e l i
անթ	ɑ n t
անթայր	ɑ n t ɑ j ɾ
անթառամ	ɑ n t ɑ r ɑ m
անթարշամ	ɑ n t ɑ ɾ ʃ ɑ m
անթացուպ	ɑ n t ɑ t͡s u b
անթեղ	ɑ n t e ʁ
անթերի	ɑ n t e ɾ i
անթրոպոմորֆիզմ	ɑ n t ɾ o b o m o ɾ f i z m
անթև	ɑ n t e v
անթևուկ	ɑ n t e v u ɡ
անժաժ	ɑ n ʒ ɑ ʒ
անժուացի	ɑ n ʒ u ɑ t͡s i
անիծ	ɑ n i d͡z
անիծել	ɑ n i d͡z e l
անիծյալ	ɑ n i d͡z j ɑ l
անիմաստ	ɑ n i m ɑ s d
անիշխանություն	ɑ n i ʃ χ ɑ n u t ʏ n
անիոն	ɑ n i j o n
անիսոն	ɑ n i s o n
անիվ	ɑ n i v
անիրավ	ɑ n i ɾ ɑ v
անլուծելի	ɑ n l u d͡z e l i
անխելք	ɑ n χ e l k
անխնա	ɑ n χ ə n ɑ
անծանոթ	ɑ n d͡z ɑ n o t
անկախ	ɑ n ɡ ɑ χ
անկախանալ	ɑ n ɡ ɑ χ ɑ n ɑ l
անկախություն	ɑ n ɡ ɑ χ u t ʏ n
անկած	ɑ n ɡ ɑ d͡z
անկանել	ɑ n ɡ ɑ n e l
անկանոն	ɑ n ɡ ɑ n o n
անկաշկանդ	ɑ n ɡ ɑ ʃ ɡ ɑ n t
անկասկած	ɑ n ɡ ɑ s ɡ ɑ d͡z
անկարելի	ɑ n ɡ ɑ ɾ e l i
