అ	ɐ
మెదడు	m ɛ d̪ ɐ ɖ ʊ
మెరచు	m ɛ ɾ ɐ t͡ɕ ʊ
మెరుగు	m ɛ ɾ ʊ ɡ ʊ
మెరుచు	m ɛ ɾ ʊ t͡ɕ ʊ
మెరుపు	m ɛ ɾ ʊ p ʊ
మెలి	m e l̪ i
మెల్ల	m e l̪ː a
మే	m eː
మేక	m eː k a
మేజా	m eː d͡ʑ aː
మేనత్త	m eː n a tː a
మేను	m eː n̪ ʊ
మేమరువు	m eː m ɐ ɾ ʊ ʋ ʊ
మేము	m eː m ʊ
మేయం	m eː j ɐ m̃
మేయము	m eː j ɐ m ʊ
మేయు	m eː j ʊ
మేరీ	m eː ɾ iː
మేలిమి	m eː l ɪ m ɪ
మేలు	m eː l ʊ
మేస్త్రి	m eː s t̪ ɾ ɪ
మై	m ɐ ɪ̯
మైక్రోలీటరు	m ɐ ɪ̯ k ɾ oː l iː ʈ ɐ ɾ ʊ
మైత్రి	m a i t r i
మైనం	m ɐ ɪ̯ n̪ ɐ m̃
మైనము	m ɐ ɪ̯ n̪ ɐ m ʊ
మైనా	m ɐ ɪ̯ n̪ aː
మొండి	m ɔ ɳ ɖ ɪ
మొక్క	m o kː a
మొక్కజొన్న	m ɔ kː ɐ d͡ʑ ɔ n̪ n̪ ɐ
మొక్కు	m o kː u
మొగుడు	m ɔ ɡ ʊ ɖ ʊ
మొడ్డ	m o ɖː a
మొత్తం	m ɔ t̪ː ɐ m̃
మొత్తము	m ɔ t̪ː ɐ m ʊ
మొత్తముగా	m ɔ t̪ː ɐ m ʊ ɡ aː
మొదటి	m ɔ d̪ ɐ ʈ ɪ
మొదలు	m ɔ d̪ ɐ l ʊ
మొదవు	m ɔ d̪ ɐ ʋ ʊ
మొదవులు	m ɔ d̪ ɐ ʋ ʊ l ʊ
మొన	m ɔ n̪ ɐ
మొనగాడు	m ɔ n̪ ɐ ɡ aː ɖ ʊ
మొనచన్ను	m ɔ n̪ ɐ t͡ɕ ɐ n̪ n̪ ʊ
మొన్న	m ɔ n̪ n̪ ɐ
మొప్ప	m o pː a
మొలక	m ɔ l ɐ k ɐ
మొలకత్తి	m ɔ l ɐ k ɐ t̪ː ɪ
మొలకలు	m ɔ l ɐ k ɐ l ʊ
మొలచు	m ɔ l ɐ t͡ɕ ʊ
మోకాలు	m oː k aː l ʊ
మోకు	m oː k ʊ
మోచెయి	m oː t͡ɕ ɛ j ɪ
మోచెయ్యి	m oː t͡ɕ ɛ jː ɪ
మోచేయి	m oː t͡ɕ eː j ɪ
మోవి	m oː ʋ ɪ
మౌని	m ɐ ʊ̯ n̪ ɪ
మౌనులు	m ɐ ʊ̯ n̪ ʊ l ʊ
మ్రాను	m ɾ aː n̪ ʊ
మ్రుచ్చు	m ɾ ʊ t͡ɕː ʊ
మ్రొక్కు	m r o kː u
య	j a
యజనము	j ɐ d͡ʑ ɐ n̪ ɐ m ʊ
యజమాని	j ɐ d͡ʑ ɐ m aː n̪ ɪ
యాభై	j aː bʱ ɐ ɪ̯
యొక్క	j o kː a
యోని	j oː n̪ ɪ
రంధ్రము	ɾ ɐ n̪ d̪ʱ ɾ ɐ m ʊ
రకము	ɾ ɐ k ɐ m ʊ
రకములు	ɾ ɐ k ɐ m ʊ l ʊ
రక్త	ɾ ɐ k t̪ ɐ
రక్తం	ɾ ɐ k t̪ ɐ m̃
రక్తదానం	ɾ ɐ k t̪ ɐ d̪ aː n̪ ɐ m̃
రక్తదానము	ɾ ɐ k t̪ ɐ d̪ aː n̪ ɐ m ʊ
రక్తము	ɾ ɐ k t̪ ɐ m ʊ
రక్తి	ɾ ɐ k t̪ ɪ
రచయిత	ɾ ɐ t͡ɕ ɐ j ɪ t̪ ɐ
రచయిత్రి	ɾ ɐ t͡ɕ ɐ j ɪ t̪ ɾ ɪ
రజతాద్రి	ɾ ɐ d͡ʑ ɐ t̪ aː d̪ ɾ ɪ
రట్టు	r̪ a ʈː u
రథము	ɾ ɐ t̪ʰ ɐ m ʊ
రమణి	r a m a ɳ i
రయం	ɾ ɐ j ɐ m̃
రయము	ɾ ɐ j ɐ m ʊ
రయితు	ɾ ɐ j ɪ t̪ ʊ
రవి	ɾ ɐ ʋ ɪ
రసీదు	ɾ ɐ s iː d̪ ʊ
రహదారి	ɾ ɐ h ɐ d̪ aː ɾ ɪ
రహదారులు	ɾ ɐ h ɐ d̪ aː ɾ ʊ l ʊ
రహస్యము	ɾ ɐ h ɐ s j ɐ m ʊ
రాక	ɾ aː k ɐ
రాకుమారి	r aː k u m aː r i
రాగి	ɾ aː ɡ ɪ
రాజమహేంద్రవరం	ɾ aː d͡ʑ ɐ m ɐ h eː n̪ d̪ ɾ ɐ ʋ ɐ ɾ ɐ m̃
రాజీ	ɾ aː d͡ʑ iː
రాజీనామా	ɾ aː d͡ʑ iː n̪ aː m aː
రాజు	r aː d ʒ u
రాజ్యము	r aː d ʒ a m u
రాతి	ɾ aː t̪ ɪ
రాతిగానుగ	ɾ aː t̪ ɪ ɡ aː n̪ ʊ ɡ ɐ
రాతిరి	ɾ aː t̪ ɪ ɾ ɪ
రాత్రి	ɾ aː t̪ ɾ ɪ
రాబడి	ɾ aː b ɐ ɖ ɪ
రాయడు	ɾ aː j a ɖ u
రాయి	ɾ aː j ɪ
రాయు	ɾ aː j ʊ
రాయుడు	ɾ aː j u ɖ u
రావి	ɾ aː ʋ ɪ
రావియాకు	ɾ aː ʋ ɪ j aː k ʊ
రాశి	ɾ aː ɕ ɪ
రిక్క	ɾ ɪ kː ɐ
రీతి	r iː t i
రుద్దు	ɾ ʊ d̪ː ʊ
రువ్వు	r u ʋː u
రుసుము	ɾ ʊ s ʊ m ʊ
రెక్క	ɾ ɛ kː ɐ
రెట్ట	ɾ ɛ ʈː ɐ
రెట్టించు	ɾ ɛ ʈː ɪ ɲ t͡ɕ ʊ
రెడ్డి	ɾ ɛ ɖː ɪ
రెడ్లు	ɾ ɛ ɖ l ʊ
రెప్ప	r e pː a
రే	ɾ eː
రేకు	r eː k u
రేడియో	ɾ eː ɖ ɪ j oː
రేడియోసినిమా	ɾ eː ɖ ɪ j oː s ɪ n̪ ɪ m aː
రేడు	ɾ eː ɖ ʊ
రేపు	ɾ eː p ʊ
రేయి	ɾ eː j ɪ
రేరాజు	ɾ eː ɾ aː d͡ʑ ʊ
రేరాయడు	ɾ eː ɾ aː j ɐ ɖ ʊ
రేరేడు	ɾ eː ɾ eː ɖ ʊ
రైతు	ɾ ɐ ɪ̯ t̪ ʊ
రొక్కం	ɾ ɔ kː ɐ m̃
రొక్కము	ɾ ɔ kː ɐ m ʊ
రొమ్ము	ɾ ɔ mː ʊ
రొమ్ముఎముక	ɾ ɔ mː ʊ ɛ m ʊ k ɐ
రొమ్మునొప్పి	ɾ ɔ mː ʊ n̪ ɔ pː ɪ
రోజు	r oː d ʒ u
రోడ్డు	ɾ oː ɖː ʊ
రోహిణి	r oː x i ɳ i
రౌతు	ɾ ɐ ʊ̯ t̪ ʊ
ర్యా	ɾ j aː
ఱ	r
ఱ	r a
ఱెక్క	r ɛ kː ɐ
లంచము	l a ɳ t ʃ a m u
లంజ	l ɐ ɲ d͡ʑ ɐ
లక్క	l a kː a
లక్ష	l ɐ k ʂ ɐ
లక్ష్మి	l ɐ k ʂ m ɪ
లక్ష్యము	l ɐ k ʂ j ɐ m ʊ
లచ్చి	l ɐ t͡ɕː ɪ
లద్ది	l ɐ d̪ː ɪ
లద్దె	l ɐ d̪ː ɛ
లలాటము	l ɐ l aː ʈ ɐ m ʊ
లాఘవము	l aː ɡʱ ɐ ʋ ɐ m ʊ
లారీ	l aː ɾ iː
లాలాజలము	l aː l aː d͡ʑ ɐ l ɐ m ʊ
లావు	l aː ʋ ʊ
లిక్కి	l ɪ kː ɪ
లిఫాఫా	l ɪ pʰ aː pʰ aː
లీటరు	l iː ʈ ɐ ɾ ʊ
లెంక	l ɛ ŋ k ɐ
లెక్క	l ɛ kː ɐ
లెక్కపెట్టు	l ɛ kː ɐ p ɛ ʈː ʊ
లెక్కల	l ɛ kː ɐ l ɐ
లెక్కలు	l ɛ kː ɐ l ʊ
లెక్కించు	l ɛ kː ɪ ɲ t͡ɕ ʊ
లేక	l eː k ɐ
లేఖిని	l eː kʰ i n i
లేగ	l̪ eː ɡ a
లేచు	l eː t͡ɕ ʊ
లేదు	l eː d̪ ʊ
లో	l oː
లోకం	l oː k ɐ m̃
లోకకథ	l oː k ɐ k ɐ t̪ʰ ɐ
లోకము	l oː k ɐ m ʊ
లోకములు	l oː k ɐ m ʊ l ʊ
లోకోక్తి	l oː k oː k t̪ ɪ
లోతు	l oː t̪ ʊ
లోవ	l oː ʋ ɐ
ళ	ɭ
ఴ	ɻ
ఴ	ɻ a
వంకాయ	ʋ ɐ ŋ k aː j ɐ
వంగ	ʋ ɐ ŋ ɡ ɐ
వంట	ʋ ɐ ɳ ʈ ɐ
వంతుడు	ʋ ɐ n̪ t̪ ʊ ɖ ʊ
వక్షోజము	ʋ ɐ k ʂ oː d͡ʑ ɐ m ʊ
వచ్చిన	ʋ ɐ t͡ɕː ɪ n̪ ɐ
వచ్చు	ʋ ɐ t͡ɕː ʊ
వచ్చుబడి	ʋ ɐ t͡ɕː ʊ b ɐ ɖ ɪ
వడ	ʋ ɐ ɖ ɐ
వడకు	ʋ ɐ ɖ ɐ k ʊ
వడకుకొండ	ʋ ɐ ɖ ɐ k ʊ k ɔ ɳ ɖ ɐ
వడకుగుబ్బలి	ʋ ɐ ɖ ɐ k ʊ ɡ ʊ bː ɐ l ɪ
వడమాల	ʋ ɐ ɖ ɐ m aː l ɐ
వడ్లు	ʋ ɐ ɖ l ʊ
వదిన	ʋ ɐ d̪ ɪ n̪ ɐ
వదినె	ʋ ɐ d̪ ɪ n̪ ɛ
వద్ద	ʋ ɐ d̪ː ɐ
వధించు	ʋ ɐ d̪ʱ ɪ ɲ t͡ɕ ʊ
వధింౘు	ʋ ɐ d̪ʱ ɪ n̪ t͡s ʊ
వధువు	ʋ ɐ d̪ʱ ʊ ʋ ʊ
వనం	ʋ ɐ n̪ ɐ m̃
వనమాల	ʋ ɐ n̪ ɐ m aː l ɐ
వనము	ʋ ɐ n̪ ɐ m ʊ
వనములు	ʋ ɐ n̪ ɐ m ʊ l ʊ
వనవాసము	ʋ ɐ n̪ ɐ ʋ aː s ɐ m ʊ
వనాలు	ʋ ɐ n̪ aː l ʊ
వన్నె	ʋ ɐ n̪ n̪ ɛ
వన్నెలు	ʋ ɐ n̪ n̪ ɛ l ʊ
వయా	ʋ ɐ j aː
వరస	ʋ ɐ ɾ ɐ s ɐ
వరుడు	ʋ ɐ ɾ ʊ ɖ ʊ
వరుస	ʋ ɐ ɾ ʊ s ɐ
వర్ణమాల	ʋ ɐ ɾ ɳ ɐ m aː l ɐ
వర్ణము	ʋ ɐ ɾ ɳ ɐ m ʊ
వర్షం	ʋ ɐ ɾ ʂ ɐ m̃
వర్షము	ʋ ɐ ɾ ʂ ɐ m ʊ
వర్షాకాలము	ʋ ɐ ɾ ʂ aː k aː l ɐ m ʊ
వల	ʋ ɐ l ɐ
వలకడ	ʋ ɐ l ɐ k ɐ ɖ ɐ
వలచు	ʋ ɐ l ɐ t͡ɕ ʊ
వలపించు	ʋ ɐ l ɐ p ɪ ɲ t͡ɕ ʊ
వలపు	ʋ ɐ l ɐ p ʊ
వలలు	ʋ ɐ l ɐ l ʊ
వలువ	ʋ ɐ l ʊ ʋ ɐ
వళి	ʋ ɐ ɭ ɪ
వసంతం	ʋ ɐ s ɐ n̪ t̪ ɐ m̃
వసంతము	ʋ ɐ s ɐ n̪ t̪ ɐ m ʊ
వసతి	ʋ ɐ s ɐ t̪ ɪ
వసతులు	ʋ ɐ s ɐ t̪ ʊ l ʊ
వసారా	ʋ ɐ s aː ɾ aː
వస్తువు	ʋ ɐ s t̪ ʊ ʋ ʊ
వా	ʋ aː
వాఁగు	ʋ aː ɡ ʊ
వాఁడు	ʋ aː ɖ ʊ
వాకిటి	ʋ aː k ɪ ʈ ɪ
వాకిటిలెంక	ʋ aː k ɪ ʈ ɪ l ɛ ŋ k ɐ
వాకిలి	ʋ aː k ɪ l ɪ
వాగు	ʋ aː ɡ ʊ
వాచచ్చిననాడు	ʋ aː t͡ɕ ɐ t͡ɕː ɪ n̪ ɐ n̪ aː ɖ ʊ
వాచవి	ʋ aː t͡ɕ ɐ ʋ ɪ
వాచు	ʋ aː t͡ɕ ʊ
వాచుట	ʋ aː t͡ɕ ʊ ʈ ɐ
వాటం	ʋ aː ʈ ɐ m̃
వాటము	ʋ aː ʈ ɐ m ʊ
వాడ	ʋ aː ɖ ɐ
వాడకట్టు	ʋ aː ɖ ɐ k ɐ ʈː ʊ
వాడవదినె	ʋ aː ɖ ɐ ʋ ɐ d̪ ɪ n̪ ɛ
వాడి	ʋ aː ɖ ɪ
వాడు	ʋ aː ɖ ʊ
వాడుక	ʋ aː ɖ ʊ k ɐ
వాణి	ʋ aː ɳ i
వాతెర	ʋ aː t̪ ɛ ɾ ɐ
వాద్యం	ʋ aː d̪ j ɐ m̃
వాద్యము	ʋ aː d̪ j ɐ m ʊ
వాన	ʋ aː n̪ ɐ
వానకారు	ʋ aː n̪ ɐ k aː ɾ ʊ
వానకాలం	ʋ aː n̪ ɐ k aː l ɐ m̃
వానకాలము	ʋ aː n̪ ɐ k aː l ɐ m ʊ
వానచినుకు	ʋ aː n̪ ɐ t͡ɕ ɪ n̪ ʊ k ʊ
వానతరి	ʋ aː n̪ ɐ t̪ ɐ ɾ ɪ
వానపాము	ʋ aː n̪ ɐ p aː m ʊ
వానరాయి	ʋ aː n̪ ɐ ɾ aː j ɪ
వానలు	ʋ aː n̪ ɐ l ʊ
వాపు	ʋ aː p ʊ
వాయవ్యము	ʋ aː j ɐ ʋ j ɐ m ʊ
వాయవ్యమూల	ʋ aː j ɐ ʋ j ɐ m uː l ɐ
వాయి	ʋ aː j ɪ
వారు	ʋ aː ɾ ʊ
వార్త	ʋ aː ɾ t̪ ɐ
వార్పు	v a aː r p u
వాలం	ʋ aː l ɐ m̃
వాలము	ʋ aː l ɐ m ʊ
వాలి	ʋ aː l ɪ
వాలు	ʋ aː l ʊ
వాలుకుర్చీ	ʋ aː l ʊ k ʊ ɾ t͡ɕ iː
వాసంతి	ʋ aː s ɐ n̪ t̪ ɪ
వాసన	ʋ aː s ɐ n̪ ɐ
వాసనచూచు	ʋ aː s ɐ n̪ ɐ t͡ɕ uː t͡ɕ ʊ
వికృతి	ʋ ɪ k ɻ̍ t̪ ɪ
విజయవాడ	ʋ ɪ d͡ʑ ɐ j ɐ ʋ aː ɖ ɐ
విజ్ఞానము	ʋ ɪ d͡ʑ ɲ aː n̪ ɐ m ʊ
విటపి	ʋ ɪ ʈ ɐ p ɪ
విడదీయు	ʋ ɪ ɖ ɐ d̪ iː j ʊ
విడు	ʋ ɪ ɖ ʊ
విడుదల	ʋ ɪ ɖ ʊ d̪ ɐ l ɐ
విదియ	ʋ ɪ d̪ ɪ j ɐ
విద్య	ʋ ɪ d̪ j ɐ
విద్యలు	ʋ ɪ d̪ j ɐ l ʊ
విద్యాదేవి	ʋ ɪ d̪ j aː d̪ eː ʋ ɪ
విద్యాధనము	ʋ ɪ d̪ j aː d̪ʱ ɐ n̪ ɐ m ʊ
విద్యాధరుడు	ʋ ɪ d̪ j aː d̪ʱ ɐ ɾ ʊ ɖ ʊ
విద్యార్థి	ʋ ɪ d̪ j aː ɾ t̪ʰ ɪ
విద్యార్థులు	ʋ ɪ d̪ j aː ɾ t̪ʰ ʊ l ʊ
విద్యాలయము	ʋ ɪ d̪ j aː l ɐ j ɐ m ʊ
విద్యావంతుడు	ʋ ɪ d̪ j aː ʋ ɐ n̪ t̪ ʊ ɖ ʊ
వినా	ʋ ɪ n̪ aː
వినిపించాడు	ʋ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː ɖ ʊ
వినిపించాను	ʋ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː n̪ ʊ
వినిపించాము	ʋ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː m ʊ
వినిపించారు	ʋ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː ɾ ʊ
వినిపించావు	ʋ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː ʋ ʊ
వినిపించింది	ʋ ɪ n̪ ɪ p ɪ ɲ t͡ɕ ɪ n̪ d̪ ɪ
వినిపించు	ʋ ɪ n̪ ɪ p ɪ ɲ t͡ɕ ʊ
విను	ʋ ɪ n̪ ʊ
విన్నది	ʋ ɪ n̪ n̪ ɐ d̪ ɪ
విన్నాడు	ʋ ɪ n̪ n̪ aː ɖ ʊ
విన్నాణము	ʋ ɪ n̪ n̪ aː ɳ ɐ m ʊ
విన్నాను	ʋ ɪ n̪ n̪ aː n̪ ʊ
విన్నాము	ʋ ɪ n̪ n̪ aː m ʊ
విన్నారు	ʋ ɪ n̪ n̪ aː ɾ ʊ
విన్నావు	ʋ ɪ n̪ n̪ aː ʋ ʊ
విభాగము	ʋ ɪ bʱ aː ɡ ɐ m ʊ
విరక్తి	ʋ ɪ ɾ ɐ k t̪ ɪ
విరసం	ʋ ɪ ɾ ɐ s ɐ m̃
విరి	ʋ ɪ ɾ ɪ
విలపించు	ʋ ɪ l ɐ p ɪ ɲ t͡ɕ ʊ
విలాసము	ʋ ɪ l aː s ɐ m ʊ
విలు	ʋ ɪ l ʊ
విలువ	ʋ ɪ l ʊ ʋ ɐ
విల్లు	ʋ ɪ lː ʊ
వివరించు	ʋ ɪ ʋ ɐ ɾ ɪ ɲ t͡ɕ ʊ
విశాఖపట్నం	ʋ ɪ ɕ aː kʰ ɐ p ɐ ʈ n̪ ɐ m̃
విశేషం	ʋ ɪ ɕ eː ʂ ɐ m̃
విశేషము	ʋ ɪ ɕ eː ʂ ɐ m ʊ
విశేషములు	ʋ ɪ ɕ eː ʂ ɐ m ʊ l ʊ
విశేషాలు	ʋ ɪ ɕ eː ʂ aː l ʊ
విశ్రమము	ʋ ɪ ɕ ɾ ɐ m ɐ m ʊ
విశ్రమించు	ʋ ɪ ɕ ɾ ɐ m ɪ ɲ t͡ɕ ʊ
విశ్రాంతి	ʋ ɪ ɕ ɾ aː n̪ t̪ ɪ
విశ్వము	ʋ ɪ ɕ ʋ ɐ m ʊ
విశ్వసనీయము	ʋ ɪ ɕ ʋ ɐ s ɐ n̪ iː j ɐ m ʊ
విషము	ʋ ɪ ʂ ɐ m ʊ
విసురు	ʋ ɪ s ʊ ɾ ʊ
వీచు	ʋ iː t͡ɕ ʊ
వీచుట	ʋ iː t͡ɕ ʊ ʈ ɐ
వీడు	ʋ iː ɖ ʊ
వీరు	ʋ iː ɾ ʊ
వీరుడు	ʋ iː ɾ ʊ ɖ ʊ
వు	ʋ u
వెంటబడు	ʋ ɛ ɳ ʈ ɐ b ɐ ɖ ʊ
వెండి	ʋ ɛ ɳ ɖ ɪ
వెండికొండ	ʋ ɛ ɳ ɖ ɪ k ɔ ɳ ɖ ɐ
వెంబడి	ʋ ɛ m b ɐ ɖ ɪ
వెంబడించు	ʋ ɛ m b ɐ ɖ ɪ ɲ t͡ɕ ʊ
వెచ్చ	ʋ ɛ t͡ɕː ɐ
వెచ్చని	ʋ ɛ t͡ɕː ɐ n̪ ɪ
వెడలు	ʋ ɛ ɖ ɐ l ʊ
వెడల్పైన	ʋ ɛ ɖ ɐ l p ɐ ɪ̯ n̪ ɐ
వెతుకు	ʋ ɛ t̪ ʊ k ʊ
వెనుక	ʋ ɛ n̪ ʊ k ɐ
వెన్న	ʋ ɛ n̪ n̪ ɐ
వెన్నముచ్చు	ʋ ɛ n̪ n̪ ɐ m ʊ t͡ɕː ʊ
వెన్ను	ʋ ɛ n̪ n̪ ʊ
వెన్నునొప్పి	ʋ ɛ n̪ n̪ ʊ n̪ ɔ pː ɪ
వెన్నెల	ʋ ɛ n̪ n̪ ɛ l ɐ
వెయ్యి	ʋ ɛ jː ɪ
వెర్రి	ʋ ɛ r ɪ
వెర్రులు	ʋ ɛ r ʊ l ʊ
వెల	ʋ ɛ l ɐ
వెలఁది	ʋ ɛ l ɐ d̪ ɪ
వెలంది	ʋ ɛ l ɐ n̪ d̪ ɪ
వెలగ	ʋ e l̪ a ɡ a
వెలతక్కువ	ʋ ɛ l ɐ t̪ ɐ kː ʊ ʋ ɐ
వెలతక్కువైన	ʋ ɛ l ɐ t̪ ɐ kː ʊ ʋ ɐ ɪ̯ n̪ ɐ
వెలది	ʋ ɛ l ɐ d̪ ɪ
వెలయెక్కువ	ʋ ɛ l ɐ j ɛ kː ʊ ʋ ɐ
వెలయెక్కువైన	ʋ ɛ l ɐ j ɛ kː ʊ ʋ ɐ ɪ̯ n̪ ɐ
వెలలేని	ʋ ɛ l ɐ l eː n̪ ɪ
వెలి	ʋ ɛ l ɪ
వెలితి	ʋ ɛ l ɪ t̪ ɪ
వెలుగు	ʋ ɛ l ʊ ɡ ʊ
వెలుగురేడు	ʋ ɛ l ʊ ɡ ʊ ɾ eː ɖ ʊ
వెల్తి	ʋ ɛ l t̪ ɪ
వెల్ల	ʋ e l̪ː a
వెల్లన	ʋ ɛ lː ɐ n̪ ɐ
వెల్లి	ʋ ɛ lː ɪ
వెల్లుల్లి	ʋ ɛ lː ʊ lː ɪ
వేగం	ʋ eː ɡ ɐ m̃
వేగము	ʋ eː ɡ ɐ m ʊ
వేగి	ʋ eː ɡ ɪ
వేట	ʋ eː ʈ a
వేటాడు	ʋ eː ʈ aː ɖ ʊ
వేడి	ʋ eː ɖ ɪ
వేడు	ʋ eː ɖ ʊ
వేడుక	ʋ eː ɖ ʊ k ɐ
వేడుకలు	ʋ eː ɖ ʊ k ɐ l ʊ
వేయి	ʋ eː j ɪ
వేయు	ʋ eː j ʊ
వేరు	ʋ eː ɾ ʊ
వేరుపడు	ʋ eː ɾ ʊ p ɐ ɖ ʊ
వేరుసెనగ	ʋ eː ɾ ʊ s ɛ n̪ ɐ ɡ ɐ
వేరే	ʋ eː ɾ eː
వేఱు	ʋ eː r ʊ
వేఱుపడు	ʋ eː r ʊ p ɐ ɖ ʊ
వేలం	ʋ eː l ɐ m̃
వేలము	ʋ eː l ɐ m ʊ
వేలు	ʋ eː l ʊ
వేలుపు	ʋ eː l ʊ p ʊ
వేల్పు	ʋ eː l p ʊ
వేళ	ʋ eː ɭ ɐ
వేశ్య	ʋ eː ɕ j ɐ
వేసవికాలం	ʋ eː s ɐ ʋ ɪ k aː l ɐ m̃
వేసవికాలము	ʋ eː s ɐ ʋ ɪ k aː l ɐ m ʊ
వై	ʋ ɐ ɪ̯
వైద్యశాల	ʋ ɐ ɪ̯ d̪ j ɐ ɕ aː l ɐ
వైద్యుడు	ʋ ɐ ɪ̯ d̪ j ʊ ɖ ʊ
వైద్యులు	ʋ ɐ ɪ̯ d̪ j ʊ l ʊ
వైనతేయుడు	ʋ ɐ ɪ̯ n̪ ɐ t̪ eː j ʊ ɖ ʊ
వైపు	ʋ ɐ ɪ̯ p ʊ
వైరాగ్యము	ʋ ɐ ɪ̯ ɾ aː ɡ j ɐ m ʊ
వైరి	ʋ a j r i
వోటు	ʋ oː ʈ ʊ
వోటువేయు	ʋ oː ʈ ʊ ʋ eː j ʊ
వ్యత్యాసము	ʋ j ɐ t̪ j aː s ɐ m ʊ
వ్యయ	ʋ j ɐ j ɐ
వ్యయం	ʋ j ɐ j ɐ m̃
వ్యాకరణము	ʋ j aː k ɐ ɾ ɐ ɳ ɐ m ʊ
వ్యాయామము	ʋ j aː j aː m ɐ m ʊ
వ్రక్క	ʋ r a kː a
వ్రణం	ʋ ɾ ɐ ɳ ɐ m̃
వ్రణము	ʋ ɾ ɐ ɳ ɐ m ʊ
వ్రణాలు	ʋ ɾ ɐ ɳ aː l ʊ
వ్రేలు	ʋ ɾ eː l ʊ
శ	ɕ a
శకటము	ɕ ɐ k ɐ ʈ ɐ m ʊ
శకటరేఫము	ɕ ɐ k ɐ ʈ ɐ ɾ eː pʰ ɐ m ʊ
శకటవ్యూహము	ɕ ɐ k ɐ ʈ ɐ ʋ j uː h ɐ m ʊ
శణము	ɕ ɐ ɳ ɐ m ʊ
శనివారము	ɕ ɐ n̪ ɪ ʋ aː ɾ ɐ m ʊ
శబ్దము	ɕ ɐ b d̪ ɐ m ʊ
శరణార్థి	ʃ a ɾ a ɳ aː ɾ tʰ i
శరణార్థి	ʃ ɐ ɾ ɐ ɳ ɐː ɾ tʰ i
శరత్తు	ɕ ɐ ɾ ɐ t̪ː ʊ
శరదృతువు	ɕ ɐ ɾ ɐ d̪ ɻ̍ t̪ ʊ ʋ ʊ
శరీరం	ɕ ɐ ɾ iː ɾ ɐ m̃
శరీరము	ɕ ɐ ɾ iː ɾ ɐ m ʊ
శశము	ɕ ɐ ɕ ɐ m ʊ
శాంటియాగో	ɕ aː ɳ ʈ ɪ j aː ɡ oː
శిక్ష	ɕ ɪ k ʂ ɐ
శిరస్తోదము	ɕ ɪ ɾ ɐ s t̪ oː d̪ ɐ m ʊ
శిరస్సు	ɕ i r a sː u
శిల	ɕ ɪ l ɐ
శిశ్నము	ɕ ɪ ɕ n̪ ɐ m ʊ
శుచి	ɕ u t ʃ i
శుభరాత్రి	ɕ ʊ bʱ ɐ ɾ aː t̪ ɾ ɪ
శొంఠి	ɕ ɔ ɳ ʈʰ ɪ
శ్యేనము	ɕ j eː n̪ ɐ m ʊ
శ్రీ	ɕ ɾ iː
శ్రీవిద్య	ɕ ɾ iː ʋ ɪ d̪ j ɐ
శ్రేణి	ɕ ɾ eː ɳ ɪ
శ్రేష్ఠము	ɕ ɾ eː ʂ ʈʰ ɐ m ʊ
శ్వేతము	ʃ ʋ eː t a m u
ష	ʂ a
షడ్విద్యలు	ʂ ɐ ɖ ʋ ɪ d̪ j ɐ l ʊ
షాంపూ	ʂ aː m p uː
షుగరు	ʂ ʊ ɡ ɐ ɾ ʊ
షుగర్	ʂ ʊ ɡ ɐ ɾ
స	s̪ a
సంత	s ɐ n̪ t̪ ɐ
సంతోషము	s ɐ n̪ t̪ oː ʂ ɐ m ʊ
సంభావ్య	s ɐ m bʱ aː ʋ j ɐ
సంస్కృతం	s ɐ m̃ s k ɻ̍ t̪ ɐ m̃
సతము	s ɐ t̪ ɐ m ʊ
సతి	s ɐ t̪ ɪ
సతిసప్తమి	s ɐ t̪ ɪ s ɐ p t̪ ɐ m ɪ
సత్	s ɐ t̪
సత్పథం	s ɐ t̪ p ɐ t̪ʰ ɐ m̃
సత్పథము	s ɐ t̪ p ɐ t̪ʰ ɐ m ʊ
సదనము	s ɐ d̪ ɐ n̪ ɐ m ʊ
సదస్సు	s a d a sː u
సద్దు	s ɐ d̪ː ʊ
సన్నతనము	s ɐ n̪ n̪ ɐ t̪ ɐ n̪ ɐ m ʊ
సన్నని	s ɐ n̪ n̪ ɐ n̪ ɪ
సన్మార్గం	s ɐ n̪ m aː ɾ ɡ ɐ m̃
సన్మార్గము	s ɐ n̪ m aː ɾ ɡ ɐ m ʊ
సబ్బు	s ɐ bː ʊ
సమాచారము	s ɐ m aː t͡ɕ aː ɾ ɐ m ʊ
సమావేశం	s ɐ m aː ʋ eː ɕ ɐ m̃
సమీపం	s ɐ m iː p ɐ m̃
సమీపము	s ɐ m iː p ɐ m ʊ
సముచ్చయము	s ɐ m ʊ t͡ɕː ɐ j ɐ m ʊ
సముద్రపుదూడ	s ɐ m ʊ d̪ ɾ ɐ p ʊ d̪ uː ɖ ɐ
సరస్సు	s a r a sː u
సరి	s ɐ ɾ ɪ
సరిచూచు	s ɐ ɾ ɪ t͡ɕ uː t͡ɕ ʊ
సరియైన	s ɐ ɾ ɪ j ɐ ɪ̯ n̪ ɐ
