Achab	aː k a b
ferdnesse	f ɛː r d n ɛ s ə
fere	f ɛː r
feren	f ɛː r ə n
ferial	f ɛː r i a l
ferial	f ɛː r i aː l
ferie	f ɛ r iː ə
ferie	f ɛː r iː ə
ferien	f ɛ r i ə n
ferien	f ɛ r ə n
ferme	f a r m ə
ferme	f ɛ r m ə
fermely	f ɛ r m ə l iː
fermen	f ɛ r m ə n
fermour	f ɛ r m u r
fermour	f ɛ r m uː r
fern	f ɛ r n
fern	f ɛː r n
ferny	f ɛ r n iː
ferny	f ɛː r n iː
fers	f eː r s
fersly	f eː r s l iː
fersly	f eː r s l iː t ʃ ə
fersnesse	f eː r s n ɛ s ə
ferthe	f i u̯ r θ ə
ferthe	f ɔ u̯ r θ ə
ferthe	f ɛ r θ ə
ferthe	f ɛː r θ ə
ferthendel	f eː r ð ə n d ɛ l
ferthendel	f ɛ r ð ə n d ɛ l
ferthing	f œ r ð i n ɡ
ferthing	f ɛ r ð i n ɡ
fervent	f ɛ r v ɛ n t
fervently	f ɛ r v ɛ n t l iː
ferventnesse	f ɛ r v ɛ n t n ɛ s ə
fervour	f ɛ r v u r
fervour	f ɛ r v uː r
fesaunt	f ɛ z a u̯ n t
fesaunt	f ɛː z a u̯ n t
festlich	f ɛː s t l i t͡ʃ
feture	f ɛ i̯ t i u̯ r ə
feture	f ɛː t i u̯ r ə
feture	f ɛː t u r ə
feture	f ɛː t ə r ə
feuter	f ɛ u̯ t ə r
fewe	f ɛ u̯ ə
fewell	f i u̯ ɛ l
fewell	f i u̯ ɛː l
fewell	f ɔ u̯ ɛ l
fey	f æ i̯ ə
fey	v æ i̯ ə
feynen	f æ i̯ n ə n
feyre	f æ i̯ r ə
feþer	f ɛ d ə r
feþer	f ɛ ð ə r
feþer	f ɛː ð ə r
ficcioun	f i k s j u n
fidelite	f i d ɛ l i t eː
fiele	f iː ə l ə
fiele	f iː ɛ l ə
fifte	f i f t ə
fifte	f i f θ ə
fifte	f iː f t ə
fifte	f iː f θ ə
fiftene	f i f t eː n ə
fiftene	f iː f t eː n ə
fiftene	f iː v t eː n ə
fifty	f i f t iː
fifty	f iː f t iː
fige	f i ɡ ə
figee	f i ɡ eː ə
figee	f i ɡ ɛ i̯
figer	f eː r ə
figer	f i ɡ eː r ə
figer	f i ɡ ə r ə
figure	f i ɡ i u̯ r ə
filchen	f i l t͡ʃ ə n
fille	f i l ə
fille	f ɛ l ə
fillen	f i l ə n
fillen	f u l ə n
fillen	f ɛ l ə n
filme	f i l m ə
filme	f i l u m
filme	f i l ə m
filme	v i l m ə
finden	f i n d ə n
finden	f iː n d ə n
fiole	f iː ɔ l ə
fiole	f iː ɔː l ə
fiole	f iː ə l ə
fiole	v iː ɔ l ə
fiole	v iː ɔː l ə
fiole	v iː ə l ə
firre	f i r ə
firre	f ɛ r ə
firren	f i r ə n
firren	f ɛ r ə n
firse	f i r z
firse	f u r z
firse	f ɛ r z
first	f i r s t
first	f u r s t
first	f ɛ r s t
fisch	f i ʃ
fischer	f i ʃ ə r ə
fissure	f i s i u̯ r ə
fist	f i s t
fist	f iː s t
fist	f ɛ s t
fist	f ɛː s t
fithele	f i ð l ə
fithele	f i ð ə l ə
fithelen	f i d ə l ə n
fithelen	f i ð ə l ə n
fithelere	f i ð ə l ə r ə
five	f iː f
five	f iː v
flask	f l a s k ə
flasket	f l a s k ɛ t
flat	f l a t
flathe	f l aː ð ə
flathon	f l a ð u n
flathon	f l a ð ə n
flaught	f l a u̯ x t
flaught	f l a x t
flaun	f l a u̯ n
flavour	f l aː v u r
flavour	f l aː v uː r
flawme	f l a m b ə
flawme	f l a m ə
flawme	f l a u̯ m b ə
flawme	f l a u̯ m ə
flawme	f l aː m ə
flawmen	f l a m b ə n
flawmen	f l a u̯ m b ə n
flawmen	f l aː m ə n
flawmy	f l a m iː
flawmy	f l a u̯ m iː
flax	f l a k s
flax	f l ɛ k s
flaxen	f l a k s ə n
flaxen	f l ɛ k s ə n
flayre	f l ɛ i̯ r
fle	f l ɛ i̯ x
fle	f l ɛː
flecche	f l ɛ t͡ʃ ə
fleccher	f l ɛ t͡ʃ eː r
fleccher	f l ɛ t͡ʃ ə r
flees	f l eː s
flees	f l yː s
flees	f l øː s
flegge	f l i d͡ʒ ə
flegge	f l i ɡ ə
flegge	f l ɛ d͡ʒ ə
flegge	f l ɛ ɡ ə
flem	f l ɛː m
fleme	f l eː m ə
flemen	f l eː m ə n
flerd	f l ɛ r d
flerd	f l ɛː r d
flesh	f l ɛ ʃ
flesh	f l ɛː ʃ
flet	f l ɛ t
flete	f l eː t
fleten	f l eː t ə n
fleumatik	f l ɛ u̯ m a t iː k
fleumatik	f l ɛː m a t iː k
flewme	f l ɛ u̯ m ə
flewme	f l ɛː m ə
fleyl	f l ɛ i̯ l
flicche	f l i k ə
flicche	f l i t͡ʃ ə
flien	f l eː n
flien	f l iː ə n
flien	f l ɛ i̯ ə n
flo	f l ɔː
flod	f l oː d
flodgate	f l oː d j ɛ t
flodgate	f l oː d ɡ aː t
flok	f l ɔ k
flon	f l ɔː n
flor	f l oː r
flote	f l ɔː t ə
floten	f l ɔ t ə n
floten	f l ɔː t ə n
floteren	f l u t ə r ə n
floteren	f l ɔ t ə r ə n
flour	f l uː r
flourdelis	f l uː r d ɛ l iː s
flouren	f l uː r ə n
floury	f l uː r iː
flourynge	f l uː r i n ɡ ə
flowen	f l ɔ u̯ ə n
flowndre	f l u n d ə r
flowndre	f l uː n d r ə
flowndre	f l uː n d ə r
flowynge	f l ɔ u̯ i n ɡ ə
flum	f l i m
flum	f l i u̯ m
flum	f l u m
flum	f l yː m
flye	f l iː ə
flye	f l ɛ i̯ ə
flyngen	f l i n ɡ ə n
flyngen	f l ɛ n ɡ ə n
flynt	f l i n t
flynt	v l i n t
flyt	f l i t
flyt	f l iː t
flyten	f l iː t ə n
fnast	f n a s t
fnesen	f n eː z ə n
fnesy	f n eː z iː
fnesy	f n øː z iː
fo	f ɔː
fo	i f ɔː
fodder	f ɔ d ə r
fode	f oː d ə
fold	f ɔː l d
folden	f a l d ə n
folden	f ɔː l d ə n
folden	v ɔː l d ə n
fole	f oː l
fole	f ɔː l ə
folehardy	f oː l h a r d iː
folen	f oː l ə n
folen	f ɔː l ə n
folily	f oː l i l iː
folily	f oː l iː l iː
folily	f oː l iː l iː t ʃ ə
folily	f oː l ə l iː
folisch	f oː l i ʃ
folk	f ɔ l k
folliche	f oː l i t͡ʃ ə
folliche	f oː l iː
folye	f oː l iː ə
folye	f ɔ l iː ə
fom	f aː m
fom	f ɔː m
foman	f ɔː m a n
fomen	f ɔː m ə n
fomentacioun	f ɔː m ɛ n t aː s i uː n
fomentacioun	f ɔː m ɛ n t aː s j u n
fomenten	f ɔː m ɛ n t ə n
fomy	f ɔː m iː
fomynge	f ɔː m i n ɡ ə
fonne	f u n ə
fonne	f ɔ n ə
fonned	f u n i d
fonned	f ɔ n i d
fonnen	f u n ə n
fonnen	f ɔ n ə n
forage	f ɔ r aː d ʒ ə
forage	f ɔː r aː d ʒ ə
forbreiden	f ɔ r b r ɛ i̯ d ə n
forcouth	f ɔ r k uː θ
forcoveren	f ɔ r k ɔ v ə r ə n
fordemen	f o r d eː m ə n
fordwynen	f ɔ r d w iː n ə n
foreland	f oː r ə l a n d
foreland	f ɔ r ə l a n d
forest	f ɔ r ɛ s t
forester	f ɔ r i s t eː r
forester	f ɔ r i s t ə r
forester	f ɔ r s t eː r
forester	f ɔ r s t ə r
foreward	f oː r ə w a r d
foreward	f oː r ə w aː r d
foreyn	f u r i n
foreyn	f u r r ɛ i̯ n
foreyn	f ɔ r i n
foreyn	f ɔ r ɛ i̯ n
foreyn	f ɔ r ɛː n
foreyner	f u r i n ə r ə
foreyner	f u r ɛ i̯ n ə r ə
foreyner	f ɔ r i n ə r ə
foreyner	f ɔ r n ə r ə
foreyner	f ɔ r ɛ i̯ n ə r ə
forfader	f ɔː r f a d ə r
forfader	f ɔː r f aː d ə r
forfreten	f ɔ r f r æː t ə n
forfreten	f ɔ r f r ɛː t ə n
forge	f oː r d͡ʒ ə
forge	f ɔ r d͡ʒ ə
forge	f ɔː r d͡ʒ ə
forgen	f oː r d͡ʒ ə n
forgen	f ɔ r d͡ʒ ə n
forgen	f ɔː r d͡ʒ ə n
forger	f ɔː r d͡ʒ eː r
forger	f ɔː r d͡ʒ ə r ə
forgeresse	f ɔː r d͡ʒ ə r ɛ s ə
forgynge	f oː r d͡ʒ i n ɡ ə
forgynge	f ɔ r d͡ʒ i n ɡ ə
forgynge	f ɔː r d͡ʒ i n ɡ ə
forhed	f ɔː r h ɛ d
forhed	f ɔː r h ɛː d
forke	f ɔ r k ə
forke	f ɔ r t ʃ ə
forken	f ɔ r k ə n
forkerven	f ɔ r k ɛ r v ə n
forneys	f u r n i s
forneys	f u r n ɛ i̯ s
fornfader	f ɔː r n f a d ə r
fornfader	f ɔː r n f aː d ə r
forow	f u r i u̯
forow	f u r w ə
forow	f u r x
forow	f u r ɔ u̯
forstage	f ɔː r s t aː d ʒ ə
forswelten	f ɔ r s w ɛ l t ə n
forsweren	f ɔ r s w ɛː r i ə n
forsweren	f ɔ r s w ɛː r ə n
forswerer	f ɔ r s w ɛː r ə r ə
forswerynge	f ɔ r s w ɛː r i n ɡ
forten	f ɔ r t eː n
forwerpen	f ɔ r w a r p ə n
forwerpen	f ɔ r w ɛ r p ə n
foryeten	f ɔ r j ɛ t ə n
foryeten	f ɔ r j ɛː t ə n
forȝiven	f ɔ r j eː v ə n
forȝiven	f ɔ r j i v ə n
foster	f ɔ s t r ə
foster	f ɔ s t ə r
fostren	f ɔ s t r ə n
fot	f oː t
fotbal	f oː t b a l
foted	f oː t i d
foted	f oː t ɛ d
foted	i f oː t i d
foten	f oː t ə n
fother	f oː ð ə r
fotles	f oː t l ɛ s
fotles	f oː t l ɛː s
fotman	f oː t m a n
fotynge	f oː t i n ɡ ə
fou	f ɔ u̯
fou	f ɔ u̯ x
foun	f a u̯ n
foun	f uː n
four	f uː r
four	f øː w ə r
four	f ɔ u̯ r
fourtene	f ɔ u̯ r t eː n ə
fourtenyght	f ɔ u̯ r t eː n ə n i x t
fourtenyght	f ɔ u̯ r t n i x t
fourtenyght	f ɔ u̯ r t ə n n i x t
fourty	f ɔ u̯ r t i
fourty	f ɔ u̯ r t iː
fous	f uː s
fowel	f uː ə l
fowel	f yː ə l
fox	f ɔ k s
foyle	f u i̯ l ə
foyle	f yː l
foyle	f yː ʎ ə
fragment	f r a ɡ m ɛ n t
frangible	f r a n d͡ʒ i b l ə
frangible	f r a n d͡ʒ iː b l ə
fraude	f r a u̯ d ə
fraudulent	f r a u̯ d i l ɛ n t
fraudulent	f r a u̯ d i u̯ l ɛ n t
fraudulently	f r a u̯ d i l ɛ n t l iː
fraudulently	f r a u̯ d i u̯ l ɛ n t l iː
frayel	f r aː ɛ l
frayel	f r ɛ i̯ ɛ l
fre	f r eː
fre	f r iː
fre	f r øː
freden	f r eː d ə n
fredom	f r eː d a m
fredom	f r eː d oː m
fredom	f r eː d u m
fredom	f r øː d oː m
freen	f r eː n
freen	f r eː ə n
freen	f r øː n
freen	f r øː w ə n
fremde	f r ɛ m d ə
fremde	f r ɛ m p t ə
fremde	f r ɛ m ɛ d ə
frend	f r eː n d
frend	f r i n d
frend	f r ɛ n d
frenden	f r eː n d ə n
frenderede	f r eː n d r ɛː d ə
frenderede	f r eː n d r ɛː d ə n
frenderede	f r ɛ n d r ɛː d ə
frendful	f r eː n d f u l
frendles	f r eː n d l ɛː s
frendles	f r i n d l ɛː s
frendles	f r ɛ n d l ɛː s
frendly	f r eː n d l iː
frendly	f r eː n d l iː t ʃ
frendly	f r eː n d l iː t ʃ ə
frendly	f r ɛ n d l iː
frendman	f r eː n d m a n
frendman	f r ɛ n d m a n
frendschip	f r eː n d ʃ i p ə
frendschip	f r eː n t ʃ i p ə
frendschip	f r eː n ʃ i p ə
frendschip	f r ɛ n d ʃ i p ə
frenesie	f r a n ɛ z iː ə
frenesie	f r ɛ n ɛ z iː ə
frenetik	f r a n ɛ t i k
frenetik	f r a n ɛ t iː k
frenetik	f r ɛ n ɛ t i k
frenetik	f r ɛ n ɛ t iː k
frenge	f r ɛ n d͡ʒ ə
frenged	f r ɛ n d͡ʒ i d
frere	f r eː r ə
frere	f r iː r ə
fresen	f r eː z ə n
fressh	f r ɛ ʃ
fressh	f r ɛː ʃ
fret	f r ɛ t
fret	f r ɛː t
freten	f r ɛ t ə n
freten	f r ɛː t ə n
frie	f r iː ə
fright	f r i x t ə
frighten	f r i x t ə n
frightful	f r i x t f u l
frighti	f r i x t iː
frightihed	f r i x t iː h ɛː d
frightilike	f r i x t iː l iː k ə
frightly	f r i x t l iː
frith	f i r θ
frith	f r i x t
frith	f r i θ
frith	f r iː x t
frithen	f r eː ð ə n
frithen	f r i ð ə n
frogge	f r ɔ ɡ ə
frossh	f r ɔ s
frossh	f r ɔ s k
frossh	f r ɔ ʃ
frost	f r ɔ s t
frost	f ɔ r s t
frosty	f r ɔ s t iː
frosty	f ɔ r s t iː
frounce	f r uː n s ə
frounceles	f r uː n s ə l ɛ s
frounceles	f r uː n s ə l ɛː s
frouncen	f r uː n s ə n
frount	f r u n t
frount	f r uː n t
frountel	f r u n t ɛ l
frountel	f r u n t ɛː l
frountel	f r uː n t ɛː l
frounter	f r u n t eː r
frounter	f r u n t ə r
fruyt	f r i u̯ t
fruytles	f r i u̯ t l ɛ s
fruytles	f r i u̯ t l ɛː s
fryen	f r iː ə n
fryghten	f r iː x t ə n
fryture	f r i t i u̯ r ə
fryture	f r i t u r ə
fryture	f r u t i u̯ r ə
fryture	f r u t u r ə
fulfillen	f u l f i l ə n
fulfillen	f u l f u l ə n
fulfillen	f u l f ɛ l ə n
fulhede	f u l h ɛː d ə
fulle	f u l ə
fullen	f u l i u̯ ə n
fullen	f u l i ə n
fullen	f u l w ə n
fullen	f u l ɔ u̯ ə n
fullen	f u l ə n
fullere	f u l ə r ə
fulloght	f u l u x t
fulloght	f u l uː x t
fulloght	f u l ɔ x t
fully	f u l l l i t͡ʃ ə
fully	f u l l l iː
fulnesse	f u l n ɛ s ə
fulsom	f u l s u m
fulsomly	f u l s u m l iː
fulsomnesse	f u l s u m n ɛ s ə
fulthe	f u l θ ə
fume	f i u̯ m
fumen	f i u̯ m ə n
fumerelle	f u m ə r ə l ə
fumerelle	f u m ə r ɛː l ə
fumosite	f i u̯ m ɔː s i t eː
fumous	f i u̯ m u s
fumous	f i u̯ m uː s
fumous	f i u̯ m ɔː s
fumygacioun	f i u̯ m i ɡ aː s i uː n
fumygacioun	f i u̯ m i ɡ aː s j u n
fumyter	f i m i t ɛː r ə
fumyter	f i m t ɛː r ə
fumyter	f i u̯ m i t ɛ r ə
fumyter	f i u̯ m i t ɛː r ə
fumyter	f u m i t ɛː r ə
fumyter	f u m t ɛː r ə
funke	f u n k ə
furbisshen	f u r b i ʃ ə n
furbisshour	f u r b i ʃ u r
furie	f i u̯ r iː ə
furious	f i u̯ r i u s
furious	f i u̯ r i uː s
furiously	f i u̯ r i u s l i
furiously	f i u̯ r i uː s l iː
furlong	f u r l a n ɡ
furlong	f u r l ɔ n ɡ
furment	f r u m ɛ n t
furmente	f r u m ɛ n t eː
furour	f i u̯ r oː r
furour	f i u̯ r uː r
fusen	f uː z ə n
fustian	f u s t i aː n
fustian	f u s t i n
fustian	f u s t j a n
fustian	f u s t ɛ i̯ n
future	f i u̯ t i r
future	f i u̯ t i u̯ r
future	f i u̯ t u r
fyke	f iː k ə
fyn	f iː n
fynch	f i n t͡ʃ
fynger	f i n ɡ ə r
fyr	f iː r
fyry	f iː r iː
gaderen	ɡ a d ɛ r ə n
gaderen	ɡ ɛ d ɛ r ə n
gage	ɡ aː d ʒ ə
gain	j eː n
gain	j æ i̯ n
gain	ɡ eː n
gain	ɡ æ i̯ n
galder	ɡ aː l d ə r
galyngale	ɡ a l i n ɡ a l
galyngale	ɡ a l i n ɡ aː l
galyngale	ɡ a l ə n ɡ aː l
galyngale	ɡ a n i n ɡ aː l
game	ɡ a m ə
game	ɡ a m ə n
game	ɡ aː m ə
game	ɡ aː m ə n
game	ɡ ɔː m ə
game	ɡ ɔː m ə n
game	ɡ ɛː m ə
game	ɡ ɛː m ə n
gameful	ɡ a m f u l
gameful	ɡ aː m f u l
gamely	ɡ aː m ə l iː
gamely	ɡ aː m ə n l iː
gamen	ɡ a m ə n
gamen	ɡ a m ə n ə n
gamen	ɡ aː m ə n
gamen	ɡ aː m ə n ə n
gamen	ɡ ɔː m ə n
gamen	ɡ ɔː m ə n ə n
gandre	ɡ a n d r ə
gandre	ɡ a n d ə r
gandre	ɡ ɔː n d ə r
ganet	ɡ a n a t
ganet	ɡ a n ɛ t
garbage	ɡ a r b aː d͡ʒ ə
garde	ɡ a r d ə
garde	ɡ aː r d ə
gardein	ɡ a r d i a n
gardein	ɡ a r d ɛ i̯ n
gardein	ɡ a r d ɛ n
gardener	ɡ a r d i n ə r ə
gardener	ɡ a r d ə n ə r ə
gardyn	ɡ a r d i n
garfysche	ɡ aː r f i ʃ
garisoun	ɡ a r i s u n
garisoun	ɡ a r i z u n
garisoun	ɡ a r i z uː n
garite	ɡ a r i t ə
garite	ɡ a r iː t ə
garlek	ɡ a r l eː k
garlek	ɡ a r l i k
garlek	ɡ a r l ɛ k
garlek	ɡ a r l ɛː k
garn	ɡ a r n
garnement	ɡ a r m ɛ n t
garnement	ɡ a r n ə m ɛ n t
garnisoun	ɡ a r n i z u n
garnisoun	ɡ a r n i z uː n
garnyssh	ɡ a r n i ʃ
garnysshen	ɡ a r n i ʃ ə n
garsavese	ɡ a r s a v ɛ z ə
garsavese	ɡ r a s a v ɛ z ə
garsavese	ɡ ɛ r s a v ɛ z ə
garter	ɡ a r t eː r
garter	ɡ a r t ə r
garth	ɡ a r θ
gasen	ɡ aː z ə n
gate	j a t
gate	j aː t
gate	j ɛ t
gate	ɡ a t
gate	ɡ a t ə
gate	ɡ aː t
gate	ɡ aː t ə
gaude	ɡ a u̯ d
gaudi	ɡ a u̯ d iː
gauge	ɡ a u̯ d͡ʒ ə
gauge	ɡ aː d͡ʒ ə
gaugen	ɡ a u̯ d͡ʒ ə n
gaugen	ɡ aː d͡ʒ ə n
gauger	ɡ a u̯ d ʒ uː r
gauger	ɡ a u̯ d ʒ ə r
gauger	ɡ a u̯ d ʒ ɛ u̯ r
gauger	ɡ aː d ʒ ə r
gauntelet	ɡ a u̯ n t ə l ɛ t
gay	ɡ ɛ i̯
gayn	ɡ æ i̯ n
gaynen	ɡ æ i̯ n ə n
gaynly	ɡ æ i̯ n l iː
gayole	d͡ʒ a v ə l ə
gayole	d͡ʒ æ i̯ ɔ l ə
gayole	d͡ʒ æ i̯ ɔː l ə
gayole	ɡ aː ɔ l ə
gayole	ɡ aː ɔː l ə
gayole	ɡ æ i̯ ɔ l ə
gayole	ɡ æ i̯ ɔː l ə
gayoler	d͡ʒ a v ə l ə r
gayoler	d͡ʒ æ i̯ u l eː r
gayoler	d͡ʒ æ i̯ ə l ə r
gayoler	ɡ aː u l eː r
gayoler	ɡ aː ə l ə r
gayoler	ɡ æ i̯ u l eː r
gayoler	ɡ æ i̯ ə l ə r
geaunt	d ʒ iː a u̯ n t
geaunt	d ʒ ɛː a n t
geaunt	d ʒ ɛː a u̯ n t
gele	d ʒ ɛ l eː
gele	d ʒ ɛː l eː
gelen	d ʒ ɛ l ə n
gelen	d ʒ ɛː l ə n
gelice	j ə l iː t͡ʃ ə
gemow	d ʒ ɛ m ɔ u̯
gemow	d ʒ ɛ m ɛ l
gemow	d ʒ ɛ m ɛ u̯
general	d ʒ ɛ n ə r a l
general	d ʒ ɛ n ə r aː l
generally	d ʒ ɛ n ə r a l l iː
generally	d ʒ ɛ n ə r aː l l iː
genge	ɡ eː n d͡ʒ ə
genge	ɡ eː n ɡ ə
genge	ɡ i n ɡ ə
genge	ɡ ɛ n d͡ʒ ə
genge	ɡ ɛ n ɡ ə
gentryse	d͡ʒ ɛ n t r iː s ə
gerle	ɡ i r l ə
gerle	ɡ iː r l ə
gerle	ɡ u r l ə
gerle	ɡ ɛ r l ə
gerle	ɡ ɛː r l ə
gerner	ɡ a r n ə r
gerner	ɡ ɛ r n eː r
gerner	ɡ ɛ r n ə r
gernet	ɡ ɛ r n ɛ t
gersom	ɡ a r s u m ə
gersom	ɡ ɛ r s u m ə
gerth	ɡ a r θ
gerth	ɡ i r θ
gerth	ɡ u r θ
gerth	ɡ ɛ r θ
geson	ɡ ɛ s ə n
geson	ɡ ɛː s ə n
geson	ɡ ɛː z u n
geson	ɡ ɛː z ə n
gest	ɡ i s t
gest	ɡ ɛ s t
gest	ɡ ɛː s t
geste	d͡ʒ ɛ s t ə
geste	d͡ʒ ɛː s t ə
gesten	d ʒ ɛ s t ə n
gesten	d ʒ ɛː s t ə n
gesten	ɡ ɛ s t ə n
gestenen	ɡ ɛ s t n ə n
gestenen	ɡ ɛ s t ə n ə n
gestning	ɡ ɛ s t n i n ɡ
gestning	ɡ ɛ s t ə n i n ɡ
gestour	ɡ ɛ s t uː r
gestour	ɡ ɛː s t uː r
gestyng	ɡ ɛ s t i n ɡ
get	d ʒ ɛ t
get	d ʒ ɛː t
get	ɡ ɛ t
geten	ɡ ɛ t ə n
geten	ɡ ɛː t ə n
gige	ɡ iː d ʒ ə
gilden	ɡ i l d ə n
gilden	ɡ iː l d ə n
gilour	ɡ iː l u r
gilour	ɡ iː l ə r
gingivere	d͡ʒ i n d͡ʒ i v ə r ə
gingivere	d͡ʒ i n d͡ʒ ə r ə
gingivere	d͡ʒ i n d͡ʒ ə v ə r ə
glacen	ɡ l aː s ə n
glacynge	ɡ l aː s i n ɡ
glad	ɡ l a d
glad	ɡ l aː d
glade	ɡ l aː d ə
glas	ɡ l a s
glas	ɡ l aː s
glas	ɡ l ɛ s
glasen	ɡ l a s ə n
glasen	ɡ l aː z ə n
glasier	ɡ l a z j ə r ə
glasier	ɡ l aː z i ə r ə
glasier	ɡ l aː z j ə r ə
glasier	ɡ l aː z ə r ə
glasy	ɡ l a s iː
glasy	ɡ l aː s iː
glasy	ɡ l ɛ s iː
glasynge	ɡ l a s i n ɡ ə
glasynge	ɡ l a z i n ɡ ə
glasynge	ɡ l aː z i n ɡ ə
glede	ɡ l eː d ə
glede	ɡ l i d ə
glede	ɡ l ɛ d ə
gleowinge	ɡ l i u̯ i n ɡ
gleu	ɡ l ɛ u̯
glew	ɡ l i u̯
glewen	ɡ l i u̯ j ə n
glewen	ɡ l i u̯ ə n
glewer	ɡ l i u̯ ə r
glewy	ɡ l i u̯ iː
glewysch	ɡ l i u̯ i ʃ
gleyve	ɡ l æ i̯ v ə
gleyve	ɡ l ɛː v ə
gliden	ɡ l iː d ə n
glorie	ɡ l ɔ r iː ə
glorie	ɡ l ɔː r iː ə
glorien	ɡ l ɔː r iː ə n
glorifien	ɡ l ɔː r i f iː ə n
glorifiynge	ɡ l ɔː r i f iː i n ɡ
glorious	ɡ l ɔ r i u s
glorious	ɡ l ɔ r i uː s
glorious	ɡ l ɔː r i u s
glorious	ɡ l ɔː r i uː s
gloriously	ɡ l ɔː r i u s l iː
gloriously	ɡ l ɔː r i uː s l iː
gloriously	ɡ l ɔː r i uː s l iː t ʃ ə
gloriynge	ɡ l ɔː r iː i n ɡ ə
glouworm	ɡ l ɔ u̯ w u r m
glove	ɡ l oː v ə
gloven	ɡ l oː v ə n
glovere	ɡ l oː v ə r ə
glowen	ɡ l ɔ u̯ ə n
gluynge	ɡ l i u̯ i n ɡ
glyffen	ɡ l i f ə n
gnast	ɡ n a s t
gnast	ɡ n ɔː s t
gnat	ɡ n a t
gnat	ɡ n ɛ t
gnawen	k n a u̯ ə n
gnawen	ɡ n a u̯ ə n
gnawynge	ɡ n a u̯ i n ɡ
gniden	ɡ n iː d ə n
gnodden	ɡ n u d ə n
god	ɡ ɔ d
gode	ɡ ɔː d ə
goderhele	ɡ oː d ə r h ɛ i̯ l ə
goderhele	ɡ oː d ə r h ɛː l ə
godfader	ɡ ɔ d f a d ə r
godfader	ɡ ɔ d f aː d ə r
godmoder	ɡ ɔ d m oː d ə r
godsone	ɡ ɔ d s u n ə
godsone	ɡ ɔ s u n ə
goke	ɡ oː k
goke	ɡ uː k
goky	ɡ oː k iː
goky	ɡ uː k iː
gold	ɡ oː l d
gold	ɡ ɔ l d
golden	ɡ oː l d ə n
golden	ɡ ɔ l d ə n
gome	ɡ oː m
gome	ɡ oː m ə
gome	ɡ u m ə
gon	ɡ ɑː n
gon	ɡ ɔː n
gong	ɡ a n ɡ
gong	ɡ aː n ɡ
gong	ɡ ɔ n ɡ
gong	ɡ ɔː n ɡ
good	ɡ oː d
goodles	ɡ oː d l ɛ s
goodles	ɡ oː d l ɛː s
goodlich	ɡ oː d l i t ʃ
goodnesse	ɡ oː d n ɛ s ə
goos	ɡ oː s
goot	ɡ ɔː t
gor	ɡ ɑː r
gor	ɡ ɔː r
gore	ɡ ɔː r
gore	ɡ ɔː r ə
goren	ɡ ɔː r ə n
gorgon	ɡ ɔ r ɡ oː n
gorgon	ɡ ɔ r ɡ ɔ n
gorst	ɡ ɔ r s
gorst	ɡ ɔ r s t
goshauk	ɡ oː s h a u̯ k
goshauk	ɡ ɔ s h a u̯ k
gosherde	ɡ ɔ z a r d ə
gosherde	ɡ ɔ z h eː r d ə
gosherde	ɡ ɔ z h ɛ r d ə
goslyng	ɡ eː s l i n ɡ
goslyng	ɡ oː s l i n ɡ
goslyng	ɡ ɔ z l i n ɡ
goslyng	ɡ ɛ z l i n ɡ
gossomer	ɡ oː s u m ə r
gossomer	ɡ ɔ s u m ə r
gost	ɡ ɔː s t
gostly	ɡ aː s t l iː
gostly	ɡ ɔː s t l iː
gounde	ɡ u n d
gounde	ɡ uː n d
goundy	ɡ u n d iː
goundy	ɡ uː n d iː
gourde	ɡ uː r d ə
governail	ɡ u v ə r n ɛ i̯ l ə
governail	ɡ u v ə r n ɛ l ə
governaunce	ɡ u v ə r n a u̯ n s ə
governement	ɡ u v ɛ r n m ɛ n t
governement	ɡ u v ɛ r n ə m ɛ n t
governen	ɡ u v ə r n ə n
governen	ɡ u v ɛ r n ə n
governeresse	ɡ u v ɛ r n ə r ɛ s ə
governeresse	ɡ u v ɛ r n ɛ s ə
governour	ɡ u v ə r n u r
governour	ɡ u v ə r n uː r
governour	ɡ u v ə r n ə r
governynge	ɡ u v ɛ r n i n ɡ
gowne	ɡ uː n ə
graal	ɡ r a aː l
graal	ɡ r aː l
graal	ɡ r ɛ aː l
grace	ɡ r aː s ə
grace	ɡ r aː t s ə
graceful	ɡ r aː s f u l
graceles	ɡ r aː s ə l ɛ s
graceles	ɡ r aː s ə l ɛː s
gracelessly	ɡ r aː s ə l ɛ s l iː
gracelessly	ɡ r aː s ə l ɛː s l iː
gracen	ɡ r aː s ə n
gracious	ɡ r aː s i u s
gracious	ɡ r aː s i uː s
gracious	ɡ r aː s j u s
gracious	ɡ r aː s j uː s
gracious	ɡ r aː s j ə s
graciously	ɡ r aː s j oː s l iː
graciously	ɡ r aː s j oː s l iː t ʃ ə
graciously	ɡ r aː s j uː s l iː
graciously	ɡ r aː s j uː s l iː t ʃ ə
graciousnesse	ɡ r aː s i uː s n ɛ s ə
graciousnesse	ɡ r aː s j u s n ə s ə
gramarie	ɡ r a m a r iː ə
gramarie	ɡ r a m ə r iː ə
gramarien	ɡ r a m aː r i ə n
gramarien	ɡ r a m aː r i ɛ n
gramarien	ɡ r a m aː r i ɛː n
gramere	ɡ r a m ə r ə
gramere	ɡ r a m ɛː r ə
gras	ɡ r a s
gras	ɡ r aː s
gras	ɡ r ɛ s
gras	ɡ r ɛː s
