ꜣ	ɑ
ḥnk	ħ oː n ə k
ḥnk	ħ aː n a k
ḥnk	ħ aː n a k
ḥnk	ħ aː n ə k
ḥnk	ħ oː n ə k
ḥnk	h ɛ n ɛ k
ḥnkyt	h ɛ n k iː t
ḥnkt	h ɛ n k ɛ t
ḥnt	h ɛ n ɛ t
ḥntꜣsw	ħ V n t a ʀ s V w
ḥntꜣsw	ħ V n t a ʀ s V w
ḥntꜣsw	ħ ə n t aː s ə
ḥntꜣsw	ħ ə n t oː s
ḥntꜣsw	ħ V n t a ʀ s V w
ḥntꜣsw	ħ V n t a ʀ s V w
ḥntꜣsw	ħ ə n t aː s ə
ḥntꜣsw	ħ ə n t oː s
ḥntꜣsw	h ɛ n t ɑ s uː
ḥntj	h ɛ n t i
ḥntj	h ɛ n ɛ t i
ḥr	ħ a ɾ
ḥr	ħ a ʔ
ḥr	ħ a ʔ
ḥr	ħ a ʔ
ḥr	ħ a ɾ
ḥr	ħ a ʔ
ḥr	ħ a ʔ
ḥr	ħ a ʔ
ḥr	h ɛ r
ḥr	ħ aː ɾ u w
ḥr	ħ aː ɾ u w
ḥr	ħ aː ɾ ə
ḥr	ħ oː ɾ
ḥr	ħ aː ɾ u w
ḥr	ħ aː ɾ u w
ḥr	ħ aː ɾ ə
ḥr	ħ oː ɾ
ḥr	h ɛ r
ḥrj	ħ a ɾ i j
ḥrj	ħ a ɾ i j
ḥrj	ħ ə ɾ e j
ḥrj	ħ ə ɾ e j
ḥrj	ħ a ɾ i j
ḥrj	ħ a ɾ i j
ḥrj	ħ ə ɾ e j
ḥrj	ħ ə ɾ e j
ḥrj	h ɛ r i
ḥrrt	ħ V ɾ uː ɾ a t
ḥrrt	ħ V ɾ uː ɾ a ʔ
ḥrrt	ħ ə ɾ uː ɾ a
ḥrrt	ħ ə ɾ eː ɾ ə
ḥrrt	ħ V ɾ uː ɾ a t
ḥrrt	ħ V ɾ uː ɾ a ʔ
ḥrrt	ħ ə ɾ uː ɾ a
ḥrrt	ħ ə ɾ eː ɾ ə
ḥrrt	h ɛ r ɛ r ɛ t
ḥrt	h ɛ r ɛ t
ḥrt	h ɛ r ɛ t
ḥrt	h ɛ r ɛ t
ḥrt	h ɛ r ɛ t
ḥrtj	h ɛ r ɛ t i
ḥrtj	h ɛ r t i
ḥḥ	ħ a ħ
ḥḥ	ħ a ħ
ḥḥ	ħ a ħ
ḥḥ	ħ a ħ
ḥḥ	ħ a ħ
ḥḥ	ħ a ħ
ḥḥ	ħ a ħ
ḥḥ	ħ a ħ
ḥḥ	h ɛ h
ḥḥj	h ɛ h i
ḥḥw	h ɛ h uː
ḥzꜣ	h ɛ z ɑ
ḥzꜣt	h ɛ z ɑ t
ḥzj	h ɛ z i
ḥzy	h ɛ z iː
ḥzp	h ɛ z ɛ p
ḥzmn	h ɛ z m ɛ n
ḥzmn	h ɛ z m ɛ n
ḥzmn	h ɛ z m ɛ n
ḥzmn	h ɛ z m ɛ n
ḥzt	h ɛ z ɛ t
ḥz.tj	h ɛ z ʔ t i
ḥs	h ɛ s
ḥsj	h ɛ s i
ḥsb	h ɛ s ɛ b
ḥsbwt	h ɛ s b uː t
ḥsq	h ɛ s ɛ k
ḥqꜣ	h ɛ k ɑ
ḥqꜣt	h ɛ k ɑ t
ḥqr	ħ a qʼ a ɾ
ḥqr	ħ a qʼ a ʔ
ḥqr	ħ ə qʼ a ʔ
ḥqr	ħ ə qʼ a ʔ
ḥqr	ħ a qʼ a ɾ
ḥqr	ħ a qʼ a ʔ
ḥqr	ħ ə qʼ a ʔ
ḥqr	ħ ə qʼ a ʔ
ḥqr	h ɛ k ɛ r
ḥqt	h ɛ k ɛ t
ḥkꜣ	h ɛ k ɑ
ḥkn	h ɛ k ɛ n
ḥknw	h ɛ k ɛ n uː
ḥtj	h ɛ t i
ḥtyt	h ɛ t iː t
ḥtp	ħ aː t i p
ḥtp	ħ aː t i p
ḥtp	ħ aː t ə p
ḥtp	ħ oː t ə p
ḥtp	ħ aː t i p
ḥtp	ħ aː t i p
ḥtp	ħ aː t ə p
ḥtp	ħ oː t ə p
ḥtp	h ɛ t ɛ p
ḥtp	h o t ɛ p
ḥtpw	ħ a t p a w
ḥtpw	ħ a ʔ p a w
ḥtpw	ħ a ʔ p ə
ḥtpw	ħ a ʔ p
ḥtpw	ħ a t p a w
ḥtpw	ħ a ʔ p a w
ḥtpw	ħ a ʔ p ə
ḥtpw	ħ a ʔ p
ḥtpw	h ɛ t ɛ p uː
ḥtpwt	h ɛ t ɛ p uː t
ḥtpt	h ɛ t ɛ p ɛ t
ḥtm	h ɛ t ɛ m
ḥtrj	h ɛ t r i
ḥtrw	h ɛ t ɛ r uː
ḥts	h ɛ t ɛ s
ḥtt	h ɛ t ɛ t
ḥṯṯt	ħ a c c a t
ḥṯṯt	ħ a ʔ t͡ʃ a ʔ
ḥṯṯt	ħ ə ʔ t͡ʃ a ʔ
ḥṯṯt	ħ ə ʔ t͡ʃ a ʔ
ḥṯṯt	ħ a c c a t
ḥṯṯt	ħ a ʔ t͡ʃ a ʔ
ḥṯṯt	ħ ə ʔ t͡ʃ a ʔ
ḥṯṯt	ħ ə ʔ t͡ʃ a ʔ
ḥṯṯt	h ɛ t͡ʃ ɛ t͡ʃ ɛ t
ḥdb	h ɛ d ɛ b
ḥḏ	ħ aː cʼ
ḥḏ	ħ aː tʼ
ḥḏ	ħ aː tʼ
ḥḏ	ħ oː tʼ
ḥḏ	ħ aː cʼ
ḥḏ	ħ aː tʼ
ḥḏ	ħ aː tʼ
ḥḏ	ħ oː tʼ
ḥḏ	ħ uː cʼ a w
ḥḏ	ħ uː tʼ a w
ḥḏ	ħ uː tʼ ə
ḥḏ	ħ eː tʼ
ḥḏ	ħ uː cʼ a w
ḥḏ	ħ uː tʼ a w
ḥḏ	ħ uː tʼ ə
ḥḏ	ħ eː tʼ
ḥḏ	h ɛ d͡ʒ
ḥḏ	ħ i cʼ
ḥḏ	ħ i tʼ
ḥḏ	ħ e tʼ
ḥḏ	ħ e tʼ
ḥḏ	ħ i cʼ
ḥḏ	ħ i tʼ
ḥḏ	ħ e tʼ
ḥḏ	ħ e tʼ
ḥḏ	h ɛ d͡ʒ
ḥḏj	h ɛ d͡ʒ i
ḥḏw	h ɛ d͡ʒ uː
ḥḏt	h ɛ d͡ʒ ɛ t
ḥḏt	ħ u cʼ j a t
ḥḏt	ħ u tʼ j a ʔ
ḥḏt	ħ u tʼ j a
ḥḏt	ħ ø tʼ j ə
ḥḏt	ħ u cʼ j a t
ḥḏt	ħ u tʼ j a ʔ
ḥḏt	ħ u tʼ j a
ḥḏt	ħ ø tʼ j ə
ḥḏt	h ɛ d͡ʒ ɛ t
ḫ	x ɛ
ḫꜣ	χ a ʀ
ḫꜣ	χ a ʀ
ḫꜣ	χ a ʔ
ḫꜣ	χ a ʔ
ḫꜣ	χ a ʀ
ḫꜣ	χ a ʀ
ḫꜣ	χ a ʔ
ḫꜣ	χ a ʔ
ḫꜣ	x ɑ
ḫꜣj	x ɑ i
ḫꜣjw	x ɑ i uː
ḫꜣy	x ɑ iː
ḫꜣyt	x ɑ iː t
ḫꜣꜥ	χ aː ʀ a ʕ
ḫꜣꜥ	χ aː ʀ a ʕ
ḫꜣꜥ	χ aː ʔ ə ʕ
ḫꜣꜥ	χ oː ʔ ə ʕ
ḫꜣꜥ	χ aː ʀ a ʕ
ḫꜣꜥ	χ aː ʀ a ʕ
ḫꜣꜥ	χ aː ʔ ə ʕ
ḫꜣꜥ	χ oː ʔ ə ʕ
ḫꜣꜥ	x ɑ ʔ ɑː
ḫꜣwj	x ɑ uː i
ḫꜣwt	x ɑ uː t
ḫꜣb	x ɑ b
ḫꜣbꜣbꜣšꜣ	x ɑ b ɑ b ɑ ʃ ɑ
ḫꜣbwsꜣ	x ɑ b uː s ɑ
ḫꜣm	x ɑ m
ḫꜣrw	χ u ɾ ɾ a w
ḫꜣrw	χ u ɾ ɾ ə
ḫꜣrw	χ ø ɾ ɾ
ḫꜣrw	χ u ɾ ɾ a w
ḫꜣrw	χ u ɾ ɾ ə
ḫꜣrw	χ ø ɾ ɾ
ḫꜣrw	x ɑ r uː
ḫꜣḫ	x ɑ x
ḫꜣḫꜣ	x ɑ x ɑ
ḫꜣz	x ɑ z
ḫꜣst	x ɑ s ɛ t
ḫꜣstjw	x ɑ s t i uː
ḫꜣt	x ɑ t
ḫꜣtb	x ɑ t ɛ b
ḫꜥj	χ i ʕ j i t
ḫꜥj	χ a ʕ j a
ḫꜥj	χ i ʕ j i ʔ
ḫꜥj	χ e ʕ j a
ḫꜥj	χ e ʕ j ə
ḫꜥj	χ i ʕ j i t
ḫꜥj	χ a ʕ j a
ḫꜥj	χ i ʕ j i ʔ
ḫꜥj	χ e ʕ j a
ḫꜥj	χ e ʕ j ə
ḫꜥj	x ɑː i
ḫꜥw	x ɑː uː
ḫw	x uː
ḫwj	x uː i
ḫww	x uː ʔ uː
ḫwzj	χ i w z i t
ḫwzj	χ i w z i t
ḫwzj	x uː z i
ḫwd	x uː d
ḫbꜣ	χ aː b a ʀ
ḫbꜣ	χ aː b a ʀ
ḫbꜣ	χ aː b ə
ḫbꜣ	χ oː β
ḫbꜣ	χ aː b a ʀ
ḫbꜣ	χ aː b a ʀ
ḫbꜣ	χ aː b ə
ḫbꜣ	χ oː β
ḫbꜣ	x ɛ b ɑ
ḫbj	x ɛ b i
ḫbzwt	x ɛ b z uː t
ḫbzt	x ɛ b z ɛ t
ḫbs	x ɛ b ɛ s
ḫpj	x ɛ p i
ḫpp	x ɛ p ɛ p
ḫpr	χ aː p a ɾ
ḫpr	χ aː p a ʔ
ḫpr	χ aː p a
ḫpr	χ oː p ə
ḫpr	χ aː p a ɾ
ḫpr	χ aː p a ʔ
ḫpr	χ aː p a
ḫpr	χ oː p ə
ḫpr	x ɛ p ɛ r
ḫprj	x ɛ p r i
ḫprw	χ u p ɾ a w
ḫprw	χ u p ɾ a w
ḫprw	χ u p ɾ ə
ḫprw	χ ø p ɾ
ḫprw	χ u p ɾ a w
ḫprw	χ u p ɾ a w
ḫprw	χ u p ɾ ə
ḫprw	χ ø p ɾ
ḫprw	χ u p i ɾ w a w
ḫprw	χ u p i ɾ w a w
ḫprw	χ ə p e ʔ ɾ ə
ḫprw	χ ə p e ʔ ɾ
ḫprw	χ u p i ɾ w a w
ḫprw	χ u p i ɾ w a w
ḫprw	χ ə p e ʔ ɾ ə
ḫprw	χ ə p e ʔ ɾ
ḫprw	x ɛ p ɛ r uː
ḫprr	x ɛ p r ɛ r
ḫprš	x ɛ p r ɛ ʃ
ḫpš	χ aː p V ʃ
ḫpš	χ aː p V ʃ
ḫpš	χ aː p ə ʃ
ḫpš	χ oː p ə ʃ
ḫpš	χ aː p V ʃ
ḫpš	χ aː p V ʃ
ḫpš	χ aː p ə ʃ
ḫpš	χ oː p ə ʃ
ḫpš	x ɛ p ɛ ʃ
ḫpd	x ɛ p ɛ d
ḫpdwj	x ɛ p d uː i
ḫfꜣ	x ɛ f ɑ
ḫfꜣꜣt	x ɛ f ɑ ʔ ɑ t
ḫfꜣj	x ɛ f ɑ i
ḫfꜣt	x ɛ f ɑ t
ḫfꜥ	x ɛ f ɑː
ḫft	x ɛ f ɛ t
ḫftj	x ɛ f t i
ḫftw	x ɛ f ɛ t uː
ḫftt	x ɛ f ɛ t ɛ t
ḫm	χ aː m
ḫm	χ aː m
ḫm	χ oː m
ḫm	χ aː m
ḫm	χ aː m
ḫm	χ oː m
ḫm	x ɛ m
ḫmꜥt	x ɛ m ɑː t
ḫmw	x ɛ m uː
ḫmnjw	χ a m n i j j a w
ḫmnjw	χ a m n i j j a w
ḫmnjw	x ɛ m n i uː
ḫmnyw	x ɛ m ɛ n iː uː
ḫmnw	χ a m aː n a w
ḫmnw	χ a m aː n a w
ḫmnw	χ ə m aː n ə
ḫmnw	χ ə m oː n
ḫmnw	χ a m aː n a w
ḫmnw	χ a m aː n a w
ḫmnw	χ ə m aː n ə
ḫmnw	χ ə m oː n
ḫmnw	x ɛ m ɛ n uː
ḫmnnw	x ɛ m ɛ n n uː
ḫmt	x ɛ m ɛ t
ḫmtw	χ a m t a w
ḫmtw	χ a m t a w
ḫmtw	χ a m t ə
ḫmtw	χ a m t
ḫmtw	χ a m t a w
ḫmtw	χ a m t a w
ḫmtw	χ a m t ə
ḫmtw	χ a m t
ḫmtw	x ɛ m ɛ t uː
ḫmtnw	x ɛ m ɛ t n uː
ḫn	x ɛ n
ḫnj	x ɛ n i
ḫnws	x ɛ n uː s
ḫnp	x ɛ n ɛ p
ḫnfw	x ɛ n ɛ f uː
ḫnm	x ɛ n ɛ m
ḫnmw	x ɛ n ɛ m uː
ḫnms	x ɛ n m ɛ s
ḫnmt	x ɛ n m ɛ t
ḫnr	x ɛ n ɛ r
ḫnrt	x ɛ n r ɛ t
ḫnrtt	x ɛ n r ɛ t ɛ t
ḫnz	x ɛ n ɛ z
ḫnsw	χ a n s V w
ḫnsw	χ a n s V w
ḫnsw	χ a n s ə
ḫnsw	χ a n s
ḫnsw	χ a n s V w
ḫnsw	χ a n s V w
ḫnsw	χ a n s ə
ḫnsw	χ a n s
ḫnsw	x ɛ n s uː
ḫnt	x ɛ n ɛ t
ḫntj	x ɛ n t i
ḫntj	χ i n t i t
ḫntj	χ i n t i ʔ
ḫntj	χ e n t a
ḫntj	χ e n t ə
ḫntj	χ i n t i t
ḫntj	χ i n t i ʔ
ḫntj	χ e n t a
ḫntj	χ e n t ə
ḫntj	x ɛ n ɛ t i
ḫntyt	x ɛ n t iː t
ḫntw	x ɛ n ɛ t uː
ḫntš	x ɛ n t ɛ ʃ
ḫnd	x ɛ n ɛ d
ḫndw	x ɛ n d uː
ḫr	χ u ɾ
ḫr	χ u ʔ
ḫr	χ u ʔ
ḫr	χ ø ʔ
ḫr	χ u ɾ
ḫr	χ u ʔ
ḫr	χ u ʔ
ḫr	χ ø ʔ
ḫr	x ɛ r
ḫrj	x ɛ r i
ḫryt	x ɛ r iː t
ḫrw	χ a ɾ a w
ḫrw	χ a ɾ a w
ḫrw	χ ə ɾ a w
ḫrw	χ ə ɾ a w
ḫrw	χ a ɾ a w
ḫrw	χ a ɾ a w
ḫrw	χ ə ɾ a w
ḫrw	χ ə ɾ a w
ḫrw	x ɛ r uː
ḫrwy	x ɛ r uː iː
ḫrwyw	x ɛ r uː iː uː
ḫrw.fj	x ɛ r uː ʔ ɛ f i
ḫrp	χ aː ɾ a p
ḫrp	χ aː ɾ a p
ḫrp	χ aː ɾ ə p
ḫrp	χ oː ɾ ə p
ḫrp	χ aː ɾ a p
ḫrp	χ aː ɾ a p
ḫrp	χ aː ɾ ə p
ḫrp	χ oː ɾ ə p
ḫrp	x ɛ r ɛ p
ḫrpw	x ɛ r p uː
ḫrs	x ɛ r ɛ s
ḫrt	x ɛ r ɛ t
ḫḫ	χ i χ
ḫḫ	χ i χ
ḫḫ	χ e χ
ḫḫ	χ e χ
ḫḫ	χ i χ
ḫḫ	χ i χ
ḫḫ	χ e χ
ḫḫ	χ e χ
ḫḫ	x ɛ x
ḫsbd	x ɛ s b ɛ d
ḫsbḏ	x ɛ s b ɛ d͡ʒ
ḫsf	χ aː s a f
ḫsf	χ aː s a f
ḫsf	χ aː s ə f
ḫsf	χ oː s ə f
ḫsf	χ aː s a f
ḫsf	χ aː s a f
ḫsf	χ aː s ə f
ḫsf	χ oː s ə f
ḫsf	x ɛ s ɛ f
ḫsfj	x ɛ s ɛ f i
ḫsr	x ɛ s ɛ r
ḫšꜣyꜣrwšꜣ	x ɛ ʃ ɑ iː ɑ r uː ʃ ɑ
ḫt	χ i t
ḫt	χ i ʔ
ḫt	χ e ʔ
ḫt	χ e ʔ
ḫt	χ i t
ḫt	χ i ʔ
ḫt	χ e ʔ
ḫt	χ e ʔ
ḫt	x ɛ t
ḫtꜣ	x ɛ t ɑ
ḫtj	x ɛ t i
ḫtm	x ɛ t ɛ m
ḫtḫt	x ɛ t x ɛ t
ḫdj	χ i tʼ j i t
ḫdj	χ i tʼ j i ʔ
ḫdj	χ e ʔ tʼ a
ḫdj	χ e ʔ tʼ ə
ḫdj	χ i tʼ j i t
ḫdj	χ i tʼ j i ʔ
ḫdj	χ e ʔ tʼ a
ḫdj	χ e ʔ tʼ ə
ḫdj	x ɛ d i
ẖꜣyt	ç ɑ iː t
ẖꜣr	ç ɑ r
ẖꜣrt	ç ɑ r ɛ t
ẖꜣk	ç ɑ k
ẖꜣt	ç ɑ t
ẖꜥm	ç ɑː m
ẖꜥq	ç ɑː k
ẖpꜣ	ç u p l V w
ẖpꜣ	ç u p l V w
ẖpꜣ	ç u p l ə
ẖpꜣ	ç ø p l ə
ẖpꜣ	ç u p l V w
ẖpꜣ	ç u p l V w
ẖpꜣ	ç u p l ə
ẖpꜣ	ç ø p l ə
ẖpꜣ	ç ɛ p ɑ
ẖpꜣw	ç ɛ p ɑ uː
ẖn	ç ɛ n
ẖnj	ç ɛ n i
ẖnyt	ç ɛ n iː t
ẖnw	ç aː n a w
ẖnw	ç aː n a w
ẖnw	ç aː n ə
ẖnw	ç oː n
ẖnw	ç aː n a w
ẖnw	ç aː n a w
ẖnw	ç aː n ə
ẖnw	ç oː n
ẖnw	ç ɛ n uː
ẖnm	ç ɛ n ɛ m
ẖnmw	ç V n aː m V w
ẖnmw	ç V n aː m V w
ẖnmw	ç ə n aː m ə
ẖnmw	ç ə n oː m
ẖnmw	ç V n aː m V w
ẖnmw	ç V n aː m V w
ẖnmw	ç ə n aː m ə
ẖnmw	ç ə n oː m
ẖnmw	ç ɛ n m uː
ẖnmt	ç a n m V ʔ
ẖnmt	ç a n m a
ẖnmt	ç a n m ə
ẖnmt	ç a n m V ʔ
ẖnmt	ç a n m a
ẖnmt	ç a n m ə
ẖnmt	ç ɛ n m ɛ t
ẖnn	ç ɛ n ɛ n
ẖnnw	ç ɛ n ɛ n uː
ẖntj	ç ɛ n t i
ẖr	ç u ɾ
ẖr	ç u ʔ
ẖr	ç u ʔ
ẖr	ç ø ʔ
ẖr	ç u ɾ
ẖr	ç u ʔ
ẖr	ç u ʔ
ẖr	ç ø ʔ
ẖr	ç ɛ r
ẖrj	ç ɛ r i
ẖrj	ç u ɾ i j
ẖrj	ç u ɾ i j
ẖrj	ç ə ɾ e j
ẖrj	ç ə ɾ e j
ẖrj	ç u ɾ i j
ẖrj	ç u ɾ i j
ẖrj	ç ə ɾ e j
ẖrj	ç ə ɾ e j
ẖrj	ç ɛ r i
ẖrw	ç ɛ r uː
ẖrwj	ç ɛ r uː i
ẖrt	ç u ɾ i t
ẖrt	ç u ɾ i ʔ
ẖrt	ç ə ɾ e ʔ
ẖrt	ç ə ɾ e ʔ
ẖrt	ç u ɾ i t
ẖrt	ç u ɾ i ʔ
ẖrt	ç ə ɾ e ʔ
ẖrt	ç ə ɾ e ʔ
ẖrt	ç ɛ r ɛ t
ẖrd	ç a ɾ a tʼ
ẖrd	ç a ɾ a tʼ
ẖrd	ç ə ɾ a tʼ
ẖrd	ç ə ɾ a tʼ
ẖrd	ç a ɾ a tʼ
ẖrd	ç a ɾ a tʼ
ẖrd	ç ə ɾ a tʼ
ẖrd	ç ə ɾ a tʼ
ẖrd	ç ɛ r ɛ d
ẖrdw	ç ɛ r ɛ d uː
ẖz	ç ɛ z
ẖzj	ç iː z i t
ẖzj	ç iː s i ʔ
ẖzj	ç iː s a
ẖzj	ç iː s ə
ẖzj	ç iː z i t
ẖzj	ç iː s i ʔ
ẖzj	ç iː s a
ẖzj	ç iː s ə
ẖzj	ç ɛ z i
ẖkr	ç ɛ k ɛ r
ẖkrw	ç ɛ k ɛ r uː
ẖt	ç uː w a t
ẖt	ç uː j a ʔ
ẖt	ç uː j a
ẖt	ç eː j ə
ẖt	ç uː w a t
ẖt	ç uː j a ʔ
ẖt	ç uː j a
ẖt	ç eː j ə
ẖt	ç ɛ t
ẖdb	ç aː tʼ a b
ẖdb	ç aː tʼ a b
ẖdb	ç aː tʼ ə b
ẖdb	ç oː tʼ ə β
ẖdb	ç aː tʼ a b
ẖdb	ç aː tʼ a b
ẖdb	ç aː tʼ ə b
ẖdb	ç oː tʼ ə β
ẖdb	ç ɛ d ɛ b
z	z ɛ
z	z ɑ
z	z u ʀ
z	s u ʀ
z	s u ʔ
z	s ø ʔ
z	z u ʀ
z	s u ʀ
z	s u ʔ
z	s ø ʔ
z	z u ʀ w a w
z	s u ʀ w a w
z	s uː w ə
z	s eː w
z	z u ʀ w a w
z	s u ʀ w a w
z	s uː w ə
z	s eː w
z	z ɛ
z	z ɑ
z	z ɛ
z	z ɑ
zꜣ	z iː ʀ
zꜣ	s iː ʀ
zꜣ	s iː ʔ
zꜣ	s iː ʔ
zꜣ	z iː ʀ
zꜣ	s iː ʀ
zꜣ	s iː ʔ
zꜣ	s iː ʔ
zꜣ	z ɑ
zꜣy	z ɑ iː
zꜣw	z ɑ uː
zꜣw	z ɑ uː
zꜣw	z u ʀ j V w
zꜣw	s u ʀ j V w
zꜣw	s u ʔ j ə
zꜣw	s ø ʔ j ə
zꜣw	z u ʀ j V w
zꜣw	s u ʀ j V w
zꜣw	s u ʔ j ə
zꜣw	s ø ʔ j ə
zꜣw	z ɑ uː
zꜣwtj	z V ʀ j a w t V j
zꜣwtj	s V ʀ j a w t V j
zꜣwtj	s ə j a w t ə
zꜣwtj	s ə j a w t
zꜣwtj	z V ʀ j a w t V j
zꜣwtj	s V ʀ j a w t V j
zꜣwtj	s ə j a w t ə
zꜣwtj	s ə j a w t
zꜣwtj	z ɑ uː t i
zꜣb	z iː ʀ i b
zꜣb	s iː ʀ i b
zꜣb	s iː ʔ ə b
zꜣb	s iː ʔ ə β
zꜣb	z iː ʀ i b
zꜣb	s iː ʀ i b
zꜣb	s iː ʔ ə b
zꜣb	s iː ʔ ə β
zꜣb	z ɑ b
zꜣt	z iː ʀ u t
zꜣt	s iː ʀ u ʔ
zꜣt	s iː ʔ a
zꜣt	s iː ʔ ə
zꜣt	z iː ʀ u t
zꜣt	s iː ʀ u ʔ
zꜣt	s iː ʔ a
zꜣt	s iː ʔ ə
zꜣt	z ɑ t
zꜣṯ	z ɑ t͡ʃ
zꜣṯw	z ɑ t͡ʃ uː
zj	z i
zjn	z i n
zjnw	z i j n V w
zjnw	s i j n V w
zjnw	s e j n ə
zjnw	s e j n
zjnw	z i j n V w
zjnw	s i j n V w
zjnw	s e j n ə
zjnw	s e j n
zjnw	z i n uː
zy	z iː
zwn	z uː n
zwr	z aː w a ɾ
zwr	s aː j a j
zwr	s aː ʔ ə
zwr	s oː ʔ
zwr	z aː w a ɾ
zwr	s aː j a j
zwr	s aː ʔ ə
zwr	s oː ʔ
zwr	z uː r
zwt	z uː t
zbj	z ɛ b i
zbn	z ɛ b ɛ n
zbṯ	z aː b a c
zbṯ	s aː b a ʔ
zbṯ	s aː b a
zbṯ	s oː β ə
zbṯ	z aː b a c
zbṯ	s aː b a ʔ
zbṯ	s aː b a
zbṯ	s oː β ə
zbṯ	z ɛ b ɛ t͡ʃ
zp	z a p
zp	s a p
zp	s a p
zp	s a p
zp	z a p
zp	s a p
zp	s a p
zp	s a p
zp	z ɛ p
zp	z ɛ p
zpꜣ	z ɛ p ɑ
zpj	z ɛ p i
zpyt	z ɛ p iː t
zpt	z ɛ p ɛ t
zf	z ɛ f
zfn	z ɛ f ɛ n
zft	z uː f a t
zft	s uː f a ʔ
zft	s uː f a
zft	s eː f ə
zft	z uː f a t
zft	s uː f a ʔ
zft	s uː f a
zft	s eː f ə
zft	z ɛ f ɛ t
zft	z ɛ f ɛ t
zfṯ	z aː f a c
zfṯ	s aː f a ʔ
zfṯ	s aː f a
zfṯ	s oː f ə
zfṯ	z aː f a c
zfṯ	s aː f a ʔ
zfṯ	s aː f a
zfṯ	s oː f ə
zfṯ	z ɛ f ɛ t͡ʃ
zfṯyw	z ɛ f t͡ʃ iː uː
zmꜣ	z a m a ʀ
zmꜣ	s a m a ʀ
zmꜣ	s ə m a ʔ
zmꜣ	s ə m a ʔ
zmꜣ	z a m a ʀ
zmꜣ	s a m a ʀ
zmꜣ	s ə m a ʔ
zmꜣ	s ə m a ʔ
zmꜣ	z ɛ m ɑ
zmꜣyt	z ɛ m ɑ iː t
zmyt	z ɛ m iː t
zn	z ɛ n
znj	z iː n i t
znj	s iː n i ʔ
znj	s iː n a
znj	s iː n ə
znj	z iː n i t
znj	s iː n i ʔ
znj	s iː n a
znj	s iː n ə
znj	z ɛ n i
znb	z ɛ n ɛ b
znbt	z ɛ n b ɛ t
znf	z V n a f
znf	s V n a f
znf	s ə n a f
znf	s ə n a f
znf	z V n a f
znf	s V n a f
znf	s ə n a f
znf	s ə n a f
znf	z ɛ n ɛ f
znmwt	z ɛ n m uː t
znḥm	z u n ħ uː m V w
znḥm	s u n ħ uː m V w
znḥm	s ə n ħ uː m ə
znḥm	s ə n ħ eː m
znḥm	z u n ħ uː m V w
znḥm	s u n ħ uː m V w
znḥm	s ə n ħ uː m ə
znḥm	s ə n ħ eː m
znḥm	z ɛ n h ɛ m
znt	z ɛ n ɛ t
zr	z ɛ r
zḥ	z ɛ h
zḫj	z ɛ x i
zḫn	z ɛ x ɛ n
zḫz	z ɛ x ɛ z
zẖꜣ	z i ç i ʀ
zẖꜣ	s i ç i ʀ
zẖꜣ	s ə ç e j
zẖꜣ	s ə ç e j
zẖꜣ	z i ç i ʀ
zẖꜣ	s i ç i ʀ
zẖꜣ	s ə ç e j
zẖꜣ	s ə ç e j
zẖꜣ	z ɛ ç ɑ
zẖꜣw	z a ç ʀ a w
zẖꜣw	s a ç ʀ a w
zẖꜣw	s a ç j ə
zẖꜣw	s a ç i
zẖꜣw	z a ç ʀ a w
zẖꜣw	s a ç ʀ a w
zẖꜣw	s a ç j ə
zẖꜣw	s a ç i
zẖꜣw	z a ç ʀ aː w a w
zẖꜣw	s a ç ʀ aː w a w
zẖꜣw	s ə ç aː j ə
zẖꜣw	s ə ç oː j
zẖꜣw	z a ç ʀ aː w a w
zẖꜣw	s a ç ʀ aː w a w
zẖꜣw	s ə ç aː j ə
zẖꜣw	s ə ç oː j
zẖꜣw	z ɛ ç ɑ uː
zẖj	z ɛ ç i
zšꜣ	z ɛ ʃ ɑ
zšj	z ɛ ʃ i
zšy	z ɛ ʃ iː
zšn	z a ʃ aː ʃ a n
zšn	s aː ʃ a n
zšn	s aː ʃ ə n
zšn	s oː ʃ ə n
zšn	z a ʃ aː ʃ a n
zšn	s aː ʃ a n
zšn	s aː ʃ ə n
zšn	s oː ʃ ə n
zšn	z ɛ ʃ ɛ n
zššt	z ɛ ʃ ɛ ʃ ɛ t
zkr	z aː k a ɾ
zkr	s aː k a ʔ
zkr	s aː k a
zkr	s oː k ə
zkr	z aː k a ɾ
zkr	s aː k a ʔ
zkr	s aː k a
zkr	s oː k ə
zkr	z ɛ k ɛ r
zt	z u t
zt	s u ʔ
zt	s u ʔ
zt	s ø ʔ
zt	z u t
zt	s u ʔ
zt	s u ʔ
zt	s ø ʔ
zt	z ɛ t
s	s ɛ
sꜣ	s ɑ
sꜣꜣ	s ɑ ʔ ɑ
sꜣj	s iː ʀ i t
sꜣj	s iː ʀ i ʔ
sꜣj	s iː ʔ a
sꜣj	s iː ʔ ə
sꜣj	s iː ʀ i t
sꜣj	s iː ʀ i ʔ
sꜣj	s iː ʔ a
sꜣj	s iː ʔ ə
sꜣj	s ɑ i
sꜣwkꜣ	s ɑ uː k ɑ
sꜣbt	s ɑ b ɛ t
sꜣngꜣr	s ɑ n ɡ ɑ r
sꜣrꜣqw	s a l ɡ uː
sꜣrꜣqw	s a l ɡ uː
sꜣrꜣqw	s ɑ r ɑ k uː
sꜣḥ	s ɑ h
