â	a
cyfrifiadur	k ə v r ɪ v j a d ɨ̞ r
cyfrifiadurol	k ə v r ɪ v j a d ɨ̞ r ɔ l
cyfrifiadurol	k ə v r ɪ v j a d ɪ r ɔ l
cyfrifiant	k ə v r ɪ v j a n t
cyfrifol	k ə v r ɪ v ɔ l
cyfrifoldeb	k ə v r ɪ v ɔ l d ɛ b
cyfrifoldeb	k ə v r ɪ v ɔ l d a b
cyfrifoldeb	k ə v r ɪ v ɔ l d a b
cyfrifoldebau	k ə v r ɪ v ɔ l d ɛ b a ɨ̯
cyfrifoldebau	k ə v r ɪ v ɔ l d ɛ b ɛ
cyfrifoldebau	k ə v r ɪ v ɔ l d ɛ b a
cyfrifoldebau	k ə v r ɪ v ɔ l d ɛ b ɛ
cyfrifoldebau	k ə v r ɪ v ɔ l d ɛ b a
cyfrifon	k ə v r ɪ v ɔ n
cyfrifwr	k ə v r ɪ v ʊ r
cyfrifydd	k ə v r ɪ v ɨ̞ ð
cyfrin	k ə v r ɪ n
cyfrinach	k ə v r ɪ n a χ
cyfrinair	k ə v r ɪ n a i̯ r
cyfrol	k ə v r ɔ l
cyfrwng	k ə v r ʊ ŋ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s d ə ŋ ɛ d ɪ ɡ a ɨ̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s d ə ŋ ɛ d ɪ ɡ ɛ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s d ə ŋ ɛ d ɪ ɡ ɛ θ
cyfrwy	k ə v r ʊ ɨ̯
cyfrwyo	k ə v r ʊ ɨ̯ ɔ
cyfryngau	k ə v r ə ŋ a ɨ̯
cyfryngau	k ə v r ə ŋ ɛ
cyfryngau	k ə v r ə ŋ a
cyfryngau	k ə v r ə ŋ ɛ
cyfryngau	k ə v r ə ŋ a
cyfryngi	k ə v r ə ŋ i
cyfryngiad	k ə v r ə ŋ j a d
cyfryngiadau	k ə v r ə ŋ j a d a ɨ̯
cyfryngiadau	k ə v r ə ŋ j a d ɛ
cyfryngiadau	k ə v r ə ŋ j a d a
cyfryngiadau	k ə v r ə ŋ j a d ɛ
cyfryngiadau	k ə v r ə ŋ j a d a
cyfryngis	k ə v r ə ŋ i s
cyfryngu	k ə v r ə ŋ ɨ
cyfryngwr	k ə v r ə ŋ ʊ r
cyfryngwyr	k ə v r ə ŋ w ɨ̞ r
cyfun	k ə v ɨ̞ n
cyfundrefn	k ə v ɨ̞ n d r ɛ v n
cyfundrefnol	k ə v ɨ̞ n d r ɛ v n ɔ l
cyfundrefnu	k ə v ɨ̞ n d r ɛ v n ɨ
cyfweld	k ə v w ɛ l d
cyfweliad	k ə v w ɛ l j a d
cyfwelydd	k ə v w ɛ l ɨ̞ ð
cyfyd	k ə v ɨ̞ d
cyfyng	k ə v ɨ̞ ŋ
cyff	k ɨː f
cyffaith	k ə f a i̯ θ
cyfforddus	k ə f ɔ r ð ɨ̞ s
cyffredin	k ə f r ɛ d ɪ n
cyffredinol	k ə f r ɛ d ɪ n ɔ l
cyffro	k ə f r ɔ
cyffwrdd	k ə f ʊ r ð
cyffyloca	k ə f ə l ɔ k a
cyffylog	k ə f ə l ɔ ɡ
cyngerdd	k ə ŋ ɛ r ð
cynghanedd	k ə ŋ h a n ɛ ð
cynghrair	k ə ŋ r̥ a i̯ r
cynghrair	k ə ŋ r̥ ɛ r
cynghrair	k ə ŋ r̥ ɛ r
cyn‌gyd	k ə ŋ ɨ̞ d
cyn‌gyd	k ə ŋ ɡ ɨ̞ d
cyhoeddus	k ə h ɔ ɨ̯ ð ɨ̞ s
cyhyd	k ə h ɨ̞ d
cyhyd	k ə h ɨː d
cyhydnos	k ə h ə d n ɔ s
cyhydnos y gwanwyn	k ə h ə d n ɔ s ə ɡ w a n w ɨ̞ n
cyhydnos yr hydref	k ə h ə d n ɔ s ə r h ə d r ɛ v
cyhydnos yr hydref	k ə h ə d n ɔ s ə r h ə d r ɛ
cyhydnos yr hydref	k ə h ə d n ɔ s ə r h ə d r a
cyhydnos yr hydref	k ə h ə d n ɔ s ə r h ə d r ɛ
cyhydnos yr hydref	k ə h ə d n ɔ s ə r h ə d r a
cyhyr	k ə h ɨ̞ r
cyhyrog	k ə h ə r ɔ ɡ
cylch	k ɨ̞ l χ
cylched	k ə l χ ɛ d
cylchgrawn	k ə l χ ɡ r a u̯ n
cylchgrawn	k ɨ̞ l χ ɡ r a u̯ n
cylchoedd	k ə l χ ɔ ɨ̯ ð
cylchu	k ə l χ ɨ
cylion	k ə l j ɔ n
cyll	k ɨ̞ ɬ
cyllell	k ə ɬ ɛ ɬ
cyllell	k ə ɬ a ɬ
cyllell	k ə ɬ a ɬ
cymaint	k ə m a i̯ n t
cymaint	k ə m ɛ n t
cymaint	k ə m ɛ n t
cymal	k ə m a l
cymar	k ə m a r
cymdeithas	k ə m d e i̯ θ a s
cymdeithasol	k ə m d e i̯ θ a s ɔ l
cymedr	k ə m ɛ d r
cymedrol	k ə m ɛ d r ɔ l
cymedroldeb	k ə m ɛ d r ɔ l d ɛ b
cymedroli	k ə m ɛ d r ɔ l i
cymedrolwr	k ə m ɛ d r ɔ l ʊ r
cymedrolwyr	k ə m ɛ d r ɔ l w ɨ̞ r
cymell	k ə m ɛ ɬ
cymer	k ə m ɛ r
cymharu	k ə m h a r ɨ
cymhleth	k ə m h l ɛ θ
cymhleth	k ə m l ɛ θ
cymhleth	k ə m l a θ
cymhleth	k ə m l ɛ θ
cymhleth	k ə m l a θ
cymhlethdod	k ə m h l ɛ θ d ɔ d
cymhlethdodau	k ə m h l ɛ θ d ɔ d a ɨ̯
cymhlethdodau	k ə m h l ɛ θ d ɔ d ɛ
cymhlethdodau	k ə m h l ɛ θ d ɔ d a
cymhlethdodau	k ə m l ɛ θ d ɔ d ɛ
cymhlethdodau	k ə m l ɛ θ d ɔ d a
cymhlethdodau	k ə m h l ɛ θ d ɔ d ɛ
cymhlethdodau	k ə m h l ɛ θ d ɔ d a
cymhlethdodau	k ə m l ɛ θ d ɔ d ɛ
cymhlethdodau	k ə m l ɛ θ d ɔ d a
cymhlethu	k ə m h l ɛ θ ɨ
cymorth	k ə m ɔ r θ
cymorthion	k ə m ɔ r θ j ɔ n
cymraeg	k ə m r aː i̯ ɡ
cymraeg ei iaith	k ə m r aː i̯ ɡ e i̯ j a i̯ θ
cymraeg ei iaith	k ə m r aː i̯ ɡ ɪ j a i̯ θ
cymraes	k ə m r aː ɨ̯ s
cymraesau	k ə m r e ɨ̯ s a ɨ̯
cymraesau	k ə m r e ɨ̯ s ɛ
cymraesau	k ə m r e ɨ̯ s a
cymraesau	k ə m r e ɨ̯ s ɛ
cymraesau	k ə m r e ɨ̯ s a
cymreig	k ə m r e i̯ ɡ
cymro	k ə m r ɔ
cymru	k ə m r ɨ̞
cymry	k ə m r ɨ̞
cymryd	k ə m r ɨ̞ d
cymun	k ə m ɨ̞ n
cymwys	k ə m ʊ ɨ̯ s
cymylau	k ə m ə l a ɨ̯
cymylau	k ə m ə l ɛ
cymylau	k ə m ə l a
cymylau	k ə m ə l ɛ
cymylau	k ə m ə l a
cymylog	k ə m ə l ɔ ɡ
cymylu	k ə m ə l ɨ
cymysg	k ə m ɨ̞ s ɡ
cymysgedd	k ə m ə s ɡ ɛ ð
cymysgedd	k ə m ə s ɡ ɛ ð
cymysgedd	k ə m ə s ɡ ɛ ð
cymysglyd	k ə m ə s ɡ l ɨ̞ d
cyn	k ɨ n
cŷn	k ɨː n
cyn hyn	k ɨ̞ n h ɨ̞ n
cynaeafu	k ə n e ɨ̯ a v ɨ
cynaeafu	k n e ɨ̯ a v ɨ
cynaidd	k ə n a i̯ ð
cynaliadau	k ə n a l j a d a ɨ̯
cynaliadau	k ə n a l j a d ɛ
cynaliadau	k ə n a l j a d a
cynaliadau	k ə n a l j a d ɛ
cynaliadau	k ə n a l j a d a
cynaniad	k ə n a n j a d
cynddrwg	k ə n ð r ʊ ɡ
cynffon	k ə n f ɔ n
cyngaws	k ə ŋ a u̯ s
cynghori	k ə ŋ h ɔ r i
cyngor	k ə ŋ ɔ r
cyngyd	k ə ŋ ɨ̞ d
cyngyd	k ə ŋ ɡ ɨ̞ d
cynhadledd	k ə n h a d l ɛ ð
cynhaeaf	k ə n h e ɨ̯ a v
cynhenna	k ə n h ɛ n a
cynhennu	k ə n h ɛ n ɨ
cynhennus	k ə n h ɛ n ɨ̞ s
cynhesu	k ə n h ɛ s ɨ
cynhorthwy	k ə n h ɔ r θ ʊ ɨ̯
cynhyrchu	k ə n h ə r χ ɨ
cynhyrfu	k ə n h ə r v ɨ̞
cynllunio	k ə n ɬ ɨ̞ n j ɔ
cynnar	k ə n a r
cynnau	k ə n a ɨ̯
cynnau	k ə n ɛ
cynnau	k ə n a
cynnau	k ə n ɛ
cynnau	k ə n a
cynnen	k ə n ɛ n
cynnes	k ə n ɛ s
cynnig	k ə n ɪ ɡ
cynnud	k ə n ɨ̞ d
cynnull	k ə n ɪ ɬ
cynnwrf	k ə n ʊ r v
cynnwys	k ə n ʊ ɨ̯ s
cynnydd	k ə n ɨ̞ ð
cynnyrch	k ə n ɨ̞ r χ
cynorthwyo	k ə n ɔ r θ ʊ ɨ̯ ɔ
cynorthwywyr	k ə n ɔ r θ ʊ ɨ̯ w ɨ̞ r
cynorthwyydd	k ə n ɔ r θ ʊ ɨ̯ ɨ̞ ð
cynradd	k ə n r a ð
cynrychioli	k ə n r ə χ j ɔ l i
cynt	k ɨ̞ n t
cyntaf	k ə n t a v
cyntaf	k ə n t a
cyntaf	k ə n t a
cyntaf wedi'r cant	k ə n t a v w ɛ d ɪ r k a n t
cyntaf wedi'r cant	k ə n t a w ɛ d ɪ r k a n t
cyntaf wedi'r cant	k ə n t a w ɛ d ɪ r k a n t
cyntedd	k ə n t ɛ ð
cyntefin	k ə n t ɛ v ɪ n
cynulleidfa	k ə n ɨ̞ ɬ e i̯ d v a
cynuta	k ə n ɨ̞ t a
cynyddol	k ə n ə ð ɔ l
cynyddu	k ə n ə ð ɨ
cyrch	k ɨ̞ r χ
cyrchu	k ə r χ ɨ
cyrff	k ɨ̞ r f
cyrliog	k ə r l j ɔ ɡ
cyrn	k ɨ̞ r n
cyrraedd	k ə r a ɨ̯ ð
cyrraedd	k ə r ɛ ð
cyrraedd	k ə r a ð
cyrsiau	k ə r ʃ a ɨ̯
cyrsiau	k ə r ʃ ɛ
cyrsiau	k ə r ʃ a
cyrsiau	k ə r ʃ ɛ
cyrsiau	k ə r ʃ a
cyrhaeddaf	k ə r h e ɨ̯ ð a v
cyrhaeddais	k ə r h e ɨ̯ ð a i̯ s
cyrhaeddais	k ə r h e ɨ̯ ð ɛ s
cyrhaeddwch	k ə r h a ɨ̯ ð ʊ χ
cyrhaeddwn	k ə r h a ɨ̯ ð ʊ n
cysgaf	k ə s ɡ a v
cysgiff	k ə s ɡ ɪ f
cysgu	k ə s ɡ ɨ
cysgu fel clawdd	k ə s ɡ ɨ̞ v ɛ l k l a u̯ ð
cyson	k ə s ɔ n
cystadlaethau	k ə s d a d l e ɨ̯ θ a ɨ̯
cystadlaethau	k ə s d a d l e ɨ̯ θ ɛ
cystadlaethau	k ə s d a d l e ɨ̯ θ a
cystadlaethau	k ə s d a d l e ɨ̯ θ ɛ
cystadlaethau	k ə s d a d l e ɨ̯ θ a
cystadleuaeth	k ə s d a d l e ɨ̯ a ɨ̯ θ
cystadleuaeth	k ə s d a d l e ɨ̯ ɛ θ
cystadleuaeth	k ə s d a d l e ɨ̯ ɛ θ
cystadleuol	k ə s d a d l e ɨ̯ ɔ l
cystadleuwr	k ə s d a d l e ɨ̯ ʊ r
cystadleuwyr	k ə s d a d l e ɨ̯ w ɨ̞ r
cystadleuydd	k ə s d a d l e ɨ̯ ɨ̞ ð
cystadlu	k ə s d a d l ɨ
cystal	k ə s d a l
cyswllt	k ə s ʊ ɬ d
cysylltair	k ə s ə ɬ d a i̯ r
cysylltiad	k ə s ə ɬ d j a d
cysylltnod	k ə s ə ɬ d n ɔ d
cysylltu	k ə s ə ɬ d ɨ
cytgord	k ə t ɡ ɔ r d
cytref	k ə t r ɛ v
cytrefi	k ə t r ɛ v ɪ
cytsain	k ə t s a i̯ n
cytseiniaid	k ə t s e i̯ n j a i̯ d
cytseiniaid	k ə t s e i̯ n j ɛ d
cytseiniaid	k ə t s e i̯ n j ɛ d
cytûn	k ə t ɨː n
cytundeb	k ə t ɨ̞ n d ɛ b
cytuno	k ə t ɨ̞ n ɔ
cythraul	k ə θ r a ɨ̯ l
cythraul	k ə θ r ɛ l
cythraul	k ə θ r a l
cythraul	k ə θ r ɛ l
cythraul	k ə θ r a l
cythreuliaid	k ə θ r e ɨ̯ l j a i̯ d
cythreuliaid	k ə θ r e ɨ̯ l j ɛ d
cythreuliaid	k ə θ r e ɨ̯ l j ɛ d
cyw	k ɪ u̯
cyw	k ɨ̞ u̯
cywarch	k ə u̯ a r χ
cyweirio	k ə u̯ e i̯ r j ɔ
cywir	k ə w ɪ r
cyẅres	k ə ʊ r ɛ s
cywydd	k ə u̯ ɨ̞ ð
cywyddau	k ə w ə ð a ɨ̯
cywyddau	k ə w ə ð ɛ
cywyddau	k ə w ə ð a
cywyddau	k ə w ə ð ɛ
cywyddau	k ə w ə ð a
'ch	χ
chacen	χ a k ɛ n
chacen	χ a k a n
chacen	χ a k a n
chacha	χ a χ a
chachi	χ a χ ɪ
chad	χ aː d
chadair	χ a d a i̯ r
chadair	χ a d ɛ r
chadair	χ a d a r
chadair	χ a d ɛ r
chadair	χ a d a r
chae	χ aː ɨ̯
chael	χ aː ɨ̯ l
chael	χ aː l
chael	χ aː l
chaen	χ aː ɨ̯ n
chaeredin	χ a ɨ̯ r ɛ d ɨ̞ n
chaeth	χ aː ɨ̯ θ
chaf	χ aː v
chaf	χ aː
chaf	χ aː
chafas	χ a v a s
chafodd	χ a v ɔ ð
chaffed	χ a f ɛ d
chaffer	χ a f ɛ r
chaffi	χ a f i
chaiff	χ a i̯ f
chain	χ a i̯ n
chaint	χ a i̯ n t
chais	χ a i̯ s
chalan	χ a l a n
chaled	χ a l ɛ d
chaled	χ a l a d
chaled	χ a l a d
chaledu	χ a l ɛ d ɨ
chalenigion	χ a l ɛ n ɪ ɡ j ɔ n
chalennig	χ a l ɛ n ɪ ɡ
chaleted	χ a l ɛ t ɛ d
chalon	χ a l ɔ n
chân	χ aː n
chana	χ a n a
chanes	χ a n ɛ s
chani	χ a n ɪ
chanlyniad	χ a n l ə n j a d
chansen	χ a n s ɛ n
chant	χ a n t
chantor	χ a n t ɔ r
chanu	χ a n ɨ̞
chanwr	χ a n ʊ r
chapel	χ a p ɛ l
char	χ a r
chara	χ a r a
charafán	χ a r a v a n
charai	χ a r a i̯
charai	χ a r ɛ
charai	χ a r ɛ
charan	χ a r a n
charchar	χ a r χ a r
chared	χ a r ɛ d
chares	χ a r ɛ s
charet	χ a r ɛ t
chari	χ a r ɪ
chariad	χ a r j a d
charo	χ a r ɔ
charu	χ a r ɨ̞
charwr	χ a r ʊ r
chas	χ aː s
chasglu	χ a s ɡ l ɨ
chastell	χ a s d ɛ ɬ
chastell	χ a s d a ɬ
chastell	χ a s d a ɬ
chato	χ a t ɔ
chath	χ aː θ
chathod	χ a θ ɔ d
chawl	χ a u̯ l
chawod	χ a u̯ ɔ d
chaws	χ a u̯ s
chdi	χ d iː
chefn	χ ɛ v n
chefnau	χ ɛ v n a ɨ̯
chefnau	χ ɛ v n ɛ
chefnau	χ ɛ v n a
chefnau	χ ɛ v n ɛ
chefnau	χ ɛ v n a
cheffyl	χ ɛ f ɨ̞ l
chegin	χ ɛ ɡ ɪ n
chei	χ e i̯
cheir	χ e i̯ r
cheisio	χ e i̯ ʃ ɔ
cheith	χ ə i̯ θ
chelyn	χ ɛ l ɨ̞ n
chell	χ ɛ ɬ
chemeg	χ ɛ m ɛ ɡ
chenhinen	χ ɛ n h ɪ n ɛ n
chenhinen	χ ɛ n h ɪ n a n
chenhinen	χ ɛ n h ɪ n a n
cherddoriaeth	χ ɛ r ð ɔ r j a ɨ̯ θ
cherddoriaeth	χ ɛ r ð ɔ r j ɛ θ
cherddoriaeth	χ ɛ r ð ɔ r j ɛ θ
cherdded	χ ɛ r ð ɛ d
cheri	χ ɛ r ɪ
cherir	χ ɛ r ɪ r
cherrig	χ ɛ r ɪ ɡ
ches	χ eː s
chest	χ ɛ s t
chestyll	χ ɛ s d ɨ̞ ɬ
chewch	χ ɛ u̯ χ
'chi	χ iː
chi	χ iː
chimod	χ ɪ m oː d
chimod	χ m oː d
chinio	χ ɪ n j ɔ
chithau	χ ɪ θ a ɨ̯
chithau	χ ɪ θ a
chithau	χ ɪ θ a
chladdu	χ l a ð ɨ̞
chlefyd	χ l ɛ v ɨ̞ d
chloan	χ l ɔ a n
chloch	χ l oː χ
chlust	χ l ɨː s t
chlustdlws	χ l ɨ̞ s d l ʊ s
chlwb	χ l ʊ b
chlwyfo	χ l ʊ ɨ̯ v ɔ
chly	χ l ɨː
chlybiau	χ l ə b j a ɨ̯
chlybiau	χ l ə b j ɛ
chlybiau	χ l ə b j a
chlybiau	χ l ə b j ɛ
chlybiau	χ l ə b j a
chlyw	χ l ɪ u̯
chlyw	χ l ɨ u̯
chlywed	χ l ə u̯ ɛ d
chlywed	χ l ə u̯ a d
chlywed	χ l ə u̯ a d
chnau	χ n a ɨ̯
chnau cyll	χ n a ɨ̯ k ɨ̞ ɬ
chnau ffrengig	χ n a ɨ̯ f r ɛ ŋ ɪ ɡ
chneuen	χ n e ɨ̯ ɛ n
chneuen	χ n e ɨ̯ a n
chneuen	χ n e ɨ̯ a n
chneuen ffrengig	χ n e ɨ̯ ɛ n f r ɛ ŋ ɪ ɡ
chneuen ffrengig	χ n e ɨ̯ a n f r ɛ ŋ ɪ ɡ
chneuen ffrengig	χ n e ɨ̯ a n f r ɛ ŋ ɪ ɡ
chneuen gyll	χ n e ɨ̯ ɛ n ɡ ɨ̞ ɬ
chneuen gyll	χ n e ɨ̯ a n ɡ ɨ̞ ɬ
chneuen gyll	χ n e ɨ̯ a n ɡ ɨ̞ ɬ
chnoi	χ n ɔ i̯
chnwd	χ n uː d
choch	χ oː χ
chochlas	χ ɔ χ l a s
chodi	χ ɔ d ɪ
choed	χ oː ɨ̯ d
choeg	χ oː ɨ̯ ɡ
chofio	χ ɔ v j ɔ
choginio	χ ɔ ɡ ɪ n j ɔ
cholli	χ ɔ ɬ i
chopa	χ ɔ p a
chor	χ ɔ r
chorff	χ ɔ r f
choronafeirws	χ ɔ r ɔ n a v e i̯ r ʊ s
chosyn	χ ɔ s ɨ̞ n
chot	χ ɔ t
chôt	χ oː t
chôt law	χ oː t l aː u̯
chrac	χ r a k
christ	χ r iː s t
chroes	χ r oː ɨ̯ s
chrwban	χ r ʊ b a n
chrwth	χ r uː θ
chu	χ ɨː
chul	χ ɨː l
chusan	χ ɨ̞ s a n
chusanau	χ ɨ̞ s a n a ɨ̯
chusanau	χ ɨ̞ s a n ɛ
chusanau	χ ɨ̞ s a n a
chusanau	χ ɨ̞ s a n ɛ
chusanau	χ ɨ̞ s a n a
chusanu	χ ɨ̞ s a n ɨ̞
chut	χ ɨ̞ t
chwaer	χ w aː ɨ̯ r
chwain	χ w a i̯ n
chwalu	χ w a l ɨ̞
chwannog	χ w a n ɔ ɡ
chwarae	χ w a r a ɨ̯
chwarae	χ w a r ɛ
chwarae	χ w a r a
chwarae	χ w a r ɛ
chwarae	χ w a r a
chwaraeon	χ w a r e ɨ̯ ɔ n
chwardd	χ w a r ð
chwarel	χ w a r ɛ l
chwarel	χ w a r a l
chwarel	χ w a r a l
chwarren	χ w a r ɛ n
chwch	χ ʊ χ
chwe	χ w eː
chwech	χ w eː χ
chwech ar hugain	χ w eː χ a r h ɪ ɡ a i̯ n
chweched	χ w ɛ χ ɛ d
chweched	χ w ɛ χ a d
chweched	χ w ɛ χ a d
chweched ar hugain	χ w ɛ χ ɛ d a r h ɪ ɡ a i̯ n
chwedl	χ w ɛ d l
chwefror	χ w ɛ v r ɔ r
chweina	χ w e i̯ n a
chwennych	χ w ɛ n ɨ̞ χ
chwenychu	χ w ɛ n ə χ ɨ
chwern	χ w ɛ r n
chwerthin	χ w ɛ r θ ɨ̞ n
chwerw	χ w ɛ r u
chwerwddwr	χ w ɛ r w ð ʊ r
chwerwddwr	χ w ɛ r ð ʊ r
chwery	χ w ɛ r ɨ
chwest	χ w eː s d
chwestiwn	k w ɛ s d j ʊ n
chweugain	χ w e i̯ ɡ a i̯ n
chwi	χ w iː
chwigain	χ w ɪ ɡ a i̯ n
chwilio	χ w ɪ l j ɔ
chwinciad	χ w ɪ ŋ k j a d
chwiorydd	χ w i ɔ r ɨ̞ ð
chwip	χ w ɪ p
chwisgi	χ w ɪ s ɡ i
chwisgi	w ɪ s ɡ i
chwisgi	w ɪ s ɡ i
chwith	χ w iː θ
chwithau	χ w ɪ θ a ɨ̯
chwningen	χ ʊ n ɪ ŋ ɛ n
chwningen	χ ʊ n ɪ ŋ a n
chwningen	χ ʊ n ɪ ŋ a n
chwpan	χ ʊ p a n
chwpwrdd	χ ʊ p ʊ r ð
chwrdd	χ ʊ r ð
chwrs	χ ʊ r s
chwrw	χ ʊ r u
chwydd	χ uː ɨ̯ ð
chwydd	χ w ɨː ð
chwyddiant	χ w ə ð j a n t
chwyddo	χ w ɨ̞ ð ɔ
chwŷl	χ w ɨː l
chwyldro	χ w ɨ̞ l d r ɔ
chwyldroi	χ w ɨ̞ l d r ɔ i̯
chwympo	χ w ɨ m p ɔ
chwyno	χ ʊ ɨ̯ n ɔ
chwyrn	χ w ɨ̞ r n
chwyrnaf	χ w ə r n a v
chwyrnu	χ w ə r n ɨ
chwys	χ w ɨː s
chwyth	χ w ɨː θ
chwythaf	χ w ə θ a v
chwythaf	χ w ə θ a
chwythaf	χ w ə θ a
chwythu	χ w ə θ ɨ̞
chychwyn	χ ə χ w ɨ̞ n
chydbreswylwyr	χ ɨː d b r ɛ s ʊ ɨ̯ l w ɨ̞ r
chyfaill	χ ə v a i̯ ɬ
chyfaredd	χ ə v a r ɛ ð
chyfarfod	χ ə v a r v ɔ d
chyfarfod	χ w a r v ɔ d
chyfarfod	χ w a r v ɔ d
chyfeillion	χ ə v e i̯ ɬ j ɔ n
chyfiawnder	χ ə v j a u̯ n d ɛ r
chyflym	χ ə v l ɨ̞ m
chyfnither	χ ə v n ɪ θ ɛ r
chyfnither	χ ə v n ɪ θ a r
chyfnither	χ ə v n ɪ θ a r
chyfoethog	χ ə v ɔ ɨ̯ θ ɔ ɡ
chyfreithiwr	χ ə v r e i̯ θ j ʊ r
chyfforddus	χ ə f ɔ r ð ɨ̞ s
chylchgrawn	χ ə l χ ɡ r a u̯ n
chylchgrawn	χ ɨ̞ l χ ɡ r a u̯ n
chyllell	χ ə ɬ ɛ ɬ
chyllell	χ ə ɬ a ɬ
chyllell	χ ə ɬ a ɬ
chymaint	χ ə m a i̯ n t
chymaint	χ ə m ɛ n t
chymaint	χ ə m ɛ n t
chymedrolwr	χ ə m ɛ d r ɔ l ʊ r
chymedrolwyr	χ ə m ɛ d r ɔ l w ɨ̞ r
chymorth	χ ə m ɔ r θ
chymro	χ ə m r ɔ
chymru	χ ə m r ɨ̞
chymry	χ ə m r ɨ̞
chymylog	χ ə m ə l ɔ ɡ
chynffon	χ ə n f ɔ n
chyngor	χ ə ŋ ɔ r
chynhadledd	χ ə n h a d l ɛ ð
chynnwrf	χ ə n ʊ r v
chyrraedd	χ ə r a ɨ̯ ð
chyrraedd	χ ə r ɛ ð
chyrraedd	χ ə r a ð
chyrraedd	χ ə r ɛ ð
chyrraedd	χ ə r a ð
chysgu	χ ə s ɡ ɨ
chystadlu	χ ə s d a d l ɨ
chythraul	χ ə θ r a ɨ̯ l
chythraul	χ ə θ r ɛ l
chythraul	χ ə θ r a l
chythraul	χ ə θ r ɛ l
chythraul	χ ə θ r a l
chythreuliaid	χ ə θ r e ɨ̯ l j a i̯ d
chythreuliaid	χ ə θ r e ɨ̯ l j ɛ d
chythreuliaid	χ ə θ r e ɨ̯ l j ɛ d
chywir	χ ə u̯ ɪ r
da	d aː
daclus	d a k l ɨ̞ s
dacluso	d a k l ɨ̞ s ɔ
dacw	d a k u
dachwedd	d a χ w ɛ ð
dad	d aː d
dadiol	d a d j ɔ l
dadl	d a d l
dadlau	d a d l a ɨ̯
dadlau	d a d l ɛ
dadlau	d a d l a
dadlau	d a d l ɛ
dadlau	d a d l a
dadleuol	d a d l e ɨ̯ ɔ l
dadleuon	d a d l e ɨ̯ ɔ n
dadlwytho	d a d l ʊ ɨ̯ θ ɔ
dadwisgo	d a d w ɪ s ɡ ɔ
daear	d e ɨ̯ a r
daearfoch	d e ɨ̯ a r v ɔ χ
daeargryn	d e ɨ̯ a r ɡ r ɨ̞ n
daeargrynfeydd	d e ɨ̯ a r ɡ r ə n v e ɨ̯ ð
daeth	d aː ɨ̯ θ
daethpwyd	d e ɨ̯ θ p ʊ ɨ̯ d
dafad	d a v a d
dafarn	d a v a r n
dafarnwr	d a v a r n ʊ r
dafarnwraig	d a v a r n w r a i̯ ɡ
daflu	d a v l ɨ
dafod	d a v ɔ d
dafydd	d a v ɨ̞ ð
dagrau	d a ɡ r a ɨ̯
dagrau	d a ɡ r ɛ
dagrau	d a ɡ r a
dagrau	d a ɡ r ɛ
dagrau	d a ɡ r a
dail	d a i̯ l
dail tafol	d a i̯ l t a v ɔ l
daioni	d a j ɔ n i
dair	d a i̯ r
daith	d a i̯ θ
dal	d a l
dâl	d aː l
dala	d a l a
dala	d a l a
dalais	d a l a i̯ s
dalais	d a l ɛ s
dalais	d a l ɛ ʃ
dalais	d a l ɪ ʃ
dalais	d a l ɛ s
dalais	d a l ɛ ʃ
dalais	d a l ɪ ʃ
dalan	d a l a n
dalcen	d a l k ɛ n
dalcen	d a l k a n
dalcen	d a l k a n
daled	d a l ɛ d
dalen	d a l ɛ n
dalent	d a l ɛ n t
daler	d a l ɛ r
dales	d a l ɛ s
dalet	d a l ɛ t
dalfa	d a l v a
dali	d a l i
dalia	d a l j a
daliad	d a l j a d
daliadaeth	d a l j a d a ɨ̯ θ
daliadaeth	d a l j a d ɛ θ
daliadaeth	d a l j a d ɛ θ
daliadaethau	d a l j a d e ɨ̯ θ a ɨ̯
daliadaethau	d a l j a d e ɨ̯ θ ɛ
daliadaethau	d a l j a d e ɨ̯ θ a
daliadaethau	d a l j a d e ɨ̯ θ ɛ
daliadaethau	d a l j a d e ɨ̯ θ a
daliadau	d a l j a d a ɨ̯
daliadau	d a l j a d ɛ
daliadau	d a l j a d a
daliadau	d a l j a d ɛ
daliadau	d a l j a d a
daliaf	d a l j a v
daliff	d a l ɪ f
dalit	d a l ɪ t
dalo	d a l ɔ
dalom	d a l ɔ m
dalon	d a l ɔ n
dalu	d a l ɨ̞
dall	d a ɬ
dallt	d aː ɬ d
damwain	d a m w a i̯ n
damweiniau	d a m w e i̯ n j a ɨ̯
damweiniau	d a m w e i̯ n j ɛ
damweiniau	d a m w e i̯ n j a
damweinio	d a m w e i̯ n j ɔ
dan	d a n
dân	d aː n
danadl	d a n a d l
danadl poethion	d a n a d l p ɔ ɨ̯ θ j ɔ n
danfon	d a n v ɔ n
dangos	d a ŋ ɔ s
dannedd	d a n ɛ ð
dannoedd	d a n ɔ ɨ̯ ð
dant	d a n t
dâr	d aː r
darian	d a r j a n
darianau	d a r j a n a ɨ̯
darianau	d a r j a n ɛ
darianau	d a r j a n a
darianau	d a r j a n ɛ
darianau	d a r j a n a
darlithio	d a r l ɪ θ j ɔ
darlithydd	d a r l ɪ θ ɨ̞ ð
