A	a
dezazun	d e s̺ a s̺ u n
dezazun	d e s̻ a s̻ u n
dibertitu	d i b e r t i t u
dibertsio	d i b e r t͡s̺ i o
dibertsio	d i b e r t͡s̻ i o
dihardu	d i a r d u
dihardu	d i h a r d u
dihardugu	d i a r d u ɡ u
dihardugu	d i h a r d u ɡ u
diharduk	d i a r d u k
diharduk	d i h a r d u k
diharduka	d i a r d u k a
diharduka	d i h a r d u k a
dihardukagu	d i a r d u k a ɡ u
dihardukagu	d i h a r d u k a ɡ u
dihardukak	d i a r d u k a k
dihardukak	d i h a r d u k a k
dihardukan	d i a r d u k a n
dihardukan	d i h a r d u k a n
dihardukat	d i a r d u k a t
dihardukat	d i h a r d u k a t
dihardukate	d i a r d u k a t e
dihardukate	d i h a r d u k a t e
dihardukazu	d i a r d u k a s̻ u
dihardukazu	d i h a r d u k a s̻ u
dihardukazue	d i a r d u k a s̻ u e
dihardukazue	d i h a r d u k a s̻ u e
dihardun	d i a r d u n
dihardun	d i h a r d u n
dihardut	d i a r d u t
dihardut	d i h a r d u t
dihardute	d i a r d u t e
dihardute	d i h a r d u t e
diharduzu	d i a r d u s̻ u
diharduzu	d i h a r d u s̻ u
diharduzue	d i a r d u s̻ u e
diharduzue	d i h a r d u s̻ u e
dira	d i ɾ a
dirateke	d i ɾ a t e k e
dirau	d i ɾ a u̯
diraugu	d i ɾ a u̯ ɡ u
dirauk	d i ɾ a u̯ k
diraun	d i ɾ a u̯ n
diraut	d i ɾ a u̯ t
diraute	d i ɾ a u̯ t e
dirauzu	d i ɾ a u̯ s̻ u
dirauzue	d i ɾ a u̯ s̻ u e
diru	d i ɾ u
dirudi	d i ɾ u d i
dirudigu	d i ɾ u d i ɡ u
dirudik	d i ɾ u d i k
dirudin	d i ɾ u d i n
dirudit	d i ɾ u d i t
dirudite	d i ɾ u d i t e
dirudizu	d i ɾ u d i s̻ u
dirudizue	d i ɾ u d i s̻ u e
disfrutatu	d i s̺ f r u t a t u
disko	d i s̺ k o
diskoetxe	d i s̺ k o e t͡ʃ e
ditu	d i t u
ditugu	d i t u ɡ u
dituk	d i t u k
ditun	d i t u n
ditut	d i t u t
dituzke	d i t u s̺ k e
dituzke	d i t u s̻ k e
dituzkegu	d i t u s̺ k e ɡ u
dituzkegu	d i t u s̻ k e ɡ u
dituzkek	d i t u s̺ k e k
dituzkek	d i t u s̻ k e k
dituzken	d i t u s̺ k e n
dituzken	d i t u s̻ k e n
dituzket	d i t u s̺ k e t
dituzket	d i t u s̻ k e t
dituzkete	d i t u s̺ k e t e
dituzkete	d i t u s̻ k e t e
dituzkezu	d i t u s̺ k e s̺ u
dituzkezu	d i t u s̻ k e s̻ u
dituzkezue	d i t u s̺ k e s̺ u e
dituzkezue	d i t u s̻ k e s̻ u e
dituzte	d i t u s̺ t e
dituzte	d i t u s̻ t e
dituzu	d i t u s̻ u
dituzue	d i t u s̺ u e
dituzue	d i t u s̻ u e
ditzaala	d i t͡s̻ a a l a
ditzaan	d i t͡s̻ a a n
ditzadala	d i t͡s̻ a d a l a
ditzadan	d i t͡s̻ a d a n
ditzagula	d i t͡s̻ a ɡ u l a
ditzagun	d i t͡s̻ a ɡ u n
ditzake	d i t͡s̻ a k e
ditzakegu	d i t͡s̻ a k e ɡ u
ditzakek	d i t͡s̻ a k e k
ditzaken	d i t͡s̻ a k e n
ditzaket	d i t͡s̻ a k e t
ditzakete	d i t͡s̻ a k e t e
ditzakezu	d i t͡s̻ a k e s̺ u
ditzakezu	d i t͡s̻ a k e s̻ u
ditzakezue	d i t͡s̻ a k e s̺ u e
ditzakezue	d i t͡s̻ a k e s̻ u e
ditzala	d i t͡s̻ a l a
ditzan	d i t͡s̻ a n
ditzanala	d i t͡s̻ a n a l a
ditzanan	d i t͡s̻ a n a n
ditzatela	d i t͡s̻ a t e l a
ditzaten	d i t͡s̻ a t e n
ditzazuela	d i t͡s̻ a s̺ u e l a
ditzazuela	d i t͡s̻ a s̻ u e l a
ditzazuen	d i t͡s̻ a s̺ u e n
ditzazuen	d i t͡s̻ a s̻ u e n
ditzazula	d i t͡s̻ a s̺ u l a
ditzazula	d i t͡s̻ a s̻ u l a
ditzazun	d i t͡s̻ a s̺ u n
ditzazun	d i t͡s̻ a s̻ u n
dizipulu	d i s̺ i p u l u
dizipulu	d i s̻ i p u l u
doa	d o a
doake	d o a k e
doan	d o a n
doaz	d o a s̺
doaz	d o a s̻
doazen	d o a s̺ e n
doazen	d o a s̻ e n
doazke	d o a s̺ k e
doazke	d o a s̻ k e
dohainik	d o a ɲ i k
dohainik	d o h a i̯ n i k
doinu	d o i̯ n u
doinu	d o ɲ u
dokumentu	d o k u m e n t u
dolar	d o l a r
domeka	d o m e k a
done	d o n e
dorretxe	d o r e t͡ʃ e
dortoka	d o r t o k a
dotore	d o t o ɾ e
dozena	d o s̻ e n a
droga	d r o ɡ a
dromedario	d r o m e d a ɾ i o
du	d u
duela	d u e l a
dugu	d u ɡ u
duk	d u k
duke	d u k e
dukegu	d u k e ɡ u
dukek	d u k e k
duken	d u k e n
duket	d u k e t
dukete	d u k e t e
dukezu	d u k e s̺ u
dukezu	d u k e s̻ u
dukezue	d u k e s̺ u e
dukezue	d u k e s̻ u e
dun	d u n
durundi	d u ɾ u n d i
dut	d u t
dute	d u t e
duzu	d u s̺ u
duzu	d u s̻ u
duzue	d u s̺ u e
duzue	d u s̻ u e
dzast	d s̻ a s̺ t
e	e
ea	e a
ebaki	e b a k i
ebanjelio	e b a n d͡ʒ e l i o
ebanjelio	e b a n j e l i o
ebanjelio	e b a n x e l i o
ebanjelio	e b a n ɟ e l i o
ebiakoitz	e b i a k o i̯ t͡s̻
edan	e d a n
edari	e d a ɾ i
eder	e d e r
edertasun	e d e r t a s̺ u n
edin	e d i n
edo	e d o
edonor	e d o n o r
edozein	e d o s̺ e i̯ n
edozein	e d o s̻ e i̯ n
edozer	e d o s̺ e r
edozer	e d o s̻ e r
eduki	e d u k i
edukiko	e d u k i k o
edukitze	e d u k i t͡s̻ e
edukitzen	e d u k i t͡s̻ e n
edun	e d u n
efe	e f e
egarri	e ɡ a r i
egia	e ɡ i a
egiaz	e ɡ i a s̺
egiaz	e ɡ i a s̻
egiazko	e ɡ i a s̻ k o
egiaztatu	e ɡ i a s̻ t a t u
egik	e ɡ i k
egile	e ɡ i l e
egile	e ɡ i ʎ e
egin	e ɡ i n
egingo	e ɡ i n ɡ o
egitasmo	e ɡ i t a s̺ m o
egite	e ɡ i t e
egiten	e ɡ i t e n
egitzak	e ɡ i t͡s̻ a k
egitzan	e ɡ i t͡s̻ a n
egitzazu	e ɡ i t͡s̻ a s̺ u
egitzazu	e ɡ i t͡s̻ a s̻ u
egitzazue	e ɡ i t͡s̻ a s̺ u e
egitzazue	e ɡ i t͡s̻ a s̻ u e
egizu	e ɡ i s̺ u
egizu	e ɡ i s̻ u
egizue	e ɡ i s̺ u e
egizue	e ɡ i s̻ u e
egokitu	e ɡ o k i t u
egon	e ɡ o n
egongo	e ɡ o n ɡ o
egosi	e ɡ o s̺ i
egote	e ɡ o t e
egoten	e ɡ o t e n
eguazten	e ɡ u a s̻ t e n
egubakoitz	e ɡ u b a k o i̯ t͡s̻
eguen	e ɡ u e n
eguerdi	e ɡ u e r d i
egun	e ɡ u n
egungo	e ɡ u n ɡ o
egunkari	e ɡ u n k a ɾ i
egur	e ɡ u r
eguraldi	e ɡ u ɾ a l d i
eguzki	e ɡ u s̺ k i
eguzki	e ɡ u s̻ k i
eguzkitsu	e ɡ u s̺ k i t͡s̻ u
eguzkitsu	e ɡ u s̻ k i t͡s̺ u
ehe	e h e
ehe	e h̃ e
ehiza	e h i s̻ a
ehiza	e i̯ s̻ a
ehiztari	e h i s̻ t a ɾ i
ehiztari	e i̯ s̺ t a ɾ i
ehiztari	e i̯ s̻ t a ɾ i
eho	e h o
eho	e o
ehun	e h u n
ehun	e u̯ n
ehundu	e h u n d u
ehundu	e u̯ n d u
ekain	e k a i̯ n
ekaiztsu	e k a i̯ s̻ t͡s̺ u
ekark	e k a r k
ekarna	e k a r n a
ekarri	e k a r i
ekialde	e k i a l d e
eldarnio	e l d a r n i o
ele	e l e
elefante	e l e f a n t e
eliza	e l i s̺ a
eliza	e l i s̻ a
elizbarruti	e l i s̺ b a r u t i
elizbarruti	e l i s̻ b a r u t i
elkar	e l k a r
elkarlan	e l k a r l a n
elkarrekin	e l k a r e k i n
elkarren	e l k a r e n
elkarrengan	e l k a r e n ɡ a n
elkarrengana	e l k a r e n ɡ a n a
elkarrenganaino	e l k a r e n ɡ a n a i̯ n o
elkarrenganaino	e l k a r e n ɡ a n a ɲ o
elkarrenganako	e l k a r e n ɡ a n a k o
elkarrenganantz	e l k a r e n ɡ a n a n t͡s̻
elkarrengandik	e l k a r e n ɡ a n d i k
elkarrengatik	e l k a r e n ɡ a t i k
elkarrentzat	e l k a r e n t͡s̻ a t
elkarrez	e l k a r e s̻
elkarri	e l k a r i
elkartasun	e l k a r t a s̺ u n
elkartu	e l k a r t u
eltxo	e l t͡ʃ o
emagaldu	e m a ɡ a l d u
emagizon	e m a ɡ i s̺ o n
emagizon	e m a ɡ i s̻ o n
emakume	e m a k u m e
eman	e m a n
emaztegai	e m a s̺ t e ɡ a i̯
emaztegai	e m a s̻ t e ɡ a i̯
eme	e m e
enara	e n a ɾ a
ene	e n e
enegan	e n e ɡ a n
enigmatiko	e n i ɡ m a t i k o
entziklopedia	e n t͡s̻ i k l o p e d i a
entzuk	e n t͡s̻ u k
entzun	e n t͡s̻ u n
entzungor	e n t͡s̻ u n ɡ o r
entzuzu	e n t͡s̻ u s̻ u
entzuzue	e n t͡s̻ u s̻ u e
epai	e p a i̯
epaikari	e p a i̯ k a ɾ i
epaiketa	e p a i̯ k e t a
epail	e p a i̯ l
epaile	e p a i̯ l e
epaile	e p a ʎ e
epaitegi	e p a i̯ t e ɡ i
epaitu	e p a i̯ t u
eper	e p e r
epidemiologiko	e p i d e m i o l o ɡ i k o
erabakitze	e ɾ a b a k i t͡s̻ e
erabili	e ɾ a b i l i
erabili	e ɾ a b i ʎ i
erabilketa	e ɾ a b i l k e t a
erabiltzaile	e ɾ a b i l t͡s̻ a i̯ l e
erabiltzaile	e ɾ a b i l t͡s̻ a ʎ e
eragin	e ɾ a ɡ i n
eraikin	e ɾ a i̯ k i n
erakuskuk	e ɾ a k u s̺ k u k
erakuskun	e ɾ a k u s̺ k u n
erakuskuzu	e ɾ a k u s̺ k u s̺ u
erakuskuzu	e ɾ a k u s̺ k u s̻ u
erakuskuzue	e ɾ a k u s̺ k u s̺ u e
erakuskuzue	e ɾ a k u s̺ k u s̻ u e
erakusmahai	e ɾ a k u s̺ m a h a i̯
erakusmahai	e ɾ a k u s̺ m a i̯
erakustak	e ɾ a k u s̺ t a k
erakustan	e ɾ a k u s̺ t a n
erakustazu	e ɾ a k u s̺ t a s̺ u
erakustazu	e ɾ a k u s̺ t a s̻ u
erakustazue	e ɾ a k u s̺ t a s̺ u e
erakustazue	e ɾ a k u s̺ t a s̻ u e
erakutsak	e ɾ a k u t͡s̺ a k
erakutsan	e ɾ a k u t͡s̺ a n
erakutsazkidak	e ɾ a k u t͡s̺ a s̻ k i d a k
erakutsazkidak	e ɾ a k u t͡s̻ a s̺ k i d a k
erakutsazkidan	e ɾ a k u t͡s̺ a s̻ k i d a n
erakutsazkidan	e ɾ a k u t͡s̻ a s̺ k i d a n
erakutsazkidazu	e ɾ a k u t͡s̺ a s̻ k i d a s̻ u
erakutsazkidazu	e ɾ a k u t͡s̻ a s̺ k i d a s̺ u
erakutsazkidazue	e ɾ a k u t͡s̺ a s̻ k i d a s̻ u e
erakutsazkidazue	e ɾ a k u t͡s̻ a s̺ k i d a s̺ u e
erakutsazkiek	e ɾ a k u t͡s̺ a s̻ k i e k
erakutsazkiek	e ɾ a k u t͡s̻ a s̺ k i e k
erakutsazkien	e ɾ a k u t͡s̺ a s̻ k i e n
erakutsazkien	e ɾ a k u t͡s̻ a s̺ k i e n
erakutsazkiezu	e ɾ a k u t͡s̺ a s̻ k i e s̻ u
erakutsazkiezu	e ɾ a k u t͡s̻ a s̺ k i e s̺ u
erakutsazkiezue	e ɾ a k u t͡s̺ a s̻ k i e s̻ u e
erakutsazkiezue	e ɾ a k u t͡s̻ a s̺ k i e s̺ u e
erakutsazkiguk	e ɾ a k u t͡s̺ a s̻ k i ɡ u k
erakutsazkiguk	e ɾ a k u t͡s̻ a s̺ k i ɡ u k
erakutsazkigun	e ɾ a k u t͡s̺ a s̻ k i ɡ u n
erakutsazkigun	e ɾ a k u t͡s̻ a s̺ k i ɡ u n
erakutsazkiguzu	e ɾ a k u t͡s̺ a s̻ k i ɡ u s̻ u
erakutsazkiguzu	e ɾ a k u t͡s̻ a s̺ k i ɡ u s̺ u
erakutsazkiguzue	e ɾ a k u t͡s̺ a s̻ k i ɡ u s̻ u e
erakutsazkiguzue	e ɾ a k u t͡s̻ a s̺ k i ɡ u s̺ u e
erakutsazkiok	e ɾ a k u t͡s̺ a s̻ k i o k
erakutsazkiok	e ɾ a k u t͡s̻ a s̺ k i o k
erakutsazkion	e ɾ a k u t͡s̺ a s̻ k i o n
erakutsazkion	e ɾ a k u t͡s̻ a s̺ k i o n
erakutsazkiozu	e ɾ a k u t͡s̺ a s̻ k i o s̻ u
erakutsazkiozu	e ɾ a k u t͡s̻ a s̺ k i o s̺ u
erakutsazkiozue	e ɾ a k u t͡s̺ a s̻ k i o s̻ u e
erakutsazkiozue	e ɾ a k u t͡s̻ a s̺ k i o s̺ u e
erakutsazu	e ɾ a k u t͡s̺ a s̻ u
erakutsazue	e ɾ a k u t͡s̺ a s̻ u e
erakutsi	e ɾ a k u t͡s̺ i
erakutsi	e ɾ a k u t͡s̻ i
erakutsiek	e ɾ a k u t͡s̺ i e k
erakutsiek	e ɾ a k u t͡s̻ i e k
erakutsien	e ɾ a k u t͡s̺ i e n
erakutsien	e ɾ a k u t͡s̻ i e n
erakutsiezu	e ɾ a k u t͡s̺ i e s̻ u
erakutsiezu	e ɾ a k u t͡s̻ i e s̺ u
erakutsiezue	e ɾ a k u t͡s̺ i e s̻ u e
erakutsiezue	e ɾ a k u t͡s̻ i e s̺ u e
erakutsiok	e ɾ a k u t͡s̺ i o k
erakutsiok	e ɾ a k u t͡s̻ i o k
erakutsion	e ɾ a k u t͡s̺ i o n
erakutsion	e ɾ a k u t͡s̻ i o n
erakutsiozu	e ɾ a k u t͡s̺ i o s̻ u
erakutsiozu	e ɾ a k u t͡s̻ i o s̺ u
erakutsiozue	e ɾ a k u t͡s̺ i o s̻ u e
erakutsiozue	e ɾ a k u t͡s̻ i o s̺ u e
eraman	e ɾ a m a n
eramankor	e ɾ a m a n k o r
eranskailu	e ɾ a n s̺ k a i̯ l u
eranskailu	e ɾ a n s̺ k a ʎ u
erantsi	e ɾ a n t͡s̺ i
erantsi	e ɾ a n t͡s̻ i
erantzun	e ɾ a n t͡s̻ u n
erbi	e r b i
erdara	e r d a ɾ a
erdi	e r d i
erdigune	e r d i ɡ u n e
erditu	e r d i t u
ere	e ɾ e
ereiaro	e ɾ e i̯ a ɾ o
ergel	e r ɡ e l
eri	e ɾ i
erion	e ɾ i o n
eritasun	e ɾ i t a s̺ u n
erlategi	e r l a t e ɡ i
erlauntza	e r l a u̯ n t͡s̻ a
erle	e r l e
erlezain	e r l e s̺ a i̯ n
erlezain	e r l e s̻ a i̯ n
ermita	e r m i t a
erne	e r n e
eroak	e ɾ o a k
eroan	e ɾ o a n
eroango	e ɾ o a n ɡ o
eroate	e ɾ o a t e
eroaten	e ɾ o a t e n
eroazu	e ɾ o a s̻ u
eroazue	e ɾ o a s̻ u e
erori	e ɾ o ɾ i
eros	e ɾ o s̺
erosak	e ɾ o s̺ a k
erosan	e ɾ o s̺ a n
erosazkidak	e ɾ o s̺ a s̺ k i d a k
erosazkidak	e ɾ o s̺ a s̻ k i d a k
erosazkidan	e ɾ o s̺ a s̺ k i d a n
erosazkidan	e ɾ o s̺ a s̻ k i d a n
erosazkidazu	e ɾ o s̺ a s̺ k i d a s̺ u
erosazkidazu	e ɾ o s̺ a s̻ k i d a s̻ u
erosazkidazue	e ɾ o s̺ a s̺ k i d a s̺ u e
erosazkidazue	e ɾ o s̺ a s̻ k i d a s̻ u e
erosazkiek	e ɾ o s̺ a s̺ k i e k
erosazkiek	e ɾ o s̺ a s̻ k i e k
erosazkien	e ɾ o s̺ a s̺ k i e n
erosazkien	e ɾ o s̺ a s̻ k i e n
erosazkiezu	e ɾ o s̺ a s̺ k i e s̺ u
erosazkiezu	e ɾ o s̺ a s̻ k i e s̻ u
erosazkiezue	e ɾ o s̺ a s̺ k i e s̺ u e
erosazkiezue	e ɾ o s̺ a s̻ k i e s̻ u e
erosazkiguk	e ɾ o s̺ a s̺ k i ɡ u k
erosazkiguk	e ɾ o s̺ a s̻ k i ɡ u k
erosazkigun	e ɾ o s̺ a s̺ k i ɡ u n
erosazkigun	e ɾ o s̺ a s̻ k i ɡ u n
erosazkiguzu	e ɾ o s̺ a s̺ k i ɡ u s̺ u
erosazkiguzu	e ɾ o s̺ a s̻ k i ɡ u s̻ u
erosazkiguzue	e ɾ o s̺ a s̺ k i ɡ u s̺ u e
erosazkiguzue	e ɾ o s̺ a s̻ k i ɡ u s̻ u e
erosazkiok	e ɾ o s̺ a s̺ k i o k
erosazkiok	e ɾ o s̺ a s̻ k i o k
erosazkion	e ɾ o s̺ a s̺ k i o n
erosazkion	e ɾ o s̺ a s̻ k i o n
erosazkiozu	e ɾ o s̺ a s̺ k i o s̺ u
erosazkiozu	e ɾ o s̺ a s̻ k i o s̻ u
erosazkiozue	e ɾ o s̺ a s̺ k i o s̺ u e
erosazkiozue	e ɾ o s̺ a s̻ k i o s̻ u e
erosazu	e ɾ o s̺ a s̻ u
erosazue	e ɾ o s̺ a s̻ u e
erosi	e ɾ o s̺ i
erosiek	e ɾ o s̺ i e k
erosien	e ɾ o s̺ i e n
erosiezu	e ɾ o s̺ i e s̺ u
erosiezu	e ɾ o s̺ i e s̻ u
erosiezue	e ɾ o s̺ i e s̺ u e
erosiezue	e ɾ o s̺ i e s̻ u e
erosiok	e ɾ o s̺ i o k
erosion	e ɾ o s̺ i o n
erosiozu	e ɾ o s̺ i o s̺ u
erosiozu	e ɾ o s̺ i o s̻ u
erosiozue	e ɾ o s̺ i o s̺ u e
erosiozue	e ɾ o s̺ i o s̻ u e
eroskuk	e ɾ o s̺ k u k
eroskun	e ɾ o s̺ k u n
eroskuzu	e ɾ o s̺ k u s̺ u
eroskuzu	e ɾ o s̺ k u s̻ u
eroskuzue	e ɾ o s̺ k u s̺ u e
eroskuzue	e ɾ o s̺ k u s̻ u e
erostak	e ɾ o s̺ t a k
erostan	e ɾ o s̺ t a n
erostazu	e ɾ o s̺ t a s̺ u
erostazu	e ɾ o s̺ t a s̻ u
erostazue	e ɾ o s̺ t a s̺ u e
erostazue	e ɾ o s̺ t a s̻ u e
erpuru	e r p u ɾ u
erradar	e r a d a r
errain	e r a i̯ n
erraldoi	e r a l d o i̯
erramu	e r a m u
erran	e r a n
errauts	e r a u̯ t͡s̺
errauts	e r a u̯ t͡s̻
erraz	e r a s̻
erre	e r e
erreferentzia	e r e f e ɾ e n t͡s̻ i a
errege	e r e ɡ e
erregela	e r e ɡ e l a
erregina	e r e ɡ i n a
erregina	e r e ɡ i ɲ a
erreka	e r e k a
errementari	e r e m e n t a ɾ i
errepide	e r e p i d e
errepika	e r e p i k a
errepikatu	e r e p i k a t u
erresistentzia	e r e s̺ i s̺ t e n t͡s̻ i a
erresuma	e r e s̺ u m a
errez	e r e s̻
errota	e r o t a
erru	e r u
errudun	e r u d u n
errumaniar	e r u m a n i a r
errumaniera	e r u m a n i e ɾ a
errusiar	e r u s̺ i a r
errusiera	e r u s̺ i e ɾ a
ertz	e r t͡s̻
ertzain	e r t͡s̻ a i̯ n
ertzaina	e r t͡s̻ a i̯ n a
ertzaina	e r t͡s̻ a ɲ a
esaldi	e s̺ a l d i
esan	e s̺ a n
esaneko	e s̺ a n e k o
esango	e s̺ a n ɡ o
esanguratsu	e s̺ a n ɡ u ɾ a t͡s̺ u
esanguratsu	e s̺ a n ɡ u ɾ a t͡s̻ u
esate	e s̺ a t e
ese	e s̺ e
eseki	e s̺ e k i
esekitoki	e s̺ e k i t o k i
eseri	e s̺ e ɾ i
eskabide	e s̺ k a b i d e
eskailera	e s̺ k a i̯ l e ɾ a
eskailera	e s̺ k a ʎ e ɾ a
eskaini	e s̺ k a i̯ n i
eskaini	e s̺ k a ɲ i
eskari	e s̺ k a ɾ i
eskatu	e s̺ k a t u
esker	e s̺ k e r
eskertu	e s̺ k e r t u
eskola	e s̺ k o l a
eskribitu	e s̺ k r i b i t u
esku	e s̺ k u
eskubila	e s̺ k u b i l a
eskubila	e s̺ k u b i ʎ a
eskuin	e s̺ k u i̯ n
eskutitz	e s̺ k u t i t͡s̻
eskuzabal	e s̺ k u s̺ a b a l
eskuzabal	e s̺ k u s̻ a b a l
eslogan	e s̺ l o ɡ a n
eslovakiar	e s̺ l o b a k i a r
eslovakiera	e s̺ l o b a k i e ɾ a
esloveniar	e s̺ l o b e n i a r
esloveniera	e s̺ l o b e n i e ɾ a
esnatu	e s̺ n a t u
esne	e s̺ n e
espainiar	e s̺ p a i̯ n i a r
espainiar	e s̺ p a ɲ i a r
esperanto	e s̺ p e ɾ a n t o
espezie	e s̺ p e s̺ i e
espezie	e s̺ p e s̻ i e
espioi	e s̺ p i o i̯
esportatu	e s̺ p o r t a t u
esportazio	e s̺ p o r t a s̺ i o
esportazio	e s̺ p o r t a s̻ i o
espresuki	e s̺ p r e s̺ u k i
estalgune	e s̺ t a l ɡ u n e
estali	e s̺ t a l i
estalki	e s̺ t a l k i
estatu	e s̺ t a t u
estatua	e s̺ t a t u a
estatua	e s̺ t a t w a
estoniar	e s̺ t o n i a r
estoniera	e s̺ t o n i e ɾ a
estralurtar	e s̺ t r a l u r t a r
estrata	e s̺ t r a t a
estrategia	e s̺ t r a t e ɡ i a
estutu	e s̺ t u t u
eta	e t a
eten	e t e n
etete	e t e t e
etor	e t o r
etorkin	e t o r k i n
etorri	e t o r i
etorriko	e t o r i k o
etortze	e t o r t͡s̻ e
etortzen	e t o r t͡s̻ e n
etsai	e t͡s̺ a i̯
etxe	e t͡ʃ e
etxea	e t͡ʃ e a
etxeak	e t͡ʃ e a k
etxean	e t͡ʃ e a n
etxearekin	e t͡ʃ e a ɾ e k i n
etxearen	e t͡ʃ e a ɾ e n
etxearengatik	e t͡ʃ e a ɾ e n ɡ a t i k
etxearentzat	e t͡ʃ e a ɾ e n t͡s̻ a t
etxeari	e t͡ʃ e a ɾ i
etxeaz	e t͡ʃ e a s̺
etxeaz	e t͡ʃ e a s̻
etxeei	e t͡ʃ e e i̯
etxeek	e t͡ʃ e e k
etxeekin	e t͡ʃ e e k i n
etxeen	e t͡ʃ e e n
etxeengatik	e t͡ʃ e e n ɡ a t i k
etxeentzat	e t͡ʃ e e n t͡s̻ a t
etxeetako	e t͡ʃ e e t a k o
etxeetan	e t͡ʃ e e t a n
etxeetara	e t͡ʃ e e t a ɾ a
etxeetaraino	e t͡ʃ e e t a ɾ a i̯ n o
etxeetaraino	e t͡ʃ e e t a ɾ a ɲ o
etxeetarako	e t͡ʃ e e t a ɾ a k o
etxeetarantz	e t͡ʃ e e t a ɾ a n t͡s̻
etxeetatik	e t͡ʃ e e t a t i k
etxeez	e t͡ʃ e e s̺
etxeez	e t͡ʃ e e s̻
etxek	e t͡ʃ e k
etxeko	e t͡ʃ e k o
etxekoandre	e t͡ʃ e k o a n d r e
etxera	e t͡ʃ e ɾ a
etxeraino	e t͡ʃ e ɾ a i̯ n o
etxeraino	e t͡ʃ e ɾ a ɲ o
etxerako	e t͡ʃ e ɾ a k o
etxerantz	e t͡ʃ e ɾ a n t͡s̻
etxerekin	e t͡ʃ e ɾ e k i n
etxeren	e t͡ʃ e ɾ e n
etxerengatik	e t͡ʃ e ɾ e n ɡ a t i k
etxerentzat	e t͡ʃ e ɾ e n t͡s̻ a t
etxeri	e t͡ʃ e ɾ i
etxerik	e t͡ʃ e ɾ i k
etxetako	e t͡ʃ e t a k o
etxetan	e t͡ʃ e t a n
etxetara	e t͡ʃ e t a ɾ a
etxetaraino	e t͡ʃ e t a ɾ a i̯ n o
etxetaraino	e t͡ʃ e t a ɾ a ɲ o
etxetarako	e t͡ʃ e t a ɾ a k o
etxetarantz	e t͡ʃ e t a ɾ a n t͡s̻
etxetatik	e t͡ʃ e t a t i k
etxetik	e t͡ʃ e t i k
etxetzat	e t͡ʃ e t͡s̻ a t
etxez	e t͡ʃ e s̺
etxez	e t͡ʃ e s̻
etzan	e t͡s̻ a n
etzango	e t͡s̻ a n ɡ o
etzate	e t͡s̻ a t e
etzaten	e t͡s̻ a t e n
etzi	e t͡s̻ i
eukak	e u̯ k a k
eukan	e u̯ k a n
eukazu	e u̯ k a s̺ u
eukazu	e u̯ k a s̻ u
eukazue	e u̯ k a s̺ u e
eukazue	e u̯ k a s̻ u e
euli	e u̯ l i
eultzitu	e u̯ l t͡s̻ i t u
eurak	e u̯ ɾ a k
euri	e u̯ ɾ i
euritako	e u̯ ɾ i t a k o
euritsu	e u̯ ɾ i t͡s̺ u
euritsu	e u̯ ɾ i t͡s̻ u
eurok	e u̯ ɾ o k
euskal	e u̯ s̺ k a l
euskaldun	e u̯ s̺ k a l d u n
euskalki	e u̯ s̺ k a l k i
euskaltegi	e u̯ s̺ k a l t e ɡ i
euskaltzale	e u̯ s̺ k a l t͡s̻ a l e
euskara	e u̯ s̺ k a ɾ a
euskera	e u̯ s̺ k e ɾ a
eusko	e u̯ s̺ k o
eutsi	e u̯ t͡s̺ i
euzkak	e u̯ s̺ k a k
euzkak	e u̯ s̻ k a k
euzkan	e u̯ s̺ k a n
euzkan	e u̯ s̻ k a n
euzkazu	e u̯ s̺ k a s̺ u
euzkazu	e u̯ s̻ k a s̻ u
euzkazue	e u̯ s̺ k a s̺ u e
euzkazue	e u̯ s̻ k a s̻ u e
existitu	e k s̺ i s̺ t i t u
ez	e s̺
ez	e s̻
ezaguk	e s̻ a ɡ u k
ezagun	e s̺ a ɡ u n
ezagun	e s̻ a ɡ u n
ezagut	e s̺ a ɡ u t
ezagut	e s̻ a ɡ u t
ezagutu	e s̺ a ɡ u t u
ezagutu	e s̻ a ɡ u t u
ezagutuko	e s̺ a ɡ u t u k o
ezagutuko	e s̻ a ɡ u t u k o
ezagutze	e s̺ a ɡ u t͡s̻ e
ezagutze	e s̻ a ɡ u t͡s̻ e
ezagutzen	e s̺ a ɡ u t͡s̻ e n
ezagutzen	e s̻ a ɡ u t͡s̻ e n
ezaguzu	e s̻ a ɡ u s̻ u
ezaguzue	e s̻ a ɡ u s̻ u e
ezak	e s̺ a k
ezak	e s̻ a k
ezan	e s̺ a n
ezan	e s̻ a n
ezarri	e s̻ a r i
ezazu	e s̺ a s̺ u
ezazu	e s̻ a s̻ u
ezazue	e s̺ a s̺ u e
ezazue	e s̻ a s̻ u e
ezberdin	e s̻ b e r d i n
ezberdintasun	e s̻ b e r d i n t a s̺ u n
ezer	e s̺ e r
ezer	e s̻ e r
ezeri	e s̻ e ɾ i
ezetz	e s̺ e t͡s̻
ezetz	e s̻ e t͡s̻
ezezagun	e s̻ e s̻ a ɡ u n
ezjakin	e s̺ d͡ʒ a k i n
ezjakin	e s̻ j a k i n
ezjakin	e s̻ x a k i n
ezjakin	e s̻ ɟ a k i n
ezker	e s̻ k e r
ezkerra	e s̻ k e r a
ezki	e s̺ k i
ezki	e s̻ k i
ezko	e s̻ k o
ezkondu	e s̻ k o n d u
