ABŞ	ɑ b ʃ
yetişdirmək	j e t i ʃ d i r m æ j
yetişmiş	j e t i ʃ m i ʃ
yetişmək	j e t i ʃ m æ c
yetişmək	j e t i ʃ m æ j
yetmiş	j e t m i ʃ
yetmişinci	j e t m i ʃ i n d͡ʒ i
yetmək	j e t m æ c
yetmək	j e t m æ j
yey	j e j
yey	j e ɡ
yeyilmək	j e j i l m æ c
yeyilmək	j e j i l m æ j
yeznə	j e z n æ
yiyə	j i j æ
yiyələnmək	j i j æ l æ mː æ c
yiyələnmək	j i j æ l æ n m æ c
yiyəsiz	j i j æ s i z
yoluxmaq	j o ɫ u χ m ɑ χ
yoluxucu	j o ɫ u χ u d͡z u
yoluxucu	j o ɫ u χ u d͡ʒ u
yolçuluq	j o ɫ t͡ʃ u ɫ u χ
yonca	j o n d͡z ɑ
yonca	j o n d͡ʒ ɑ
yonmaq	j o mː ɑ χ
yonmaq	j o n m ɑ χ
yorulmaq	j o r u l m ɑ χ
yorulmaz	j o r u ɫ m ɑ z
yorğan	j o r ɣ ɑ n
yorğanağı	j o r ɣ ɑ n ɑ ɣ ɯ
yorğun	j o r ɣ u n
yosun	j o s u n
yox	j o χ
yoxlamaq	j o χ ɫ ɑ m ɑ χ
yoxsa	j o χ s ɑ
yoxsul	j o x s u ɫ
yozmaq	j o z m ɑ χ
yoğurmaq	j o ɣ u r m ɑ χ
yoğurt	j o ɣ u r t
yubatmaq	j u b ɑ t m ɑ x
yumaq	j u m ɑ χ
yumruq	j u m r u χ
yumruq	j u m u r u χ
yumurta	j u m u r t ɑ
yumşaq	j u m u ʃ a χ
yumşaq	j u m ʃ a χ
yuva	j u v ɑ
yuva	u v ɑ
yuvarlamaq	j u v ɑ r ɫ ɑ m ɑ χ
yuvarlamaq	j u v ɑ rː a m ɑ x
yuvarlanmaq	j u v ɑ r ɫ ɑ n m ɑ χ
yuvarlanmaq	j u v ɑ rː a mː ɑ x
yuvarlaq	j u v ɑ r ɫ ɑ χ
yuvarlaq	j u v ɑ rː ɑ x
yön	j œ n
yönlü	j œ n l y
yönlü	j œ nː y
yüksək	j y k s æ k
yükçü	j y k t͡s y
yükçü	j y k t͡ʃ y
yüngül	j y n ɟ y l
yürümək	j y r y m æ c
yürümək	j y r y m æ j
yüyürmək	j y j y r m æ c
yüyürmək	j y j y r m æ j
yüzüncü	j y z y n d͡ʒ y
yırtmaq	j ɯ r t m ɑ χ
yırtıcı	j ɯ r t ɯ d͡z ɯ
yırtıcı	j ɯ r t ɯ d͡ʒ ɯ
yırğalamaq	j ɯ r ɣ ɑ ɫ ɑ m ɑ χ
yıxmaq	j ɯ χ m ɑ χ
yığmaq	j ɯ ɣ m ɑ χ
yığılmaq	j ɯ ɣ ɯ ɫ m ɑ x
yığışdırmaq	j ɯ ɣ ɯ ʃ d ɯ r m ɑ χ
yığışmaq	j ɯ ɣ ɯ ʃ m ɑ χ
yəqin	j æ ɡ i n
yəqin	j æː ɡ i n
zabit	z ɑː b i t
zad	z ɑ d
zadəgan	z ɑː d æ ɟ ɑ n
zahiri	z ɑː h i r i
zahı	z ɑ h ɯ
zaman	z ɑ m ɑ n
zamanı	z ɑ m ɑ n ɯ
zavod	z ɑ v o d
zidd	z i d
ziddiyyət	z i dː i j æ t
zirinc	z i r i n d͡z
zirinc	z i r i n d͡ʒ
ziyadə	z i j ɑː d æ
ziyafət	z i j ɑ f æ t
ziyil	z i j i l
zorakı	z oː r ɑ c ɯ
zorakı	z oː r ɑ t͡ʃ ɯ
zorakılıq	z o r ɑ k ɯ l ɯ χ
zorla	z o r ɫ ɑ
zorla	z o rː ɑ
zorlama	z o r ɫ ɑ m ɑ
zorlama	z o rː ɑ m ɑ
zorlamaq	z o r ɫ ɑ m ɑ χ
zorlamaq	z o rː ɑ m ɑ χ
zorən	z oː r æ n
zökəm	z œ c æ m
zəfər	z æ f æ ɾ
zəfəran	z æ f æ r ɑ n
zəhmət	z æ h m æ t
zəhrimar	z æ h i r m ɑ r
zəhrimar	z æ h r i m ɑ r
zəhər	z æ h æ r̥
zəhərli	z æ h æ r l i
zəhərli	z æ h æ rː i
zəif	z æ i f
zəiflik	z æ i f l i j
zəiflik	z æ i f l i ç
zəlzələ	z æ l z æ l æ
zəmanə	z æ m ɑː n æ
zən	z æ n
zəncir	z æ n d͡z i r
zəncir	z æ n d͡ʒ i r
zəncirvari	z æ n d͡z i r v ɑː r i
zəncirvari	z æ n d͡ʒ i r v ɑː r i
zəncəfil	z æ n d͡z æ f i l
zəncəfil	z æ n d͡ʒ æ f i l
zəngin	z æ n d͡ʒ i n
zəngin	z æ ŋ ɡ i n
zərgər	z æ r ɟ æ r
zərurət	z æ r uː r æ t
zərər	z æ r æ r
Çənab	t͡ʃ æ n ɑ b
çal	t͡s ɑ ɫ
çal	t͡ʃ ɑ ɫ
çalağan	t͡s ɑ ɫ ɑ ɣ ɑ n
çalağan	t͡ʃ ɑ ɫ ɑ ɣ ɑ n
çalma	t͡s ɑ ɫ m ɑ
çalma	t͡ʃ ɑ ɫ m ɑ
çalmaq	t͡s ɑ ɫ m ɑ χ
çalmaq	t͡ʃ ɑ ɫ m ɑ χ
çalışmaq	t͡s ɑ ɫ ɯ ʃ m ɑ χ
çalışmaq	t͡ʃ ɑ ɫ ɯ ʃ m ɑ χ
çalışqan	t͡s ɑ ɫ ɯ ʃ ɡ ɑ n
çalışqan	t͡ʃ ɑ ɫ ɯ ʃ ɡ ɑ n
çanta	t͡s ɑ n t ɑ
çanta	t͡ʃ ɑ n t ɑ
çap	t͡s ɑ p
çap	t͡ʃ ɑ p
çapovul	t͡s ɑ p o v u ɫ
çapovul	t͡ʃ ɑ p o v u ɫ
çaqqal	t͡ʃ ɑ k ɡ ɑ l
çaqqı	t͡s ɑ kː ɯ
çar	t͡s ɑ r
çar	t͡ʃ ɑ r
çardaq	t͡s ɑ r d ɑ x
çardaq	t͡ʃ ɑ r d ɑ x
çarə	t͡s ɑː r æ
çarə	t͡ʃ ɑː r æ
çatdırmaq	t͡s ɑ tː ɯ r m ɑ χ
çatdırmaq	t͡ʃ ɑ tː ɯ r m ɑ χ
çatmaq	t͡s ɑ t m ɑ χ
çatmaq	t͡ʃ ɑ t m ɑ χ
çatışmamazlıq	t͡s ɑ t ɯ ʃ m ɑ m ɑ z ɫ ɯ χ
çatışmamazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ m ɑ z ɫ ɯ χ
çatışmaq	t͡s ɑ t ɯ ʃ m ɑ χ
çatışmaq	t͡ʃ ɑ t ɯ ʃ m ɑ χ
çatışmazlıq	t͡s ɑ t ɯ ʃ m ɑ z ɫ ɯ χ
çatışmazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ z ɫ ɯ χ
çavuş	t͡s ɑ v u ʃ
çavuş	t͡ʃ ɑ v u ʃ
çaxmaq	t͡s ɑ χ m ɑ χ
çaxmaq	t͡ʃ ɑ χ m ɑ χ
çaxmaq	ʃ ɑ χ m ɑ χ
çaxnaşma	t͡s ɑ x n ɑ ʃ m ɑ
çaxnaşma	t͡ʃ ɑ x n ɑ ʃ m ɑ
çayan	t͡ʃ ɑ j ɑ n
çayxana	t͡s ɑ j χ ɑ n ɑ
çayxana	t͡ʃ ɑ j χ ɑ n ɑ
çağ	t͡s ɑ ɣ
çağ	t͡ʃ ɑ ɣ
çağa	t͡s ɑ ɣ ɑ
çağa	t͡ʃ ɑ ɣ ɑ
çağdaş	t͡s a ɣ d a ʃ
çağdaş	t͡ʃ a ɣ d a ʃ
çağırmaq	t͡s ɑ ɣ ɯ r m ɑ χ
çağırmaq	t͡ʃ ɑ ɣ ɯ r m ɑ χ
çağırım	t͡s ɑ ɣ ɯ r ɯ m
çağırım	t͡ʃ ɑ ɣ ɯ r ɯ m
çağırış	t͡s ɑ ɣ ɯ r ɯ ʃ
çağırış	t͡ʃ ɑ ɣ ɯ r ɯ ʃ
çaşdırmaq	t͡s ɑ ʃ t ɯ r m ɑ χ
çaşdırmaq	t͡ʃ ɑ ʃ t ɯ r m ɑ χ
çaşmaq	t͡s ɑ ʃ m ɑ χ
çaşmaq	t͡ʃ ɑ ʃ m ɑ χ
çerez	t͡s e r e z
çerez	t͡ʃ e r e z
çevrə	t͡s e v r æ
çevrə	t͡ʃ e v r æ
çeşmək	t͡s e ʃ m æ t͡ʃ
çeşmək	t͡s e ʃ m æ ç
çeşmək	t͡ʃ e ʃ m æ j
çeşmək	t͡ʃ e ʃ m æ k
çeşmək	t͡ʃ e ʃ m æ ç
çibin	t͡s i b i n
çibin	t͡ʃ i b i n
çilingər	t͡s i l i n d͡ʒ æ r
çilingər	t͡ʃ i l i n ɟ æ r
çimizdirmək	t͡s i m i z d i r m æ k
çimizdirmək	t͡ʃ i m i z d i r m æ j
çimizdirmək	t͡ʃ i m i z d i r m æ k
çirk	t͡s i r t͡ʃ
çirk	t͡s i ç
çirk	t͡ʃ i r k
çirkin	t͡s i r t͡ʃ i n
çirkin	t͡ʃ i r k i n
çirkli	t͡s i r t͡ʃ l i
çirkli	t͡ʃ i r k l i
çiskinləmək	t͡s i s t͡ʃ i n l æ m æ t͡ʃ
çiskinləmək	t͡ʃ i s k i n l æ m æ k
çisələmək	t͡s i s æ l æ m æ t͡ʃ
çisələmək	t͡ʃ i s æ l æ m æ k
çisəmək	t͡s i s æ m æ t͡ʃ
çisəmək	t͡ʃ i s æ m æ k
çiy	t͡s i j
çiy	t͡ʃ i j
çiyid	t͡s i j i d
çiyid	t͡ʃ i j i d
çiyin	t͡s i j i n
çiyin	t͡ʃ i j i n
çiyələk	t͡ʃ i j æ l æ k
çiçək	t͡s i t͡s æ k
çiçək	t͡ʃ i t͡ʃ æ k
çiçəkləmək	t͡s i t͡s æ t͡ʃ l æ m æ t͡ʃ
çiçəkləmək	t͡ʃ i t͡ʃ æ k l æ m æ k
çocuq	t͡s o d͡z u χ
çocuq	t͡ʃ o d͡ʒ u χ
çox	t͡s ɔ χ
çox	t͡ʃ ɔ χ
çoxdan	t͡s o χ d ɑ n
çoxdan	t͡ʃ o χ d ɑ n
çoxlu	t͡s ɔ χ l u
çoxlu	t͡s ɔ χ l ɪ
çoxlu	t͡ʃ ɔ χ l u
çoxlu	t͡ʃ ɔ χ l ɯ
çoxnikahlılıq	t͡s o χ n i d͡ʒ ɑ h ɫ ɯ l ɯ χ
çoxnikahlılıq	t͡s o χ n i t͡ʃ ɑ h ɫ ɯ l ɯ χ
çoxnikahlılıq	t͡ʃ o χ n i kʲ ɑ h ɫ ɯ l ɯ χ
çoxnikahlılıq	t͡ʃ o χ n i ɡʲ ɑ h ɫ ɯ l ɯ χ
çubuş	t͡s u b u ʃ
çubuş	t͡ʃ u b u ʃ
çul	t͡s u ɫ
çul	t͡ʃ u ɫ
çuğundur	t͡ʃ u ɣ u n d u r
çöhrə	t͡ʃ ø h r æ
çökmək	t͡s œ c m æ t͡ʃ
çökmək	t͡ʃ œ c m æ c
çöküntü	t͡s œ t͡ʃ y n t y
çöküntü	t͡ʃ œ c y n t y
çöl	t͡s œ l
çöl	t͡ʃ œ l
çömçəquyruq	t͡ʃ œ m t͡ʃ æ ɡ u j r u χ
çörək	t͡s œ r æ j
çörək	t͡s œ r æ t͡ʃ
çörək	t͡ʃ œ r æ j
çörək	t͡ʃ œ r æ k
çörəkçi	t͡ʃ œ r æ ç t͡ʃ i
çötkə	t͡s œ t t͡ʃ æ
çötkə	t͡ʃ œ t kʲ æ
çünki	t͡s y n k i
çünki	t͡s y n k y
çünki	t͡ʃ y n k i
çünki	t͡ʃ y n k y
çürük	t͡ʃ y r y h
çürük	t͡ʃ y r y j
çürük	t͡ʃ y r y k
çürük	t͡ʃ y r y ç
çıraq	t͡s ɯ r ɑ χ
çıraq	t͡ʃ ɯ r ɑ χ
çırpışdırmaq	t͡s ɯ r p ɯ ʃ d ɯ r m ɑ χ
çırpışdırmaq	t͡ʃ ɯ r p ɯ ʃ d ɯ r m ɑ χ
çıxarmaq	t͡s ɯ χ ɑ r t m ɑ χ
çıxarmaq	t͡ʃ ɯ χ ɑ r t m ɑ χ
çıxmaq	t͡s ɯ χ m ɑ χ
çıxmaq	t͡ʃ ɯ χ m ɑ χ
çıxış	t͡s ɯ χ ɯ ʃ
çıxış	t͡ʃ ɯ χ ɯ ʃ
çəki	t͡s æ t͡ʃ i
çəki	t͡ʃ æ k i
çəkic	t͡s æ t͡ʃ i d͡z
çəkic	t͡ʃ æ k i d͡ʒ
çəkiliş	t͡s æ t͡ʃ i l i ʃ
çəkiliş	t͡ʃ æ k i l i ʃ
çəkilmək	t͡s æ k i l m æ j
çəkilmək	t͡s æ t͡ç i l m æ t͡ç
çəkilmək	t͡ʃ æ k i l m æ j
çəkilmək	t͡ʃ æ k i l m æ k
çəkmək	t͡s æ h m ɑ χ
çəkmək	t͡s æ k m æ j
çəkmək	t͡s æ k m æ k
çəkmək	t͡ʃ æ k m æ j
çəkmək	t͡ʃ æ k m æ k
çəlləkçi	t͡s æ lː æ t͡ʃ t͡s i
çəlləkçi	t͡ʃ æ lː æ k t͡ʃ i
çəngəl	t͡s æ ŋ ɡ æ l
çəngəl	t͡ʃ æ ŋ ɡ æ l
çənə	t͡ʃ æ n æ
çərkəz	t͡ʃ æ r k æ z
çərçivə	t͡s æ r t͡s i v æ
çərçivə	t͡ʃ æ r t͡ʃ i v æ
çətin	t͡s æ t i n
çətin	t͡ʃ æ t i n
çətir	t͡s æ t i r
çətir	t͡ʃ æ t i r
öd	œ d
ödlük	œ d l y j
ödlük	œ d l y k
ödlük	œ d l y ç
ödəniş	œ d æ n i ʃ
ödənişsiz	œ d æ n i ʃ s i z
öfgə	o f ɟ æ
öfgə	œ f d͡ʒ æ
öfgə	œ f ɟ æ
ögey	œ ɟ e j
ögey	œ ɟ æ j
öküz	œ k y z
öküz	œ t͡ʃ ʂ y z
öldürmək	œ l d y r m æ j
öldürmək	œ l d y r m æ k
öldürmək	œ l d y r m ɑ χ
ölkə	œ l c æ
ölmək	œ l m æ k
ölmək	œ l m ɑ χ
ölçmək	œ l t͡s m æ j
ölçmək	œ l t͡s m æ k
ölçmək	œ l t͡s m ɑ χ
ölçmək	œ l t͡ʃ m æ j
ölçmək	œ l t͡ʃ m æ k
ölçmək	œ ʃ m ɑ χ
ölçü	œ l t͡s y
ölçü	œ l t͡ʃ y
ölüm	œ l y m
ölümcül	œ l y m d͡z y l
ölümcül	œ l y m d͡ʒ y l
ölüsoyan	œ l y s o j ɑ n
ölüxana	œ l y χ ɑ n ɑ
ölət	œ l æ d
ölət	œ l æ t
öndər	œ n d æ r
önşərt	œ n ʃ æ r t
önəmli	œ n æ m l i
öpmək	œ p m æ j
öpmək	œ p m æ k
öpüş	œ pʰ ʏ ʃ
öpüşmək	œ p y ʃ m æ k
öpüşmək	œ p œ p y ʃ m æ j
ördək	œ r d æ j
ördək	œ r d æ k
ördək	œ r d æ ç
ördəkburun	œ r d æ k b u r u n
örgənmək	œ r ɟ æ mː æ c
örgənmək	œ r ɟ æ n m æ c
örgəşmək	œ r ɟ æ ʃ m æ c
örpək	œ r p æ j
örpək	œ r p æ ç
örtmək	œ r t m æ j
örtmək	œ r t m æ k
örtmək	œ r t m ɑ χ
örtmək	œ t m ɑ χ
örtük	œ r t y j
örtük	œ r t y ç
öskürmək	œ s k y r m æ j
öskürmək	œ s ɟ y r m ɑ χ
ötkəm	œ t k æ m
ötmək	ö t m æ j
ötmək	ö t m æ k
ötrü	œ t r y
ötürmək	ö t y r m æ j
ötürmək	ö t y r m æ k
ötəri	œ t æ r i
övlad	e v l ɑ d
övlad	œ v l ɑ d
övladsız	œ v ɫ ɑ d s ɯ z
övladsız	œ v ɫ ɑ t s ɯ z
övrə	œ v r æ
öxbə	œ h b æ
öxbə	œ x b æ
öyrənmək	œ j r æ n m æ j
öyrənmək	œ j r æ n m æ k
öyrətmək	œ j r æ t m æ j
öyrətmək	œ j r æ t m æ k
öyəc	œ d͡ʒ æ d͡z
öyəc	œ j æ d͡z
öyəc	œ j æ d͡ʒ
öyəc	œ ɟ æ d͡ʒ
özfəaliyyət	œ z f æ ɑ l i jː æ t
özünlə	œ z y n l æ
özəl	œ z æ l
ülgü	y l ɟ y
ülgüc	y l ɟ y d͡ʒ
ümid	y m i d
ümid	ü m ü d
ümumi	y m uː m i
ünlü	y n l y
ünlü	y nː y
ünsür	y n s y r
ünvan	y n v ɑ n
ürək	y r æ ç
ürək	y ɾ æ c
ürək	y ɾ æ j
ürəmək	y r y m æ χ
ürəmək	y r æ m æ c
ürəmək	y r æ m æ ɟ
üst	y s t
üstqurum	y s t ɡ u r u m
üstündə	y s t y n d æ
üstünə	y s t y n æ
ütü	y t y
üzbəüz	y z b æ y z
üzgün	y z d͡ʒ y n
üzgün	y z ɟ y n
üzmək	y z m æ j
üzmək	y z m æ k
üzmək	y z m ɑ χ
üzrə	y z r æ
üzv	y z v
üzügülər	y z y ɟ y l æ r
üzük	y z y j
üzük	y z y k
üzərində	y z æ r i n d æ
üçbucaq	y t͡s b u d͡z ɑ χ
üçbucaq	y t͡ʃ b u d͡ʒ ɑ χ
üçün	y t͡s y n
üçün	y t͡ʃ y n
üçüncü	y t͡ʃ y n d͡ʒ y
üşütmə	y ʃ y t m æ
üşütmək	y ʃ y t m æ c
Ğ	ɣ
Şamaxı	ʃ ɑ m ɑ χ ɯ
Şəhla	ʃ æ h l ɑ
şad	ʃ ɑ d
şadlıq	ʃ ɑ d ɫ ɯ χ
şagird	ʃ ɑː ɟ i ɾ t
şagird	ʃ ɑˑ ɡ i r
şahanə	ʃ ɑ h ɑː n æ
şahid	ʃ ɑː h i d
şahmat	ʃ ɑ h m ɑ t
şahmatçı	ʃ ɑ h m ɑ t t͡s ɯ
şahmatçı	ʃ ɑ h m ɑ t t͡ʃ ɯ
şair	ʃ ɑː i r
şalvar	ʃ ɑ ɫ v ɑ r
şam	ʃ ɑ m
şamçı	ʃ ɑ m t͡s ɯ
şamçı	ʃ ɑ m t͡ʃ ɯ
şanlı	ʃ ɑ n ɫ ɯ
şanlı	ʃ ɑ nː ɯ
şapalaq	ʃ ɑ p ɑ ɫ ɑ χ
şaxta	ʃ ɑ χ t ɑ
şeir	ʃ e j i r
şer	ʃ e i r
şer	ʃ e r
şeytan	ʃ e j t ɑ n
şikəst	ʃ i c æ s t
şikəst	ʃ i t͡ʃ æ s t
şillələmək	ʃ i lː æ
şimali	ʃ i m ɑ l ɯ
şimali	ʃ i m ɑː l i
şimşək	ʃ i m ʃ æ c
şimşək	ʃ i m ʃ æ j
şirkət	ʃ i r c æ t
şiş	ʃ i ʃ
şişirtmək	ʃ i ʃ i r m æ j
şişirtmək	ʃ i ʃ i r m æ k
şiə	ʃ i j æ
şiə	ʃ i æ
şuluq	ʃ u ɫ u χ
şöbə	ʃ œː b æ
şöhrət	ʃ œ h r æ t
şüar	ʃ u ɑ r
şüar	ʃ y ɑ r
şübhə	ʃ y b h æ
şübhə	ʃ y p æ
şüur	ʃ y uː r
şüyüd	ʃ y j y d
şüşə	ʃ y ʃ æ
şəbəkə	ʃ æ b æ c æ
şəbəkə	ʃ æ b æ t͡ʃ æ
şəcərə	ʃ æ d͡z æ r æ
şəcərə	ʃ æ d͡ʒ æ r æ
şəhid	ʃ æ h i d
şəhla	ʃ æ h l ɑ
şəhər	ʃ æ h æ ɾ
şəkil	ʃ æ c i l
şəkər	ʃ æ c æ ɾ
şəlalə	ʃ æ ɫ ɑː l æ
şənbə	ʃ æ m b æ
şərbət	ʃ æ r b æ t
şərh	ʃ æ r h
şərt	ʃ æ r t
şərti	ʃ æ r t i
şəxsiyyət	ʃ æ χ s i j æ t
Əcəm	æ d͡ʒ æ m
Ədhəm	æ d h æ m
Əlcəzair	æ l d ʒ æ z ɑː i ɾ
Əminə	æ m i n æ
Əntilyas	æ n t i l j ɑ s
Ənuşirəvan	æ n u ʃ i r æ v ɑ n
Əzizə	æ z i z æ
əbd	æ b d
əbrişim	æ b r i ʃ i m
əbədilik	æ b æ d i l i j
əbədilik	æ b æ d i l i k
əbədiyyət	æ b æ d i j æ t
əcəl	æ d͡z æ l
əcəl	æ d͡ʒ æ l
əcəl	æ ʒ æ l
əcəm	æ d͡ʒ æ m
ədalət	æ d ɑː l æ t
ədalətsizlik	æ d ɑː l æ t s i z l i c
ədat	æ d a t
ədhəm	æ d h æ m
ədliyyə	æ d l i j æ
ədviyyə	æ d v i j æ
ədviyyəli	æ d v i j æ l i
ədəd	æ d æ d
əfsanəvi	æ f s ɑː n æ v ɪː
əfv	æ f
əgər	æ d͡ʒ æ r
əgər	æ j æ ɾ
əgər	æ ɟ æ r̥
əgər	æ ɟ æ ɾ
əhali	æ h ɑ l i
əhl	æ h l
əhvalat	æ h v ɑ ɫ ɑ t
əhəmiyyət	æ h æ m i j æ t
əhəmiyyətli	æ h æ m i j æ t l i
əjdaha	æ ʒ d ɑ h ɑ
əjdəha	æ ʒ d æ h ɑ
əkil	æ k i l
əkil	æ t͡ʃ i l
əkinçi	æ c ɪ i n t͡s i
əkinçi	æ c ɪ i n t͡ʃ i
əklil	æ k l i l
əklil	æ t͡ʃ l i l
əkmək	æ k m æ j
əkmək	æ k m æ k
əksinə	æ c s i n æ
əksəriyyət	æ k s æ r i j æ t
əl	æ l
əla	æ ɫ ɑ
əla	æː ɫ ɑ
əlaqə	æ ɫ ɑː ɡ æ
əlavə	æ l ɑː v æ
əlaçı	æː ɫ ɑ t͡s ɯ
əlaçı	æː ɫ ɑ t͡ʃ ɯ
əlcək	æ l d͡z æ k
əlcək	æ l d͡ʒ æ k
əlcəzairli	æ l d ʒ æ z ɑː i ɾ l i
əleyhinə	æ l e j h i n æ
əlfəcin	æ l f æ d͡z i n
əlfəcin	æ l f æ d͡ʒ i n
əlindən	æ l i n d æ n
əlindən	æ l i nː æ n
əliyalın	ɑ æ l i j ɑ ɫ ɯ n
əlli	æ l l i
əllinci	æ l l i n d͡ʒ i
əlvan	æ l v ɑ n
əlvida	æ l v i d ɑ
əlyazı	æ l j ɑ z ɯ
əlçatanlıq	æ l t͡s ɑ t ɑ n ɫ ɯ χ
əlçatanlıq	æ l t͡ʃ ɑ t ɑ n ɫ ɯ χ
əlçatanlıq	æ l t͡ʃ ɑ t ɑ nː ɯ χ
əlçatmaz	æ l t͡s ɑ t m ɑ z
əlçatmaz	æ l t͡ʃ ɑ t m ɑ z
əlçatmazlıq	æ l t͡s ɑ t m ɑ z ɫ ɯ χ
əlçatmazlıq	æ l t͡ʃ ɑ t m ɑ z ɫ ɯ χ
əlüstü	æ l y s t y
əmanət	æ m ɑː n æ t
əmcək	æ m d͡z æ j
əmcək	æ m d͡ʒ æ j
əmi	æ m i
əmin	æ m i n
əmioğlu	æ m i o ɣ ɫ u
əmiqızı	æ m i ɡ ɯ z ɯ
əmizdirmək	æ m i z d i r m æ k
əmmək	æ mː æ j
əmmək	æ mː æ k
əmn	æ m n
əmr	æ m r
əmsal	æ m s ɑ l
əmzik	æ m z i c
əmək	æ m æ j
əmək	æ m æ k
əməl	æ m æ l
əncam	æ n d͡z ɑ m
əncam	æ n d͡ʒ ɑ m
əndazə	æ n d ɑː z æ
əng	æ ŋ ɡ
ənis	æ n i s
ənlik	æ n l i c
ənsə	æ n s æ
ənənə	æ n æː n æ
ənənəvi	æ n æ n æː v i
əqdəm	æ ɡ d æ m
ər	æ ɾ
ərbab	æ r b ɑ b
ərimək	æ r i m æ j
ərimək	æ r i m æ k
əritmək	æ r i t m æ j
əritmək	æ r i t m æ k
əritmək	æ r i t m ɑ χ
əriş	æ r i ʃ
əriştə	æ r i ʃ t æ
əsarət	æ s ɑː r æ t
əsasən	æ s ɑː s æ n
əsgər	æ s k æ r
əsgər	æ s ɡ æ r
əsin	æ s i n
əsir	æ s i r
əski	æ s c i
əsnəmək	æ s n æ m æ j
əsnəmək	æ s n æ m æ k
əsrarəngiz	æ s r a r æ ŋ ɟ i z
əsrik	æ s r i j
əsrik	æ s r i k
əsrik	æ s r i t͡ʃ
əsrik	æ s r i ç
əsrik	æ s r i χ
əsrik	æ s r y j
əsrik	æ s r y χ
əsrimək	æ s r i m æ j
əsrimək	æ s r i m æ k
əsəb	æ s æ b
əsər	æ s æ r
əsər	æ s æ r̥
ət	æ t
ətalət	æ t aː l æ t
ətağa	æː t ɑ ɣ ɑ
ətirşah	æ t i r ʃ ɑ h
ətsatan	æ t s ɑ t ɑ n
əttökən	æ tː œ c æ n
ətyeyən	æ t j e j æ n
ətçəkən	æ t t͡ʃ æ k æ n
ətək	æ t æ j
ətək	æ t æ k
ətək	æ t æ t͡ʃ
əvvəl	æ vː æ l
əvvəlki	æ vː æ l c i
əvvəlki	æ vː æ l t͡ʃ i
əvət	æ v æ t
əvəzlik	æ v æ z d i c
əvəzlik	æ v æ z l i c
əxlaq	æ h ɫ ɑ k
əxlaq	æ h ɫ ɑ ɡ
əxlaq	æ h ɫ ɑ χ
əxlaq	æ χ ɫ ɑ k
əxlaq	æ χ ɫ ɑ ɡ
əxlaq	æ χ ɫ ɑ χ
əxz	æ χ z
əyin	æ j i n
əyləc	æ j l æ d͡z
əyləc	æ j l æ d͡ʒ
əyləmək	æ j l æ m æ j
əyləmək	æ j l æ m æ k
əyləncə	æ j l æ n d͡z æ
əyləncə	æ j l æ n d͡ʒ æ
əylənmək	æ j l æ n m æ j
əylənmək	æ j l æ n m æ k
əyləşmək	æ j l æ ʃ m æ k
əymək	æ j m æ k
əyri	æ j r i
əzm	æ z m
əzvay	æ z v ɑ j
əş	æ ʃ
əşi	æ ʃː i
əşya	æ ʃ j ɑ
