ԱԱ	ɑ ɑ́
բառարան	b ɑ r ɑ ɾ ɑ́ n
բառարանագիր	b ɑ r ɑ ɾ ɑ n ɑ ɡ í ɾ
բառարանագրություն	b ɑ r ɑ ɾ ɑ n ɑ ɡ ɾ u t͡sʰ j ú n
բառացանկ	b ɑ r ɑ t͡sʰ ɑ́ ŋ k
բառացի	b ɑ r ɑ t͡sʰ í
բառգիրք	b ɑ r ɡ í ɾ kʰ
բառիգ	b ɑ r í ɡ
բառնալ	b ɑ r n ɑ́ l
բառույթ	b ɑ r ú j tʰ
բասկետբոլ	b ɑ s k e b ó l
բասկետբոլ	b ɑ s k e t b ó l
բասկետբոլիստ	b ɑ s k e t b o l í s t
բասկետբոլիստուհի	b ɑ s k e t b o l i s t u h í
բասկերեն	b ɑ s k e ɾ é n
բաստուրմա	b ɑ s t u ɾ m ɑ́
բավ	b ɑ v
բավական	b ɑ v ɑ k ɑ́ n
բավականաչափ	b ɑ v ɑ k ɑ n ɑ t͡ʃʰ ɑ́ pʰ
բավարար	b ɑ v ɑ ɾ ɑ́ ɾ
բավարարել	b ɑ v ɑ ɾ ɑ ɾ é l
բավարացի	b ɑ v ɑ ɾ ɑ t͡sʰ í
բավիղ	b ɑ v í ʁ
բատիսկաֆ	b ɑ t i s k ɑ́ f
բար	b ɑ ɾ
բարակ	b ɑ ɾ ɑ́ k
բարբանջ	b ɑ ɾ b ɑ́ n d͡ʒ
բարբանջանք	b ɑ ɾ b ɑ n d͡ʒ ɑ́ ŋ kʰ
բարբանջել	b ɑ ɾ b ɑ n d͡ʒ é l
բարբաջ	b ɑ ɾ b ɑ́ d͡ʒ
բարբաջանք	b ɑ ɾ b ɑ d͡ʒ ɑ́ ŋ kʰ
բարբաջել	b ɑ ɾ b ɑ d͡ʒ é l
բարբառ	b ɑ ɾ b ɑ́ r
բարբառային	b ɑ ɾ b ɑ r ɑ j í n
բարբառել	b ɑ ɾ b ɑ r é l
բարբարոս	b ɑ ɾ b ɑ ɾ ó s
բարգավաճ	b ɑ ɾ ɡ ɑ v ɑ́ t͡ʃ
բարդ	b ɑ ɾ tʰ
բարդացնել	b ɑ ɾ tʰ ɑ t͡sʰ n é l
բարդի	b ɑ ɾ d í
բարդություն	b ɑ ɾ tʰ u t͡sʰ j ú n
բարեբախտ	b ɑ ɾ e b ɑ́ χ t
բարեբախտաբար	b ɑ ɾ e b ɑ χ t ɑ b ɑ́ ɾ
բարեգործական	b ɑ ɾ e ɡ o ɾ t͡s ɑ k ɑ́ n
բարեգործություն	b ɑ ɾ e ɡ o ɾ t͡s u t͡sʰ j ú n
բարելավել	b ɑ ɾ e l ɑ v é l
բարեկամ	b ɑ ɾ e k ɑ́ m
բարեկամական	b ɑ ɾ e k ɑ m ɑ k ɑ́ n
բարեկամություն	b ɑ ɾ e k ɑ m u t͡sʰ j ú n
բարեկենդան	b ɑ ɾ e k e n tʰ ɑ́ n
բարեկիրթ	b ɑ ɾ e k í ɾ tʰ
բարեհամբյուր	b ɑ ɾ e h ɑ m pʰ j ú ɾ
բարեհամբույր	b ɑ ɾ e h ɑ m pʰ ú j ɾ
բարեմասնություն	b ɑ ɾ e m ɑ s n u t͡sʰ j ú n
բարեպաշտ	b ɑ ɾ e p ɑ́ ʃ t
բարեպաշտություն	b ɑ ɾ e p ɑ ʃ t u t͡sʰ j ú n
բարեսեր	b ɑ ɾ e s é ɾ
բարեփոխում	b ɑ ɾ e pʰ o χ ú m
բարի	b ɑ ɾ í
բարիդրացիական	b ɑ ɾ i d ə ɾ ɑ t͡sʰ i j ɑ k ɑ́ n
բարիկադ	b ɑ ɾ i k ɑ́ d
բարիշել	b ɑ ɾ i ʃ é l
բարիոն	b ɑ ɾ i j ó n
բարիք	b ɑ ɾ i kʰ
բարկ	b ɑ ɾ k
բարկանալ	b ɑ ɾ k ɑ n ɑ́ l
բարկացած	b ɑ ɾ k ɑ t͡sʰ ɑ́ t͡s
բարկություն	b ɑ ɾ k u t͡sʰ j ú n
բարկօղի	b ɑ ɾ k o ʁ í
բարձ	b ɑ ɾ t͡sʰ
բարձիթող	b ɑ ɾ t͡sʰ i tʰ ó ʁ
բարձիթողի	b ɑ ɾ t͡sʰ i tʰ o ʁ í
բարձունք	b ɑ ɾ t͡sʰ ú ŋ kʰ
բարձունքներ	b ɑ ɾ t͡sʰ u ŋ kʰ n é ɾ
բարձվենյակ	b ɑ ɾ t͡sʰ v e n j ɑ́ k
բարձր	b ɑ́ ɾ t͡sʰ ə ɾ
բարձրաբերձ	b ɑ ɾ t͡sʰ ɾ ɑ b é ɾ t͡sʰ
բարձրագույն	b ɑ ɾ t͡sʰ ɾ ɑ ɡ ú j n
բարձրահասակ	b ɑ ɾ t͡sʰ ɾ ɑ h ɑ s ɑ́ k
բարձրաձայն	b ɑ ɾ t͡sʰ ɾ ɑ d͡z ɑ́ j n
բարձրաձայնել	b ɑ ɾ t͡sʰ ɾ ɑ d͡z ɑ j n é l
բարձրանալ	b ɑ ɾ t͡sʰ ɾ ɑ n ɑ́ l
բարձրավանդակ	b ɑ ɾ t͡sʰ ɾ ɑ v ɑ n d ɑ́ k
բարձրացնել	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n é l
բարձրացում	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ ú m
բարձրորակ	b ɑ ɾ t͡sʰ ɾ o ɾ ɑ́ k
բարձրություն	b ɑ ɾ t͡sʰ ɾ u t͡sʰ j ú n
բարձրունք	b ɑ ɾ t͡sʰ ə ɾ ú ŋ kʰ
բարձրունք	b ɑ ɾ t͡sʰ ɾ ú ŋ kʰ
բարմեն	b ɑ ɾ m é n
բարյավ	b ɑ ɾ j ɑ́ v
բարյացակամ	b ɑ ɾ j ɑ t͡sʰ ɑ k ɑ́ m
բարոյական	b ɑ ɾ o j ɑ k ɑ́ n
բարոյականություն	b ɑ ɾ o j ɑ k ɑ n u t͡sʰ j ú n
բարոն	b ɑ ɾ ó n
բարով	b ɑ ɾ ó v
բարորակ	b ɑ ɾ o ɾ ɑ́ k
բարութ	b ɑ ɾ ú tʰ
բարվոք	b ɑ ɾ v ó kʰ
բարք	b ɑ ɾ kʰ
բարօրություն	b ɑ ɾ o ɾ u t͡sʰ j ú n
բարև	b ɑ ɾ é v
բարևել	b ɑ ɾ e v é l
բաց	b ɑ t͡sʰ
բացակա	b ɑ t͡sʰ ɑ k ɑ́
բացակայություն	b ɑ t͡sʰ ɑ k ɑ j u t͡sʰ j ú n
բացականչ	b ɑ t͡sʰ ɑ k ɑ́ n t͡ʃʰ
բացականչական	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ ɑ k ɑ́ n
բացականչել	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ é l
բացականչություն	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ u t͡sʰ j ú n
բացականչում	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ ú m
բացահայտ	b ɑ t͡sʰ ɑ h ɑ́ j t
բացահայտում	b ɑ t͡sʰ ɑ h ɑ j t ú m
բացառաբար	b ɑ t͡sʰ ɑ r ɑ b ɑ́ ɾ
բացառական	b ɑ t͡sʰ ɑ r ɑ k ɑ́ n
բացառապես	b ɑ t͡sʰ ɑ r ɑ p é s
բացառել	b ɑ t͡sʰ ɑ r é l
բացառիկ	b ɑ t͡sʰ ɑ r í k
բացառիկություն	b ɑ t͡sʰ ɑ r i k u t͡sʰ j ú n
բացառություն	b ɑ t͡sʰ ɑ r u t͡sʰ j ú n
բացառվել	b ɑ t͡sʰ ɑ r v é l
բացասական	b ɑ t͡sʰ ɑ s ɑ k ɑ́ n
բացատ	b ɑ t͡sʰ ɑ́ t
բացատրական	b ɑ t͡sʰ ɑ t ɾ ɑ k ɑ́ n
բացատրել	b ɑ t͡sʰ ɑ t ɾ é l
բացատրություն	b ɑ t͡sʰ ɑ t ə ɾ u t͡sʰ j ú n
բացարձակ	b ɑ t͡sʰ ɑ ɾ t͡sʰ ɑ́ k
բացարձակապես	b ɑ t͡sʰ ɑ ɾ t͡sʰ ɑ k ɑ p é s
բացբերեն	b ɑ t͡sʰ b e ɾ é n
բացել	b ɑ t͡sʰ é l
բացի	b ɑ t͡sʰ í
բացիչ	b ɑ t͡sʰ í t͡ʃʰ
բացմենակ	b ɑ t͡sʰ m e n ɑ́ k
բացորոշ	b ɑ t͡sʰ o ɾ ó ʃ
բացորոշաբար	b ɑ t͡sʰ o ɾ o ʃ ɑ b ɑ́ ɾ
բացորոշակի	b ɑ t͡sʰ o ɾ o ʃ ɑ k í
բացորոշապես	b ɑ t͡sʰ o ɾ o ʃ ɑ p é s
բացում	b ɑ t͡sʰ ú m
բացվածք	b ɑ t͡sʰ v ɑ́ t͡s kʰ
բացվել	b ɑ t͡sʰ v é l
բացօթյա	b ɑ t͡sʰ o tʰ j ɑ́
բդեշխ	b ə d é ʃ χ
բեգեմոնդ	b e ɡ e m ó n d
բեգեմոնտ	b e ɡ e m ó n t
բեգեմոտ	b e ɡ e m ó t
բեզմեն	b e z m é n
բելառուս	b e l ɑ r ú s
բելառուսական	b e l ɑ r u s ɑ k ɑ́ n
բելառուսերեն	b e l ɑ r u s e ɾ é n
բելոռուսերեն	b e l o r u s e ɾ é n
բելուջերեն	b e l u d͡ʒ e ɾ é n
բեխաբար	b e χ ɑ b ɑ́ ɾ
բեկանել	b e k ɑ n é l
բեկել	b e k é l
բեկոր	b e k ó ɾ
բեկտել	b ɛ k t ɛ l
բեհեզ	b e h é z
բեղ	b e ʁ
բեղեր	b e ʁ é ɾ
բեղմ	b e ʁ m
բեղմնավորում	b e ʁ m n ɑ v o ɾ ú m
բեղուն	b e ʁ ú n
բեմ	b e m
բեմադրություն	b e m ɑ d ɾ u t͡sʰ j ú n
բեյթ	b e j tʰ
բեյխաբար	b e j χ ɑ b ɑ́ ɾ
բեյսբոլ	b e j s b ó l
բեն	b e n
բենգալերեն	b e ŋ ɡ ɑ l e ɾ é n
բենգալի	b e ŋ ɡ ɑ l í
բենեդիկտյան	b e n e d i k t j ɑ́ n
բենզալցակայան	b e n z ɑ l ə t͡sʰ ɑ k ɑ j ɑ́ n
բենզասղոց	b e n z ɑ s ə ʁ ó t͡sʰ
բենզին	b e n z í n
բենկորճ	b e ŋ k ó ɾ t͡ʃ
բեռ	b e r
բեռնախցիկ	b e r n ɑ χ ə t͡sʰ í k
բեռնատար	b e r n ɑ t ɑ́ ɾ
բեռնարգելք	b e r n ɑ ɾ kʰ é l kʰ
բեռնյան	b e r n j ɑ́ n
բեսեդկա	b i s é d k ɑ
բեսթսելեր	b e s tʰ s e l é ɾ
բեսթսելեր	b e s tʰ s é l e ɾ
բեսիրաթ	b e s i ɾ ɑ́ tʰ
բետոն	b e t ó n
բերան	b e ɾ ɑ́ n
բերանային	b e ɾ ɑ n ɑ j í n
բերանացի	b e ɾ ɑ n ɑ t͡sʰ í
բերանի	b e ɾ ɑ n í
բերբեր	b e ɾ b é ɾ
բերդ	b e ɾ tʰ
բերել	b e ɾ é l
բերիլիում	b e ɾ i l i j ú m
բերիլիում	b e ɾ í l i j u m
բերկլիում	b e ɾ k l i j ú m
բերկլիում	b é ɾ k l i j u m
բերման	b e ɾ m ɑ́ n
բերնային	b e ɾ n ɑ j í n
բերում	b e ɾ ú m
բերրի	b e ɹː í
բերք	b e ɾ kʰ
բզեզ	b ə z é z
բզզալ	b ə zː ɑ́ l
բզրուկ	b ə z ɾ ú k
բժիշկ	b ə ʒ í ʃ k
բժշկագիտություն	b ə ʒ ə ʃ k ɑ ɡ i t u t͡sʰ j ú n
բժշկական	b ə ʒ ə ʃ k ɑ k ɑ́ n
բժշկել	b ə ʒ ə ʃ k é l
բժշկություն	b ə ʒ ə ʃ k u t͡sʰ j ú n
բժշկում	b ə ʒ ə ʃ k ú m
բիբ	b i b
բիբար	b i b ɑ́ ɾ
բիբլիոգրաֆիա	b i b l i j o ɡ ɾ ɑ́ f i j ɑ
բիզ	b i z
բիզնես	b i z n é s
բիզնեսմեն	b i z n e s m é n
բիզոն	b i z ó n
բիթ	b i tʰ
բիլ	b i l
բիլակ	b i l ɑ́ k
բիլիոն	b i l j ó n
բիծ	b i t͡s
բիհարի	b i h ɑ ɾ í
բիճ	b i t͡ʃ
բինտ	b i n t
բիոլոգիա	b i j o l o ɡ i j ɑ́
բիչոկ	b i t͡ʃʰ ó k
բիսլամա	b i s l ɑ m ɑ́
բիսմութ	b i s m ú tʰ
բիսմութ	b í s m u tʰ
բիստրո	b i s t ɾ ó
բիր	b i ɾ
բիրմաներեն	b i ɾ m ɑ n e ɾ é n
բիրտ	b i ɾ t
բիֆշտեքս	b i f ʃ t é kʰ s
բլբլալ	b ə l b ə l ɑ́ l
բլբուլ	b ə l b ú l
բլթակ	b ə l tʰ ɑ́ k
բլիթ	b ə l í tʰ
բլղուր	b ə l ʁ ú ɾ
բլղուրապուր	b ə l ʁ u ɾ ɑ p ú ɾ
բլնգազ	b ə l ə ŋ ɡ ɑ́ z
բլոգ	b l o ɡ
բլոգ	b ə l ó ɡ
բլոգգեր	b ə l o ɡː é ɾ
բլոգեր	b ə l o ɡ é ɾ
բլոկ	b l o k
բլոկ	b ə l ó k
բլոկադա	b l o k ɑ d ɑ́
բլոկադա	b l o k ɑ́ d ɑ
բլոճ	b ə l ó t͡ʃ
բլոջ	b ə l ó d͡ʒ
բլոտ	b ə l ó t
բլուր	b ə l ú ɾ
բխել	b ə χ é l
բխկալ	b ə χ k ɑ́ l
բծախնդիր	b ə t͡s ɑ χ ə n tʰ í ɾ
բհոջպուրի	b h o d͡ʒ p ú ɾ i
բղավել	b ə ʁ ɑ v é l
բղուղ	b ə ʁ ú ʁ
բղջախոհություն	b ə ʁ d͡ʒ ɑ χ o h u t͡sʰ j ú n
բմբուլ	b ə m b ú l
բյորեկ	b j o ɾ é k
բյուզանդական	b j u z ɑ n d ɑ k ɑ́ n
բյուզանդացի	b j u z ɑ n d ɑ t͡sʰ í
բյուջե	b j u d͡ʒ é
բյուջետային	b j u d͡ʒ e t ɑ j í n
բյուր	b j u ɾ
բյուրեղ	b j u ɾ é ʁ
բնաբան	b ə n ɑ b ɑ́ n
բնագիր	b ə n ɑ ɡ í ɾ
բնադրել	b ə n ɑ d ɾ é l
բնազանցություն	b ə n ɑ z ɑ n t͡sʰ u t͡sʰ j ú n
բնազդ	b ə n ɑ́ z d
բնական	b ə n ɑ k ɑ́ n
բնակարան	b ə n ɑ k ɑ ɾ ɑ́ n
բնակել	b ə n ɑ k é l
բնակիչ	b ə n ɑ k í t͡ʃʰ
բնակչություն	b ə n ɑ k t͡ʃʰ u t͡sʰ j ú n
բնակվել	b ə n ɑ k v é l
բնակտոր	b ə n ɑ k ə t ó ɾ
բնապահպանություն	b ə n ɑ p ɑ h p ɑ n u t͡sʰ j ú n
բնապատկեր	b ə n ɑ p ɑ t k é ɾ
բնավ	b ə n ɑ́ v
բնավորություն	b ə n ɑ v o ɾ u t͡sʰ j ú n
բնիկ	b ə n í k
բնովի	b ə n o v í
բնորոշ	b ə n o ɾ ó ʃ
բնորոշել	b ə n o ɾ o ʃ é l
բնութագրել	b ə n u tʰ ɑ ɡ ə ɾ é l
բնություն	b ə n u t͡sʰ j ú n
բնույթ	b ə n ú j tʰ
բնօրրան	b ə n o ɹː ɑ́ n
բշտիկ	b ə ʃ t í k
բոբիկ	b o b í k
բոբիկանալ	b o b i k ɑ n ɑ́ l
բոզ	b o z
բոզավագ	b o z ɑ v ɑ́ kʰ
բոզբաշ	b o z b ɑ́ ʃ
բոզի	b o z í
բոզոն	b o z ó n
բոզություն	b o z u t͡sʰ j ú n
բոժախ	b o ʒ ɑ́ χ
բոժոժ	b o ʒ ó ʒ
բոլշևիկ	b o l ʃ e v í k
բոլոր	b o l ó ɾ
բոլորակ	b o l o ɾ ɑ́ k
բոլորը	b o l ó ɾ ə
բոլորշի	b o l o ɾ ʃ í
բոլորովին	b o l o ɾ o v í n
բոլորք	b o l ó ɾ kʰ
բոլուկ	b o l ú k
բոխախ	b o χ ɑ́ χ
բոխատերև	b o χ ɑ t e ɾ é v
բոխի	b o χ í
բոկ	b o k
բոկեղ	b o k é ʁ
բոկոտ	b o k ó t
բոկոտն	b o k ó t ə n
բող	b o ʁ
բողբոջ	b o ʁ b ó d͡ʒ
բողբոջել	b o ʁ b o d͡ʒ é l
բողկ	b o χ k
բողկուկ	b o χ k ú k
բողոճ	b o ʁ ó t͡ʃ
բողոք	b o ʁ ó kʰ
բողոքականություն	b o ʁ o kʰ ɑ k ɑ n u t͡sʰ j ú n
բողոքավոր	b o ʁ o kʰ ɑ v ó ɾ
բողոքարկել	b o ʁ o kʰ ɑ ɾ k é l
բողոքարկում	b o ʁ o kʰ ɑ ɾ k ú m
բողոքել	b o ʁ o kʰ é l
բոմժ	b o m ʒ
բոյ	b o j
բոյկոտ	b o j k ó t
բոյով	b o j ó v
բոնուս	b o n ú s
բոշ	b o ʃ
բոշա	b o ʃ ɑ́
բոշայերեն	b o ʃ ɑ j e ɾ é n
բոպիկ	b o p í k
բոպլիկ	b o p l í k
բոռ	b o r
բոսնիերեն	b o s n i j e ɾ é n
բոսոր	b o s ó ɾ
բոստան	b o s t ɑ́ n
բով	b o v
բովանդակ	b o v ɑ n d ɑ́ k
բովանդակային	b o v ɑ n d ɑ k ɑ j í n
բովանդակություն	b o v ɑ n d ɑ k u t͡sʰ j ú n
բովել	b o v é l
բոր	b o ɾ
բորակ	b o ɾ ɑ́ k
բորան	b o ɾ ɑ́ n
բորբ	b o ɾ b
բորբոս	b o ɾ b ó s
բորբոք	b o ɾ b ó kʰ
բորբոքել	b o ɾ b o kʰ é l
բորբոքում	b o ɾ b o kʰ ú m
բորդել	b o ɾ d é l
բորեկ	b o ɾ é k
բորենի	b o ɾ e n í
բորիում	b ó ɾ i j u m
բորշ	b o ɾ ʃ
բորշչ	b o ɾ ʃ t͡ʃʰ
բորոտ	b o ɾ ó t
բորսա	b o ɾ s ɑ́
բորտուղեկցորդ	b o ɾ t u ʁ e k t͡sʰ ó ɾ tʰ
բորտուղեկցորդուհի	b o ɾ t u ʁ e k t͡sʰ o ɾ tʰ u h í
բոց	b o t͡sʰ
բոցարձակ	b o t͡sʰ ɑ ɾ t͡sʰ ɑ́ k
բոցեղեն	b o t͡sʰ e ʁ é n
բու	b u
բուգ	b u ɡ
բուդ	b u d
բուդդայականություն	b u dː ɑ j ɑ k ɑ n u t͡sʰ j ú n
բուդդիզմ	b u dː í z m
բուդկա	b u d k ɑ́
բութ	b u tʰ
բուժառու	b u ʒ ɑ r ú
բուժել	b u ʒ é l
բուժկետ	b u ʒ k é t
բուժում	b u ʒ ú m
բուժքույր	b u ʃ kʰ ú j ɾ
բուլդոզեր	b u l d o z é ɾ
բուլկի	b u l k í
բուլղարացի	b u l ʁ ɑ ɾ ɑ t͡sʰ í
բուլղարերեն	b u l ʁ ɑ ɾ e ɾ é n
բուխ	b u χ
բուխախ	b u χ ɑ́ χ
բուխարա	b u χ ɑ ɾ ɑ́
բուխարական	b u χ ɑ ɾ ɑ k ɑ́ n
բուխարի	b u χ ɑ ɾ í
բուխարիկ	b u χ ɑ ɾ í k
բուծ	b u t͡s
բուծանել	b u t͡s ɑ n é l
բուծել	b u t͡s é l
բուկ	b u k
բուհ	b u h
բուղա	b u ʁ ɑ́
բումերանգ	b u m e ɾ ɑ́ ŋ ɡ
բույթ	b u j tʰ
բույլ	b u j l
բույն	b u j n
բույս	b u j s
բույր	b u j ɾ
բուն	b u n
բունկալ	b u ŋ k ɑ́ l
բունկեն	b u ŋ k é n
բունկեր	b u ŋ k é ɾ
բունոց	b u n ó t͡sʰ
բուշտ	b u ʃ t
բուռ	b u r
բուռն	b ú r ə n
բուսաբան	b u s ɑ b ɑ́ n
բուսաբանական	b u s ɑ b ɑ n ɑ k ɑ́ n
բուսաբանություն	b u s ɑ b ɑ n u t͡sʰ j ú n
բուսական	b u s ɑ k ɑ́ n
բուսակեր	b u s ɑ k é ɾ
բուսակերություն	b u s ɑ k e ɾ u t͡sʰ j ú n
բուսանել	b u s ɑ n é l
բուսնել	b u s n é l
բուստ	b u s t
բուտ	b u t
բուրաստան	b u ɾ ɑ s t ɑ́ n
բուրբոն	b u ɾ b ó n
բուրգ	b u ɾ ɡ
բուրգեր	b u ɾ ɡ é ɾ
բուրգունդյան	b u ɾ ɡ u n d j ɑ́ n
բուրդ	b u ɾ tʰ
բուրել	b u ɾ é l
բուրժուա	b u ɾ ʒ u ɑ́
բուրժուազիա	b u ɾ ʒ u ɑ z i j ɑ́
բուրմունք	b u ɾ m ú ŋ kʰ
բուրում	b u ɾ ú m
բուրվառ	b u ɾ v ɑ́ r
բուք	b u kʰ
բոքս	b o kʰ s
բջիջ	b ə d͡ʒ í d͡ʒ
բջջաբան	b ə d͡ʒ ə d͡ʒ ɑ b ɑ́ n
բջջաբանական	b ə d͡ʒ ə d͡ʒ ɑ b ɑ n ɑ k ɑ́ n
բջջաբանություն	b ə d͡ʒ ə d͡ʒ ɑ b ɑ n u t͡sʰ j ú n
բջջային	b ə d͡ʒ ə d͡ʒ ɑ j í n
բռի	b ə r í
բռինչ	b ə r í n t͡ʃʰ
բռնաբար	b ə r n ɑ b ɑ́ ɾ
բռնաբարել	b ə r n ɑ b ɑ ɾ é l
բռնաբարող	b ə r n ɑ b ɑ ɾ ó ʁ
բռնաբարություն	b ə r n ɑ b ɑ ɾ u t͡sʰ j ú n
բռնադատել	b ə r n ɑ d ɑ t é l
բռնազավթում	b ə r n ɑ z ɑ f tʰ ú m
բռնակ	b ə r n ɑ́ k
բռնակալ	b ə r n ɑ k ɑ́ l
բռնակալություն	b ə r n ɑ k ɑ l u t͡sʰ j ú n
բռնապետ	b ə r n ɑ p é t
բռնապետություն	b ə r n ɑ p e t u t͡sʰ j ú n
բռնել	b ə r n é l
բռնոցի	b ə r n o t͡sʰ í
բռնություն	b ə r n u t͡sʰ j ú n
բռնչի	b ə r ə n t͡ʃʰ í
բռնցքամարտ	b ə r ə n t͡sʰ kʰ ɑ m ɑ́ ɾ t
բռունցք	b ə r ú n t͡sʰ kʰ
բվեճ	b ə v é t͡ʃ
բտել	b ə t é l
բրավո	b ə ɾ ɑ v ó
բրդել	b ə ɾ tʰ é l
բրդյա	b ə ɾ tʰ j ɑ́
բրետ	b ə ɾ é t
բրետոներեն	b ɾ e t o n e ɾ é n
բրեցել	b ɾ e t͡sʰ é l
բրեցել	b ɾ é t͡sʰ e l
բրթել	b ə ɾ tʰ é l
բրիգադ	b ɾ i ɡ ɑ́ d
բրինձ	b ə ɾ í n d͡z
բրիչ	b ə ɾ í t͡ʃʰ
բրիտանական	b ɾ i t ɑ n ɑ k ɑ́ n
բրիտանացի	b ɾ i t ɑ n ɑ t͡sʰ í
բրիտվա	b ɾ i t v ɑ́
բրիտվա	b ɾ í t v ɑ
բրնձապուր	b ə ɾ ə n d͡z ɑ p ú ɾ
բրոմ	b ɾ o m
բրոնզ	b ə ɾ ó n z
բրոշ	b ə ɾ ó ʃ
բրոունյան	b ɾ o u n j ɑ́ n
բրուտ	b ə ɾ ú t
բրուցելյոզ	b ɾ u t͡sʰ e l j ó z
բրուցելոզ	b ɾ u t͡sʰ e l ó z
բևեռ	b e v é r
բևեռային	b e v e r ɑ j í n
բևեռացույց	b e v e r ɑ t͡sʰ ú j t͡sʰ
գ	ɡ ə
գʻ	ɡ̤
գագաթ	ɡ ɑ ɡ ɑ́ tʰ
գագաթաժողով	ɡ ɑ ɡ ɑ tʰ ɑ ʒ o ʁ ó v
գագաթնաժողով	ɡ ɑ ɡ ɑ tʰ n ɑ ʒ o ʁ ó v
գադոլինիում	ɡ ɑ d o l i n i j ú m
գադոլինիում	ɡ ɑ d o l í n i j u m
գազ	ɡ ɑ z
գազալցակայան	ɡ ɑ z ɑ l ə t͡sʰ ɑ k ɑ j ɑ́ n
գազախ	ɡ ɑ z ɑ́ χ
գազային	ɡ ɑ z ɑ j í n
գազան	ɡ ɑ z ɑ́ n
գազանանոց	ɡ ɑ z ɑ n ɑ n ó t͡sʰ
գազանություն	ɡ ɑ z ɑ n u t͡sʰ j ú n
գազար	ɡ ɑ z ɑ́ ɾ
գազարագույն	ɡ ɑ z ɑ ɾ ɑ ɡ ú j n
գազոն	ɡ ɑ z ó n
գազոնահնձիչ	ɡ ɑ z o n ɑ h ə n d͡z í t͡ʃʰ
գազօջախ	ɡ ɑ z o d͡ʒ ɑ́ χ
գաթա	ɡ ɑ tʰ ɑ́
գալ	ɡ ɑ l
գալակտիկա	ɡ ɑ l ɑ k t i k ɑ́
գալակտիկական	ɡ ɑ l ɑ k t i k ɑ k ɑ́ n
գալար	ɡ ɑ l ɑ́ ɾ
գալարել	ɡ ɑ l ɑ ɾ é l
գալարվել	ɡ ɑ l ɑ ɾ v é l
գալիում	ɡ ɑ l i j ú m
գալիում	ɡ ɑ l í j u m
գալիս	ɡ ɑ l í s
գալլերեն	ɡ ɑ lː e ɾ é n
գալյեգո	ɡ ɑ l j é ɡ o
գալուստ	ɡ ɑ l ú s t
գալստուկ	ɡ ɑ l s t ú k
գալստուկ	ɡ ɑ l ə s t ú k
գահ	ɡ ɑ h
գահակալել	ɡ ɑ h ɑ k ɑ l é l
գահասրահ	ɡ ɑ h ɑ s ə ɾ ɑ́ h
գահավանդ	ɡ ɑ h ɑ v ɑ́ n d
գահավանդակ	ɡ ɑ h ɑ v ɑ n d ɑ́ k
գահույք	ɡ ɑ h ú j kʰ
գաղափար	ɡ ɑ ʁ ɑ pʰ ɑ́ ɾ
գաղափարագիր	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ ɡ í ɾ
գաղափարախոս	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ χ ó s
գաղափարախոսական	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ χ o s ɑ k ɑ́ n
գաղափարախոսություն	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ χ o s u t͡sʰ j ú n
գաղափարապաշտ	ɡ ɑ ʁ ɑ pʰ ɑ ɾ ɑ p ɑ́ ʃ t
գաղել	ɡ ɑ ʁ é l
գաղթ	ɡ ɑ χ tʰ
գաղթել	ɡ ɑ χ tʰ é l
գաղթեցում	ɡ ɑ χ tʰ e t͡sʰ ú m
գաղձ	ɡ ɑ ʁ d͡z
գաղութ	ɡ ɑ ʁ ú tʰ
գաղութատեր	ɡ ɑ ʁ u tʰ ɑ t é ɾ
գաղութատիրական	ɡ ɑ ʁ u tʰ ɑ t i ɾ ɑ k ɑ́ n
գաղութատիրություն	ɡ ɑ ʁ u tʰ ɑ t i ɾ u t͡sʰ j ú n
գաղութարար	ɡ ɑ ʁ u tʰ ɑ ɾ ɑ́ ɾ
գաղութացնել	ɡ ɑ ʁ u tʰ ɑ t͡sʰ n é l
գաղութացում	ɡ ɑ ʁ u tʰ ɑ t͡sʰ ú m
գաղութացվել	ɡ ɑ ʁ u tʰ ɑ t͡sʰ v é l
գաղջ	ɡ ɑ ʁ d͡ʒ
գաղտ	ɡ ɑ χ t
գաղտակուր	ɡ ɑ χ t ɑ k ú ɾ
գաղտնաբառ	ɡ ɑ χ t n ɑ b ɑ́ r
գաղտնի	ɡ ɑ χ t n í
գաղտնիք	ɡ ɑ χ t n í kʰ
գաղտրիկ	ɡ ɑ χ t ɾ í k
գամ	ɡ ɑ m
գամակ	ɡ ɑ m ɑ́ k
գամել	ɡ ɑ m é l
գամետ	ɡ ɑ m é t
գամփռ	ɡ ɑ́ m pʰ ə r
գայթակղել	ɡ ɑ j tʰ ɑ k ə ʁ é l
գայթակղություն	ɡ ɑ j tʰ ɑ k ə ʁ u t͡sʰ j ú n
գայիսոն	ɡ ɑ j i s ó n
